A MONSIEVR, RVTSTCOIEVT DE BELIN.	À MONSIEUR, RUTSTCOIEUT DE BELIN.
ARONTE.	ARONTE.
Labelle eſt icy proche, & cette nuict, peut-eſtre, Elle abandonnera celegement champeſtre.	Labelle est ici proche, et cette nuit, peut-être, Elle abandonnera célégement champêtre.
RODOMONT.	RODOMONT.
I'en ay peur, cher Aronte, & pourcette raiſon Va, fais dreſſer ma Tente auprés de ſa maiſon, Et que de tous coſtez la cabane inueſtie Les yeux de tous mes gens obſeruent ſa ſortie, Ie donne cette nuict à ſes iuſtes douleurs;	J'en ai peur, cher Aronte, et pourcette raison Va, fais dresser ma Tente auprès de sa maison, Et que de tous côtés la cabane investie Les yeux de tous mes gens observent sa sortie, Je donne cette nuit à ses justes douleurs;
Mais demain que le temps aura ſeché ſes pleurs, I'iray luy preſenter mon amoureux ſeruice;	Mais demain que le temps aura séché ses pleurs, J'irai toujours présenter mon amoureux service;
Et pour n'en faire pas vne autre Doralice, ---- --- J-- I.	Et pour n'en faire pas une autre Doralice, --à -m- Y- I.
C’eſt que reſolument la force ou la douceur A toute exttemite m'en rendra poſſeſſeur.	C'est que résolument la force ou la douceur À toute exttemite m'en rendra possesseur.
ARONTE.	ARONTE.
C’eſt comme il s’y faut prendre.	C'est comme il s'y faut prendre.
RODOMONT.	RODOMONT.
Aronte ie te prie Va donc, laiſſe moy ſeul auec ma reſuerie, Et fais que dans vne heure on m'appreſte à manger.	Aronte ie te prie Va donc, laisse -moi seul avec ma rêverie, Et fais que dans une heure on m'apprête à manger.
2	2
ARONTE.	ARONTE.
Sire, vos Officiers viennent de décharger Deua puinçons de muſtar te metutur de la terre, Qu'ils ont pris (diſent-ils) à lapetite guerre, Et n'eſtoit noſtre loy qui nous deffend le vin Ie vous ferois garder ce breuuage diuin.	Sire, vos Officiers viennent de décharger Deua puinons de mustar te metutur de la terre, Qu'ils ont pris (disent-ils) à lapétite guerre, Et n'était notre loi qui nous défend le vin Je vous ferais garder ce brevage divin.
RODOMONT.	RODOMONT.
Ne croyant de ma loy que ce qu’il en faut croire, Sur tout quand il s’agit de manger & de boire, S’il eſt tel que tu dis i'en prendray largement.	Ne croyant de ma loi que ce qu'il en faut croire, Sur tout quand il s'agit de manger et de boire, S'il est tel que tu dis j'en prendrai largement.
ARONTE.	ARONTE.
Et voſtre Majeſté fera tres-ſagement.	Et votre Majesté fera très contentement.
RODOMONT.	RODOMONT.
Dieux!	Dieux!
que veut ce Courrier qu’vn de mes gens ameine?	que veut ce Courrier qu'un de mes gens âme?
IRAGICUMEDIE.	JRAGICUMEDIE.
PAGE DE RODOMONT.	PAGE DE RODOMONT.
dlaten, ceina (qv	dlaten, ceina (q
COVRRIER.	COURIER.
Grand mercy de la peine.	Grand merci de la peine.
De la part d’Agramant, dont ie ſuis Meſſager, I’apporte cette lettre au vaillant Roy d’Arger, Auec cent baiſe-mains des Princes de l’armée, Où ſa prompte aßiſtance eſt de tous reclamée.	De la part d'Agramant, dont je suis Messager, J'apporte cette lettre au vaillant Roi d'Arger, Avec cent baise-mains des Princes de l'armée, Où sa prompte assistance est de tous réclamée.
RODOMONT.	RODOMONT.
Porr a aesranttnmsaltes consa	Porr a esranttntsaltes consa
COVRRIER.	COURIER.
Oüy, Seigneur.	Oui, Seigneur.
RODOMONT.	RODOMONT.
Vrayement ſa Majeſté me fait beaucoup d’honneur;	Vraiment sa Majesté me fait beaucoup d'honneur;
Il lit.	Il lit.
Mais ouurons le pacquet.	Mais ouvrons le pacquet.
LDDprercnre.	LDDprercenre.
O!	Ô!
Ciel que ſon viſage Du dépit de ſon cœur donne vn clair témoignage, Ma reſponce eſt eſcrite en ces yeux où ie voy Vn orgueilleux mépris des prieres du Roy.	Ciel que son visage Du dépit de son cœur donne un clair témoignage, Ma réponse est écrite en ces yeux où tu voy age Dépris des prières du Roi.
RODOMONT.	RODOMONT.
Le Monarque Afriquain monſtre bien ſa foibleſſe ----	Le Monarque Afriquain montre bien sa faiblesse --
L ij	 Léj
84 D’implorer mon ſecours au danger qui le preſſe Apres la violence & le public affront Qui par ſon jugement m'a fait rougir le front, Il ne luy ſouuient plus que de ſon injuſtice Apuyant laſchement celle de Doralice, En faueur d’vn riual qu’elle m'a preferé, Il s’eſt ouuertement contre moy declaré?	84 D'implorer mon secours au danger qui le presse Après la violence et le public affront Qui par son jugement m'a fait rougir le front, Il ne lui souvient plus que de son injustice Apuyant lâchement celle de Doralice, En faveur d'vn rival qu'elle m'a préféré, Il s'est ouuertement contre moi déclaré?
Moy qui ſeul éuitay par vn ſaut incroyable Cette bouche d’Enfer, cette foſſe effroyable, Où dix mille des miens à l’aſſaut prepareZ Furent iuſqu’au dernier par les feux deuorez:	Moi qui seul éviterai par un saut incroyable Cette bouche d'Enfer, cette fosse effroyable, Où dix mille des miens à l'assaut préparés Furent jusqu'au dernier par les feux dévorés:
Moy qui perçant Paris iuſques dans les entrailles Y cauſay tant de pleurs & tant de funerailles, Et l’embraſay ſi bien de l’un à l’autre bout Que le ſang & la flâme y coururent par tout;	Moi qui perçant Paris jusques dans les entrailles Y causai tant de pleurs et tant de funérailles, Et l'embrasai si bien de l'un à l'autre bout Que le sang et la flamme y coururent par tout;
Là d’vne main qui bruſle, & d’vne autre qui tuë, Ie fis de ſi grands maux dans la plus grande ruë, Que n’y treuuant plus rien qui s’oppoſaſt à moy Ie pouſſay ma fureur iuſqu’au Palais du Roy, Où l’orage mortel des fleſches & des thuilles, Les peſans ſolliueaux, ny les boüillantes huilles Ne peurent empeſcher que des pieds & des mains, Imitant le Belier des Grecs & des Romains, Ie ne fiſſe vn grand trou dans la porte esbranſlée Par ouie contemplay la tourbe deſolée, Qui voyant mon viſage & mes regards ardans Penſa qu'auec la mort ie paſſois au dedans, Les plus hardis ſoldats de crainte ſe cacherent,	Là d'une main qui brûle, et d'une autre qui tuée, Je fis de si grands maux dans la plus grande rue, Que n'y trouvant plus rien qui s'opposât à moi Je poussai ma fureur jusqu'au Palais du Roi, Où l'orage mortel des flèches et des thuilles, Les pans solliveaux, ni les boüillantes huilles Ne peurent empêcher que des pieds et des mains, Imitant le Bélier des Grecs et des Romains, Je ne fisse ons grand trou dans la porte esbranslée Par ouïe contemplai la tourbe desolée, Qui voyant mon visage et mes regards ardans Pensa qu'auec la mort ie passois au dedans, Les plus hardis soldats de crainte se cachèrent:
Cent femmes ſur la place, auant-terme, accoucherent, Et ſans que Charlemagne, autre part engagé, Accourut au ſecours de ſon peuple aßiegé, Monbras à qui la Parque offroit tant de matiere Euſt fait de ſon Palais vn ſanglant Cimetiere.	Cent femmes sur la place, avant-terme, accouchèrent, Et sans que Charlemagne, autre part engagé, Accourut au secours de son peuple assiegé, Monbras à qui la Parque offrait tant de matière Eut fait de son Palais un sanglant Cimetière.
Depuis quand cet ingrat quim à deſobligé, D'aßiegeant qu’il eſtoit fut luy-meſme aßiegé, Apres la memorable & derniere ſortie Qui deffit de ſon camp la meilleure partie, Fut-ce pas Rodomont, au iugement de tous, Qui pour le dégager frappa de plus grands coups, Et qui luy redonnant les clefs de la campagne, Pour la deuxieſme fois enferma Charlemagne;	Depuis quand cet ingrat quim à desobligé, D'assiegeant qu'il était fut lui-même assiegé, Après la mémorable et dernière sortie Qui défit de son camp la meilleure partie, Fut-ce pas Rodomont, au jugement de tous, Qui pour le dégager frappa de plus grands coups, Et qui ton redonnant les clefs de la campagne, Pour la deuxième fois enferma Charlemagne;
Cependant il eſt vray que cet indigne Roy Sçachant le differend du Tartare & de moy, Au lieu de le blaſmer du rapt de Doralice, Au lieu de me la rendre auec toute iuſtice, Au lieu de me venger d’vn affront ſi cruel dile deſſendit entor t cjage du auet, Il fallut obeïr, i’eſtois dans ſon armée Où ma prompte aßiſtance eſt en vainreclamée, Reſeruant deſormais la force de mon bras Pluſtoſt à chaſtier qu'à ſeruir des ingrats.	Cependant il est vrai que cet indigne Roi Sachant le différend du Tartare et de moi, Au lieu de le blâmer du rapt de Doralice, Au lieu de me la rendre avec toute justice, Au lieu de me venger d'un affront si cruel dile dessendit entor tor tjage du avet, Il fallut obéir, j'étais dans son armée Où ma prompte assistance est en vainreclamée, Réservant désormais la force de mon bras Tôt à châtier qu'à servir des ingrats.
COVRRIER.	COURIER.
Ainſi donc des Chreſtiens il deuiendra la proye.	Ainsi donc des Chrétiens il deviendra la proie.
L	L
RODOMONT.	RODOMONT.
I'apprendray ſes malheurs auecbeaucoup de ioye.	J'apprendrai ses malheurs apprendre de joie.
GOVRRIER.	GOURIER.
Mais les cœurs genereux pardonnent ayſément.	Mais les cœurs généreux pardonnent aisément.
RODOMONT.	RODOMONT.
Mais les cœurs genereux ont du reſſentiment.	Mais les cœurs généreux ont du ressentiment.
COVRRIER à genoux.	COURIER à genoux.
cau pirt, ouire aagramant tout te Camp vous ſupplie Doublier cette injure.	cau pirt, ouire aagramant tout te Camp vous supplie Doublier cette injure.
RODOMONT.	RODOMONT.
O!	Ô!
Ciel, que ie l’oublie!	Ciel, que ici l'oublie!
Non, i’oublirois pluſtoſt que ie ſuis Rodomont, Et pluſtoſt le Zephire emporteroit ce mont:	Non, j'oublierais plutôt que je suis Rodomont, Et plutôt le Zéphire emporterait ce mont:
Mais que veut ce Paſteur ſi deffait & ſi bleſme?	Mais que veut ce Pasteur si défait et si blême?
SCLEVEVL ACTACIEVIJ ROLAND, RODOMONT, COVRRIER.	SCLEUEUL ACTACIEVIE ROLAND, RODOMONT, COURRIER.
PASTEVR.	PASTEUR.
A!	À!
Seigneur, euitez endiligence extréme L’abord d’vn furieux, contre qui ne peut rien La force des humains.	Seigneur, évitez endiligence extrême L'abord d'un furieux, contre qui ne peut rien La force des humains.
RODOMONT.	RODOMONT.
Ie l’arreſteray bien, Ei puiſque tas fureur eſctointe a ja folie, Pour le repos public, il faut que ie le lie.	Je l'arrêterai bien, Éi puisque tas fureur éctointe a ja folie, Pour le repos public, il faut que sans le lie.
PASTEVR.	PASTEUR.
O!	Ô!
Dieu fecourez-moy, le voicy qui me court.	Dieu secourez-moi, le voici qui me court.
RODOMONT.	RODOMONT.
Hola ho, maiſtre fol, demeurez-là tout court, Ou cent coups de baſton ſeront voſtre Elebore.	Hola ho, maître fol, demeurez-là tout court, Ou cent coups de bâton seront votre Élébore.
ROLAND.	ROLAND.
Quoy donc en m’arreſtant tu m’outrages encore?	Quoi donc en m'arrêtant tu m'outrages encore?
LedemIe l’auray mal-gré toy ce ridicule amant.	LedemIe l'aurai mal-gré toi ce ridicule amant.
COVRRIER.	COURIER.
O!	Ô!
Dieux tel qu'vn ſanglier de fureur écumant Il paſſe, & d’vn effort außi prompt que la foudre Laiſſe le Roy de Sarce eſtendu ſur la poudre.	Dieux tel qu'un sanglier de fureur écumant Il passe, et d'un effort aussi prompt que la foudre Laisse le Roi de Sarce étendu sur la poudre.
Rodomont RODOMONT.	Rodomont RODOMONT.
Voila ce que iamais ne m'eſtoit arriué, A  ſe rele- Mais le ruſtre qu’ilieſt m’a pris au pied leue, uant.	Voilà ce que jamais ne m'était arrivé, À se rele- Mais le rustre qu'iliest m'a pris au pied lève, uant.
Et m’a porté par terre auec vn tour de lute	Et m'a porté par terre avec un tour de lute
COVRRIER.	COURIER.
Il faut pour l’obliger que i’excuſe ſã cheute:	Il faut pour l'obliger que j'excuse su chute:
Oüy, Sire, ie l’ay veu, le pied vous a glißé, Et vous n’y ſongiez pas quand il vous a poußé.	Oui, Sire, votre l'ai vu, le pied vous a glissé, Et vous n'y songiez pas quand il vous a pouvé.
RODOMONT.	RODOMONT.
De faict il m'a ſurpris;	De fait il m'a surpris;
mais allons dans ma Tente Ou ſans vous ennuyer d’vne plus longue attente Ie reſpondray ſur l’heure à celle d’Agramant, Tandis que vous prendrez du rafraiſchiſſement.	mais allons dans ma Tente Ou sans vous ennuyer d'une plus longue attente Je répondrai sur l'heure à celle d'Agramant, Tandis que vous prendrez du rafraîchissement.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
ACTE	ACTE
LISEE SCENE PREMIERE.	LISE SCÈNE PREMIÈRE.
ISABELLE, L’HERMITE.	ISABELLE, L'HÉRMITE.
ISABELLE.	ISABELLE.
OVS voyez clairement quelle eſt mon infortune, Quelle eſt du Sarraſin la recherche importune, Et iugez bien außi que ſes ſales amours N’auront iamais de fin qu’en celle de mes iours, Vous voyez qu'en tous lieux i’ay du monde à ma ſuitte Qui m’oſte le moyen & l’eſpoir de la fuitte, Et que ie ſuis contrainte en vn ſi triſte ſort De ſauuer mon honneur dans les bras de la mort, C’eſt à quoy du moment qu’il m’a perſecutée Ma reſolution s’eſt touſiours arreſtée, Et c’eſt pour accomplir ce deſſein genereux	OUS voyez clairement quelle est mon infortune, Quelle est du Sarrasin la recherche importune, Et jugez bien aussi que ses sales amours N'auront jamais de fin qu'en celle de mes jours, Vous voyez qu'en tous lieux j'ai du monde à ma suitte Qui m'ôte le moyen et l'espoir de la fuite, Et que je suis contrainte en un si triste sort De sauver mon honneur dans les bras de la mort, C'est à quoi du moment qu'il m'a persécutée Ma résolution s'est toujours arrêtée, Et c'est pour accomplir ce dessein généreux
M.	M.
Que i’ay voulu tromper ce brutal amoureux, Iettant les fondemens de la ſanglante ruſe Dont pour ma deliurance il faut que ie l’abuſe;	Que j'ai voulu tromper ce brutal amoureux, Jetant les fondements de la sanglante ruse Dont pour ma délivrance il faut que je l'abuse;
I’ay ſes mauuais diſcours & ſes baiſers ſoufferts, Et ſouffert auec eux la peine des enfers, Comme la vanité rend vne ame credule I’ay feint de m’eſchauffer à l’ardeur qui le bruſle, Fait ſemblant d’admirer ſa force & ſa valeur, Quoy que l’vne par l’autre euſt cauſé mon malheur;	J'ai ses mauvais discours et ses baisers soufferts, Et souffert auec eux la peine des enfers, Comme la vanité rend une âme crédule J'ai feint de m'échauffer à l'ardeur qui le brûle, Fait semblant d'admirer sa force et sa valeur, Quo que l'une par l'autre eût causé mon malheur;
Et de plus i’ay promis à cet eſprit farouche Qu'aujourd’huy, s’il vouloit, i’entrerois dãs ſa couche, Ainſi l’ayant flatté de l’eſpoir de iouïr Il n'a plus d’autre ſoin que de ſe reſiouïr, Li nopen uanote oin, eſu in uomtimuandance, Ce qu’il a de raiſon, de ſens & de prudence, Si bien qu'apparemment quand l’yurongne viendra Ie le perdray luy-meſme, ou bien il me perdra.	Et de plus j'ai promis à cet esprit farouche Qu'aujourd'hui, s'il voulait, j'entrerais dans sa couche, Ainsi l'ayant flatté de l'espoir de jouir Il n'a plus d'autre soin que de se réjouir, Li nô uanote , in uomtimuandance, Ce il a de raison, de sens et de prudence, Si bien qu'apparemment quand yurongne viendra Ie le perdrai lui-même, ou bien il me perdra.
L’HERMITE.	L'HÉRMITE.
Croyez qu’en ce combat c’eſt Dieu qui vous inſpire De gagner aujourd’huy la palme du martyre Pour ſauuer voſtre hõneur vous pouuez vous ſeruir De la main du brutal qui vous le veut rauir, En l’obligeant luy-meſme à vous oſter la vie Pluſtoſt que d’aſſouuir ſon impudique enuie;	Croyez qu'en ce combat c'est Dieu qui vous inspire De gagner aujourd'hui la palme du martyre Pour sauver votre honneur vous pouvez vous servir De la main du brutal qui vous le veut ravir, En l'obligeant lui-même à vous ôter la vie Plutôt que d'assouuir son impudique envie;
MIille exemples fameux, dans l’Egliſe receus, En vous fortifiant vous reglent là-deſſus:	MIille exemples fameux, dans l'Église reçus, En vous fortifiant vous règlent là-dessus:
O!	Ô!
combien de Martyrs ont pour la meſme cauſe Produict le meſme effect, & fait la meſme choſe.	combien de Martyrs ont pour la même cause Produit le même effet, et fait la même chose.
Oüy, ma fille, acheuez ce vertueux deſſein Puiſque l’Eſprit diuin vous l’amis dans le ſein, Et que depuis la mort de voſtre Amant fidelle Vn vœu de chaſteté, dont la garde eſt ſi belle, Comme vndon fait au Ciel qu’on ne peut reuoquer, Vous oblige à mourir pluſtoſt que d’y manquer.	Oui, ma fille, achevez ce vertueux dessein Puisque l'Esprit divin vous l'amis dans le sein, Et que depuis la mort de votre Amant fidèle Un vœu de chasteté, dont la garde est si belle, Comme undon fait au Ciel qu'on ne peut révoquer, Vous oblige à mourir plutôt que d'y manquer.
ISABELLE.	ISABELLE.
C’eſt de luy que i’attends la force & la conſtance Que veut vne action de ſi haute importance:	C'est de Seigneur que j'attends la force et la constance Que veut une action de si haute importance:
Mais, mon Pere, oſtez-vous de ce funeſte lieu, De peur que le meſchant qui ne craint aucun Dieu, Me voyant dans le port parvn heureux naufrage Cec tourne contre cous tes truisports de ſarage.	Mais, mon Père, ôtez-vous de ce funeste lieu, De peur que le méchant qui ne craint aucun Dieu, Me voyant dans le port parvn heureux naufrage Cec tourne contre cous tes truisports de sarage.
L’HERMITE.	L'HÉRMITE.
Ie veux de mon ſecours vous aider au beſoin.	Je veux de mon secours vous aider au besoin.
ISABELLE.	ISABELLE.
Non, n’ayez pas pour moy ce charitable ſoin, Celuy qui m'a donné ce mouuement celeſte Pour ſa gloire & mon bien acheuera le reſte;	Non, n'ayez pas pour moi ce charitable soin, Celui qui m'a donné ce mouvement céleste Pour sa gloire et mon bien achèvera le reste;
Adieu, retirez-vous, le tyran vient icy.	Adieu, retirez-vous, le tyran vient ici.
L'HERMITE.	L'HÉRMITE.
Adieu donc, puis qu’en fin vous le voulez ainſi:	Adieu donc, puis qu'en fin vous le voulez ainsi:
O Ciel!	Ô Ciel!
que ta puiſſance operede merueilles.	que ta puissance opèrede merveilles.
M ij	M ij
SCLNVETT RODOMONT, ISABELLE.	SCLNVETT RODOMONT, ISABELLE.
D3 RODOMONT.	D3 RODOMONT.
V'ON mette rafraiſchir les dernieres bouteilles, Et qu'encore à ce ſoir on me dreſſe vn feſtin Außi grand pour le moins que celuy du matin.	V'ON mette rafraîchir les dernières bouteilles, Et qu'encore à ce soir on me dresse un festin Aussi grand pour le moins que celui du matin.
BADELLE.	BADELE.
Acheuons de tromper ce Prince des impies, Qui l’ame & la raiſon dans le vin aſſoupies, A ſa confuſion fera ce que ie veux.	Achevons de tromper ce Prince des impies, Qui l'âme et la raison dans le vin assoupies, A sa confusion fera ce que ie seule.
RODOMONT.	RODOMONT.
En fin ie n’en puis plus, beau ſujet de mes feux, Vous dont les yeux en pleurs ont embraſé mon ame, Quoy qu'elle euſt reſolu de n'aymer tamais femme, Ie me ſens ſi preßé de l’amour & du temps Que ſi ie n'ay de vous le bien que i'en attends, Si vous ne me tenez la parole donnée, On voit luire aujourd’huy ma derniere iournée.	En fin votre n'en puis plus, beau sujet de mes feux, Vous dont les yeux en pleurs ont embrasé mon âme, Qu 'elle eût résolu de n'aimer tamais femme, Je me sens si pressé de l'amour et du temps Que si tu n'ai de vous le bien que j'en attends, Si vous ne me tenez la parole donnée, On voit luire aujourd'hui ma dernière journée.
ISABELLE.	ISABELLE.
Qu'en mon aduerſité ie treuue de bon-heur De me voir priſonniere auecque tant d’honneur, Que le Mars de l’Affrique & le Demon des armes D’vne amoureuſe main daigne eſſuyer mes larmes:	Qu'en mon aduersité ie treuue de bonheur De me voir prisonnière auecque tant d'honneur, Que le Mars de l'Afrique et le Démon des armes D'une amoureuse main daigne essuyer mes larmes:
Oüy, Seigneur, ie vous plains;	Oui, Seigneur, je vous plains;
mais mon fidelle Amant Que voſtre propre bras a mis au monument, Trouueroit bien eſtrange & de mauuaiſe grace Qu'vn iour apres ſa mort ie vous miſſe en ſa place, Que ſi par vn excez de generoſité Vous me voulez remettre en pleine liberte, Et me faire ſerment de ne rien entreprendre Surce corps affligé qui ne ſe peut deffendre, I'atteſte le ſejour des bien-heureux Eſprits, Que ie vous garde vn don d’ineſtimable pris Par l’effect éprouué d’vn ſecret admirable Ie vous rendray le corps au fer inuulnerable.	mais mon fidèle Amant Que vôtre propre bras a mis au ferment, Trouverait bien étrange et de mauvaise grâce Qu'un jour après sa mort ie vous misse en sa place, Que si par un excès de générosité Vous me voulez remettre en pleine liberté, Et me faire serment de ne rien entreprendre Surce corps affligé qui ne se peut défendre, Jatteste le séjour des bienheureux Esprits, Que ie vous garde un don d'inestimable pris Par l'effet éprouvé d'une secret admirable Je vous rendrai le corps au fer invulnérable.
RODOMONT.	RODOMONT.
Comment?	Comment?
glaiues ny dars ne pourront rien ſur moy, Ne vous mocquez-vous point?	glaiues encore dars ne pourront rien sur moi, Ne vous moquez-vous point?
ISABELLE.	ISABELLE.
L’eſpreuue en fera foyMais la ceremonie a deux loix importunes, - M iij C’eſt qu’il faut la refaire à toutes les trois Lunes, Et que l’enchantement, quoy qu’il ſoit des plus forts, N'embraſſe que la teſte, & tout le tronc du corps, Il n'eſt pas eſtendu comme celuyd Achille.	espreuue en fera foyMais la cérémonie a deux loix importunes, - M est il faut la refaire toutes les trois Lunes, Et que enchantement, quoi il soit des plus forts, L'embrasse que en teste,ra fo le tronc la corps, Iloniest a deux lois y Achille,
RODOMONT.	RODOMONT.
N’importe, il eſt encore extremement vtile;	N'importe, il est encore extrêmement utile;
Mais pourquoy ſur Zerbin ne fut-il eſprouué?	Mais pourquoi sur Zerbin ne fut-il éprouvé?
nueſe ue que uepres puemoiniſmo duuo u uuez treuués Ou ſi par vanité ces imprudent courage N’euſt pas voulu combattre auec cet aduantage?	nuée ue que uepres puémoinismo duo du juez treuués Ou si par vanité ces imprudent courage N'eût pas voulu combattre avec cet avantage?
ISABELLE.	ISABELLE.
Ce n’eſt pas qu’en effet il n’en voulust vſer;	Ce n'est pas qu'en effet il n'en voulût user;
Mais la Religion le luy fit refuſer, Croyant que noſtre Dieu, qui deteſte les charmes;	Mais la Religion le Roi fit refuser, Croyant que notre Dieu, qui déteste les charmes;
Le ſouſtiendroit aſſeZ par la force des armes.	Le soutiendrait assez par la force des armes.
RODOMONT.	RODOMONT.
Vous voyez toutesfois comme il l’a ſouſtenu.	Vous voyez toutefois comme il l'a soutenu.
ISABELLE.	ISABELLE.
Ne parlez, point d’vn Dieu qui vous eſt incognú.	Ne parlez, point d'un Dieu qui vous est incognú.
RODOMONT.	RODOMONT.
Soit foible qui voudra, pour moy ie vous aſſure Que pour me garantir de la moindre bleſſure L'Enfer n'a point de ſort qui ne me fut plus cher 4 Que le reſpect du Ciel qui s'en pourroit faſcher,	Soit faible qui voudra, pour moi -même vous assure Que pour me garantir de la moindre blessure L'Enfer n'a point de sort qui ne me fut plus cher 4 Que le respect du Ciel qui s'en pourrait fâcher,
ISABELLE.	ISABELLE.
Url'impudent Athée.	Orl'impudent Athée.
2-	2-
RODOMONT.	RODOMONT.
Or à cela ne tienne Que voſtre volonté ne réponde à la mienne, Si vous pouueZ me rendre inuulnerable au fer, Ie iure parle Dieudu Ciel & de l’Enfer Atn efer emeis col Mavemne esorenee, Ny de vous offencer de la moindre inſolence, Ie m’abandonne donc au pouuoir de voſtre art.	Or à cela ne tienne Que votre volonté ne réponde à la mienne, Si vous pouvez me rendre invulnérable au fer, Je jure parle Dieudu Ciel et de l'Enfer Atn fer émeis col Mauvemne esorène, Ni de vous offenser de la moindre insolence, Je m'abandonne donc au pouvoir de votre art.
ISABELLE.	ISABELLE.
Apres ce grand ſerment teneZ-vous à l’écart, Pendant qu'à deux genoux & la teſte tournée Du coſté que l’Aurore annonce la iournée, I’inuoqueray pour vous & diray ce qu’il faut A l’accompliſſement d’vn miſtere ſi haut, Qui ſans herbes ny fleurs conſiſte en trois paroles Dont la moins énergique ébranſleroit les Poles, Il n'entre en tout le ſort qu'vn ſimple touſiours vert, Deſia par auanture icy-prés deſcouuert, Qu'il faut tremper trois fois dans vn' eauëpure e claire De qui l’aſperſion eſt encor neceſſaire, En fin ie ſçay le charme, il n'y manquera rien, Vous en verrez l’effect, allez.	Après ce grand serment tenez-vous à l'écart, Pendant qu'à deux genoux et la tête tournée Du côté que l'Aurore annonce la journée, J'invoquerai pour vous et dirai ce qu'il faut A l'accomplissement d'un mystère si haut, Qui sans herbes ni soins consiste en trois paroles Dont la moins énergique ébranlerait les Poles, Il n'entre en tout le sort qu'un simple toujours vert, Désia par auanture a-prés découvert, Qu'il faut tremper trois fois dans un eauëpure é laire De qui l'haire encor nécessaire, En fin ie sçay le charme, il n'y manquera rien, Vous en verrez effect, allez.
RODOMONT.	RODOMONT.
Charmez-moybien, Ie me tire à quartier dans cette grotte ſombre.	Charmez-moibien, Je me tire à quartier dans cette grotte sombre.
ISABELLE à genoux.	ISABELLE à genoux.
O!	Ô!
bien-heureux Zerbin, ô!	bienheureux Zerbin, ô!
belle ame, ô!	belle âme, ô!
chere ombre, Impetre-moy du Ciel vn courage außi fort A ſouſſrirconſamment qu'a deſirer la mort, Offre pour cet effect, ſi tu m'aymes encore, P4- La priere & la mienne au vray Dieu que i'adore.	chère ombre, Impetre-moi du Ciel un courage aussi fort A soussrirconsamment qu'a désirer la mort, Offre pour cet effet, si tu m'aimes encore, P4- La prière et la mienne au vrai Dieu que j'adore.
Priere d’Iſabelle.	Prière d'Isabelle.
Toy de qui l’Vniuers en toute ſa rondeur, Ny la Meren ſa profondeur, Ny le Ciel en ſon tour tout immenſe & tout vaſte Ne peuuent contenir la gloire & la grandeur, Dieu pour qui les ſouſpirs d’vne perſonne chaſte Ont vn parfum ſi rare & de ſi bonne odeur, Reçoyceux que ie t’offre auecque tant d’ardeur:	Toi de qui l'Univers en toute sa rondeur, Ni la Méren sa profondeur, Ni le Ciel en son tour tout immense et tout vaste Ne peuvent contenir la gloire et la grandeur, Dieu pour qui les soupirs d'une personne chaste Ont un parfum si rare et de si bonne odeur, Reçoit que pr t’offre auecque tant d'ardeur:
Suffit, l’Eſprit diuin dont ie ſuis inſpirée Me fait courir ſans crainte a la mort defiret:	Suffit, l'Esprit divin dont tu suis inspirée Me fait courir sans crainte a la mort défiret:
Sire, le charme eſt fait, vous pouuez reuenir.	Sire, le charme est fait, vous pouvez revenir.
RODOMONT	RODOMONT
RODOMONT, ſortant de la grotte.	RODOMONT, sortant de la grotte.
Il faut tout luy promettre, & ne luy rien tenir;	Il faut tout deux promettre, et ne lui rien tenir;
Mais le grand iour m'offuſque, & le Ciel ce me ſemble S’abbaiſſant doucement à la terre s’aſſemble, Tout tourne, ce pré marche & branſle ſous mes pas.	Mais le grand jour m'offusque, et le Ciel ce me semble S'abaissant doucement à la terre s'assemble, Tout tourne, ce pré marche et branle sous mes pas.
ISABELLE.	ISABELLE.
C’eſt vn effait du ſort qui ne durera pas:	C'est un effait du sort qui ne durera pas:
Ceſtte out qunte troubieyie ne fait puus rien faire SentiSinon vous arrouſer de cette eauëviue & claire;	Cestte out quitte troubieyie ne fait puus rien faire SentiSinon vous arroser de cette eauëviue et claire;
C qi jall	Ç Cqi jall
RODOMONT.	RODOMONT.
Et vous pourquoy vous mouïllez-vous ainſi?	Et vous pourquoi vous mouillez-vous ainsi?
IOFDELLE.	JOFDELLE.
Pource que i’ay deſſein de me charmer außi;	Pource que j'ai dessein de me charmer aussi;
Oril ne reſte plus qu'à faire experience Mumuatte cuiueni qu'a prouuier ma ſcience.	Oril ne reste plus qu'à faire expérience Mumatte cueni qu'a provier ma science.
Sur qui?	Sur qui?
RODOMONT.	RODOMONT.
deIIDEdAuSO Sur vous.	deIIDEdAuSO Sur vous.
RODOMONT.	RODOMONT.
Sur moy?	Sur moi?
ie ſuis trop chatoüilleux Pour ſouffrir ſur mon corps cet eſſay perilleux, Faites-le ſur quelqu'autre.	Je suis trop chatoüilleux Pour souffrir sur mon corps cet essai périlleux, Faites-le sur quelqu'autre.
ISABELLE.	ISABELLE.
Et bien ie m'abandonne.	Et bien ie m'abandonne.
I'en ſouſtiendray l'épreuue en mapropre perſonne;	J'en soutiendrai l'épreuve en mapropre personne;
Non, non, ne craignezrien, mettez l’eſpée au poin Lonffe & ue vojere force, & ne m'eſpargnez point.	Non, non, ne craignezrien, mettez l'épée au poin Lonffe et ue vojere force, et ne m'épargnez point.
3	3
