A PHILISTE	À PHILISTE
’eſpere auecque l’ayde de Dieu (SeiEgneur Pantalon) que vous ne vous laiſſerez pas encores emporter à la foule de ceux qui paſſent de ceſte vie à l’autre, vous auez dans le corps vne ſource de vie qui ne tarira iamais, & vous auez faict vne prouiſion & vn threſor de ſanté qui doit duret iuſques à la fiǹ du monde, ne plus ne moins que ſi pour le bien general de la Chreſtienté vous deuiez eſtre autant en la Nature des choſes que le Soleil & les Aſtres, voire meſmes eſtre reſerué pour faire l’Epitaphe del’Vniuers, & les dernieres chanſons qui doiuent finir la ioye des hommes, & apres cela demeurer le ſeul & vnique heritier de toute la terre:	Çà le seul eaide de Cela (SeiEgneur Pantalon) que vous ne vous laisserez pas encor emporter à la foule de ceux qui passent de cette vie à l'autre, vous avez dans le corps une source de vie qui ne tarira jamais, et vous avez fait une prouision et vn trésor de santé qui doit duret jusques à la fières du monde, ne plus ne moins que si pour le bien général de la Chrétienté vous deviez vous autant en la Nature des choses que le Soleil et les Astres, voire mêmes être réservé pour faire l'Epitaphe délVniuers, et les dernières chansons qui doiuent finir la ioye des hommes, et les cela demeurer le seul et vnique qui de oie la terre:
Car à bien conſiderer les malheurs & les accidens que vous pouuez auoir veuz en voſtre vie, dont vous eſtes pourtant heureuſement eſchappé, on peut dire auecque apparance que vous auez paſſé le temps de mourir, & qu’il ne faudroit pas moins que des eſclats de foudres, & des cheutes de montagnes pour vous oſter la vie, que vous auez veu de ces malheureuſes ſaiſons?	Car à bien considérer les malheurs et les accidents que vous pouvez avoir vus en votre vie, dont vous êtes pourtant heureusement échappé, on peut dire avec apparance que vous avez passé le temps de mourir, et qu'il ne faudrait pas moins que des éclats de foudres, et des chutes de montagnes pour vous ôter la vie, que vous avez vu de ces malheureuses saisons?
où l’air eſtoit infecté de telle ſorte que les oyſeaux en tomboiẽt tous morts, & que l’eau des fontaines ſe corrompoit en poiſon, & toutesfois ces peſtes n’ont pas oſé attaquer voſtre corps:	où l'air était infecté de telle sorte que les oiseaux en tomboiẽt tous morts, et que l'eau des fontaines se corrompait en poison, et toutefois ces pestes n'ont pas osé attaquer votre corps:
Auſſi croys-ie que Dieu laiſſeroit pluſtoſt toucher a ſes Autels, & à ſes lmages qu’à voſtre perſonne, & qu’outre la prouidẽce qui gouuèrne le monde, il y en a vne particuliere dans le Ciel, qui n’eſt deſtinée qu’à voſtre vie, vous auez gouſté de deux differẽs ſiecles, & ce ne ſont plus les meſmes hommes que vous auez veu, ce ſont maintenant les affaires d’vn autre Royaume, depuis le temps que vous eſtes au monde la Chreſtienté à changé dix fois de face, ny nos mœurs, ny nos habillemens, ny noſtre Cour, ne ſeroit pas recognoiſſable à celle que vous auec veuë.	Aussi crois-je que Dieu laisserait plutôt toucher à ses Autels, et à ses lmages qu'à votre personne, et qu'outre la providence qui gouverne le monde, il y en a été particulière dans le Ciel, qui n'est destinée qu'à votre vie, vous avez goûté de deux differẽs siècles, et ce ne sont plus les mêmes hommes que vous avez vu, ce sont maintenant les affaires d'un autre Royaume, depuis le temps que vous êtes au monde la Chrétienté à changé dix fois de face, ni nos habillements, ni nos habillements, ni nôtre Cour, ne serait pas reconnaissable à celle que vous avez vues.
Les hommes depuis voſtre naiſſance ont fait de nouuelles loix, & introduit vn autre Dieu, & les vertus de voſtre ieune aage ſont maintenant les vices de celuy-cy;	Les hommes depuis votre naissance ont fait de nouvelles lois, et introduit un autre Dieu, et les vertus de votre jeune âge sont maintenant les vices de celui-cy;
au reſte voſtre ieuneſſe eſt auſſi eſloignée de nous que la vie de Charlemagne, & il ſemble que viuiez dés le commencement de ceſte Monarchie, vne grande partie de vous meſme eſt demeurée dans l’hiſtoire de quatres regnes, & quoy que vous ayez eſté de cet autre ſiecles, vous ne laiſſez pas pour cela de faire encore vne partie notable de celuy cy;	au reste votre jeunesse est aussi éloignée de nous que la vie de Charlemagne, et il semble que viviez dès le commencement de cette Monarchie, une grande partie de vous même est demeurée dans l'histoire de quatres règnes, et quoi que vous ayez été de cet autre siècles, vous ne laissez pas pour cela de faire encore une partie notable de celui cy;
Car à veoir la vigueur & la force de voſtre eſprit, & l’entiere & parfaicte ſanté dont vous jouïſſez, il iemble que vous vous ſoyez ſeulement enfariné ce viſage, que i’appelle pluſtoſt immortel qu’ancien, & que le baſton 1 que vous portez eſt pluſtoſt vne marque de voſtre autotité que de võftrẽ ----2- foibleſſe, auſſi eſt ce pour le biẽ du mõ.	Car à voir la vigueur et la force de votre esprit, et l'entière et parfaite santé dont vous jouissez, il semble que vous vous soyez seulement enfariné ce visage, que j'appelle plutôt immortel qu'ancien, et que le bâton 1 que vous portez est plutôt une marque de votre autôtité que de võftrẽ -- foiblesse, aussi est ce pour le biẽ du .
de que Dieu vous à donné cette ſanté vigoureuſe, & pour l’employer à ſon ſeruice, & veiller à la cõduitte de voſtre meſnage, & vous auriez aſſez de vie pour animer encores trente corps comme celuy du Docteur.	de que Dieu vous a donné cette santé vigoureuse, et pour l'employer à son service, et veiller à la cõduitte de votre ménage, et vous auriez assez de vie pour animer encore trente corps comme celui du Docteur.
I’ay dit.	J'ai dit.
PANTALON.	PANTALON.
Voila vn galand homme, & qui merite d’eſtre le baſton de ma vieilleſſe, & l’apuy de mes dernieres années ſur leſquelles il a parlé en s’y bons termes:	Voilà un galant homme, et qui mérite d'être le bâton de ma vieillesse, et l'appui de mes dernières années sur lesquelles il a parlé en s'y bons termes:
mais de grace braue Paladin encores faut il que ie vous cognoiſſe, & que ie ſcache vn peu de quoy vous vous eſtes meſlé toute voſtre vie.	mais de grâce brave Paladin encore faut -il que je vous connaisse, et que ici sache un peu de quoi vous vous êtes mêlé toute votre vie.
LE PALADIN.	LE PALADIN.
Il eſt tres certain, que les belles as ctions ſemblables à celles que i’ay faites en mon temps, ne ſe font pas plus ſouuent veoir au monde que les deluges, & les autres grands effects de la iuſtice, ou de la puiſſance de Dieu:	Il est très certain, que les belles as ctions semblables à celles que j'ai faites en mon temps, ne se font pas plus souvent voir au monde que les déluges, et les autres grands effets de la justice, ou de la puissance de Dieu:
car auec vn long temps & vne longue ſuite d’années, les plus ignorans acquereroient meſme de l’experience, & les plus laſches en fin deuiendroient les maiſtres, quand ce ne ſeroit qu’ils verroient mourir tous les autres :	car avec quelque long temps et une longue suite d'années, les plus ignorants acquereraient même de l'expérience, et les plus lâches en fin deviendraient les maîtres, quand ce ne serait qu'ils verraient mourir tous les autres :
force gens meſme ont fait de grandes actions qui ont cõmencé leurs vies par de grandes fautes, ou de petites choſes:	force gens même ont fait de grandes actions qui ont commencé leurs vies par de grandes fautes, ou de petites choses:
mais comme il ny a gueres de riuieres qui ſoiẽt nauigeables en leur ſour2 ce, ny de païs ou le Soleil ſoit chaud dés le poinct du iour:	mais comme il était à guère de rivières qui soient naviguables en leur sour2 ce, ni de pays ou le Soleil soit chaud dès le point du jour:
auſſi certes ceux Ia ſont rares, qui pour eſtre grands –← mont point beſoin de croiſtre ny de vieillir, & par conſequẽt ne ſont point ſubjets ny à l’ordre du temps, ny aux regles de la Nature:	aussi certes ceux Ia sont rares, qui pour être grands âme mont point besoin de croître ni du vieillir, et par conséquence ne sont point sujets ni à l'ordre du temps, Seigneur aux règles de la Nature:
Ie dis cecy Sei	Je dis ceci Sei
gneur gneur Pantalon, parce que des ma tendre ieuneſſe, i’ay faict des’exploicts & des Miracles preſque incroiables:	gneur gneur Pantalon, parce que des ma tendre jeunesse, j'ai fait des exploicts et des Miracles presque incroyables:
car à l’aage de dix ou douze ans, ie puis me vanter, d’auoir ſouuent eſté appellé au Conſeil de guerre, & d’auoir quelquefois remply la place de mon Capitaine, en la conduite de trois Compagnies:	car à l'âge de dix ou douze ans, je puis me vanter, d'avoir souvent été appelé au Conseil de guerre, et d'avoir quelquefois rempli la place de mon Capitaine, en la conduite de trois Compagnies:
les traictez de paix, les reſolutions de guerre, & generalement tous les grands affaires, ne ſe faiſoient point ſans moy:	les traités de paix, les résolutions de guerre, et généralement tous les grands affaires, ne se faisaient point sans moi:
mais auſſi au lieu de m’amuſer comme les autres enfans de mon aage à mettre vn baſton entre mes iambes, ie montois tous les plus grands cheuaux de l’eſcurie du Roy & au lieu d’eſpee de bois, je me ſeruois des armes du plus gros Suiſſe de l’armee, Bref la viuacité de ma nature fourniſſant par auance à mon corps & à mon eſprit, tout ce que peut apporter le temps;	mais aussi au lieu de m'amuser comme les autres enfants de mon âge à mettre un bâton entre mes jambes, Seigneur montais tous les plus grands chevaux de l'écurie du Roi et au lieu d'épée de bois, je me servais des armes du plus gros Suisse de l'armée, Bref la vivacité de ma nature fournissant par avance à mon corps et à mon esprit, tout ce que peut apporter le temps;
il ſembloit que pour eſtre ſage & prudent, grand & puiſſant, je n’euſſe point beſoin, d’aage ou d’experience.	il semblait que pour être sage et prudent, grand et puissant, je n'eusse point besoin, d'âge ou d'expérience.
PANTALON.	PANTALON.
C'eſt aſſez, ie cognois maintenant le Lyon par la patte, allons au logis faire la collarion nuptiale, & pourſuiure le reſte du diſcours que vous auez commencé;	C'est assez, ie con maintenant le Lyon par la patte, allons au logis faire la collarion nuptiale, et poursuivre le reste du discours que vous avez commencé;
ie vous feray ſeruir des reptiles de mon iardin, & des pommes & des muſcats que ie vous donneray, il en ſortiroit dequoy enyurer la Normandie & l’Angleterre, c’eſt de ces ſortes de choſes agreables que ie pretends vous faire part, & laiſſer au peuple les néceſſaires:	ie vous ferai servir des reptiles de mon jardin, et des pommes et des muscats que je vous donnerai, il en sortirait dequoy enivrer la Normandie et l'Angleterre, c'est de ces sortes de choses agréables que de prétends vous faire part, et laisser au peuple les nécessaires:
au reſte ſi nous pouuions vne fois eſtre atablez, nous ne nous en leuerions pas àla haſte pour ſauuer la moytié du monde, de peur ce troabler la digeſtion;	au reste si nous pouvions une fois être atablez, nous ne nous en lèverions pas àla hâte pour sauver la moytié du monde, de peur ce trobler la digestion;
ie feray allumerin dcau ce von uorent dunà nuict & des mauuais iours, qui ſera tout de	Les ferai allumerin dau ce von orent dunà nuit et des mauvais jours, qui sera tout de
LE PALADIN.	LE PALADIN.
Ie veois bien Monſieur, que ie ſuis la teſte la plus chere que vous ayez auiourd’huy ſoubs voſtre conduite, & ie ne receurois pas de vous vne nourriture ſi delicate, & ſi precieuſe que ie la reçoy, ſi voſtre affection ne vous faiſoit acroire que ma vie vaut plus que celle des autres, & quelle merite par conſequent d’eſtre plus ſoigneuſement conſeruée:	Je veais bien Monsieur, que votre suis la tête la plus chère que vous ayez aujourd'hui sous votre conduite, et un ne receurois pas de vous nourriture si délicate, et si précieuse que tu la reçois, si votre affection ne vous faisait acroire que ma vie vaut plus que celle des autres, et quelle mérite par conséquent d'être plus soigneusement conservée:
mais de vous rendre des complimens pour des courtoiſies & obligations ſi grandes, ce ne ſeroit pas en eſtimer aſſez la valeur, ſi ie pẽſois m’en acquiter par des ſimples paroles:	mais de vous rendre des compliments pour des courtoisies et obligations si grandes, ce ne serait pas en estimer assez la valeur, si ie pẽsois m'en acquit par des simples paroles:
De ſorte que s’il eſt vray ce qu’on dit, que les Roys ſont donnez par la force, & les beaux peres par haſard, ie n’ay pas de petits remercimẽts à faire auiourd’huy à la fortune, de m’auoir placé ainſi dans vne bonne maiſon, où ie voy bien qu’il ne manque rien que la ſource de l’or, & les choſes qui ne ſont pas neceſſaires, mais qu’en dictes vous ma Maiſtreſſe?	De sorte que s'il est vrai ce qu'on dit, que les Rois sont donnés par la force, et les beaux pères par hasard, notre n'ai pas de petits remerciments à faire aujourd'hui à la fortune, de m'avoir placé ainsi dans une bonne maison, où tu vois bien qu'il ne manque rien que la source de l'or, et les choses qui ne sont pas nécessaires, mais qu'en dictes vous ma Maistresse?
n’eſtes vous pas bien contente de tout cecy.	n'êtes -vous pas bien contente de tout ceci.
CLORINDE.	CLORINDE.
Puiſque ie vous ay donné ma parole, ſur la foy publicque, ſur les autels &ſur les euangiles, croyez que ie ne ſuis pas reſolu de la reuoquer, & quel.	Puisque je vous ai donné ma parole, sur la foi publique, sur les autels etsur les évangiles, croyez que ie ne suis pas résolu de la révoquer, et quel.
Ie demeurera inuiolable quoy que le ciel & la terre faſſent, bref ie me partageray touſiours entre vous & mon Pere que voilà, & voſtre compagnie me ſera de ſormais s’ychere, qu’elle me Ierort trouuer la cour au vmage & Paris dans les landes de Bourdeaux.	Je demeurera inviolable quoi que le ciel et la terre fassent, bref ie me partagerai toujours entre vous et mon Père que voilà, et votre compagnie me sera de sormais s'ychère, qu'elle me Jerort trouver la cour au vage et Paris dans les landes de Bourdeaux.
PANTALON.	PANTALON.
Allez donc chers enfans vous enfermer en quelque lieu tous deux enſemble, & n’en partez point que vous n’y faſſiez vn tiers, vous eſtes tous deux en vn aage, ou vous pouuez vous donner contentement, & en receuoir l’vn de l’autre;	Allez donc chers enfants vous enfermer en quelque lieu tous deux ensemble, et n'en partez point que vous n'y fassiez un tiers, vous êtes tous deux en un âge, ou vous pouvez vous donner contentement, et en recevoir l'un de l'autre;
n’ayez crainte de faire comme voſtre voiſin, des muets, des borgnes;	n'ayez crainte de faire comme votre voisin, des muets, des borgnes;
& des monſtres, mais faictes moy des enfans qui ne ſoient pas aſſez meſchans pour deſirer voſtre mort, qui ayent aſſez de ſageſſe & de patience pour l’attendre, voire qu’ils ſoient ſi gens de bien que iamais ils n’y ſongent;	et des monstres, mais faites moi des enfants qui ne soient pas assez méchants pour des vôtre mort, qui aient assez de sagesse et de patience pour l'attendre, voire qu'ils soient si gens de bien que jamais ils n'y songent;
c’eſt toy braue Paladin employe bien ce corps capable d’enuoyer des Colonies en toutes les parties du monde, & de remplirles terres qui ſont les plus deſertes, imite en cela (ce grand Hercules, auſſi bien qu’en tés autres exploits) ce grand dompteur de Monſtres diſ-je, ou pluſtoſt ce grand abateurs de bois, qui en vne nuit fut cinquante fois gendre de ſon hoſte, monſtre toy cinquante fois mary de ta maiſtreſſe, & te ſouuiens que la nuit à ſes plaiſir auſſi bien que le iour.	c'est toi brave Paladin emploie bien ce corps capable d'envoyer des Colonies en toutes les parties du monde, et de remplirles terres qui sont les plus désertes, imite en cela (ce grand Hercule, aussi bien enôtés autres exploits) ce grand dompteur de Monstres dis-je, ou plutôt ce grand abateurs de bois, qui en une nuit fut cinquante fois gendre de son hôte, montre toi cinquante fois mari de ta maîtresse, et te souviens que la nuit à ses plaisir aussi bien que le jour.
DERNIER ACTE deune lasMBAb.	DERNIER ACTE deune lasMBAb.
LE DOCTEVR.	LE DOCTEUR.
Nfin, i’ay donc eſté chaſſé & reEbuté ne plus ne moins qu’vn mauuais courtiſan, ou vn meſchãt miniſtre d’eſtat, & quand ie me conſidere en l’eſtat ou ie ſuis, & où il n’y a plus d’honneſte occupation pour mon eſprit, il me ſemble veoir vn Phidias, ou quelqu’autre de ces anciens ouuriers, à qui on ayt lié les mains, & oſté d’autour de luy le marbre, l’or, & l'yuoire, en fin donc le Paladin a paſſé pour plus grand Autheur que moy, & ſa facilité de parler mal à eſté preferée en ce qui me deuoit eſtre reſeruée, mais Dieu ſçait de quelle façon ie le traiteray, s’y ie veux on croira vn iour que c’eſtoit vn monſtre qui deuoroit les villes entieres, & declaroit la guerre auxchoſes diuines & humaines, on s’ymaginera que c’eſtoit vn Magicien qui piquoit touſiours quelque image de cire auec des aiguiles, & qui troubloit tout le monde de ſon temps, par la force de ſes charmes, bref ie feray paroiſtre que ie vaux plus que tous mes ennemis, & qu’ils n’ont d’autre auantage ſur moy qui ſuis maladif, que celuy de la ſanté s’ils ſe portent bien:	Nfin, j'ai donc esté chassé et rebuté ne plus ne moins qu'un mauvais courtisan, ou un méchant ministre d'état, et quand ie me considère en l'état ou autre suis, et où il n'y a plus d'honnête occupation pour mon esprit, il me semble veoir un Phidias, ou quelqu'autre de ces anciens ouvriers, à qui on ait lié les mains, et ôté d'autour de lui le marbre, l'or, et l'yvoire, en fin donc le Paladin a passé pour plus grand Auteur que moi, et sa facilité de parler mal à été preferée en ce qui me devait être réservée, mais Dieu sçait de quelle façon ie le traiteray, y ie veux on ra y que estoit monstre qui de les villes entières, et declaroit la guerre auxchoses diuines et humaines, on ymaginera que estoit Magicien qui piquoit tousiours quelque image de cire auec des aiguiles, et qui troubloit tout le monde de son temps, par la force de ses charmes, bref ie ferai paroistre que ie vaux plus que tous mes ennemis, et ils ont autre auantage sur moi qui suis maladif, que celui de la santé ils se portent bien:
la neceſſité à de cruelles armes, & les moilutesues beutesqui iont aux abois ſont quelque fois les plus dangereuſes.	la nécessité à de cruelles armes, et les moilutesues beutesqui jont aux abois sont quelque fois les plus dangereuses.
HYDASPE.	HYDASPE.
Monſieur, Monſieur, puiſque nous durons ſi peu, il n’eſt pas raiſonnable que nos paſſions ſoient immortelles, & il vaut beaucoup mieux ſouffrir l’iniuſtice que de la faire, & eſtre le Martyr que le Tyran, imaginõs nous que ce mauuais affaire arriua au ſiecle des choſes fabuleuſes, & pour noſtre commun contentement apprenons l’art d’oubliance.	Monsieur, Monsieur, puisque nous durons si peu, il n'est pas raisonnable que nos passions soient immortelles, et il vaut beaucoup mieux souffrir l'injustice que de la faire, et et le Martyr que le Tyran, imaginons nous que ce mauvais affaire arriva au siècle des choses fabuleuses, et pour notre commun contentement apprenons l'art d'oubliance.
LE DOCTEVR.	LE DOCTEUR.
Ouy, mais quand ie conſidere le tord qu’il ma fait, me rendant meſpriſable enuers tout vn ſexe, & ridicule à l’autre plus belle partie du monde, ie ne ſçaurois m’empeſcher de luy vouloir mal, & apres tout faut-il qu’vn ſi meſchant homme ne meure qu’vne fois.	Oui, mais quand ie considère le tord qu'il ma fait, me rendant méprisable envers tout un sexe, et ridicule à l'autre plus belle partie du monde, je ne saurais m'empêcher de lui rendre mal, et après tout faut-il qu'vn si méchant homme ne meure qu'une fois.
91 HYDASPE.	91 HYDASPE.
idioMelpiaVous deuiez poſſeder les bonnes graces de voſtre Maiſtreſſe, comme des biens qui ſe peuuent perdre, & maintenant vous vous monſtriez le meſme en l’vne & l’autre fortune, & il ne fonciruit paudeiconre bouche vne ſeule parole, qui ne fuſt digne de voſtre coûrage.	idioMelpiaUous deviez posséder les bonnes grâces de votre Maîtresse, comme des biens qui se peuvent perdre, et maintenant vous vous montriez le même en l'vne et l'autre fortune, et il ne fonciruit paudeicomè che grande seule parole, qui ne fût digne de votre courage.
LE DOCTEVR.	LE DOCTEUR.
9ꝰflohos cmal C.	9flohos cmal Ç.
LOI L’authorité de mon ennemy doit offencerles yeux de tous ceux qui font profeſſion profeſſion de m’eſtre fi deles, & s’efforcer en quelque façon de cacher mon infamie, en donnant quelque rarſon ou ſatisfaction à mon deſplaiſir, i’iray doncques plus auant (cher Hydaſpe eſtant aſſez aſſeuré, n’y que la erante de la mort, que vous auez meſpriſée en toutes les formes & ſous tous ley viſages ou elle ſe peut monſtrer, n'yl’intereſt qui fait qu’on ſe regardé bien ſouuent pluſtoſt ſoy-meſme que ſon amy, ne vous empeſcheront iamais de propoſer, d’entreprendre, & d’executer des grandes choſes, ſouuenez vous que ſoubs le Charlemagne des Poëtes Ie combat de Roger a eſté la victoire de Leon & qu’il s’eſt trouué vn homme qui reſentoit les bleſſures de ſon amy premier que luy, & prenoit plus de part en ſes intereſts que luy-meſme en vn mot ie voudrois eſtre obligé à voſtre ſec ours, de ce que ie ne puis attendre du merite de ma cauſe, puiſque la verité ne ſe ſçauroit meſme deffendre toute ſeule, apres cela ſi ie vous dois mon honneur, ie vous deuray quelque choſe de plus que ma vie, & vous auez eſté amy, non pas à la mode, mais de la bonne ſorte!	LOI L'autorité de mon ennemi doit offenserles yeux de tous ceux qui font profession profession de m'être fi deles, et s'efforcer en quelque façon de cacher mon infamie, en donnant quelque rarson ou satisfaction à mon déplaisir, j'irai donc plus avant (cher Hydaspe étant assez assuré, n'y que la erante de la mort, que vous avez méprisée en toutes les formes et sous tous le visages ou elle se peut monstrer, n'ilintérêt qui fait qu'on se regardé bien souvent plutôt soi- que son amy, ne vous empêcheront jamais de proposer, entreprendre, et exécuter des grandes choses, souuenez vous que soubs le a des Poëtes Ie combat de Roger a esté la victoire de Leon et il est trouué homme qui resentoit les blessures de son amy premier que lui, et prenoit plus de a en ses intérêts que lui-même en mot ie voudrois être obligé vôtre sec ours, de ce que ie ne puis attendre du merite de ma cause, puisque la vie ne se sçauroit même défendre toute seule, apres cela si ie vous dois mon honneur, ie vous deuray quelque chose de plus que ma vie, et vous auez et amy, non pas la mode, mais de la bonne sorteg
Au reſte noſtre ennemy n’a pas eſté iuſques icy ſi conſiderable par ſes propres forces, comme par l’opinion qu’on en auoit conceuë, & les grands aduantages qu’il s’attribuoit luy-meſme, ie me plains en celà le plus, de ma mauuaiſe fortune, de me choiſir pour aduerſaire le plus infame de tous les hommes.	Au reste notre ennemi n'a pas été jusques ici si considérable par ses propres forces, comme par l'opinion qu'on en avait conçue, et les grands avantages qu'il s'attribuait avoir-même, je me plains en celaà le plus, de ma mauvaise fortune, de me choisir pour adversaire le plus infâme de tous les hommes.
HYDASPE.	HYDASPE.
Ie vois bien ce que vous voulez dire vous cherchez à vous fortifier d’hommes & d’amys, contre le Paladin que vous prenez pour le Turc, & pour l’Heretique:	Je vois bien ce que vous voulez dire vous cherchez à vous fortifier d'hommes et d'amis, contre le Paladin que vous prenez pour le Turc, et pour l'Hérétique:
mais ie vous aſſeure que i’en feray vn ſi grand exemple de Iuſtice que tout le monde s’en eſtonnera, & l’abandonneray ſi fort à noſtre iuſte vangeance qu’il ne demeurera pas inuiolable à pas vn de nos lacquais, & luy feray veoir qu’apres auoir donIné le ſiecle d’orà ſon beau-pere, vous Iuy en auez reſerué vn de bois pour uy tout ſeul.	mais encore vous assure que j'en ferai un si grand exemple de Justice que tout le monde s'en étonnera, et l'abandonnerai si fort à notre juste vengeance qu'il ne demeurera pas inviolable à pas un de nos laçais, et avoir ferai avoir qu'après avoir donIné le siècle d'à son beau-père, vous Jui en avez réservé un de bois pour ui tout seul.
LE DOCTEVR.	LE DOCTEUR.
Voicy la vraye heure, voyez vous pas que de l’obſcurite & de la lumiere, il ſe fuit vn troiſieſme temps, & qu’il y a encores aſſez de iour pour n’eſtre pas tout à fait nuict, allez donc, & vous ſouuenes de ne perdre pas à deliberer le temps qui doit eſtre employé à bien faire, & que ceſte meſme action, qui a eu pour prix ceſte belle maiſtreſſe, ait pour fin vn traitement plain d’infamie & de honte, il y a à la verité peu de gẽs en Campagne pour cet affaire, mais pour combien penſez vous que ie compte Hydaſpe le chef de ceſte entrepriſe, c’eſt obliger le Paladin que de luy oſter tout d’vn coup, toutes ſes peurs & toutes ſes eſperances.	Voici la vraie heure, voyez vous pas que de l'obscurité et de la lumière, il se fuit un troisième temps, et qu'il y a encor assez de jour pour n'être pas tout à fait nuit, allez donc, et vous souvenez de ne perdre pas à délibérer le temps qui doit être employé à bien faire, et que cette seule action, qui a eu pour prix cette belle maîtresse, ait pour fin un traitement plain d'infamie et de honte, il y a à la vérité peu de gendre , Mais pour cet affaire, mais pour cet pensez mais pou ie compte Hydaspe le Hde ceste entreprise, c'est obliger le Paladin que de lui ôter tout coup, c' es peurs et toutes ses espérancesg
LE PALADIN.	LE PALADIN.
Alarme, iuſtice, au meutre, é Meſſieurs ayez compaſſion de moy, de tãt de douleurs, vous n’en ſçauriez faire au pis aller qu’vne mort, & porter vn pauure homme iuſques ſur les bornes de l’autre monde, & luy faire toucher les extremitez de ſa vie, alarme, iuſtice, au meurtre.	Alarme, justice, au meutre, é Messieurs ayez compassion de moi, de toujours de douleurs, vous n'en sauriez faire au pis aller qu'une mort, et porter un pauvre homme jusques sur les bornes de l'autre monde, et sans faire toucher les extrémités de sa vie, alarme, iustice, au meurtre.
HYDASPE.	HYDASPE.
Aprens vne autre fois à porter autant de reſpect aux Docteurs, qu’aux choſes ſainctes, & que deſormais il ne tereſte plus que la ſeule gloire de l’humilité & de l’obeyſſance.	Apprends une autre fois à porter autant de respect aux Docteurs, qu'aux choses sainte, et que désormais il ne tereste plus que la seule gloire de l'humilité et de l'obéissance.
CLORINDE.	CLORINDE.
1N.	1N.
bn h.	bn h.
M3 120d OuVSOmSLI Dueux qu’eſt-ce que ie voy, à cher amy que vous eſt-il arriué.	M3 120 OuUSOmSLI Dueux qu'est-ce que je vois, à cher ami que vous est-il arrivé.
LE PALADIN „qεlεIUILM La plus grande partie a eu l’aduantage ſur la meilleure, & la vertu & la raiſon qui eſtoient de mon coſté, n’ont ſçeu venir à bout de la multitude & de l’iniuſtice, mais ce qui fait que la vertu eſt ainſi mal ſuiuie, c’eſt quelle eſt mal perſuadee.	LE PALADIN „qlIIUILM La plus grande partie a eu l'avantage sur la meilleure, et la vertu et la raison qui étaient de mon côté, n'ont su venir à bout de la multitude et de l'injustice, mais ce qui fait que la vertu est ainsi mal suivie, c'est quelle est mal persuadée.
M0In enV 1ell6 10	M0In enV 1ell6 10
PANTALON.	PANTALON.
Voicy vn des traicts de mon Docteur qui faiſoit tant le pacifique, mais il a beau ſe donner de la peine de treuuer ſa mauuaiſe fortune, cela ne fera pas changer mes volontez, ny ne retardera pas les ſolennitez de l’aliance promiſe;	Voici un des traits de mon Docteur qui faisait tant le pacifique, mais il a beau se donner de la peine de trouver sa mauvaise fortune, cela ne fera pas changer mes volontés, ni ne retardera pas les solennités de l'aliance promise;
au contraire comme ceux qui ſe noyent:	au contraire comme ceux qui se noient:
& ceux qui les veulent ſauuer ſe perdent ordinairement tous enſemble, nous verrons s’il plaiſt à Dieu dans vn meſme naufrage le Docteur, Hydaſpe, & tous ſes complices, ie m’en plaindray auiuge, & s’il ne me fait iuſtice, ie condamneray l’eſtat & tous ceux qui le gouuernent, ie ſeray moy-meſme le ſoliciteur deces affaires, & ne ſouffriray pas qu’on m’oblige en mon abſence, & outre l’heureux ſuccez que nous promet la bonté de noſtre cauſe:	et ceux qui les veulent sauver se perdent ordinairement tous ensemble, nous verrons s'il plaît à Dieu dans un même naufrage le Docteur, Hydaspe, et tous ses complices, je m'en plaindrai aujuge, et s'il ne me fait justice, Seigneur condamnerai l'état et tous ceux qui le gouvernent, je serai moi-même le soliciteur décès affaires, et ne souffrirai pas qu'on m'oblige en mon absence, et outre l'heureux succès que nous promet la bonté de notre cause:
i’ay vn ſi grand amy à la Cour, que quand ſon integrité meſme y deuroit eſtre offencée, ie deuray, (ie m’aſſeure,) tout à ſa faueur.	j'ai un si grand ami à la Cour, que quand son integrité même y devrait être offensée, Seigneur devrai, (ie m'assure,) tout à sa faveur.
CLORINDE.	CLORINDE.
Mais comment vous trouuez vous viſanqunnr,	Mais comment vous trouvez -vous visanqunnr,
LE PALADIN.	LE PALADIN.
Maintenant la violence de la douleur ceſſe, & maintenãt ie cõmence à iouyr de ce repos, que la laſſitude & la foibleſſe apportent aux corps qui ont cite trauamen, muie ne cuige pas pour cela, ma pauure amie.	Maintenant la violence de la douleur cesse, et maintenants ie commence à jouir de ce repos, que la lassitude et la faiblesse apportent aux corps qui ont cite travamen, muie ne cuige pas pour cela, ma pauvre amie.
CLORINDE.	CLORINDE.
Voſtre mal ne ſçauroit qu’il ne paſſe à moy, & ie ne vous ſçaurois regarder que ie ne le prenne.	Votre mal ne saurait qu'il ne passe à moi, et tu ne vous saurais regarder que ici ne le prenne.
LE PALADIN.	LE PALADIN.
