ALANCuENERe	ALANCuENERée
Et quoy ſi voſtre amy vous auoit veu courir Dans vn danger mortel?	Et quoi si votre ami vous avait vu courir Dans é danger mortel?
Ba n ai i ss qu’il me laiſſaſt mourir, Le plus ſanglant dépit que la Fortune liure A des deſeſperez, c’eſt les forcer de viure.	Ba n ai y sus qu'il me laissât mourir, Le plus sanglant dépit que la Fortune livret A dés espérez, c'est les forcer de vivre.
SARQVE.	SARQUE.
Il eſt vray qu’vn deſir vne fois emporté, Vers vn funeſte Amour a plus de fermeté, On retracte pluſtoſt le deſſein legitime, D’vne beneactio que le proiect d’vn crime, Le mal a plus d’appas, & ce qui plus nous nuit, Auecque plus d’adreſſe & de vigueur nous ſuit, Vous courez obſtiné ce ſemble à voſtre perte, Quelque difficulté qui vous y ſoit offerte, vos purens ovtgex a in nainret deuoir, Vous oppoſent icy leur abſolu pouuoir.	Il est vrai qu'un désir une fois emporté, Vers un funeste Amour a plus de fermeté, On retracte plutôt le dessein légitime, D'une beneactio que le prois d'un crime, Le mal a plus d'appas, et ce qui plus nous nuit, Avecque plus d'adresse et de vigueur nous suit, Vous courez obstiné ce semble à votre perte, Quelque difficulté qui vous y soit offerte, vos puren ovtgex a in nainret deuoir, Vous opposent leur absolu pouuoir.
IRAME.	JRAME.
C’eſt par où mon deſir dauantage ſe picque, I aime bien à forcer vne loy tyrannique, Amour n'a point de Maiſtre, & vos empeſchemens Ne me ſont deſormais que des allechemens:	C'est par où mon désir davantage se picque, I aime bien à forcer une loi tyrannique, Amour n'a point de Maître, et vos empêchements Ne me sont désormais que des allechemens:
C’iſt vne occaſion de me monſtrer fidelle, C’eſt prouuer a Thisbé que i’oſe tout pour elle.	C'ist une occasion de me montrer fidèle, C'est prover à Thisbé que j'ose tout pour elle.
N'as tu point quelquesfois pris garde à ſa beauté, Toy qui par deſſus tous aime la nouueauté, I'oy qui depumtesouras u ou te Svieit ſe leue, Iuſqu’aux flots reculez où la c’artes’acheue, Des obiets les pl9 beaux as fait iuges tes yeux En as tu recogneu qui puißent plaire mieux?	N'as tu point quelquefois pris garde à sa beauté, Toi qui par dessus tous aime la nouveauté, J'ois qui dépumtesouras u ou te Suvieit se lue, Jusqu'aux flots reculez où la c'artes achève, Des objets les plues beaux as fait juges tes yeux En as tu reconnu qui puissent plaire mieux?
ARQVE.	ARQUE.
Il eſt certain qu'elle a quelque choſe de rare, Dis qu’elle a quelque choſe à tenter vn barbare.	Il est certain qu'elle a quelque chose de rare, Dis qu'elle a quelque chose à tenter un barbare.
Celuy que ſes regards ne peuuẽt pas toucher, Il a des duretez de ſouche & de rocher,	Celui que ses regards ne peuvent pas toucher, Il a des duretés de souche et de rocher,
DISARQVE' Voila bien des diſcours de la melancholie,	DISARQUE' Voilà bien des discours de la mélancolie,
TRAME.	TRAME.
Ie croy que taraiſon vaut moins que ma folie, Et que tu viens à tort me plaindre & m’accuſer D’vn erreur où les Dieux ſe voudroyent abuſer, Ne m’en parle iamais;	Je crois que taraison vaut moins que ma folie, Et que tu viens à tort me plaindre et m'accuser D' erreur où les Dieux se voudraient abuser, Ne m'en parle jamais;
ta reſiſtance eſt vaine, Et ſi tu n’as iuré de t’acquerir ma haine, Si tu'n’as reſolu de rompre auecques moy, Dedans ma paßion ne me fais plus la loy, Tu voudroi que i’aimaſſe à la façon commune, Et qu'vn laſche deſſein de faire ma fortune, Mamenusr uuns te ont ue uoo imcentions.	ta résistance est vaine, Et si tu n'as juré de t'acquérir ma haine, Si tu'as résolu de rompre avec moi, Dedans ma passion ne me fais plus la loi, Tu voudrais que j'aimasse à la façon commune, Et qu'un lâche dessein de faire ma fortune, Mamenusr uuns te ont ue u imcentions.
DISARQVE.	DISARQUE.
Ie voudrois gouuerner vn peu nos paßions, Et vous ſauuer l’eſprit du dãger & du blaſ	Je voudrais gouverner un peu nos passions, Et vous sauver l'esprit du dansger et du blas
Y RAME.	Y RAME.
me, Eſt-ce à toy ie te prie à gouuerner mon ame,	me, Est-ce à toi ici te prie à gouverner mon âme,
Ce cœur fut-il par toy la dedans enferme?	Ce cœur fut-il par toi la dedans enferme?
Laiſſe faire à Nature, elle me l’a formé, C'eſt d'elle dont Thisbé ſe veid außi formee, Pour enflammer ce cœur, & pour en estre aymee, N'ayans tous deux qu'vn but de peine & de plaiſir, Semblables à l'humeur de l’aage & du deſir, Et ſi i’oſois flatter encore mon viſage, On nous pourroit tous deux cognoistre en vne Image, C'eſt le premier appas dõt mon cœur ſouſpira, C'eſt le premier eſpoir dont Amour m'attira, Cher eſpoir dont mon ame heureuſement ſe flatte, Car ſon œil fauorable à mes regards eſclatre, Me comble de faueur, bref ie ſuis aſſeuré, D’vn Amour mutuel elle me l’aiuré, Mes leures dans ſes mains en ont cueilly le Et pour le confirmer d'vn plus preſſant langage, Ses penſers me l’ont dit, ſes yeux en ſont teſmoins:	Laisse faire à Nature, elle me l'a formé, C'est d'elle dont Thysbé se veid aussi formée, Pour enflammer ce cœur, et pour en être aimée, N'ayant tous deux qu'un but de peine et de plaisir, Semblables à l'humeur de l'âge et du désir, Et si j'osais flatter encore mon visage, On nous pourrait tous deux connaître en une Image, C'est le premier appas dont mon cœur souspira, C'est le premier espoir dont Amour m'attira, Cher espoir dont mon âme heureusement se flatte, Car son œil favorable à mes regards éclatre, M comble de a, bref ie suis asseuré, Amour mutuel elle me re, Mes re dans ses mains en ont ç le Et pour le m d' plus pressant langage, Ses pensers me ont dit, ses Mu en sont témoins:
Car dans tous nos diſcours la voix parle le moins.	Car dans tous nos discours la voix parle le moins.
ſees, Nous d' ſons d’vn trait d’œil à nos ames bleſ	sees, Nous d' sons d'un trait d'œil à nos âmes blés
uten pius quimtiure emtueinexprime de penſees, Et des ſouspirs de feu, d’elle à moy repaſſans, Mieux que nul confident s’expliquent à nos ſens.	uten pius quimtire emtueinexprim de pensées, Et des soupirs de feu, d'elle à moi repassants, Mieux que nul confident s'expliquent à nos sens.
Nous n’auons pas beſoin que d’autres s’introduiſent, (nuiſent A traitter nos Amours, les arbitres nous Le meilleur confident ne ſert iamais ſi bien, Que dans noſtre intereſt il ne meſte le ſien, Selon ſa fantaiſie il aduance ou recule, L’aueugle mouuement d’vn pauure eſprit qui bruſle, Pour moy ie ne ſçaurois ſouffrir vn Gouuerneur, I’aime mieux reußir auec moins de bõ heur, Les ſoings de la prudence ont trop d’inquietude Mon ame n’a d’obiect ſinon ma ſeruitude, Où ie trouue mon bien mieux qu'en ma liberté, Et que i’ayme ſans doute autãt que la clarté.	Nous n'avons pas besoin que d'autres s'introduisent, (nuisent A traiter nos Amours, les arbitres nous Le meilleur confident ne sert jamais si bien, Que dans notre intérêt il ne mette le sien, Selon sa fantaisie il avance ou recule, L'aveugle mouvement d'un pauvre esprit qui brûle, Pour mo ie ne saurais souffrir un Gouverneur, J'aime mieux revir avec moins de bien heur, Les soin de la prudence ont trop d'inquiétude Mon âme n'a d'object sinon ma servitude, ie trouue mon bien mieux qu'en ma liberté, Et que aime sans doute autãt que la clarté.
ARQVE.	ARQUE.
Puis que c’eſt vne peſte à vos os attachee, C’eſt en vain que l’on prend le ſoing de vous guerir.	Puis que c'est une peste à vos os attachée, C'est en vain que l'on prend le soin de vous guérir.
PYRAOntiiv onnt te pent jans me jaire mourir.	PYRAOntiiv onnt te pent jans me jaire mourir.
RQVE.	RQUE.
Au moins prenez bien garde en cét Amour furtiue, Qu'vn funeſte ſuccez à vos deſſeins n’arriue, Vous estes espiez & de loing & de pres, Par des yeux vigilans qu’on y cõmet expres,	Au moins prenez bien garde en cet Amour furtive, Qu'un este succès à vos desseins n'arrive, Vous êtes épiez et de loing et de pres, Par des yeux vigilants qu'on y commet exprès,
TRAME.	TRAME.
Toute leur diligence eſt aſſez inutile, L’ame des Amoureux n’eſt pas ſi peu ſubtile, Nous ſçauõs bien choiſir & le tẽps & le lieu, Où meſme ne ſçauroit noꝰ découurir vn Dieu, Ne t'en mets point en peine, & ſeulement endure Si tu me veux aimer, que ma fureur me dure.	Toute leur diligence est assez inutile, L'âme des Amoureux n'est pas si peu sujet, Nous sçauõs bien choisir et le temps et le lieu, Où même ne saurait noù découvrir un Dieu, Ne t'en mets point en peine, et seulement endure Si tu me veux aimer, que ma fureur me mère du
Adieu laiſſe moy ſeul m’entretenir icy, Voila la nuict qui vient, le Ciel eſt obſcurcy, Ma maiſtreſſe m'attẽd.	Adieu laisse moi seul m'entretenir ici, Voilà la nuit qui vient, le Ciel est obscurci, Ma maîtresse m'attẽd.
Afin de me cõplaire, L’autre Soleils ẽ va quãd cettuicy m’éclaire, Priuez de tous moyẽs de nous parler ailleurs, Et ne pouuant venir à des accez meilleurs, Vne petite fente en ceſte pierre ouuerte, Par nous deux ſeulement encore deſcouuerte, Nous fait ſecrettement aller e reuenir, Les propos dõt Amour nous laiſſe entretenir, Car c'eſt le lieu par où nos paßions diſcrettes,	Afin de me complaire, L'autre Soleils anc va quand cettuicy m'éclaire, Privez de tous moyens de nous parler ailleurs, Et ne pouvant venir à des accès meilleurs, Vaine petite fente en cette pierre ouuerte, Par nous deux seulement encore découverte, Nous fait secrètement aller e reuenir, Les propos dont Amour nous laisse entretenir, Car c'est le lieu par où nos passions discrettes,
Dõnent vn peu de iour à nos flames ſecrettes, Icycruels parens malgré vos dures loix, Nous faiſons vn paſſage à nos timides voix, Fcy nos cœurs ouuerts malgré vos tyrannies, Se font entrebaiſer vos volontez vnies, Conſeillers inhumains peres fans amitié, Voyez comme ce marbre eſt fendu de pitié, Et qu’à noſtre douleur le ſein de ſes entrailles Pour receler nos feux s’entrouure les entrailles, Que l’air ſe proſtituë à nos contentemens, L’air le plus rigoureux de tous les Elemens, Le pere des frimats, la ſource des orages, A plus d’humanité que vos brutaux courages, Mais i'entends quelque bruit, c’eſt elle ſans faillir, Ie ſens tous mes eſprits d’aiſe me deffaillir, Elle ne ment iamais, & feroit conſcience De charger ſon Amant de trop de patience, Ie voy comme elle approche & marche à pas comptez, Soupçonneuſe, élançans ſes yeux de tous coſtez.	Dõnent , peu de jour à nos flammes secrètes, Icicruels parents malgré vos dures lois, Nous faisons un passage à nos timides voix, Fcy nos cœurs ouverts malgré vos tyrannies, Se font entrebaiser vos volonté sies, Conseillers inhumains pères fans amitié, Voyez comme ce marbre est fendu de pitié, Et qu'à notre douleur le sein de ses entrailles Pour receler nos feux s'entrouure les entrailles, Que l'air se prostituë , L' contentemens, L'air le plus rigoureux de tous les Elemens, Le père des frimats, la source des re, A plus dhumanité que vos brutaux courages, Mais entends quelque bruit, est elle sans faillir, Ie sens tous mes esprits aise me défaillir, Elle ne ment la, et feroit conscience De charger son Amant de trop de patience, Ie comme elle approche et marche pas comptez, Soupçonneuse, élançans ses yeux de tous côté'
SCENE II.	SCÈNE II.
THISBE', PYRAME.	THISBE', PYRAME.
H ISB.	H HSB.
S- tu là mon ſoucy	S- tu là mon souci
PYRAME.	PYRAME.
qui vous a retenuë;	qui vous a retenue;
Auiourd’huy pour le moins vous eſtes prenenue, Vous arriuez plus tard que ie ne fis hier,	Aujourd'hui pour le moins vous êtes prenue, Vous arrivez plus tard que ici ne fis hier,
B.	B.
Il eſt vray que i’ay tort ie ne le puis nier, Mais quand ie t’auray dit ce qui m’a deu contraindre, Ie croy que tu ſeras obligé de me plaindre, Ie te feray pitiés car ie ne penſe pas Que le mal qu’on m’a faict ſoit moins que le treſpas.	Il est vrai que j'ai tort mot ne le puis nier, Mais quand tu t'aurai dit ce qui m'a dev contraindre, Je crois que tu seras obligé de me plaindre, Je te ferai pitié car ainsi ne pense pas Que le mal qu'on m'a fait soit moins que le trépas.
YRAME.	YRAME.
comment, vous à on fastt quelque iniure, mõ ame?	comment, vous à on fastt quelque injure, mon âme?
Quelqu’vn en ſon abſence a-ilbleßé Pyrame?	Quelqu'un en son absence a-ilblessé Pyrame?
Vn Dieu ne le pourroit auec impunité,	Un Dieu ne le pourrait atu impunité,
HISB.	HISB.
Ceſte offence n’eſtoit que l’importunité D'vne vieille hideuſe & ſotte creature, Qui m'a tout auiourd’huy mis l’ame à la torture, Qui m'a fait tant de loix, m'a tant donné d’aduis, Et tant reïteré d’inutiles deuis, Qu'on tariroit pluſtoſt l'humidité de l’onde, Que ceſte humeur chagrine en caquets ſi feconde.	Cette offense n'était que l'importunité D'une vieille hideuse et sotte créature, Qui m'a tout aujourd'hui mis l'âme à la torture, Qui m'a fait tant de lois, m'a tant donné d'avis, Et tant reïteré d'inutiles devis, Qu'on tarirait plutôt l'humidité de l'onde, Que cette humeur chagrine en caquets si feconde.
YRAME.	YRAME.
Dictes moy ie vous prie encore en quoy tendoit Les diſcours oui plus fort la vieille s’eſtendoit?	Dictes moi je vous prie encore en quoi tendait Les discours oui plus fort la vieille s'étendait?
F ISB.	 FSB.
De rendre vne parfaite & pleine obeïſſance A ceux à qui ie doy le bien de ma naiſſance, De ne me diſpenſer le prendre aucun plaiſir Que leur cõmander ent ne me le vint choiſir, Sur tout de bien deffendre, & l’eſprit, & l’oreille, Des pointes dõt amour vn ieune sãg reueille, Que les ieunes eſprits n’ont riẽ de dãgereux, Au prix que d’eſcouter vn cõſeil amoureux:	De rendre une parfaite et pleine obéissance À ceux à qui ie doy le bien de ma naissance, De ne me dispenser le prendre aucun plaisir Que leur commander ent ne me le vint choisir, Sur tout de bien défendre, et l'esprit, et l'oreille, Des pointes dont amour un jeune song reueille, Que les jeunes esprits n'ont riẽ de de, Donner aucun que d'écouter un cõseilmandement:
Que meſmes au plus heureux cét appas eſt funeſte, Que c’eſt vn precipice, vn poiſon, vne peste.	Que mêmes au plus heureux cet appas est funeste, Que c'est un précipice, un poison, une peste.
Eue romit done furer cumont oitnouieux.	Eue romit donce furer cumont oitnouieux.
HISB.	HISB.
Eue me l'a depeint come it eſt uans ſes yeux.	Eue me l'a dépeint come it est uants ses yeux.
YRAME.	YRAME.
Eſtranges changemens ou tombe la Nature, Vn pauure corps vſé qui n'eſt que pourriture, Vne vieille à qui l'age a ſeiché les humeurs, A qui les ſens gaſtez ont peruerty les mœurs, Vn ſang gros & peſant, touſiours froid comme glace, Si ce n'est qu'vne fieure eſchauffe vn peu ſa maſſe, Vn tronc de nerfs & d’os d’artifice mouuãt, Qu'on ne ſcauroit nommer qu’vn fantoſme Viuant, Perſecute touſiours d'vne ialouſe enuie, Les paſſetemps heureux de noſtre ieune vie, Ces vieillards dõt l’eſprit & le corps abbatu, Erigent l’impuiſſance en tiltre de vertu, Eux meſmes qui le cours de la nature ſuiuẽt, Qu' ſelon l’appetit de leur vieilleſſe viuent, Pretẽdent contre nous forcer l’ordre du tẽps, Et que nous ſerons vieux en l’âge de vingt ans, Nos mœurs par leur exemple imprudemment cenſurent, Alleguant ce qu’ils ſont & non pas te qu’ils furent, Au moins ma chere vie en ce ſot entretien, Ie croy que cet es pritn'arien pen ſur le tien.	Étranges changements où tombe la Nature, Un pauvre corps vsé qui n'est que pourriture, Une vieille à qui l'age a seiché les humeurs, À qui les sens gâtez ont perverti les mœurs, Un sang gros et pesant, toujours froid comme glace, Si ce n'est qu'une fi chauffe un peu sa masse, Un onc de nerfs et d'os dartifice mouuãt, 'on ne scauroit nommer fantôme Viuant, Persecute tousiours d' os envie, Les passetemps heureux d' nôtrety fi, Ce vieillards mo uvesprit et ne corps au, Erigent a en tiltre de vertu, Euxmêmes qui le cours de la nature suiuẽt, Qu' un fappétitde leur vieillesse Vivant, Pretẽdent contre nous per ordre du te, Et ou nous serons d' un âge deavant ans, Les mœurs par leur exemple imprudemment re, Alleguant de ils sont et non pas te vils furent, Au moins ma heure vie en de l' une, Vie croy que cet es pritn'arien pensur le tien'
Ces diſcours m'õt paſſé plus loin qu’vne nuee,	Ces discours m'ont passé plus loin qu'une nuée,
RAME.	RAME.
Ta bonne volonté n’eſt pas diminuee,	Ta bonne volonté n'est pas diminue,
H ISB.	H HSB.
Elle a creu dauantage, on n’a fait que ietter Du ſouffre dans la fiame afin de l'irriter, Ie ſuis d’vn naturel à qui la reſiſtance, R’enforce le deſir, l’eſpoir & la conſtance, Ie croy qu’on me verroit mourir autant de fois, Qu'on me force d’ouyr ces importunes voix, Sinon que mon Amour de plus en plus perſiſte, Et bruſle dauantage alors qu’on luy reſiſte, Et ie n'ay rien de cher comme vne occaſion, De tout ce qui ſçauroit nourrir ma paßion, Puis qu'au diuin obiect dont ie ſuis amoureuſe, Le ſort veut que ie ſois parfaitement heureuſe, Que tu merites bien l’inuiolable foy, Que tuſques au tobeau ie garderay pour toy.	Elle a cru davantage, on n'a fait que jeter Du souffre dans la sidère afin de l'irriter, Je suis d'un naturel à qui la résistance, Renforce le désir, l'espoir et la constance, Je crois qu'on me verrait mourir autant de fois, Qu'on me force d'ouïr ces importunes voix, Sinon que mon Amour de plus en plus persiste, Et brûle davantage alors qu'on lui résiste, Et ie n'ai rien de cher comme une occasion, De tout ce qui saurait nourrir ma passion, Puis qu'au diuin Puisqu' avant ie Suis quelle, Sortant que veut que je sois parfaitement heureuse, Que tu merites bien inviolable foi, Que tusques au tobeau ie garderai pour toi.
Et moy ſi le tõbeau laiſſoit encor' aux ames Quelque petit rayon de leurs deffuntes flames, Ie n’aurois autre feu que toy dans les Enfers, Et dedãs leurs priſons ie n’aurois que tes fers, Mais parmy nos diſcours nous ne prenõs pas garde Que ce doux entretiendont Amour nous retarde, S’il n’eſt bien ménagé nous mãquera biẽ tôt.	Et moi si le tombeau laissait encor aux âmes Quelque petit rayon de leurs défuntes flammes, Je n'aurais autre feu que toi dans les Enfers, Et dedans leurs prisons quelque n'aurais que tes fers, Mais parmi nos discours nous ne prenons grande garde Que ce doux entretiendont Amour nous retarde, S'il n'est bien ménagé nous manquera bye urs.
HISB.	HISB.
Helas!	Hélas!
ne pourrons nous iamais dire qu’vn mot, Les oyſeaux dãs les bois ont toute la iourmee, A chãter la fureur qu'Amour leur a donnee:	ne pourrons nous jamais dire qu'Hommes mot, Les oiseaux dans les bois ont toute la jourmée, A changer la fureur qu'Amour leur a donnée:
Les eaux & les zephirs quand ils ſe font l'Amour, Leur rire & leurs ſouspirs font durer nuict & iour.	Les eaux et les zéphyrs quand ils se font l'Amour, Leur rire et leurs soupirs font durer nuit et jour.
YRAME.	YRAME.
Il ſe faut retirer de crainte qu’il n’arriue Que de ce peu de bien encor on ne nous priue.	Il se faut retirer de crainte qu'il n'arrive Que de ce peu de bien encor on ne nous prive.
THISB.	THISB.
Dãs vne heure au plus tard ie veuiens dõc icy.	Dans quelque heure au plus tard endre viens dont ici.
* YRAME.	* YRAME.
Et moy ie ſeray mort, ſi ie ne viens auſsi.	Et moi ici serai mort, si ici ne viens aussi.
N iij	 Nijà
ACTE TROISIESME, DEVXIS, SYLLAR, PYRAME, LE ROY.	ACTE -TROISIÈME, DEUXIS, SYLAR, PYRAME, LE ROY.
SCENE I.	SCÈNE I.
DilAiby orErerey ETRCiME.	DilAibi orErey ETRCiME.
YLLAR ie ſuis troublé d’vn funeſte preſage, Vn glaçon de frayeur m'eſtraint tout le courage, Penfant a tet deſſein te me remets aux yeux Les iustes iugemens des hommes & des Dieux.	ILAR ie suis troublé d'un este présage, Un glaçon de frayeur m'étreint tout le courage, Penfant a tet dessein te me remets aux yeux Les justes jugements des hommes et des Dieux.
LLAR.	LLAR.
Quoy, tu manque de cœur,	Quo, tu manque de cœur,
DEVXIS.	DEUXIS.
ie ſens de la contrainte.	Ne sens de la contrainte.
En ce que i’entreprés, & nõ pas de la crainte.	En ce que j'entreprès, et notre pas de la crainte.
LLAR.	LLAR.
Ie cognois ton courage, & c’eſt la cauſe auſi Qui fait que ie t'employe en ceſte affaire iy.	Je connais ton courage, et c'est la cause ausi Qui fait que tu t'emploie en cette affaire ici.
Il eſt beau de tenter vne mort legitime, Pour quelque grand exploict & qui ſe faict ſans crime, On appelle courage vn eſprit genereux, Qui n'eſt point inhumain comme il n'eſt point peureux, Qui meurt ſur vne breche, & dont les funerailles Se font chez l’ennemy ſoubs vn bris de murailles, Le treſpas eſt loüable on ignominieux, Selon que le ſuiet eſt laſche ou glorieux, Mais penſe à quelle fin nous auons pris l’eſpee A quel exploit ſera noſtre main occupee, Quoy, ſans eſtre offencez nous nous voulons vender, Quand on n'a point de haine on n'en ſcauroit forger,	Il est beau de tenter une mort legitime, Pour quelque grand exploit et qui se fait sans crime, On appelle courage un esprit généreux, Qui n'est point inhumain comme il n'est point peureux, Qui meurt sur une brèche, et dont les funérailles Se font chez l'ennemi sous vn bris de murailles, Le trépas est louable on ignominieux, Selon que le sujet est lâche ou glorieux, Mais pense à quelle fin nous avons pris l'espee A quel exploit sera notre main occupe, Occupe, sans sans offencez sans nous voulons vender, Quand on n'en saurait de point de haen saurait forger,
LLAR.	LLAR.
Noſtre commißion donne toute licençe.	Notre commission donne toute licençe.
VXT9.	VXT9.
On ne peut ſans remords s’en prendre à l’innocence, Il ne nous a rien faict nous le voulons tuer.	On ne peut sans remords s'en prendre à l'innocence, Il ne nous a rien fait nous le voulons tuer.
LAR.	LAR.
La volonté du Roy ſe doit effectuer.	La volonté du Roi se doit effectuer.
Si quelque excez leger contentoit ſa cholere, Ie croy que iuſtement on luy pourroit complaire, Mais en vn faict ſemblable en vne trahiſon, Chacun le peut deſdire auec trop de raiſon.	Si quelque excès léger contentait sa cholère, Je crois que justement on lui était complaire, Mais en un fait semblable en une trahison, Chacun le peut dédire avec trop de raison.
LLAR.	LLAR.
En deſdiſant ſon Roy, quelque iuſte apparence Que puiſſe prendre vn peuple il commet vn 4 offence, Cõme les Dieux au Ciel, ſur la terre les Roys, Eſtabliſſent außi des ſouueraines Loix, Ils partagent égaux ce que le monde enſerre.	En dédisant son Roi, quelque juste apparence Que puisse prendre un peuple il commet 4 offense, Comme les Dieux au Ciel, sur la terre les Rois, Établissent aussi des souueraines Lois, Ils partagent égaux ce que le monde enserre.
Les Dieux ſont Roys du Ciel, les Rois Dieux de la terre, Iupiter d’vn clin d’œil fait les Aſtres mouuoir, Et nos Princes ſur nous ont le meſme pouuoir, omtu grundemn deohiuuu temt grandeur ſe figure, Comme au vouloir des Dieux leur vouloir ſe meſure.	Les Dieux sont Rois du Ciel, les Rois Dieux de la terre, Jupiter d'vn clin d'œil fait les Astres mouvoir, Et nos Princes sur nous ont le même pouvoir, omtu grundemn deohiuuu temps grandeur se figure, Comme au vouloir des Dieux leur vouloir se mesure.
EVXIS.	EUXIS.
Il leur faut obeïr, ſi leur commandement Imite ceux des Dieux qui font tout iuſtebbenb.	Il leur faut obéir, si leur commandement Imite ceux des Dieux qui font tout justebenb.
LLAR.	LLAR.
Enquerir leur ſecret tient trop du temeraire, C’eſt aux Rois à le dire, & à nous à le faire, S’il a mal commandé, l’homicide commis romotra ſur ſa teſte, & nous ſera remis, Le deuoir ignorant rend vne ame innocente.	Enquérir leur secret tient trop du téméraire, C'est aux Rois à le dire, et à nous à le faire, S'il a mal commandé, l'homicide commis romoctra sur sa tête, et nous sera remis, Le devoir ignorant rend une âme innocente.
EVXIS.	EUXIS.
Mais cognoiſſant le mal, il faut qu’elle y conſente, Vn debuoir ignorant, & quoy ne vois tu pas Qu'on braſſe à l’innocent vn perfide treſpas, Que l’Enfer vn pareil n’en ſçauroit faire naiſtre.	Mais connaissant le mal, il faut qu'elle y consente, Un débuoir ignorant, et quoi ne vois tu pas Qu'on brasse à l'innocent un perfide trépas, Que l'Enfer un pareil n'en saurait faire naître.
Y LLAR.	Y LLAR.
Cõſiderant de pres & l’hõneur & le droict, Tout le monde sas doute icy nous reprẽdroit:	Considérant de pres et l'honneur et le droit, Tout le monde sas doute ici nous reprendrait:
Mais nous ſommes forcez, le Prince le faict faire, deiny jaut goense qr ln peint necejpaire.	Mais nous sommes forcés, le Prince le fait faire, deiny jaut goense qr lin peint necejpaire.
EVXIS.	EUXIS.
Et pourquoy neceſſaire, il vaut mieux enSa diſgrace eternelle.	Et pourquoi nécessaire, il vaut mieux enSa disgrâce éternelle.
courir	courir
LLARIl vaut donc mieux mourir.	LLARIl vaut donc mieux mourir.
I'aimerois mieux la mort qu’vne honteuſe vie, De remords criminels inceſſamment ſuiuie, Quãd le chien des Enfers auecque ſes abbois, Vient troubler les viuans, ils ſont morts mille fois, Mais mourant pour l’honneur, on court par les briſees D'vn biẽheureux repos dãs les chãps Eliſees, Les eſprits depeſtrez de vicieux diſcords, Qu'ils ont auec nos ſens ioyeux, quittent nos corps.	J'aimerais mieux la mort qu'une honteuse vie, De remords criminels incessamment suivie, Quand le chien des Enfers était ses abois, Vient troubler les vivants, ils sont morts mille fois, Mais mourant pour l'honneur, on court par les brise D'vn biẽheureux repos dont les grands Élises, Les esprits dépêtres de vicieux discords, Qu'ils ont avec nos sens joyeux, quittent nos corps.
LLAR.	LLAR.
Quelque ſi doux accueil que Mercure prepare, (ſepare, Crois qu’vn homme ſe trouble alors qu’il ſe Que les corps trépaſsés d’vne pierre couuerts Change les os en poudre, & la charongne en vers, Que les eſprits errans par les riues funebres, D’vn Cocite incognu, ne ſont plus que tenebres, Cour, Qu'on ſoit bien dĩs ce regne où Plutõ tient la C’eſt vn compte, il n’eſt rien de ſi beau que le iour, (cent cohortes, Le moindre chien viuant vault mieux que De Tygres, de Lyons ou de Pãtheres mortes Bien que pauure ſuiet ie prefere mon ſort A celuy-là d’vn Prince ou d’vn Monarque mort, (nos teſtes, Croy moy ſui mon conſeil, ne donnons point Pour preſeruer autruy ne ſoyons pas ſi beſtes.	Quelque si doux accueil que Mercure prépare, (separe, Crois qu'un homme se trouble alors qu'il se Que les corps trépassés d'une pierre couverts Change les os en poudre, et la charongne en vers, Que les esprits errants par les rives funèbres, D'un Cocite inconnu, ne sont plus que ténèbres, Cour, Qu'on soit bien dĩs ' une où Plut en la est compte,fi nest rien de si beau que le iour, (cent cohortes, Le moindre chien viuant vault mieux que De Tygres, de Lyons ou de Pãtheres mortes Bien que pauure suiet ie prefere mon sort A lu-là Prince ou Monarque mort, (nos testes, Croy moi y on conseil, ne donnons point Pour préserver autrui ne soyons pas si bêtes.
XIS.	XIS.
Mourrions nous pour cela?	Mourrions -nous pour cela?
*LLAR.	*LAR.
croy tu viure vn moment, Apres t’eſtre mocqué de ſon cõmandement?	crois -tu vivre un moment, Après t'être moqué de son commandement?
LVXIS.	LUXIS.
Mais le Roy craint-il point la iuſtice plus haute, En nous faisãt mourir il deſcouure ſa faute;	Mais le Roi craint-il point la justice plus haute, En nous faisant mourir il découvre sa faute;
ceos teſtes ne ſçauroient venir ſurt'eſchaffaut, Sans y faire monſtrer ſon criminel deſſaut.	ce têtes ne sauraient venir surteschaffaut, Sans y faire montrer son criminel dessaut.
LLAR.	LLAR.
Pour nous exerminer quãd ils en ont enuie, Les Roys ont cẽt moyẽs pour nous oſter la vie, Nos iours ſont dans leurs mains, ils les peuuent finir, Ils peuuent le plus iuſte innocemment punir, Quelque tort que ce ſoit quand vn Roy nous aceuſe, Sa grãde authorité ne mãque point d’excuſe, Contre le Prince aux droicts, il ne ſe faut fier, Le pretexte plus faux le peut iustifier.	Pour nous exerminer quand ils en ont envie, Les Rois ont cont moyẽs pour moi ôter la vie, Nos jours sont dans leurs mains, ils les peuvent finir, Ils peuvent le plus juste innocemment punir, Quelque tort que ce soit quand un Roi nous aceuse, Sa grande autorité ne mãque point d'excuse, Contre le Prince aux droits, il ne se faut fier, Le prétexte plus faux le peut justifier.
