A PARIS,	À PARIS,
Et des tours que je fais, à la fin, ie ſuis las;	Et des tours que je fais, à la fin, je suis las;
Il n’eſt point de deſtin plus cruel, que ie ſçache, Ie ne ſçaurois trouuer, portant par tous mes pas, Celuy qu’à chercher ie m’atrache.	Il n'est point de destin plus cruel, que sans sache, Je ne saurais trouver, portant par tous mes pas, Celui qu'à chercher Seigneur m'atrache.
Et ie trouue tous ceux, que ie ne cherche pas.	Et ici trouve tous ceux, que ainsi ne cherche pas.
Mil le fâcheux cruels, qui ne penſent pas l’eſtre, De nos faits, auec moy, ſans beaucoup me connoiſtre, Viennent ſe réjoüir, pour me faire enrager.	Mil le fâcheux cruels, qui ne pensent pas l'être, De nos faits, sans moi, sans beaucoup me connaître, Viennent se réjouir, pour me faire enrager.
Dans l’embarras cruel du ſoucy qui me bleſſe, De leurs embraſſemens, & de leur allegreſſe, Sur mon inquietude, ils viennent tous charger, En vain à paſſer ie m’apreſte, Pour fuir leurs perſecutions.	Dans l'embarras cruel du souci qui me blesse, De leurs embrassements, et de leur allégresse, Sur mon inquiétude, ils viennent tous charger, En vain à passer ie m'apprête, Pour fuir leurs persécutions.
Leur tuante amitié, de tous coſtez m’arreſte;	Leur tuante amitié, de tous côtés m'arrête;
Et tandis qu’à l’ardeur de leurs expreſſions, Ie répons d’vn geſte de teſte;	Et tandis qu'à l'ardeur de leurs expressions, Je réponds d'un geste de tête;
Ie leur donne, tout bas, cent maledictions.	Je leur donne, tout bas, cent malédictions.
Ah!	Ah!
qu'on eſt peu flaté de louangeja nonneur, Et de tout ce que donne vne grande victoire,	qu'on est peu flatté de louangejà nonneur, Et de tout ce que donne une grande victoire,
Lors que dans l’ame on ſouffre vne viue douIeur !	Lors que dans l'âme on souffre une vive douIeur !
Et que l’on donneroit volontiers cette gloite, Pour auoir le repos du Cœur !	Et que l'on donnerait volontiers cette gloite, Pour avoir le repos du Cœur !
Ma jalouſie, a tout propos, Me promene ſur ma diſgrace;	Ma jalousie, a tout propos, Me promène sur ma disgrâce;
Et plus mon eſprit y repaſſe, Moins j’en puis débroüil ler le funeſte cahos.	Et plus mon esprit y repasse, Moins j'en puis débroüil ler le funeste cahos.
Le vol des diamans n’eſt pas ce qui m’étonne :	Le vol des diamants n'est pas ce qui m'étonne :
On leue les cachets, qu’on ne l’aperçoit pas.	On lève les cachets, qu'on ne l'aperçoit pas.
Mais le don, qu’on veut qu’hier j’en vins faire en perſonne, Eſt-ce qui fait icy mon eruel embarras.	Mais le don, qu'on veut qu'hier j'en vins faire en personne, Est-ce qui fait ici mon ervel embarras.
La nature, parfois;	La nature, parfois;
produit des reſſemblances, Dont quelques impoſteurs ont pris droit d’as buſer:	produit des ressemblances, Dont quelques imposteurs ont pris droit d'as buser:
Mais il eſt hors de ſens, que ſous ces apparences, Vn homme, pour Epoux, ſe puiſſe ſuppoſer;	Mais il est hors de sens, que sous ces apparences, Un homme, pour Époux, se puisse supposer;
Et dans tous ces rapports, ſont mille differences, Dont ſe peut vne femme aiſement auiſer.	Et dans tous ces rapports, sont mille différences, Dont se peut une femme aisément aviser.
Des charmes de la Theſſalie, On vente de tout temps les merueilleux effets;	Des charmes de la Thessalie, On vente de tout temps les merveilleux effets;
Mais les contes fameux, qui par tout en ſont faits, Dans mon eſprit toûjours, ont paſſé pour folie;	Mais les contes fameux, qui par tout en sont faits, Dans mon esprit toujours, ont passé pour folie;
Et ce ſeroit du ſort vne étrange rigueur.	Et ce serait du sort une étrange rigueur.
Qu’au ſortir d’vne ample victoire, Ie fuſſe contraint de les croire, Aux deſpens de mon propre honneur.	Qu'au sortir d'une ample victoire, Je fusse contraint de les croire, Aux dépens de mon propre honneur.
Ie veux la retâter ſur ce fâcheux myſtere;	Je veux la retâter sur ce fâcheux mystère;
Et voir ſi ce n’eſt point vne vaine chimere, Qui ſur ſes ſens troublez ait ſçeu prendre creAh!	Et voir si ce n'est point une vaine chimère, Qui sur ses sens troublés ait su prendre créh!
faſſe le Ciel équitable, Que ce penſer ſoit ve ritable;	fasse le Ciel équitable, Que ce penser soit vit ritable;
Et que, pour mon bon-heur, elle ait perdu *eiperts.	Et que, pour mon bonheur, elle ait perdu *éiperts.
SCENE II.	SCÈNE II.
MERCVRE, AMPHITRYON.	MERCURE, AMPHITRYON.
AMPHITRYON.	AMPHITRYON.
D’où vient donc qu'a cette heure on ferme cette porte.	D'où vient donc qu'a cette heure on ferme cette porte.
MERCVRE.	MERCURE.
Hola, tout douccinent;	Holà, tout douccinent;
qui frape?	qui frappe?
AMPHITRYON.	AMPHITRYON.
Mioy.	Mioi.
MERCVRE.	MERCURE.
Qui, moy?	Qui, moi?
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
ouure.	ouvre.
MERCVRE.	MERCURE.
Comment, cuure?	Comment, cuvre?
& qui de ne es-tu, toy;	et qui de ne es-tu, toi;
G iij Qui rais tant de ratarte, e parles de la forte?	G Gij Qui rais tant de ratarte, eu parles de la forte?
AMPHITRYON.	AMPHITRYON.
Quoy.	Quoi.
tu ne me connois pas?	tu ne me connais pas?
MERCVRE.	MERCURE.
Non, Et n’en ay pas la moindre enuie,	Non, Et n'en ai pas la moindre envie,
A MPHITRYON.	À MPHITRYON.
Tout le monde pend plaujpard idy la raiſon;	Tout le monde pend plaujpard idi la raison;
Eſt-ce vn mal répandu?	Est-ce un mal répandu?
Soſie, hola, Soſie.	Sosie, holà, Sosie.
MERCVRE.	MERCURE.
Hé bien, Soſie:	Hé bien, Sosie:
ouy, c’eſt mon nom As-tu peur que ie ne l’oublie?	oui, c'est mon nom As-tu peur que je ne l'oublie?
AMPHITRYON.	AMPHITRYON.
Me vois-tu bien?	Me vois-tu bien?
MERCVRE.	MERCURE.
port blen qui peut pouſſer ton bras A faire vne rumeur ſi grande!	port blen qui peut pousser ton bras À faire une rumeur si grande!
Et que de mandes-tu là-bas ?	Et que de mandes-tu là-bas ?
AMPHITRYON.	AMPHITRYON.
Moy, pendart, ce que je demande?	Moi, pendard, ce que je demande?
MERCVRE.	MERCURE.
Que ne demandes-tu donc pas?	Que ne demandes-tu donc pas?
Parle, ſi tu veux qu’on t’entende.	Parle, si tu veux qu'on t'entende.
AMPHITRYON.	AMPHITRYON.
Attens, traiſtre, auec vn baſton Ie vais là-haut me faïre entendre;	Attends, traître, avec un bâton Je vais là-haut me faïre entendre;
Et de bonne façon t’apprendre n moeei parler lur ce tons.	Et de bonne façon t'apprendre n moeei parler lur ce tons.
MERCVRE.	MERCURE.
Tout beau, ſi pour heurter, tu fais la moindre inſtance, Ie t’enuoyray d’icy des Meſſagèrs fâcheux.	Tout beau, si pour heurter, tu fais la moindre instance, Je t'enuoyray d'ici des Messagrs fâcheux.
AMmiC.	AMmiC.
O Ciel!	Ô Ciel!
Vit-on jamais vne telle inſolence!	Vit-on jamais une telle insolence!
Là peut-on conceuoir d’vn ſeruiteur, d’vn gueux?	Là peut-on concevoir d'un serviteur, d'un gueux?
MERCVRE.	MERCURE.
Hé bien!	Hé bien!
qu’eſt-ce?	qu'est-ce?
m’as-tu tout parcouru par ordre:	m'as-tu tout parcouru par ordre:
M’as-tu de tes gros yeux aſſez conſideré?	M'as-tu de tes gros yeux assez considéré?
Comme il les écarquille, & paroit éfaré!	Comme il les écarquille, et parait éfaré!
Si des regards on pouuoit mordre, Il m’auroit déja déchiré.	Si des regards on pouvait mordre, Il m'aurait déjà déchiré.
.	.
AMPHITRYON.	AMPHITRYON.
Moy meſme ie fremis, de ce que tu t’apreſtes, Auec ces impudens propos, Que tu groſſis ponr toy d’etroyables tempeſtes!	Moi -même ie fremis, de ce que tu t'aprêtes, Avec ces impudents propos, Que tu grossis ponr toi d'étroyables tempêtes!
Quels orages de coups vont fondre ſur ton dos!	Quels orages de coups vont fondre sur ton dos!
MERCVRE.	MERCURE.
L’amy, ſi de ces lieux tu ne veux diſparoiſtre, Tu pourras y gagner quelque contuſion.	L'ami, si de ces lieux tu ne veux disparaître, Tu pourras y gagner quelque contusion.
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
tu Içauras maraut, a ta confuſion, Ce que c’eſt qu’vn valet, qui s’attaque à ſon Maiſtre.	tu Içauras maraud, a ta confusion, Ce que c'est qu'un valet, qui s'attaque à son Maître.
MERCVRE.	MERCURE.
Toy mon Maiſtre?	Toi mon Maître?
A MIAIANTOI.	À MIAIANTOI.
Oüy coquin, m’oſes-tu méconnoiſtre!	Oui coquin, m'oses-tu méconnaître!
MERCVRE.	MERCURE.
Ie n’en reconnois point d’autre qu’Amphitryon.	Je n'en reconnais point d'autre qu'Amphitryon.
AMPHITRYON.	AMPHITRYON.
Et c’eſt Amphitryon, qui hors moy le peut  entie es	Et c'est Amphitryon, qui hors moi le peut entie es
Amphitryon?	Amphitryon?
MERCVRE.	MERCURE.
AMPHITRYON.	AMPHITRYON.
Sans doute.	Sans doute.
MERCVRE.	MERCURE.
Ah!	Ah!
quel le viſion !	quel le vision !
Dy-nous vn peu.	Dis-nous un peu.
Quel eſt le cabaret honneſte, Cuiotts tone re serueau?	Quel est le cabaret honnête, Cuiotts ton re veau?
AMPHITRYON.	AMPHITRYON.
Comment lencor!	Comment lencor!
MERCVRE.	MERCURE.
Eſtoit-ce vn vin à faire feſte?	Était-ce un vin à faire fête?
AMPHITRYON.	AMPHITRYON.
Ciel !	Ciel !
M IenReL.	M MenReL.
Eſtoit-il vieux, ou nouueau ?	Était-il vieux, ou nouveau ?
AMPHIIRYON.	AMPHIIRYON.
Que de coups!	Que de coups!
MERCVRE.	MERCURE.
Le nouueau donne fort dans la teſte, Quand on le veut boire ſans eau.	Le nouveau donne fort dans la tête, Quand on le veut boire sans eau.
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
je t’arracheray cette langue, ſans doute.	Je t'arracherai cette langue, sans doute.
MERCVRE.	MERCURE.
Paſſe mon cher amy, croy moy, Que quelqu’vn icy ne t’ecoute.	Passe mon cher ami, crois -moi, Que quelqu'un ici ne t'oute.
Ie reſpecte le vin:	Je respecte le vin:
va-t’en, retire-toy;	va-t-en, retire-toi;
Et laiſſe Amphitryon dans les plaiſirs qu’il goûte	Et laisse Amphitryon dans les plaisirs qu'il goûte
AMPHITRYON.	AMPHITRYON.
Comment!	Comment!
Amphitryon eſt-là dedans?	Amphitryon est-là dedans?
M ERCVRE.	M ERCURE.
Qui couuert des Lauriers d’vne victoire pleine, Eſt auprez de la belle Alcmene, A jouir des douceurs d’vn aimable entretien, Apres le demelé d’vn amoureux caprice, Ils gouſtent le plaiſir de s’eſtre rajuſtez.	Qui couvert des Lauriers d'une victoire pleine, Est auprez de la belle Alcène, A jouir des douceurs d'un aimable entretien, Après le demelé d'un amoureux caprice, Ils goûtent le plaisir de s'être rajustez.
Garde toy de troubler leurs douces priuautez.	Garde toi de troubler leurs douces privautés.
Si tu n'e veux qu’il ne puniſſe L’excez de tes temeritez.	Si tu n'e veux qu'il ne punisse L'excès de tes témérités.
OIII.	ÔII.
AMPHITRYON.	AMPHITRYON.
H!	H!
quel étrange coup m’a-t’il porté dans A l'Ame!	quel étrange coup m'a-t-il porté dans A l'Âme!
En quel trouble cruel, jette-t’il mon Eſprit?	En quel trouble cruel, jette-t-il mon Esprit?
Et ſi les choſes ſont, comme le Traiſtre dit, Oùvois-je icy reduits, mon Honneur & ma flame?	Et si les choses sont, comme le Traître dit, Oùvois-je ici réduits, mon Honneur et ma flamme?
A quel party me doit reſoudre ma raiſon?	À quel parti me doit résoudre ma raison?
Ay-je l’éclat, ou le ſecret à prendre?	Ai-je l'éclat, ou le secret à prendre?
Et dois-je en mon courroux renfermer ou teprendre Le des-honneur en ma maiſon?	Et dois-je en mon courroux renfermer ou teprendre Le déshonneur en ma maison?
Ah !	Ah !
faut-il conſulter dans vn affront ſi rude?	faut-il consulter dans un affront si rude?
de n'ej nen a pictendre, ce rrou a menager;	de n'éj nen a pictendre, ce rrou à ménager;
Et toute mon iuqui erude Ne doit aller qu’à me venger.	Et toute mon juqui erude Ne doit aller qu'à me venger.
SCENNE IV.	SCÈNE IV.
SOSIE, NAVCRATES, POLIDAS, AMPHITRYON.	SOSIE, NAUCRATES, POLIDAS, AMPHITRYON.
SOSIE.	SOSIE.
Onſieur, auec mes ſoins tout ce que j’ay M pû faire, C’eſt de vous amener ces Meſſieurs que voicy.	Onsieur, avec mes soins tout ce que j'ai M u faire, C'est de vous amener ces Messieurs que voici.
AMPHITRYON.	AMPHITRYON.
Ah!	Ah!
vous voila?	vous voilà?
SOSIE.	SOSIE.
Monſieur.	Monsieur.
AMPHITRYON.	AMPHITRYON.
Inſolent, temeraire.	Insolent, téméraire.
Quoy.	Quoi.
SOSIE.	SOSIE.
AAPHITRYON:	AAPHITRYON:
Ie vous apprendray de me traiter ainſi.	Je vous apprendrai de me traiter ainsi.
SOSIE.	SOSIE.
Qu’eſt-ce donc?	Qu'est-ce donc?
qu’auez-vous?	qu'avez-vous?
AMPHITRYON.	AMPHITRYON.
Ce que j’ay yiiiſerable?	Ce que j'ai yiisérable?
SOSIE.	SOSIE.
Hola, Memeurs, veneraone toſt,	Holà, Memeurs, veneraone tôt,
NAVC RATES.	NAUC RATES.
Ahi.	Ahi.
de grace arreſtez.	de grâce arrêtez.
SOSIE.	SOSIE.
Dequoy ſuis-je coupablel	Dequoy suis-je coupablel
AMPHITRYON.	AMPHITRYON.
Tu me le demandes, maraut?	Tu me le demandes, maraud?
Lulnez-moy ſatisfaire vn courroux Iegitime.	Lulnez-moi satisfaire un courroux Ségitime.
SOSIE.	SOSIE.
Lors que l’on pend quelqu’vn on luy dit pourquoy c’eſt.	Lors que l'on pend quelqu'un on lui dit pourquoi c'est.
NA CRMTES.	NA CRMTES.
Daignez-nous dire, au moins quel peut eſtre ſon crime.	Daignez-nous dire, au moins quel peut être son crime.
SOSIE.	SOSIE.
Meſſieurs, tenez bon, s’il vous plaît.	Messieurs, tenez bon, s'il vous plaît.
AMPHITRYON.	AMPHITRYON.
Comment, il vient d’auoir l’audace, De me fermer ma porte au nez?	Comment, il vient d'avoir l'audace, De me fermer ma porte au nez?
Et de joindre encor la menace A mille propos effrenez !	Et de joindre encor la menace À mille propos effréné !
Ah!	Ah!
coquin.	coquin.
SOSIE.	SOSIE.
Ie ſuis mort.	Je suis mort.
NAVCRATES.	NAUCRATES.
Calmez cette colere.	Calmez cette colère.
Meſſieurs.	Messieurs.
SOSIE.	SOSIE.
FOLIDAJ.	FOLIDAJ.
Qu'eſt ce?	Qu'est ce?
SOSIE.	SOSIE.
M'a-t’il frapé?	M'a-t-il frappé?
AMPHITRYON.	AMPHITRYON.
Non il faut qu’il ait le ſalaire Des mots, ou tout à l’heure, il s’eſt émancipé.	Non il faut qu'il ait le salaire Des mots, ou tout à l'heure, il s'est émancipé.
SOSIE.	SOSIE.
Comment cela ſe peut-il faire, Si j’eſtois par voſtre ordre autre part occupé?	Comment cela se peut-il faire, Si j'étais par votre ordre autre part occupé?
Ces Meſſieurs ſont icy, pour rendre témoig.	Ces Messieurs sont ici, pour rendre témoig.
nage, Qu'à diſner auec vous je les viens d’inuiter.	nage, Qu'à dîner avec vous je les viens d'inviter.
A AY ERIIEJ.	A AY ERIIEJ.
Il eſt vray qu’il nous vient de faire ce meſſaEt n’a point voulu nous quitter.	Il est vrai qu'il nous vient de faire ce messaEt n'a point voulu nous quitter.
AMPHITRYON.	AMPHITRYON.
Qui t’a donné cét ordre?	Qui t'a donné cet ordre?
SOSIE.	SOSIE.
Vous.	Vous.
Et quand?	Et quand?
AMPHITRYON.	AMPHITRYON.
SOSIE.	SOSIE.
Apres voſtre paix faite, Au milieu des tranſports d’vne ame ſatisfaite, D’auoir d’Alemene appaiſé le courrous.	Après votre paix faite, Au milieu des transports d'une âme satisfaite, D'avoir d'Alemène apaisé le courrous.
A MPHITRYON.	À MPHITRYON.
O Ciel!	Ô Ciel!
chaque inſtant, chaque pas, Ajoûte quelque choſe à mon cruel martyre!	chaque instant, chaque pas, Ajoute quelque chose à mon cruel martyre!
Et dans ce fatal embarras, Ie ne ſçay plus que croire, ny que dire.	Et dans ce fatal embarras, Je ne sais plus que croire, ni que dire.
NAVCRATES.	NAUCRATES.
Tout ce que de chez vous il vient de nous conter, Surpaſſe ſi fort la nature, Qu’auant que de rien faire, & de vous emporter, Vous deuez éclaircir toute cette auanture.	Tout ce que de chez vous il vient de nous conter, Surpasse si fort la nature, Qu'avant que de rien faire, et de vous emporter, Vous devez éclaircir toute cette aventure.
AMPHITRYON.	AMPHITRYON.
Allons, vous y pourrez ſeconder mon effort;	Allons, vous y pourrez seconder mon effort;
Et le Ciel à propos, icy vous a fait rendre.	Et le Ciel à propos, ici vous a fait rendre.
Voyons quelle fortune en ce iour peut m’attendre.	Voyons quelle fortune en ce jour peut m'attendre.
Débouillons ce myſtere, & ſçachons noſtre lal e.	Débouillons ce mystère, et sachons notre lal e.
Helas!	Hélas!
ie brûle de l’apprendre;	Ne brûle de l'apprendre;
Et je le crains plus que la mort !	Et je le crains plus que la mort !
DCENEVT IVPITER, AMPHITRION, NAVCRATES, POLIDAS,SOSIE.	DCENEUT IVPITER, AMPHITRYON, NAUCRATES, POLIDAS,SOTIE.
IVPITER.	IUPITER.
Vel bruit à deſcendre m’oblige?	Vel bruit à descendre m'oblige?
Et qui frape en Maiſtre ou ie ſuis?	Et qui frappe en Maître ou tu suis?
A MPHIT RYON.	À MPHIT RYON.
Que vois je juſtes Dieux!	Que vois je justes Dieux!
1	1
NAVCRATES.	NAUCRATES.
NAVCRATES.	NAUCRATES.
Ciel!	Ciel!
quel eſt-ce prodige!	quel est-ce prodige!
Quoy!	Quoi!
deux Amphittyons Icy nous ſont proAMPHITRYON.	deux Amphittyons Ici nous sont proAMPHITRYON.
[duits!	[duits!
Mon Ame demeure tranſic.	Mon Âme demeure transic.
Helas!	Hélas!
ie n’en puis plus;	Elle n'en puis plus;
l’auenture eſt à bout:	l'aventure est à bout:
EGenee 7 Et ce que ie voy, me dit tout.	EGenee 7 Et ce que je vois, me dit tout.
NAVCRATES.	NAUCRATES.
Plus mes regards ſur eux s’attachent fortement, Plus ie trouue qu’en tout, l’vn à l’autre eſt ſemblable.	Plus mes regards sur eux s'attachent fortement, Plus Seigneur trouve qu'en tout, l'un à l'autre est semblable.
SO DID.	SO DID.
Meſſieurs, voicy le veritable;	Messieurs, voici le véritable;
L’autre eſt vn impoſteur digne de châtiment.	L'autre est un imposteur digne de châtiment.
POLIDAS, Certes ce raport admirable, Suſpend icy mon jugement.	POLIDAS, Certes ce rapport admirable, Suspend ici mon jugement.
AMPHITRYON.	AMPHITRYON.
C’eſt trop eſtre eludez par vn fourbe execrable, Il faut auec ce fer, rompre l’enchantement.	C'est trop être éludez par un fourbe exécrable, Il faut avec ce fer, rompre l'enchantement.
Arreſtez.	Arrêtez.
NAV CRATES.	NAU CRATES.
AMPHITRYON.	AMPHITRYON.
Laiſſez-moy.	Laissez-moi.
NAVCRATES.	NAUCRATES.
Di eux!	Di eux!
que voulez-vous faire?	que voulez-vous faire?
AMPHITRYON.	AMPHITRYON.
Punir d’vn impoſteur les lâches trahiſons.	Punir d'unir d' unirons unes trahisons.
PITER.	PITER.
Tout beau l’emportement eſt fort peu neceſſaire;	Tout beau l'emportement est fort peu nécessaire;
Et lors que de la ſorte on ſe met en colere, On fait croite qu'on a de mauuanes raiſons.	Et lors que de la sorte on se met en colère, On fait croite qu'on a de mauvanes raisons.
OSIE.	OSIE.
Oüy, c’eſt vn Enchanteur, qui porte vn caractere, Pour reſſembler aux Maiſtres des Maiſons.	Oui, c'est un Enchanteur, qui porte un caractère, Pour ressembler aux Maîtres des Maisons.
A MPHITRYON.	À MPHITRYON.
Ie te feray pour ton partage, Sentir par mille coups, ces propos outrageans.	Je te ferai pour ton partage, Sentir par mille coups, ces propos outrageants.
SOSIE.	SOSIE.
Mon Maiſtre eſt homme de courage;	Mon Maître est homme de courage;
Et ne ſouffrira point, que l’on batte ſes gens.	Et ne souffrira point, que l'on batte ses gens.
AMPHITRYON.	AMPHITRYON.
Laiſſez-moy m’aſſouuir dans mon courroux extreme, Et lauer mon affront au ſang d’vn ſcelerat.	Laissez-moi m'assouvir dans mon courroux extrême, Et laver mon affront au sang d'un scélérat.
NAVCRAIES.	NAUCRAIES.
Nous ne ſouffrirons point cet étrange combat D’Amphitryon, contre luy-meſme.	Nous ne souffrirons point cet étrange combat D'Amphitryon, contre notre-même.
AMPHITRYON.	AMPHITRYON.
Quoy!	Quoi!
mon honneur, de vous, reçoit ce traitement ?	mon honneur, de vous, reçoit ce traitement ?
Et mes Amis, d’vn fourbe, embraſſant la déTente * Loin d’eſtre les premiers à prendre ma vengence, Eux-meſmes font obſtacle à mon reſſentiment?	Et mes Amis, d'une fourbe, embrassant la déTente * Loin d'être les premiers à prendre ma vengence, Eux-mêmes font obstacle à mon ressentiment?
NAVCRATES.	NAUCRATES.
Que voulez-vous qu’à cette veüe Faſſent nos reſolutions;	Que voulez-vous qu'à cette vue Fassent nos résolutions;
Lors que par deux Amphitryons, Toute noſtre chaleur demeure ſuſpenduë!	Lors que par deux Amphitryons, Toute notre chaleur demeure suspendue!
A vous faire éclater noſtre zele aujourd’huy, Nous craignons de faitlir & de vous inctonnoiſtre;	À vous faire éclater notre zèle aujourd'hui, Nous craignons de faitlir et de vous inctonnoistre;
Nous voyons bien en vous Amphitryon paroiſtre, Du ſalut des Thebains le glorieux appuy :	Nous voyons bien en vous Amphitryon paraître, Du salut des Thébains le glorieux appui :
Mais nous le voyons tous auſſi paroiſtre en luy;	Mais nous le voyons tous aussi paraître en Seigneur;
Et ne ſçaurions iuger dans lequel il peut eſtre.	Et ne saurions juger dans lequel il peut être.
Noſtre party n’eſt point douteux, Et l’impoſteur par nous doit mordre la pouſſiere :	Notre parti n'est point douteux, Et l'imposteur par nous doit mordre la poussière :
Mais ce par fait rapport le cache entre vous deux;	Mais ce par fait rapport le cache entre vous deux;
Et c’eſt vn coup trop hazardeux, Pour l’entreprendre ſans lumiere :	Et c'est un coup trop hasardeux, Pour l'entreprendre sans lumière :
Auec douceur laiſſez nous voir, De quel coſté peut eſtre l’impoſture;	Avec douceur laissez nous voir, De quel côté peut -être l'imposture;
Et dés que nous aurons démelé l’auanture, Il ne nous faudra point dire noſtre deuoir.	Et dès que nous aurons démelé l'aventure, Il ne nous faudra point dire notre devoir.
PITER.	PITER.
Oüy, vous auez raiſon:	Oui, vous avez raison:
Et cette reſſemblance, A douter de tous deux, vous peut authoriſer.	Et cette ressemblance, A douter de tous deux, vous peut autoriser.
Ie ne m’offence point de vous voir en balance:	Je ne m'offense point de vous voir en balance:
Ie ſuis plus raiſonnable, & ſçay vous excuſer.	Je suis plus raisonnable, et sais vous excuser.
L’œil ne peut entre nous faire de difference;	L'œil ne peut entre nous faire de différence;
Et je voy qu’aiſement on s’y peut abuſer.	Et je vois qu'aisément on s'y peut abuser.
Vous ne me voyez point témoigner de colere, Point mettre l’epée à la main.	Vous ne me voyez point témoigner de colère, Point mettre l'épée à la main.
C’eſt vn mauuais moyen d’éclaircir ce myſtere;	C'est un mauvais moyen d'éclaircir ce mystère;
Et j’en puis trouuer vn plus doux, & plus certain.	Et j'en puis trouver un plus doux, et plus certain.
L’vn de nous eſt Amphitryon;	L'un de nous est Amphitryon;
Et tous deux à vos yeux, nous le pouuons paroiſtre.	Et tous deux à vos yeux, nous le pouvons paraître.
C’eſt à moy de finir cette confuſion;	C'est à moi de finir cette confusion;
Et je prétens me faire à tous ſi bien coun viſtre L eſtre, Qu’aux preſſantes clartez de ce que ie puis Luy meſme ſoit d’accord du ſang qui m’a fait naiſtr,	Et je prétends me faire à tous si bien coun vite L être, Qu'aux pressantes clartés de ce que tu puis Lui même soit d'accord du sang qui m'a fait naîtr,
Il n’ait plus de rien dire aucune occaſion.	Il n'ait plus de rien dire aucune occasion.
C’eſt aux yeux des Thebains, que ie veux auce vous, De la verité pure, ouurir la connoiſſance;	C'est aux yeux des Thébains, que je veux auce vous, De la vérité pure, ouvrir la connaissance;
Et la choſe ſans douté eſt aſſez d’importance, Pour affecter la circonſtance, De l’eclaircir aux yeux de tous.	Et la chose sans douté est assez d'importance, Pour affecter la circonstance, De l'éclaircir aux yeux de tous.
Alcmene attend de moy ce public témoignage.	Alcène attend de moi ce public témoignage.
Sa vertu, que l’éclat de ce deſordre outrage, Veut qu’on la juſtifie, & j’en vais prendre ſoin.	Sa vertu, que l'éclat de ce désordre outrage, Veut qu'on la justifie, et j'en vais prendre soin.
C’eſt à quoy mon amour enuers elle m’engage;	C'est à quoi mon amour envers elle m'engage;
Et des plus nobles Chefs, ie fais vn aſſemblage, Pour l’éclairciſſement, dont ſa gloire a beſoin, Attendant auec vous ces témoins ſouhaitez, Myee, je vons plle , aglcabte De venir honnorer la Table Où vous a Soſie inuitez.	Et des plus nobles Chefs, on fais un assemblage, Pour l'éclaircissement, dont sa gloire a besoin, Attendant avec vous ces témoins souhaitez, Myee, je vons plèle , aglabte De venir honorer la Table Où vous a Sosie invitez.
SOSIE.	SOSIE.
Ie ne me trompois pas, Meſſieurs, ce mot termine Toute l’i rreſolution:	Je ne me trompais pas, Messieurs, ce mot termine Toute l'y résolution:
Le veritable Amphitryon, Eſt l’Amphitryon ou l’on diſne.	Le véritable Amphitryon, Est l'Amphitryon ou l'on dîne.
AMPHITRYON.	AMPHITRYON.
O Ciel!	Ô Ciel!
puis-je plus bas me voir humilié!	puis-je plus bas me voir humilié!
Quoy!	Quoi!
faut-il que j’entende icy, pour mon martyre, Toue ce que limponteur;	faut-il que j'entende ici, pour mon martyre, Toue ce que limponteur;
à mes yeux vient de dire;	à mes yeux vient de dire;
Et que dans la fureur, que ce diſcours m’inſpire, On me tienne le bras lié!	Et que dans la fureur, que ce discours m'inspire, On me tienne le bras ié!
NAVCRATES.	NAUCRATES.
Vous vous plaignez à tort.	Vous vous plaignez à tort.
Permettez-nous d’attendre,	Permettez-nous d'attendre,
L’éclaireiſſement, qui doit rendre Les reſſentimens de ſaiſon.	L'éclaireissement, qui doit rendre Les ressentiments de saison.
Ie ne ſçay pas s’il impoſe:	Je ne sais pas s'il impose:
Mais il parle ſur la choſe, Comme s’il auoit raiſon.	Mais il parle sur la chose, Comme s'il avait raison.
AMPHITRYON.	AMPHITRYON.
Allez, foibles Amys, & flatez l’impoſture.	Allez, faibles Amis, et flattez l'imposture.
Thebes en a pour moy de tout autres que vous:	Thebes en a pour moi de tout autres que vous:
Et le vais en trouuer, qui partageanc l’injure, Sçauront preſter la main à mon juſte courroux.	Et le vais en trouver, qui partageanc l'injure, Sauront prêter la main à mon juste courroux.
IVPITER.	IUPITER.
He bien, je les attens;	He bien, je les attends;
& ſçauray décider Le differend en leur preſence.	et saurai décider Le différend en leur présence.
AMPHITRYON.	AMPHITRYON.
Fourbe, tu crois par-là peut-eſtre t’éuader:	Fourbe, tu crois par-là peut-être t'évader:
Mais rien ne te ſçauroit ſauuer de ma venIVPITER.	Mais rien ne te saurait sauver de ma venIVPITER.
Igeance,	Igeance,
A ces injurieux propos le ne daigne à preſent reſpondre;	À ces injurieux propos le ne daigne à présent répondre;
Et tantoſt je ſçauray confondre Cette fureur, auec deux mots.	Et tantôt je saurai confondre Cette fureur, avec deux mots.
a MI IIIERIOI.	à MI IIERIOI.
Le Ciel meſme, le Ciel, ne t’y ſçauroit ſouſtraire:	Le Ciel même, le Ciel, ne t'y saurait soustraire:
Et juſques aux Enſers j’tray ſuiure tes pas.	Et jusques aux Ensers j'ai suivre tes pas.
VPITER.	VPITER.
Il ne ſera pas neceſſaire, Et l’on verra tantoſt, que ie ne fuïray pas.	Il ne sera pas nécessaire, Et l'on verra tantôt, que tu ne fuirai pas.
