des Aydes.	des Aides.
Il faut que mes ſujects ſçachent noſtre venuë, Afin que dans leur ame aux douleurs retenuë, Par le regret qu’ils ont de mon eſloignement	Il faut que mes sujets sachent notre venue, Afin que dans leur âme aux douleurs retenue, Par le regret qu'ils ont de mon éloignement
SCENE II.	SCÈNE II.
ANAXANDRE deuenu hemite ’Ay choiſi pour iamais en ces lieux ſolitaire I Ce roc inacceßible aux humaines miſeres:	ANAXANDRE devenu hémite AAy choisi pour jamais en ces lieux solitaire I Ce roc inaccesible aux humaines misères:
Le plaiſir de l’esprit, & la peine du corps, Treuuent içy pour moy d’agreables accords, Et c'eſt bien la raiſon qu’à iamais ie ſouspire, D’auoir trop ſouspiré ſouz l’amoureux Empire.	Le plaisir de l'esprit, et la peine du corps, Treuent içy pour moi d'agréables accords, Et c'est bien la raison qu'à jamais avoir soupire, D'avoir trop souspiré souz l'amoureux Empire.
La haine de l’amour conduit icy mes pas:	La haine de l'amour conduit ici mes pas:
Me mõſtrant dãs le monde vn lieu qui n’en eſt par Ou rettre au bruit:	Me monstrant dans le monde un lieu qui n'en est par Ou rettre au bruit:
ie puis ainſi ſans crainte, Pour la derniere fois me plaindre de Philinte.	Ne puis ainsi sans crainte, Pour la dernière fois me plaindre de Philinte.
	
Au milieu des auſteritez, Qui ſont en cette ſolitude.	Au milieu des austérités, Qui sont en cette solitude.
Mon habit ne m'eſt pas ſi rude, Que m'ont eſté tes cruautez, Adieu fauorable inhumaine, Tes deſdains ont finy ma peine, D'erreur mon eſprit eſclaircy --- ---	Mon habit ne m'est pas si rude, Que m'ont été tes cruautés, Adieu favorable inhumaine, Tes dédains ont fini ma peine, D'erreur mon esprit esclaircy est- --
Prend vne plus heureuſe route, Et ce faux Dieu qui ne void goute, Ne me ſçauroit treuuer icy.	Prend une plus heureuse route, Et ce faux Dieu qui ne voit goute, Ne me saurait trouver ici.
C-	Ç-
Tous mes tourmens ſont arreſtez, Et ſans offencer ton merite, Mon bon-heur veut que ie te quitte, Dans le nombre des vanitez.	Tous mes tourments sont arrêtés, Et sans offenser ton mérite, Mon bonheur veut que sans te quitte, Dans le nombre des vanités.
Le Ciel chaſſe de mes pensées, Tant d’affections inſensées, Que l’amour nourriſſoit dans moy.	Le Ciel chasse de mes pensées, Tant d'affections insensées, Que l'amour nourrissait dans moi.
Ie ſçay bien Philinte cruelle me mide drtrdtcis te renueni belle:	Je sais bien Philinte cruelle me mide drdtcis te renveni belle:
Mais le Ciel eſt plus beau que toy.	Mais le Ciel est plus beau que toi.
Donc ennuyé de ta rigueur, Plus dure que mes diſciplines, I’arrache toutes les espines, Dont elle auoit percé mon cœur.	Donc ennuyé de ta rigueur, Plus dure que mes disciplines, J'arrache toutes les épines, Dont elle avait percé mon cœur.
Ceux qui parleront ſans enule, Du vray changement de ma vie:	Ceux qui parleront sans envle, Du vrai changement de ma vie:
Diront peut-eſtre deſormais, Ayant recogneu ma conſtance,  -8 – --  –-	Diront peut-être désormais, Ayant reconnu ma constance, -- -
Da d s	Da d s
Que c’eſt moy qui fais penitence, De la faute que tu commets.	Que c'est moi qui fais pénitence, De la faute que tu commets.
Ceux qui parleront ſans enuie, Du vray changement de ma vie, Diront peut-eſtre deſormais, Ayans recogneu ma conſtance, Que c’eſt moy qui fais penitence De la faute que tu commets:	Ceux qui parleront sans envie, Du vrai changement de ma vie, Diront peut-être désormais, Ayants reconnu ma constance, Que c'est moi qui fais pénitence De la faute que tu commets:
Ainſi i’ay rompu ton lien, Auec vn deſſein ſalutaire, Et Vn mal-heur imaginaire, M’a fait vn veritable bien.	Ainsi j'ai rompu ton lien, Avec un dessein salutaire, Et Un malheur imaginaire, M'a fait un véritable bien.
Mon habit de couleur de cendre, Pourra facilement t’apprendre ue dans ce bien-heureux ſejour, Curtem de ia diuint ſlamme A mis en cendre dans mon ame Toutes les fleſches de l’amour.	Mon habit de couleur de cendre, Pourra facilement t'apprendre ue dans ce bienheureux séjour, Curtem de ja divint slamme A mis en cendre dans mon âme Toutes les flèches de l'amour.
Si bien que ſa fin ſeulement, Se preſente à ma cognoiſſance, Taſchant d’eſtre en ma ſouuenance, --- - J.	Si bien que sa fin seulement, Se présente à ma connaissance, Tâchant d'être en ma souvenance, -- - .
4 N’eſtant plus dans mon ſentiment.	4 N'étant plus dans mon sentiment.
Mais i'ay pris vne autre lumiere, Combattant mon erreur premiere, Par le ſecours de la raiſon, Et mes afflictions paßées, Sont auiourd’huy recompemter aAuxplaiſirs de la gueriſon.	Mais j'ai pris autre lumière, Combattant mon erreur première, Par le secours de la raison, Et mes afflictions passées, Sont aujourd'hui récompemter aAuxplaisirs de la guérison.
Si les deux boules de ton ſein, A cauſe de leurs formes rondes, Se peuuent appeller deux mondes, Le monde eſt hors de mon deſſein:	Si les deux boules de ton sein, A cause de leurs formes rondes, Se peuvent appeler deux mondes, Le monde est hors de mon dessein:
Si l’or eſt dans tes blondes treſſes Ie n'eſtime plus les richeſſes, Et laiſſe à iamais le ſoucy, D’appaiſer ton humeur farouche.	Si l'or est dans tes blondes tresses Je n'estime plus les richesses, Et laisse à jamais le souci, D'apaiser ton humeur farouche.
Sans pretendre à baiſer ta bouche Que les vers haiſeront außi.	Sans prétendre à baiser ta bouche Que les vers haiseront aussi.
Mon veu ſainctement tircpris, Pour bannir auec moins de peines, Les inclinations humaines, 3 Veut que i’emprunte tes mespris.	Mon vu sainte tircpris, Pour bannir avec moins de peines, Les inclinations humaines, 3 Veut que j'emprunte té mépris.
7  Ie crains pourtant de te déplaire Dans ma demeure ſolitaire:	7 Je crains pourtant de te déplaire Dans ma demeure solitaire:
Où l’on fait l’amour à la mort, Et pour t'en donner teſmoignage, C’eſt qu'en toy ie cheris l’orage, Euima poajle ddans le part.	Où l'on fait l'amour à la mort, Et pour t'en donner témoignage, C'est qu'en toi toujours chéris l'orage, Evia poajle ddans le part.
Mais ie ne ſonge pas cher antre que i'offence, Le respect que l’on doit à ton ſacré ſilence, Puis donc qu'icy le Ciel m’offre ſon entretien, Ie cherche de ſormais mon repos dans le tien.	Mais personne ne songe pas cher antre que j'offense, Le respect que l'on doit à ton sacré silence, Puis donc qu'ici le Ciel m'offre son entretien, Je cherche de sormais mon repos dans le tien.
SCENE III.	SCÈNE III.
LEONPHILINTE.	LENPHILINTE.
LYCASTE.	LYCASTE.
DAMIS.	DAMIS.
AMBAS SADEVR, qui ont repris leurs habits ordinaires.	AMBAS SADEUR, qui ont repris leurs habits ordinaires.
LEON.	LEON.
E ne ſçaurois nier mon vnique lumiere;	ET ne saurais nier mon unique lumière;
I Que vous ne fuſsiez, belle en habit de ber ere, Et que meſmes dans vous cette ſimplicité:	I Que vous ne fussiez, belle en habit de ber ère, Et que mêmes dans vous cette simplicité:
3 Auec moins d’artifice auoit plus de beauté:	3 Avec moins d'artifice avait plus de beauté:
Mais quand ie vous regarde, il faut que ie confeſſe Que vous eſtes plus belle en habit de Princeſſe.	Mais quand ici vous regarde, il faut que ici confesse Que vous êtes plus belle en habit de Princesse.
Il faut qu'vn beau viſage ait vn bel ornement.	Il faut qu'un beau visage ait un bel ornement.
PHILINTE.	PHILINTE.
Vous croyez à bon droict qu’ayant ce veſtement:	Vous croyez à bon droit qu'ayant ce vêtement:
Il fait de ma beauté, la plus grande partie.	Il fait de ma beauté, la plus grande partie.
	
LEON.	LEON.
Ie ne m'attendois pas à cette repartie, Et voy qu'en vos diſçours ſubtils & gratieux, Voſtre bouche a des traicts außi bien que vos yeux.	Je ne m'attendais pas à cette répartie, Et vois qu'en vos disçours subtils et gratieux, Votre bouche a des traits aussi bien que vos yeux.
PHILINTE.	PHILINTE.
Ainſi de tous coſtez ie ſuis bien dangereuſe.	Ainsi de tous côtés après avoir bien dangereuse.
LEON.	LEON.
v ons me tauez fait voir m'eſtant trop rigoureuſe:	 viens me tavez fait voir m'étant trop rigoureuse:
Mais ie me veux payer par mille embraſſemens, De toutes vos rigueurs, & de tous mes tourmens.	Mais personne me veux payer par mille embrassements, De toutes vos rigueurs, et de tous mes tourments.
PHILINTE.	PHILINTE.
Prenez en payement, l’adueu de monoffence.	Prenez en paiement, l'aveu de monoffense.
LEON.	LEON.
Ce veritable adueu me permet la vengeance:	Ce véritable aveu me permet la vengeance:
Qui ſera toutefois ſans vous endommager.	Qui sera toutefois sans vous endommager.
2–	2
d.	d.
A iuj	À juj
PHILINTE.	PHILINTE.
Eity parggeunee tonſtonrs amene ie danger.	Éiti parggeunee tonstonrs amène avait danger.
LEON.	LEON.
La mienne ſera douce, & quand ie l’aſſaiſonne, Auec vn peu de ſaulſe on la treuue fort bonne.	La mienne sera douce, et quand on l'assaisonne, Avec un peu de saulse on la trouve fort bonne.
PHILINTE.	PHILINTE.
Mais nous ſommes d’accord de ce qui s’eſt paßé.	Mais nous sommes d'accord de ce qui s'est passé.
LEON.	LEON.
L’accord n'eſt point parfaict qu’apres s’eſtre em braßé.	L'accord n'est point parfait qu'après s'être em brassé.
Voſtre levre me monſtre vne vermeille roſe, Au Soleil de vos yeux tout fraichement eſcloſe, Et ma bouche pretends vn legitime droict, Deſſus les viues fleurs qui ſont en cet endroict.	Votre lèvre me montre une vermeille rose, Au Soleil de vos yeux tout fraîchement éclose, Et ma bouche prétends un légitime droit, Dessus les vives fleurs qui sont en cet endroit.
PHILINTE.	PHILINTE.
Vous me baiſez trop fort, & pour vous faire entendre Que ce baiſer me nuiſt, ie m'en vais vous.	Vous me baisez trop fort, et pour vous faire entendre Que ce baiser me nuist, Seigneur m'en vais vous.
le rendre.	le rendre.
LEON.	LEON.
Ainſi lors qu’en champs clos, ie vous attaqueray?	Ainsi lors qu'en champs clos, je vous attaquerai?
Rendez moy tous les coups que ie vous donne ray.	Rendez -moi tous les coups que je vous donne rai.
– - -- -- f- --- -	– - -- -- f- --- -
PHILINTE.	PHILINTE.
Frappez vos ennemis.	Frappez vos ennemis.
Mais que voy ie paroiſtre.	Mais que vois assez paraître.
Seroit-ce point Damis, ie le penſe cognoiſtre:	Serait-ce point Damis, Seigneur le pense connaître:
v'entriſte eſtonnement tient tous mes ſens troublez.	v'entriste étonnement tient tous mes sens troublés.
DAMIS.	DAMIS.
Madame, de la part des peuples aſſemblez, Que le Ciel auiourdhuy ſoubmet à voſtre Empire.	Madame, de la part des peuples assemblés, Que le Ciel auiourdhuy soumet à votre Empire.
A voſtre Majeſté, nous ſommes venus dire Que l’Empereur eſt mort, nous laiſſant es bahis, De n'auoir point de maiſtre en vn ſi grand pdis.	À votre Majesté, nous sommes venus dire Que l'Empereur est mort, nous laissant es bahis, De n'avoir point de maître en un si grand pédis.
La triſté Caliante auec impatience Demande comme nous, la ſin de voſtre abſence, Elle fait nuict & iour des plaintes au mal-heur, Qui détour na de vous ſes pas plus que ſon cœlr.	La tristé Caliante était impatience Demande comme nous, la sin de votre absence, Elle fait nuit et jour des plaintes au malheur, Qui détour na de vous ses pas plus que son cœleur.
Madame, retournez, le repos des Prouinces:	Madame, retournez, le repos des Provinces:
Ne ſe treuue iamais dans labſence des Princes.	Ne se trouve jamais dans labsence des Princes.
Des esprits factieux, & ennemis des loix, Font ſouuent leur profiudis trepas de leurs Roys.	Des esprits factieux, et ennemis des lois, Font souvent leur profiudis trépas de leurs Rois.
Et tout regne nouueau bien qu’il ſoit legitime, Donne touſiours matiere à quelque nouueau crime:	Et tout règne nouveau bien qu'il soit légitime, Donne toujours matière à quelque nouveau crime:
Car comme tout eſt foible en ſon commancement, On ne voit point ſans peine vn eſtabliſſement.	Car comme tout est faible en son commancement, On ne voit point sans peine établissement.
Mais parce qu'vn grand ſceptre ( excuſez moy Madame) Sẽble eſtre trop peſant pour les mains d’vne femme.	Mais parce qu'un grand sceptre ( excusez moi Madame) Sumble être trop pesant pour les mains d'une femme.
Pour regner ſeurement ſur vn peuple aguerry, Le bien de vos ſujets vous deſire vn mary.	Pour régner sûrement sur un peuple aguerri, Le bien de vos sujets vous désire un mari.
La valeur de Leon, à l’aymer vous incite, drceey que vensdene a juulare mentte, Ce que par artifice il a gaigné ſur vous.	La valeur de Léon, à l'aimer vous incite, drixei que vendène a juulare mentte, Ce que par artifice il a gagné sur vous.
PHILINTE.	PHILINTE.
mupit dy-ie choiſi pour eſtre mon espoux.	mupit dis-je choisi pour être mon époux.
Mais cette mort faſcheuſe arreſte ma parole.	Mais cette mort fâcheuse arrête ma parole.
LEON.	LEON.
Mon cœur, appaiſez-vous, pour moy ie me conſole:	Mon cœur, apaisez-vous, pour moi -même me console:
Ne ſouffrant pas long-temps des larmes dans mon œil, Quunte un mont ma tape dequoy purter le dueil.	Ne souffrant pas longtemps des larmes dans mon œil, Quunte un mont ma tape dequoy purter le deuil.
PHILINTE En arreſtant les pleurs, la douleur deuient pire.	PHILINTE En arrêtant les pleurs, la douleur devient pire.
LEON.	LEON.
Vous perdez voſtre pere, & gaignez vn Em pire;	Vous perdez votre père, et gagnez un Em pire;
En pleurant de la perte, il faut rire du gain, Et remettre ſes maux touſiours au lendemain.	En pleurant de la perte, il faut rire du gain, Et remettre ses maux toujours au lendemain.
L	L
PHILINTE.	PHILINTE.
Mlon uueu eſt tegiiime ordonne de nature	Mlon uueu est tegiime ordonne de nature
LEON.	LEON.
P'ar elle außi tout va dedans la ſepulture.	P'ar elle aussi tout va dedans la sépulture.
––	
PHILINTE.	PHILINTE.
Vous blaſmez douc mes pleurs.	Vous blâmez douc mes pleurs.
LEON.	LEON.
Ie ne dis pas cela, Et voudrois tous les iours pleurerà ce prix là:	Je ne dis pas cela, Et voudrais tous les jours pleurerà ce prix là:
Mais ie dis que la mort ne peut-eſtre blaſmable, Puis que ſon action à la voſtre eſt ſemblable.	Mais petit dis que la mort ne peut-être blâmable, Puis que son action à la vôtre est semblable.
PHILINTE.	PHILINTE.
En voyant ma douleur, vous n’auez point de tort De dire qu'on me peut comparer à la mort.	En voyant ma douleur, vous n'avez point de tort De dire qu'on me peut comparer à la mort.
–-	–-
LEON.	LEON.
Et voicy la raiſon où mon diſcours ie fonde, (de:	Et voici la raison où mon discours après fonde, (de:
Que vos yeux & ſes dards font mourir tout le monMais à tous ces ennuis, c’eſt trop prendre de part, Vne larme ſuf fiſt à la mort d’vn vieillard.	Que vos yeux et ses dards font mourir tout le Mais à tous ces ennuis, c'est trop prendre de part, Une larme sus fit à la mort d'H vieillard.
coge me l’Empereur ne pouuoit long-temps viure, Et ne prenez iamais la poſte pour le ſuiure.	coge me l'Empereur ne pouvait longtemps vivre, Et ne prenez jamais la poste pour le suivre.
Il ſe faut cenſoler, & pour ne perdre rien, -- 3---- J.	Il se faut censoler, et pour ne perdre rien, -- 3- .
T --------- –-4 Faiſons vn petit fils qui luy reſſemble bien:	T -- est-4 Faisons un petit fils qui était ressemble bien:
Mais il eſt à propos que Damis is'en retourne Sans qu'inetulement prez de nous il ſejourne.	Mais il est à propos que Damis is ès retourne Sans qu'inétulement près de nous il séjourne.
Son retour vous importe, & voſtre eſloignemen Met l’eſtat au beſoin de ſon gouuernement:	Son retour vous importe, et votre éloignemen Met l'état au besoin de son gouvernement:
Puis que par la longueur de-ſonti purience, Le ſecret de l’Empire eſt en ſa cognoiſſance.	Puis que par la longueur de-sonti vrience, Le secret de l'Empire est en sa connaissance.
PHILINTE.	PHILINTE.
Damis, aſſeurez vous de voir recompenſez Vos ſeruices preſens & vos trauaux paſſez.	Damis, assurés -vous de voir récompensez Vos services présents et vos travaux passez.
Tant d’vtiles conſeils & de peines ſouffertes:	Tant d’ vtiles conseils et de peines souffertes:
Treuueront aux bien-faicts mes mains touſiour, ouuertes:	Treuveront aux bienfaits mes mains toujours, ouvertes:
Retonrnez promptement aſſeurer mes ſujects, Que i’ay pour leur repos de ſolides projects, Que le Prince Leon, qu’ils deſiroient pour maiſtre, Au choix que i'en ay fait meritoit bien de l’eſtre, Et nous irons hien toſt prendre poſſeßion Des forces de l’Empire en leur affection.	Retonrnez promptement assurer mes sujets, Que j'ai pour leur repos de solides projects, Que le Prince Léon, qu'ils désiraient pour maître, Au choix que j'en ai fait méritait bien de l'être, Et nous irons hien tôt prendre possion Des forces de l'Empire en leur affection.
Cependant recherchez dedans voſtre prndlence Le maintien neceſſaire à noſtre obeiſſance.	Cependant recherchez dedans votre prndlence Le maintien nécessaire à notre obéissance.
Mais auant que partir, dites en qu'elle part Ahorda Caliante apres noſtre depart.	Mais avant que partir, dites en qu'elle part Ahorda Caliante après notre départ.
DAMIS.	DAMIS.
Le Nil vn peu de temps la vit ſur ſon riuage, Moins humide beaucoup que n'eſtoit ſon viſage, Dù quelque villageois ſe treuua par bon-heur, qui l a cachant chez luy ſoulagea ſa douleur.	Le Nil un peu de temps la vit sur son rivage, Moins humide beaucoup que n'était son visage, Dù quelque villageois se trouva par bonheur, qui a cachant chez avoir soulagea sa douleur.
LYCASTE.	LYCASTE.
confeſſe à ce coup que ie ſuis rauy d’aiſe.	confesse à ce coup que je suis ravi d'aise.
PHILINTE.	PHILINTE.
Dites luy de ma part qu’il faut qu'elle s’appaiſe,	Dites -lui de ma part qu'il faut qu'elle s'apaise,
LEON.	LEON.
i toſt que nous auront accomply les accords, ui ioignent les esprits en approchant les corps.	y tôt que nous auront accompli les accords, ui joignent les esprits en approchant les corps.
u'aux licites plaiſirs noſtre ame abandonnee, lura la liberté que donne l’hymenée, ſous ne tuu puorons pas de nous mettre en chemin, de ce grand païs prendre le Sceptre en main.	Çà la licites plaisirs notre âme abandonnée, lura la liberté que donne l'hyménée, sous ne tuu puorons pas de nous mettre en chemin, de ce grand pays prendre le Sceptre en main.
PHILINTE.	PHILINTE.
n mariage ſeul ne me rend pas contente:	n mariage seul ne me rend pas contente:
ar ie veux que Lycaſte espouje Cutante.	ar tu veux que Lycaste épouje Cutante.
Ia liberalité leur permet de choiſir 11 us les biens qui pourront contenter leur deſir.	Ia libéralité leur permet de choisir 11 us les biens qui pourront contenter leur désir.
vous commande außi d’aſſeurer Charixene,	vous commande aussi d'assurer Charixène,
LEON.	LEON.
Elle merite bien qu’vn mary plus adroict, Dans le ſentier d'amour puiſſe cheminer droit,	Elle mérite bien qu'un mari plus adroit, Dans le sentier d'amour puisse cheminer droit,
3 DAMIS.	3 DAMIS.
Pour vos commandemens i'ay de l’obeiſſance.	Pour vos commandements j'ai de l'obéissance.
PHILINTE.	PHILINTE.
Voſtre fidelité nous en donne aſſeurance.	Votre fidélité nous en donne assurance.
C-- ----- ---------	Ç-ce -est-ce -ce-
FIN.	FIN.
C ––-	Ç „-
AVTRES OEVVRES, VRLA PRISE DE LA	AUTRES OEUVRES, VRLA PRISE DE LA
ROCHELLE.	ROCHELLE.
Viourd’huy d’vne humeur contraire, A ces grand faiſeurs de bons vers, e iette Phœbus à l’enuers, Et prends plaiſir à luy déplaire, Ie vous blaſme rares eſprits, Qui mettez vos couleurs de prix Sur le pourtraict de la Rochelle, Er pur Mhexempie nouueal Enterrez vne criminelle Dedans vn precieux tombeau.	Viourd'hui d'une humeur contraire, À ces grand faiseurs de bons vers, j iette Phœbus à l'envers, Et prends plaisir à lui déplaire, Je vous blâme rares esprits, Qui mettez vos couleurs de prix Sur le pourtrait de la Rochelle, Er pur Mhexempie nouveal Enterrez toujours criminelle Dedans un précieux tombeau.
Mais moy qui bouclay les planettes, –-  2 Au point de ma natiuité:	Mais moi qui bouclai les planètes, - 2 Au point de ma natiuité:
Qui penſe eſtre en captiuité Dans les fers de mes eſguilletes, Qui ne fuy que mon propre choix:	Qui pense être en captivité Dans les fers de mes éguilletes, Qui ne fui que mon propre choix:
Qui me fais moy meſme des loix, Sans que mon esprit ſe trauaille, A faire vn vers qui ſonne bien, Ie ne veux rien faire qui vaille Pour vn ſuject qui ne vaut rien.	Qui me fais moi -même des lois, Sans que mon esprit se travaille, À faire un vers qui son bien, Je ne veux rien faire qui vaille Pour un suject qui ne vaut rien.
Quittez moy donc graces confuſes:	Quittez -moi donc grâces confuses:
Car ie veux prendre à plaines mains, Les lieux plus ſales & vilains, Qui ſoient ſouz la cotte des Muſes:	Car ici veux prendre à plaines mains, Les lieux plus sales et vilains, Qui soient souz la cotte des Muses:
Ie cherche les infections, Des plus noires conceptions, Pour vomir ſur cette megere, El aupres de ſont monment, Mon esprit à pris vn clyſtere Pour y vuider ſon excrement.	Je cherche les infections, Des plus noires conceptions, Pour vomir sur cette mégère, Él auprès de sont monment, Mon esprit à pris un clystère Pour y vider son excrément.
„exl	„exl
Dans la colere qui me dompte, Les demons plaignans leur mal-heur, –2  Quiteront leur noire couleur, Et les feray rougir de honte.	Dans la colère qui me dompte, Les démons plaignants leur malheur, 2 Quiteront leur noire couleur, Et les ferai rougir de honte.
Ils tremblent de peur dans leurs feux, Voyant qu’vn Roy ſi valeureux A retranché leur tyrannie, Et malgré leurs efforts diuers Rompt la plus forte colomnie Que l'enfer eust en l’vniuers.	Ils tremblent de peur dans leurs feux, Voyant qu'un Roi si valeureux A tranché leur tyrannie, Et malgré leurs efforts divers Rompt la plus forte colomnie Que l'enfer eût en l'Hivers.
Mille oyſeaux de mauuais augure, Truchemens faſcheux de l’horreur, Sont les triſtes enfans de Chœur Qui chantent ſur ſa ſepulture.	Mille oiseaux de mauvais augure, Truchements fâcheux de l'horreur, Sont les tristes enfants de Chœur Qui chant sur sa sépulture.
La fureur, la ſedition, La rage & la rebellion Y preparent leur cymetiere, Et veulent cacher à nos yeux La plus legitime matiere Qu'eut iamais le foudre des Cieux.	La fureur, la sédition, La rage et la rébellion Y préparent leur cymetière, Et veulent cacher à nos yeux La plus légitime matière Qu'eut jamais le foudre des Cieux.
D'vn front chamarré de triſteſſe, L’hereſie hors de ſon ſupport Ne reſiſte plus à la mort Qu'en la vigueur de ſa ieuneſſe:	D'un front chamarré de tristesse, L'hérésie hors de son support Ne résiste plus à la mort Qu'en la vigueur de sa jeunesse:
Car le ſiecle de noſtre tans Tient la meſure de ſes ans.	Car le siècle de notre tans Tient la mesure de ses ans.
Mais par l’aduis de Mateline, Elle ſe conſole en vn poinct, Qu'elle ne peut eſtre orpheline, Tuis que le diable ne meurt point, 1-–	Mais par l'avis de Mateline, Elle se console en un point, Qu'elle ne peut être orpheline, Tuis que le diable ne meurt point, 1ue
Dieu, que tes faicts ſont legitimes!	Dieu, que tes faits sont légitimes!
Car le plus ſouuent nous voyons Que tu fais nos punitions De la matiere de nes crimes.	Car le plus souvent nous voyons Que tu fais nos punitions De la matière de nés crimes.
Du creux de l’infernal ſejour, L’hereſie aborde le iour, Et fit les ieuſnes diſparoiſtre:	Du creux de l'infernal séjour, L'hérésie aborde le jour, Et fit les jeûnes disparaître:
Mais eux-meſmes l’a font perirs Et le ventre qui l’a fit naiſtre, C’eſt celuy qui l’a fait mourir.	Mais eux-mêmes l'a font périrs Et le ventre qui l'a fit naître, C'est celui qui l'a fait mourir.
Nous auons veu les airaignées Faire leurs toilles ſur les dents De ceux qui eſtoient àu dedans De ces murailles mutinées.	Nous avons vu les airaignées Faire leurs toilles sur les dents De ceux qui étaient àv dedans De ces murailles mutinées.
a- L’Angleterre leur faiſoit voir Des Nauires chargez d’espoir:	a- L'Angleterre leur faisait voir Des Navires chargez d'espoir:
Mais ne mangeant qu'en fantaiſie, Leurs machoires finalement Tomberent en paraliſie, Ehturent pans ut momemen;	Mais ne mangeant qu'en fantaisie, Leurs mâchoires finalement Tombèrent en paralysie, Eturent pans ut momemen;
La faim par les mains de la rage Qu'elle appelloit a ſon ſecours, Semoit du ſaffran tous les iours Sur les rides de leur viſage.	La faim par les mains de la rage Qu'elle appelait à son secours, Semait du saffran tous les jours Sur les rides de leur visage.
Leur ventre attacqué de repos, S’eſtoit retranché vers le dos, Et chommoit des feſtes nouuelles:	Leur ventre attacqué de repos, S'était retranché vers le dos, Et chommait des fêtes nouvelles:
Et leurs boyaux menus & longs Euſſent ſeruy de chanterelles Aux deſſus de nos violons:	Et leurs boyaux menus et longs Eussent servi de chanterelles Aux dessus de nos violons:
La peur des gibets & des rouës, Nuict & iour les affoibliſſoit, Et leur nez s’enrichiſſoit De la pauureté de leurs iouës.	La peur des gibets et des rous, Nuit et jour les affaiblissait, Et leur nez s'enrichissait De la pauvreté de leurs joues.
Leurs os s’armoient contre leur pẽau, 12- - 2 Qui reſſembloit vn vieil manteau.	Leurs os s'armaient contre leur pẽau, 12- - 2 Qui ressemblait un vieil manteau.
Qu'vn gueux laiſſe ſur des espines:	Qu'un gueux laisse sur des épines:
Lors qu'vn nombre infiny de trous Deſcouure trop les origines de jaaamce a ſeypel.	Lors qu'un nombre infini de trous Découvre trop les origines de jaamce à seypel.
La force auoit fait banqueroute Au mouuement de leur genoux, Et auec vne foible toux, Ils crachoient l’ame goute à goute.	La force avait fait banqueroute Au mouvement de leur genoux, Et avec une faible toux, Ils crachaient l'âme goute à goute.
Lors que le iour eſtoit ouuert, Ils traiſnoient leurs corps à couuert Sous la voûte de leurs oreilles;	Lors que le jour était ouvert, Ils traînaient leurs corps à couvert Sous la voûte de leurs oreilles;
Tandis que dedans nos quartiers Nous recherchions dans nos bouteilles Le profit des cabaretiers L.	Tandis que dedans nos quartiers Nous recherchions dans nos bouteilles Le profit des cabaretiers L.
–-	–-
Si iadis ce bon Patriarche, Sur qui le vin graua ſes loix Eust eu neufou dix Rochelois Dans les logemens de ſon arche.	Si jadis ce bon Patriarche, Sur qui le vin grava ses lois Eut eu neufou dix Rochelais Dans les logements de son arche.
Et que la faim les euſt preſſez, Comme elle fit ces iours paſſez, –- Lors qu’ils retardoient nos conqueſtes;	Et que la faim les eût pressez, Comme elle fit ces jours passé, - Lors ils retardoient nos conquêtes,
Il euſt veu dans fort peu de temps Toutes les especes des beſtes  Jje pun Juar culirr delnaa 2	Il eût vu dans fort peu de temps Toutes les espèces des bêtes J un Juar culirr delnaa 2
Les ſouris eſtoient glorieuſe:	Les souris étaient glorieuse:
D'eſtre priſes pour venaiſon, Et d’entrer en comparaiſon Des viandes delicieuſes.	D'être prises pour venaison, Et d'entrer en comparaison Des viandes délicieuses.
Les chats n'en oſoient approcher.	Les chats n'en osaient approcher.
Car eux-meſmes alloient chercher:	Car eux-mêmes allaient chercher:
Leur trespas dedans la cuiſine, Et ſouuent nos traiſtres mutins, Mans laique d vne jardine, Faiſoient l’extraict de nos feſtins.	Leur trépas dedans la cuisine, Et souvent nos traîtres mutins, Mans laïque d' ex jardine, Faisaient l'extrait de nos festins.
Les cris des enfans & des femmes;	Les cris des enfants et des femmes;
Que la faim pouſſoit au trepas, Perdoient ce naturel appas Qui prend ſi doucemtu urunes.	Que la faim poussait au trépas, Perdaient ce naturel appas Qui prend si doucemtu urunes.
Car ces enragez & cruels, Dans ces mal-heurs continuels, Sembloient nourrir leur inſolence:	Car ces enragés et cruels, Dans ces malheurs continuels, Semblaient nourrir leur insolence:
C– – 9-- Et rompans les loix d’amitié, Formoient leur deſobeiſſance danruilrur uypltic.	C– . 9- Et rompans les lois d'amitié, Formaient leur désobéissance danruilruil uiplic.
A la fin ces ames damnées, Voyans qu'en cette affliction, Le feu de la ſedition N’eſchauffoit point leurs cheminées.	À la fin ces âmes damnées, Voyant qu'en cette affliction, Le feu de la sédition N'échauffait point leurs cheminées.
Allans treuuer ſa Majeſté, Arracherent de ſa bonté Le pardon de leurs faicts coupables:	Allant trouver sa Majesté, Arrachèrent de sa bonté Le pardon de leurs faits coupables:
Mais contraincts d’en faire l’adueu;	Mais contraints d'en faire l'aveu;
Ils firent comme font les diables, Qui craignent & n'aiment pas Dieu.	Ils firent comme font les diables, Qui craignent et n'aiment pas Dieu.
ATADAME LA COMTES de S.	ATADAME LA COMTES de S.
Agnan, ſur la mort de Monſieur le Comte ſon mary.	Agnan, sur la mort de Monsieur le Comte son mari.
