LES ACTEVRS.	LES ACTEURS.
ERGANTE.	ERGANTE.
Madame, entrez de grace, & craignõs que ſon pere, N’aprenne vn accident, à ſes vœux ſi contraires;	Madame, entrez de grâce, et craignons que son père, N'apprenne un accident, à ses vœux si contraires;
Ie ſçauray l’arreſter.	Je saurai l'arrêter.
Elle entre.	Elle entre.
SCENE VII.	SCÈNE VII.
LELIE, ERGASTE.	LELIE, ERGASTE.
*.	*.
71 LELIE.	71 LELIE.
Dieu, to dmnt le ſoin, Dl'aſi ſouuent eſté ſi propice au beſoin, Le ſort 2mes malheurs adioûte l’impuïſſance, D’en produire les fruits par ma recomoiſſauce, Mais ſ le ſouuenir, ioint al’affection, Acquitte en quelque ſorte vne oblis ationt Croy que tu ne me peux blaſmer d’ingratitude, Et que ſi le destin ne m’eût esté ſi rude.	Dieu, to dmnt le soin, Dl'azy souvent été si propice au besoin, Le sort 2mes malheurs ajoute l'impuissance, D'en produire les fruits par ma recomoissauce, Mais le souvenir, joint al'affection, Acquitte en quelque sorte une oblis ationt Crois que tu ne me peux blâmer d'ingratitude, Et que si le destin ne m'eût été si rude.
ERGASTE.	ÉRGASTE.
Helas!	Hélas!
n’acheuez point, de quels traits de douleur, De crainte & de pitié vous me perçez le cœur!	n'achevez point, de quels traits de douleur, De crainte et de pitié vous me percevez le cœur!
Si mon affection, & mon obeiſſance, Meritent quelque estime, ou quelque récompenſe:	Si mon affection, et mon obéissance, Méritent quelque estime, ou quelque récompense:
Celle que ie demande est de mieux conſulter.	Celle que ici demande est de mieux consulter.
Ce que le deſeſpoir vous fait precipiter:	Ce que le désespoir vous fait précipiter:
Prenons l’aduis d’Eraste;	Prenons l'avis d'Éraste;
en vn malheur extréme On est mal conſeillé, ne croyant que ſoy-meſme;	en un malheur extrême On est mal conseillé, ne croyant que soi-même;
C’est vn mal dãgereux, qu’vn trop prõpt deſeſpoir Et pire que celuy qui le fait conceuoir.	C'est un mal dansereux, qu'un trop prompt désespoir Et pire que celui qui le fait concevoir.
LELIE.	LELIE.
Quoy que le voir nous ſoit vne inutile peine, Ie te veux contenter.	Quoi que le voir nous soit une inutile peine, Je te veux contenter.
SCENE VIII.	SCÈNE VIII.
ERASTE, EROXENE.	ERASTE, EROXENE.
ERASTE, venant d’vn coſté, & Eroxene de l’autre.	ERASTE, venant d'un côté, et Eroxène de l'autre.
SE ciel, belle ErexeneVous comble d’autant d'heur & de proſperise Que ſur vôtre viſage il amis debeaute	SE ciel, belle ErexèneVous comble d'autant d'heur et de prospérise Que sur votre visage il amis debeaute
EROXENE.	EROXENE.
Le meſme Ciel, perfide, eu te comble, ou t’acable, De tous les chaſtimens dont vn traiſtre eſt capable.	Le même Ciel, perfide, eu te comble, ou t'acable, De tous les châtiments dont un traître est capable.
ERASTE.	ERASTE.
De quelle iniure, helas!	De quelle injure, hélas!
payez-vous mes ſouhaits?	payez-vous mes souhaits?
EROXENE, s’en allant.	EROXENE, s'en allant.
Retire-toy perfide, & ne me voy iamais.	Retire-toi perfide, et ne me vois jamais.
SCENE IX.	SCÈNE IX.
ERASTE, ſeul.	ERASTE, seul.
S Vel courroux, iuſte Ciel!	 Sel courroux, iuste Ciel!
quelle fureur l'enflâme?	quelle fureur l'enflamme?
Quel tygre eſt ſi cruel, que la plus belle ſemme?	Quel tigré est si cruel, que la plus belle semme?
Quand de quelque façon, ou de quelque dépit, Ou l’amour ou la haine, alterent ſon eſprit?	Quand de quelque façon, ou de quelque dépit, Ou l'amour ou la haine, altèrent son esprit?
Quelqu’vn m’auroit-il pû deſſeruir auprés d’elle?	Quelqu'un m'aurait-il pu desservir auprès d'elle?
Et luy rendre ſuſpecte, vne ardeur ſi fidelle?	Et deux rendre suspecte, une ardeur si fidèle?
Ce ſexe eſt plus que l’air, & leger & mouuant, Et qui conçoit de l’air, ne produit que du vent.	Ce sexe est plus que l'air, et léger et mouvant, Et qui conçoit de l'air, ne produit que du vent.
CENE X.	CÈNE X.
LYDIE, ERASTE.	LYDIE, ERASTE.
LYDIE.	LYDIE.
E voila, l'affronteur!	E voilà, l'affronteur!
ERASTE, receuant Lydie.	ERASTE, recevant Lydie.
Lydie, vn mot, de grace,	Lydie, un mot, de grâce,
LYDIE.	LYDIE.
Ha, ne ne m’arreſtez point, raiſtre, auiez-veus l’at De paroiſtré à mes yeux?	Ha, ne ne m'arrêtez point, raistre, aviez-vus l'at De paroistré à mes yeux?
dace	dace
ERASTE.	ERASTE.
Parles-tu tout de bon?	Parles-tu tout de bon?
LYDIE.	LYDIE.
Prefide, en doutez-vous, n’en ay.	Préfide, en doutez-vous, n'en ai.
ie pas raiſon?	Ne pas raison?
Ou ſont ces beaux proiets, ces ardeurs tãt vantées?	Ou sont ces beaux prois, ces ardeurs tant vantées?
ERASTE.	ERASTE.
L’vne & l’autre me iouë, & ſe ſont conſertées.	L'une et l'autre me joue, et se sont consertées.
LYDIE.	LYDIE.
Laiſſer vne heauté qui luy vouloit du bien, D’vn peuple médiſant la ſable & l’entretien, Et ſans doute vn exploit bien digne de memoire, Et pour vn Gentil-honume vn beau ſuiet de gloire!	Laisser une heauté qui lui voulait du bien, D'un peuple médisant la sable et l'entretien, Et sans doute un exploit bien digne de mémoire, Et pour un Gentilhonume un beau sujet de gloire!
ERASTE.	ERASTE.
Au nom d'Amour, Lydie, écoute moy deux motst	Au nom d'Amour, Lydie, écoute moi deux motst
LYDIE.	LYDIE.
I'en ay trop écouté, traiſtre, pour ſon repos, Et pour l’honneur encor de toute ſa ſamille, Ha!	J'en ai trop écouté, traître, pour son repos, Et pour l'honneur encor de toute sa samille, Ha!
s’il me ſut iamais déplaiſant d’eſtre fille, C’eſt à preſent ingrat, que de ces ſoibles mains, Ie ne puis t’arracher ces yeux trompeurs & vains, Et que i’aurois beſoin, ame double & traiſtreſſe, Des forces de ton ſexe, à punir ta foibleſſe!	il me sut iamais déplaisant être fille, est présent ingrat, que de ces soibles mains, Ie ne puis arracher ces yeux trompeurs et vains, Et que s'il me, âme sut et traîtresse, Dé plais de an sexe, d' punir ta faiblesse!
Orgie paroiſt, qui les voit parler enſemble.	Orgie paraît, qui les voit parler ensemble.
ERASTE.	ERASTE.
Quoy, ie n’obtiendray pai de parler vn momeut?	Quoi, Seigneur n'obtiendrai pai de parler un momeut?
LYDIE, s’en allant.	LYDIE, s'en allant.
Non, ta m’offencerois d vn adieu ſeulement.	Non, ta m'offenserais dommes adieu seulement.
ERASTE.	ERASTE.
Quelque enuieux ſans doute, a deſſeruy ma ſlâmet Conſultons-en Lelie.	Quelque envieux sans doute, a desservi ma slamet Consultons-en Lelieu.
SCENE IX.	SCÈNE IX.
ORGYE, LYDIE.	ORGIE, LYDIE.
ETDIE.	ETDIE.
Il eſt vray ieſuis bon, & croy ſans me vanter, N’auoir point iuſqu’icydmné lieu d’en douter.	Il est vrai iesuis bon, et crois sans me vanter, N'avoir point jusqu'icidmné lieu d'en douter.
ORGYE.	ORGIE.
L’eſtat où ie me treuue, au moins le iuſtiſie;	L'état où belle me trouve, au moins le justisie;
Vous parliezou d'Egliſe, ou de Philoſaphie!	Vous parliez d'Église, ou de Philosaphie!
LYDIE.	LYDIE.
Quel grãd mal ay-ie faite ne peut-on ſans ſoupçon, En paſſant ſeulement ſaluer vn garſon?	Quel grand mal ai-je faite ne peut-on sans soupçon, En passant seulement saluer un garson?
ORGYE.	ORGIE.
Non, tout ce vain ſalut, n'eſt que ſrænche cab ile, Qui n’eſt point ſas d’ſſein, non plus queſains ſcãdile;	Non, tout ce vain salut, n'est que srænche cab ane, Qui n'est point sas d'ssein, non plus quesains scãdile;
Et i’ay touſiiurs aporis, que i'imais ſuborneur, De fille de maiſon n’a corrompu l’honneur, Que par l’intelligence & par le miniſterr, Tantoſt de ſa ſeraante, & taut yſl de ſa mere.	Et j'ai tousiiurs aporis, que j'imais suborneur, De fille de maison n'a corrompu l'honneur, Que par l'intelligence et par le minister, Tantôt de sa seraante, et taut ysl de sa mère.
C’eſt toy, qui de ma niece animant les ſouhaits, Luy portes l’ambaſſade, & luy rends les poulets;	C'est toi, qui de ma nièce animant les souhaits, Lui portes l'ambassade, et lui rends les poulets;
Qui traictant pour Eraſte, as enfin malheureuſe.	Qui traitant pour Éraste, as enfin malheureuse.
Mis aux termes qu’elle eſt leur ardeur amoureuſet	Mis aux termes qu'elle est leur ardeur amoureuset
LYDIE.	LYDIE.
Vous payez d’vn belle & tare qualité, Quatorze ans de ſeruice & de fidelité.	Vous payez d'un belle et tare qualité, Quatorze ans de service et de fidélité.
ORGYE.	ORGIE.
Tu reconnois bien mieux l’honneur qu’en ma famille On t’a touſiours rendu comme à ma propre fille!	Tu reconnais bien mieux l'honneur qu'en ma famille On t'a toujours rendu comme à ma propre fille!
LYDIE.	LYDIE.
Si cet homeur m’eſt grand, le bonheur de m’auoir.	Si cet homeur m'est grand, le bonheur de m'avoir.
Eſt le plus grand außi quelle ait pâ receuoir.	Est le plus grand aussi quelle ait pâ receuoir.
ORGYE.	ORGIE.
Ailleurs que dans la ruë, indiſcrette, impudente, e te ferois cracher cette langue inſolente, Et rentrer dans le ſein cet orguilleux propos;	Ailleurs que dans la rue, indiscrète, impudente, eût te ferais cracher cette langue insolente, Et rentrer dans le sein cet orguilleux propos;
Mais vien dãs la maiſon nous en dirons deux mots.	Mais viens dans la maison nous en dirons deux mots.
LYDIE.	LYDIE.
Ie n’y rentreray point apres cette menace, l’estime où l’on mn’y tient viſiblement m’en chaſſe,	Je n'y rentrerai point après cette menace, l'estime où l'on m'y tient visiblement m'en chasse,
ORGIE, la tirant par les cheueux.	ORGIE, la tirant par les cheveux.
le t’obligeray bien d’y rentrer malgré toyAllons, fripponne.	le t'obligerai bien d'y rentrer malgré toiAllons, friponne.
LYDIE.	LYDIE.
A l’ayde!	À l'aide!
o Ciel, ſecourez-moy!	ô Ciel, secourez-moi!
ORGYE.	ORGIE.
Entre, infame, entre, & croy qu’au déclin de mon Ie n’ay point tant perdu de force & deceurage Qu’il ne m’en reste encor aſſez pour me vanger, Pour me faire obeyr, & pour te bien ranger.	Entre, infâme, entre, et crois qu'au déclin de mon Je n'ai point tant perdu de force et décurage Qu'il ne m'en reste encor assez pour me venger, Pour me faire obéir, et pour te bien ranger.
ACTE SCENE PREMIERE.	ACTE SCÈNE PREMIÈRE.
LYDIE ſeule ſortant en colere.	LYDIE seule sortant en colère.
QE ſerois bien ſans cœur, ſans honneur, &  ſans ame, Si me voyant traitée, & d'eſclaue, & d'inſame, Noire de coups de pieds, de poings, & de baston, M’en pouuant reſſentir ie n’en tirois raiſon!	QE serais bien sans cœur, sans honneur, et sans âme, Si me voyant traitée, et d'esclaue, et d'insame, Noire de coups de pieds, de poings, et de bâton, M'en pouvant ressentir ainsi n'en tirais raison!
On a gaigné la mort par ſes mauuaiſes graces, La rouë & les gibets ſont ſes moindres menaces!	On a gagné la mort par ses mauvaises grâces, La roue et les gibets sont ses moindres menaces!
Mais ſidés auiourd’huy ie ne m’en ſatisfaits, Ie veux bien de la hayne encourir les effets!	Mais sidez aujourd'hu ie ne m'en satisfaits, Je veux bien de la haine encourir les effets!
Ie ne veux que ma langue à ſeruir mon courage, Et des pieds & des poings me reparer l’outrage, Ma vengeance dépend ſeulement de deux mots, Allons chercher Anſelme;	Je ne veux que ma langue à servir mon courage, Et des pieds et des poings me réparer l'outrage, Ma vengeance dépend seulement de deux mots, Allons chercher Anselme;
ô qu’il ſort à propos!	ô qu'il sort à propos!
SCENE II.	SCÈNE II.
LYDIE, ANSELME.	LYDIE, ANSELME.
LYDIE.	LYDIE.
Vis-ie obtenir, Anſelme, vn memẽt d’auliẽcs, B ( Ie ne veux qu'vn moment.	Vis-je obtenir, Anselme, un memẽt d'auliencs, B ( Je ne veux qu'un moment.
ANSELME.	ANSELME.
Parle, i'en ſais content	Parle, j'en sais content
LYDIE.	LYDIE.
Ieveus viens déclarer vn ſecrét important, Qui comble d’autant d'heur la fin de vostre vie I Qu’il doit de deſeſpoir combler celle d’Orgye.	Jevus viens déclarer un secrét important, Qui comble d'autant d'heur la fin de votre vie I J'il doit de désespoir combler celle d'Orgye.
ANSELME.	ANSELME.
I Tu ſçais qu’on ne doit pas, ſas des ſuiets bien grãd L Entre deux vieils amis ſemer des differends;	I Ju sais qu'on ne doit pas, sas des sujets bien grãd L Entre deux vieils amis semer des différends;
Car apres quelque éclat, quãd moins on le preſunn Leur courroux s’éteignant, l’amitié ſe r’allume, La paix renaiſt entr' eux, mais du d'uneur d’adut Ils deuiennent tous deux les comimuns ennemis.	Car après quelque éclat, quand moins on le présunn Eur courroux s'éteignant, l'amitié se rallume, La paix renaît entr' ennemis. mais du d'uneur d'adut Ils deviennent tous deux les comimuns ennemis.
LYDIE.	LYDIE.
Apres le beau payement dont il m’a ſatisfaite.	Après le beau paiement dont il m'a satisfaite.
L’eſtat qu’il fait de moy, les coups dõt il me trait Ie ne pretends plus rien en ſon affection, Et ſçay que vous m’aurez vne obligation.	L'état qu'il fait de moi, les coups dont il me trait Je ne prétends plus rien en son affection, Et sais que vous m'aurez une obligation.
ANSELME.	ANSELME.
Parle donc, ie t'enteuds,	Parle donc, Seigneur t'enteuds,
LYDIE.	LYDIE.
Vous ſçauez qu’Aurelie Dont le rachapt cousta tant de pus à Lelie, Et qui de vostre ſille auiourd'huy tieut le rang, Ne vous appaartient point, & n’eſt point veſtre ſang Lroxene est ſon nom, Panphilie fut ſon pere.	Vous savez qu'Aurelie Dont le rachappt coûta tant de pus à Lélie, Et qui de votre sille aujourd'hui tieut le rang, Ne vous appartient point, et n'est point vêtre sang Lroxène est son nom, Panphilie fut son père.
ANSELME.	ANSELME.
Il fut de mes amis, le Ciel luy ſoit proſpere.	Il fut de mes amis, le Ciel a soit prospère.
LYDIE.	LYDIE.
LYDIE.	LYDIE.
Et celle qu’en ce nom, on éleua chez nous, Est la vraye Aurelie, & tient le iour de vous.	Et celle qu'en ce nom, on éleva chez nous, Est la vraie Aurie, et tient le jour de vous.
ANSELME.	ANSELME.
Que me dis-tu, Lydie?	Que me dis-tu, Lydie?
& qui te l’a fait croire?	et qui te l'a fait croire?
LYDIE.	LYDIE.
Ma mere auant ſa mort, m’apprît toute l’hiſtoire;	Ma mère avant sa mort, m'apprît toute l'histoire;
Eſcoutez ſeulement, ce fruict de voſtre amour, Des flancs qui le portoient, eſtant à peine au iour, Il vous peut ſouueuir qu’on luy choiſit Penice, Femme de ce Pamphile.	Écoutez seulement, ce fruit de votre amour, Des flancs qui le portaient, étant à peine au jour, Il vous peut souueuir qu'on lui choisit Pénice, Femme de ce Pamphile.
ANSELME.	ANSELME.
Il est vray, pour nourrice.	Il est vrai, pour nourrice.
LYDIE.	LYDIE.
Mais il n’arriua pas ſelon voſtre deſſein, A ſa fille Eroxene elle garda ſon ſein;	Mais il n'arriva pas selon votre dessein, À sa fille Eroxène elle garda son sein;
Et commît Aurelie à nourrir à ma mere, Sous le nom d’Eroxene.	Et commît Aurelie à nourrir à ma mère, Sous le nom d'Éroxène.
ANSELME.	ANSELME.
A quoy tout ce myſtere?	À quoi tout ce mystère?
Et qui leur inſpira cette mauuaiſe foy?	Et qui leur inspira cette mauvaise foi?
LYDIE.	LYDIE.
Vn monſtre furieux, qui ue ſait point de loy.	Un monstre furieux, qui ue sait point de loi.
Quel?	Quel?
ANSELME.	ANSELME.
LYDIE.	LYDIE.
1 La neceßité, qui preſſoit leur famille, Et leur eſpoir eſtoit, que vous donnant leur fille.	1 La necemité, qui pressait leur famille, Et leur espoir estoit, que vous donnant leur fille.
Vous la deuriez vn iour pouruoir ſi richement, Qu’ils en pourroient tirer quelque ſoulagement, Quand ne la voyant plus deſſous voſtre puiſſance, Ils luy feroient ſçauoir ſon nom & ſa naiſſance.	Vous la devriez un jour pourvoir si richement, Qu'ils en pourraient tirer quelque soulagement, Quand ne la voyant plus dessous votre puissance, Ils lui feraient sçauoir son nom et sa naissance.
ANSELME.	ANSELME.
Dans lecœur d’vn mortel, ce deſſein peut entrer!	Dans lecœur d'un mortel, ce dessein peut entrer!
LYDIE.	LYDIE.
Oüy, mais par ceux de Dieu, qu’on ne peut penetrer.	Oui, mais par ceux de Dieu, qu'on ne peut pénétrer.
Et qui des plus ſubtils paſſent l’intelligence, D’vn outrage inconnu vous tirastes vengeance;	Et qui des plus subtils passent l'intelligence, D'un outrage inconnu vous tirâtes vengeance;
Car enfin il aduint que leurs biens augmentez, Et leurs poſſeßions paſſant vos facultez, Au point qu’ils meditoient, & ſe treuuoiẽt en peine, De vous rendre Aurelie, & reprendre Eroxene, Le Ciel permît ſa perte & ſon euenement, (De leur crime ſecret, viſible chastiment,) Fut pour l’vn & pour l’autre vne at teinte funeſte, Qui leur couſta le iour;	Car enfin il advint que leurs biens augmentés, Et leurs possesions passant vos facultés, Au point qu'ils méditaient, et se trouvaient en peine, De vous rendre Aurie, et reprendre Eroxène, Le Ciel permît sa perte et son événement, (De leur crime secret, visible châtiment,) Fut pour l'vn et pour l'autre une at teinte funeste, Qui leur coûta le jour;
mais oyez ce qui reſte, Pamphile, ſur le point de partir de ce lieu, Et d’aller rendre compte au tribunal de Dieu, Diſpoſa de ſes biens, en faueur de ſon frere, (Ce traiſtre, à qui le Ciel ſoit à iamais contrairel Ce malheureux Orgye;	mais oyez ce qui reste, Pamphile, sur le point de partir de ce lieu, Et d'aller rendre compte au tribunal de Dieu, Disposa de ses biens, en faveur de son frère, (Ce traître, à qui le Ciel soit à jamais contrairel Ce malheureux Orée;
aux charges neantmoins, Qu’au rachapt d’Eroxene apportant tous ſes ſoins, S’il la tiroit des mains de ce peuple infidelle, Il luy deuoit choiſir vn party digne d'elle;	aux charges néanmoins, Qu'au rachappt d'Eroxène apportant tous ses soins, S'il la tirait des mains de ce peuple infidèle, Il lui devait choisir un parti digne d'elle;
Et pour le rencontrer ſortable à ſes appas, La doter ſur ſon bien de dix ville ducats.	Et pour le rencontrer sortable à ses appas, La doter sur son bien de dix ville ducats.
Ou qu’ariuant qu' non ſa recherche fut vaine, Voſtre vraye Aurette, & la fauſſe Eroxene, Par vn article exprés du meſine testament, En prendroit par ſes mains deux mille ſeulement;	Ou qu'arivant qu' non sa recherche fut vaine, Votre vraie Aurte, et la fausse Eroxène, Par un article exprès du mine testament, En prendrait par ses mains deux mille seulement;
Faiſant voir maintenant, que celle qu’en Turquié Voſtre fils rachepta ſous le nom d’Aurelie, Est la vraye Eroxene, & ſa niepce en effet;	Faisant voir maintenant, que celle qu'en Turquié Votre fils rachepta sous le nom d'Aurelie, Est la vraie Éroxène, et sa niepce en effet;
Eigea-mumuummis en eſtre ſatisfait?	Éigua-mumuumis en être satisfait?
Et ſi ſon plus beau bien, retournant à ſa ſource, Et dix mille ducats luy ſortant de ſa bourſe, (Qui ſont dix mille traits qui luy fendront le ſein, Il ſe pourra vanter que mon courroux ſoit vain?	Et si son plus beau bien, retournant à sa source, Et dix mille ducats lui sortant de sa bourse, (Qui sont dix mille traits qui était fendront le sein, Il se pourra vanter que mon courroux soit vain?
Ainſi ie diuertis vn fatal mariage, Vous redonne vne fille, & venge mon outrage.	Ainsi ici divertis un fatal mariage, Vous redonne une fille, et venge mon outrage.
ANSELME.	ANSELME.
Mais qui peut là-deſſus m’éclarcir auec toy!	Mais qui peut là-dessus m'éclarcir avec toi!
LYDIE.	LYDIE.
Outre le teſtament qui vous en fera foy, Outre que voſtre ſang en rendra témoignage, Outre voſtre rapport de poil & de viſage, Voſtre ſeul ſouuenir vous peut conuaincre enſin, Par vne marque au bras en forme de raiſin.	Outre le testament qui vous en fera foi, Outre que votre sang en rendra témoignage, Outre votre rapport de poil et de visage, Votre seul souvenir vous peut convaincre ensin, Par une marque au bras en forme de raisin.
ANSELME.	ANSELME.
Il m’en ſouuient Lydie, & ce ſigne viſible Nous en ſera la preuue, & la marque infaillible;	Il m'en souvient Lydie, et ce signe visible Nous en sera la preuve, et la marque infaillible;
Il me ſouuient de plus, (Ciel, tu le peux ſçauoir,) Qu’il ne m’eſt de ma vie arriué de là voir, Que ces doux mouuemens, dôt le ſang s’interprette, N’ayent ſemblé m'aduertir paque voix ſecrette, (A laquelle pourtant ie ne m’arreſtois point, De l’étroite vnion dont Nature nous ioint.	Il me souvient de plus, (Ciel, tu le peux savoir,) Qu'il ne m'est de ma vie arrivé de là voir, Que ces doux mouvements, dôt le sang s'interprète, N'aient semblé m'avertir pâque voix secrète, (A laquelle pourtant ie ne m'arrestois point, De l'étroite union dont Nature nous joint.
I'en auois pour Lelie arreſté l’alliance, Où, (non ſans vne longue & iuſte repugnance,) Orgye auoit enſin lãchement conſenty;	J'en avais pour Lélie arrêté l'alliance, Où, (non sans une longue et juste répugnance,) Orgye avait ensin lãchement consenti;
Et i'en euſſe accepté l’inceſtueux party, Sans ton heureux aduis, pour nous ſi ſalutaire.	Et j'en eusse accepté l'incestueux parti, Sans ton heureux avis, pour nous si salutaire.
LYDIE.	LYDIE.
Du teſtament au reſte, Eugene eſt le Notaire, Voſtre prochain voiſin	Du testament au reste, Eugène est le Notaire, Votre prochain voisin
ANSELME.	ANSELME.
Ie m’y rends de ce pas;	Je m'y rends de ce pas;
Entre chez moy, Lydie, & ne téloigne pas, Que ie m’acquitte à toy d'vne debte équitable, Si ce que tu me dis ſe treuue veritable.	Entre chez moi, Lydie, et ne teloigne pas, Que je m'acquitte à toi d'une dette équitable, Si ce que tu me dis se trouve véritable.
Orgye ſort.	Orgye sort.
LYDIE.	LYDIE.
Allez, vous treuuerez que ie ne vous ments point;	Allez, vous trouverez que je ne vous mens point;
Mauis le prix que i’en veux, à ma vengeãce eſt ioint;	Mavis le prix que j'en veux, à ma vengeance est joint;
Dl chargeant ma colere anec ma conſçience, Du bien que ie vous fais, i’ay pris la recompenſe;	Dl chargeant ma colère anec ma conscience, Du bien que je vous fais, j'ai pris la récompense;
I'entreray toutesſois, & d’vn œil ſatisfait, Verray de ma vengeance, & le cours & l’effet.	J'entrerai toutefois, et d'un œil satisfait, Verrai de ma vengeance, et le cours et l'effet.
SCENE III.	SCÈNE III.
ORGYE, ſeul.	ORGIE, seul.
Audite paßion, dangereuſe colere, ENS Foibleſſe des vieux ans, mauuaiſe conſeillere, Qui deſſus la raiſon donnez l’empire aux ſens, Ie crains bien de t’auoir trop creuë à mes deſpens!	Audite passion, dangereuse colère, ENS Faiblesse des vieux ans, mauvaise conseillère, Qui dessus la raison donnez l'empire aux sens, Je crains bien de t'avoir trop crue à mes dépens!
D’eſtre de mes malheurs moy-meſme le miniſtre, Et d’obliger Lydie à quelque effet ſiniſtre:	D'être de mes malheurs moi-même le ministre, Et d'obliger Lydie à quelque effet sinistre:
Vne ſotte réponſe, vn parler indiſcret, M’ont fait mal à propos hazarder vn ſecret, De teue conjequence a toute ma famille, Et qui n’eſt guere ſeur dans le ſein d’vne fille;	Une sotte réponse, un parler indiscret, M'ont fait mal à propos hasarder un secret, De tue conjequence à toute ma famille, Et qui n'est guère sûr dans le sein d'une fille;
Elle entre chez Anſelme, & vient de luy parler!	Elle entre chez Anselme, et vient de lui parler!
O verité trop forte, & qu’on ne peut celer!	Ô vérité trop forte, et qu'on ne peut celer!
Que tu m’es d’vn natable & fatal preiudice!	Que tu m'es d'vn natable et fatal préjudice!
Et que tu me peux rendre vn redoutable ofſice!	Et que tu me peux rendre un redoutable ofsice!
Tu ne perds point ta force, à force de vieilliri Aucun ſiecle, aucun temps, ne peut t’enſeuelir;	Tu ne perds point ta force, à force de vieilliri Aucun siècle, aucun temps, ne peut t'enseuelir;
Tu renais quãd tu veux, plus brillate & plus claire Et te ſçais reproduire außi bien que ton pere;	Tu renais quand tu veux, plus brillate et plus claire Et te sais reproduire aussi bien que ton père;
Ton reſpect m’obligeoit à ne m’emporter pas, Et ie croy touſiours voir Anſelme ſur mes pas, Accuſer iuſtement mon peu de conſçience, De cette inceſtueuſe & fatale ælliance.	Ton respect m'obligeait à ne m'emporter pas, Et je crois toujours voir Anselme sur mes pas, Accuser justement mon peu de conscience, De cette incestueuse et fatale ællance.
Mais, ou mon œil s’abuſe, ou c’eſt luy que ie voy!	Mais, ou mon œil s'abuse, ou c'est venir que tu vois!
C’eſt luy!	C'est lui!
que luy diray-ie?	que Elle dirai-je?
ô Ciel, aßiſte m'y:	ô Ciel, aussi m'y:
Ne puu-ie l’éuiter?	Ne puvie l'éviter?
SCENE IV ANSELME, ORGYE.	SCÈNE IV ANSELME, ORGIE.
ANSELME.	ANSELME.
Mixm.	Mixm.
, mmet, orex	, mémet, orex
ORGYE.	ORGIE.
Rion ne peut plus chetif, te ſauuer ſans magie?	Rion ne peut plus chétif, te sauver sans magie?
ANSELME.	ANSELME.
Nous ſommes vieux, Orgye, & tantoſt ſur le point De partir pour vn lieu d’où l’on ne reuient point;	Nous sommes vieux, Orgye, et tantôt sur le point De partir pour un lieu d'où l'on ne revient point;
Sans miracle, iamais ce retour ne s’accorde.	Sans miracle, jamais ce retour ne s'accorde.
ORGYE.	ORGIE.
Le ſermon ſera long, n’en voicy que l’exorde;	Le sermon sera long, n'en voici que l'exorde;
O funeſte courroux!	Ô funeste courroux!
ANSELME.	ANSELME.
Vous ſçauez qu’eſtant morts, Coſtre premier deuoir, au ſortir de ce corps, Est de rendre a l’inſtant compte de noſtre vie, A qui nous l’a donnée, & qui nous l’a rauie!	Vous savez qu'étant morts, Cotre premier devoir, au sortir de ce corps, Est de rendre à l'instant compte de notre vie, À qui nous l'a donnée, et qui nous l'a ravie!
it qu’en ce compte exact que nous rendons à Dieu, a reſlitution tiendra le premier lieus ar elle ſeulement noſtre offence s'efface, t ſans elle vn pecheur ne treuue point de grace.	Çit qu'en ce compte exact que nous rendons à Dieu, a réslitution tiendra le premier lieus ar elle seulement notre offense s'efface, t sans elle un pécheur ne trouve point de grâce.
ORGYE, en luy meſme.	ORGIE, en lui mesme.
uand il faut demander nous faiſons des ſermons, iais à reſtituer, nous ſonmes des demons.	Uand il faut demander nous faisons des sermons, jais à restituer, nous sonmes des démons.
ANSELME.	ANSELME.
Viuants, ſi nous voulons nos œuures ſont vtiles, Mais apres le trépas elles ſont tinfertiles:	Vivants, si nous voulons nos œuvres sont vtiles, Mais après le trépas elles sont tinfertiles:
Et c’eſt en l’autre vie vn ſeuuenir bien doux, Qu’icy bas nos pechez ſoiẽt morts premier que nous.	Et c'est en l'autre vie un seuenir bien doux, Qu'ici bas nos péchés soient morts premier que nous.
Malheureux, qui croyant ſes affaires ſecrettes, Laiſſe à ſes heritiers la charge de ſes debtes;	Malheureux, qui croyant ses affaires secrètes, Laisse à ses héritiers la charge de ses débtes;
Puis qu’alors que les biens ſont vne fois vendus, Le bien, & mal acquis, ne ſe ſeparent plus?	Puis qu'alors que les biens sont une fois vendus, Le bien, et mal acquis, ne se séparent plus?
C’eſt vn Idole d'or, que le plus ſage adore.	C'est un Idole d'or, que le plus sage adore.
ORGYE.	ORGIE.
Le Careſme n’eſt plus, & vous preſchez encore!	Le Caresme n'est plus, et vous prêchez encore!
Venons au fait de grace.	Venons au fait de grâce.
ANSELME.	ANSELME.
Attendez, m’y voicy, Voſtre frere, de bõne & d’heureuſe memoire.	Attendez, m'y voici, Votre frère, de bonne et d'heureuse mémoire.
ORGYE.	ORGIE.
De mauuaiſe pour moy;	De mauvaise pour moi;
mais abregez l’hiſtoire.	mais abrégez l'histoire.
ANSELME.	ANSELME.
Iueau,	Jueau,
M’a par vn crime enorme, & pour moy tout nouChangé, ( pour faire court,) vne fille au berceau.	M'a par un crime énorme, et pour moi tout nouvhangé, ( pour faire court,) une fille au berceau.
Eſcoutez.	Écoutez.
ORGYE.	ORGIE.
ANSELME.	ANSELME.
