Au Lecteur, ſur l’Argument de la Tragedie.	Au Lecteur, sur l'Argument de la Tragédie.
» Trois quatre ſois heureux qui parmy la furie ,, De la noir' Atropos ont e ſpandu leur vie:	" Trois quatre sois heureux qui parmi la furie ,, De la noir' Atropos ont eu spandu leur vie:
O fortunez eſprits, que n’ay ie tomme vous Le corps entremeurtry d’vn milion de coups?	Ô fortuné esprits, que n'ai assez tomme vous Le corps entremeurtri d'un milion de coups?
Que ne ſuis-ie tombe vaillamment en la guerre Auec vous pour ne voir les plaintes de ma terre?	Que ne suis-je tombe vaillamment en la guerre Avec vous pour ne voir les plaintes de ma terre?
Pour le moius ie n’aurois la peine de mourir D’vn glaiue maintenant l’eſtomach pour m’ouurir:	Pour le moius ie n'aurais la peine de mourir D'un glaiue maintenant l'estomac pour m'ouvrir:
Ie viurou auec toy dans les beaux champ.	Je vivrou avec toi dans les beaux champ.
d’Eliſe Mon Contedu Suffort & pour toule entrepriſe Nous parler ions tous aeux ſous les Myries facréz Von de l'horrible Mars, des murs eſlabourez, Des embuſches d’aſſauts, de perils, des encombres Mais de iouer parmy les bienheureuſes ombres:	d'Élise Mon Contedu Sort et pour toule entreprise Nous parler jons tous eux sous les Myries facréz Von de l'horrible Mars, des murs élabourez, Des embûches d'assauts, de périls, des encombres Mais de jouer parmi les bienheureuses ombres:
Ie te raconterois Clacidt mon amy Le los que tu receus combatant l’ennemy:	Je te raconterais Clacidt mon ami Le los que tu reçus combattant l'ennemi:
Et toy conte Sulbeis que les ſeux repouſſez Plougerent dans les creux des Stiges enſoufrez Qui iouys maintenant d’vne ſainte lumiere:	Et toi conte Sulbeis que les seux repoussés Plougèrent dans les creux des Stiges ensouffrez Qui jouis maintenant d'une sainte lumière:
Tu rirois au diſcours de ma dextre guerriere.	Tu rirais au discours de ma dextre guerrière.
Mais las vous repoſez mollement ſur les ſleurs?	Mais las vous reposez mollement sur les sleurs?
Et ie vis en la terre aſſlige de douleurs:	Et ici vis en la terre asslige de douleurs:
Je vis & ſi ie meurs ſans eſprit ie reſpire.	Je vis et si belle meurs sans esprit esprit respire.
Quoy dõc las ſaudra-il que pour tout noſtre Empire Pour tout hõneur acquis, pour tout nos veri lauriers Ie renage les ſiois moy meſme des premiers?	Quoi dont las saudra-il que pour tout notre Empire Pour tout honneur acquis, pour tout nos very lauriers Je renage les siais moi -même des premiers?
Que i’annonce la mort de leurs enfans aux pereit Ie raconte nos maux, nos penibles miſeres, Ie ſois le meſſager de toute cruauté, Du malheur, du deſtin, du dommage aporté?	Que j'annonce la mort de leurs enfants aux pèreit -Je raconte nos maux, nos pénibles misères, Je sois le messager de toute cruauté, Du malheur, du destin, du dommage apporté?
Ie gemiſſe au deuant d’vne royale face De la porte de tous, & ſans geſte & ſans grace?	Je gémisse au devant d'une royale face De la porte de tous, et sans geste et sans grâce?
Ie contraigne trembler le ſceptre de ſa main, Ie luy face paſlir le viſage ſoudain?	Je contraigne trembler le sceptre de sa main, Je te face pâlir le visage soudain?
Non, non, les meres non, de leurs maux Thieſlient Ne me deteſteront, ny entores les miens:	Non, non, les mères non, de leurs maux Thieslient Ne me détesteront, ni entores les miens:
Ie ne ſeray monſtre du doigt parmy la ruë Pour ſeruir aux paſſans d'une fable cognuë, Pour me ſaire maudire, & les iours, & les nuit, Prolonger leurs propos en leurs triſtes ennuis Je mourray comme vous, & ſi lors l’infortune Ne me pormet tomber en la perte commune, Quand tous mes chers amis naurez dans les tõbat, Des flethes de la moit deſcendirent là bas Pour viure ſous les loix d’Hecate à triple teſte:	Je ne serai montre du doigt parmi la rue Pour servir aux passants d'une fable connue, Pour me zaïre maudire, et les jours, et les nuit, Prolonger leurs propos en leurs tristes ennuis Je mourrai comme vous, et si lors l'infortune Ne me pormet tomber en la perte commune, Quand tous mes chers amis naurez dans les tombât, Des flèlethes de la moit descendirent là bas Pour vivre sous les lois d'Hecate à triple tête:
Ie ſuiur ay maintenant leur heureuſe conqueſte.	Je suivr ai maintenant leur heureuse conquête.
Que retarday-ie donc?	Que retardai-je donc?
ce viſte tremblement Ne m’enſeigne til pas de courir viſtement?	ce vite tremblement Ne m'enseigne til pas de courir vitement?
Cet ombre, ceſte nuict priuee de lumiere Ne noirciſſent-ils pas de mes yeux la paupiere?	Cet ombre, cette nuit privée de lumière Ne noircissent-ils pas de mes yeux la paupière?
Ceſte triſte couleur qui me palliſt ſi blanc Qui fait que Je n’ay plus dans mes vaines de ſang.	Cette triste couleur qui me pallît si blanc Qui fait que Je n'ai plus dans mes vaines de sang.
O race inſortunee!	Ô race insortunée!
ô fille d’Acheronl O monſtre ſerpentin eſpouſe de (haron Qui quitas tous les morts deſpouille de la parque Par tes enchantemens dans la ſatale barque, Pourquoy ne ſuis-ie pas (ennemie des Dieux) Enroollé pour paſſer le fleuue Stigitux?	ô fille d'Acheronl Ô montre serpentin épouse de (haron Qui quitas tous les morts dépouille de la parque Par tes enchantements dans la satale barque, Pourquoi ne suis-je pas (ennemie des Dieux) Enrôlé pour passer le fleuve Stigitux?
Qe ne me dannas-tu quelque herbe venimeuſe, Quelque boucon cueilly dans l'Emonie herbeuſe Et mille autre poiſons, ſorciere que tu ſçais Pour enclorre és tombeaux ſous les triſles Cypres Les mortels quãd tu veux pour le moins à cet heure Ie baſtirois ſur ce ma noire ſepulture:	Qe ne me dannas-tu quelque herbe venimeuse, Quelque boucon cueilli dans l'Émonie herbeuse Et mille autre poisons, sorcière que tu sais Pour enclore ès tombeaux sous les trisles Cypres Les mortels quand tu veux pour le moins à cet heure Je bâtirais sur ce ma noire sépulture:
Mais ayant, las, helas!	Mais ayant, las, hélas!
tout meurtri, tout tué, Je ſuis par ton moyen malheureux reſcrué Pour encore languir, & par mes mains meutrieres, Moy-meſme me priuer de la claire lumiere.	tout meurtri, tout tué, Je suis par ton moyen malheureux rescrué Pour encore languir, et par mes mains meutrières, Moi-même me priver de la claire lumière.
Si faut-il toutes ſois que mon bras & mes yeux S’acouſtument de voir d’eux meſmes enuieux Vn ſi pauure ſpectaile, il le faut, & des l’heure Il reſie maintenant, il reſte que ie meure?	Si faut-il toutes sois que mon bras et mes yeux S'acoutument de voir d'eux -mêmes envieux Un si pauvre spectaile, il le faut, et des l'heure Il résie maintenant, il reste que je meure?
Allide.	Allide.
Hé, monſieur, qu’eſt ce cy?	Hé, monsieur, qu'est ce cy?
quelle eſtrange douleux Qeimuigipuruifeipun dourrelle veſtre cœur?	quelle étrange douleux Qimuigipuruiféipun dourrelle vêtre cœur?
Que veulent ces propos que vous ieniez nagueres?	Que veulent ces propos que vous ieniez naguères?
Que veut dire mourir, ſes paroles meurtrieres, ceſte main, ce couſteau?	Que veut dire mourir, ses paroles meurtrières, cette main, ce couteau?
voyez, voyez pour Dieu Que n’executez quelque ouurage en ce lieu Tant indigne de vous, que de voſtre induſtrie.	voyez, voyez pour Dieu Que n'exécutez quelque ouvrage en ce lieu Tant indigne de vous, que de votre industrie.
Talbot.	Talbot.
Ainſi ie regretois le malheur de ma vie Noſtre commun danger, la perie de nos gens Qui giſent eſtendus ſur les ſillons des champs Ce naufrage touſiours tourt deuant mon viſage.	Ainsi ici regretais le malheur de ma vie Notre commun danger, la périe de nos gens Qui gisent étendus sur les sillons des champs Ce naufrage toujours tourt devant mon visage.
Allide.	Allide.
Deuez-vous pour cela perdre ainſi le courage?	Devez-vous pour cela perdre ainsi le courage?
Deuez vous lamenter, & les auits & les iours Apeller par vos cris les parques au ſecours?	Devez -vous lamenter, et les avits et les jours Apeler par vos cris les parques au secours?
Si nous auons laiße vne a mee en la Frauce, Ne ſp̧auez vous pas bien que nous auons puiſſance D’en reconduire trois.	Si nous avons laisse une a mee en la Frauce, Ne sp̧auezavez pas bien que nous avons puissance D'en reconduire trois.
& plus audacieux Leuer plus que deuant les cornes daus les Cieux?	et plus audacieux Lever plus que devant les cornes daus les Cieux?
L’Epirote iadis vaincu didans l’itate » Porta patiemment ſa ruine totalle Et contraiat retou, ner le front vert ſon pays Fila ſes aus en ieux auecques ſes amis.	L'Épirote jadis vaincu didans l'itate " Porta patiemment sa ruine totalle Et contraiat retou, ner le front vert son pays Fila ses au en yeux a ses mis.
St nous auons perdu la perte maintenant Nous pourroas quilques ſois bien en gaigner autant Touſioues lon ne voit pas ſur la mer Gaſpienne L’orage tourrouce la glace 4 menienne Ne boide pas touſiiurs le viſte cours des eaux:	St nous avons perdu la perte maintenant Nous pourroas quilques sois bien en gagner autant Toues lon ne voit pas sur la mer Gaspienne L'orage tourrouce la glace 4 menienne Ne boide pas tousiiurs le vite cours des eaux:
Ny leabeſne en tout temps, & les larges onmeaux Ne laiſſent-pas tomber à leurs pieds leur fucillagé Le boù topulien ne ſent touſiou sl’orage Du Borce iſenſe ce qui eſt aducuu N’aduiendea pas touhours.	Ni leabêne en tout temps, et les larges onmeaux Ne laissent-pas tomber à leurs pieds leur fucillagé Le boù topulien ne sent tousiou sl'orage Du Borce isense ce qui est aducuu N'aviendea pas touhours.
Talbot.	Talbot.
Mais nous auons perdu ( Ce que nous ne ſeau ions belas !	Mais nous avons perdu ( Ce que nous ne seau jons bêlas !
iamais rep dnt Taut de braues Seigneurs qui ioyeux de deſſendre Leur honneur, & teluy de leur priuce ont ietié Nagueres deuant nous l’eſprit enſanglanté.	jamais répondant dnt Taut de braves Seigneurs qui joyeux de dessendre Leur honneur, et telui de leur privée ont jetiè Rés devant nous l'esprit ensanglanté.
Allide.	Allide.
Il eſt vray:	Il est vrai:
mais pourtãt voꝰ ne ſçauriez eotrais Le deſtin de laiſſer ce qu’il deſire attaindie.	mais pourtant voꝰ ne sauriez étrais Le destin de laisser ce qu'il désire attaindie.
Faut-il que pour cela un laſche deſeſpoir vous mette ſur les yeux l’auernalle manoir?	Faut-il que pour cela un lâche désespoir vous mette sur les yeux l'avernalle manoir?
Le vaillant Pellien apres tant de victoires, Tant de labeurs paſſez, tant de maux, tãt de gloirt.	Le vaillant Pellien après tant de victoires, Tant de labeurs passez, tant de maux, tant de gloirt.
Laiſſa à la parfin deſſus le mur Troyen Son corps deſcendie voi ſon cher Menetien.	Laissa à la parfin dessus le mur Troyen Son corps descendie son cher Ménétien.
L’Alcide ſon Iſlas, ſon compagnon Theſee, Troill ſon Hector, ſon Euridice Orphee:	L'Alcide son Islas, son compagnon Thesee, Troill son Hector, son Éuridice Orphe:
Si vos amis ſont morts il en ſaut acquerir D’autres qui vous pourront ainſi qu’eux ſecourir	Si vos amis sont morts il en saut acquérir D'autres qui vous pourront ainsi qu'eux secourir
Talbot.	Talbot.
Ie change bien ſouuent en eſt ſort dommageable.	Je change bien souvent en est sort dommageable.
Allide.	Allide.
Le change blen ſouuent en eſt ſort proſitable.	Le change blen souvent en est sort prositable.
Taibot.	Taibot.
uert Ne vaudroit-it pas mieux que nous euſſious couPuaaaai	uert Ne vaudrait-it pas mieux que nous eussious couPuaaaai
Allide.	Allide.
Non non & que vous ſert Ce funebre propos:	Non non et que vous sert Ce funèbre propos:
il ſaut aimer la vie.	il saut aimer la vie.
Talbot.	Talbot.
Quoy nous en retourner vaincus en la patrie?	Quoi nous en retourner vaincus en la patrie?
Allide.	Allide.
Oùdonc, puis que las Dieux le permettent ainſi Là nous reſpirerons ſons crainte & ſans ſoucy.	Oùdonc, puis que las Dieux le permettent ainsi Là nous respirerons sons crainte et sans souci.
Talbot.	Talbot.
Enatinnampammajauintiſs, coüards, inſamet De naus laiſſer dompier par les mais d’vne femme.	Enatinnampammajauintiss, coutards, insamet De naus laisser dompier par les mais d'une femme.
Allide.	Allide.
Die ce qu’il voudra ſi nous ſommes vaineus ce n’eſt pas ſaus combatre.	Die ce qu'il voudra si nous sommes vaineus ce n'est pas saus combattre.
Talbot.	Talbot.
He bien donc ie le veux:	He bien donc Madame le veux:
Mais pendant iuſqu’icy nous auons pris la fuite.	Mais pendant jusqu'ici nous avons pris la fuite.
Allide.	Allide.
Le fuyard'quelques ois commente la pourſuite, La ſortune ſe change & ſon viſage faint Ne monſtre pas touſiours meſme iayon cmpraiut,	Le fuyard quelques ois commente la poursuite, La sortune se change et son visage saint Ne montre pas toujours même jayon crempraiut,
Talbot.	Talbot.
La ſortune ſe rid de nos maux pitojables.	La sortune se rid de nos maux pitojables.
Allide.	Allide.
Fortune eſt le ſoulas des pauures miſerables.	Fortune est le soûlas des pauvres misérables.
Talbot Deuons-nous eſperer quelque bon changement?	Talbot Deun-nous espérer quelque bon changement?
Allide.	Allide.
Ouy bien puis que ſon vol n’eſt pas vn ſeullement,	Oui bien puis que son vol n'est pas un seullement,
Talbot.	Talbot.
Hé bien qu’on ſace armer le reſte de l’armes Pour courir au matin deſſus l’onde ſalec.	Hé bien qu'on sace armer le reste de l'armes Pour courir au matin dessus l'onde salec.
Allide.	Allide.
Ie baſteray le tout aſin qu’au paranant,	Je bâterai le tout asin qu'au paranant,
Que le ciel rougira nos voilles ſoyent au vent.	Que le ciel rougira nos voilles soient au vent.
Talbot.	Talbot.
C’eſt aſſez, ie ſuis ſeul, il faut que ie m’auance De nager dans Cocyte, & qu’inſenſe ie penſe De me donner la Parque à mes triſtes malheurs Vous ſilles d’Acheron, vous Eumenides ſœurs, Thiſiphone, Ertunis, qui brulez en la dextre Les flambeaux enrougis de ſang pour voſtre ſoptne Qui ceignez a lentour de ſerpens vos cheueux, Gliſſans deça, delà de leur ventre baueux, Aidez-moy maintenant, i’ay affaire de vous, Iettez, iettez ſur moy voſtre rouge courroux, Voſtre rage, vos ſeux, iettez voſtre Athamente, Le roch Syſiphien, la Cadmeiqu' Amente:	C'est assez, je suis seul, il faut que ainsi m'avance De nager dans Cocyte, et qu'insensé ie pense De me donner la Parque à mes tristes malheurs Vous silles d'Acheron, vous Eumenides sœurs, Thisiphonne, Ertunis, qui brûlez en la dextre Les flambeaux enrougis de sang pour votre soptne Qui ceignez à lentour de serpens vos cheveux, Glissants delà, de de leur ventre baveux, Aidez-moi maintenant, j'ai affaire de vous, Jetés, jetés sur moi votre rouge courroux, Votre rage, vos seuxaiettez vostre Rage, Je roch Sysiphien, ta ç Amenteh
La vogue Tantalide, & les Belides ſœurs, Et tournez contre moy vos ſlambeaux puniſſeurs.	La vogue Tantalide, et les Bélides sœurs, Et tournez contre moi vos slambeaux punisseurs.
Où dois-ie commencer, las!	Où dois-je commencer, las!
quel genre de peine, Faut-il que ie choiſiſſe ?	quel genre de peine, Faut-il que je choisisse ?
ò fortune inhumaine!	§ fortune inhumaine!
O deſaſtre!	Ô désastre!
ô malheur!	ô malheur!
m’at tacheray-ie au col Pour eſteindre mes aux vn inſame licol?	m'at tacherai-je au col Pour éteindre mes aux un insame licol?
Ou ſi d’vn haut rocher à la teſte gelee Ie lanceray mon corps dedans l’onde azuree?	Ou si d'un haut rocher à la tête gelée Je lancerai mon corps dedans l'onde azurée?
Non, non, ce mien poignart à mon cœur dedié, Cet acier flamboyant, ce bras tant ennuyé Me conduira là bas daus les eaux Auernalles Pour viure à tout iamais parmy les ondes palles, Ainſi le fier Romair de ſon propre couteau S’enfila pour ne voir vn triomphe nouueau.	Non, non, ce mien poignart à mon cœur dedié, Cet acier flamboyant, ce bras tant ennuyé Me conduira là bas daus les eaux Auernalles Pour vivre à tout jamais parmi les ondes palles, Ainsi le fier Romair de son propre couteau S'enfila pour ne voir un triomphe nouveau.
Oſous donc hardiment, & toy ma triſte mais Fiche ce ſer cruel par vn coup inbumain.	Osous donc hardiment, et toi ma triste mais Fiche ce ser cruel par un coup inbumain.
Vous filles de la nuict aidez-moy de recheſ, courez, me voicy preſt, puviſſez mon meſthef, Parque, Stix, Acheron, cerbere Proſer pine, Auance-toy poignard enſerre ma poitrine.	Vous filles de la nuit aidez-moi de rêches, courez, me voici prêt, puvissez mon méthef, Parque, Stix, Acheron, cerbère Proser pine, Avance-toi poignard enserre ma poitrine.
Allide.	Allide.
Hé, bons-dieux !	Hé, bons-dieux !
qu’eſt-ce cy?	qu'est-ce cy?
qui euſt iamais penſe Qu’vn ſibraue ſeigueur euſt ſa mort auance?	qui eût jamais pense Qu'Han nibrave seigueur eût sa mort avance?
Quel laſche deſeſpoir, mon Talbot, ie vous prie, A contraint voſtre bras de vous couper la vie?	Quel lâche désespoir, mon Talbot, je vous prie, A contraint votre bras de vous couper la vie?
Va funeſte couſleau ne bleſſe plus mes yeux, Tu m’as, tu m’as rauy ce que i’aimois le mieux.	Va funeste couleau ne blesse plus mes yeux, Tu m'as, tu m'as ravi ce que j'aimais le mieux.
Ore que tout couloit a mon grand auantage Qu’apres tant de labeurs nous repreniont tourape, Out hamm pemtip piit, & que pour ſon for fait Elle doit endurer en ſin ce quelle a fait Souſfrir à tant de nous:	Ore que tout coulait à mon grand avantage Qu'après tant de labeurs nous repreniont tourape, Ut hamm pemtip iit, et que pour son for fait Elle doit endurer en sin ce quelle a fait Sousfrir à tant de nous:
& ſorciere execrable, Etaindre daus le ſeu ſon charme deteſtable.	et sorcière exécrable, Etaindre us le seu son charme détestable.
Nous auez-vous laiſſez plongez en tant d’nnuis Afin de voir ſans vout noſtre triſte pays?	Nous avez-vous laissez plongez en tant d'nuis Afin de voir sans vout notre triste pays?
Ie m’en vois recouris pour porter la uouvelle Aux autres tout ſoudain d’vnc ix fortune telle, Vous ſoldats cependant pour oſiee dernier Leuez auecque-moy ce corps fort & guerrier.	Je m'en vois recouris pour porter la ouvelle Aux autres tout soudain d'unce ix fortune telle, Vous soldats cependant pour osie dernier Leuez auecque-moi ce corps fort et guerrier.
ACTE V.	ACTE V.
La Pucelle.	La Pucelle.
Lucidan Anglois.	Lucidan Anglais.
Gentilshommes.	Gentilshommes.
Les Filles de France.	Les Filles de France.
La Pucelle.	La Pucelle.
As ô Dieulqu’eſt-ce cy?	As ô Dieulqu'est-ce cy?
quel ſpectaele éſtoyable, L Quehe fin me pourſuit ihà pauuce miſerable?	quel spectaèle éstoyable, L Quehe fin me poursuit ihà pauvce misérable?
Dolente inſortunec à qui tous les malheurs Augmentẽt tous les iours mes plus triſtes douleurs Donc apres tant de maux, taut de prines ſouſertez Paße tant de dangers endure tant de pertes, Pour vn char de triomphe, ou quelque verd lauris Suis-ie traiuee icy par vn barbare ſier?	Dolente insortunec à qui tous les malheurs Augments tous les jours mes plus tristes douleurs Donc après tant de maux, taut de prines sousertés Passe tant de dangers endure tant de pertes, Pour un char de triomphe, ou quelque verd lauris Suis-je traileue ici par un barbare si?
Ay ie donne la vie à mon propre pays Pour receuoir la Parque en ſes triſtes ennuis?	Ai grande donne la vie à mon propre pays Pour recevoir la Parque en ses tristes ennuis?
Ay-ie aſſoupy les ſeux qui diuorent nos ames Pour ſeruir de paſture à ces ardantes ſlammes?	Ai-je assoupi les seux qui divorent nos âmes Pour servir de pâture à ces ardantes slammes?
Ay-ie pauure pucelle enchaine les ſureurs Pour tourner contre-moy les fatales horreurs!	Ai-je pauvre pucelle enchaine les fureurs Pour tourner contre-moi les fatales horreurs!
Chaße tes pleurs, les cris, imprimé la lieſſe Pour eſtre maintenaut comblee de triſteſſe?	Chasse tes pleurs, les cris, imprimé la liesse Pour être maintenaut comblée de tristesse?
Ie ne craignois eu rien les fleches de la mort:	Je ne craignais eu rien les flèches de la mort:
Mais, las quand ic me voy condamnee à grand tort Ie ne puis reteuit le cours des deux ſontaines Qui roullent de mes yeux en ſes humides p aines, Qui doyuent maintenant les flammeſches ſouſſrir, D’autant que tu as peu par armes ſecourir Ton Roy, & ta patrie, & non infortunee Me iuger fauſſement ſous vn nom de Medee.	Mais, las quand ic me vois condamnée à grand tort Je ne puis reteuit le cours des deux sontaines Qui roullent de mes yeux en ses humides p aines, Qui doivent maintenant les flammes soussrir, D'autant que tu as pu par armes secourir Ton Roi, et ta patrie, et non infortunée Me jusqu' faussement sous un nom de Medee.
Pourquoy ne ſuis-ie pas ſus vn braſier ardant Pour auoir enrougy les campagnes de ſan, D’un p uple ſurieux, & non comme ſorciere Ganidie execrable inſenlee Megere.	Pourquoi ne suis-je pas sus un brasier ardant Pour avoir enrougi les campagnes de san, D'un p uple surieux, et non comme sorcière Ganidie exécrable insensée Mégère.
Lucidan Madame, que ſert-il vous geſuer de la ſorte Domiez vos pleurs, vos cris, voſtre paſſion ſorte, Si lon vous iuge à tort les dieux ne veulent pas Que le ſort ſe meſure en vn meſme compas:	Lucidan Madame, que sert-il vous gesuer de la sorte Domiez vos pleurs, vos cris, votre passion sorte, Si lon vous juge à tort les dieux ne veulent pas Que le sort se mesure en un même compas:
Ils voyent les mortels de leurs yeux pitoyables:	Ils voient les mortels de leurs yeux pitoyables:
Ils ſecourent en ſia les pauures miſe ables:	Ils secourent en zia les pauvres mise ables:
Eſperez de la haut quelque meilleur ſuporu	Espérez de la haut quelque meilleur suporu
Les naux apres l'orage arriuent à bon port.	Les naux après l'orage arrivent à bon port.
La Pucelle.	La Pucelle.
Donc puis que s’en eſt ſait & que le parque ſolle Au deuant de mes yeux deſia vole & reuole:	Donc puis que s'en est sait et que le parque solle A deuant de mes yeux déjà vole et revole:
Que le grandl Gnoſien deſia branle bautain Le ſer pour eſacer ce qui reſte en ſa main, En ſa cruche ſatale, & que les ombres ſaintes M’attendent ſur l’email de leurs ſleurettes peintes Aux beaux champs d’Elizee, & que tarday-ie tãt La mort m’eſt vne vie, où ie vais ſoulageant Mes peines par plaiſies, par ioye ma triſteſſe.	Que le grand Génosien déjà branle bautain Le ser pour esacer ce qui reste en sa main, En sa cruche satale, et que les ombres saintes M'attendent sur l'email de leurs sleurettes peintes Aux beaux champs d'Elizee, et que tardai-je tãt La mort m'est une vie, où notre vais soulageant Mes peines par plaisiez, par joie ma tristesse.
Fraate de l’vviuers, la mere & la maiſtreſſe, Nourrice de Mauors qui porte ſur le front Les rameaux ebranchez des palmes ſur le mont, ninomanduullujasununſous le riuage Du Phenice puiſſant, ecoute mon lavgage.	Frate de l'évivers, la mère et la maîtresse, Nourrice de Mavors qui porte sur le front Les rameaux ébranchés des palmes sur le mont, ninomanduullujasununsous le riuage Du Phénice puissant, ecte mon lavgage.
Ce iourd’huy par les ſeux mon ame en ta faueur Quitera froidement le ſeiour de mon tœur, Pour le moins que l’oubly, que le nombre des ans N’enſeueliſſe point ſur la longueur du tempt, Et mon nom, & mon corpt en meſme ſepulture.	Ce jour'hui par les seux mon âme en ta faveur Quittera froidement le séjour de mon tœur, Pour le moins que l'oubli, que le nombre des ans N'ensévelisse point sur la longueur du tempît, Et mon nom, et mon corpt en même sépulture.
Souuienue-toy touſiours de l'eſtrangere iniure, Vous ſes ſilles Paris, Trois, Poitiers, Orleaus Mettez deuant vos yeux les gou ſres tuidans Qu’il vous faudra ſouſrir:	Souuienue-toi toujours de l'étrangère injure, Vous ses silles Paris, Trois, Poitiers, Orléaus Mettez devant vos yeux les gou sres tuidans Qu'il vous faudra sousrir:
toy Orleans premiere N’oublie point le nom de ma dextre guerriert, Pour toy i’ay delaiße les ſoreſts & les bois, Pour toy i’ay endoße ſur l’eſpaulle vn harnois, Pour toy pris le couſleau & hante les ca nages, Pour toy i’ay endure vn mition de rages, Me monſtrât des vainqueurs la ſour & la cõpagne, Or ſur le ſein d’va pre, or dedans la campagne, Puis que par mon moyen tu fleuris maintenaut, Les borreurs de la moit ne me preſſent pas taus, Ie meurs, & toutesſois ie me plais à ma ſin, Puis donc que mon pays me donue le deſlin.	toi Orleans première N'oublie point le nom de ma dextre guerriert, Pour toi j'ai delaisse les sots et les bois, Pour toi j'ai endosse sur l'espaulle un harnais, Pour toi pris le couleau et hante les ca ages, Pour toi j'ai endure un mition de rages, Me montrât des vainqueurs la sour et la cõpagne, Or sur le sein va pré, or dedans la m, Puis que par m moyen tu fleuris an, Les borreurs de la moit ne me pressent pas taus, Ie meurs, et toutessois ie me plais ma , Puis donc que mon pays me donue le deslin.
Que mon Roy peint ſon cheſ d’vne iaune couronne Qu’it porte dãt ſa main le lõg ſceptre & qu’il ding Les loix à ſes ſubiets les populaces meurs.	Que mon Roi peint son chez d'une iaune couronne Qu'it porte dans sa main le lég sceptre et qu'il ding Les lois à ses sujets les populaces meurs.
Ie ne crains d’vn braſier les cuiſantes ardeurs, Ny nul autre tourment, nul’autres cruautez Nuls autres maux çà bas des humains inuentexz Pour bourreller nos corps, puis que chere patrie I’eſpandray ce iourd’huy en ta faueur ua vie.	Je ne crains d'un brasier les cuisantes ardeurs, Ni nul autre tourment, nulautres cruautés Nuls autres maux çà bas des humains inventexz Pour bourreller nos corps, puis que chère patrie J'épandrai ce iourd’hui en ta faveur vie.
Lucidan.	Lucidan.
Madame, c’eſt aſſez pour tous vos longs propos vous ne ſçauriez iouyr d’vn eternel repos, Puis que c’eſt ſait de vous, il faut qu’on s’achemine Rien ne ſert de fraper ainſi voſtre poitrine.	Madame, c'est assez pour tous vos longs propos vous ne sauriez jouir d'un éternel repos, Puis que c'est sait de vous, il faut qu'on s'achemine Rien ne sert de frapper ainsi votre poitrine.
La Pucelle.	La Pucelle.
Hà malbeur inhumain puis qu’il ne reſterien, Et qu’il faut aller voir le champ Plutoniens Puis que c’eſt ſait de moy, bà deſaſtres funeſtes, O Parque qui deſia t’aßis deſſus ma teſtel Adieu douce clar té qui dore tout le monde, Qui regiſi l’air, la terre & domine ſur l’onde.	Hà malheur inhumain puis qu'il ne resterien, Et qu'il faut aller voir le champ Plutoniens Puis que c'est sait de moi, bà désastres funestes, Ô Parque qui déjà t'assis dessus ma têtel Adieu douce clar té qui dore tout le monde, Qui régis l'air, la terre et domine sur l'onde.
Adieu mes bois touſus, mes aygentuz ruiſſeaux, Ma France, mon pays:	Adieu mes bois tousus, mes aigentuz ruisseaux, Ma France, mon pays:
vous villes, vous chaſteaux, Que i’ay garde du ſang de la main homicide Des Angloiſes ſureurs, de l’etrangere bride:	vous villes, vous châteaux, Que j'ai garde du sang de la main homicide Des Anglaises fureurs, de l'étrangère bride:
Et vous, adieu mes ſœurs dont la riche beauté, Et la grace, & l’honneur vollent de tout coſte.	Et vous, adieu mes sœurs dont la riche beauté, Et la grâce, et l'honneur vollent de tout côte.
Qu’il vous ſouuienne, helas, d’vne triſte pucelle.	Qu'il vous souvienne, hélas, d'une triste pucelle.
Ie ne ſouhaitte pas reſpirer immortelle Dans le marbre, ou l’yuoire, ou ſur long papier, Ie me contenteray ſi mon nom eſt entier,	Je ne souhaite pas respirer immortelle Dans le marbre, ou l'yvoire, ou sur long papier, Je me contenterai si mon nom est entier,
Lucidan.	Lucidan.
Allons, c’eſt trop tardé, que vous vaut-il de tordre Les mains de la facon puis qu’il u’y a point d'ordre De prolongo vos ans?	Allons, c'est trop tardé, que vous vaut-il de tordre Les mains de la façon puis qu'il u'y a point d'ordre De prolongo vos ans?
ie vous pry de penſer A la ſiu de vos iours, il ſe faut auancer.	On vous pri de penser A la siu de vos jours, il se faut avancer.
La Pucelle.	La Pucelle.
O Dieu vray Redempteur!	Ô Dieu vrai Rédempteur!
vray pere de clemencé Trois perſouues, trois noms, en vne meſme eſſencé, Darde-foudre, tonnant, conducieur des armees, De la terre, des cieux, & des eaux azurees, Tout-puiſſant, tout-voyant, alme, ſaint, pitoyable, Exance l’oraiſon de ceſte miſerable, Tu conſerues les uns dans les fourneaux ardans, Les autres tu regis parmy les flots grondans, Tu endors des Lyous la rage & la furie Pour ſauuer des bumalus & les biens & la vie.	vrai père de clémencé Trois persouves, trois noms, en une même essencé, Darde-foudre, tonnant, conducieur des armées, De la terre, des cieux, et des eaux azurées, Tout-puissant, tout-voyant, alâme, saint, pitoyable, Exance l'oraison de cette misérable, Tu conserves les uns dans les fourneaux ardans, Les autres tu régis parmi les flots grondant, Tu endors des Lyous la rage et la furie Pour sauver des bumalus et les biens et la vie.
