CLIMENE.	CLIMENE.
H iij	H Hijà
Il ne me reſte plus pour punir ſes forfaits Que dire quelques vœus que pour elle i’ay faits;	Il ne me reste plus pour punir ses forfaits Que dire quelques vœus que pour elle j'ai faits;
Ie veus, quoy qu’elle ſoit telle qu’elle eſt deſcrite, Qu'elle penſe eſtre belle, & auoir du merite, Plus qu’aucune du ſiecle, & qu’vn laſcif amour Sans trouuer vn amy la ronge nuit & iour, Qu'elle deſplaiſe à tous, & ſoit ſi miſerable, Que parmy tout le peuple elle ſerue de fable, Qu’vne mere inſtria eſafille aus bõnes mœurs Luy defende ſur tout de ſuiure ſes humeurs, Et ne la frequenter, qu’allant parmy la rue, Des gueus & des enfãs ell' ſoit touſiours courtté, Chacun la monſtre au doigt, & la voyãt pourrir Perſonnene s’eſſaye à la vouloir guarir;	Je veux, quoi qu'elle soit telle qu'elle est décrite, Qu'elle pense être belle, et avoir du mérite, Plus qu'aucune du siècle, et qu'un lascif amour Sans trouver un ami la ronge nuit et jour, Qu'elle déplaise à tous, et soit si misérable, Que parmi tout le peuple elle serve de fable, Qu'une mère instria esafille aux bonne mœurs Lui défende sur tout de suivre ses humeurs, Et ne la fréquenter, qu'allant parmi la rue, Des gueus et des enfa ell' soit tousiours courtté, Chacun la monstre au doigt, et la voyãt pourrir Personnene essaye la vouloir guarir;
Que couuerte de vers, de chancres, de verole, Il ne luy reſte rien d’humain que la parole, Qu’ayant veſcu cent ans dans vn ſi triſte ſort, Elle ſouhaitte en vain de rencontrer la mort, Que trois ſiecles apres maudiſſant la nature, Les morceaus de ſa chair tombent de pourriture, Et que ſa vilaine ame en s’eſchappãt dehors Abandonne aus corbeaus les reſtes de ſon corps:	Que couverte de vers, de chancres, de vérole, Il ne lui reste rien d'humain que la parole, Qu'ayant vécu cent ans dans un si triste sort, Elle souhaite en vain de rencontrer la mort, Que trois siècles après maudissant la nature, Les morceaus de sa chair tombent de pourriture, Et que sa vilaine âme en s'échappant dehors Abandonne aussi corbeaus les restes de son corps:
Qu'ayant erré mille ans à l’entour des voiries, Elle croiſſe à la fin le nombre des Furies:	Qu'ayant erré mille ans à l'entour des voiries, Elle croisse à la fin le nombre des Furies:
O Dieux ſi ma cholere a peu vous eſmouuoir, Faites luyreſſentir quel eſt voſtre pouuoir, Afin qu’à l’auenir perſonne n'entreprenne De me venir troubler dans l’amour de Climene.	Ô Dieux si ma cholère a pu vous émouvoir, Faites luyressentir quel est votre pouvoir, Afin qu'à l'avenir personne n'entreprenne De me venir troubler dans l'amour de Climène.
ABSENCE.	ABSENCE.
Epuis le triſte adieu que ie dis à Climene, DI’ay paßé tous mes iours auecques tant de peine.	Epuis le triste adieu que sans dis à Climène, DI'ai passé tous mes jours avec tant de peine.
Que ie ſuis eſtonné comment mon mauuais ſort M’a tant donné de mal ſans me donner lamort, Mes yeus abs ẽs des ſiẽs sõt touſiours en tenebres, Et ne rencontrent rien que des objets funebres, Rien ne me ſçauroit plaire, & par tout où ie ſuis Il me ſemble que tout accorde mes ennuis:	Que tu suis étonné comment mon mauvais sort M'a tant donné de mal sans me donner lamort, Mes yeus abs yens des siẽs sont toujours en ténèbres, Et ne rencontrent rien que des objets funèbres, Rien ne me saurait plaire, et par tout où on suis Il me semble que tout accorde mes ennuis:
Amour pourquoy faut il que n’ayãt rien d’aimaIe ſois forcé d'aimer pour eſtre miſerable?	Amour pourquoi faut -il que n'ayant rien d'aimaIe sois forcé d'aimer pour être misérable?
[ble, Que ne me chaſſe-tu plutoſt dans vn cercueil Que de me deſrober l’eſclat de ce bel œil?	[ble, Que ne me chasse-tu plutôt dans un cercueil Que de me dérober l'éclat de ce bel œil?
Mais ſi mon deſplaiſir vient de ta ialouſie,	Mais si mon déplaisir vient de ta jalousie,
Amour ie te ſuppli' guaris ta fantaiſie, Si pour te conſeruer ce vain nom de vainqueur, Climene t’a ſeruy pour captiuer mon cœur, Si ſon œil t’a monſtré le chemin de mon ame Pour y faire gliſſer vne amoureuſe flame, Pourquoy me punis-tu cõme autheur de ton mal?	Amour Seigneur te suppli' guaris ta fantaisie, Si pour te conserver ce vain nom de vainqueur, Climène t'a servi pour captiver mon cœur, Si son œil t'a montré le chemin de mon âme Pour y faire glisser une amoureuse flamme, Pourquoi me punis-tu comme autheur de ton mal?
Toy meſme en me bleſſant tu m’as fait ton riual, Retire ce venin qui court de veine en veine, Abandonne mon cœur, ie quitteray Climene, Mais d’eſtre auecques toy & laiſſer ſes appas, Plain d’amour n’aymer point, Amour ie ne puis Ie ſçay quetu diras que c’eſt choſeimpoßiblel pas, Que pour ne l’aimer point ie deuienne inſenſible, Que ie ſuis le ſujet qui te la fait aymer, Qu’elle a choiſi mon cœur afin de t’enflammer, Que ta flame mouroit par la mort de la mienne, Et qu’il faut malgré toy que mõ feu s’entretiẽne, Si i’ay causé les maus que ſes charmes t’ont fait, Pourquoy dedãs mõ cœur gardes-tu sõ portrait?	Toi même en me blessant tu m'as fait ton rival, Retire ce venin qui court de veine en veine, Abandonne mon cœur, ie itterai Climène, Mais d'être avec toi et laisser ses appas, Plain d'amour n'aimer point, Amour tu ne puis Je sais quetu diras que c'est choseimpossiblel pas, Que pour ne l'aimer point été devienne insensible, Que ie suis le sujet qui te la fait aimer, Qu'elle a choisi mon cœur afin de t'enflammer, Que ta flame mourait par la mort de la mienne, Et qu'il faut malgré toi que mon feu s'entre, Si j'a causé les maus que ses charmes ont fait, Pourquoy dedãs m cœur gardes, s portrait?
Et ſi tu l’aimes tant quelle eſtrange Nature De déchirer le lieu où tu fis ſa figure?	Et si tu l'aimes tant quelle étrange Nature De déchirer le lieu où tu fis sa figure?
Mais que dis-ie aueugle, à quoy ces vains propos Qui ne me peuuent pas remettre en mon repos?	Mais que dis-je aveugle, à quoi ces vains propos Qui ne me peuvent pas remettre en mon repos?
Amour ne m'entẽdpas, ſans doubte il ſe promene	Amour ne m'entend, sans doute il se promène
Et ſe rit de mon mal auecques ma Climene, Iamais mon cœur & luyne la peuuent quitter, Et prennent leur plaiſir à me perſecuter, Pource qu’ils voyent bten qu’eſtãt vn peu cruelle Elle eſt aiſe de voir que i’endure pour elle.	Et se rit de mon mal après ma Climène, Jamais mon cœur et luyne la peuvent quitter, Et prennent leur plaisir à me persécuter, Pource qu'ils voient bten qu'étant un peu cruelle Elle est aise de voir que j'endure pour elle.
Modere ta rigueur, ie ne puis plus ſouffrir, Reuiens chere Climene, ou ie m'en vay mourir, Que ton heureus retour m’apporte l’eſperance De tirer quelque bien d’vne ſi longue abſence, Helas ſi tu ſçauois quel eſtrange tourment Ta beauté fait ſentir à ton fidelle Amant, Tu reuiendrois bien toſt pour finir mon ſupplice, Et pour estre à mes vœus d’oreſnauant propice, Car ton eſloignement m’apporte vn tel malheur Que tout ce que ie vois ſemble ayder ma douleur, Si ie ſuis dans les bois la pitoyable hiſtoire De l’amant de Venus reuient en ma memoire, Si l’eſmail d’vn iardin ſe preſente à mon œ’il, Außi toſt i’y verrayou la fleur du Soleil, Ou l’amoureus Narciſſe, ou bien des hiacinthes Qui sõt autãt d’objets pour eſmouuoir mes plainSi i’entre dans vn pré il me ſemble de voir [tes, La fille de Ceres que Pluton veut auoir, Fuyant deçà delà, & en fin hors d’haleine,	Modère ta rigueur, on ne puis plus souffrir, Reviens chère Climène, ou ainsi m'en vais mourir, Que ton heureus retour m'apporte l'espérance De tirer quelque bien d'une si longue absence, Hélas si tu savais quel étrange tourment Ta beauté fait sentir à ton fidèle Amant, Tu reuiendrois bien tôt pour finir mon supplice, Et pour être à mes vœus d'oresnauant propice, Car ton éloignement m'apporte un tel eur Que tout ce que ie vois semble aider ma douleur, Si ie suis dansles bois a pitoyable histoire De amant de Venus reuient en ma mémoire, Si esmail iardin se presente mon il, Aussi tôt y verrayou la fleur du Nir, Où les Narcisse, ou bien des la Pi sõtautãt objets pour esmouuoir mes plainSi entre dans h il me semble de voir [tes, La fille de Ceres que Pluton ' a, Mant de delà, et en fin hors haleine,
Tombe ſous le pouuoir de ce Dieu qui l’emmeine, Si ie ſuis dans Paris, ces riches baſtimens Ne me peuuent donner de diuertiſſemens, Et toutes ces beautez dõt ſon fleuue ſe pareſ rare Qui iuſqu’aus moindres traits n’õt riẽ qui ne ſoit Me rendant ſatisfait, & non pas Amoureus, Ne changẽt point pourtãt mon eſtat malheureus, L’vne peut bien auoir vn air dedans la face Qui la fera loüer pour auoir bonne grace, Et ie puis rencontrer en quelque autre vn bel œil, Que l’on peut ſans flatter appeller vn ſoleil, Le teint d’vn beau viſage, oubiẽ l’or d’vne treſſe, Pourront ſeparément eſtre en diuers objets, Et plaire à mes eſprits ſans les rendre ſujets:	Tombe sous le pouvoir de ce Dieu qui l'emmeine, Si tu suis dans Paris, ces riches bâtiments Ne me peuvent donner de divertissements, Et toutes ces beautés dont son fleuve se parure Qui jusqu'aus moindres traits n'õt riends qui ne soit Me rendant satisfait, et non pas Amoureus, Ne chang point pourtant mon état malheureus, L'une peut bien avoir un air dedans la face Qui la fera louer pour avoir bonne grâce, Et ie nos rencontrer en quelque autre un bel s, Que l'on peut sans flatter appeler votre soleil, Le un se vi, oubiẽ or n tresse, Pourront d' être en diuers objet, Et plaire mes esprits sans les rendre ou:
Mais de tant de beautez que ie voy ſur la Seine, Ie trouue bien en fin qu’aucune n’eſt Climene, Climene vien bien toſt dißiper mes malheurs, Que tes yeꝰ mes ſoleils viennẽt ſeicher mespleurs.	Mais de tant de beautés que ici voy sur la Seine, Je trouve bien en fin qu'aucune n'est Climène, Climène viens bien tôt dissiper mes malheurs, Que tes yeꝰ mes soleils viennent secricher mespleurs.
Mais cependant qu’icy ie t’appelle à mon ayde Peut eſtre que ton mal cerche vn meſme remede, Tu pleure noſtre abſence, & poßible ta vois Souſpire noſtre Amour dedans l’eſcart d’vn bois, Dans vn bois, mais Daphné pour eſchaper la force	Mais cependant qu'ici ici t'appelle à mon aide Peut être que ton mal cherche un même remède, Tu pleure notre absence, et passible ta vois Souspire notre Amour dedans l'écart d'un bois, Dans un bois, mais Daphné pour échapper la force
Du Dieu qui la ſuittoit s’y vid couurir d’eſcorce, Helas!	Du Dieu qui la suittait s'y vit couvrir d'écorce, Hélas!
s’il t’auenoit vn accident pareil, Au moins ie te ſuppli' cache toy du Soleil, Et ſi ſes chauds regards te donnent ſur la face, Prens garde que de toy la fable ne ſe face:	s'il t'avenait un accident pareil, Au moins tu te suppli' cache toi du Soleil, Et si ses chauds regards te donnent sur la face, Prends garde que de toi la fable ne se face:
Quand Caliſte iadis ne pût pas euiter Les amoureus baiſers du laſcif Iuppiter, Elle eſtoit dans les bois, mon Dieu ie te coniure Empeſche d’arriuer vne telle aduenture, Que quelque Iuppiter ne te ſeduiſe pas, Et qu’vn autre que moy ne gouſte tes appas, I’en aurois tel deſpit, ſi tu m’eſtois rauie, [vie, Qu'vn Dieu quoy qu’immortel y laiſſeroit la Vien pluſtoſt appaiſer mes cuiſantes douleurs, Abandonne ces bois le ſejour des voleurs, [trage, Qui pourroient ſans reſpect te faire quelque ouEt de ſales baiſers diffamer ton viſage:	Quand Caliste jadis ne pût pas éviter Les amoureus baisers du lascif Jupiter, Elle était dans les bois, mon Dieu Je te conjure Empêche d'arriver ait telle aventure, Que quelque Jupiter ne te séduise pas, Et qu'un autre que moi ne goûte tes appas, J'en aurais tel dépit, si tu m'étais ravie, [vie, Qu'un Dieu quoi qu’immortel y laisserait la Viens plutôt apaiser mes cuisantes douleurs, Abandonne ces bois le séjour des voleurs, [trage, Qui pourraient sans respect te faire quelque ouEt de sûres baisers diffame ton visage:
Traiſtres n’offenceZ pas cette rare beauté, Vous ſerieZ criminels de leze Maieſté, Climene eſt vne Reine, & ſon puiſſant empire S’eſtẽd ſur chaque cœur qui pourl’amour ſoupire;	Traîtres n'offensez pas cette rare beauté, Vous seriez criminels de lèse Majesté, Climène est une Reine, et son puissant empire S'étend sur chaque cœur qui pourl'amour soupire;
Ne ſçaueZ vous pas bien le piteus accident, Que le pauure a cteon vn peu trop imprudent Souffrit pour auoir veu de prés vne Deeſſe?	Ne savez -vous pas bien le piteus accident, Que le pauvre à cteon un peu trop imprudent Souffrit pour avoir vu de près Se?
Sõ exemple vous ſerue, & fuyez ma maiſtreſſe, Car ſa diuinité n’a pas moins de pouuoir, Iuoir, Mais pour mer'aſſeurer mon cœur vien moy reAutrement mon amour ne ſe fera que plaindre, Et craindra touſiours tout pour ne ſçauoir que craindre.	Somme exemple vous serve, et fuyez ma maîtresse, Car sa divinité n'a pas moins de pouvoir, Juoir, Mais pour m'assurer mon cœur viens moi reAutrement mon amour ne se fera que plaindre, Et craindra toujours tout pour ne savoir que craindre.
IOVISSANCE.	IOVISSANCE.
E ſçay bien que depuis que l’homme a veu le Y iour, Et depuis que l’onſçait, ce que c'eſt que l’amour, On n’a point veu d’amant dontl’ame plus cõtente Se plaigniſt moins que moy de ſa fidelle amante, Vne ieune beauté que i’ayme mieus que moy, Subjet à mes deſirs me tient deſſous ſa loy, Ie ne veux point icy d’vne ſotte louange, Iurer que ſa beauté paſſe celle d’vn Ange, [tels Qu'elle eſt reine des cœurs, & qu’entre les morIl la faut adorer, luy dreſſer des autels, Ces vains titres d’honneur cõmuns au populaire Sortant de leur ſaiſon commencent à deſplaire,	 sçay bien que depuis que l'homme a vu le Y jour, Et depuis que l'onsçait, ce que c'est que l'amour, On n'a point vu d'amant dontl'âme plus consente Se plaignît moins que moi de sa fidèle amante, Une jeune beauté que j'aime mieus que moi, Subjet à mes désirs me tient dessous sa loi, Je ne veux point ici d'une sotte louange, Jurer que sa beauté passe celle d'un Ange, [tels Qu'elle est reine des cœurs, et entre les morIl la faut adorer, lui dresser des autels, Ces vains titres honneur cõmuns au populaire Sortant de leur saison commencent déplaire,
Ie diray ſeulement ſans offencer les Dieus, Que i’en ſuis ſatisfait, qu’elle plaiſt à mes yeus, Et qu’en me cheriſſant d’vn’ amour mutuelle.	Je dirai seulement sans offenser les Dieus, Que j'en suis satisfait, qu'elle plaît à mes yeus, Et qu'en me chérissant d'un amour mutuelle.
Comme elle vit pour moy ie ne vis que pour elle, Nous partageons tous deus & les maus & les Elle ſent mes ennuis & ie ſouffre les ſiens, ſbiẽs, Et nous rendant ainſi toute choſecommune, Nous ne voulons courir qu’vne meſme fortune, Ainſi nos volontez iointes par ces accords Nos deus corps n’ont qu’vn cœur & noſtre cœur qu’vn corps, Elle peut tout ſur moy, elle eſt en ma puiſſance, Ie prens tous mes plaiſirs ſans autre reſiſtance Que celle dont par fois elle ſe veut ſeruir, De peur que non deſir ſe laiſſant aſſouuir, Ne demeure ſans force & par trop ne ſommeille;	Comme elle vit pour moi croire ne vis que pour elle, Nous partageons tous dus et les maus et les Elle sent mes ennuis et autre souffre les siens, sbiẽs, Et nous rendant ainsi toute chosecommune, Nous ne voulons courir qu'une même fortune, Ainsi nos volontés jointes par ces accords Nos de corps n'ont qu'un cœur et notre cœur qu'un corps, Elle peut tout sur moi, elle est en ma puissance, Je prends tous mes plaisirs sans autre résistance Que celle dont par fois elle se veut servir, De peur que non désir se laissant assouvirons, Ne demeure sans force et par trop ne sommeille;
Mais quelquefois außi ie luy rends la pareille, Quand pour guarir ſon mal implorãt mõ ſecours Ie feins de reietter ſes languiſſans diſcours, Et me monſtrãt de glace alors qu'elle me touche, Ie ſemble deſdaigner les baiſers de ſa bouche, Iuſques là que par fois en voyant ma froideur Le ſoupçon refroidit ſon amoureuſe ardleur, Doutant ſi mon refus eſt verité ou feinte,	Mais quelquefois aussi quelquefois au rends la pareille, Quand pour garir son mal implorable mon secours Je feins de rejetter ses languissants discours, Et me montrant de glace alors qu'elle me touche, Je semble dédaigner les baisers de sa bouche, Jusques là que par fois en voyant ma froideur Le soupçon refroidit son amoureuse ardleur, Doutant si mon refus est vérité ou feinte,
En fin pour la tirer d’vne telle contrainte, Ie change de viſage, & permets à mes ſens, De gouſter à ſouhait ſes appas rauiſſans, Et mourant ſur ſon ſein, nos paßions muettes Se laiſſent emporter aux faueurs plus ſecrettes:	En fin pour la tirer d'une telle contrainte, Je change de visage, et permets à mes sens, De goûter à souhait ses appas ravissants, Et mourant sur son sein, nos passions muettes Se laissent emporter aux faveurs plus secrètes:
Sçais tu pas bien Amour quel fut ce dous plaiſir Que n'agueres tu fis gouſter à mon deſir, [me Quand ma maiſtreſſe & moy eſclairez deta flaNous euſmes le moyen de rafraiſchir noſtre ame, Que quoy que le Soleil euſt demy fait ſon tour, Ou ie quittay Climene, à peine estoit il iour.	Sais tu pas bien Amour quel fut ce dous plaisir Que n'aguères tu fis goûter à mon désir, [me Quand ma maîtresse et moi éclairez déta flaNous eûmes le moyen de rafraîchir notre âme, Que quoi que le Soleil eût demi fait son tour, Ouvi quittay Climène, à peine était il jour.
Amour vis-tu iamais autre couple d’amans, Receuoir en vn iour tant de contentemens.	Amour vis-tu jamais autre couple d'amants, Récevoir en un jour tant de contentements.
Climene entre mes bras ſe paſmoit de la ſorte, Qu’on euſt dit à ſes yeus qu’elle eſtoit demi-morte Et mes ſens tous rauis en ſouffrant ſans ſouffrir Ie me ſentis mourir mille fois ſans mourir.	Climène entre mes bras se pâmait de la sorte, Qu'on eût dit à ses yeus qu'elle était demi-morte Et mes sens tous ravis en souffrant sans souffrir Je me sentis mourir mille fois sans mourir.
SOLITVDE OVR	SOLITUDE OUR
Vis que mõ deſeſpoir pour contẽter tes yeus I Me fait viure auiourd’huydãs ces funeſtes Où ſans ceſſe ie pleure, lieus Eſcoute ingrate Aminte en quel lieu ta beauté A choiſi ma demeure, Et mes maus te diront quelle eſt ta cruauté.	Vis que mon désespoir pour conter tes yeus I Me fait vivre aujourd'huidans ces funestes Où sans cesseaux pleure, lieus Écoute ingrate Aminte en quel lieu ta beauté A choisi ma demeure, Et mes maîte te diront quelle est ta cruauté.
2 Ie ſuis en des deſerts, remplis de tant d’effroy, Que le ſoleil iamais n’y vid autre que moy, Où la terre inutile, Trempée ſeulement des pleurs que ie reſpens, Eſt du tout infertile, Et ne peut engendrer que d’horribles ſerpens.	2 Ie -Je en des pleurs, remplis de tant d'effroi, Que le soleil jamais n'y vit autre que moi, Où la terre inutile, Trempée seulement des pleurs que notre respens, Est du tout infertile, Et ne peut engendrer que d'horribles serpens.
Quelque ſeiche racine au deſſus d’vn Rocher, Si la faim en ſa rage Ne me fait par hazard rencontrer ſus mes pas, Vne beſte ſaumge, Qui me laiſſe vn morceau de ſon ſanglant repas.	Quelque seiche racine au dessus d'Hô Rocher, Si la faim en sa rage Ne me fait par hasard rencontrer sus mes pas, Une bête sauge, Qui me laisse un morceau de son sanglant repas.
Ma face toute en ſang & mõ ame en frayeur, Ie ne regarde rien qui ne me face horreur, A tous coups il me ſemble, Qeioutet que ventenus ine doit fatre perir, Ie ſouſpire, ie tremble, Et la peur de la mort me fait touſiours mourir.	Ma face toute en sang et mon âme en frayeur, Je ne regarde rien qui ne me face horreur, À tous coups il me semble, Qjoutet que ventenus iné doit fattre périr, Je soupire, ie tremble, Et la peur de la mort me fait toujours mourir.
I'erre ſeul vagabond, & par tout où ie ſuis, Mon traiſtre ſouuenir fait venir les ennuis D'ou procede ma peine, Et ne puis tant ſoit peu diuertir ma douleur, Car où le ſort me meine, Toutes ſortes d’objets me font voir mon malheur.	J'erre seul vagabond, et par tout où je suis, Mon traître souvenir fait venir les ennuis D'ou procède ma peine, Et ne puis tant soit peu divertir ma douleur, Car où le sort me mène, Toutes sortes d'objets me font voir mon malheur.
Ie treuue où fut iadis la place d’vn mareſt Quelques arbres reſteZ d’vne vieille foreſt, Que l’aage ou bien la foudre, Ont fait tomber à bas tellement deſſecheZ, Qu’on les reduit en poudre, Et ſe perdenten l’air ſi toſt-qu’ils ſont touchez	Je trouve où fut jadis la place d'un marest Quelques arbres restes d'une vieille forêt, Que l'âge ou bien la foudre, Ont fait tomber à bas tellement dessecheZ, Qu'on les réduit en poudre, Et se perdenten l'air si tôt-qu'ils sont touchez
Ie paſſe de ce lieu dans vn vallon ſi noir, Que la clarté iamais n’eſſaya de le voir, Ie retourne en arriere, Mais perdu tout à coup dans ce chemin profond, Et cerchant la lumiere, Par des tours eſgarés ie deſcens vers le fond.	Je passe de ce lieu dans un vallon si noir, Que la clarté jamais n'essaya de le voir, Je retourne en arrière, Mais perdu tout à coup dans ce chemin profond, Et cerchant la lumière, Par des tours esgarés su descens vers le fond.
Ainſi que ie trauerſe & paſſe plus auant, Mille triſtes oyſeaus me viennent au deuant Du milieu des tenebres, Qui me battant de l'aiſle en repouſſant mes pas Ont des cris ſi funebres, Que la peur qu’ils me font eſt pis que le treſpas.	Ainsi que je traverse et passe plus avant, Mille tristes oiseaus me viennent au devant Du milieu des ténèbres, Qui me battant de l'elle en repoussant mes pas Ont des cris si funèbres, Que la peur qu'ils me font est pis que le trépas.
Cerchant à me ſauuer, ie rencontre vn eſtang Ptein ue fonffre uamne ce ſtammes et de ſang, Ou des vois pitoyables Sortant confuſement de ces abiſmes creus, Reſiouyſſent les Diables En ce manoir choiſi pour les plus malheureus.	Cerchant à me sauver, Seigneur rencontre un étang Ptein ue fonffre uamne ce stammes et de sang, Ou des vois pitoyables Sortant confusément de ces abîmes crus, Resiouyssent les Diables En ce manoir choisi pour les plus malheureus.
La plainte languiſſante, & le gemiſſement, Que leur fait eſlancer vn horrible tourment, Qui les gehenne & martvre, Me fait croire qu’icy les ennemis de Dieu nt Pafiyient enipire, Et que tous les Demons habitent ence lieu.	La plainte languissante, et le gémissement, Que leur fait élancer un horrible tourment, Qui les géhenne et martvre, Me fait croire qu'ici les ennemis de Dieu n Pafiyient enipire, Et que tous les Demons habitent ence lieu.
Mon eſprit effrayé ſe perd en cet eſmoy, Tous mes ſens eſtonnez ſe retirent de moy, Et d’vne main tremblante, Taſchant a m'eſloigner de ce damné ſejour Par vne eſtroite ſente, Grauiſſant contre-mont ie retrouue le iour.	Mon esprit effrayé se perd en cet émoi, Tous mes sens étonnés se retirent de moi, Et d'une main tremblante, Tâchant à m'éloigner de ce damné séjour Par une étroite sente, Gravissant contre-mont quelque retrouve le jour.
12.	12.
D'entre deus grands Rochers ie ſors eſpouuanté En des deſerts plꝰ vieus que ceus que i’ay quitté, Et d’autant plus ſauuages Que le iour penettrant vnpeu trop foiblement, Au trauers des nuages, Ie ne puis diſcerner ny voir chaque element.	D'entre dus grands Rochers jours sors épouvanté En des déserts je vieus que ceus que j'ai quitté, Et d'autant plus sauvages Que le jour pénétrant vnpeu trop faiblement, Au travers des nuages, Je ne puis discerner toujours voir chaque élément.
Que ſi pour repoſer i’entre dans quelque creus, Tout à l’entour de moy les hurlemens affreus De monſtres effroyables M'empeſchent de gemir, & ie n’oſe pleurer Vn mal ſi deplorable, De peur que mes ſouſpirs me facent deuorer.	Que si pour reposer j'entre dans quelque crus, Tout à l'entour de moi les hurlements affreus De monstres effroyables M'empêchent de gémir, et avoir n'ose pleurer Un mal si déplorable, De peur que mes soupirs me facent dévorer.
Voyla, cruelle Aminte, où ton deſdain m’a mis, Où ie ſouffre innocent ſous des cieus ennemis Ton iniuſtecholere, Ejporumt tnalgré toy que mon malheureus ſort Fleſchy par ma miſere Vienard bien toſt finir mes douleurs par lamort.	Voilà, cruelle Aminte, où ton dédain m'a mis, Où apprendre souffre innocent sous des cieus ennemis Ton injustecholère, Éjorumt talgré toi que mon malheureus sort Flèchi par ma misère Vienard bien tôt finir mes douleurs par lamort.
RNEE.	RNE.
Ebout Climene, en fin la nuit, NEt ſa couleur noire s’efface, Le fils du Soleil qui la ſuit L’eſcarte & ſe met en ſa place:	Ébout Climène, en fin la nuit, NEt sa couleur noire s'efface, Le fils du Soleil qui la suit L'écarte et se met en sa place:
Endimion tout en amour Maudit vn ſi faſcheus retour, Et Diane à cette venuë Bleſmiſt de ſe voir en danger D'eſtre ſurpriſe toute nuë Entre les bras de ſon berger.	Endimion tout en amour Maudit un si fâcheus retour, Et Diane à cette venue Blesmît de se voir en danger D'être surprise toute nue Entre les bras de son berger.
Regarde vn peu vers l’Occident Où fuit cette obſcurité ſombre,	Regarde un peu vers l'Occident Où fuit cette obscurité sombre,
La Lune par cet accident Perd ſes rayons, & nous ſon ombre:	La Lune par cet accident Perd ses rayons, et nous son ombre:
Elle void preſque en vn inſtant, Que ſes eſtoilles la quittant L’vne apres l’autre ont pris la fuite, Et que ſe cachant à nos yeus, Pour ne plus paroiſtre à ſa ſuitte S’eſuanouiſſent dans les Cieus.	Elle voi presque en un instant, Que ses étoilles la quittant L'une après l'autre ont pris la fuite, Et que se cachant à nos yeus, Pour ne plus paraître à sa suitte S'évanouissent dans les Cieus.
Ie ne ſçay quel ſecret pouuoir Par vne douce violence Peut forcer tous à s’eſmouuoir, Pour faire mourir le ſilence, Le coq chante, & à cette vois Les loups s’en retournent aus bois Eſpouuantez de la lumiere, Vn confus murmure qui bruit Les chaſſant dedans leur taſniere, Trouble le calme de la nuit.	Je ne sais quel secret pouvoir Par une douce violence Peut forcer tous à s'émouvoir, Pour faire mourir le silence, Le coq chante, et à cette vois Les loups s'en retournent aus bois Espouvantez de la lumière, Un confus murmure qui bruit Les chassant dedans leur tasniere, Trouble le calme de la nuit.
Les mortels tantoſt aueugleZ Commencent à ſe recognoiſtre, Et ſont encor vn peu troublez, Le monde nous ſemble renaiſtre, Tout ſe fait reuoir, & noſtre œil Diſcerne la fleur du Soleil,	Les mortels tantôt aveugleés Commencent à se reconnaître, Et sont encor un peu troublés, Le monde nous semble renaître, Se Tout fait revoir, et notre œil Discerne la fleur du Soleil,
De la Tulipe & de la Roſe, Ce peu qui paroiſt de lueur Commence à monſtrer chaque choſe En ſa naturelle couleur.	De la Tulipe et de la Rose, Ce peu qui paraît de lueur Commence à montrer chaque chose En sa naturelle couleur.
Le ſommeil ſuit l’obſcurité, L'aube du iour eſt toute claire, L’homme comme reſſuſcité Reprend ſon labeur ordinaire;	Le sommeil suit l'obscurité, L'aube du jour est toute claire, L'homme comme ressuscité Reprend son labeur ordinaire;
Le laboureur de l’eſguillon Conduit ſes bœufs dans le ſeillon Tout courbé deſſus la charuë;	Le laboureur de l'éguillon Conduit ses bœufs dans le seillon Tout courbé dessus la charue;
Le bruit importun des propos De ceus qui paſſent en la ruë, Interrompt deſia le repos.	Le bruit importun des propos De ceus qui passent en la rue, Interrompt déjà le repos.
Dans le plus loing de l’Orient On voit l’Aurore matinale, Qui d’vn viſage ſouriant Cerche par tout où eſt Cephale, Mais le ſommeil ſon enneniy Le retient encore endormy, Pour deſplaire à cette Deeſſe, Qui de l’eau de ſes triſtes pleurs Mouillant ſon œil plein de triſteſſe, La fait diſtiller ſur les fleurs.	Dans le plus loin de l'Orient On voit l'Aurore matinale, Qui d'un visage souriant Cerche par tout où est Céphale, Mais le sommeil son ennéni Le retient encore endormi, Pour déplaire à cette Déesse, Qui de l'eau de ses tristes pleurs Mouillant son œil plein de tristesse, La fait distiller sur les fleurs.
I ii	I Ji
Climene as tu point apperceu Que cette Deeſſe amoureuſe, En cerchant ſon Cephale, a veu Ton œil qui la rend enuieuſe, Ialouſe de tant de beauté, Elle regarde de coſté Ton teint vermeil qui la ſurmonte, Et qui la contraint de cercher Toute triſte, & rouge de honte, Vn lieu qui la puiſſe cacher.	Climène as -tu point aperçu Que cette Deesse amoureuse, En cerchant son Céphale, a vu Ton œil qui la rend envie, Jalouse de tant de beauté, Elle regarde de côté Ton teint vermeil qui la surmonte, Et qui la contraint de cercher Toute triste, et rouge de honte, Un lieu qui la puisse cacher.
Mais ſon pere à qui ſon ennuy Fait voir le tourment qui la touche, Se haſte pluſtoſt auiourd’huy, Et plus matin laiſſe ſa couche:	Mais son père à qui son ennui Fait voir le tourment qui la touche, Se hâte plutôt aujourd'hui, Et plus matin laisse sa couche:
