A PARIS, FRANÇOIS POMERAY.	À PARIS, FRANÇOIS POMERAY.
Et tu veux Palemon, qu'elle ait du ſentiment.	Et tu veux Palemon, qu'elle ait du sentiment.
TALEMON.	TALEMON.
Pren courage Alexis, ta victoire eſt certaine, Pers le ſoin de la chaſſe, & n’ẽſois point en peine.	Pren courage Alexis, ta victoire est certaine, Pers le soin de la chasse, et n'ẽsois point en peine.
ALEXIS.	ALEXIS.
.	.
Croy moy, le coup eſt grana, mais te Ctiſn'eſt pas mort	Crois -moi, le coup est grana, mais te Ctisn'est pas mort
PALEMON.	PALÉMON.
Qu'il échappe, ou qu’il meure, il n’importe pas fort.	Qu'il échappe, ou qu'il meure, il n'importe pas fort.
ALEXIS.	ALEXIS.
To qi té dont paslaioy.	To qi té dont paslai.
PALEMON.	PALÉMON.
C’eſt vne loy ſeconde, Dont la Nymphe ſubtile abuſe tout le monde.	C'est assez loi seconde, Dont la Nymphe subtile abuse tout le monde.
Elle a pour Alexis, vne plus douce loy:	Elle a pour Alexis, une plus douce loi:
Et ne voudroit jamais expoſer comme toy Ce qu'elle ade plus cher aux coups de la Portune.	Et ne voudrait jamais exposer comme toi Ce qu'elle ade plus cher aux coups de la Portune.
A1ODleIJ.	A1ODleIJ.
I'en auois crett Melite, & c’eſt la voix commune.	J'en avais cet Mélite, et c'est la voix commune.
PALEMON.	PALÉMON.
Melite n’en ſçait rien.	Mélite n'en sait rien.
ADEXTJ.	ADEXTJ.
Rends moy donc eſclaircy, Et ne prolonge point m'apeine, & mon ſoucy.	Rends moi donc éclairci, Et ne prolonge point m'apeine, et mon souci.
PALEMON.	PALÉMON.
Heureux!	Heureux!
a qui le ſort a donné la ceinturel C’eſt la loy d’Amaranthe.	À qui le sort a donné la ceinturel C'est la loi d'Amaranthe.
ALEXIS.	ALEXIS.
ô faſcheuſe auenture!	ô fâcheuse aventure!
PALEMON.	PALÉMON.
nenceſtemne Mmemt, quele vou eſcome.	nencestemne Mammemt, quele vou escome.
ALEXIS.	ALEXIS.
Au beſoin, I'alemon, tu m'as abandonne.	Au besoin, J'allémon, tu m'as abandonne.
PALEMON.	PALÉMON.
Quoy?	Quoi?
ton bon heur t'offenſe?	ton bon heur t'offense?
ALEXIS.	ALEXIS.
uimecruelle?	Umecruelle?
Ie ne pouuois apprendre vne pire nouuelle.	Je ne pouvais apprendre une pire nouvelle.
TALEMON.	TALEMON.
As tu perdu le ſens?	As tu perdu le sens?
ALEXIS.	ALEXIS.
Pour vn peu de ſommeil.	Pour un peu de sommeil.
Ie t’auois tant prié d’attendre mon reſueil.	Je t'avais tant prié d'attendre mon réveil.
Dhamdoumnnunen puus poumempriſe.	Dhamdoumnunen puus poumemprise.
PALEMON.	PALÉMON.
Ont a pris la ceinture?	Ont a pris la ceinture?
ALEXIS, A ta garde commiſe.	ALEXIS, A ta garde commise.
paDuepuupmeuncaupjas le jour.	paDuepuupmeuncaupjas le jour.
PALEMON.	PALÉMON.
Quelque Nymphe, Alexis, t’à fait ce mauuais Tour.	Quelque Nymphe, Alexis, t'à fait ce mauvais Tour.
Car vn ſeul des Bergers n’euſt osé l’entreprendre.	Car un seul des Bergers n'eût osé l'entreprendre.
Et lors' qu’en ma preſence, on leur a fait entendre A quel ſort Amaranthe expoſoit ſes amans, Qui d’vne peine ingrate en vain ſe conſommans, Diſputent ſans raiſon contre leur deſtinee;	Et lors qu'en ma présence, on leur a fait entendre À quel sort Amaranthe exposait ses amants, Qui d'une peine ingrate en vain se consommants, Disputent sans raison contre leur destinée;
De tous eſgalement j'ay veu l’ame eſtonnee.	De tous également j'ai vu l'âme étonnée.
On ne ſçauroit fruſtrer ta valeur, ny tes ſoins.	On ne saurait frustrer ta valeur, ni tes soins.
Amaranthe, Alexis, vaudra mille teſmoins,	Amaranthe, Alexis, vaudra mille témoins,
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
ORONTE.	ORONTE.
e T Riſtes auant-coureurs de mes peines futures, TImages de mon crime, effroyables augures, Qui me ſuiuez par tout ou ie tourne mes pas, Pour m'annoncer des maux pires que le tres pasRemords, craintes, ſoucis, & douleurs eternelles, Qui n’abandonneZ point les ames criminelles;	 JE Rîtes avant-coureurs de mes peines futures, TImages de mon crime, effroyables augures, Qui me suivez par tout où ie ne mes pas, Pour m'annoncer des maux pires que le très pasRemords, craintes, soucis, et douleurs éternelles, Qui n'abandonnés point les âmes criminelles;
Fureurs dont ie reſſens la terreur, & les coups, Deſtournez vous de moy, ie ne voy rien que vous.	Fureurs dont grande ressens la terreur, et les coups, Détournez -vous de moi, toujours ne vois rien que vous.
Noirs hoſtes de l’Enfer, Demons inexorables, Quoy?	Noirs hôtes de l'Enfer, Demons inexorables, Quoi?
ſortez vous en foule apres les miſerables?	sortez -vous en foule après les misérables?
»O que la conſcience eſt vn peſant fardeau!	»O que la conscience est un pesant fardeau!
L’Amour m'a faiterrer, & j'auois ſon bandeau.	L'Amour m'a faiterrer, et j'avais son bandeau.
O végeace a l’abord douce, & pleine de charmes, ,Mais qui cõtre toy-meme en fin tournes tes armes,	Ô végeace à l'abord douce, et pleine de charmes, MAis qui connaître toi-même en fin tournes tes armes,
Et fais voir à celuy qui s'eſt le mieux vengé, Qu'il eſt le plus coulpable, & le plus affligé.	Et fais voir à celui qui s'est le mieux vengé, Qu'il est le plus coulpable, et le plus affligé.
I'ay ſuiuy tes deſirs d’vne ardeur indiſcrette.	J'ai suivi tes désirs d'une ardeur indiscrète.
I'en recognois la faute, apres que ie l’ay faitte.	J'en reconnais la faute, après que personne l'ai faitte.
I'ay vengé madouleur, & mon aſtre fatal A fait que le remede eſt pire que le mal.	J'ai vengé madouleur, et mon astre fatal A fait que le remède est pire que le mal.
Ie ſens qu'a tous obiets ma couleur deuient bleſme.	Je sens qu'a toujours objets ma couleur devient blême.
Mon ombre m'eſpouuante, & i'ay peur de moymeſme.	Mon ombre m'épouvante, et j'ai peur de moymesme.
Ie porte dans le ſein mon luge, & mon tourment.	Je porte dans le sein mon luge, et mon tourment.
Ie n'ay pas d’aſſeurance en la mort ſeulement:	Je n'ai pas d'assurance en la mort seulement:
Et fuyans loin du monde, a couuert de la foudre, Ie ne ſçaurois helas!	Et fuyant loin du monde, a couvert de la foudre, Je ne saurais hélas!
me fuir n'y m'abſoudre.	me fuir n'y m'absoudre.
C’eſt en moy quAlexis trouue des cruaute?	C'est en moi quAlexis trouve des cruauté?
Pires que les eſcueils, e les flots irritez Mais puis-que mon audace, à qui toute autre cede, A commencé le mal, qui n'a point de remede;	Pires que les écueils, eût les flots irrités Mais puis-que mon audace, à qui toute autre cède, A commencé le mal, qui n'a point de remède;
Si faut-il ſe reſoudre à le dißiniuler.	Si faut-il se résoudre à le diinivler.
Le conſeil en eſt pris;	Le conseil en est pris;
il n'en faut plus paríer.	il n'en faut plus paruer.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE CINQVIESME, ARISTEE, DAPHNIS, TYRSIS CIIONVR LE DERCEES.	SCÈNE CINQUIÈME, ARISTEE, DAPHNIS, TYRSIS CIIIONUR LE DERCES.
ARISTEE.	ARISTE.
Es victimes, Daphnis, confirment les Oracles.	Es victimes, Daphnis, confirment les Oracles.
ECe beau iour que tu vois est vn iour de miracles.	ECe beau jour que tu vois est un jour de miracles.
Tous les ſignes de l’air, dela terre, & des eaux.	Tous les signes de l'air, déla terre, et des eaux.
Les animaux des champs, les poiſſons, les oyſeaux, Et les Aſtres ſur tous, en rendent teſmoig nage.	Les animaux des champs, les poissons, les oiseaux, Et les Astres sur tous, en rendent témoig nage.
En ſin tous mes docteurs ont vn meſme langagé, Mais deuant les grands biens, & les felicitez, Les Dieux ont mis la peine, & les difficulteZ	En sin tous mes docteurs ont un même langagé, Mais devant les grands biens, et les félicités, Les Dieux ont mis la peine, et les difficultés
DAPHNIS.	DAPHNIS.
Grand Miniſtre des Dieux, venerable Ariſtee.	Grand Ministre des Dieux, vénérable Ariste.
Quand tes ſages conſeils ont mon ame aßiſtee, I’ay conſerué l’espoir au fort de mes ennuis.	Quand tes sages conseils ont mon âme assiste, J'ai conservé l'espoir au fort de mes ennuis.
Mais en cet accident, ie fay ce que ie puis;	Mais en cet accident, ie fay ce que Rome puis;
Srieintpaijcaran aunen aſe fae	Srieintpaijarcaran aunen aze fae
ARISTEE.	ARISTE.
Ou ma ſcience eſt vaine, ou les ſoucis d’vn pere, Par vn ſoudain bon-heur, s'en vont eſtre adoucis.	Ou ma science est vaine, ou les soucis d'un père, Par un soudain bonheur, s'en vont être adoucis.
TYRSIS.	TYRSIS.
O malheureux Berger!	Ô malheureux Berger!
AI112 15 Que veut dire Tyrſis?	AI112 15 Que veut dire Tyrsis?
1IR4I3.	1IR4I3.
O vainqueur deplorable!	Ô vainqueur déplorable!
ô iugement ſupreſme	ô jugement suprême
ARISTEE.	ARISTE.
De qui plains-tu le mal?	De qui plains-tu le mal?
d’vn autre, oude toymeſme?	d'un autre, oude toymesme?
PISTS, Helas!	PISTS, Hélas!
ie plains vn mal qui pouuoit m’arriuer;	Ne plains un mal qui pouvait m'arriver;
Et dont le plus adroit ſe peut le moins ſauttez.	Et dont le plus adroit se peut le moins sautés.
1-	1-
DAPHNIS.	DAPHNIS.
Conte nous l’auanture.	Conte nous l'aventure.
TYRSIS.	TYRSIS.
Vne eſperance vaint, De rendre en ce combat la victoire incertaine,	Une espérance vaint, De rendre en ce combat la victoire incertaine,
32 Et de nuyre à celuy dont l’adreſſe, & l’effort Auoit bleßé le Cerf qui couroit à ſa mort, Et qui feignant ſon corps deſia ſe vouloit rendre;	32 Et de nuire à celui dont l'adresse, et l'effort Aussi blessé le Cerf qui courait à sa mort, Et qui feignant son corps déjà se voulait rendre;
Ainſi qu’vn vieux Berger nous l’auoit fait entendre.	Ainsi qu'un vieux Berger nous l'avait fait entendre.
Vn aueugle deſir, nos ames deceuant, Nous a dans la Foreſt emporté bien auant.	Un aveugle désir, nos âmes décevant, Nous a dans la Forêt emporté bien avant.
Ou cherchãt, eſcarteZ par monts, & par vallees, Par les bois abbatus, & les herbes foulees;	Ou cherchant, écartés par monts, et par vallées, Par les bois abattus, et les herbes foulées;
Cloridan le premier, & Lycidas, et moy.	Cloridan le premier, et Lycidas, et moi.
Dans vnlieu ſonbre, eſpais, plain d’horreur, & d’effroy, Nous auons apperceu la beſte deſia morte.	Dans vnlieu sonbre, épais, plain d'horreur, et d'effroi, Nous avons aperçu la bête déjà morte.
Quel grand Cerf!	Quel grand Cerf!
ó bons Dieux!	Elle bons Dieux!
& quelle teſte il porte !	et quelle tête il porte !
Alors d’eſtonnement, plus que d’aiſe comblez, Nous auons anos cris les autres aſſembleZ Et ialoux ſans raiſon d’vne funeſte gloire, 2 Qui d’vn triſte Cypres couronnoit la victoire, Nous auons à regret parmy l’herbe, & le ſang, Veu le dard d’Alexis, qu’il auoit dans le flanc, Mais il por oit au col l’arreſt de ſa vengeance;	Alors d'étonnement, plus que d'aise comblés, Nous avons anos cris les autres assemblés Et jaloux sans raison d'une funeste gloire, 2 Qui d'une triste Cyprès couronnait la victoire, Nous avons à regret parmi l'herbe, et le sang, Veu le dard d'Alexis, qu'il avait dans le flanc, Mais il por ait au col au arrest de sa vengeance;
Que Lyſis deſtachant auecques diligence, Nous a fait lire à tous, eſgalement ſurpris De voir que du vainqueur la mort eſtoit le prix, Voicy venir la troupe, & Lycandre l’apporte.	Que Lysis détachant apprendre diligence, Nous a fait lire à tous, également surpris De voir que du vainqueur la mort était le prix, Voici venir la troupe, et Lycandre l'apporte.
CHOEVR DE BERGERS.	CHOEUR DE BERGERS.
Le vainqueur eſt vaincu, ſon eſperance eſt morte.	Le vainqueur est vaincu, son espérance est morte.
Voyla tout a propos Aristee, & Daphnis.	Voilà tout à propos Ariste, et Daphnis.
haue dEMi.	have dEMi.
Les exces de valeur ſont quelquesfois punts,	Les excès de valeur sont quelquefois punts,
CHOEVR.	CHOEUR.
niqumpuineueimeme sontu peune eſtcommune.	niqumpuineueimeme sont peune estcommune.
Nous auons tous, Daphnis, couru ceſte fortune.	Nous avons tous, Daphnis, couru cette fortune.
ARISTEE.	ARISTE.
Aux actes imprudens le Ciel est rigoureux.	Aux actes imprudents le Ciel est rigoureux.
*MAeeemytor donafillr.	*MAeeemytor donafillr.
DAPHNIS.	DAPHNIS.
O que ie fuis heureux!	Ô que ici fuis heureux!
ARISTEE.	ARISTE.
Pour le ſalut de tous, puniſſez le profane, Qui n'a point eſpargné le grand Cerf de Diane.	Pour le salut de tous, punissez le profane, Qui n'a point épargné le grand Cerf de Diane.
Et celuy dont le trait luy percera le crur, Poſſedera la belle, & ſera le vainqueur.	Et celui dont le trait nom percera le crur, Possédera la belle, et sera le vainqueur.
R iii	 Riji
ARISTEE.	ARISTE.
C’eſt Diane qui parle, & qui veut pour victin Cet eſtranger, ſans doute entaché d’vn grãd crime.	C'est Diane qui parle, et qui veut pour victin Cet étranger, sans doute entaché d'un grãd crime.
Le courroux de la mer l’en a voulu punir, Et la terre auiourd huy ne le peut ſouſtenir.	Le courroux de la mer l'en a voulu punir, Et la terre aujourd' hui ne le peut soutenir.
DAPHNIS.	DAPHNIS.
Et que ma fille en ſoit le butin, & la proye?	Et que ma fille en soit le butin, et la proie?
Iet auois bien predit vne ſoudaine ioye.	Jet avais bien prédit une soudaine joie.
DATANIJO O iuſte prouidence!	DATANIJO Ô juste providence!
ARISTEE.	ARISTE.
Il n’en faut plus douter.	Il n'en faut plus douter.
Toutesfois voyons Mopſe, allons le conſulter.	Toutefois voyons Mopse, allons le consulter.
HOE O R	HOE Ô R
A1 & Es paßions humaines Ont cet aueuglement, 75* Que les plus grandes peines ,Paſſent pour leur obiect, & pour leur Elemens, Touſiours l’eſprit de l’homme ,S’expoſe à la mercy Du mal qui le conſomme, Et ſemble qu’il ait peur de manquer de ſoucy.	A1 et Es passions humaines Ont cet aveuglement, 75* Que les plus grandes peines ,Passent pour leur objet, et pour leur Éléments, Toujours l'esprit de l'homme S'expose à la merci Du mal qui le consomme, Et semble qu'il ait peur de manquer de souci.
Les ardeurs inſenſees Des jeux & des amours, Et les vaines penſees, Luy viennent deſrober les plus beaux de ſesiours.	Les ardeurs insensés Des jeux et des amours, Et les vaines pensées, Lui viennent dérober les plus beaux de séjours.
Le ſoin de mille choſes, Quand il veut ſommeiller, Les portes eſtant cloſes, Entrent deuant le iour, & le vont reiuoilles La ſoif intolerable D’acquerir plus de bien Le rend ſi miſerable, Qu’il veut tout poſſeder & ne iouïr de rien.	Le soin de mille choses, Quand il veut sommeiller, Les portes étant closes, Entrent devant le jour, et le vont rejuoilles La soif intolérable D'acquérir plus de bien Le rend si misérable, Qu'il veut tout posséder et ne jouir de rien.
En fin la deſtinee Par qui tout doit perir, Surprend l’ame eſtonnee, Qui ſçait viure a grand peine alors qu’il ſau?	En fin la destinee Par qui tout doit périr, Surprend l'âme étonne, Qui sait vivre a grand peine alors qu'il sau?
miourir,	miourir,
ACTI	ACTI
ACTE CINQVIESME.	ACTE CINQUIÈME.
I 3 SCENE PREMIERE.	I 3 SCÈNE PREMIÈRE.
A " AIMANDRE pEeAMſan.	À " AIMANDRE pEeAMsan.
M G A A RACE aux Dieux immortels, qui DM m'ont ſauué des ondes, Et qui vont terminer mes erreurs vagabondes, Ie reuoy ma patrie, & leur iuſte ſupport Me permet de gouſter les delices du port.	M G G À RACE aux Dieux immortels, qui DM m'ont sauvé des ondes, Et qui vont terminer mes erreurs vagabondes, Ie reuoy ma patrie, et leur juste support Me permet de goûter les délices du port.
Ie reuoy ces rochers, & ces bois ſolitaires, Qui de tous mes penſers furent les ſecretaires, Lors que i'aimay Clarice, & qu'vn ſort incon ſtant Me la ſit acquerir & perdre en vn inſtant.	Je revois ces rochers, et ces bois solitaires, Qui de tous mes pensers furent les secrétaires, Lors que j'aimai Clarice, et qu'un sort incon tant Me la sit acquérir et perdre en un instant.
2daaeldn Le.	2daelda Le.
Si l’Oracle fameux n’abuſe point mon ame, Elle finit ſes iours, ſans encourir le blaſme De voir indignement ſa franchiſe aſſeruir Au Corſaire inhumain qui me la vient rauir.	Si l'Oracle fameux n'abuse point mon âme, Elle finit ses jours, sans encourir le blâme De voir indignement sa franchise asservir Au Corsaire inhumain qui me la vient ravir.
Ie n’ay pas ſi toſt mis le pied ſur le riuage, Qu'vn peſcheur, qu’vn berger,m'ont appris le naufrage, Ou les Dieux ont voulu perdre ces ennemis, Qui m'auoient pris l’enfant qu'Apollõ m’a promis, En fin la prouidence & iuſte, & pitoyable, A gardé l’innocent, & puny le coulpable.	Je n'ai pas si tôt mis le pied sur le rivage, Qu'un pêcheur, qu'uni berger,ont appris le naufrage, Ou les Dieux ont voulu perdre ces ennemis, Qui m'avaient pris l'enfant qu'Apollion m'a promis, En fin la providence et juste, et pitoyable, A gardé l'innocent, et puni le coulpable.
Ces riuages teſmoins d’vn ſi laſche forfait, Ont veu le iugement que le Ciel en a fait.	Ces rivages témoins d'un si lâche forfait, Ont vu le jugement que le Ciel en a fait.
L’infame criminel a ſeruy de victimie Aux Autels que la Mer preparoit à ſoncrime;	L'infâme criminel a servi de victimie Aux Autels que la Mer préparait à soncrime;
Et les Nymphes ont veu, ſur les flots adoucis, Venir Polydamon ſous le nom d’Alexis.	Et les Nymphes ont vu, sur les flots adoucis, Venir Polydamon sous le nom d'Alexis.
Car des dons du Pirate, apres vn ſort funeſte, Ce beau nom d’Alexis eſt tout ce qui luy reſte.	Car des dons du Pirate, après un sort funeste, Ce beau nom d'Alex est tout ce qui tout reste.
Tom, qui fait qu'à grãd' peine on le daigne loger;	Tom, qui fait qu'à grand' peine à le daigne loger;
Et qu’Oronte ſa ſœur le prend pour eſtranger.	Et qu'Oronte sa sœur le prend pour étranger.
Mõcher Polydamõ, tous ceux qui t’õt veu naiſtre,	Modcher Polydam, tous ceux qui t'õt vu naître,
Tes propres ſeruiteurs meſcognoißẽt leur maiſtre.	Tes propres serviteurs mescognoissẽt leur maître.
Tu paſſes pour eſclaue, ou tu dois commander;	Tu passes pour esclave, ou tu dois commander;
Et tes biens ignorez ne te peuuent ayder.	Et tes biens ignorez ne te peuvent aider.
Peut-eſtre qu'e Daphnis s’eſt laßé de m'attendre Amaranthe peut eſtre, eſt femme de Lycandre.	Peut-être qu'e Daphnis s'est lassé de m'attendre Amaranthe peut -être, est femme de Lycandre.
Mes amis eſtonnez de mon retardement;	Mes amis étonnés de mon retardement;
Nesperent plus me voir qu’aux Enfers ſeulemẽt.	Nespérent plus me voir qu'aux Enfers seulement.
La crainte, le deſir, l’esperance, & la ioye.	La crainte, le désir, l'espérance, et la joie.
Solicitent mes pas, & me monſtrent la voye.	Solicitent mes pas, et me montrent la voie.
Ie ne croy point encor eſtre aux lieux ouie ſuis:	Je ne crois point encor être aux lieux ouïe suis:
Et i'auray de la peine à viure ſans ennuis.	Et j'aurai de la peine à vivre sans ennuis.
ACTE CINQVIESME, SCENE DEVXIESME.	ACTE CINQUIÈME, SCÈNE DEUXIÈME.
ARISTEE, DAPHNIS,CHOE.	ARISTE, DAPHNIS,CHOE.
DES BERGERS.	DES BERGERS.
FILEATS, AMARANTHE.	FILÉATS, AMARANTHÉE.
ARISTEE.	ARISTE.
VE dit Mopsé?	VE dit Mopsé?
Daphnis.	Daphnis.
DAPHNIS.	DAPHNIS.
Ie n’y puis rien entendre.	Je n'y puis rien entendre.
TEE.	TE.
Dit il pas que Diane eſt la ſœur de ton gendre?	Dit -il pas que Diane est la sœur de ton gendre?
Que it puit tummun nom uoiorienait eſdaircis:	Que it puit tummun nom oiorienait édaircis:
Il radote.	Il radote.
DAPHNIS.	DAPHNIS.
ARISTEE.	ARISTE.
Sans doute;	Sans doute;
& ſes yeux obſcurcu N’ont plus de l’aduenir l’image ſi preſente.	et ses yeux obscurcu N'ont plus de l'avenir l'image si présente.
Apollon voudroit-il espouſer Amaranthe?	Apollon voudrait-il épouser Amaranthe?
DAPHNIS.	DAPHNIS.
Voicy le Criminel.	Voici le Criminel.
CHOEVR.	CHOEUR.
Ou fatit-il l’attacher?	Ou fatit-il l'attacher?
ARISTEE.	ARISTE.
Attachez-le à cet arbre;	Attachez-le à cet arbre;
oubien à ce Rocher.	oubien à ce Rocher.
CHOEVR.	CHOEUR.
Mais qu' doit Ariſtee, oncommencer, ou ſitiure?	Mais qu' doit Ariste, oncommencer, ou sitivre?
ARISTEE.	ARISTE.
L'ordre n'importe pas, puis qu'vn ſeul nous deliure;	L'ordre n'importe pas, puis qu'un seul nous délivre;
Vn ſeul eſt deſtiné pour luy percer le cœur.	Un seul est destiné pour avoir percer le cœur.
Regarde ce captif, cis pluſtoſt ce vainqueur.	Regarde ce captif, cis plutôt ce vainqueur.
el mortel fut iamais digne de tant d’eſtime?	elle mortel fut jamais digne de tant d'estime?
DAPHNIS.	DAPHNIS.
Les Dieux l’ont fait pour eux.	Les Dieux l'ont fait pour eux.
ARTSIEE.	ARTSIE.
Qui vid iamais victime Aller plus volontiers au deuant de la mort?	Qui vit jamais victime Aller plus volontiers au devant de la mort?
ALEXIS.	ALEXIS.
Vous perdez bien du temps apres vn vain effort.	Vous perdez bien du temps après un vain effort.
Vos traits me ſeront doux, & vos liens m'offenſent.	Vos traits me seront doux, et vos liens m'offensent.
DAHPNIS.	DAHPNIS.
Sus donc, que Philidor, & Lycandre s’auanceni Ie prieancimmortets qu'ils addreſſent leurs coups	Sus donc, que Philidor, et Lycandre s'avancéni Je prieancimortets qu'ils adressent leurs coups
ARISTEE.	ARISTE.
Rolstinente AMARor.	Rolstinente AMARor.
AMARANTHE.	AMARANTHÉE.
Bergers que faittes vous?	Bergers que faites -vous?
Quelle eſtrange manie auiourd’huy vous poſſede:	Quelle étrange manie aujourd'hui vous possède:
Puis que leſort nous iuge, il faut que tout luy cedc.	Puis que lesort nous juge, il faut que tout lui cédc.
Ne m’en accuſeZ point, prenez vous-en aux Dieux.	Ne m'en accuse point, prenez vous-en aux Dieux.
I'ay reſiſté long-temps aux Nymphes de ces lieux, Aux Oracles diuers, & meſme à la Deeſſe, A qui ie conſacrois mes veux & ma ieuneſſe.	J'ai résisté longtemps aux Nymphes de ces lieux, Aux Oracles divers, et même à la Déesse, À qui re nacrais mes veux et ma jeunesse.
Les Dieux & les humains ont eſté contre moy.	Les Dieux et les humains ont été contre moi.
Mais, tous m’ont aſſeuree, & m’ont dõné leur foy, Pour vaincre ma conſtance, & ma gloire obſtinée, Et pour ranger moname aux loix d’vn Hymenée, Qu’ils conſentiroient tous à mon iuste deſir, Et tiendroient pour celuy que ie voudrois choiſir.	Mais, tous m'ont assurée, et m'ont dõné leur foi, Pour vaincre ma constance, et ma gloire obstinée, Et pour ranger monme aux lois d'un Hyménée, Qu'ils consentiraient tous à mon juste désir, Et tiendraient pour celui que sans voudrais choisir.
Maintenant que ie cede à tant de violence, Et que mal-gré mes veux i'ay rompu le filence, Quoy?	Maintenant que Madame cède à tant de violence, Et que mal-gré mes veux j'ai rompu le silence, Quoi?
faut-il violer vn ſerment ſolemnel?	faut-il violer un serment solennel?
Et d’vn iuſte vainqueur en faire vn criminel?	Et d'un juste vainqueur en faire un criminel?
Non, non, s’il faut mourir, ie mourray la premiere.	Non, non, s'il faut mourir, tu mourrai la première.
Armez vous contre moy.	Armez -vous contre moi.
I'atteſte la lumiere, Que mon cœur de vos traits, ne veut plus s’exẽpter;	J'atteste la lumière, Que mon cœur de vos traits, ne veut plus s'expter;
Etjeeutiq pnic lontne, asenpouria vamei.	Etjeeutique pénic lontne, asenpouria vame.
DAPHNIS.	DAPHNIS.
Qu'Amaranthe s’oppoſe au vouloir de Diane?	Qu'Amaranthe s'oppose au vouloir de Diane?
Qu'elle prefere aux Dieux le party d’vn profane, Du moindre des mortels, qu'elle ne cognoiſt point?	Qu'elle préfère aux Dieux le parti d'un profane, Du moindre des mortels, qu'elle ne connaît point?
Et que tant de deſaſtre à ſon crime ſoit ioint?	Et que tant de désastre à son crime soit joint?
Ma fille, as-tu perdu tous les ſoins de me plaire?	Ma fille, as-tu perdu tous les soins de me plaire?
D'vn ſi rare treſor, d’vn ſi digne ſalaire, Veux-tu recompenſer celuy qu'il faut punirs Et ſeule contre tous le veux-tu ſouſtenir?	D'un si rare trésor, d'un si digne salaire, Veux-tu récompenser celui qu'il faut punirs Et seule contre tous le veux-tu soutenir?
AMARANTHE.	AMARANTHÉE.
,Vn acte de valeur n’eſt point digne de peine, ,Si ce n'eſt pas la loy de quelque ame inhumaine.	,Un acte de valeur n'est point digne de peine, ÇI ce n'est pas la loi de quelque âme inhumaine.
DAPHNIS.	DAPHNIS.
C'est vn diuin arreſt qui te ſemble inhumain, Et Diane en ces bois, l’a graué de ſa main.	C'est un divin arrêt qui te semble inhumain, Et Diane en ces bois, l'a gravé de sa main.
AMARANTHE.	AMARANTHÉE.
Ie ſçay quelle ordonnance elle m’a prononcée, Ermontanrnama pomt de pimenere pensee,	Je sais quelle ordonnance elle m'a prononcée, Ermontanrnama pompt de pimenère pensée,
DAPHNIS.	DAPHNIS.
Les miniſtres des Dieux l’entẽdent mieux que toy, Llantoiſmte Mmt,guian dey.	Les ministres des Dieux l'entendent mieux que toi, Llantoismte Mémt,guian dey.
AMARANTHE.	AMARANTHÉE.
I’oy donné ma parole, & ie la veux deffendre.	J'ois donné ma parole, et ainsi la veux défendre.
Ie n'ay plus deſormais d’autre conſeil a prendre.	Je n'ai plus désormais d'autre conseil a prendre.
Voyant ce que le Ciel en a determiné;	Voyant ce que le Ciel en a déterminé;
Ie reçoy de bon cœur celuy qu’il m'a donné.	Je reçois de bon cœur celui qu'il m'a donné.
Ie ne puis deſormais changer ſans perfidie.	Je ne puis désormais changer sans perfidie.
Ma ſeule ſoy m’oblige, & me rend plus hardie:	Ma seule soi m'oblige, et me rend plus hardie:
Sa deffence est ma gloire, & mon contentement:	Sa défense est ma gloire, et mon contentement:
Et ce n'eſt plus honneur que de faire autrement.	Et ce n'est plus honneur que de faire autrement.
ARISTEE.	ARISTE.
Crain Diane, Amaranthe, & la parolle expreſſe Dont ſon ire auiourd’huy nous menaſſe, & nous preſſe Ne luy reſiſte point, toydont les qualitez Peuuent loger l’enuie aucœur des DeiteZ.	Crain Diane, Amaranthe, et la parole expresse Dont son ire aujourd'hui nous menace, et nous presse Ne lui résiste point, toidont les qualités Peuvent loger l'envie aucœur des Décès.
AMAR	AMAR
AMARANTHE.	AMARANTHÉE.
Voulez vous que i’accorde a voſtre erreur extreme, Lu lle Dimm jon tmunesje mſme:	Voulez -vous que j'accorde a Rom erreur extrême, Lu lu Lim jon tunesje même:
ARISTEE.	ARISTE.
Fay nous part des ſecrets qui te ſont reueleZ :	Fais nous part des secrets qui te sont reueleZ :
De peur qu'aton dommage ils ſoient dißimulez	De peur qu'aton dommage ils soient diamulez
AMARANTHE.	AMARANTHÉE.
ny deleurs veritez vne ſi forte image, Que ie ne crains d’ailleitrs ny peril, ny dommage.	Elle déleurs vérités une si forte image, Que tu ne crains d'ailleits toujours péril, ni dommage.
ARAIEE.	ARAIE.
Nous receuons pourtant vne autre loy des Cieux.	Nous recevons pourtant une autre loi des Cieux.
AMARANTHE.	AMARANTHÉE.
,Les hommes font des loix qu’ils imputent au:	Ç ,Les hommes font des lois qu'ils imputent au:
Dieux.	Dieux.
ARISTEE.	ARISTE.
Il n’eſt rien de ſi clair que ce nouuel oracle.	Il n'est rien de si clair que ce nouvel oracle.
AMARANTHE.	AMARANTHÉE.
Pourquoy donc a ma mort trouueZ vous taut d’obſtadle?	Pourquoi donc à ma mort trouvez vous taut d'obstadle?
ARISTEE.	ARISTE.
iane en ce Berger ne te condamne pas.	jane en ce Berger ne te condamne pas.
AMARANTHE.	AMARANTHÉE.
