LRAREE C2 DEGVISE TRAGI-COMEDIE.	LRARE C2 DÉGUISÉ -THRAGI-COMÉDIE.
Sur peine de mourir ne parlez à perſonne;	Sur peine de mourir ne parlez à personne;
Laiſſez moy trauailler pour noſtre communbien;	Laissez -moi travailler pour notre communbien;
Mais en voſtre faueur, il n’apparoiſtra rien.	Mais en votre faveur, il n'apparaîtra rien.
Il en tient comme il faut, la dupe eſt eſtonnée.	Il en tient comme il faut, la dupe est estonnée.
Grande ſœur de celuy qui meſure l’annee, Ecaie au triple nom, qui vas dans les enfers, Arrache en ma faueur, vn demon de ſesfers;	Grande sœur de celui qui mesure l'année, Ecaie au triple nom, qui vas dans les enfers, Arrache en ma faveur, un démon de sesfers;
Ouure par tes rayons les portes del’Auerne.	Ouvre par tes rayons les portes dél'Auerne.
Afin qu’il ouure apres ceſte riche cauerne, Où tant d’orautrefois ſe veit enſeuelir:	Afin qu'il ouvre après cette riche caverne, Où tant d'autrefois se vit ensevelir:
Ainſi iamais ſorcier ne te face paſlir;	Ainsi jamais sorcier ne te face pâlir;
Ainſi le leau paſteur que ton esprit adore, Ne ſe puiſſe endormir, qu’au reſueil de l’Aurore;	Ainsi le au pasteur que ton esprit adore, Ne se puisse endormir, qu'au réveil de l'Aurore;
Ainſi ſon vieil espoux ronfle profondément, Afin que tu ſois libre en ton contentement.	Ainsi son vieil époux ronfle profondément, Afin que tu sois libre en ton contentement.
Le charme eſt acheué, prenez cecy Rutile;	Le charme est achevé, prenez ceci Rutile;
Quoy le genoüil vous tremble, & le front vous di	Quoi le genoüil vous tremble, et le front vous di
La crainte m'a ſaiſi:	La crainte m'a saisi:
VTILE.	VTILE.
CLEARQVE.	CLÉARQUE.
Vous en ſerez vainqueur:	Vous en serez vainqueur:
L’or à ce qu’onm'a dit eſt fort bon pour le cœur.	L'or à ce qu'onm'a dit est fort bon pour le cœur.
Allons;	Allons;
retirez vous;	retirez -vous;
car la Lune eſclaircie, Semble me demander que ie la remercie.	car la Lune éclaircie, Semble me demander que sans la remercie.
.	.
	
SCENE TROISIESME.	SCÈNE -TROISIÈME.
S MELANIRE.	 SELANIRE.
Eſtes impertinens d’vn feu trop allumé, Abandonnez mon cœur, puis qu’il eſt conſumé:	Êtes impertinents d'un feu trop allumé, Abandonnez mon cœur, puis qu'il est consumé:
Si ie manque d’espoir, vous manquez de matiere;	Si belle manque d'espoir, vous manquez de matière;
Il faut que malgré vous ma raiſon reſte entiere;	Il faut que malgré vous ma raison reste entière;
Il faut qu'elle triomphe, ou que l’eau de mes pleurs, En eſteignant mes iours, eſteigne vos chaleurs.	Il faut qu'elle triomphe, ou que l'eau de mes pleurs, En éteignant mes jours, éteigne vos chaleurs.
Quittons cette fureur dont noſtre ame eſt guidée:	Quittons cette fureur dont notre âme est guidée:
Sors, ſors de mon eſprit, belle & faſcheuſe idée, Permets que la raiſon face enfin ſon deuoir, Et ne me monstre plus, ce qu’on ne peut auoir.	Sors, sors de mon esprit, belle et fâcheuse idée, Permets que la raison face enfin son devoir, Et ne me montre plus, ce qu'on ne peut avoir.
I'attaque vainement vn fort inacceßible;	J'attaque vainement un fort inaccesible;
Ie n’ay de ſentimens, que pour vn inſenſible;	Je n'ai de sentiments, que pour un insensible;
Dieux, vn mal ſi cruel doit il long temps durer?	Dieux, un mal si cruel doit il long temps durer?
Apres ce que i’ay veu, puis-ie encoreſperer?	Après ce que j'ai vu, puis-je encorespérer?
Non, non, penſers flatteurs, vous abuſez moname:	Non, non, pensers flatteurs, vous abusez moname:
Vn glaçon eſt touſiours incapable de flame;	Un glaçon est toujours incapable de flamme;
Sans changer de nature il ne ſçauroit changer;	Sans changer de nature il ne saurait changer;
Et mon ſeul reconfort conſiſte à me vanger.	Et mon seul réconfort consiste à me venger.
Vangeons nous donc mon cœur, mettons tout en vſage, Et deſtournons les yeux d’vnaimable viſage;	Vengeons nous donc mon cœur, mettons tout en usage, Et détournons les yeux d'vnaimable visage;
Mocquons nous des attraits d’vn monſtre déguisé:	Moquons nous des attraits d'être monstre déguisé:
Et te ſouuiens enfin comme il t’a mespriſé.	Et te souviens enfin comme il t'a méprisé.
Außi bien vn ſoupçon m'entre en la fantaiſie;	Aussi bien un soupçon m'entre en la fantaisie;
Auecque ma fureur i’ay de la ialouſie, Ce n'eſt pas ſans ſujet que ie la porte au ſein;	Avec ma fureur j'ai de la jalousie, Ce n'est pas sans sujet que Il la porte au sein;
Ce Sorcier m'eſt ſuſpect de quelque grand deſſein:	Ce Sorcier m'est suspect de quelque grand dessein:
Ces charmes faicts de nuict, & tant d’or qu’il nous donne, Teſmoignent vn project dont la fin n’eſt pas bonne:	Ces charmes faits de nuit, et tant d'or qu'il nous donne, Témoignent un project dont la fin n'est pas bonne:
Ie n'ay point vn viſage à ſouffrir du meſpris;	Je n'ai point un visage à souffrir du mépris;
Sans doute vn autre object engage ſes esprits:	Sans doute un autre object engage ses esprits:
Deſcouurons ce qu’il faict;	Découvrons ce qu'il fait;
quoy qu’il en reüßiſſe Il faut abſolument que ie m'en eſclairciſſe:	quoi qu’il en réussisse Il faut absolument que ie m'en éclaircisse:
Le voicy, cachons nous;	Le voici, cachons nous;
voyons où le conduit,.	voyons où le conduit,.
Ce myſtere ſecret, qui demande la nuict.	Ce mystère secret, qui demande la nuit.
3	3
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
CLEARQVE.	CLÉARQUE.
Elices de l’esprit, object de la penſée,  Agreable trompeur de mon ame inſenſée, Espoir doux & charmant, venez m'entretenir, De la gloire preſente, & de l’heur à venir.	Élices de l'esprit, object de la pensée, Agréable trompeur de mon âme insensée, Espoir doux et charmant, venez m'entretenir, De la gloire présente, et de l'heur à venir.
De quelque vain diſcours que vous flattiez ma flame, Eſpoir, ie vous eſcoute, & vous ouure mon ame;	De quelque vain discours que vous flattiez ma flamme, Espoir, je vous écoute, et vous ouvre mon âme;
Augmentez mon ardeur, accroiſſez mes deſirs, Et dans des maux ſi vrais, meſlez de faux plaiſirs, I'aimeray mon erreur comme voſtre menſonge;	Augmentez mon ardeur, accroissez mes désirs, Et dans des maux si vrais, mêlez de faux plaisirs, J'aimerai mon erreur comme votre mensonge;
Et ſeray trop heureux en faiſant vn beau ſonge:	Et serai trop heureux en faisant un beau songe:
Car qui peut meriter d’obtenir en effect, La glorieuſe fin du deſſein que i’ay faict?	Car qui peut mériter d'obtenir en effet, La glorieuse fin du dessein que j'ai fait?
Mais qu’eſt-ce que ie voy ſoubz ce feuïllage ſombre?	Mais qu'est-ce que ici vois sous ce feullage sombre?
Ne m’abuſay-ie point par l’eſpoiſſeur de l’ombre?	Ne m'abusai-je point par l'époisseur de l'ombre?
C'eſt l’Infante elle meſme;	C'est l'Infante elle -même;
O quel eſtonnement!	Ô quel étonnement!
Dois-je croire à ma veuë en cét euenement?	Dois-je croire à ma vue en cet événement?
A cette heure au iardin!	À cette heure au jardin!
non, i’ay l’eſprit malade:	non, j'ai l'esprit malade:
G ii.	G ji.
Couurons nous toutefois de ceſte paliſſade, Pour voir ſi ce fantoſme apparu dans ces lieux, Me trompera l’oreille außi bienque les yeux.	Couvrons nous toutefois de cette palissade, Pour voir si ce fantôme apparu dans ces lieux, Me trompera l'oreille aussi bienque les yeux.
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
ARGENIE, PHILISE, CLEARQVE.	ARGENIE, PHILISE, CLEARQUE.
S 1 ARGENIE.	S 1 ARGENIE.
Tray-ie peu venir ſans eſueiller mes femmes?	Trais-je peu venir sans éveiller mes femmes?
PHILISE.	PHILISE.
Toutes par le ſommeil ſembloient des corps ſans ames, Hormis la Gouuernante:	Toutes par le sommeil semblaient des corps sans âmes, Hormis la Gouvernante:
elle ronfloit ſi fort, Qu'en elle, il n’eſtoit point le frere de la mort.	elle ronflait si fort, Qu'en elle, il n'était point le frère de la mort.
ARGENIE.	ARGENIE.
Tant mieux;	Tant mieux;
aſſeyons nous aupres de la fontaine;	asseyons nous auprès de la fontaine;
Le murmure en eſt doux, la nuict eſt bien ſeraine;	Le murmure en est doux, la nuit est bien seraine;
Les arbres, & la Lune en ſon teintargenté, Y font un beaumeſlange, & d omvre, & te ciarté:	Les arbres, et la Lune en son teintargenté, Y font un beaumeslange, et d omvre, et te ciarté:
Le ſilence paiſible y regne ſolitaire;	Le silence paisible y règne solitaire;
Mais il le faut bannir, car ie ne me puis taire.	Mais il le faut bannir, car ainsi ne me puis taire.
PHILISE.	PHILISE.
Madame, il eſt certain que depuis quelques iours Vous auez bien changé, de teint, & de diſcours;	Madame, il est certain que depuis quelques jours Vous avez bien changé, de teint, et de discours;
Voſtre humeur est plus triſte, & ceſte inquietude Uous fait haïr la Cour, aimer la ſolitude;	Votre humeur est plus triste, et cette inquiétude Uous fait haïr la Cour, aimer la solitude;
Mais inutilement i’ay taſché de chercher, Le ſubiet malheureux qui vous a pu faſcher.	Mais inutilement j'ai tâché de chercher, Le sujet malheureux qui vous a pu fâcher.
ARCENIE.	ARCENIE.
Soucis mordans, penſers, dont la rage affamée, Deuore inceſſamment ma pauure ame enflammée, De grace vn peu de treue;	Soucis mordants, pensers, dont la rage affamée, Dévore incessamment ma pauvre âme enflammée, De grâce un peu de trouve;
ou permettez au moins, Apres tant de douleurs, que ſeule & ſans teſmoins, Quelque ſouspir m'eſchape, en ſouffrant la torture, Secret accuſateur des peines que i'endure.	ou permettez au moins, Après tant de douleurs, que seule et sans témoins, Quelque soupir m'échappe, en souffrant la torture, Secret accusateur des peines que j'endure.
PHILISE.	PHILISE.
Si vous auez connu ma parfaite amitié;	Si vous avez connu ma parfaite amitié;
Separez vos tourmens, donnez m’en lamoitié;	Séparez vos tourments, donnez m'en lamaitié;
Ne vous conſumez plus d’vne flame ſecrette, Et vous reſſouuenez que Philiſe eſt diſerette.	Ne vous consumez plus d'une flamme secrète, Et vous ressouuenez que Philise est disèrette.
ARGENIE.	ARGENIE.
A quoyme ſert le throſne où i’ay droit de monter, Si ie nourris vn mal que ie ne puis dompter?	À quoime sert le trône où j'ai droit de monter, Si apprendre nourris un mal que sans ne puis dompter?
Si ie porte ſous l’or vne ame langoureuſe?	Si ici porte sous l'or une âme langoureuse?
Ie ſuis grande, il eſt vray, mais pourtantmalheureuſe.	Je suis grande, il est vrai, mais pourtantmalheureuse.
Que ne m’eſt-il permis de ſuiure mon deſir, Auecque peu de pompe, & beaucoup de plaiſir?	Que ne m'est-il permis de suivre mon désir, Avec peu de pompe, et beaucoup de plaisir?
L'yrois (loing d’vn ſeiour qui me ſemble prophane) Dece Palais ſuperbe à la ſimple cabane, Bareuonois Jum(Ia quuumde joucy, Le repos de l’esprit, que ie n'ay point icy.	L'irais (loin d'un séjour qui me semble prophane) Déce Palais superbe à la simple cabane, Barevonais JumumuMa quuède jouci, Le repos de l'esprit, que sans n'ai point ici.
PHILISE.	PHILISE.
Qui vous le peutoster?	Qui vous le peutôter?
ie ne le puis comprendre:	Ne ne le puis comprendre:
ARGENIE.	ARGENIE.
Deux puiiſſans emnemtssemmou, Q Toutandre;	Deux puiissans emnemtssemmou, Q Toutandre;
O pudeur, ſur mon front tu marques mon peché!	Ô pudeur, sur mon front tu marques mon péché!
Mais c’en eſt faict pourtant, le mot en eſt laſché.	Mais c'en est fait pourtant, le mot en est lâché.
PHILISE.	PHILISE.
Le ſentiment commun condamneroit ſans doute, Vne faute d’amour dont ie vous tiens abſoute;	Le sentiment commun condamnerait sans doute, Une faute d'amour dont ie vous tiens absoute;
On ne On ne peut ſe deffendre, ayant bien combattu, De la neceßité d’eſtimer ſa vertu.	On ne On ne peut se défendre, ayant bien combattu, De la nécessité d'estimer sa vertu.
Et puis, qui peut ſçauoir ſi ce n'est point vn Prince, Que l’amour ait conduit dedans ceſte Prouince?	Et puis, qui peut savoir si ce n'est point un Prince, Que l'amour ait conduit dedans cette Province?
Bien qu’il ſoit dangereux de ſe taire & bruſler, Peut-estre le respectl'empeſche de parler.	Bien qu'il soit dangereux de se taire et brûler, Peut-être le respectl'empêche de parler.
ARGENIE.	ARGENIE.
Eainsa tires.	Eainsa tires.
Dieux, qu'on croit aiſément les choſes qu’on deſire?	Dieux, qu'on croit aisément les choses qu'on désire?
PHILISE.	PHILISE.
Poßible ce diſcours a de la verité:	Posible ce discours a de la vérité:
Croyez qu’il a bien l’air d’homme de qualité:	Croyez qu'il a bien l'air d'homme de qualité:
Son marcher, ſon parler, poly, courtois, affable;	Son marcher, son parler, poli, courtois, affable;
Ces vers misterieux qu’il nommoit vne fable;	Ces vers mystérieux qu'il nommait une fable;
Ce vaſe élabouré qu’il oſa vous offrir;	Ce vase élabouré qu'il osa vous offrir;
Ceſte main delicate, & mal propre à ſouffrir mbirumtrormmuputumuile ſa naiſſance;	Cette main délicate, et mal propre à souffrir mbirumtrormuputumuile sa naissance;
Tout cela ſans mentir aide à ma connoiſſance;	Tout cela sans mentir aide à ma connaissance;
Et l’amour qui paroist viſible dans ſes yeux, Monſtre qu’il est né Prince, ou trop audacieux.	Et l'amour qui paraît visible dans ses yeux, Montre qu'il est né Prince, ou trop audacieux.
ARGENIE.	ARGENIE.
Il eſt vray que ſouuent ſes regards pleins de flame, En me faiſant rougir, m'ont faict lire en ſon ames I’ay bien veu qu’il aymoit, i’ay bien connu ſa foy, Mais qui peutm'aſſeurer qu'il ſoit né Prince?	Il est vrai que souvent ses regards pleins de flamme, En me faisant rougir, m'ont fait lire en son âmes J'ai bien vu qu'il aimait, j'ai bien connu sa foi, Mais qui peutm'assurer qu'il soit né Prince?
CLEARQVE.	CLÉARQUE.
moy.	moi.
Princeſſe en qui le Ciel prodigua ſes merueilles, En qui nature a mis & ſes ſoings, & ſes veilles;	Princesse en qui le Ciel prodigua ses merveilles, En qui nature a mis et ses soings, et ses veilles;
Miracle de nos iours, vous ne vous trompez pas, Croyant en ma faueur que mon ſort n'est point bas.	Miracle de nos jours, vous ne vous trompez pas, Croyant en ma faveur que mon sort n'est point bas.
Celuy qui me donna l’ame que ie vous donne, Me doit enfin laiſſerſon Sceptre & ſa Couronne;	Celui qui me donna l'âme que je vous donne, Me doit enfin laisserson Sceptre et sa Couronne;
Ie les mets à vos pieds, & ſouz voſtre pouuoir, Donc auecque mon cœur, veuïllez les receuoir.	Je les mets à vos pieds, et souz votre pouvoir, Donc avec mon cœur, veuillez les recevoir.
A RGENIE.	À RGENIE.
Dieux, encét accident ie ne me puis reſoudre!	Dieux, encet accident ici ne me puis résoudre!
CLEARQVE.	CLÉARQUE.
Et ſi ie ne dis vray, puiſſe d’vn coup de foudre, (Que ma preſomption aura bien merité Punir le iuste Ciel ceste temerité.	Et si ici ne dis vrai, puisse d'un coup de foudre, (Que ma présomption aura bien mérité Punir le juste Ciel cette témérité.
Deſia depuis long temps, Princeſſe incomparable, Mon cœur n’adore rien que vostre œil adorable;	Déjà depuis long temps, Princesse incomparable, Mon cœur n'adore rien que votre œil adorable;
Il eſpere en craignant, il vit, & meurt d’amour, Et lors que ie m'eſloigne, il reste en ceste Cour.	Il espère en craignant, il vit, et meurt d'amour, Et lors que votre m'éloigne, il reste en cette Cour.
En fin ma paßion & plus viue, & plus forte, Que les foibles conſeils que la raiſon apporte, Me fit prendre vndeſſein bien haut, mais bien-heureux, Ha que n’entreprend point vnesprit amoureux!	En fin ma passion et plus vive, et plus forte, Que les faibles conseils que la raison apporte, Me fit prendre unessein bien haut, mais bienheureux, Ha que n'entreprend point unesprit amoureux!
Car voſtre Alteſſe a dit, pour ma bonne fortune, Que ceste affection n'a rien qui l’importune;	Car votre Altesse a dit, pour ma bonne fortune, Que cette affection n'a rien qui l'importune;
Iugez apres cela, ſi iuſques au treſpas, Ie ne dois pointbaiſer les traces de vos pas?	Jugez après cela, si jusques au trépas, Je ne dois pointbaiser les traces de vos pas?
Et ſi de tant d'amans qui flottent dans le calme, Aucun a peu gaigner vne außi belle palme?	Et si de tant d'amants qui flottent dans le calme, Aucun a peu gagner une aussi belle palme?
ARGENIE.	ARGENIE.
Pardonnez Sit vons piaiſt a moneſtonnement;	Pardonnez Sit vons piaît à monestonnement;
Ie ne ſçaurois parler, ny tarder vn moment;	Je ne saurais parler, ni tarder un moment;
Mais rendez-vous icy demain à la meſme heure:	Mais rendez-vous ici demain à la même heure:
CLEARQVE.	CLÉARQUE.
Pourne m'y rendrepas, il faudra que ie meure:	Pourne m'y rendrepas, il faudra que ie meure:
H Mais dans le ſentiment qui vous faict retirer, Que me commandez vous Madame?	H Mais dans le sentiment qui vous fait retirer, Que me commandez vous Madame?
ARGENIE.	ARGENIE.
d’eſperer.	d'espérer.
CLEARQY E.	CLÉARQY E.
Le Ciel en ſoit loüé, i’ay ce que ie demande:	Le Ciel en soit loué, j'ai ce que Rome demande:
Viens donc heureux espoir, puis qu’elle le commande;	Viens donc heureux espoir, puis qu'elle le commande;
Mais tiens l’eſtat de gloire où tu te vois monté, Nonpas de ma vertu, mais bien de ſa bonté.	Mais tiens l'état de gloire où tu te vois monté, Nonpas de ma vertu, mais bien de sa bonté.
.	.
.	.
	
SCENE SIXIESME.	SCÈNE SIXIÈME.
MELANIRE.	MELANIRE.
Nfin i’ay deſcouuert la cauſe de ma perte;	Nfin j'ai découvert la cause de ma perte;
Ql'e Sorcier, malgré ton art i'ay veu ton ame ouuerte, Ingrat, audacieux, fourbe, meſchant, trompeur, Vn foudre tombera, dont tun as point de peur.	Qu'elle Sorcier, malgré ton art j'ai vu ton âme ouverte, Ingrat, audacieux, fourbe, méchant, trompeur, Un foudre tombera, dont tun as point de peur.
Ton orgueil ſouffrira la peine meritée;	Ton orgueil souffrira la peine méritée;
Tu ſçauras ce que peut vne amante irritée, De qui le cœur outré d’vninſolent mespris, Veut poſſeder ouperdre vn obiect qui l’a pris.	Tu sçauras ce que peut une amante irritée, De qui le cœur outré d'uninsolent mépris, Veut posséder ouperdre un objet qui l'a pris.
Quelqu’inſigne faueur que ton audace obtienne, Tu conspires ta perte, en conspirant la mienne;	Quelqu'insigne faveur que ton audace obtienne, Tu conspires ta perte, en conspirant la mienne;
Ie ſçauray me vangerdes outrages ſoufferts, Et briſer ma cadene, en te mettant aux fers.	Je saurai me vengerdes outrages soufferts, Et briser ma cadène, en te mettant aux fers.
Prince, ou non, il n’importe à ma iuſte allegeance:	Prince, ou non, il n'importe à ma juste allégeance:
l’aurois plus de douceur d’vne illuſtre vengeance:	l'aurais plus de douceur d'une illustre vengeance:
Ie le verrois perir d’vn ſouſrire mocqueur, Fust il Roydu Leuant, comme il l’est de moncœur.	Je le verrais périr d'une sousrire moqueur, Fût -il Roidu Leuant, comme il l'est de moncœur.
H ii.	H Hi.
Seruons nous bien du temps;	Servons -nous bien du temps;
l’occaſion est belle:	l'occasion est belle:
Si ce cœur eſt ſubject, qu’il ſoit ſubject rebelle:	Si ce cœur est sujet, qu'il soit subject rebelle:
L’amour ne deffend rien;	L'amour ne défend rien;
la fureur permet tout;	la fureur permet tout;
Pouſſons donc hardiment le crime iuſqu’aubout.	Poussons donc hardiment le crime jusqu'aubout.
.	.
	
ACTE QVATRIESME.	ACTE QUATRIÈME.
LISANDRE, FLORESTOR, ROSEMONDE, ANTHENOR, MELANIRE, CLEARQVE, ARGENIE, PHILISE, CHŒVR DE GARDES.	LISANDRE, FLORESTOR, ROSEMONDE, ANTHÉNOR, MELANIRE, CLEARQUE, ARGENIE, PHILISE, CHOUR DE GARDES.
SCENE PREMTERE.	SCÈNE PREMTERE.
LISANDRE, FLORESTOR.	LISANDRE, FLORÊTOR.
LISANDRE.	LISANDRE.
L eſt temps Floreſtor, d'au, tummappelle, Le ſoin & le deuoir d’vn ſeruice fidelle:	L est temps Florêtor, d'au, tummappelle, Le soin et le devoir d'un service fidèle:
La nuict nous faitoriſe, obſcure comme elle eſt, Et ſemble prendre part dedans nostre intereſt:	La nuit nous faitorise, obscure comme elle est, Et semble prendre part dedans notre intérêt:
Sçachons ſi ſon Alteſſe a touſiours ceſte enuie, Qui met dans le peril vne ſi belle vie;	Sachons si son Altesse a toujours cette envie, Qui met dans le péril une si belle vie;
S’il a beſoin de nous, s’il n’a rien aduancé, Ou s’il voit ſon deſtin comme il l’auoit pensé.	S'il a besoin de nous, s'il n'a rien avancé, Ou s'il voit son destin comme il l'avait pensé.
Ie ne treuue pour moy que fort peu d’apparence, A ce que luy promet vne vaine eſperance;	Je ne trouve pour moi que fort peu d'apparence, À ce que tu promet une vaine espérance;
Et bien que ſon grand cœur r'aſſeure mel esprits, Ie ne voy point de iour au deſſein qu’il apris.	Et bien que son grand cœur rassure mel esprits, Je ne vois point de jour au dessein qu'il apris.
FLORESTOR.	FLORÊTOR.
Helas!	Hélas!
braue Liſandre, vne pareille crainte, Me donne inceſſamment vne mortelle atteinte;	brave Lisandre, une pareille crainte, Me donne incessamment une mortelle atteinte;
Ie ſuis deſesperé, quand ie me ſens rauir Le moyen de le voir, l’honneur de la ſeruir.	Je suis désespéré, quand ie me sens ravir Le moyen de le voir, l'honneur de la servir.
Et ie maudis le iour, où l’aueugle fortune, Le ietta ſur ces bords par les mains de Neptune, Qui traiſtre außi bien qu’elle, abaiſſa ſon orgueil, Et le mit dans le port, pour le mettre au cerueil.	Et petit maudis le jour, où l'aveugle fortune, Le jeta sur ces bords par les mains de Neptune, Qui traître aussi bien qu'elle, abaissa son orgueil, Et le mit dans le port, pour le mettre au cerveil.
Car de tant de ſoldats, de tant de Capitaines, Qui furent les captifs de nos armes hautaines, Dumoy on qe quelqu'vn ne le connoiſſe enſin:	Car de tant de soldats, de tant de Capitaines, Qui furent les captifs de nos armes hautaines, Dumoi on qe quelqu'un ne le connaisse ensin:
Ne luyface eſprouuer la rigueur du deſtin?	Ne luyface éprouver la rigueur du destin?
En le mettant aux mains d’vne Reine offensée, Qui le veut immoler à ſa rage inſenſees	En le mettant aux mains d'une Reine offensée, Qui le veut immoler à sa rage insensées
Pour Pour moy, quand ie regarde où ſon amour l’a mis, aè Mon ſangreſte gelé, ie tremble, ie fremis, Vne extreme frayeur m'arreſte en vne place, Et mon front est couuert d’vne ſueur de glâce:	Pour Pour moi, quand ieprête où son amour l'a mis, aè Mon sangreste gelé, toujours tremble, une frémis, Une extrême frayeur m'arrête en une place, Et mon front est couvert d'une sueur de glâce:
Mon ame eſt en deſondre, & mon esprit confus;	Mon âme est en désondre, et mon esprit confus;
Et ie ſuis en un point- ou iamats iene fus.	Et ici suis en un point- ou jamats iene fus.
LISANDRE.	LISANDRE.
Maïs comme a Paiuſouffrir vne entrepriſe tellé, La prudence dupere?	Maïs comme a Paiusouffrir une entreprise telé, La prudence dupère?
& que n'agiſſoit elle?	et que n'agissait elle?
FLORESTOR.	FLORÊTOR.
Le Prince est en des lieux où l’on n’a point ſongé:	Le Prince est en des lieux où l'on n'a point songé:
Il partit de la Cour ſans prendre ſon congé;	Il partit de la Cour sans prendre son congé;
Et fit ſçauoir apres, que ſoname affligée, Vouloit par le voyage eſtre vn peu ſoulagée, Qu’il s’alloit diuertir d’vnextreme ſoucy;	Et fit sçauoir après, que sonme affligée, Voulait par le voyage être un peu soulagée, Qu'il s'allait divertir d'unextreme souci;
Orcomme eust-on penſé qu’il peuſt entrer icy?	Orcomme eût-on pensé qu'il pût entrer ici?
Ny qu’il en euſt deſſein, veu la mortelle haine, nugmuuu pour luy dans luvum ue la Reine?	Ni qu'il en eût dessein, vu la mortelle haine, nugmuuu pour lui dans luvum ue la Reine?
Et m’ayant deffendu d’en aduertir le Roy.	Et m'ayant défendu d'en avertir le Roi.
Le moyen de le croire au terme où ie le voy?	Le moyen de le croire au terme où tu le vois?
LISANDRE.	LISANDRE.
Tout dependaujourd’huy de la bonté celeſte:	Tout dépendaujourd'hui de la bonté céleste:
Son espoir eſt douteux, le danger manifeſte;	Son espoir est douteux, le danger manifeste;
Et s’il ne veut ſortirde ſonenchantement, Floreſtor, vous & moy trauaillons vainement.	Et s'il ne veut sortirde sonenchantement, Florêtor, vous et moi travaillons vainement.
Mais puiſque l’ombre regne, & que, chacun reſe, Allons voir ſi le Prince aura faict quelque cho.	Mais puisque l'ombre règne, et que, chacun rée, Allons voir si le Prince aura fait quelque cho.
fl ſii 268.	fl sii 268.
SCENE SECONDE.	SCÈNE SECONDE.
ROSEMONDE, ANTHENOR, MELANIRE.	ROSEMONDE, ANTHENOR, MELANIRE.
ROSEMONDE.	ROSEMONDE.
atnbum Dumcelamnenor;	atnbum Dumcelamnénor;
que m'auez vous fie appris?	que m'avez -vous fie appris?
M.	M.
Ainſi que voſtre eſprit, le mien reſte ſurpris.	Ainsi que votre esprit, le mien reste surpris.
ROSEMONDE.	ROSEMONDE.
Ce prodige incroyab le eſt vne menterie, Qui nous vient de l’enfer, qu’inſpire vne Furie.	Ce prodige incroyab le est une menterie, Qui nous vient de l'enfer, qu'inspire quelque Furie.
ANTHENOR.	ANTHENOR.
Madame, elle m’a dit qu’il est en ſon pouuoir, De prouuer ce prodige en vous le faiſant voir.	Madame, elle m'a dit qu'il est en son pouvoir, De prouver ce prodige en vous le faisant voir.
B.	B.
1I	1I
ROSEMONDE.	ROSEMONDE.
Certes elle à raiſon, car aux grandes merueilles, Il nous faut pour teſmoins les yeux & les oreilles:	Certes elle à raison, car aux grandes merveilles, Il nous faut pour témoins les yeux et les oreilles:
Et quelques vrais qu’ils ſoient, mon cœur morne & 1.	Et quelques vrais qu'ils soient, mon cœur morne et 1.
412 Aura peine à les croire, en voyant celle-cy.	412 Aura peine à les croire, en voyant celle-cy.
MELANIRE.	MELANIRE.
Si voſtre Ivraſeſtes appaije, & ſe conjoie, Elle verra bien toſt l’effect de ma parole.	Si votre Ivrasestes appaije, et se conjoie, Elle verra bien tôt l'effet de ma parole.
ANTHRNOR.	ANTHRNOR.
Ie vous deſcouure vn mal que ie pouuois celer;	Je vous découvre un mal que sans pouvais celer;
Mais les loix de l’Eſtat m’ont forcé de parler:	Mais les lois de l'État m'ont forcé de parler:
Loix qu’vn Prince ſeuere a luy meſme ordonnées, Et qui n'eſpargnent point les teſtes couronnées:	Lois qu'un Prince sévère a lui mesme ordonnées, Et qui n'épargnent point les têtes couronnées:
Qui veulent qu’vn telerime ait ſa punition, Sans excepter de rang, ny de condition.	Qui veulent qu'un telerime ait sa punition, Sans excepter de rang, ni de condition.
ROSEMONDE.	ROSEMONDE.
O Mere infortunée!	Ô Mère infortunée!
ô fille deteſtable!	ô fille détestable!
Si tout ce qu’on me dit ſe treuite veritable, Quel ſupplice aſſez grand ſuffit à te punir, D’vn crime qui me tuë à m’en reſſouuenir?	Si tout ce qu'on me dit se treuite véritable, Quel supplice assez grand suffit à te punir, D'un crime qui me tue à m'en ressouvenir?
Vn ſimple iardinier ſatisfait ton enuie:	Un simple jardinier satisfait ton envie:
Ha!	Ha!
cét infame choix te va couster la vie;	cet infâme choix te va coûter la vie;
Celle dont tu la tiens ne te la peut ſauuer:	Celle dont tu la tiens ne te la peut sauver:
Car ce crime eſt tropnoir, ton ſang le doit lauer.	Car ce crime est tropnoir, ton sang le doit lauer.
Et l’ardeur illicite oùs engage ton ame, Pour te purifier demande vne autre flame;	Et l'ardeur illicite oùs engage ton âme, Pour te purifier demande une autre flamme;
Qui rempliſſe d’effroy l’eſprit de tous les miens, Et qui ſauue l’honneur du Sceptre que ie tiens;	Qui remplisse d'effroi l'esprit de tous les miens, Et qui sauve l'honneur du Sceptre que personne tiens;
Qui ne doit point aller en ta main trop pollué:	Qui ne doit point aller en ta main trop polué:
C’en eſt faict, il le faut, & i’y ſuis reſoluë;	C'en est fait, il le faut, et j'y suis résolue;
Qu'elle meure l’infame, & que le chaſtiment, Meſure ſa rigueurà ſon aueuglement.	Qu'elle meure l'infâme, et que le châtiment, Mesure sa rigueurà son aveuglement.
