A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC DE NICIELIEC.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DE NE NICIELIC.
HORACE.	HORACE.
Seche tes pleurs, Sabine, ou les cache à ma veuë, Rends toy digne du nom de ma chaſte moitié, Et ne m’accable point d’vne indigne pitié.	Séche tes pleurs, Sabine, ou les cache à ma vue, Rends toi digne du nom de ma chaste moitié, Et ne m'accable point d'une indigne pitié.
Si l’abſolu pouuoir d’vne pudique flame (ame, Ne nous laiſſe à tous deux qu’vn penſer & qu’vne C’eſt à toy d’eſleuer tes ſentiments aux miens, Non à moy de deſcendre à la honte des tiens.	Si l'absolu pouvoir d'une pudique flamme (ame, Ne nous laisse à tous deux qu'un penser et qu'une C'est à toi d'élever tes sentiments aux miens, Non à moi de descendre à la honte des tiens.
Ie t’ayme & ie cognoy la douleur qui te preſſe, Embraſſe ma vertu pour vaincre ta foibleſſe, Participe à ma gloire au lieu de la ſouiller, Taſche à t’en reueſtir, non à m’en deſpoüiller.	Je t'aime et ie connais la douleur qui te presse, Embrasse ma vertu pour vaincre ta faiblesse, Participe à ma gloire au lieu de la souiller, Tâche à t'en reuestir, non à m'en dépouiller.
Et tu de mon honneur ſi mortelle ennemie Que ie te plaiſe mieux tombé dans l’infamie?	Et tu de mon honneur si mortelle ennemie Que ie te plaise mieux tombé dans l'infamie?
Sois plus femme que ſœur, & te reglant ſur moy Fay toy de mon exemple vne immuable loy.	Sois plus femme que sœur, et te réglant sur moi Fais toi de mon exemple une immuable loi.
SA	SA
SABINE.	SABINE.
Cherche pour t’imiter des ames plus parfaites, Ie ne t’impute point les pertes que i’ay faites, I’en ay les ſentiments que ie dois en auoir, Et ie m’en prends au ſort pluſtoſt qu’à ton deuoir.	Cherche pour t'imiter des âmes plus parfaites, Je ne t'impute point les pertes que j'ai faites, J'en ai les sentiments que personne dois en avoir, Et ainsi m'en prends au sort plutôt qu'à ton devoir.
Mais auſſi ie renonce à la vertu Romaine Si pour la poſſeder ie dois eſtre inhumaine, Et ne puis voir en moy la femme du vainqueur Sans y voir des vaincus la déplorable ſœur.	Mais aussi ici renonce à la vertu Romaine Si pour la posséder tu dois avoir inhumaine, Et ne puis voir en moi la femme du vainqueur Sans y voir des vaincus la déplorable sœur.
Prenons part en public aux victoires publiques, Pleutons dans la maiſon nos malheurs domeſtiques, Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne ſoht que pour nous.	Prenons part en public aux victoires publiques, Plutons dans la maison nos malheurs domestiques, Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne souht que pour nous.
Pourquoy veux tu, cruel, agir d’vn autre ſorte?	Pourquoi veux tu, cruel, agir d'un autre sorte?
Laiſſe en entrant icy tes lauriers à la porte.	Laisse en entrant ici tes lauriers à la porte.
cours Meſle tes pleurs aux miens.	cours Mêle tes pleurs aux miens.
Quoy-ces laſches diſN’arment point ta vettu contre mes triſtes iours !	Quoi-ces lâches disN'arment point ta vétu contre mes tristes jours !
Mon crime redoublé n’eſmeut point ta colere!	Mon crime redoublé n'émut point ta colère!
Que Camille eſt heureuſe!	Que Camille est heureuse!
elle a peu te déplaire, Elle a receu de toy ce qu’elle a pretendu, Et recouure là bas tout ce qu’elle a perdu.	elle a pu te déplaire, Elle a reçu de toi ce qu'elle a prétendu, Et recouvre là bas tout ce qu'elle a perdu.
ſe, Cher eſpoux, cher auteur du tourment qui me preſEſcoute la pitié li ta colere ceſſe, Exerce l’vn ou l’autre apres de tels malheurs A punir ma foibleſſe, ou finir mes douleurs, Io uoiante la hiort pour grace ou pour ſupplice, Qu’elle ſoit vn effet d’amour ou de iuſtice, N’importe, tous ſes traits me ſembleront fort doux Si ie les voy partir de la main d’vn eſpoux.	se, Cher époux, cher auteur du tourment qui me presEscoute la pitié li a colère cesse, Exerce l'un ou l'autre après de tels malheurs A punir ma faiblesse, ou finir mes douleurs, Io oiante la hiort pour grâce ou pour supplice, Qu'elle soit un effet d'amour ou de justice, N'importe, tous ses traits me sembleront fort doux Si après les vois partir de la main d'vn époux.
HORACE.	HORACE.
Quelle iniuſtice aux Dieux d’abandonner aux femmes Vn empire ſi grand ſur les plus belles ames, Et de ſe plaire à voir de ſi foibles vainqueurs Regner ſi puiſſamment ſur les plus nobles cœurst A quel point ma vertu deuient elle reduite?	Quelle injustice aux Dieux d'abandonner aux femmes Un empire si grand sur les plus belles âmes, Et de se plaire à voir de si faibles vainqueurs Règner si puissamment sur les plus nobles cœurt A quel point ma vertu devient elle réduite?
Rien ne la ſçauroit plus garantir que la fuite, Adieu, ne me ſuy point, ou retiens tes ſouſpirs.	Rien ne la saurait plus garantir que la fuite, Adieu, ne me suis point, ou retiens tes soupirs.
SABINE ſeule.	SABINE seule.
O colere, ô pitié, ſourdes à mes deſirs!	Ô colère, ô pitié, sourdes à mes désirs!
laſſe Vous negligez mon crime, & ma dou’eur vous Et ie n’obtiens de vous ny ſupplice, ny grace.	lasse Vous négligez mon crime, et ma douteur vous Et tu n'obtiens de vous ni supplice, ni grace.
Allons y par los pieurs raire elicor vn effort Et n’employons aprés que nous à noſtre mort.	Allons y par los pieurs raire elicor un effort Et n'employons après que nous à notre mort.
Fin dls quarrieſme Acte.	Fin dès quarrième Acte.
ACTEV.	ACTEU.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le vieil HORACE, HORACE.	Le vieil HORACE, HORACE.
Ques(Or Le vieil HORACE.	Ques(Or Le vieil HORACE.
Etirons nos regards de cét obiet funeſte Pour admirer icy le iugement celeſte, Quand la gloite nous enfle il ſçait bien comme il faut Confondie noſtre orgueil qui s’eſleue trop haut, Nos plaiſirs les plus doux ne vont point ſans triſteſſe, Il meſle à nos vertus des marques de foibleſſe, Et rarement accorde à noſtre ambition, L’entier & pur honneur d’vne bonne action, Ie ne plains point Camille, elle eſtoit criminelle, Ie me tiens plus à plaindre, & ie te plains plus qu’elle, (main, Moy, d’auoir mis au iour vn cœur ſi peu RoToy, d’auoir par ſa mort deshonnoré ta main.	Etirons nos regards de cet objet funeste Pour admirer ici le jugement celeste, Quand la gloite nous enfle il sait bien comme il faut Confondie notre orgueil qui s'esleue trop haut, Nos plaisirs les plus doux ne vont point sans tristesse, Il mêle à nos vertus des marques de faiblesse, Et rarement accorde à notre ambition, L'entier et pur honneur d'une bonne action, Je ne plains point Camille, elle était criminelle, Je me tiens plus à plaindre, et un te plains plus qu'elle, (main, Moi, d'avoir mis au jour un cœur si peu Roeu, si peu par d' avoir par sa main.
le ne la trouue point iniuſte ny trop prompte, Majs Mais tu pouuois, mon fils, t’en eſpargner la honte, Son crime, quoy qu’enorme & digne du treſpas, Eſtoit mieux impuny que puny par ton bras.	le ne la trouve point injuste ni trop prompte, Maj à tu pouuois, mon fils, t'en épargner la honte, Son crime, quoi qu’énorme et digne du trépas, Était mieux impuni que puni par ton bras.
HORACE.	HORACE.
Diſpoſés de mon ſort, les loix vous en ſont maiſtre, (naiſtre, I’ay creu deuoir ce coup aux lieux qui m’ont veu Si mon zele au pays vous ſemble criminel, S’il m’en faut receuoir vn reproche eternel, Si ma main en deuient honteuſe & profanée, Vous pouuez d’vn ſeul mot trancher ma deſtinée, Reprenez voſtre ſang de qui ma laſcheté A ſi mal à propos ſoüillé la puréte, Ma main n’a peu ſouffrir de crime en voſtre race, Ne ſouffrez point de tache en la maiſon d’Horace, C’eſt en ces actions dont l’honneur eſt bleſſé Qu’vn pere tel que vous ſe monſtre intereſſé, Son amour doit ſe taire ou toute excuſe eſt nulle, Luy meſme il y prend part lors qu’il les diſſimule, Et de ſa propre gloire il fait trop peu de cas Quand il ne punit point ce qu’il n’approuue pas.	Disposez de mon sort, les lois vous en sont maître, (naistre, J'ai cru deuoir ce coup aux lieux qui m'ont vu Si mon zèle au pays vous semble criminel, S'il m'en faut recevoir un reproche éternel, Si ma main en devient honteuse et profanée, Vous pouvez d'un seul mot trancher ma destinée, Reprenez votre sang de qui ma lascheté A si mal à propos soüillé la puréte, Ma main n'a pu souffrir de crime en votre race, Ne souffrez point de tache en la maison d'Horace, C'est en ces actions dont l'honneur est blessé pere tel que vous se monstre interessé, Son amour doit se taire ou toute excuse est nulle, même il y prend part lors il les dissimule, Et de sa propre gloire il fait trop peu de cas Quand il ne punit point ce il approuue pas.
Le vieil HORACE.	Le vieil HORACE.
Il n’vſe pas touſiours d’vne rigueur extréme, Il eſpargne ſes fils bien ſouuent pour ſoymeſme, da vieilleſle lur eux ayme dtouiteni, Et ne les punit point pour ne ſe pas punir Ie te voy d’vn autre œil que tu ne te regardes, (des.	Il n'une pas toujours d'une rigueur extrême, Il épargne ses fils bien souvent pour soymesme, da vieillesse lur eux âme douiteni, Et ne les punit point pour ne se pas punir Je te vois d'un autre ir que tu ne te regardes, (des.
le rguy, mlais le ſeoy vient, le vois entrerles gar	le rgui, mêlais le seoy vient, le vois entrerles gar
SCENE II.	SCÈNE II.
TVLLE, Le vieil HORACE, VALERE, HORACE, Troupe des Gardes.	TULLE, Le vieil HORACE, VALÈRE, HORACE, Troupe des Gardes.
Le vieil HORACE.	Le vieil HORACE.
A HSire, vn tel honneur à trop d’excez pour IY moy, (Roy, Ce n’eſt point en ce lieu que ie dois voir mon Permettez qu’à genoux.	À HYdire, un tel honneur à trop d'excès pour IY moi, (Roi, Ce n'est point en ce lieu que je dois voir mon Permettez qu'à genoux.
TVL	TUL
TVLLE.	TULE.
Non, luez-vous, mon pere, Ie fay ce qu’en ma place vn bon Prince doit faire.	Non, luez-vous, mon père, Je fais ce qu'en ma place un bon Prince doit faire.
Vn ſi rare ſeruice, & ſi fort important Veut l’honneur le plus rare, & le plus eſclatant:	Un si rare service, et si fort important Veut l'honneur le plus rare, et le plus éclatant:
Vous en auiez deſia ſa parole pour gage, Ie ne l’ay pas voulu differer dauantage.	Vous en aviez déjà sa parole pour gage, Je ne l'ai pas voulu différer davantage.
I’ay ſçeu par ſon rapport ( & ie n’en doutois pas) Comme de vos deux fils vous portez le treſpas.	J'ai su par son rapport ( et ie n'en doutais pas) Comme de vos deux fils vous portez le trépas.
Et que deſia voſtre ame eſtant trop reſoluë Ma conſolation vous ſeroit ſuperfluë:	Et que déjà votre âme étant trop résolue Ma consolation vous serait superflue:
Mais ie viens de ſçauoir quel eſtrange malheur D’vn fils victorieux a ſuiuy la valeur, Et que ſon trop d’amour pour la cauſe publique Aur leu flariirit loupere otte vnle fille unique, Ie ſçay que peut ce coup ſur l’eſprit le plus fort, Et le doute comment vous portez cette mort.	Mais petit viens de savoir quel étrange malheur D'un fils victorieux a suivi la valeur, Et que son trop d'amour pour la cause publique Aur leu flariirit loupère otte vnle fille unique, Je sais que peut ce coup sur l'esprit le plus fort, Et le doute comment vous portez cette mort.
Le vieil HORACE.	Le vieil HORACE.
Sire, auec deſplaiſir, mais auec patience.	Sire, avec déplaisir, mais Seigneur patience.
Sire, puiſque le Ciel entre les mains des Rois Depoſe ſa iuſtice & la force des loix, Et que l’Eſtat demande aux Princes legitimes Des prix pour les vertus, des peines pour les crimes.	Sire, puisque le Ciel entre les mains des Rois Dépose sa justice et la force des lois, Et que l'État demande aux Princes légitimes Des prix pour les vertus, des peines pour les crimes.
couffrez	couffrez
TVLLE.	TULE.
C’eſt l’effet vertueux de voſtre experience, Beaucoup par vn long aage ont appris comme vous Que le malheur ſuccede au bonheur le plus doux, Peu ſçauent comme vous s’appliquer ce remede, Et dans leut intereſt toute leur vertu cede.	C'est l'effet vertueux de votre expérience, Beaucoup par un long aage ont appris comme vous Que le malheur succède au bonheur le plus doux, Peu savent comme vous s'appliquer ce remède, Et dans lut intérêt toute leur vertu cède.
Si vous pouuez trouuer dans ma compaſſion Quelque ſoulagement pour voſtre affliction, Ainſi que voître mal ſçachez qu’elle eſt extréme, Et que Tulle vous plaint autant comme il vous ayme.	Si vous pouvez trouver dans ma compassion Quelque soulagement pour votre affliction, Ainsi que voître mal sachez qu'elle est extrême, Et que Tulle vous plaint autant comme il vous aime.
VALERE.	VALÈRE.
Souffrez qu’vn bon furet vous face ſouuenir.	Souffrez qu'un bon furet vous face souvenir.
Que vous plaignez beaucoup ce qu’il vous faut punit, Souffiez.	Que vous plaignez beaucoup ce qu'il vous faut punit, Souffiez.
Le vieil HORACE.	Le vieil HORACE.
Quoy?	Quoi?
qu’on enuoye vn vainqueur au ſupplice?	qu'on envoie un vainqueur au supplice?
FVLLE.	FULE.
Permettez, qu’il acheue, & ie feray iuſtice, (lieu, I’ayme à la rendre à tous, à toute heure, en tout C’eſt par elle qu’vn Roy ſe fait vn demy Dieu, Et c’eſt dont ie vous plains qu’apres vn tel ieruice.	Permettez, qu'il achève, et un ferai justice, (lieu, J'aime à la rendre à tous, à toute heure, en tout C'est par elle qu'un Roi se fait un demi Dieu, Et c'est dont je vous plains qu'après un tel jervice.
On puiſſe contre luy me demander iuſtice.	On puisse contre deux me demander justice.
VALERE.	VALÈRE.
Soufftez donc ô grand Roy le plus iuſte des Rois, Que tous les gens de bien vous parlent par ma voix.	Soufftez donc ô grand Roi le plus juste des Rois, Que tous les gens de bien vous parlent par ma voix.
tent Non que nos cœurs ialoux de ſes honneurs s’itriS’il en reçoit beaucoup ſes hauts faits les meritent, Adiouſtez-y pluſtoſt que d’en deminuer, Nous ſommes tous encor preſts d’y contribuer;	tent Non que nos cœurs jaloux de ses honneurs s'itriS’il en reçoit beaucoup ses hauts faits les méritent, Adioustez-y plustost que d'en deminuer, Nous sommes tous encor prêts d'y contribuer;
Mais puiſque d’vn tel crime il s’eſt monſtré capable Ible, Qu’il triomphe en vainqueur & periſſe en coupaArreſtez ſa fureur, & ſauuez de ſes mains Si vous voulez regner le reſte des Romains, Il y va de la perte, ou du ſalut du reſte, Veu le ſang qu’a verſé cette guerre funeſte, (ſtins Et tant de nœuds d’Hymen dont nos heureux deOnt vny ſi ſouuent des peuples ſi voiſins, Peu de nous ont ioüy d’vn ſuccés ſi proſpere Qu’ils n’ayent perdu dans Albe vn couſin, vn beau fiere, (pleurs Vn oncle, vn grendre meſme, & ne donnent des Dans le bonheur public à leurs propres m.	Mais puisque d'un tel crime il s'est montré capable Ible, Qu'il triomphe en vainqueur et périsse en coupaArrestez sa fureur, et sauvez de ses mains Si vous voulez régner le reste des Romains, Il y va de la perte, ou du salut du reste, Veu le sang qu'a versé cette guerre funeste, (stins Et tant de nœuds d'Hymen dont nos heureux deOnt uni si souvent des peuples si voisins, Peu de nous ont ioüy si pros de nous ont J'ils n'aient perdu dans Albe un cousin, beau fière, (pleurs oncle, un beau même, et ne donnent des Dans et ne public à des bon m.
lheurs.	leurs.
Si c’eſt offenſer Rome & que l’heur de ſes armes L’authoriſe à punir ce crime de nos larmes;	Si c'est offenser Rome et que l'heur de ses armes L'autorise à punir ce crime de nos larmes;
HURACE Quel ſang eſpargnera ce barbare vainqueur Qui ne pardonne pas à celuy de ſa ſœur, Et ne peut excuſer la douleur vehemente Que la mort d’vn amant iette au cœur d’vne amante, (beau Quand preſts d’eſtre eſclairez du nuptial flamElle voit auec luy ſon eſpoir au tombeau?	HURACE Quel sang épargnera ce barbare vainqueur Qui ne pardonne pas à celui de sa sœur, Et ne peut excuser la douleur véhémente Que la mort d'un amant jette au cœur d'une amante, (beau Quand prêts d'être éclairez du nuptial flammes voit avec lui son espoir au tombeau?
Faiſant triompher Rome il ſe l’eſt aſſeruie Il a ſur nous vn droit & de moit & de vie, Et nos iours criminels ne pourront plus durez Qu’autant qu’à ſa clemence il plaira l’endurer.	Faisant triompher Rome il se l'est asservie Il a sur nous un droit et de moit et de vie, Et nos jours criminels ne pourront plus durez Qu'autant qu'à sa clémence il plaira l'endurer.
le pourrois adiouſter aux intereſts de Rome Combien vn pateil coup eſt indigne d’vn homme, Ie pourrois demander qu’on miſt deuant vos yeux Ce grand & rare exploit d’vn bras victorieux, Vous vertiez vn beau ſang pour accuſer ſa rage D’vn frere-ſi cruebreiaillir au viſage, (uoit, Vous verriez des horreurs qu’on ne peut conceSon aage & ſa beauté vous pourroient eſmouuoit, Mais ie hay ces moyens qui ſentent l’artifice, Vous auez à demain remis le ſacrifice, Penſez vous que les Dieux vangeurs dés innocents, D’vne main parricide acceptent de l’encens?	le pourrais ajouter aux intérêts de Rome Combien un pateil coup est indigne d'un homme, Je pourrais demander qu'on mît devant vos yeux Ce grand et rare exploit d'être bras victorieux, Vous m' un beau sang pour accuser sa rage D'un frère-si cruebreaillir au visage, (vait, Vous verriez des horreurs qu'on ne peut conceSon aage et sa beauté vous pourraient esmouuoit, Pourraient ie Mais ces moyens qui sentent l'artifice, Vous avez à demain remis le sacrifice, Pensez -vous que les Dieux vengeurs dés innocents, D'une main pare acceptent de 'encens?
Sur vous ce ſacrilege attireroit ſa peine, Ne le conſiderez qu’en obiet de leur haine, Et croyez auec nous qu’en tous ſes trois combats Le bon deſtin de Rome à plus fait que ſon bras, Puiſque ces meſmes Dieux autheurs de ſa victoire Ont permis qu’auſſi-toſt il en ſoüillaſt la gloire, Et qu’vn ſi grand courage apres ce noble effort Fuſt digne en meſme iour de triomphe & de mort.	Sur vous ce sacrilège attirerait sa peine, Ne le considérez qu'en objet de leur haine, Et croyez avec nous qu'en tous ses trois combats Le bon destin de Rome à plus fait que son bras, Puisque ces mêmes Dieux auteurs de sa victoire Ont permis qu'aussitôt il en souillât la gloire, Et qu'un si grand courage après ce noble effort Fût digne en même jour de triomphe et de mort.
Sire, c’eſt ce qu’il faut que voſtre arreſt decide, En ce lieu Rome a veu le premiet parricide, La ſuitte en eſt à craindre, & la haine des Cieux, Sauuez nous de ſa main & redoutez les Dieux.	Sire, c'est ce qu'il faut que votre arrêt décide, En ce lieu Rome a vu le premiet parricide, La suitte en est à craindre, et la haine des Cieux, Sauvez nous de sa main et redoutez les Dieux.
TVLLE.	TULE.
Deſſendez vous, nloracer	Dessendez -vous, nloracer
HORACE.	HORACE.
A quoy bon me deffendre?	À quoi bon me défendre?
Vous ſçauez l’a ction, vous le venęz d’entendre, Ce que vous en croyez me doit eſtre vne loy:	Vous savez l'a ction, vous le venz d'entendre, Ce que vous en croyez me doit être une loi:
Sire, on ſe defend mal contre l’aduis d’vn Roy, Et le plus innocent que le Ciel ait veu naiſtre Quand il le croit coupable, il commence de l’eſtre, C’eſt crime qu’enuers luy le vouloir excuſer.	Sire, on se défend mal contre l'avis d'un Roi, Et le plus innocent que le Ciel ait vu naître Quand il le croit coupable, il commence de l'être, C'est crime qu'envers lui le vouloir excuser.
Noſtre ſang eſt ſon bien, il en peut diſpoſer, Et c’eſt à nous de croire alors qu’il en diſpoſe Qu’il ne s’en priue point ſans vne iuſte cauſe.	Notre sang est son bien, il en peut disposer, Et c'est à nous de croire alors qu'il en dispose Qu'il ne s'en prive point sans une juste cause.
Sire, prononcez donc, ie ſuis preſt d’obeyt, D’autres ayment la vie, & ie la dois hair.	Sire, prononcez donc, je suis prêt d'obéit, D'autres aiment la vie, et que la dois haïr.
Ie ne reproche point à l’ardeur de Vale reQu’en amant de la ſœur il accuſe ſe frere, Mes vœux auec les ſiens conſpirent auiourd’huy Il demande ma mort, ie la veux comme luy;	Je ne reproche point à l'ardeur de Vale reQu'en amant de la sœur il accuse se frère, Mes vœux avec les siens conspirent aujourd'hui Il demande ma mort, ainsi la veux comme lui;
Vn ſeul point entre nous met cette difference Que mon honneur par là cherche ſon aſſeurance, Et qu'à ce meſme but nous voulons arriuer Luy pour fleſtrit ma gloire, & moy pour la ſauuer.	Un seul point entre nous met cette différence Que mon honneur par là cherche son assurance, Et qu'à ce même but nous voulons arriver Lui pour flétrit ma gloire, et mo pour la sauver.
Sire, c’eſt tarement qu’ils s’offre vne matiere A monſtrer d’vn grand cœur la vertu toute entiere.	Sire, c'est tarement qu'ils s'offre une matière A montrer d'un grand cœur la vertu toute entière.
Suiuant l’occaſion elle agiſt plus ou moins Et paroiſt forte ou foible aux yeux de ſes teſmoins.	Suivant l'occasion elle agît plus ou moins Et paraît forte ou faible aux yeux de ses témoins.
Le peuple qui voit tout ſeulement par l’eſcorce Prend droit par ſes effets de iuger de ſa force, Et s’oſe imaginer par vn mauuais diſcours Que qui fait vn miracle en doit faite touſiours.	Le peuple qui voit tout seulement par l'écorce Prend droit par ses effets de juger de sa force, Et s'ose imaginer par un mauvais discours Que qui fait un miracle en doit faite toujours.
Apres vne action pleine, haute, éclatante, Tout- ce qui brille moins templit mal ſon attente, Il veut qu’on ſoit égal en tout temps, en tous lieux, Il n’examine point ſi lors on pouuoit mieux.	Après une action pleine, haute, éclatante, Tout- ce qui brille moins templit mal son attente, Il veut qu'on soit égal en tout temps, en tous lieux, Il n'examine point si lors on pouvait mieux.
Ny que s’il ne voit pas ſans ceſſe vne merueille,	Ni que s'il ne voit pas sans cesse une merveille,
20	20
L’occaſion eſt moindre & la vertu pareille.	L'occasion est moindre et la vertu pareille.
Son iniuſtice accable & deſtruit les grands noms, L’honneur des premiers faits ſe perd par les ſeconds, Et quand la renommée a paſſé l’ordinaire Si l’on n’en veut déchoir il ne faut plus rien faire.	Son injustice accable et détruit les grands noms, L'honneur des premiers faits se perd par les seconds, Et quand la renommée a passé l'ordinaire Si l'on n'en veut déchoir il ne faut plus rien faire.
Ie ne vanteray point les exploits de mon bras, Voſtre Maieſté, Sire, a veu mes trois combats, Il eſt bien mal aiſé qu’vn pareil les ſeconde, Qu’vne autre occaſion à celle-cy reſponde, Et que tout mon courage aprés de ſi grands coups Paruiennent à des ſuccés qui n’aillent au deſſous, Si bien que pour laiſſer vne illuſtre memoire La mort ſeule auiourd’huy peut conſeruer ma gloire, Encor la falloit-il ſi toſt que i’eus vaincu, Puiſque pour mon honneur i’ay deſia trop veſcu, Vn nomme tel que moy voit ſa gloire ternie Quand il tombe en peril de quelque ignominie, Et ma main auroit ſçeu deſia m’en garantir, Mais ſans voſtre congé mon ſang n’oſe ſortir, Comme il vous appartient, voſtre adveu doit ſe prendre, C’eſt vous le deſrober qu’autrement le reſpandre, Rome ne manque point de genereux guerriets, Aſſez d’autres ſans moy ſouſtiendront vos lauriers, Que voſtre Majeſté deſormais m’en diſpenſe, Et ſi ce que i’ay fait vaut quelque recompenſe Permertez, ô grand Roy que de ce bras vainqueur Ie m’immole à ma gloire, & non pas à ma ſœur.	Je ne vanterai point les exploits de mon bras, Votre Maiestéà-moi, à vu mes trois combats, Il est bien mal aisé qu'Honneur pareil les seconde, Qu'une autre occasion à celle-cy réponde, Et que tout mon courage après de si grands coups Parviennent à des succès qui n'aillent au dessous, Si bien que pour laisser une illustre mémoire La mort seule aujourd'hui peut conserver ma gloire, Encor la fallait-il si tôt que j'eus vaincu, Puisque pour lui honneur j'ai déjà trop vécu, nomme tel que moi voit sa gloire ternie Quand il tombe en péril de quelque ignominie, Et ma main auroit sçeu desya en fi, Mais sans vôtre congé mon sang nose sortir, Mme il vous appartient, vôtre adveu doit en prendre, est vous le dérober quautrement le répandre, Rome ne m point de généreux ait, Assez autres sa moi soustiendront vos lauriers, Te vôtre Majesté désormais en ie, Et si ce que yay fait vaut quelque tombe Permertez, en Roy pu de ce bras ie Ie immole ma gloire, et non pas ma sœur.
SCENE	SCÈNE
TRAGEDIE.	TRAGÉDIE.
SCENE III.	SCÈNE III.
TVLLE, VALERE, Le vieil HORACE, MONACE, SADINE, IVLIE,	TULE, VALÈRE, Le vieil HORACE, MONACE, SADINE, IVLIE,
SA BINE.	SA BINE.
Ire, eſcoutez Sabine, & voyez dans ſon ame DLes douleurs d’vne ſœur, & celles d’vne femme, Qui toute deſolée à vos ſacrez genoux Pleure pour ſa famille & craint pour ſon eſpoux.	Ire, écoutez Sabine, et voyez dans son âme DLes douleurs d'une sœur, et celles d'une femme, Qui toute désolée à vos sacrés genoux Pleure pour sa famille et craint pour son époux.
Ce n’eſt pas que ie vueille auec cét artifice Deſtober vn coupable au bras de la iuſtice, (tel, Quoy qu’il ait fait pour vous, traitez-le comme Et puniſſez en moy ce noble criminel.	Ce n'est pas que ici veuille avec cet artifice Destober un coupable au bras de la justice, (tel, Quoi qu'il ait fait pour vous, traitez-le comme Et punissez en moi ce noble criminel.
De mon ſang malheureux expiés tout ſon crime, Vous ne changerez point pour cela de victime, Ce n’en ſera point prendre vne iniuſte pitié, Mais en ſacrifier la plus chere moitié.	De mon sang malheureux expiez tout son crime, Vous ne changerez point pour cela de victime, Ce n'en sera point prendre une injuste pitié, Mais en sacrifier la plus chère moitié.
Les nœuds de l’Hymenée, & ſon amour extréme Font qu’il vit plus en moy qu’il ne vit en luy-meſme, Et ſi vous m’accordez de mourir auiourd’huy Il mourra plus en moy qu’il ne mouuroit en luy.	Les nœuds de l'Hyménée, et son amour extrême Font qu'il vit plus en moi qu'il ne vit en lui-même, Et si vous m'accordez de mourir aujourd'hui Il mourra plus en moi qu'il ne mouvrait ena luy.
La mort que ie demande & qu’il faut que i’obtienne Augmentera ſa peine, & finira la mienne.	La mort que je demande et qu'il faut que j'obtienne Augmentera sa peine, et finira la mienne.
Sire, voyez l’excez de mes triſtes ennuis Et l’effroyable eſtat où mes iours ſont reduits, Quelle horteur d’embraſſer vn hõme dont l’eſpée De toute ma famille a la trame coupée, Et quelle impieté de hair vn eſpoux Pour auoir bien ſeruy les ſiens, l’Eſtat, & vous?	Sire, voyez l'excès de mes tristes ennuis Et l'effroyable état où mes jours sont réduits, Quelle horteur d'embrasser un homme dont l'épée De toute ma famille à la trame coupée, Et quelle impiété de haïr un époux Pour avoir bien servi les siens, l'État, et vous?
Aymer un-bras ſoüillé du ſang de tous mes freres!	Aimer un-bras soüillé du sang de tous mes frères!
N’aymer pas vn mary qui finit nos miſeres!	N'aimer pas un mari qui finit nos misères!
Sire, deliurez-moy par vn heureux treſpas Des crimes de l’aymer, & de ne l’aymer pas.	Sire, délivrez-moi par un heureux trépas Des crimes de l'aimer, et de ne l'aimer pas.
*e.	*ée.
I'en nommeray l’arreſt vne faueur bien grande, Ma main peut me donner ce que ie vous demande:	J'en nommerai l'arrêt une faveur bien grande, Ma main peut me donner ce que ici vous demande:
Mais cet reſpas en fin me ſera bien plus doux Si ie puis de ſa honte affranchir mon eſpoux, Si ie puis par mon ſang appaiſer la colere Des Dieux qu’a peu faſcher ſa vertu trop ſeuere, Satisfairé en mourant aux manes de ſa ſœur.	Mais cet respas en fin me sera bien plus doux Si je puis de sa honte affranchir mon époux, Si ieordre par mon sang apaiser la colère Des Dieux qu'a pu fâcher sa vertu trop sévère, Satisfairé en mourant aux mânes de sa sœur.
Et conſerver à Rome vn ſi bon defenſeur,	Et conserve à Rome un si bon défenseur,
Le vieil HORACE, Sire, c’eſt donc à moy de reſpondre à Valere Mes enfans auec luy conſpirent contre vn pere, Tous trois veulent me perdre, & s’arment ſans raiſon Contre ſi peu de ſang qui reſte en ma maiſon.	Le vieil HORACE, Sire, c'est donc à moi de répondre à Valère Mes enfants avec lui conspirent contre un père, Tous trois veulent me perdre, et s'arment sans raison Contre si peu de sang qui reste en ma maison.
Toy qui par douleurs à tes deuoirs contraires Veux quitter vn maty pour reioindre tes freres, Va pluſtoſt conſulter leurs manes genereux:	Toi qui par douleurs à tes devoirs contraires Veux quitter un mati pour rejoindre tes frères, Va plutôt consulter leurs mânes généreux:
Ils ſont morts, mais pour Albe, & s’en tiennent heureux.	Ils sont morts, mais pour Albe, et s'en tiennent heureux.
Puiſque le Ciel vouloit qu’elle fuſt aſſeruie, Si quelque ſentiment demeure apres la vie, Ce malheur ſemble moindre, & moins rudes ſes coups Voyant que tout l’honneur en retombe ſur nous.	Puisque le Ciel voulait qu'elle fût asservie, Si quelque sentiment demeure après la vie, Ce malheur semble moindre, et moins rudes ses coups Voyant que tout l'honneur en retombe sur nous.
