MONSIEVR	MONSIEUR
Mais de cela Guillot, il te faut conſoler, Seray-ie bien guery de ces contes en l’air?	Mais de cela Guillot, il te faut consoler, Serai-je bien guéri de ces contes en l'air?
CLIDAMANT.	CLIDAMANT.
Ne crains point ce malheur, i’en réponds ſur ma víe.	Ne crains point ce malheur, j'en réponds sur ma visue.
GVILLOT.	GUILOT.
1 En ce cas ie vous ſers, & i’en brûle d’enuie;	1 En ce cas Seigneur vous sers, et j'en brûle d'envie;
Mais, à condition que Meſſieurs vos eſprits, Ne s’ébaudiront plus aupres de Beatrix, Que vous me laiſſerez ma femme toute entiere Sans luy parler iamais en aucune maniere;	Mais, à condition que Messieurs vos esprits, Ne s'ébaudiront plus auprès de Beatrix, Que vous me laisserez ma femme toute entière Sans lui parler jamais en aucune manière;
Vous allez en amour plus viſte qu’au galop;	Vous allez en amour plus vite qu'au galop;
Chacun le ſien, dit-on, Monſieur, ce n’eſt pas trop?	Chacun le sien, dit-on, Monsieur, ce n'est pas trop?
Aimez voſtre moitié d’vne ardeur violente;	Aimez votre moitié d'une ardeur violente;
Mais laiſſez, s’il vous plaiſt, en repos ſa ſuiuante, Car vous eſtes vn homme à me ſaire vn affront, Qui me ſeroit ſenſible auſſi bien qu’à mon front.	Mais laissez, s'il vous plaît, en repos sa suivante, Car vous êtes un homme à me zaïre un affront, Qui me serait sensible aussi bien qu'à mon front.
CEIDMMANV I.	CEIDMANU I.
Cher Guillot, ne crains rien.	Cher Guillot, ne crains rien.
GVILLOT.	GUILOT.
Il faut que ie vous ſerue, Et ie ſuis tout à vous, ſans aucune reſerue;	Il faut que je vous serve, Et ici suis tout à vous, sans aucune réserve;
Mais il faut ſe haſter, car nos griſons hideux, Sont allez s’aſſurer des obtets de leurs reux, Et ſont preſentement tous deux chez vn Notaire, 11 pairer deux Contracrs qui ne vouis plaifont guere.	Mais il faut se hâter, car nos grisons hideux, Sont allez s'assurer des obtets de leurs reux, Et sont présentement tous deux chez un Notaire, 11 pairer deux Contracrs qui ne vouis plaifont guère.
CLIDAMANT.	CLIDAMANT.
O malheur!	Ô malheur!
mais dis-moy, comment t’y prendras-tu?	mais dis-moi, comment t'y prendras-tu?
GVILLOT.	GUILOT.
TOGA Alors qu’il faut fourber i’ay bien de la vertu, Ne ſoyez plus chagrin, ie ſçay bien les manieres, Au bon homme dans peu, de tailler des croupieres;	TOGA Alors qu'il faut fourber j'ai bien de la vertu, Ne soyez plus chagrin, Seigneur sais bien les manières, Au bon homme dans peu, de tailler des croupières;
S’il croit de voſtre obiet faire bientoſt ſon bien, Qu’il ferme bien la main, diſant qu’il ne tient rien.	S'il croit de votre objet faire bientôt son bien, Qu'il ferme bien la main, disant qu'il ne tient rien.
Monſieur, ie veux ma foy, deuenir bas d’eſtame, Si deuant qu’il ſoit nuit, vous n’auez voſtre femme.	Monsieur, ie veux ma foi, devenir bas d'étame, Si devant qu'il soit nuit, vous n'avez votre femme.
Mais i’aperçoy venir noſtre autre langoureux, Et bien, ne voyla pas deux hommes bien chanſeux?	Mais j'aperçois venir notre autre langoureux, Et bien, ne voilà pas deux hommes bien chanseux?
SCENE II.	SCÈNE II.
CLIDAMANT, LVCIDOR, GVILLOT, RAGOIINN.	CLIDAMANT, LUCIDOR, GUILOT, RAGOINN.
LVCIDOR.	LUCIDOR.
H!	H!
trop parfait amy, ſçay tu quelle eſt ma AY peine?	trop parfait ami, sais tu quelle est ma AY peine?
ODEE IARaIARe Ea Guillot m’a tout appris, & i’en ſuis à la geſne;	ODE IARaIARe Ea Guillot m'a tout appris, et j'en suis à la gêne;
Mais as-tu ſceu la mienne?	Mais as-tu su la mienne?
LVCIDOR.	LUCIDOR.
Oüy, mon cher Clidamant, Ragotin m’a tout dit, & c’eſt tout mon tourment.	Oui, mon cher Clidamant, Ragotin m'a tout dit, et c'est tout mon tourment.
Ah!	Ah!
que i’ay de douleurs.	que j'ai de douleurs.
CLIDAMANT.	CLIDAMANT.
an que l’ay de tinteſſes?	an que l'ai de tintesses?
LVCIDOR Ah!	LUCIDOR Ah!
mon cher Clidamant, perdrons-nous nos Maiſtreſſes?	mon cher Clidamant, perdrons-nous nos Maîtresses?
GVILLOT.	GUILOT.
Ah!	Ah!
Meſſieurs les crieurs, vous criez là du ton, m'inaueugre qurdiene de perdre ſon baſton!	Messieurs les crieurs, vous criez là du ton, m'inaveugre qurdiene de perdre son bâton!
Ah que ie ſuis à plaindre!	Ah que personne suis à plaindre!
ah malheur incroyable!	ah malheur incroyable!
S’il ne trent qu’à crier, le criray comme vn diable;	S'il ne trent qu'à crier, le crirai comme un diable;
Mais quãd nous poſſerions des cris iuſques aux Cieux, Dites-moy, voſtre affaire en iroit-elle mieux?	Mais quand nous posserions des cris jusques aux Cieux, Dites-moi, votre affaire en irait-elle mieux?
Non.	Non.
CLIDAMANT.	CLIDAMANT.
GVILEOL.	GUILEOL.
Ne criez donc plus;	Ne criez donc plus;
ſongez au neceſſaire;	songez au nécessaire;
Et puis que vos deux ſœurs pour vous veulent tour faire, Que vous eſtes certains qu’elles aimeront mieux Vous auoir, que d’auoir vos Riuaux chaſſieux, Malgré ce qu’ils feront pour vous oſter vos Belles, Ie pretens auiourd’huy vous liurer vos Femelles, Faiſant ce que ie dis, vous voyez par mon ſtec, Que nlos barbolis ir auronit qu'a s'en toichel ſe bec.	Et puis que vos deux sœurs pour vous veulent tour faire, Que vous êtes certains qu'elles aimeront mieux Vous avoir, que d'avoir vos Rivaux chassieux, Malgré ce qu'ils feront pour vous ôter vos Belles, Je prétends aujourd'hui vous livrer vos Femelles, Faisant ce que deux dis, vous voyez par mon stec, Que nôtre barbolis ir auronit qu'a s'en toichel se bec.
Ie veux eſtre pendu ſi ie ne les enleue.	Je veux être pendu si ici ne les enlève.
RAGOTIN.	RAGOTIN.
Voila tout iuſtement le chemin de la Greue.	Voilà tout justement le chemin de la Grève.
Mais dis-moy donc, comment pouuoir faire ce tour, Leur porte eſtant fermée & la nuit & le iour?	Mais dis-moi donc, comment pouvoir faire ce tour, Leur porte étant fermée et la nuit et le jour?
Tu ſçais que chacun d’eux ſa fille cadenaſſe, En eſtant plus ialoux qu’vn gueux de ſa beſaſſe?	Tu sais que chacun d'eux sa fille cadenasse, En étant plus jaloux qu'un gueux de sa béasse?
Ioint qu’ils ne donnent pas ſeulement à leurs fils, La liberté d’entrer ſans eux dans leurs logis.	Joint qu'ils ne donnent pas seulement à leurs fils, La liberté d'entrer sans eux dans leurs logis.
Qu’ils ſont meſme ialoux d’y voir entrer les ombres;	Qu'ils sont même jaloux d'y voir entrer les ombres;
Que pretens-tu donc faire en tous ces malẽcombres?	Que prétends-tu donc faire en tous ces malẽcombres?
GVILLOT.	GUILOT.
Ten iȩauray bren pelris, ce diorle, a mion hoſineur, Au meſtier de fourber ie ſuis vn grand Acteur:	Ten iȩauray bren pelris, ce diorle, a myon hosineur, Au métier de fourber Seigneur suis un grand Acteur:
MMais c’eſt trop ranonner, Minons ce langage, Car ie croy que i’entẽs nos Vieils troubles-menage.	MAis c'est trop ranonner, Minons ce langage, Car tu crois que j'ents nos Vieils troubles-ménagé.
CLIDAMANT à Guillot.	CLIDAMANT à Guillot.
Cher Guillot, ie n’ay plus d’eſperance qu’en toy.	Cher Guillot, je n'ai plus d'espérance qu'en toi.
GVILLOT.	GUILOT.
Monſieur, ne dites mot, & laiſſez faire à moy.	Monsieur, ne dites mot, et laissez faire à moi.
LVCIDOR.	LUCIDOR.
Ragot, à me ſeruir, il y va de ta gloire.	Ragot, à me servir, il y va de ta gloire.
MLLO RAGOTIN.	MLLO RAGOTIN.
Ah!	Ah!
nous nous entendons comme larrons en foire, Vous aurez dans ce ſoir vos Maiſtreſſes en mains, Laiſſez-nous ſeulement écouter leurs deſſeins.	nous nous entendons comme larrons en foire, Vous aurez dans ce soir vos Maîtresses en mains, Laissez-nous seulement écouter leurs desseins.
Ils ſe retirent en vn coin du Theatre.	Ils se retirent en un coin du Théâtre.
SCLIEIII.	SCLIEIII.
POLICANPE, DONMACE.	POLICANPE, DONMACE.
POLICARPE.	POLICARPE.
Nfin nos deux Contracts ſont en fort bonne Toime, Allons nous marier.	Nfin nos deux Contrats sont en fort bonne Toime, Allons nous marier.
GVILLOT, du coin du Theatre ou il eſt.	GUILOT, du coin du Théâtre ou il est.
Attendez-moy lous l’ofme, Si c'eſt voſtre deſſein de les prendre d’aſſaut, Vous ne ſoufflerez point, rien ne ſera trop chaut.	Attendez-moi lous l'ofâme, Si c'est votre dessein de les prendre d'assaut, Vous ne soufflerez point, rien ne sera trop chaut.
BONIFACE.	BONIFACE.
Tâchons donc, cher amy, pour contenter nos flâmes De metamorphoſer nos filles en nos femmes, Il ſera malaiſé, car dans leur action, Ie n’ay rien veu pour nous tantoſt qu’auerſion, 14 2 Et ie crois au diſcours que nous ont fait nos filles, Qu’elles nous ont donné noſtre ſac & nos quilles;	Tâchons donc, cher ami, pour contenter nos flammes De métamorphoser nos filles en nos femmes, Il sera malaisé, car dans leur action, Je n'ai rien vu pour nous tantôt qu'aversion, 14 2 Et ainsi crois au discours que nous ont fait nos filles, Qu'elles nous ont donné notre sac et nos quilles;
Mais quand elles deuroient encor nous mépriſer, Il faut bongré malgré nous en faire épouſer.	Mais quand elles devraient encor nous mépriser, Il faut bongré malgré nous en faire épouser.
POLICARPE.	POLICARPE.
Chez vn de nos amis menons les, Boniface, 211I Là nous nous marirons ſans qu’on nous embarraſſe;	Chez un de nos amis menons les, Boniface, 21I Là nous nous marirons sans qu'on nous embarrasse;
Car dans noſtre logis nos fils s’y trouueroient, Qui loin de nous aider nous en détourneroient, Voyant bien que leurs ſœurs n’en ſeroient pas contentes;	Car dans notre logis nos fils s'y trouveraient, Qui loin de nous aider nous en détourneraient, Voyant bien que leurs sœurs n'en seraient pas contentes;
AMmae Eſuitons donc, mon cher, ces choſes mal planantes;	AMmae Esuitons donc, mon cher, ces choses mal planantes;
Outre que vous ſçauez qu’on blâme les griſons, Dés qu’ils prennent deſſein d’épouſer des tendrons:	Outre que vous savez qu'on blâme les grisons, Dès qu'ils prennent dessein d'épouser des tendrons:
Et ſi l’on découuroit auant le pot aux roſes, La honte nous feroit laiſſer là toutes choſes.	Et si l'on découvrait avant le pot aux roses, La honte nous ferait laisser là toutes choses.
Les Poëtes du Pont-Neuf en feroient des Chanſons, Où nous ſerions bernez de toutes les façons;	Les Poètes du Pont-Neuf en feraient des Chansons, Où nous serions bernés de toutes les façons;
Si bien que l’on feroit par cette raillerie, Vne tache eternelle à toute noſtre vie.	Si bien que l'on ferait par cette raillerie, Une tache éternelle à toute nôtre vie.
Donc pour nous exempter d’vn ſi funeſte bruit, Emmenons les d’abord que nous verrons la nuit, Les tenant en nos mains bien & deument liécs, luſqu’à ce qu’elles ſoient auec nous mariées:	Donc pour nous exempter d'une si funeste bruit, Emmenons les d'abord que nous verrons la nuit, Les tenant en nos mains bien et dément liècs, lusqu'à ce qu'elles soient avec nous mariées:
Lors nous ſerons heureux.	Lors nous serons heureux.
BONIFACE.	BONIFACE.
Dieu vous en veüille oüir !	Dieu vous en veuille ouïr !
Enfin, cher Poliearpe, il nous faut réjoüir, Requinquons-nous tous deux pour dãſer à la Nopce;	Enfin, cher Poliearpe, il nous faut réjoüir, Requinquons-nous tous deux pour dans la Noce;
Ie ne iuis pas ii vieir, ny vous encore ii roſſe, Que nous ne puiſſions plus nous donner du bontemps;	Je ne juis pas ji vieir, ni vous encore ji rosse, Que nous ne puissions plus nous donner du bontemps;
Pour ſe bien diuertir, viue les Vieilles gens !	Pour se bien divertir, vive les Vieilles gens !
POLICARPE.	POLICARPE.
Nous en ferions encor la nique à la Ionneſſadiecalrelle, Ie pretens bien danſer auec vous la Ducheſſe, Les Branſles, la Mignonne, & tous les Menuets, La Courante à la Reyne auec les Tricotets.	Nous en ferions encor la nique à la Ionnessadiecalrelle, Je prétends bien dans auec vous la Duchesse, Les Bransles, la Mignonne, et tous les Menuets, La Courante à la Reine avec les Tricots.
BONIFACE.	BONIFACE.
Quand meſme on nous croiroit vieux comme eſtoit Herode, Ie veux que nous danſions les danſes à la mode, nes Eiliq-pas, la Guiſibarde ont la vogue en ce tẽps;	Quand même on nous croirait vieux comme était Hérode, Je veux que nous dansions les danses à la mode, nés Éiliq-pas, la Guisibarde ont la vogue en ce temps;
Et tous ces petits Saults qui font danſer les Grands.	Et tous ces petits Saults qui font danser les Grands.
Mais il nous faut deuant termines nos affaires.	Mais il nous faut devant termines nos affaires.
POLICARPE.	POLICARPE.
Ah!	Ah!
nos plaiſirs s’en vont eſtre extraordinaires.	nos plaisirs s'en vont être extraordinaires.
BONIFACE.	BONIFACE.
Il faut que nous faſſions à preſent noſtre coup, Car nous voila tantoſt comme entre Chien & Loup;	Il faut que nous fassions à présent notre coup, Car nous voilà tantôt comme entre Chien et Loup;
lne nuit s'approche, allons.	Il nuit s'approche, allons.
Ils entrent chez eux.	Ils entrent chez eux.
CENE IV.	CÈNE IV.
CLIDAMANT, LVCIDOR, GVILLOT, RAGOTIN.	CLIDAMANT, LUCIDOR, GUILOT, RAGOTIN.
CLIDHMMATO AMOmOn Et bien, que faut-il faire?	CLIDHMATO AMOmOn Et bien, que faut-il faire?
GVILLOT.	GUILOT.
Il ſe faut preparer pour cette grande affaire, I'ay dans mon Incamo, d’infaillibles ſecrets, Qui pour vous obliger s’en vont eſtre tous preſts:	Il se faut préparer pour cette grande affaire, J'ai dans mon Incamo, d'infaillibles secrets, Qui pour vous obliger s'en vont être tous prêts:
Mais il faut aduertir Ragotin de la choſe.	Mais il faut avertir Ragotin de la chose.
Il luy parle à l'oreille.	Il avait parle à l'oreille.
Va faire promptement cette metamorphoſe.	Va faire promptement cette métamorphose.
RAGOTIN.	RAGOTIN.
Cela vaut fait, va t’en.	Cela vaut fait, va -t-en.
GVILLOT à ſon Maiſtre.	GUILOT à son Maître.
Vous, tenez vous au guet, Et vous verrez bientoſt vn admirable trait.	Vous, tenez vous au guet, Et vous verrez bientôt un admirable trait.
Ils vont prendre chacun vn habit de femme.	Ils vont prendre chacun un habit de femme.
SCENE V.	SCÈNE V.
CLIDAMANT, LVCIDOR.	CLIDAMANT, LUCIDOR.
CLIDAMANT.	CLIDAMANT.
Nfin, cher Lucidor, ſi nous l’en voulons croire, ENous nous verrons biẽtoſt au faiſte de la gloire,	Nfin, cher Lucidor, si nous l'en voulons croire, ENous nous verrons biẽtost au faîte de la gloire,
LVCIDOR.	LUCIDOR.
C'eſt ce que nous deuons à preſent ſouhaitter;	C'est ce que nous devons à présent souhaiter;
Ce qu’ils ont dit tantoſt nous doit beaucoup flatter, Que nl’on s’apperçoit que d’amour les enflâme, Ils laiſſeront là tout de peur qu’on les en blâme.	Ce qu'ils ont dit tantôt nous doit beaucoup flatter, Que n'on s'apperçoit que d'amour les enflamme, Ils laisseront là tout de peur qu'on les en blâme.
Et puis eſtant ſi vieux.	Et puis étant si vieux.
Mais ie les oy venir.	Mais ici les oi venir.
CLIDAMANT.	CLIDAMANT.
Nos gens viennent auſſi.	Nos gens viennent aussi.
SCENE VI.	SCÈNE VI.
CLIDAMANT, LVCIDOR, GVILLOT & RAGOIIN degnijez en jemmes.	CLIDAMANT, LUCIDOR, GUILOT et RAGOIIN degnijez en jemêmes.
POLICARPE & BONIFACE, tenant chacun leurs filles auec vne corde.	POLICARPE et BONIFACE, tenant chacun leurs filles avec notre corde.
GVILLOT parlant à ſon Maiſtre.	GUILOT parlant à son Maître.
Vos maux s’en vont finir, Tenez vous pres de nous.	Vos maux s'en vont finir, Tenez vous pres de nous.
GVILLOT &RAGOTINont chacun vne eotde dont ils prennent les deux bras que les Vieillards ont de libres, & s’approchent pres des Maiſtreſſes de telsan llldijaesar	GUILOT eTRAGOTINont chacun une eotde dont ils prennent les deux bras que les Vieillards ont de libres, et s'approchent pres des Maîtresses de telsan llldiajàesar
POLIXENE.	POLIXENE.
Mlais mon Perc a cene heure, Où m’allez-vous mener?	Mlais mon Perc à cène heure, Où m'allez-vous mener?
BONIFACE.	BONIFACE.
Bien ſouper, où ie meure, Puis auec Policarpe apres vous marier.	Bien souper, où belle meure, Puis avec Policarpe après vous marier.
POLIXENE.	POLIXENE.
Qu'entens-je!	Qu'entends-je?
ARAXINT L'a jon Fere Ie vous prie autant qu’on peut priet, Ne ſortons point ſi tard, mon Pere.	ARAXINT L'a jon Fère Je vous prie autant qu'on peut priet, Ne sortons point si tard, mon Père.
POLICARPE.	POLICARPE.
Enfin ma fille, Ie me ſuis engagé d’aller ſouper en Ville, Où Boniface apres doit eſtre voſtre eſpoux.	Enfin ma fille, Je me suis engagé d'aller souper en Ville, Où Boniface après doit être vôtre époux.
Dieux !	Dieux !
AMINTE.	AMINTE.
RAGOTIN.	RAGOTIN.
Ne vous fâchez point, Ragot eſt preſt de vous, Qui vous liure à ſon Maiſtre, & vous ſort d’eſclauage.	Ne vous fâchez point, Ragot est prêt de vous, Qui vous livre à son Maître, et vous sort d'esclavage.
4 2 Il l’oſte de l'endroit où elle eſt attachée, & ſe met en ſa place, & la donne à ſon Ma iſtre.	4 2 Il l'ôte de l'endroit où elle est attachée, et se met en sa place, et la donne à son Ma ître.
GVILLOT à POLIXENE.	GUILOT à POLIXENE.
Polixene, Guillot coupe voſtre cordage, Et mon Maiſtre vous prend;	Polixène, Guillot coupe votre cordage, Et mon Maître vous prend;
ne vous éloignez pas;	ne vous éloignez pas;
Nous allons vous ſortir de tous ces embaras.	Nous allons vous sortir de tous ces embarras.
BONIFACE.	BONIFACE.
Policarpe, eit-ce vous?	Policarpe, eit-ce vous?
POLICARPE.	POLICARPE.
Oüy c’eſt moy, Boniface, Auez-vous voſtre fille?	Oui c'est moi, Boniface, Avez-vous votre fille?
PCIMFACE.	PCIMFACE.
Oüy.	Oui.
POLICARPE.	POLICARPE.
La mieme me laſſe, A force de tirer, ie n’ay plus de vigueur.	La même me lasse, A force de tirer, je n'ai plus de vigueur.
Donir Meus Helas!	Donir Meus Hélas!
qu'on a de peine à traîner ſon malheur.	qu'on a de peine à traîner son malheur.
GVILLO Taffectant vne groſſe voix.	GUILO Taffectant une grosse voix.
Mon Papa, pourquoy donc me chantez-vous iniure?	Mon Papa, pourquoi donc me chantez-vous injure?
BONIFACE.	BONIFACE.
Ouay!	Ouvai!
la voix de ma fille a changé de nature.	la voix de ma fille a changé de nature.
RAGOTIN.	RAGOTIN.
Où me menez vous donc, petit Papa mignon?	Où me menez vous donc, petit Papa mignon?
POLICARPE.	POLICARPE.
Parbleu, la mienne auſſi vient de changer de ton.	Parbleu, la mienne aussi vient de changer de ton.
Mais quelque diable auſſi n’a-t’il point pris leus forme, Pour nous faire en ce lieu quelque malice enorme?	Mais quelque diable aussi n'a-t-il point pris lus forme, Pour nous faire en ce lieu quelque malice énorme?
Ou ne ſeroit-ce point ce maraut de Ragot?	Ou ne serait-ce point ce maraut de Ragot?
C’eſt luy-meſme, ah!	C'est autre-même, ah!
Coquin.	Coquin.
MCOAINV.	MOCAINV.
Tire tire, Guillot.	Tire tire, Guillot.
POLICARPE.	POLICARPE.
Ne tire pas, ſi non, point de miſericorde, Ie te vais aſſommer.	Ne tire pas, si non, point de miséricorde, Je te vais assommer.
GVILLOT.	GUILOT.
Ragot, tire la corde.	Ragot, tire la corde.
BONIFACE.	BONIFACE.
Traiſtres, nous voulez-vous icy faire expirer?	Traîtres, nous voulez-vous ici faire expirer?
GVILLOT.	GUILOT.
Nous allons en ce lieu tous deux vous demembrer Si vous ne m’accordez ce que ie vous demande.	Nous allons en ce lieu tous deux vous démembrer Si vous ne m'accordez ce que ie vous demande.
Silence, s’il vous plaiſt, afin que l’on m’entende.	Silence, s'il vous plaît, afin que l'on m'entende.
Ie ſouhaite de vous par ces diſcours prefix, Que vos filles enfin épouſent vos deux fils.	Je souhaite de vous par ces discours préfix, Que vos filles enfin épousent vos deux fils.
POLICARPE.	POLICARPE.
Nos filles!	Nos filles!
ah laquili, qu'olestta nous preſcrire?	ah laquili, qu'olestta nous prescrire?
Tu mourras auiourd’huy.	Tu mourras aujourd'hui.
GVILLOT.	GUILOT.
Tire la corde, tire.	Tire la corde, tire.
BONIFACE.	BONIFACE.
Ne tirez plus, nos os s’en vont ſe décharner.	Ne tirez plus, nos os s'en vont se décharner.
RAGOTIN.	RAGOTIN.
Golreit pas tout encor smnousſaut pardonner Vos filles & vos fils, chacun & ſa chacune, Soyons tous bons amis, & viuons ſans rancune.	Golit pas tout encor smnoussaut pardonner Vos filles et vos fils, chacun et sa chacune, Soyons tous bons amis, et vivons sans rancune.
POLICARPE.	POLICARPE.
Oüy, nous vous pardonnons en preſence des Cieux Q oules lace vemi;	Oui, nous vous pardonnons en présence des Cieux Q oules la vemi;
an qu’on eſt malheureux, Et que l’on doit auoir de regret, ce me ſemble, Quaniu on en amoureux, & Vieillard tout enſemble!	an qu'on est malheureux, Et que l'on doit avoir de regret, ce me semble, Quaniv on en amoureux, et Vieillard tout ensemble!
SCENE DERNIERE.	SCÈNE DERNIÈRE.
CLIDAMANT, LVCIDOR, POLICARPE, BONIFACE, GVILLOT, RAGOTIN, POLIXENE, AMINTE, BEATRIX, LISETTE.	CLIDAMANT, LUCIDOR, POLICARPE, BONIFACE, GUILLOT, RAGOTIN, POLIXENE, AMINTE, BEATRIX, LISETTE.
CLIDAMANT à ſon Pere & à l'autre.	CLIDAMANT à son Père et à l'autre.
H!	H!
Meſſieurs, ſe peut ii que vous nous parA donniez?	Messieurs, se peut ji que vous nous parA donniez?
POLIXENE.	POLIXENE.
vos deux imes en pieuls le lettent à vos pleds.	vos deux imes en pieuls le lettent à vos pleds.
BONIFACE.	BONIFACE.
Quoy que vous ayez fait du pis qu’on puiſſe faire, Vous trouuerez en nous des tendreſſes de Pere.	Quoi que vous ayez fait du pis qu'on puisse faire, Vous trouverez en nous des tendresses de Père.
GVILLOT.	GUILOT.
Et nous, n’aurons nous rien apres auoir ieuſné?	Et nous, n'aurons nous rien après avoir ieusné?
CLIDAMAN I Que chacun leur obiet leur ſoit auſſi donné.	CLIDAMAN I Que chacun leur objet leur soit aussi donné.
