ADONIS TRAGEDIE FRANCOYSE DE GABRIEL LE BRETON Niuernois, Seigneur de la Fon.	ADONIS TRAGÉDIE FRANÇOISE DE GABRIEL LE BRETON Nivernais, Seigneur de la Fon.
Mais quand Zephire la courtiſe, Iuy deſpouillant ſa robbegriſe Pleimo de cent mille glaçons, Ele eſt du ſoleil penetree, Elle enfante d’vn ventres Antant de fleuri & de moyſſont.	Mais quand Zéphire la courtise, Jui dépouillant sa robegrise Plémo de cent mille glaçons, Éle est du soleil pénétrée, Elle enfante d'un ventres Antant de fleuri et de moissont.
Dequoy ſeruentamumagui Iant de couleurs & de fleurages U lœil humain en eſt abſent?	Dequoy serventamumagui Jant de couleurs et de fleurages V lœil humain en est absent?
I'æil voit premier ſar ſon eſpine Ianboyer la roſe diuine Rela main toudhie & le nez ſent.	J'æil voit premier sar son épine Janboyer la rose divine Rela main toudhie et le nez sent.
Poui honteuſement traittee Deuaut les dieux fut garroitee:	Poui honteusement traite Deud les dieux fut garroite:
Auecques Mars ſon fauori, Prompiement acçourut Ieuneſſe, Eu vient deſtacher ſa maiſtreſſs In deſpit du coqu mari.	Avec Mars son favori, Prompiement acçourut Jeunesse, Eu vient détacher sa maîtres In dépit du coqu mari.
Pour eternelle recompente La mere d’amour à iouuence Preſenta ces deux noms charuus.	Pour éternelle récompente La mère d'amour à iouuence Presenta ces deux noms charuus.
De là viens que les dames belles Quandon leur taſte les mammelles Ont ſouuenance de Venus.	De là viens que les dames belles Quandon leur tâte les mammelles Ont souvenance de Venus.
clobes germains l'honneur de monde où laſource d’amour abonde, Rompez colets & veſtements:	clobes germains l'honneur de monde où lasource d'amour abonde, Rompez collets et vêtements:
Tetins de ſingulier merite, Qui paiſſez la bouche petite, Repaiſſez l'œil de vos amants.	Tetins de singulier mérite, Qui paissez la bouche petite, Repaissez l'œil de vos amants.
MAS HONRA QE VID	MAS HONRA QE VID
L'AMOVR MERCENAIRE.	L'AMOUR MERCENAIRE.
A vertud'vn perſonnage, L Nle Prin-temps deſonaage, Sa beauté ny ſon parler, Ny ſeruent que de riſee, A la femelle ruſee Qui nous veut emmarteller.	À vertud'Un personnage, L Île Printemps désonaage, Sa beauté ni son parler, Ni servent que de risée, À la femelle ruse Qui nous veut emarteller.
C'est peu que faire des carmes Il faut auec autres charmes Tenter l’amoureux guerdon:	C'est peu que faire des carmes Il faut avec autres charmes Tenter l'amoureux guerdon:
Qui veut emporter la roſe Des dames, qu’il ſe propoſe Ieur faire quelque biau don.	Qui veut emporter la rose Des dames, qu'il se propose Jeur faire quelque biau don.
Iadis amour pour maistreſſe, Choiſit madame richeſſe:	Jadis amour pour maîtresse, Choisit madame richesse:
Ayant les palles couleurs, Etiura dés l’heure meſme Qu'à iamais il ſeroit bleſme, Et l’amant plain de paſleurs.	Ayant les palles couleurs, Etiura dès l'heure même Qu'à jamais il serait blême, Et l'amant plain de pâleurs.
Lors il quitta les aubades, Ia dance, les maſcharades, Iameſique, & les festins,	Lors il quitta les aubades, Ia dance, les mascharades, Iamesique, et les festins,
Et plus luypluſt vne bource Que la murmurante ſource Des ruſſeleti argentins.	Et plus luyplust une bource Que la murmurante source Des russeleti argentins.
Depuis il apprist la cure De iaunir ſa cheueleure Sonare, ſon aiſle, & ſes traicti.	Depuis il apprît la cure De jaunir sa cheveleure Sonare, son aile, et ses traiti.
Meſme Venus la doree, Fuſt de l’or enamouree, Changeant à l'or ſer attraicts.	Même Venus la dorée, Fût de l'or enamoure, Changeant à l'or serait attraits.
Iupiter qui ſetransforme En mainte ioyeuſe forme:	Jupiter qui settranforme En mainte joyeuse forme:
Repounonduoir credit Au giron d’vnepucelle, Mais pour iouyr de la belle In pluye d’or ſe fondit.	Répounonduoir crédit Au giron d'unepucelle, Mais pour jouir de la belle In pluie d'or se fondit.
Ayant done amplenoties Que l’amour & l’auarics Ont enſemble coniuré.	Ayant donce amplenoties Que l'amour et l'avarics Ont ensemble conjuré.
Souz la faueur de fortune, Ie feis ſonner la pecuns, Tendant au but deſiré.	Souz la faveur de fortune, Je feis sonner la pécuns, Tendant au but désiré.
Comme ſoudain les auettes, Se viennent ſor les branchettes Poſer au bruit de l’airain, Außi toſt & plus encore, I’mpiteuſe que i’adore, Arreſta ſon œil ſerain.	Comme soudain les auettes, Se viennent sot les branchettes Poser au bruit de l'air, Aussi tôt et plus encore, J'mpiteuse que j'adore, Arrêta son œil serain.
Elle qui couroit deſpite Plus que la tempeſte vue Se uini ferne pres de moy,	Elle qui courait dépite Plus que la tempête vue Se ini ferne pres de moi,
En feu ſe tourna ſa glace, Sa rigueur en humble grace Me tiraus de tout eſmoy.	En feu se tourna sa glace, Sa rigueur en humble grâce Me tiraus de tout émoi.
Ià deſia ceſte mignomo Ainſi que l’or me reſonne Dans le poing ſans me mocquer, Entendant vnſi doux ſigne, Me fit cognoiſtre à ſa mine, Qu'elle eut bien voulu choquer.	 desya ceste mignomo Ainsi que or me resonne Dans le poing sans me mocquer, Entendant vnsi doux signe, Me fit cognoistre sa mineà Qu'elle eut bien voulu moquer.
Iamais vn cheual d’Eſpaigne Ne frappa mieux la campaigne Des quatre pieds bondiſſant Quand ſon oreille guerriere Oyt la ſimence premiere Du clatron retentiſſant.	Jamais un cheval d'Espagne Ne frappa mieux la campagne Des quatre pieds bondissant Quand son oreille guerrière Oit la simence première Du clatron retentissant.
Ie la vis toute ſaiſiD’ardeur & de freneſie, Sauter apres ce metal, Puis rouge, puis palliſſante, Puis doucement languiſſante, Monſtrer ſon ſein de cristal.	Je la vis toute saisiD'ardeur et de frénésie, Sauter après ce métal, Puis rouge, puis pallissante, Puis doucement languissante, Montrer son sein de cristal.
Ie la vu ſaine & malade, Ie vis dedans ſon œillade Flamboyer vne liqueur, Comme la lumiere blonde, Qui fretille deſſus l’onde Quand la mer est en douceur.	Je la vu saine et malade, Je vis dedans son œillade Flamboyer une liqueur, Comme la lumière blonde, Qui fretille dessus l'onde Quand la mer est en douceur.
Ie la vis à demy folle Perdre l’ame & la parolle, Souſpirant eutre les draps:	Je la vis à demi folle Perdre l'âme et la parole, Souspirant eutre les draps:
Seibelles maini me ſlatterent, Seideux leures me ſoufflerent:	Seibelles maini me slattèrent, Seideux lèvres me soufflèrent:
E la vie & le treſpas.	E la vie et le trépas.
Point ne fallut de vinaigre, Pour me rendre plus allaigre, Plus refait ou diligent:	Point ne fallut de vinaigre, Pour me rendre plus allaigre, Plus refait ou diligent:
Ie Jaoulay ma conuoitiſe, Ie prins de la marchandiſe Pour le prus de mon argent.	Ie Joulai ma convoitise, Je prins de la marchandise Pour le prus de mon argent.
Mais, las, vn nocher auare, Courant à lInde barbare, Qu'elquefois jetrompe jon, Et charge tant ſon nauire Quil ne le ſçauroit conduire Eis'abiſme dans le port.	Mais, las, un nocher avare, Courant à lInde barbare, Qu'ellequefois jetrompe jon, Et charge tant son navire Quil ne le saurait conduire Eis'abîme dans le port.
O volonté tropgoulué, O paſtion diſſolue, O deſordonné flambeau:	Ô volonté tropgoulué, Ô pastion dissolue, Ô desordonné flambeau:
Plus l’hydropique met peine, De ſuccer vne fontaine, Plu il creuſe ſon tombeau.	Plus l'hydropique met peine, De succer une fontaine, Plu il creuse son tombeau.
Qui ſont ſes bommes fidelles Qui iurent aux damoiſelles De ſe porter chastement, An’oſent venir aux priſes Quand elles ſon en chemiſes Pour ne rompre leur ſerment?	Qui sont ses bommes fidèles Qui jurent aux damoiselles De se porter chastement, An'osent venir aux prises Quand elles son en chemises Pour ne rompre leur serment?
Hommos derace benite, Race de Dieu fauorite Vous meritez paradus.	Hommos dérace bénite, Race de Dieu favorite Vous méritez paradus.
Si i'euſſe fait enla ſorte Ma peau ne fut ainſi morte Ni mes pieds tant engourdus.	Si j'eusse fait enla sorte Ma peau ne fut ainsi morte Ni mes pieds tant engourdus.
I'ay perdu ma ſorte vine, Perſonne chez moy n’arriue Qui ne me donne friſſon:	J'ai perdu ma sorte vine, Personne chez moi n'arrive Qui ne me donne frisson:
Ainſi priue de courage Se cache le cerf ſauuage, Sans cornes dans le buiſſon.	Ainsi prive de courage Se cache le cerf sauvage, Sans cornes dans le buisson.
Ily agranddifference Entre Mars le porte-lance Et Cupidon l’amoureux.	Ili agranddifférence Entre Mars le porte-lance Et Cupidon l'amoureux.
Mari enrichit ſon gendarme, Cupidon le ſien deſarme, De ſon aigent doucereux.	Mari enrichit son gendarme, Cupidon le sien désarme, De son aigent doucereux.
Elle chante la mauuaiſe Et ie lauguis en malaiſe M’approchant du pas dernier.	Elle chante la mauvaise Et ie lauguis en malaise M'approchant du pas dernier.
Elle rid, ie me conſomme, Ell' a ſi bien ſait en ſome Que ie n’ay pas vn denier,	Elle rid, Seigneur me consomme, Ell a si bien sait en some Que je n'ai pas un denier,
Neſt-cepaigrande miſere, Qu'vne beſte paſſagere, N’eſt point ſans comparaiſon:	Nest-cepaigrande misère, Qu'une bête passagère, N'est point sans comparaison:
Si digne de mener paistre, Que l’homme qui ſe dit maiſtre Des animaux ſans raiſon?	Si digne de mener paître, Que l'homme qui se dit maître Des animaux sans raison?
Iaiumot dans la prairie, Au prompt cheual ſe marie D'm amour ſimboliſa,	Jaimot dans la prairie, Au prompt cheval se marie D'm amour symbolisa,
Ia vache parmy la trouppe Au thoreau donne ſa crouppe Sans auoir aucun preſent.	Ia vache parmi la troupe Au thoreau donne sa croupe Sans avoir aucun présent.
Mais la femme plus rebelle De langueur & de cauſelle, Son amoureux entretient:	Mais la femme plus rebelle De langueur et de causelle, Son amoureux entretient:
Efrrmna aire le l’oſe, Dix mille fois vne choſe, Que touſiours elle retient.	Efrmna aire le l'ose, Dix mille fois une chose, Que toujours elle retient.
Lor mnt inoje togneuë, Qui iamais ne dinunue IhaliEpremr;	Lor mennt inoît togneuë, Qui jamais ne dinunue IhaliEpremr;
onihiaſiti.	onihiasiti.
Teutesfois la femme ſotte Puis nous vend & puis nous oſte, Ie qu’on luy peut augmenter.	Teutefois la femme sotte Puis nous vend et puis nous ôte, Je qu'on lui peut augmenter.
Qu'elle iustice commande D’achepter à ſomme grande, Ie baiſer qu’on nous depart.	Qu'elle justice commande D'achepter à somme grande, Je baiser qu'on nous départ.
Puis que la ſemme baiſee D'vne douceur diuiſee Rroit la meilleure part?	Puis que la semme baise D'une douceur divise Roit la meilleure part?
Or ſçais-tu quoy ma mignarde, Ton œil azuré me darde, Quelque rayon eſcarté, Secourant ma maladie:	Or sais-tu quoi ma mignarde, Ton œil azuré me darde, Quelque rayon écarté, Secourant ma maladie:
Et meren, ie te ſupplie Mon argent, ou ma ſanté.	Et méren, Seigneur te supplie Mon argent, ou ma santé.
FIN.	FIN.
1AS HONRA QVE VIDI.	1AS HONRA QUE VIDI.
