SL T ND LI MONSIEVR D.	SL T ND LI MONSIEUR D.
Pleuſt au cruel deſtin que le Ciel m’euſt permis, qu'entrãt dãs ce lieu triſte où nos malheurs t’ont mis Le ſouuerain des morts fuſt content de mon ombre, Et te laiſſaſt ſortir de ſa demeure ſombre;	Plût au cruel destin que le Ciel m'eût permis, qu'entrant dans ce lieu triste où nos malheurs t'ont mis Le souuerain des morts fut content de mon ombre, Et te laissât sortir de sa demeure sombre;
En mourant ie prendrois ce doux contentement De montrer que Cydippe aime parfaitement.	En mourant ici prendrais ce doux contentement De montrer que Cydipe aime parfaitement.
Puis qu'helas deſormais la nuict triſte & profonde Nous deffend les plaiſirs de nous reuoir au monde,  Cher object de mon cœur combien dans mon trespas Pour te rendre viuant ie gouſterois d’appas?	Puis qu'hélas désormais la nuit triste et profonde Nous défend les plaisirs de nous revoir au monde, Cher object de mon cœur combien dans mon trépas Pour te rendre vivant ainsi goûterais d'appas?
Quand tu regarderois ces foreſts, ces colines, Et ces rochers panchans ſur les vagues mârines, Où nous auons paßé quelques momens ſi doux En gardant nos trouppeaux qui paiſſoient deuant nous, Melindor, mon Berger, vn iour tu ferois gloire ne rendre quelque larme à ma triſte memoire.	Quand tu regarderais ces forêts, ces colines, Et ces rochers penchants sur les vagues mâtrines, Où nous avons passé quelques moments si doux En gardant nos troupeaux qui paissaient devant nous, Melindor, mon Berger, un jour tu ferais gloire ne rendre quelque larme à ma triste mémoire.
Mais quand tu reuiendrois, fidelle Melindor, Au ſejour où l’Aurore eſtend ſes treſſes d’or, Si ta chere Cydippe auoit ceßé de viure, De regret & d’ennuy tu mourrois pour la ſuiure;	Mais quand tu reviendrais, fidèle Melindor, Au séjour où l'Aurore étend ses tresses d'or, Si ta chère Cydipe avait cessé de vivre, De regret et d'ennui tu mourrais pour la suivre;
Ie le connois aſſez par mon propre deſſein, Car ie veux de ce dard me donner dans le ſein.	Je le connais assez par mon propre dessein, Car ie veux de ce dard me donner dans le sein.
Adieu donc, ô foreſts, dont iamais le fueillage Trrrepjeuut Amans de fraiſcheur ny d’ombrage;	Adieu donc, ô forêts, dont jamais le fueillage Trrrepjeuut Amants de fraîcheur donner d'ombrage;
Adieu vallons ſecrets, temoins de mes ſouſpirs, quãd ie perdois ma plainte au doux ſon des Zephirs;	Adieu vallons secrets, témoins de mes soupirs, quand je perdais ma plainte au doux son des Zéphirs;
Ie prens congé de vous, ô Nymphes bocageres, Et de vous mes brebis, chercheZ d’autres Bergeres, Ie ne vous verray plus:	Je prends congé de vous, ô Nymphes bocagères, Et de vous mes brebis, cherchez d'autres Bergères, Je ne vous verrai plus:
car ie cede aux malheurs, Sur le panchat des mõts chõiſir l'herbe & les fleurs.	car Elle cède aux malheurs, Sur le penchât des monts chomisir l'herbe et les fleurs.
CYRENE.	CYRENE.
Cette ieune beauté ſemble deſesperee, Ie m’arreſte à l’ouïr ſur les flots de Neree, Tanab que Mſondehoir larde a la fecourir, Car ſelon ſon diſcours ell'eſt preſte à mourir.	Cette jeune beauté semble désespère, Je m'arrête à l'ouïr sur les flots de Nére, Tanab que Msondehoir larde a la secourir, Car selon son discours elle est prête à mourir.
CYDIPPE.	CYDIPE.
Regarde Melindor ſi ma flame eſt legere, I’en rẽdrois vne preuue & plus douce & plꝰ chere, Mais tu n'es plus au monde, & Cydippe te ſuit.	Regarde Melindor si ma flamme est légère, J'en rẽdrois une preuve et plus douce et pl ère, Mais tu n'es plus au monde, et Cydipe te suit.
CYRENE.	CYRENE.
Malheureux que ie ſuis, vne funeſte nuict Eſteint dans ſes doux yeux la clarté belle & pure:	Malheureux que ie suis, une funeste nuit Éteint dans ses doux yeux la clarté belle et pure:
Que n’ay-ie deſtourné ſa cruelle bleſſure!	Que n'ai-je détourné sa cruelle blessure!
Mais i’entens diſcourir des Bergers de ce lieu, Qu'icy pour l’emmener conduit quelque bon Dieu.	Mais j'entends discourir des Bergers de ce lieu, Qu'ici pour l'emmener conduit quelque bon Dieu.
Conduiſſez-la Paſteurs, dedans voſtre village, Rompez pour l’emporter du bois en ce bocage:	Conduissez-la Pasteurs, dedans votre village, Rompez pour l'emporter du bois en ce bocage:
ne dire l’accident qui termine ſes iours, L’excés de la triſteſſe empeſche mon diſcours!	ne dire l'accident qui termine ses jours, L'excès de la tristesse empêche mon discours!
Sans peine à ſes parens vous la pourrez conduire, La Lune en ſa faueur s'efforce de mieux luire.	Sans peine à ses parents vous la pourrez conduire, La Lune en sa faveur s'efforce de mieux luire.
CHOEVR.	CHOEUR.
NRuel Amour que ton flambeau Tourmente les Amants d’infortune diuerſe!	NRvel Amour que ton flambeau Tourmente les Amants d'infortune diverse!
Iuſqu’au ſilence du tombeau Leur funeſte repos endure des trauerſes, Et les beaux iours d’hyuer viennent moins raremẽt Que leur contentement.	Jusqu'au silence du tombeau Leur funeste repos endure des traverses, Et les beaux jours d'hiver viennent moins raremment Que leur contentement.
Dans les antres comblez d’horreur, Et parmy les deſerts les plus inacceßibles, quels animaux pleins de fureur Aux traittemens receus ne deuiennent ſenſibles?	Dans les antres comblés d'horreur, Et parmi les déserts les plus inaccessibles, quels animaux pleins de fureur Aux traitements receus ne deviennent sensibles?
Mais quoy plus on t'adore en ſon cœur ſouſpirant Plus tu vas martyrant.	Mais quoi plus on t'adore en son cœur soupirant Plus tu vas martyrant.
Vn ſeul moment de volupté Dans les rauiſſemens des aymables careſſes N’eſt iamais purement gouſté, Quelque faſcheux object y cauſe des triſteſſes, Ou la crainte du blâme, ou le ſoin d’vn jaloux Rend ces plaiſirs moins doux.	Un seul moment de volupté Dans les ravissements des aimables caresses N'est jamais purement goûté, Quelque fâcheux object y cause des tristesses, Ou la crainte du blâme, ou le soin d'un jaloux Rend ces plaisirs moins doux.
quand la Nature eſt en repos, que d’vne couleur noire on void la terre peinte,	quand la Nature est en repos, que d'une couleur noire on voit la terre peinte,
Dieux!	Dieux!
nos foreſts n’ont point d’écõts Dont la voix ne raconte vne amoureuſe plainte, Et dans nos beaux valons, helas ce ne ſont plus Que regrets ſuperflus.	nos forêts n'ont point d'écõts Dont la voix ne raconte une amoureuse plainte, Et dans nos beaux valons, hélas ce ne sont plus Que regrets superflus.
Mais c’eſt en vain que l’homme attent Des faueurs de ce Dieu ſi meſchant & ſi traiſtre, Luy qui iamais ne fut content Qu'il n’euſt bleßé Venus dont il a pris ſon eſtre, Et qui par ſon dard meſme eut le cœur ſi touché Des graces de Pſiché.	Mais c'est en vain que l'homme attent Des faveurs de ce Dieu si méchant et si traître, Lui qui jamais ne fut content Qu'il n'eût blesié Venus dont il a pris son rendre, Et qui par son dard rendre eut le cœur si touché Des grâces de Psiché.
Sus Bergers conduiſons ce corps, L’appuyant ſur nos bras iuſqu'à noſtre vilage, Beau corps qui du nombre des morts Semble vn lys ieune & tendre abbatu par l’orage;	Sus Bergers conduisons ce corps, L'appuyant sur nos bras jusqu'à votre vilage, Beau corps qui du nombre des morts Semble un lys ieune et tendre abattu par l'orage;
Ses parens deſolez mourront d’vn iuſte dueil Le mettans au cercueil.	Ses parents désolés mourront d'ils juste deuil Le mettants au cercueil.
ACTE CINQVIESME.	ACTE CINQUIÈME.
SCENE I.	SCÈNE I.
MELINPOR.	MELINPOR.
CYRENE.	CYRENE.
LYCORIS.	LYCORIS.
MELINDOR.	MELINDOR.
’Ar veu ce bon vieillard, l’effect de ſon remede Termine ma douleur, mon ſalut en procede, Le Dieu de la Lumiere eſclairant l’Oriſon N’euſt ſçeu mieux rẽdre vn mal en douce gueriſon.	L'Ar vu ce bon vieillard, l'effet de son remède Termine ma douleur, mon salut en procède, Le Dieu de la Lumière éclairant l'Orison N'eût été mieux rẽdre un mal en douce guérison.
Heureux ſi i’apperçoy que ma Cydippe arriue, Mais triſte & deſolé ſi le deſtin m’en priue.	Heureux si j'aperçois que ma Cydipe arrive, Mais triste et désolé si le destin m'en prive.
En ce bord vn peſcheur attentif aux poiſſons Se panchant deſſus l’edu teut tenu des name pons, Ie luy veux demander s’il ne me ſçauroit dire Qu'eſt deuenu l’object pour qui mon cœur ſouſpire.	En ce bord un pêcheur attentif aux poissons Se penchant dessus l'édu tut tenu des name pons, Je lui veux demander s'il ne me saurait dire Qu'est devenu l'object pour qui mon cœur soupire.
E Errant parmy cette ombre en ces longs promenoirs, N'as-tu point veu, peſcheur, luire deux aſtres noirs, Luire les beaux yeux bruns d’vne ieune merueille?	 Errant parmi cette ombre en ces longs promenoirs, N'as-tu point vu, pêcheur, luire deux astres noirs, Luire les beaux yeux bruns d'une jeune merveille?
Qu'à prendre les poiſſons Neptune te conſeille.	Qu'à prendre les poissons Neptune te conseille.
CYRENE.	CYRENE.
Tieids i'ay iantoſi veu dans ce pord où ie ſuis Vn funeſte accident qui me comble d’ennuis.	Tieids j'ai jantosi vu dans ce pord où tu suis Un funeste accident qui me comble d'ennuis.
MELINDOR.	MELINDOR.
O ma chere Cydippe!	Ô ma chère Cydipe!
ô triſte coniecture!	ô triste conjetcture!
Acheue ton diſcours, amy ie t'en coniure.	Achève ton discours, ami Seigneur t'en conjure.
CYTHERE.	CYTHÉRE.
L’ombre chere au ſommeil qu’vn doux ſilence ſuit Auoit chaßé du iour la lumiere & le bruit, Quand i’entẽds vne Nymphe errãt deſſus ces riues, Appeller Melindor en paroles plaintiues, Et pour le rencontrer ſes yeux iettoient du iour D’vn regard doux & triſte en l’ombre d’alentour.	L'ombre chère au sommeil qu'un doux silence suit Aurait chassé du jour la lumière et le bruit, Quand j'entends une Nymphe errangt dessus ces rives, Apeler Melindor en paroles plaintives, Et pour le rencontrer ses yeux jetaient du jour D'un regard doux et triste en l'ombre d'alentour.
Mais cherchant ſon Amant, alors elle rencontre Vn dard enſanglanté que la Lune luy montre, Dard laué de ſes pleurs, qu’apres elle a rendu Plus rouge que deuant de ſon ſang respandu.	Mais cherchant son Amant, alors elle rencontre Un dard ensanglanté que la Lune avait montre, Dard laué de ses pleurs, qu'après elle a rendu Plus rouge que devant de son sang répandu.
I’en ſens du repentir, car au lieu de l’entendre, Contre ſes propres mains ie la deuois deffendre, Mais helas!	J'en sens du repentir, car au lieu de l'entendre, Contre ses propres mains ie la deuois défendre, Mais hélas.
ie n’oſois troubler ſes beaux accens Tant leurs triſtes douceurs m’auoiẽt charmé les sẽs;	Elle n'osais troubler les beaux accends Tant leurs tristes douceurs m'avaient charmé les sẽs;
q'mlpam Quelques Bergers l’ont priſe & l’ont cõduite morte.	q mlpam Quelques Bergers l'ont prise et l'ont comduite morte.
O Berger, Dieux, l’ennuy l’afflige en telle ſorte Qu'il ſemble de la foudre auoir eſté touché, Pâliſſant dans mes bras ſans mouuement couché.	Ô Berger, Dieux, l'ennui l'afflige en telle sorte Qu'il semble de la foudre avoir été touché, Pâlissant dans mes bras sans mouvement couché.
Bords, ô funeſtes bords!	Bords, ô funestes bords!
n'y reuiens plus Cyrene;	n'y reviens plus Cyrène;
Quitte ce miſerable, eſtends-le ſur l’arene, L'infortune eſt fatale en ces cailloux menus.	Quitte ce misérable, étends-le sur l'arène, L'infortune est fatale en ces cailloux menus.
MELINDOR.	MELINDOR.
Doux charmes, doux attraits qu’eſtes-voꝰ deuenus?	Doux charmes, doux attraits qu'êtes-voù devenus?
O dieux ſi par mes vœux ie vous pouuois reſoudre, A finir mes regrets d’vn prompt eſclat de foudre, Ie ſerois plus heureux le trespas m’arriuant, Que ſi dedans le Ciel vous me rangiez viuant.	Ô dieux si par mes vœux ie vous me résoudre, A finir mes regrets d'un prompt éclat de foudre, Je serais plus heureux le trépas m'arrivant, Que si dedans le Ciel vous me rangiez vivant.
Les Dieux à mon ſecours refuſent leur tonnerre, Sois-moy plus pitoyable, ouure ton vaſte corps, Et me laiſſe deſcendre en l’Empire des morts.	Les Dieux à mon secours refusent leur tonnerre, Sois-moi plus pitoyable, ouure ton vaste corps, Et me laisse descendre en l'Empire des morts.
Cydippe en ma faueur la terre s’eſt fenduë, De la nuict eternelle icy l’ombre eſtenduë, Et le ſilence affreux ſont doux à mes regrets, Quelque rayon me luit comme dans les foreſts,	Chydippe en ma faveur la terre s'est fendue, De la nuit éternelle ici l'ombre étendue, Et le silence affreux sont doux à mes regrets, Quelque rayon me luit comme dans les forêts,
Au trauers d’vn feuillage on void luire la Lune, Qui reſpand parmy l’ombre vne lumiere brune.	Au travers d'Un feuillage on voit luire la Lune, Qui répand parmi l'ombre une lumière brune.
peſſous la terre encore Amour conduit mes pas, Son doux flambeau m’éclaire au ſejour du treſpas, A fin que ie deſcende où le deſtin demeure Pour en tirer Cydippe, ou mourir tout à l’heure.	pessous la terre encore Amour conduit mes pas, Son doux flambeau m'éclaire au séjour du trépas, A fin que ie descende où le destin demeure Pour en tirer Cydipe, ou mourir tout à l'heure.
Lu me verras, chere ombre, en ce triſte ſejour, Pour te montrer encor vne exceſsiue amour, Tu m’y verras ſans ceſſe, ô Bergere adorable, Si l’Enfer à ma voix ſe trouue inexorable.	Lu me verras, chère ombre, en ce triste séjour, Pour te montrer encor une excesive amour, Tu m'y verras sans cesse, ô Bergère adorable, Si l'Enfer à ma voix se trouve inexorable.
Voicy le fleuue morne où ie m'en vay nager, Sans craindre le courroux de ce vieux paſſager.	Voici le fleuve morne où belle m'en vais nager, Sans craindre le courroux de ce vieux passager.
Tout ne ſemble qu’vn ſonge en ce funeſte Monde, M'elançant dans ce fleuue à peine ſens-je l’onde, Et ſa courſe respand vn ſi triſte cryſtal, Qu'aucun trouppeau n'en paiſt le riuage fatal.	Tout ne semble qu'un songe en ce funeste Monde, Mélancant dans ce fleuve à peine sens-je l'onde, Et sa course répand un si triste crystal, Qu'aucun troupeau n'en paît le rivage fatal.
Allons deuant Pluton dans ſa triſte contree Malgré ce mõſtre affreux qui m'en deffend l'ẽtree.	Allons devant Pluton dans sa triste contrée Malgré ce montre affreux qui m'en défend l'entre.
Mais ô dieux quel eſclat!	Mais ô dieux quel éclat!
quelle flame reluit!	quelle flamme reluit!
Quels feux eſtincelants s’épanchent dans la nuit!	Quels feux étincelants s'épanchent dans la nuit!
Quel murmure confus rompt cet affreux ſilence!	Quel murmure confus rompt cet affreux silence!
quel esprit ſe lamente en triſte violence!	quel esprit se lamente en triste violence!
Voicy les murs de flame & le ſceptre de fer,	Voici les murs de flamme et le sceptre de fer,
Dont le Prince des morts commande à tout l’Enfer;	Dont le Prince des morts commande à tout l'Enfer;
Voila Pluton, Minos, Eaque, & Radamante, Qui peuuent rendre l’ame à ma fidele Amante.	Voilà Pluton, Minos, Étaque, et Radamante, Qui peuvent rendre l'âme à ma fidèle Amante.
Maintenãt doctes Sœurs du grand Aſtre vermeil, Inſpirez dans ma plainte vn charme nompareil.	Maintenant doctes Sœurs du grand Astre vermeil, Inspirés dans ma plainte un charme nompareil.
Prince du creux Empire où tous les viuas tombent, Car helas aux deſtins tous les mortels ſuccombent, Et vous Iuges des morts dont les ſeueres voix Ont ſouſmis iuſtement tout l’Enfer à leurs loix, Dãs ce lieu plein d’horreur, de ſilence, & de crainte Donnez vn ſeul moment pour entendre ma plainte.	Prince du creux Empire où tous les vivas tombent, Car hélas aux destins tous les mortels succombent, Et vous Juges des morts dont les sévères voix Ont sousmis justement tout l'Enfer à leurs lois, Dans ce lieu plein d'horreur, de silence, et de crainte Donnez un seul moment pour entendre ma plainte.
Ie ne ſens point dans l’ame vn deſſein curieux D’emmener Proſerpine, ou le Chien furieux;	Je ne sens point dans l'âme un dessein curieux D'emmener Proserpine, ou le Chien furieux;
D’vn trouppeau de brebis la malheureuſe guide N’imite point Theſée, ou la gloire d’Alcide:	D'un troupeau de brebis la malheureuse guide N'imite point Thesée, ou la gloire d'Alcide:
La Parque à ma Bergere a trenché les beaux ans Comme vn ſubit orage abat des lys naiſſans.	La Parque à ma Bergère a trenché les beaux ans Comme subit orage abat des lys naissants.
Son ombre me conduit, & ſi vous l’auez veuë, Cut ojroienue beautez, & d’appas ſi pourueuë, Qu'au ſouuerain plaiſir d’y penſer ſeulement, Nos esprits tous charmez perucii Peſtonnement Qu'vn Berger amoureux qui dans ſon cœur l’adore Vienne en voſtre ſe our pour la reuoir encore.	Son ombre me conduit, et si vous l'avez vue, Cut ojroyenue beautés, et d'appas si pourvue, Qu'au souverain plaisir d'y penser seulement, Nos esprits tous charmez pervcii Pétonnement Qu'un Berger amoureux qui dans son cœur l'adore Vienne en votre se our pour la revoir encore.
Ie doute en regardant l’Empire ſouſterrain, Si le vainqueur des Cieux eſt voſtre ſouuerain;	Je doute en regardant l'Empire sousterrain, Si le vainqueur des Cieux est votre souverain;
Mais ſi les vieux diſcours n’augmentẽt ſa puißsãce, L’enfer, comme le Ciel luy rend obeïſſance.	Mais si les vieux discours n'augment sa passion, L'enfer, comme le Ciel lui rend obéissance.
Conduit donc par l’Amour, ſombres diuinitez, Par des chemins couuerts de tant d’obſcuritez, Me voicy deſcendu dans voſtre morne Empire, Demandant la beauté pour qui mon cœur ſouſpire.	Conduit donc par l'Amour, sombres divinités, Par des chemins couverts de tant d'obscurités, Me voici descendu dans votre morne Empire, Demandant la beauté pour qui mon cœur soupire.
Oſtez de ſes doux yeux le funeſte ſommeil, Rendez à leur eſclat les rayons du Soleil, Renoüez ſes beaux ans, Amour vous en conjure, Par l’extréme douleur que ma pauure ame endure, Par vos ſombres manoirs, par le ſilence affreux, Qui regne inceſſamment dans ces lieux tenébreux.	Ostez de ses doux yeux le funeste sommeil, Rendez à leur éclat les rayons du Soleil, Renoüez ses beaux ans, Amour vous en conjure, Par l'extrême douleur que ma pauvre âme endure, Par vos sombres manoirs, par le silence affreux, Qui règne incessamment dans ces lieux tenébreux.
Cette rare faueur qu’vn Amant vous demande Ne peut eſtre à ſes vœux ou plus chere ou plꝰ grãde;	Cette rare faveur qu'une Amant vous demande Ne peut être à ses vœux ou plus chère ou pl aires;
Mais ſouuerain d’Enfer le bon-heur que i'attends, N'eſt que donner vn terme aux outrages du temps.	Mais souverain d'Enfer le bonheur que j'attends, N'est que donner un terme aux outrages du temps.
Regardez depuis l’onde où l’Aurore s’eſueille, Iuſqu’aux bords reculez où le Soleil ſommeille, Ces belles dont l’eſclat eſtonne l’Vniuers, Et leurs Amans rauis de leurs appas diuers, En peu de iours verront voſtre ſombre demeure;	Regardez depuis l'onde où l'Aurore s'éveille, Jusqu'aux bords reculez où le Soleil sommeille, Ces belles dont l'éclat étonne l'Univers, Et leurs Amants ravis de leurs appas divers, En peu de jours verront votre sombre demeure;
G iiu	G jiv
Ainſi veut le deſtin que tout le monde meure, Et moy-meſme & Cydippe, object ſi precieux, Nous reperdrons bien toſt les doux râyons des Cieux:	Ainsi veut le destin que tout le monde meure, Et moi-même et Cydipe, object si précieux, Nous reperdrons bien tôt les doux râyons des Cieux:
Mais ſi vos ſentimens refuſent ma priere, Ie ne deſire plus de reuoir la lumiere.	Mais si vos sentiments refusent ma prière, Je ne désire plus de revoir la lumière.
Que Pluton ſemble émeu d’entẽdre mes mal-heurs, Ces trois Iuges d’enfer en répanchent des pleurs, Et tant d’eſprits errants que ma douleur attire D’vne image de pleurs vont plaignãs mon martire.	Que Pluton semble ému d'entendre mes malheurs, Ces trois Juges d'enfer en répanchent des pleurs, Et tant d'esprits errants que ma douleur attire D'une image de pleurs vont plaignants mon martyre.
Mais i’aurois beau d’encẽs parfumer leurs Autels, Nul ne rend ma Cydippe au ſejour des mortels.	Mais j'aurais beau d'enciens parfumer leurs Autels, Nul ne rend ma Cydipe au séjour des mortels.
Si Pluton rigoureux me retient ma maiſtreſſe, Je mettray dans l’enfer vn deſordre ſans ceſſe, De plaintes, de regrets, de continus propos I’affligeray les morts en leur triſte repos, Le ſilence infernal, ſilence épouuentable Sera touſiours troublé de ma voix lamentable:	Si Pluton rigoureux me retient ma maîtresse, Je mettrai dans l'enfer un désordre sans cesse, De plaintes, de regrets, de continus propos J'affligerai les morts en leur triste repos, Le silence infernal, silence épouuentable Sera toujours troublé de ma voix lamentable:
Prtinti E ientes Amans me donne aſſez de cœur Pour l’emmener par force, & me rẽdre vainqueur De Pluton, des pemons, des Deſtins & aes Parques, qui terminẽt l’Empire aux plus puiſsãs uonarques.	Prétinti E jentes Amants me donne assez de cœur Pour l'emmener par force, et me rendre vainqueur De Pluton, des pémons, des Destins et à Parques, qui terminence l'Empire aux plus puissa uonarques.
I’apperçoy la foreſt des Myrtes verdiſſans, Où prennent la fraiſcheur tant d’Amans paliſsãs;	J'aperçois la forêt des Myrtes verdissants, Où prennent la fraîcheur tant d'Amants palissants;
Dieux!	Dieux!
ie voy ma Cydippe à trauers cét ombrage, Vne triſte paſleur change vn peu ſon viſage.	ie vois ma Cydipe à travers cet ombrage, Une triste pâleur change un peu son visage.
LYCORIS.	LYCORIS.
Deſia la nuict s’auance au milieu de ſon cours.	Déjà la nuit s'avance au milieu de son cours.
Tant de rares feſtins, tant de plaiſans diſcours, Que nos voiſins ont faits à deux grands mariages, Me font retourner ſeule au long de ces riuages,	Tant de rares festins, tant de plaisants discours, Que nos voisins ont faits à deux grands mariages, Me font retourner seule au long de ces rivages,
MELINDOR.	MELINDOR.
Diuins yeux dont l’eſclat m'eſt ſi triſte & ſi doux, L’ennuy de voſtre abſence amene deuant vous Le malheureux ſujet, qu'en ces maiſons funebres Vos regards ſont bornez de ces noires tenebres.	Divins yeux dont l'éclat m'est si triste et si doux, L'ennui de votre absence amène devant vous Le malheureux sujet, qu'en ces maisons funèbres Vos regards sont bornez de ces noires ténèbres.
Bergere i'ay perdu tous mes contentemens, Soulage vn peu mon mal en tes embraſſemens:	Bergère j'ai perdu tous mes contentements, Soulage un peu mon mal en tes embrassements:
Tu te perds dans mes bras, tu deuiens impalpable, Et meſme tu t'enfuis;	Tu te perds dans mes bras, tu deviens impalpable, Et même tu t'enfuis;
l’enfer n'eſt pas capable Par ſon fleuue d’oubly d’effacer à l’inſtant Le ſouuenir d’vn cœur trop ferme & trop conſtant, Puis que ta paßion vn peu trop violente Eſt cauſe maintenant que tu n'es plus viuante.	l'enfer n'est pas capable Par son fleuve d'oubli d'effacer à l'instant Le souvenir d'un cœur trop ferme et trop constant, Puis que ta passion un peu trop violente Est cause maintenant que tu n'es plus vivante.
LYCORIS.	LYCORIS.
N’eſt ce pas Melindor?	N'est ce pas Melindor?
ie me porte fort bien, A ſes regrets confus ie n’entends du tout rien;	Il me porte fort bien, À ses regrets confus je n'entends du tout rien;
On l’a tenu pour mort, que ma frayeur s'augmente!	On l'a tenu pour mort, que ma frayeur s'augmente!
Eſt-ce vn phantoſme errant qu'encor Amour tour	Est-ce un phantôme errant qu'encor Amour tour
MELINDOR.	MELINDOR.
mente?	mente?
Ma Nymphe tu t’enfuis comme vn ſonge leger, Quoy n'aimes-tu donc plus ton fidelle Berger.	Ma Nymphe tu t'enfuis comme un songe léger, Qu 'aimes-tu donc plus ton fidèle Berger.
Mais d’vn excés d’ennuis ma raiſon s’imagine D’errer au triſte Empire où regne Proſerpine.	Mais d'une excès d'ennuis ma raison s'imagine D'errer au triste Empire où règne Proserpine.
Icy le beau Soleil espanche ſes rayons, La nuict y peint les Cieux de tenebreux crayons;	Ici le beau Soleil épanche ses rayons, La nuit y peint les Cieux de ténébreux crayons;
Et puis pour rencontrer cette beauté celeſte, Il faut aller au Ciel, non dans l’ombre flineſte.	Et puis pour rencontrer cette beauté celeste, Il faut aller au Ciel, non dans l'ombre flinette.
Ie m'en vay donc ſortir de ce mortel lien, Peut-eſtre mon esprit pourra ſuiure le ſien.	Je m'en vais donc sortir de ce mortel lien, Peut-être mon esprit pourra suivre le sien.
C’eſt icy Lycoris, cette Nymphe agreable, Qui craignant mon abord s’enfuit deſſus le ſable:	C'est ici Lycoris, cette Nymphe agréable, Qui craignant mon abord s'enfuit dessus le sable:
Ie la trouue à propos, i’auray du reconfort Qu'elle raconte vn iour le ſujet de ma mort, Et l’imprime en quelque arbre onmu triſte auanture Renfermera ce corps dans vne ſepulture.	Je la trouve à propos, j'aurai du réconfort Qu'elle raconte un jour le sujet de ma mort, Et l'imprime en quelque arbre onmu triste aventure Renfermera ce corps dans une sépulture.
LYCORIS.	LYCORIS.
Sans doute il eſt viuant, ie le veux ſecourir:	Sans doute il est vivant, ie le veux secourir:
Melindor n'eſt pas mort?	Melindor n'est pas mort?
MELINDOR.	MELINDOR.
Non, mais ie veux mourir, Puis qu’helas i’ay perdu cette aimable Bergere, qui m'eſt encore en l’ame & ſi belle & ſi chere, Et non pas ſans ſujet;	Non, mais ils veux mourir, Puis qu'hélas j'ai perdu cette aimable Bergère, qui m'est encore en l'âme et si belle et si chère, Et non pas sans sujet;
helas!	hélas!
ma Lycoris Ce threſor merueillenx d’appas doux & cheris, Cette rare beauté ne peut eſtre renduë Aux vœux de Melindor.	ma Lycoris Ce trésor merveillenx d'appas doux et chéris, Cette rare beauté ne peut être rendue Aux vœux de Melindor.
LYCORIS.	LYCORIS.
Crois-tu l’auoir perduë A cauſe qu’vn Berger ſe paſme en ſon beau ſein?	Crois-tu l'avoir perdue À cause qu'un Berger se pâme en son beau sein?
Ne change point d’object, demeure en ton deſſein, Parlons confidemment, ſçache quoy qu’il aduienne, qu'apres tant de malheurs Cydippe ſera tienne.	Ne change point d'object, demeure en ton dessein, Parlons confidemment, sache quoi qu'il advienne, qu'après tant de malheurs Cydipe sera tienne.
La ſombre obſcurité cache moins les plaiſirs Dont les ſubtils Amans contentent leurs deſirs, que l’ombre d’vn mary qui couurant leurs delices Guerit fecrettement leurs rigoureux ſupplices	La sombre obscurité cache moins les plaisirs Dont les subtils Amants contentent leurs désirs, que l'ombre d'un mari qui couvrant leurs délices Guérit fecrettement leurs rigoureux supplices
MELINDOR.	MELINDOR.
Ses beaux yeux au tombeaû ſont helas confinez!	Ses beaux yeux au tombeaû sont hélas confinez!
A mourir en naiſſant beaux Soleils deſtinez.	À mourir en naissant beaux Soleils destinez.
Veux-tu ſur mon trespas troubler ma fantaiſie De regrets & d’ennuis ſi puiſſamment ſaiſie?	Veux-tu sur mon trépas troubler ma fantaisie De regrets et d'ennuis si puissamment saisie?
LYCORIS.	LYCORIS.
Elle eſt viuante au moins, ſi d’vn rauiſſement Eule n'a rendul ame au donx emoraſſemeut Du Berger Palemon.	Elle est vivante au moins, si d'un ravissement Eule n'a rendul âme au donx émorassemeut Du Berger Palemon.
MBLINDOR.	MBLINDOR.
Ma Cydippe eſt viuante, O combien doucement cette fable m’enchante!	Ma Cydipe est vivante, Ô combien doucement cette fable m'enchante!
LYCORIS.	LYCORIS.
Melindor, Melindor, i’ay d’elle meſme appris Ce faſcheux accident qui trouble tes eſprits.	Mélindor, Melindor, j'ai d'elle même appris Ce fâcheux accident qui trouble tes esprits.
Sçache donc que Cydippe en ſouſpirant ta perte M’a conté, qu’abordant cette riue deſerte En te penſant trouuer, d’vn malheureux regard Tout ioignant ta houlette elle rencontre vn dard, Marque de ton trespas, dont elle s’eſt bleßée, Ne pouuant reſiſter à ſa triſte penſée.	Sache donc que Cydipe en soupirant ta perte M'a conté, qu'abordant cette rive déserte En te pensant trouver, d'un malheureux regard Tout joignant ta houlette elle rencontre un dard, Marque de ton trépas, dont elle s'est blessée, Ne pouvant résiste sa triste pensée.
Ses parens malheureux pretendoient follement D'elle & de Palemon fatre t'aſſembiement, Lors que nous auons veu l’atteinte rigoureuſe nont la trouppe a ſemblé moins triſte qu’amoureuſe,	Ses parents malheureux prétendaient follement D'elle et de Palemon fattre t'assembiement, Lors que nous avons vu l'atteinte rigoureuse nont la troupe a semblé moins triste qu'amoureuse,
