Couvertures supérieure et inférieure on couleus	Couvertures supérieure et inférieure on coulus
afin de rendre par ce nioyen ces richeſſes plus éclattantes.	afin de rendre par ce nioyen ces richesses plus éclattantes.
Quelque peu que l’on ait lû les Tragedies de Senecque l’on y a remarqué ce beau vers qui a beaucoup de ſolidité:	Quelque peu que l'on ait lu les Tragédies de Senecque l'on y a remarqué ce beau vers qui a beaucoup de solidité:
Occidere eſt, vetare cupientem mori.	Occidere est, vétare cupientem mory.
Il faut auoüer que cette Sentence à aſſez de force pour nous conuaincre:	Il faut auoüer que cette Sentence à assez de force pour nous convaincre:
mais elle a trop peu de beauté pour nous charmer;	mais elle a trop peu de beauté pour nous charmer;
l’Autheur de noſtre Hippolyte ſe ſert bien des meſmes armes pour nous ſurnionter:	l'Auteur de notre Hippolyte se sert bien des mêmes armes pour nous surnionter:
mais ou tre la force il y adiouſte encore l’’éclat & le luſtre;	mais ou tre la force il y ajoute encore l'éclat et le lustre;
& il ne ſe contente pas de nous dire des choſes ſolides, il veut encor qu’elles ayent ce beau dehors qui rauit tout le monde.	et il ne se contente pas de nous dire des choses solides, il veut encor qu'elles aient ce beau dehors qui ravit tout le monde.
Au lieu du vers precedent, voicy comme il parle.	Au lieu du vers précédent, voici comme il parle.
3.	3.
* M’areſtant, tu me faicts plus lentement mourir, Et le bras qui retient le poignard qui nous tue, 1 En empeſchant le coup luy meſme l’effectuë.	* M'arétant, tu me faits plus lentement mourir, Et le bras qui retient le poignard qui nous tue, 1 En empêchant le coup était même l'effectue.
* C’eſt de cette façon qu’il prent de Seneque, & ie penſe qu’en cela il eſt auſſi peu coupable que celuy qui planteroit dans le iardin de ſon voilin des tulypes & des anemones:	* C'est de cette façon qu'il prend de Sénèque, et notre pense qu'en cela il est aussi peu coupable que celui qui planterait dans le jardin de son voilin des tulipes et des anémones:
Tout ce qu’il a emprunté des vers Latins ç’a eſté pour en faire;	Tout ce qu'il a emprunté des vers Latins ç'a été pour en faire;
de ſemblables poutraits, qui peut.	de semblables poutraits, qui peut.
eſtre ne ſembleront pas aſſez bons, pour n’eſtre pas veritables & flatter vn peu trop leurs originaux.	être ne sembleront pas assez bons, pour n'être pas véritables et flatter un peu trop leurs originaux.
Il faut dire le vray, il ſçait merueilleuſement bien embellir & donner des ornements à vne matiere, & ie penſe qu’il nous pourroit faire prendŕe toutes les femmes pour des Reynes, s’il prenoit la peine de les parer.	Il faut dire le vrai, il sait merveilleusement bien embellir et donner des ornements à une matière, et deux pensées qu'il nous pourrait faire prendue toutes les femmes pour des Reines, s'il prenait la peine de les parer.
Neantmoins il me ſemble que lors qu’il nous donne quelques raiſonnements qui ne releuent que de luy, & qu’il veut.	Néanmoins il me semble que lors qu'il nous donne quelques raisonnements qui ne relèvent que de notre, et qu'il veut.
s’eſleuer ſans eſtre ſouſtenu d’aucune force eſtrangere;	s'élever sans être soutenu d'aucune force étrangère;
c’eſt alors qu’il paroiſt le mieux.	c'est alors qu'il paraît le mieux.
Il, nous fait bien voir que ceux qui ont aſpiré à la perfection, n’ont point tellement remply tous les chemins qui y meinent, que l’on ne puiſſe découurir d’auſſi beaux ſentiers comme eux qui conduiſent au meſme lieu ſans qu’il faille marcher ſur leurs pas;	Il, nous fait bien voir que ceux qui ont aspiré à la perfection, n'ont point tellement rempli tous les chemins qui y meinent, que l'on ne puisse découvrir d'aussi beaux sentiers comme eux qui conduisent au même lieu sans qu'il faille marcher sur leurs pas;
Lors qu’il a voulu faire deſtourner vne Reyne de ſon amour affin d’étouffer vne paſſiõ qui peut eſtre impudique, & trop violente ne luy pourroit eſtre que perilleuſe, ce n’a point eſté Senecque qui luy a faict dire ces vers.	Lors qu'il a voulu faire détourner une Reine de son amour affin d'étouffer une passy qui peut être impudique, et trop violente ne lui pourrait être que périlleuse, ce n'a point été Senecque qui luitaît fait dire ces vers.
Penſez bien que ce Throſne où vous mirent les Cieux Vous expoſe aux regards des hommes & des Dieux, Que ce haut lieu vous met en butte à la tempeſte;	Pensez bien que ce Trône où vous mirent les Cieux Vous expose aux regards des hommes et des Dieux, Que ce haut lieu vous met en butte à la tempête;
Que ce peuple abaißé dont vous foulez la teſte Aulec mille yeux ouuerts veille à vos actions:	Que ce peuple abaisse dont vous foulez la tête Aulec mille yeux ouverts veille à vos actions:
Et qu’on ne luy ſcauroit cacher vos paßions.	Et qu'on ne le saurait cacher vos passions.
Si Phedre auoit entendu de ſi belles raiſons, il ne luy auroit reſté de l’amour que pour celuy qui les luy auroit dites, & elle auroit bien toſt conſideré que le Throſne n’authorize point le vice, que le rang qu’on tient au conue uot hutiee, ne iert bien ſouuent qu’à rendre les mauuaiſes actions plus criminelles, & que les Roys qui ſont comme de grandes lumieres dont l’éclat ébloüit les peuples, ne peuuent eſtre dans le dereglement qu’on ne le connoiſſe auſſi-toſt comme on feroit celuy des Aſtres & du Soleil, & que ſi le moindre deſordre de ceux-cy change les ſaiſons & trouble toute la nature, les mauuais deportements des autret ſont bien ſouuent cauſes de la deſolation des peuples, & ſont touſiours des Images ſales qui ſe font voir aux yeux de tout vn monde.	Si Phedre avait entendu de si belles raisons, il ne voulait resté de l'amour que pour celui qui les hommes aurait dites, et elle aurait bien tôt considéré que le Thrône n'autorise point le vice, que le rang qu'on tient au conue ot hutie, ne jert bien souvent qu'à rendre les mauvaises actions plus criminelles, et que les Rois qui sont comme de grandes lumières dont l'éclat ébloüit les peuples, ne peuvent être dans le dérèglement qu'on ne le connaisse aussitôt comme on ferait celui des Astres et du Soleil, et que si le moindre désordre dé ceux-cy change les saisons et trouble toute la nature, les mauuais déportements de autret sont bien souuent causes de la désolation des peuples, et sont tousiours des Images sales qui se font voir aux yeux de tout monde.
Pour peu que noſtre Reyne ſe fuſt arreſtée à mediter ſur ce ſujet, elle auroit rompu le deſſein de perdre ſon Hippolyte, & n’auroit point eſté plus brutale dans ſa cruauté que les Tigres & les Lions, qui aumilieu de leur plus grande rage ſçauent bien épargner ce qu’ils ayment.	Pour peu que notre Reine se fût arrêtée à méditer sur ce sujet, elle aurait rompu le dessein de perdre son Hippolyte, et n'aurait point été plus brutale dans sa cruauté que les Tigres et les Lions, qui aumilieu de leur plus grande rage saurent bien épargner ce qu'ils aiment.
Mais elle croyoit peut-eſtre que le tonnerre ne gronde que pour épouuanter le petit peuple, & non pas pour menacer les Roys, que la foudre n’ecraſe & ne conſume que les maiſons couuertes de chaume, & qu’elle conſerue du reſpect pour l’or & l’azur des Palais.	Mais elle croyait peut-être que le tonnerre ne gronde que pour épouvanter le petit peuple, et non pas pour menacer les Rois, que la foudre n'écrase et ne consume que les maisons couvertes de chaume, et qu'elle conserve du respect pour l'or et l'azur des Palais.
Flattée de cette opinion elle abandonnoit entierement ſa raiſon à ſon humeur, & eſtant dans ſon Cabinet elle croioit eſtre auſſi bien à couuert des vangeances du Ciel comme de la pluye & de l’iniure des dailono, pauuimuoiomponmauron cu ouoing de lire ce que ie ne crains point de mettre icy puis qu’on ne ſe peut laſſer de voir les belles choſes.	Flattée de cette opinion elle abandonnait entièrement sa raison à son humeur, et étant dans son Cabinet elle croyait être aussi bien à couvert des vengeances du Ciel comme de la pluie et de l'injure des dailono, pauuimuoiomponmauron cv ouoing de lire ce que je ne crains point de mettre ici puis qu'on ne se peut lasser de voir les belles choses.
Ces Marbres arrachez du centre de la TerreEt que le luxe eſleue où ſe faict le Tonnerre Sont touſiours dans l’orage & parmy les éclairs Et ſentent les premiers la cholere des airs, vtx nangugmesstuns jourdu emt uux umpeſtes La foudre abat ſouuent leurs orgueilleuſes teſtes, Et tel en eſleuant vn ouurãge ſi bean Croit baſtir vn Palais qu’il batiſt vn Tombeau.	Ces Marbres arrachés du centre de la TerreEt que le luxe esleue où se fait le Tonnerre Sont toujours dans l'orage et parmi les éclairs Et sentent les premiers la colère des airs, utx nangugmesstuns jourdu emt umpestes La foudre abat souvent leurs orgueilleuses têtes, Et tel en élevant un ouurãge si bean Croit bâtir un Palais qu'il batît un Tombeau.
Veritablement la beauté de ces Moralitez me charme, & ceux qui ont le gouſt des bonnes choſes, auoue, ront qu’elles doiuent l'emporter par deſſus celles --*.	Véritablement la beauté de ces Moralités me charme, et ceux qui ont le goût des bonnes choses, avoue, ront qu'elles doivent l'emporter par dessus celles --*.
2 Seneque, ſi ce n’eſt que celles-cy fuſſent venerables à cauſe de leur vieilleſſe, ou qu’elles treuuaſſent encore des flatteurs depuis tant de fiecles que leur Autheur eſt hors du monde.	2 Sénèque, si ce n'est que celles-cy fussent vénérables à cause de leur vieillesse, ou qu'elles trouvassent encore des flatteurs depuis tant de siècles que leur Auteur est hors du monde.
Ceux qui connoiſſent celuy de cette piece s’eſtonneront de voir qu’en vn âge où l’on eſtime ceux qui ne font point d’impertinẽces, il nous apprenne de ſi belles choſes.	Ceux qui connaissent celui de cette pièce s'étonneront de voir qu'en un âge où l'on estime ceux qui ne font point d'impertinces, il nous apprenne de si belles choses.
Parmy les preſents que nous donne la Nature ceux là remportent le prix qui ſont comme les auancouriers des autres, en nous venans beaucoup pluſtoſt qu’on ne les oſoit attendre.	Parmi les présents que nous donne la Nature ceux -là remportent le prix qui sont comme les avancouriers des autres, en nous venants beaucoup plutôt qu'on ne les osait attendre.
A cette conſideration ils ont l’honneut d'eſtre preſentez aux Princes & aux Roys, & l’on a meſme quelque ſorte d’Amour pour les arbres qui nous donnent des fruits en leur maturité lors que les autres ne font que d’éclore.	À cette considération ils ont l'honnut d'être présentez aux Princes et aux Rois, et l'on a même quelque sorte d'Amour pour les arbres qui nous donnent des fruits en leur maturité lors que les autres ne font que d'éclore.
La vertu a de nouueaux attraits quand elle eſt logée dans vne ieune Ame, & à y bien penſer cela eſt merueilleux de voir commencer pat les meſmes habitudes que la vieilleſſe ne ſe propoſe qu’au bout, & pour la recomp enſe de ſes belles actions.	La vertu a de nouveaux attraits quand elle est logée dans deux jeune Âme, et à y bien penser cela est merveilleux de voir commencer pat les mêmes habitudes que la vieillesse ne se propose qu'au bout, et pour la récompt ense de ses belles actions.
Quand i’attache vn peu mon eſprit à vne Meditation ſi agreable, me ſouuenant de ces La cedemoniens qui venoient au monde auecque des lances, il me ſemble que ie voy n’aiſtre des enfans auecques des Couronnes, & que ceux qui conſiderent de ſi beaux prodiges, concluent auſſi-toſt que ce ſont des marques de Royauté & d’vne puiſſance legitime.	Quand j'attache un peu mon esprit à une Méditation si agréable, me souvenant de ces La cédémoniens qui venaient au monde avec des lances, il me semble que je vois n'aître des enfants quelque des Couronnes, et que ceux qui considèrent de si beaux prodiges, concluent aussitôt que ce sont des marques de Royauté et d'une puissance légitime.
Ie ne mets point en doute que ces Tyrans qui veulent vſurper ſur les eſprits vn Empyre qui ne leur appartient pas, voyans tant de merueilles qui peuuent iuſtement remplir le Throſne de l’honneur & de la gloire, ne s’efforçaſſent d’en obſcurcir l’éclat s’ils oſoient l’entreprendre:	Je ne mets point en doute que ces Tyrans qui veulent usurper sur les esprits un Empire qui ne leur appartient pas, voyant tant de merveilles qui peuuent justement remplir le Thrône de l'honneur et de la gloire, ne s'efforçassent d'en obscurcir l'éclat s'ils osaient l'entreprendre:
