A MADEMOISELLE	À MADEMOISELLE
Oüy, ſi pat ſon reffus il cauſe vos alarmes, Nous en viendrõs pour vous de la priere aux armes.	Oui, si pat son reffus il cause vos alarmes, Nous en viendrons pour vous de la prière aux armes.
THERSANDRE.	THÉRSANDRE.
que ne vous dois jepomt pour toutes vos bontez,	que ne vous dois jepomt pour toutes vos bontés,
FELICIE.	FELICIE.
Mais acheuons de voit les autres ratetez.	Mais achevons de voit les autres ratetés.
FABRICE.	FABRICE.
Madame, de Diane admirez la peinture.	Madame, de Diane admirez la peinture.
FELICIE.	FELICIE.
Que dis-tu de Diane?	Que dis-tu de Diane?
Diiton, bas.	Diiton, bas.
O!	Ô!
funeſte auanture.	funeste aventure.
FABRICE.	FABRICE.
c'eſt la Diuinité dont le Temple eſt icy.	c'est la Divinité dont le Temple est ici.
DIANE, bas.	DIANE, bas.
le ceſſe de trembler,	le cesse de trembler,
FELICIE.	FELICIE.
Quel portraict eſt cecy.	Quel portrait est -ceci.
FABRICE.	FABRICE.
Celuy d’vne beauté dont la grace immortelle Fit armer deux amans qui ſoûpiroient pour elle;	Celui d'une beauté dont la grâce immortelle Fit armer deux amants qui soupiraient pour elle;
De cette belle enfin dont ie vous ay parlé, Pour qui Cleagenor, & Nearque ont bruſlé, Et qui de deux riuaux ardemment pourſuiuie, Couſte la fuitte à l’vn, comme à l'autre la vie, Quand Nearque fut mort i’achepté ſes portraits, Celuy-cy qu’il auoit ſans doute eſt des mieux faits, Mais quoy, oicagenorfeoemeon tous en inſtruire.	De cette belle enfin dont ie vous ai parlé, Pour qui Cléagénor, et Nearque ont brûlé, Et qui de deux rivaux ardemment poursuivie, Coute la fuite à l'un, comme à l'autre la vie, Quand Nearque fut mort j'acheté ses portraits, Celui-cy qu'il avait sans doute est des mieux faits, Mais quoi, oicagenorfeoemeon tous en instruire.
FELICIE, à Therſandre.	FELICIE, à Thersandre.
La ſecomnoinez vouss	La secomnoinez -vous
THERSANDRE.	THÉRSANDRE.
Ie ne ſçaurois qu'en dire.	Je ne saurais qu'en dire.
FELICIE.	FELICIE.
I'y remarque beaucoup de l’air de voſtre ſœur.	J'y remarque beaucoup de l'air de votre sœur.
DIANE, bas.	DIANE, bas.
O Dieux!	Ô Dieux!
qui me voyez, detournez ce mal-heur.	qui me voyez, détournez ce malheur.
FELICIE.	FELICIE.
Diané, le mitoir qui reçoit ton image, Repreſeute bien moins ton air, & ton viſage, Et quelqu’autre croiroit que le Peintre en effet, Sur ta preſence meſme acheua ce portraict.	Diané, le mitoir qui reçoit ton image, Représute bien moins ton air, et ton visage, Et quelqu'autre croiroit que le Peintre en effet, Sur ta présence même acheva ce portrait.
FABRICE.	FABRICE.
N'en doutez nullement, & par cette auanture Aumirez comme Tart imitte la nature:	N'en doutez nullement, et par cette aventure Aumirez comme Tart imitte la nature:
Oüy, c’eſt-elle pour qui Nearque a ſoûpité.	Oui, c'est-elle pour qui Narque a soupité.
THERSANDRE, bas.	THÉRSANDRE, bas.
Où ſommes-nous?	Où sommes-nous?
ô Dieux!	ô Dieux!
tout eſt deſeſperé.	tout est désespéré.
Tu me connois?	Tu me connais?
DIANE.	DIANE.
FABRICE.	FABRICE.
Ie ſuis de voſtre meſme ville, Meliſſe eſt voſtre mere, & demeure à Seuille, Quelle aura de plaiſir d’apprendre à mon retour Que Celie en ces lieux reſpite encor le jour.	Je suis de votre même ville, Mélisse est votre mère, et demeure à Seuille, Quelle aura de plaisir d'apprendre à mon retour Que Célie en ces lieux respite encor le jour.
FELICIE	FELICIE
quoy?	quoi?
Celie.	Celie.
FELICIE.	FELICIE.
FABRICE.	FABRICE.
Oüy, Celie, & c’eſt ſon nom, Madame,	Oui, Célie, et c'est son nom, Madame,
DIANE.	DIANE.
Quel nuage d’erreur aueugle ainſi ton ame, Celle que tuveux uite, ec ta eene chi Meurut auant Nearque.	Quel nuage d'erreur aveugle ainsi ton âme, Celle que tuveux uite, ec ta eue chi Meurut ant Narque.
FABRICE.	FABRICE.
Hà!	Hà!
i'en ſçay toue le fin.	j'en sais toue le fin.
Seuille eſt maintenant inſtruite du contraire, Et cette fauſſe mort, ne m'eſt plus vn myſtere;	Seuille est maintenant instruite du contraire, Et cette fausse mort, ne m'est plus un mystère;
Ie ſçay, quoy que chez vous, où on porta le deuil, Qu'on ſiſt en voſtre place enterrer vn cercueil, Et que de voſtre mort cette apparente marque Pût ſeule nous ſauuer des deſſeins de Nearque;	Je sais, quoi que chez vous, où on porta le deuil, Qu'on zist en votre place enterrer un cercueil, Et que de votre mort cette apparente marque Pût seule nous sauver des desseins de Narque;
Vous vous miſtes ſur met, le ſçay-je bien encor, Où vous ne ſoûpiriez que pour Cleagenor, A voſtre mere, à vous, la met fut inſidelle, Que l'orage fut grand qui vous ſepara d’elle, sul vn aixeichappee ene cueſcna par tout, Elle a veu l'Vniuers de l'vn à l'autre bout, Et de retour enſn elle croit à Seuille, Que voſtre mort a fait ſa recherche inutile.	Vous vous mîtes sur met, le sais-je bien encor, Où vous ne soupiriez que pour Cleagenor, A vôtre ure, à vous, la met fut insidelle, Que l'orage fut grand qui vous sépara d'elle, sul un aixeichappe ene cuescna par tout, Elle a vu l'Univers de l'un à l'autre bout, Et de retour enn elle croit à Seuille, Que votre mort a fait sa recherche inutile.
DIANE.	DIANE.
Tu connois des ſecrets qui me ſont inconnus.	Tu connais des secrets qui me sont inconnus.
FABRICE.	FABRICE.
Pourquoy diſſimuler, on ne les cele plus, Et queiqu un de vor gem de ce ſccrec couplice, D'vne telle impoſture ayant donné l'indice, Nearque n’eſtant plus, Meliſſe de retour, N’a pas deſauoüé cette adreſſe d’amour, Et ce que i’en ay ſçeu ie ne le tiens que d’elle.	Pourquoi dissimuler, on ne les cèle plus, Et queiqu' amour de vor gem de ce screc couplice, D'une telle imposture ayant donné l'indice, Nearque n'étant plus, Mélisse de retour, N'a pas desauoüé cette adresse d'amour, Et ce que j'en ai su ie ne le tiens que d'elle.
THERSANDRE.	THÉRSANDRE.
Tout ce que tu nous dis eſt choſe fort nouuelle.	Tout ce que tu nous dis est chose fort nouvelle.
FABRICE.	FABRICE.
Vous faites bien le fein, & le diſſimulé, Seroit-ce point de vous tantoſt qu’on m’a parle, G Alors qu'on m'a prié pour fortit de cette Iſle, De mettre en mon vaiſeau deux Bergers de Seuille,	Vous faites bien le sein, et le dissimulé, Serait-ce point de vous tantôt qu'on m'a parle, G Lors qu'on m'a prié pour fortit de cette Isle, De mettre en mon vaiseau deux Bergers de Seville,
THERSANDRE.	THÉRSANDRE.
Mſadame, ce Marchand compoſe des Romans, Et vous vient d’inuenter tous ces euenemens.	Msadame, ce Marchand compose des Romans, Et vous vient d'inventer tous ces événements.
FELICIE.	FELICIE.
Son diſcours toutesfois n’eſt pas ſans apparence, I'y trouue de la ſuitte, & de la vray ſemblance, Si ie m’en ſouuiens bien, vous mettiez de bon cœur L'inteteſt de Celie és mains de voſtre ſœur, Elle vous promet bien d’accorder ſa querelle, Et pour dire en vn mot, elle vous répond d’elle:	Son discours toutefois n'est pas sans apparence, J'y trouve de la suitte, et de la vrai semblance, Si grande m'en souviens bien, vous mettiez de bon cœur L'intettet de Celie ès mains de votre sœur, Elle vous promet bien d'accorder sa querelle, Et pour dire en un mot, elle vous répond d'elle:
Marchand vne auttefois vous reuiendrez icy.	Marchand une auttefois vous reviendrez ici.
Quoy tous deux hardiment vous me trompez ainfi, Quoy tous deux ſous des nons que forme l’impeſture, Vous meſnagez vos feux, cachez voſtre auanture, Et dedans mon palais, dans ma cout, à mes yeux, cous cesnoms ioppures vous me jouer tous deux, C'eſt donc là voſtre ſœut:	Quoi tous deux hardiment vous me trompez ainsi, Quoi tous deux sous des nons que forme l'impêture, Vous ménagez vos feux, cachez votre aventure, Et dedans mon palais, dans ma coût, à mes yeux, cous cesnoms joppures vous me jouer tous deux, C'est donc là votre sœut:
Inſolent, inſolente vous içaurez il pour vous ma hame en lopuiſſante Er vous eſprouuetez.	Insolent, insolente vous içaurez il pour vous ma hame en lopuissante Er vous éprouvez.
THERSANDRE.	THÉRSANDRE.
Hà, Madame,	Hà, Madame,
FELICIE.	FELICIE.
Impoſteur, Va, tu me reſpondras des troubles de mon cœur, Auec impunte ſamais on ne m’antonte.	Imposteur, Va, tu me répondras des troubles de mon cœur, Au impunte samais on ne m'antonte.
Vous ſerez l’vn & l'autre immolez à ma honte, et tous deoredomer en me voj anc agu;	Vous serez l'un et l'autre immolés à ma honte, et tous deoredomer en me voj anc u;
Vous vous repentirez de m’auoir fait rougir, Oſtez vous de mes yeux.	Vous vous repentirez de m'avoir fait rougir, Ustez -vous de mes yeux.
THERSANDRE.	THÉRSANDRE.
Cer munnuanca le noſtre.	Cer munnuanca le nôtre.
FELICIE, à Philinte.	FELICIE, à Philinte.
Dans chaque appartement ſeparez l'vn & l'autre, Qu'ils ne ſe parlent point:	Dans chaque appartement séparez l'un et l'autre, Qu'ils ne se parlent point:
ô mal heur ſans pareil!	ô mal heur sans pareil!
Que feray je, & de qui dois je prendre conſeil.	Que ferai -je, et de qui dois je prendre conseil.
tſeouteray-jie encor, mon amout qui murmure, Enfin dois-je ſouffrit, ou repouſſer l'injure.	tseouterai-jie encor, mon amout qui murmure, Enfin dois-je souffrit, ou repousser l'injure.
Non, faiſons ſucceder à nos affections, pans vn cœur offenſé ces noires paſſions, Cez futeurs, par qui f'ame en deſordre & troubléeRo npt.	Non, faisons succéder à nos affections, pans un cœur offensé ces noires passions, Cez futeurs, par qui s'âme en désordre et troubléeRo nott.
& briſe le joug dont elle eſt accablée, Ne ſe propoſe rien qu’elle n’en vienne à bout, Et pour plaire à ſa haine, oſe tout, & peut tout:	et brise le joug dont elle est accablée, Ne se propose rien qu'elle n'en vienne à bout, Et pour plaire à sa haine, ose tout, et peut tout:
Oüy, perdons ſes ingrats, & par experience, s’ils ont veu mes-bontez qu’ils ſçachent ma puiſſance, qu’ils ne ſe mocquent point de ma ſimplicité, Et ne reprochent rien à ma credulité:	Oui, perdons ses ingrats, et par expérience, s'ils ont vu mes-bontés qu'ils sçachent ma puissance, qu'ils ne se moquent point de ma simplicité, Et ne reprochent rien à ma crédulité:
quoy?	quoi?
perfide Therſandre, hà!	perfide Thersandre, hà!
ce nom de Therſandre sçait combattre en mon cœur encor, & ſe deſfendre;	ce nom de Thersandre sais combattre en mon cœur encor, et se défendre;
Mes eſprits à ce nom, ſont encores flottans, Mon courroux s’affoiblit, ma haine eſt en ſuſpens, e ne ſuis pas d’accord de ce que ie demande, Ce que ie veux le plus, c’eſt ce que i’apprehende;	Mes esprits à ce nom, sont encores flottants, Mon courroux s'affaiblit, ma haine est en suspens, ne suis pas d'accord de ce que ie demande, Ce que je veux le plus, c'est ce que j'appréhende;
à!	à!
perfide, faut il pour me perſecuter Que ie ſois pour te perdre en eſtat de douter.	perfide, faut -il pour me persécuter Que on sois pour te perdre en état de douter.
Non, non, ny penſons plus, vn ſi ſenſible outrage, tme mon deſeſpoir, permet tout à ma rage, ſſayons ſi mon art me ſett fidelement, Ce n’eſt pas mon deſſein que l’vn & l’autre e pires Mais ils vont endurer quelque choſe de pite, Par l’effet de mon art, & d’eſtranges efforts, Tous les iours ſans mourir, ils auront mille morts Tous les iours, tour à touc, i’affligeray ſans ceſſe, t les yeux de l’amant, & ceux de la maiſtreſſe, t tous deux pour ſe faire eſgalement ſouffrir, e verront l’vn & l’autre, & reuiure, & mourir:	Non, non, mieux pensons plus, un si sensible outrage, tme mon désespoir, permet tout à ma rage, saisons si mon art me sett fidèlement, Ce n'est pas mon dessein que l'amour et l'autre e ires Mais ils vont endurer quelque chose de pite, Par l'effet de mon art, et d'étranges efforts, Tous les jours sans mourir, ils auront mille morts Tous les jours, tour à touc, j'affligerai sans cesse, et les yeux sans çesse, et ceux de la maîtresse, t tous deux pour se faire également souffrir, eût verront mourir, et mautre, et mourir, et mourir:
ette peine eſt cruelle, & ce ſupplice eſtrange;	Jette peine est cruelle, et ce supplice étrange;
ais c’elt comme j’agis, & comme ie me vauge;	ais c'elt comme j'agis, et comme tu me vauge;
llons executer ce que j’ay projetté, nous armons pour eux d’inſenſibilité.	lons exécuter ce que j'ai projetté, nous armons pour eux d'insensibilité.
ACTE SCENE I.	ACTE SCÈNE I.
V.	V.
CLIDAMANT.	CLIDAMANT.
PARTHENTE.	PARTHENTE.
CLIDAMANT.	CLIDAMANT.
T'Amais tien de pareil ne s’offrit à mes yeux, Les cris de ces amans rempliſſent tous ces lieux, A peine en ce moment, que ie les viens d’entendre, Ay-je peu reconnoiſtre, & Diane, & Therſaudre, La mort ſus leur viſage, errante tour à tour, Ne les peut faire encor mourir à leur amour;	T'Amais tien de pareil ne s'offrit à mes yeux, Les cris de ces amants remplissent tous ces lieux, À peine en ce moment, que personne les viens d'entendre, Ai-je peu reconnaître, et Diane, et Thersaudre, La mort sus leur visage, errante tour à tour, Ne les peut faire encor mourir à leur amour;
Mais.	Mais.
Madame, eſt il vray ce qu’icy l’on publie, Que cét enchantement vienne de Felicie?	Madame, est il vrai ce qu'ici l'on publie, Que cet enchantement vienne de Félicie?
Qu’à punit ces amans, ſon art ait reüſſi, Et qu’elle ait pris plaiſit de ſe vanger ainſi.	Qu'à punit ces amants, son art ait réussi, Et qu'elle ait pris plaisit de se venger ainsi.
PARTHENIE.	PARTHENIE.
Oüy, cét enchantement ſans doute eſt ſon ouurage Elle pourroit eucore faire bien dauantage:	Oui, cet enchantement sans doute est son ouvrage Elle pourrait eucore faire bien davantage:
Son art luy permet tout, & le ſort des humains Au gré de ſes ſouhaits, ſemble eſtre entre ſes mains, Que ne fait elle point quand elle eſt en colere, Le mal-heutenx Thyrſis ſçait ce qu’elle peut faire, Pouuez vous ignorer ſes peines, ſon ſoucy?	Son art Seigneur permet tout, et le sort des humains Au gré de ses souhaits, semble être entre ses mains, Que ne fait elle point quand elle est en colère, Le malheutenx Tirs sais ce qu'elle peut faire, Pouvez vous ignorer ses peines, son souci?
CLIDAMANT.	CLIDAMANT.
Non, ie les ſçay, Madame, & i’en ſuis eſclaircy.	Non, Seigneur les sais, Madame, et j'en suis éclairci.
PARTHENIE.	PARTHENIE.
Et bien vous ſçauez donc qu’il aymoit Roſelie, qu’il trompa de la Nymphe, & Ttiponr, & l'enuie qui me l’a iuſqu’icy deſtiné pour eſpoux, Et ne ſçait pas les feux dont ie bruſle pour vous.	Et bien vous savez donc qu'il aimait Roselie, qu'il trompa de la Nymphe, et Ttiponr, et l'envie qui me l'a jusqu'ici destiné pour époux, Et ne sait pas les feux dont deux brûle pour vous.
A ſes commandemens ce Berger fut rebelle, que ne fit elle point;	À ses commandements ce Berger fut rebelle, que ne fit elle point;
Roſelię eſtoit belle, Elle deuient malade, elle pleure, & ſe plaint, L'eſclat de ſes beaux yeux en vn moment s’eſteint, La blancheur de ſes lys, au meſme temps s’efface, Et de tant de beautez on ne voit que la place, Son amant qui la vit à ſes yeux enleuer, Depuis ce temps la cherche, & ne la peut trouuer;	Rosélia était belle, Elle devient malade, elle pleure, et se plaint, L'éclat de ses beaux yeux en un moment s'éteint, La blancheur de ses lys, au même temps s'efface, Et de tant de beautés on ne voit que la place, Son amant qui la vit à ses yeux enlever, Depuis ce temps la cherche, et ne la peut trouver;
Ce fut vn coup d’eſſay de ſon apprentiſſage, Mais celuy-cy ſans doute eſt bien vn autre ouurage.	Ce fut un coup d'essai de son apprentissage, Mais celui-cy sans doute est bien autre ouvrage.
Si pour mon intereſt dans ſon reſſentiment, Elle a fait de Thyrſis vn mal-heureux amant;	Si pour mon intérêt dans son ressentiment, Elle a fait de Tirsis un malheureux amant;
lugez iuſqu’àquel point ſenſible a ſon offenſe, Pour ſon ptopre intereſt peut aller ſa vengeance.	lugez jusqu'àquel point sensible à son offense, Pour son ptopre intérêt peut aller sa vengeance.
CLIDAMANT.	CLIDAMANT.
Si la Nymphe connoiſt l’amour que i'ay pour vous, Elle me traittera de meſme en ſon coutroux, Et me faiſant porter dans quelqu’Iſle effroyable, Le reſte de mes iours me rendra miſerable;	Si la Nymphe connaît l'amour que j'ai pour vous, Elle me traitera de même en son coutroux, Et me faisant porter dans quelqu'Île effroyable, Le reste de mes jours me rendra misérable;
Mais dequoy que ſon ait le ſesde conre moy, Sa haine qui peut tout', ne peut rien ſur ma foy:	Mais dequoy que son ait le ses conre moi, Sa haine qui peut tout, ne peut rien sur ma foi:
Poutrois-je me flatter de la meſme eſperance, Qie vous euſſiez auſſi, pour moy-meſme conſtance.	Poutrais-je me flatter de la même espérance, Qie vous eussiez aussi, pour moi-même constance.
PARTHENIE.	PARTHENIE.
Vous n’en ſçauriez douter, oüy, ie ſuis toute à vous, Mon amour eſt plus forte, & craint peu ſon courroux, le vous la gardetay touſiours ſincere & ferme, Et conſtante en mes feux, iuſqu’à mon dernier terme, Deut ſa haine me perdre, & me priuer du iour, L’on me verra mourir plutoſt que mon àmour.	Vous n'en sauriez douter, oui, je suis toute à vous, Mon amour est plus forte, et craint peu son courroux, le vous la gardetai toujours sincère et ferme, Et constante en mes feux, jusqu'à mon dernier terme, Deut sa haine me perdre, et me priver du jour, L'on me verra mourir plutôt que mon amour.
CLIDAMANT.	CLIDAMANT.
Que ne vous dois-je point?	Que ne vous dois-je point?
SCENE II.	SCÈNE II.
ISMENE.	ISMENE.
THIMANTE.	THIMANTE.
PARTHENIE.	PARTHENIE.
CLIDAMANT.	CLIDAMANT.
ISMENE.	ISMENE.
Que venons nous d’apprendre, Hà!	Que venons nous d'apprendre, Hà!
Madame, eſt il vray ce qu’on nous fait entendre, que Diane & Therſandre en ce meſme moment, Par les effects du ſort, & de l'enchantement;	Madame, est il vrai ce qu'on nous fait entendre, que Diane et Thersandre en ce même moment, Par les effets du sort, et de l'enchantement;
rour pleurer ieuis mui neuis;	rour pleurer jeuis mui neuis;
qu'a ſait naiſtre l’enuie, Et perdent tour à tour, & recourrent la vle.	qu'a sait naître l'envie, Et perdent tour à tour, et recourrent la vle.
PARTHENIE.	PARTHENIE.
iſmene, il eſt trop vray, c’eſt vn enchantement,	ismene, il est trop vrai, c'est un enchantement,
THIMANTE.	THIMANTE.
Si i'oſois expliquer icy mon ſentiment, On impute à la Nymphe vne telle iniuſt'ce.	Si j'osais expliquer ici mon sentiment, On impute à la Nymphe une telle injust-ce.
PARTHENTE.	PARTHENTE.
I n’en faut point douter, & ce cruel ſupplice Marque pat ces effets de fon authorité, Qu'on ne l’offenſe point auec impunité.	I n'en faut point douter, et ce cruel supplice Marque pat ces effets de son autorité, Qu'on ne l'offense point auec impunité.
CLIDAMANT.	CLIDAMANT.
quel que ſoit ſon pouuoir qui cauſe noſtre crainte;	quel que soit son pouvoir qui cause notre crainte;
Allons tous de ce pas luy porter noſtre plainte, c'eſt vn mauuais moyen de ſe faite obeïr, Penſant ſe faſte craindre, elle ſe fait haït.	Allons tous de ce pas lui porter notre plainte, c'est un mauvais moyen de se faite obéir, Pensant se faste craindre, elle se fait hait.
Et ce ſecours fatal, qu’appelle ſa vengeance.	Et ce secours fatal, qu'appelle sa vengeance.
N’eſtablit que ſon crime, & non pas ſa puiſſance;	N'établit que son crime, et non pas sa puissance;
Mais ie la voy venit.	Mais ici la voy venit.
BELICIE.	BÉLICIE.
PHILINTE.	PHILINTE.
CLIDAMANE.	CLIDAMANE.
PARTHENIE.	PARTHENIE.
THIMANTE.	THIMANTE.
ISMENE.	ISMENE.
EDLIOIEt e Tonmme.	ÉDLIOIEt eût Tonmme.
Quoy, ce coup te ſurprend?	Quoi, ce coup te surprend?
PHILINTE.	PHILINTE.
Madame, en verité leur ſup plice eſt trop grand, Etdansi ſe deux tout le monde enſaimuse.	Madame, en vérité leur svp pliée est trop grand, Édansi se deux tout le monde ensaimuse.
FELICIE.	FELICIE.
Qu’en dites vous, Bergers?	Qu'en dites -vous, Bergers?
ſçay-je vanger l’injure?	sais-je venger l'injure?
CLIDAMANT.	CLIDAMANT.
Oüy, Madame, & l'eſtat où vous les auez mis, De tous leurs enuieux leur a fait des amis:	Oui, Madame, et l'état où vous les avez mis, De tous leurs envieux leur a fait des amis:
Oyez noſtre priere, & leur rendez iuſtice, Qu'ont ils fait apres tout digne de ce ſupplice, Pour auoir de vos yeux deſtourné leur amour, Pour auoir en parens veſcu dans voſtre Cour, Trompé de leuts ialoux, & l'eſpoir, & l'enuie, Conſerué leur honneur, & peut-eſtre leur vie, Eſt-ce vn crime ſi grand, qu’on le doiue punir Par des enchantemens quine puiſſent ſinir;	Oyez notre prière, et leur rendez justice, Qu'ont ils fait après tout digne de ce supplice, Pour avoir de vos yeux détourné leur amour, Pour avoir en parents vécu dans votre Cour, Trompé de luts jaloux, et l'espoir, et l'envie, Conservé leur honneur, et peut-être leur vie, Est-ce un crime si grand, qu'on le doive punir Par des enchantements quine puissent sinir;
Faut il faire mourir, & renaiſtre ſans ceſſe Tout à tour, tous les iours, l’amant & la maiſtreſſe, Et que par vn eſtrange, & trop indigne ſort Le viuant tour à tout, plaigne touſiours le mort.	Faut -il faire mourir, et renaître sans cesse Tout à tour, tous les jours, l'amant et la maîtresse, Et que par un étrange, et trop indigne sort Le vivant tour à tout, plaigne toujours le mort.
Leurs pltoyables cris, & leurs clameurs farouches Donnent à ces rochers des ames, & des bouches Pour ſe plaindre auec moy ;	Leurs pltoyables cris, et leurs clameurs farouches Donnent à ces rochers des âmes, et des bouches Pour se plaindre avec moi ;
que ces triſtes propos Eſtonnent cét azile, & troublent ſon repos.	que ces tristes propos Étonnent cet asile, et troublent son repos.
PARTHENIE.	PARTHENIE.
Daignez auſſi, Madame, eſcoutet ma priere, Eſparguez de la foudre, & de voſtre cholere ce ſéjour où les Dieux verſent à plaines mains Et ne commancez pas à troubler la franchiſe De ces lieux bien heureux que le Ciel fauoriſe, Pour plante aces nergeil puon les veux incertains Voudroient vn autre azile, ou d’autres Souuerains.	Daignez aussi, Madame, écoutet ma prière, Esparuez de la foudre, et de votre cholère ce séjour où les Dieux versent à plaines mains Et ne commancez pas à troubler la franchise De ces lieux bien heureux que le Ciel favorise, Pour plante aces nergeil puon les veux incertains Voudraient un autre asile, ou d'autres Souverains.
THIMANTE.	THIMANTE.
Oüy, Madame, empeſchez ce funeſte murmure, Aſſez & trop long-temps cét enchantement dure, Rompez, rompez le charme, & ſur l’heure donnezLe calme à nos eſprits qui ſont tous eſton iez.	Oui, Madame, empêchez ce funeste murmure, Assez et trop longtemps cet enchantement dure, Rompez, rompez le charme, et sur l'heure donnezLe calme à nos esprits qui sont tous éton iez.
ISMENE.	ISMENE.
Si dans là liberté, qui m'eſt trop ordinaire, Ma bouche oſoit icy parler ſans vous déplaire, Ie vous auertirois, que parmy ces dangers Vous n’autez plus icy-Bergeres, ny Bergers, On n'y cherchera plus de retraite & d’azyle, Teus comme d’vn eſcueil ſortiront de voſtre Iſle, at tous ces beaux pais, Inomeni de lemuers;	Si dans là liberté, qui m'est trop ordinaire, Ma bouche osait ici parler sans vous déplaire, Je vous avertirais, que parmi ces dangers Vous n'autés plus ici -Bergeres, ni Bergers, On n'y cherchera plus de retraite et d'asile, Teus comme d'un écueil sortiront de votre Île, at tous ces beaux pais, Inomeni de lemuers;
Ne ſeront que rochers, Madame, & que deſerts Pour auoir des ſujets, reglez mieux voſtre haine, Et ſut vos paſſions ſoyez plus ſouueraine.	Ne seront que rochers, Madame, et que déserts Pour avoir des sujets, réglez mieux votre haine, Et sut vos passions soyez plus souveraine.
FELICIE.	FELICIE.
Bergers, voſtre diſcours m’eſtonne & me ſurprend, De tout ce que ie fais mon art en eſt garand, Ie pourrois entreprendre encore dauantage, Et ſi ce que i'ay fait vous paroiſt vn outrage, Auez vous pour vous plaindre, & pour en murmurer Le droit de me reprendre, & de me cenſurer?	Bergers, votre discours m'étonne et me surprend, De tout ce que je fais mon art en est garant, Je pourrais entreprendre encore davantage, Et si ce que j'ai fait vous paraît un outrage, Avez -vous pour vous plaindre, et pour en murmurer Le droit de me reprendre, et de me censurer?
Quoy?	Quoi?
le Berger Therſandre, auec tant d’inſolence M’aura fait vne iniure, & choqué ma puiſſance, Aura mis le deuoir, & le reſpect à bas, Et pouuant le punir ie ne l'oſeray pas, Ne le preſumez point, le ſang de Zoroaſtre:	le Berger Thersandre, avec tant d'insolence M'aura fait une injure, et choqué ma puissance, Aura mis le devoir, et le respect à bas, Et pouvant le punir ainsi ne l'oserai pas, Ne le présumez point, le sang de Zoraître:
Neeſt pas encore né ſous vn ſi mauuais aſtre, I’en ſçay mieux l’inſſuence, & ie ſçay l’appliquer A la perte de ceux qui m’oſent attaquer:	Neest pas encore né sous un si mauvais astre, J'en sais mieux l'inssuence, et et éclai l'appliquer A la perte de ceux qui m'osent attaquer:
Oüy, Bergets, ie connoy des hetbes, des racines Qui ſont, ſelon mon choir, poiſons, & medecines, Et par qui quand ie veux, & quand ie l’ay preſcrit, Ie confons la memoire, & ie trouble, l’eſprit, Mais i’en ſçay bien vſer, & n’en fais ma deffenſe Que pour le chaſtiment de celuy.	Oui, Bergets, ainsi connais des hetbes, des racines Qui sont, selon mon choir, poisons, et médecines, Et par qui quand quelque veux, et quand on l'ai prescrit, Je confons la mémoire, et ainsi trouble, l'esprit, Mais j'en sais bien user, et n'en fais ma défense Que pour le châtiment de celui.
qui, m'offenſe;	qui, m'offense;
N’ay-je pas intereſt de maintenir ainſi Lã dignité du rang que ie poſſede icy, Ceux qui m’oſent brauer, ſans doute ſe hazardent, Mon ſceptre eſt embraſſt de ſerpens qui le gardent, Dont le regard affreux deffend d’en approcher, Et menace de mort ceux qui l’uſent, toucher, Thyrſis ena ſenty la force non commune, Mais pourquoy reſiſter luy meſme à ſa fortune, Et dans ſes intereſts ſe connoiſtre ſi peu, que refuſer l’honneur du nom de mon neveu;	N'ai-je pas intérêt de maintenir ainsi Lans dignité du rang que femme possède ici, Ceux qui m'osent braver, sans doute se hasardent, Mon sceptre est embrast de serpens qui le gardent, Dont le regard affreux défend d'en approcher, Et menace de mort ceux qui l'usent, toucher, Thyrs ena senti la force non commune, Mais pourquoi résister lui mesme à sa fortune, Et dans ses intérêts se connaître si peu, que refuser l'honneur du nom de mon neveu;
Ie le veux éleuer, & ie l'attens encore Pour le faire accepter ce titre qui l’honore, Et luy faire tirer ce fruit de mon courroux, Que d’eſtre de ma niepce, & l’amant, & l’eſpoux?	Je le veux élever, et ie l'attends encore Pour le faire accepter ce titre qui l'honore, Et lui faire tirer ce fruit de mon courroux, Que d'être de ma niepce, et l'amant, et l'époux?
Vous changez de couleur, mais ſçachez Parthenie Qu'en vain vous me cachez voſtre, amoureuſe enuie, Vous aymez Clidamant, & ie n’ignore rien, Ny de voſtre deſſein, ny de voſtre entretien;	Vous changez de couleur, mais sachez Parthénie Qu'en vain vous me cachez votre, amoureuse envie, Vous aimez Clidamant, et Seigneur n'ignore rien, Ni de votre dessein, ni de votre entretien;
Mais par ce que ie puis, apprenez.	Mais par ce que Seigneur puis, apprenez.
I'vn, & l’autre, Qu'il me faut obeït, & qu’il y va du voſtre, Qu’il vous faut prendre garde à ne pas m’irriter, Et que let onne in ay met ni me nut sedouter,	J'un, et l'autre, Qu'il me faut obéir, et qu'il y va du vôtre, Qu'il vous faut prendre garde à ne pas m'irriter, Et que let onne in ai met ni me nut sédouter,
Madame.	Madame.
PARTHENIE.	PARTHENIE.
FELICIE.	FELICIE.
c’eſt aſſez, vous ſçauez ma deffenſe	c'est assez, vous savez ma défense
CLIBAMANT, bas.	CLIBAMANT, bas.
I'eſpere la flechir, mais gardons le ſilence.	J'espère la fléchir, mais gardons le silence.
THIMANTE.	THIMANTE.
