Avmndremire o	Avmndremire ô
Vons me voyez ſouſcrire á tout ce que vous faiſte Depuis combien de temps me donnez vous l’eſpoir De vous faire connoiſtre & de vous faire voir?	Vons me voyez souscrire ? tout ce que vous faîte Depuis combien de temps me donnez vous l'espoir De vous faire connaître et de vous faire voir?
Depuis le premier iour i’en ay voſtre parole, Elle a iuſqu’a preſent tousiours eſté frivole, Vous avez tout ſuiet de vous louer de moy, Et je dois vous blâmer de voſtre peu de foy:	Depuis le premier jour j'en ai rendre parole, Elle a jusqu'a présent toujours été frivole, Vous avez tout sujet de vous louer de moi, Et je dois vous blâmer de votre peu de foi:
Mais vous m’avez ndé, n’avez vous point d’addr Qui vous puiſſe obliger à manquer de promeſſe?	Mais vous m'avez nédé, n'avez -vous point d'addr Qui vous puisse obliger à manquer de promesse?
LEONOR.	LEONOR.
Me pouvez vous blamer, ſi vous ne m’entendez?	Me pouvez vous blâmer, si vous ne m'entendez?
je luis preite à vouloi ce que vous pretendez;	je luis précite à voulais ce que vous prétendez;
Vous ſouhaittez me voir, & c’eſt là mon envie:	Vous souhaitez me voir, et c'est là mon envie:
Que voulez vous de plus?	Que voulez -vous de plus?
DOM CARLOS Vous me donnez la vie:	DOM CARLOS Vous me donnez la vie:
Que voudrois-ie de plus?	Que voudrais-je de plus?
vous parler, & vous voir, Nelt-ce pas ce qui peut lalleurer mon eipoir ?	vous parler, et vous voir, Nelt-ce pas ce qui peut lalleurer mon eipoir ?
Faittes moy voir les traits de ce charmant viſage, Si i’en attens beaucoup, i’en verray davantage;	Faites -moi voir les traits de ce charmant visage, Si j'en attends beaucoup, j'en verrai davantage;
J’attens une beauté, qui n’aura point de prix.	J'attends une beauté, qui n'aura point de prix.
LEONOR Lorsque vous me verriez vous ſeriez trop ſurpris, Ne vous en faiſtes point une ſi belle idée Avant que de m’a voir fixement regardée:	LEONOR Lorsque vous me verriez vous seriez trop surpris, Ne vous en faîtes point une si belle idée Avant que de m'a voir fixement regardée:
Quoy que l’on ſçache bien que i’ay quelques appas, Eſtant ſi prevenu, vous ne les verriez pas.	Quoi que l'on sache bien que j'ai quelques appas, Étant si prévenu, vous ne les verriez pas.
Qui forme en ſon eſprit une beauté parfaitte, Trou uve malaiſement les choſes qu’il ſouhaitte:	Qui forme en son esprit une beauté parfaite, Trou aisément les choses qu'il souhaite:
difference eſt grande entre s’imaginer, le voir un obiet qu’on peut examiner.	différence est grande entre s'imaginer, le voir un objet qu'on peut examiner.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
voix de voſtre belle eſt metamorphoſée.	voix de votre belle est métamorphosée.
idis qu’elle eſt allée à ſon tour au labat:	idis qu'elle est allée à son tour au labat:
ſt une autre qui parle, ou bien ie ſuis un fat.	st une autre qui parle, ou bien belle suis un fat.
DOM FERNAND.	DOM FERNAND.
yez moy, Dom Carlos, ſans doute on vous abuſe, vous ne pouvez pas me payer d’une excuſe;	yez -moi, Dom Carlos, sans doute on vous abuse, vous ne pouvez pas me payer d'une excuse;
us eſtes mon rival, & c’eſt à cette fois, i’ay bien reconnu Leonor à la voix :	us êtes mon rival, et c'est à cette fois, j'ai bien reconnu Leonor à la voix :
e ſçaurois douter de voſtre amour extréme, our mon deſeſpoir je ſçay que l’on vous aime.	 sçaurois douter de votre amour extrême, our mon désespoir je sais que l'on vous aime.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
a Leonor ſt fort bien commencer, & ie vois maintenant Dom Carlos m’adore, & que pour Dom Fernand, us venez de broüiller un peu ſa fantaiſie.	à Leonor st fort bien commencer, et un vois maintenant Dom Carlos m'adore, et que pour Dom Fernand, us venez de brouiller un peu sa fantaisie.
LEONOR.	LEONOR.
ſt ſans doute atteint de quelque ialouſie.	st sans doute atteint de quelque jalousie.
outons.	outons.
BEATRIX	BEATRIX
DOM CARLOS a DOM FERNAND.	DOM CARLOS a DOM FERNAND.
Je croy peu vous avoir offenſé, is ſi de cet obiet dont je me ſens bleſſé, receu la faveur même ſans la connoiſtre, luy pouvoir parler deux fois à ſa feneſtre, ẽ ſçaurois iuger qui ſe peut eſtre encor.	Je crois peu vous avoir offensé, is si de cet objet dont je me sens blessé, reçu la faveur même sans la connaître, lui pouvoir parler deux fois à sa fenêtre, sçaurois iuger qui se peut être encor.
plus ie vous promets que ſi c’eſt Leonor.	plus ici vous promets que si c'est Leonor.
Pourvez Pour prix de l’amitié que vous m’avez iureé Voſtre flame en ma foy peut eſtre r’aſſurée, Je ne reverray plus ce qui m’a ſceu charmer, Et pout vos intereſts ie ceſſeray d’aimer.	Pourvez Pour prix de l'amitié que vous m'avez jureé Votre flamme en ma foi peut être rassurée, Je ne reverrai plus ce qui m'a su charmer, Et pout vos intérêts sans cesserai d'aimer.
LEONOR.	LEONOR.
Si quelqu’vn parle á vous faittes qu’il ſe retire.	Si quelqu'un parle vous faittes il se retire.
DOM CARLOS.	DOM CARLOS.
Vous avez entendu ce qu’elle vient de dire:	Vous avez entendu ce qu'elle vient de dire:
Pour vous mieux éclaircir allez iuſqu’au balcon:	Pour vous mieux éclaircir allez jusqu'au balcon:
vous iugerez aprés des choſes tout de bon;	vous jugerez après des choses tout de bon;
Et pour vous découvrir qu’elle eſt mon innocence:	Et pour vous découvrir qu'elle est mon innocence:
Je ne la verray point du tout en voſtre abſence.	Je ne la verrai point du tout en votre absence.
Fiez vous ſur ma foy, n’ayez aucun ſoucy, delue	Fiez -vous sur ma foi, n'ayez aucun souci, délue
DOM FERNAND.	DOM FERNAND.
Qu’a mon retour ie vous retrouve icy.	Qu'a mon retour ce vous retrouve ici.
DOM CARLOS,	DOM CARLOS,
DOM FERNAND.	DOM FERNAND.
Je feray diligence, Et ie ſors ſatisfait apres cette aſſeurance.	Je ferai diligence, Et ainsi sors satisfait après cette assurance.
OCLNVE DET TIEMEDOM CARLOS.	OCLNVE DET TIEMEDOM CARLOS.
GUSMAN.	GUSMAN.
LA PRINCES PORCIE.	LA PRINCES PORCIE.
LEONOR, BEATRIX.	LEONOR, BEATRIX.
a la feneſtre grillée.	à la fenêtre grillée.
LEONOR.	LEONOR.
Qui voux parloit là bas?	Qui voux parlait là bas?
c’eſt avoir peu de ſoin De ce qui me regarde, & mener un teſmoin, N’eſt point une Action d’une ame fort diſcrette, Declarer a grand bruſe dlle hanme ſeciete.	c'est avoir peu de soin De ce qui me regarde, et mener un témoin, N'est point une Action d'une âme fort discrette, Declarer a grand bruse dlle hanme seciète.
eſt en uſer fort mal, & ie ne ſçay pas bien le puis leurement acheuer l’entretien.	est en user fort mal, et ainsi ne sais pas bien le puis lûrement achever l'entretien.
DOM CARIOS.	DOM CARIOS.
h!	h!
n’apprehendez rien, c’eſt un autre moy-meſme, ’eſt un fidele amy qui me cherit, que i’aime, ui ſcait tous mes ſecrets, & tout autre que luy le ſeroit pas reſté ſans avoir de l’appuy, lais il vient de ſortir, Madame, á ma priere, ous pouvons nous parler avec franchiſe entiere, t pour vous teſmoigner que i’agis franchement, evay vous declarer quel eſt mon ſentiment.	appréhendez rien, est un autre moi-même, est un fidèle amy qui me cherit, que aime, scait tous mes secrets, et tout autre que lui le seroit pas resté sans avoir de appui, lais il vient de sortir, Madame, ma prière, pouvons nous parler avec franchise entière, pour n' appréhendez que yagis en, c' est un quelre mo sentiment,
u bal du viceroy ie n’ay point veu de dames, ui pûſſent, comme vous faire naiſtre des flames, ui pûſſent captiver un cœur comme le mien:	 bal du viceroy ie ay point de dames, Ut, bal du vice rai ici flames' ai point captiver un cœur de leames,
h!	h!
que ſije pouvois ne plus douter de rienlais c’eſt avec raiſon, Madame, que i’écoute, e qui peut m’oonger à ne rien mettre en doute;	que sije pouvais ne plus douter de rienlais c'est avec raison, Madame, que j'écoute, e qui peut m'oonger à ne rien mettre en doute;
ous neſtiez point au bal, & c’eſt par oú ie voy, ue ie ne me dois point fier à voſtre foy.	ous nétiez point au bal, et c'est par oú tu vois, ue ici ne me dois point fier à votre foi.
La PRINCESSE PORCIE.	La PRINCESSE PORCIE.
aittes le revenir du doute qu’il oppoſe, t de ce qu’il a veu dittes luy quelque choſe,	aites le revenir du doute qu'il oppose, tel de ce qu'il a vu dites lui quelque chose,
LEONOR.	LEONOR.
’eſt ce que ie feray.	’est ce que ie feray.
Je n’eſtois pas au bal ittes vous?	Je n'étais pas au bal ittes vous?
GUSHAN.	GUSHAN.
Elle eſt priſe, ou ie m’y connoy mal,	Elle est prise, ou belle m'y connais mal,
LEONOR.	LEONOR.
ávez vous point mené Pulcherie à la danſe?	Hévez -vous point mené Pulcherie à la danse?
’avez vous pas parlé long temps ávec conſtance?	Ç'avez -vous pas parlé long temps ávec constance?
D N'avez N’avez vous pas loüé ſon air & ſes beáutez, Sa taille, ſon maintien, ſes belles qualitez?	 D'avez N'avez -vous pas loué son air et ses beautés, Sa taille, son maintien, ses belles qualités?
N’avez vous pas pouſſé voſtre galanterie Contre Dom Manüel iuſqu’a la raillerie?	N'avez -vous pas poussé votre galanterie Contre Dom Manue jusqu'a la raillerie?
Ay-ie bien remarqué toutes vos actions?	Ai-je bien remarqué toutes vos actions?
GUSMAN.	GUSMAN.
Monſieur, elle a coinierce aveque les demons.	Monsieur, elle a coinierce aveque les démons.
Ne le ſcavez vous pas?	Ne le savez -vous pas?
DOM CARLOS, Tay toy.	DOM CARLOS, Tais -toi.
GUSMAN.	GUSMAN.
Pourquoy me taire Lorſque ie ſçay par cœur tout ce qu'elle ſçait faire:	Pourquoi me taire Lorsque ici sais par cœur tout ce qu'elle sait faire:
Mais que m’importe á moy?	Mais que m'importe moi?
Si ie dis un ſeul mot, Je ne dois point douter que ie ſuis pris pour ſot, Ma mort eſt aſſuirée, & deſſus cette affaire, Puis qu’il y va du mien, i’aime bien mieux me táire, Et mon maiſtre a raiſon.	Si petit dis un seul mot, Je ne dois point douter que je suis pris pour sot, Ma mort est assuirée, et dessus cette affaire, Puis qu'il y va du mien, j'aime bien mieux me tire, Et mon maître a raison.
CAONOR.	CAONOR.
Vous ne reſpondez poin N’eſtes vous pas aſſez ſatisfait ſur ce point?	Vous ne répondez poin N'êtes -vous pas assez satisfait sur ce point?
Vous avez ce me ſemble, aſſez ſuiet de l’eſtre.	Vous avez ce me semble, assez sujet de l'être.
DOM CARLOS.	DOM CARLOS.
Non, tant que ie ſeray devant cette feneſtre, Je ne vois aucun lieu de ſatisfaction:	Non, tant que Seigneur serai devant cette fenêtre, Je ne vois aucun lieu de satisfaction:
Vous prenez avec moy trop de precaution;	Vous prenez avec moi trop de précaution;
Ce que vous m’avez dit n’a rien qui m’embaraſſe:	Ce que vous m'avez dit n'a rien qui m'embarrasse:
On peut par ſes amis ſçavoir ce qu’il ſe paſſe, On ne neglige rien pour ce qu’on veut ſçavoir :	On peut par ses amis savoir ce qu'il se passe, On né glige rien pour ce qu'on veut sçavoir :
On eſtudie un homme, on s’empreſſe à le voir, La conuerſation n’eſt ponit la latis myitere, Et ie ſçay la deſſus tout ce que l’on peut faire.	On étudie un homme, on s'empresse à le voir, La conversation n'est ponit la tis myitere, Et ici sais la dessus tout ce que l'on peut faire.
LEONOR.	LEONOR.
t ſi ie vous fais voir qu’avec vous i’ay dancé, le doute en voſtre eſprit ſera t’il efface:	t si ici vous fais voir qu'avec vous j'ai dancé, le doute en votre esprit sera t'il efface:
DOM CARLOS.	DOM CARLOS.
ladame, il faut prouver, ce n’eſt rien que de dire, faut me faire voir cette preuve ou i’aſpire,	ladame, il faut prouver, ce n'est rien que de dire, faut me faire voir cette preuve ou j'aspire,
DLONOR om Fernand n’eſt il pas voſtre amy?	DLONOR om Fernand n'est -il pas votre ami?
DOM CARLOS.	DOM CARLOS.
Je le croy.	Je le crois.
peut vous éclaircir.	peut vous éclaircir.
LEONOR.	LEONOR.
DOM CARLOS.	DOM CARLOS.
Euy	Eui
LEONOR.	LEONOR.
Luy meſme.	Lui -même.
DOM CARLOS.	DOM CARLOS.
Ma foyfaut que l'on vous ait inſtruite en bonne école.	Ma foifaut que l'on vous ait instruite en bonne école.
le peut il éclaircir, s’il ne vous connoiſt pas?	le peut il éclaircir, s'il ne vous connaît pas?
lu bien, s’il vous connoiſt, je quitte vos appas.	lu bien, s'il vous connaît, je quitte vos appas.
lon amy m’eſt trop cher, pour aimer ce qu’il aime, ous le verrez bien toſt venir icy luy-mesme.	lon ami m'est trop cher, pour aimer ce qu'il aime, ous le verrez bien tôt venir ici lui-même.
andis que ie ſuis ſeul, ie vous le dis encor, e ne vous verray point, s’il faut que Leonor, t l’inviſible ſoient une meſme perſonne:	andis que personne suis seul, je vous le dis encor, ne vous verrai point, s'il faut que Leonor, t 'invisible soient une même personne:
erenonce al’eſpoir que voſtre amour me donne.	erenonce al'espoir que votre amour me donne.
LEONOR ſt-ce que Leonor manque pour vous d’appas?	LEONOR st-ce que Leonor manque pour vous d'appas?
DOM CARLOS.	DOM CARLOS.
on, Madame, elle en a, mais ie ne l’aime pas.	on, Madame, elle en a, mais ainsi ne l'aime pas.
Eitereit d’un amy i en plus ener qu’oi ne penſe.	Eitereit d'un ami y en plus ener qu'oi ne pense.
LEONOR.	LEONOR.
Ce n’eſt pas Leonor qui vous donne eſperance:	Ce n'est pas Leonor qui vous donne espérance:
C’eſt une autre en un mot, & tenez vous certain Que vous ſerez heureux de luy donner la main:	C'est une autre en un mot, et tenez vous certain Que vous serez heureux de lui parler la main:
Pour vous guerir, ſa veüe eſt un puiſſant remede.	Pour vous guérir, sa vue est un puissant remède.
SCENE HUITIEME LA PRINCESSE PORCIE, LEONOR.	SCÈNE HUITIÈME LA PRINCESSE PORCIE, LEONOR.
BEATRI á la feneſtre grillée.	BEATRI la fenestre Y.
DOM CARLOS	DOM CARLOS
GUSMAN.	GUSMAN.
Des domeſtiques de la Princeſſe Porcie maſque C’eſt luy.	Des domestiques de la Princesse Porcie masque Çasque lui.
Un des domeſtiques.	Un des domestiques.
DOM CARLOS.	DOM CARLOS.
ſe ſentant ſaiſir.	se sentant saisir.
Traiſtres-- Un domeſtique Marchons.	Traîtres- Un domestique Marchons.
GUSMAN.	GUSMAN.
que l’on emporte auſſy.	que l'on emporte aussi.
Miſericorde, a l’aic	Miséricorde, à l'aic
SCENE NEUFIEME.	SCÈNE NEUFIEME.
La PRINCESSE PORCIE.	La PRINCESSE PORCIE.
LEONOR.	LEONOR.
BEATR á la feneſtre grillée.	BEATR 3 la fenêtre grillée.
DOM FERNAND.	DOM FERNAND.
DOM FERNAND.	DOM FERNAND.
Quelbruit ay-ie entendu?	Quelbruit ai-je entendu?
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Courez viſte au ſecours:	Courez vite au secours:
Dom Carlos aſt perdu, ron en toacuicoiours.	Dom Carlos ast perdu, ron en toaccoiours.
n vient de l’enleuer devant cette ſeneſtre:	n vient de l'enlever devant cette senestre:
it ſi vous vous haſtez, vous le verrez peuteſtre, In’eſt pas à dix pas:	Çit si vous vous hâtez, vous le verrez peutestre, In'est pas à dix pas:
allez donc promptement, Imain droitte-1.	allez donc promptement, Imain droitte-1.
DOM FERNAND, y y ecala, Macaicjallcuremener	DOM FERNAND, y y écala, Macaicjaillcuremener
SCENE DIXIESME.	SCÈNE DIXIÈME.
0 LA AICIR(CESSL IORCIE.	0 LA AICIRCESL JORCIE.
ELOROI.	ÉLOROI.
BEATRIX.	BEATRIX.
4 á la feneſtre grillée.	4 4 la fenêtre grillée.
2	2
ddanaue Vous luy donnez le change avec aſſez d’adreſſe;	ddanave Vous avait donnés le change avec assez d'adresse;
lan ne negnigeons rien, Madame, le temps preſſe.	lan ne gnigeons rien, Madame, le temps presse.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Voyons ce qu’il ſuivra de cet évenement.	Voyons ce qu'il suivra de cet événement.
110 BEATRIX.	110 BEATRIX.
Cela ne va pas mal pour un commencement:	Cela ne va pas mal pour un commencement:
DonTemnalit, Mauame, a de la jaioulie, Et vous avez un peu broüillé ſa fantaiſie.	DoncTemnalit, Mavame, a de la joulie, Et vous avez un peu brouillé sa fantaisie.
LEONOR.	LEONOR.
Ce mal, ſi ie le voys, ſera bientoſt paſſé.	Ce mal, si grands le vois, sera bientôt passé.
La PRINCESSE PORCIE.	La PRINCESSE PORCIE.
Allons donc achever ce que i’ay commencé,	Allons donc achever ce que j'ai commencé,
Fin du troiſieme Acte.	Fin du troisième Acte.
Acte	Acte
ACTE QUATRIEM Donan lunnle.	ACTE QUATRIEM Donan lunnle.
„	„
La Scene de cet Acte eſt dans une chambre magnifiquement parée, dans laquelle doit paroiſtre Leonor & Beatrix maſquées & voilées tenant chacune un flambeau à la main pour rece voir Dom Carlos & Guſman conduits dans cet appartement par des domeſtiques maſquez de la Princeſſe Porcie, qui ſe retirent aprés avoir a mené Dom Carlos & Guſman dans la chambre Leonor & Beatrix Je retirent auec eux apres pluſieurs reverences, laiſſant Dom Carle & Guſman ſeuls.	La Scène de cet Acte est dans une chambre magnifiquement parée, dans laquelle doit paraître Leonor et Beatrix masquées et voilées tenant chacune un flambeau à la main pour rece voir Dom Carlos et Gusman conduits dans cet appartement par des domestiques masquez de la Princesse Porcie, qui se retirent après avoir à mené Dom Carlos et Gusman dans la chambre Leonor et Beatrix Je retirent avec eux a plusieurs révérences, laissant DomÉtiques et Gus seuls.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
DOM CARLOS.	DOM CARLOS.
Pourquoy trembler ſi fort?	Pourquoi trembler si fort?
GUSMAN.	GUSMAN.
Ah!	Ah!
Mouſieur, il me ſemble Que ſi prés de ma fin il faut bien que ie tremble:	Mousieur, il me semble Que si près de ma fin il faut bien que tu tremble:
Quoy que vous pretendiez n’avoir aucun effroy, Dans l’ame vous tremblez peuteſtre autant que moy, Que dans ce lieu charmant quelqu’un ne nous eſtrille:	Quoi que vous prétendiez n'avoir aucun effroi, Dans l'âme vous tremblez peutestre autant que moi, Que dans ce lieu charmant quelqu'un ne nous étrille:
Ceux qui nous ont tiré par force de la grille, Et condûits ſans rien dire en cet appartement, N’ont point de bons deſſeins ſelon mon jugement:	Ceux qui nous ont tiré par force de la grille, Et conduits sans rien dire en cet appartement, N'ont point de bons desseins selon mon jugement:
C’eſt pourquoy puiſqu’il faut que ie parle ſans feindre:	C'est pourquoi puisqu'il faut que tu parle sans feindre:
Vous voyez ſi je crains que i’ay ſuiet de craindre.	Vous voyez si je crains que j'ai sujet de craindre.
DOM CARLOS.	DOM CARLOS.
Que crains tu, pauvre eſprit?	Que crains tu, pauvre esprit?
qui nous loge ſi bien Nous fait connoiſtre aſſez qu’il ne faut craindre rien	qui nous loge si bien Nous fait connaître assez qu'il ne faut craindre rien
GUSMAN.	GUSMAN.
oirlie tuit tout cela que pour noſtre rüine, 2 Et quoy que vous diſiez le chagrin vous Domine,	oirlie tuit tout cela que pour notre ruine, 2 Et quoi que vous disiez le chagrin vous Domine,
DOM CARLOS.	DOM CARLOS.
E11 Si i’ay quelque chagrin, il vient de ne voir pas Celle qui m’a charmé par ſes divins appas, le regrette en effet mon aimable Inviſible Et ie ne puis nier que cela m’eſt ſenſible.	E11 Si j'ai quelque chagrin, il vient de ne voir pas Celle qui m'a charmé par ses divins appas, le regrette en effet mon aimable Invisible Et Je ne puis nier que cela m'est sensible.
Si ce tour m’eſt ioüé pour me faire changer, L'eit en vainquonpiecend me pouven ensegvi;	Si ce tour m'est joué pour me faire changer, L'éit en vainquonpiecend me pouven ensegivi;
Hors elle rien ne peut aſpirer à me plaire, Et quoy qu’on faſſe enfin ie dois me ſatisfáire.	Hors elle rien ne peut aspirer à me plaire, Et quoi qu'on fasse enfin un dois me satisfire.
GUSMAN.	GUSMAN.
Quoy!	Quoi!
monſieur, dans ces lieux vous finiriez vos iours, Pluſtoſt que de l’amour prendre un peu de ſecours, Car noſtre enlevement ne vient que d’une femme;	monsieur, dans ces lieux vous finiriez vos jours, Plutôt que de l'amour prendre un peu de secours, Car notre enlèvement ne vient que d'une femme;
Tous ces obiets maſquez me la font voir dans l’ame:	Tous ces objets masqués me la font voir dans l'âme:
Ces gardes, ces valets, tout cela monſtre aſſez Que nous n’en ſommes pas encor ou vous penſez:	Ces gardes, ces valets, tout cela montre assez Que nous n'en sommes pas encor ou vous pensez:
Cette dame eſt fort riche au moins en apparences Et s’il faut qu’á ſon bien reſponde ſa naiſſance, Sans doute elle eſt Princeſſe, & ie ne comprens pas, Comment nous ſortirons d’un ſi dangereux pas, Lt hous lonnes peruuo si raut que voſtre bouche Faſſe quelque diſcours contre ce qui la touche.	Cette dame est fort riche au moins en apparences Et s'il faut qu'elle son bien réponde sa naissance, Sans doute elle est Princesse, et un ne comprends pas, Comment nous sortirons d'un si dangereux pas, Lît hous lonnes pervo si raut que votre bouche Fasse quelque discours contre ce qui la touche.
Feignez quelques momens pour nous ſauver tous deur Ou pluſtoſt tout de bon ſoyez en amoureux:	Feignez quelques moments pour nous sauver tous devr Ou plutôt tout de bon soyez en amoureux:
Si par bonheur pour vous, comme tout ſe peut faire, Ses attraits & ces lieux avoient de quoy vous plaireJe vous tiendrois heureux, car vous ſeriez certain De voir en l’eſpouſant qui vous donne la main.	Si par bonheur pour vous, comme tout se peut faire, Ses attraits et ces lieux avaient de quoi vous plaireze vous tiendrais heureux, car vous seriez certain De voir en l'épousant qui vous donne la main.
Outre ſes biens qui ſont ſans doute en abondanceEt vous n’aimeriez plus ſur la ſeule apparence.	Outre ses biens qui sont sans doute en abondanceEt vous n'aimeriez plus sur la seule apparence.
Si vous luy faittes voir que vous ne l’aimez point, Le refus de ſon cœur l’aigrira iuſqu’au point Que nous n’aurons plus lieu d’en eſperer de grace:	Si vous me faites voir que vous ne l'aimez point, Le refus de son cœur l'aigrira jusqu'au point Que nous n'aurons plus lieu d'en espérer de grâce:
Par la faute d’autruy faut il que ie treſpaſſe?	Par la faute d'autrui faut -il que votre trépasse?
raciuo:	racivo:
momieui, neluoruyez pitié de moy :	momieui, neluoruyez pitié de moi :
Si vous ne m’eſcoutez ie vay mourir d’effroy.	Si vous ne m'écoutez apprendre vais mourir d'effroi.
Poltron!	Poltron!
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
C’eſt lá mon foible, & ſi ce n’eſt le voſtre:	C'est lette mon faible, et si ce n'est le vôtre:
Comme i’ay celuy-la, vous en avez un autre:	Comme j'ai celui-la, vous en avez un autre:
Si le plus grand des maux eſt celuy de mourir, Pourquoy fuir le remede a s’en pouvoir guerir?	Si le plus grand des maux est celui de mourir, Pourquoi fuir le remède a s'en pouvoir guérir?
J’abandonnerois tout pour conſerver ma vie, Et qui fait autrement fait un trait de folie.	J'abandonnerais tout pour conserver ma vie, Et qui fait autrement fait un trait de folie.
Mais que pretendez vous?	Mais que prétendez -vous?
DOM CARLOS.	DOM CARLOS.
Quoy qu’il puiſſe arrive La fin de cette intrigue eſt aiſée á trouver:	Quo qu’il puisse arrive La fin de cette intrigue est aisée âme trouver:
De mon enlevement il faut ſçavoir les cauſes, Aprés nous iugerons plus ſeuromnenee mions, Je ne puis diſpoſer de moy preſentement, Et ie m’abuſerois de parler autrement.	De mon enlèvement il faut savoir les causes, Après nous jugerons plus seuromnenee mions, Je ne puis disposer de moi présentement, Et personne m'abuserais de parler autrement.
L’inviſible a mon cœur, & malgré ton murmure Je veux voir iuſqu’ou peut aller cette avanture.	L'invisible à mon cœur, et malgré ton murmure Je veux voir jusqu'ou peut aller cette aventure.
SCE.	SCE.
SCENE SECONDE.	SCÈNE SECONDE.
EONOR maſquée.	EONOR masquée.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
LEONOR.	LEONOR.
a dairſe du paluis louhaicecrore igavoir, i vous trouverez bon qu’elle vous vienne voir.	a dairse du paluis louhaicecrore igavoir, y j' erez bon qu'elle vous vienne voir.
DOM CARLOS.	DOM CARLOS.
ittes qu’elle ſera tousjours la bienvenüe.	Êtes qu'elle sera toujours la bienvenue.
GUSMAN.	GUSMAN.
eut eſtre qu’a vos yeux elle ſera connüe:	eut être qu'a vos yeux elle sera connue:
LUHCARLOS e l’eſpere, Guſman, mais ne redoute rien:	LUHCARLOS eût l'espère, Gusman, mais ne redoute rien:
tians t’inquieter eſcoute rehtretien.	tians t'inquiéter écoute rehtretien.
LEONOR.	LEONOR.
a voicy qui paroiſt, je vais au devant d’elle.	a voici qui paraît, je vais au devant d'elle.
GUSMAN.	GUSMAN.
lonſieur, que vous en ſemble?	lonsieur, que vous en semble?
DOM CARLOS.	DOM CARLOS.
Ah:	Ah:
Gulman, qu’ene eit belle!	Gulman, qu'ène eit belle!
e ne m’attendois pas á ce raviſſement, it ie ſuis tout confus de la voir ſeulement.	Je ne m'attendais pas âme ce ravissement, it ici suis tout confus de la voir seulement.
SCENE TROISIEME A PRINCESSE PORCIE demaſquée.	SCÈNE -TROISIÈME A PRINCESSE PORCIE demasquée.
BEATRIX demaſquée.	BEATRIX demasquée.
DOM CARLOS.	DOM CARLOS.
GUSMAN.	GUSMAN.
LA PRINCESSE PORCIE.	LA PRINCESSE PORCIE.
Dom Carlos, prenez place:	Dom Carlos, prenez place:
il eſt temps de m’entendre, jur l’éclairciſſement qu’icy ie vous dois rendre.	il est temps de m'entendre, jur l'éclaircissement qu'ici après vous dois rendre.
Le que vous avez veu dedans cette maiſon v Ous	Le que vous avez vu dedans cette maison v u
Vous a ſurpris ſans doute & c’eſt avec raiſon.	Vous a surpris sans doute et c'est avec raison.
Depuis l’enle vement iuſqu’a l’heure preſente;	Depuis l'enle vement jusqu'a l'heure présente;
J’ay ſuivy les conſeils d’une ardeur violente, J’ay voulu m’aſſeurer de ce qui m’eſtoit cher.	J'ai suivi les conseils d'une ardeur violente, J'ai voulu m'assurer de ce qui m'était cher.
Peut eſtre mes appas le pourront ils toucher, Ay-ie dit, & je veux aux yeux de ma rivale, L’enlever, puis luy rendre une ardeur qui l’égale, Monſtrer que le merite eſt ioint á ma beauté, Et que le bien que i’ay cede á ma qualité, Et c’eſt par oú ie veux que ma rivale meſme Confeſſe qu’elle doit me ceder ce qu’elle aime, Et que ſur elle enfin ie dois tout emporter, Puis qu’elle n’oſeroit lâ deſſus diſpûter.	Peut même mes appas le pourront -ils toucher, Ai-je dit, et je veux aux yeux de ma rivale, L'enlever, puis lui rendre une ardeur qui l'égale, Montrer que le mérite est joint ma beauté, Et que le bien que ay cede ma qualité, Et est par ie veux que ma rivale même Confesse elle doit me céder ce elle aime, Et que sur elle enfin ie dois tout emporter, Puis elle oseroit dessus dispûter.
Comme elle vous a veu la premiere, peut eſtre Suivrez vous les ardeurs qu’elle vous fait paroiſtre, Et s’eſt rendüe ainſy maiſtreſſe de ce cœur, Que ie luy veux oſter malgré tout ſon bonheur;	Comme elle vous a vu la première, peut être Suivrez -vous les ardeurs qu'elle vous fait paraître, Et s'est rendue ainsi maîtresse de ce cœur, Que que lui veux ôter malgré tout son bonheur;
Enfin vous me voyez, vous me pouvez connoiſtre;	Enfin vous me voyez, vous me pouvez connaître;
Et vous ne ſçavez pas ce que l’autre peut eſtre:	Et vous ne savez pas ce que l'autre peut être:
Bien loin de vous monſtrer comme moy ſes appás, Vous luy parlez ſans ceſſe, & ne la voyez pas.	Bien loin de vous montrer comme moi ses appares, Vous tu parlez sans cesse, et ne la voyez pas.
C’eſt une viſion que d’aimer de la ſorte, Et ie n’approuve point l’ardeur qui vous tranſporte:	C'est une vision que d'aimer de la sorte, Et ie aapprouve point l'ardeur qui vous transporte:
Vous ignorez ſon rang, ſon bien, & ſa beauté:	Vous ignorez son rang, son bien, et sa beauté:
Peut eſtre elle vous dit quelle eſt de qualité, Mais ſi vous la croyez:	Peut être elle vous dit quelle est de qualité, Mais si vous la croyez:
ſur quoy?	sur quoi?
ſur ſa parole:	sur sa parole:
