De Voſtre Majeſté,	De Votre Majesté,
ROSELIE.	ROSELIE.
Adieu, retire toy, laiſſe moy ſeule icy.	Adieu, retire toi, laisse -moi seule ici.
FLORIS s'en allant.	FLORIS s'en allant.
Ne conſiderez, point ceſte vaine conſtance, Madame, vn fol refus traine ſa repentance.	Ne considérez, point cette vaine constance, Madame, un fol refus traîne sa repentance.
Elle s’en va	Elle s'en va
ROSELIE ſeule, aſſiſe, & regardant la Couronne.	ROSELIE seule, assise, et regardant la Couronne.
Pour qui dois-ie incliner de deux obiects puiſſans?	Pour qui dois-je incliner de deux objets puissants?
Dont l’vn m’oste le cœur, l’autre esbloüit mes ſens;	Dont l'un m'ôte le cœur, l'autre éblouit mes sens;
Quel enuieux demon ſuſcite la fortune, D'offrir à mes regards ſa grandeur importune?	Quel envieux démon suscite la fortune, D'offrir à mes regards sa grandeur importune?
Les charmes de l’amour ne ſuffiſoient-ils pas?	Les charmes de l'amour ne suffisaient-ils pas?
Puis-ie de tous les deux accorder les appas?	Puis-je de tous les deux accorder les appas?
Amour!	Amour!
Dieux quel abus egale ma folie ?	Dieux quel abus égale ma folie ?
Aimeray-ie touſiours vn ingrat qui m'oublie?	Aimerai-je toujours un ingrat qui m'oublie?
Portons ailleurs l’ardeur de nos vœux ſuperflus:	Portons ailleurs l'ardeur de nos vœux superflus:
Mais qu'aimerois-ie, helas!	Mais qu'aimerais-je, hélas!
ſi ie ne l’aime plus.	si ici ne l'aime plus.
Sorts par vn tel effort de ce honteux ſeruage, La Couronne eſt le prix de ce coup de courage;	Sorts par un tel effort de ce honteux servage, La Couronne est le prix de ce coup de courage;
Non, ie prefere Alcandre aux plus rares obiects, Le Royde mes deſirs vaut mieux que des ſubiects:	Non, Seigneur préfère Alcandre aux plus rares objets, Le Roide mes désirs vaut mieux que des sujets:
Ie vy plus glorieuſe en ſon obeïſſance, Que ſi ie poſſedois vne entiere puiſſance.	Je vis plus glorieuse en son obéissance, Que si ici possédais une entière puissance.
Ouy:	Oui:
mais il a iugé mon deſtin tropheureux, Alors qu’il preſidoit à mon cœur amoureux, Du rang de ſes ſubiects l’ingrat m'a ſeparee, Comme ſi le ſeruant i'eſtois trop honoree;	mais il a jugé mon destin tropheureux, Alors qu'il présidait à mon cœur amoureux, Du rang de ses sujets l'ingrat m'a séparée, Comme si le servant j'étais trop honorée;
Et pour l’heur d’obeir que ie me voy rauir, Vn Roy plus glorieux m'offre de me ſeruir;	Et pour l'heur d'obéir que personne me vois ravir, Un Roi plus glorieux m'offre de me servir;
Contentons ce Monarque, acceptons ſa Couronne.	Contentons ce Monarque, acceptons sa Couronne.
Partageons auec luy l’eſclat qui l’enuironne;	Partageons avec lui l'éclat qui l'environne;
Ostons nous pour iamais ce braſier hors du ſein, Alcandre, cét ingrat conſent à ce deſſein.	Ôtons nous pour jamais ce brasier hors du sein, Alcandre, cet ingrat consent à ce dessein.
Alcandre:	Alcandre:
helas!	hélas!
ce mot diuertit mon enuie.	ce mot divertit mon envie.
Pour ne l’adorer plus, il faut perdre la vie;	Pour ne l'adorer plus, il faut perdre la vie;
Ma reſolution ne ſe peut alterer, Quelque espoir que luy meſme ait de nous ſeparer, Elle repouſſe le baſſin.	Ma résolution ne se peut altérer, Quelque espoir que lui deux ait de nous séparer, Elle repousse le bassin.
FLORIS entre, & dit.	FLORIS entre, et dit.
Vn Marchand eſtranger m'a donné cette lettre, Aine un cine ,lrſuaume J'entre vos mains remettre.	Un Marchand étranger m'a donné cette lettre, Aine un ciné ,lrsuaume J'entre vos mains remettre.
ROSELIE receuant la lettre.	ROSELIE recevant la lettre.
Ralepan lepacar.	Ralepan lepacar.
LORIS.	LORIS.
Il est encore icy.	Il est encore ici.
ROSELIE lit le deſſus.	ROSELIE lit le dessus.
O perfide ſujet de mon cuiſant ſoucy!	Ô perfide sujet de mon cuisant souci!
Elle continuë.	Elle continue.
unon Priez-le donc d'entrer, ay-ie offensé perſonne!	unon Priez-le donc d'entrer, ai-je offensé personne!
verr.	verr.
Qui me doiue donner le titre qui m'eſtonne.	Qui me doive donner le titre qui m'étonne.
Elle ouure la lettre, & lit.	Elle ouvre la lettre, et lit.
Contenu de la lettre.	Contenu de la lettre.
Donc vous m'auez manqué de foy?	Donc vous m'avez manqué de foi?
Vostre ame s'eſt renduë, Et vous donnez au Roy La faueur qui m'est deuë:	Votre âme s'est rendue, Et vous donnez au Roi La faveur qui m'est due:
Donc, ô plus rare obiect qui reſpire le iour, La fortune a vaincu l’amour.	Donc, ô plus rare objet qui respire le jour, La fortune a vaincu l'amour.
Tant de trauaux que i’ay ſoufferts Et ma longue tristeſſe.	Tant de travaux que j'ai soufferts Et ma longue tristesse.
Elle luy rend la lettre ſans l’acheuer, & dit, Tien, ce n'est pas à moy que cét eſcrit s'adreſſe.	Elle avait rend la lettre sans l'achever, et dit, Tien, ce n'est pas à moi que cet écrit s'adresse.
ALCANDRE la luy rendant.	ÀLCANDRE la même rendant.
On m'a chargé pourtant de faire voir ces vers, Au plus muable obiect qui ſoit en l’Vniuers;	On m'a chargé pourtant de faire voir ces vers, Au plus muable objet qui soit en l'Univers;
1 GbbEIE Miit la faſchee.	1 GbEIE Miit la fâchée.
Et ceſte occaſion t’oblige à me les rendre?	Et cette occasion t'oblige à me les rendre?
Impudent, inſensé!	Impudent, insensé!
mais ô Dieux!	mais ô Dieux!
c’eſt Alcandre:	c'est Alcandre:
Cruel, viens tu combler les mal-heurs de mes iours, M’apprenant de ta voix tes nouuelles amours!	Cruel, viens -tu combler les malheurs de mes jours, M'apprenant de ta voix tes nouvelles amours!
ALCANDRE.	ÀLCANDRE.
Ie viens de mon oreille apprendre ma miſere, Ie me viens immoler à vostre humeur legere, Et faire voir mon ſang aux plus perfides yeux, A qui parut iamais la lumiere des Cieux.	Je viens de mon oreille apprendre ma misère, Je me viens immoler à votre humeur légère, Et faire voir mon sang aux plus perfides yeux, À qui parut jamais la lumière des Cieux.
OSELIE.	OSELIE.
C'eſt donc aux tiens, cruel, qu’appartient cette veuë Ame, de ſentiment, & de foy deſpourueuë!	C'est donc aux tiens, cruel, qu'appartient cette vue Ame, de sentiment, et de foi despourueuë!
ALCANDRE.	ÀLCANDRE.
Croyez, vous excuſer vostre legereté, Adioustant l’iniuſtice à l’infidelité?	Croyez, vous excuser votre légèreté, Adioutant l'injustice à l'infidélité?
Imaginez, Madame, vne meilleure ruſe, Mon accuſation eſt vne foible excuſe.	Imaginez, Madame, une meilleure ruse, Mon accusation est quelque faible excuse.
ROSELIE.	ROSELIE.
Ne te ueuons nons poini on etoge immortel?	Ne te veuons nons poini on etoge immortel?
N'as-tu point merité qu'on te dreſſe vn autel?	N'as-tu point mérité qu'on te dresse un autel?
Et qui veut deſormais inuoquer la constance, Doit-il point recourir à ta ſeule aßiſtance?	Et qui veut désormais invoquer la constance, Doit-il point recourir à ta seule assistance?
ALCANDRE.	ÀLCANDRE.
Ie ne prolonge point ce ſubtil entretien, Ma voix cede à la voſtre, & voſtre cœur au mien;	Je ne prolonge point ce subtil entretien, Ma voix cède à la vôtre, et votre cœur au mien;
Ie voudrois vainement combatre de la ſorte, En fait de diſcourir vostre ſexe l’emporte, Et mal-gré ma memoire, & l’eſcrit que i’ay veu, Vous ne pourriez prouuer que le blapint invordeu.	Je voudrais vainement combattre de la sorte, En fait de discourir votre sexe l'emporte, Et mal-gré ma mémoire, et l'écrit que j'ai vu, Vous ne pourriez prouver que le blapint invordeu.
Bien;	Bien;
ie ſuis odieux, & vous estes aimable, Vous estes l’innocente, & ie ſuis le coupable, Vous meritez le prix, on me doit le trespas, nons inme Soansnunun, O une le fais pas.	Elle suis odieux, et vous êtes aimable, Vous êtes l'innocente, et notre suis le coupable, Vous méritez le prix, on me doit le trépas, nons inme Soansnunun, Ô une le fais pas.
F OSELIE.	F OSELIE.
Inconstant, quel ſujet en ces lieux te rameine?	Inconstant, quel sujet en ces lieux te ramène?
Es tu deſia laßé des faueurs de la Reine?	Es tu déjà lassé des faveurs de la Reine?
ALCANDRE.	ÀLCANDRE.
La Reine n'a pour moy que de foibles appas, Neme reprotnes puint vn vien que ie n'ay pas;	La Reine n'a pour moi que de faibles appas, Nème reprotnes pu un vien que ie n'ai pas;
Ie n'ay point deſiré de faueurs que les voſtres, Et ne ſouhaite point en auoir iamais d’autres.	Je n'ai point désiré de faveurs que les vôtres, Et ne souhaite point en avoir jamais d'autres.
ROSELIE luy donnant ſa lettre.	ROSELIE avait donnant sa lettre.
Ne m'as tu pas mandé tes nouuelles amours?	Ne m'as tu pas mandé tes nouvelles amours?
Accorde tes eſcrits auecque tes diſcours.	Accorde tes écrits après tes discours.
ALCANDRE lit la lettre, & puis dit.	ÀLCANDRE lit la lettre, et puis dit.
Madame, ie n'ay point ces paroles tracees, I'ay touſiours eu pour vous de contraires penſees, Et ie feray paroiſtre à vos yeux inhumains, Que iamais cét eſcrit n'est ſorty de mes mains;	Madame, notre n'ai point ces paroles tracées, J'ai toujours eu pour vous de contraires pensées, Et été ferai paraître à vos yeux inhumains, Que jamais cet écrit n'est sorti de mes mains;
Le Roy qui vous poſſede a ſupposé la lettre, Pour obtenir le bien que vous n'oſiez promettre;	Le Roi qui vous possède a supposé la lettre, Pour obtenir le bien que vous n'osiez promettre;
Ie ne portay iamais la qualité d’eſpoux, Et n'eus iamais deſſein de l'estre que de vous.	Je ne portai jamais la qualité d'époux, Et n'eus jamais dessein de l'être que de vous.
OSELIE.	OSELIE.
Quoy cét eſcrit eſt faux?	Quoi cet écrit est faux?
cher amant, cher Alcandre:	cher amant, cher Alcandre:
O Dieux!	Ô Dieux!
l’heureux diſcours que tu me fais entendre;	l'heureux discours que tu me fais entendre;
Reprens deſſus mes vœus vn pouuoir ſouuerain, Et ne me fay plus voir qu'vn viſage ſerain.	Reprends dessus mes vœus un pouvoir souverain, Et ne me fais plus voir qu'un visage serain.
ALCANDRE.	ÀLCANDRE.
Le puis-ie auoir, que triſte, au mal qui me tourmente?	Le puis-je avoir, que triste, au mal qui me tourmente?
Vom voyant comme jaur, & non plus comme amante:	Vom voyant comme jaur, et non plus comme amante:
En l’estat où ie ſuis, le ris m’est ennuyeux;	En l'état où belle suis, le ris m'est ennuyeux;
C’est à moy de pleurer, au Roy d’eſtre ioyeux.	C'est à moi de pleurer, au Roi d'être joyeux.
OSELIE.	OSELIE.
Ha!	Ha!
chaſſe de ton ame vn ſoupçon qui m’offence, Tu me vois telle apres, que deuant ton abſence, Ma foy t’eſt conſeruee, elle est au meſme point;	chasse de ton âme un soupçon qui m'offense, Tu me vois telle après, que devant ton absence, Ma foi t'est conservée, elle est au même point;
Ce Monarque importun ne me poſſede point;	Ce Monarque importun ne me possède point;
Luyme-Il ſe trauaille en vain, de quelque appas qu’il vſe, Tu peux voir ce qu’il m'offre, & ce que ie refuſe, Ie me ris des efforts que ces preſens me font, Et ie croy plus deuoir à ton cœur qu'à mon front.	Luime-Il se travaille en vain, de quelque appas qu'il use, Tu peux voir ce qu'il m'offre, et ce que sans refuse, Je me ris des efforts que ces présents me font, Et tu crois plus devoir à ton cœur qu'à mon front.
ALCANDRE, tirant vne lettre de ſa poche.	ÀLCANDRE, tirant une lettre de sa poche.
Vous eſperez en vain de retenir ma plainte, Voſtre Hymen conſommé vous deffend cette feinte, I’ay ſçeu la verité par cét eſcrit fatal, ni ne mt permet piuis ue courer ue mon mal.	Vous espérez en vain de retenir ma plainte, Votre Hymen consommé vous défend cette feinte, J'ai su la vérité par cet écrit fatal, ni ne mt permet pivis écrive courer ès mon mal.
ROSELIE lit la lettre, & puis dit.	ROSELIE lit la lettre, et puis dit.
Ie ne m'eſtonne plus de ta fauſſe croyance, Puis qu'vn eſcrit ſi faux cauſoit ta defiance;	Je ne m'étonne plus de ta fausse croyance, Puis qu'elle écrit si faux causait ta défiance;
Croy qu’il n'a iamais eu que le pouuoir de Roy, Ie ne reconnois point de plus eſtroite loy;	Crois qu'il n'a jamais eu que le pouvoir de Roi, Je ne reconnais point de plus étroite loi;
Qu’il vante les faueurs qui luy ſont accordees, Il enobtient beancoup s'il ſe repaiſt d'idees:	Qu'il vante les faveurs qui lui sont accordées, Il enobtient béancoup s'il se repaît d'ide:
8 Que le faux nom d’eſpoux le rende ſatis-faict:	8 Que le faux nom d'époux le rende satî-fait:
Mais s’il l’eſt de penſer, tu le ſeras d’effect.	Mais s'il l'est de penser, tu le seras d'effet.
ALCANDRE.	ÀLCANDRE.
Excuſe, ma Deeſſe, vne ardeur inſenſee, Pour la derniere fois i'ay fondé ma penſee;	Excuse, ma Déesse, une ardeur insensée, Pour la dernière fois j'ai fondé ma pensée;
Mon abſence a prouué ta generoſité;	Mon absence a prouvé ta générosité;
Ie ne puis plus douter de ta fidelité;	Je ne puis plus douter de ta fidélité;
Ie n’ay creu ton Hymen que dans la Dalmatie, Mon ame s'est depuis là deſſus eſclaircie;	Je n'ai cru ton Hymen que dans la Dalmatie, Mon âme s'est depuis là -dessus éclaircie;
Auant que de reuoir tes celeſtes appas, I’ay bien ſceu que le Roy ne les poſſedoit pas;	Avant que de revoir tes célestes appas, J'ai bien su que le Roi ne les possédait pas;
Auſsi ie n’accuſois ta paſsion fidelle, Qu'à deſſein ſeulement que tu parlaſſe d'elle, Car i’ay touſiours ſoubmis tes plus rares diſcours A celuy qui me dit que tu m'aime touſiours.	Aussi ici n'accusais ta passion fidèle, Qu'à dessein seulement que tu parlasse d'elle, Car j'ai toujours soumis tes plus rares discours A celui qui me dit que tu m'aime toujours.
ROSELIE.	ROSELIE.
Puis qu’en fin nos eſprits ſe ſont tirez de peine, Acheue vn dernier point, parle moy de la Reine;	Puis qu'en fin nos esprits se sont tirés de peine, Achève un dernier point, parle moi de la Reine;
L.	L.
R07 Comment t'arriua-t’il de quitter ſes païs:	R0 Comment t'arriva-t-il de quitter ses pays:
Mais Dieux!	Mais Dieux!
voicy le Roy,	voici le Roi,
Tous mes ſoings ſont trahis.	Tous mes soins sont trahis.
LE ROY, auec des ſeruiteurs.	LE ROY, avec des serviteurs.
En fin touſiours constante, & touſiours inhumaine, Vous ne conſentez point à la fin de ma peine.	En fin toujours constante, et toujours inhumaine, Vous ne consentez point à la fin de ma peine.
ROSELIE.	ROSELIE.
Sire, qu'vn autre obiect ait l’honneur de vos vœux, Ne poſſedant qu'vn cœur, ie n'en puis donner deux.	Sire, qu'un autre objet ait l'honneur de vos vœux, Ne possédant qu'un cœur, notre n'en puis donner deux.
E ROY.	E ROY.
Si ie trauaille en vain, cruelle, ame de ſouche!	Si ici travaille en vain, cruelle, âme de souche!
Que i'apprenne le nom de l’amant qui te touche?	Que j'apprenne le nom de l'amant qui te touche?
R OSELIE luy donnant la lettre d’Alcandre.	 RÔSELIE avait donnant la lettre d'Alcandre.
Sire, vous le verrez au bas de cét eſcrit.	Sire, vous le verrez au bas de cet écrit.
Alcandre,	Alcandre,
LE ROY lit.	LE ROY lit.
ROSELIE.	ROSELIE.
c'eſt luy ſeul, qui regne en mon eſprit.	c'est lui seul, qui règne en mon esprit.
LE ROY.	LE ROY.
Mais puis qu’il eſt rangé ſouz les loix d’Hymenee.	Mais puis qu'il est rangé souz les lois d'Hymène.
A qui ſera qu'à moy ta beauté destinee, Pour vn autre que toy ſes eſprits ſont bleſſez, Sa lettre que tu vois te le teſmoigne aſſez.	À qui sera qu'à moi ta beauté destinée, Pour un autre que toi ses esprits sont blessés, Sa lettre que tu vois te le témoigne assez.
ALCANDRE ſe monſtrant.	ÀLCANDRE se montrant.
Non, ma voix qu'elle entend teſmoigne le contraire, I’ay pour elle vne ardeur que rien ne peut diſtraire, Hymen ne m’a iamais deſſouz, ſes loix rangé, A ſes ſeules beauteZ mon cœur s'eſt engagé.	Non, ma voix qu'elle entend témoigne le contraire, J'ai pour elle une ardeur que rien ne peut distraire, Hymen ne m'a jamais dessouz, ses lois rangé, À ses seules beautés mon cœur s'est engagé.
LE ROY.	LE ROY.
Ha traiſtre!	Ha traître!
iniuſte obiect de ma iuſte cholere;	injuste objet de ma juste colère;
Eſt-ce-là le ſoucy que tu prens de me plaire?	Est-ce-là le souci que tu prends de me plaire?
Et n'eſpere tu pas vn cruel chastiment, Apres t'eſtre mocqué de mon commandement?	Et n'espère tu pas un cruel châtiment, Après t'être moqué de mon commandement?
Qu'on le maine, ce traistre, à mes yeux deteſtable, Attendre en vn cachot vn Arreſt equitable;	Qu'on le maine, ce traître, à mes yeux détestable, Attendre en un cachot un Arrêt équitable;
Qu'il aille en cette horreur careſſer les ſerpens?	Qu'il aille en cette horreur caresser les serpens?
Ce criminel autheur des pleurs que ie reſpans;	Ce criminel auteur des pleurs que ici respants;
Cét odieux ſujet de ma douleur extréme:	Cet odieux sujet de ma douleur extrême:
Ce demon, ce ſorcier de la beauté que i'aime.	Ce démon, ce sorcier de la beauté que j'aime.
L iij On le meme prhonmier.	 Lijà On le mème prhonmier.
Roſelie le ſuit.	Roselie le suit.
LE ROY la retenant, dit:	LE ROY la retenant, dit:
Roſelie, où cours tu, ma Deeſſe,	Roselie, où cours tu, ma Déesse,
Au treſpas, ROSELIE.	Au trépas, ROSELIE.
Si vous ne permettez, que ie ſuiue ſes pas.	Si vous ne permettez, que ici suive ses pas.
LE ROY l’arreſtant.	LE ROY l'arrêtant.
Arreſte icy, cruelle, homicide, inhumaine, Et tonn un peu de tréue à l’excez de ma peïne:	Arrête ici, cruelle, homicide, inhumaine, Et tonn un peu de trêve à l'excès de ma péine:
Quelle preuue de foy, quelle ſoubmiſsion Peut gaigner vne place en ton affection?	Quelle preuve de foi, quelle soumission Peut gagner une place en ton affection?
Comment alluma-t’il cette ardeur qui te preſſe?	Comment alluma-t-il cette ardeur qui te presse?
Souz quel nom, ſouz quel teint faut-il que ie paroiſſe?	Souz quel nom, souz quel teint faut-il que deux paraisse?
ROSELIE.	ROSELIE.
Ie ne ſuis plus au point de iuger des appas, Souz la forme d’vn Dieu vous ne me plairiez pas;	Je ne suis plus au point de juger des appas, Souz la forme d'un Dieu vous ne me plairiez pas;
Vous trauerſeZ en vain des amours ſi parfaites, La mort nous guerira des maux que vous nous faites.	Vous traversez en vain des amours si parfaites, La mort nous guérira des maux que vous nous faites.
Adieu, n’adioustez, poutt u monerutviourment, Celuy de ne pouuoir ſouſpirer librement.	Adieu, n'ajoutés, poutés u monerutviourment, Celui de ne pouvoir soupirer librement.
niniiu nicur, d en allant, dit.	niniiu dicur, en allant, dit.
A quoy me reſoudra ma douleur furieuſe?	À quoi me résoudra ma douleur furieuse?
Ne puis-ie meſpriſer cette ame deſdaigneuſe?	Ne puis-je mépriser cette âme dédaigneuse?
Agreables deſdains!	Agréables dédains!
profitable rigueur!	profitable rigueur!
Si vous pouueZ m’oſter ſon image du cœur.	Si vous pouvez m'ôter son image du cœur.
A TV L En Hongile.	À TU L En Hongile.
III.	III.
ARTEM ISE Reine de Dalmatie, FLORINEE en pelerines.	ARTEM IZE Reine de Dalmatie, FLORINE en pèlerines.
A ARTEMISE.	A ARTEMISE.
Ve peux-tu conceuoir, chere & ſage parente, Des ſecrets de mon cœur, fidelle confidente?	Ve peux-tu concevoir, chère et sage parente, Des secrets de mon cœur, fidèle confidente?
Quelles intentions te peux-tu figurer, M 30 Me voyant en ces lieux que ie dois abhorrer?	Quelles intentions te peux-tu figurer, M 30 Me voyant en ces lieux que iedois abhorrer?
Ne croy pas qu'vne amour qu'on ne puiſſe distraire, M’ameine icy pour voir, ny le Roy ny ſon frere;	Ne crois pas qu'une amour qu'on ne puisse distraire, M'amène ici pour voir, notre le Roi ny son frère;
Que ie vueille inconnuë en ce faux veſtement, Adoucir à leurs yeux mes amoureux tourmens?	Que ici veuille inconnue en ce faux vêtement, Adoucir à leurs yeux mes amoureux tourments?
Ne t’imagine pas qu’vne amoureuſe rage Ait iuſques à ce poinct abaiſsé mon courage?	Ne t'imagine pas qu'une amoureuse rage Ait jusques à ce point abaissé mon courage?
Si nous pouuons parl’vn iuger de tous les deux, Ils ont des qualiteZ indignes de mes vœus.	Si nous pouvons parl'une juger de tous les deux, Ils ont des qualités indignes de mes vœus.
Ce brutal que i'ay veu, ce difforme Silene, Me pouuoit moins porter à l’amour qu’à la haine, Et prenant ſon congé, ſans l’oüir de ma voix, Preuint heureuſement le deſſein que i’auois;	Ce brutal que j'ai vu, ce difforme Silène, Me pouvait moins porter à l'amour qu'à la haine, Et prenant son congé, sans l'oüir de ma voix, Prévint heureusement le dessein que j'avais;
Leur aſpect ne ſçauroit m'apporter d’allegeance, Et ie demeure ferme au deſir de vangeance;	Leur aspect ne saurait m'apporter d'allégeance, Et ie demeure ferme au désir de vengeance;
Ie ne puis qu'en leur perte eſtablir mon bon-heur, Ou ie ne ſuiuray pas les conſeils de l’honneur:	Je ne puis qu'en leur perte établir mon bonheur, Ou Roi ne suivrai pas les conseils de l'honneur:
Mais auant que de faire eſclater les tonnerres, Des fortes legions qu’on leue dans mes terres;	Mais avant que de faire éclater les tonnerres, Des fortes légions qu'on lève dans mes terres;
Auant que de leur ſang leur pais arroſer, I'ay voulu voir l’obiect qui me faict meſpriſer;	Avant que de leur sang leur pais arroser, J'ai voulu voir l'object qui me fait mépriser;
Iuſques dedans ma Cour tout le monde publie, La charmante beauté de ceste Roſelie;	Jusque dedans ma Cour tout le monde publie, La charmante beauté de cette Roselie;
Et pour voir cét honneur des plus rares obiects, Ie me ſuis auec toy ſouſtraite à mes ſubiects, Ie ne ſentis iamais vne ardeur de la ſorte.	Et pour voir cet honneur des plus rares objets, Je me suis avec toi soustraite à mes sujets, Je ne sentis jamais ardeur de la sorte.
Allons, cherchons quelqu'vn qui nous monſtre ſa porte.	Allons, cherchons quelqu'un qui nous montre sa porte.
SCENE IV ROSELIE en ſa chambre.	SCÈNE IV ROSELIE en sa chambre.
Mbitieux obiects!	Mbitieux objets!
Ha!	Ha!
que ie blaſme L’art de vous embellir auec tant de ſouQuittez en me voyant cette inutile peine Que donne à vostre esprit voſtre humeur folle & vaine;	que ici blâme L'art de vous embellir avec tant de souQuités en me voyant cette inutile peine Que donne à votre esprit votre humeur folle et vaine;
Uous penſez par le fard vos attraits augmenter, Et moy i'en vſerois s’il les pouuoit oſter.	Uous pensez par le fard vos attraits augmenter, Et moi j'en userais s'il les pouvait ôter.
Mais que me veut Floris,	Mais que me veut Floris,
FLORIS.	FLORIS.
certaine pelerine, D'vn agreable port, d’vne beauté diuine, Demande à vous parler;	certaine pèlerine, D'une agréable port, d'une beauté divine, Demande à vous parler;
ROSELIE.	ROSELIE.
Qu'elle entre.	Qu'elle entre.
O Ciel!	Ô Ciel!
O Dieux!	Ô Dieux!
m' 'aſQuel eſclat est pareil à celuy de ſes yeux?	m' 'asQuel éclat est pareil à celui de ses yeux?
LA REINE en Pelerine.	LA REINE en Pelerine.
Madame, cette voix qui court par tout le monde, Qui porte les beaux noms ſur la terre & ſur l’onde, Qui fait en vn moment tant de chemins diuers, Ne parle que de vous en tout cét Vniuers.	Madame, cette voix qui court par tout le monde, Qui porte les beaux noms sur la terre et sur l'onde, Qui fait en un moment tant de chemins divers, Ne parle que de vous en tout cet Vnivers.
Elle ne vante plus la gloire des Prouinces;	Elle ne vante plus la gloire des Provinces;
Elle a perdu le ſoing d’eterniſer les Princes;	Elle a perdu le soin d'éterniser les Princes;
Les plus rares exploicts ſe perdent ſans renom, Les plus ſçauants eſprits ſont ſans bruit & ſans nom, Les plus belles vertus s’exercent ſans memoire, Elle donne ſes ſoings à vostre ſeule gloire, Et iuſqu'en nos pais fait paſſer vos attraits Pour le plus grand effort que le Ciel fist iamais.	Les plus rares exploits se perdent sans renom, Les plus savants esprits sont sans bruit et sans nom, Les plus belles vertus s'exercent sans mémoire, Elle donne ses soings à votre seule gloire, Et jusqu'en nos pais fait passer vos attraits Pour le plus grand effort que le Ciel fit jamais.
Paſſant par celuy-cy i'ay ſouhaitté la veuë De cer utmauus ouices dont uu terre est pourueue;	Passant par celui-cy j'ai souhaité la vue De cer utmaudus ouices dont u terre est pourvue;
I’ay ce bon-heur inſigne, & veritablement, Ce renom glorieux vous est deu iustement;	J'ai ce bonheur insigne, et véritablement, Ce renom glorieux vous est dû iustement;
On ne peut trop hanter vne beauté ſi rare, La gloire à vos attraits ne peut estre qu'auare.	On ne peut trop hanter une beauté si rare, La gloire à vos attraits ne peut être qu'avare.
ROSELIE.	ROSELIE.
A quels termes ſi beaux puis-ie auoir du recours, Qui reſpondent ſi bien que vos propres diſcours;	À quels termes si beaux puis-je avoir du recours, Qui répondent si bien que vos propres discours;
Pour dignement parler de vos beautez extrémes, Ie ne vous doy tenir que vos paroles meſmes;	Pour dignement parler de vos beautés extrêmes, Je ne vous dois tenir que vos paroles mêmes;
Pour moy, de mes défaux ie me ſçay défier, Et ie ſçay mieux rougir que me glorifier:	Pour moi, de mes défaux ts me sais défier, Et ici sais mieux rougir que me glorifier:
Deſirer de me voir, (quoy que i'en faſſe conte) Ce n'eſi me ſaire ponneur que pom int faire honté.	Desirer de me voir, (quoi que j'en fasse compte) Ce n'esi me zaïre ponneur que pom int faire honté.
LA REINE.	LA REINE.
Vous monstrez que le Ciel ne fit pas moins d’efforts, En creant vostre eſprit, qu'en formant voſtre corps;	Vous montrez que le Ciel ne fit pas moins d'efforts, En créant votre esprit, qu'en formant votre corps;
Et ie dois auoüer, reſtant ſans repartie, Que voſtre voix n'eſt pas vostre moindre partie.	Et ici dois auoüer, restant sans répartie, Que votre voix n'est pas votre moindre partie.
ROSELIE.	ROSELIE.
Ne priſerois-ie pas vn chef-d'œuure des Cieux, Vn tableau:	Ne priserais-je pas un chef-d'œuvre des Cieux, Un tableau:
Mais voicy qui vous priſeramieux.	Mais voici qui vous priseramieux.
Elle parle à Timandre.	Elle parle à Timandre.
Mon frere, fermez l’œil, ſi vous estes ſenſible, Et ne regardez, point ce miracle viſible;	Mon frère, fermez l'œil, si vous êtes sensible, Et ne regardez, point ce miracle visible;
Fuyez, deſtourneZ vous de cét obiect vainqueur, Ou bien vous reſoluez à perdre voſtre cœur;	Fuyez, destourneZ -vous de cet objet vainqueur, Ou bien vous résolvez à perdre votre cœur;
TIMANDRE regardant la Reine.	TIMANDRE regardant la Reine.
Que ne me donniez vous cét aduis fauorable Auant que i’euſſe veu ſon viſage adorable?	Que ne me donniez -vous cet avis favorable Avant que j'eusse vu son visage adorable?
Mon cœur vient de ſortir à ſon premier regard, Vous ne m’obligez, plus de m’aduertir ſi tard;	Mon cœur vient de sortir à son premier regard, Vous ne m'obligez, plus de m'avertir si tard;
Charmante pelerine!	Charmante pèlerine!
obiect inestimable!	objet inestimable!
Où le Ciel fait tout voir ce qu’il a faict d’aimable, Où s’adreſſent vos pas, doux charmes des eſprits;	Où le Ciel fait tout voir ce qu'il a fait d'aimable, Où s'adressent vos pas, doux charmes des esprits;
Qemugyen Ooyage auez vons entrepris:	Qemugien Ooyage avez vons entrepris:
LA REINE.	LA REINE.
Paſſant, pour viſiter les ſaincts lieux d’Italie, Nous auons entendu le nom de Roſelie, Et l’oyant eſtimer, nous auons ſouhaitté D’auoir l’honneur de voir ſa diuine beauté:	Passant, pour visiter les saints lieux d'Italie, Nous avons entendu le nom de Roselie, Et l'oyant estimer, nous avons souhaité D'avoir l'honneur de voir sa divine beauté:
Et certes, le bon-heur d’auoir veu ce viſage Me fait infiniment eſtimer mon voyage.	Et certes, le bonheur d'avoir vu ce visage Me fait infiniment estimer mon voyage.
TIMANDRE.	TIMANDRE.
Qui pourroit de ces yeux exprimer la douceur?	Qui pourrait de ces yeux exprimer la douceur?
LA REINE.	LA REINE.
