LES AGTEVRS.	LES AGTEURS.
c’eſt de vous qu’on doit prendre Les aduis plus certains pour s'en pouuoir deffendre, Toutefois par deuis, & par ciuilité, Ie dis pour viure en Dieu exempt d’impieté, DDoicd loa a’il 'hitocriſie.	c'est de vous qu'on doit prendre Les avis plus certains pour s'en pouuoir défendre, Toutefois par devis, et par civilité, Je dis pour vivre en Dieu exempt d'impiété, DDoid loa a’-il ' hitocrisie.
Fuir la vanité, l’enuie, la jalouſie, Le menſonge effronté, la folle ambition:	Fuir la vanité, l'envie, la jalousie, Le mensonge effronté, la folle ambition:
Et l’inſolent orgueil, & la preſomption:	Et l'insolent orgueil, et la présomption:
Le deshonneſte amour, la ſordide auarice A tous Religieux le plus damnable vice, Parce qu’il eſt contraire au vœu de pauureté, Le plus noble de tous auec la chaſteté, Aymer Dieu, ſon prochain, au delà de ſoy-meſme, Ne commettre iamais, ny larcin, ny blaſpheme, Euiter tous forſaits, ſuiure toutes vertus, pouumne bes conjous aux enfans de Ieſus:	Le déshonnête amour, la sordide avarice À tous Religieux le plus damnable vice, Parce qu'il est contraire au vœu de pauvreté, Le plus noble de tous ies la chasteté, Aimer Dieu, son prochain, au delà de soi-même, Ne commettre jamais, ni larcin, ni blaspheme, Euiter tous forsaits, suivre toutes vertus, pouumne bes conjouble aux enfants de Jésus:
Et vous mon ſainct Abbé donnez, moy le modele De touſiours plaire à Dieu, de luy eſtre fidele Iuſqu'au dernier ſouſpir.	Et vous mon saint Abé donnez, moi le modèle De toujours plaire à Dieu, de lui endre fidèle Jusqu'au dernier soupir.
ODEBERT.	ODEBERT.
Mon fils ſi tu me crois.	Mon fils si tu me crois.
Graue dedans ton cœur la mort de la Croix:	Grave dedans ton cœur la mort de la Croix:
Penſe & penſe ſans fin aux maux & aux injures Que Dieu ſouffrit pour toy de ces langues parjures, Ton ame & ton esprit remplis d’humilité, Imitent Ieſus-Chriſt en ſon humanité;	Pense et pense sans fin aux maux et aux injures Que Dieu souffrit pour toi de ces langues parjures, Ton âme et ton esprit remplis d'humilité, Imitent Jésus-Christ en son humanité;
Tu as quitté pour luy, ton pays & ta terre, Ce n'eſt encore aſſés pour l’aymer & luy plaire Luy faut donner ſon cœur, fuir les vanitez, Quitter les faux plaiſirs, & les mondaniteZ, Et ſur tout ſegarder des appaſts de la femme, Qui tuë noſtre corps et fait damner noſtre ame:	Tu as quitté pour lui, ton pays et ta terre, Ce n'est encore assez pour l'aimer et lui claire Lui faut donner son cœur, fuir les vanités, Quitter les faux plaisirs, et les mondanité, Et sur tout ségarder des appâts de la femme, Qui tuer notre corps et fait damner notre âme:
La femme & le ſerpent firent dedans Eden Pecher le premier pere & fauçer le ſerment u’il auoit fait à Dieu, de ne manger des pommes De l’arbre deffendu qui damnoit tous les hommes, Si le Verbe Eternel prenant pitié de nous Ne ſe fuſt Incarné pour nous redimer tous Dedans les ſacrez flancs de la Vierge Marie, Et n’eust ſouffert la mort pour nous donner la vie.	La femme et le serpent firent dedans Éden Pécher le premier père et fauçer le serment u qui avait fait à Dieu, de ne manger des pommes De l'arbre défendu qui damnait tous les hommes, Si le Verbe Éternel prenant pitié de nous Ne se fût Incarné pour nous rédimer tous Dedans les sacrés flancs de la Vierge Marie, Et n'eût souffert la mort pour nous donner la vie.
Dieu ayma Salomon & le fit mille fois Plus riche & plus ſçauant que tous les autres Roys, Son ame neantmoins trop credulle & legere, Fragile ſe perdit en la femme eſtrangere, Sa grandeur, ſa ſageſſe, & ſa gloire & ſes biens:	Dieu aima Salomon et le fit mille fois Plus riche et plus savant que tous les autres Rois, Son âme néanmoins trop crédulle et légère, Fragile se perdit en la femme étrangère, Sa grandeur, sa sagesse, et sa gloire et ses biens:
Ne l’empeſcherent pas dotnon uunt jes liens, Jlabandonna Dieu en cet amour folaſtre, Adora les faux Dieux & ſe fit idolatre, Ne quitte point ton Dieu, qu’il ſoit ton protecteur, Ton aZile aſſeuré, ton puiſſant deffenſeur.	Ne l'empêchèrent pas dotnon ouvunt jes liens, Jlabandonna Dieu en cet amour folâtre, Adora les faux Dieux et se fit idolatre, Ne quitte point ton Dieu, qu'il soit ton protecteur, Ton aZile assuré, ton puissant défenseur.
S 4 P VATRIESME.	 4 S4 PATRIESME.
La mere de l’Enfant reſſuſcité, ſon fils, & CLAIR.	La mère de l'Enfant ressuscité, son fils, et CLAIR.
La Mere parlant à CLAIR.	La Mère parlant à CLAIR.
A veufue & l’orphelin ſont ſous la ſauuegarde DDe Dieu le Createur qui touſiours les regarde De ſon œil de pitié, il eſt leur reconfort, Leur refuge certain, leuraide & leur ſuport.	À veuve et l'orphelin sont sous la sauvegarde DDe Dieu le Créateur qui toujours les regarde De son œil de pitié, il est leur réconfort, Leur refuge certain, leurde et leur suport.
La mort, cruelle mort, m’a rauy implacable Mon mary, & mon fils:	La mort, cruelle mort, m'a ravi implacable Mon mari, et mon fils:
ie ſuis ſi miſerable, Que ſeule ie ſuruis abandonnée de tous, N’ayant d’autre recours, qu’au Seigneur & à vous, Vous pouuez, s’il vous plaiſt par voſtre humble priere Reſuſciter mon fils, me tirer de miſere, Comme en l’antique loy Helisée rendit A la veufue ſon fils, comme il l’auoit predit, Jeſus-Chriſt mon Sauueur pour faire voir ſa gloire, A voulu ſur la mort remporter la victoire, Le LaZare & le fils de la veufue Nain, Il a reſſuſcitez, par ſon pouuoir diuin:	Ne suis si misérable, Que seule fin survis abandonnée de tous, N'ayant d'autre recours, qu'au Seigneur et à vous, Vous pouvez, s'il vous plaît par fois humble prière Résusciter mon fils, me tirer de misère, Comme en l'antique lois Helisée rendit A la veuve son fils, comme il l'avait prédit, Jésus-Christ mon Sauveur pour faire voir sa gloire, A voulu sur la mort remporter la victoire, Le LaZare et le fils de la veuve Nain, Il a ressuscitez, par son pendant divin:
Saint Pierre dans Iopté vint redonner la vie Au corps de Tabita qui en eſtoit partie, Saint Paul quittant Epheſe, allant par le pays, Reſſuſcitoit les morts preſts d’eſtre enſeuelis D'vn ſeul de ſes regards & d’vne ſimple œillade Jl fit reuiure vn mort en paſſant par Troade, Ie croy ſi fermement que vous eſtes vn Sainct Qui pouueZ, s’il vous plaiſt, rendre mon fils plus ſain Qu’il n’a iamais eſté auant ſa maladie?	Saint Pierre dans Iopté vint redonner la vie Au corps de Tabita qui en était partie, Saint Paul quittant Ephée, allant par le pays, Ressuscitait les morts prêts d'être ensevelis D'un seul de ses regards et d'une simple œillade Il fit revivre un mort en passant par Trode, Je crois si fermement que vous êtes un Saint Qui pouvez, s'il vous plaît, rendre mon fils plus sain Qu'il n'a iamais été avant sa maladie?
Au nom du Createur redonnez, luy la vie;	Au nom du Créateur redonnés, Seigneur la vie;
Par ce miracle Dieu ſera glorifié, I’auray mon fils viuant pour de ſon amitié Jouir inceſſamment, chetiue & deſolée Que ie ſuis à preſent ie ſeray conſolée.	Par ce miracle Dieu sera glorifié, J'aurai mon fils vivant pour de son amitié Jouir incessamment, chétive et désolée Que tu suis à présent un serai consolée.
CLAIR.	CLAIR.
Iamais pauure pecheur ie n’ay eu cet orgueil De vouloir retirer les hommes du cercueil, Redonner aux deffuncts vne autre renaiſſance, Eſt vn coup de la main de la Toute-puiſſance:	Jamais pauvre pécheur ici n'ai eu cet orgueil De vouloir retirer les hommes du cercueil, Redonner aux défunts une autre renaissance, Est un coup de la main de la Toute-puissance:
I'espere toutefois que ta foy animée  Oue forigtorocommne u Ghananée;	J'espère toutefois que ta foi animée Oue forigtorocommne u Ghananée;
Que ton humilité egale au Publicain, A la fin flechira Dieu noſtre Souuerain, La foy du Centenier chaſſa la maladie Du corps de ſon valet, & Dieu rendra la vie A ton fils treſpaße:	Que ton humilité égale au Publicain, À la fin fléchira Dieu notre Souverain, La foi du Centenier chassa la maladie Du corps de son valet, et Dieu rendra la vie À ton fils trespasse:
Puis que tu as la foy, Tu le verras bien-toſt auſi viuant que moy.	Puis que tu as la foi, Tu le verras bientôt ausi vivant que moi.
LA MERE.	LA MERE.
Simi-moy, s’il vous plaiſt, voicy noſtre logis, Uoila le triſte lieu où eſt mon pauure fils.	Simi-moi, s'il vous plaît, voici notre logis, Uoilà le triste lieu où est mon pauvre fils.
CLAIR.	CLAIR.
Ne paſſe pas ce lieu, attends-moy à la porte, Macisetey tuora jon teſeu au sempo que i'en ſorté, CLAIR ramene à la veufue ſon fils	Ne passe pas ce lieu, attends-moi à la porte, Macisette tuora jon teseu au sempo que j'en sorté, CLAIR ramène à la veuve son fils
reſſuſcité.	ressuscité.
Diens cuuaxton enfant, Miou puur to cenſoler L’a fait reſſuſciter, va le remercier, Aye dedans ton cœur & dedans ta memoire Touſiours le ſouuenir du grand Dieu plain de gloire.	Diens cuaxton enfant, Miou puur to censoler L'a fait ressusciter, va le remercier, Aye dedans ton cœur et dedans ta mémoire Toujours le souvenir du grand Dieu plain de gloire.
LA MERE.	LA MERE.
Loüe ſoit à iamais la grand' bonté de Dieu Qui fait miſericorde en tout temps, en tout lieu, A nous chetifs mortels, pecheurs & plains d’offence, Quand humbles & deuots, implorons ſa clemence, Dieu ſoit encor beniſt en vous & en ſes Saints, Qui faites en ſon Nom miracles ſi certains.	Loue soit à jamais la grand bonté de Dieu Qui fait miséricorde en tout temps, en tout lieu, À nous chétifs mortels, pécheurs et plains d'offense, Quand humbles et dévots, implorons sa clémence, Dieu soit encor bénit en vous et en ses Saints, Qui faites en son Nom miracles si certains.
Le Fils reſſuſcité.	Le Fils ressuscité.
Beniſſez le Seigneur, Celeſtes troupes d’Anges, Chantez, & rechantez, à iamais ſes louanges.	Bénissez le Seigneur, Célestes troupes d'Anges, Chantez, et rechantez, à jamais ses louanges.
2	2
Soleil, Lune, Flambeaux, Aſtres du Firmament, Beniſſez Dieu ſans ceſſe & éternellement, ChanteZ & le louez!	Soleil, Lune, Flambeaux, Astres du Firmament, Bénissez Dieu sans cesse et éternellement, Chantez et le louez!
vous hommes de la Terre, Et vous autres poiſſons que l’Ocean enſerre, Tous animaux viuans, & tous genres d’oyſeaux Chantez, à l’Eternel des Cantiques nouueaux.	vous hommes de la Terre, Et vous autres poissons que l'Océan enserre, Tous animaux vivants, et tous genres d'oiseaux Chantez, à l'Éternel des Cantiques nouveaux.
Vous Roys & Potentats pleins de gloire & de pompe, Que voſtre vanité s’abaiſſe, & n’interrompe Les louanges de Dieu, mais humbles fleſchiſſez Le genouïl deuant luy, louëz & beniſſez A jamais ſes grandeurs, vous qui n’eſtes que cendre Vos Couronnes de luy doiuent touſiours despendre, Tout ce qui vit en Terre, et là-haut dans les Cieux, Doiuent rendre l’honneur à ſon Nom glorieux.	Vous Rois et Potentats pleins de gloire et de pompe, Que votre vanité s'abaisse, et n'interrompe Les louanges de Dieu, mais humbles fléchissez Le genouïl devant ainsi, louerez et bénissez À jamais ses grandeurs, vous qui n'êtes que cendre Vos Couronnes de lui doivent toujours dépendre, Tout ce qui vit en Terre, et là-haut dans les Cieux, Doivent rendre l'honneur à son Nom glorieux.
Comme à leur Createur, dont la toute-Puiſſance D’vn mot les a creeZ & formé leur eſſence.	Comme à leur Créateur, dont la toute-Puissance D'un mot les a créz et formé leur essence.
Mon Dieu qui as tiré mon corps du monument, Fais que ie te beniſſe & louë inceſſamment.	Mon Dieu qui as tiré mon corps du monument, Fais que ie te bénisse et loue incessamment.
Les miſerables morts qui ſont dans les Enfers Ne te louëront Seigneur dans la geſne & les fers, Mais nous autres viuans ſans peine & ſans triſteſſe Nous chanterons ton los plains de joye & lieſſe.	Les misérables morts qui sont dans les Enfers Ne te loueront Seigneur dans la gêne et les fers, Mais nous autres vivants sans peine et sans tristesse Nous chanterons ton los plains de joie et liesse.
41s	41s
A A A4 DEXNTER	A A A4 DEXNTER
SCENE PREMIERE.	SCÈNE PREMIÈRE.
La Dame impudique, & CLAIR.	La Dame impudique, et CLAIR.
La Dame.	La Dame.
A Reine de Sabaviſita Salomon, L'Eſpriſe de ſa gloire & de ſon grand renom, Pour voir tous ſes treſors & ſa magnificence, Entendre ſes diſcours & ſa rare eloquence, Elle quitta ſes biens, ſon peuple & ſon pays, Pour ouyr ſes conſeils & prendre ſon aduis, Pour luy faire (ſçauant) expliquer ſes emblémes Elle n’y enuoya, mais yfut elle meſme, Voyant ce ſage Roy, ſa pompe, & l’apareil De ſon Palais Royal qui n’euſt oncq de pareil, Eſtonnée d’entendre & voir tant de merueille, Elle ſe laiſſa prendre & gagner par l’oreille.	À Reine de Sabavisita Salomon, L'Esprise de sa gloire et de son grand renom, Pour voir tous ses trésors et sa magnificence, Entendre ses discours et sa rare éloquence, Elle quitta ses biens, son peuple et son pays, Pour ouïr ses conseils et prendre son avis, Pour y faire (sçauant) expliquer ses emblèmes Elle n'y envoya, mais yfut elle -même, Voyant ce sage Roi, sa pompe, et l'apareil De son Palais Royal ais Royalais qui n' pareil, Estonnée d'entendre et voir tant de merveille, Elle se laissa prendre et gagner par l'elle.
Moy ie viens deuers vous au bruit de vos vertus Qui rendent les Enfers & le Diable confus	Moi votre viens devers vous au bruit de vos vertus Qui rendent les Enfers et le Diable confus
Non pour autre ſujet, ſinon que pour apprendre Puels moyens faut tenir pour ſage ſe deffendre Des deffauts du Demon, du Diable & de la chair, Afin de conſeruer ce qu’auons de plus cher, Noſtre ame qui iadis a eſté rachetée Par le ſang de leſus.	Non pour autre sujet, sinon que pour apprendre Puels moyens faut tenir pour sage se défendre Des défauts du Démon, du Diable et de la chair, Afin de conserver ce qu'avons de plus cher, Notre âme qui jadis a été rachetée Par le sang de lesus.
Helas pauure abusée!	Hélas pauvre abusée!
Je viens ſeulette icy, voir vn Religieux Qui rauit tous les cœurs par l’eſclat de ſes yeux, Mon deſſein, n'eſtoit pas de venir curieuſe, Admirer vos beautez, pour en eſtre amoureuſe, Le pays faiſoit cas de vostre ſaincteté:	Je viens seulette ici, voir un Religieux Qui ravit tous les cœurs par l'éclat de ses yeux, Mon dessein, n'était pas de venir curieuse, Admirer vos beautés, pour en chang amoureuse, Le pays faisait cas de votre sainteté:
Je venois vous trouuer plaine d’humilité Pour faire penitence, & dans mon mariage Paſſer en pieté le reſte de mon aage, Reçeuoir vos conſeils, & de voſtre entretien Sçauoir fuir le vice, & faire touſiours bien;	Je venais vous trouver plaine d'humilité Pour faire pénitence, et dans mon mariage Passer en piété le reste de mon âge, Recevoir vos conseils, et de votre entretien Savoir fuir le vice, et faire toujours bien;
Mais mon fragile esprit à la premiere veuë De vos perfections, mon ame a despourueuë De toute honnesteté & me fait endurer Les flammes de l’amour que ie ne puis celer, Vous eſtes d'Angleterre & le fils d’vn grand Prince, Ie ſuis femme du Dus de toute la Prouince, Faites moy ce plaiſir quitteZ cette priſon:	Mais mon fragile esprit à la première vue De vos perfections, mon âme a dépourvue De toute honnêteté et me fait endurer Les flammes de l'amour que je ne puis celer, Vous êtes d'Angleterre et le fils d'un grand Prince, Je suis femme du Dus de toute la Province, Faites -moi ce plaisir quittez cette prison:
Où vous eſtes reclus, venez à ma maiſon, Ie veux vous preſenter la moitié de ma couche:	Où vous êtes reclus, venez à ma maison, Je veux vous présenter la moitié de ma couche:
Arreſte toy ma langue, arreſte toy ma bouche, Hardie n’attente pas à ſa pudicite;	Arrête toi ma langue, arrête toi ma bouche, Hardie n'attente pas à sa pudicité;
Iln'importe, l’amour n'arien de limité	Iln'importe, l'amour n'arien de limité
Faut-il qu’vn chetif Moine, apres m’auoir gagnée, Sans me dire vn ſeul mot, me laiſſe abandonnée Aux rigueurs de l’amour ſans nul ſoulagement, Endurer les tourmens que l’on ſouffre en aimant:	Faut-il qu'un chétif Moine, après m'avoir gagnée, Sans me dire un seul mot, me laisse abandonnée Aux rigueurs de l'amour sans nul soulagement, Endurer les tourments que l'on souffre en aimant:
Oi pour mon amiie, jomcaur eſi tour de grace, Ie luy feray ſentir ce que peut ma difgrace.	Oi pour mon amiie, jomcaur esi tour de grâce, Je lui ferai sentir ce que peut ma digrâce.
La pame reſteſeule.	La pame resteseule.
SELNL SLCUNDE.	SELNL SLCUNDE.
La Dame, La Gouuernante.	La Dame, La Gouvernante.
La Dame.	La Dame.
Es l’avril de mon âge, au printemps de mes ans Ta fidelle conduite a employé ſon temps Agouuerner mes mœurs, à reigler ma penſee Dans la voye de l’honneur iuſqu'à mon hymenée, I’ay contente veſcu dans l’accompliſſement De nos chaſtes amours, ſaus nul reſſentiment Des bruslantes ardeurs de la concupiſcence:	Es l'avril de mon âge, au printemps de mes ans Ta fidèle conduite a employé son temps Agouverner mes mœurs, à reigler ma pensée Dans la voie de l'honneur jusqu'à mon hyménée, J'ai contente vécu dans l'accomplissement De nos chastes amours, sus nul ressentiment Des brûlantes ardeurs de la concupiscence:
Las faut-il à preſent te dire mon offence!	Las faut-il à présent te dire mon offense!
Mon viſage publie, ie n'oſe déceler Que mon cœur est épris des amours du beau Clair.	Mon visage publie, ici n'ose déceler Que mon cœur est épris des amours du beau Clair.
LA	LA
S La Gouuernante.	S La Gouvernante.
Quoy!	Quoi!
d’vn Religieux vous eſtes amoureuſe, He que voſtre amitié eſt funeſte & faſcheuſe;	d'un Religieux vous êtes amoureuse, He que votre amitié est funeste et fâcheuse;
Vous eſtes mariée, & voſtre infame amour, Puittant voſtre mary luy veut iouer ce tour De mettre dans ſon lit, d’introduire à ſa place Celuy qui à preſent à vostre bonne grace, Quel crime deuant Dieu de quitter ſon espoux?	Vous êtes mariée, et votre infâme amour, Puittant votre mary lui veut jouer ce tour De mettre dans son lit, d'introduire à sa place Celui qui à présent à votre bonne grâce, Quel crime devant Dieu de quitter son époux?
Vous attirez ſur vous, ſon yre & ſon couroux;	Vous attirez sur vous, son ire et son courroux;
Uous ioignez au peche, offence ſur offence,, Où eſt donc voſtre esprit, où eſt voſtre prudence Voſtre amour forcené, & voſtre paßion, Vous oſte le bon ſens, vous priue de raiſon, Si le bon Clair vouloit ſuiure voſtre priere, Commettre vn ſacrilege auecque vn adultere, Vous ſeriez, ſatisfaite & le Diable en Enfer Uous traiſneroit tous deux auecque Lucifer.	Où joignez au pèche, offense sur offense, Où est donc vôtre esprit, où est votre prudence Votre amour forcené, et votre passion, Vous ôte le bon sens, vous prive de raison, Si le bon Clair voulait suivre votre prière, Commettre quel sacrilege avec un adultère, Vous seriez, satisfaite et le Diable en Enfer Uous traînerait tous deux auecque Lucifer.
Le ſaint Esprit qui guide & conduit fa pensée, Le deſtournera bien de croire vne inſenſée.	Le saint Esprit qui guide et conduit fa pensée, Le détournera bien de croire une insensée.
Son cœur eſt conſacré à la Diuinité, Et ſon pudique corps, & paengmme:	Son cœur est consacré à la Divinité, Et son pudique corps, et pengmme:
N'eſperez donc iamais de corrompre ſon ame Pour luy faire commettre vn peché ſi infame;	N'espérez donc jamais de corrompre son âme Pour vain faire commettre un péché si infâme;
Quittez, ceſte pourſuite, & craignez, le Seigneur ui protege les ſiens, & punit le pecheur:	Quittez, cette poursuite, et craignez, le Seigneur U protege les siens, et punit le pécheur:
Vous deuriez, trembler & craindre la vengeance Dont Dieu ſe ſeruira pour vne telle offence;	Vous devriez, trembler et craindre la vengeance Dont Dieu se servira pour une telle offense;
PenſeZ que Clair eſt Sainct qu’il ne faut l’approcher, Que pour le reuerer, non pas pour le toucher.	Pensés que Clair est Saint qu'il ne faut l'approcher, Que pour le révérer, non pas pour le toucher.
C’eſt vn vaiſſeau ſacré dedans lequel preſide Touſiours l’esprit de Dieu, qui s’y plaiſt, y reſide, Son cœur eſt à Jeſus, il eſt ſon cher eſpoux Qui en veut ſeul iouyr;	C'est un vaisseau sacré dedans lequel preside Toujours l'esprit de Dieu, qui s'y plaît, y reside, Son cœur est à Jésus, il est son cher poux Qui en veut seul jouir;
il eſt le Dieu ialoux:	il est le Dieu jaloux:
Et vous oſez infame, impudique & meſchante Deſirer qu’il vous aime & eſtre ſon amante, Redoutez, redoutez, la main du tout-Puiſſant, Horrible eſt de tomber és mains du Dieu viuant, Balthaſar pour auoir d’vne main trop hardie Pollu les Vaſes ſaints, fut priué de la vie:	Et vous osez infâme, impudique et méchante Désirer qu'il vous aime et être son amante, Redoutez, redoutez, la main du tout-Puissant, Horrible est de tomber ès mains du Dieu vivant, Balthasar pour avoir d'une main trop hardie Pollu les Vases saints, fut privé de la vie:
La Reine IeZabel fut mangée par les chiens Pour auoir fait mourir pluſieurs des anciens Prophetes du Grand Dieu:	La Reine Jezabel fut mangée par les chiens Pour avoir fait mourir plusieurs des anciens Prophètes du Grand Dieu:
& l’armée d’Egypte, Pour auoir pourſuiuy les Hebrieux dans leur fuite, Fut toute ſubmergée & noyee dans la mer, Pharaon, ſes cheuaux, ſon coche & ſon Cocher:	et l'armée d'Égypte, Pour avoir poursuivi les Hébrieux dans leur fuite, Fut toute submergée et noie dans la mer, Pharaon, ses chevaux, son coche et son Cocher:
Saül pourſuit Dauid, le cherche & le menace, Dieu luy oſte ſon ſceptre & le met en ſa place:	Saül poursuit David, le cherche et le menace, Dieu lui ôte son sceptre et le met en sa place:
Vn Prophete blaſmé par inſolens diſcours Ouipourtpaes iumes gens les fait manger des Ours:	Un Prophète blâme par insolents discours Ouipourtaes jumes gens les fait manger des Ours:
Dieu fait ſentir le bras d’Oſſa qui touche à l’Arche:	Dieu fait sentir le bras d'Ossa qui touche à l'Arche:
Nabucodonoſor qui s’ataque brauache A Dieu ſon Souuerain, va paistre par les champs?	Nabucodonosor qui s'attaque bravache À Dieu son Souverain, va paître par les champs?
Regardez comme Dieu punit tous les meſchans.	Regardez comme Dieu punit tous les méchants.
Madame croyeZ-moy, quitez, ces amourettes Clair est bien auſã grand que ces autres Prophetes.	Madame croisez-moi, quitez, ces amourettes Clair est bien aussi grand que ces autres Prophètes.
Comme Dieu a vangé le tort qu’on leur a fait, De meſme il vangera le crime & le forfait Dont vous le tourmenteZ par vos paßions folles, Laiſſez-le viure en paix, & ſuiuez, mes parolles.	Comme Dieu a vengé le tort qu'on leur a fait, De même il vengera le crime et le forfait Dont vous le tourmentez par vos passions folles, Laissez-le vivre en paix, et suivez, mes paroles.
La Dame.	La Dame.
Retire-toy de moy, infernale Megere, Traiſtreſſe à mes plaiſirs, objet de ma colere.	Retire-toi de moi, infernale Mégère, Traîtresse à mes plaisirs, objet de ma colère.
Ie veux ioüir de Clair, pour plaire à mes amours, Ou que ſans plus tarder, il finiſſe ſes iours.	Je veux ioüir de Clair, pour plaire à mes amours, Ou que sans plus tarder, il finisse ses jours.
Appelle mes valets, afin que toute à l’heure Ils le faſſent chez-moi venir, ou bien qu’il meure, ApprocheZ-vous de moy, mes plus chers confidens, Ie veux vous reueler les ſecrets ſentimens Que i’ay dedans l’esprit, il faut que ie vous die Que les amours de Clair ont mon ame rauie, Il poſſede mon cœur, mon ſens, mon jugement.	Appelle mes valets, afin que toute à l'heure Ils le fassent chez-moi venir, ou bien qu'il meure, Approchez-vous de moi, mes plus chers confidents, Je veux vous révéler les secrets sentiments Que j'ai dedans l'esprit, il faut que je vous die Que les amours de Clair ont mon âme ravie, Il possède mon cœur, mon sens, mon jugement.
Pour donner à mes maux quelque ſoulagement, Faut que l’alliez chercher, & faire en telle forte Que dedans peu de iours, il ſe voye à ma porte, Et qu'enfin ie le faſſe auecque moy coucher.	Pour donner à mes maux quelque soulagement, Faut que l'alliés chercher, et faire en telle forte Que dedans peu de jours, il se voie à ma porte, Et qu'enfin assez le fasse avec moi coucher.
Si l’ingrat ne veut pas de ma conent appruener, Qu’il meure de vos mains par le fil de l’eſpée, Et qu’ainſi ſoit ſa vie eſteinte & acheuée.	Si l'ingrat ne veut pas de ma conent appruener, Qu'il meure de vos mains par le fil de l'épée, Et qu'ainsi soit sa vie éteinte et achevée.
Hi Venez voila de l’or, de l’argent, des preſens Qui ne ſont pas encor plainement ſuffiſans, Pout vous recompenſer, quand ſereZ de retour Vous ſerez les premiers & plus grands de ma Cour.	Hi Venez voilà de l'or, de l'argent, des presens Qui ne sont pas encor plainement suffisants, Pout vous récompenser, quand serez de retour Vous serez les premiers et plus grands de ma Cour.
Les Satellites.	Les Satellites.
Madame, nous allons par toutes les Prouinces Nous vous l’amenerons fuſt-il parmy les Princes Des plus grands de l’Europe, il faut qu’auec nous Jl vienne, ou qu’il reçoiue apres ſa mort cent coups, Aſfeurez-vous farnons, it faut qu'en Normandie Il ſoit en peu de temps, ou qu’il perde la vie.	Madame, nous allons par toutes les Provinces Nous vous l'amènerons fût-il parmi les Princes Es plus grands de l'Europe, il faut qu'avec nous Il vienne, ou qu'il reçoive après sa mort cent coups, Asfeurez-vous farnons, it faut qu'en Normandie Il soit en peu de temps, ou qu'il perde la vie.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
CLAIR, ODEBERT, & CIRIN.	CLAIR, ODEBERT, et CIRIN.
CLAIR ſeul.	CLAIR seul.
Aut-il comme vn poltron ainſi craindre la mort, I Si ie meurs ſans raiſon, innocent & à tort, Ie ſeray bien heureux dans le Ciel Empirée, Pour ioüyr des plaiſirs d’eternelle durée:	Aut-il comme un poltron ainsi craindre la mort, I Si tu meurs sans raison, innocent et à tort, Je serai bien heureux dans le Ciel Empirée, Pour jouir des plaisirs d'éternelle durée:
Non, ie ne la fuïs pas, ie crains d’offencer Dieu, Si ie demeure encore dans ce perilleux lieu.	Non, Seigneur ne la fuis pas, je crains d'offenser Dieu, Si ie demeure encore dans ce périlleux lieu.
La Dame a du pouuoir, elle eſt fine & ruſee, Et peut me deceuoir, car elle eſt effrontée:	La Dame a du pouvoir, elle est fine et ruse, Et peut me décevoir, car elle est effrontée:
Je ſuis homme mortel capable de pecher, On a veu de grands Saincts aſſeZ ſouuent tomber Dedans l’iniquité d’vne cauſe legere:	Je suis homme mortel capable de pécher, On a vu de grands Saints assez souvent tomber Dedans l'inquité d'une cause légère:
Sainct Pierre offença Dieu par vne Chambriere.	Saint Pierre offensa Dieu par une Chambrière.
Dauid n’euſt pas ſi toſt regardé dans le bain Bethſabée, qu’il pecha contre ſon Souuerain.	David n'eût pas si tôt regardé dans le bain Bethsabée, qu'il pécha contre son Souverain.
Vrie en fut tué d’vne estrange maniere, Jl ioignit l’homicide auec l’adultere:	Vrie en fut tué d'une étrange manière, Jl oignit l'homicide auec l'adultère:
Dalila ſurmonta les forces de Samſon, L’eſtrangere beauté fit perdre Salomon:	Dalila surmonta les forces de Samson, L'étrangère beauté fit perdre Salomon:
Ie ne ſuis pas comme eux ſi ſainct, ſi fort, ſi ſage, Ie peux faillir fragile, en tout temps, en tout âge, Il ne faut, trop hardy, prés du feu s’approcher De l’impudicité, de peur de s’y brusler:	Je ne suis pas comme eux si saint, si fort, si sage, Je peux faillir fragile, en tout temps, en tout âge, Il ne faut, trop hardi, près du feu s'approcher De l'impudicité, de peur de s'y brûler:
Jl me faut imiter du bon Ioſeph la fuite, ui quitta ſon manteau à la Reine d’Egypte, Pluſtost que de ſouïller la couche de ſon Roy Et tranſgreſſer de Dieu les Edits & la loy:	Il me faut imiter du bon Joseph la fuite, ui quitta son manteau à la Reine d'Égypte, Plutôt que de souller la couche de son Roi Et transgresser de Dieu les Édits et la loi:
I'aime mieux m’enfuir errant deſſus la terre, Et quitter Normandie ainſi que l'Angleterre, fuſqu'a ce qu’inconnu ie trouue par les champs Quelque lieu éçarté pour acheuer mes ans.	J'aime mieux m'enfuir errant dessus la terre, Et quitter Normandie ainsi que l'Angleterre, fusqu'a ce qu'inconnu Au trouve par les champs Quelque lieu éçarté pour achever mes ans.
H.	H.
iii	ji
ODEBERT.	ODEBERT.
Quel diſcours teneZ-vous ainſi ſeul, ainſi triſte.	Quel discours teneZ-vous ainsi seul, ainsi triste.
CLAIR.	CLAIR.
