E neldotte pocolter :	E neldotte pocolter :
Madame ne croyez, que ie manque de Foy, A mon aymé Sauueur, mon Seigneur, & mon Roy, Olibre qui a eſſayé par ſes belles promeſſes, Ses diſcours deceuans & ſes feintes carreſſes, D’auoir quelque aſcendant par deſſus mon eſprit Ie luy ay declaray que c’eſtoit Ieſus-Chriſt, Que i'auois pour Eſpoux à la mort à la vie, Et d'autre que de luy n'aurois tamais enute.	Madame ne croyez, que nous manque de Foi, À mon aimé Sauveur, mon Seigneur, et mon Roi, Olibre qui a essayé par ses belles promesses, Ses discours décevants et ses feintes carresses, D'avoir quelque ascendant par -dessus mon esprit Je sens ai déclarai que c'était Jésus-Christ, Que j'avais pour Époux à la mort à la vie, Et d'autre que de même n'aurais tamais envte.
PHILOMENE.	PHILOMENE.
Continuez m'amie en voſtre intention, Et ne changez iamais de reſolution!	Continuez m'amie en votre intention, Et ne changez jamais de résolution!
Tant que vous ſeruirez ce Soleil de Iuſtice, Vous n’aprehenderez d’olibre la malice, Quãd méme les demons, ſeroiẽt tous contre vous, N’en douteZ nullement vous les vainquereZ tous, C’eſt luy qui peut changer vos trauaux en delices Et qui fait treuuer doux les plus cruels ſupplices, Les grands braZiers ſeront vos rafraichiſſemens, Les horribles tourments, vos chers ébatements, Sus, ſus, courage donc genereuſe Guerriere, prt.	Tant que vous servirez ce Soleil de Justice, Vous n'appréhenderez d'olibre la malice, Quand même les démons, seraient tous contre vous, N'en doutez nullement vous les vainquerez tous, C'est apprendre qui peut changer vos travaux en délices Et qui fait trouver doux les plus cruels supplices, Les grands braZiers seront vos rafraîchissements, Les horribles tourments, vos chers ébatements, Sus, Sus, courage donc courage Généreux, prt.
qui vous aurez fourny voſtre carriere, Et remporté l’honneur dans les ſanglants cõbats Les Lauriers immortels ne vous manqueront pas.	qui vous aurez fourni votre carrière, Et remporté l'honneur dans les sanglants combats Les Lauriers immortels ne vous manqueront pas.
Ste REYNE.	Ste REINE.
C’eſt bien tout mon deſir d’auoir de la ſouffrance Imitant mon Eſpoux dedans la patience, Dieu vous donne ſa paix, & recompenſe vn iour, Les ſoins qu'auez de moy au celeſte ſejour.	C'est bien tout mon désir d'avoir de la souffrance Imitant mon Époux dedans la patience, Dieu vous donne sa paix, et récompense un jour, Les soins qu'avez de moi au celeste jour.
THILOMENL.	THILOMENL.
La nuit s’âproche fort Dieu nous donne ſa grace Prions le toutes deux qu'au Ciel nous ayons place	La nuit s'approche fort Dieu nous donne sa grâce Prions le toutes deux qu'au Ciel nous ayons place
SCENE II.	SCÈNE II.
OLIBRE venãt d’Alemagne, LVCIE, FVLCE.	ÔLIBRE venant d'Allemagne, LUCIE, FULCE.
ETHIE, OLIBRE.	ETHIE, OLIBRE.
Dieux-Diuins Autheurs des voûtes eternelles,	Dieux-Divins Auteurs des voûtes éternelles,
Ie vous rends mille fois des graces immortelles, Par vos Sainctes faueurs ie ſuis victorieux, Des Tudeſques, groſſiers, qui vouloient furieux, Du grand Aureliam meſpriſer la puiſſance, Iacquiers milie lauriers par leur outrecuidance, La foudre de mon bras ne ſe peut éuiter, Non plus que le carreau du tonnant Iupiter, Ayãt ionché de morts les chãps de ſes braüaches, Et octroyé la Paix à ces courages laſches, Enfin heureuſement me voila de retour, Cher Lucie, ie veux, ie veux je veux ce iour, Que tout ce peuple icy par des chãps d’alegreſſe, Publie ma valeur, & ma haute proüeſſe, En preſence de tous, ie veux deuotieux, Vne belle victime immoler à nos Dieux, Et qu’au Temple Sacré vn chácun deux aſſiſte, Sus qu'à ma volonté per ſonne ne reſiſte, MetteZ ordre à cela, & vous Fulce, il vous faut Aller querir la fille, & ſans faire deffaut, Faictes la deuant moy promptement ceputoiſtre, Car ſi encor nos Dieux elle veut meſconnoiſtre, Et à leurs ſainsts Autels, refuſer d’encenſer, De tourments tres cruels, ie la veux offencer.	Je vous rends mille fois des grâces immortelles, Par vos Sainte faueurs et suis victorieux, Des Tudesques, grossiers, qui voulaient furieux, Du grand Auriam mépriser la puissance, Jacquiers milie lauriers par leur outrecuidance, La foudre de mon bras ne se peut éviter, Non plus que le carreau du tonnant Jupiter, Ay ionché de morts les champs de ses braüaches, Et octroyé la Paix à ces courages lâches, Enfin heureusement me ade retour, Cher Lucie, ie veux, ie veux je veux ce iour, Que tout ce peuple par des chãps alegresse, Publie m valeur, et ma haute proüesse, En présence de tous, me veux oïlà De re victime immoler nos Dieux, Et au Temple Sacré , chácun deux assiste, Sus qu' ma volonté per sonne ne y, MetteZ ordre cela, et vous Je, il vous faut Aller quérir la fille, et sans je défaut, Fay la deuant moi re ceputoistre, Ma si encor nos Dieux elle veut re, Et y leurs fa Ut, refuser encenser, Ce tourments très cruels, ie la veux offencer.
LVCIE.	LUCIE.
Ie m'en vay commander de faire le Theâtre, Ou le gay Comedien doit auiourd’huy s’ébâtre, Et le Char de triomphe, où ſeroit à milliers, Par le col attacheZ les captifs Priſonniers,	Je m'en vais commander de faire le Théâtre, Ou le gai Comédien doit aujourd'hui s'ébattre, Et le Char de triomphe, où serait à milliers, Par le col attacheZ les captifs Prisonniers,
FVLCE.	FULCE.
Et moy grand Gouuerneur d’vne courſe legere, Ie vais faire venir cette belle Bergere, Ie croy qu'elle à déja ſouffert maintes douleurs, Que l’eſclat de ſa face, à les pâles couleurs, Des roſes qui eſtoient ſi bien épanouïes, Sur ſon tein delicat ſeront éuanouïes, Car n’ayãt pour tout mets, que du pain& de l’eau Dans cét obſcur grotton, où plutoſt ce tombeau, La faim, la froide peur, l’horreur & la miſere, L’auront fait deuenir plus ſage & moins ſeuere, Et doitt on reputer à tres grande faueur, Que ſoyez maintenant profeſſeur de ſon cœur.	Et moi grand Gouverneur d'une course légère, Je vais faire venir cette belle Bergère, Je crois qu'elle à déjà souffert tes douleurs, Que l'éclat de sa face, à les pâles couleurs, Des roses qui étaient si bien épanouïes, Sur son tein délicat seront éuanouïes, Car n'ayant pour tout mets, que du pain pris deau Dans cet obscur grotton, où plutôt ce tombeau, La faim, la froide peur, l'horreur et la misère, L'auront fait devenir plus sage et moins sage, Et moi on sauront ce grande re, Où soyez plutôt professeur de son cœur.
EEIDRae Si à tous mes deſſeins elle eſt touſiours rebelle, Ie luy feray ſouffrir vne mort tres-cruelle.	EEIDRae Si à tous mes desseins elle est toujours rebelle, Je sort ferai souffrir quelque mort très-cruelle.
ETIE.	ETIE.
Monſeigneur vous ferez ſelon voſtre deuoir, Faut que chacun flechiſſe à voſtre haut pouuoir.	Monseigneur vous ferez selon votre devoir, Faut que chacun fléchisse à votre haut pouuoir.
CENE II.	CÈNE II.
FVLCE, ENCLASTRE GEOLIER, TIE, FVLCE.	FULCE, ENCLASTRE GEÔLIER, TYE, FULCE.
Nelaſtre parle à moy,	Nelastre parle à moi,
ENCLASTRE.	ENCLASTRE.
Qu'eſt-ce que tu demande, Olibre de ma part enjoin ct & te commande, Que ta ne manque pas de me mettre entremains, La belle priſonniere aux yeux doux & ſerain, Car ie la veux conduire auec ma cohorte, Deuuui tuy promprement.	Qu'est-ce que tu demande, Olibre de ma part enjoin et et te commande, Que ta ne manque pas de me mettre entremains, La belle prisonnière aux yeux doux et serain, Car ie la veux conduire avec ma cohorte, Deuuui tui promprement.
ENCLASTRE.	ENCLASTRE.
Certe elle eſt preſque morte;	Certe elle est presque morte;
Car depuis tant de temps qu’en ce triſte manoir, Elle vit d’vn peu d’aau, & d’vn peu de pain noir, ucuuoubonuet uu put tout te luy deuale, Elle a deu ſouffrir plus que n’endure tantale.	Car depuis tant de temps qu'en ce triste manoir, Elle vit d'un peu d'a, et d'un peu de pain noir, ucuuoubonuet put tout te lui deuale, Elle a souffrir plus que endure tantale.
VLCE.	VLCE.
Ie ſçais bien qu'en ce lieu elle doit empirer, Mais auſſi preſtement il la faut retirert	Je sais bien qu'en ce lieu elle doit empirer, Mais aussi prestement il la faut retirert
AINCTE REYNE.	AINCTE REINE.
Doux Sauueur qui voyez la peine que i’endure, Helas!	Doux Sauveur qui voyez la peine que j'endure, Hélas!
ayez pitié de voſtre creature, Tirez-moy des dêtrois de ces infames lieux, Pour ſouffrir s’il vous plaiſt les tourmens furieux Qu'il plaira au Tyran, que ſa rage il exerce, Sur moy tant qu’il voudra, qu’il rompe, brize & perce, S’il veut tous les endroits de ce debile corps, Bref qu’il faſſe ſur moy ſes plus cruels efforts, Affin qu'en acheuant cette mortelle courſe, Mon ame volle à vous d’où elle a prins ſa ſourſe, Cependant mon IESVS, donnez moy le pouuoir, D’eſtre toûjours conforme à voſtre ſainct vouloir, Mais j’entẽs quelque bruit, il s’ẽble que l’on ouure La deſſus le trapon, la clarté ie deſcouure, Ce Ce n’eſt pas l’heure icy que l’on me venoit voir, Eſt-ce queique demon qui me veut deceuoir?	ayez pitié de votre créature, Tirez-moi des dêtrois de ces infâmes lieux, Pour souffrir s'il vous plaît les tourments furieux Qu'il plaira au Tyran, que sa rage il exerce, Suryeux tant qu'il voudra, qu'il rompe, brise et perce, S'il veut tous les endroits de ce débile corps, Bref qu'il fasse sur moi ses plus cruels efforts, Affin qu'en achevant cette mortelle course, Mon âme volle à vous d'où elle a prins sa sourse, Cependant mon IESVS, donnez mo le pouuoir, être toûjours conformeda vôtre sainct vouloir, Mais entẽs quelque bruit, il ẽble que on ouure La dessus le on, la ne ie descouure, Ce Ce D'est pas re que ason me à voir, Est-ce queique demon qui me veut deceuoir?
ENCLASTRE.	ENCLASTRE.
Voila la trape ouuerte, aualle ceſte eſchele, Pour faire remonter cette pauure Pucelle.	Voilà la trape ouuerte, avalle cette échele, Pour faire remonter cette pauvre Pucelle.
TE.	TE.
REYNE.	REINE.
2u Palvelstes plinter at iit fortir a tly, Pour me faire r’entrer en vn nouueau ſoucy.	2u Palvelstes plinter at jit sortir a tli, Pour me faire rentrer en un nouveau souci.
TVLCE.	TULCE.
Sus, ſus, dépeſchez-vous montez belle agreable, Pour receuoir du Soleil la clarté deſir able,	Sus, sus, dépêchez-vous montez belle agréable, Pour recevoir du Soleil la clarté désir able,
AINCTE REYNE.	AINCTE REINE.
Ie ne vois preſque rien, ie ſuis comme les Ours, Renfermée dés long temps, en leur obſcur Je jour, Et qui ſoriis enfin de t'affrenſe taniere, Commencent de reuoir le chart porte lumiere, Que voulez-vous de moy.	Je ne vois presque rien, ie suis comme les Ours, Renfermée dès long temps, en leur obscur Je jour, Et qui soriis enfin de t'affrense tanière, Commencent de revoir le chart porte lumière, Que voulez-vous de moi.
TVLCE.	TULCE.
Il faut certainement, Que vous veniez ce iour paroiſtre en jugement, Deuant le grand Olibre, & que par ſa ſentence, Pous ayez te toyer condigne à voſtre offence, Si vous ne voulez pas encenſer à nos Dieux, Iupin, Venus, Saturne, & Mars le furieux, Mercure, & les enfans de Iatonne la belle.	Il faut certainement, Que vous veniez ce jour paraître en jugement, Dévant le grand Olibre, et que par sa sentence, Pous ayez te toyer condigne à votre offense, Si vous ne voulez pas encenser à nos Dieux, Jupin, Venus, Saturne, et Mars le furieux, Mercure, et les enfants de Iatonne la belle.
SAINCTE REYNE.	SAINCTE REINE.
Ie ne ſeray iamais à IESUS infidelle, Et ne fauſſeray point le celebre ſerment, d men rquielegajejetemseleuenr.	Je ne serai jamais à JÉSUS infidèle, Et ne fausserai point le célèbre serment, d en rquielegajejetemseleuenr.
ETHIE.	ETHIE.
La priſon ie vois bien ne vous fait pas plus ſage, On vous fera pourtant bien changer de courage.	La prison ici vois bien ne vous fait pas plus sage, On vous fera pourtant bien changer de courage.
SCENE IV.	SCÈNE IV.
OLIBRE, SAINCTE REYNE,	OLIBRE, SAINCTE REINE,
OLIBRE.	OLIBRE.
A fille venez çà, dites ſans fiction, NI'Eſtes vous reſoluë dedãs voſtre opinion:	À fille venez çà, dites sans fiction, NITes vous résoluë dedans votre opinion:
Voulez-vous pas ce iour pour comble de ma gloire Recognoiſtre nos Dieux au Temple de victoire, Puiſque par leur pouuoir, & haut & ſouuerain, I’ay dompté la fureur d’vn fier peuple Germain, Il faut que maintenant par vn veu magnifique, Vous veniez honorer l’alegreſſe publique, Et pour me ſatis-faire offrir à leurs Autels, Les odeurs qu’on ne peut dõner qu’aux immortels Sauuez voſtre jeuneſſe, & tâchez de me plaire, N’attirez point ſur vous ma flambante collere:	Voulez-vous pas ce jour pour comble de ma gloire Reconnaître nos Dieux au Temple de victoire, Puisque par leur pouvoir, et haut et souuerain, J'ai dompté la fureur d'un fier peuple Germain, Il faut que maintenant par un veu magnifique, Vous veniez honorer l'allégresse publique, Et pour me satî-faire offrir à leurs Autels, Les odeurs qu'on ne peut donner qu'aux immortels Sauvez votre jeunesse, et tâchez de me plaire, OÙ tâchez point sur vous ma flambante colle:
Vous ſçauez que ie puis d’vn bras vous eſtouffer, oans employer tes jeux, iesroues, ny le jers Mais i’ayme beaucoup mieux exercer ma clemence, Que le foudre orageux d’vne iuſte vengeance.	Vous savez que je puis d'une bras vous étouffer, ou employer tes jeux, iesroues, Seigneur le jers Mais j'aime beaucoup mieux exercer ma clémence, Que le foudre orageux d'une juste vengeance.
SAINCTE REINE.	SAINCTE REINE.
Ie vous ay declaré, deux, trois, & quat re fois, Qu'autre Dieux que IESVS, jamais n'adorerois:	Je vous ai déclaré, deux, trois, et quat re fois, Qu'autre Dieux que JÉSUS, jamais n'adorerais:
Ira gedie.	Ira gédie.
A tous vos beaux diſcours mõ cœur eſt inflexible, Et ie ſuis tout ainſi qu'vn rocher inuincible:	À tous vos beaux discours mon cœur est inflexible, Et tu suis tout ainsi qu'un rocher invincible:
Qui plus ſe ſent battu par les flots eſcumeux, Plus fort il leur reſiſte, & plus ſe mocque d'eux:	Qui plus se sent battu par les flots écumeux, Plus fort il leur résiste, et plus se moque d'eux:
Vous aueZ beau priſer vos eſcadres Guerrieres, Vanter vos legions, & vos cohortes fieres:	Vous avez beau priser vos escadres Guerrières, Vanter vos légions, et vos cohortes fières:
Puis que vôtre pouuoir, n’eſt qu’õbre poudre.	Puis que votre pouvoir, n'est qu'onbre poudre.
& vẽt Qui ne peut reſiſter deuant le Dieu viuant:	et vient Qui ne peut résister devant le Dieu vivant:
C’eſt luy qui tient en main l’orage & la tempeſte Et qui peut à l’inſtant eſcraZer voſtre teſte:	C'est lui qui tient en main l'orage et la tempête Et qui peut à l'instant écraZer votre tête:
Ouy?	Oui?
s’il veut ce bon Dieu:	s'il veut ce bon Dieu:
il me peut arracher, De vos cruelles mains & de mort m'empeſcher:	il me peut arracher, De vos cruelles mains et de mort m'empêcher:
S’il veut en ma faueur il enuoira ſes Anges, Ses genereux Guerriers, ces luiſantes phalanges?	S'il veut en ma faveur il envoira ses Anges, Ses généreux Guerriers, ces luisantes phalanges?
Qui pour me deliurer me feront peu de fruict, Puis qu’vn ſeul autre-fois en vne obſcure huict, Deuant Ieruſalem l’honneur des belles Villes, En fit mourir trois cens ſoixante & quinZe milles Qui cruels menaſſoient de ſac le peuple Hebreu, Et vn ſeul n'êchappa la vengeance de Dieu:	Qui pour me délivrer me feront peu de fruit, Puis qu'un seul autre-fois en une obscure huit, Dévant Jérusalem l'honneur des belles Villes, En fit mourir trois cents soixante et quinZe milles Qui cruels menaçaient de sac le peuple Hebreu, Et un seul n'échappa la vengeance de Dieu:
Puis quand à Canaam, Ioſué faiſoit guerre, Il fit tomber les murs de Ierico par terre:	Puis quand à Canama, Josué faisait guerre, Il fit tomber les murs de Jérico par terre:
Du ſeul bruict des Tambours, Trompettes, & Clairons, Qui autour par ſept iours ſe promenoiẽt en ronds Ne fit-il pas trois iours, à ſa ſeule Priere, Arreſter les Courſiers du Chart porte-lumiere;	Du seul bruit des Tambours, Trompettes, et Clairons, Qui autour par sept jours se promenaient en ronds Ne fit-il pas trois jours, à sa seule Prière, Arrêter les Coursiers du Chart porte-lumière;
Affin d’exterminer tous ſes fiers ennemis,	Affin d'exterminer tous ses fiers ennemis,
D2 Qui pour luy reſiſter en deuoir s’eſtoient mis;	D2 Qui pour ra résister en devoir s'étaient mis;
Quoy?	Quoi?
j'abandonnerois ce formateur des Poles.	j'abandonnerais ce formateur des Poles.
Pour rendre de l’honneur à vos mortes Idoles, Vous m'auez beau forcer, ie ne le feray pas, Ie ſouffrirois plûtoſt mille & mille trépas, un anuna uuenne peumdaiya pepaa vle, C’eſt raiſon que pour luy la mienne ſoit rauie.	Pour rendre de l'honneur à vos mortes Idoles, Vous m'avez beau forcer, toujours ne le ferai pas, Je souffrirais plutôt mille et mille trépas, un anuna ouvenne peumdaia pepaa veule, C'est raison que pour lui la mienne soit ravie.
OLIBRE.	OLIBRE.
Prenés-la mes bourreaux prenez là prõptement, Et ſur le cheualet l’attachez ſeurement, Que de ces foüets cruels elle ſoit eſcorchée, Et par tous les endroicts de ſon corps fuſtigée, Que ſes membres ſanglans, faſſe mille ruiſſeaux Et que ſa chair ſoit miſe en cẽt mille morceaux, Viſtes dêpeſchez vous, vous ſçauez ce miſtere, Appaiſez par vos bras la flambante colere, De nos Dieux irritez à cauſe du meſpris, Que cette ma l’heureuſe aliume enſes eſprits.	Prenez-la mes bourreaux prenez là promptement, Et sur le chevallet l'attachez sûrement, Que de ces fouets cruels elle soit escorchée, Et par tous les endraits de son corps fustigée, Que ses membres sanglants, fasse mille ruisseaux Et que sa chair soit mise en commise mille morceaux, Vîtes dêpeschez vous, vous savez ce mystère, Apaisez par vos bras la flambante colère, De nos Dieux irrités à cause du mépris, Que cette ma l'heureuse alivme enses esprits.
SCENEV.	SCENEU.
FVANDRE Bourreau, NICAN Valet du Bourreau.	FVANDRE Bourreau, NICAN Valet du Bourreau.
Saincte Reine, CLEMENT, PHILOMENE, LEONICE, Cœur du peuple.	Sainte Reine, CLEMENT, PHILOMENE, LENICE, Cœur du peuple.
EVANDRE.	EVANDRE.
Ican attache la de ces cordes flexibles, EN Attache luy les bras qu’ils ne nous ſoient nuiſibles, Mettons la toute nuë affin de voir ſa chair Ecpoulat avou m'ume iint ſunt nienvavher.	Ican attache la de ces cordes flexibles, EN Attache reste les bras qu'ils ne nous soient nuisibles, Mettons la toute nue affin de voir sa chair Écoulat avoume j'ume nt sunt nienvaver.
SAINCTE REINE.	SAINCTE REINE.
O Dieux!	Ô Dieux!
ô iuſtes Dieux?	ô justes Dieux?
quel effroy me ſurmonte Faut-il que deuant tous ie deſcouure ma honte, Ennironnez mon corps de broüillards ſi groſſiers, Qu'il ne puiſſe eſtre veu de ces loups carnaciers:	quel effroi me surmonte Faut-il que devant tous lieux découvre ma honte, Ennironnés mon corps de brouillards si grossiers, Qu'il ne puisse chang vu de ces loups carnaciers:
Frappez leurs yeux laſcifs, de tenebres opales, Qu'ils n’aſſouuiſſent pas leurs paſſions brûtales, En voyant de mon corps la fragile blancheur, ConſerueZ moy mon Dieu en ma pure candeur, Mais helas!	Frappez leurs yeux lascifs, de ténèbres opales, Qu'ils n'assouisent pas leurs passions brutales, En voyant de mon corps la fragile blancheur, ConserueZ -moi mon Dieu en ma pure candeur, Mais hélas!
ie me plains qu'il faut que ie ſois veué, De tant de regardans auiourd’huy toute nuë, Ne conſiderãt pas mon Dieu mon tout, mon cœur, Que vous auez paſſé ſous la meſme rigueur, Quoy?	Ne me plains qu'il faut que je sois vué, De tant de regardans aujourd'hui toute nue, Ne considérant pas mon Dieu mon tout, mon cœur, Que vous avez passé sous la même rigueur, Quoi?
il ſemble desja que i’aye le cœur laſche, Dépoüillez-moy bourreau ſus viſte qu'õ m'âtache A ce dur cheualet, vous ſerez plûtoſt ſaouls, De me battre que moy de receuoir des coups.	il semble déjà que j'aie le cœur lâche, Dépouillez-moi bourreau sus vite qu'on m'âtache À ce dur chevallet, vous serez plutôt saouls, De me battre que moi de recevoir des coups.
NICAN.	NICAN.
Sus mon maiſtre arrachez viſtement ſes habits, Elle ſe mouue moins qu’vne ſimple brebis.	Sus mon maître arrachez vitement ses habits, Elle se mouve moins qu'une simple brebis.
EVANDRE.	EVANDRE.
Pour la bien garrotter il faut qu’elle s’eſtende, Tourne bien ceſte auice affin que tu la bande:	Pour la bien garrotter il faut qu'elle s'étende, Tourne bien cette avice afin que tu la bande:
Attend nous la ferons taxtoſt vn peu ſentir, Ce que vaut le remord d’vn aigre repentir:	Attend nous la ferons taxtôt un peu sentir, Ce que vaut le remord d'un aigre repentir:
Nican, prend ceſte eſcourge, & de ce coſté frappe, Auſonc aucunement peur qu'eue nous eſchappe.	Nican, prend cette écourge, et de ce côté frappe, Ausonc aucunement peur qu'eue nous échappe.
TE.	TE.
REYNE.	REINE.
Mon deſiré confort, mon Eſpoux, mon amour, Cent & cent mille fois, ie beniray le iour:	Mon désiré confort, mon Époux, mon amour, Cent et cent mille fois, ie bénirai le jour:
Zelle, Que i'ay l’heur de ſouffrir pour vous d’vn ardent Ie vous offre ce ſang Virginal qui ruißelle, Pour le gage aſſeuré de la ſaincte amitié, Que ie vous ay voüée!	Zelle, Que j'ai l'heur de souffrir pour vous d'un ardent Je vous offre ce sang Virginal qui ruelle, Pour le gage assuré de la sainte amitié, Que je vous ai voüée!
ô ma chere moitié, Que ma ſouffrãce helas!	ô ma chère moitié, Que ma souffrance hélas!
au moins ne ſoit perduc Et qu'eternellement ie ne ſois confonduë, Acceptez ce premice, & pour l’amour de vous, Tous les autres tourmẽs me ſẽbleroient bien doux.	au moins ne soit perduc Et qu'éternellement je ne sois confondue, Acceptez ce premice, et pour l'amour de vous, Tous les autres tourmẽs me sembleraient bien doux.
LEMENT.	LEMENT.
Reine ma fille helas!	Reine ma fille hélas!
que vous eſtes peu ſage, VouleZ vous faire.	que vous êtes peu sage, Voulez -vous faire.
honte à voſtre parentage?	honte à votre parentage?
Faut-il que vous perdiez pour vne telle opinion L’honneur que vous donnoit voſtre perfection?	Faut-il que vous perdiez pour une telle opinion L'honneur que vous donnait votre perfection?
Olibre deſiroit de vous faire ſa femme, Les attraits de vos yeux auoiẽt charmé mon ame Les moyens luy eſtoient certes indifferans, Il pouuoit auancer vous & tous vos parens, Que i'euſſe eſté heureux de voir vôtre jeuneſſe, Eſleuée au ſommet d’vne altiere richeſſe?	Olibre désirait de vous faire sa femme, Les attraits de vos yeux avaient charmé mon âme Les moyens lui étaient certes indifférants, Il pouvait avancer vous et tous vos parents, Que j'eusse été heureux de voir votre jeunesse, Élevée au sommet d'une altière richesse?
mal, Si vous me voulez croire auãt qu’vn plus grand Vienne toſt terminer voſtre mal-heur fatal:	mal, Si vous me voulez croire avant qu'un plus grand Vienne tôt terminer votre malheur fatal:
Il eſt le plus puiſſant de toute la Prouince.	Il est le plus puissant de toute la Province.
LEONICE.	LEONICE.
Croyez Niepce croyez, l’aduis de voſtre Pere, Il eſt auantageux benin, & ſalutaire:	Croyez Nypce croyez, l'avis de votre Père, Il est antageux bénin, et salutaire:
Vous viurez tres-heureuſe, & nous ſerons joyeux, De vous voir poſſeder vn estat glorieux.	Vous vivrez très-heureuse, et nous serons joyeux, De vous voir posséder un état glorieux.
STE.	SITE.
REYNE.	REINE.
Mais quoy?	Mais quoi?
que gaignez vous à me rõpre la teſte, De diſcours ſuperflus, ie ne ſuis pas ſi beste, Pour vn bien de neant, qui en bref perira, Perdre celuy du Ciel, qui touſiours durera:	que gagnez -vous à me ronpre la tête, De discours superflus, toujours ne suis pas si bête, Pour un bien de néant, qui en bref périra, Perdre celui du Ciel, qui toujours durera:
De vray quelque demõs, vous pouſſent ces parolles Pour me perſuader d’adorer vos Idoles, Sat han n’eſt qu’vn badin, ie me ris de ſes glus, Retirez-vous de moy & ne m'en parleZ plus.	De vrai quelque démon, vous poussent ces parolles Pour me persuader adorer vos Idoles, Sat an n'est qu'un badin, je me ris de ses glus, Retirez-vous de moi et ne m'en parlez plus.
CLEMENI.	CLEMENI.
Adieu opiniastrée, à Dieu fille perfide, Ie vois bien que tu és de toy-meſme homicide.	Adieu opiniâtrée, à Dieu fille perfide, Je vois bien que tu ès de toi-même homicide.
PHILOMENE.	PHILOMENE.
Reyne ne croyeZ pas ces diſcours deceuans, C’est pour vous perdre en fin qu’ils les vont pourſuiuants, Souffrez d’vn cœur conſtant teute ſorte de peine, Et vostre recompenſe au Ciel ſera certaine.	Reine ne crois pas ces discours décevants, C'est pour vous perdre en fin qu'ils les vont poursuivants, Souffrez d'un cœur constant tute sorte de peine, Et votre récompense au Ciel sera certaine.
Cœur du Peuple.	Cœur du Peuple.
Fille qui ſurpaſſez les plus belles Pucelles, Comme l’astre du iour les nocturnes chandelles, Pourquoy permettez vous que vos rares beautez Soient le ſanglant batin de tant de cruauteZ?	Fille qui surpassez les plus belles Pucelles, Comme l'astre du jour les nocturnes chandelles, Pourquoi permettez -vous que vos rares beautés Soient le sanglant batin de tant de cruauté?
Vous deuiez accepter les riches dons d’olibre.	Vous deviez accepter les riches dons d'olibre.
C’eſt vn Prince vaillant, puiſſant, benin, & libre, Il eſt braue, hardy, genereux, & diſpos, Gouuerneur des Gaulois, & l’vn des vrais ſuppots De l’Empire Romain, ainſi vous deuiez prendre, Vn ſi noble party:	C'est un Prince vaillant, puissant, bénin, et libre, Il est brave, hardi, généreux, et dispos, Gouverneur des Gaulois, et l'un des vrais suppôts De l'Empire Romain, ainsi vous deviez prendre, Un si noble parti:
que pouuez-vous attendre, De luy beſobeïr qu’vne cruelle mort?	que pouvez-vous attendre, De Seigneur besobéir qu'une cruelle mort?
Et à ce conte la vous auez heu grand tort, Vous ne deuiez jamais à ce Prince déplaire, Pour l’eſpoir d’vn ſeul bien qui eſt imaginaire;	Et à ce conte la vous avez heu grand tort, Vous ne deviez jamais à ce Prince déplaire, Pour l'espoir d'un seul bien qui est imaginaire;
De plus riches que vous tiendroient à grand bonheur, D'accepter pour mary vn ſi braue Seigneur, Vous pouuez bienentor eſenupper ta mort blefme Prenez le pour eſpoux, vous ſçaueZ qu’il vous ayme.	De plus riches que vous tiendraient à grand bonheur, D'accepter pour mari un si brave Seigneur, Vous pouvez bienentor esenupper ta mort blefâme Prenez le pour époux, vous savez qu'il vous aime.
E.	E.
REYNE.	REINE.
Penſez-vous pauures gens que vos pipeurs diſcours, Me faßent delaiſſer le Dieu de mes amours?	Pensez-vous pauvres gens que vos pipeurs discours, Me fassent délaisser le Dieu de mes amours?
Ie perdrois vn Amant ſi beau, ſi ſainct, ſi ſage, Pour embraſſer vn rien, un ombre, vn vain nuage Quoy?	Je perdrais un Amant si beau, si saint, si sage, Pour embrasser un rien, un ombre, un vain nuage Quoi?
pour ſauuer le corps plein de corruption, Dordure, puanteur, & putrefaction, Et credule complaire à vn brutal infame, I'our vne eternité ie perdrois ma pauure Ame?	pour sauver le corps plein de corruption, Dordure, puanteur, et putréfaction, Et crédule complaire à un brutal infâme, J'our une éternité Seigneur perdrais ma pauvre Âme?
O mauuais conſeiller, eſtes vous inſenſez, Bien qu'aux charnalitez,certes vous ne penſez:	Ô mauvais conseiller, êtes vous insensé, Bien qu'aux charnalités,certes vous ne pensez:
Ne m'inportunez plus de tant de flatterie, Mais las!	Ne m'inportunez plus de tant de flatterie, Mais las!
ſongez vn peu que vos idolatries:	songez un peu que vos idolâtries:
Vous mõtrent tous les iours le chemin des Enfers, Et que vous meritez les flammes & les fers, Si vous ne demandez pardon de voſtre offence, A mon Sauueur qui eſt ſi remply de clemence:	Vous montrèrent tous les jours le chemin des Enfers, Et que vous mérités les flammes et les fers, Si vous ne demandez pardon de votre offense, À mon Sauveur qui est si rempli de clémence:
