ARGVMENT DE LITAIEOM	ARGUMENT DE LITAIEOM
ALEXIS.	ALEXIS.
Ce dernier trait m’acheve, & je ſens que mon ame Oppore en vain la glace au belu feu qui l’enflamme;	Ce dernier trait m'achève, et je sens que mon âme Opore en vain la glace au belu feu qui l'enflamme;
Vous triomphez, Meliſſe, Alexis prend vos fers, Et venge vos appas des torts qu’ils ont ſoufferts.	Vous triomphez, Mélisse, Alexis prend vos fers, Et venge vos appas des torts qu'ils ont soufferts.
Vous regnez dans ſon cœur, il vous y rend hommage Et jure à vos beautez vn eternel ſervage.	Vous régnez dans son cœur, il vous y rend hommage Et jure à vos beautés un éternel servage.
Qu'entends-je.	Qu'entends-je.
PHILENE.	PHILENE.
ALEXIS	ALEXIS
ALEXIS.	ALEXIS.
Recevez le preſent de ſes vœux, Et tâchez d’oublier vn paſſe malheureux.	Recevez le présent de ses vœux, Et tâchés d'oublier un passe malheureux.
MELISSE.	MÉLISSE.
Ah!	Ah!
ne te mocque point, Berger, d’vne Bergere, Qui n’eut jamais pour toy qu’vne amitié ſincere, Et qui malgré l’eſtat où la met ta rigueur, Conſerve encor pour toy tout ce qu’elle eut d’ardeur.	ne te moque point, Berger, d'une Bergère, Qui n'eut jamais pour toi qu'une amitié sincère, Et qui malgré l'état où la met ta rigueur, Conserve encor pour toi tout ce qu'elle eut d'ardeur.
Quelle gloire auras-tu de m’avoir abuſée?	Quelle gloire auras-tu de m'avoir abusée?
Que te reviendra-t-il d’vne amour deguiſée?	Que te reviendra-t-il d'une amour déguisée?
Si prés du monument, ſi proche du trépas, Ne fein point de m’aimer, ſi tu ne m’aimes pas.	Si près du monument, si proche du trépas, Ne sein point de m'aimer, si tu ne m'aimes pas.
Que ta bouche & ton cœur accordent tes paroles;	Que ta bouche et ton cœur accordent tes paroles;
dit lane i aaaaletenn a eifenmet Ne vien point m’accabler de ce ſecond ennuy, Qu’vn Berger m’ait trompée allant mourir pour luy.	dit lane y ajàaletenn a euifenmet Ne viens point m'accabler de ce second ennui, Qu'un Berger m'ait trompée allant mourir pour lui.
ALEXIS.	ALEXIS.
Ne me ſoupçonnez point, Meliſſe, d’vn tel crime;	Ne me soupçonnez point, Mélisse, d'abel crime;
ſ'me, Mon cœur, mon cœur reſſent, ce que ma bouche expriEt pluſt au Ciel qu’il fuſt ouvert à vos regards, Vous le verriez ce cœur percé de toutes parts;	s'âme, Mon cœur, mon cœur ressent, ce que ma bouche expriEt plaît au Ciel qu'il fût ouvert à vos regards, Vous le verriez ce cœur percé de toutes parts;
Vous y verriez vos traits, & la vivante image Du chef-d’œuvre acheué de voſtre beau viſage.	Vous y verriez vos traits, et la vivante image Du chef-d'œuvre achevé de votre beau visage.
Ne jugez point de moy par ma premiere erreur, Mais jugez-en par vous, & par voſtre air vainqueur?	Ne jugez point de moi par ma première erreur, Mais jugez-en par vous, et par votre air vainqueur?
L’Amour, qui de nos cœurs abſolument diſpoſe, A fait en vn moment cette metamorphoſe:	L'Amour, qui de nos cœurs absolument dispose, A fait en un moment cette métamorphose:
Du Berger inſenſible il a tout effacé, Et du parfait Amant les traits il a tracé.	Du Berger insensible il a tout effacé, Et du parfait Amant les traits il a tracé.
Nymphe recevez donc ce foible témoignage D’vn feu, qui de la mort ſçaura vaincre la rage:	Nymphe recevez donc ce faible témoignage D'un feu, qui de la mort saura vaincre la rage:
Trop heureux, ſi je vois, preſt de perdre le jour, Que vous ne doutez plus de mon ſincere amour.	Trop heureux, si je vois, prêt de perdre le jour, Que vous ne doutez plus de mon sincère amour.
MELISSE.	MÉLISSE.
Quoi, je vous puis bien croire, & ce bonheur ſi rare, Qui charme tous mes ſens, où mon eſprit s’égare, N’eſt point vn beau phantôme à ces ſonges pareil, Que forment des vapeurs pendant noſtre ſommeil?	Quoi, je vous puis bien croire, et ce bonheur si rare, Qui charme tous mes sens, où mon esprit s'égare, N'est point un beau phantôme à ces songes pareil, Que forment des vapeurs pendant notre sommeil?
Vous m’aimez, Alexis, la choſe eſt veritable, O le doux changement!	Vous m'aimez, Alexis, la chose est véritable, Ô le doux changement!
ô prodige admirable!	ô prodige admirable!
mples ce que je voy, grands Dieuxn'atteliuez pas, Que je vous importune, ou plaigne mon trépas.	mples ce que je vois, grands Dieuxn'attelivez pas, Que je vous importune, ou plaigne mon trépas.
ALEXIS.	ALEXIS.
Puiſque mon amour plaiſt à ma belle Bergere, Ie n’ay plus de ſouhaits, ni de deſirs à faire:	Puisque mon amour plaît à ma belle Bergère, Je n'ai plus de souhaits, ni de désirs à faire:
La Fortune n’a rien qu’elle me puiſſe offrir;	La Fortune n'a rien qu'elle me puisse offrir;
Vivez donc rare objet, & me laiſſez mourir:	Vivez donc rare objet, et me laissez mourir:
Mon trépas ne ſera qu’vne preuve peu forte, De ce qu’entreprendroit l’amour que je vous porte:	Mon trépas ne sera qu'une preuve peu forte, De ce qu'entreprendrait l'amour que je vous porte:
Si vous le trouvez bon, je vous ferai preſent D' vn troupeau, qui ſous vous ſera plus floriſſant :	Si vous le trouvez bon, je vous ferai présent D' troupeau, qui sous vous sera plus florissant :
Plus d’vn coutre pour moy les campagnes ſillonne, Agreez que le tout en mourant je vous donne.	Plus d'un coutre pour moi les campagnes sillonne, Agréez que le tout en mourant je vous donne.
MELISSE.	MÉLISSE.
Ne parlons point encor de ces triſtes ſujets, Noſtre amour nous fournit de plus plaiſans objets, Laiſſons agir les Dieux, leur bonté ſans pareille Peut en noſtre faveur faire quelque merveille;	Ne parlons point encor de ces tristes sujets, Notre amour nous fournit de plus plaisants objets, Laissons agir les Dieux, leur bonté sans pareille Peut en notre faveur faire quelque merveille;
Et quand meſme ils auroient arreſté noſtre mort, Vſons du peu de temps que nous laiſſe le ſort.	Et quand même ils auraient arrêté notre mort, Sons du peu de temps que nous laisse le sort.
nileniojui els ubun d citre uime quand on aime!	niliojui elle ais d ditre uime quand on aime!
ALEXIS.	ALEXIS.
Qu’il eſt doux de bruſler, quand on bruſle de meſme.	Qu'il est doux de brûler, quand on brûle de même.
MELISSE.	MÉLISSE.
Le plus charmant plaiſir eſt le plaiſir d’aimer.	Le plus charmant plaisir est le plaisir d'aimer.
ALEXIS.	ALEXIS.
Tout autre prés de luy ne peut eſtre qu’amer.	Tout autre près de Seigneur ne peut être qu'amer,
MELISSE.	MÉLISSE.
Dans ces raviſſemens l’ame femible abyriuce.	Dans ces ravissements l'âme fible abirivce.
ALEXIS.	ALEXIS.
On vit bien moins en ſoy, qu’en la perſonne aimée.	On vit bien moins en soi, qu'en la personne aimée.
SCENE IV.	SCÈNE IV.
ALEXIS, MELISSE, PHILENE, ORANTE, DAMON.	ALEXIS, MÉLISSE, PHILENE, ORANTE, DAMON.
DAMON.	DAMON.
LCANDRE vous demande, & me dépeſche exprés A YPour vous venir conduire au Temple de Cerés.	LCANDRE vous demande, et me dépêche exprès A YPour vous venir conduire au Temple de Cerrez.
MDLTOGI.	MDLTOGI.
L’intention des Dieux eſt-elle enfin connuë?	L'intention des Dieux est-elle enfin connue?
Et duquel de nous deux la mort eſt reſoluë?	Et duquel de nous deux la mort est résolue?
DAMON.	DAMON.
D’aucun, & pour finir ce debat indecis L’on a beſoin de vous, ainſi que d’Alexis.	D'aucun, et pour finir ce débat indécis L'on a besoin de vous, ainsi que d'Alexis.
MELISSE.	MÉLISSE.
Allons, Berger, allons;	Allons, Berger, allons;
mais ſans tant de myſtere, Ie ſçai comment on peut tous deux nous ſatisfaire:	mais sans tant de mystère, Je sais comment on peut tous deux nous satisfaire:
I’ay trouvé le ſecret, ſans recourir aux Dieux, De finir promptement ce debat ennuyeux.	J'ai trouvé le secret, sans recourir aux Dieux, De finir promptement ce débat ennuyeux.
SCENE V.	SCÈNE V.
PHILENE, ORANTE.	PHILENE, ORANTE.
ORANTE.	ORANTE.
[ belle RANDS Dieux ſouffrirez-vous qu’vne amitié ſi CEſprouve la rigueur d’vne fin ſi cruelle?	[ belle RANDS Dieux souffrirez-vous qu'une amitié si CÉprouve la rigueur d'une fin si cruelle?
Vous qu’on dit de l’amour avoir ſenti les traits,	Vous qu'on dit de l'amour avoir senti les traits,
F ij Et gouſté la douceur de ſes plaiſirs ſecrets;	 Faij Et goûté la douceur de ses plaisirs secrets;
N’auriez-vous point de peur qu’on taxaſt voſtre gloiSi vous aviez ſouffert vne action ſi noire?	N'auriez-vous point de peur qu'on taxât votre gloiSi vous aviez souffert une action si noire?
Non, je ne le croy pas, & je me veux flatter Que nous verrons bien-toſt vos bontez éclatter.	Non, je ne le crois pas, et je me veux flatter Que nous verrons bientôt vos bontés éclatter.
Philene, voulez-vous que nous allions au Temple Voir débrouïller ce nœud, qui n’eut jamais d’exemple:	Philène, voulez-vous que nous allions au Temple Voir débrouïller ce nœud, qui n'eut jamais d'exemple:
Biendu a vos veux Mennc alt Iemcetoujouis, On ne voit qu’en tremblant en peril ſes amours.	Biendu a vos veux Mennc alt Iemcetoujouis, On ne voit qu'en tremblant en péril ses amours.
PHILENE.	PHILENE.
Bergete, je ne puis te ſuivre en ce voyage, Mes triſtes déplaiſirs ne me laiſſent d’vſage, Que celuy d’occuper mon eſprit conſterné, Aux coups dont me pourſuit le deſtin mutiné.	Bergète, je ne puis te suivre en ce voyage, Mes tristes déplaisirs ne me laissent d'usage, Que celui d'occuper mon esprit consterné, Aux coups dont me poursuit le destin mutiné.
Adieu je vais reſver dans ce bois ſolitaire, Quel parti je dois prendre, & ce qu’il me faut faire;	Adieu je vais rêver dans ce bois solitaire, Quel parti je dois prendre, et ce qu'il me faut faire;
Mais que puis-je eſperer aprés ce que j’ay veũ?	Mais que puis-je espérer après ce que j'ai veũ?
Alexis eſt perfide, Alexis s’eſt rendu.	Alexis est perfide, Alexis s'est rendu.
mi V SCENE PREMIERE.	mi V CÈNE PREMIÈRE.
PHILENE.	PHILENE.
VITTONS, quittons ces bois, où noſtre ame abbatuë N’a que trop medité ſur le mal qui la tuë;	VITONS, quittons ces bois, où notre âme abattue N'a que trop médité sur le mal qui la tue;
Retournons dans les lieux, où nous puiſCe qu’a determiné le celeſte vouloir:	Retournons dans les lieux, où nous puisCe qu'a déterminé le celeste vouloir:
[ ſions ſçavoir Qui doit enfin perir, Alexis, ou Meliſſe:	[ sions savoir Qui doit enfin périr, Alexis, ou Melisse:
Que ſi quelqu’vn des deux le doit avec juſtice,	Que si quelqu'un des deux le doit avec justice,
C’eſt ſans doute Meliſſe, & cependant mon cœur Pait contre la raiſon des vœux en ſa faveur.	C'est sans doute Mélisse, et cependant mon cœur Pait contre la raison des vœux en sa faveur.
Ie crains qu’à me venger le Ciel trop ne s’anime, Et ne regarde moins la beauté que le crime:	Je crains qu'à me venger le Ciel trop ne s'anime, Et ne regarde moins la beauté que le crime:
C’en eſt encore peu, je flatte mes malheurs, Et pour ne la pas perdre, excuſe ſes rigueurs.	C'en est encore peu, je flatte mes malheurs, Et pour ne la pas perdre, excuse ses rigueurs.
Igence, Grands Dieux, ſi vous avez pour moy quelque indulEpargnez cette ingratte, & voilà ma vengeance:	Igence, Grands Dieux, si vous avez pour moi quelque indulEpargnez cette ingrate, et voilà ma vengeance:
Rendez-moy ſes mépris, ſon orgueil rebuttant, Seulement qu’elle vive, & je ſerai contant.	Rendez-moi ses mépris, son orgueil rebuttant, Seulement qu'elle vive, et je serai contant.
Pour toy, perfide ami, qui malgré tes promeſſes As conçû dans ton ſein des indignes tendreſſes, Qui viens devant mes yeux d’en faire vn lâche aveu, N’atten du juſte Ciel pour loyer que le feu.	Pour toi, perfide ami, qui malgré tes promesses As conçu dans ton sein des indignes tendresses, Qui viens devant mes yeux d'en faire un lâche aveu, N'atten du juste Ciel pour loyer que le feu.
Mais d’où vient que perſonne en ce lieu ne s’avance, Qui puiſſe contenter ma juſte impatience?	Mais d'où vient que personne en ce lieu ne s'avance, Qui puisse contenter ma juste impatience?
C’eſt ici cependant, ſi j’ay bien écouté, Que doit eſtre du ſort l’Arreſt executé.	C'est ici cependant, si j'ai bien écouté, Que doit être du sort l'Arrest exécuté.
De ce retardement qui pourroit eſtre cauſe?	De ce retardement qui pourrait être cause?
Seroit-il point encor ſurvenu quelque choſe?	Serait-il point encore survenu quelque chose?
Mais j’apperçoi Damon, nul autre ne peut mieux Eclaircir ſur ce point mon deſir curieux;	Mais j'aperçois Damon, nul autre ne peut mieux Éclaircir sur ce point mon désir curieux;
Ie vai luy demander.	Je vais beaux demander.
PHILENE.	PHILENE.
SCENE II.	SCÈNE II.
PHILENE, DAMON.	PHILENE, DAMON.
DAMON, vn mot de grace, Souffrez que mon deſir par vous ſe ſatisfaſſe;	DAMON, un mot de grâce, Souffrez que mon désir par vous se satisfasse;
Que s’eſt-il fait au Tempie!	Que s'est-il fait au Tempie!
de pour fequer des deux.	de pour féquer des deux.
Se declare le ſort, ou doux, ou rigoureux?	Se déclare le sort, ou doux, ou rigoureux?
F iij	 Fij
DAMON.	DAMON.
Comment, vous ignorez, vous ſeul ce grand miracle?	Comment, vous ignorez, vous seul ce grand miracle?
Et n’avez rien ouï de ce rare ſpectacle?	Et n'avez rien ouï de ce rare spectacle?
Voſtre intereſt pourtant y paroiſt aſſez grand, Et le ſuccés ne peut vous eſtre indifferant.	Votre intérêt pourtant y paraît assez grand, Et le succès ne peut vous être indifférant.
PHILENE.	PHILENE.
I’eſtois dans ce boccage, attendant de l’apprendre Par le bruit, qui viendroit incontinent s’épandre:	J'étais dans ce bocage, attendant de l'apprendre Par le bruit, qui viendrait incontinent s'épandre:
Helas!	Hélas!
on ſçait trop toſt ce qui doit affliger, Le bonheur eſt tardif, & le mal eſt leger.	on sait trop tôt ce qui doit affliger, Le bonheur est tardif, et le mal est léger.
Mais contez-moy, Damon, cette grande aventure?	Mais contez-moi, Damon, cette grande aventure?
Que je ſuis agité, que mon eſprit endure!	Que je suis agité, que mon esprit endure!
Ce deſordre inteſtin ne peut eſtre menteur, Et ne me promet rien qu’vn extrême malheur.	Ce désordre intestin ne peut être menteur, Et ne me promet rien qu'un extrême malheur.
DAMON.	DAMON.
Puntque devers le bois vous revenez vous-meſme, Faites-moy, je vous prie, vne faveur extrême, N’avez-vous point trouvé des gens ſur le chemin?	Puntque devers le bois vous revenez vous-même, Faites-moi, je vous prie, une faveur extrême, N'avez-vous point trouvé des gens sur le chemin?
Vers où?	Vers où?
PHILENE.	PHILENE.
DAMON.	DAMON.
Vers le buiſſon où l’on voit le grand Pin.	Vers le buisson où l'on voit le grand Pin.
PHILENE.	PHILENE.
Non, je n’ay rien trouvé, mais ſi je ne m’abuſe, Non loin de moy marchoit vne troupe confuſe:	Non, je n'ai rien trouvé, mais si je ne m'abuse, Non loin de moi marchait une troupe confuse:
Ils parloient aſſez haut, & ſans doute ils alloient erolomeu qua puerune toe dincourem marquoient,	Ils parlaient assez haut, et sans doute ils allaient erolomu qua puerune toe dincourem marquaient,
DAMON.	DAMON.
C’eſt eux aſſurément, ils ont bien pris la voye.	C'est eux assurément, ils ont bien pris la voie.
Qui donc?	Qui donc?
PHILENE.	PHILENE.
DAMON.	DAMON.
Les Officiers que le grand Preſtre envoye.	Les Officiers que le grand Prêtre envoie.
PHILENE.	PHILENE.
Damon, ne tenez plus mon eſprit ſuſpendu, Et daignez me conter ce que vous avez veu.	Damon, ne tenez plus mon esprit suspendu, Et daignez me conter ce que vous avez vu.
DAMON Ami, je ſuis preſſé, l’on doit en ma preſence.	DAMON Ami, je suis pressé, l'on doit en ma présence.
PHILENE.	PHILENE.
Ah!	Ah!
Damon, je ne puis, je meurs d’impatience, Si jamais,	Damon, je ne puis, je meurs d'impatience, Si jamais,
DAMON.	DAMON.
He bien, donc, je vais ſuccinctement Vous faire le recit de cét evenement.	He bien, donc, je vais succinctement Vous faire le récit de cet événement.
PHILENE.	PHILENE.
Commencez donc enfin.	Commencez donc enfin.
DAMON.	DAMON.
Ecoutez:	Écoutez:
Comme Alcandre Se fut en vain geſné pour l’Oracle comprendre, Et qu’il eut admiré, par vn combat nouveau, Deux Bergers diſputer la gloire du tombeau;	Comme Alcandre Se fut en vain gêné pour l'Oracle comprendre, Et qu'il eut admiré, par un combat nouveau, Deux Bergers disputer la gloire du tombeau;
Ne pouvant penetrer dans vne nuit ſi noire, Preſque deſeſperé, vint tout d’vn coup à croire, Que l’on avoit choqué la majeſté du Dieu, En liſant ſon oracle en vn profane lieu;	Ne pouvant pénétrer dans une nuit si noire, Presque désespéré, vint tout d'un coup à croire, Que l'on avait choqué la majesté du Dieu, En lisant son oracle en un profane lieu;
Et que pour nous punir de noſtre irreverence, Il en avoit exprés caché l’intelligence, Répandu ſur nos yeux l’ombre & l’obſcurité, Et de ces deux Bergers le debat ſuſcité.	Et que pour nous punir de notre irrévérence, Il en avait exprès caché l'intelligence, Répandu sur nos yeux l'ombre et l'obscurité, Et de ces deux Bergers le débat suscité.
Allons, dit-il, au Temple, & n’ayons point de honte D’expier noſtre erreur par vne amende prompte.	Allons, dit-il, au Temple, et n'ayons point de honte D'expier les erreur par une amende prompte.
Il marche le premier, Tircis & moy ſuivons, Et dans l’enclos ſacré tous trois ſeuls arrivons.	Il marche le premier, Tircis et moi suivons, Et dans l'enclos sacré tous trois seuls arrivons.
Vous le ſçavez.	Vous le savez.
Alors Alcandre s’humilie, Et commence à prier les Dieux de Theſſalie, Les Faunes, les Sylvains, les Satyres cornus, Le Berger Apollon, la Bergere Venus;	Alors Alcandre s'humilie, Et commence à prier les Dieux de Thessalie, Les Faunes, les Sylvains, les Satyres cornus, Le Berger Apollon, la Bergère Venus;
F iiij –	 Fij à
Mais ſur tout à l’Amour, dont tout ce qui reſpire Reſpecte le pouvoir, & redoute l’empire, Il adreſſe ſa voix, & taſche par ces mots L’obliger à vouloir débrouïller ce chaos.	Mais sur tout à l'Amour, dont tout ce qui respire Respecte le pouvoir, et redoute l'empire, Il adresse sa voix, et tâche par ces mots L'obliger à vouloir débrouiller ce chaos.
Grand Dieu, le plus puiſſant de la troupe divine, A qui doit l’Vnivers ſa premiere origine, Et qui par des ſecrets, & merveilleux reſſorts De cette grande maſſe entretiens les accords:	Grand Dieu, le plus puissant de la troupe divine, À qui doit l'Univers sa première origine, Et qui par des secrets, et merveilleux ressorts De cette grande masse entretiens les accords:
Toy qui regnes au Ciel, qui regnes ſur la terre, Qui ſçais aſſujettir le maiſtre du tonnerre, Et ne dédaignes pas de venir quelquefois Honorer nos hameaux, & viſiter nos bois.	Toi qui régnès au Ciel, qui régnès sur la terre, Qui sais assujettir le maître du tonnerre, Et ne dédaignes pas de venir quelquefois Honorer nos honore, nos honorer nos bois.
Aimable Deïté, donne nous quelque indice, Qui te doit eſtre offert, Alexis, ou Meliſſe;	Aimable Dé, donne nous quelque indice, Qui te doit être offert, Alexis, ou Melisse;
En ſauvant l’innocent monſtre le criminel, Et de ſon ſang bientoſt fumera ton Autel.	En sauvant l'innocent montre le criminel, Et de son sang bientôt fumera ton Autel.
Alcandre ayant fini, ſe taiſt, s’arreſte, écoute, Eſperant que bien-toſt s’éclaircira ſon doute:	Alcandre ayant fini, se taît, s'arrête, écoute, Espérant que bientôt s'éclaircira son doute:
Mais rien ne luy répond, tout eſt ſourd à ſes cris, Les Faunes, les Sylvains, & le fils de Cypris.	Mais rien ne lui répond, tout est sourd à ses cris, Les Faunes, les Sylvains, et le fils de Cypris.
Dans ce triſte embarras de ſurpriſe, & de trouble, Alcandre recommence, & ſa ferveur redouble:	Dans ce triste embarras de surprise, et de trouble, Alcandre recommence, et sa ferveur redouble:
Mais le Ciel eſt toûjours inexorable & dur, Auſſi ſombre eſt la nuit, l’Oracle autant obſcur.	Mais le Ciel est toujours inexorable et dur, Aussi sombre est la nuit, l'Oracle autant obscur.
Ce Miniſtre des Dieux ne ſçait que dire, ou faire;	Ce Ministre des Dieux ne sais que dire, ou faire;
Son eſprit à la fin ce ſecret luy ſuggere:	Son esprit à la fin ce secret avait sugère:
Iliveut que dans le Temple on enferme avec nous Les autheurs incertains du celeſte couroux;	Ilivut que dans le Temple on enferme avec nous Les auteurs incertains du céleste courroux;
Eſperant que les Dieux, touchez par leur preſence, Du criminel enfin donneroient connoiſſance, Nommeroient la victime, & par vn juſte choix Nous voudroient bien tirer de ces douteux abois.	Esperant que les Dieux, touchés par leur présence, Du criminel enfin donner connaissance, Nommeraient la victime, et par un juste choix Nous voudraient bien tirer de ces douteux abois.
Ie les viens donc querir, ſuivant l’ordre d’Alcandre;	Je les viens donc quérir, suivant l'ordre d'Alcandre;
Vn confeil inſolent, ainſi que furieux, De ne ſe point ſurvivre aprés l’Arreſt des Dieux.	Un conseil insolent, ainsi que furieux, De ne se point survivre après l'Arrest des Dieux.
Nous approchons du Temple, ils entrent, ô ſurpriſe!	Nous approchons du Temple, ils entrent, ô surprise!
La maſſe tout d’vn coup, ſe choque, ſe diviſe, L’on entend vn grand bruit dans le vaſte des airs, Et nos yeux ſont frappez de lumineux éclairs.	La masse tout d'un coup, se choque, se divise, L'on entend un grand bruit dans le vaste des airs, Et nos yeux sont frappez de lumineux éclairs.
[ ges Nous ne doutons plus lors que tous ces grands preſaDe l’approche du Dieu ne ſoient des témoignages;	[ gez Nous ne doutons plus lors que tous ces grands presaDe l'approche du Dieu ne soient des témoignages;
Nous nous proſternons donc, humblement attendans Du ſuprême vouloir les ſignes evidens.	Nous nous prosternons donc, humblement attendants Du suprême vouloir les signes évidents.
Alors à ce grand bruit le ſilence fait place, Vn jour pur & ſerain ces faux brillans efface, Dans vn nuage d’or ſe découvre l’Amout;	Alors à ce grand bruit le silence fait place, Un jour pur et serain ces faux brillants efface, Dans un nuage d'or se découvre l'Amout;
Les Graces, les Plaiſirs, les Ieux ſont à l’entour;	Les Grâces, les Plaisirs, les Jeux sont à l'entour;
Il tient ſon arc fatal, ſon carquois pend derriere, vi delpe dene ſuy câcne la lumiere, Zephyre à ſes coſtez tient ſa torche en ſa main;	Il tient son arc fatal, son carquois pend derrière, vi delpe dene zvi câcne la lumière, Zéphyre à ses côtés tient sa torche en sa main;
Il nous rend à la fin cét Oracle certain.	Il nous rend à la fin cet Oracle certain.
II.	II.
ORACLE.	ORACLE.
Vos maux s’en vont finir, recevez-en l’augure, Le Ciel n’a pû les voir ſans en eſtre touché:	Vos maux s'en vont finir, recevez-en l'augure, Le Ciel n'a pu les voir sans en être touché:
Mais, Bergers, pour me plaire & dignement conclurre Ce que vous ignorieZ.	Mais, Bergers, pour me plaire et dignement conclurre Ce que vous ignoriez.
& qui n’eſt qu’ébauché, Vniſſez promptement, vniſſeZ les victimes, C’est ainſi que l’Ameur ſe ſçait venger des crimes.	et qui n'est qu'ébauché, Unissez promptement, unissez les victimes, C'est ainsi que l'Ameur se sait venger des crimes.
Il ſe retire enſuite, & nous laiſſe ravis Que d’vn ſi beau ſuccés nos deſſeins ſoient ſuivis;	Il se retire ensuite, et nous laisse ravis Que d'un si beau succès nos desseins soient suivis;
Nous admirons du Dieu le decret équitable, Qui ſçait ainſi punir l’vn & l’autre coupable, Et ſemblant ſatisfaire à leur zele indiſcret, Sur eux ſans diſtinguer venge vn commun forfait.	Nous admirons du Dieu le décret équitable, Qui sait ainsi punir l'un et l'autre coupable, Et semblant satisfaire à leur zèle indiscret, Sur eux sans distinguer venge un commun forfait.
Quelque peu des Bergers nous touche la miſere, Mais au ſalut public qu’eſt-ce qu’on ne prefere?	Quelque peu des Bergers nous touche la misère, Mais au salut public qu'est-ce qu'on ne préfère?
, Alcandre incontinent m’ordonne de marcher, Et de faire au pluſtoſt conſtruire le bucher;	, Alcandre incontinent m'ordonne de marcher, Et de faire au plustost construire le bûcher;
Ié n’ay point perdu temps, & par ma diligence Des Officiers ſacrez vne troupe s’avance, I’y vais moy-meſme auſſi.	Ié n'ai point perdu temps, et par ma diligence Des Officiers sacrés une troupe s'avance, J'y vais moi-même aussi.
PHILENE.	PHILENE.
Anaie, Mumon, en ce lieu Doit-on pas accomplir la volonté du Dieu?	Anaie, Mumon, en ce lieu Doit-on pas accomplir la volonté du Dieu?
DAMON.	DAMON.
Non, c’eſt dans la foreſt, ou comme l’on aſſure Iadis eſt arrivée vne meſme aventure.	Non, c'est dans la forêt, ou comme l'on assure Jadis est arrivée une même aventure.
PHILENE.	PHILENE.
Damon, les deux Bergers eſtoient-ils étonnez, Lorſque le Ciel les eut à la mort condamnez?	Damon, les deux Bergers étaient-ils étonnés, Lorsque le Ciel les eut à la mort condamnés?
DAMON.	DAMON.
Non, nulle émotion n’altera leur viſage, Et l’on ne ſçauroit plus témoigner de courage:	Non, nulle émotion n'altéra leur visage, Et l'on ne saurait plus témoigner de courage:
Leurs yeux ſans ceſſe eſtoient l’vn ſur l’autre arreſtez, Et d’vn ſecret plaiſir ils ſembloient tranſportez;	Leurs yeux sans cesse étaient l'autre sur l'autre arrêtés, Et d'un secret plaisir ils semblaient transportés;
Comme ſi dés long-temps de mutuelles flammes Euſſent atteint leurs cœurs, & bruflé dans leurs ames;	Comme si dès longtemps de mutuelles flammes Eussent atteint leurs cœurs, et brûlé dans leurs âmes;
Et que bien-toſt conduits dans le lit nuptial, Ils s’y deuſſent vnir, non au bucher fatal.	Et que bientôt conduits dans le lit nuptial, Ils s'y dussent unir, non au bûcher fatal.
Cependant on les orne, avec ſoin on les pare, On couvre leurs habits de gaze fine & rare, Leurs chefs ſont couronnez de guirlandes de fleurs, Et l’on répand ſur etix des exquiſes odeurs.	Cependant on les orne, avec soin on les pare, On couvre leurs habits de gaze fine et rare, Leurs chefs sont couronnés de guirlandes de fleurs, Et l'on répand sur etix des exquises odeurs.
Mais je les voy venir, cette grande pouſſiere M’eſt de leur prompt abord la ſeure avantcourriere, Adieu.	Mais je les vois venir, cette grande poussière M'est de leur prompt abord la sûre avantcourrière, Adieu.
a a nle n la ai	a a nle n la ai
PHILENE.	PHILENE.
ESTINS cruels ou me reduiſezD vous, Et pourquoy deſſus moy retombent tous vos coups?	ESTINS cruels ou me réduisezD vous, Et pourquoi dessus moi retombent tous vos coups?
Si ſous mes propres maux je ſuccombe moy-meſme, Pourquoy m’affligez-vous dans le ſujet que j’aime, Et condamnans Meliſſe à l’horreur du trépas, Paroiſſez inhumains, & ne me vengez pas?	Si sous mes propres maux je succombe moi-même, Pourquoi m'affligez-vous dans le sujet que j'aime, Et condamnants Melisse à l'horreur du trépas, Paraissez inhumains, et ne me vengez pas?
Si c’eſt contre moy ſeul qu’elle a commis l’offence Quittez moy donc le ſoin d’en tirer la vengeance?	Si c'est contre moi seul qu'elle a commis l'offense Quittez moi donc le soin d'en tirer la vengeance?
Me la laiſſant aimer vous la punirez mieux, Puiſque rien ne ſçauroit plus déplaire à ſes yeux.	Me la laissant aimer vous la punirez mieux, Puisque rien ne saurait plus déplaire à ses yeux.
Mais lâche ſentiment, trop indigne tendreſſe, D’vn cœur peu genereux peu ſeante foibleſſe, Sortez, & faites place au juſte repentir, D’avoir pû ſi long-temps avec vous compatir.	Mais lâche sentiment, trop indigne tendresse, D'un cœur peu généreux peu séante faiblesse, Sortez, et faites place au juste repentir, D'avoir pu si longtemps avec vous compatir.
Meliſſe aime Alexis, elle a pû la cruelle Dédaigner le preſent de noſtre amour fidelle, Et ſon traiſtre Berger par ſes attraits charmé, Pour elle s’eſt ſenti tout d’vn coup enflammé?	Mélisse aime Alexis, elle a pu la cruelle Dédaigner le présent de notre amour fidèle, Et son traître Berger par ses attraits charmé, Pour elle s'est senti tout d'un coup enflammé?
Que nous faut-il donc plus, & qu’eſt-ce qui nous reſte De plus injurieux, plus rude, & plus funeſte?	Que nous faut-il donc plus, et qu'est-ce qui nous reste De plus injurieux, plus rude, et plus funeste?
Tous deux ſont criminels, haïſſons les tous deux, Elle pour n’aimer pas, luy pour eſtre amoureux.	Tous deux sont criminels, haïssons les tous deux, Elle pour n'aimer pas, notre pour être amoureux.
