M BimN	M MimN
SCENE V.	SCÈNE V.
ANGAN, BERALDE.	ANGAN, BERALDE.
ARGAN.	ARGAN.
On Frere, vous allez eſtre cauſe icy de M quelque malheur;	On Frère, vous allez être cause ici de M quelque malheur;
& je crains fort que Monſieur Purgon ne ſe faſche quand il ſçaura que je n’ay pris ſon Lavement.	et je crains fort que Monsieur Purgon ne se fâche quand il saura que je n'ai pris son Lavement.
BERALDE.	BÉRALDE.
Voyez un peu le grand mal de n’vaoir pas pris un Lavement que Monſieur Purgon a ordonné, vous ne vous mettriez pas plus en peine ſi vous aviez commis un crime conſiderable;	Voyez un peu le grand mal de n'une pas pris un Lavement que Monsieur Purgon a ordonné, vous ne vous mettriez pas plus en peine si vous aviez commis un crime considérable;
Encore un coup, eſt-il poſſible qu’on ne vous puiſſe pas guerir de la maladie des Medecins, & ne vous verray-je jamais qu’avec un Lavement & une Medecine dans le corps.	Encore un coup, est-il possible qu'on ne vous puisse pas guérir de la maladie des Médecins, et ne vous verrai-je jamais qu'avec un Lavement et une Médecine dans le corps.
n le dnla Mon Dieu, mon Frere, vous parlez comme un homme qui ſe porte bien;	n le dnla Mon Dieu, mon Frère, vous parlez comme un homme qui se porte bien;
ſi vous eſtiez en ma place, vous ſeriez auſſi embarraſſé que moy.	si vous étiez en ma place, vous seriez aussi embarrassé que moi.
BERALDE.	BÉRALDE.
Hé bien, mon Frere, faites ce que vous voudrez;	Hé bien, mon Frère, faites ce que vous voudrez;
Mais j’en reviens toûjours là, voſtre Fille n’eſt point deſtinée pour un Medecin, & le party dont je veux vous parler, luy eſt bien plus convenable.	Mais j'en reviens toujours là, votre Fille n'est point destinée pour un Médecin, et le parti dont je veux vous parler, lui est re plus convenable.
ARGAN.	ARGAN.
Il ne l’eſt pas pour moy, & cela me ſuffit;	Il ne l'est pas pour moi, et cela me suffit;
en un mot elle eſt promiſe, & elle n’a qu’à ſe déterminer à cela ou à un Couvent.	en un mot elle est promise, et elle n'a qu'à se déterminer à cela ou à un Couvent.
BERALDE.	BÉRALDE.
Voitre femme n’eit pas des dernieres à vous donner ce Conſeil.	Voitre femme n'éit pas des dernières à vous donner ce Conseil.
ARGAN.	ARGAN.
Ah!	Ah!
j’eſtois bien eſtonné ſi l’on ne me parloit pas de la pauvre femme, c’eſt toûjours elle qui fait tout, il faut que tout le monde en parle.	j'étais bien étonné si l'on ne me parlait pas de la pauvre femme, c'est toujours elle qui fait tout, il faut que tout le monde en parle.
BERALDE.	BÉRALDE.
Ah!	Ah!
j’ay tort, il eſt vray, c’eſt une femme qui a trop d’amitié pour vos enfans;	j'ai tort, il est vrai, c'est une femme qui a trop d'amitié pour vos enfants;
& qui pour l’amitié qu’elle leur porte, voudroit les voir toutes deux ponnes Rengleules.	et qui pour l'amitié qu'elle leur porte, voudrait les voir toutes deux ponnes Rengleules.
SCENE VI.	SCÈNE VI.
MONSIEUR PURGON, TOINETTE, ARGAN, BERALDE.	MONSIEUR PURGON, TOINETTE, ARGAN, BERALDE.
MONSIEUR PVRGON.	MONSIEUR PURGON.
U’eſt-ce, on vient de m’aprendre de belles O nouvelles?	OÙ'est-ce, on vient de m'apprendre de belles Ô nouvelles?
comment, refuſer un Clyſtere que j’avois pris plaiſir moy-meſme de compoſer avec grand ſoin?	comment, refuser un Clystère que j'avais pris plaisir moi-même de composer avec grand soin?
ARGAN.	ARGAN.
Monſieur Purgon, ce n’eſt pas moy, c’eſt mon Frere.	Monsieur Purgon, ce n'est pas moi, c'est mon Frère.
M.	M.
PURGON.	PRGON.
voira une eſtfange ſebeſlion d’un Malade contre ſon Medecin.	voira une estfange sebeslion d'un Malade contre son Médecin.
TOINETIE.	TOINETIE.
Cela eſt vray.	Cela est vrai.
M.	M.
PURGON.	PRGON.
Le renvoyer avec audace;	Le renvoyer avec audace;
c’eſt une action exorbitante.	c'est une action exorbitante.
TOINETTE.	TOINETTE.
Alleurement.	Alleurement.
M.	M.
PURGON.	PRGON.
Un attentat enorme contre la Medecine.	Un attentat énorme contre la Médecine.
TOINETTE.	TOINETTE.
Cela eſt certain.	Cela est certain.
al Po ReoNe.	al Po ReoNe.
C’eſt un crime de leze-Faculté.	C'est un crime de lèse-Faculté.
TOINETTE.	TOINETTE.
Vous avez raiſon.	Vous avez raison.
M.	M.
PURGON.	PRGON.
y tous aurois dans peu tiré d’affaires, & je ne voulois plus que dix Medecines, & vingt Lavemens pour vuider le fonds du ſac.	y tous aurais dans peu tiré d'affaires, et je ne voulais plus que dix Médecines, et vingt Lavements pour vider le fond du sac.
POINETTE.	POINETTE.
Il ne le merite pas.	Il ne le mérite pas.
M.	M.
PURGON.	PRGON.
Mais puiſque vous a vez eu l’inſolence de mépriſer mon Clyſtere.	Mais puisque vous a vez eu l'insolence de mépriser mon Clystère.
ARGAN.	ARGAN.
Eh Monſieur Purgon, ce n’eſt pas ma faute, t’eſt la ſienne.	Eh Monsieur Purgon, ce n'est pas ma faute, t'est la sienne.
M.	M.
PURGON.	PRGON.
Que vous vous eſtes ſouſtrait de l’obeïſſanca qu’un Malade doit a ſon Medecin.	Que vous vous êtes soustrait de l'obéissanca qu'un Malade doit à son Médecin.
ARGAN.	ARGAN.
Ce n’eſt pas moy, vous dis-je.	Ce n'est pas moi, vous dis-je.
M.	M.
PURGON.	PRGON.
Je ne veux plus avoir d’alliance avec vous, & voicy le don que je faiſois de tout mon bien à mon Neveu, en faveur du Mariage avec voſtre Fille, que je deſchire en mille pieces.	Je ne veux plus avoir d'alliance avec vous, et voici le don que je faisais de tout mon bien à mon Neveu, en faveur du Mariage avec votre Fille, que je déchire en mille pièces.
TOINEIIE.	TOINEIIE.
Celt lolt bien lale.	Celt lolt bien lale.
ARGAN.	ARGAN.
Mon Frere, vous eſtes cauſe de tout cecy.	Mon Frère, vous êtes cause de tout ceci.
M.	M.
PURGON.	PRGON.
Je ne veux plus prendre ſoin de vous, & eſtre davantage voſtre Medecin.	Je ne veux plus prendre soin de vous, et être davantage votre Médecin.
ARGAN.	ARGAN.
Je vous demande pardon.	Je vous demande pardon.
M.	M.
TUNGOI.	TUNGOI.
Je vous abandonne à voſtre meſchante conſtitution, à l’intemperie de voſtre temperament, & à la petulance de vos humeurs.	Je vous abandonne à votre méchante constitution, à l'intempérie de votre tempérament, et à la pétulance de vos humeurs.
IITRGAN.	IITRGAN.
Faites-le venir, je le prendray devant vous.	Faites-le venir, je le prendrai devant vous.
M.	M.
PURGON.	PRGON.
Je veux que dans peu vous ſoyez en un eſtas incurable.	Je veux que dans peu vous soyez en un estas incurable.
ARGAN.	ARGAN.
Ah!	Ah!
je ſuis mort.	je suis mort.
M.	M.
PURGON.	PRGON.
Et je vous avertis que vous tomberez dans l'Epileptie.	Et je vous avertis que vous tomberez dans l'Épileptie.
ARGAN.	ARGAN.
Monſieur Purgon.	Monsieur Purgon.
M.	M.
PURGON.	PRGON.
De l’Epileptie dans la Ptyſie.	De l'Épileptie dans la Ptysie.
ARGAN.	ARGAN.
Monſieur Purgon.	Monsieur Purgon.
M.	M.
HORGON.	HORGON.
De la Ptyſie dans la Pratipeptie.	De la Ptysie dans la Pratiptie.
ARGAN.	ARGAN.
Doucement Monſieur Burgon.	Doucement Monsieur Burgon.
M.	M.
PURGON.	PRGON.
De ia riutipeptie dans la Lyanterie.	De ja riutiptie dans la Lyanterie.
ARGAN.	ARGAN.
An, Momneur Paigon.	An, Momneur Paigon.
M.	M.
PÜRGON.	PRGON.
De la Lyanterie dans la Diſſenterie.	De la Lyanterie dans la Dissenterie.
ARGAN.	ARGAN.
Mon pauvre Monſieur Purgon?	Mon pauvre Monsieur Purgon?
M.	M.
PURGON.	PRGON.
De la Diſſenterie dans l’Hydropiſie.	De la Dissenterie dans l'Hydropisie.
ARGAN.	ARGAN.
Monſieur Purgon.	Monsieur Purgon.
M.	M.
PURGON.	PRGON.
De l’hydropiſie dans l’apoplexie.	De l'hydropisie dans l'apoplexie.
ARGAN.	ARGAN.
Monſieur Purgon?	Monsieur Purgon?
M.	M.
TCICGON.	TCICGON.
De l’apoplexie dans la privation de la vie où vous aura conduit voſtre folie.	De l'apoplexie dans la privation de la vie où vous aura conduit votre folie.
1 iiij	1 jijà
SCENE VII.	SCÈNE VII.
col BelauC.	col BelauC.
ARGAN.	ARGAN.
H, c’en eſt fait, de moy, je ſuis perdu;	H, c'en est fait, de moi, je suis perdu;
je n’en puis revenir;	je n'en puis revenir;
ah, je ſens déja que Ia Medecine ſe vange.	ah, je sens déjà que Ia Médecine se venge.
BERALDE.	BÉRALDE.
Serieuſement, mon Frere, vous n’eſtes pas raiſonnable, & je ne voudrois pas qu’il y euſt icy perſonne qui vous viſt faire ces ex travagances.	Sérieusement, mon Frère, vous n'êtes pas raisonnable, et je ne voudrais pas qu'il y eût ici personne qui vous vît faire ces ex avagances.
ARGAN.	ARGAN.
Vous avez beau dire, toutes ces maladies en iës me font trembler, & je les ay toutes ſur le cœur.	Vous avez beau dire, toutes ces maladies en iës me font trembler, et je les ai toutes sur le cœur.
BERALDE.	BÉRALDE.
Le ſimple homme que vous eſtes, comme ſi Monſieur Purgon tenoit entre ſes mains le fil de voſtre vie, & qu’il puſt l’alonger ou l’acourcir, comme bon luy ſembleroit;	Le simple homme que vous êtes, comme si Monsieur Purgon tenait entre ses mains le fil de votre vie, et qu'il pût l'alonger ou l'acourcir, comme bon lui sembleroit;
détrompez-vous, encole une lois, & Içachez qu’Il y peut encore moins, qu’à vous guerir lors que vous eſtes malade.	détrompez-vous, encole une lois, et Inachez qu'Il y peut encore moins, qu'à vous guérir lors que vous êtes malade.
ARGAN.	ARGAN.
Il dit que je deviendray incurable.	Il dit que je deviendrai incurable.
BERALDE.	BÉRALDE.
Dans le vray, vous eſtes un homme d’une grande prévention;	Dans le vrai, vous êtes un homme d'une grande prévention;
& lors que vous vous eſtes mis quelque choſe dans l’eſprit, difficilement peut-on l’en chaſier.	et lors que vous vous êtes mis quelque chose dans l'esprit, difficilement peut-on l'en chasier.
ARGAN.	ARGAN.
Que feray-je, mon Frere, à preſent qu’il m’a abandonné, & où trouveray-je un Médecin qui me puiſſe traiter auſſi bien que luy?	Que ferai-je, mon Frère, à présent qu'il m'a abandonné, et où trouverai-je un Médecin qui me puisse traiter aussi bien que lui?
BERALDE.	BÉRALDE.
Mon Dieu, mon Frere, puiſque c’eſt une neceſſité pour vous d’avoir un Medecin, l’on vous en trouvera un du moins auſſi habile, qui n’ira pas ſi viſte, avec qui vous courerez moins de riſque, & qui prendra plus de précaution aux remedes qu’il vous ordonnera.	Mon Dieu, mon Frère, puisque c'est une nécessité pour vous d'avoir un Médecin, l'on vous en trouvera un du moins aussi habile, qui n'ira pas si vite, avec qui vous courerez moins de risque, et qui prendra plus de précaution aux remèdes qu'il vous ordonnera.
ARGAN.	ARGAN.
Ah, mon Frere, il connoiſſoit mon temperament, & ſçavoit mon mal mieux que moymeiie.	Ah, mon Frère, il connaissait mon tempérament, et savait mon mal mieux que moimeiie.
SCENEVIII IOINETTE, ARGAN, BERALDE.	SCENEVIII JOINETTTE, ARGAN, BERALDE.
TOINETTE.	TOINETTE.
Onſieur, il y a un Medecin à la porte qui Mſouhaite parler à vous.	Onsieur, il y a un Médecin à la porte qui Msouhaite parler à vous.
ARGAN.	ARGAN.
Quel eſt-il, ce Medecin?	Quel est-il, ce Médecin?
TOINETTE.	TOINETTE.
C’eſt un Medecin de la Medecine qui me reſſemble comme deux gouttes d’eau;	C'est un Médecin de la Médecine qui me ressemble comme deux gouttes d'eau;
& ſi je ne ſçavois que ma mere eſtoit honneſte femme, je croirois que ce ſeroit quelque petit frere qu’elle m’auroit donné depuis le trépas de mon pere.	et si je ne saurais que ma mère était honnête femme, je croirais que ce serait quelque petit frère qu'elle m'aurait donné depuis le trépas de mon père.
ARGAN.	ARGAN.
Dis-luy qu’il prenne la peine d’entrer, c’eſt ſans doute un Medecin qui vient de la part de Monſieur Purgon, pour nous bien remettre enſemble;	Dis-lui qu'il prenne la peine d'entrer, c'est sans doute un Médecin qui vient de la part de Monsieur Purgon, pour nous bien remettre ensemble;
il faut voir ce que c’eſt, & ne pas laiſſer échapper une ſi belle oecaſion de me raccomihoder avee luy.	il faut voir ce que c'est, et ne pas laisser échapper une si belle oecasion de me raccomihoder aveie lui.
SCENE IX.	SCÈNE IX.
FOINETIE Nieucenn, ARGAN, BERALDE.	FOINETIE Nieucenn, ARGAN, BERALDE.
TOINETTE, Medecin.	TOINETTE, Médecin.
Onſieur, quoy que je n’aye pas l’honneur Mdienre coma de rous, ajanr appris que vous eſtes malade, je viens vous offrir mon ſervice pour toutes les purgations & les ſeignées dont vous aurez beioin.	Onsieur, quoi que je n'aie pas l'honneur Mdienre coma de rous, ajanr appris que vous êtes malade, je viens vous offrir mon service pour toutes les purgations et les seignées dont vous aurez bejoin.
ARGAN.	ARGAN.
Ma foy, mon Frere, c’eſt Toinette ellemeſme.	Ma foi, mon Frère, c'est Toinette ellemesme.
TOINETTE, Medecin.	TOINETTE, Médecin.
Monſieur, je vous demande pardon, j’ay une petite affaire en Ville, permettez-moy d’y envoyer mon Valet que j’ay laiſſe à voſtre porte, dire que l’on m’attende.	Monsieur, je vous demande pardon, j'ai une petite affaire en Ville, permettez-moi d'y envoyer mon Valet que j'ai laisse à votre porte, dire que l'on m'attende.
ARGAN.	ARGAN.
Je crois ſeurement que c’eſt elle;	Je crois sûrement que c'est elle;
qu’en croyez-vous.	qu'en croyez-vous.
BERALDE.	BÉRALDE.
Pourquoy voulez-vous cela?	Pourquoi voulez-vous cela?
Sont-ce les pres miers qui ont quelque reſſemblance;	Sont-ce les pres miers qui ont quelque ressemblance;
& ne voyons-nous pas ſouvent arriver de ces ſortes de	et ne voyons-nous pas souvent arriver de ces sortes de
choſes?	choses?
TOINETTE.	TOINETTE.
Que voulez-vous, Monſieur?	Que voulez-vous, Monsieur?
Quoy?	Quoi?
ARGIN.	ARGIN.
TOTNETTE.	TOTNETTE.
Ne m’avez-vous pas appellée.	Ne m'avez-vous pas appelée.
ARGAN.	ARGAN.
moy, tu te drompes.	moi, tu te drompes.
TOINETTE.	TOINETTE.
Il faut donc que les oreilles m’ayent corné.	Il faut donc que les oreilles m'aient corné.
ANG MIV.	ANG MIV.
Demeure, demeure, pour ce Medecin qui te teſſemble ſi fort.	Demeure, demeure, pour ce Médecin qui te tessemble si fort.
TOINETTE.	TOINETTE.
Ah vrayment oüy;	Ah vraiment oui;
je l’ay aſſez veu.	je l'ai assez vu.
AGAN.	AGAN.
Ma foy, mon Frere, cela eſt admirable, & je ne le croirois pas, ſi je ne les voyois tous ceux enſemble.	Ma foi, mon Frère, cela est admirable, et je ne le croirais pas, si je ne les voyais tous ceux ensemble.
BERALDE.	BÉRALDE.
Cela n’eſt point ſi ſurprenant;	Cela n'est point si surprenant;
noſtre Siecle hous en fournit pluſieurs exemplès, & vous devez ce me ſemble vous ſouvenir de quelquesuns qui ont fait tant de bruit dans le moude.	notre Siècle hous en fournit plusieurs exemplés, et vous devez ce me semble vous souvenir de quelquesuns qui ont fait tant de bruit dans le moude.
TOINETTE Meuccin.	TOINETTE Meucin.
Monſieur, excuſez-moy s’il vous plaiſt.	Monsieur, excusez-moi s'il vous plaît.
ARGAN.	ARGAN.
Je ne puis ſortir de mon eſtonnement, & il ſemble que c’eſt elle-meſme.	Je ne puis sortir de mon étonnement, et il semble que c'est elle-même.
TOINETTE Medecin.	TOINETTE Médecin.
Je ſuis un Medecin paſſager, courant de Villes en Villes, &t de Royaumes en Royaumes pour chercher d’illuſtres Malades, & pour trouver d’amples matieres à ma Capacité;	Je suis un Médecin passager, courant de Villes en Villes, et de Royaumes en Royaumes pour chercher d'illustres Malades, et pour trouver d'amples matières à ma Capacité;
Je ne ſuis pas de ces Medecins d’ordinaire qui ne s’amuſent qu’à des bagatelles de Fievrottes, de Rhumatiſmes, de Migraines & autres Maladies de peu de conſequence;	Je ne suis pas de ces Médecins d'ordinaire qui ne s'amusent qu'à des bagatelles de Fièvrottes, de Rhumatismes, de Migres et autres Maladies de peu de conséquence;
Je veux de bonnes Fieyres continuës avec des tranſports au Cerveau, de bonnes oppreſſions de Poitrine, de bons Mauxde Coſté, de bonnes Fievres pourprées, de bonnes Verrolles, de bonnes Peſtes;	Je veux de bonnes Fières continues avec des transports au Cerveau, de bonnes oppressions de Poitrine, de bons Mauxde Côté, de bonnes Fièvres pourprées, de bonnes Verrolles, de bonnes Pestes;
C’eſt-là où je me plaiſt;	C'est-là où je me plaît;
c’eſt-là où je triomphe;	c'est-là où je triomphe;
& je voudrois, Monſieur, que vous euſſiez toutes ces Maladies enſemble;	et je voudrais, Monsieur, que vous eussiez toutes ces Maladies ensemble;
que vous fuſſiez abandonné de tous les Medecins à l’Agonie pour vous monitrel la longue & grande experience que j’ay dans noſtre Art, & la paſſion que j’ay de vous rendre ſervice.	que vous fussiez abandonné de tous les Médecins à l'Agonie pour vous monitrel la longue et grande expérience que j'ai dans notre Art, et la passion que j'ai de vous rendre service.
ARGAN.	ARGAN.
Je vous ſuis trop obligé, Monſieur, cela Melt point necemnes	Je vous suis trop obligé, Monsieur, cela Melt point nécemnes
TOINETTE Medecin.	TOINETTE Médecin.
Je vois que vous me regardez fixement;	Je vois que vous me regardez fixement;
qu’elle âge croyez-vous bien que j’aye?	qu'elle âge croyez-vous bien que j'aie?
ARGAN.	ARGAN.
Je ne puis ſçavoir au juſte, pourtant vous avez bien vingt-ſept ou vingt-huit ans au plus.	Je ne puis savoir au juste, pourtant vous avez bien vingt-sept ou vingt-huit ans au plus.
TOINEEE McſceM.	TOINEEE McsceM.
Bon, j’en ay quatre-vingt dix.	Bon, j'en ai quatre-vingt dix.
ARGAN.	ARGAN.
Quatre-vingt dix, voila un beau jeune Vieillard.	Quatre-vingt dix, voilà un beau jeune Vieillard.
TOINETTE Medecin.	TOINETTE Médecin.
Oüy, quatre-vingts dix, & j’ay ſçeu memaintenir toûjours frais & jeune, comme vous voyez, par la vertu & la bonté de mes Remedes.	Oui, quatre-vingts dix, et j'ai su memaintenir toujours frais et jeune, comme vous voyez, par la vertu et la bonté de mes Remèdes.
DonnezDonnez-moy voſtre poux:	DonnezDonnez-moi votre poux:
allons done, voîla un poux bien impertinent;	allons donc, volâla un poux bien impertinent;
Ah, je vois bien que vous ne me connoiſſez pas encore, je vous feray bien aller comme il faut.	Ah, je vois bien que vous ne me connaissez pas encore, je vous ferai bien aller comme il faut.
Qui eſt voſtre Medecin?	Qui est votre Médecin?
HRGAN.	HRGAN.
Monſieur Purgon.	Monsieur Purgon.
TOINETTE Medeciu.	TOINETTE Médeciv.
Monſieur Purgon, ce nom ne m’eſt point conneu, & n’eſt point eſcrit ſur mes Tablettes dans le rang des grands & fameux Medecins qui y ſont;	Monsieur Purgon, ce nom ne m'est point connu, et n'est point écrit sur mes Tablettes dans le rang des grands et fameux Médecins qui y sont;
quittez-moy cet homme;	quittez-moi cet homme;
ce n’eſt point du tout voſtre affaire, il faut que ce ſoit peu de choſe, je veux vous en donner un de ma maill.	ce n'est point du tout votre affaire, il faut que ce soit peu de chose, je veux vous en donner un de ma maill.
ARGAN.	ARGAN.
On le tient pourtant en grande reputation.	On le tient pourtant en grande réputation.
TOINETTE Medecin.	TOINETTE Médecin.
De quoy, dit-il, que vous eſtes malade?	De quoi, dit-il, que vous êtes malade?
ARGAN.	ARGAN.
Il dit que c’eſt de la Ratte, d’autres diſent que c’eſt du Foye.	Il dit que c'est de la Ratte, d'autres disent que c'est du Foie.
TOINETTE Medecin.	TOINETTE Médecin.
L’ignorant;	L'ignorant;
c’eſt du Poulmon que vous eſtes Malade.	c'est du Poulémon que vous êtes Malade.
ARGAN.	ARGAN.
Du Poulmon ?	Du Poulémon ?
TOINET IE Meuccin.	TOINET -JE Meucin.
Oüy du Poulmon, n’avez-vous pas grand appetit à ce que vous mangez?	Oui du Poulémon, n'avez-vous pas grand appétit à ce que vous mangez?
Eh oüy.	Eh oui.
ARGAN.	ARGAN.
TOINETTE Medecin.	TOINETTE Médecin.
C’eſt juſtement le Poulmon;	C'est justement le Poulémon;
ne trouvezvous pas le vin bon?	ne trouvezvous pas le vin bon?
ARGAN.	ARGAN.
TOINETTE Medecin.	TOINETTE Médecin.
Le Poulmon;	Le Poulémon;
ne reſvez-vous point pendant Ia nuit?	ne rêvez-vous point pendant Ja nuit?
4 lenll lv2.	4 lenll lu2.
Oüy, oüy, meſme aſſez ſouvent.	Oui, oui, même assez souvent.
TOINETTE Medecin.	TOINETTE Médecin.
Le Poulmon:	Le Poulémon:
ne faites-vous point un petir ſommeil apres le repas?	ne faites-vous point un petir sommeil après le repas?
ARGAN.	ARGAN.
Ali ouy todo leo jouls,	Ali oui todo leo jouls,
TOINETTE Medecin.	TOINETTE Médecin.
Le Poulmon, le Pouimon, vous dis-je?	Le Poulémon, le Pouimon, vous dis-je?
ARGAN.	ARGAN.
Ah mon Frere, le Poulmon.	Ah mon Frère, le Poulémon.
TOINETTE Medecin.	TOINETTE Médecin.
Que vous ordonne-il de manger?	Que vous ordonne-il de manger?
Du Potage.	Du Potage.
li le e n ia	li le e n' a
TOINETIE Médecin.	TOINETIE Médecin.
L’ignorant.	L'ignorant.
ARGAN De prendre force boüillons.	ARGAN De prendre force boüillons.
TOINETTE Medecin.	TOINETTE Médecin.
L Ignorant.	 Ignorant.
Du bouilly.	Du bouilly.
ARGAN.	ARGAN.
TOINETTE Medecini L’ignorant.	TOINETTE Médecini L'ignorant.
ARGAN.	ARGAN.
Du Veau, & des Poullets.	Du Veau, et des Poullets.
TOINETTE Medecin.	TOINETTE Médecin.
L’ignorant.	L'ignorant.
ARGAN.	ARGAN.
Et le ſoir, des petits Pruneaux pour laſcher leventre.	Et le soir, des petits Pruneaux pour lâcher leventre.
TOINET TE Medecin.	TOINET TE Médecin.
Ignorantus, ignoranta, ignorantum;	Ignorantus, ignoranta, ignorantum;
Et moy, je vous ordonne de bon gros Pain bis, de bon gros Bœuf, de bons gros Pois, de bon Fromage d’Hollande;	Et moi, je vous ordonne de bon gros Pain bis, de bon gros Bœuf, de bons gros Pois, de bon Fromage d'Hollande;
& afin que vous ne crachiez plus, des Marons, & des Oublies, pour coller & conglutiner.	et afin que vous ne crachiez plus, des Marons, et des Oublies, pour coller et conglutiner.
ARGAN.	ARGAN.
Mais voyez un peu, mon Frere, quelle Ordonnance?	Mais voyez un peu, mon Frère, quelle Ordonnance?
TOINETTE Medecin.	TOINETTE Médecin.
Croyez-moy, executez-là, vous vous en trouverez bien:	Croyez-moi, exécutez-là, vous vous en trouverez bien:
a propos je m’apperçois icy d’une choſe, dites-moy, Monſieur, que faites-vous de ce bras-là?	à propos je m'aperçois ici d'une chose, dites-moi, Monsieur, que faites-vous de ce bras-là?
ARGAN.	ARGAN.
Ee que j'en fais, ia cent demande!	Ee que j'en fais, ja cent demande!
TOINETTE Medecin.	TOINETTE Médecin.
Si vous me croyez, vous vous le feſer coupper tout à l’heure.	Si vous me croyez, vous vous le feser coupper tout à l'heure.
ARGAN.	ARGAN.
me lu rarron?	me lu rarron?
TOINETTE Medecin.	TOINETTE Médecin.
Ne voyez-vous pas qu’il attire à luy toute la nourniture;	Ne voyez-vous pas qu'il attire à Rome toute la nourniture;
& qu’Il empelene rautre coſté de profiter.	et qu'Il empelene rautre côté de profiter.
ARGAN.	ARGAN.
Eh je ne me ſoucie pas de cela;	Eh je ne me soucie pas de cela;
j’ayme bien mieux les avoir tous deux.	j'aime bien mieux les avoir tous deux.
TOINET TE Medecin.	TOINET TE Médecin.
Si j’eſtois auſſi en voſtre place, je me ferois crever cet œil-cy tout à l’heure.	Si j'étais aussi en votre place, je me ferais crever cet œil-cy tout à l'heure.
ARGAN.	ARGAN.
Et pourquoy le faire creyer.	Et pourquoi le faire créier.
TOINETTE Medecin.	TOINETTE Médecin.
N’en verrez-vous pas une fois plus clair nomautre.	N'en verrez-vous pas une fois plus clair nomautre.
mlteone, vous dis-je, & tout à preſent.	mléone, vous dis-je, et tout à présent.
ARGAN.	ARGAN.
Je ſuis voſtre ſerviteur, j’aime beaucoun mieux n’en voir pas ſi clair de l’un, & n’en avoir point de manque.	Je suis votre serviteur, j'aime beaucoun mieux n'en voir pas si clair de l'un, et n'en avoir point de manque.
TOINETTE Medecin.	TOINETTE Médecin.
Excuſez-moy, Monſieur, ſi je ſuis obligé de vous quitter ſi-toſt, je vous verray quelquesfois pendant le ſejour que je feray en cette Ville, mais je ſuis obligé de me trouver aujourd’huy à une Conſultation qui ſe doit faire pour un Malade qui mourut hier:	Excusez-moi, Monsieur, si je suis obligé de vous quitter si-tôt, je vous verrai quelquefois pendant le séjour que je ferai en cette Ville, mais je suis obligé de me trouver aujourd'hui à une Consultation qui se doit faire pour un Malade qui mourut hier:
ARGAN.	ARGAN.
Pourquoy une Conſultation pour un Maladg qui mourut hier?	Pourquoi une Consultation pour un Maladg qui mourut hier?
TOINETTE Medecin.	TOINETTE Médecin.
Pour adviſer aux Remedes qu’il euſt fallu luy faire pour le guerir, & s’en ſervir dans une ſemblable occaſion.	Pour adviser aux Remedes qu'il eût fallu tu faire pour le guérir, et s'en servir dans une semblable occasion.
ARGAN.	ARGAN.
Monneur, je ne vous feconauis pomt, vous ſçavez que les Malades en ſont exempts.	Monneur, je ne vous féconavis pompt, vous savez que les Malades en sont exempts.
BERALDE.	BÉRALDE.
Ile bien, mon Frere, que dites-vous de ce Medecin?	Ile bien, mon Frère, que dites-vous de ce Médecin?
viſte en beſogne.	vite en besogne.
ARGAN.	ARGAN.
BERALDE.	BÉRALDE.
Comme font tous ces grands Medecins, & il ne le ſeroit pas s’il faiſoit autrement.	Comme font tous ces grands Médecins, et il ne le serait pas s'il faisait autrement.
ARGAN.	ARGAN.
Couper un bras, erever un œil, voyez quelle plalfante operutron, de me faire borgne & manchot.	Couper un bras, érever un œil, voyez quelle plalfante operutron, de me faire borgne et manchot.
TOINETTE.	TOINETTE.
Doucement, doucement, Monſieur le Medetin, s’il vous plaiſt, moderez voſtre appetit.	Doucement, doucement, Monsieur le Médetin, s'il vous plaît, modérez votre appétit.
ARGAN.	ARGAN.
Qu’as-tu donc, Toinette?	Qu'as-tu donc, Toinette?
TOINETTE.	TOINETTE.
Vrayment voſtre Medecin veut fiie;	Vraiment votre Médecin veut fiie;
ma foy il a voulu mettre ſa main ſur mon ſein en ſortant.	ma foi il a voulu mettre sa main sur mon sein en sortant.
ARGAN.	ARGAN.
Cela eſt eſtonnant, à ſon âge, qui pourroit rroire cela, qu’à quatre-vingt dix ans l’on fuſt encore ſi gaillard.	Cela est étonnant, à son âge, qui pourrait roire cela, qu'à quatre-vingt dix ans l'on fût encore si gaillard.
BERALDE.	BÉRALDE.
Enfin, mon Frere, puiſque vous avez rompu avec Monſieur Purgon;	Enfin, mon Frère, puisque vous avez rompu avec Monsieur Purgon;
qu’il n’y a plus d’eſperance d’y pouvoir renoüer, & qu’il a déchiré les Articles d’entre ſon Neveu & voſtre Fille, rien ne vous peut plus empeſcher d’accepter le party que je vous propoſe pour ma Niéce:	qu'il n'y a plus d'espérance d'y pouvoir renouver, et qu'il a déchiré les Articles d'entre son Neveu et votre Fille, rien ne vous peut plus empêcher d'accepter le parti que je vous propose pour ma Nièce:
c’eſt un.	c'est un.
ARGAN.	ARGAN.
Je vous prie, mon Frere, ne parlons point de cela;	Je vous prie, mon Frère, ne parlons point de cela;
je ſçais bien ce que j’ay à faire, & je la mettray dés demain dans un Couvent.	je sais bien ce que j'ai à faire, et je la mettrai dès demain dans un Couvent.
BERALDE.	BÉRALDE.
Vous voulez faire plaiſir à quelqu’un	Vous voulez faire plaisir à quelqu'un
K iij	§ jijà
ARGAN.	ARGAN.
