LES PARFAITS DENGERS, THIRSIS ET VRANIE.	LES PARFAITS DENGERS, THIRSIS ET VRANIE.
Pour finir ce propos quelque vanité que ſe donnent les villes, c’eſt des champs que ſont venus les Rois & les Dieux, vn ſimple Berger couché ſur la terre égale la hauteur de mille Princes qui ne ſont plus que de l’herbe.	Pour finir ce propos quelque vanité que se donnent les villes, c'est des champs que sont venus les Rois et les Dieux, un simple Berger couché sur la terre égale la hauteur de mille Princes qui ne sont plus que de l'herbe.
Quel plat fonds de Palais Royal vaut celuy de l’Vniuers?	Quel plat fond de Palais Royal vaut celui de l'Univers?
quel arc-en-ciel s’eſt iamais formé dans les cabinets des Dames?	quel arc-en-ciel s'est jamais formé dans les cabinets des Dames?
quelle Nymphe ſe daigneroit baigner dãs leur cuue d’argent, & les traitter de Diane?	quelle Nymphe se daignerait baigner dans leur cuve d'argent, et les traiter de Diane?
Orphée à ce qu’on tient attira iadis les foreſts, ſi cela eſt vray, ce n’eſtoit que leur rendre la pareille;	Orphée à ce qu'on tient attira jadis les forêts, si cela est vrai, ce n'était que leur rendre la pareille;
Car la tranquilité de leur ſejour l’y auoit attiré le premier.	Car la tranquillité de leur séjour l'y avait attiré le premier.
Ce fut là qu’il deuint vn ſi grand homme, & qu’il eut eſté trop heureux auec les ſciences qu’il y apprit, s’il eut eu lolagbamtiicdonconcomter:	Ce fut là qu'il devint un si grand homme, et qu'il eut été trop heureux avec les sciences qu'il y apprit, s'il eut eu lolagbamtiicdonconcomter:
Mais nous ne ſçaurions long-temps durer à noſtre aiſe.	Mais nous ne saurions longtemps durer à notre aise.
PHAON, Gaigne Yole auſſi bien que tu me gaignes, & ie te promets vn compagnon & vn ſeruiteur dans ta ſolitude.	PHAN, Gagne Yole aussi bien que tu me gagnes, et même te promets un compagnon et un serviteur dans ta solitude.
SCENE SECONDE.	SCÈNE SECONDE.
VRANIE, PHILIS,ET PHILIDOR.	VRANIE, PHILIS,ET PHILIDOR.
GRANIE, Philidor, garde cette V auenuë, Philis gardera l’autre;	GRANIE, Philidor, garde cette V auenuë, Philis gardera l'autre;
remarquez tous deux qui viendra, & du plus loin que vous le deſcouurirez, aduertiſſez-m'en.	remarquez tous deux qui viendra, et du plus loin que vous le découvrirez, avertissez-m'en.
A cette heure que ie ſuis ſeule, allege-toy, mon ame;	À cette heure que personne suis seule, allé-toi, mon âme;
deſcharge-toy, mon cœur, & monſtres que tu eſtois plutoſt eſtouffé qu’endurcy.	décharge-toi, mon cœur, et monstres que tu étais plutôt étouffé qu'endurci.
A cette heure que tous les paſſages ſont ouuerts à ma douleur, ſors, ſors de ta priſon, ô le plus iuſte des ſoupirs!	À cette heure que tous les passages sont ouverts à ma douleur, sors, sors de ta prison, ô le plus juste des soupirs!
Ha!	Ha!
Thirſis, qu’il me couſte de t’eſtre cruelle:	Thyris, qu'il me coûte de t'être cruelle:
Ha!	Ha!
Berger trop accomply pour m’eſtre indifferent, tu ne ſçais pas que nous ſouffrons tous en diuerſes ſortes.	Berger trop accompli pour m'être indifférent, tu ne sais pas que nous souffrons tous en diverses sortes.
Tu ſouffres parce que tu ne cognois pas mon inclination:	Tu souffres parce que tu ne connais pas mon inclination:
& au oontraire, ie ſouffre parce que ie cognois la tienne.	et au oontraire, je souffre parce que ici connais la tienne.
Encore ſuis-ie plus à plaindre, nulle bienſeance ne te deffend de monſtrer ta bleſſure;	Encore suis-je plus à plaindre, nulle bienséance ne te défend de montrer ta blessure;
où elle m’oblige à cacher meſmes mon remede, qui ne giſt qu’en mes larmes.	où elle m'oblige à cacher mêmes mon remède, qui ne gît qu'en mes larmes.
Il eſt vray que ie le dois cacher, ce remede là eſtant inutile & effeminé, il ſemble auoir honte d’eſtre appliqué à vn mal qui ne part que de courage.	Il est vrai que personne le dois cacher, ce remède là étant inutile et effeminé, il semble avoir honte d'être appliqué à un mal qui ne part que de courage.
Toutesfois l’impuiſſance n’en a point de meilleur, il s’en fautſeruir cependant que la ſolitude me fauoriſe;	Toutefois l'impuissance n'en a point de meilleur, il s'en fautservir cependant que la solitude me favorise;
au moins i'ay maintenant par ſon moyen la liberté des eſclaues, ie puis ſentir mon aſſliction, & ie puis plorer.	au moins j'ai maintenant par son moyen la liberté des esclaves, je puis sentir mon assliction, et ie puis et.
Rochers, vous le permettez bien, nonobſtant voſtre dureté, à laquelle on compare celle qu’on m’impute:	Rochers, vous le permettez bien, nonobstant votre dureté, à laquelle on compare celle qu'on m'impute:
Quelques rochers que vous ſoyez, il vous eſchape quelquefois des torrens entiers, & ſi vous n’en auez pas le ſujet que i’ay.	Quelques rochers que vous soyez, il vous échappe quelquefois des torrents entiers, et si vous n'en avez pas le sujet que j'ai.
D’autre part, les vers que Thirſis a inciſez ſur vous contre ma rigueur, teſmoignent à vn chacun que les plaintes des Amans vous entament.	D'autre part, les vers que Tiris a incisez sur vous contre ma rigueur, témoignent à un chacun que les plaintes des Amants vous entament.
Bien que ie pleure, ce n’eſt pas que ie me repente de ma chaſteté, tant s’en faut, c’eſt dequoy ie m’aime;	Bien que Seigneur pleure, ce n'est pas que sans me repente de ma chasteté, tant s'en faut, c'est dequoy ie m'aime;
ſi ma ſujettion ne luy ſuffit, qu’elle y adiouſte le ſeruage, le ſeruagen'eſt pas pire que la cruauté, & la cruauté veut que ſon patient endure, non pas qu’il faſſe pâtir.	si ma sujettion ne lui suffit, qu'elle y ajoute le servage, le seruagen'est pas pire que la cruauté, et la cruauté veut que son patient endure, non pas qu'il fasse pâtir.
Et neantmoins ie t’afflige iour & nuict, ô Berger incomparable!	Et néanmoins rien t'afflige jour et nuit, ô Berger incomparable!
Encore que ce ſoit fort innocemment, ta douleur me tuë;	Encore que ce soit fort innocemment, ta douleur me tue;
comme ie ſuis glorieuſe d’en eſtre l’objet, ie ſuis inconfolable d’en eſtre la cauſe.	comme tu suis glorieuse d'en être l'objet, Elle suis inconsolable d'en être la cause.
Qui des deux eſt le plus eſtrange, ou ma faute, ou ma ſatisfaction?	Qui des deux est le plus étrange, ou ma faute, ou ma satisfaction?
ie nuis ſans y conſentir, & ie me iuſtifie ſans que tu m’entendes;	Elle nuis sans y consentir, et Seigneur me justifie sans que tu m'entendes;
c’eſt pourquoy tu ne ceſſes de m’accuſer:	c'est pourquoi tu ne cesses de m'accuser:
Accuſe pluſtoſt le Deſtin qui s’amuſe à inquieter nos ieunes années:	Accuse plutôt le Destin qui s'amuse à inquiéter nos jeunes années:
Accuſe la Nature qui n’a pas mis vne vitre au deuant du cœur, de meſme qu’en quelque façon elle en a miſe vne au deuant de la prunelle.	Accuse la Nature qui n'a pas mis une vitre au devant du cœur, de même qu'en quelque façon elle en a mise une au devant de la prunelle.
Quel deſordre, quelle iniuſtice en ſes ouurages!	Quel désordre, quelle injustice en ses ouvrages!
Vne ombre n’eſt rien, & on la void, & l’ame vne choſe ſi rare eſt inuiſible.	Une ombre n'est rien, et on la voit, et l'âme une chose si rare est invisible.
Sans cela ie n’aurois pas beſoin, mon parfait Berger, de te proteſter que ie gehenne mes ſentimens quand ie les retiens, ny que ie me deſchire toutes & quantesfois que ie te quitte.	Sans cela était n'aurais pas besoin, mon parfait Berger, de te protester que sans géhenne mes sentiments quand que les retiens, ni que sans me déchire toutes et quantesfois que sans te quitte.
Sans cela le monde verroit que ie ſuis humaine, & que ie n’ay de la dureté qu’autant qu’il en faut pour y grauer vne image, i'entends celle de ta vertu pluſtoſt que de ta beauté.	Sans cela le monde verrait que je suis humaine, et que je n'ai de la dureté qu'autant qu'il en faut pour y graver une image, j'entends celle de ta vertu plutôt que de ta beauté.
Combien de fois m’as tu dit que i’auois vn cœur de diamant, ie ſerois bien marrie de l’auoir auſſi dur, pleût à Dieu que ie l’euſſe auſſi tranſparent, tu n’ignorerois pas que ie ſuis ſenſible.	Combien de fois m'as tu dit que j'avais un cœur de diamant, Elle serais bien marrie de l'avoir aussi dur, pleut à Dieu que je l'eusse aussi transparent, tu n'ignorerais pas que tu suis sensible.
Mais ſers toy de ton eſprit au deffaut de tes yeux;	Mais sers toi de ton esprit au défaut de tes yeux;
puis que tu es tout en feu, & que tu es dedans moy, iuge ſi i endure.	puis que tu es tout en feu, et que tu es dedans moi, juge si y jure.
Iuge vn peu où ie ſerois reduite, n’eſtoit que i’ay dans le ſein vn amas de larmes, qui fait que mon cœur oppoſe touſiours ſon naufrage à ſon embraſement.	Juge un peu où a serois réduite, n'était que j'ai dans le sein t amas de larmes, qui fait que mon cœur oppose toujours son naufrage à son embrasement.
O vents qui emportez lors qu’il vous plaiſt le ſon & la voix, portez-luy mes paroles, ie vous en auoüe, qu’il ſçache que ie l’eſtime autant qu’il m'aime, & il ſçaura la verité.	Ô vents qui emportez lors qu'il vous plaît le son et la voix, portez-lui mes paroles, une en au boue, qu'il ava que ie l'estime autant qu'il m'aime, et il saura la vérité.
Mais où eſt-ce que ie vous enuoye?	Mais où est-ce que ici vous envoie?
où le trouuerez- PHIL.	où le trouverez- PHIL.
Thirſis vient de mon coſté.	Thyris vient de mon côté.
VRANIE, Eſt-ce luy?	VRANIE, Est-cefois?
Ouy, c’eſt luy-meſme, ſa triſteſſe extraordinaire a de l’air d’vn mauuais preſage, & m’aduertit du projet dont ie me doute.	Oui, c'est lui-même, sa tristesse extraordinaire a de l'air d'un mauvais présage, et m'avertit du projet dont mille me doute.
vous?	vous?
poſſible qu’il eſt maintenant ſur le bord d’vn precipice, poſſible eſt-il plus bas:	possible qu'il est maintenant sur le bord d'un précipice, possible est-il plus bas:
En ce cas la ie le ſuiuray.	En ce cas la peine le suivrai.
Ouy Thirſis, n’en doute nullement, ſi tu és la victime de l’Amour, ie ſeray celle de l’Honneur, qui eſt beaucoup plus rigoureux, l'enfance ne l’adoucit point, & la raiſon le rend ſeuere.	Oui Thyris, n'en doute nullement, si tu es la victime de l'Amour, une serai celle de l'Honneur, qui est beaucoup plus rigoureux, l'enfance ne l'adoucit point, et la raison le rend sévère.
Demon qui preſides à la Chaſteté, deſtournes ce coup, ma conſtance peut ſubſiſter, & Thirſis peut viure à l'oppoſite, s’il ſe perd, il eſt force qu’elle diminuë, ou bien ce ne ſeroit pas repoſer dans vn meſme lict, qu’eſtre dans vn meſme tombeau.	Démon qui présides à la Chasteté, détournes ce coup, ma constance peut subsister, et Thyris peut vivre à l'opposite, s'il se perd, il est force qu'elle diminue, ou bien ce ne serait pas reposer dans un même lit, qu'être dans un même tombeau.
PHILIS, Ariſtée s’achemine icy.	PHILIS, Aristée s'achemine ici.
VRANIE, Sus, entrez viſtement dans cét antre auec moy, n’y menez.	VRANIE, Sus, entrez vitement dans cet antre avec moi, n'y menez.
aucun bruit, & n’en ſortez point que le lle le cominamdounnue;	aucun bruit, et n'en sortez point que le lèle le cominamdounue;
SCENE TROISIESME.	SCÈNE -TROISIÈME.
THIRSIS ET ARISTEE.	THIRSIS ET ARISTE.
THIRSIS, C’eſt vne nouuelle auſſi deplorable, qu’elle eſt vraye;	THIRSIS, C'est une nouvelle aussi déplorable, qu'elle est vraie;
c’eſt quole lhar Mumatiladon y& ce fauory la c’eſt moy qui te parle.	c'est quole lar Mumatiladon yet ce favori la c'est moi qui te parle.
pour ſçauoir quelle eſtoit cette nouuelle que tu allois apprendre tantoſt lors que ie t’ay trouué ſi fort hors d’halaine, & ſi effaré.	pour savoir quelle était cette nouvelle que tu allais apprendre tantôt lors que tu t'ai trouvé si fort hors d'halaine, et si effaré.
ARISTEE, Te trauerſera-il toujours?	ARISTE, Te traversera-il toujours?
THIRSIS, Comme belle elle n’a point de ſemblable, & comme croiſſant à tous les momens en attraits & en rigueurs, elle n’eſt pas ſemblable à ſoy.	THIRSIS, Comme belle elle n'a point de semblable, et comme croissant à tous les moments en attraits et en rigueurs, elle n'est pas semblable à soi.
ARISTEE, Peut eſtre qu’elle te reſpond au plus loin de ta penſée.	ARISTE, Peut être qu'elle te répond au plus loin de ta pensée.
THIRSIS, Il eſt impoſſible d’ignorer ſes intentions, elles brillent dans ſes paroles tant elles ſont claires, outre qu’elles ſont confirmées par tous ſes deportements.	THIRSIS, Il est impossible d'ignorer ses intentions, elles brillent dans ses paroles tant elles sont claires, outre qu'elles sont confirmées par tous ses déportements.
ARISTEE, Quand bien tes rares qualitez ne ſuffiroient pas à la flechir, cette paſleur & ces yeux mourans ont vne eloquente agonie.	ARISTE, Quand bien tes rares qualités ne suffiraient pas à la fléchir, cette pâleur et ces yeux mourants ont été éloquente agonie.
THIRSIS, Ie n’oſe leuer les yeux où elle eſt, ie noſe ſoûpirer, elle ſe plaiſt à tenir en ſujection ce que la tyrãnie meſme laiſſe libre:	THIRSIS, Je n'ose lever les yeux où elle est, jamais nose soupirer, elle se plaît à tenir en sjection ce que la tyrannie même laisse libre:
ſi mes regards & mes ſoûpirs ſont dans ſes cheſnes, qu’eſt-cequi me reſte de ma liberté:	si mes regards et mes soupirs sont dans ses chênes, qu'est-cequi me reste de ma liberté:
durant que les pleurs des Amãs eſtoiẽt en vogue & en credit aupres de leur Maiſtreſſe, j’auois quelque moyen de m’alleger, mais Vranie m’en a defẽdu l’vſage deuãt elle.	durant que les pleurs des Amants étaient en vogue et en crédit auprès de leur Maîtresse, j'avais quelque moyen de m'alléger, mais Vranie m'en a defẽdu l'usage devant elle.
Au ſurplus quand ie verſerois ARISTEE, Pour cét effet change d’air nous irons paiſtre nos troupeaux aux paſtis de Penée, là tu verras le lieu où Daphné fille de ce fleuue fruſtra l’attente d’Apollon.	Au surplus quand nous verserais ARISTE, Pour cet effet change d'air nous irons paître nos troupeaux aux pâtis de Penée, là tu verras le lieu où Daphné fille de ce fleuve frustra l'attente d'Apollon.
On tiẽt pour tout aſſeuré que les amoureux qui font la meſme courſe pendant la neufuaine, y quittent la paſſion qui les tourmentoit.	On tient pour tout assuré que les amoureux qui font la même course pendant la neufuaine, y quittent la passion qui les tourmentait.
Ainſi tu ne laiſſeras pas d’imiter le Dieu de noſtre Bergerie, toute la difference qu’il y aura c’eſt qu’icy tu le ſuis dãs ſa maladie & là tu le ſuiuras dans ſa gueriſon.	Ainsi tu ne laisseras pas d'imiter le Dieu de notre Bergerie, toute la différence qu'il y aura c'est qu'ici tu le suis dans sa maladie et là tu le suivras dans sa guérison.
des torrens de larmes ie reſſemblerois à Salmacis, & au Scamandre qui bruſloient dans leurs eaux.	des torrents de larmes était ressemblerais à Salmacis, et au Samandre qui brûlaient dans leurs eaux.
En vn mot le deſtin me hait:	En un mot le destin me hait:
au reſte il ne me hait que parce qu’il m’a fait du mal;	au reste il ne me hait que parce qu'il m'a fait du mal;
à la ſeuerité qu’il me tiẽt il Arcit force den luger de la lorte, & de ceder au plus fort.	à la sévérité qu'il me tiẽt il Arcit force den luger de la lorte, et de céder au plus fort.
THIRSIS, Cét expedient eſt trop aiſé, i’aymerois mieux voyager au pays de Sapho, il y a le rocher d’où elle ſe precipita dans la mer, pour finir le meſpris que l’ancien Phaon auoit pour elle, ſon exemple a depuis gueri vne infinité de perſonnes:	THIRSIS, Cet expédient est trop aisé, j'aimerais mieux voyager au pays de Sapho, il y a le rocher d'où elle se précipita dans la mer, pour finir le mépris que l'ancien Phaon avait pour elle, son exemple à puis guéri une infinité de personnes:
En l’eſtat où ie ſuis ie ne ſçaurois changer d’air qu’en changeant de monde.	En l'état où je suis ici ne saurais changer d'air qu'en changeant de monde.
ARISTEE, En es tu là?	ARISTE, En es tu là?
ne te fache dõc point ſi ie ne t’abandonne plus.	ne te fache donner point si ici ne t'abandonne plus.
THIRSIS, En effet ie n’ay pas mal ioüé mon perſonnage, ie t’ay donné l’alarme, dis la verité?	THIRSIS, En effet je n'ai pas mal joué mon personnage, toujours t'ai donné l'alarme, dis la vérité?
Or ſus tu es mon amy, tu me ſeras fidelle, ne deſcouure a qui que ce ſoit ce que ie te vay dire en moins d’vne demie heure:	Or sus tu es mon ami, tu me seras fidèle, ne découvre à qui que ce soit ce que ie . ais dire en moins d'une demie heure:
Vranie declarera deuant tout le monde qu’elle met fin à ſa rigueur, iuſques alors elle veut que ie contrefaſſe le deſeſperé, afin que tu n’en doutes non plus que moy, regarde les deux gages qu’elle m’en donne, ſon voile & le ruban de ſes cheueux.	Vranie déclarera devant tout le monde qu'elle met fin à sa rigueur, jusqu' alors elle veut que mille contrefasse le désespéré, afin que tu n'en doutes non plus que moi, regarde les deux gages qu'elle m'en donne, son voile et le ruban de ses cheveux.
ARISTEE, Quelle iutatlon, quel rauiſſement, quel miracle!	ARISTE, Quelle jutatlon, quel ravissement, quel miracle!
THIRSIS, Parle bas, ſuprime ta ioye, & parce que les Dieux ſont ſur le point de me déliurer de mes peines, va t’en à la Chapelle leur en rendre grace attendant que nous y allions tous enſemble;	THIRSIS, Parle bas, suprime ta joie, et parce que les Dieux sont sur le point de me délivrer de mes peines, va t'en à la Chapelle leur en rendre grâce attendant que nous y allions tous ensemble;
pour le preſent contente toy de me feliciter en tapenſée durant ton chemin.	pour le présent contente toi de me féliciter en tapensée durant ton chemin.
ARISTEE, Ne penſe donc plus deſormais qu’à ta bone fortune, & dis vn eternel adieu aux regrets & aux	ARISTE, Ne pense donc plus désormais qu'à ta bone fortune, et dis un éternel adieu aux regrets et aux
douleurs.	douleurs.
SCENE QVATRIESME.	SCÈNE QUATRIÈME.
THIRSIS ET DRIOPE ESMLRRS	THIRSIS ET DRIOPE ESMLRRS
HIRSIS, Il dit mieux qu’il ne T penſe, ſuiuons ſes auis, Adieu regrets que i’ay trop ſouuent eſprouuez inutiles, adieu deſerts que i’ay ſi ſouuent laſſez du recit de mes maux, adieu Nymphe qui n'es plus que voix, c’eſt ace coupque tu pourras redire veritablement mes dernieres paroles, adieu Echo, adieu:	HIRSIS, Il dit mieux qu'il ne T pense, suivons ses avis, Adieu regrets que j'ai trop souvent éprouvés inutiles, adieu déserts que j'ai si souvent lassez du récit de mes maux, adieu Nymphe qui n'es plus que voix, c'est ace coupque tu pourras redire véritablement mes dernières paroles, adieu Écho, adieu:
tous ces rochers me reſpondent hormis celuy pour lequel il faut que ie meure, mourray-je ſans eſtre connu?	tous ces rochers me répondent hormis celui pour lequel il faut que de meure, mourrai-je sans être connu?
où pour le moins ſans connoiſtre la cauſe de mon treſpas?	où pour le moins sans connaître la cause de mon trépas?
Eſt-ce l’amour?	Est-ce l'amour?
mais il vnit les ames & ainſi il en met deux où il n’y en auoit qu’vne:	mais il vnit les âmes et ainsi il en met deux où il n'y en avait qu'une:
eſt-ce la beauté?	est-ce la beauté?
mais la beauté plaiſt & le plaiſir eſt vne ſeconde vie, de fait ce n’eſt ny l’vn ny l’autre pris ſeparement, ce ſont tous les deux enſemble, l’art d’amour ne ſert de rien ſans les traits de la beauté, & elle n’a point de traits qui bleſſent ſi amour ne les tire.	mais la beauté plaît et le plaisir est une seconde vie, de fait ce n'est ni ce sont tous les deux ensemble, ce sont tous les deux ensemble, l'art d'amour ne sert de rien sans les traits de la beauté, et elle n'a point de traits qui blessent si amour ne les tire.
L’eſtrange prodige!	L'étrange prodige!
celle du Ciel, celle des aſtres, celle des eaux, celle des fleurs ne tuë perſonne, meſme celle des beſtes farouches n’offenſe point, il n’y a donc que la beauté humaine qui ſoit inhumaine.	celle du Ciel, celle des astres, celle des eaux, celle des fleurs ne tue personne, même celle des bêtes farouches n'offense point, il n'y a donc que la beauté humaine qui soit inhumaine.
O que Cipariſſe fut ſage de n’aymer que ſa biche, ô qu’Amour a biẽ raiſon de porter vn bandeau, autrement il courroit hazard d’eſtre luy meſme pris.	Ô que Ciparisse fut sage de n'aimer que sa biche, ô qu'Amour a bimp raison de porter un bandeau, autrement il courrait hasard d'être lui même pris.
En fin ce n’eſt qu'en ces ſujets icy que la fidelité trahit, que la perſeuerance faict ceſſer, & que l’affection a des effects pires que la haine.	En fin ce n'est qu'en ces sujets ici que la fidélité trahit, que la persévérance fait cesser, et que l'affection a des effets pires que la haine.
DRIOPE, Berger, inſtruis vn pauure paſſager qui ne ſçait où il eſt.	DRIOPE, Berger, instruis un pauvre passager qui ne sait où il est.
THIRSIS, Tu es à deux doigts de ta perte ſi tu ne te ſauues.	THIRSIS, Tu es à deux doigts de ta perte si tu ne te sauves.
DRIOPE, Quel païs eſt cecy?	DRIOPE, Quel pays est -ceci?
THIRSIS, En moins d’vn clein d’œil tu l’eſprouueras ſi tu ne t’enfuis;	THIRSIS, En moins d'un clein d'œil tu l'éprouveras si tu ne t'enfuis;
c’eſt vn païs de Barbares:	c'est un pays de Barbares:
N’eſt-ce pas vn païs de Barbares?	N'est-ce pas un pays de Barbares?
on y meurt faute d’vn baiſer.	on y meurt faute d'une baiser.
Ce paſſant qui penſoit s’eſtre eſgaré, me redreſſe moy-meſme en m’interrompant;	Ce passant qui pensait s'être égaré, me redresse moi-même en m'interrompant;
car ie me perdois dans les plaintes:	car personne me perdais dans les plaintes:
voicy le vray diſcours que ie deuois tenir.	voici le vrai discours que ie devais tenir.
N’ay-ie point eſté dans l’excez, ou dans le deffaut, lors que i’auois l’honneur d’entretenir Vranie?	N'ai-je point été dans l'excès, ou dans le défaut, lors que j'avais l'honneur d'entretenir Vranie?
n’aura-elle point trouué à redire en mes propos, ou à mes actions?	n'aura-elle point trouvé à redire en mes propos, ou à mes actions?
Quoy qu’il en ſoit, haſtons ce coup que i’ay trop differé;	Quoi qu'il en soit, hâtons ce coup que j'ai trop différé;
ſi ie luy ay dépleu, mourons pour luy ſatisfaire;	si ici lui ai déplu, mourons pour lui satisfaire;
& ſi cela n’eſt pas, mourons de peur de faillir.	et si cela n'est pas, mourons de peur de faillir.
Partant éloignez-vous de moy, faux ſoubçons, qui ne vous plaiſez qu’à produire des reproches;	Partant éloignez-vous de moi, faux soubçons, qui ne vous plaisez qu'à produire des reproches;
ie iuſtifie de bon cœur ce que i’auois accuſé.	Ne justifie de bon cœur ce que j'avais accusé.
Amour eſt vn enfant, ſes plus beaux traicts ſont enfantins, comment le meurtre auroit-il lieu, où il n’y en a point pour la malice?	Amour est un enfant, ses plus beaux traits sont enfantins, comment le meurtre aurait-il lieu, où il n'y en a point pour la malice?
Pardonnez-moy, charmans appas, d’auoir dit que vous m’auiez perdu, c’eſtoit vous comparer à Licas & Sciron, changez en eſcueils;	Pardonnez-moi, charmant appas, d'avoir dit que vous m'aviez perdu, c'était vous comparer à Licas et Sciron, changez en écueils;
c’eſtoit peindre des monſtres ſur vn beau viſage.	c'était peindre des monstres sur un beau visage.
Et poſé que ma ruine vint des attraits de ma maiſtreſſe, il ne feroit en cela autre peché que celuy que font les Aſtres quand ils rendent mal-heureux.	Et posé que ma ruine vint des attraits de ma maîtresse, il ne ferait en cela autre péché que celui que font les Astres quand ils rendent malheureux.
Ie me contente de mon ſort, puis qu’elle en ordonne;	Je me contente de mon sort, puis qu'elle en ordonne;
ma conſtance me plaiſt comme ſon ouurage, & ma derniere heure oblige à cauſe qu’elle me porte l’ex.	ma constance me plaît comme son ouvrage, et ma dernière heure oblige à cause qu'elle me porte l'ex.
preſſe declaration de ſa volonté.	presse déclaration de sa volonté.
C’eſt bien plus, ie ne voudrois pas auoir eſté plus heureux, ſi pour cela il euſt fallu qu’elle euſt eſté moins chaſte.	C'est bien plus, Madame ne voudrais pas avoir été plus heureux, si pour cela il eût fallu qu'elle eût été moins chaste.
Grands Dieux qui metamorphoſez les miſerables Amans, diſpoſez maintenant de moy, que voulez-vous que ie deuienne?	Grands Dieux qui métamorphosez les misérables Amants, disposez maintenant de moi, que voulez-vous que ie deuienne?
ie n’ignore pas le rang qui m’eſt deu là haut au Ciel auec mes anceſtres:	Ce n'ignore pas le rang qui m'est dev là haut au Ciel avec mes ancêtres:
mais puis qu’Vranie eſt ſur la terre, ie quitte le rang des Aſtres pour celuy des Fleurs;	mais puis qu'Unanie est sur la terre, on quitte le rang des Astres pour celui des Fleurs;
apres mon changement ie me tourneray touſiours deuers elle, elle me permettra bien ce que le Soleil permet à Clitie qu’il hait, poſſible qu’elle ſe contentera de m’auoir foulé aux pieds durant cette vie;	après mon changement hommes me tournerai toujours devers elle, elle me permettra bien ce que le Soleil permet à Clitie qu'il hait, possible qu'elle se contentera de m'avoir foulé aux pieds durant cette vie;
toutefois ſi elle s’obſtine a me continuer ce meſpris, vous ſçauez que i’ay veſcu plein d’eſpines, oſtez-les moy, de peur qu’en marchant elle ne vint à ſe picquer.	toutefois si elle s'obstine a me continuer ce mépris, vous savez que j'ai vécu plein d'épines, ôtés-les moi, de peur qu'en marchant elle ne vint à se piquer.
Et toy, mon vnique ſecours en mes afflictions, cher preſent de Licandre, va, va prendre le lieu d’Vranie, entre là dedans, ne crains point de m’offencer, tu y feras le plus doux coup qui y fut iamais receu.	Et toi, mon unique secours en mes afflictions, cher présent de Licandre, va, va prendre le lieu d'Unie, entre là -dedans, ne crains point de m'offenser, tu y feras le plus doux coup qui y fut jamais reçu.
Qu'eſt-ce à dire, tu trembles?	Qu'est-ce à dire, tu trembles?
& tu rends mon bras timide, au lieũ que mon cœur deuoit te rendre courageux.	et tu rends mon bras timide, au lieũ que mon cœur devait te rendre courageux.
Quoy?	Quoi?
coue couiije, cout loncie, eodtine manque	coue couije, coût loncie, eodtine manque
SCENE CINQVIESME.	SCÈNE CINQUIÈME.
PHILIS, PHILIDOR, ET VRANIE.	PHILIS, PHILIDOR, ET VRANIE.
HILIS, Thirſis eſt tombéà la Yrenuerſe.	HILIS, Thyris est tombéà la Yrenuerse.
206 ACTE CINQVIESME.	206 ACTE CINVIESME.
PHILIDOR, Il ne ſoûpire plus.	PHILIDOR, Il ne soupire plus.
VRANIE, Il ne ſoûpire plus, helas!	VRANIE, Il ne soupire plus, hélas!
tu ne pouuois mieux dire qu’il n’eſt plus en vie:	tu ne pouvais mieux dire qu'il n'est plus en vie:
Thirſis, mon cher Thirſis, ha!	Tir, mon cher Tircis, ha!
ie le declare trop tard;	ie Le déclare trop tard;
ie t’en prie à deux genoux, ou reſponds, ou regarde:	Ne t'en prie à deux genoux, ou réponds, ou regarde:
ſi tu me haïs, tourne viſage à ton ennemy:	si tu me haïs, tourne visage à ton ennemi:
& ſi tu m’aimes encore, eſcoute ma proteſtation, tu me donnerois la vie ſi tu te la voulois rendre.	et si tu m'aimes encore, écoute ma protestation, tu me donnerais la vie si tu te la voulais rendre.
Hé!	Hé!
qu’il eſt faux ce qu’on dit, qu’vn corps mort iette du ſang deuant ſon meurtrier, puis que le tien ne coule point, & que ie ſuis en ta preſence.	qu'il est faux ce qu'on dit, qu'un corps mort jette du sang devant son meurtrier, puis que le tien ne coule point, et que je suis en ta présence.
Thirſis, tu ne reſponds ny ne regarde, c’eſt en haine de moy, c’eſt par vengeance:	Thyris, tu ne réponds ni ne regarde, c'est en haine de moi, c'est par vengeance:
mais quel plaiſir reçois-tu a te venger ſans le voir?	mais quel plaisir reçois-tu a te venger sans le voir?
au moins ouure les yeux pour te ſatisfaire du ſpectacle de mon chaſtiment, où eſt ce couſteau qui deuoit prendre le lieu d’Vranie, tu l’as fait mõ Lieutenat;	au moins ouvre les yeux pour te satisfaire du spectacle de mon châtiment, où est ce couteau qui devait prendre le lieu d'Vranie, tu l'as fait m Lieutenat;
i’accroiſtray ſa qualité, il ſera mon ſucceſſeur.	j'accroîtrai sa qualité, il sera mon successeur.
SCENE SIXIESME.	SCÈNE SIXIÈME.
VRANIE, LICANDRE, HELENOR, AMARILLE, ARISTEE, YOLE', PHAON, CIBELLE, DRIOPE, SIREINE, ARONTE.	VRANIE, LICANDRE, HÉLENOR, AMARILLE, ARISTE, YOLÉTE, PHAN, CYBELE, DRIOPE, SIREINE, ARONTE.
Y RANIE, Licandre, fais nous reuidre limlis & illoy, où vous, Amys, faites nous enterrer enſemble.	Y RANIE, Licandre, fais nous reuidre limlis et illoi, où vous, Amis, faites nous enterrer ensemble.
