TIISCIIDVII COMEDIE.	TIISCIIDVI COMÉDIE.
Au moins, Meſſieurs vos gens me l’aſſeurerent ainſi, Et i’ay, pour vous trouver, pris l’heure que voicy.	Au moins, Messieurs vos gens me l'assurèrent ainsi, Et j'ai, pour vous trouver, pris l'heure que voici.
Ducortit te vn grand heur, dõt le deſtin m’honore;	Ducortit te un grand heur, dont le destin m'honore;
Car deux momens plus tard, ie vous manquois encolc.	Car deux moments plus tard, je vous manquais encolc.
ERASTE.	ERASTE.
Monſieur, ſouhaittez-vous quelque choſe de moy?	Monsieur, souhaitez-vous quelque chose de moi?
CARITIDES.	CARITIDES.
Ie m’acquitte, Monſieur, de ce que ie vous doy;	Je m'acquitte, Monsieur, de ce que je vous dois;
Et vous viens.	Et vous viens.
Excuſez l’audace, qui m’inſpire, Si.	Excusez l'audace, qui m'inspire, Si.
ERASTE.	ERASTE.
Sans tant de façons, qu’avez-vous à me dire?	Sans tant de façons, qu'avez-vous à me dire?
ERAS	ERAS
CARITIDES.	CARITIDES.
Comme le rang, l’eſprit, la generoſité, Que chacun vante en vous.	Comme le rang, l'esprit, la générosité, Que chacun vante en vous.
ERASTE.	ERASTE.
Paſſons, Monſieur.	Passons, Monsieur.
Oüy, ie ſuis fort vanté,	Oui, Seigneur suis fort vanté,
CARITIDES.	CARITIDES.
Monſieur, c’eſt vne peine extrême, Lors qu’il faut à quelqu’vn ſe produire ſoymeſme, Et toûjours près des Grands on doit eſtre introduit, Par des gẽs qui de nous faſſent vn peu de bruit;	Monsieur, c'est une peine extrême, Lors qu'il faut à quelqu'un se produire soymesme, Et toujours près des Grands on doit être introduit, Par des gents qui de nous fassent un peu de bruit;
Dont la bouche écoutée avecque poids debite, de qui peut lund tomiiuitle pammerite:	Dont la bouche écoutée avec poids debite, de qui peut lund tomiuitle pammerite:
Enfin i’aurois voulu que des gens bien inſtruits, Vous euſſent pû, Monſieur, dire ce que ie ſuis.	Enfin j'aurais voulu que des gens bien instruits, Vous eussent pu, Monsieur, dire ce que ie suis.
ERASTE.	ERASTE.
Ie vois aſſez, Monſieur, ce que vous pouvez eſtre, Et voſtre ſeul abord le peut faire connoiſtre.	Je vois assez, Monsieur, ce que vous pouvez être, Et votre seul abord le peut faire connaître.
CARITIDES.	CARITIDES.
Oüy, ie ſuis vn ſçavant charmé de vos vertus, Non pas de ces ſçavans dont le nom n’eſt qu’en vs.	Oui, Seigneur suis un suavant charmé de vos vertus, Non pas de ces Savants dont le nom n'est qu'en us.
Il n’eſt rien ſi commun qu’vn nom à la Latine.	Il n'est rien si commun qu'vn nom à la Latine.
Ceux qu’on habille en Grec ont bien meilleure mine;	Ceux qu'on habille en Grec ont bien meilleure mine;
Et pour en avoir vn qui ſe termine en es, Ie me fais appeller Monfieur Caritides.	Et pour en avoir un qui se termine en es, Je me fais appeler Monfieur Caritides.
ERASTE.	ERASTE.
Monſieur Caritides ſoit, qu’avez-vous à dire?	Monsieur Caritides soit, qu'avez-vous à dire?
CARITIDES.	CARITIDES.
C’eſt vn Placet, Monſieur, que ie voudrois vous lire;	C'est un Placet, Monsieur, que je voudrais vous lire;
Et que dans la poſture, où vous met voſtre employ, l’oſe vous conjurer de preſenter au Roy.	Et que dans la posture, où vous met votre emploi, l'ose vous conjurer de présenter au Roi.
ERASTE.	ERASTE.
Hé!	Hé!
Monſieur, vous pouvez le preſenter vousmeſme.	Monsieur, vous pouvez le présenter vousmesme.
CARITIDES.	CARITIDES.
Il eſt vray que le Roy fait cette grace extrême;	Il est vrai que le Roi fait cette grâce extrême;
Mais par ce meſme excez de ſes rares bontez, Tant de méchans Placets, Monſieur, ſont preſentez, Qu’ils étouffent les bons;	Mais par ce même excès de ses rares bontés, Tant de méchants Placets, Monsieur, sont présentés, Qu'ils étouffent les bons;
& l’eſpoir où ie tonde 3 Eſt qu’on donne le mien, quand le Prince eſt ſans monde.	et l'espoir où on tonde 3 Est qu'on donne le mien, quand le Prince est sans monde.
ERASTE.	ERASTE.
Et bien, vous le pouvez, & prendre voſtre temps.	Et bien, vous le pouvez, et prendre votre temps.
CARITIDES.	CARITIDES.
Ah!	Ah!
Monſieur, les Huiſſiers ſont de terribles gens;	Monsieur, les Huissiers sont de terribles gens;
2 Ils traittent les Sçavans de faquins à naſardes, Et ie n’en puis venir qu’à la Salle des Gardes.	2 Ils traitent les Savants de faquins à nasardes, Et notre n'en puis venir qu'à la Salle des Gardes.
Les mauuais traitemens qu’il me faut endurer, Pout iamais de la Cour me feroient retirer, Si ie n’avois conceu l’eſperance certaine, Qu’auples de loitie Roy vous lelez mon Mecene.	Les mauvais traitements qu'il me faut endurer, Pout jamais de la Cour me feraient retirer, Si grande n'avais conçu l'espérance certaine, Qu'auples de laitie Roi vous lelez mon Mécène.
Ouy, voſtre credit m’eſt vn moyen aſſeuré.	Oui, votre crédit m'est un moyen assuré.
ERASTE.	ERASTE.
Et bien, donnez-moy donc, ie le preſenteray.	Et bien, donnez-moi donc, je le présenterai.
CARITIDES.	CARITIDES.
Le voicy;	Le voici;
mais au moins oyez-en la lecture.	mais au moins oyez-en la lecture.
ERASTE.	ERASTE.
CARITIDES.	CARITIDES.
C’eſt pour eſtre inſtruit, Monſieur, ie vous conjure.	C'est pour être instruit, Monsieur, je vous conjure.
A V IRE, ROY	À V RE, ROY
Voſtre tres-humble, tres-obeïſſant, tresfidelle, & tres-ſcavant ſubjet & ſerviteur Caritides, Francois de Nation, Grec de Profeſſion;	Votre très-humble, très-obeïssant, tresfidelle, et très-scavant sujet et serviteur Caritides, Francais de Nation, Grec de Profession;
Ayant conſideré les grands & notables abus qui ſe commettent aux inſcriptions des enſeignes des Maiſons, Boutiques, Cabarets, Ieux de Boule, & autres lieux de voſtre bonne Ville de Paris;	Ayant considéré les grands et notables abus qui se commettent aux inscriptions des enseignes des Maisons, Boutiques, Cabarets, Jeux de Boule, et autres lieux de votre bonne Ville de Paris;
en ce que certains ignorans Gompoſiteurs deſdites inſcriptions, renverſent, par vne barbare, pernicieuſe & deteſtable Orthographe toute ſorte de ſens & raiſon, ſans aucun égard d’Etimologie, Analogie, Energie, ny Allegorie quelconque;	en ce que certains ignorants Gompositeurs dédites inscriptions, renversent, par une barbare, pernicieuse et détestable Orthographe toute sorte de sens et raison, sans aucun égard d'Etimologie, Analogie, Energie, ni Allégorie quelconque;
au grand ſcandale de la Republique des Lettres, & de la Nation Francoiſe, qui ſe décrie & deshonore par leſdits abus, & fautes groſſieres, envers les Eſtrangers, & notamment envers les Allemans, curieux Lecteurs & Inſpectateurs deſdites inſcriptions.	au grand scandale de la République des Lettres, et de la Nation Francoise, qui se décrie et deshonore par lesdits abus, et fautes grossières, envers les Étrangers, et notamment envers les Allemands, curieux Lecteurs et Inspecteurs dédites inscriptions.
ERMISIE Ce Placet eſt fort long, & pourroit bien fâcher.	ERMISIE Ce Placet est fort long, et pourrait bien fâcher.
CARTTIDES.	CARTIDES.
Ah!	Ah!
Monſieur, pas vn mot ne s’en peut retrancher.	Monsieur, pas un mot ne s'en peut retrancher.
ERASTE.	ERASTE.
Achevez promptement.	Achevez promptement.
CARITIDES continuë.	CARITIDES continue,
Supplie humblement Voſtre Majeſté de créer, pour le bien de ſon Eſtat, & la gloire de ſon Empire, vne Charge de Controlleur, Intendant, Correcteur, Reviſeur & Reſtaurateur general deſdites inſcriptions;	Supplie humblement Votre Majesté de créer, pour le bien de son État, et la gloire de son Empire, une Charge de Controlleur, Intendant, Correcteur, Reviseur et Restaurateur général dédites inscriptions;
& d’icelle honbrer ie Onppunm jiunt en conſideration de ſon rare & eminent ſcauoir, ſçavoir, que des grands & ſignalez ſervices qu’il a rendus à l’Eſtat, & à Voſtre Majeſté, en faiſant l’Anagramme de Voſtre-dite Majeſté en François, La tin, Grec, Hebreu, Siriaque, Caldeen, Arabe.	et d'icelle honbrer ainsi Onppunm jiunt en considération de son rare et éminent savoir, Savoir, que des grands et signalés services qu'il a rendus à l'État, et à Votre Majesté, en faisant l'Anagramme de Votre-dite Majesté en Français, La tin, Grec, Hebreu, Siriaque, Caldeén, Arabe.
ERASTE l’interrompant.	ERASTE l'interrompant.
Fort bien:	Fort bien:
donnez le viſte, & faites la retraitte:	donnez le vite, et faites la retraite:
Il ſera veu du Roy, c’eſt vne affaire faite.	Il sera vu du Roi, c'est une affaire faite.
CARITIDES.	CARITIDES.
Helas!	Hélas!
Monſieur, c’eſt tout que montrer mon Placet:	Monsieur, c'est tout que montrer mon Placet:
Si le Roy le peut voir, ie ſuis ſeur de mon fait:	Si le Roi le peut voir, je suis sûr de mon fait:
Car comme ſa iuſtice en toute choſe eſt grande, Il ne pourra iamais refuſer ma demande.	Car comme sa justice en toute chose est grande, Il ne pourra jamais refuser ma demande.
Au reſte, pour porter au Ciel voſtre renom, Donnez-moy par eſcrit voſtre nom, & ſurnom, mn teux lanc vu roeme;	Au reste, pour porter au Ciel vôtre renom, Donnez-moi par écrit notre nom, et surnom, mn teux lanc vu roème;
en tome d’Acroſtiche, Dans les deux bouts du Vers, & dans chaque hemiſtiche.	en tome d'Acrostiche, Dans les deux bouts du Vers, et dans chaque hémistiche.
ERASTE.	ERASTE.
Ouy, vous l’aurez demain, Monſieur Caritides, Ma foy, de tels ſçavants ſont des aſnes bien faits:	Oui, vous l'aurez demain, Monsieur Caritides, Ma foi, de tels sçavants sont des ânes bien faits:
I’aurois dans d’autres temps bien ry de ſa ſottiſe.	J'aurais dans d'autres temps bien ri de sa sottise.
SCENE III.	SCÈNE III.
Cle MAvjL.	Cle MAvjL.
ORMIN.	ORMIN.
Ien qu’vne grande affaire en ce lieu me 1 conduiſe, I’ay voulu qu’il ſortiſt, avant que vous parler.	Jen qu'une grande affaire en ce lieu me 1 conduise, J'ai voulu qu'il sortît, avant que vous parler.
Alalle l u Fort bien;	Alale l u Fort bien;
mais depêchons, car ie veux m’en aller.	mais dépêchons, car ainsi veux m'en aller.
ORMIN.	ORMIN.
Ie me doute à peu près, que l’homme qui vous quitte, Vous a fort ennuyé, Monſieur, par ſa viſite.	Je me doute à peu près, que l'homme qui vous quitte, Vous a fort ennuyé, Monsieur, par sa visite.
C’eſt vn vieux importun, qui n’a pas l’eſprit ſain, Et pour qui i’ay toûjours quelque defaite en main.	C'est un vieux importun, qui n'a pas l'esprit sain, Et pour qui j'ai toujours quelque défaite en main.
Au Mail, à Luxembourg, & dans les Tuilleries, Il fatigue le monde, avec ſes rêveries:	Au Mail, à Luxembourg, et dans les Tuilleries, Il fatigue le monde, avec ses rêveries:
Et des gens comme vous doivent fuïr l’entretien De tous ces ſçavans-la, qui ne ſont bons à rien.	Et des gens comme vous doivent fuir l'entretien De tous ces sçavans-la, qui ne sont bons à rien.
2 Pour moy, ie ne crains pas que ie vous importune, Puis que ie viens, Monſiear, faire voſtre fortune.	2 Pour moi, Madame ne crains pas que je vous importune, Puis que tu viens, Monsieur, faire votre fortune.
ERASTE.	ERASTE.
ERASTE.	ERASTE.
Voicy quelque ſoufleur de ces gens qui n’ont rien, Et vous viennent toûjours promettre tant de bien.	Voici quelque souleur de ces gens qui n'ont rien, Et vous viennent toujours promettre tant de bien.
Vous avez fait, Monſieur cette benite pierre, Qur pene, feule, enttenn tous ſo rejs de la terre.	Vous avez fait, Monsieur cette bénite pierre, Qur pene, feule, enttenn tous so rejs de la terre.
ORMIN.	ORMIN.
La plaiſante penſée, helas, où vous voilà!	La plaisante pensée, hélas, où vous voilà!
Dieu me garde, Monſieur, d’eſtre de ces fouxlà.	Dieu me garde, Monsieur, d'être de ces fouxlà.
Ie ne me repais point de viſions frivoles, Et ie vous porte icy les ſolides paroles.	Je ne me repais point de visions frivoles, Et ie Vous porte ici les solides paroles.
D’vn avis que pour vous ie veux donner au Roy;	D'un avis que pour vous ieveux donner au Roi;
Et que tout cacheté ie conſerve ſur moy.	Et que tout cacheté ici conserve sur moi.
Non de ces ſots projets, de ces chimeres vaines, Dont les Sur-intendans ont les oreilles pleines;	Non de ces sots projets, de ces chimères vaines, Dont les Sur-intendans ont les oreilles pleines;
Non de ces gueux d’avis, dont les pretentions Ne parlent que de vingt ou trente millions:	Non de ces gueux d'avis, dont les prétentions Ne parlent que de vingt ou trente millions:
Mais vn, qui tous les ans, à ſi peu qu’on le monte, En peut donner au Roy quatre cent, de bon conte:	Mais un, qui tous les ans, à si peu qu'on le monte, En peut donner au Roi quatre cent, de bon conte:
Avec facilité, ſans riſque, ny ſoupçon, Et lans louier le peuple en aucune Iaçon.	Avec facilité, sans risque, ni soupçon, Et lans ouier le peuple en aucune Iaçon.
Enfin c’eſt vn advis d’vn gain inconcevable, Et que du premier mot on trouvera faiſable.	Enfin c'est un advis d'un gain inconcevable, Et que du premier mot on trouvera faisable.
Oüy, pourveu que par vous ie puiſſe eſtre pouſſé.	Oui, pourvu que par vous Seigneur puisse être poussé.
talalaraa	talalaraa
ERASTE.	ERASTE.
Soit, nous en parlerons, ie ſuis vn peu preſſé.	Soit, nous en parlerons, je suis un peu pressé.
E	E
ORMIN.	ORMIN.
Si vous me promettiez de garder le ſilence, Ie vous decouvrirois cet avis d’importance.	Si vous me promettiez de garder le silence, Je vous découvrirais cet avis d'importance.
ERASTE.	ERASTE.
Non, non, ie ne veux point ſçavoir voſtre ſecret.	Non, non, Madame ne veux point savoir rendre secret.
ORMIN.	ORMIN.
Monſieur, pour le trahir, ie vous croy trop diſcret, Et veux, avec franchiſe, en deux mots vous l’apprendre, Il faut voir ſi quelqu’vn ne peut point nous entendre.	Monsieur, pour le trahir, je vous crois trop discret, Et veux, avec franchise, en deux mots vous l'apprendre, Il faut voir si quelqu'un ne peut point nous entendre.
Cét avis merveilleux dont ie ſuis l’inventeur, Elt que .	Cet avis merveilleux dont ici suis l'inventeur, Elt que .
ERASTE.	ERASTE.
D’vn peu plus loin, & pour cauſe, Monſieur.	D'un peu plus loin, et pour cause, Monsieur.
ORMIN.	ORMIN.
Vous voyez le grand gain, ſans qu’il faille le dire, Que de ces ports de Mer le Roy tous les ans tire.	Vous voyez le grand gain, sans qu'il faille le dire, Que de ces ports de Mer le Roi tous les ans tire.
Or l’avis dont encor nul ne s’eſt aviſé, Eſt qu’il faut de la France, & c’eſt vn coup aiſé, En fameux ports de Mer mettre toutes les coſtes.	Or l'avis dont encor nul ne s'est avisé, Est qu'il faut de la France, et c'est un coup aisé, En fameux ports de Mer mettre toutes les côtes.
Ce ſeroit pour monter à de ſommes tres-hautes.	Ce serait pour monter à de sommes très-hautes.
Et ſi.	Et si.
ERASTE.	ERASTE.
L’avis eſt bon, & plaira fort au Roy.	L'avis est bon, et plaira fort au Roi.
Adieu, nous nous verrons.	Adieu, nous nous verrons.
ORMIN.	ORMIN.
Au moins appuyez-moy, Pour Pour en avoir ouvert les premieres paroles.	Au moins appuyez-moi, Pour Pour en avoir ouvert les premières paroles.
Oüy, oüy.	Oui, oui.
ERASTE.	ERASTE.
ORMIN.	ORMIN.
Si vous vouliez me preſter deux piſtoles, Que vous Ieprendiez lul le urelt de Pavis, Monſieur.	Si vous vouliez me prêter deux pistoles, Que vous Jeprendiez lul le urelt de Pavis, Monsieur.
ERASTE.	ERASTE.
Oüy, volontiers, plût à Dieu qu’à ce prix, De tous les importuns ie puſſe me voir quitte!	Oui, volontiers, plût à Dieu qu'à ce prix, De tous les importuns te pusse me voir quitte!
Voyez quel contretemps prend icy leur viſite!	Voyez quel contretemps prend ici leur visite!
Ie penſe qu’à la fin ie pourray bien ſortir:	Je pense qu'à la fin ie pourrai bien sortir:
viendra-til point quelqu'vn encor me divertir?	viendra-til point quelqu'un encor me divertir?
SCENE IV.	SCÈNE IV.
FILINTE, ERASTE	FILINTE, ERASTE
FILINIE.	FILINIE.
Arquis, ie viens d’apprendre vne étranAVT ge nouvelle.	Arquis, Seigneur viens d'apprendre une étranAVT ge nouvelle.
Quoy?	Quoi?
ERASTE.	ERASTE.
FILINTE.	FILINTE.
Qu’vn homme, tantoſt, t’a fait vne querelle.	Qu'un homme, tantôt, t'a fait une querelle.
A moy?	À moi?
ERASTE.	ERASTE.
FILINTE.	FILINTE.
Que te ſert-il de le dſſimuler?	Que te sert-il de le dssimuler?
Ie ſçay de bonne part qu’on t’a fait appeller;	Je sais de bonne part qu'on t'a fait appeler;
Et comme ton amy, quoy qu’il en réüſſiſſe, Ie te viens contre tous faire offre de ſervice.	Et comme ton ami, quoi qu’il en réussisse, Je te viens contre tous faire offre de service.
ERASTE.	ERASTE.
Ie te ſuis obligé;	Je te suis obligé;
mais croy que tu me fais.	mais crois que tu me fais.
FILINTE.	FILINTE.
Tu ne l’avoûras pas, mais tu ſors ſans valets:	Tu ne l'avouras pas, mais tu sors sans valets:
Demeure dans la ville, ou gagne la campagne, Tu n’iras nulle part que ie ne t’accompagne.	Demeure dans la ville, ou gagne la campagne, Tu n'iras nulle part que ie ne t'accompagne.
ERAJIE.	ERAJIE.
Ah!	Ah!
i’enrage.	j'enrage.
FILINTE.	FILINTE.
A quoy bon de te cacher de moy?	À quoi bon de te cacher de moi?
ERASTE.	ERASTE.
Ie te ſure, Marquis, qu’on s’eſt moqué de toy.	Je te suivre, Marquis, qu'on s'est moqué de toi.
FILINTE.	FILINTE.
En vain tu t’en deffens.	En vain tu t'en défends.
ERASTE.	ERASTE.
Que ie cierme foudroye, Si d’aucun démeſlé.	Que quelque cierme foudroie, Si d'aucun démêlé.
FILINTE.	FILINTE.
Tu penſes qu’on te croye?	Tu penses qu'on te croie?
ERASTE.	ERASTE.
Eh mon Dieu!	Eh mon Dieu!
ie te dis, & ne deguiſe point, Que.	Ne te dis, et ne déguise point, Que.
FILINTE.	FILINTE.
Ne me crois pas dupe, & credule à ce point.	Ne me crois pas dupe, et crédule à ce point.
ERASTE.	ERASTE.
Veux-tu m’obliger?	Veux-tu m'obliger?
FILINTE.	FILINTE.
Non.	Non.
ERASTE.	ERASTE.
Laiſſe-moy, ie te prie.	Laisse-moi, Seigneur te prie.
FILINTE.	FILINTE.
Point d’affaire, Marquis.	Point d'affaire, Marquis.
ERASTE.	ERASTE.
vne galantenle.	une galantenle.
En certain lieu, ce ſoir.	En certain lieu, ce soir.
FILINTE.	FILINTE.
Ie ne te quitte pas:	Je ne te quitte pas:
En quel lieu que ce ſoit, ie veux ſuivre tes pas.	En quel lieu que ce soit, ie veux suivre tes pas.
ERASTE.	ERASTE.
Parbleu, puis que tu veux que i’aye vne querelle, Ie conſens à l’avoir pour contenter ton zele:	Parbleu, puis que tu veux que j'aie une querelle, Je consens à l'avoir pour contenter ton zèle:
Ce ſera contre toy qui me fais enrager, Et dont ie ne me puis par douceur dégager.	Ce sera contre toi qui me fais enrager, Et dont personne ne me puis par douceur dégager.
FILINTE.	FILINTE.
C’eſt fort mal d’vn amy recevoir le ſervice;	C'est fort mal d'un ami recevoir le service;
Mais, puis que ie vous rends vn i mauuais office, Adieu, vuidez ſans moy tout ce que vous aurez.	Mais, puis que je vous rends un jour mauvais office, Adieu, videz sans moi tout ce que vous aurez.
ERASTE.	ERASTE.
Vous ſerez mon amy quand vous me quitterez:	Vous serez mon ami quand vous me quitterez:
Mais voyez quels malheurs ſuivent ma deſtinée!	Mais voyez quels malheurs suivent ma destinée!
Ils m’auront fait paſſer l’heure qu’on m’a donnée.	Ils m'auront fait passer l'heure qu'on m'a donnée.
SCENE V.	SCÈNE V.
DAMIS, L’ESPINE, ERASTE, Mil dely la lens	DAMIS, L'ÉPINE, ERASTE, Mil déli la lents
DAMIS.	DAMIS.
Voy, malgré moy, le traiſtre eſpere l’obtenir?	Vois, malgré moi, le traître espère l'obtenir?
Ah!	Ah!
mon iuſte courroux le ſçaura prévenir.	mon juste courroux le saura prévenir.
ERASTE.	ERASTE.
I’entrevoy la quelqu’vn ſur la porte d’Orphiſe.	J'entrevoi la quelqu'un sur la porte d'Orphise.
Quoy, toûjours quelque obſtacle aux feux qu’elle authoriſe!	Quoi, toujours quelque obstacle aux feux qu'elle autorise!
DAMIS.	DAMIS.
Oüy, i’ay ſceu que ma Niece en dépit de mes ſoins, Doit voir ce ſoir chez elle Eraſte ſans témoins.	Oui, j'ai su que ma Nièce en dépit de mes soins, Doit voir ce soir chez elle Éraste sans témoins.
LA RIVIERE.	LA RIVIERE.
Qu’entens-je à ces gens-là dire de noſtre Maiſtre?	Qu'entends-je à ces gens-là dire de notre Maître?
Approchons doucement ſans nous faire connoiſtre.	Approchons doucement sans nous faire connaître.
DAMIS.	DAMIS.
Mais avant qu’il ait lieu d’achever ſon deſſein, Il faut de mille coups percer ſon traiſtre ſein.	Mais avant qu'il ait lieu d'achever son dessein, Il faut de mille coups percer son traître sein.
Va-t’en faire venir ceux que le viens de uire, Pour les mettre en embûche aux lieux que ie deſire;	Va-t-en faire venir ceux que le viens de uire, Pour les mettre en embûche aux lieux que ie desire;
Afin, qu’au nom d’Eraſte, on ſoit preſt à vanger Mon honneur, que ſes feux ont l’orgueil d’outrager;	Afin, qu'au nom d'Eraste, on soit prêt à venger Mon honneur, que ses feux ont l'orgueil d'outrager;
A rompre vn rendez-vous, qui dans ce lieu l’appelle, Et noyer dans ſon ſang ſa flamme criminelle.	A rompre un rendez-vous, qui dans ce lieu l'appelle, Et noyer dans son sang sa flamme criminelle.
LA RIVIERE l’attaquant avec ſes Compagnons.	LA RIVIÈRE l'attaquant avec ses Compagnons.
Avant qu'a tes rarouis on puulo dimmoler, Traiſtre, tu trouveras en nous à qui parler.	Avant qu'à tes rarouis on puulo dimmoler, Traître, tu trouveras en nous à qui parler.
ERASTE mettant l’épée à la main.	ERASTE mettant l'épée à la main.
Bien qu’il m’ait voulu perdre, vn point d’honneur me preſſe.	Bien qu'il m'ait voulu perdre, un point d'honneur me presse.
De ſecourir icy l’Oncle de ma Maiſtreſſe:	De secourir ici l'Oncle de ma Maîtresse:
Ie ſuis à vous, Monſieur.	Je suis à vous, Monsieur.
DAMIS apres leur fuite.	DAMIS après leur fuite.
O Ciel, par quel ſecours, Divn trepas aneure vois je lauver mes iours !	Ô Ciel, par quel secours, Divern trépas aneure vois je lauver mes jours !
A qui ſuis-je obligé d’vn ſi rare ſervice?	À qui suis-je obligé d'une si rare service?
ERASTE.	ERASTE.
Ie n’ay fait, vous ſervant qu’vn acte de iuſtice.	Je n'ai fait, vous servant qu'un acte de justice.
DAMIS.	DAMIS.
Ciel!	Ciel!
puis-je à mon oreille ajouſter quelque ?	puis-je à mon oreille ajouter quelque ?
Eſt-ce la main d’Eraſte.	Est-ce la main d'Éraste.
ERASTE.	ERASTE.
Ouy, ouy, Monſieur, c’eſt moy.	Oui, oui, Monsieur, c'est moi.
Trop heureux, que ma main vous ait tiré de peine, Trop malheureux d’avoir merité voſtre haine.	Trop heureux, que ma main vous ait tiré de peine, Trop malheureux d'avoir mérité votre haine.
DAMIS.	DAMIS.
DAMIS.	DAMIS.
Quoy, celuy, dont i’avois reſolu le trêpas, Eſt celuy, qui pour moy vient d’employer ſon bras?	Quoi, celui, dont j'avais résolu le trépas, Est celui, qui pour moi vient d'employer son bras?
Ah!	Ah!
c’en eſt trop, mon cœur eſt contraint de ſe rendre;	c'en est trop, mon cœur est contraint de se rendre;
Et quoy que voſtre amour ce ſoir ait pû pretendre, Ce trait ſi ſurprenant de generoſité Doit étouffer en moy toute animoſité.	Et quoi que votre amour ce soir ait pu prétendre, Ce trait si surprenant de générosité Doit étouffer en moi toute animosité.
Ie rougis de ma faute, & blâme mon caprice, Ma haine trop long-temps vous a fait iniuſtice;	Je rougis de ma faute, et blâme mon caprice, Ma haine trop longtemps vous a fait injustice;
Et pour la condamner par vn eclat rameux, Ie vous joins, dés ce ſoir, à l’objet de vos vœux	Et pour la condamner par un éclat rameux, Je vous joins, dès ce soir, à l'objet de vos vœux
SCENEVI.	SCENEVI.
ORPHISE, DAMIS, ERASTE, ſuitte.	ORPHISE, DAMIS, ERASTE, suitte.
ORPHISE venant avec vn flambeau d’argent à la main.	ORPHISE venant avec un flambeau d'argent à la main.
Onſiqur, quelle avanture a d’vn trouble M effroyable.	Onsiqur, quelle aventure a d'un trouble M effroyable.
DAMIS.	DAMIS.
Ma Niece, elle n’a rien que de tres-a greable, Puis qu’après tant de vœux que i’ay blâmez en vous, C’eſt C’eſt elle qui vous donne Eraſte pour Eſpoux.	Ma Nièce, elle n'a rien que de très-a gréable, Puis qu'après tant de vœux que j'ai blamés en vous, C'est C'est elle qui vous donne Es pou Espoux.
Son bras a repouſſé le trêpas, que i’évite;	Son bras a repoussé le trépas, que j'évite;
Et ie veux, envers luy, que voſtre main m’acquitte.	Et ie veux, envers Seigneur, que votre main m'acquitte.
ORPHISE.	ORPHISE.
ore eu pouriuy payer ce que vous luy devez, I’y cõſens, de vant tout aux iours qu’il a ſauvez.	ore eu pourjui payer ce que vous lui devez, J'y cõsens, de vant tout aux jours qu'il a sauvez.
ERASTE.	ERASTE.
Mon cœur eſt ſi ſurpris d’vne telſe merveille, Qu’en ce raviſſement, ie doute ſi ie veille.	Mon cœur est si surpris d'une telse merveille, Qu'en ce ravissement, toujours doute si grande veille.
DAMIS.	DAMIS.
Celebrons l’heureux ſort, dont vous allez joüir;	Célébrons l'heureux sort, dont vous allez jouir;
Et que nos violons viennent nous réjouïr.	Et que nos violons viennent nous réjouir.
Comme les violons veulent jouër, on frappe fort à la porte.	Comme les violons veulent jouer, on frappe fort à la porte.
ERASTE.	ERASTE.
Qui frappe là ſi fort?	Qui frappe là si fort?
L’ESPINE.	L'ÉPINE.
Monſieur, ce ſont des Maſques, Qui portent des crin-crins, & des tambours de Baſques.	Monsieur, ce sont des Masques, Qui portent des crin-crins, et des tambours de Basques.
Les Maſques entrent, qui occupent toute la place.	Les Masques entrent, qui occupent toute la place.
ERASTE.	ERASTE.
Quoy, toûjours des Fâcheux?	Quoi, toujours des Fâcheux?
hola, suiſſes icy:	holà, suisses ici:
Qu’on me faſſe ſortir ces gredins que voicy.	Qu'on me fasse sortir ces gredins que voici.
FIN.	FIN.
BALLET En truiſlenn ddcie.	BALLET En trislenn ddcie.
PREMIERE ENTRE’E, Es Suiſſes avec des halebardes chaſ ſent tous les Maſques Faſcheux, & ſe retirent en ſuite pour laiſſer danſer à leur aiſe.	PREMIÈRE ENTRE, Es Suisses avec des halebardes chas sent tous les Masques Fâcheux, et se retirent en suite pour laisser dans leur aise.
DERNIERE ENTREE.	DERNIÈRE ENTRE.
Quatre Bergers, & vne Bergere, qui au ſentiment de tous ceux qui l’ont veuë, ferme le divertiſſement d’aſſez honne grace	Quatre Bergers, et une Bergère, qui au sentiment de tous ceux qui l'ont vue, ferme le divertissement d'assez honne grâce
France	France
