TIMOCLEE, Y5707.	TIMOCLE, Y570.
Ce n’eſt pas ce lieu-cy qui doit étre ſanglant, Il faut porter ailleurs vn coup plus violent;	Ce n'est pas ce lieu-cy qui doit être sanglant, Il faut porter ailleurs un coup plus violent;
Et de peur que nos faits ne reçoiuẽt quelque ombre, Il ne faut point qu’ils ſoiẽt à couuert ſons le nõbre.	Et de peur que nos faits ne reçoivent quelque ombre, Il ne faut point qu'ils soient à couvert sons le nombre.
Nous les ferons briller dans ces Etats puiſſans Qui gardent contre nous l’or, le fer, & l’encens:	Nous les ferons briller dans ces États puissants Qui gardent contre nous l'or, le fer, et l'encens:
Mais ie n’aperçois pas que cette grande Ville Etant priſe d’aſſaut, ne peut étre tranquille, Et que ſes habitans à perir obſtinez Sentent encor ſur eux nos ſoldats acharnez.	Mais ici n'aperçois pas que cette grande Ville Étant prise d'assaut, ne peut être tranquille, Et que ses habitants à périr obstinez Sent encor sur eux nos soldats acharnés.
Allez faire au plútot, que le deſordre ceſſe.	Allez faire au plútot, que le désordre cesse.
AMINTE.	AMINTE.
Combien doy-ie admirer cette extréme ſageſſe?	Combien dois-je admirer cette extrême sagesse?
Ce courage heroique, & ces hauts ſentimens Qui me font receu oir ces doux commandemens:	Ce courage héroïque, et ces hauts sentiments Qui me font recevoir ces doux commandements:
Mais il faut pour hater vne affaire qui preſſe, Que votre authonté, Seigneut, y ſoit expreſſe, Et qu’on faſſs auſſi-tót ſçauoir aux Officiers Qu’ils ſauuent les Palais & les Dieux des foyers.	Mais il faut pour hâter une affaire qui presse, Que votre authonté, Seigneut, y soit expresse, Et qu'on fasss aussi-même sçauoir aux Officiers Qu'ils sauvent les Palais et les Dieux des foyers.
ALEXANDRE.	ALEXANDRE.
Déja de peur pour eux ie me ſens l’ame atteinte.	Déjà de peur pour eux -mêmes me sens l'âme atteinte.
Ie veux que deuant moy chacun faſſe ſa plainte, Et qu’on ne faſſe rien de plus injurieux Aux enſans des Heros, qu’aux perſonnes des Dieux	Je veux que devant moi chacun fasse sa plainte, Et qu'on ne fasse rien de plus injurieux Aux ensants des Héros, qu'aux personnes des Dieux
AMINTE.	AMINTE.
D’vn Heros tel que vous ils attendent leur grace, Comme du Protecteur de leur illuſtre race;	D'un Héros tel que vous ils attendent leur grâce, Comme du Protecteur de leur illustre race;
Et quãd vous leur feriez vn traittemẽt moins doux Ce leur ſeroit faueur d’étre vaincus de vous.	Et quand vous leur feriez un traitement moins doux Ce leur serait faveur d'être vaincus de vous.
Rien n’eſt à redouter que pour ces Heroines, pont les ſeules beautez preſagent les ruines, Et qui loin d’emporter l’honneur au monument, Peuuent l’enſeuelir, viuant honteuſement.	Rien n'est à redouter que pour ces Héroines, pont les seules beautés présagent les ruines, Et qui loin d'emporter l'honneur au monument, Peuvent l'enseulir, vivant honteusement.
C’eſt ſur toutes, Seigneur, cette belle ennemie.	C'est sur toutes, Seigneur, cette belle ennemie.
Qui nous penſoit ôter & l’honneur & la vie, nont ie crains le forfait par trop puny des Dieux En la perte d’vn bien plus que tous precieux.	Qui nous pensait ôter et l'honneur et la vie, nont ie crains le forfait par trop puni des Dieux En la perte d'un bien plus que tous précieux.
Cet honneur ſi parfait, cette beauté ſi grande, al quimeme lunai dtoujours lit onande, Courent icy danger, par vn reuers fatal, D’étre l’objet des feux de quelque homme brutal Qui ſçauroit le logis.	Cet honneur si parfait, cette beauté si grande, al quimeme lunay doujours lit onande, Courent ici danger, par un revers fatal, D'être l'objet des feux de quelque homme brutal Qui saurait le logis.
ALEXANDRE.	ALEXANDRE.
Allez ſans plus attandre, Du moindre priſonnier vous le pourez aprandre, Le Sexe de ſon rang veut vn ſort plus humain, que des hommes vaincus les armes a la main.	Allez sans plus attandre, Du moindre prisonnier vous le pourrez apprandre, Le Sexe de son rang veut un sort plus humain, que des hommes vaincus les armes a la main.
Mais voyons cependant a tout ce qui ſe paſſe.	Mais voyons cependant à tout ce qui se passe.
SCENE III.	SCÈNE III.
TIIENIA, DOVLON.	TIIENIA, DOULON.
DOVLON.	DOULON.
Voy, dans cette priſon ce cœur déja ſe laſſe?	Vois, dans cette prison ce cœur déjà se lasse?
Z Et dans l’autre tantôt, malgré tous vos debats.	Z Et dans l'autre tantôt, malgré tous vos débats.
Et l’injuſte rigueur, vous ne vous laſliez pas?	Et l'injuste rigueur, vous ne vous lasliez pas?
PHENIX.	PHÉNIX.
le n’ay pas, cher poulon, changé de ſeruitude, Et cette piilon cy ne me ſenible point rude:	le n'ai pas, cher poulon, changé de servitude, Et cette piilon cy ne me senible point rude:
Mais le double lien qui me uent enterté A fait que dans ce lieu i’ay ſi fort ſoúpiré.	Mais le double lien qui me ouvent enterté A fait que dans ce lieu j'ai si fort soupiré.
DOVLON.	DOULON.
Ceux-cy ſont neãtmoms la plúpait de vos plaintes Et vous ſentiez tantós de bien foibles atteintes, Puis que vôtre conſtance alioit preſque à l’excés, ft que vous ſuccombez à preſent ſous le ſaix:	Ceux-cy sont neãtmoms la plúpait de vos plaintes Et vous sentiez tant de bien faibles atteintes, Puis que votre constance aliait presque à l'excès, fût que vous succombez à présent sous le saix:
Mais dans l’ante pulon mettons vôtre iſoitune, lleut eſté foit bon de n’étre dars pas vne;	Mais dans l'ante pulon mettons votre isaitune, lut été soit bon de n'être dars pas une;
Celle-cy nous ſuſfit, & l'on a bien faiſon De dire qu’il n’eſt point de charmante puſon.	Celle-cy nous susfit, et l'on a bien saison De dire qu'il n'est point de charmante puson.
le vous auois biendiz que l’on verroit peut éue En vous le nom d’Elelaus auce celuy de Maitre, Et que vous n’autiez pouut d belie qualité Qui mit cutre nous deux de l'uegalité;	le vous avais biendienz que l'on verrait peut ève En vous le nom d'Elelaus auce celui de Maitre, Et que vous n'autiez pouut d belie qualité Qui mit cutre nous deux de l'égalité;
l’en ſerois glorieux, li ce heu deteſtible, Pour flater nos ennuis, auoit nen d’agreable.	l'en serais glorieux, li ce heu testible, Pour flatter nos ennuis, avait nen d'agréable.
Si vous euſliez voulu.	Si vous eusliez voulu.
PHENIX N’acheues pas, tais-toy.	PHÉNIX N'achèves pas, tais-toi.
Tes penſers, ta priſon, ſont au deſlous de moy.	Tes pensers, ta prison, sont au délous de moi.
Crois tu que ie la ſente, ou bien qu’elle m’importe, Me voyant reſerré dedans vne plus ſotte?	Crois -tu que Madame la sente, ou bien qu'elle m'importe, Me voyant réserré dedans une plus sotte?
Que i’en voudrois ſortir auec autre deſſein que d’engager mon cœur en vn aimable ſein, Que de voir le ſujet de mes premieres chaînes, Bien que ie viſſe ainſi renouueller mes peines.	Que j'en voudrais sortir avec autre dessein que d'engager mon cœur en un aimable sein, Que de voir le sujet de mes premières chaînes, Bien que je visse ainsi renouveler mes peines.
Qui ſçauroit le moyen de luy faire ſçauoir Que le captif d’Aminte eſt deſſous ſon pouuoir, Et que malgré ces fers ie n’en reſſens point d’autres que les ſiens.	Qui saurait le moyen de deux faire savoir Que le captif d'Aminte est dessous son pouvoir, Et que malgré ces fers On n'en ressens point d'autres que les siens.
DOVLON.	DOULON.
Elle ſçait qu’elle n’eſt point aux vôtres.	Elle sçait qu'elle n'est point aux vôtres.
Mais elle en ſẽt peut-étre, à ſon plus grãd malheur, qui luy vont boureler & le corps & le cœur.	Mais elle en soient peut-être, à son plus grand malheur, qui tu vont bouler et le corps et le cœur.
PHENIX Quels Demons aſſez noirs, ou quelle ame de fan Auroit oſé ſonger a maltraiter cet Ange?	PHÉNIX Quels Demons assez noirs, ou quelle âme de fan Aurait osé songer a maltraiter cet Ange?
Quoy, ne m’as-tu pas dit.	Quoi, ne m'as-tu pas dit.
DOVLON.	DOULON.
Ouy, lors me diſoit-on, Le Roy veut conſeruer les pamis de renom:	Oui, lors me disait-on, Le Roi veut conserver les pamis de renom:
diaia endr a alali.	diaia endr a lali.
PHENIX.	PHÉNIX.
Voudroit.	Voudrait.
il, ce Monarque.	il, ce Monarque.
Efacer de ſes faits la glotteuſe marque Voudroit il retracter vn ſi iuſte deſſein?	Efacer de ses faits la glotteuse marque Voudrait -il rétracter un si juste dessein?
DOVLON.	DOULON.
Morſieur, ie ne dy pas qu’il y donne la main, neſlus les actions ou ne voit rien à mordre, Mais les ſoidats hautains pouront paſler ſon ordre.	Morsieur, Madame ne dis pas qu'il y donne la main, nêlus les actions ou ne voit rien à mordre, Mais les soidats hautains pourront pasler son ordre.
Et Et i’ay ſçeu d vn Laquais que Timoclée auoit, Et qu’on a pris caprif alors qu’il le ſauuoit, Qu’vn Capitaine Trace étoit logé chez elle, Homme préſomptueux, vchement.	Et Et j'ai su dû avoir Laquais que Timoclée avait, Et qu'on a pris caprif alors qu'il le sauvait, Qu'un Capitaine Trace était logé chez elle, Homme présomptueux, véchement.
infidele, Sans reſpect pour le ſexe, & ſans ciuilité, Et qui la retenoit comme en captiuité.	infidèle, Sans respect pour le sexe, et sans civilité, Et qui la retenait comme en captivité.
Ce valet, vous, & ſioy, n’auons qu’vile demeure.	Ce valet, vous, et si, j'avons qu'une demeure.
Vous l’allez voir, Monſieur.	Vous l'allez voir, Monsieur.
PHENIX.	PHÉNIX.
Ha!	Ha!
veux-tu que ie meure, Entendant ce rapport fatal a mes deſirs, Et le comble en vn mot de tous mes déplaiſirs.	veux-tu que Seigneur meure, Entendant ce rapport fatal a mes désirs, Et le comble en un mot de tous mes déplaisirs.
Ie ne te croy que trop.	Je ne te crois que trop.
Voyons plútot Aminte, Quoy que ie ſois captif, il receura ma plainte;	Voyons plútot Aminte, Quo que sans sois captif, il recevra ma plainte;
L’honneur ineſperé qu’il m’a fait aujourd’huy, M’oblige d’eſperer cette grace de luy.	L'honneur inespéré qu'il m'a fait aujourd'hui, M'oblige d'espérer cette grâce de Seigneur.
Mes plaintes ont d’ailleurs vn ſujet qui merite, ſui aulapidar liulsiMMrulaa.	Mes plaintes ont d'ailleurs un sujet qui mérite, zvi aulapidar liulsiMrula.
SCENE IV.	SCÈNE IV.
PHENIX, PROTHI IE, DOVLON.	PHÉNIX, PROTHI JE, DOULON.
PHENIX E bien Prothite, hé bien, ce genereux projet H Eſt pour nôtre malheur auorté tout a fait.	PHÉNIX E bien Prothite, hé bien, ce généreux projet H Est pour notre malheur auorté tout a fait.
Ha!	Ha!
ie voudrois vous voir tur vn Tróne de marbre Tout couueit de lautiers, & moi come vn grad arbres Redouter voſtre loudre apres nótre grand Roy, Voir la Perſe & la Grece en armes contre moy, Voir tout pour vous ſeruir, & méme cette Belle, Ce ſujet de plaiſirs & de nótre querelle, Ie ſerois p’us heureux, étant plus aſſeuré Quenle ne veiroit nen qu’eiie n’eut dchic	Je voudrais vous voir tur un Traine de marbre Tout couvit de lautiers, et moi come un grad arbres Redouter votre loudre après nôtre grand Roi, Voir la Perse et la Grèce en armes contre moi, Voir tout pour vous servir, et même cette Belle, Ce sujet de plaisirs et de nôtre querelle, Je serais pus heureux, étant plus assuré Quenle ne veirait nenle ne virait n'eut dchic
ROTHITE, Cette belle penſée eſt icy fort vule, Apres que vous auez laiſſé perdre la Ville.	ROTHITE, Cette belle pensée est ici fort veule, Après que vous avez laissé perdre la Ville.
ujy vomonuennurce aux mania des emeniis, Ne voyant point d’eſpoir a vôtre amour permis.	Auji vomonvennurce aux mania des emeniis, Ne voyant point d'espoir à votre amour permis.
HENIX.	HENIX.
Ha!	Ha!
ne m’irrite pas, ie te ferois paraître Malgré tous ces liens, que ie ne ſuis pas traître:	ne m'irrite pas, Seigneur te ferais paraître Malgré tous ces liens, que personne ne suis pas traître:
Tu me dois cramnure encor en ma captiuité, Si ie t’ay fait trembler pendant ma liberté.	Tu me dois cramnure encor en ma captivité, Si tu t'ai fait trembler pendant ma liberté.
L’abord de cett belle a qui tu fais hommage, Ne’fut pas pour ta vie vn petit auantage, Ce ne fut pas pourtant ton plus puiſſant bonheur, Et mourir de ma main t’tút fait bien plus d’hõneur.	L'abord de cet belle a qui tu fais hommage, N'fut pas pour ta vie un petit avantage, Ce ne fut pas pourtant ton plus puissant bonheur, Et mourir de ma main t'tút fait bien plus d'honneur.
Tu n’aurois pas acquis, par vne fuite lache, Ces fers qui ſur ton nom font vne infame tache.	Tu n'aurais pas acquis, par une fuite lache, Ces fers qui sur ton nom font une infâme tache.
Pour moy i’ay des témoins & glorieux & ſeurs, Que ie n’ay ſceu perir en defendant nos murs, Et que mes grands efforts.	Pour moi j'ai des témoins et glorieux et sûrs, Que tu n'ai su périr en défendant nos murs, Et que mes grands efforts.
PROTHITE.	PROTHITE.
Et ma defenſe expreſſe p’abandonner le camp deuant la Fortereſſe, Lors que ie la laiſſay pour t’aller ſecourir.	Et ma défense expresse p'abandonner le camp devant la Forteresse, Lors que sans la laissai pour t'aller secourir.
Eſt vne preuue a tous que ie voulois perit;	Est une preuve a tous que tu voulais périt;
Ou bien que ie câchois dans cette conjoncture De joindre l’artifice auecque la nature, Et d’oppoſer mes gens à ces deux gnnemis, Faifant a ton defaut ce qui t’étoit commis, Lors que notre malheur, qui mon depart retarde, Laiſſe a mrs aſſiegeans vne porte ſans garde, Qui fit que ie fus pais auant que ſeulement Aucun m’eút infotmé de cet éuenement, Voila cette action que tu croyois infame, Mais qui me fait honnpur, & te comble de blâme.	Ou bien que ie câchois dans cette conjoncture De joindre l'artifice apprendre la nature, Et d'opposer mes gens à ces deux génnemis, Faifant à ton défauts ce qui t'était commis, Lors que notre malheur, qui mon départ retarde, Laisse a mrs assiegeans une porte sans garde, Qui fit que je fus pais avant que seulement Aucun m'eút infotmé de cet événement, Voilà cette action que tu croyais infâme, Mais qui me fait honnpur, ette comble de blâme.
PHENIX.	PHÉNIX.
Pouuois-je ſeul garder vn ſi vaſte cireuit, Et voir tous nos rempars en cette obſcure nuit.	Pouvais-je seul garder un si vaste cireuit, Et voir tous nos rempars en cette obscure nuit.
PROTHITE.	PROTHITE.
Hé bien, n’en parlons plus, car toutes ces paroles plus que nótre amitié, ſont des choſes friuoles.	Hé bien, n'en parlons plus, car toutes ces paroles plus que notre amitié, sont des choses frivoles.
Ne ſçaurions-nous ſonger au deſordre preſent Qui fait peut-étre icy vótre mal plus cuiſant?	Ne sçaurions-nous songer au désordre présent Qui fait peut-être ici vite mal plus cuisant?
Cette Beauté charmante à qui ie fais hommage, N’a-t’elle pas auſſi vaincu voſtre courage?	Cette Beauté charmante à qui belle fais hommage, N'a-t-elle pas aussi vaincu votre courage?
Et ne gardez-vous pas les mémes ſentimens Que vous luy fites voir en ces derniers momens Que nous câmes l’honneur de parler auecque elle, Et de perdre nos biens en perdant cette Belle?	Et ne gardez-vous pas les mêmes sentiments Que vous avez fîtes voir en ces derniers contents Que nous câmes l'honneur de parler auecque elle, Et de re nos biens en perdant cette Belle?
Trouuerõs-nous donc point dãs nos maux épineux Ce qui lioit nos cœurs auec de ſi doux nœuds?	Trouverons-nous donc point dans nos maux épineux Ce qui liait nos cœurs avec de si doux nœuds?
Et ne ſçaurons-nous point ſi depuis nôtte priſe On aura reſpecté ce qu Amour ſi haut priſe?	Et ne saurons-nous point si depuis nôtte prise On aura respecté ce qu Amour si haut prise?
PHENIX.	PHÉNIX.
Ouy, ie m’en ſuis enquis ainſi qu’intereſſé, Et du moins en cela vous ay-je ſurpaſſé, Mais ie n’ay rien appris qui ne nous ſoit funeſte:	Oui, Seigneur m'en suis enquis ainsi qu'intéressé, Et du moins en cela vous ai-je surpassé, Mais tu n'ai rien appris qui ne nous soit funeste:
nra nom ne fume pus pour capimſer ie reſte, Et Doulon qui ſe plaiſt a conter mon malheur, Vous dira comme à moy le mal, & ſon autheur.	nra nom ne fume pus pour capimser votre reste, Et Doulon qui se plaît a conter mon malheur, Vous dira comme à moi le mal, et son auteur.
Pour y remedier, ie vais trouuer Aminte, Vous irez voir Perdique.	Pour y remédier, votre vais trouver Aminte, Vous irez voir Perdique.
DOVLON bas.	DOULON bas.
Il eſt plus doux qu’abſynte.	Il est plus doux qu'absynte.
L’officieux moyen pour ſe guerir d’vn mal, ne s’aller employer a ſetuir ſon Riual!	L'officieux moyen pour se guérir d'un mal, ne s'aller employer a sétuir son Rival!
I’auois bien mieux conté, i’auois vn bon remede Qui pouuont deſſer ion Mime aion aide	J'avais bien mieux conté, j'avais un bon remède Qui pouvont desser ion Mime aion aide
PROTHITE.	PROTHITE.
Viens donc me raconter tout ce que l'on t'a dit, Auant que de l’oüir, i’en ſuis tout interdit.	Viens donc me raconter tout ce que l'on t'a dit, Avant que de l'ouïrir, j'en suis tout interdit.
SCERE V	SCERE V
TIMOCLEE ſeule.	TIMOCLE seule.
Mpottune & terrible image I Des mi eres de mon ieunc age, Qui tantot de mes yeux te venois approcher, Ie ſens que tu fais plus, que tu viens me toucher.	Mpottune et terrible image I Des mi ères de mon jeunc age, Qui tantôt de mes yeux te venais approcher, Je sens que tu fais plus, que tu viens me toucher.
Dalts ouidareu ir ctoinquend ombre;	Dalts ouidareu ir ctoinquend ombre;
Et parmy cette nuit plus ſombre, Tout me paroit obſcur, tout me paroît afreux, Et ie me crois plongée au goufre le plus creux.	Et parmi cette nuit plus sombre, Tout me parait obscur, tout me paraît afreux, Et Seigneur me crois plongée au gouffre le plus creux.
Mais combien que cette figure Me ſoit vn malheureux augure, Elle ne m’importune, & ne me fait de mal, Qu’en ce qu’elle me montre vn triſte original.	Mais combien que cette figure Me soit un malheureux augure, Elle ne m'importune, et ne me fait de mal, Qu'en ce qu'elle me montre un triste original.
Et qu’eſt-ce d’vne image errante, Au prix d’vne image conſtante?	Et qu'est-ce d'une image errante, Au prix d'une image constante?
D’vn ſpectre déceuant, ou du moins peu certain, Au prix d’vn vray Dragon qui repoſe en mon ſein!	D'un spectre décevant, ou du moins peu certain, Au prix d'un vrai Dragon qui repose en mon sein!
Dieux!	Dieux!
qu’eſt-ce que ie m’imagine?	qu'est-ce que personne m'imagine?
Suis-je folle, ou ſi ie deuine?	Suis-je folle, ou si ici devine?
Predis-je des malheurs qui doiuent m’ariuer?	Prédis-je des malheurs qui doivent m'ariver?
Et ſi ie les predis, les doy-je aller trouuen?	Et si ici les prédis, les dois-je aller trouven?
Fuiray-je hors de ce bocage?	Fuirai-je hors de ce bocage?
Euiteray-je le ſeruage?	Éviterai-je le servage?
Mais comment l’éuiter parmy tant d’ennemis?	Mais comment l'éviter parmi tant d'ennemis?
Si ie ſors de ce lieu, ie doy craindre encor pis.	Si ici sors de ce lieu, ie doy craindre encor pis.
Ie ne puis, ſans me faire prendre, Mraller mettre aux mains d’Alexandre;	Je ne puis, sans me faire prendre, Mraller mettre aux mains d'Alexandre;
Et ie ne puis choiſit en cette obſeure nuit Aucun de ceux que i’oy pres d’icy faire bruit.	Et grande ne puis choisit en cette obsure nuit Aucun de ceux que j'oi pres d'ici faire bruit.
Quoy donc, verray-je vne perſonne, Dont le moindre penſer m’étonne, pont l’abord inciuil, & le ſale entretien, M ont fait connaître allez qu’il ne me reſtoit rien?	Quoi donc, verrai-je une personne, Dont le moindre penser m'étonne, pont l'abord incivil, et le sale entretien, M ont fait connaître allez qu'il ne me restait rien?
Non, apres m’étre retirée Du pouuoir d’vne ame alterée, L’irois-je retrouuer pour remplir ſon deſis, Et de perdre mon bien prendrois-je vn grand plaiſir?	Non, après m'être retirée Du pouvoir d'une âme altérée, L'irais-je retrouver pour remplir son désis, Et de perdre mon bien prendrais-je un grand plaisir?
S’il faut que ie ſois miſerable, Que ce ſoit ſans étre coupable;	S'il faut que venir sois misérable, Que ce soit sans être coupable;
Fuyons ce qui ſe peut, cachons nous en ce Bois, Et perdons nos eſprits dans noſtre triſte voix.	Fuyons ce qui se peut, cachons nous en ce Bois, Et perdons nos esprits dans notre triste voix.
N’aurois ie point vne autre voye p'éuiter le crime auec ioye, Et de perdre d’vn coup qui ſoit plus aſſeuré, Cette ame qui peut voir mon corps deſ-honoré.	N'aurais ie point une autre voie p'éviter le crime avec joie, Et de perdre d'un coup qui soit plus assuré, Cette âme qui peut voir mon corps déshonoré.
D iij Ouy, grands Dieux!	 Dij Oui, grands Dieux!
c’eſt là mon enuie, Ie veux m’afranchit de la vie;	c'est là mon envie, Je veux m'afranchit de la vie;
Mais l’arracher de peur ſ’vn malheur incertain, N’eſt pas contre nous forcer nôtre Deſtin.	Mais l'arracher de peur s'un malheur incertain, N'est pas contre nous forcer notre Destin.
Attens donc, eſpere, mon ame, Retiens ta genereuſe flame, Et n’armne contre toy ce que les bieuxan cher, Qu’au bord du precipice, auant que de broncher.	Attends donc, espère, mon âme, Retiens ta généreuse flamme, Et n'armne contre toi ce que les bieuxan cher, Qu'au bord du précipice, avant que de broncher.
Ha!	Ha!
cet objet qui ſe preſente, La vient rendre plus violente, Et ſemble me contraindre à me precipiter.	cet objet qui se présente, La vient rendre plus violente, Et semble me contraindre à me précipiter.
Sans qu’au comble des maux il m’ait fallu monter.	Sans qu'au comble des maux il m'ait fallu monter.
SCENE VI.	SCÈNE VI.
TIMOCLEE, DORISE qui ſuit.	TIMOCLE, DORISE qui suit.
VN VALET de Traſile.	UN VALET de Trasile.
LE VALET.	LE VALET.
Adame, en vôtre bien mõ Maître s’intéreſſe, Rvm nepuis quin uirhomieue de vous voir ſon Hôteſſe;	Adame, en votre bien mo Maître s'intéresse, Rum nepuis quin irhomieue de vous voir son Hôtesse;
Et ne pouuant ſoufrir l’effet de vos douleurs, Au lieu de vos Cyprés, vous veut donnet des fleurs;	Et ne pouvant souffrir l'effet de vos douleurs, Au lieu de vos Cyprès, vous veut donnet des fleurs;
Et pour vous arracher à votre inquietude.	Et pour vous arracher à votre inquiétude.
TIMOCLEE.	TIMOCLE.
Dis luy que mon plaiſir eſt dans la ſolitude, Et s’il veut m’obliger.	Disblé que mon plaisir est dans la solitude, Et s'il veut m'obliger.
LE VALET.	LE VALET.
Non, i’ay commandement De vous mener, Madame, en ſon apartement.	Non, j'ai commandement De vous mener, Madame, en son appartement.
TIMOCLEE.	TIMOCLE.
Dorite, ſoûtien moy.	Dorite, soutien moi.
Dieux!	Dieux!
quelle violence!	quelle violence!
nu moins fay moy ſonger au ſoin de ma defenſe.	nu moins fais moi songer au soin de ma défense.
BORTIL.	BORTIL.
Votre Mere, Madame, eſt à preſent chez vous.	Votre Mère, Madame, est à présent chez vous.
TIMOCLEE.	TIMOCLE.
Mes maux ont en ce cas quelque choſe de doux:	Mes maux ont en ce cas quelque chose de doux:
Mais pren garde ſur tout que ton nom ne ſe ſçache, Et que ta grand beauré comme ton ſang ſe cache.	Mais pren garde sur tout que ton nom ne se sache, Et que ta grand beauré comme ton sang se cache.
Chere Niéce, fay plus, tu ne me peux ſeruir, Empéche en te cachant qu’on ne t’aille rauir.	Chère Nièce, fais plus, tu ne me peux servir, Empéche en te cachant qu'on ne t'aille ravir.
SCENE VII.	SCÈNE VII.
DORITE ſeule.	DORITE seule.
Elaiſſeray-ie, ô pieux!	Élaisserai-je, ô pieux!
cette bonne parente:	cette bonne parente:
D Mais aux dépens de mon honneur, M’abandonneray-ie au malheur D’étre infame, captiue, & dans vn camp etrante?	D Mais aux dépens de mon honneur, M'abandonnerai-je au malheur D'être infâme, captive, et dans un camp étrante?
Et croirois-ie qu’à mon aſpect Ces gens me portaſſent reſpect, Et que ce corps entr’eux pût étre en aſſeurance, Veu que leur ſoin n’eſt que pour le plaiſir, Et bien que de Phenix l’honneur ſoir le deſit, qu’il ne m’a témoigné que de l’indiference?	Et croirais-je qu'à mon aspect Ces gens me portassent respect, Et que ce corps entr'eux pût être en assurance, Veu que leur soin est que pour le plaisir, Et bien que de Phénix l'honneur soir le désit, qu'il ne m'a témoigné que de l'indiférence?
Ha!	Ha!
ſi dedans mes yeux i’euſſe aſſez eu de chatmes, Et que ie l’euſſe pû toucher, Pour de ces Tyrans m’arracher, Peut-étre qu’vn Mary m’auroit fourny des armes.	si dedans mes yeux j'eusse assez eu de chatmes, Et que je l'eusse pu toucher, Pour de ces Tyrans m'arracher, Peut-être qu'un Mari m'aurait fourni des armes.
Non, il n’en ſeroit pas ainſi:	Non, il n'en serait pas ainsi:
Comment prendroit-il ce ſoucy, Puis qu’il n’en auroit pas de moins ſolides chaînes, Et que moy-méme en faiſant voir le iour, Au ſang dont ie ſuis néc ainſi qu’a mon amour, Ie les expoſerois à de plus dures peines.	Comment prendrait-il ce souci, Puis qu'il n'en aurait pas de moins solides chaînes, Et que moi-même en faisant voir le jour, Au sang dont ie suis néc ainsi qu'a mon amour, Je les exposerais à de plus dures peines.
Mon cœur, ſeruons-nous donc de cette obſcutité.	Mon cœur, servons-nous donc de cette obscutité.
Pour plus facilement nous mettre a ſauueté.	Pour plus facilement nous mettre a sauveté.
Fin du troiſième Acte.	Fin du troisième Acte.
ACTE IV SCENE PREMIERE.	ACTE IV SCÈNE PREMIÈRE.
RASE' ſeul.	RASE seul.
peſaſtte!	pestte!
ô malheur!	ô malheur!
ô eruelle infortune!	ô ervelle infortune!
U O réuolution!	V Ô révolution!
ô perte peu commune!	ô perte peu commune!
Cataſtrofe inoüye, & qui dans vn inſtant Me rauit vn Amy de qui i’eſperois tant.	Catastrofe inoüye, et qui dans un instant Me ravit un Ami de qui j'espérais tant.
Etrange aueuglement que le bonheur ameine, Et qui t’a fait porter vne ſi dure peine, Que tu ſers d’vn exemple hortible & furieux, Que l’on doit propoſer aux auaricieux.	Etrange aveuglement que le bonheur âme, Et qui t'a fait porter une si dure peine, Que tu sers d'un exemple hortible et furieux, Que l'on doit proposer aux avaricieux.
Ne penſe pas de la que i’eſtime l’audace Qui dans vn ſang illuſtre oſe ſe faire place, Et que meſme au vainqueur il ne ſoit aſſeuré Cõment l’honneur des Grands eſt vn Temple ſacré:	Ne pense pas de la que j'estime l'audace Qui dans un sang illustre ose se faire place, Et que même au vainqueur il ne soit assuré Cõment l'honneur des Grands est un Temple sacré:
Mais tu deuois au moins te conſeruer la vie, En redoutant les traits des mains d’vne ennemie;	Mais tu devais au moins te conserver la vie, En redoutant les traits des mains d'une ennemie;
Et quoy qu’elle flatât, il falloit la haïr, Puis qu’elle auoit enfin ſujet de te trahir.	Et quoi qu’elle flattât, il fallait la haïr, Puis qu'elle avait enfin sujet de te trahir.
Tu deuois aupres d’elle agir auec prudence, Et ſans vouloir du corps l’infame ioüiſſance, Tâcher de l’amolir par vn traitement doux.	Tu devais auprès d'elle agir avec prudence, Et sans vouloir du corps l'infâme jouissance, Tâcher de l'amolir par un traitement doux.
Et de gagner ſon cœur par le titre d’Epoux;	Et de gagner son cœur par le titre d'Époux;
Etre reſpectueux, & luy faire comprendre Le rang que tu tenois pres du grand Alexandre;	Etre respectueux, et lui faire comprendre Le rang que tu tenais pres du grand Alexandre;
nire que ſans l’auoir pour ta ch re moitié, Ton pouuoir ſe trouuoit borné par la pitié, Et que de ſes beautez la garde difficile T’empeſchoit autrement de luy trouuer d’azile, Mais que malgré l'effit de ſas inimitiez, D'vne ou d’autre façon tu mourrois a ſes piez Que ſi loin de ceder, ton barbare coutage Sur cet honneur puiſlant vouloit pouſſer ſa ra Et ſi tu reſoluois d’arracher ſes treſors, Elle en portoit aſſez en ſon précieux corps se Pour pouuoir contenter lame la plus mondaine Quar d méme ſa maiſon n’en eút pas été pleine, Saus aller dans vn puits auec auidité D’vn crime que tu veux chercher la verité Ha!	nire que sans l'avoir pour ta ch re moitié, Ton pouuoir en élevait borné par la pitié, Et que de ses beautés la garde difficile T'empêchait autrement de deux trouver d'asile, Mais que malgré l'effit de sas inimitiés, D'une ou d'autre façon tu mourrais à ses pendants Que si loin de céder, ton barbare coutage Sur cet honneur puislant voulait pousser sa ra Et si tu résolvais d'arracher ses très, Elle en portait assez en son précieux corps se Pou voir contenter la la plus mondaine Quar méme sa maison n'en eút pas été pleine, Saus aller ton puits a auidité crime que tu veux chercher la verité Ha!
