LES SECONDES OEVVRES POETITES ET TRAGIQVES de Iehan Preuoſt Aduocat en la baſſe Marche.	LES SECONDES OEUVRES POTITES ET TRAGIQUES de Jehan Preuost Aduocat en la basse Marque.
Que i’ay quitté pour eux le bien hereditaire, Pour viure dans ce bois deuot & ſolitaire:	Que j'ai quitté pour eux le bien héréditaire, Pour vivre dans ce bois dévot et solitaire:
Où ſans ceſſe ie prie, & vais en meditant De celeſtes diſcours mon ame alimentant.	Où sans cesse ie prie, et vais en méditant De célestes discours mon âme alimentant.
Mais ie voy du chaſteau ſortir vne ſeruantez Or dictes moy ma ſille, eſt la Royne viuante?	Mais ici vois du château sortir une servantez Or dites moi ma sille, est la Royne vivante?
La nou.	La nouv.
On la peut dire viue & morte eſgalement.	On la peut dire vive et morte également.
Leon.	Léon.
Peut quelqu’vn eſtre vif & mort enſemblemenſ?	Peut quelqu'un être vif et mort ensemblements?
La nou.	La nouv.
Car proche de la mort elle va rendre l’ame.	Car proche de la mort elle va rendre l'âme.
Leon.	Léon.
O que tu perds, Clouis, vue prudente femme!	Ô que tu perds, Clouis, vue prudente femme!
La nou.	La nouv.
Bien que le mal ſoit grand pourtant eſt inconus, Le dommage qui ſuit deuant qu’eſtre aduenu.	Bien que le mal soit grand pourtant est inconus, Le dommage qui suit devant qu'être avenu.
Leon.	Léon.
D’eſperer ſa ſanté a ton quelque apparence?	D'espérer sa santé a ton quelque apparence?
Nou.	Nov.
Non, ſon heure eſt venue, elle eſt hors d’eſperance, Leon.	Non, son heure est venue, elle est hors d'espérance, Léon.
En ceſte extremité faict elle ſon deuoir De diſpoſer ſon ame, & ſon Dieu receuoir?	En cette extrémité fait elle son devoir De disposer son âme, et son Dieu recevoir?
La nou Vrayement elle treſpaſſe en vraye penitentt, Et ne cognus iamais vne ame plus conſtante S’apreſter à la mort, car ja longue doulex	La nou Vraiment elle trépasse en vraie pénitent, Et ne connus jamais une âme plus constante S'apprêter à la mort, car ja longue doulex
Ne l'a iamais ſleſtrie, ou changéſa couleur, Ainſi qu’elle à ſenty que le mal qui i’augmenti Portoit ſon corps malade à ſa ſin vehemente.	Ne l'a jamais slêtrie, ou changeza couleur, Ainsi qu'elle à senti que le mal qui j'augmenti Portait son corps malade à sa sin véhémente.
Quittant tout autre ſoin elle a mandé querir Son Preſtre pour l’ouyr deuant que de mourir, S'accuſes ſe confeſſe;	Quittant tout autre soin elle a mandé quérir Son Prêtre pour l'ouïr devant que de mourir, S'accuses se confesse;
& en ſa couſcience Luy de couure le mal qui ſuſt de ſa ſcience.	et en sa couscience Lui de couvre le mal qui sût de sa science.
Et pour n’oublier point aucun crime caché, Le prie de courir les brauches du peché, Et l'enquerir ſur tout, puis eſtant confeſſee, Sans auoir autre part deſtourné ſa penſee, En l’eſtat qu’elle eſtoit ceurbee a deux genoux, Vne Meſſe elle entend bin que chaſcun de nous, L’aydant a ſouſtenis, Iimportunaſt ſans ceſſe, De ſe mettre a ſon ayſe en attendant la Meſſe, Elle n’en veut rien ſaire, & attend que tout ſois Chantuuip umpmapidrtune çout Le corps de ſon Sauueur, ainſi toute appreſtée.	Et pour n'oublier point aucun crime caché, Le prie de courir les bravches du péché, Et l'enquérir sur tout, puis étant confesse, Sans avoir autre part détourné sa pensée, En l'état qu'elle était ceurbée à deux genoux, Messe elle entend que chascun de nous, aidant a soustenis, Iimportunast sans cesse, De se mettre a son ayse en attendant la Messe, Elle en veut rien zaïre, et attend que tout sois Chantuuip umpmapidrtune çout Le corps de son Sauueur, ainsi toute apprestée.
La Royne ſe diſpoſe à ſa ſin arreſtée.	La Royne se dispose à sa sin arrêtée.
On la remet au lict, elle s’en va leuant, Secouche ſe releue, & recouche ſouuant;	On la remet au lit, elle s'en va levant, Secouche se relève, et recouche souvant;
Comme au ſoir le Soleil d'vn plus beau ſeu s’allums, Son viſageparoiſt plus bean que de couſtume:	Comme au soir le Soleil d'un plus beau seu s'allums, Son visageparoist plus bean que de coutume:
Les Pnnces ſes enfans autour d’elle pendoient, Et de leurs tendres pleurs l’eſtomac luy fendoient.	Les Pnces ses enfants autour d'elle pendaient, Et de leurs tendres pleurs l'estomac quelque fendaient.
Vn chaſcun d’eux l'oppele, & ce doux nom de mere, Luy ſaict ſembler pour eux ſa douleur plus amere;	Un châcun d'eux l'oppèle, et ce doux nom de mère, Lui sait sembler pour eux sa douleur plus âme;
Fllelour tend lorbras, & leur diſant adieu, Ieibuſe, les eſtreiut, ler vecommande à Dun.	Fllelour tend lorbras, et leur disant adieu, Jeibuse, les estreiut, ler vecommande à Dun.
Nous tend les maius atous, nous qui l’auous ſoruis, Nos larmes diſtilons ſur la ſin de ſa vie.	Nous tend les maius atous, nous qui l'avous soruis, Nos larmes distilons sur la sin de sa vie.
Et fondont tous en pleurt, tant le regret nous point, De voix qu’elel anguiſſe & treſpaſſe en ce peinct.	Et fondont tous en pleurt, tant le regret nous point, De voix qu'ellel anguisse et trépasse en ce peinct.
Ieo.	Jeo.
Les bons meurent en bons, telle que fuſt la vis, Ille eſteommuntment de meſme fu ſuuie:	Les bons meurent en bons, telle que fût la vis, Ille esteommuntment de même fu suie:
Elle qui fut deuote en ſon affuction, Conſerue heureuſemęnt ceſte deuotion.	Elle qui fut dévote en son affuction, Conserve heureusemnt cette dévotion.
Ieſus par ſa bonté face qu’elle perſiſte!	Jésus par sa bonté face qu'elle persiste!
Que fait tandisle Roy?	Que fait tandisle Roi?
La N.	La N.
Le bon Prince eſt ſi triſte Qu’il ne ſçauroit parler:	Le bon Prince est si triste Qu'il ne saurait parler:
mais las!	mais las!
ſes chaudes pleur, Teſmoignent la douleur qu’il a de ſes douleurs.	ses chaudes pleur, Témoignent la douleur qu'il a de ses douleurs.
Il la tient cherement en ſes bras enlagee, Il ſouſpire, il ſe plainct aupres de l’embraſſee, Il ſanglote, il gemit, & à aucune fois De ſon canal ouuert ſe deſtoupe ſa voix;	Il la tient chèrement en ses bras enlagee, Il soupire, il se plaint auprès de l'embrassée, Il sanglote, il gémit, et à aucune fois De son canal ouvert se destoupe sa voix;
La prie, mais helas!	La prie, mais hélas!
ce n’eſt en ſa puiſſance, De ne le priuer point de ſa chere preſence.	ce n'est en sa puissance, De ne le priver point de sa chère présence.
Car le mal la conſumé, & ſon beau corps fondu Ia de ſes membres froids a l’vſage perdu.	Car le mal la consumé, et son beau corps fondu Ia de ses membres froids à l'usage perdu.
Et bien que ſes poulmons ne reſpirent qu'à peine, Elle veut deſrober d’vne veue incertaine La celeſte lumiere, ores que deſormais Elle n’eſpere plus de la reuorr jamais:	Et bien que ses poulémons ne respirent qu'à peine, Elle veut dérober d'une vue incertaine La céleste lumière, ores que désormais Elle n'espère plus de la révorr jamais:
Mais i’apperçoy qu’on ſort la Princeſſe mallade, Suiuant ſon cher eſpoux d’vne mourante œillade, Dieu qu’ils ſont affligez!	Mais j'aperçois qu'on sort la Princesse mallade, Suivant son cher époux d'une mourante œillade, Dieu qu'ils sont affligez!
gemiſſez, l’armoyez, Plorez leur accideut François qui les voyez, Et plorez vos mal’heurs:	gémissez, l'armoyez, Plorez leur accideut Français qui les voyez, Et plorés vos malheurs:
ſi debonnaires Princes Ne regneront iamais en vos belles prouinces.	si débonnaires Princes Ne régneront jamais en vos belles provinces.
Ie ne diray iamais qu’vn lien coniugal Ait plus de volupté que d’angoiſſe & de mal.	Je ne dirai jamais qu'Hommes lien conjugal Ait plus de volupté que d'angoisse et de mal.
De ce que r'ay veu ieune, & qu’ores l’aduenture De Clouis me faict voir, tirant ma comecture.	De ce que ra vu jeune, et qu'ores l'aventure De Clouis me fait voir, tirant ma comecture.
Car il perd ſon eſpouſe en ce mal douleureux.	Car il perd son épouse en ce mal douleureux.
Et languira touſiours deſormais mal'heureux.	Et languira toujours désormais malheureux.
SCENE III.	SCÈNE III.
CLOTILDE.	CLOTILDE.
CLOVIS.	CLOVIS.
S.	S.
LEONARD.	LEONARD.
CHILDEBERT.	CHILDEBERT.
CLOTAIRE.	CLOTAIRE.
SIGIBERT.	SIGIBERT.
Soleil radieux dont la torche feconde Oillumine, entretient, & nourrit tout le monde, O clairté iournaliere, ô venteux tourbillons Qui dans le Ciel aſtré dreſſex vos bataillons.	Soleil radieux dont la torche feconde Oillumine, entretient, et nourrit tout le monde, Ô clairté journalière, ô venteux tourbillons Qui dans le Ciel astré dressex vos bataillons.
Clou.	Clou.
Tournoyant tous les iours parmy ce grand eſpart Ils n’œilladent, malheur, qui nos malheurs ſurpaſſe.	Tournoyant tous les jours parmi ce grand épart Ils n'œilladent, malheur, qui nos malheurs surpasse.
Clot O terre nourriciere, ô Royalles maiſons Clou.	Clot Ô terre nourricière, ô Royalles maisons Clou.
Ne m’abandonnex point, ſouſtenez vous m’antie, Dumlmupuanuauutruem PArque bleſmie.	Ne m'abandonnex point, soutenez vous m'antie, Dumlmupuanuauutruem PArque blêmie.
AyeZ recours à luy.	Ayez recours à Seigneur.
Clot.	Clot.
O toylict marital, O lict, ô lict nopeier, omort, biour fatal, Le dernier de mes iouri!	Ô toilict marital, Ô Çit, ô lit nopeier, omort, biour fatal, Le dernier de mes jouri!
o Parque eſpouuentable Qui lances les efforts de ton bras redoutable Sut ma teſte innocente!	ô Parque espouuentable Qui lances les efforts de ton bras redoutable Sut ma tête innocente!
o Bourgongne où ie xis Et ſentis les doux traictis des yeux de mon Clouis!	ô Bourgongne où ainsi X Et sentis les doux traitis des yeux de mon Clouis!
Aton prince, mon eſpoux!	Aton prince, mon époux!
de qui le ſer proſpere Vengea premierement l’iniure de mon pere:	de qui le ser prospère Vengea premièrement l'injure de mon père:
Adiu donc, adieu tous, ie ne vous verray plus, Ie m’en vay deualer dans vn tombeau reclus.	Aju donc, adieu tous, je ne vous verrai plus, Je m'en vais dévaler dans un tombeau reclus.
Clou.	Clou.
Me voulez vous laiſſer?	Me voulez -vous laisser?
ma ſille, à la meſme heurs Que vous treſpaſſerez il faudra que ie meure.	ma sille, à la même heurs Que vous trépasserez il faudra que je ure.
Clot Ie voy le voiſſeau preſt, & le nocher Charon, Qui tient la perche en main pour paſſer l’Acheron.	Clot Je vois le voiseau prêt, et le nocher Charon, Qui tient la perche en main pour passer l'Acheron.
I’entends comme il m’appelle, & comme desla riue Il metange, & me dict que ie ſuis trop tardiue.	J'entends comme il m'appelle, et comme déla rive Il metange, et me dit que votre suis trop tardive.
Childeb.	Childeb.
Que dites vous madame?	Que dites vous madame?
où allez vous ainſi, Quel batteau, quel nocher, quel paſſage iſt cccy?	où allez -vous ainsi, Quel batteau, quel nocher, quel passage ist cci?
Ienepuis, le nepuis, en vous giſt le pouuoir, De me faire la vie ou la mort receuoir.	Jènepuis, le nepuis, en vous gît le pouvoir, De me faire la vie ou la mort recevoir.
Sι vouς viυez mon cœur ie ſuis reſſous de viure, Et ſi vous treſpaſſez ie reſous de vous ſuiure.	Sous vou viυez mon cœur ie suis résous de vivre, Et si vous trépassez ie résous de vous suivre.
Clot.	Clot.
Viuez pour vos enſaus, pour vos enfaus viuez Et leurs tendre ieuneſſe aux vertus eſleuex.	Vivez pour vos ensaus, pour vos enfaus vivez Et leurs tendre jeunesse aux vertus esleuex.
Qu’ili ne ſoyent orphelins, quand la cruelle Parque, Aura verse leur mere enſa fatale barque.	Qu'ili ne soient orphelins, quand la cruelle Parque, Aura verse leur mère ensa fatale barque.
Et ſi vous les aymeZ, ſi vous m’aymez außi, Prenez les de mes mains, & preneZ le ſoucy De les rendre heruiers du Sceptre de leur pere.	Et si vous les aimez, si vous m'aimez aussi, Prenez les de mes mains, et preneZ le souci De les rendre heruiers du Sceptre de leur père.
Qu’vne maraſtre au lieu de leur defuncte mers Ne les tourmente point, & en me ſuccedant D’enuieuſe fureur ne les aille perdant Quant on a des enfans, & qu’ou ſe remarie, Cuidant preudre vne femme on prend vne Furit Qonamimdidimdiumubi a de veniu, Vn vipere en fureur qu’vn eſprit feminin Vn eſpnit de maraſtre S Dieure tremble toute!	Qu'une marâtre au lieu de leur défunte mers Ne les tourmente point, et en me succédant D'envieuse fureur ne les aille perdant Quant on a des enfants, et qu'ou se remarie, Cuidant prévdre une femme on prend une Furit Qonamimdidimdiumubi à de venu, Un vipère en fureur qu'un esprit féminin Vin espnit de marâtre S Dieu tremble toute!
Et ſens doubler mon mal lois que i’entre in ce doubte.	Et sens doubler mon mal lois que j'entre in ce doubte.
A Dieu mes chers enſaus, mes dherienſans adieu, AyeZ touſiours l’honneur, & la crainte de Duu, Honuorex ſon pouuoir, & portez reuerence Au Roy voſtre ſeigneur, qui vous donna naiſſance, Et va toindre pour vous d’vn fer victorieux, A l'Impure François le ſceptre glorieux Du Prince Tholoſain aymex veſtregermaine, Qui ſans voir ſon deſaſtre en ioüant ſe pourmeint, Et ſans ſoucy de moy, pauure enfant qui ne ſeus La perte qu’elle faict en ſon aage innocent!	À Dieu mes chers ensaus, mes dheriensans adieu, Ayez toujours l'honneur, et la crainte de Du, Honvorex son pouvoir, et portez révérence Au Roi votre seigneur, qui vous donna naissance, Et va toindre pour vous d'un fer victorieux, A l'Impure Français le sceptre glorieux Du Prince Tholosain aimex vêtregermaine, Qui sans voir son désastre en j' être pourmeint, Et sans souci de moi, pauvre enfant qui ne se La perte qu'elle fait en son âge innocent!
Ie ne la pouruoyray d’vne belle alliance, Mere ie ne ſeray preſente à ſa fiance, Ie ne la conduiray quand on l’eſpouſera, N’iray la ſoulageant quant elle accouchera.	Je ne la pourvoirai d'une belle alliance, Mère ici ne serai présente à sa fiance, Je ne la conduirai quand on l'épousera, N'irai la soulageant quant elle accouchera.
Car il me faut mourir, il me faut l’ame reudre,	Car il me faut mourir, il me faut l'âme revendre,
La mort pend ſur ma teſte & refuſe d’attendre Me preße, m’importune, adieu, ſouuenez vous De ma priere extreme jadieu mon cher eſpoux.	La mort pend sur ma tête et refuse d'attendre Mei presse, m'importune, adieu, souvenez vous De ma prière extrême jadieu mon cher époux.
Clou.	Clou.
N’en doubtez point m'amie, vne meſme nature Me pouſſe à faire cas de noſtre geniture;	N'en doutez point m'amie, une autre nature Me pousse à faire cas de notre géniture;
Ie ſeray touſiours voſtre, & le temps aduenir N’effacera iamais de vous le ſouuenir.	Je serai toujours votre, et le temps avenir N'effacera jamais de vous le souvenir.
Vous ſerez touſiourt mienne, & touſiouri bien aymét La femme de Clouis viue & morte nommée.	Vous serez toujours mienne, et toujours bien aymét La femme de Clouis vive et morte nommée.
Autre femme iamais tant ſoit de noble ſang ni’appelant ſon mary ne tiendra voſtre rang.	Autre femme jamais tant soit de noble sang ni'appelant son mari ne tiendra votre rang.
Iamais autre beauté ne rauira mon ame, Außi bien apres vous qu’ay ie beſoin de ſemme?	Jamais autre beauté ne ravira mon âme, Aussi bien après vous qu'ai apprendre besoin de semme?
I’ay des enfans aſſez, vueille les eſleuer La flemence diuine, & me les conſir er:	J'ai des enfants assez, veuille les élever La flémence divine, et me les consir er:
Puis que leur mere m’eſt à mon beſoin rauie.	Puis que leur mère m'est à mon besoin ravie.
I'en porteray le dueil tout le temps de ma vie.	J'en porterai le deuil tout le temps de ma vie.
En viuray ſolitaire, accuſant les deſtins, Et fuiray les eibats, les jeus, & les feſtins.	En vivrai solitaire, accusant les destins, Et fuirai les eibats, les jeus, et les festins.
Trainant mes veufuei iours, comme vne Tourterelle A qui la mort rauit ſa compagne fidelle, Qui ſur vn arbre ſec à l’eſcart ſe perchant Lamente ſon veufage en ſon lugubre chant:	Trainant mes veuvei jours, comme une Tourterelle À qui la mort ravit sa compagne fidèle, Qui sur un arbre sec à l'écart se perchant Lamente son veufage en son lugubre chant:
Attendant que la mort ſon angoiſſe finiſſe, Et par vn doux treſpas à ſa moytie l’vniſſe, La chaſſe, les eibats dont mon cœur fut eſpris Diſioinct de ma moytié me ſeront à meſprus:	Attendant que la mort son angoisse finisse, Et par un doux trépas à sa moytie l'unisse, La chasse, les eibats dont mon cœur fut épris Disioint de ma moytié me seront à méprus:
Ce qui me ſouloit plaire & me douner lieſſe Nourrira mes ennuis, mon dueil, & ma triſteſſe.	Ce qui me soûlait plaire et me douner liesse Nourrira mes ennuis, mon deuil, et ma tristesse.
A dien plaiſirs paſſez, la fatale rigueur Accable mes vieux ans de mortelle langueur.	À dien plaisirs passez, la fatale rigueur Accable mes vieux ans de mortelle langueur.
Il me plaiſt deſormais pour ſoulager ma peine De voſtre corps abſent tirer l’image vaine, Et l’eſleuer par tout, afin qu’à tout moment I’aye deuant mes yeux l'obiect de mon tourmens.	Il me plaît désormais pour soulager ma peine De votre corps absent tirer l'image vaine, Et l'élever par tout, afin qu'à tout moment J'aie devant mes yeux l'objet de mon tourments.
Ainſi vous reuoyant en voſtre imagefcinte I’allegeray l’enuuy dont mon ame eſt atteinte:	Ainsi vous revoyant en votre imagefcinte J'allégerai l'envi dont mon âme est atteinte:
Et par vn froid ſoulas chetif la deceuant Ie vous embraſſeray, vous parleray ſouuant.	Et par un froid soûlas chétif la décevant Je vous embrasserai, vous parlerai souvant.
Que ſi durant la nuict des ſoucis nourriciere Le ſommeil vient ſiller mon humide paupiere, Sur mes yeux langoureux ſa double aille allongeans, I'auray touſiours le bien de vous voir en ſongeant, Bien que le ſonge ſoit vne pure menſonge, C’eſt du plaiſir de voir ce qu’on cherit en ſonge.	Que si durant la nuit des soucis nourricière Le sommeil vient siller mon humide paupière, Sur mes yeux langoureux sa double aille allongeant, J'aurai toujours le bien de vous voir en songeant, Bien que le songe soit une pure mensonge, C'est du plaisir de voir ce qu'on chérit en songe.
si i’auois l’art apris du Thracien harpeur Pour deſcendre aux enfers, i'y deſceudroy ſans peur Et mariant ma voix aux cordes de ma lyre Floſchirois la rigueur de l’Infernal Empire.	si j'avais l'art appris du Thracien harpeur Pour descendre aux enfers, j'y desceudrais sans peur Et mariant ma voix aux cordes de ma lyre Floschirais la rigueur de l'Infernal Empire.
Ie prirous Proſerpine, & ſan cruel Pluton De raitacher ma ſemme aux fuſeaux de Clothon, Que ſi ie l’obtenoy, la tourbé Acherontee Ne ſçauroit retarder ma penible montes, Lui ſilles de la nuict, ny le chien aboyant De trois goſiers diueri n’iroit point effroyant Aton courage indompté:	Je prirous Proserpine, et san cruel Pluton De raitacher ma semme aux fuseaux de Clothon, Que si ici l'obtenait, la tourbé Acherontée Ne saurait retarder ma pénible montes, Lui silles de la nuit, ni le chien aboyant De trois gosiers diveri n'irait point effroyant Aton courage indompté:
mais la mort qui tout domts Fouſſant l’homme aux euſers ne permes qu’il remonte.	mais la mort qui tout dompts Foussant l'homme aux eusers ne permes qu'il remonte.
Styx nenf fois oppoſé valà bas retardant Le retour du chemin facle en deſcendant!	Styx nenf fois opposé valà bas retardant Le retour du chemin facle en descendant!
Donques puiſque l’accent de ma voix miſerable Ne ſlchit de Pluton l’oreille inexorable.	Donc puisque l'accent de ma voix misérable Ne slit de Pluton l'oreille inexorable.
Aitendez moy la bas, madame, & prepareZ La ſuneſte maiſon où vous habiterez Comme pour tous nous deux ie veux en meſme bure Trauerſer apres vous l’infernale riuiere.	Aitendez -moi la bas, madame, et préparés La suneste maison où vous habiterez Comme pour tous nous deux deux veux en même bure Traverser après vous l'infernale rivière.
Ie veux qu’on nous aſſemble, & qu’apres mon treſpas Nos corps & nos eſprits ne ſe ſeparent pas Clot Vous auex mes enfans, ma geniture tendre, Entendu de Clouis ce qu’il ma ſaict entendre.	Je veux qu'on nous assemble, et qu'après mon trépas Nos corps et nos esprits ne se séparent pas Clot Vous auex mes enfants, ma géniture tendre, Entendu de Clouis ce qu'il ma sait entendre.
Q’autre amour aprei moy iamais ne le tiendra.	QU'autre amour aprey moi jamais ne le tiendra.
Et comme en ma faueur il vous entretiendra, Que vous ne receurez d’vne maratre iniure.	Et comme en ma faveur il vous entretiendra, Que vous ne recevrez d'une marâtre injure.
Clou.	Clou.
Ie l’ay promis ainſi, le promets & le iure:	Je l'ai promis ainsi, le promets et le jure:
Clot.	Clot.
Prenez les de mes mains ſoubi ce pacte promis.	Prenez les de mes mains souce pacte promis.
Clou, Ie prens en gré le don qu’offrent vos bras amis.	Clou, Je prends en gré le don qu'offrent vos bras amis.
Clot SoyeZ leur pere & mere, Clo-Il eſt bien neceſſair Puique la mort les rend orphelins de leur mere.	Clot SoyeZ leur père et mère, Clo-Il est bien nécessair Puique la mort les rend orphelins de leur mère.
Clot.	Clot.
Mes enſans mes miguons, la mort vient acheuer Celle deuant le temps qui vous deuſt eſuuer.	Mes ensants mes miguons, la mort vient achever Celle devant le temps qui vous dût esuuer.
Clou.	Clou.
Las priué de vos yeux quefaut-il que ie face!	Las privé de vos yeux quefaut-il que cet face!
Clot.	Clot.
Le temps, des treſpaſſez la ſouueuance efface.	Le temps, des trépassez la souueuance efface.
Clo.	Clo.
Menez moy quant & vous daus ces chemins hydeuClot C’eſt aſſez mon amy qu’vn y ſoit de nous deuxLcon Ces Dires, ce Pluton ceſte grand voye obſcurs, Ne ſont mots d’vn Chreſtien qui de ſon ame a cure, Qui cherche ſon ſalut doit auoir ſou recours, Au Dieu qui peut ſeul luy donner du ſecours.	Menez moi quant et vous daus ces chemins hydeuClot C'est assez mon ami qu'un y soit de nous deuxLon Ces Dires, ce Pluton cette grand voie obscurs, Ne sont mots d'un Chrétien qui de son âme a cure, Qui cherche son salut doit avoir sou recours, Au Dieu qui peut seul grande donner du secours.
Invoquer ſa clemence, & ſa muiſericorde, Qui iout ce qu’il nous faut au beſoin nous accordeIl vous faut à ſon gré reigler voſtre vouloir, Ne murmurer iamaus, ſamais ne vous douloir.	Invoquer sa clémence, et sa muisericorde, Qui jout ce qu'il nous faut au besoin nous accordeIl vous faut à son gré reigler votre vouloir, Ne murmurer jamaus, samais ne vous douloir.
Si ſa main enrigueur par fois appeſantie, Pour vos pechez commis durement vous chaſtie, Quelque peſant qu’il ſoit ſon bras eſt gracieux, Ses coups ſont des aduus d’aller deuotieux Se retourner à luy, la mort n’eſt d’angereuſe Qu’aceux qui ont ſouillé leur ame malheureuſi Au bourbier des pechez l’homme premierement, N’aſquit à ce debuoir aſtreint eſtroictement.	Si sa main enrigueur par fois appesantie, Pour vos péchés commis durement vous châtie, Quelque pesant qu'il soit son bras est gracieux, Ses coups sont des avus d'aller dévotieux Se retourner à lui, la mort n'est d'égereuse Qu'aceux qui ont souillé leur âme malheureus Au bourbier des péchez l'homme premièrement, N'asquit à ce débuoir astreint étroitement.
Tous yſont obligez, le temps qui tous meiſſoune, De ſes ſeueres loix ne diſpenſe perſoune.	Tous ysont obligés, le temps qui tous missoune, De ses sévères lois ne dispense persoune.
Aiais lors que le treſpas eſt nos corpi ſeifiſſant, Il faut touſiours auoir ce ſoin en treſpaſſant De mourir en la ſoy & conſeruer entiere, C’eſte ame qui du Ciel dois eſtre l'heruiere.	Ajais lors que le trépas est nos corpi seifissant, Il faut toujours avoir ce soin en trépassant De mourir en la soi et conserver entière, C'elle âme qui du Ciel dois être l'hervière.
Parle ſang precieux que Ieſus reſpandit, Lors que pour nospecheZ en la Croix il pendit.	Parle sang précieux que Jésus répandit, Lors que pour nospèchez en la Croix il pendit.
Clot.	Clot.
Les celeſtes diſcours dont vous m’auez tanſée, D’vn ſaiuct eſtonnement ont mon ame forcée.	Les célestes discours dont vous m'avez tansée, D'un sait étonnement ont mon âme forcée.
Clo I'entremble de frayeur.	Clo J'entremble de frayeur.
Clot.	Clot.
Au repentirprofond D’auoir oublié Dieu mon eſprit ſe confond.	Au repentirprofond D'avoir oublié Dieu mon esprit se confond.
Clou.	Clou.
Mon pere aſniſtez la, verſez en ſa poictrine, Par vn propos ſacré voſtre belle doctrine Qui la conſole toute, eſleuant ſon eſprit, De ſes penſers mondains au ſauueur Ieſus-Chriſt.	Mon père asnistez la, versez en sa poitrine, Par un propos sacré votre belle doctrine Qui la console toute, élevant son esprit, De ses pensers mondains au sauveur Jésus-Christ.
Clot.	Clot.
Mon pere lauez moy, lauez ma conſcience.	Mon père lavez -moi, la ma conscience.
Confeſſez moy mon pere;	Confessez moi mon père;
oyez ma penitence:	oyez ma pénitence:
Mettez vous en priere, intercedez pour moy, Voſtre oraiſon me peut tirer de ceſt eſmoy Leo Iuuoquex le vous meſme, & ſa rigueur ſlechie.	Mettez -vous en prière, intercédez pour moi, Votre oraison me peut tirer de cette émoi Leo Juoquex le vous même, et sa rigueur sièchie.
Prolongera vos iours ainſi qu’a Ezechie, S’ille void neceſſaire, il faict tout pour le mieux.	Prolongera vos jours ainsi qu'a Ezéchie, S'ille void nécessaire, il fait tout pour le mieux.
I'y ioindray ma priere hauſſant les bras aux cieux, Mais entrons la dedans chercher autre retraicte.	J'y joindrai ma prière haussant les bras aux cieux, Mais entrons la dedans chercher autre retraite.
Vue oraiſon deuote ayme d’eſtre ſecrette.	Vue oraison dévote aime d'être secrète.
ACTE V.	ACTE V.
SCENEI.	SCENEI.
LE MEDECIN.	LE MÉDECIN.
SIGIBERT.	SIGIBERT.
Le Me QE ne ſont point effecti d’vn ouurage mortel, C Noſtre art bien que ſubuil n’opere rien de tel, C’eſt vn Dieu qui agit vne plus ſamcte eſſence, Seulle de la guarir auoit toute puiſſance:	Le Me QE ne sont point effecti d' ouurage mortel, Ç Otre art bien que subuil n'opère rien de tel, C'est un Dieu qui agit une plus samcte essence, Seulle de la garir avait toute puissance:
En vain i’y emploiay mes ſecrets plus ſubtils, Tous mes medicamens reſterent inutils.	En vain j'y employai mes secrets plus subtils, Tous mes medicamens restèrent inutils.
te mal auoit vaiueu ma ſeunce eſtonnee.	te mal avait vaiu ma seunce estonnee.
La Royne ſans ſecours giſoit abandonnée, Souſpiroit à la mort, on n’attendoit rien plus Que la deſcendre morte en vn tombeau reclus.	La Royne sans secours gisait abandonnée, Souspirait à la mort, on n'attendait rien plus Que la descendre morte en un tombeau reclus.
La Cour giſoit en dueil, & ſon eſpoux fidelle Comblé de deſeſpoir mouroit du regret d’elle, Tout l'’estat des François alloit en deſarroy, Si Dies par ſa bonté n’euſt ſecouru le Roy.	La Cour gisait en deuil, et son époux fidèle Comblé de désespoir mourait du regret d'elle, Tout l'état des Français allait en désarroi, Si Dies par sa bonté n'eût secouru le Roi.
Sig.	Sig.
D'ou vous vient ceſte ioye?	D'ou vous vient cette joie?
& qui faict à ceſte heun Que vous ſoyex ſi gay quand tout le monde pleure, Que la Royne treſpaſſe, & laiſſe en ſe mourant Le Roy qui de regret ſe va deſeſperant?	et qui fait à cette heun Que vous soyex si gais quand tout le monde pleure, Que la Royne trépasse, et laisse en se mourant Le Roi qui de regret se va désespérant?
Le Me.	Le Me.
Auet vous ſeul do tous heu l’oraille fermée Au bruit de ce miracle, & de ſa renommée?	Auet vous seul do tous heu l'oraille fermée Au bruit de ce miracle, et de sa renommée?
Sig.	Sig.
Quel miracle eſteecy?	Quel miracle esteecy?
Le Me.	Le Me.
Que Dieu vint d’operer, Sig.	Que Dieu vint d'opérer, Sig.
A ton quelque remede où l'on doiue eſperer.	À ton quelque remède où l'on doive espérer.
Le M.	Le M.
Le iouir eſt la ſin où tend toute eſperancé Or on n’eſpere plus tout eſt en aſſeurance!	Le jouir est la sin où tend toute espérancé Or on n'espère plus tout est en assurance!
Sig Du treſpas dela Royne?	Sig Du trépas déla Roine?
Le M.	Le M.
Ouy bien de ſaſamté, Sig.	Oui bien de sasamté, Sig.
Qu’eſt ce que veut conter ce vieillard radoté?	Qu'est ce que veut conter ce vieillard radoté?
Le M.	Le M.
Ie ne radote point, car la Royne eſt guerie Sig.	Je ne radote point, car la Royne est guérie Sig.
Exempte de tous maux apres eſtre perie?	Exempte de tous maux après avoir périe?
Le Me.	Le Me.
Vous eſtes incredule, elle vit Dieu mercy Et eſt ſaine.	Vous êtes incrédule, elle vit Dieu merci Et st saine.
Sig.	Sig.
Et ſon fruict?	Et son fruit?
Le M.	Le M.
