Par J.	Par Y.
vo diria diou vey en tren à caqueta, Qu’u regardon lo jour qu’u faudrat banqueta.	vo diria diou vi en tren à caqueta, Qu'u regardon lo jour qu'u faudrat banqueta.
Velqui perque tanur que ton r'aic eten danſi, E faut que noſtron brando alle ben en cadanci.	Velqui perque tanur que ton raïc eten dansi, E faut que nostron brando allé ben en cadanci.
LHAUDA.	LHAUDA.
De pou que n’ale dret j’en vœy touta tremblan.	De pou que n'ale dret j'en vœi touta tremblan.
THIEVENA.	THIEUENA.
Devan le gen n’en faut poin fare de ſemblan.	Devan le gen n'en faut poin pare de semblan.
LHAUDA.	LHAUDA.
Du feu lo plu profond en ſort una fumeiri, Toutte lez ombre ſont ſujett' à la lumeiri.	Du feu lo plu profond en sort una fumiri, Toutette lez ombre sont sujett -à la lumeiri.
I’ai pou que lo patié ne ſeye deicouver Devan qu’u ſeye cot, car ce qu'ét plu couver te deiſale toujour à Saint lean & Saint Pierre cujourdeu tout ee qu'et paile juiqu'a le pierre.	J'ai pour que lo patié ne seye deicouver Devan qu'u seye cot, car ce qu'est plu couver te dé jour à Saint léan et Saint Pierre cujourdeu tout ce qu'est paile juiqu'a le pierre.
THIEVENA.	THIEUENA.
Qui deiſalariet-to choſa qu’ét ſi cacha, Lo bocon paſſarat, puis qu’u l’ét ben macha,	Qui devisalariét-to chosa qu'est si cacha, Lo bocon passarat, puis qu'u l'est ben mâcha,
LHAUDA.	LHAUDA.
Ghat que nou trey, & leu, qu’ayon part à la leichi, Mon Thono garda ben de gaſta noſtra peichi.	Gat que nou trey, et lu, qu'ayon part à la leichi, Mon Thono garda ben de gâta nostra péichi.
THONO.	THONO.
Ne me pren pa icy per un rapporta pet, Tu ſça que je ne voey jamey à pied couplet;	Ne me pren pa ici per un rapporta pet, Tu sça que je ne voei jamey à pied couplet;
Ne faut pa que de pou la vicina t’eimoſſe, Car l’affare eirat mieu que taborin à nopce.	Ne faut pa que de pou la vicina t'imosse, Car l'affare eirat mieu que taborin à nopce.
LHAUDA.	LHAUDA.
Si quittan lo rocſat, le plunes rau balon, Ie veyo mou deſi un jour à chivalon, Iamey à ton endret je ne ſarey ingrata.	Si quittan lo rocsat, le plunes rav balon, Je véio mou desi un jour à chivalon, Jame à ton endret je ne sarey ingrata.
THONO.	THONO.
Lhauda, j’amarin mieu eſtre tout plen de glata, Que ſi per mi t’eſtia trompa en ceu ſecret, De ce que tu m’a dit n’ayi point de regret.	Lhauda, j'amarin mieu être tout plen de glata, Que si per mi t'estia trompa en ceu secret, De ce que tu m'a dit n'aii point de regret.
210 1*210	210 1*210
THIEVENA.	THIEUENA.
Veiqui que vat prou ben, tenon iou boina mina, Lo plu difficil’at paſſa per l’eitamina:	Veiqui que vat pro ben, tenon jou boina mina, Lo plu difficil’at passa per l'éitamina:
Ltr approche ſont feite, egnat plu ren qu’un ſau A1 A fare, per intra din lo fort ſen aſſau.	Ltr approche sont féite, régnat plu ren qu'un sau A1 A sare, per intra din lo fort sen assau.
THONO.	THONO.
Voz eſt'en biau chamin, gnat que de ben s’entendre, Tout vin (comme ſe dit) à poin qui pot attendre.	Voz est-en biau chamin, gnat que de ben s'entendre, Tout vin (comme se dit) à poin qui pot attendre.
LHAUDA.	LHAUDA.
Ie ne ſçavo (laſſet) que ſarat tout iſonVna clochi de fonda at toùjour mêmo ſon, Perqu’a-tu ſi grand pou ore que l’aſſeuranci re dent fare avei mey que jamey d’eſpéranci,	Je ne savo (lasset) que sarat tout isonUna clochi de fonda at jour mêmo son, Perqu'a-tu si grand pou ire que l'assuranci re dent sare avi me que jamey d'espéranci,
LHAUDA.	LHAUDA.
Ie ſen comm’un peichou qui ſur l’eiga raman Ne tin pa aſſeura l’enguila den ſa man:	Je sen comm'un péichou qui sur l'éiga raman Ne tin pa assura l'enguila den sa man:
Toutefey ne pot pa m’arriva lo ſemblablo, Oui uioiieu Hiindor beigie qu’et tant aimablo, Montre que ſon amour ét ſen compareiſon.	Touteféi ne pot pa m'arriva lo semblablo, Oui uioiieu Hiindor beigie qu'et tant aimablo, Montre que son amour est sen compareon.
THIEVENA.	THIEUENA.
Ore je veyo ben que t’a quoque reiſon:	Ore je véio ben que t'a quoque reison:
Car en cecy ſe vet choſa qu’ét remarquabla, Que ſon amour n’ét pa fonda deſſu la ſabla:	Car en ceci se vêt chosa qu'est remarquabla, Que son amour n'est pa fonda dessu la sabla:
V ne ſe fat Bergié que per te retirié Du boey , ou io vacile ne pot pru tattirié.	V ne se fat Bergié que per te retirié Du boei , ou jo vacile ne pot pru tattirié.
E ne pot donq fally que la fourba qu’u joye Ne faſs’entra ton cour en ſe plu grande joye.	JE ne pot donc falli que la fourba qu'u joie Ne fass'entra ton cour en se plu grande joie.
IERO.	JERO.
Ie ne ſçavo, Bergié, ce que vo m’aves fat, Ie voudrin de bon cour n’avei autro preyfat Que de voreteni dedin ma maiſonneta, Car voz eſtes marqua d’una bona planeta.	Je ne savo, Bergié, ce que vœux m'aves fat, Je voudrin de bon cour n'avei autro préfat Que de voreteni de ma maisonneta, Car voz êtes marqua d'una bon planéta.
AMIDOR.	AMIDOR.
bon Pere, dont les ans touchent mes ſentimens, La faveur que j’attens de vos commandemens, Fait que je leur promets autant d’obeïſſance, Que de reſpect, ſelon ma petite puiſſance,	bon Père, dont les ans touchent mes sentiments, La faveur que j'attends de vos commandements, Fait que je leur promets autant d'obéissance, Que de respect, selon ma petite puissance,
IERO.	JERO.
Bergié, vo me creva lo cour d’honeſteta, Ie ne ſçaurin, veyan la bonna volonta Que voz avez per mi, ſen vo migié ni beré, ren pleno pertemuiio cie qui tout abbere.	Bergié, vo me creva lo cour d'honesteta, Je ne saurin, veyan la bonna volonta Que vos avez per mi, sen vo migié ni beré, ren pleno pertemuio cie qui tout abère.
AMIDOR.	AMIDOR.
Ie ſuis confus de tant de proteſtations, Que je n’ay merité de vos affections.	Je suis confus de tant de protestations, Que je n'ai mérité de vos affections.
PIERO.	PIERO.
Leiſſon cellei à part, je vo juro per m’arma, Que ſi noſtron Seignou qui ne crain ni gendarme, Nt canon, ni petard, ni coup de coutelard, Et qui toute le gen tin dedin ſon filard, Me donave un biau fils, comme vo qui ſeubiſſe, M’engarda que frippon jamey ne m’attrapiſſe, Et garda ma meiſon de l’harpa du larron, Ie ſarin plu conten que lo Rey de Carron.	Lisson celle à part, je vo juro per m'arma, Que si nostron Seignou qui ne crain ni gendarme, Noût canon, ni pétard, ni coup de coutelard, Et qui toute le gen tin dedin son filard, Me donave un biau fils, comme v qui seubisse, M'engarda que fripon jamey ne m'attrapisse, Et garda ma meison de l'harpa du larron, Je sarin ois conten que lo de Carron.
AMIDOR.	AMIDOR.
Voſtre fill' a d’attraits, des beautez & des charmes, Qui des mains d’i dieu Mais ierolet tober les armes Vn Seigneur la recherche, & meurt en ſes appas, Vn berger comme moi y perdroit donc ſes pas.	Votre fill' a d'attraits, des beautés et des charmes, Qui des mains d'y dieu Mais jérolet tober les armes Un Seigneur la recherche, et meurt en ses appas, Un berger comme moi y perdrait donc ses pas.
A PIERO.	À PIERO.
GMMME Ceu Monſieu qui ben loin ſa Seigneuri arrente, (inco que lou cayon n’ont pa migea ſe rente) At blau l’embummie toujour a coniemon, I ne portarat pa d’ale de parpaillon.	GMME Ceu Monsieu qui ben loin sa Seigneur arrente, (inco que lou cayon n'ont pa migea se rente) At blau l'embummie toujour a coniemon, I ne a pa d'ale de parpaillon.
Si ſouqua vo voles touchié ſur cella corda, Ie voz autarei tot de devan l’eyu la borda.	Si souqua vo les touchié sur cela corda, Je voc autarei tôt de devan l'éiv la borda.
AMIDOR.	AMIDOR.
17E4.	17E4.
Je ſerois trop heureux de traiter de ce point, Mais un pareil bon-heur ne m’arrivera point.	Je serais trop heureux de traiter de ce point, Mais un pareil bonheur ne m'arrivera point.
4 PIERO.	4 PIERO.
1 MO Perſonna ne l’aurat que vo, s’y voz agrade.	1 MO Personna ne l'aurat que vœux, s'y voz agrade.
AMOI DOR.	AMOI DOR.
Mon deſir ne ſçauroit monter au plus haut grade, Et de voſtre faveur je ſuis ſi fort lié, Que quand je ne pourrois eſtre voſtr’allié, Ny moins par mon ſervice eſtre reconnu d’elle, Ie ne derogeray au devoir d’un fideſſe.	Mon désir ne saurait monter au plus haut grade, Et de votre faveur je suis si fort lié, Que quand je ne pourrais être vostr’ allié, Ni moins par mon service être reconnu d'elle, Je ne dérogerai au devoir d'un fidesse.
PIERO.	PIERO.
I ne ſarat qu’à vo, u vollet-i ou nons I ne pot ren ſen mi:	I ne sarat , vollet-y ou nons I ne pot qu' à mi,
& pui per le marnon Quinte reiſon que l’aye, & quintou gey qu’y faſſe, E faut que per iqui eille paſſe & repaſſe.	et puy per le marnon Quinte reison que l'aie, et quintou géi qu'y fasse, E faut que per iqui eille passe et repasse.
Si ne fat mon voley i vertat d’un rever, 41 Que je ſçavo metta mon chapel de traver.	Si ne fat mon voley j' abat d'un rêver, 41 Que je savo meta mon chapel de traver.
I s’engardarat ben d’eimoucié ma collera, 6 I ſçat que je ſeu Piero, & non pa un Jean lera, Creyé que ſagimen elle ſe condurat.	I J'engardarat ben d'eimoucié ma collera, 6 I sçat que je seu Piero, et non pa un Jean lera, Creyé que sagen elle se condurat.
Allon-la donq trouva per vey s’i vo durat.	Allon-la donc trouva per vi s'y vo durât.
Vo verri qu’eill'ét ben jolietta & ben ſana, Et qu’eill’ét prou jentia per una païſana:	Vo verri qu'eill'est ben jolieta et ben sana, Et qu'eill'est pro ventia per una païsana:
Qu’eill’at de jugimen mey que d’un plein panié, Et qu’eill’ét eiveillat comm’un rat de granié:	Qu'eill'at de jugimen mei que d'un plein panié, Et qu'eill'est eiveillat comm'un rat de granié:
I n’at que trop de ſen.	I n'at que trop de sen.
La veici per rencontro.	La victi per rencontro.
1 Lhauda, eicouta ben ce que je te remontro:	1 Lhauda, eicouta ben ce que je te remontro:
Ie volo que cetteu qui montre en ſe vertu!	Je volo que cetteu qui montre en se vertu!
Qu’u n’at pa regarda tonjour per un pertu, Set ton eipou, vouz-u?	Qu'u n'at pa regarda tonjour per un pertu, Set ton eipou, voulez-vous?
montra-te ſen pareilli, Parla li, ne fay pa te tirié per l’aureilli.	montrate sen pareilli, Parla li, ne fais pa te tirié per l'aureilli.
Et ti fena vin cey, leiſſon lou caqueta, M’éi avi eujourdeu que je torno teta.	Et ty fena vin cei, leisson lou caqueta, M'éi a ujourdeu que je torno téta.
LHAUDA.	LHAUDA.
* L1E Vo montra ben, Monſieu, que voz eſtes lo trompho, Car de perei à vo egnat pa à regonfo.	* L1E Vo montra ben, Monsieu, que voz êtes lo trompho, Car de pèrei à vo eugnat pa à régonfo.
AMIDOR.	AMIDOR.
Tu vois que je merens ſous tes beaux yeux, mes rois;	Tu vois que je mens sous tes beaux yeux, mes rois;
Agreable Agreable à ton pere, & conforme à tes loix, Lt du en ndente tout auue je iuipant.	Agréable Agréable à ton père, et conforme à tes lois, Lt du en nente tout auve je juipant.
LHAUDA.	LHAUDA.
Vat prou ben, parlon ba de tout ce que ſe paſſe.	Vat pro ben, parlon ba de tout ce que se passe.
PIERO.	PIERO.
Vey-tu ben ceu mottet, u n’at pa toûjour prey, Sa via d’un mémo pan, u l’ét trop bien apprey.	Vei-tu ben ceu mottet, u n'at paya toujours prey, Sa via d'un mémo pan, trop bien apprey.
V n’ét pa de cellou qui ni mouſquet ni lata N’ont porta, ni paſſa doley la Boiſſerata.	V V'est paya de celou qui ni mousquet ni lata N'ont porta, ni passa dolei la Boisserata.
V l’at eira per tout ormy à Saint Bardos Onte lou Savoyar ſont prey per de bedot.	V l'at eira per tout ormi à Saint Bardos Te lou Savoyar sont prey per de bedot.
V ne laiſſiriet pa ren migié ſa ſoupa :	V ne laissiriét pa ren migié sa soupa :
Quand u moyen u l’at de mouton una troupa, Et d’autte choſe à tout que je ne ſçavo pa, Si j’avin lo leiſi de tefare mou pa, Ou te dire pluto, ſen fare grand harengua, Ce que din lo vetgié j’ay approy de ſa lengua:	Quand moyen ais l'at de mouton una troupa, Et d'autte chose à tout que je ne savo pa, Si j'avin lo leisi de tefare mou pa, Ou te dire pluto, sen sare grand harengua, Ce que din lo vetgié j'ai approi de sa lengua:
De miraclo de leu je te recontarin.	De miraclo de lu je te recontarin.
Mais ſuffit qu’u me plai mieu que ceu tartarin Qui comempramdoun d una grand ieugi largi.	Mais suffit qu'u me plai mieu que ceu tartarin Qui comempramdoun d una grand jeugi largi.
Autto que leu n’arat de ma grangi la chargi :	Auto que lu n'arat de ma grangi la chargi :
V l’aurat noſtra Lhauda, eyet prou remena, Et pui que ceu Monſieu s’aleiſe promena.	V l'aurat nostra Lhauda, euiet pro vena, Et puy que ceu Monsieu s'allise promena.
THIEVENA.	THIEUENA.
Ie ſeu de voſtron flan, car ſe vet à ſa mina Qu’u ne ſe laiſſe pas migié à la vermina.	Je seu de vostron flamme, car se vêt à sa mina Qu'hu ne se laisse pas migié à la vermina.
V ſe tin reblanchi, ſe geſte, ſe façon Montton qu’u ne debt ren à un bravo garçon.	V se tin reblanchi, se geste, se façon Monton qu'u ne débt ren à un bravo garçon.
Vo devé ſare donq ceu Mariageo à la coita, Perce que vo ſçavé que dedin una boita Lon ne la pot teni, un pou de migeiſon Fet quoque fey flappi la flou en ſa ſeiſon.	Vo devé sa donq ceu Mariageo à la coïta, Perce que vo sçavé que dedin un boita Lon ne la pot teni, un pou de migison Fet quoque fey flapi la flou en sa seison.
PIERO.	PIERO.
Ie n’ay pou que diquen:	Je n'ai pou que diquen:
veyqui perque je volo Deinichié ceu Monſieu, qu’at la mina d’un drolo, Que luy voudriet preita un pan ſur ſa fourna:	veiqui perque je volo Dinichié ceu Monsieur, qu'at la mina d'un drolo, Que Ah voudriet prévita un pan sur sa fourna:
Mais je luy farcy tout avei un pan de na.	Mais je te farci tout avei un pen de na.
Ore je voey du pied me tirié l’eipina, Lhauda tu ne po plu fare de la tupina:	Ore je voey du pied me tirié l'éjpina, Lhauda tu ne pô plu sare de la tupina:
Ne t’ay je pa trova lo ſecoyou que faut;	Ne t'ai je pa troua lo secoyou que faut;
Tu vey au moin qu’u n’at ni taram deffaut, Qu’en di-tu?	Tu vi au moin qu'hu n'at ni taram défaut, Qu'en di-tu?
lo vou-tu?	lo vou-tu?
cyét ton avantageo.	cyét ton avantage.
LHAUDA.	LHAUDA.
Qna filli n’ét pa deigouta en fruitageo, V voley de ſon Pare i ſe remet toûjour, De vo doncqua depen lo plu biau de mou jour,	Qua filli n'est pa deigouta en fruitageo, V olei de son Pare y se remet toujours, De vo doncqua dépen lo plu biau de mou jour,
TIERO.	TIERO.
Veiqui bien répondu, ét vo que je ſouhaitto, Volle.	Véiqui bien répondu, est vo que je souhait, Volle.
vo que per ley avecque vo je traitto?	vo que per lei avec vo je traito?
AMIDOR.	AMIDOR.
le iuntens que cela de voſtre volonté, Tout mon eſpoir conſiſte en l’extrême bonté, Dont vous me départez une grace infinie, Diſpoſez des accords, & de leur harmonie.	le juntends que cela de votre volonté, Tout mon espoir consiste en l'extrême bonté, Dont vous me départez une grâce infinie, Disposez des accords, et de leur harmonie.
PIERO.	PIERO.
Ne volo pa leiſſié ceu affare ſu pié, Thono, vey me queri quoque grata-papié:	Ne volo pa leissié ceu affare su pié, Thono, vei me quéri quoque grata-papié:
Convei mou paren, mou couſin, me coufine, La Mathia ma ſerou, & veyſin & veiſine.	Convei mou paren, mou cousin, me coufine, La Mathia ma servou, et vein et veisine.
Deipachi-te, cour donq, vito, ne tarda pa, Lou bon morceu ſont prey ſi-tot qu’u ſont coupa.	Dipachi-te, cour donq, vito, ne tarda paya, Lou bon morcu sont pré sitôt qu'une sont coupa.
AMIDOR.	AMIDOR.
En nos adverſitez les graces ſont écloſes, Ainſi l’on peut cueillir aux épines les roſes, Nous embellirons toſt nos cheveux & nos mains Au parterre d’Hymen, paradis des humains;	En nos adversités les grâces sont écloses, Ainsi l'on peut cueillir aux épines les roses, Nous embellirons tôt nos cheveux et nos mains Au parterre d'Hymen, paradis des humains;
Car voicy le chemin de la rejoüiſſance, A la fin l’un de l’autre aura la joüiſſance.	Car voici le chemin de la réjouissance, À la fin l'un de l'autre aura la jouissance.
LHAUDA.	LHAUDA.
Malhiver à la fin ne pourrat pa dura, E faudrat ben aprés avei prou endura, Avel quoque bon tem, maque iouque ne faille Demoura deipoſa gueiro aprés le fianç aille.	Malhiver à la fin ne pourrat pourra dura, E audrat ben après avouei prou endura, Avel quoque bon temps, ma jouque ne faille Demoura deiposa gueiro après le fianç aille.
PIERO.	PIERO.
Ah courageo, veicy lo Greſfié Babolin, Heritié du papié de maitre Repelin.	Ah courageo, véici lo Gresfié Babolin, Héritié du papié de montre Répelin.
a le aſiln.	a le asil.
Eicrivon, deipachan, faſſon valey la pluma Afin que lo martel batte tot ſur l’encluma.	Eicrivon, deipachan, fasson valei la pluma Afin que lo martel batte tôt sur l'encluma.
4 PIERO.	4 PIERO.
Aſſeton-no un po tandi qu’u l’eicrirat, Parlon ba autramen u s’eichibuchirat, Comme fit lo Balot dedin ſon eicritura, Quand vindrat à parla de l’eipouſa futura.	Asseton-nô un pô tandi qu'u l'éicrirat, Parlon ba autramen u s'éjchibuchirat, Comme fit lo Balot dédin son eicritura, Quand vindrat à parla de l'eipousa sutura.
THONO.	THONO.
Ceu Monſieu Babolin, gro migeou d’alloyau, A prey contra la Mort de grand lettre royau:	Ceu Monsieur Babolin, gro migeou d'alloyau, A prey contra la Mort de grand lettre royau:
Lo veiqui releva de la foſſa cindrouſa, Per fare enchavillé l’eipou aver l’eipouſa.	Lo véiqui releva de la fossa cindrousa, Per sare enchavillé l'eipou aver l'eipousa.
Dedin lo cementeiro où la Mort ſe norrit, Y n’at coucha qu’afin d’avei prou d’eſperit, Aſſi, u l’ét ſçavan, & lo Paley l’empleye, Iamey deſſou lo fey duz affare u ne pleye.	Dédin lo cementeiro où la Mort se norrit, Y n'at coucha qu'afin d'ave prou d'espérit, Assi, sçavan, et Paley empleye, Iamey dessou fey affare ne pleye.
Eyet leu qui toujour fat emmatricula Cellou qui de lour pa font, chacun recula.	Eyet lev qui toujour fat emmatricula Cellou qui de lour pa font, chacun recula.
Eyet leù qui dou ſou ſur chaque procés deime.	Eiet leù qui dou sou sur chaque procès deyme.
Et qu’et mieu empreſſa qu’un aſno de vendeime.	Et qu'et mieu empressa qu'un âno de vendeime.
Eyet leu qu’at bailla lo conſei à Caillat De teni ſou papié & ſon vin à foillat.	Eiet lev qu'at bailla lo consei à Caillat De teni sou papié et son vin à faillat.
A Rivoyri lo clerc, qui chacun eipelaille, De ſe couchié de jour comme ſont le polaille.	A Rivreri lo clerc, qui chacun éjpelaille, De se couchié de jour comme sont le polaille.
Et à prou de truande à ſe metti’à cachet, De pou qu’on le contteigne à paſſa lo guichet Du Conven de Madama, ou gnat reo que chabuclo Mais n’at tes pa biau na per porta de beruclo;	Et à prou de truande à se metti'à cachet, De pou qu'on le compteigne à passa lo guichet Du Conven de Madama, ou gat reo que chabuclo Mais n'at tes pa biau na per porta de beruclo;
Et dez aureille avoey per porta de pendan, Se deu mouſtache vont montan & deicendan, L’una contra lo cié, l’autra conna la teira.	Et dé aureille avoei per porta de pendan, Se deu vont mont montan et deicendan, L'una contra lo cié, l'autra conna la teira.
V bet comm’un carron en deipit de la gueira:	V bet comm'un carron en déjpit de la guérira:
Se den comm’un ratel ſont toute deicharney.	Se den comm'un ratel sont toute deicharney.
V fat ſa proviſion toute le matincy De bon fromageo gra de la Dana Bureiri Qu’u vat toûjour chougnan de charteiri en charteiri Lo na din ſon mantel, comme louz eicolié, Qui comme lou mulet porton lour ratelié.	V fat sa provision toute le matincy De bon fromageo gra de la Dana Bureriri Qu'une vat toujours chougnan de charteiri en charteiri Lo na din son mantelés, comme louz eicolié, Qui comme lou mulet porton lour ratelié.
V ne chante jamey avecque ſa camuſa Quand ben ſon vente ét plen comm’una cornamuſa.	V ne chante jamey avec sa camusa Quand ben son vente ét en comm'una cornamusa.
Quoquefey quand u l’et ſur ley bien appoya, Pette comm’un roſſin qui monte à la poya.	Quoquefey quand u l'et sur lei bien appoya, Pette comm'un rossin qui monte à la poya.
Enfin chacun ſçat prou qu’en tout u l’ét abila, Et qu’en ſon corp u n’at que la quoa de deibila,	Enfin chacun sat prou qu'en tout u l'est abila, Et qu'en son corp u n'at que la quoa de ibila,
Contrat de Mariage, reçeu par Maiſtre Babolin.	Contrat de Mariage, reçu par Maître Babolin.
V nom de Pan, Dieu de nos bois, Sçachent tous les joüeurs d’aubois,	V nom de Pan, Dieu de nos bois, Sachent tous les joueurs d'aubois,
De flajolets & de muſertes, Qu’aux lieux garnis de violettes, Amour, des Bergers ſeul vainqueur, A ſi bien niché dans le cœur De ces Amans, qu’on leur prepare (Afin que rien ne les ſepare) La preſente conjonction, Pour la multiplication Du genre humain, puiſque leur âge Eſt propre pour le Mariage.	De flatjolets et de musertes, Qu'aux lieux garnis de violettes, Amour, des Bergers seul vainqueur, A si bien niché dans le cœur De ces Amants, qu'on leur prépare (Afin que rien ne les sépare) La présente conjonction, Pour la multiplication Du genre humain, puisque leur âge Est propre pour le Mariage.
C’eſt pourquoy en ce joli mois, L’an mille ſix cens trente-trois, Et le huitiéme des Kalendes, Que de l’Arcadie les bandes Ne ſont pas toutes au molin :	C'est pourquoi en ce joli mois, L'an mille six cens te-trois, Et le huitième des Alendes, Que de l'Arcadie les bandes Ne sont pas toutes au molin :
Pardevant moy Iean Babolin, Du lieu de Coblavit Notaire, Tabellion hereditaire, A la forme que ſont pluſieurs, En preſence de vous, Meſſieurs, Qui prenez tout ce qu’on vous donne, Se ſont eſtablis en perſonne Le gentil Berger Amidor, Dont l’âge tient du ſiecle d’or:	Pardevant moi -Jean Babolin, Du lieu de Coblavit Notaire, Tabellion héréditaire, À la forme que sont plusieurs, En présence de vous, Messieurs, Qui prenez tout ce qu'on vous donne, Se sont établis en personne Le gentil Berger Amidor, Dont l'âge tient du siècle d'or:
Et Lhauda, Bergere adorable, Dont la beauté incomparable Donne le Printemps aux coupeaux, Leſquels pour joindre leurs troupeaux:	Et Lhauda, Bergère adorable, Dont la beauté incomparable Donne le Printemps aux coupeaux, Lesquels pour joindre leurs troupeaux:
De l’avis des Parties contentes, Pere, mere, oncles & tantes Reſpectivement ont promis Au conſpect de tous leurs amis,	De l'avis des Parties contentes, Père, mère, oncles et tantes Respectivement ont promis Au conspect de tous leurs amis,
G iij	G jijà
S’épouſer l’un l’autre au Temple Du Dieu Hymen qui les contemple, A la requeſte du premier Qui ſentira comme un limier La venaiſon, à peine d’eſtre Indignes de la main du Preſtre, Deſpens, dommages, intereſts, Suivant les Status des Foreſts.	S'épouser l'un l'autre au Temple Du Dieu Hymen qui les contemple, À la requête du premier Qui sentira comme un limier La venaison, à peine d'être Indignes de la main du Prêtre, Despens, dommages, intérêts, Suivant les Status des Forêts.
Et parce que c’eſt la coutume Auparavant que l’on conſume Les Mariages, de doter Les filles, pour mieux ſupporter Les charges d’un nouveau ménage, Tandis que l’un ſur l’autre nage:	Et parce que c'est la coutume Auparavant que l'on consume Les Mariages, de doter Les filles, pour mieux supporter Les charges d'un nouveau menage, Tandis que l'un sur l'autre nage:
Se conſtitue meurement, Et du tout volontairement, Piero pere de la Bergere, Laboureur, voiſin de l’Izere, Qui pour rendre ce couple tel, Que jadis le couple immortel Eſtoit auparavant le crime, Donne à ſa fille legitime Vn verger dont les arbres verds Ne craignent jamais les hyvers:	Se constitue meurement, Et du tout volontairement, Piero père de la Bergère, Laboureur, voisin de l'Isère, Qui pour rendre ce couple tel, Que jadis le couple immortel Était auparavant le crime, Donne à sa fille légitime Un verger dont les arbres verds Ne craignent jamais les hivers:
Et auquel, quoy que l’Eſté tonne N’y a que Printemps & qu’Automne, Environné de ſes ruiſſeaux, Et peuplé d’un million d’oyſeaux:	Et auquel, quoi que l'Été tonne N'y a que Printemps et qu'Automne, Environné de ses ruisseaux, Et peuplé d'un million d'oiseaux:
Contenant une belle treille, Sous laquelle Baccus ſommeille.	Contenant une belle treille, Sous laquelle Baccus sommeille.
Vn poirier qui jaunit ſon fruit, Comme l’œil contraire à la nuit.	Un poirier qui jaunit son fruit, Comme l'œil contraire à la nuit.
Vn pommier chargé de ſes pommes, Dont les femmes tentent les hommes, Vn cerizier qui fait des vers Plus que Poëte en l Vnivers.	Un pommier chargé de ses pommes, Dont les femmes tentent les hommes, Un cérisier qui fait des vers Plus que Poète en l Ivers.
Vn bon griottier pour la fiévre De ceux qui ont la peur d’un liévre.	Un bon griottier pour la fièvre De ceux qui ont la peur d'un lièvre.
Et un prunier, qui les tailleurs Rafraichit au mois des chaleurs, Avec ſes autres contenances, Vrais confins & appartenances, A la charge que le cocu Levant ſur ces arbres le cu, Ne chante point, à cauſe d’elle, Le déplaiſir de ſon fidelle.	Et un prunier, qui les tailleurs Rafraichit au mois des chaleurs, Avec ses autres contenances, Vrais confins et appartenances, À la charge que le cocu Levant sur ces arbres le cv, Ne chante point, à cause d'elle, Le déplaisir de son fidèle.
Item, en contemplation De leur propte conjonction, Thievena, bonne menagere, Mere de ladite Bergere, Lui donne un lit couvert de fleurs, Pout y eſteindre ſes chaleurs:	Item, en contemplation De leur propte conjonction, Thievena, bonne ménagère, Mère de ladite Bergère, Lui donne un lit couvert de fleurs, Pout y éteindre ses chaleurs:
A la charge que bien appriſe, Elle n’y laſche point ſa priſe.	À la charge que bien apprise, Elle n'y lâche point sa prise.
Item, ſa tante qui ſouvent Souffle mieux du cu que le vent, Luy donne un fout pour ſonuſage, A la charge qu’en ſon ménage Elle mette bien le levain, Et ne petriſſe point en vain.	Item, sa tante qui souvent Souffle mieux du cv que le vent, Lui donne un fout pour sonusage, À la charge qu'en son ménage Elle mette bien le levain, Et ne pétrisse point en vain.
Item, l’épouſée future, Suivant les loix de la nature, Se cobſtituë ſes moutons, Sa bouche, ſes yeux, ſes tetons,	Item, l'épousée future, Suivant les lois de la nature, Se cobstitue ses moutons, Sa bouche, ses yeux, ses tétons,
Et ce qu’ell’a deſſous ſa cotte, Que pour ſupplement de ſa dotte Elle exhibera dans la nuit Que l’un à l’autre doit ſans bruit Tirer quelques coups d’eſtocade, Pour enfoncer la barricade.	Et ce qu'elle a dessous sa cotte, Que pour supplément de sa dotte Elle exhibera dans la nuit Que l'un à l'autre doit sans bruit Tirer quelques coups d'estocade, Pour enfoncer la barricade.
Item, ledit futur époux, Pour mourir entre deux genoux, Et rendre ſon ame aſſouvie Au lien où chacun prend la vie, Se conſtituë tous ſes biens, Autant pour luy, que pour les ſiens A la forme de l’Inventaire Fait ci-devant par moi Notaire.	Item, ledit futur époux, Pour mourir entre deux genoux, Et rendre son âme assouvie Au lien où chacun prend la vie, Se constitue tous ses biens, Autant pour lui, que pour les siens À la forme de l'Inventaire Fait cy-devant par moi Notaire.
Item, outre un de ſes boyaux, Donne à l’épouſe pour joyaux, Deux perles en rondeur égales:	Item, outre un de ses boyaux, Donne à l'épouse pour joyaux, Deux perles en rondeur égales:
Et pour ſes robes nuptiales Cent florins, qui croîtront l’amas Du Marchand Roſſeau Iean Thomas.	Et pour ses robes nuptiales Cent florins, qui croîtront l'amas Du Marchand Rosseau Jean Thomas.
Item, en cas qu’il leur arrive, Qu’ell’en ce monde le ſurvive, L’époux luy donne pour augment Tout ce qu’il a par teſtament De ſon pere, qui l’onde noire A paſſé, pour n’avoir ſçeu boiré, Avec cinq cens écus d’or ſol, Plus charmans qu’u re mi fa ſol.	Item, en cas qu'il leur arrive, Qu'elle a par terre le survive, L'époux lui donne pour augment Tout ce qu'il a par testament De son père, qui l'onde noire A passé, pour n'avoir su boiré, Avec cinq cents écus d'or sol, Plus charmands qu'u re mi fa sol.
