A PARIS, Chez PIERRE DAVID, ſur le Perron en entrant dans la grande Salle du Palais.	À PARIS, Chez PIERRE DAVID, sur le Perron en entrant dans la grande Salle du Palais.
Mais ce grand homme dont les veilles Ne ſont que pour vôtre grandeur, De qui la genereuſe ardeur Nous à fait voir tant de merueilles.	Mais ce grand homme dont les veilles Ne sont que pour votre grandeur, De qui la généreuse ardeur Nous à fait voir tant de merveilles.
RICHELIEV l’appuy des autels, Et les delices des mortels, D’vne prudence plus qu’humaine Sçeuſt ſi bien ſecourir vos forts, Qu’il rendit leur deſcente vaine, Et les chaſſa loinde vos ports.	RICHELIEU l'appui des autels, Et les délices des mortels, D'une prudence plus qu'humaine Sut si bien secourir vos forts, Qu'il rendit leur descente vaine, Et les chassa loinde vos ports.
Le Ciel qui deuoit à noſtre âge Vos merueilleuſes actions, Vous deuoient les perfections De cet excellent perſonnage:	Le Ciel qui devait à notre âge Vos merveilleuses actions, Vous devaient les perfections De cet excellent personnage:
Außi nous faut il aduoüer, Qu'on ne le peut aſſez loüer, Que ſes conſeils ſont des oracles, Qui donnent de l'eſtonnement, Et qui font faire des miracles Deſſus l’vn & l’autre élement.	Aussi nous faut il avouer, Qu'on ne le peut assez louer, Que ses conseils sont des oracles, Qui donnent de l'étonnement, Et qui font faire des miracles Dessus l'un et l'autre élément.
AcquereZ donc par la vengeance Des torts qu’ils vous ont procurez Le repos que vous deſirez De redonner à voſtre France, Tout tremble au nom d’vn ſigrand Roy, Et le ſultan auec effroy Oyt le ſucces de vos conquestes, Qui ſans nulle doute promet, Que vous deuez briſer les teſtes Des ſeruiteurs de Mahomet.	Accès donc par la vengeance Des torts qu'ils vous ont procurés Le repos que vous désirez De redonner à votre France, Tout tremble au nom d'un sigrand Roi, Et le sultan apprendre effroi Oit le succès de vos conquêtes, Qui sans nulle doute promet, Que vous devez briser les têtes Des serviteurs de Mahomet.
Grand Prince que les deſtinees Vous filent des iours bien-heureux, Et que vos actes genereux, Vous feront des longues annees:	Grand Prince que les destinées Vous filent des jours bienheureux, Et que vos actes généreux, Vous feront des longues années:
O que les races à venir Auront cher de ſe ſouuenir, De vos armes victorieuſes, Et qu'auec raiſon le diſcours, De vos conqueſtes glorieuſes Paſſera iuſqu’aux derniers iours.	Ô que les races à venir Auront cher de se souvenir, De vos armes victorieuses, Et qu'avec raison le discours, De vos conquêtes glorieuses Passera jusqu'aux derniers jours.
Außi toſt qu’on verra calmee La fureur qui trouble le corps, L’on vous verra couurir de morts Les campagnes de l'Idumee:	Aussi tôt qu'on verra calmée La fureur qui trouble le corps, L'on vous verra couvrir de morts Les campagnes de l'Idumée:
Les deſtins qui vous ſont amis Nous ont depuis lõg temps promis, Que c’eſt par voſtre ſeule espee, Malgré tous les empeſchements, Qu'vn iour l’on verra dißipee La puiſſance des Othomans.	Les destins qui vous sont amis Nous ont depuis lõg temps promis, Que c'est par votre seule épée, Malgré tous les empêchements, Qu'un jour l'on verra dissipée La puissance des Othomans.
O grand Roy le premier du mõde Suiuez donc les loix du destin, Et d’où Phebus ſort le matin Iuſqu’au lieu qu’il rẽtre dãs l’onde, Faites voir les Lys & la Croix, Et recognoiſtre aux plus grãs Rois Qui commandent deſſus la terre, El dlij-t phiſſamt que lupiler, Vous aueZ de traits de tonnerre, Qui ne ſe peuuent eſuiter.	Ô grand Roi le premier du monde Suivez donc les lois du destin, Et d'où Phebus sort le matin Jusqu'au lieu qu'il rètre donnés l'onde, Faites voir les Lys et la Croix, Et reconnaître aux plus grands Rois Qui commandent dessus la terre, El terre, phissamt que lupiler, Vous avez de traits de tonnerre, Qui ne se peuvent éviter.
Ainſi ne puiſſe point la Parque De vos longs iours trouuer la fin, Que de vous ne naiſſe vn Dauphin, Digne fils d’vn ſi grand Monarque Et deuant qu'en vn age vieux, Vous alliez boire dans les Cieux Le nectar auecques vos peres, Vous nous laißiez vn heritier, Que paiſible auec pluſieurs freres, IQRMUISEa,	Ainsi ne puisse point la Parque De vos longs jours trouver la fin, Que de vous ne naisse un Dauphin, Digne fils d'un si grand Monarque Et devant qu'en un age vieux, Vous alliez boire dans les Cieux Le nectar avec vos pères, Vous nous laissiez un héritier, Que paisible avec plusieurs frères, IQUISEa,
STANCES A DAMON contre la vanité du temps.	STANCES A DAMON contre la vanité du temps.
Combien inſenſeZ nous ſommes, ADamon, de nous rompre l’eſprit A tracer quelque docte eſcrit, Qui paſſe iuſqu'aux derniers hommes, Et pour ce ſoin mal à propos Ne nous laiſſer point de repos.	Combien insens nous sommes, ADamon, de nous rompre l'esprit A tracer quelque docte écrit, Qui passe jusqu'aux derniers hommes, Et pour ce soin mal à propos Ne nous laisser point de repos.
O que nostre foibleſſe eſt grande D’eſperer inutilement, De nous dreſſer vn monument, Qui contre la mort uous deffende:	Ô que notre faiblesse est grande D'espérer inutilement, De nous dresser un monument, Qui contre la mort -vous défende:
Elle eſt plus ſourde qu'vn rocher, Et rien ne la ſçauroit toucher.	Elle est plus sourde qu'Hommes rocher, Et rien ne la saurait toucher.
Les plus poltrons & les plus braues Sont emporteZ d’elle ſans choix, Et d’vn meſme coup que les Roys, Elle fait mourir les eſclaues, Les Dieux meſmes ne peuuent pas Exempter quelqu vn au treſpas.	Les plus poltrons et les plus braves Sont emportés d'elle sans choix, Et d'un autre coup que les Rois, Elle fait mourir les esclaves, Les Dieux mêmes ne peuvent pas Exempter quelqu un au trépas.
Tout tombe ſous ſa dent meurtriere, Homere & Virgile ſont morts, Et leurs eſcripts comme leurs corps, Yront vn iour deſſous la biere:	Tout tombe sous sa dent meurtrière, Homère et Virgile sont morts, Et leurs écripts comme leurs corps, Yront un jour dessous la bal:
L’homme n’estant point immortel, Ne ſçauroit faire rien dt tel.	L'homme n'étant point immortel, Ne saurait faire rien dût tel.
Et toutesfois noſtre folie, Nous fait vainement esperér Vne gloire qui doit durer Sans iamais eſtre enſeuelie,	Et toutefois notre folie, Nous fait vainement esperérAine gloire qui doit durer Sans jamais être ensevelie,
E ij Si nous acquerons quelque bruit, En nous trauaillant iour & nuict.	 Ej à nous acquérons quelque bruit, En nous travaillant jour et nuit.
Non, non, quand bien les deſtinees Amoureuſes des beaux eſprits Feroient paſſer tous leurs eſcrits Iuſques aux dernieres annees, EnfermeZ dans le monument, lls n'en ont point de ſentiment.	Non, non, quand bien les destinées Amoureuses des beaux esprits Feraient passer tous leurs écrits Jusques aux dernières années, Enfermés dans le monument, lls n'en ont point de sentiment.
Et la gloire que l’on ottroye Aux vers de l’aueugle eſcrluain, Est vn payement außi vain, Rotes nomsu Prtiene & de Troye, Ou ce qu’il dit des dieux bleſſe Et par vn ſeul homme chaſſez.	Et la gloire que l'on ottroie Aux vers de l'aveugle escrluain, Est un paiement aussi vain, Rotes noms Prétiene et de Troie, Ou ce qu'il dit des dieux blesse Et par un seul homme chassés.
Il n’en a point de cognoiſſance, Non plus que des debats fameux, Dont les Grecs ſe virent émeus Touchant le lieu de ſa naiſſance, Et ne luy chaut point, en repos, Ouque ſoient enterrez ſes os.	Il n'en a point de connaissance, Non plus que des débats fameux, Dont les Grecs se virent émus Touchant le lieu de sa naissance, Et ne lui chaut point, en repos, Ouque soient enterrés ses os.
Viuons loin de ces ſoins eſtranges, Les plus aiſes que nous pourrons, Que ſi tandis que nous viurons, L’on nous donne quelques loüanges, Iouïſſons alors de ce bien, Car apres nons n'en ſemon ctens	Vivons loin de ces soins étranges, Les plus aises que nous pourrons, Que si tandis que nous vivrons, L'on nous donne quelques louanges, Jouissons alors de ce bien, Car après nons n'en semon cents
Sur le paſſage de l’autheur par le haut Viuarés.	Sur le passage de l'auteur par le haut Viuarés.
Là contree l’ordre des climats Où chaque ſaiſon eſt bornee,	Là contrée l'ordre des climats Où chaque saison est bornée,
TANCES.	TANCES.
Es chemins par où i’aypaſsé, ESont des montagnes beriſſees De grands rocs, dont le front glacé Porte iuſques au ciel ſes cornes verniſſees.	Es chemins par où j'aipassé, ESont des montagnes bérissees De grands rocs, dont le front glacé Porte jusques au ciel ses cornes vernisse.
L iij	 Lijà
Les bruines & les frimats De nege & de glaçons forment toute l’annee.	Les bruines et les frimats De nege et de glaçons forment toute l'année.
Bacchus s'y cache des paſſants, Dans le ventre velu d’vn outre, Ceres ſans temple & ſans encens Ny voit iamais vſer de faueile, ou dé coutre.	Bacchus s'y cache des passants, Dans le ventre velu d'une outre, Ceres sans temple et sans encens Ny voit jamais user de faveile, ou de coutre.
Quelques raues ſont la moiſſon, La plus riche que l’on y cueille, Les logis y ſont de façon, Quin toier jan ue genet y couure vn lict de fueille.	Quelques raves sont la moisson, La plus riche que l'on y cueille, Les logis y sont de façon, Quin toier jan ue genet y couvre un lit de fueille.
A CALLISTE.	À CALISTE.
Alliſte ſi iamais tu trouuas rien en moy QQui merita l'uonnent uefere eſeme de toy, Si iamais mon genie a rien eu qui te plaiſe, Les dieux dedans le ciel enuieront mon aiſe,	Alliste si jamais tu trouvas rien en moi QQui mérita l'uonnent uefere eseme de toi, Si jamais mon génie à rien eu qui te plaise, Les dieux dedans le ciel envieront mon aise,
Ma fortune au deſſus du reſte des mortels Me feroit mespriſer l'encens & les autels, Ton accueil m'eſt plus cher, i’eſtime plus tagrace, Que ſi i’eſtois ſorti d’vne Royale race, Vne heure d’entretien auec toy me vaut mieux Que d’eſtre vn ſiecle entier à l’entretien des Dieux C’eſtlà que cette ardeur, qui nous eſchauffe l’ame Trouue de nourriture à r’auiuer ſa flame, C’eſt là que mon eſprit ſe deslie & s’estend, Et trouue aupres de toy ce qu’il a cherché tant, Ce Demon vigoureux que l’on voit dans l’ouurage Du plus puiſſant eſprit qui ſoit né de noſtre àge, Ce genie autrefois incognu dans les vers, A-il quelques ſecrets qui ne te ſoient ouuerts?	Ma fortune au dessus du reste des mortels Me feroit mépriser l'encens et les autels, Ton accueil m'est plus cher, estime plus tagrace, Que si estois sorti Royale race, heure entretien auec toi me vaut mieux Que être siècle entier entretien des Dieux Ma que cette au, qui nous du râmeSite des morte ls Mauiuer sa se, est ra que m esprit se délie et l'étend, Et les au de toi ce il a cherché tant, Ce Ton vigoureux queilon m' es ouurage Du plus ta esprit qui soit de nôtre ace, Que si autrefois j'dans les vers, A-il quelques sort qui d' une Royale race,
Les meilleurs ſentimens partent de ton eſcole, Tu donne l’ame aux mots, la force à la parole, En fin tout ce qui doit eſtre francdu tombeau, Tout ce qu’vn lõg trauail peut produire de beau;	Les meilleurs sentiments partent de ton école, Tu donne l'âme aux mots, la force à la parole, En fin tout ce qui doit être francu tombeau, Tout ce qu'un lõg travail peut produire de beau;
Et tout ce que l’on voit de ces fameux genies, Dont les vieux ſiecles ont les trames des-vnies,	Et tout ce que l'on voit de ces fameux génies, Dont les vieux siècles ont les trames des-vnies,
N'ont rien de comparable au moindre des diſcours Où l’entretien commun t'engage tous les iours:	N'ont rien de comparable au moindre des discours Où l'entretien commun t'engage tous les jours:
Bien heureux ſi i’auoy durant mon infortune Auecques tes valets cette grace commune, Que ie les penſe ouïr auecques liberté, Et iouïr de l’obiect de ta rare beauté, Dans tes raiſonnements ie formeroy mon ame, Mais le deſtin m’a fait vne plus dure trame, Ennemy coniuré qu’il eſt de mes plaiſirs, Il choque encent façons mes ſoins & mes deſirs:	Bien heureux si j'avais durant mon infortune Avecques tes valets cette grâce commune, Que ie les pense ouïr auecques liberté, Et jouir de l'objet de ta rare beauté, Dans tes raisonnements avoir formerai mon âme, Mais le destin m'a fait une plus dure trame, Ennemi conjuré qu'il est de mes plaisirs, Il choque encent façons mes soins et mes désirs:
Des qu'vn petit rayon de bon heur me veut luire:	Des qu'un petit rayon de bon heur me veut luire:
Il ſemble qu’il ait pris à tache de me nuire, Quoy qu’il face pourtant il ne peut me rauir Le deſſein que mon ame a faict de te ſeruir Ta beaute qui n'eſt point ſubiette aux loix mortelles Ne fait point naiſtre auſsi des affections telles, Et ce vieil aſaſs in qui doit perdre les cieux N'aura iamais de droict ſur les coups de tes yeux.	Il semble qu'il ait pris à tache de me nuire, Quoi qu'il face pourtant il ne peut me ravir Le dessein que mon âme a fait de te servir Ta beauté qui n'est point sujet aux lois mortelles Ne fait point naître aussi des affections telles, Et ce vieil asass in qui doit perdre les cieux N'aura jamais de droit sur les coups de tes yeux.
Car cette opinion où le commun s'engage	Car cette opinion où le commun s'engage
Iamais ſur ton eſprit n’euſt aucun aduantage, La pompe des habits & la ſuite d’vn train Peuuent moins deſſus toy que le bois ſur l’airain, Et cet eſclat pipeur de l’or & de la ſoye Qui ſe faict en tous lieux vne facile voye, Qui rompt les amitiez, faict violer la foy, Calliſte n’euſt iamais aucun pouuoir ſur toy, Toname d’vne trempe entierement diuine En tout ce qu’elle fait marque ſon origine, Et ie ſuis ſi certain de cette verité Que ie mettrois pluſtoſt en doute la clairté:	Jamais sur ton esprit n'eût aucun avantage, La pompe des habits et la suite d'un train Vent moins dessus toi que le bois sur l'air, Et cet éclat pipeur de l'or et de la soie Qui se fait en tous lieux une facile voie, Qui rompt les amitiés, faict violer la foi, Calite n'eût jamais aucun pouvoir sur toi, Toname d'une trempe entièrement divine En tout ce qu'elle fait marque son origine, Et je suis si certain de cette verité Mais je mettrais plutôt en doute la clairté:
Ie cognois des eſprits qui craindroiẽt du reproche, Dés qu’auec deux valets, vn homme les aproche Qui leur parle d’amour & louëleur beauté, S’ils ne luy donnoient point vn peu de priuauté, Quand le ciel me verroit auec plus de diſgrace, Que dans vn hoſpital i’auroy toute ma race Que parmy le trauail auec mille remords Il me faudroit chercher dequoy nourrir le corps, Il me ſeroit plus doux de faire cette vie De mille deſplaiſirs à toute heure ſuiuie, Que de me voir reduit à viure comme amant Auecque des eſprits d’vn ſi bas ſentiment.	Je connais des esprits qui craindraient du reproche, Dès qu'avec deux valets, un homme les approche Qui leur parle d'amour et louleur beauté, S'ils ne le voulaient point un peu de privauté, Quand le ciel me verrait avec un de disgrâce, Que dans un hôpital j'aurais toute ma race Que parmi le travail avec mille remords Il me faudrait chercher dequoy nourrir le corps, Il me serait plus doux de faire cette vie De mille déplaisirs à toute heure suivie, Que de me voir réduit à viure comme amant Auecque des esprits , si bas sentiment.
ONNET sur l’abſence de Caſliſte.	ONNET sur l'absence de Caste.
I tandis que le Ciel à mes plaiſirs contraire OVeut à mõgrãd regret tes beautés me cacher La curioſité te faiſoit rechercher, Qu'eſt-ce que loin de toy Calliſte ie puis faire.	I tandis que le Ciel à mes plaisirs contraire OUeut à mõgrãd regret tes beautés me cacher La curiosité te faisait rechercher, Qu'est-ce que loin de toi Caliste jour puis faire.
Tu ſçaurois qu'õ ne peut aux ennuis m’arracher, Que ie fuy mes amis qui m'en veulent diſtraire, Et que ie ne vy plus qu'en vn lieu ſolitaire Oùrien que la douleur n'oſeroit m'approcher.	Tu saurais qu'on ne peut aux ennuis m'arracher, Que je fuis mes amis qui m'en veulent distraire, Et que sans ne vi plus qu'en un lieu solitaire Oùrien que la douleur n'oserait m'approcher.
Là de mes triſtes yeux vne eternelle ſource, Qui des ruiſſeaux voiſins rẽd plus forte la courſe, Auec mille ſouſpirs diſtille inceſſamment.	Là de mes tristes yeux une éternelle source, Qui des ruisseaux voisins rẽd plus forte la course, Avec mille soupirs distille incessamment.
Et ſi tu me voyois Calliſte en ceste peine De quelque cruauté dont ton ame ſoit pleine,	Et si tu me voyais Calliste en cette peine De quelque cruauté dont ton âme soit pleine,
Ton retour me rendroit bien toſt heureux amãt,	Ton retour me rendrait bien tôt heureux amout,
Sur le meſme ſubiect.	Sur le même sujet.
Greables Nymphes des eaux I AHumides ſources des ruiſſeaux, AideZ moy dans ceſte aduanture, Car Calliſte en quittant ces lieux A mis en peine la Nature De fournir de pleurs à mes yeux,	Gréables Nymphes des eaux I JHumides sources des ruisseaux, AideZ moi dans cette aventure, Car Calliste en quittant ces lieux A mis en peine la Nature De fournir de pleurs à mes yeux,
OuureZ vous pour me ſecourir Rochers qui touſiours ſans tarir Humectez voſtre maſſe dure, Car Calliſte en quittant ces lieux A mis en peine la Nature De fournir de pleurs à mes yeux.	Ouvrez -vous pour me secourir Rochers qui toujours sans tarir Humectez votre masse dure, Car Calliste en quittant ces lieux A mis en peine la Nature De fournir de pleurs à mes yeux.
Peupliers, ſaules, prés verdoyans Dans l’eau vos racines noyans Preſtez moy votre nourrituré Car Calliſte en quittant ces lieux A mis en peine la nature De fournir de pleurs à mes yeux.	Peupliers, saules, prés verdoyant Dans l'eau vos racines noyant Prêtez moi votre nourrituré Car Caliste en quittant ces lieux A mis en peine la nature De fournir de pleurs à mes yeux.
Mais helas!	Mais hélas!
durant ces malheurs.	durant ces malheurs.
Qui me pourroit fournir les pleurs, Qu'il me faut verſer à toute heure, Puiſque Calliſte hors de ces lieux A mis en peine la nature D’en fournir aſſez à mes yeux.	Qui me pourrait fournir les pleurs, Qu'il me faut verser à toute heure, Puisque Caliste hors de ces lieux A mis en peine la nature D'en fournir assez à mes yeux.
Que ſi mon mal eſt à ce point, Demons hé!	Que si mon mal est à ce point, Demons hé!
ne ſçauries vous point Pour mõ ſecours quelque impoſture?	ne sauriez -vous point Pour mon secours quelque imposture?
Puiſque Calliſte hors de ces lieux A mis en peine la nature De fournir de pleurs à mes yeux.	Puisque Calliste hors de ces lieux A mis en peine la nature De fournir de pleurs à mes yeux.
Voila ce qu'Alcidon diſoit, Voila ce qu'Alcidon faiſoit, Ayant ſon ame à la torture, uand Calliſte en quittant ces lieux Euſt mis en peïne la nature De fournir de pleurs à ſes yeux.	Voilà ce qu'Alcidon disait, Voilà ce qu'Alcidon faisait, Ayant son âme à la torture, uand Calliste en quittant ces lieux Eut mis en péirne la nature De fournir de pleurs à ses yeux.
STANCES, au fleur de famet Leon.	STANCES, au fleur de famet Léon.
Oû les myrthes & les roZ iers Preſtent leurs branches amoureuſes Aux laſciues douceurs de ces troupes heureuſes Qui ſans hõte à nos yeux esteignẽt leurs braſiers.	Ou les myrthes et les roZ jers Prêtent leurs branches amoureuses Aux lasciues douceurs de ces troupes heureuses Qui sans hète à nos yeux éteignent leurs brasiers.
Ainct Leon ſi les curieux  Veulent ſçauoir où ie reſpire Dy leur qu’vne beauté m’arreſte en vne empire Oùi'ay pour compagnons, ou pour riuaux des dieux.	Ainct Léon si les curieux Veulent savoir où tu respire Di leur qu'une beauté m'arrête en une empire Où pourrai pour compagnons, ou pour rivaux des dieux.
Où de iour nous trouuons la nuict Deſſous les iaſmins & les roſes, Ou l’ardeur du ſoleil qui bruſle toutes choſes N’oſe nous approcher que pour meurir le fruict.	Où de jour nous trouvons la nuit Dessous les jasmins et les roses, Ou l'ardeur du soleil qui brûle toutes choses N'ose nous approcher que pour mûrir le fruit.
Où des que le ſoleil paroit Les roßignols & les linotes Font vn ſi doux concert de leurs diuerſes nôtes Qu'Orphee en les oyant de honte rougiroit.	Où des que le soleil parait Les roqignols et les linotes Font un si doux concert de leurs diverses nôtes Qu'Orphée en les oyant de honte rougirait.
Les fleurs y naiſſent ſous nos pas, Le fruictiuſqu'en nos mains s’y panche, Et l’arbre qui le porte en deſpoüille ſa branche Pour nous les faire offrir à la fin des repas.	Les fleurs y naissent sous nos pas, Le fruictiusqu'en nos mains s'y penche, Et l'arbre qui le porte en dépouille sa branche Pour nous les faire offrir à la fin des repas.
Nous n’y voyons iamais pleurer Si ce n’eſt au matin l’aurore, Et le Zephire ſeul quand il careſſe Flore Oze en ce paradis ſes plaintes ſouspirer.	Nous n'y voyons jamais pleurer Si ce n'est au matin l'aurore, Et le Zéphire seul quand il caresse Flore Oze en ce paradis ses plaintes soupirer.
ugutiquide des ruiſſeaux Thyamt y vaiſe le rinage, Et coule glorieux de receuoir l’ombrage Desarbres qu’il nourrit de l’humeur de ſes eaux,	ugutiquide des ruisseaux Thymt y vaise le rinage, Et coule glorieux de recevoir l'ombrage Désarbres qu'il nourrit de l'humeur de ses eaux,
Bacchus y rit ſur les coſtaux, Et ſautelant dedans vn verre Aſſeure ſes amis que les biens de la terre Sans luy ne ſont que paille & que freſles roſeaux.	Bacchus y rit sur les costaux, Et sautelant dedans un verre Assure ses amis que les biens de la terre Sans grands ne sont que paille et que frêles roseaux.
En fin mon ſeiour eſt plus beaus Que l’on ne feint les Eliſees Mais loin de ma Caſtille obiect de mes penſees, Cher amy ie n’y voy que l’horreur du tombeau.	En fin mon séjour est plus beaus Que l'on ne feint les Élises Mais loin de ma Castille objet de mes pensées, Cher ami ici n'y vois que l'horreur du tombeau.
MELANCHOLIE.	MELANCHOLIE.
Epuis qu’vne maudite enuie D Calliſte me cacha tes yeux, Les obiects les plus gratieux Sont des cruels bourreaux qui torturent ma vie, Depuis au gré de mill' enuis Ie cherche dans l’horreur des nuis La campaigne la plus deſerte, Et le ſoleil m'eſt ennemi, Si ce n’eſt lors qu’il a blemi Quand vn' obſcure nuë à ſa clairté couuerte:	Epuis qu'une maudite envie D Alliste me cacha tes yeux, Les objets les plus gratieux Sont des cruels bourreaux qui torturent ma vie, Depuis au gré de mill envis Je cherche dans l'horreur des nuis La campagne la plus déserte, Et le soleil m'est ennemi, Si ce n'est lors qu'il a blêmi Quand un obscure nue à sa clairté couverte:
Depuis vne fureur chagrine M’a changé les ſens tellement Que ie n’ay pas vn mounement Qui dans ce desplaiſir ne tourne à ma ruine:	Depuis une fureur chagrine M'a changé les sens tellement Que je n'ai pas un mounement Qui dans ce déplaisir ne tourne à ma ruine:
Mes mains arrachent mes cheueux, Mes freneſies font des vœux, Qui font horreur de les redire:	Mes mains arrachent mes cheveux, Mes frénésies font des vœux, Qui font horreur de les redire:
Dieux champêtres ſoyez teſmoins Que ie dis encore le moins De ce que ce depart me donné de martyre.	Dieux champtres soyez témoins Que ie dis encore le moins De ce que ce part me donné de martyre.
Depuis dans la melancholie, Où mon eſprit s’eſt emporté, C’eſt peu de haïr la clairté, Et d’auoir tous les iours mille accez de folie:	Depuis dans la mélancolie, Où mon esprit s'est emporté, C'est peu de haïr la clairté, Et d'avoir tous les jours mille accès de folie:
C’est peu de ne rencontrer rien, Qui ne ſoit contraire à mon bien, De coucher ſur vn lict d’espine, Marcher ſur des charbons ardents, Et des rochers ſur moy pendans, Craindre eternellement la prochaine ruine.	C'est peu de ne rencontrer rien, Qui ne soit contraire à mon bien, De coucher sur un lit d'épine, Marcher sur des charbons ardents, Et des rochers sur moi pendants, Craindre éternellement la prochaine ruine.
Ces foreſts où l’horreur demeure, Où le ſilence tient ſa cour, Où iamais le beau dieu du iour Ne porte ſon flambeau qu’auſsitoſt il n’y meure,	Ces forêts où l'horreur demeure, Où le silence tient sa cour, Où jamais le beau dieu du jour Ne porte son flambeau qu'aussitôt il n'y meure,
Ces rochers iuſqu’au ciel monteZ Dont les fronts ſont couuers de glace, L’horreur des eternelles nuicts Dans la triſte humeur où ie ſais, Pourmes yehx ajſeige Zont entur trop de grace.	Ces rochers jusqu'au ciel montez Dont les fronts sont couverts de glace, L'horreur des éternelles nuits Dans la triste humeur où tu sais, Pourmes yehx ajseige Zont entur trop de grâce.
Rien ne tombe dans ma penſee, D’aſſeZ triſte pour mon humeur, Ny les foudres ny la rumeur (cee, De ces grands tremblemens dont la terre eſt forCes vieux palais où les hiboux Cherchent la nuict dedans les trous, Où l’orphraye ſuit les tenebres, Et tont te que pour esvoner On ſe pourroit imaginer, (bres, Me ſeroient des obiects pluſtoſt doux que funeLes ruiſſeaux dont l’argent liquide Baiſe en fuyant les bords fleuris, Me paroiſſent des lieux pourris, Dont l’humeur eſt gluante & la couleur liuide, Où les ſerpens ſont les poiſſons,	Rien ne tombe dans ma pensée, D'assez triste pour mon humeur, Ni les foudres ni la rumeur (cée, De ces grands tremblemens dont la terre est forCes vieux palais où les hiboux Cherchent la nuit dedans les trous, Où l'orphraye suit les ténèbres, Et tont te que pour évonerAit se pourrait imaginer, (bres, Me seraient des objets plutôt doux que funères ruisseaux dont l'argent liquide Baise en fuyant les bords fleur, M paroissent des lieux pourris, Dont l'humeur est gluante et st couleur es, Où est serpens et les poissonsa
Et leur ſiflement les chanſons, Qui font retentir le riuage, Et les dieux que i’en voy ſortir, Portent auec le repentir, La frayeur qui ſaiſit le plus ferme courage.	Et leur siflement les chansons, Qui font retentir le rivage, Et les dieux que j'en vois sortir, Portent avec le repentir, La frayeur qui saisit le plus ferme courage.
Calliſte de qui les merueilles Eſtant cachees à mes yeux, M’ont preſque rendu furieux, Ne paſſeray-ie plus auecque toy des veilles?	Calliste de qui les merveilles Étant cachées à mes yeux, M'ont presque rendu furieux, Ne passerai-je plus auecque toi des veilles?
Ne doy-ie plus auoir le bien De iouyr de ton entretien, Et la boutade frenetique De teiatoux dejespere, Me doit elle auoir ſeparé Pour touſiours de l’hõneur de ta douce pratique.	Ne dois-je plus avoir le bien De ouïr de ton entretien, Et la boutade frénétique De teiatoux déjespère, Mère doit -elle avoir séparé Pour toujours de l'honneur de ta douce pratique.
Si ie ſuis hors de ta preſence Encore huict iours tant ſeulement, I’auray recours au monument, Qui fauoriſe ceux qui ſont ſans eſperance:	Si tu suis hors de ta présence Encore huit jours tant seulement, J'aurai recours au monument, Qui favorise ceux qui sont sans espérance:
Ie ne puis pourtant te reuoir, Que tu ne m'ayes faict ſçauoir, Que la liberté m'eſt renduë, Quoy que l’on t’aye dict de moy, De t'aller adorer chez toy Tour recouurer ma toye on tet'auorperdue.	Je ne puis pourtant te revoir, Que tu ne m'aies fait savoir, Que la liberté m'est rendue, Quoi que l'on t'aie dit de moi, De t'aller adorer chez toi Tour recouvrer ma toie on tet'avorperdue.
ELEGIE.	ÉLÉGIE.
A OLINDE.	À OLINDE.
Here beauté, qui de l’œil ſeulement, Peux & bleſſer & guerir vn Amant, Qui peus ouurir le ciel a ta parolle N’auray-ie rien iamais qui me conſole?	Hère beauté, qui de l'œil seulement, Peux et blesser et guérir un Amant, Qui pus ouvrir le ciel a ta parole N'aurai-je rien jamais qui me console?
Doy ie languir malade en ta priſon Sans eſperer vn iour ma gueriſon?	Do ie languir malade en ta prison Sans espérer un jour ma guérison?
Ahi s’il eſt vray que ceſte douce flame, Dont tes beaux yeux ont allumé mon ame Te ſoit à charge, & tu ne vueilles pas, Qu'en ta beauté ie trouue des appas, Les iours plus beaux me ſeront des tenebres,	Ahi s'il est vrai que cette douce flamme, Dont tes beaux yeux ont allumé mon âme Te soit à charge, et tu ne veuilles pas, Qu'en ta beauté ie trouve des appas, Les jours plus beaux me seront des ténèbres,
M ij	M ij
Ie ne verray que des obiects funebres:	Je ne verrai que des objets funèbres:
