1 ONSEIGNEUR,	1 1NSEIGNEUR,
Je crains de mez-uſer des droits de la juſtice, Et qu’on ne me démette aprése de mon Office.	Je crains de mez-user des droits de la justice, Et qu'on ne me démette après de mon Office.
SANDRE.	SANDRE.
Au contraire un chacun trouveroit à propos De mettre là deſſus ſon eſprit en repos,	Au contraire un chacun trouverait à propos De mettre là -dessus son esprit en repos,
LIDORE.	LIDORE.
Je n’examine rien.	Je n'examine rien.
& quoy qu’il en puiſſe être.	et quoi qu'il en puisse être.
Iais ce que tu voudras, je t’en laiſſe le maître, Je ne puis refuſer un amy tel que toy.	Iais ce que tu voudras, je t'en laisse le maître, Je ne puis refuser un ami tel que toi.
YSANDRE.	YSANDRE.
Amy, je te rendray la pareille, croy moy.	Ami, je te rendrai la pareille, crois -moi.
LIDORE Allons donc avertit nos gens en diligen ce;	LIDORE Allons donc avertit nos gens en diligen ce;
Car il faut avec nous avoir mon aſſiſlance, Tu ue ſçaurois juger ſans cela;	Car il faut avec nous avoir mon assislance, Tu ue sçaurois juger sans cela;
les voicy Je voy mes Conſeillers, & mon Greffier auſſi.	les voici Je vois mes Conseillers, et mon Greffier aussi.
CENE II POIIDORE LYSANDRE I CONGEILIER II.	CÈNE II POIIDORE LYSANDRE I CONGEILIÈR II.
CONSEILLER, LE GREFFIER.	CONSEILLER, LE GREFFIER.
POLIDORE aux Conſuilleri Eſſieurs, je vous ſupplie icy, qu’en mor M abſence.	POLIDORE aux Consuilleri Essieurs, je vous supplie ici, qu'en mór M absence.
Vous acceptiez, Mõſieur, pour juge en l’audience, Laiſſez-le, s’il vous plaiſt, pour un ſujet preſſant Preſider au barreau comme mon Lieuteuant.	Vous acceptiez, Monsieur, pour juge en l'audience, Laissez-le, s'il vous plaît, pour un sujet pressant Présider au barreau comme mon Lieuteuant.
Vous me ferez, Meſſieurs, une faveur entiere.	Vous me ferez, Messieurs, une faveur entière.
I.	I.
CONSETLLER.	CONSETLLER.
Commandez nous, Monſieur, ſans uſer de priere.	Commandez nous, Monsieur, sans user de prière.
POLIDORE.	POLIDORE.
Il eſt fort entendu, bien expert ſur la Loy.	Il est fort entendu, bien expert sur la Loi.
I.	I.
CONSEILLER.	CONSEILLER.
Sans nous en dire rien, à ſon ait je le voy.	Sans nous en dire rien, à son ait je le vois.
POLIDORE à Lyſandre.	POLIDORE à Lysandre.
Venez vîte changer vôtre robbe à la mienne.	Venez vite changer votre robe à la mienne.
Meſſieurs, prenezſceance attendant qu’il reviene.	Messieurs, prenezséance attendant qu'il reviene.
LYSANDRE ſortant avec Pelidore.	LYSANDRE sortant avec Pélidore.
Je m’en vais revenir, Meſſieurs, dans un moment.	Je m'en vais revenir, Messieurs, dans un moment.
Let Conſeilleri ſe rangent aux deux cotez de la chaiſe du Preſi lent, & ie Greffier au deſſousd’eux.	Let Conseilleri se rangent aux deux côtés de la chaise du Prési lent, et été Greffier au dessousd'eux.
SCENE III, ANGELIQUE, PADILLE.	SCÈNE III, ANGELIQUE, PADILLE.
I CONSEILLER, II.	I CONSEILLER, II.
CONSEILLER, LE GREVFIER.	CONSEILLER, LE GREUFIER.
ANGELIQU Eau Greffier.	ANGELIQU Eau Greffier.
Uattend on pour plaider?	Oùattend on pour plaider?
e LE GREFFIER.	 JE GREFFIER.
Monſieur le Preſident,	Monsieur le Président,
ANGELIQUE bat.	ANGELIQUE bat.
Quel procez ay-je la?	Quel procès ai-je la?
que je ſuis malheureuſei	que je suis malheureusei
PADILLE à Angelique.	PADILE à Angélique.
Vous voila donc icy.	Vous voilà donc ici.
Madame la plaideuſe?	Madame la plaideuse?
ANGELIQUE.	ANGELIQUE.
Fourbe, j’y viens pour toy.	Fourbe, j'y viens pour toi.
PADILLEà Angelique, Voila vôtre Contrat	PADILLEà Angélique, Voilà votre Contrat
ANGELIQUE.	ANGELIQUE.
Je le recuſeray.	Je le récuserai.
PADILLE.	PADILE.
peſte, à bonchat, bon ne	peste, à bonchat, bon ne
LE GREFFIER.	LE GREFFIER.
Qu’on le taſſe là, pais;	Qu'on le tasse là, pais;
Le Preſident entre,	Le Président entre,
SCENE DERNIERE.	SCÈNE DERNIÈRE.
LYSANDRE avec la robbe de Preſilent L.	LYSANDRE avec la robe de Pressilent L.
CONSEILLER, II.	CONSEILLER, II.
CONSEILLER, LE GREFFIER, ANGELIQUE,	CONSEILLER, LE GREFFIER, ANGELIQUE,
PADILLE.	PADILE.
LYSANDRE aſſis dans la chaiſe de Preſident,	LYSANDRE assis dans la chaise de President,
A Ppellez quelque cauſe.	À Ppelez quelque cause.
LE GREFFIER appelle à h uie voix Ange ique, l'adille.	LE GREFFIER appelle à h uie voix Ange ique, l'adille.
PADILLE l'avance & plaide, Icy c’eſt une choſe, Dont vous allez, Meſſieurs!	PADILE l'avance et plaide, Ici c'est une chose, Dont vous allez, Messieurs!
, être en étonnement.	, être en étonnement.
Ma Partie a voulu que je ſois ſon Amant.	Ma Partie a voulu que je sois son Amant.
Pour legitime Epoux elle accepte à me prendre, Preſence de témoins, ce qui va vous ſurprendre,	Pour légitime Époux elle accepte à me prendre, Pré de témoins, ce qui va vous surprendre,
ANGELIQUE voulant l’inMeſſieurs, c’eſt.	ANGELIQUE voulant l'inMessieurs, c'est.
ienompre.	ienompre.
LYSANDRE.	LYSANDRE.
Attendez.	Attendez.
PADILLE.	PADILE.
La choſe en cét état, D?	La chose en cet état, D?
nôtre mariage elle ſigne un contrat;	notre mariage elle signe un contrat;
Qui dit que pour époux, Angelique icy fille, Ses pere & mere morts veut bien prendre Padille.	Qui dit que pour époux, Angélique ici fille, Ses père et mère morts veut bien prendre Padille.
Le Notaire & Témoins ont ſur ce ſigné tous.	Le Notaire et Témoins ont sur ce signé tous.
Et c’eſt la cauſe enfin qu’on plaide devant vous, Meſſieurs, rien ſçauroit il retarder davantage La conſommation de nôt te mariage?	Et c'est la cause enfin qu'on plaide devant vous, Messieurs, rien saurait il retarder davantage La consommation de notre te mariage?
ANGELIQUE.	ANGELIQUE.
Ouy mais, Meſſieurs, j’apprens que ce n’eſt qu’un Valet.	Oui mais, Messieurs, j'apprends que ce n'est qu'un Valet.
PADILLE.	PADILE.
Vous l’avez bien voulu, pourquoy l’avez vout fait,	Vous l'avez bien voulu, pourquoi l'avez vout fait,
ANGELIQUE.	ANGELIQUE.
Il eſt vray, j’ay ſigné dans une Comedies, Non effectivement pour prendre ma partie.	Il est vrai, j'ai signé dans une Comédies, Non effectivement pour prendre ma partie.
Sous un nom de Roman j’ay ſigné le Conttat, C’eſt ce qui me le fait recuſer tout à plat	Sous un nom de Roman j'ai signé le Conttat, C'est ce qui me le fait récuser tout à plat
PADTLLE.	PADTLE.
Voyez la verité de ce qu’elle a pû dire, Et dans nôtre Contrat ce qu’elle a fait écrite:	Voyez la vérité de ce qu'elle a pu dire, Et dans notre Contrat ce qu'elle a fait écrite:
LE GREFFIER lis la clauſe du Contrat, Angelique, ſuivant la Coûtume & la Loy, Prend pour Epoux Padille, & luy donne ſa	LE GREFFIER lis la clause du Contrat, Angélique, suivant la Coutume et la Loi, Prend pour Époux Padille, et lui donne sa
à Angelique.	à Angélique.
Le Contrat eſt en forme étant fait de la ſorte Vous ſerezcondamnée	Le Contrat est en forme étant fait de la sorte Vous serezcondamnée
ANGELIQUE toute eperduë.	ANGELIQUE toute éperdue.
Ah, mon Dieu, je ſuis morte De grace, moderez, Meſſieurs, mon jug ment.	Ah, mon Dieu, je suis morte De grâce, modérez, Messieurs, mon jug ment.
Mais helas!	Mais hélas!
c’en eſt fait, je n’ay plus qu’un mo ment, Les Conſeilleriſe levent, & deliberent	c'en est fait, je n'ai plus qu'un mo ment, Les Conseillerise levent, et délibèrent
avec le Preſident.	avec le Président.
Malheureuſe!	Malheureuse!
pourquoy ne vouloir pas merendre A mon premier Amant, à mon tres-cher Ly ſandre?	pourquoi ne vouloir pas mendre À mon premier Amant, à mon très-cher Ly sandre?
D’un bizarre deſtin je me vois le jouët, Et je vais être enfin la femme d’un valet.	D'un bizarre destin je me vois le jouet, Et je vais être enfin la femme d'un valet.
LYSANDRE aſſis avec ſes Conſeillers prononce.	LYSANDRE assis avec ses Conseillers prononce.
Sur la cauſe aujourd’huy devant nous énoncée La Cour veut qu’Angelique icy ſoit condamnée A prendre, ſans appel, Padille pour epoux.	Sur la cause aujourd'hui devant nous énoncée La Cour veut qu'Angélique ici soit condamnée A prendre, sans appel, Padille pour époux.
Et de vivre avec luy dans un accord bien doux.	Et de vivre avec peine dans un accord bien doux.
Greffier, je vous permets d’en delivrer l’inſtance.	Greffier, je vous permets d'en délivrer l'instance.
le Greffiez éerit.	le Greffiez éerit.
ANGELIQUE.	ANGELIQUE.
Juſte Ciel!	Juste Ciel!
moderez, s’il vous plaiſt, la Sentence.	modérez, s'il vous plaît, la Sentence.
Prendray-je pour mary par vôtre autorité Un Valet, moy, qui ſuis fille de qualité?	Prendrai-je pour mari par votre autorité Un Valet, moi, qui suis fille de qualité?
Si tu ſçavois Lyſandre, où mon ame eſt reduite?	Si tu savais Lysandre, où mon âme est réduite?
Amant Amant infortuné, tu t’y rendrois bien vîte.	Amant Amant infortuné, tu t'y rendrais bien vite.
Mais il en eſt trop loin, ô deſirs inſenſez.	Mais il en est trop loin, ô désirs insensés.
LYSANDRE décendant de ſa chaire, & ſe faiſant connoître.	LYSANDRE décendant de sa chaire, et se faisant connaître.
Non, Madame, il n’eſt pas ſi loin que vous penſez, Moderez vos frayeurs, il eſt tems de vous dire Qu’enfin c’eſt moy qui ſuis Lyſandre.	Non, Madame, il n'est pas si loin que vous pensez, Modérez vos frayeurs, il est temps de vous dire Qu'enfin c'est moi qui suis Lysandre.
ANGELIQUE.	ANGELIQUE.
Je reſpire.	Je respire.
LYSANDRE.	LYSANDRE.
Pardonnez, ſi voyant mon amout prévenu.	Pardonnez, si voyant mon amout prévenu.
Aces extrémitez, Madame, on eſt venu.	Aces extrémités, Madame, on est venu.
Tout mon deſſein n’étoit que de vous faire rendre it le Ciel aux Amans laiſſe tout entreprendre.	Tout mon dessein n'était que de vous faire rendre it le Ciel aux Amants laisse tout entreprendre.
Ioin de vous commander, je demande à genoux Vôtre conſentement pour être vôtre époux.	Join de vous commander, je demande à genoux Votre consentement pour être votre époux.
Oublions tout, Madame, & qu’un doux mariage Nous aſſemble tous deux, ſans tarder davantage.	Oublions tout, Madame, et qu'un doux mariage Nous assemble tous deux, sans tarder davantage.
ANGELIQUE.	ANGELIQUE.
Je ne ſçais où j’en ſuis, tant mes plaiſirs ſon grands, C’eſt vous qui m’avez fait venir tous ces ſçavans.	Je ne sais où j'en suis, tant mes plaisirs son grands, C'est vous qui m'avez fait venir tous ces sçavans.
LYSANDRE.	LYSANDRE.
De tous ces incidens fouffrez que l’on vous die Que nous en pourrions bien faire une Comedie.	De tous ces incidents souffrez que l'on vous die Que nous en pourrions bien faire une Comédie.
Meſſieurs, venez auſſi, faites nous cét honneur.	Messieurs, venez aussi, faites nous cet honneur.
I.	I.
CONSEILLER.	CONSEILLER.
Vous nous faites vrayment trop de grace, Monſieur, *	Vous nous faites vraiment trop de grâce, Monsieur, *
ADILLE à Iyſandre.	ADILE à Iysandre.
Je jouë un plaiſant rolle aujourd’huy ſur mon ame.	Je joue un plaisant rolle aujourd'hui sur mon âme.
Donc, Padille, Monſieur, eſt le macy ſans femme ?	Donc, Padille, Monsieur, est le macy sans femme ?
De me démarier avez vous le pouvoir,	De me démarier avez vous le pouvoir,
YSANDRE.	YSANDRE.
La bouteille de vin conſole ton eſpoir.	La bouteille de vin console ton espoir.
ADILLE.	ADILE.
Mais j’ay plaidé pour vous quel ſera mon ſalaire,	Mais j'ai plaidé pour vous quel sera mon salaire,
LYSANDRE.	LYSANDRE.
Padille, pour cela, ſera mon Secretaire.	Padille, pour cela, sera mon Secrétaire.
ADILLE Le Secretariat me vient bien, ſur ma foy;	ADILE Le Secrétariat me vient bien, sur ma foi;
Et l’on ne vit jamais rien plus ſecret que moy.	Et l'on ne vit jamais rien plus secret que moi.
YSANDRE.	YSANDRE.
Changeons nôtre chagrin dans une joye extrême, xt faiſons voir la fin du Juge de ſoy-même.	Changeons notre chagrin dans une joie extrême, faisons voir la fin du Juge de soi-même.
Fin du troiſitme & dernier Acte.	Fin du troisième et dernier Acte.
ADILLE à Iyſandre.	ADILE à Iysandre.
Je jouë un plaiſant rolle aujourd’huy ſur mon ame.	Je joue un plaisant rolle aujourd'hui sur mon âme.
Donc, Padille, Monſieur, eſt le macy ſans femme ?	Donc, Padille, Monsieur, est le macy sans femme ?
De me démarier avez vous le pouvoir,	De me démarier avez vous le pouvoir,
YSANDRE.	YSANDRE.
La bouteille de vin conſole ton eſpoir.	La bouteille de vin console ton espoir.
ADILLE.	ADILE.
Mais j’ay plaidé pour vous quel ſera mon ſalaire,	Mais j'ai plaidé pour vous quel sera mon salaire,
LYSANDRE.	LYSANDRE.
Padille, pour cela, ſera mon Secretaire.	Padille, pour cela, sera mon Secrétaire.
ADILLE Le Secretariat me vient bien, ſur ma foy;	ADILE Le Secrétariat me vient bien, sur ma foi;
Et l’on ne vit jamais rien plus ſecret que moy.	Et l'on ne vit jamais rien plus secret que moi.
YSANDRE.	YSANDRE.
Changeons nôtre chagrin dans une joye extrême, xt faiſons voir la fin du Juge de ſoy-même.	Changeons notre chagrin dans une joie extrême, faisons voir la fin du Juge de soi-même.
Fin du troiſitme & dernier Acte.	Fin du troisième et dernier Acte.
Achevé d’imprimer pour la premiere fois le vingt-fixiéme jour de Ianvier 1682 avet Permiſſion.	Achevé d'imprimer pour la première fois le vingt-sixième jour de Janvier 1682 avet Permission.
