TRAGICOMEDIE PASTORALLE,	TRAGICOMEDIE PASTORALLLE,
o que noſtre foibleſſe eſt grande D'esperer inutilement, De nous dreſſer vn monument, Qui contre la mort nous deffende:	ô que notre faiblesse est grande D'espérer inutilement, De nous dresser un monument, Qui contre la mort nous défende:
Elle eſt plus ſourde qu’vn rocher, Et rien ne la ſçauroit toucher.	Elle est plus sourde qu'Hommes rocher, Et rien ne la saurait toucher.
Les plus poltrons & les plus braues Sont emportez d’elle ſans choix, Et d’vn meſme coup que les Roys, Elle fait mourir les eſclaues.	Les plus poltrons et les plus braves Sont emportés d'elle sans choix, Et d'un autre coup que les Rois, Elle fait mourir les esclaves.
Les Dieux meſmes ne peuuent pas Exempter quelqu'vn du trespas.	Les Dieux mêmes ne peuvent pas Exempter quelqu'un du trépas.
Tout tombe ſous ſa dent meurtrie:	Tout tombe sous sa dent meurtrie:
Homere & Virgile ſont morts, Et leurs eſcripts comme leurs corp Yront vn iour deſſous la biere:	Homère et Virgile sont morts, Et leurs écripts comme leurs corp Yront un jour dessous la bière:
L’homme n’eſtant point immortel, Ne ſçauroit faire rien de tel.	L'homme n'étant point immortel, Ne saurait faire rien de tel.
Et toutesfois noſtre folie, Nous fait vainement eſperer Vne gloire qui doit durer Sans iamais eſtre enſeuelie, Si nous acquerons quelque bruit, En nous trauaillant iour & nuict.	Et toutefois notre folie, Nous fait vainement espérer Une gloire qui doit durer Sans jamais être ensevelie, Si nous acquérons quelque bruit, En nous travaillant jour et nuit.
Non, non, quand bien les deſtinees Amoureuſes des beaux eſprits Feroient paſſer tous leurs eſcripts Iuſques aux dernieres annees, Enfermez dans le monument, Ils n'en ont point de ſentiment.	Non, non, quand bien les destinées Amoureuses des beaux esprits Feraient passer tous leurs écripts Jusques aux dernières années, Enfermés dans le monument, Ils n'en ont point de sentiment.
Et la gloire que l’on ottroye Aux vers de l’aueugle eſcriuain, Eſt vn payement auſſi vain, Que les noms d’Helene & de Troye, Ou ce qu’il dict des dieux bleſſez Et par vn ſeul homme chaſſez Il n'en a point de cognoiſſance, Non plus que des debats fameux, Dont les Grecs ſe virent émeus Touchant le lieu de ſa naiſſance, Et ne luy chaut point, en repos, Ou que ſoint enterrez ſes os.	Et la gloire que l'on ottroie Aux vers de l'aveugle écrivain, Est un payement aussi vain, Que les noms d'Hélène et de Troie, Ou ce qu'il dit des dieux blessés Et par un seul homme chassés Il n'en a point de connaissance, Non plus que des débats fameux, Dont les Grecs se virent émus Se virent émus de sa naissance, Et ne lui chaut point, en repos, Ou que soint enterrez ses os.
Viuons loin de ces ſoins eſtranges, Les plus aiſes que nous pourrons, Que ſi tandis que nous viurons, L’on nous donne quelques loüanges, Iouiſſons allors de ce bien, Car apres nous n’en ſentons rien.	Vivons loin de ces soins étranges, Les plus aises que nous pourrons, Que si tandis que nous vivrons, L'on nous donne quelques louanges, Jouissons allors de ce bien, Car après nous n'en sentons rien.
Sur le paſſage de l’autheur par le haut Viuarés.	Sur le passage de l'auteur par le haut Viuarés.
STANCES.	STANCES.
Es chemins par où i’ay paßé, ESont des montagnes heriſſees De grands rocs, dont le front glacé Porte iuſques au ciel ſes cornes verniſſees.	Es chemins par où j'ai passé, ESont des montagnes hérissées De grands rocs, dont le front glacé Porte jusques au ciel ses cornes vernissées.
e	Je
Là contre l’ordre des climats Ou chaque ſaiſon eſt bornee, Les bruines & les frimats De nege & de glarons forment toute l’annee.	Là contre l'ordre des climats Ou chaque saison est bornée, Les bruines et les frimats De nege et de glarons forment toute l'année.
Bacchus s'y cache des paſſants, Dans le ventre velu d’vn outre, Ceres ſans temple & ſans encens Ny voit iamais vſer de faucille, ou de coutre.	Bacchus s'y cache des passants, Dans le ventre velu d'un outre, Ceres sans temple et sans encens Ny voit jamais user de faucille, ou de coutre.
Quelques raues ſont la moiſſon, La plus riche que l’on y cueille, Les logis y ſont de façon,  nioict fait de genet y couure vn lict de fueit	Quelques raves sont la moisson, La plus riche que l'on y cueille, Les logis y sont de façon, niait fait de genet y couvre un lit de fueit
A CALLISTE.	À CALISTE.
N Alliſte ſi iamais tu trouuas rien en mon  Qui meritaſt l’honneur d’eſtre eſtimé de tu Si iamais mon genie a rien eu qui te plaiſe, Les dieux dedans le ciel enuieront mon aiſe, Ma fortune au deſſus du reſte des mortels Me feroit meſpriſer l’encens & les autels, Ton accueitus eſt plus cher, t'efttine plus ta è	 Nlliste si jamais tu trouvas rien en mon Qui méritât l'honneur d'être estimé de tu Si jamais mon génie a rien eu qui te plaise, Les dieux dedans le ciel envieront mon aise, Ma fortune au dessus du reste des mortels Me ferait mépriser l'encens et les autels, Ton accueitus est plus cher, t'efletine plus ta 
Que ſi i’eſtois ſorti d’vne Royale race, Vne heure d'entretien auec toy me vaut mieux Que d’eſtre vn ſiecle entier à l’entretien des Dieux, C’eſt là que cette ardeur, qui nous eſchauffe l’ame Trouue de nourriture à r'auiuer ſa flame, C’eſt là que mon eſprit ſe deslie & s’eſtend, Et trouue aupres de toy ce qu’il a cherché tant, Ce Demon vigoureux que l’on voit dans l’ouurage Du plus puiſſant eſprit qui ſoit né de noſtre àge, Ce genie autrefois incognu dans les vers, A-il quelques ſecrets qui ne te ſoient ouuerts?	Que si j'étais sorti d'une Royale race, Une heure d'entretien se toi me vaut mieux Que d'être siècle entier à l'entretien des Dieux, C'est là que cette ardeur, qui nous échauffe l'âme Trouve de nourriture à rauiuer sa flamme, C'est là que mon esprit se délie et s'étend, Et trouve auprès de toi ce qu'il a cherché tant, Ce Démon vigoureux que l'on voit dans l'ouvrage Du plus puissant esprit qui soit né de notre propre, Ce génie autrefois incognu Acon nu vers, A-il les secrets qui ne te soient ouuerts?
Les meilleurs ſentimens partent de ton eſcole, Tu donne l’ame aux mots, la force à la parole, En fin tout ce qui doit eſtre franc du tombeau, Tout ce qu’vn long trauail peut produire de beau, Et tout ce que l’on voit de ces fameux genies, Dont les vieux ſiecles ont les trames des-vnies, N’ont nien de comparable au moindre des diſcours Où l’entretien commun t’engage tous les iours:	Les meilleurs sentiments partent de ton école, Tu donne l'âme aux mots, la force à la parole, En fin tout ce qui doit être franc du tombeau, Tout ce qu'un long travail peut produire de beau, Et tout ce que l'on voit de ces fameux génies, Dont les vieux siècles ont les trames des-je, N'ont nien de comparable au moindre des discours Où l'entretien commun t'engage tous les jours:
Bien heureux ſi i’auoy durant mon infortune Auecques tes valets cette grace commune, Que ie les peuſſe ouïr auecques liberté, Et iouïr de l’obiect de ta rare beauté, Dans tes raiſonements ie formeroy mon ame, Mais le deſtin m’a fait vne plus dure trame.	Bien heureux si j'avais durant mon infortune Avecques tes valets cette grâce commune, Que ie les pusse ouïr auecques liberté, Et jouir de l'objet de ta rare beauté, Dans tes raisonements ie formerai mon âme, Mais le destin m'a fait une plus dure trame.
Ennemy coniuré qu’il eſt de mes plaiſirs, Il choque en cent façons mes ſoins & mes deſirs:	Ennemi conjuré qu'il est de mes plaisirs, Il choque en cent façons mes soins et mes désirs:
Des qu'vn petit rayon de bon heur me veut luire:	Des qu'un petit rayon de bon heur me veut luire:
Il ſemble qu’il ait pris à tache de me nuire, Quoy qu’il face pourtant il ne peut me rauir Le deſſein que mon ame a faict de te ſeruir Ta beauté qui n’eſt point ſubiette aux loix mortellet Ne fait point naiſtre auſsi des affections telles, Et ce vieil aſaſsin qui doit perdre les cieux N’aura iamais de droict ſur les coups de tes yeux.	Il semble qu'il ait pris à tache de me nuire, Quoi qu'il face pourtant il ne peut me ravir Le dessein que mon âme a fait de te servir Ta beauté qui n'est point sujet aux lois mortellet Ne fait point naître aussi des affections telles, Et ce vieil asassin qui doit perdre les cieux N'aura jamais de droit sur les coups de tes yeux.
Car cette opinion où le commun s’engage Iamais ſur ton esprit n’euſt aucun aduantage, La pompe des habits & la ſuite d’vn train Peuuent moins deſſus toy que le bois ſur l’airain, Et cet eſclat pipeur de l’or & de la ſoye Qui ſe faict en tous lieux vne facile voye, Qui rompt les amitiez, faict violer la foy, Calliſte n’euſt iamais aucun pouuoir ſur toy, Ton ame d’vne trempe entierement diume En tout ce qu’elle fait marque ſon origine, Et ie ſuis ſi certain de cette verité Que ie mettrois pluſtoſt en doute la clairté:	Car cette opinion où le commun s'engage Jamais sur ton esprit n'eût aucun avantage, La pompe des habits et la suite d'un train Peuvent moins dessus toi que le bois sur l'airain, Et cet éclat pipeur de l'or et de la soie Qui se fait en tous lieux une facile voie, Qui rompt les amitiés, fait violer la foi, Calite n'eût jamais aucun pouvoir sur toi, Ton âme d'une trempe entièrement diume En tout ce qu'elle fait marque son origine, Et ie suis si certain de cette vérité Que ie mettrois plustost en doute la clairté:
Ie cognoy des eſprits qui craindroient du reproche, Dés qu'auec deux valets, vn homme les aproche Qui leur parle d’amour & louë leur beauté, S’ils ne luy donnoient point vn peu de prluauté, Quand le ciel me verroit auec plus de diſgrace, Que dans vn hoſpital i’auroy toute ma race Que parmy le trauail auec mille remords Il me faudroit chercher dequoy nourrir le corps, Il me ſeroit plus doux de faire cette vie Que de me voir reduit à viure comme amant Auecques des eſprits d’vn ſi bas ſentiment.	Je connais des esprits qui craindraient du reproche, Dès qu'avec deux valets, un homme les approche Qui leur parle d'amour et loue leur beauté, S'ils ne pou donnoient point un peu de privauté, Quand le ciel me verrait avec plus de disgrâce, Que dans un hôpital j'aurais toute ma race Que parmi le travail avec mille remords Il me faudrait chercher dequoy nourrir le corps, Il me serait plus doux de faire cette vie Que de me voir réduit à vivre comme amant Avecques des esprits d'un si bas sentiment.
ONNET, Sur l’abſence de Calliſte.	ONNNET, Sur l'absence de Caliste.
I tandis que le Ciel à mes plaiſirs contraire D Veut à mon grand regret tes otaaiez mt cacher, La curioſité te faiſoit rechercher,	I tandis que le Ciel à mes plaisirs contraire D Eut à mon grand regret tes otaïez mt cacher, La curiosité te faisait rechercher,
Tu ſçaurois qu’on ne peuſt aux ennuis m’arracher, Que iefuy msums quimen peuant aſtraire, Et que ie ne vy plus qu'en vn lieu ſolitaire Où rien que la douleur n’oſeroit m’approcher.	Tu sçaurois qu'on ne pût aux ennuis m'arracher, Que cafui mums quimen peuant astraire, Et que sans ne vi plus qu'en un lieu solitaire Où rien que la douleur n'oserait m'approcher.
La de mes triſtes yeux vne eternelle ſource, Qui des ruiſſeaux voiſins rend plus forte la courſe, Auec mille ſouspirs diſtille inceſſamment.	La de mes tristes yeux était éternelle source, Qui des ruisseaux voisins rend plus forte la course, Avec mille soupirs distille incessamment.
Et ſi tume voyois Calliſte en ceſte peine De quelque cruauté dont ton ame ſoit pleine, Ton retour me rendroit bien toſt heureux amant.	Et si tume voyais Calliste en cette peine De quelque cruauté dont ton âme soit pleine, Ton retour me rendrait bien tôt heureux amant.
Sur le meſme ſubiect.	Sur le même sujet.
Greables Nymphes des eaux TAHumides ſources des ruiſſeaux, Aidez moy dans ceſte aduanture, Car Calliſte en quittant ces lieux A mis en peine la Nature De fournir de pleurs à mes yeux.	Gréables Nymphes des eaux TAHumides sources des ruisseaux, Aidez moi dans cette aventure, Car Calliste en quittant ces lieux A mis en peine la Nature De fournir de pleurs à mes yeux.
Ouurez vous pour me ſecourir Rochers qui touſiours ſans tarir Humectez voſtre maſſe dure, Car Calliſte en quittant ces lieux A mis en peine la nature De fournir de pleurs a mes yeux.	Ouvrez -vous pour me secourir Rochers qui toujours sans tarir Humectez votre masse dure, Car Calliste en quittant ces lieux A mis en peine la nature De fournir de pleurs a mes yeux.
Peupliers, ſaules, pres verdoyans Dans l’eau vos racines noyans Preſtez moy vôtre nourriture Car Calliſte enquittant ées tieux A mis en peine la nature Do fournir de pleurs à mes yeux.	Peupliers, saules, pres verdoyan Dans l'eau vos racines noyant Prêtez moi votre nourriture Car Calliste enquittant ées tieux A mis en peine la nature Do fournir de pleurs à mes yeux.
Mais helas!	Mais hélas!
durant ces malheurs Qui me pourroit fournir les pleurs, Qu'il me faut verſer à toute heure, Puiſque Calliſte hors de ces lieux Amis en peine la nature D'an fournir aſſez à mes yeux.	durant ces malheurs Qui me pourrait fournir les pleurs, Qu'il me faut verser à toute heure, Puisque Calliste hors de ces lieux Amis en peine la nature D'an fournir assez à mes yeux.
Que ſi mon mal eſt à ce point, Demons he!	Que si mon mal est à ce point, Demons hé!
ne ſcauries vous point Pour mon ſecours quelque impoſture?	ne sauriez -vous point Pour mon secours quelque imposture?
Puiſque Calliſte hors de ces lieux Amis en peine la nature De fournir de pleurs à mes yeux.	Puisque Calliste hors de ces lieux Amis en peine la nature De fournir de pleurs à mes yeux.
Voila ce qu'Alcidon diſoit, Voila ce qu'Alcidon faiſoit, Ayant ſon ame à la torture, Quand Calliſte en quittant ces lieux Euſt mis en peine la nature De fournir de pleurs à ſes yeux.	Voilà ce qu'Alcidon disait, Voilà ce qu'Alcidon faisait, Ayant son âme à la torture, Quand Calliste en quittant ces lieux Eût mis en peine la nature De fournir de pleurs à ses yeux.
s La Nen ay	s La Nen ai
au ſieur de ſainct Leon.	au sieur de saint Léon.
Ainct Leon ſi les curieux O Veulent ſçauoir ou ie reſpire Dy leur qu’vne beauté m’arreſte en vn e empire Où i’ay pour cõpagnons, ou pour riuaux des dieux.	Ainct Léon si les curieux Ô Veulent savoir ou ie respire Dis leur qu'une beauté m'arrête en un e empire Où j'ai pour compagnons, ou pour rivaux des dieux.
Où de iour nous trouuons la nuict Deſſous les iaſmins & les roſes, Où l’ardeur du ſoleil qui bruſle toutes choſez N’oſe nous approcher que pour meurir le fruict	Où de jour nous trouvons la nuit Dessous les jasmins et les roses, Où l'ardeur du soleil qui brûle toutes chosez N'ose nous approcher que pour mûrir le fruit
Oû les myrthes & les roziers Preſtent leurs branches amoureuſes Aux laſciues douceurs de ces troupes heureuſes Qui ſans honte à nos yeux esteignent leurs buuſiers.	Ou les myrthes et les rocsiers Prêtent leurs branches amoureuses Aux lasciues douceurs de ces troupes heureuses Qui sans honte à nos yeux éteignent leurs buusiers.
Où des que le ſoleil paroit Les roßignols & les linotes Font vn ſi doux concert de leurs diuerſes nótes Qu'Orphee en les oyant de honte rougiroit.	Où des que le soleil parait Les roqignols et les linotes Font un si doux concert de leurs diverses notes Qu'Orphée en les oyant de honte rougirait.
Les fleurs y naiſſent ſous nos pas, Le fruict iuſqu’en nos mains s’y panche, Et l’arbre qui le porte en deſpoüille ſa branche Pour nous les faire offrir à la fin des repas.	Les fleurs y naissent sous nos pas, Le fruit jusqu'en nos mains s'y penche, Et l'arbre qui le porte en dépouille sa branche Pour nous les faire offrir à la fin des repas.
Nous n’y voyons iamais pleurer Si ce n'eſt au matin l’aurore, Et le Zephire ſeul quand il careſſe Flore Oze en ce paradis ſes plaintes ſouspirer.	Nous n'y voyons jamais pleurer Si ce n'est au matin l'aurore, Et le Zéphire seul quand il caresse Flore Oze en ce paradis ses plaintes soupirer.
L’argent liquide des ruiſſeaux Fuyant y baiſe le rmuage, Et coule glorieux de receuoir l’ombrage Des arbres qu’il nourrit de l’humeur de ſes caux.	L'argent liquide des ruisseaux Fuyant y baise le rémuage, Et coule glorieux de recevoir l'ombrage Des arbres qu'il nourrit de l'humeur de ses caux.
Bacchus y rit ſur les coſtaux, Et ſautelant dedans vn verre Aſſeure ſes amis que les biens de la terre sans tuy ne ſont que paille & que fresles roſeaux.	Bacchus y rit sur les costaux, Et sautelant dedans un verre Assure ses amis que les biens de la terre sans tui ne sont que paille et que frêles roseaux.
En fin mon ſeiour eſt plus beau Que l’on ne feint les Eliſees Mais loin de ma Calliſte obiect de mes penſees, Cher amyie ny roy que t'norreur an tombeau.	En fin mon séjour est plus beau Que l'on ne feint les Élises Mais loin de ma Caliste objet de mes pensées, Cher amièrés roi que t'norreur an tombeau.
MELANCHOLIE.	MELANCHOLIE.
Epuis qu’vne maudit enuie D Calliſte me cacha tes yeux, Les obiects les plus gratieux Sont des cruels bourreaux qui torturent ma vie, Depuis au gre de mill’enuis Ie cherche dans l’horreur des nuis La campaigne la plus deſerte, Et le ſoleil m'eſt ennemi, Si ce n’eſt lors qu’il a blemi Quand vn' obſcure nue a ſa clairté couuerte:	Epuis qu'une maudit envie D Alliste me cacha tes yeux, Les objets les plus gratieux Sont des cruels bourreaux qui torturent ma vie, Depuis au gré de millenvis Je cherche dans l'horreur des nuis La campagne la plus déserte, Et le soleil m'est ennemi, Si ce n'est lors qu'il a blêmi Quand un obscure nue à sa clairté couverte:
Depuis vne fureur chagrine M’a changé les ſens tellement Que ie n'ay pas vn mouuement Qui dans ce deſplaiſir ne tourne à ma ruine Mes mains arrachent mes cheueux, Mes freneſies font des vœux, Qui font horreur de les redire:	Depuis une fureur chagrine M'a changé les sens tellement Que je n'ai pas un mouvement Qui dans ce déplaisir ne tourne à ma ruine Mes mains arrachent mes cheveux, Mes frénésies font des vœux, Qui font horreur de les redire:
Dieux champétres ſoyez teſmoins Que ie dis encore le moins De ce que ce depart me donne de martire	Dieux champétres soyez témoins Que ie dis encore le moins De ce que ce part me donne de martyre
Depuis dans la melancholie, Où mon eſprit s’eſt emporté, C’eſt peu de hair la clairté, Et d’auoir tous les iours mille accez de folie:	Depuis dans la mélancolie, Où mon esprit s'est emporté, C'est peu de haïr la clairté, Et d'avoir tous les jours mille accès de folie:
C’eſt peu de ne rencontrer rien, Qui ne ſoit contraire à mon bien, Et coucher ſur vn lict d’eſpine, dihartner jui des ejardaus dueute, Et des rochers ſur moy pendans, Craindre eternellement la prochaine ruine	C'est peu de ne rencontrer rien, Qui ne soit contraire à mon bien, Et coucher sur un lit d'épine, diartner jui des éjardaus duute, Et des rochers sur moi pendants, Craindre éternellement la prochaine ruine
Ces foreſts où l’horreur demeure, Où le ſilence tient ſa cour, Où iamais le beau dieu du iour Ne porte ſon flambeau qu’außi toſt il n’y meure, Ces precipices eſcartez, Ces rochers iuſqu'au ciel montez	Ces forêts où l'horreur demeure, Où le silence tient sa cour, Où jamais le beau dieu du jour Ne porte son flambeau qu'avez tôt il n'y meure, Ces précipices écartés, Ces rochers jusqu'au ciel montez
Dont les fronts ſont couuers de glace, L’horreur des eternelles nuicts Dans la triſte humeur où ie ſuis, Pour mes yeux affligez ont encor trop de gracs.	Dont les fronts sont couvers de glace, L'horreur des éternelles nuits Dans la triste humeur où deux suis, Pour mes yeux affligez ont encor trop de gracs.
Rien ne tombe dans ma penſee, D’aſſez triſte pour mon humeur, Ny les foudres ny la rumeur De ces grands tremblemens dont la terre eſtforcee, Ces vieux palais où les hiboux cherchent la nuict dedans les trous, Où l’orphraye ſuit les tenebres, Et tout ce que pour eſtonner On ſe pourroit imaginer, Me ſeroient des obiects pluſtoſt doux que funobres,	Rien ne tombe dans ma pensée, D'assez triste pour mon humeur, Ni les foudres homme la rumeur De ces grands tremblements dont la terre estforcee, Ces vieux palais où les hiboux cherchent la nuit dedans les trous, Où l'orphraie suit les ténèbres, Et tout ce que pour étonner On se pourrait imaginer, Me seraient des objets plutôt doux que funobres,
Les ruiſſeaux dont l’argent liquide Baiſe en fuyant les bords fleuris, Me paroiſſent des lieux pourris, Dont l’humeur eſt gluante & la coulour liuide, Ou les ſerpens ſont les poiſſons, Et leur ſifflement les chanſons, Qui font rerentir le riudge, Et les dieux que i'en rey ſortir, Portent auec le repentir, La frayeur qui ſaiſit le plus ferme courage,	Les ruisseaux dont l'argent liquide Baise en fuyant les bords fleuris, Me paraissent des lieux pourris, Dont l'humeur est gluante et la coulour livide, Ou les serpens sont les poissons, Et leur sifflement les chansons, Qui font rerentir le riudge, Et les dieux que j'en re sortir, Portent des le repentir, La frayeur qui saisit le plus ferme courage,
Calliste de qui les merueilles	Calliste de qui les merveilles
Eſtant cachees à mes yeux, M’ont preſque rendu furieux, Ne paſſeray ie plus auecque toy des veilles?	Étant cachées à mes yeux, M'ont presque rendu furieux, Ne passerai ici plus avec toi des veilles?
Ne doy-ie plus auoir le bien De iouyr de ton entretien, Et la boutade frenetique De ce ialoux deſesperé, Me doit elle auoir ſeparé Pour touſiours de l'honneur de ta douce pratique	Ne dois-je plus avoir le bien De ouïr de ton entretien, Et la boutade frénétique De ce jaloux désespéré, Me doit elle avoir séparé Pour toujours de l'honneur de ta douce pratique
Si ie ſuis hors de ta preſence Encore huict iours tant ſeulement, I'auray recours au monument, Qui fauoriſe ceux qui ſont ſans eſperance:	Si tu suis hors de ta présence Encore huit jours tant seulement, J'aurai recours au monument, Qui favorise ceux qui sont sans espérance:
Ie ne puis pourtant te reuoir, Que tu ne m’ayes faict ſçauoir, Que la liberté m’est renduë, Quoy que l’on t’aye dict de moy De t’aller adorer chez toy Pour recouurer ma ioye où ie l’auoi perduë.	Je ne puis pourtant te revoir, Que tu ne m'aies fait savoir, Que la liberté m'est rendue, Quoi que l'on t'aie dit de moi De t'aller adorer chez toi Pour recouvrer ma joie où je l'avoi perdue.
ELEGIE MEAADE.	ÉLÉGIE MADE.
VHere beauté, qui de l’œil ſeulement, C Peux & bleſſer & guerir vn Amant, Qui peus ouurir le ciel à ta parolle, N’auray-ie rien iamais qui me conſole?	VHère beauté, qui de l'œil seulement, Ç Peux et blesser et guérir un Amant, Qui pus ouvrir le ciel à ta parole, N'aurai-je rien jamais qui me console?
Doy te languir malade en ta priſon Sans eſperer vn iour ma gueriſon?	Dois te languir malade en ta prison Sans espérer un jour ma guérison?
Ah!	Ah!
s’il eſt vray que ceſte douce flame, Dont tes beaux yeux ont allumé mon ame Te ſoit à charge, & tu ne vueilles pas, Qu'en ta beauté ie trouue des appas, Les iours plus beaux me ſeront des tenebres, Ie ne verray que des obiects funebres:	s'il est vrai que cette douce flamme, Dont tes beaux yeux ont allumé mon âme Te soit à charge, et tu ne veuilles pas, Qu'en ta beauté avait trouve des appas, Les jours plus beaux me seront des ténèbres, Je ne verrai que des objets funèbres:
Ta beauté ſeule eſt l’obiect gracieux, Qui peut touſiours ſatisfaire mes yeux, Et ſi le Ciel leur cachoit ton viſage, Hors de pleurer ils n’auroient point d’vſage, Il eſt bien vray que i’auroy merité, D'eſtre puny de ma temerité Que de t’aymer c’eſt beaucoup entreprendre, Mais qui pourroit contre toy ſe deffendre, Et la raiſon m'en voulant diuertir	Ta beauté seule est l'objet grâces, Qui peut toujours satisfaire mes yeux, Et si le Ciel leur cachait ton visage, Hors de pleurer ils n'auraient point d'usage, Il est bien vrai que j'aurais mérité, D'être puni de ma témérité Que de t'aimer c'est beaucoup entreprendre, Mais qui pourrait contre toi se défendre, Et la raison m'en voulant divertir
M'a faict en vain craindre le repentir, Prens ton miroir, & dans ton miroir meſme Voy ce qui fait Olinde que ie t’ayme, Et qu’on ne peuſt ſans eſtre espris d’amour, Voir tes beaux yeux plus beaux que l’œil du iour, Voir tes beaux yeux qui forcent les courages, Dont les regards ſont autant d’eſclauages, Ie ne ſuis point fait de roc ny de fer, Mon ame Olinde eſt propre à s’eſchaufer, Ne trouue point ma paßion eſtrange, Ne doit on pas estre amoureux d'vn Ange?	M'a fait en vain craindre le repentir, Prends ton miroir, et dans ton miroir ainsi Vois ce qui fait Olinde que sans t'aime, Et qu'on ne pût sans être épris d'amour, Voir tes beaux yeux plus beaux que l'œil du jour, Voir tes beaux yeux qui forcent les courages, Dont les regards sont autant d'esclauages, Je ne suis point fait de roc ni de fer, Mon âme Olinde est propre à s'échauffer, Ne trouve point ma passion étrange, Ne doit on pas chang amoureux d'un Ange?
Que ſi i’auoy cogneu dans les faux Dieux Tant de pouuoir que i'en trouue en tes yeux, Que de bon cœur ie ſerois idolatre:	Que si j'avais connu dans les faux Dieux Tant de pouvoir que j'en trouve en tes yeux, Que de bon cœur homme serais idolâtre:
Ton teint eſt fait de roſes & d’albatre, Et ſur ta bouche où naiſſent les œillets, De qui les bords ſont touſiours vermeillets, Ce fol amour artiſan des malices Deſcouure aux yeux ſes plus douces delices, Combien de fois s’il m'eust eſté permis, Par tes regards doucement ennemis, Olinde euſſe-ie aßouuy mon enuie, En la baiſant d’y rechercher ma vie, Et derechef dans l’humeur d’vn baiſer, Sentir plus fort mon ame s’embraſer Mais ie ne ſçay qui s’oppoſe à mon aiſe, Si faut-il bien que quelque homme te baiſe, Les immortels ne quittent plus les Cieux,	Ton teint est fait de roses et d'albâtre, Et sur ta bouche où naissent les œillets, De qui les bords sont toujours vermeillets, Ce fol amour artisan des malices Découvre aux yeux ses plus douces délices, Combien de fois s'il m'eût été permis, Par tes regards doucement ennemis, Olinde eusse-je assouuy mon envie, En la baisant d'y rechercher ma vie, Et derechef dans l'humeur d’un baiser, Sentir plus fort mon âme s'embraser Ai ie ne sçay qui oppose m ai, Si faut-il bien que quelque homme te baise, Les immortels ne quittent plus les Cieux,
Comme on a feint aux appas de deux yeux, C’est vne fable außi bien que ce ſonge, Ce vain honneur fils aiſné du menſonge, Dont les vieillards viennent perſecuter, Les doux plaiſirs qui ne peuuent gouſter, Mais ton bon ſens paſſe deſſus ces choſes, Tu ne prens point l’eſpine pour les roſes, Et ton esprit fort vigoureux & ſein, Autres penſers te met dedans le ſein:	Comme on a feint aux appas de deux yeux, C'est assez fable aussi bien que ce songe, Ce vain honneur fils aîné du mensonge, Dont les vieillards viennent persécuter, Les doux plaisirs qui ne peuvent goûter, Mais ton bon sens passe dessus ces choses, Tu ne prends point l'épine pour les roses, Et ton esprit fort vigoureux et sein, Autres pensers te met dedans le sein:
Tu me cognois de meſme que ma race, De mes threſors ie n’attends point de grace, Pour t’obliger à me vouloir du bien, Il me ſuffit que ie veux eſtre tien, Que mon genie eſt forcé de te ſuiure, Que loin de toy ie ne pourroy pas viure, Et ie ſerois bien malheureux außi S’il me falloit viure autre part qu’icy, Si ie pouuoy trouuer ailleurs de voye, Par où ie peuſſe aller iuſqu'à la ioye:	Tu me connais de même que ma race, De mes très lors jusqu'attends point de grâce, Pour t'obliger à me vouloir du bien, Il me suffit que tu veux été tien, Que mon génie est forcé de te suivre, Que loin de toi ie ne pourrais pas vivre, Et ainsi serais bien malheureux aussi S'il me fallait vivre autre part qu'ici, Si belle pouvai trouver ailleurs de voie, Par où tue usse aller jusqu'à la joie:
Si ie pouuoy quelque bien esperer, Qui peuſt ailleurs vn moment me durer, Ton entretien m’eſt plus cher qu’vn empire, C’eſt par ta voix que mon ame reſpire, Tu me peux bien ta grace refuſer, Mais vn autre œil ne ſçauroit m’embraſer:	Si grande pouvais quelque bien espérer, Qui pût ailleurs un moment me durer, Ton entretien m'est plus cher qu'un empire, C'est par ta voix que mon âme respire, Tu me peux bien ta grâce refuser, Mais un autre œil ne saurait m'embraser:
Quel que tu ſois i’ay de delicateſſes, Toutes beautez ne me ſont point maiſtreſſes, Si le corps ſeul a des attraits puiſſants,	Quel que tu sois j'ai dé délicatesses, Toutes beautés ne me sont point maîtresses, Si le corps seul a des attraits puissants,
Il ne ſçauroit aſſubiectir mes ſens, Il faut que l’ame ait de graces pareilles, Ie me prends moins des yeux que des oreilles:	Il ne saurait assubiectir mes sens, Il faut que l'âme ait de grâces pareilles, Je me prends moins des yeux que des oreilles:
Si tu n’auois, Olinde rien de beau Que ce qui doit aller ſous le tombeau, (Si rien y doit aller de ton viſage) Des fers iamais ie n’euſſe appris l’vſage, Et ſi l’on n’a de la brutalité, L’on n'ayme point vne ſotte beauté:	Si tu n'avais, Olinde rien de beau Que ce qui doit aller sous le tombeau, (Si rien y doit aller de ton visage) Des fers jamais avoir n'eusse appris l'usage, Et si l'on n'a de la brutalité, L'on n'aime point une sotte beauté:
