JULIE, Fille d’Oronte.	JULIE, Fille d'Oronte.
ORONTE.	ORONTE.
Soit.	Soit.
Quy d-t-il, Momeur:	Qui dit-il, Momeur:
BRIGANI.	BRIGANI.
Fous connoiſtre point en ſti File un certe Montſir Oronte?	Fous connaître point en sti File un certe Montsir Oronte?
ORONTE.	ORONTE.
Ouy, je le connoy.	Oui, je le connais.
BRe Ig ANI.	BRe Ig ANI.
Et quel Homme eſt-ile, Montſir, ſi ve plaiſt?	Et quel Homme est-île, Montsir, si ve plaît?
ORONTE.	ORONTE.
C’eſt un Homme comme les autres.	C'est un Homme comme les autres.
SBRIGANI.	SBRIGANI.
Je vous temande, Montſir, s’il eſt un Homme riclle qura da crenno	Je vous témande, Montsir, s'il est un Homme riclle qura da crenno
Ouy.	Oui.
ORONTE.	ORONTE.
SBRIGANI.	SBRIGANI.
Mais riche beaucoup grandement, Montſir?	Mais riche beaucoup grandement, Montsir?
Ouy.	Oui.
ORONTE.	ORONTE.
3.	3.
b l le Mn re J’en ſuy aiſe beaucoup, Montſir.	b l le Mn re J'en su aise beaucoup, Montsir.
DRONTE.	DRONTE.
Mais pourquoy cela?	Mais pourquoi cela?
BRIGANI.	BRIGANI.
L’eſt, Montſir, pour un petit raiſonne de conſe.	L'est, Montsir, pour un petit raisonne de conse.
quence pour nous.	quence pour nous.
ORONTE.	ORONTE.
Mais encore, pourquoy?	Mais encore, pourquoi?
B RIGANI.	 BIGANI.
L’eſt, Montſir, que ſti Montſir Oronte donne ſon Fille en mariage à un certe Montſir de Pourcegnac.	L'est, Montsir, que sti Montsir Oronte donne son Fille en mariage à un certe Montsir de Pourcegnac.
Hé bien.	Hé bien.
ORONTE.	ORONTE.
BRIGANI.	BRIGANI.
Et ſti Montſir de Pourcegnac, Montſir, l’eſt un Homme que doivre beaucoup grandement à dix ou douze douze Malchanne Pamane qui ente venu icy.	Et sti Montsir de Pourcegnac, Montsir, l'est un Homme que doivre beaucoup grandement à dix ou douze douze Malchanne Pamane qui ente venu ici.
DRONTE.	DRONTE.
Ce Monſieur de Pourceaugnac doit beaucoup à dix ou douze Marchands?	Ce Monsieur de Pourceaugnac doit beaucoup à dix ou douze Marchands?
BRIGANI.	BRIGANI.
Ouy, Montſir;	Oui, Montsir;
& depuis huite mois nous avoir obtenir un petit Santence contre luy, & luy à remettie a payel tou ce eſcanciers de ſti Mariage que ſti Montſir Oronte donne pour ſon Fille.	et depuis huite mois nous avoir obtenir un petit Santence contre tu, et était à remettie a payel tou ce écanciers de sti Mariage que sti Montsir Oronte donne pour son Fille.
ORONTE.	ORONTE.
Hon, hon, il a remis là à payer ſes Creanciers?	Hon, hon, il a remis là à payer ses Créanciers?
BRIGANI.	BRIGANI.
Ouy, Montſir, & avec un grant devotion nous tous attendre ſti Mariage.	Oui, Montsir, et avec un grant dévotion nous tous attendre sti Mariage.
SRONIE.	SRONIE.
L’avis n’eſt pas mauvais.	L'avis n'est pas mauvais.
Je vous donne le bonjour.	Je vous donne le bonjour.
SBRIGANI.	SBRIGANI.
Je remercie, Montſir, de la faveur grande.	Je remercie, Montsir, de la faveur grande.
ORONTE.	ORONTE.
Voſtre tres-humble valet.	Votre très-humble valet.
BRIGANI.	BRIGANI.
Je le ſuis, Montſir, obliger plus que beaucoup du bon nouvel que Montſir m’avoir donné.	Je le suis, Montsir, obliger plus que beaucoup du bon nouvel que Montsir m'avoir donné.
Cela ne va pas mal;	Cela ne va pas mal;
quittons noſtre ajuſtement de Flamant pour ſonger à d’autres machines;	quittons notre ajustement de Flamant pour songer à d'autres machines;
& tâchons de ſemer tant de ſoupçons & de diviſion entre le Beau-pere & le Gendre, que cela rompe le Mariage pretendu.	et tâchons de semer tant de soupçons et de division entre le Beau-père et le Gendre, que cela rompe le Mariage prétendu.
Tous deux également ſont propres à gober les hameçons qu’on leur veut tendre;	Tous deux également sont propres à gober les hameçons qu'on leur veut tendre;
& entre nous autres Fourbes de la premiere Claſſe, nous ne faiſons que nous joüer, lors que nous trouvons un Cibier auſſi facile que celurda	et entre nous autres Fourbes de la première Classe, nous ne faisons que nous jouer, lors que nous trouvons un Cibier aussi facile que celurda
SCENE IV.	SCÈNE IV.
M POURCEAUGNAC, SBRIGANI.	M MOURCEAUGNAC, SBRIGANI.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
J'Igrla-ioju, pigimuieju;	J'Igra-ioju, piguieju;
oignor Monſu.	oignor Monsieur.
Que diable eſt-ce là?	Que diable est-ce là?
Ah!	Ah!
BRIGANI.	BRIGANI.
Qu’eſt-ce, Monſieur, qu’avez-vous?	Qu'est-ce, Monsieur, qu'avez-vous?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
rout te uoje voyy me ſemble Lavement.	rout te uoje voisi me semble Lavement.
Comment?	Comment?
SBRIGANI.	SBRIGANI.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vous ne ſçavez pas ce qui m’eſt arrivé dans ce Logis à la porte duquel vous m’avez conduit?	Vous ne savez pas ce qui m'est arrivé dans ce Logis à la porte duquel vous m'avez conduit?
SBRIGANI.	SBRIGANI.
Non vrayment, qu’eſt-ce que c’eſt?	Non vraiment, qu'est-ce que c'est?
dta A duuonlaillsa ea Je penſois y eſtre regalé comme il faut.	dta A duonlaillsa ea Je pensais y être régalé comme il faut.
Hé bien?	Hé bien?
SBRIGANI.	SBRIGANI.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je vous laiſſe entre les mains de Monſieur.	Je vous laisse entre les mains de Monsieur.
Des Medecins habillez de noir.	Des Médecins habillez de noir.
Dans une chaiſe.	Dans une chaise.
Tâter le poulx.	Tâter le poulx.
Comme ainſi ſoit.	Comme ainsi soit.
Il eſt fou.	Il est fou.
Deux gros jouflus.	Deux gros jouflus.
Grands chapeaux.	Grands chapeaux.
Bon di, bon di.	Bon di, bon di.
Six Pantalons.	Six Pantalons.
Ta, ra, ta, ta:	Ta, ra, ta, ta:
Ta, ra, ta, ta.	Ta, ra, ta, ta.
Alegramente Monſu Pourceaugnac.	Alégramente Monsu Pourceaugnac.
Apotiquaire.	Apotiquaire.
Lavement.	Lavement.
Prenez, Monſieur, prenez, prenez.	Prenez, Monsieur, prenez, prenez.
Il eſt benin, benin, benin.	Il est bénin, bénin, bénin.
C’eſt pour déterger, pour déterger, déterger.	C'est pour déterger, pour déterger, déterger.
Piglia lo ſù, Signor Monſu, piglia lo, piglia lo, piglia-lo ſu.	Piglia lo sù, Signor Monsu, piglia lo, piglia lo, piglia-lo su.
Jamais je n’ay eſté ſi ſaoul de ſottiſes.	Jamais je n'ai été si saoul de sottises.
SBRIGANI.	SBRIGANI.
Qu’eſt ce que tout cela veut dire?	Qu'est ce que tout cela veut dire?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Cela veut dire que cet Homme-là, avec ſes grandes embraſſades, eſt un Fourbe qui m’a mis dans une Maiſon pour ſe moquer de moy, & me faire une piece.	Cela veut dire que cet Homme-là, avec ses grandes embrassades, est un Fourbe qui m'a mis dans une Maison pour se moquer de moi, et me faire une pièce.
SBRIGANI.	SBRIGANI.
Cela eſt-il poſſible?	Cela est-il possible?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Sans doute, ils eſtoient une douzaine de Poſſedez aprés mes chauſſes;	Sans doute, ils étaient une douzaine de Possédés après mes chausses;
& j’ay eu toutes les peines du monde à m’échaper de leurs pates.	et j'ai eu toutes les peines du monde à m'échapper de leurs pates.
SBRIGANI.	SBRIGANI.
Voyez-un peu, les mines ſont bien trompeuſes!	Voyez-un peu, les mines sont bien trompeuses!
je l’aurois eſtt ſe prus afleccionnie de vos Amis.	je l'aurais estt se prus afleccionnie de vos Amis.
Voila un de mes étonnemens, comme il eſt poſſible qu’il y ait des Fourbes comme cela dails ie Monde.	Voilà un de mes étonnements, comme il est possible qu'il y ait des Fourbes comme cela dails de Monde.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Ne ſens-je point le Lavement?	Ne sens-je point le Lavement?
voyez, je vous prie.	voyez, je vous prie.
BRIGANI.	BRIGANI.
Eh il y a quelque petite choſe qui approche de cela.	Eh il y a quelque petite chose qui approche de cela.
M.	M.
POURCEAUGNAO.	POURCEAUGNAO.
J’ay l’odorat & l’imagination tout rempli de cela, & il me ſemble toûjours que je voy une douzaine de Lavemens qui me couchent en jouë.	J'ai l'odorat et l'imagination tout rempli de cela, et il me semble toujours que je vois une douzaine de Lavements qui me couchent en joue.
SBRIGANI.	SBRIGANI.
ona uile mhechalicete bien grande!	ona uile mhéchalicète bien grande!
& les Hommes ſont bien traîtres & ſcelerats!	et les Hommes sont bien traîtres et scélérats!
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Enſeignez-moy, de grace, le Logis de Monſieur Oronte;	Enseignez-moi, de grâce, le Logis de Monsieur Oronte;
je ſuis bien-aiſe d’y aller tout à l’heure.	je suis bienaise d'y aller tout à l'heure.
SBRIGANI.	SBRIGANI.
Ah, ah, vous eſtes donc de complexion amoureuſe, & vous avez ouy parler que ce Monſieur Otonte a une Fille.	Ah, ah, vous êtes donc de complexion amoureuse, et vous avez ouï parler que ce Monsieur Otonte à une Fille.
M.	M.
PouRCEAdUNHC.	PouRCEAdUNHC.
Ouy, je viens l’épouſer.	Oui, je viens l'épouser.
SBRI	SBRI
SBRIGANI.	SBRIGANI.
Le.	Le.
Tepouler:	Tépouler:
Ouy.	Oui.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
En mariage?	En mariage?
SBRIGANI.	SBRIGANI.
ata le narenna n a nes De quelle façon donc?	ata le narenna n à nés De quelle façon donc?
RIGANI.	RIGANI.
Ah c’eſt une autre choſe, & je vous demande pardon.	Ah c'est une autre chose, et je vous demande pardon.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Qu aa quetealeurdues	Qu a quetealeurdues
ſeenl.	seenl.
SBRIGANI.	SBRIGANI.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mais encor?	Mais encor?
BRIGANI.	BRIGANI.
Rien, vous dis-je;	Rien, vous dis-je;
j’ay un peu parlé trop viſte.	j'ai un peu parlé trop vite.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je vous prie de me dire ce qu’il y a là-deſſous.	Je vous prie de me dire ce qu'il y a là-dessous.
BRIGANI.	BRIGANI.
Non, cela n’eſt pas neceſſaire.	Non, cela n'est pas nécessaire.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
De grace.	De grâce.
SBRIGANI.	SBRIGANI.
Pome, je vous prie de n'en ampenſer.	Pome, je vous prie de n'en ampenser.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Elt-ce que vous nenes pas de mes Ailis?	Elt-ce que vous nénés pas de mes Ailis?
SBRIGANI.	SBRIGANI.
Si-fait, on ne peut pas l’eſtre davantage.	Si-fait, on ne peut pas l'être davantage.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vous devez donc ne me rien cacher.	Vous devez donc ne me rien cacher.
BRIGANI.	BRIGANI.
C’eſt une choſe où il y va de l’intereſt du prochain.	C'est une chose où il y va de l'intérêt du prochain.
M.	M.
Pourenraorne.	Pourraorne.
Afin de vous obliger à m’ouvrir voſtre cœur, voila une petite Bague que je vous prie de garder pour laiom de moy.	Afin de vous obliger à m'ouvrir votre cœur, voilà une petite Bague que je vous prie de garder pour laiom de moi.
BRIGANI.	BRIGANI.
Laiſſez-moy conſulter un peu ſi je le puis faire en conſcience.	Laissez-moi consulter un peu si je le puis faire en conscience.
C’eſt un Homme qui cherche ſon bien, qui tâche de pourvoir ſa Fille le plus avantageuſement qu’il eſt poſſible;	C'est un Homme qui cherche son bien, qui tâche de pourvoir sa Fille le plus avantageusement qu'il est possible;
& il ne faut nuire à perſonne.	et il ne faut nuire à personne.
Ce ſont des choſes qui ſont connuës à la verité, mais j’iray les découvrir à un Homme qui les ignore, & il eſt defendu de ſcandaliſer ſon prochain:	Ce sont des choses qui sont connues à la vérité, mais j'irai les découvrir à un Homme qui les ignore, et il est défendu de scandaliser son prochain:
Cela eſt vray;	Cela est vrai;
mais d’autre part voila un Etranger qu’on veut ſurprendre, & qui de bonne foy vient ſe marier avec une Fille qu’il ne connoiſt pas, & & qu’il n’a jamais veuë, un Gentilhomme plein de franchiſe, pour qui je me ſens de l’inclination, qui me fait l’honneur de me tenir pour ſon Amy, prend confiance en moy, & me donne une Bague à garder pour l’amour de luy.	mais d'autre part voilà un Etranger qu'on veut surprendre, et qui de bonne foi vient se marier avec une Fille qu'il ne connaît pas, et et qu'il n'a jamais vue, un Gentilhomme plein de franchise, pour qui je me sens de l'inclination, qui me fait l'honneur de me tenir pour son Ami, prend confiance en moi, et me donne une Bague à garder pour l'amour de même.
Ouy, je trouve que je puis vous dire les choſes ſans bleſſer ma conſcience;	Oui, je trouve que je puis vous dire les choses sans blesser ma conscience;
mais tâchons de vous les dire le plus doucement qu’il nous ſera poſſible, & d’épargner les Gens le plus que nous pourons.	mais tâchons de vous les dire le plus doucement qu'il nous sera possible, et d'épargner les Gens le plus que nous pourrons.
De vous dire que cette Fille-là mene une vie des-honneſte, cela ſeroit un peu trop fort;	De vous dire que cette Fille-là mène une vie déshonnête, cela serait un peu trop fort;
cherchons pour nous expliquer, quelques termes plus doux.	cherchons pour nous expliquer, quelques termes plus doux.
Le mot de Galante auſii n’eſt pas aſſez;	Le mot de Galante ausi n'est pas assez;
celuy de Coquette achevée, me ſemble propre à ce que nous voulons, & je m’en puis ſervir, pour vous dire honneſtement ce qu’elle eſt.	celui de Coquette achevée, me semble propre à ce que nous voulons, et je m'en puis servir, pour vous dire honnêtement ce qu'elle est.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
L’on me veut donc prendre pour dupe?	L'on me veut donc prendre pour dupe?
BRIGANI.	BRIGANI.
Peut-eſtre dans le fond n’y a-t-il pas tant de mal que tout le monde croit;	Peut-être dans le fond n'y a-t-il pas tant de mal que tout le monde croit;
& puis il y a des Gens, aprés tout, qui ſe mettent au deſſus de ces ſortes de choſes, & qui ne croyent pas que leur honneur dépende.	et puis il y a des Gens, après tout, qui se mettent au dessus de ces sortes de choses, et qui ne croient pas que leur honneur dépende.
M.	M.
Pour	Pour
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Je ſuis voſtre ſerviteur, je ne me veux point mettre ſur la teſte un chapeau comme celuy-la, & l’on aime à aller le front levé dans la Famille des Pourceaugnacs.	Je suis votre serviteur, je ne me veux point mettre sur la tête un chapeau comme celui-la, et l'on aime à aller le front levé dans la Famille des Pourceaugnacs.
SBRIGANI.	SBRIGANI.
Voila le Pere.	Voilà le Père.
M.	M.
TOURCEAUGNAC.	TOURCEAUGNAC.
Ce Vieillard-la?	Ce Vieillard-la?
BRIGANI.	BRIGANI.
Ouy, je me retire.	Oui, je me retire.
Mi TORRCEAUGNAC.	Mi TORCEAUGNAC.
Vous eſtes Monſieur Oronte, n’eſt-ce pas?	Vous êtes Monsieur Oronte, n'est-ce pas?
Ouy.	Oui.
URONTE.	URONTE.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Et moy, Monſieur de Pourceaugnac.	Et moi, Monsieur de Pourceaugnac.
ORONTE.	ORONTE.
A la bonne heure.	À la bonne heure.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Croyez-vous, Monneur Olonte, que les Limoſins ſoient des ſots?	Croyez-vous, Monneur Olonte, que les Limosins soient des sots?
ORONTE.	ORONTE.
Croyez-vous, Monſieur de Pourceaugnac, que les Pariſiens ſoient des beſtes?	Croyez-vous, Monsieur de Pourceaugnac, que les Parisiens soient des bêtes?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vous imaginez-vous, Monſieur Oronte, qu’un Homme comme moy loit n’aname de femme?	Vous imaginez-vous, Monsieur Oronte, qu'un Homme comme moi loit n'anme de femme?
ORONTE.	ORONTE.
Vous imaginez-vous, Monſieur de Pourceaugnac, qu’une Fille comme la mienne ſoit ſi affamee de Mary?	Vous imaginez-vous, Monsieur de Pourceaugnac, qu'une Fille comme la mienne soit si affamée de Mari?
SCENE VI.	SCÈNE VI.
JULIE, ORONTE, M.	JULIE, ORONTE, M.
POURCEAUGNAC.	POURCEAUGNAC.
ULIE.	ULIE.
N vient de me dire, mon Pere, que Mon ſieur de Pourceaugnac eſt arrivé.	N vient de me dire, mon Père, que Mon eur de Pourceaugnac est arrivé.
Ah le voila ſans doute, & mon cœur me le dit.	Ah le voilà sans doute, et mon cœur me le dit.
Qu’il eſt bien fait:	Qu'il est bien fait:
quir a bon an:	quir a bon an:
et que je ſuis contente d’avoir un tel Epous!	et que je suis contente d'avoir un tel Épous!
Souffrez que je l’embraſſe, & que je luy temoigne.	Souffrez que je l'embrasse, et que je lui témoigne.
ORONTE.	ORONTE.
Doucement, ma Fille, doucement.	Doucement, ma Fille, doucement.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Tu-dieu, quelle Galante!	Tudieu, quelle Galante!
comme elle prend feu Haeora :	comme elle prend feu Haéora :
ORONTE.	ORONTE.
Je voudrois bien ſçavoir, Monſieur de Pourceaugnac, par quelle raiſon vous venez.	Je voudrais bien savoir, Monsieur de Pourceaugnac, par quelle raison vous venez.
ULIE.	ULIE.
Que je ſuis aiſe de vous voir!	Que je suis aise de vous voir!
& que je brule d’impatience.	et que je brule d'impatience.
ORONTE.	ORONTE.
All, Hla Fnle, oltez-vous de la, vous dis-je	All, Hla Fnle, oltez-vous de la, vous dis-je
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Julie s’aproche de M.	Julie s'approche de M.
de P.	de P.
le regarde d’un air languiſſant, & luy veut prendre la main.	le regarde d'un air languissant, et lui veut prendre la main.
Ho, ho, quelle égrillarde!	Ho, ho, quelle égrillarde!
ORONTE.	ORONTE.
Je voudrois bien, dis-je, ſçavoir par quelle raiſon, s’il vous plaiſt, vous avez la hardieſſe de.	Je voudrais bien, dis-je, Seigneur par quelle raison, s'il vous plaît, vous avez la hardiesse de.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vertu de mavie:	Vertu de mavie:
RONTE.	RONTE.
Encor, qu’eſt-ce à dire cela?	Encor, qu'est-ce à dire cela?
ULIE.	ULIE.
Ne voulez-vous pas que je careſſe l’Epous que vous m’avez choiſi ?	Ne voulez-vous pas que je caresse l'Épous que vous m'avez choisi ?
JRONTE.	JRONTE.
Non, rentrez là-dedans.	Non, rentrez là-dedans.
ULIE.	ULIE.
Laiſſez-moy le regarder.	Laissez-moi le regarder.
RONTE.	RONTE.
Reention, vous ais-je.	Rention, vous ais-je.
ULIE.	ULIE.
Je veux demeurer là, s’il vous plaiſt.	Je veux demeurer là, s'il vous plaît.
JRONTE.	JRONTE.
Je ne veux pas, moy;	Je ne veux pas, moi;
& ſi tu ne rentres tout à l’heure, je.	et si tu ne rentres tout à l'heure, je.
ULIE.	ULIE.
Hé bien, je rentre.	Hé bien, je rentre.
RONTE.	RONTE.
Ma Fille eſt une ſotte, qui ne ſçait pas les choſes.	Ma Fille est une sotte, qui ne sait pas les choses.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Comme nous luy plaiſons!	Comme nous nous plaisons!
ORONTE.	ORONTE.
Tu ne veux pas te retirer?	Tu ne veux pas te retirer?
d E l ul.	d E l ul.
Quand eſt-ce donc que vous me marierez avec Monſieur?	Quand est-ce donc que vous me marieriez avec Monsieur?
DRONTE.	DRONTE.
Jamais;	Jamais;
& tu n’es pas pour luy.	et tu n'es pas pour venir.
ULIE.	ULIE.
Je le veux avoir, moy, puis que vous me l’avez promis.	Je le veux avoir, moi, puis que vous me l'avez promis.
DRONTE.	DRONTE.
Si je te l’ay promis, je te le ueplomets.	Si je te l'ai promis, je te le éplomets.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Elle voudlont blen me teml.	Elle voudlont blen me tém.
ULIE.	ULIE.
Vous avez beau faire, nous ſerons mariez enſemble en dépit de tout le monde.	Vous avez beau faire, nous serons mariés ensemble en dépit de tout le monde.
ORONTE.	ORONTE.
ono en empeicneruy breitouo deux;	ono en empeicnerai breitouo deux;
je vous aſſure.	je vous assure.
Voyez un peu quel vertigo luy prend.	Voyez un peu quel grand grand prend.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Mon Dieu, noſtre Beau-pere pretendu, ne vous fatiguez point tant;	Mon Dieu, notre Beau-père prétendu, ne vous fatiguez point tant;
on n’a pas envie de vous enlever voſtre Fille, & vos grimaces n’atraperont rien.	on n'a pas envie de vous enlever votre Fille, et vos grimaces n'atraperont rien.
ORONTE.	ORONTE.
Toutes les voſtres n’auront pas grand effet.	Toutes les vôtres n'auront pas grand effet.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Vous eſtes-vous mis dans la teſte que Leonard de Pourceaugnac ſoit un Homme à acheter Chat en poche?	Vous êtes-vous mis dans la tête que Léonard de Pourceaugnac soit un Homme à acheter Chat en poche?
& qu’il n’ait pas là-dedans quelque morceau de judiciaire pour ſe conduire, pour ſe faire informer de l’hiſtoire du Monde, & voir en ſe mariant, ſi ſon honneur a bien toutes ſes ſeuretez?	et qu'il n'ait pas là-dedans quelque morceau de judiciaire pour se conduire, pour se faire informer de l'histoire du Monde, et voir en se mariant, si son honneur a bien toutes ses sûretés?
ORONTE.	ORONTE.
Je ne ſçay pas ce que cela veut dire:	Je ne sais pas ce que cela veut dire:
mais vous eſtes-vous mis dans la teſte, qu’un Homme de ſoixante & trois ans ait ſi peu de cervelle, & conſidere ſi peu ſa Fille, que de la marier avec un Homme qui a ce que vous içaven;	mais vous êtes-vous mis dans la tête, qu'un Homme de soixante et trois ans ait si peu de cervelle, et considère si peu sa Fille, que de la marier avec un Homme qui a ce que vous içaven;
ce qui a eſté mis chez un Medecin pour eſtre panſé?	ce qui a été mis chez un Médecin pour être pansé?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
C’eſt une piece que l’on m’a faite, & je n’ay aucun mal.	C'est une pièce que l'on m'a faite, et je n'ai aucun mal.
ORONTE.	ORONTE.
Le Medecin me l’a dit luy-même.	Le Médecin me l'a dit Rom-même.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Le Medecin en a menti;	Le Médecin en a menti;
je ſuis Gentilhomme, & je le veux voir l’épée à la main.	je suis Gentilhomme, et je le veux voir l'épée à la main.
ORONTE.	ORONTE.
Je ſçay ce que j’en dois croire, & vous ne m’abuſerez pas la-deſſus, non plus que ſur les debtes que vous avez aſſignées ſur le Mariage de ma Fille.	Je sais ce que j'en dois croire, et vous ne m'abuserez pas la-dessus, non plus que sur les débtes que vous avez assignées sur le Mariage de ma Fille.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Quelles debtes?	Quelles débtes?
ORONTE.	ORONTE.
La feinte icy eſt inutile, & j’ay veu le Marchand Flaman, qui, avec les autres Creanciers, a obtenu depuis huit mois Sentence contre vous.	La feinte ici est inutile, et j'ai vu le Marchand Flaman, qui, avec les autres Créanciers, a obtenu depuis huit mois Sentence contre vous.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Quel Marchand Flaman?	Quel Marchand Flaman?
quels Creanciers?	quels Créanciers?
quelle Sentence obtenuë contre moy?	quelle Sentence obtenue contre moi?
SRONIE.	SRONIE.
Vous ſçavez bien ce que je veux dire.	Vous savez bien ce que je veux dire.
SCENE VII.	SCÈNE VII.
LUCETTE, ORONTE, M.	LÙCETTE, ORONTE, M.
POURCEAUGNAC.	POURCEAUGNAC.
BRCBIIE.	BRCBIIE.
H tu es aſſy, & à la fy yeu te trobi aprés abé fait tant de paſſes.	H tu es assy, et à la fi yeu te trobi après abé fait tant de passes.
Podes-tu, Iceſerat, podes-tu ſouſteni ma biſto?	Podes-tu, Icesérat, podes-tu souteni ma bisto?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Qu’eſt-ce que veut cette Femme-là?	Qu'est-ce que veut cette Femme-là?
LUCETTE.	LUCETTE.
Que te boli, infame!	Que te boli, infâme!
tu fas ſemblan de nou me pas counouyſſe, & nou rougiſſes pas, impudent que tu ſios, tu nou rougiſſes pas de me beyre?	tu sas semblan de nouv me pas counouysse, et nou rougisses pas, impudent que tu sios, tu nou rougisses pas de me beire?
Nou ſaby pas, Mouſſur;	Nou sabi pas, Moussur;
ſaquos bous dont m’an dich que boüillo eſpouſa la Fillo;	saquos bous dont m'an dich que bouillo épousa la Fillo;
may yeu bous declari que yeu ſoun ſa Fenno, & que ya ſet ans, Mouſſur, qu’en paſſan à Pezenas el auguet l’adreſſe dambé ſas mignardiſos, commo ſap tapla fayre, de me gaigna lou cor, & m’oubliget per aquel mouyen à ly douna la ma per l’eſpouſa.	mais yeu bous déclari que yeu soun sa Fenno, et que ya set ans, Moussur, qu'en passan à Pezenas elle auguet l'adresse dambé sas mignardisos, commo sap tappla fais, de me gagna lou cor, et m'oubliget per aquel moui à li douna la ma per l'épousa.
Oh, oh.	Oh, oh.
ORONTE.	ORONTE.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
i Que Diable eſt-ce-cy?	y Que Diable est-ce-cy?
LUCETTE.	LUCETTE.
Lou trayte me quitet trés ans aprés, ſur lou preteſte de qualques affayres que l’apelaboun dins ſoun Païs, & deſpey noun n’ay reſçauput quaſi de noubelos;	Lou traite me quitet très ans après, sur lou teste de qualques affaires que l'apelaboun dins soun Pays, et dépei noun n'ai resçauput quasi de nouvelos;
may dins lou tens qui ſoungeabi lou mens, m’an dounat abiſt, que begnio dins aqueſto Bilo, per ſe remarida danbé un autro joüyne Fillo, que ſous Parens ly an proucurado, ſenſie ſaupre rez de ſoun premie mariatge.	mais dins lou tens qui soungeabi lou mens, m'an dounat abît, que begnio dins aquêto Bilo, per se remarida danbé un autro joüyne Fillo, que sous Parents li an proucurad, sensie saupre rez de soun premie mariatge.
Yeu ay tout quitat en diligenſſo, & me ſoüy rendudo dins aqueſte Loc lou pu leu qu’ay pouicut, per in oupoura en aquel criminel mariatge, & confondre as eyls de tout lou monde lou plus méchant des Homes.	Yeu ai tout quitat en diligenso, et me soui rendudo dins aquête Loc lou pu leu qu'ai pouicut, per in oupoura en aquel criminel mariatge, et confondre as éls de tout lou monde lou plus méchant des Homes.
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Voila une étrange effrontée!	Voilà une étrange effrontée!
LUCETTE.	LUCETTE.
Impudent, n’as pas honte de m’injuria, alloc d’eſtre comus das leploeles iccrets que ta conſſienſſo te deu fayre?	Impudent, n'as pas honte de m'injuria, alloc d'être comus das leploeles iccrets que ta conssiensso te de vaire?
M.	M.
POURCEAUGNAC.	POURCEAUGNAC.
Moy, je ſuis voſtre Mary?	Moi, je suis votre Mari?
LUCETTE.	LUCETTE.
Infame, auſos-tu dire lou contrari?	Infâme, auxusos-tu dire lou contrari?
He tu ſabes be, par ma péno, que n’es que trop bertat;	He tu sabes be, par ma péno, que n'es que trop bertat;
& plagueſſo al Cel qu’aco nou fougheſſo pas, & que m’augueſſos layſiado dins l’eſtat d’innouſſenço, & dins la tranquillitat oun moun amo bibio daban que tous charmes & tas trounpariés nou m’en bengueſſon malhurouſamen fayre ſourty;	et plaguesso al Cel qu'aco nou foughesso pas, et que m'auguessos laysiado dins l'état d'innoussenço, et dins la tranquillit oun moun amo bibio daban que tous charmes et tas trounpariés nou m'en bénguesson malhurousamen faire sourty;
yeu nou ſerio pas reduito à fayre lou triſte perſſounatge quyeu fau preſentamen;	yeu nou verio pas réduito à faire lou triste persounatge quieu fau présentamen;
