A MONSEIGNEVR DE MONTMORENCY, Duc, Pair, & prallu frullhrar de France, &c.	À MONSEIGNEUR DE MONTMORENCY, Duc, Pair, et prallu frullhrar de France, etc.
ie faire vn ſeul pas:	On faire un seul pas:
Attẽdant que quelqu’vn en ce bocage arriue e vay réuer au bruit de cette ſource viue:	Attendant que quelqu'amour en ce bocage arrive e' ai réuer au bruit de cette source vive:
’il faut s’en rapporter auiugement des yeux Ie croy que c’eſt icy la demeure des Dieux, Car ie ne penſe pas qu’vn ſi beau païſage.	il faut s'en rapporter aujugement des yeux Je crois que c'est ici la demeure des Dieux, Car ie ne pense pas qu'un si beau paysage.
eAit tumtats eſtt peint pout te morter vjage.	eAit tumtats estt peint pout te morter vjage.
Cependant la fraiſcheur de ce lieu nompareil Et le bruit de cette eau m’inuitẽt au ſommeil.	Cependant la fraîcheur de ce lieu nompareil Et le bruit de cette eau m'inuit au sommeil.
DORISE.	DORISE.
Au milieu du tourment, au milieu de la braiſe Tu m’eſtouffes la voix, tu veux que ie me taiCruel à qui veux-tu que i’adreſſe mes pleurs Qu'à toy qui ſeul peux mettre vn terme à mes douleurs?	Au milieu du tourment, au milieu de la braise Tu m'étouffes la voix, tu veux que jusqu' aiCruel à qui veux-tu que j'adresse mes pleurs Qu'à toi qui seul peux mettre un terme à mes douleurs?
Interdire la plainte & donner la torture, Eſt-ce pas violer les droits de la Nature?	Interdire la plainte et donner la torture, Est-ce pas violer les droits de la Nature?
Hal Philene, Philene, inſenſible Berger, Le Ciel eſt equitable, il me pourra vanger.	Hal Philène, Philène, insensible Berger, Le Ciel est équitable, il me pourra venger.
PHILENE.	PHILENE.
Ta conſtante amitié ſenſiblement me touche, Autremẽt il faudroit que ie fuſſe vne ſouche Et voudrois de bõ cœur, Doriſe, auoir de quo La bien recompenſer ſans violer ma foy:	Ta constante amitié sensiblement me touche, Autremẽt il faudrait que Seigneur fusse une souche Et voudrais de bo cœur, Dorise, avoir de quo La bien récompenser sans violer ma foi:
Mais tu ſçais que mõ ame autre part engage Ne ſouffrira iamais vne amour partagee.	Mais tu sais que mon âme autre part engage Ne souffrira jamais une amour partage.
DORISE.	DORISE.
Mettons fin deſormais à ſemblables diſcours La mort en peu de temps me donnera ſecours Ce fer qui va rougir de ton ingratitude Acheuera ma vie auec ma ſeruitude, Solitaire teſmoin de mes derniers ennuys, Echo qui fus iadis en l’eſtat où ie ſuis, Qui ſceus le deſeſpoir où tõbe vne pauure ame Dõt vn cœur tout de glace a repoußé la flame Lors que tu fis l’obiect de tes ſteriles vœux D’vn chaſſeur en qui l’onde alluma tant de feux, En faueur du destin qui rend nos infortunes Ainſi que nos amours egales & communes, i iamais on te vient enquerir de monſort Oy que l’ingrat Philene eſt cauſe de ma mort, Ay qu'apres ma frantmijt & ma raiſon rauie Sa rigueur aujourd’hui m’a fait perdre la vie.	Mettons fin désormais à semblables discours La mort en peu de temps me donnera secours Ce fer qui ma rougir de ton ingratitude Achevera ma vie avec ma servitude, Solitaire témoin de mes derniers ennuis, Écho qui fus jadis en l'état où tu suis, Qui sujet le désespoir où tombe une pauvre âme Dõt un cœur tout de glace a repougé la flamme Lors que tu fis l'objet de tes stériles vœux D'un chasseur en qui l'onde alluma tant de feux, En aveur du destin qui rend nos infortunes Ainsi que nos amours égales et communes, y iamais on je vient enquérir de monsort que a Philene est cause de ma mort, Ay qu'apres ma frantmijt et ma raison rauie Sa rigueur à ma fait perdre la vie.
PHTLENE.	PHTLENE.
O Dieux!	Ô Dieux!
que veux-tu faire.	que veux-tu faire.
DORISE.	DORISE.
Obſtacle iniurieux, Abandonnant ma vie à ce coup furieux, Pourquoy ne veux-tu pas que i’eſpuiſe mes veines?	Obstacle injurieux, Abandonnant ma vie à ce coup furieux, Pourquoi ne veux-tu pas que j'épuise mes veines?
Pourquoy ne veux-tu pas que i’acheue mes peines, Treuuant au bout du fer que tu m’as arraché Ce qu’en ton amitiè i’ay vainement cherché?	Pourquoi ne veux-tu pas que j'achève mes peines, Treuuant au bout du fer que tu m'as arraché Ce qu'en ton amitiè ay vainement cherché?
Non non, ne combas plus, l’influence obſtinee De l’aſtre malheureux qui fit ma deſtinee, re.	Non non, ne combas plus, l'influence obstine De l'astre malheureux qui fit ma destinée, re.
PHILENE.	PHILENE.
Ie garde à ta conſtance vn bien autre ſalaire.	Je garde à ta constance un bien autre salaire.
Seulement pour loyer de mon affection Laiſſe moy de ma fin la libre election, Ie ſuis digne de mort pour ne t'auoir ſceu plai	Seulement pour loyer de mon affection Laisse moi de ma fin la libre élection, Je suis digne de mort pour ne t'avoir su plai
DORISE.	DORISE.
Les iours plus eſloignez viennẽt ſur l’horiſon, Les fruits les plus tardifs ont en fin leur ſaiso, Tous les ans les moiſſons, tous les ans les vendanges Rempliſſent en leurs temps nos caues & nos granges;	Les jours plus éloignez viennent sur l'horizon, Les fruits les plus tardifs ont en fin leur saiso, Tous les ans les moissons, tous les ans les vendanges Remplissent en leurs temps nos caves et nos granges;
Mais les fruicts qu'à Doriſe à tout coup tu promets, Produits d’vn champ ingrat ne meuriſſent iamais.	Mais les fruits qu'à Dorise à tout coup tu promets, Produits d'un champ ingrat ne meurissent jamais.
PHILENE.	PHILENE.
Que cette fille eſt rare en ſa perſeuerance, Encore la faut-il contenter d’eſperance:	Que cette fille est rare en sa persévérance, Encore la faut-il contenter d'espérance:
Viença, pour te monſtrer que i’ay de l’amitié Et que de tes ennuys i’en reſſens la moitié, C'eſt que dés außi toſt que nous aurõs nouuelle Que l’on aura rompu le ſort de ma cruelle, Si l’ingrate qu’elle eſt perſiſte à me geſner, Ie iure de te prendre & de l’abandonner;	Viens, pour te montrer que j'ai de l'amitié Et que de tes ennuis j'en ressens la moitié, C'est que dès aussi tôt que nous aurõs nouvelle Que l'on aura rompu le sort de ma cruelle, Si l'ingrate qu'elle est persiste à me gêner, Je jure de te prendre et de l'abandonner;
Car de plus t’amuſer ie ferois conſcience, Donne ioy cependant vn peu de patience.	Car de plus t'amuser ici ferais conscience, Donne joi cependant un peu de patience.
DORISE.	DORISE.
Amdunuuquequuntes mieme que ces enenacement Se termine bien toſt à mon contentement.	Amdunuquequuntes mième que ces enenacement Se termine bien tôt à mon contentement.
PHILENE.	PHILENE.
Doriſe il eſt midy.	Dorise il est midi.
DORISE.	DORISE.
Comme t’en prends tu garde?	Comme t'en prends tu garde?
PHILENE.	PHILENE.
C'eſt qu’à plomb iuſtemẽt le Soleil nous regarde, Mettons-nous à couuert dans ce bocage frais, Que te Drn nepeiga iaman a vn de ſes traits.	C'est qu'à plomb iustemẽt le Soleil nous regarde, Mettons-nous à couvert dans ce bocage frais, Que te Drn nepeiga jaman a un de ses traits.
Dieux!	Dieux!
ie voy vn guerrier en appareil ſuperbe Le long de cette ſource eſtendu deſſus l’herbe.	Elle vois un guerrier en appareil superbe Le long de cette source étendu dessus l'herbe.
DORISE.	DORISE.
Voyons le de plus prés, c’eſt vn ieune guerrier Qui ſe met de bonne heure à l’ombre du laurier.	Voyons le de plus près, c'est un jeune guerrier Qui se met de bonne heure à l'ombre du laurier.
PHILENE.	PHILENE.
C'eſt de ces Cheualiers qui par toute la terre Cherchent nouueaux ſujets & d’amour & de guerre.	C'est de ces Chevaliers qui par toute la terre Cherchent nouveaux sujets et d'amour et de guerre.
Tirons-nous al'eſcattattendant ſon reſueil.	Tirons-nous al'escattattendant son réveil.
FLORESTAN.	FLORÊTAN.
O chere viſion, ô gracieux ſommeil Qui m’as flatté les ſens d'vn ſi plaiſant mẽſonge, Que n’as tu plus long temps continué ce ſonge?	Ô chère vision, ô gracieux sommeil Qui m'as flatté les sens d'un si plaisant mẽsonge, Que n'as tu plus long temps continué ce songe?
Moy mefme ie t’aurois pour vn ſi doux abus Eſleué des autels de ces gazons herbus.	Moi -même Prince t'aurais pour un si doux abus Élevé des autels de ces gaz herbus.
Princeſſe des Beautez, Meliphile adorable, Que tu m'as fait en ſonge vn accueil fauorable.	Princesse des Beautés, Méliphile adorable, Que tu m'as fait en songe un accueil favorable.
Ne vois-ie pas quelqu'vn dans ce taillis eſpais?	Ne vois-je pas quelqu'Hommes dans ce taillis épais?
Ie ne viens pas icy pour troubler voſtre paix, Ampne craignex pas quele vons ſuee cutrage, Ie ſuis vn eſtranger que l’effort du naufrage A ietté cette nuict ſur ce bord incognu.	Je ne viens pas ici pour troubler votre paix, Ampne craignex pas quele vons seuée cutrage, Je suis un étranger que l'effort du naufrage À jeté cette nuit sur ce bord inconnu.
FHILENE.	FHILENE.
Vous ſoyez parmy nous mieux que le biẽ venu, La gent de ce pays eſt courtoiſe & docile.	Vous soyez parmi nous mieux que le bien venu, La gent de ce pays est courtoise et docile.
FLORESTAN.	FLORÊTAN.
Quel nom a ce pays?	Quel nom à ce pays?
DORISE.	DORISE.
On l'appelle Sicile.	On l'appelle Sicile.
FLORESTAN.	FLORÊTAN.
Quoy voicy la Sicile, hal ie ne le croy point, Icy la deffiance à la raiſon ſe ioint, Durant trois iours entiers noſtre nef vagabonde Errãte au gré des vents qui regẽtoient ſur l’onde, Pendant vn ſi long temps que l’orage a duré N’a iamais peu tenir de ſentier aſſeuré:	Quoi voici la Sicile, hal Seigneur ne le crois point, Ici la défiance à la raison se joint, Durant trois jours entiers notre ne vagabonde Errãte au gré des vents qui regẽtoient sur l'onde, Pendant un si long temps que l'orage a duré N'a jamais peu tenir de sentier assuré:
Car afin qu’en deux mots mõ deſſein ie vous die, C’eſt que i’eſtois parti de l’Iſle de Candie Exprés pour aborder en ce pays plaiſant, Où vous dittes, Berger, que ie ſuis à preſent;	Car afin qu'en deux mots mon dessein je vous die, C'est que j'étais parti de l'Île de Candie Exprès pour aborder en ce pays plaisant, Où vous dites, Berger, que je suis à présent;
Si bien que ie ne ſçay comme quoy la fortune M’a voulu mettre au port en dépit de Neptune:	Si bien que je ne sais comme quoi la fortune M'a voulu mettre au port en dépit de Neptune:
Et voſtre belle Infante en qui les Cieux amis Les piua ptaux ornemes de teurs treſors ont mis, Ce prodige de grace & de beauté mortelle, Meliphile en vn mot, comment ſe porte elle?	Et votre belle Infante en qui les Cieux amis Les piva pts ornemes de teurs trésors ont mis, Ce prodige de grâce et de beauté mortelle, Meliphile en un mot, comment se porte elle?
DORISE.	DORISE.
Inous, Fort bien dans vn chaſteau qui n’eſt pas loing de Où du ſort de ſon frere elle attend vn eſpoux.	Inous, Fort bien dans un château qui n'est pas loin de Où du sort de son frère elle attend un époux.
FLORESTAN.	FLORÊTAN.
Ie n'entends point cela.	Je n'entend point cela.
DORISE.	DORISE.
C’eſt que le Roy ſonpere Piqué de quoy ſon fils aimoit vne Bergere, Pour les punir tous deux les a fait enchanter De la meſme façon que ie le vais conter.	C'est que le Roi sonpère Piqué de quoi son fils aimait une Bergère, Pour les punir tous deux les a fait enchanter De la même façon que ie le vais conter.
Ce maudit ſortilege eſt fait de telle ſorte, Que ce Prince par fois croit ſa Bergere morte, Et dans cette creance il ſouffre des tourments Qui ne ſont biẽ cognus que des parfaits amants:	Ce maudit sortilège est fait de telle sorte, Que ce Prince par fois croit sa Bergère morte, Et dans cette créance il souffre des tourments Qui ne sont biẽ connus que des parfaits amants:
Et d’autres fois außi la plaintiue Syluie Penſe qu'entre ſes bras il a perdu la vie, Elle pleure, elle crie, & forme des diſcours Qui toucheroiẽt le cœur des Tygres & des Ouns	Et d'autres fois aussi la plaintive Syluie Pense qu'entre ses bras il a perdu la vie, Elle pleure, elle crie, et forme des discours Qui toucheraient le cœur des Tigres et des Ouns
FLORESTAN.	FLORÊTAN.
Et ce Roy ſans pitié, ce vieux pere barbare, Ne ſe ſent point eſmeu d’vne amitié ſi rare?	Et ce Roi sans pitié, ce vieux père barbare, Ne se sent point ému d'une amitié si rare?
DORISE.	DORISE.
Sept ou huict iours apres qu’on les eut enchanté Il eut du repentir de ſa ſeuerité, Il voulut les remettre en leur ſens ordinaire, Mais le Magicien ne le peut iamais faire, Rien ne les peut tirer de ce fatal malheur Qu'vn Cheualier doüé d’vne extreme valleur, Et c'eſt à celuy là que doit eſtre donnee L’Infante, ſous les loix d’vn celebre Hymenee, Deſia maints Cheualiers ont tenté vainement De donner à ce charme vn bon euenement.	Sept ou huit jours après qu'on les eut enchanté Il eut du repentir de sa sévérité, Il voulut les remettre en leur sens ordinaire, Mais le Magicien ne le peut jamais faire, Rien ne les peut tirer de ce fatal malheur Qu'un Chalier doüé d'une extrême valeur, Et c'est à celui là que doit été donnée L'Infante, sous les lois d'Hel celebre Hymène, Désia maints Chaliers ont tenté vainement De donner à ce charme un bon événement.
FLORESTAN.	FLORÊTAN.
Dieux!	Dieux!
que ie ſuis content de quoy cette auenture Fournira de matiere à ma gloire future:	que ici suis content de quoi cette aventure Fournira de matière à ma gloire future:
Berger ne perdons point dauantage de temps, Ie veux rendre aujourd’huy ces deux eſprits contents, Inſpiré que ie ſuis d’vn vigoureux Genie, Ie les affranchirayde cette tyrannie:	Berger ne perdons point davantage de temps, Je veux rendre aujourd'hui ces deux esprits contents, Inspiré que je suis d'un vigoureux Génie, Je les affranchiraide cette tyrannie:
L Dittes moy ſommes nous beaucoup loing du cha	 Littes -moi sommes nous beaucoup loing du cha
ſteau?	steau?
PHILENE.	PHILENE.
l eſt à deux cens pas derriere ce coſteau, e vous y veux conduire, & ſi la faim vous preſſe, omme il eſt à iuger, noſtre chemin s’adreſſe Dans vn petit village où nous vous traitterons Tort liberalement des biens que nous aurons.	l est à deux cens pas derrière ce costeau, e vous y veux conduire, et si la faim vous presse, omme il est à juger, notre chemin s'adresse Dans un petit village où nous vous traiterons Tort libéralement des biens que nous aurons.
u c --- .	U ç -- .
	
SCENE II.	SCÈNE II.
LE ROY.	LE ROY.
PAGE.	PAGE.
THELAME TLOREST.	THÉLAME TLORÉT.
DILV.	DILV.
MELIPH.	MELIPH.
LE ROY.	LE ROY.
JOus celeſtes de qui la ſageſſe profonde V Preſide abſolument aux affaires du mõde Arbîtres de monſort, tenez les yeux ouuerts Sur le plus triſte Roy qui ſoit en l’Vniuers.	JOus célestes de qui la sagesse profonde V Reside absolument aux affaires du monde Arbîtres de monsort, tenez les yeux ouverts Sur le plus triste Roi qui soit en l'Univers.
Mais cõment eſperer que les Dieux facent grac A qui ne l’apoint fait à ſon ſang, à ſa race?	Mais commencement espérer que les Dieux facent grâces À qui ne l'apoint fait à son sang, à sa race?
Non non, il faut ſouffrir, & les Dieux offence:	Non non, il faut souffrir, et les Dieux offense:
Doiuent aigrir mes maux ſi ie n’endure aſſez.	Doivent aigrir mes maux si tu n'endure assez.
Abominable autheur d’vn ſupplice effroyable Deteſtable artiſan d’vne peine incroyable, Aſſaßin de ton fils, il faut que le remords De tes meſchancetez te donnent mille morts, Et que ton ſouuenir à tout moment exprime A tes ſens effrayez la noirceur de ton crime.	Abominable auteur d'un supplice effroyable Detestable artisan d'une peine incroyable, Assassin de ton fils, il faut que le remords De té méchanceté te donnent mille morts, Et que ton souvenir à tout moment exprime A tes sens effrayez la noirceur de ton crime.
Malheureux que ie ſuis, quel Demõ m’aueugla	Malheureux que je suis, quel Demble m'aveugla
Quelle rage d’Enfer ma raiſon deſregla, Lors que pour me venger à tort de l’innocence Ie voulus employer la magique puiſſance?	Quelle rage d'Enfer ma raison dérégla, Lors que pour me venger à tort de l'innocence Je voulus employer la magique puissance?
De là vient que ie ſuis tout à fait odieux Au commun ſentimẽt des hõmes & des Dieux Mon peuple eſt irrité d’vne action ſi lâche, De honte & de regret il faut que ie me cache, Et ie ne crains rien moins qu’vne ſedition, Qui poßible doit eſtre à ma perdition, Ie n’attens que le point que cette tourbe vile Suiuant les mouuemens d’vne fureur ciuile Vienne cõme vn Tyran dans mõ lit m’égorger Et donne puis apres mon Sceptre à l’eſtranger:	De là vient que je suis tout à fait odieux Au commun sentiment des hommes et des Dieux Mon peuple est irrité d'une action si lâche, De honte et de regret il faut que tu me cache, Et ainsi ne crains rien moins qu'une sédition, Qui passible doit été à ma perdition, Je n'attends que le point que cette tourbe vile Suivant les mouvements d'une fureur civile Vienne comme un Tyran dans mõ estime un sujet M' égorger à apres à Sceptre à l'étranger:
De moy dés maintenant ie preſente ma teſte Aux traits l'es plus ſanglants que le deſtin m’appreſte, Laraiſon & le temps m’ont aſſeZ bien appris La ſcience d’auoir le treſpas à meſpris:	De moi dès maintenant nous présente ma tête Aux traits l'es plus sanglants que le destin m'apprête, Laraison et le temps m'ont assez bien appris La science d'avoir le trépas à mépris:
Toutesfois ſi deuant que perdre la lumiere Ie reuoyois mon fils en ſa ſanté premiere, Apres que la valleur d’vn guerrier courageux Auroit brisé l'effort de ce charme outrageux, Dans ce parfait bonheur mon ame ie m’aſſeur illaijans egaja taanqaeamelre.	Toutefois si devant que perdre la lumière Je revoyais mon fils en sa santé première, Après que la valleur d'un guerrier courageux Aurait brisé l'effort de ce charme outrageux, Dans ce parfait bonheur mon âme afin m'assur illaijà tajà taanqaeamelre.
PAGE.	PAGE.
Sire les deux Amants dans leur mal rigoureux Vont bien toſt commẽcer leurs regrets douloureux, Vn grand ventuantu jaurmaulire, Signe preſagieux de leur plainte ordinaire.	Sire les deux Amants dans leur mal rigoureux Vont bien tôt commencer leurs regrets douloureux, Un grand ventuant jauraulire, Signe presquagieux de leur plainte ordinaire.
E ROY.	E ROY.
Ie ſuis deliberé de l’entendre aujourd’huy, Ne fuſt ce qu’à deſſein d’augmẽter mon ennuy Car les piteux accents de la voix de Thelame Sont autant de poignards qui me tranſpercent I'ame, Sont autant de vautours & de ſerpens mordans Qui me font reſſentir mille maux au dédans.	Je suis déliberé de l'entendre aujourd'hui, Ne fût ce qu'à dessein d'augmenter mon ennui Car les piteux accents de la voix de Thelame Sont autant de poignards qui me transpercent J'âme, Sont autant de vautours et de serpens mordants Qui me font ressentir mille maux au dédans.
A voir tant ſeulement leur posture dolente Ie reſſens les accez d’vne fin violente.	À voir tant seulement leur posture dolente Je ressens les accès d'une fin violente.
THELAME.	THÉLAME.
Sus ſus, c’eſt trop dormir, veux tu pas t’eſueiller Vn Soleil Orient deuroit il ſommeiller?	Sus sus, c'est trop dormir, veux tu pas t'éveiller Un Soleil Orient deuroit il sommeiller?
Dormeuſe eſueille toy, chaſſons cette pareſſe	Dormeuse éveille toi, chassons cette paresse
Et ce peſant ſommeil qui ta paupiere preſſe.	Et ce pesant sommeil qui ta paupière presse.
Tu ne me reſpons rien:	Tu ne me répondons rien:
ô puißãt Dieu d’Amour, Ie croy qu'elle a perdu la lumiere du iour:	ô passant Dieu d'Amour, Je crois qu'elle a perdu la lumière du jour:
Mon ame, ma Syluie:	Mon âme, ma Syluie:
hal la mort la rẽd ſourde, Elle eſt deſſous ma main froide, immobile & lourde, La couleur du treſpas dont ſon viſage eſtpeint A fait eſuanoüyr les roſes de ſon teint, Comparable à la fleur qui demeure couchee Seiche dans vn ſillon où le ſoc l’a touchee.	hal la mort la rendre sourde, Elle est dessous ma main froide, immobile et lourde, La couleur du trépas dont son visage estpeint A fait esuanoüyr quelque roses de son teint, Comparable à la fleur qui demeure couchée Seiche dans un sillon où le soc l'a touchée.
Ma perte eſt veritable, il n’en faut plus douter:	Ma perte est véritable, il n'en faut plus douter:
Helas!	Hélas!
quel Dieu viendra me la reſſuſciter:	quel Dieu viendra me la ressusciter:
C’eſt la mort qui luy met le ſilence en la bouche, Et qui de tout sõ corps n’en a fait qu’vne ſouche.	C'est la mort qui avait met le silence en la bouche, Et qui de tout somme corps n'en a fait qu'une souche.
Dieux!	Dieux!
pourquoy mettiez vous en cet aimable corps Les plus beaux ornemens de vos diuins treſors?	pourquoi mettiez -vous en cet aimable corps Les plus beaux ornements de vos divins trésors?
Pourquoy luy dõniez vous tant de ſi belles marques, Pour le laiſſer ſi toſt à la merçy des Parques?	Pourquoi était dõniez -vous tant de si belles marques, Pour le laisser si tôt à la merçi des Parques?
Et toy perfide Amour, que n’as-tu deſtourné Le coup qui de ſes ans a le cours terminé?	Et toi perfide Amour, que n'as-tu détourné Le coup qui de ses ans a le cours terminé?
Au moins ſi mes ſouſpirs errans de place en place Sur ce corps precieux qui n'eſt plus que de glace, Auec tout ce qu’ils ont de force & de chaleur, Y pouuoient ramener & l’ame & la couleur.	Au moins si mes soupirs errants de place en place Sur ce corps précieux qui n'est plus que de glace, Avec tout ce qu'ils ont de force et de chaleur, Y pouvaient ramener et l'âme et la couleur.
Mais ces foibles diſcours où la douleur m'emporte Ne rendront pas la vie à ma Bergere morte:	Mais ces faibles discours où la douleur m'emporte Ne rendront pas la vie à ma Bergère morte:
C’eſt vous qui gouuernez le deſtin des humains, Vous qui tenez leur vie & leur mort en vo mains, C'eſt vous, dy-ie, grands Dieux qui pouuez mi la rendre Belle cõme elle eſtoit quand la mort l’oſa prẽdre Sus qui de vous viendra me la reſſuſciter?	C'est vous qui gouvernez le destin des humains, Vous qui tenez leur vie et leur mort en vo mains, C'est vous, dis-je, grands Dieux qui pouvez mi la rendre Belle comme elle était quand la mort l'osa prendre Sus qui de vous viendra me la ressusciter?
Eſt-il beſoin icy de vous ſolliciter?	Est-il besoin ici de vous solliciter?
Quoy ne voyez voꝰ pas voſtre plus bel ouurag A qui la mort a fait vn inſolent outrage?	Quoi ne voyez voù pas votre plus bel ouvrag A qui la mort a fait un insolent outrage?
Monſtrez voſtre pouuoir à le faire durer, Comme vous auiez fait à le bien figurer.	Montrez votre pouvoir à le faire durer, Comme vous aviez fait à le bien figurer.
En vain de vous flechir, Immortels, ie m’eſſaye, Cependant ie deſcouure vne ſanglante playe Qu'vn poignard homicide a faite dans ſon ſein,	En vain de vous fléchir, Immortels, Elle m'essaye, Cependant ie découvre quelque sanglante plaie Qu'un poignard homicide a faite dans son sein,
O trop cruel effect d’vn furieux deſſein, Quelle barbare main, quel eſprit ſi damnable Peut auoir entrepris ce meurtre abominable?	Ô trop cruel effet d'Han furieux dessein, Quelle barbare main, quel esprit si damnable Peut avoir entrepris ce meurtre abominable?
I'en ſuis trop aſſeuré, le courroux paternel A fait executer cet acte criminel.	J'en suis trop assuré, le courroux paternel A fait exécuter cet acte criminel.
Il a fait eſgorger cette pauure victime Dont ma ſeule amitié pouuoit eſtre le crime.	Il a fait égorger cette pauvre victime Dont ma seule amitié pouuoit être le crime.
Sanguinaire tyran, cœur de bronze ou d’acier, Plus cruel mille fois qu’vn lyon carnaßier, Pere qui de ton fils deſchire les entrailles, Puiſque tu te plais tant à voir des funerailles, Ie te veux contenter, tygre viens toy ſaouler De mon ſang eſpanché que tu verras couler:	Sanguinaire tyran, cœur de bronze ou d'acier, Plus cruel mille fois qu'un lyon carnassier, Père qui de ton fils déchire les entrailles, Puisque tu te plaisais tant à voir des funérailles, Je te veux contenter, tigre viens toi saouler De mon sang épanché que tu verras couler:
Ne treuueray-ie point quelque fer fauorable Qui m’oſte du pouuoir d’vn ſort ſi deplorable?	Ne trouverai-je point quelque fer favorable Qui m'ôte du pouvoir d'un sort si déplorable?
Dans le deſir que i’ay de me faire mourir Ne treuueray-ie point de quoy me ſecourir?	Dans le désir que j'ai de me faire mourir Ne trouverai-je point de quoi me secourir?
O mort fais moy ſentir ſi ta main eſt peſante, Ce Prince malheureux vn butin te preſente, Ne le refuſe pas, außi bien toſt ou tard Tu le verras tomber ſous l’effort de ton dard.	Ô mort fais moi sentir si ta main est pesante, Ce Prince malheureux un butin te présente, Ne le refuse pas, aussi bien tôt ou tard Tu le verras tomber sous l'effort de ton dard.
Mais ie reclame en vain ſes fureurs nõpareilles,	Mais quelque réclame en vain ses fureurs nõpareilles,
L’impiteuſe pour moy n’a point d’yeux ny d’oreilles, On auance fort peu vers elle pour crier, Rien pour l’iniurier, & moins pour la prier.	L'impiteuse pour moi n'a point d'yeux ni d'oreilles, On avance fort peu vers elle pour crier, Rien pour l'injurier, et moins pour la prier.
Doncques puiſque ma peine a la Parque eſtõnee, Et qu'elle a pour moy ſeul ſa rage abandonnee, I’arroſeray de pleurs ce chef-d’œuure des Cieux Tãt que tous mes eſprits s’eſcoulẽt par mes yeux, Et que mon foible corps de laßitude expire Sur le rare débris de l’amoureux Empire.	Donc puisque ma peine a la Parque estõnee, Et qu'elle a pour moi seul sa rage abandonnée, J'arroserai de pleurs ce chef-d'œuvre des Cieux Tant que tous mes esprits s'écoulent par mes yeux, Et que mon faible corps de lassitude expire Sur le rare débris de l'amoureux Empire.
Chaſte cœur qui iadis bruſlas d’vn feu ſi net, Où l’Amour auoit fait ſon petit cabinet, Retraitte inuiolable où nos ames bleſſees Mettoient cõme en depoſt leurs cõmunes pẽſees, Cœur que la chaſteté tenoit comme ſacré, De quelle ſorte, helas!	Chaste cœur qui jadis brûlas d'un feu si net, Où l'Amour avait fait son petit cabinet, Retraitte inviolable où nos âmes blessées Metaient comme en dépôt leurs communes pensées, Cœur que la chasteté tenait comme sacré, De quelle sorte, hélas!
ie te voy maſſacré, Que ne peut de mon corps la maſſe toute entiere Dans cette grande playe auoir ſon cimetiere, Ma chair auec la tienne ainſi ſe colleroit, Et mon ſang amoureux au tien ſe meſleroit:	On te vois massacré, Que ne peut de mon corps la masse toute entière Dans cette grande plaie avoir son cimetière, Ma chair avec la tienne ainsi se collerait, Et mon sang amoureux au tien se mêlerait:
Chaque fois que ie voy cette large ouuerture Ie ne ſoaurois comprendre vne telle auenturé, Car n'ayans eu tous deux qu'vne ame iuſqu’icy, I’vn mort, l’autre deuroit ceſſer de viure außi;	Chaque fois que je vois cette large ouverture Je ne saurais comprendre une telle aventuré, Car n'ayant eu tous deux qu'une âme jusqu'ici, J'Un mort, l'autre devrait cesser de vivre aussi;
Toute pois elle eſt morte, & toy laſche Thelame Sur sõ corps paſle et froid tu n'as pas rẽdu l’ame:	Toute pois elle est morte, et toi lâche Thelame Sur sommes corps pâle et froid tu n'as pas rẽdu l'âme:
Attends moy, ma Bergere, attends moy, ie te ſuis Parmy l’obſcuritè des eternelles nuits, [lent, mundoiruntnaudomiuunnae ionn espuer maſſailS’en eſt fait, ie me meurs, les forces me defaillent.	Attends moi, ma Bergère, attends moi, ie te suis Parmi l'obscuritères des éternelles nuits, [lent, mundoiruntnaudomivunnae jonn espuer massailS'en est fait, Se me meurs, les forces me défaillent.
LE ROY.	LE ROY.
En fin ces actions d’amour & de pitié Me feront fendre vn iour le cœur par la moitié:	En fin ces actions d'amour et de pitié Me feront fendre un jour le cœur par la moitié:
Que ces gemiſſemens & ces funebres plaintes Donnent à mes eſpauuueferjurumtandes, Dieux!	Que ces gémissements et ces funèbres plaintes Donnent à mes espauuueferjurumtandes, Dieux!
arreſtez le flux de mes ans malheureux, Ou finiſſeZ bien toſt ce deſtin douloureux.	arrêtez le flux de mes ans malheureux, Ou finissez bien tôt ce destin douloureux.
PAGE.	PAGE.
Sire, vn braue guerrier eſt là bas qui deſire De tenter l’auenture.	Sire, un brave guerrier est là bas qui désire De tenter l'aventure.
LE ROY.	LE ROY.
Et bien alleZ luy dire Qu'il s’y peut eſprouuer à l’heure qu’il voudra, Quand eſt-ce que le Ciel en fin ſe reſoudra De m'enuoyerceluy de qui l’ayde opportune Doit faire le ſujet de ma bonne fortune.	Et bien allez Seigneur dire Qu'il s'y peut éprouver à l'heure qu'il voudra, Quand est-ce que le Ciel en fin se résoudra De m'envoyercelui de qui l'aide opportune Doit faire le sujet de ma bonne fortune.
Cheualier il n’eſt pas que par le commun bruit De mon affliction vous ne ſoyeZ inſtruit, Puiſque de mon malheur la triſte renommee Eſt par toute la terre egalement ſemee:	Chevalier il n'est pas que par le commun bruit De mon affliction vous ne soyeZ instruit, Puisque de mon malheur la triste renommée Est par toute la terre également semée:
Vous ſçaueZ le loyer promis publiquement A qui fera la fin de cet enchantement:	Vous savez le loyer promis publiquement À qui fera la fin de cet enchantement:
