A.	A.
nõ il vaut mieux les appendre en trophée auec ma houlette & ma panetiere a ceſtarbre quime sert de cenotaphe, & escrire quelques vers qui empeſchent les paſsans de ſe les aproprier.	nom il vaut mieux les appendre en trophée avec ma houlette et ma panetière a cestarbre qui sert de cénotaphe, et écrire quelques vers qui empêchent les passants de se les apprier.
Paſſant, ne touche point ces deſpouil les ſacrées Sy tu crains le couroux de la diuinite, Reliques d’vn amour plein de fidelitè, Ils pendent en ce lieu pour y estre do rées.	Passant, ne touche point ces dépouil les sacrées Sy tu crains le courroux de la divinité, Reliques d'un amour plein de fidelitè, Ils pendent en ce lieu pour y chang do rées.
Voila l’autel preparé, il ne reſte plus qu’aimmoler la victime:	Voilà l'autel préparé, il ne reste plus qu'aimoler la victime:
à dieu Soleil vers qui ie tourne les yeux pour la derniere fois, ie n’aime voſtre lumiere que par accident, la cau ſe ceſſãte i'ẽ fais ceſſer leffect à Dieu chers amis qui auez tasché auec tant des oing en pro.	à dieu Soleil vers qui votre tourne les yeux pour la dernière fois, je n'aime votre lumière que par accident, la cau se cessante j'en fais cesser leffet à Dieu chers amis qui avez tâché avec tant des oing en pro.
longeant mavie deprolonger ma peine:	Longeant mavie déprolonger ma peine:
& vous bois, & vous plãtes qui portez sur vostrõcs les marques de mo amour, ie vous dis vn eternelà Dieu belles Naiades, qui aueztant de fois preſté l’aureille aux accors de moflageol, qui auez rechaté les vers qu’amour m’a faict ſous pirer ſurvos bors diaprez receuez moy entre vos moëttes bras & cõcedez les derniers embraſſemens à ce corps qui ſeruit de bute au malheur & de poids inutille à la terre:	et vous bois, et vous plantes qui portez sur vostroncs les marques de mo amour, ie votre dis un éternelà Dieu belles Nades, qui avez de fois prêté l'aureille aux accors de modlageol, qui avez rechaté les vers qu'amour m'a fait sous pirer survos bors diaprez receuez moi entre vos moëttes bras et cõcedez les derniers embrassements à ce corps qui servit de te au malheur et de poids inutille à la terre:
dieux qu’eſt-ce que ie voy, qu’eſt-ce 1	dieux qu'est-ce que a voy, qu'est-ce 1
que ie voy!	que ici vois!
Ombre de Phenice.	Ombre de Phénice.
N Rophane l’enfant de Ciprine I N'eſchauffaiamais tapoitrine C’eſt vne Erine, vne Alecton Dont tu reſſentis le brandon Car l’amour d’vne ame bien née N’attaque point la deſtinée, Et ne trouble par ſes efforts La triſte paix des pauures morts:	 Rophane l'enfant de Ciprine I N'eschauffaiamais tapaitrine C'est une Érine, une Alecton Dont tu ressentis le brandon Car l'amour d'une âme bien née N'attaque point la destinée, Et ne trouble par ses efforts La triste paix des pauvres morts:
Inhumain, ton deſſein barbare Qu'a punir l’enferſe prepare, Ainçois l’excez de mon amour Me faict voir le flambeau du iour Pour te teſmoigner que la flame Qui pour toy a touché mon ame N'a reſſenty aucun effort Du dur accident de mamort,	Inhumain, ton dessein barbare Qu'a punir l'enferse prépare, Ainçois l'excès de mon amour Me fait voir le flambeau du jour Pour te témoigner que la flamme Qui pour toi a touché mon âme N'a ressenti aucun effort Du dur accident de mamort,
E tenrene D'e faſſer en moy tamemoire Qui tout ainſi que mon esprit N'aura point de viure preſcrit Ie te dy dont que ſi tupenſe Iouir encor de ma preſence En voulant auancer le cours Et la fin de tes triſtes iours, Que tu te trompes miſerable;	E tenrène D'e sasser en moi tamoire Qui tout ainsi que mon esprit N'aura point de vivre prescrit Je te dis dont que si tupense Jouir encor de ma présence En voulant avancer le cours Et la fin de tes tristes jours, Que tu te trompes misérable;
Car le ciel eſt trop equitable, Comme les crimes ſont diuers Ainſi la peine des Enfers Et les lieux de punir les vices Sont diuers, comme les ſuplices, Ceste mort teſloigne tous jours Du cher objet de tes amours Et l’excés de ceſte manie Adjoute à ta peine infinie Des maulx ſi grands & ſi diuers Que tous les manuee vumers	Car le ciel est trop équitable, Comme les crimes sont divers Ainsi la peine des Enfers Et les lieux de punir les vices Sont divers, comme les suplices, Cette mort témoigne tous jours Du cher objet de tes amours Et l'excès de cette manie Ajoute à ta peine infinie Des maulx si grands et si divers Que tous les manuee vumers
H	H
J2 Lheurene A poſede de plus aymable Aime ce ſuiect ra dieux Comme vn don que te font les dieux Pour recompenſer les trauerſes, Les maux & les peines diuerſes Que tu as ſouffert en m'aimant Etn'irrité plus cher amant Ny le ciel ny la destinée Qui a ma vie terminée, Ainſi ie t’aimeray touſiours Ainſi ie diray tes amours Aux troupes de ces belles ames Qni ayant reſſenty les flames Icy bas d’vn fidelle amour Font aux champs d’Eſlize ſeiour, Ou ſi tu es ſi miſerable, Si cruel & ſi delectable D'enfraindre mon commandement Que le ciel t’aille puniſsant Deſeſpere.	J2 Lheurene A posede de plus aimable Aime ce sujet ra dieux Comme un don que te font les dieux Pour recompenser les traverses, Les maux et les peines diverses Que tu as souffert en m'aimant Én'irrité plus cher amant Ni le ciel ny la destinée Qui a ma vie terminée, Ainsi Ainsi saimeray toujours Ainsiois dirai tes amours Aux troupes de ces belles âmes Qni ayant ressenti les flammes Ini les flammes bas fidelle amour Font aux champs d'Es seiour, D'Es d' Es si érable, A jour , si delectable D'enfraindre si commandement Rue le et saille cru Desespere.
Comme celuy qui violante Sa vie, ſon amour, ſon Amante.	Comme celui qui violante Sa vie, son amour, son Amante.
Ma reſolution eſt combatue d’vn obſtacle trop fort, ié iuré l'obeiſſance auec trop de religion pour y manquer, il faut ceder au deſtin & viure puis que celle que i’ay sy cheremẽt aymée le commande, ie luy voulois faire vn ſacrifice de mon ſang, elle veultvne obeiſſance de mes volontez, vne reſiliation de mes deſſeins, il le faut ie le doy, mais qui euſt iamais creu que les ames au milieu des delices perdurables fuſſent touches du ſoing de ce qu’ils ont aymé?	Ma résolution est combatue d'un obstacle trop fort, juré juré l'obéissance avec trop de religion pour y manquer, il faut céder au destin et vivre puis que celle que j'ai si cheremẽt aimée le commande, ie lui voulais faire un sacrifice de mon sang, elle veultune obéissance de mes volontés, une résiliation de mes desseins, il le faut rien le dois, mais qui eût jamais cru que les âmes au milieu des délices perdurables fussent touches du soin de ce qu'ils ont aymé?
il faut bien croire que tu ſois Dieu ô a2 mourpuis que tes effects attachez auxſujects mixtes s’vniſſent à la partie immoitelle pour ne mourir iamais, mais qu’eſt ce que ie voy venir vers moy?	il faut bien croire que tu sois Dieu ô a2 mourpuis que tes effets attachés auxsujects mixtes s'vnissent à la partie immoitelle pour ne mourir jamais, mais qu'est ce que je vois venir vers moi?
ce ſont mes chers amis & ce grand mage Targante.	ce sont mes chers amis et ce grand mage Targante.
Targante.	Targante.
Entre tous les mortels, ô Angeralde!	Entre tous les mortels, ô Angeralde!
tu te puis eſtimer chery & bien aymé des cieux, puis qu’enta conſideration & pour te ſauuer malgté toymeſ me ils permettent aux eſpritz bien heureux de reuoirencore la lumiere du iour & de repaſſer l’onde inretrogetable de l’Acheron, ton obſtination n’aſceu vaincrorearihltericor.	tu te puis estimer chéri et bien aimé des cieux, puis qu'enta considération et pour te sauver malgté toimes me ils permettent aux esprits bien heureux de revoirencore la lumière du jour et de repasser l'onde inretrogetable de l'Acheron, ton obstination n'ascu vaincrorearihltéricor.
de, ta fureur leur clemence, & c’eſt pourquoy tu dois deſormais te rendre auſſi ſoigneux d’obeir à leurs commandemẽs que tu l’as eſté de ſuiure la violence de tes paſſions:	de, ta fureur leur clémence, et c'est pourquoi tu dois désormais te rendre aussi soigneux d'obéir à leurs commandements que tu l'as été de suivre la violence de tes passions:
viens auëc nous, & au lieu de ton corps, ſubmergé dans cete onde, ta rage, tes fureurs, & le ſouuenit meſme de tes erreurs paſſées comme indignes de toy, ou du moings faits cõme ceux qui ne ſe ſouuiennet de leurs fautes que pour deuenir ſages ny du mal que pour faire le bien, Angeralde.	viens auc nous, et au lieu de ton corps, subergé dans cettee onde, ta rage, tes fureurs, et le souvenit même de tes erreurs passées comme indignes de toi, ou du moings faits comme ceux qui ne se souviennet de leurs fautes que pour devenir sages ni du mal que pour faire le bien, Angeralde.
Allos, ie voy bien qu’il faut veritable ment ſe laiſſerguider en non trainer du deſtin qui ineuitable nous meine de force, ou volõtairement la ou il veut, ſe ſeruant de noſtre reſiſtance meſme pour nous reduire a vne plus parfaicte obeiſſance, Dimittille & Nicandre.	Allos, Seigneur vois bien qu'il faut véritable ment se laisserguider en non trainer du destin qui inévitable nous mène de force, ou volontairement la ou il veut, se servant de notre résistance même pour nous réduire a une plus parfaite obéissance, Dimitille et Nicandre.
E te veux teſmoigner Nicandre, combien ie te cheris, non pour l’impuiſſancede mes attraicts qui peuuent au de là de mon vouloir meſme puis que ie butine les cœurs que ie ne deſire acquerir ny poſſeder, mais pour la propre & ſinguliere affectiõ que i’ay touſiours euë de t’aimer plus que ta defiance ne m’y oblige, tu verras deuant tes yeux comme ie recompenſe l’affection de Floridor pour eſtimer la tienne en quel meſpris ie tiens le reſte du monde pour t’eſtimer ſeul, qu’oy qu’eſtimee pour infidelle de toy, offence extreme à qui ne ſeroit precoupee d’vne paſſiõ extreme qui ſeule peut rẽdre les ames auſſi inſenſibles aux offences que porteés à re.	ELLE te veux témoigner Nicandre, combien je te chéris, non pour l'impuissance mes traits qui peuvent au de là de mon vouloir même puis que tu butine les cœurs que tu ne désire acquérir ainsi posséder, mais pour la propre et singulière affections que j'ai toujours eue de t'aimer plus que ta défiance ne m'y oblige, tu verras devant tes yeux comme il récompense l'affection de Floridor pour estimer la tienne en quel reste du monde pour tiens le monde pour t'estimer seul, quoi qu'estime pour fidèle de toi, ô extrême à qui ne serait pré fi extrême qui seule peut rẽdre les me à insensibles aux offences qui ne se.
cognoiſtre & cherir tout ce qui leur peut plaire au ſubiet aymé;	connaître et chérir tout ce qui leur peut plaire au sujet aimé;
cache toy au pied d’vn de ces arbres & ru verras que ma capacité nes eſtent ſeullement pas à contenter ce que ie cherts, mais à troper ce que i'eſtime indigne de mes bonnes graces, Nicandre.	cache toi au pied d'vn de ces arbres et ru verras que ma capacité nés estent seullement pas à contenter ce que je cherts, mais à troper ce que j'estime indigne de mes bonnes grâces, Nicandre.
I’euſſe	J'eusse
H iiij iugé plus à propos de luy reſiſter que de le tromper ſoubs pretexte d’amitié, Dimitille.	H Hijà jugé plus à propos de lui résister que de le tromper sou pretexte d'amitié, Dimitille.
Ne l’ayant peu diſtraire par mille ſortes de deſdains, il eſt raiſonnable qu’il ſente les effects de mon meſpris.	Ne l'ayant pu distraire par mille sortes de dédains, il est raisonnable qu'il sente les effets de mon mépris.
Nicandre.	Nicandre.
Il ſe reſſentira de ceſt affront, Dimitille.	Il se ressentira de cet affront, Dimitille.
Laiſſe moy le ſoin de ceſte querelle, & te va ſeullement mettre au lieu que ie te vay monſtrer, & n’aye peur que ie manque de t’appreſter a rire:	Laisse -moi le soin de cette querelle, et te va seullement mettre au lieu que ie te vais montrer, et n'aie peur que sans manque de t'apprêter a rire:
il me demeurera obligé àla fin, tiens toy caché au pied de ce heſtre.	il me demeurera obligé àla fin, tiens toi caché au pied de ce hêtre.
Nicandre.	Nicandre.
Fais comme tu l’en	Fais comme tu l'en
tens.	tends.
FLORIDOR, Q SCENE.	FLORIDOR, Q SCÈNE.
5.	5.
ACTE.	ACTE.
V.	V.
ZOicy l’heure que m’a dõné Dimitille ie m’en vayla trouuer il eſt vray quele lieu qu’elle m’a preſcrit me deſplait ayant des ennemis veu meſme le peu d’aſſeurance qu’il y a en ſon ſexe.	ZOici l'heure que m'a dõné Dimitille vertu m'en vaila trouver il est vrai quele lieu qu'elle m'a prescrit me déplaît ayant des ennemis vu même le peu d'assurance qu'il y a en son sexe.
Mais quel proffit luy reuiendroit il de ma perte?	Mais quel proffit Seigneur reviendrait -il de ma perte?
c'eſt viure auec trop de desfiance que de penſer qu'elle caballe auec mes haineurs à ceſt effect, me voicy aſſez prés du lieu, ie la vas houpper houp, Dimitille.	c'est vivre avec trop de défiance que de penser qu'elle caballe avec mes haineurs à cet effet, me voici assez près du lieu, ils la vas houpper héroup, Dimitille.
houp, Floridor.	houp, Floridor.
C’eſt elle ie recognois ſa voix, il faut eſſayer de la tirer de la foreſt & I’amener où ie ne pourray pas eſtre ſi toſt ſurpris, approchons ſur le bord & l’appellons houp, houp, Dimitille.	C'est elle avait reconnais sa voix, il faut essayer de la tirer de la forêt et J'amener où tu ne pourrai pas être si tôt surpris, approchons sur le bord et l'appelons houp, houp, Dimitille.
Hou, hou, Nicandre.	Hou, hou, Nicandre.
Comme elle l'entend ce n’eſt pas la premiere fois qu’elleeſtvenue à cet appel, mais baſte ie ne ſuis pas ſi difficille en monture que ieles deſire dompter:	Comme elle l'entend ce n'est pas la première fois qu'elleestvenue à cet appel, mais baste ici ne suis pas si difficille en monture que jeles désire dompter:
il me ſemblẽt meilleures dreſſées il y a peine à les reduire ou lors quelles ſontaiuſtées il n’y a que plaiſir, celle icy loit ſçauoir ſon manage, car outre qu’elle à paſſé en de bonnes mains, ie l’eſtime fort capable de retenir ſes leçons & de les praticquer, nous verrons tantoſt, mais ieſuis aſſez auant à mon aduis, Dimſtille.	il me semblent meilleures dressées il y a peine à les réduire ou lors quelles sontaiustées il n'y a que plaisir, celle ici loit savoir son manage, car outre qu'elle à passé en de bonnes mains, je l'estime fort capable de retenir ses leçons et de les praticquer, nous verrons tantôt, mais iesuis assez avant à mon avis, Dimstille.
Dimitille Eſt ce toy Floridor?	Dimitille Est ce toi Floridor?
vrayement tu as bon temps de te faire attendre, ma foy ie m’en ſuis penſée retourper, Floridor pardon mo cœur l’heure n’eſt pas de beaucoup paſſée, Dimitille.	vraiment tu as bon temps de te faire attendre, ma foi Elle m'en suis pensée retourper, Floridor pardon mo cœur l'heure n'est pas de beaucoup passée, Dimitille.
Tu as trop de patience pour auoir beaucoup d’amour, que deſire tu de moy?	Tu as trop de patience pour avoir beaucoup d'amour, que désire tu de moi?
Floridor.	Floridor.
Viens icy ie te le diray, Dimitille.	Viens ic ie te le dirai, Dimitille.
Encor meilleur, ceux qui nous doiuent nous demandent, Tuas bien de la ſimpleſſe ou de la preſõption tu abuſes deſ-ia du pouuoir que ie t’ay dõnè ſur mes affections Floridor.	Encor meilleur, ceux qui nous doivent nous demandent, Tuas bien de la simplesse ou de la présomption tu abuses déjà du pouvoir que je t'ai donné sur mes affections Floridor.
Non, mais tu ſçais belle Nimphe que i’ay des ennemis en ces proches villages, & as aſſez ouy parler du differend que nous euſmes Carlin Sicandre & moy, Dimi.	Non, mais tu sais belle Nymphe que j'ai des ennemis en ces proches villages, et as assez ouï parler du différend que nous eûmes Carlin Sicandre et moi, Dimi.
tille.	tille.
La fin de ce difterend a faict qu’ils tont pour indifferend, il t’en doit mieux ſouuenir qu’a eux, ſi tu ne veuxtenir pour vrayque nous ne haiſſons pas tant ceux de qui nous receuons les iniures que ceux là à qui nous les faiſons, mais ne me voulois tu autre choſe?	La fin de ce diterend a fait qu'ils tont pour indifférend, il t'en doit mieux souvenir qu'a eux, si tu ne veuxenir pour vraique nous ne haïssons pas tant ceux de qui nous reçuons les injures que ceux -là à qui nous les faisons, mais ne me voulais tu autre chose?
ſi cela eſt tonaffai 3 - ----.	si cela est tonaffai 3 -moi -à.
– -t re eſt faicte.	„ -t -on est faite.
Floridor.	Floridor.
Attens iem en vas à toy, Dimttille.	Attends iem en vas à toi, Dimtille.
Saute ceſte petite haye tu n’as ny diſpoſitiõ ny amour:	Saute cette petite haie tu n'as ni dispositio ni ici:
quelle eſlectio, qu’on ne me parle plus de ces grads parleurs, où il a y plus de bruit il y a moins deffect, Floridor.	quelle eslectio, qu'on ne me parle plus de ces grads parleurs, où il a y plus de bruit il y a moins défect, Floridor.
Tu te railles, ie te vas bien punir, à l’aide te ſuis mort, ne me tues pas, pardons miſericorde Carlinla vie Dimitille.	Tu te railles, Seigneur te vas bien punir, à l'aide te suis mort, ne me tues pas, pardons miséricorde Carlina vie Dimitille.
Au loup, ha hau, au loup ha hau, au loup, ha hau, au loup.	Au loup, ha hau, au loup ha hau, au loup, ha hau, au loup.
Pasteur.	Pasteur.
Où eſt il où eſt il, au loup, où eſt il Mauricaut, tes tes martaut tes tes où eſt il?	Où est -il où est -il, au loup, où est il Mauricaut, tes tes martaut tes tes où est il?
Dimitille.	Dimitille.
Dans ceſte foſſe.	Dans cette fosse.
Paſteurs.	Pasteurs.
Il faut chercher des pierres pour le luy aſſom T Te A mer Pasteurs.	Il faut chercher des pierres pour le Seigneur assom T Te À mer Pasteurs.
Non, il ſera meil.	Non, il sera meil.
leur de taſcher à le mener vif par nos villages, Pasteurs.	leur de tâcher à le mener vif par nos villages, Pasteurs.
En penſant le conſeruer ou il nous eſchapera ou il bleſſera quelqu’vn, la garde d’vne ſi mauuaiſe beſte ne vaut rien;	En pensant le conserver ou il nous échappera ou il blessera quelqu'un, la garde d'une si mauvaise bête ne vaut rien;
Floridor.	Floridor.
Ne me tuès pas Bergers, la vie au nom des dieux.	Ne me tuez pas Bergers, la vie au nom des dieux.
Paſteurs, Ho ho vn loup qui parle, c’eſt quelque Licantrope ſans doute, ie ne m’eſtonne pas ſi quelque fois nous voyõs des enfans deuorezceſt ce loup diabolique, bruſlons le viflà dedãs, Pasteurs Non nonil le faut mettre entre les mains du Magiſtrat, à ce que la iuſtice en ſoit exemplaire.	Pasteurs, Ho hoù le voit qui parle, c'est quelque Licantrope sans doute, quelque fois nous voyons des enfants quelque fois nous voyons des enfants deuorezcest ce loup diabolique, brûlons le viflà dedans, Pasteurs Non nonil le faut mettre entre les mains du Magistrat, à ce que la justice en soit exemplaire.
Dimitille, Il venoit pour me deuorer.	Dimitille, Il venait pour me dévorer.
Floridor.	Floridor.
La vie Meſſieurs la vie ie ſuishõme de biẽ & nõ tel que vous m’eſtimez.	La vie Messieurs la vie suis homme de bien et notre tel que vous m'estimez.
Nicandre.	Nicandre.
C’eſt Floridor ou ie ſuis trompé, ie penſe le recognoiſtre à la parole, Paſteurs, L’auez vous veu en forme de loup?	C'est Floridor ou ainsi suis trompé, Elle pense le reconnaître à la parole, Pasteurs, L'avez vous vu en forme de loup?
Dimitille.	Dimitille.
Comme tel il a paſſé la haye pour ſe ietter ſur moy, dis comme cela Nicandre, Nicandre, Il eſt vray que ie l’ay veu en ceſte forme & m’auençois pour ſecourir Dimitille lors qu’il eſt tombé en ceſte foſſe, Paſteurs, Voila vne choſe eſtrange voyons le de plus pres:	Comme tel il a passé la haie pour se jeter sur moi, dis comme cela Nicandre, Nicandre, Il est vrai que assez l'ai vu en cette forme et m'auençois pour secourir Dimitille lors qu'il est tombé en cette fosse, Pasteurs, Voila une chose étrange voyons le de plus près:
qui vous eut creu eſtre tel?	qui vous eut cru être tel?
Floridor, La vie Meſſieurs, la vie au nom des dieux.	Floridor, La vie Messieurs, la vie au nom des dieux.
Pasteurs.	Pasteurs.
Il confeſſe eſtre coupable de mort, mais quoy Dimitille, & vous Nicandre, vous ſçauez qu’il eſt de bon lieu :	Il confesse être coupable de mort, mais quoi Dimitille, et vous Nicandre, vous savez qu'il est de bon lieu :
peut eſtre amandera il ſa vie, il le luy faut faire ainſi proteſter & ne le deſceler à la iuſtice, Dimitille.	peut -être amandera il sa vie, il le Roi faut faire ainsi protester et ne le déceler à la justice, Dimitille.
Il me mangeroit vne autrefois ie n’en feray rien, Paſteurs Non, non, ceſt accident le rendra ſage, au contraire ſe ſentant t’eſtre obligè de la vie & de l’honneur, il taſchera de n’eſtre eſtime ingrat d’vn ſi grand benefice.	Il me mangerait quelque autrefois femme n'en ferai rien, Pasteurs Non, non, cet accident le rendra sage, au contraire se sentant t'être obligé de la vie et de l'honneur, il tâchera de n'être estime ingrat d'un si grand bénéfice.
Nicandre, Ie te conſeille, Dimitille, de luy pardonner:	Nicandre, Je te conseille, Dimitille, de Seigneur pardonner:
ſa ---c-----   doa-- Afeſfere.	sa -ce-ç- doa- Afesfere.
morthonteuſe offencera nombre de gens d’honneur à qui il touche.	morthonteuse offensera nombre de gens d'honneur à qui il touche.
Floridor.	Floridor.
La vie Dimitille, Dimitille-Ie le veux, mais ce ſera à condition que tu me iureras par tous les dieux & déeſſes que tu ne ſeras plus ſorcier, & ne me procureras ny feras aucun deſplaiſir, ains tout ſeruice & honneur en recognoiſſance de l’obligation que tu m’as, Floridor.	La vie Dimitille, Dimitille-Ie le veux, mais ce sera à condition que tu me jureras par tous les dieux et déesses que tu ne seras plus sorcier, et ne me procureras ainsi feras aucun déplaisir, ains tout service et honneur en reconnaissance de l'obligation que tu m'as, Floridor.
Ie le iure par le ciel, par la terre & par toutes les deités celeſtes aëreés, terreſtres, acquatiques & infernales.	Je le jure par le ciel, par la terre et par toutes les deités célestes agréés, terrestres, acquatiques et infernales.
Nicandre.	Nicandre.
Voila qui va bien, tirons le de là & l’emmenonsà la prochaine cabane nous faire feſtin, il n’apartient qua Dimitille à L.	Voilà qui va bien, tirons le de là et l'emmenonsà la prochaine cabane nous faire festin, il n'appartient qua Dimitille à L.
C 2 - iouer de tels perſonnages.	Ç 2 - jouer de tels personnages.
Paſteurs.	Pasteurs.
Ha, ha, ha, allons.	Ha, ha, ha, allons.
ie cognois biẽ ce qu’a dit quelque ſage, que la malice de l’homme eſt meilleure que la bonté de la femme, & vous y ſiez puis apres.	Elle connais bienne ce qu'a dit quelque sage, que la malice de l'homme est meilleure que la bonté de la femme, et vous y siez puis après.
Angeralde.	Angeralde.
3 Et bien les deſtineés veulent que ie viue, ou pluſtoſt que ma vie ſoit vne continuelle mort, celle de qui les loix ont touſiours guidé mes affectios dont le ioug, l’obeiſſance & la ſujection me ſembloyent vn regne & vne pleine liberté me l'enjoint:	3 Et bien les destin veulent que Seigneur vive, ou plutôt que ma vie soit une continuelle mort, celle de qui les lois ont toujours guidé mes affectios dont le joug, l'obéissance et la sujection me semblaient un règne et une pleine liberté me l'enjoint:
& me le cõmande ie ne puis & ne dois y cõtreuenir mais ce ſera En timõ ennemy Deſeſpere.	et me le commande ie ne puis et ne dois y comtrevenir mais ce sera En timion ennemi Désespère.
189 mortel des mortels, & plus ſi plus ſe peut de moy meſme mon habit ſera le symbole de mon humeur, car veſtu de la peau d’vn animal que l’oneſtime le plus ennemy de l’homme ie taſcheray à rendre ma forme conforme à mon humeur deuenãt loup à moy & à mes ſemblables, ennemy de tout ayant perdu l’object qui me rendoit capable d’aimer l’on me verra errer parmy ces foreſts & aux lieux plus eſgaré de leur ſolitude attendre la miſericorde des chiens ou la promptitude des chaſſeurs, ainſi celle d’Arcas ſubuint à ſa mere, celle de Lamec à Cain de Cephale à Procris, & tous ces bleſſez ainſi que ie feray plaig nirent l’agent non le patient, le bleſſeur non le bleſſé, ayans plus de regret du deſplaiſir & remords de l’innocent homicide que de leur vie heureuſement, mais tard homicidée, comme les mouſches à miel extraient la liqueur du miel de fleurs le plus iouuent ameres veneneuſes & puates, de l’excés de mes douleurs de l’auſterité de ma ſolitude, ie pourray bien heureux tirer ce remede ſpecifique demes dou leurs rejoignant bien heu reux mes ſlames a leur prain cipe, ainſi donc n’ayant rien d’homme que la forme & la parole, ie me dedie voſtre habitant, ô foreſts;	189 mortel des mortels, et plus si plus se peut de moi -même mon habit sera le symbole de mon humeur, car vêtu de la peau d'un animal que l'onestime le plus ennemi de l'homme ie tâcherai à rendre ma forme conforme à mon humeur deuenãt et à m et es semblables, ennemi de tout ayant perdu l'object qui me rendait capable d'aimer l'on me verra errer parmi ces forêts et aux lieux plus égaré de leur solitude attendre la miséricorde des chiens ou la promptitude des chasseurs, ainsi celle dArcas subvint sa mere, celle de L' A Cainde Cephale Urs, et tous ce blessez ainsi que ie ferai plaig nirent d'A non le patient, le blesseur non le blessé, ayans plus de regret du déplaisir et m de innocent homicide que de leur vie heureusement, a tard ç, comme les hé miel extraient la liqueur du miel de fleurs le plus iouuent amères vénéneuses et puâtes, de excés de mes douleurs de austerité de ma solitude, ie pourrai bien heureux tirer ce remède spécifique dèmes leurs rejoignant bien heu reux mes slames à leur prain Ç, ainsi donc ayant rien homme que la forme et la re, ie me dedie vôtre habitant, forêts;
voſtre compatrioté O feres voſtre hoſte fidelles ombrages, antres & ſpelonques dieu des miſeres, & de la ſolitude;	votre compatrioté Ô ferez votre hôte fidèles ombrages, antres et spelonques dieu des misères, et de la solitude;
i’auray pour nectar vos eaux ſans election & ſans choix, vos herbes & plantes pour ambroſie, & heureux ſi parmy icelles ie puis trouuer vnc qui me guide à la fin de ma plainte.	j'aurai pour nectar vos eaux sans élection et sans choix, vos herbes et plantes pour ambrosie, et heureux si parmi icelles je puis trouver unc qui me guide à la fin de ma plainte.
mais il faut quiter ces foreſts & changer de climat affin que perſonne ne violẽte plus en ma reſolution.	mais il faut quitter ces forêts et changer de climat affin que personne ne violente plus en ma résolution.
Adieu patrie de moy autant cherie, lors que ce qui me rendoit ſuſceptible d’affection viuoit, que maintenant abhorée de moy voſtre air a eu mes ſouſpirs, vos ondes mes larmes, vne autre terre aura ce miſerable corps, & d’autres Echos rediront mes plaintes, affin que l’vniuers ſcache que mon amour infiny rend ma douleur infinie à qui veut s’eſgarer, il ne faut point de guide, le ſonge que i’ay faict ceſte nuit en laquelle i’ay pẽſé voir Phenice qui me prenant par la main m’a mis entre les mains d’vn aueugle qui ne peut à mon aduis eſtre autre que le ſort, puis que ie ne ſuis plus ſuſceptible d’amour, me cõfirme en l’opinion que i’auois conçeue de m’eſloigner d’icy ſans deſſeing d’aller pluſtoſt vers l’Orient que vers l’Occident;	Adieu patrie de moi autant chérie, lors que ce qui me rendait susceptible d'affection vivait, que maintenant abhorée de moi ai air a eu mes soupirs, vos ondes mes larmes, une autre terre aura ce misérable corps, et d'autres Echos rediront mes plaintes, afin que l'univers scache que mon amour infini rend ma douleur infinie à qui veut s'égarer, il ne faut point de guide, le songe que j'ai fait cette nuit en laquelle j'ai pẽsé voir Phénice qui me prenant par la main m'a mis entre les mains d' elle qui ne peut à mon aêtre autre quele sort, puis que ie ne suis plus eut àamour, m ô en opinion que auois conçeue de Méloigner a desseing aller plustost vers Orient que vers Occident;
le Septentrion que le midy, viens donc aueugle & ſourt de deſtin, & dirige mes pas au lieu où ie puis le plutoſt finir mon regret & ma vle.	le Septentrion que le midi, viens donc aveugle et sourt de destin, et dirige mes pas au lieu où ici puis le plutôt finir mon regret et ma vle.
– T bien Targante, nous auons encor & pour la derniere fois perdu Angeralde, ie croy que ſoubs le pretexte d’vn exil volontaire il a mis en effect le deſſeing de ſa 195 mort.	U QUELQUE bien Targante, nous avons encor et pour la dernière fois perdu Angeralde, ie croy que sous le prétexte d'un exil volontaire il a mis en effet le desseing de sa 195 mort.
Targante.	Targante.
Aſſeurez vous du contraire:	Assurez -vous du contraire:
il eſt guidé contre ſa volonté & inſenſiblement à vn bon heur qu’il ne deſire ny n’eſpere à quel il paruiẽdra par vn merueilleux accident accidentdil je par le quel l’õpourra remarquercõbiẽla prouidence des dieuxeſt grande, & la noſtre foîble, comme ils ſçauent extraire le bien d’auec le mal, la ioye, de la peine, la vie, de la mort, & la felicité du plus deſplorable & & cruel deſeſpoir, l’effect vo fera iuger mes parolles verita.	il est guidé contre sa volonté et insensiblement à un bon heur qu'il ne désire notre n'espère à quel il parviendra par un merveilleux accident accidentdil je par le quel l'õpourra remarquercõbiẽla prouidence des dieuxest grande, et la vôtre foîble, comme ils savent extraire le bien d'avec le mal, la joie, de la peine, la vie, de la mort, et la félicité du plus déplorable et et cruel désespoir, l'effet a juger mes paroles vérita.
bles, come vous les auez touſiours recogneues, & toy Phil.	blés, compe vous les avez toujours recogneues, et toi Phil.
ceſſe de t’affliger, & coroy que dedans peu de iours ton cher amy ſera plus capable d’eſtre enuié que plainct.	cesse de t'affliger, et coroi que dedans peu de jours ton cher ami sera plus capable d'être envoyé que plaint.
Philandre.	Philandre.
Ce ſera le plus parfaict contentement qui me puiſſe arriuer;	Ce sera le plus parfait contentement qui me puisse arriver;
