Voſtre tres-humble & tres.	Votre très-humble et très.
Ma raiſon ſe reueille, & me fait reconoître, Que puis que vos bontés voulurent me commettre, Sur ce peuple peruers, en pleine authorité, C’eſt moy, qu’il faut blâmer de cette impunité:	Ma raison se réveille, et me fait reconoître, Que puis que vos bontés voulurent me commettre, Sur ce peuple pervers, en pleine autorité, C'est moi, qu'il faut blâmer de cette impunité:
C’eſt moy, qui dois veiller à vos droits ſur la terre;	C'est moi, qui dois veiller à vos droits sur la terre;
La bonté vous rauit l’vſage du Tonerre:	La bonté vous ravit l'usage du Tonerre:
Mon ſouuerain pouuoir doit ſeruir d’inſtrument, Al’execution d’vn iuſte châtiment:	Mon souverain pouvoir doit servir d'instrument, Al'exécution d'un juste châtiment:
le veux m’en acquiter, & dans cette oſurrence, M’ontrer mon intereſt à ce qui vous offenſe.	le veux m'en acquitter, et dans cette osurrence, M'ontrer mon intérêt à ce qui vous offense.
Sivous aués jamais chéri l’occaſion De me rendre aſſeuré de voſtre affection;	Sivous aués jamais chéri l'occasion De me rendre assuré de votre affection;
Cherchés, diligemment cette cabale infâme:	Cherchez, diligemment cette cabale infâme:
Il faut qu’elle choiſiſſe, ou mes loix, ou la flame,	Il faut qu'elle choisisse, ou mes lois, ou la flamme,
LE PREVOST Si ce commandement n’eſt ſuiui de l’effet, Mvonle majelte in miipelte leui lorlalta	LE PRÉVÔT Si ce commandement n'est suivi de l'effet, Muonle majelte in mipelte lui lorlalta
ROTSTESME ENTRETIEN.	ROTSTESME ENTRETIEN.
SERENE, VIRGINIE.	SERENE, VIRGINIE.
Celeulen Si le temps le permet, afin que ie m’acquite, De mon dernier diſcours, reprenons en la ſuite:	Celeulen Si le temps le permet, afin que deux m'acquite, De mon dernier discours, reprenons en la suite:
oţais tu par où ie fus contrainte de finir?	oais -tu par où ils fus contrainte de finir?
VIRGINIE Le ſujet eſt trop beau, pour ne s’en ſouuenir:	VIRGINIE Le sujet est trop beau, pour ne s'en souvenir:
Madame, vous parliés des vertus qu’on pratique:	Madame, vous parliez des vertus qu'on pratique:
SERENE Iu me faiſois paſſer pour grande politique.	SERENE Ju me faisais passer pour grande politique.
Mais, enfin, mon deſſein n’eſt pas de t’enſeigner Les maximes d’Etat, ny comme il faut regner;	Mais, enfin, mon dessein n'est pas de t'enseigner Les maximes d'État, ni comme il faut régner;
l'out cela, pour object, n’a pas vn bien extreme.	l'out cela, pour object, n'a pas un bien extrême.
Ma fille, c’eſt beaucoup de regner ſur ſoy meſme;	Ma fille, c'est beaucoup de régner sur soi -même;
Et c’eſt peu de ſçauoir dompter des Ennemis, Si chés nous la raiſon ne tient les ſens ſoûmis.	Et c'est peu de savoir dompter des Ennemis, Si chez nous la raison ne tient les sens soumis.
Mais, veux tu des vertus entrer en conoiſſance?	Mais, veux tu des vertus entrer en conaissance?
Apprens, que leurs objects forment leur excellence;	Apprends, que leurs objects forment leur excellence;
Celle qui ne va pas directement à Dieu, Du vice à la vertu, ne fait que le milieu.	Celle qui ne va pas directement à Dieu, Du vice à la vertu, ne fait que le milieu.
Elle vſurpe le nom, ſi d’autre elle regarde, De vertu legitime, eſtant vertu bâtarde.	Elle usurpe le nom, si d'autre elle regarde, De vertu légitime, étant vertu bâtarde.
Par elle, noſtre eſprit n’eſt jamais ſatisfait, Ne pouuant l’enrichir, que d’vn bien imparfait.	Par elle, notre esprit n'est jamais satisfait, Ne pouvant l'enrichir, que d'un bien imparfait.
Sçais tu d’où cet eſprit tire ſon origine?	Sais -tu d'où cet esprit tire son origine?
C’eſt vn écoulement d’vne ſource diuine, Lequel ſans ceſſe agit, pour s’y voir réüny, Aſſeuré d’y trouuer vn bonheur infini.	C'est un écoulement d'une source divine, Lequel sans cesse agit, pour s'y voir réuni, Assuré d'y trouver un bonheur infini.
Il doit donc pratiquer la vertu qui l’y porte;	Il doit donc pratiquer la vertu qui l'y porte;
Et touté autre, pour luy, n’eſt qu’vne vertu morte?	Et touté autre, pour lui, n'est qu'une vertu morte?
Qui du moins le retarde au deſſein glorieux, Qui le doit occuper de s’éleuer aux Cieux.	Qui du moins le retarde au dessein glorieux, Qui le doit occuper de s'élever aux Cieux.
VIRGINIE Madame, ce chemin s’apprend en voſtre Ecole.	VIRGINIE Madame, ce chemin s'apprend en votre École.
SERENE Dure captiuité, qui môte la parole!	SERENE Dure captivité, qui môte la parole!
Faut il qu’inceſſemment ie me voye au milieu, D’vne foule de peuple, ennemy de mon Dieu !	Faut il qu'incessemment je me voie au milieu, D'une foule de peuple, ennemi de mon Dieu !
LTT(TRETIEN.	LTTTRETIEN.
MACEDONE, LE PREVOST.	MACEDONE, LE PRÉVÔT.
MACEDONE Noſtre commiſſion eſt de telle importance, Qu’il y faut procéder engrande diligence.	MACEDONE Notre commission est de telle importance, Qu'il y faut procéder engrande diligence.
Les Dieux & l’Empereur, irrités contre nous, Feroient auec iuſtice éclater leur courroux;	Les Dieux et l'Empereur, irrités contre nous, Feraient toujours justice éclater leur courroux;
Si nous n’apportions pas tout le ſoin neceſſaire, Pour nous bien acquiter, & pour les ſatifaire.	Si nous n'apportions pas tout le soin nécessaire, Pour nous bien acquitter, et pour les satifaire.
LE PREVOST Si le deſſein que i’ay, peut eſtre exécuté, lls ne douteront point de ma fidelité;	LE PRÉVÔT Si le dessein que j'ai, peut être exécuté, lls ne douteront point de ma fidélité;
Au contraire, ils verront la grandeur de monzele, Ales faire honorer & vanger leur querelle:	Au contraire, ils verront la grandeur de monzèle, Ales faire honorer et venger leur querelle:
Caril ne ſera point d’endroit ſi reſerué, Qui ne ſoit par mes ſoins deſormais obſerué;	Caril ne sera point d'endroit si réservé, Qui ne soit par mes soins désormais observé;
Afin de decouurir cette troupe perfide, De qui l’ame eſt vn trone, où le Demon préſide?	Afin dé couvrir cette troupe perfide, De qui l'âme est un trone, où le Démon préside?
Pour luy faire ſouffrir de ſenſibles tourments, Et la ſacrifier à leurs reſſentimens.	Pour ici faire souffrir de sensibles tourments, Et la sacrifier à leurs ressentiments.
MACEDONE Ce deſſein me rauit, tant il eſt plein de gloire:	MACEDONE Ce dessein me ravit, tant il est plein de gloire:
Par là, nous nous rendrons d’éternelle memoire.	Par là, nous nous rendrons d'éternelle mémoire.
Ayant quité ce lieu, pour l’immortalité, Nos noms ſeront cheris de la poſterité.	Ayant quité ce lieu, pour l'immortalité, Nos noms seront chéris de la postérité.
l’on dira, c’eſt par eux que l’on vid la Patrie, Se purger du venim de meinte idolâtrie:	l'on dira, c'est par eux que l'on vit la Patrie, Se purger du venim de meinte idolâtrie:
Par eux furent détruits tous ces magiciens Qui ſeduiſoient le peuple, & ſe nommdierle Chrétiens:	Par eux furent détruits tous ces magiciens Qui séduisaient le peuple, et se nommdierle Chrétiens:
Et nos ſanglans Arreſts, ornemens de l’hiſtoire, Seront graués en marbre au temple de memoire.	Et nos sanglants Arrêts, ornements de l'histoire, Seront gravés en marbre au temple de mémoire.
Ainſi, nous nous verrons doublement glorieux, Honorés par le monde, & chéris par les Dieux.	Ainsi, nous nous verrons doublement glorieux, Honorés par le monde, et chéris par les Dieux.
LE PREVOST l'en conçoy de la ioye, auſſi, lors que i’y penſe:	LE PRÉVÔT l'en conçois de la joie, aussi, lors que j'y pense:
Mais pour en dire plus i’ay trop d’impatience:	Mais pour en dire plus j'ai trop d'impatience:
d li Sans employer le temps en ces vains entretiens, Ie m’en vay de ce pas, à la chaſſe aux Chrétiens?	 li Sans employer le temps en ces vains entretiens, Je m'en vais de ce pas, à la chasse aux Chrétiens?
S’ils ne ſont auertis d’éuiter ma pourſuite, Ie ne reuiendray point, ſans vne bonne ſuite.	S'ils ne sont avertis d'éuiter ma poursuite, Je ne reviendrai point, sans une bonne suite.
MACEDONE Allés;	MACEDONE Allés;
& moy, ie vay cependant inuenter, Quelque nouueau moyen, pour ſes perſecuter.	et moi, Seigneur vais cependant inventer, Quelque nouveau moyen, pour ses persécuter.
SOLILQQVE de	SOLILQUE de
SVSANNE Flambeau de mon eſprit!	SUSANE Flambeau de mon esprit!
lumiere de mon ame!	lumière de mon âme!
Principe merueilleux de la diuine flame!	Principe merveilleux de la divine flamme!
Faites que de mes ſens vos céleſtes clartés, Banniſſent l’ignorance & ſes obſcurités.	Faites que de mes sens vos clestes clartés, Bannissent l'ignorance et ses obscurités.
A mon entendement donnés la conoiſſance, Du néant de ce monde, & de voſtre excellence.	À mon entendement donnés la conaissance, Du néant de ce monde, et de votre excellence.
Ie ne demande pas, que voſtre immenſité, Se racourciſſe au poinct de ſa capacité;	Je ne demande pas, que votre immentsité, Se racourcisse au point de sa capacité;
Non plus que demeurant au degré de voſtre eſtre, Vous faſſiés qu’il vous puiſſe entierement conoître:	Non plus que demeurant au degré de Seigne ur, Vous fassiez qu'il vous puisse entièrement conoître:
L’vn ſeroit vous détruire, & l’autre l’éleuer, Où, ſans eſtre vous meſme, on ne peut arriuer.	L'un serait vous détruire, et l'autre l'élever, Où, sans être vous même, on ne peut arriver.
Ie demande, qu’aidé d’vne foy viue & ferme, Vous ſeul ſoyés toûjours ſon objet & ſon terme.	Je demande, qu'aidé d'une foi vive et ferme, Vous seul soyez toujours son objet et son terme.
Qu’il s’élance vers vous , ſans ſortir du deuoir, Qu’il admire vn ſujet, qu’il ne peut conceuoir, Qu’humblement curieux ſans ceſſe il vous contemple:	Qu'il s'élance vers vous , sans sortir du devoir, Qu'il admire un sujet, qu'il ne peut concevoir, Qu'humblement curieux sans cesse il vous contemple:
Et vous conſiderant ſans pareil, ſans exemple, Qu’il forme ce diſcours de ſon raiſonnement, Que vous ſeul eſt pon, mais ſouuerainement.	Et vous considérant sans pareil, sans exemple, Qu'il forme ce discours de son raisonnement, Que vous seul est pon, mais souverainement.
Et comme l’amour doit ſuiure la conoiſſance, Faites que celle cy captiue vne Puiſſance.	Et comme l'amour doit suivre la conaissance, Faites que celle cy captive une Puissance.
Moderés cet exceds de liberalité, Qui nous mit & conſerue en plaine liberté.	Modérez cet excéds de libéralité, Qui nous mit et conserve en plaine liberté.
En m’aſſuiettiſſant voſtre gloire s’aſſure, Ce que le Créateur veut de la Créature.	En m'assuiettissant votre gloire s'assure, Ce que le Créateur veut de la Créature.
Mais ce fatal preſent, par vous fait aux humains, La volonté, qui met leurs ames dans leurs mains, Agiſſant librement, errante & vagabonde, Suit l’inſtabilité des faux objets du monde;	Mais ce fatal présent, par vous fait aux humains, La volonté, qui met leurs âmes dans leurs mains, Agissant librement, errante et vagabonde, Suit l'instabilité des faux objets du monde;
Et comme s’atachant ſoy meſme à ſe trahir, Ne ſe laiſſe charmer qu’à ce qu’on doit haïr.	Et comme s'atachant soi -même à se trahir, Ne se laisse charmer qu'à ce qu'on doit haïr.
Mais que di-ie imprudente?	Mais que di-je imprudente?
hé, ne dois-ie pas croire, Que nôtre vtilité fut iointe à voſtre gloire, En ce don pretieux, que voſtre amour nous fit.	hé, ne dois-je pas croire, Que notre vtilité fut jointe à votre gloire, En ce don prétieux, que votre amour nous fit.
Qui ne poſſede rien, d’où tirer du profit?	Qui ne possède rien, d'où tirer du profit?
Qui veritablement, ſe cultiue auec peine, Où nous deuons ſans ceſſe auoir l’œil & la main, Pour arracher l’iuroye & ſoigner le bon grain.	Qui véritablement, se cultive avec peine, Où nous devons sans cesse avoir l'œil et la main, Pour arracher l'ivroie et soigner le bon grain.
Encor, noſtre trauail, noſtre ſolicitude, Seroient ils ſans effet, par ſon ingratitude;	Encor, notre travail, notre solicitude, Seraient ils sans effet, par son ingratitude;
C’eſt vn terroir aride, & duquel le deffaut, Demande le ſecours d’vne vertu d’enhaut.	C'est un terroir aride, et duquel le défaut, Demande le secours d'une vertu d'enhaut.
Noſtre eſperance en vain ſur nos forces s’appuye:	Notre espérance en vain sur nos forces s'appuie:
Il faut pour l’humecter vne céleſte pluye:	Il faut pour l'humecter une céleste pluie:
Le monde n’a poinct d’eau qui le puiſſe arroſer:	Le monde n'a point d'eau qui le puisse arroser:
ets netues ce icomers le venolene epuner Noſtre age en cet employ ſe rendroit à ſon terme;	ets netues ce icomers le venolene épuner Notre âge en cet emploi se rendrait à son terme;
Sans que noſtre œil y pût découurir vn bon germe, Si par vn merueilleux & charitable ſoin Vos bontés ne veilloient ſans ceſſe à ſon beſoin.	Sans que notre œil y pût découvrir un bon germe, Si par un merveilleux et charitable soin Vos bontés ne veillaient sans cesse à son besoin.
Mais cette terre ſeiche eſtant fauoriſée, Du doux écoulement d’vne ſainte roſée, Vn rayon échaufant de la diuinité, Venant à temperer ſa froide qualité;	Mais cette terre seiche étant favorisée, Du doux écoulement d'une sainte rosée, Un rayon échauffant de la divinité, Venant à tempérer sa froide qualité;
Elle produit des fruicts, dont l’excellence eſt telle, Qu’ils ſeruent d’alliment pour la vie éternelle:	Elle produit des fruits, dont l'excellence est telle, Qu'ils servent d'alliment pour la vie éternelle:
Qu’on ne void pas pluſtoſt boutonner que meurir, Si peu que noſtre main y veüille concourir.	Qu'on ne voit pas plustost boutonner que mûrir, Si peu que notre main y veuille concourir.
Et nous vous les offrons, comme les témoignages De nos ſoûmiſſions, de nos humbles homages:	Et nous vous les offrons, comme les témoignages De nos soumission, de nos humbles homages:
Nous les portons au lieu duquel ils ſont venus, Comme vn iuſte deuoir, dont nous ſommes tenus, Noſtre ſtérilité ſe rend ainſi féconde, Sans que nous en ſoyons que la cauſe ſeconde;	Nous les portons au lieu duquel ils sont venus, Comme un juste devoir, dont nous sommes tenus, Notre stérilité se rend ainsi féconde, Sans que nous en soyons que la cause seconde;
Et dans ces larges dons que voſtre main départ, Sans nulle exception chacun peut prendre part:	Et dans ces larges dons que votre main départ, Sans nulle exception chacun peut prendre part:
Car comme vn bien immenſe & qui tout autre excede, Vous vous offrés à tous, qui vous veut vous poſſede.	Car comme un bien immense et qui tout autre excède, Vous vous offrez à tous, qui vous veut vous possède.
Faites donc, Dieu d’amour, s’il ſe faut expliquer, Que cette volonté ne ſe puiſſe appliquer, Qu’aux préceptes diuins que voſtre loy m’impoſe, Qu'elle aime tout en vutts, & vous en toute choſe.	Faites donc, Dieu d'amour, s'il se faut expliquer, Que cette volonté ne se puisse appliquer, Qu'aux préceptes divins que votre loi m'impose, Qu'elle aime tout en utz, et vous en toute chose.
QVATRIESME PARTIE.	QUATRIÈME PARTIE.
PREMIER ENTRETIEN.	PREMIER ENTRETIEN.
DIOCLETIAN, MACEDONE,	DIOCLETIAN, MACEDONE,
DIOCLETIAN.	DIOCLETIAN.
Eauté pleine de fard, offuſquante ſplendeur, DPompeux deguiſement, affaiſſante grandeur, Geſne de noſtre eſprit, trouble de noſtre vie Fatale dignité!	Eauté pleine de fard, offusquante splendeur, DPompeux déguisement, affaissante grandeur, Gêne de notre esprit, trouble de notre vie Fatale dignité!
qu’à grand tort l’on t’enuie.	qu'à grand tort l'on t'envie.
Ceux qui trouuent en toy tant de charmans appas, Teſmo ignent clairement ne te conoiſtre pas.	Ceux qui trouvent en toi tant de charmants appas, Témo ignent clairement ne te conoistre pas.
Tu parois éclatante, & ta lumiere eſt ſombre;	Tu parais éclatante, et ta lumière est sombre;
Ponte prend pour vn corps, duquel tu n’és que l’ombre.	Ponte prend pour un corps, duquel tu n'ez que l'ombre.
Paruenir à l’Empire, eſt-ce pas ſe charger D’vn fardeau tres-peſant, pour vn bien fort leger?	Parvenir à l'Empire, est-ce pas se charger D'un fardeau très-pesant, pour un bien fort léger?
MACEDONE.	MACEDONE.
Ceux qui tiennent ce rang, ſans en eſtre capables, Ont des peines, Seigneur, qui ne ſont pas nombrables.	Ceux qui tiennent ce rang, sans en être capables, Ont des peines, Seigneur, qui ne sont pas nombrables.
Vn Cedre eſt à l’orage expoſé bien ſouuent, Qu’vne plante abaiſſée eſt à l’abri du vent.	Un Cette est à l'orage exposé bien souvent, Qu'une plante abaissée est à l'abri du vent.
Mais voſtre Majeſté, qu’autre ne peut atteindre, Eſtant crainte de tout, n’a point ſuiet de craindre.	Mais votre Majesté, qu'autre ne peut atteindre, Étant crainte de tout, n'a point sujet de craindre.
Le Soleil fait ſon tour, ſans rien apperceuoir, Qui n’aime ſes vertus, redoutant ſon pouuoir.	Le Soleil fait son tour, sans rien apercevoir, Qui n'aime ses vertus, redoutant son pouvoir.
Cét eſprit pénétrant, où la ſageſſe abonde, Sans trouble & ſans peril peut régir tout le monde;	Cet esprit pénétrant, où la sagesse abonde, Sans trouble et sans péril peut régir tout le monde;
C’eſt vn puiſſant Neptune, en cette grande mer, Capable d’adoucir tout ce qu’elle a d’amer:	C'est un puissant Neptune, en cette grande mer, Capable d'adoucir tout ce qu'elle a d'amer:
Quand le mal-heur pourra ſur ſa prudence mordre.	Quand le malheur pourra sur sa prudence mordre.
Alaudra le reloudre à voir tout en delorare,	Alaudra le reloudre à voir tout en délorare,
DIOCLETIAN L’Empire, entre mes mains eſt aſſez affermi Pour n’apprehender pas l’effort d’vn ennemi, I'entends d’vn Etranger;	DIOCLETIAN L'Empire, entre mes mains est assez affermi Pour n'appréhender pas l'effort d'un ennemi, J'entends d'un Étranger;
mais mon ſort eſt bien pire.	mais mon sort est bien pire.
Puis que mes Ennemis naiſſent dans mon Empire.	Puis que mes Ennemis naissent dans mon Empire.
SECOND ENTRETIEN.	SECOND ENTRETIEN.
DIOCLETIAN, MACEDONE, LE PREVOST, CLAVDE, MAXIME, SVSANNE.	DIOCLETIAN, MACEDONE, LE PRÉVÔT, CLAUDE, MAXIME, SUSANE.
LE PREVOST I’améne ces Chreſtiens à voſtre Majeſté, Seigneur, pour faire voir ſon ordre executé.	LE PRÉVÔT J'amène ces Chrétiens à votre Majesté, Seigneur, pour faire voir son ordre exécuté.
DIOCLETIAN Hé bien!	DIOCLETIAN Hé bien!
chers partiſans de ma haute fortune, Vous, auec qui ie tiens toute choſe commune;	chers partisans de ma haute fortune, Vous, avec qui Qui tiens toute chose commune;
Miniſtres genereux, fideles confidents, Qui dans mes intereſts eſtes les plus ardans:	Ministres généreux, fidèles confidents, Qui dans mes intérêts êtes les plus ardans:
L’inuiolable foy que vous m’auiez donnée, Triomphe maintenant, & ſe void couronnée.	L'inviolable foi que vous m'aviez donnée, Triomphe maintenant, et se voit couronnée.
L’on ne vous peut aſſez admirer & loüer;	L'on ne vous peut assez admirer et louer;
Ie ſerois trop ingrat de le deſauoüer:	Je serais trop ingrat de le désavouer:
Pour moy voſtre valeur tout obſtacle ſurmonte, Et ie me ſens couuert d’vn ombrage de honte, De n’auoir, en l’eſtat où vous m’auez reduit, Pour vos nobles trauaux, vn aſſez digne fruict.	Pour moi votre valeur tout obstacle surmonte, Et ie me sens couvert d'un ombrage de honte, De n'avoir, en l'état où vous m'avez réduit, Pour vos nobles travaux, une assez d' fruict.
Qu'vn Monarque a ſur nous vn pouuoir admirable Quand nous le conoiſſons courtois, benin, affable!	Qu'un Monarque a sur nous un pouuoir admirable Quand nous le conaissons courtois, bénin, affable!
Ces rares qualitez ont des charmes vainqueurs, Qui par vn doux effort conqueſtent rous les cœurs.	Ces rares qualités ont des charmes vainqueurs, Qui par un doux effort conquêtent rous les cœurs.
C’eſt dans l’art de regner la plus haute prudence:	C'est dans l'art de régner la plus haute prudence:
L’on ſert mieux par amour que par obeïſſance;	L'on sert mieux par amour que par obéissance;
Celle-cy trouue en nous vn courage endormi, Et ſeruir par deuoir, c’eſt ſeruir à demi.	Celle-cy trouve en nous un courage endormi, Et servir par devoir, c'est servir à demi.
Cent hommes de qui l’ame eſt d’ardeur enflamée, Font d’execution plus que toute vne armée, Dont les feints combatans ne feroient nul effort, S’ils n’auoient pour objet la crainte de la mort.	Cent hommes de qui l'âme est d'ardeur enflamée, Font d'exécution plus que toute une armée, Dont les feints combattants ne feraient nul effort, S'ils n'avaient pour objet la crainte de la mort.
Voſtre Majeſté docte en cette Politique, Nous en fait des leçons, par ce qu’elle prâtique.	Votre Majesté docte en cette Politique, Nous en fait des leçons, par ce qu'elle prâtique.
Puis que n’ayant rien fait elle nous traite ainſi, Qu’en faudroit-il attendre, ayant bien réuſſi?	Puis que n'ayant rien fait elle nous traite ainsi, Qu'en faudrait-il attendre, ayant bien réussi?
DIOCLETIAN N’ayant rien fait perfide!	DIOCLETIAN N'ayant rien fait perfide!
as-tu bien l’inſolence De déguiſer ton crimeauec tant d’aſſeurance?	as-tu bien l'insolence De déguiser ton crimeavec tant d'assurance?
Eſt-ce ainſi, Célérat, que dans ce digne employ Tu deuois ſignaler & ton zele & ta foy?	Est-ce ainsi, Célérat, que dans ce digne emploi Tu devais signaler et ton zèle et ta foi?
Par vne trahiſon faire éclater ton zele;	Par une trahison faire éclater ton zèle;
C’eſt vne inuention bien rare & bien nouuelle:	C'est une invention bien rare et bien nouvelle:
Situ peux ajuſter ces contrarietez, ret lais mipatier toutes les quuelitezo Et ie ne penſe pas qu’autre que toy nous die Que l’on preuue ſa foy par vne perſidie.	Situ peux ajuster ces contrariétés, ret ais mipatier toutes les quuelitéso Et grande ne pense pas qu'autre que toi nous die Que l'on preuve sa foi par une persidie.
CLAVDE Oſerois-je, Seigneur, encore repartir?	CLAUDE Oserai-je, Seigneur, encore répartir?
DIOCLETIAN Oüy, ie tele permets;	DIOCLETIAN Oui, je te permets;
mais parle ſans mentir.	mais parle sans mentir.
Quoy que ſenſiblement ce changement m’attriſte, De me voir difamer par mon Panegiriſte, L’on ne m’entendra point plaindre ny murmurer:	Quoi que sensiblement ce changement m'attriste, De me voir diamer par mon Panégiriste, L'on ne m'entendra point plaindre ni murmurer:
Vous pouuez m’outrager & ie dois l’endurer, Ie ſçay ce que ie ſuis, ie ſçay ce que vous eſtes, Et que les membres ſont inferieurs aux teſtes:	Vous pouvez m'outrager et ainsi dois l'endurer, Je sais ce que ie suis, toujours sais ce que vous êtes, Et que les membres sont inférieurs aux têtes:
Ces diferens degrez, que i’obſerue entre nous, M’obligent à cherir tout ce qui vient de vous.	Ces diferens degré, que j'observe entre nous, M'obligent à chérir tout ce qui vient de vous.
Mais vne autre raiſon, qui ſoulage ma peine, C’eſt d’eſtre innocemment digne de voſtre haine.	Mais une autre raison, qui soulage ma peine, C'est d'être innocemment digne de votre haine.
Mon cœur à mon deuoir puiſſamment attaché, Se ſent, en ce regard, ſans tâche ny peché.	Mon cœur à mon devoir puissamment attaché, Se sent, en ce regard, sans tâche ni péché.
Pour vous ſeruir, ma foy s’eſt conſeruée entiere;	Pour vous servir, ma foi s'est conservée entière;
Et ſi vous m’en auez offert vne matiere, Dans la légation où d’ardeur ie vollois, I’ay fait ce que i’ay deû, non ce que ie voulois.	Et si vous m'en avez offert une matière, Dans la légation où d'ardeur ie vollois, ay fait ce que ay deû, non ce que ie voulois.
Quand de mes actions il faudra rendre conte, L’on ne me verra point le front couuert de honte.	Quand de mes actions il faudra rendre conte, L'on ne me verra point le front couvert de honte.
Rome n’ignore pas de quel air i’ay vécu, Ie puis eſtre accuſé;	Rome n'ignore pas de quel air j'ai vécu, Je puis être accusé;
mais non pas conuaincu.	mais non pas convaincu.
Le ſuccez incertain trompant voſtre eſperance, Produit-il des teſmoins contre mon innocence?	Le succès incertain trompant votre espérance, Produit-il des témoins contre mon innocence?
S’il vous fournit aſſez dequoy la condamner, C’eſt en vain diſcourir, c’eſt en vain raiſonner.	S'il vous fournit assez dequoy la condamner, C'est en vain discourir, c'est en vain raisonner.
Sur moy voſtre pouuoir eſt grand & legitime;	Sur moi votre pouvoir est grand et légitime;
Et ſi voſtre courroux demande vne victime, Ilſe peut ſatisfaire & s’immoler ce corps:	Et si votre courroux demande une victime, Ilse peut satisfaire et s'immoler ce corps:
En mourant innocent ie mourray ſans remords.	En mourant innocent appris mourrai sans remords.
Mon courage mépriſe & le fer & la flame, Agiſſant ſur le corps, ils ne bleſſent point l’ame.	Mon courage méprise et le fer et la flamme, Agissant sur le corps, ils ne blessent point l'âme.
Ce diſcours plein d’orgueil, & ce zele indiſcret, Montrent publiquement ce que tu crois ſecret.	Ce discours plein d'orgueil, et ce zèle indiscret, Montrent publiquement ce que tu crois secret.
Voylà de nos Chreſtiens le ſtile & l’artifice;	Voilà de nos Chrétiens le style et l'artifice;
Ils mépriſent la mort, ſe mocquent du ſuplice, A ſouffrir des tourmens leur corps eſt toûjours preſt, Et l’ame, diſent-ils, fait tout leur intereſt.	Ils méprisent la mort, se moquent du supplice, A souffrir des tourments leur corps est toujours prêt, Et l'âme, disent-ils, fait tout leur intérêt.
Comme ſi l’ame eſtoit tellement aſſortie, Qu’elle n’eût pas beſoin de cette autre partie:	Comme si l'âme était tellement assortie, Qu'elle n'eût pas besoin de cette autre partie:
Que chacune à part ſoy ſentit ſes paſſions, Et pût ſeule exercer toutes ſes fonctions:	Que chacune à part soi sentit ses passions, Et pût seule exercer toutes ses fonctions:
Qu’eſtans dans vne intime & parfaite alliance, L’ame prît part au bien;	Qu'étant dans une intime et parfaite alliance, L'âme prît part au bien;
& non à la ſouffrance:	et non à la souffrance:
Que l’on n’eût iamais veu par les douleurs du corps, Rompre leur armonie & troubler leurs accords:	Que l'on n'eût jamais vu par les douleurs du corps, Rompre leur armonie et troubler leurs accords:
Qu’en ce monde il reſtât quelque vſage de l’ame, Apres que le corps eſt conſummé dans la flame:	Qu'en ce monde il restât quelque usage de l'âme, Après que le corps est consummé dans la flamme:
Qu’enfin, ce rude effort qui les fait deſvnir, Ne nous mît pas au poinct qu’on appelle finir.	Qu'enfin, ce rude effort qui les fait desvnir, Ne nous mett pas au point qu'on appelle finir.
Les puiſſantes leçons, que t’a fait cette belle!	Les puissantes leçons, que t'a fait cette belle!
Puis qu’elles te font eſtre à toy-meſme infidelle:	Puis qu'elles te font être à toi-même infidèle:
Que pour les pratiquer, par vn crime odieux, L’on te void lâchement renoncer à tes Dieux.	Que pour les pratiquer, par un crime odieux, L'on te voit lâchement renoncer à tes Dieux.
Mais elle n’en doit pas auoir la gloire entiere;	Mais elle n'en doit pas avoir la gloire entière;
Iaperfidie, ingrat, prepara la matiere:	Japerfidie, ingrat, prépara la matière:
Elle ne peut pretendre en ce qui s’eſt paſſé Que l’accompliſſement d’vn œuure commencé.	Elle ne peut prétendre en ce qui s'est passé Que l'accomplissement d'être œuvre commencé.
Lors que tu me quittai pour luy rendre viſite, Ton viſage & ta voix marquoient vn hypocrite:	Lors que tu me quittai pour lui rendre visite, Ton visage et ta voix marquaient un hypocrite:
Tu me dis ſeulement, pour ne paroître vain, Vſez en Empereur, enuers vn vray Romain.	Tu me dis seulement, pour ne paraître vain, Vsez en Empereur, envers un vrai Romain.
De prendre ce beau titre eus-tu l’éfronterie, Pour en te diffamant diffamer ta Patrie?	De prendre ce beau titre eus-tu l'éfronterie, Pour en te diffamant diffamer ta Patrie?
Qui peut à ſon honneur donner vn coup mortel, S’il eſtoit vray Romain, il ceſſe d’eſtre tel.	Qui peut à son honneur donner un coup mortel, S'il était vrai Romain, il cesse d'être tel.
Ce nom, qui ne conuient qu’aux eſprits magnanimes, Ne peut ſimpatiſer auec les moindres crimes.	Ce nom, qui ne convient qu'aux esprits magnanimes, Ne peut simpatiser avec les moindres crimes.
Rome, qui de tout temps fait haute vanité De n’auoir point d’égale en ſa fidelite, Te peut-elle auoüer, ame vile & de boüe?	Rome, qui de tout temps fait haute vanité De n'avoir point d'égale en sa fidélité, Te au-elle auoüer, âme vile et de bannée?
Ne te dis plus Romain, Rome te deſauoüe.	Ne te dis plus Romain, Rome te désavoue.
CLAVDE En me deſauoüant, l’on verroit auiourd’huy, Que reome detrunoitee qui fut ſon appuy:	CLAUDE En me desauoüant, l'on verrait aujourd'hui, Que reome détrunoite qui fut son appui:
C’eſt vne verité, Seigneur, que i’oſe dire, Que mon bras à ſerui de coiomie arEipnes	C'est une vérité, Seigneur, que j'ose dire, Que mon bras à servi de coiomie arÉjpnes
