LA DRIADE AMOVREVSE, PASTORALLE.	LA DRYADE AMOUREUSE, PASTORALLE.
Arbas.	Arbas.
O ſainte Deité, bien ie vous recognois, Aprez auoir ouy l’accent de vostre voix, Vous auez accomply vostre bonne promeſſe, Me diſant que i’aurois à la fin ma maistreſſe, Ie vous en remercte autant qu’est mon pouuoir, Et non de la façon que le veut mon deuoir, Doncques chere beaute ie me mets en treunte, Que l’amour ſur ton cœur ſes plus |beaux traits élance, Qu’il m’ayme ſans faintiſe, & qu’il n'eſt menſonger.	Ô sainte Deité, bien ie vous recognois, Aprez avoir oui l'accent de votre voix, Vous avez accompli votre bonne promesse, Me disant que j'aurais à la fin ma maîtresse, Je vous en remercte autant qu'est mon pouvoir, Et non de la façon que le veut mon devoir, Donc chère beauté ie me mets en treunte, Que l'amour sur ton cœur ses plus |beaux traits élance, il aime sans faintise, et il n'est mensonger.
Paſquiſe.	Pasquise.
Tu t’en-peux tenir ſeur mon bien-aymé Berger, Mais afin, comme on dit, de t’en faire plus ſage, Piara,ie reax ena taontiee tenryase.	Tu t'en-peux tenir sûr mon bien-aimé Berger, Mais afin, comme on dit, de t'en faire plus sage, Piara, Pax ena taontiee tenryase.
Herlin.	Herlin.
Allez-vous en au temple ainſi que veut la loy, Et de vostre himené, là donnez-vous la foy.	Allez-vous en au temple ainsi que veut la loi, Et de votre himené, là donnez-vous la foi.
Arbas.	Arbas.
Allons mon cher obiet ſans plus falre demeure, Retardant vn moment, me dure autant qu’vne heures	Allons mon cher objet sans plus falre demeure, Retardant un moment, me dure autant qu'une heures
Herlin.	Herlin.
Encores i’ay tant fait par mon inuention, Que i’ay fait de ces deux vne conionction Et les voilà tantoſt par ma braus menee, Ae couplez ſous le iouc du nocier, Hymenée.	Encores j'ai tant fait par mon invention, Que j'ai fait de ces deux une conionction Et les voilà tantôt par ma braus mène, Ae couplez sous le jouc du nocier, Hyménée.
SCENE IIII.	SCÈNE IIII.
La Dryade.	La Dryade.
Mirtin.	Mirtin.
La Dryade.	La Dryade.
Aut-ildonc que l’amour que ie ſoullois domten, I De ſon nombre vaincu me vienne ore conter, Et que i’aille honorant le char de ſa victoire, Aprez auoir acquis contre luytant de gloire?	Aut-ildonc que l'amour que je soullais dompten, I De son nombre vaincu me vienne ore conter, Et que j'aille honorant le char de sa victoire, Aprez avoir acquis contre notre de gloire?
Dieux que de changements aux choſes d’icy-bas Tel lon voit ce iourdhuy auoir l’heur des combas, Qui demain au vaincu ſeruira de trophee, Et verr a ſous ſes pieds ſa valeur esteuffee.	Dieux que de changements aux choses d'ici-bas Tel lon voit ce iourdhuy avoir l'heur des combas, Qui demain au vaincu servira de trophée, Et verr a sous ses pieds sa valeur esteuffee.
Depuis le premier iour de ma natiuité, Iuſqu’à cil qu’on attaint l’aage de puberté, Amour me carreſſoit d’vne flateuſe ſorte, Et touſiours me tenoit pour ſa place plus forte:	Depuis le premier jour de ma nativité, Jusqu'à cil qu'on attaint l'âge de puberté, Amour me carressait d'une flatteuse sorte, Et toujours me tenait pour sa place plus forte:
Mais mon aage ſi tost ne paruint à ce but, Qu’il guerroya mon cœur pour luy faire tribut, Et toutes ces douceurs dont il me fit careſſe Se changerent en fiel, en aigreur en rudeſſe, Me laiſſant ſes brandons afin de m’eſchaufer, Pençant de ma franchiſe à la fin triompher:	Mais mon âge si tôt ne parvint à ce but, Qu'il guerroya mon cœur pour lui faire tribut, Et toutes ces douceurs dont il me fit caresse Se changèrent en fiel, en aigreur en rudesse, Me laissant ses brandons afin de m'échauffer, Pençant de ma franchise à la fin triompher:
Mais ainſi:	Mais ainsi:
que Titan va dardant ſa lumiere Deſſus le front terny de ſa ſœur latoniere, Qui la reiette aprez ça-bas ſur les mortels:	que Titan va dardant sa lumière Dessus le front terni de sa sœur latonière, Qui la rejette aprez ça-bas sur les mortels:
Ainſi de Cupidon les Hambeaux m’eſtoyent tels.	Ainsi de Cupidon les Hambeaux m'étaient tels.
Car au lieu d’embraſer mon eſprit de ſes flames, Par mes yeux il bruſloit les plus pudiques ames?	Car au lieu d'embraser mon esprit de ses flammes, Par mes yeux il brûlait les plus pudiques âmes?
Mais quelque bel amant qu'il me peust embarquer, Ie prenous mon plaſir de m'enrire & mocquer.	Mais quelque bel amant qu'il me pût embarquer, Je prenous mon plasir de m'enrire et moquer.
	
Le Siluain le ſçait-bien, qui m’a dix ans aymee, Et qui meſmes encor en a l’ame enflamee, Qui fait tout ce qu’il peut pour penſer me gaigner, Mais au lieu de celà, il ſe fait deſdaigner:	Le Silvain le sait-bien, qui m'a dix ans aimée, Et qui mêmes encor en a l'âme enflamène, Qui fait tout ce qu'il peut pour penser me gagner, Mais au lieu de cela, il se fait dédaigner:
Car ce trompeur amour par vn fin ſtratageſme, Eſt or' Roy de mon cœur:	Car ce trompeur amour par un fin stratagème, Est or' Roi de mon cœur:
& fait qu’autre ie n’ayme, Que Mirtin le Chaſſeur, qui demeure en ces bois, Et d’autre que de luy ie meſpriſe les loix, Bien qu’il face refus d’vne façon mignarde De cet ardant amour que mon ame luy garde, Diſant qu’il a fait veu à la ſœur d’Apollon, De ne ſentir iamais de Venus l’a guillon.	et fait qu'autreois n'aime, Que Mirtin le Chasseur, qui demeure en ces bois, Et d'autre que de lui ie méprise les lois, Bien qu'il face refus d'une façon mignarde De cet ardant amour que mon âme lui garde, Disant qu'il a fait vu à la sœur d'Apollon, De ne sentir jamais de Venus l'a guillon.
Mais Amour le peut- bien ainſi que moy contraindre, Et la ſoy de ſon vœu außi luy faire enfeindre.	Mais Amour le peut- bien ainsi que moi contraindre, Et la soi de son vœu aussi toujours faire enfeindre.
Pource ie n’ay perdu encores tout eſpoir:	Pource ici n'ai perdu encore tout espoir:
Il pourra ſe changer, il faut ce iour le voir:	Il pourra se changer, il faut ce jour le voir:
Il doit venir chaſſer (à ce que m’a dit liſe) En ces bois pour taſcher a faire quelque priſe, Ce qu’atendant, ie voyicy me delaſſer:	Il doit venir chasser (à ce que m'a dit lise) En ces bois pour tâcher a faire quelque prise, Ce qu'atendant, ie voyicy me délasser:
Peut-eſtre qu’il pourra par cet endroit paſſer.	Peut-être qu'il pourra par cet endroit passer.
Ho!	Ho!
quel homme eſt-ce là qui dort en cette placeè c’est Mirtin que ie croy, ie recognois ſa face, Ie cognois ſes habits, & ſimples, & legers, Et d’vne autre façon que ceux de nos Bergers.	quel homme est-ce là qui dort en cette place c'est Mirtin que je crois, ie recognois sa face, Je connais ses habits, et simples, et légers, Et d'une autre façon que ceux de nos Bergers.
Il faut m’en aprocher, & premier qu’il s’eſueille, Baiſer ſon front, ces yeux, & ſa bouche vermeille:	Il faut m'en approcher, et premier qu'il s'éveille, Baiser son front, ces yeux, et sa bouche vermeille:
Car l’humeur d’vn baiſer gliſſant en noſtre cœur, Alentit bien ſouuent l’amoureuſe langueur.	Car l'humeur d' baiser glissant en notre cœur, Alentit bien souvent l'amoureuse langueur.
c’est l’vn des doux plaiſirs que le fils de Cythere Fait gouſter à l’amau purte jum e muue.	c'est l'un des doux plaisirs que le fils de Cythère Fait goûter à l'amau purte jum e ue.
O delices d’amour!	Ô délices d'amour!
ô colombin baiſer, Tu redoubles mon mal, au lieu de l’apaiſer Que beny ſoit celuy qui te mit en lumiere, Et ſes os doucement giſent en ſa biere.	ô colombin baiser, Tu redoubles mon mal, au lieu de l'apaiser Que béni soit celui qui te mit en lumière, Et ses os doucement gisent en sa bonne.
I'on dit que tu es fils des ſemmes des Troyens, Aprez que ſur la mer par d’eſtranges moyens, Ils ancrerent leurs naufs, aux riues de Sicille, Mettant le feu dedans par croire trop facile.	J'on dit que tu es fils des semmes des Troyens, Aprez que sur la mer par d'étranges moyens, Ils ancrèrent leurs naufs, aux rives de Sicille, Mettant le feu dedans par croire trop facile.
Mirtin.	Mirtin.
Ha Dieu i’ay bien dormy, il me faut reueiller.	Ha Dieu j'ai bien dormi, il me faut réveiller.
La Dryade.	La Dryade.
ne tuyuunuer ter pent te vors m'upareiller, Pour voir ce qu’il dira, außi ſa contenance.	ne tuyuunuer ter ent te vors m'upareiller, Pour voir ce qu'il dira, aussi sa contenance.
Mirtin.	Mirtin.
Qui me bande les yeux?	Qui me bande les yeux?
eſt il de cognoiſſance Ou quelqu’vn mon amy?	est il de connaissance Ou quelqu'un mon ami?
qui me trouuant icy, Veut que de deuiner ſon nom, i’aye ſoucy.	qui me trouvant ici, Veut que de deviner son nom, j'aie souci.
La Dryade.	La Dryade.
Mon Mirtin s’en est vn voire le plus inthime Que vous euſtes iamais, & qui plus vous eſtime, Vous ayme & vous honore, & qui vous veut cherir Iaſqu’à tant que Cloton vos iours face mourir.	Mon Mirtin s'en est un voire le plus inthime Que vous eûtes jamais, et qui plus vous estime, Vous aime et vous honore, et qui vous veut chérir Jasqu'à tant que Cloton vos jours face mourir.
Mirtin.	Mirtin.
Vostre belle amitié, ma ſoy, n’est enganee:	Votre belle amitié, ma soi, n'est engane:
Car croyez que la mienne außi vous eſt donnee:	Car croyez que la mienne aussi vous est donnée:
Et bien que ie ne ſçache encor aſſeurement Qui c’eſt qui me detient en cet aueuglement:	Et bien que personne ne sache encor assurément Qui c'est qui me détient en cet aveuglement:
Ie nè reuoqueray nulement ma promeſſe, Et ſoit ce qui pourra.	Je nule révoquerai nulement ma promesse, Et soit ce qui pourra.
Mais que doncques il ſe ceßse De me tenir bandé, pour afin de ſçauoir  Quel il eſt, & ſon nom, & meſmes pour le voir.	Mais que donc il se cessse De me tenir bandé, pour afin de savoir Quel il est, et son nom, et mêmes pour le voir.
La Dryade.	La Dryade.
Tenez-luy donc aprez du tout voſtre parole.	Tenez-lui donc aprez du tout votre parole.
Mirtin.	Mirtin.
Ne craignez, car iamais elle ne fut friuole.	Ne craignez, car jamais elle ne fut frivole.
O Nymphe vous m’auez accortement deſçeu, Voſtre coulant parler entendre ie n’ayſceu:	Ô Nymphe vous m'avez accortement déçu, Votre coulant parler entendre quelque n'ayscu:
Ie pençois que ce fut le diſcours de quelque homme, Mon amy, qui plaiſant, vint reſueiller mon ſommet Parce que maintesfois dormant au chaud du iour Déjſous l'ombrage frais mainrm dionete tour.	Je pençois que ce fut le discours de quelque homme, Mon ami, qui plaisant, vint réveiller mon sommet Parce que maintesfois dormant au chaud du jour Déjà l'ombrage frais mainrm dionete tour.
La Dryade.	La Dryade.
Estes-vous donc faſché que ce ſoit la Dryade, Qui vous veut tãt de bien tant d’honneur & de grade?	Êtes-vous donc fâché que ce soit la Dryade, Qui vous veut toujours de bien tant d'honneur et de grade?
Mirtin.	Mirtin.
Nenny tertanement, de menensnonte.	Nenni tertanement, de menensnonte.
Au contraire beaucoup & meſme bien-heuré.	Au contraire beaucoup et même bienheuré.
La Dryade.	La Dryade.
Et moy mille fois plus, pourueu qu’en quelque ſorte, Vous vouliez accepter l’amour que ie vous porte.	Et moi mille fois plus, pourvu qu'en quelque sorte, Vous vouliez accepter l'amour que ie vous porte.
Vous ne l’ignorez pas ſix mois ſont ia paſſez, Que vous l’auez apris, vous le ſçauez aſſez:	Vous ne l'ignorez pas six mois sont ja passez, Que vous l'avez appris, vous le savez assez:
Changez donc de vouloir, & cachez cette excuſe De Diane ſuyuir:	Changez donc de vouloir, et cachez cette excuse De Diane suivir:
celà vos ans abuſe Trop inutillement:	cela vos ans abuse Trop inutillement:
vn iour arriuera Que voſtre cœur ſi dur, bien s’en repentira, Et ſe voyant eſpris d’amour en ſa vieilleſſe, En vain regrettera ſa gaillarde ieuneſſe:	un jour arrivera Que votre cœur si dur, bien s'en repentira, Et se voyant épris d'amour en sa vieillesse, En vain regrettera sa gaillarde jeunesse:
Car Amour ne depart ſes feux les plus plaiſans Qu’à ceux qu’il voit ornez de beauté, ieune dans.	Car Amour ne départ ses feux les plus plaisants Qu'à ceux qu'il voit ornés de beauté, jeune dans.
It n'ayme les vieiltards, ny les vfeiſteschemes;	It n'aime les vieiltards, ni les veinteschemes;
Ne ſont dedans ſa cour iamais les bien-venues, C’est pourquoy lon le peint ainſi qu’vn iouuenceau, Le corps gras, potelé, diſpos, mignon, & beau.	Ne sont dedans sa cour jamais les bienhues, C'est pourquoi lon le peint ainsi qu' iouuenceau, Le corps gras, potelé, dispos, mignon, et beau.
Mirtin.	Mirtin.
Nynphe ie ſuis faché qu’amour tant vous offence, Sans vouloir contre luy vous armer de deffence, Le chaſſant loin de vous, luy qui n’a de pouuoir Sur nous, ſinon en tant que luy laiſſons auoir, Ie vous ay maintesfois à ce faire exortee, Et que de voſtre cœur ſa flame fut oſtee, M’adeullant de yous von pur taptantgonnertes, N’ayant-fas le moyen, belle de vous ayder.	Nynphe ie suis faché qu'amour tant vous offense, Sans vouloir contre lui vous armer de défense, Le chassant loin de vous, lui qui n'a de pouvoir Sur nous, sinon en tant que tu laissons avoir, Je vous ai maintesfois à ce faire exorte, Et que de votre cœur sa flamme fut ôte, M'aveullant de yous pur taptantgonnertes, N'ayant-sas le moyen, belle de vous aider.
Or pource qu’on le paint iouuenceau de peu d’aage, C’est pour ſegnifier combien il eſt volage, Dautant que la ieuneſſe a le cerueau leger, Ayman tla nouueauté, ſe plaiſant a changer.	Or pource qu'on le paint iouuenceau se peu d'âge, C'est pour segnifier combien il est volage, Dautant que la jeunesse à le cerveau léger, Aiman tla nouveauté, se plaisant a changer.
La Dryade.	La Dryade.
Mais vous m’auez promis lors que de ma main nuë Ie rendrois tenebreux les rais!	Mais vous m'avez promis lors que de ma main nue Je rendrais ténébreux les rais!
de vostre veu, Qu’ayant ſçeu qui c’estoit qui vous tenoit ainſi, Vous auriez de l’aymer à touſiours le ſoucy.	de votre vu, Qu'ayant su qui c'était qui vous tenait ainsi, Vous auriez de l'aimer à toujours le souci.
Mirtin, vous ne deuez nulement rous dedire, Autrement vous fairez de vostre nom medire Entre tous ceux qui font profeßsion d’honneur.	Mirtin, vous ne devez nulement rous dédire, Autrement vous fairez de votre nom médire Entre tous ceux qui font profession d'honneur.
Mirtin, mon cher Mirtin euitez ce malheur.	Mirtin, mon cher Mirtin évitez ce malheur.
Mirtin.	Mirtin.
O belle ie n’ay point ma promeſſe rompuë, ye vous la tiens encor, & vous ſera tenuë Autant que mon eſprit mon corps animera:	Ô belle esprit n'ai point ma promesse rompue, ie vous la tiens encor, et vous sera tenue Autant que mon esprit mon corps animera:
Car Mirtin fort vous ayme, & bien vous aymera, Mais aprenez de moy par cette conference, Qu’entre amour, amitié il y a diſference.	Car Mirtin fort vous aime, et bien vous aimera, Mais apprenez de moi par cette conférence, Qu'entre amour, amitié il y a disférence.
umaus &t te aejir de iouir de beaute.	umaus &t te aejir de iouir de beaute.
Amitié, bien veillance à qui là merité.	Amitié, bien veillance à qui là mérité.
D’amitie ſeulement ie vous ay fait promeſſe:	D'amitié seulement belle vous ai fait promesse:
Et non-pas de l’amour qui trop l’eſprit vous bleſſe.	Et non-pas de l'amour qui trop l'esprit vous blesse.
La Dryade.	La Dryade.
Pourquoy ne m’aymez-vous d’amour enſemblemẽt, Sans du nom d’amitié m’honorer ſimplement!	Pourquoi ne m'aimez-vous d'amour ensemblement, Sans du nom d'amitié m'honorer simplement!
Mirtin.	Mirtin.
Pource que ie ne puis, car mon vœu m’en diſpenſe.	Pource que ici ne puis, car mon vœu m'en dispense.
La Dryade.	La Dryade.
O de ma ferme amour trop maigre recompenſe!	Ô de ma ferme amour trop maigre récompense!
Mirtin, ie vous pençois d’vn cœur plus genereux, Et qui n’euſt fait refunun on uumnntuu, Lequel estant eſpres de veſtre gentilleſſe, De ſe donner à vous prenoit la hardieſſe.	Mirtin, Seigneur vous pençois d'un cœur plus généreux, Et qui n'eût fait refun on uumnntuu, Lequel étant espres de vêtre gentillesse, De se donner à vous prenait la hardiesse.
Ah que vous deſdaignez ce que d’autres ont cher, Et qu’ils vont tous les iours encores le chercher:	Ah que vous dédaignez ce que d'autres ont cher, Et qu'ils vont tous les jours encore le chercher:
Hé qui iamais a veu, ſinon vn Hypolite, Homme qui fit refus d’vne Nymphe d’eſtite?	Hé qui jamais a vu, sinon un Hypolite, Homme qui fit refus d'une Nymphe d'étite?
Mirtin.	Mirtin.
Belle Rymphe des bois, croyez que ce n’eſt pas Ny que ie ſois ingrat a vouloir recognoiſtre Cet amour ſi bruſlant que me faites paroiſtre:	Belle Rymphe des bois, croyez que ce n'est pas Ni que je sois ingrat a vouloir reconnaître Cet amour si brûlant que me faites paraître:
Mais ſeulement ie crains d’irriter les grands Dieux, St i’estois ſi hardy d’idolatrer yos yeux, De les ozer aymer d’vn amour veneriqueT rop ſale, deſreglé impudent, & lubrique, Qui iamais ne raporte à celuy qu’il tient pris, Sinon perte, douleur & troublement d’eſprits, Teſmoin ce beau Berger, qui ſe rauit d’Heleine, Et ce grand Empereur, qui tant ayma la Reyne Qui tenoit de Memphis le ſceptre entre ſes mains, Qui ce donna la mort pour fair des Romains Ie triomphe honteux:	Mais seulement esprit crains d'irriter les grands Dieux, St j'étais si hardi d'idolâtrer y yeux, De les ozer aimer d'un amour veneriqueT rop le, desreglé impudent, et lubrique, Qui jamais ne rapporte à celui qu'il tient pris, Sinon perte, douleur et troublement d'esprits, Tesmoin ce beau Berger, qui se ravit d'Hèleine, Et ce grand Empereur, qui tant aima la Reine Qui tenait de Memphis le sceptre entre ses mains, Qui ce donna la mort pour fair des Romains Je triomphe honteux:
& mille dont l'h Stoire, D’aage en aage aux nepueux conſerue la memoire, Pour leur ſeruir d’exemple, & pour les rendre inſtruis De cette paßion, qui tant en a deſtruits.	et mille dont l'h Stoire, D'âge en aage aux neveux conserve la mémoire, Pour leur servir d'exemple, et pour les rendre instruis De cette passion, qui tant en a détruits.
Belle quitez-moy la cette amour populaire.	Belle quitez-moi la cette amour populaire.
Et ſuyuez le Diuin, vtile & ſalutaire Pour nous remettre au ciel, d’où nous ſommes venus, Et qui nous rend vers luy touſiours les bien-venus.	Et suivez le Divin, vtyle et salutaire Pour nous remettre au ciel, d'où nous sommes venus, Et qui nous rend vers lui toujours les bienvenus.
De cet amour diuin, l’autre n’eſt rien que l’ombre, Qui pour aymer les Dieux ne nous ſert que d’encombre Retenant nos eſprits icy-bas atachez A l’exercice fol de cent mille peſchez Qui nous font à la fin deualer aux lieux ſombres, Où demeure Pluton & ſes mauuaiſes ombres.	De cet amour divin, l'autre n'est rien que l'ombre, Qui pour aimer les Dieux ne nous sert que d'encombre Retenant nos esprits ici-bas atachez À l'exercice fol de cent mille pêchés Qui nous font à la final dévaler aux lieux sombres, Où demeure Pluton et ses mauvaises ombres.
vuidez-le, vuidez-le, belle, de vostre eſprit.	videz-le, videz-le, belle, de votre esprit.
Et faites que le nom du voſtre y foit eſcrit, Inuoquez Iupiter, que cet heur il vous face, Que cet amour mondain du tout il vous efface, Mais vous face en ſon lieu, de ſon diuin beuſter:	Et faites que le nom du vôtre y soit écrit, Invoquez Jupiter, que cet heur il vous face, Que cet amour mondain du tout il vous efface, Mais vous face en son lieu, de son divin buter:
Afin que vous peußiez vn iour au ciel voler.	Afin que vous peussiez un jour au ciel voler.
Sur ces cerceaux dorez alors que la mort paſle Aura frapé le coup de voſtre heure fatale.	Sur ces cerceaux dorés alors que la mort pâle Aura frappé le coup de votre heure fatale.
Il n’eſt-pas icy-bas d’autre ſouuerain bien, Que d’aymer le grand Dieu, qui fit ce tout de rien, Tout autre amour nous trõpe & nous eſt domageable:	Il n'est-pas ici-bas d'autre souverain bien, Que d'aimer le grand Dieu, qui fit ce tout de rien, Tout autre amour nous trôpe et nous est domageable:
Mais cet amour diuin nous eſt fort profitable:	Mais cet amour divin nous est fort profitable:
Car celuy dont le cœur en eſt enuironné, Doit ſe tenir certain d’eſtre au ciel couronné A la fin de ſes iours d’vne vie eternelle, Voyez cy de m’aymer la récompenſe eſt belle.	Car celui dont le cœur en est environné, Doit se tenir certain d'être au ciel couronné A la fin de ses jours d'une vie éternelle, Voyez cy de m'aimer la récompense est belle.
Nvmphe, penſez-y donc, & pas ne profanez.	Nvmphe, pensez-y donc, et pas ne profanez.
Cis preſens de beauté que Dieu vous a donnez:	Cis presends de beauté que Dieu vous a donnés:
Fenez-les purs & nets ſans aucune macule, Afin que Dieu de vous ſa grace ne recule.	Fenez-les purs et nets sans aucune macule, Afin que Dieu de vous sa grâce ne recule.
Il ne faut-pas iamais de ces dons abuſer, Mais pour ſon ſaint honneur ſeulement en vſer.	Il ne faut-pas jamais de ces dons abuser, Mais pour son saint honneur seulement en user.
Aymons-nous ſeulemenr de t amour qu'il comm ande Et veut qu’à ſon prochain vn chacun de nous rende.	Aimons-nous seulemenr de t amour qu'il comm ande Et veut qu'à son prochain un chacun de nous rende.
S’il vous plaist de m’aymer d’vne telle amitié, Ie vous en aimeray encor plus la moytié.	S'il vous plaît de m'aimer d'une telle amitié, Je vous en aimerai encor plus la moytié.
La Dryade.	La Dryade.
Quel bon frere preſcheur, ab Dieu cõme il ſermône Il pourroit abonir l’ame la plus felonne, S’elle ne ſentoit point, ainſi comme ie ſens, I a flameſche d’amour, qui nous trouble les ſens.	Quel bon frère prêcheur, ab Dieu comme il sermône Il pourrait abonir l'âme la plus félonne, S'elle ne sentait point, ainsi comme un sens, I à flammes d'amour, qui nous trouble les sens.
Mirtin, il eſt trop tard ce feu vouloir eſteindre, Vous l’allez allumant le penſant faire moindre.	Mirtin, il est trop tard ce feu vouloir éteindre, Vous l'allez allumant le pensant faire moindre.
Le ſort en eſt ietté, ie ne ſuis plus à moy, Il me va contraignant d’obeir à ſa loy:	Le sort en est jeté, ie ne suis plus à moi, Il me va contraignant d'obéir à sa loi:
Il faut que ie vous ayme en deſpit de vous meſme, Iuſqu'à tant que ſoyez te put de tamurt biemne.	Il faut que je vous aime en dépit de vous -même, Jusqu'à tant que soyez te put de tamurt biène.
Mirtin.	Mirtin.
Puis que ie recognois vos maux ſans guariſon.	Puis que ici reconnais vos maux sans guarison.
Comme le Medecin, ie quite la maiſon, En ronsfecommandant aux grands Dieux par priere, Qu'ils retournent de vous iout ce mal en arriere.	Comme le Médecin, Seigneur quite la maison, En ronsfecommandant aux grands Dieux par prière, Qu'ils retournent de vous jout ce mal en arrière.
CIN (IESME ACTE.	CIN (IESME ACTE.
SCENE I Le Siluain.	SCÈNE I Le Siluain.
Le Satyre.	Le Satire.
Mirtin.	Mirtin.
Le Siluain.	Le Siluain.
I iamais Cupidon s’eſt monſtré inhumain O Afidelle amoureux, lai!	I Jamais Cupidon s'est montré inhumain Ô Fidèle amoureux, lai!
e'eſt à toy Siluaim.	E'est à toi Siluaim.
Qu’il trauaille ſans fin, ſans te donner atente De voir iamais finir l’ennuy qui te tourmente, Car plus tu vas auant a luy faire la cour, Plus il te fait refus de te donner ſecour, La beauté que tu ſers va redoublant la haine, Tant plus qu'elle cognoiſt ton amoureuſe paine, Les prieres, les pleurs, ny nule inuention Ne luy donnent pour toy aucune affection:	Qu'il travaille sans fin, sans te donner atente De voir jamais finir l'ennui qui te tourmente, Car plus tu vas avant a lui faire la cour, Plus il te fait refus de te donner secour, La beauté que tu sers va redoublant la haine, Tant plus qu'elle connaît ton amoureuse paine, Les prières, les pleurs, ni ncle invention Ne lui donnent pour toi aucune affection:
C’est vn cœur de rocher deſſus vn mont Caucaſe, Plus dur que diamant, & plus froid que la glace, Pource d'ſpence-toy de l’importuner plas, Et cherche ate cacher vn roc de iour reclus.	C'est un cœur de rocher dessus un mont Caucase, Plus dur que diamant, et plus froid que la glace, Pource d'spense-toi de l'importuner plas, Et cherche ate cacher un roc de jour reclus.
Iauuage, inhabité, & là faits tonrepere, u ſqu’à tant que le ciel te reuienne proſpers, Car touſiours il ne bat quelqu’vn d’aduerſité, Le mal estant paßé, ſuit la proſperité.	Iauuage, inhabité, et faits tonrepere, squ’ tant que le ciel te reuienne prospers, Car tousiours il ne bat quelqu’v age, Inhabité , et là, faits la prosperité,
Satyre.	Satire.
Quoy?	Quoi?
fairez -vous touſiour (e Siluain que i'honst Des complaintes d’amour qui le cœur vous deuore?	fairez -vous toujours (e Siluain que j'honst Des complaintes d'amour qui le cœur vous dévore?
Vous verray-ie iamau (braue le rembarrer, Sans qu’il vous face ainſi de vous-meſme eſgarer, Comme vn ſimple Berger de la commune tourbe, Qui au premier aſſaut deſſous ſes loix ſe courbe, Pour n’auoir iamais eu l’instruction ny l’art D’eſmoucer bien accord les pointes de ſon dart.	Vous verrai-je jamau (brave le rembarrer, Sans qu'il vous face ainsi de vous-même égarer, Comme un simple Berger de la commune tourbe, Qui au premier assaut dessous ses lois se courbe, Pour n'avoir jamais eu l'instruction ici l'art D'émoucer bien accord les pointes de son dart.
Mais vous qui auez eu ſi bonne nourriture, Et qui tenez icy vn haut rang de Nature, Vous deuriez, Siluain vertueux le domter, It ne vous y laiſſer de la forte emporter.	Mais vous qui avez eu si bonne nourriture, Et qui tenez ic y haut rang de Nature, Vous devriez, Silvain vertueux le dompter, It ne vous y laisser de la forte emporter.
Enſuyuez cette fois mon conſeil, mon bon maistrs, Et comme le premier ne le veuillez, obmettre, de toildarcepamiapanmre qhaines.	Ensuivez cette fois mon conseil, mon bon maîtrs, Et comme le premier ne le veuillez, obmettre, de toilarcepamiapanmre qhaines.
Mais ce que ie pourray pour vostre vtilité:	Mais ce que ici pourrai pour votre vtilité:
Il ne peut-pas chaloir qui le conſeil nous donne, 2 Pourueu qu’aprez, l’iſſuẽ en puiſſe aduenir bonns.	Il ne peut-pas chaloir qui le conseil nous donne, 2 Pourvu qu'aprez, l'issuence en puisse avenir bonns.
H * 3	H * 3
Le Siluain.	Le Siluain.
Satyré mon amy, ie ne regarde-pas Si ie ſuis d’vn lieu haut, & toy d’vn qui ſoit bas, Que ieſois fauorit du Dieu de ce boccage, De qui tous les Pasteurs releuent leur homage, Si ie ſuis poceſſeur d’vn bien grand reuenu, Et ſi comblé d’honneur de tous ie ſois tenu:	Satyré mon ami, je ne regarde-pas Si ici suis d'un lieu haut, et toi d'un qui soit bas, Que jesais favorit du Dieu de ce bocage, De qui tous les Pasteurs relèvent leur hommage, Si je suis pocesseur d'un bien grand revenu, Et si comblé d'honneur de tous deux sois tenu:
Ces inegallitez d’honneur & de richeſſe, Ne me vont empeſchant que ie ne te careſſe, Que iene te bien veigne, & te faces accaeil,	Ces inégalités d'honneur et de richesse, Ne me vont empêchant que ieans te caresse, Que iene te bien veigne, et te faces accaeil,
Et que tu ne ſois veu de moy d’vn fort bon æil, D’autant que ie cognois que la mere Nature, Te doue de vertu ſur toute creature, Et t’a fauoriſé d vn eſprit ſi gentil, Qu’on le peut-bien vanter de tous le plus ſubtil.	Et que tu ne sois vu de moi d'un fort bon æil, D'autant que personne connais que la mère Nature, Te doue de vertu sur toute créature, Et t'a favorisé dommes esprit si gentil, Qu'on le peut-bien vanter de tous le plus subtil.
Ie ne ſau-pas d’estat des faueurs de fortune, Si celle de vertu ne nous-est point commune:	Je ne sau-pas d'état des faveurs de fortune, Si celle de vertu ne nous-est point commune:
Hé que nous ſert celà, les plus lourds animaux Trouuẽt-bien dequoy viure encor qu’ils ſoyent brutaua Et l’on preferera l’or d’vn villain auare, Aux treſors vertueux d’vn eſprit prand & rare?	Hé que nous sert celà, les plus lourds animaux Trouuẽt-bien dequoy vivre encor qu'ils soient bruta Et l'on préférer l'or d'un villain avare, Aux trésors vertueux d'un esprit prand et rare?
Dieux quel aueuglement!	Dieux quel aveuglément!
l’ordre du ſiecle vieux Eſt ores peruerty par les am bitieux!	l'ordre du siècle vieux Est ores perverti par les am itieux!
