NLELEEION DE LA FESTE DE VERSAILLES.	NLÉLEION DE LA FÊTE DE VERSAILLES.
Dans ces huit pans eſtoient huit grands Soleils d’or ſoûtenus de huit figures, qui repreſentoient les douze mois de l’Année avec les ſignes du Zodiaque:	Dans ces huit pans étaient huit grands Soleils d'or soutenus de huit figures, qui représentaient les douze mois de l'Année avec les signes du Zodiaque:
Le fond eſtoit d’azur ſemé de Fleurs-de lis d’or & le reſte enrichy de roſes & d’autres ornemens d’or, d’où pendoient trente-deux luſtres portant chacun douze bougies.	Le fond était d'azur semé de Fleurs-de lis d'or et le reste enrichi de roses et d'autres ornements d'or, d'où pendaient trente-deux lustres portant chacun douze bougies.
Outre toutes ces lumieres qui faiſoient le plus 3 Au bout de l’allée il y avoit une Grotte de rocaille, où l’art eſtoit ſi heureuſement joint à la nature, que parmy les figures qui l’ornoient, on y voyoit cette belle negligence & cet arrangement ruſtique, qui donne un ſi grand plaiſira la veüe.	Outre toutes ces lumières qui faisaient le plus 3 Au bout de l'allée il y avait une Grotte de rocaille, où l'art était si heureusement joint à la nature, que parmi les figures qui l'ornaient, on y voyait cette belle négligence et cet arrangement rustique, qui donne un si grand plaisira la vue.
beau jour du monde, il y avoit dans les ſix tribunes vingt-quatre plaques, dont chacune portoit neuf bougies;	beau jour du monde, il y avait dans les six tribunes vingt-quatre plaques, dont chacune portait neuf bougies;
& aux deux côtez des huit pilaſtres au deſſus des figures, ſortoient de la feüillée de grands fleurons d’argent, en forme de branches d’arbres, qui ſoûtenoient treize chandeliers diſpoſez en pyramides.	et aux deux côtés des huit pilastres au dessus des figures, sortaient de la feuillée de grands fleurons d'argent, en forme de branches d'arbres, qui soutenaient treize chandeliers disposez en pyramides.
Aux deux côtez de la porte, & dans l’endroit qui ſervoit comme de veſtibule, il y avoit ſix grandes plaques en ovale enrichies des chiffres du Roy;	Aux deux côtés de la porte, et dans l'endroit qui servait comme de vestibule, il y avait six grandes plaques en ovale enrichies des chiffres du Roy;
chacune de ces plaques portoit ſeize chandeliers allumez de ſeize bougies.	chacune de ces plaques portait seize chandeliers allumés de seize bougies.
L’Allée qui aboutit au milieu de ce Salon, avoit plus de vingt pieds de large:	L'Allée qui aboutit au milieu de ce Salon, avait plus de vingt pieds de large:
Elle étoit toute défeuïllée de part & d’autre & paroiſſoit découverte par le haut;	Elle était toute défeuïllée de part et d'autre et paraissait découverte par le haut;
Par les côtez elle ſembloit accompagnée de huit cabinets, où à chaque encoigneure l’on voyoit ſur des pieds d’eſtaux de marbre des thermes qui repreſentoient des Satyres;	Par les côtés elle semblait accompagnée de huit cabinets, où à chaque encoignure l'on voyait sur des pieds d'étaux de marbre des thermes qui représentaient des Satyres;
A l’endroit où eſtoient ces thermes, les cabinets ſe fermoient en berceau.	À l'endroit où étaient ces thermes, les cabinets se fermaient en berceau.
Au haut, & dans le lieu le plus enfoncé de la Grotte, on découvroit une eſpece de maſque de bronze dorẽ, repreſentant la teſte d’un monſtre marin.	Au haut, et dans le lieu le plus enfoncé de la Grotte, on découvroit on espèce ou masque de bronze dorẽ, représentant la tête d'un monstre marin.
Deux Tritons argentez ouvroient les deux côtez de la gueule de ce maſque, duquel s’élevoit en forme d’aigrette un gros boüillon d’eau, dont la chûte augmentant celle qui tomboit de ſa gueule extraordinairement grande, faiſoit une nappe, qui ſe répandoit dans un grand baſſin d’où ces deux Tritons ſembloient fortir.	Deux Tritons argentés ouvraient les deux côtés de la gueule de ce masque, duquel s'élevait en forme d'aigrette un gros boüillon d'eau, dont la chute augmentant celle qui tombait de sa gueule extraordinairement grande, faisait une nappe, qui se répandait dans un grand bassin d'où ces deux Tritons semblaient sortir.
De ce baſſin ſe formoit une autre grande nappe accompagnée de deux gros jets d’eau que deux animaux d’une figure monſtreuſe vomiſſoient en ſe regardant l’un l’autre.	De ce bassin se formait une autre grande nappe accompagnée de deux gros jets d'eau que deux animaux d'une figure montreuse vomissaient en se regardant l'un l'autre.
Ces deux animaux qui ne paroiſſoient qu’à demy hors de la roche, eſtoient auſſi de bronze doré.	Ces deux animaux qui ne paraissaient qu'à demi hors de la roche, étaient aussi de bronze doré.
De cette quantité d’eau qu’ils jettoient, & de celle de ce baſſin qui tomboit dans un autre beaucoup plus grand, il ſe formoit une troiſiéme nape, qui couprelecodele cus da roener, & le decimaft incgalement contre les pierres d’en bas, faiſoit paroître des éclats ſi beaux & ſi extraordinaires, qu’on ne les peut bien exprimer.	De cette quantité d'eau qu'ils jetaient, et de celle de ce bassin qui tombait dans un autre beaucoup plus grand, il se formait une troisième nape, qui couprelecodele cvs da roener, et le décimât incalement contre les pierres d'en bas, faisait paraître des éclats si beaux et si extraordinaires, qu'on ne les peut bien exprimer.
Cette abondance d’eau qui comme un agreable torrent, ſe precipitoit de la ſorte par differentes chûtes, ſembloit couvrir le rocher de pluſieurs voiles d’argent qui n’empêchoient pas qu’on ne vît la diſpoſition des pierres & des coquillages, dont les couleurs paroiſſoient encore avec plus de beauté parmy la mouſſe moüillée, & au travers de l’eau qui tomboit en bas, où elle formoit de gros boüillons d’écume.	Cette abondance d'eau qui comme un agréable torrent, se précipitait de la sorte par différentes chûtes, semblait couvrir le rocher de plusieurs voiles d'argent qui n'empêchaient pas qu'on ne vît la disposition des pierres et des coquillages, dont les couleurs paraissaient encore avec plus de beauté parmi la mousse mouillée, et au travers de l'eau qui tombait en bas, où elle formait de gros boüillons d'écume.
De ce dernier endroit où toute cette eau finiſſoit ſa chûte dans un quarré qui eſtoit au pied de la grote, elle ſe diviſoit en deux canaux, qui bordant les deux côtez de l’allée, venoient à ſe terminer dans un grand baſſin, dont la figure eſtoit d’un quarré long, augmenté par les quatre côtez de quatre demy-ronds, lequel ſeparoit l’allée d’avec le Salon:	De ce dernier endroit où toute cette eau finissait sa chute dans un quarré qui était au pied de la grote, elle se divisait en deux canaux, qui bordant les deux côtés de l'allée, venaient à se terminer dans un grand bassin, dont la figure était d'un quarré long, augmenté par les quatre côtés de quatre demi-ronds, lequel separoit allée d'avec le Salon:
Mais cette eau ne couloit pas, ſans faire paroître mille beaux effets;	Mais cette eau ne coulait pas, sans faire paraître mille beaux effets;
Car vis-à-vis des huit cabinets, il y avoit dans chaque canal deux Iets-d’eau, qui formoient de chaque côté ſeize lances de douze à quinze pieds de haut;	Car vis-à-vis des huit cabinets, il y avait dans chaque canal deux Jets-d'eau, qui formaient de chaque côté seize lances de douze à quinze pieds de haut;
& d’eſpace en eſpace l’eau de cescariaun enant à tomber, faiſoit des caſcades qui compoſoient autant de petites nappes argentées, dont la longueur de chaque canal étoit agreablement interrompüe.	et d'espace en espace l'eau de cescariaun enant à tomber, faisait des cascades qui composaient autant de petites nappes argentées, dont la longueur de chaque canal était agréablement interrompue.
Ces canaux eſtoient bordez de gazon de part & d’autre:	Ces canaux étaient bordés de gazon de part et d'autre:
Du côté des cabinets & entre les thermes qui en marquoient les encoigneures, il y avoit dans de grands vaſes, des A ij orangers chargez de fleurs & de fruits, & le milieu de l’allée eſtoit d’un ſable jaune qui partageoit les deux liſieres de gazon.	Du côté des cabinets et entre les thermes qui en marquaient les encoigneures, il y avait dans de grands vases, des A j orangers chargés de fleurs et de fruits, et le milieu de l'allée était d'un sable jaune qui partageait les deux lisières de gazon.
Dans le baſſin qui ſeparoit l’allée d’avec le Salon, il y avoit un groupe de quatre dauphins dans des coquilles de bronze doré posées ſur un petit rocher:	Dans le bassin qui séparait l'allée d'avec le Salon, il y avait un groupe de quatre dauphins dans des coquilles de bronze doré posées sur un petit rocher:
Ces quatre dauphins ne formoient qu’une ſeule teſte, qui eſtoit renversée, & qui ouvrant la gueule en haut pouſſoit un jet d’eau d’une groſſeur extraordinaire.	Ces quatre dauphins ne formaient qu'une seule tête, qui était renversée, et qui ouvrant la gueule en haut poussait un jet d'eau d'une grosseur extraordinaire.
Aprés que cette eau qui s’élevoit de plus de trente pieds de haut, avoit frappé la feüillée avec violence, elle retomboit dans le baſſin en mille petites boules de cryſtal.	Après que cette eau qui s'élevait de plus de trente pieds de haut, avait frappé la feuillée avec violence, elle retombait dans le bassin en mille petites boules de crystal.
Aux deux coſtez de ce baſſin il y avoit quatre grandes plaques en ovale, chargées chacune de quinze bougies;	Aux deux côtés de ce bassin il y avait quatre grandes plaques en ovale, chargées chacune de quinze bougies;
mais comme toutes les autres lumieres qui éclairoient cette allée, eſtoient cachées derriere les pilaſtres, & les thermes qui marquoient les cabinets, l’on ne voyoit qu’un jour univerſel qui ſe répandoit ſi agreablement dans tout ce lieu, & en découvroit les parties avec tant de beauté, que tout le monde preferoit cette clarté à la lumiere des plus beaux jours.	mais comme toutes les autres lumières qui éclairaient cette allée, étaient cachées derrière les pilastres, et les thermes qui marquaient les cabinets, l'on ne voyait qu'un jour universel qui se répandait si agréablement dans tout ce lieu, et en découvrait les parties avec tant de beauté, que tout le monde préferait cette clarté à la lumière des plus beaux jours.
Il n’y avoit point de Iets-d’eau qui ne fiſt paroître mille brillans;	Il n'y avait point de Jets-d'eau qui ne fît paraître mille brillants;
& l’on reconnoiſſoit principalement dans ce lieu & dans la Grotte où le Roy avoit ſoupé, une diſtribution d’eaux ſi belle & ſi extraordinaire, que jamais il ne s’eſt rien veu de pareil.	et l'on reconnaissait principalement dans ce lieu et dans la Grotte où le Roi avait soupé, une distribution d'eaux si belle et si extraordinaire, que jamais il ne s'est rien vu de pareil.
Le ſieur Ioly qui en avoit eu la conduite, les avoit ſi bien menagées, que produiſant toutes des effets differens;	Le sieur Joly qui en avait eu la conduite, les avait si bien ménagées, que produisant toutes des effets différents;
il y avoit encore une union & un certain accord qui faiſoit paroître par tout une agreable beauté;	il y avait encore une union et un certain accord qui faisait paraître par tout une agréable beauté;
la chûte des unes, ſervant en pluſieurs endroits à donner plus d’éclat à la chûte des autres.	la chute des unes, servant en plusieurs endroits à donner plus d'éclat à la chute des autres.
Les Iets-d’eau qui s’élevoient de quinze pieds ſur le devant des deux canaux, venoient peu à peu à ſe diminuer de hauteur & de force à meſure qu’ils s’éloignoient de la veüe;	Les Jets-d'eau qui s'élevaient de quinze pieds sur le devant des deux canaux, venaient peu à peu à se diminuer de hauteur et de force à mesure qu'ils s'éloignaient de la vue;
de ſorte que s’accordant avec la belle maniere dont l’on avoit diſpoſé l’allée, il ſembloit que cette allée qui n’avoit guere plus de quinze toiſes de long, en euſt quatre fois davantage:	de sorte que s'accordant avec la belle manière dont l'on avait disposé l'allée, il semblait que cette allée qui n'avait guère plus de quinze toises de long, en eût quatre fois davantage:
tant toutes choſes y eſtoient bien conduites.	tant toutes choses y étaient bien conduites.
Pendant que dans un ſejour ſi charmant, leurs Majeſtez & toute la Cour prenoient le divertiſſement du Bal, à la veuë de ces beaux objets, & au bruit de ces eaux qui n’interrompoit qu’agreablement le ſon des inſtrumens;	Pendant que dans un séjour si charmant, leurs Majectés et toute la Cour prenaient le divertissement du Bal, à la vue de ces beaux objets, et au bruit de ces eaux qui n'interrompait qu'agréablement le son des instruments;
l’on preparoit ailleurs d’autres ſpectacles dont perſonne ne s’eſtoit apperceu, & qui devoient ſurprendre tout le monde.	l'on préparait ailleurs d'autres spectacles dont personne ne s'était aperçu, et qui devaient surprendre tout le monde.
Le ſieur Giſſey outre le ſoin qu’il avoit pris du lieu où le Roy avoit ſoupé, & des deſſeins de tous les habits de la Comedie, ſe trouvant encore chargé des Illuminations qu’on devoit mettre au Chaſteau& en pluſieurs endroits du parc, travailloit à mettre toutes ces choſes en ordre, pour faire que ce beau divertiſſement euſt une fin auſſi heureuſe & auſſi agreable, que le ſuccez en avoit eſté favorable juſques alors:	Le sieur Gissey outre le soin qu'il avait pris du lieu où le Roi avait soupé, et des desseins de tous les habits de la Comédie, se trouvant encore chargé des Illuminations qu'on devait mettre au Château en plusieurs endroits du parc, travaillait à mettre toutes ces choses en ordre, pour faire que ce beau divertissement eût une fin aussi heureuse et aussi agréable, que le succès en avait été favorable jusques alors:
ce qui arriva en effet par les ſoins qu’il y prit.	ce qui arriva en effet par les soins qu'il y prit.
Car en un moment toutes les choſes furent ſi bien ordonnées, que quand leurs Majeſtez ſortirent du Bal, Elles apperceurent le tour du fer à cheval & le Chaſteau tout en feu, mais d’un feu ſi beau & ſi agreable, que cet élement qui ne paroît guere dans l’obſcurité de la nuit ſans donner de la crainte & de la frayeur, ne cauſoit que du plaiſir & de l’admiration.	Car en un moment toutes les choses furent si bien ordonnées, que quand leurs Majectés sortirent du Bal, Elles aperçurent le tour du fer à cheval et le Château tout en feu, mais d'un feu si beau et si agréable, que cet élément qui ne paraît guère dans l'obscurité de la nuit sans donner de la crainte et de la frayeur, ne causait que du plaisir et de l'admiration.
Deux cens vaſes de quatre pieds de haut de pluſieurs façons, & ornez de differentes manieres, entourroient ce grand eſpace qui enferme les parterres de gazon, & qui forme le fer à cheval.	Deux cens vases de quatre pieds de haut de plusieurs façons, et ornés de différentes manières, entourraient ce grand espace qui enferme les parterres de gazon, et qui forme le fer à cheval.
Au bas des degrez qui ſont au milieu, on voyoit quatre figures repreſentant quatre rieuves;	Au bas des degré qui sont au milieu, on voyait quatre figures représentant quatre rièves;
& au deſſus, ſur quatre pieds d’eſtaux qui ſont aux extremitez des rampes, quatre autres figures, qui repreſentoient les quatre parties du monG iij de.	et au dessus, sur quatre pieds d'étaux qui sont aux extrémités des rampes, quatre autres figures, qui représentaient les quatre parties du monG iij de.
Sur les angles du fer à cheval & entre les vaſes, il y avoit trente-huit candelabres ou chandeliers antiques de ſix pieds de haut.	Sur les ailes du fer à cheval et entre les vases, il y avait trente-huit candélabres ou chandeliers antiques de six pieds de haut.
Et ces Vaſes, ces candelabres, & ces figures eſtant éclairées de la meſme ſorte que celles qui avoient paru dans la friſe du Salon où l’on avoit ſoupé, faiſoient un ſpectacle merveilleux.	Et ces Vases, ces candélabres, et ces figures étant éclairées de la même sorte que celles qui avaient paru dans la frise du Salon où l'on avait soupé, faisaient un spectacle merveilleux.
Mais la Cour eſtant arrivée au haut du fer à cheval, & découvrant encore mieux tout le Château, ce fut alors que tout le monde demeura dans une ſurpriſe qui ne ſe peut connoître qu’en la reſſentant.	Mais la Cour étant arrivée au haut du fer à cheval, et découvrant encore mieux tout le Château, ce fut alors que tout le monde demeura dans une surprise qui ne se peut connaître qu'en la ressentant.
Il eſtoit orné de quarante-cinq figures:	Il était orné de quarante-cinq figures:
Dans le milieu de la porte du Chaſteau, il y en avoit une qui repreſentoit lanus;	Dans le milieu de la porte du Château, il y en avait une qui représentait lanus;
& des deux côtez dans les quatorze feneſtres d’en bas, l’on voyoit differens trophées de guerre.	et des deux côtés dans les quatorze fenêtres d'en bas, l'on voyait différents trophées de guerre.
A l’eſtage d’en haut, il y avoit quinze figures qui repreſentoient diverſes Vertus, & au deſſus, un Soleil avec des lyres, & d’autres inſtrumens, ayant rapport à Apollon, qui paroiſſoient en quinze differens endroits.	À l'étage d'en haut, il y avait quinze figures qui représentaient diverses Vertus, et au dessus, un Soleil avec des lyres, et d'autres instruments, ayant rapport à Apollon, qui paraissaient en quinze différents endroits.
Toutes ces figures eſtoient de diverſes couleurs, mais ſi brillantes & ſi belles, que l’on ne pouvoit dire ſi c’eſtoient differens metaux allumez, ou des pierres de pluſieurs couleurs qui fuſſent éclairées par un artifice inconnu.	Toutes ces figures étaient de diverses couleurs, mais si brillantes et si belles, que l'on ne pouvait dire si c'étaient différents met allumez, ou des pierres de plusieurs couleurs qui fussent airées par un artifice inconnu.
Les baluſtrades qui environnent le foſſé du Chaſteau, eſtoient illuminées de la meſme ſorte, & dans les endroits où durant le jour on avoit veu des vaſes remplis d’orangers & de fleurs, l’on y voyoit cent vaſes de diverſes formes allumez de differentes couleurs.	Les balustrades qui environnent le fossé du Château, étaient illuminées de la même sorte, et dans les endroits où durant le jour on avait vu des vases remplis d'orangers et de fleurs, l'on y voyait cent vases de diverses formes allumés de différentes couleurs.
De ſi merveilleux objets arreſtoient la veuë de tout le monde, lors qu’un bruit qui s’éleva vers la grande allée, fit qu’on ſe tourna de ce coſté-là, auſſi-toſt on la vit éclairée d’un bout à l'autre, de ſoixante & douze thermes faits de la meſme maniere que les figures qui eſtoient au Chaſteau, & qui la bordoient des deux coſtez.	De si merveilleux objets arrêtaient la vue de tout le monde, lors qu'un bruit qui s'éleva vers la grande allée, fit qu'on se tourna de ce côté-là, aussitôt on la vit éclairée d'un bout à l'autre, de soixante et douze thermes faits de la rendre manière que les figures qui étaient au Château, et qui la bordaient des deux côtés.
De ces thermes il partit en un moment un ſi grand nombre de fuſées, que les unes ſe croiſant ſur l’allée faiſoient une eſpece de berceau, & les autres s’eſlevant tout droit, & laiſſant juſques en terre une groſſe traſſe de lumiere, formoient comme une haute paliſſade de feu.	De ces thermes il partit en un moment un si grand nombre de fusées, que les unes se croisant sur l'allée faisaient une espèce de berceau, et les autres s'élevant tout droit, et laissant jusqu' en terre une grosse trasse de lumière, formaient comme une haute palissade de feu.
Dans le temps que ces fusées montoient juſques au Ciel & qu’elles rempliſſoient l’air de mille clartez plus brillantes que les étoiles, l’on voyoit tout au bas de l’allée, le grand baſſin d’eau qui paroſſſoit une mer de flâme & de lumiere, dans laquelle une infinité de feux plus rouges & plus vifs ſembloient ſe joüer au milieu d’une clarté plus blanche & plus claire, A de ſi beaux effets, ſe joignit le bruit de plus de cinq cens boëtes qui eſtant dans le granq pare;	Dans le temps que ces fusées montaient jusques au Ciel et qu'elles remplissaient l'air de mille clartés plus brillantes que les étoiles, l'on voyait tout au bas de l'allée, le grand bassin d'eau qui parosssait une mer de flamme et de lumière, dans laquelle une infinité de feux plus rouges et plus vifs semblaient se joüer au milieu d'une clarté plus blanche et plus claire, A de si beaux effets, se joignit le bruit de plus de cinq cents boètes qui étant dans le granque pare;
ce fort enoignees, iemvioient citfe l’Echo de ces grands éclats dont les groſſes fusées faiſoient retentir l’air lors qu’elles eſtoient en haut	ce fort enoigne, iemvioient citfe l'Écho de ces grands éclats dont les grosses fusées faisaient retentir l'air lors qu'elles étaient en haut
Cette grande allée ne fut guere en cet eſtat.	Cette grande allée ne fut guère en cet état.
que les trois baſſins de fontaines qui ſont dans le aprterre de gazon au bas du fer à cheval, parurent trois ſources de lumieres.	que les trois bassins de fontaines qui sont dans le aprterre de gazon au bas du fer à cheval, parurent trois sources de lumières.
Mille feux ſortoient du milieu de l’eau, qui comme furieux & s’eſchappant d’un lieu où ils auroient eſté retenus par force, ſe répandoient de tous côtez ſur les bords du parterre.	Mille feux sortaient du milieu de l'eau, qui comme furieux et s'échappant d'un lieu où ils auraient été retenus par force, se répandaient de tous côtés sur les bords du parterre.
Vne infinité d’autres feux ſortant de la gueule des Lezards, des Crocodiles, des Grenoüilles, & des autres animaux de bronze qui ſont ſur les bords des fontaines, ſembloient aller ſecourir les premiers, & ſe jettant dans l’eau ſous la figure de pluſieurs ſerpens, tantoſt ſeparement, tantoſt joints enſemble par gros pelotons, luy faiſoient une rude guerre.	Une infinité d'autres feux sortant de la gueule des Lésards, des Crocodiles, des Grenouilles, et des autres animaux de bronze qui sont sur les bords des fontaines, semblaient aller secourir les premiers, et se jetant dans l'eau sous la figure de plusieurs serpens, tantôt séparément, tantôt joints ensemble par gros pelotons, lui faisaient une rude guerre.
Dans ces combats accompagnez de bruits épouventables, & d’un embrazement qu’on ne peut repreſenter, ces deux Elemens eſtoient ſi étroitement meſlez enſemble, qu’il eſtoit impoſſible de les diſtinguer:	Dans ces combats accompagnés de bruits épouventables, et d'un embrasement qu'on ne peut représenter, ces deux Éléments étaient si étroitement mêlés ensemble, qu'il était impossible de les distinguer:
Mille fusées qui s’eſlevoient en l’air, paroiſſoient comme des jets-d’eau enflâmez;	Mille fusées qui s'élevaient en l'air, paraissaient comme des jets-d'eau enflamés;
& l’eau qui boüillonnoit de toutes parts, reſſembloit à des flots de Feu & à des flâmes agitées.	et l'eau qui bouillonnait de toutes parts, ressemblait à des flots de Feu et à des flammes agitées.
Bien que tout le monde ſceuſt que l’on preparoit des Feux d’artifices, neanmoins en quelque lieu qu’on allaſt durant le jour, l’on n’y voyoit nulle diſpoſition, deſorte que dans le temps que chacun eſtoit en peine du lieu où ils devoient paroître, l’on s’en trouva tout d’un coup environné.	Bien que tout le monde sut que l'on préparait des Feux d'artifices, néanmoins en quelque lieu qu'on allât durant le jour, l'on n'y voyait nulle disposition, désorte que dans le temps que chacun était en peine du lieu où ils devaient paraître, l'on s'en trouva tout d'un coup environné.
Car non ſeulement ils partoient de ces baſſins de fontaines, mais encore des grandes allées qui environnent le Parterre:	Car non seulement ils partaient de ces bassins de fontaines, mais encore des grandes allées qui environnent le Parterre:
Et en voyant ſortir de terre, mille flâmes qui s’élevoient de tous coſtez, l’on ne ſçavoit s’il y avoit des Canaux qui fourniſſent cette nuitlà autant de feux, comme pendant le jour on avoit veu de jets-d’eau qui rafraiſchiſſoient ce beau parterre.	Et en voyant sortir de terre, mille flammes qui s'élevaient de tous côtés, l'on ne savait s'il y avait des Canaux qui fournissent cette nuitlà autant de feux, comme pendant le jour on avait vu de jets-d'eau qui rafraîchissaient ce beau parterre.
Cette ſurpriſe cauſa un agreable deſordre parmy tout le monde, qui ne ſçachant où ſe retirer, ſe cachoit dans l’épaiſſeur des bocages & ſe jettoit contre terre.	Cette surprise causa un agréable désordre parmi tout le monde, qui ne sachant où se retirer, se cachait dans l'épaisseur des bocages et se jetait contre terre.
Ce ſpectacle ne dura qu’autant de temps qu’il en faut pour imprimer dans l’eſprit une belle image, de ce que l’eau & le feu peuvent faire quand ils ſe rencontrent enſemble & qu’ils ſe font la guere:	Ce spectacle ne dura qu'autant de temps qu'il en faut pour imprimer dans l'esprit une belle image, de ce que l'eau et le feu peuvent faire quand ils se rencontrent ensemble et qu'ils se font la guère:
Et chacun croyant que la Feſte ſe termineroit par un artifice ſi merveilleux, retournoit vers le Château, quand du côté du grand Etang l’on vit tout d’un coup le ciel rempli d’éclairs, & l’air d’un bruit qui ſembloit faire trembler la terre;	Et chacun croyant que la Fête se terminerait par un artifice si merveilleux, retournait vers le Château, quand du côté du grand Etang l'on vit tout d'un coup le ciel rempli d'éclairs, et l'air d'un bruit qui semblait faire trembler la terre;
Chacun ſe rangea vers la grotte pour voir cette nouveauté, & auſſi-toſt il ſortit de la Tour de la pompe qui eſleve toutes les eaux, une infinité de groſſes fusées qui remplirent tous les environs de feu & de lumiere.	Chacun se rangea vers la grotte pour voir cette nouveauté, et aussitôt il sortit de la Tour de la pompe qui élève toutes les eaux, une infinité de grosses fusées qui remplirent tous les environs de feu et de lumière.
A quelque hauteur qu’elles montaſſent, elles laiſſoient attachée à la Tour une groſſe queüe qui ne s’en ſeparoit point que la fusée n’euſt rempli l’air d’une infinité d’étoiles qu’elle y alloit répandre:	À quelque hauteur qu'elles montassent, elles laissaient attachée à la Tour une grosse queue qui ne s'en séparait point que la fusée n'eût rempli l'air d'une infinité d'étoiles qu'elle y allait répandre:
Tout le haut de cette Tour ſembloit eſtre embraſé, & de moment en moment elle vomiſſoit une infinité de feux, dont les uns s’eſlevoient juſques au ciel, & les autres ne montant pas ſi haut, ſembloient ſe jouër par mille mouvemens agreables qu’ils faiſoient;	Tout le haut de cette Tour semblait être embrasé, et de moment en moment elle vomissait une infinité de feux, dont les uns s'élevaient jusques au ciel, et les autres ne montant pas si haut, semblaient se jouer par mille mouvements agréables qu'ils faisaient;
Il y en avoit meſme qui marquant les chiffres du Roy par leurs tours & retours, traçoient dans l’air de doubles L toutes brillantes d’une lumiere tres-vive & tres-pure.	Il y en avait même qui marquant les chiffres du Roi par leurs tours et retours, traçaient dans l'air de doubles L toutes brillantes d'une lumière très -vive et très-pure.
Enfin, apres que de cette Tour il fut ſorty à pluſieurs fois une ſi grande quantité de fusées, que jamais on n’a rien veu de ſemblable, toutes ces lumieres s’éteignirent, & comme ſi elles euſſent obligé les étoiles du ciel à ſe retirer;	Enfin, après que de cette Tour il fut sorti à plusieurs fois une si grande quantité de fusées, que jamais on n'a rien vu de semblable, toutes ces lumières s'éteignirent, et comme si elles eussent obligé les étoiles du ciel à se retirer;
l’on s’apperceut que de ce coſté-là la plus grande partie ne ſe voyoit plus, mais que le jour jaloux des avantages d’une ſi belle nuit, commençoit à paroître.	l'on s'aperçut que de ce côté-là la plus grande partie ne se voyait plus, mais que le jour jaloux des avantages d'une si belle nuit, commençait à paraître.
Leurs Majeſtez prirent auſſi-toſt le chemin de laint Germain avec toute la Cour, & il n’y eut que Monſeigneur le Dauphin qui demeura dans le Chaſteau.	Leurs Majestés prirent aussitôt le chemin de laint Germain avec toute la Cour, et il n'y eut que Monseigneur le Dauphin qui demeura dans le Château.
Ainſi finit cette grande Feſte, de laquelle ſi l’on remarque bien toutes les circonſtances, on verra qu’elle a ſurpaſſé en quelque façon ce qui a jamais eſté fait de plus memorable.	Ainsi finit cette grande Fête, de laquelle si l'on remarque bien toutes les circonstances, on verra qu'elle a surpassé en quelque façon ce qui a jamais esté fait de plus mémorable.
Car ſoit que l’on regarde comme en ſi peu de temps l’on a dreſſé des lieux d’une grandeur extraordinaire pour la Comedie, pour le ſouper & pour le Bal;	Car soit que l'on regarde comme en si peu de temps l'on a dressé des lieux d'une grandeur extraordinaire pour la Comédie, pour le souper et pour le Bal;
ſoit que l’on conſidere les divers ornemens dont on les a embellis;	soit que l'on considère les divers ornements dont on les a embellis;
le nombre des lumieres dont on les a éclairez;	le nombre des lumières dont on les a éclairez;
la quantité d’eaux qu’il a falu conduire, & la diſtribution qui en a eſté faite;	la quantité d'eaux qu'il a fallu conduire, et la distribution qui en a été faite;
la ſumptuoſité des repas où l’on a veu une quantité de toutes ſortes de viandes qui n’eſt pas concevable:	la sumptuosité des repas où l'on a vu une quantité de toutes sortes de viandes qui n'est pas concevable:
& enfin toutes les choſes neceſſaires à la magnificence de ces ſpectacles & à la conduite de tant de differens Ouvriers, on avouëra qu’il ne s’eſt jamais rien fait de plus ſurprenant & qui ait cauſé plus d’admiration.	et enfin toutes les choses nécessaires à la magnificence de ces spectacles et à la conduite de tant de différents Ouvriers, on avouera qu'il ne s'est jamais rien fait de plus surprenant et qui ait causé plus d'admiration.
Mais comme il n’y a que le Roy qui puiſſe en ſi peu de temps mettre de grandes Armées ſur pied & faire des conqueſtes avec cette rapidité que l’on a veuë, & dont toute la Terre a eſté épouvantée, lors que dans le milieu de l’Hyver Elle triomphoit de ſes ennemis, & faiſoit ouvrir les portes de toutes les Villes par où elle paſſoit:	Mais comme il n'y a que le Roi qui puisse en si peu de temps mettre de grandes Armées sur pied et faire des conquêtes avec cette rapidité que l'on a vue, et dont toute la Terre a été épouvantée, lors que dans le milieu de l'Hiver Elle triomphait de ses ennemis, et faisait ouvrir les portes de toutes les Villes par où elle passait:
Auſſi n’appartiẽt-il qu’à ce grand Prince de mettre enſemble avec la meſme promtitude autant de Muſiciẽs, de Danſeurs & de Ioüeurs d’Inſtrumens, & tant de differentes beautez.	Aussi n'appartiẽt-il qu'à ce grand Prince de mettre ensemble avec la même prétitude autant de Musiciẽs, de Dans et de Ioüeurs d'Instruments, et tant de différentes beautés.
Vn Capitaine Romain diſoit autrefois, qu’il n’eſtoit pas moins d’un grand homme de ſçavoir bien diſpoſer un Feſtin agreable à ſes Amis, que de ranger une Armée redoutable à ſes Ennemis:	Un Capitaine Romain disait autrefois, qu'il n'était pas moins d'un grand homme de savoir bien disposer un Festin agréable à ses Amis, que de ranger une Armée redoutable à ses Ennemis:
ainſi l’on voit que ſa Majeſté fait toutes ſes actions avec une grandeur égale;	ainsi l'on voit que sa Majesté fait toutes ses actions avec une grandeur égale;
& que ſoit dans la paix, ſoit dans la Guerre, elle eſt par tout inimitable.	et que soit dans la paix, soit dans la Guerre, elle est par tout inimitable.
