LE DICTATEVR ROMAIN.	LE DICTATEUR ROMAIN.
que de mal!	que de mal!
Mais c’eſt trop balancer, la choſe eſt reſoluë, Ton intereſt l’emporte, ô Puiſſance abſoluë!	Mais c'est trop balancer, la chose est résolue, Ton intérêt l'emporte, ô Puissance absolue!
G iij	G jijà
Il mourra.	Il mourra.
promets Mais pourtant lors que ie le Deffendez-vous, Fabie, & ie vous le permets L’appel en eſt au Peuple, où dé-ja l’on s’aſſemble:	promets Mais pourtant lors que ainsi le Défendez-vous, Fabie, et je vous le permets L'appel en est au Peuple, où déjà l'on s'assemble:
Voſtre Pere.	Votre Père.
Il paroiſt, & les Tribuns enſemble:	Il paraît, et les Tribuns ensemble:
Preuenez mon courroux, allez ſeul le treuuer, Tâchons, moy de vous perdre, & vous de vous ſauuer, Mon cœur, qui vous perdra, montre bien qu’il taua ayme y De vous encourager encor contre moy-meſme.	Prévenez mon courroux, allez seul le trouver, Tâchons, moi de vous perdre, et vous de vous sauver, Mon cœur, qui vous perdra, montre bien qu'il tau aime y De vous encourager encor contre moi-même.
FABIE.	FABIE.
Puis que vous l’ordonnez, & bien donc, ſauuons nous.	Puis que vous l'ordonnez, et bien donc, sauvons nous.
SCENE IV.	SCÈNE IV.
FABIE Pere, PAPYRE, COMINE.	FABIE Père, PAPYRE, COMINE.
MARTIAN, FABIE.	MARTIAN, FABIE.
FABIE Pere.	FABIE Père.
Rreſtez, arreſtez;	Rrestez, arrêtez;
& quoy!	et quoi!
me fuyezA vous?	me fuyezA vous?
PAPYRE.	PAPYRE.
Nous allons tous au Peuple, & moy, ie vous deuance.	Nous allons tous au Peuple, et moi, je vous devance.
MARTIAN.	MARTIAN.
L’aſſemblée eſt fort grande, on eſt à l’Audience, Le Peuple eſt preſt de rendre vn Arreſt ſolemnel Demande à haute voix le Vainqueur Criminel, Et que le Dictateur pour la choſe commune, Daigne en les viſitant honorer la Tribune:	L'assemblée est fort grande, on est à l'Audience, Le Peuple est prêt de rendre un Arrêt solennel Demande à haute voix le Vainqueur Criminel, Et que le Dictateur pour la chose commune, Daigne en les visitant honorer la Tribune:
Ie viens pour vous y ſuiure, & vous accompapagner,	Je viens pour vous y suivre, et vous accompagner,
FABIE Pere.	FABIE Père.
Moy, pour vous dire encor.	Moi, pour vous dire encor.
PAPYRE.	PAPYRE.
Et pour ne rien gagner:	Et pour ne rien gagner:
Epargnez des diſcours que ie ne puis entendre,	Épargnez des discours que ici ne puis entendre,
FABIE Pere.	FABIE Père.
Epargnez donc mon Fils, épargnez voſtre Gendre:	Épargnez donc mon Fils, épargnez votre Gendre:
Et pour luy rendre vn Iuge, vn Dictateur plus doux, Permettez qu’en ce lieu i’appaiſe ſon courroux, Ayant émeu les flots, i’adoucy la tempeſte:	Et pour notre rendre un Juge, un Dictateur plus doux, Permettez qu'en ce lieu j'apaise son courroux, Ayant ému les flots, j'adouci la tempête:
La foudre eſt dans vos mains qui gronde ſur ſa teſte, Vers le peuple, au Senat, par tout elle le ſuit, Enfin tous mes efforts, qui font vn ſi grand bruit.	La foudre est dans vos mains qui gronde sur sa tête, Vers le peuple, au Sénat, par tout elle le suit, Enfin tous mes efforts, qui font un si grand bruit.
Et tant d’éclairs ne ſont à mon cœur qui ſuccombe Que les auant-coureurs d’vn tonnerre qui rombe.	Et tant d'éclairs ne sont à mon cœur qui succombe Que les avant-coureurs d'un tonnerre qui rombe.
Ah!	Ah!
que n’en eſtes-vous armé pour mon trépas!	que n'en êtes-vous armé pour mon trépas!
Ce grand cœur, qui ſe rend, ne ſuccomberoit pas, Ie verrois ſans fremir, éclatter ce tonnerre, Et plutoſt que mon cœur trembler toute la terre.	Ce grand cœur, qui se rend, ne succomberait pas, Je verrais sans frémir, éclater ce tonnerre, Et plutôt que mon cœur trembler toute la terre.
Mais voir vn Fils vnique, & noble & glorieux, Reſte des Fabiens, qui vaut tous ſes Ayeux, Qui fit tout mon eſpoir, qui fait toute ma	Mais voir un Fils unique, et noble et glorieux, Reste des Fabiens, qui vaut tous ses Aïeux, Qui fit tout mon espoir, qui fait toute ma
Pery par vn ſupplice, & ſa Maiſon éteinte?	Péri par un supplice, et sa Maison éteinte?
Ah!	Ah!
c’eſt vn coup du Ciel, comme vous, inhumain, Et contre qui mon cœur ceſſe d’eſtre Romain?	c'est un coup du Ciel, comme vous, inhumain, Et contre qui mon cœur cesse d'être Romain?
Dedans ce deſeſpoir il ſe plaint, il ſoûpire, Ne connoiſt plus le Ciel, le Senat, ny Papyre;	Dedans ce désespoir il se plaint, il soupire, Ne connaît plus le Ciel, le Sénat, ni Papyre;
Et tient pour Ennemis cruels, iniurieux, Papyre, le Senat, & le Ciel, & les cleua.	Et tient pour Ennemis cruels, injurieux, Papyre, le Sénat, et le Ciel, et les cleva.
PAPYRE.	PAPYRE.
Et les Dieux, & le Ciel, le Senat, & moy-méme N’écoutons point la voix d’vn deſeſpoir extréme :	Et les Dieux, et le Ciel, le Sénat, et moi-même N'écoutons point la voix d'un désespoir extrême :
Ce ſentiment Romain, que vous nommez courroux, Rien ne peut l’adoucir, ny le Senat, ny vous;	Ce sentiment Romain, que vous nommez courroux, Rien ne peut l'adoucir, ni le Sénat, ni vous;
Le peuple nous atteud, & fera moins encore:	Le peuple nous atteud, et fera moins encore:
Ie vay perdre Fabie, & dans moy ie l’adore;	Je vais perdre Fabie, et dans moi -même l'adore;
Et mes ſens genereux ſont ſi fort combattus Qui ie puny ſon crime, admirant ſes vertus:	Et mes sens généreux sont si fort combattus Qui Qui puni son crime, admirant ses vertus:
Elles parlent dans moy, leur puiſſance eſt bien forte, Elle attire mon cœur, mais Rome enfin l’emporte;	Elles parlent dans moi, leur puissance est bien forte, Elle attire mon cœur, mais Rome enfin l'emporte;
C’eſt ſon intereſt ſeul qui combat ſous le mien;	C'est son intérêt seul qui combat sous le mien;
Ie vay bien attaquer;	Je vais bien attaquer;
mais deffendez-vous bien.	mais défendez-vous bien.
FABIE Fils.	FABIE Fils.
A quoy ce grand combat?	À quoi ce grand combat?
que ſert cette deffenſe?	que sert cette défense?
Ie connoy que mon ſort eſt en voſtre puiſſance, Que le Peuple ne peut.	Je connais que mon sort est en votre puissance, Que le Peuple ne peut.
MARTIAN.	MARTIAN.
Le peaple emn peuetout.	Le peaple emn peuetout.
FABIE Pere.	FABIE Père.
Ouy, puis qu’il faut combattre, allons iuſques au bout;	Oui, puis qu'il faut combattre, allons jusques au bout;
Remüons tout l’Etat pour le ſalut d’vn homme.	Remuyons tout l'État pour le salut d'un homme.
Et que Rome aujourd’huy combatte contre Rome, Les ſeruices preſens pourront bien ſouſtenir Vn Vainqueur que l’on perd, de peur de l’auenir:	Et que Rome aujourd'hui combatte contre Rome, Les services présents pourront bien soutenir Un Vainqueur que l'on perd, de peur de l'avenir:
Punir vne victoire & certaine, & ſi grande, Pour vn mal incertain, & que l’on apprehende?	Punir une victoire et certaine, et si grande, Pour un mal incertain, et que l'on appréhende?
Rome peut abolir de ſi timides loix, Ou du moins adoucir leur rigueur vne fois;	Rome peut abolir de si timides lois, Ou du moins adoucir leur rigueur une fois;
Le fruict qu’elle en attend ne vaut pas l’auantage Qu'elle a dé-ja reçeu d’vn ſi noble courage;	Le fruit qu'elle en attend ne vaut pas l'avantage Qu'elle a déjà reçu d'un si noble courage;
C’eſt auancer ſa perte, augmenter ſon ennuy Que de faire perir vn homme tel que luy;	C'est avancer sa perte, augmenter son ennui Que de faire périr un homme tel que lui;
Et qui peut rendre à Rome vn Monde tributaire, Pour ce grand intereſt les loix doiuent ſe taire.	Et qui peut rendre à Rome un Monde tributaire, Pour ce grand intérêt les lois doivent se taire.
PAPYRE.	PAPYRE.
Si pour Rome la loy craint vn mal incertain, Ce bien qu’on luy promet eſt encore plus vain:	Si pour Rome la loi craint un mal incertain, Ce bien qu'on avait promet est encore plus vain:
Laiſſons au Peuple à von & iuger de tes choles.	Laissons au Peuple à von et juger de tes choles.
Quoy que i’ay pû moy-meſme eſtre Iuge en mes cauſes, I'en ay permis l’Appel, pour vous fauoriſer.	Quoi que j'ai pu moi-même être Juge en mes causes, J'en a permis l'Appel, pour vous favoriser.
FABIE Pere.	FABIE Père.
Mais que vous ne pouuiez pourtant me refuſer, Puis que l’vn de nos Rois, c’eſt Tuelle, ie le nomme;	Mais que vous ne pouviez pourtant me refuser, Puis que l'un de nos Rois, c'est Tuelle, Seigneur le nomme;
Deuant tout le Senat, à la face de Rome, Ceda bien à l’Appel, & montra le pouuoir Que le Peuple à par fois de iuger & de voir;	Devant tout le Sénat, à la face de Rome, Céda bien à l'Appel, et montra le pouvoir Que le Peuple à par fois de juger et de voir;
Ce Monarque auoit lors vne entiere puiſſance, Le Peuple moins de droict, luy plus d’independance.	Ce Monarque avait lors une entière puissance, Le Peuple moins de droit, Seigneur plus d'indépendance.
6 E2 L1 Tenez vn Dictateur ſouuerain comme luy.	6 E2 1 Tenez un Dictateur souverain comme notre.
FABIE Pere.	FABIE Père.
Mais Rome n’eſtoit pas ce qu'eſt Rome auiourd’huy;	Mais Rome n'était pas ce qu'est Rome aujourd'hui;
Elle eſtoit ſous les Rois;	Elle était sous les Rois;
maintenant elle eſt Reyne, Ella a ſa liberté qui la rend Souueraine.	maintenant elle est Reine, Ella a sa liberté qui la rend Souveraine.
PAPYRE.	PAPYRE.
Et cette liberté qu’elle met en nos mains Nous rend plus que les Roys, puiſſants & Souuerains:	Et cette liberté qu'elle met en nos mains Nous rend plus que les Rois, puissants et Souverains:
Il eſt vray qu’elle eſt libre à ſe donner vn Maiſtre;	Il est vrai qu'elle est libre à se donner un Maître;
Elle le fait;	Elle le fait;
apres elle doit le connoiſtre:	après elle doit le connaître:
Dittes, que peut le Temple, & qu’a pû le Senat :	Dittes, que peut le Temple, et qu'a pu le Sénat :
Ma dignité ſouffroit pour vous cét attentat;	Ma dignité souffrait pour vous cet attentat;
Et contre mon pouuoir n’eſtant point de refuge.	Et contre mon pouvoir n'étant point de refuge.
Vers le Peuple, au Senat ie ſuis & Malſtre & Iuge, Quoy que pour ma décharge & voſtre allegement, Ie les fay compagnons dans ce haut Iugement.	Vers le Peuple, au Sénat ie suis et Malstre et Juge, Quoi que pour ma décharge et votre allégement, Je les fais compagnons dans ce haut Jugement.
vous n’auez ieeu connontre vne ſi grande grace:	vous n'avez apprendre connaître une si grande grâce:
Mais ie ſçauray tantoſt rabattre cette audace.	Mais ici sçauray tantôt rabattre cette audace.
MARTIAN.	MARTIAN.
Voyez.	Voyez.
PAPYRE.	PAPYRE.
Rien, Martian, que mes droits abfolus:	Rien, Martian, que mes droits absolus:
Ie ne vous entend point, & ne les connoy plus.	Je ne vous entend point, et ne les connais plus.
Allons au Peuple, allons;	Allons au Peuple, allons;
c’eſt trop le faire attendre.	c'est trop le faire attendre.
TADIE IIIS.	TADIE IIIS.
Allons donc à la mort;	Allons donc à la mort;
rien ne m’en peut deffendre.	rien ne m'en peut défendre.
Fin du Quatrieſme Acte.	Fin du Quatrième Acte.
ACIE SCENE PREMIERE.	ACIE SCÈNE PREMIÈRE.
CAMILLE, PAPYRE,	CAMILLE, PAPYRE,
ON, toutes ces raiſons ne vont qu’à m’offencer, Z Il eſt perdu, Camille, il n’y faut plus penſer:	ON, toutes ces raisons ne vont qu'à m'offenser, Z Il est perdu, Camille, il n'y faut plus penser:
3.	3.
Le peuple & le Senat, impuiſſans l’vn & l’autre, N’õt pas oſé l’abſoudre:	Le peuple et le Sénat, impuissants l'un et l'autre, N'ont pas osé l'absoudre:
auſſi ce droit eſt noſtre.	aussi ce droit est notre.
La Dictateure en moy treuue ſa ſeureté;	La Dictateure en moi trouve sa sûreté;
C’eſt vne ſouueraine & courte Royauté;	C'est assez souveraine et courte Royauté;
Ie l’ay miſe en ſa force, & mon cœur l’a portée En vn poinct où iamais elle n’eſtoit montée:	Je l'ai mise en sa force, et mon cœur l'a portée En un point où jamais elle n'était montée:
De ce lieu ſi ſuperbe, où vainqueur ie la voy, Elle me rit, me plaiſt, elle eſt digne de moy :	De ce lieu si superbe, où vainqueur ici la vois, Elle me rit, me plaît, elle est digne de moi :
I’ay par vn meſme coup ſauué ma renommée, Et l’ordre ſouuerain, cette ame d’vne Armée;	J'ai par un même coup sauvé ma renommée, Et l'ordre souverain, cette âme d'une Armée;
I’ay maintenu l’Empire & le commandement	J'ai maintenu l'Empire et le commandement
CAMILLE.	CAMILLE.
Et vous perdez Fabie en ce chaud mouuement	Et vous perdez Fabie en ce chaud mouvement
PAPYRE.	PAPYRE.
Ie perds vn Criminel:	Je perds un Criminel:
il vaut mieux qu’il p riſſe Que cette authorité, les loix, & la Iuſtice;	il vaut mieux qu'il p isse Que cette autorité, les lois, et la Justice;
Quoy!	Quoi!
i’aurois veu décheoir par ma facilité La Iuſtice, les loix, & cette authorité?	j'aurais vu décheoir par ma facilité La Justice, les lois, et cette autorité?
A ma honte, par moy, durant mon miniſtere Perir la Dictateure vn ſi haut caractere?	À ma honte, par moi, durant mon ministère Périr la Dictateure un si haut caractère?
Pour l’honneur de Fabie, & de ſes deux combats, I’aurois veu perdre Rome, & tout l’Empire à bas?	Pour l'honneur de Fabie, et de ses deux combats, J'aurais vu perdre Rome, et tout l'Empire à bas?
Non, i’ayme mieux couper ce mal en ſa racine Obſeruateur des loix & de la diſcipline, Ie fay pour l’auenir, ie voy pour le paſſé Le chemin que Manlie & Brute m’ont tracé.	Non, j'aime mieux couper ce mal en sa racine Observateur des lois et de la discipline, Je fais pour l'avenir, je vois pour le passé Le chemin que Manlie et Brute m'ont tracé.
Par mon propre tourment pour te rendre obligée Que n’eſt-il mon Parent, ô Rome protegée!	Par mon propre tourment pour te rendre obligée Que n'est-il mon Parent, ô Rome protegée!
Ah!	Ah!
que n’eſt-il mon Fils, ce Gendre pretendu!	que n'est-il mon Fils, ce Gendre prétendu!
Ie t’aurois plus donné, quand i’aurois plus perdu :	Je t'aurais plus donné, quand j'aurais plus perdu :
Ie ſouffre autant qu’vn Pere, & ce grand coup m’eſtonne, Ie l’ayme autant qu’vn Fils, Rome;	Je souffre autant qu'Han Pere, et ce grand coup m'étonne, Je l'aime autant qu'un Fils, Rome;
& ie te le donne.	et Seigneur te le donne.
CAMILLE.	CAMILLE.
C’eſt vn don en effet, qu’elle tiendra de vous;	C'est un don en effet, qu'elle tiendra de vous;
Elle l’attend, Papyre, & nous l’attendons tous:	Elle l'attend, Papire, et nous l'attendons tous:
Chacun fait à Fabie vn ſort plus fauorable, On l’attend en Vainqueur, & non pas en Coûpable:	Chacun fait à Fabie un sort plus favorable, On l'attend en Vainqueur, et non pas en Coupable:
On le demande tel, tel il nous ſoit donné, Puis que le peuple enfin ne l’a point condamné;	On le demande tel, tel il nous soit donné, Puis que le peuple enfin ne l'a point condamné;
PAPYRE.	PAPYRE.
il ne l'a pomt ablous, c’eſt trop pour le çonfondre.	il ne l'a pompt ablous, c'est trop pour le çonfondre.
CAMILLE.	CAMILLE.
Il le garde pourtant.	Il le garde pourtant.
PAPYRE.	PAPYRE.
Et c’eſt pour m’en répondre.	Et c'est pour m'en répondre.
Pour ne l’irriter pas, ie le laiſſe en ſes mains.	Pour ne l'irriter pas, tu le laisse en ses mains.
CAMILLE.	CAMILLE.
Vous auez le pouuoir:	Vous avez le pouvoir:
luy, l’amour des Romains.	Ne, l'amour des Romains.
PAPYRE.	PAPYRE.
S’ils l’ayment ces mutins;	S'ils l'aiment ces mutins;
ils craindront ma puiſſance;	ils craindront ma puissance;
Ie laiſſe à leur orgueil cette ombre de licence.	Je laisse à leur orgueil cette ombre de licence.
Et le temps d’auiſer s’ils ſe rendront garanrs D’vn crime à ſouſtenir par des crimes plus grands:	Et le temps d'aviser s'ils se rendront garanrs D'un crime à soutenir par des crimes plus grands:
Ils ne le feront pas;	Ils ne le feront pas;
ce ſoin eſt inutile;	ce soin est inutile;
Ie ſuis Maiſtre du Camp, ie puis tout dans la Ville;	Je suis Maître du Camp, ici puis tout dans la Ville;
Le Peuple, qui me voit animé pour la loy, N’oſera pas l’enfraindre, & meſme contre moy;	Le Peuple, qui me voit animé pour la loi, N'osera pas l'enfraindre, et même contre moi;
Il connoiſt mon pouuoir, il connoiſt mon courage;	Il connaît mon pouvoir, il connaît mon courage;
Employons l’vn & l’autre à ce fameux ouurage;	Employons l'vn et l'autre à ce fameux ouvrage;
Dans vn iuſte deſſein autant que rigoureux, Pour leur propre intereſt, oppoſons-nous contre eux;	Dans un juste dessein autant que rigoureux, Pour leur propre intérêt, opposons-nous contre eux;
Refuſant les Romains montrons que ie les aim, Et rendons Rome heureuſe en dépit d’ellemeſme;	Refusant les Romains montrons que personne les aim, Et rendons Rome heureuse en dépit d'ellemesme;
Faiſons ſon propre bien contre ſes propres vœux, Ne la regardons point, regardons ſes Neueux;	Faisons son propre bien contre ses propres vœux, Ne la regardons point, regardons ses Neueux;
Indulgente à ſon mal encor qu’elle ſoûpire, N’écoutons point ſa voix, & gardons-luy l’Empire;	Indulgente à son mal encor qu'elle soupire, N'écoutons point sa voix, et gardons-lui l'Empire;
Faiſons vn bien qui dure, & qu’on treuue apres nous;	Faisons un bien qui dure, et qu'on trouve après nous;
Perdons vn Criminel, pour l’intereſt de tous.	Perdons un Criminel, pour l'intérêt de tous.
CAMILLE.	CAMILLE.
C’eſt perdre la Valeur, ſous les loix opprimée:	C'est perdre la Valeur, sous les lois opprimée:
Auec elle il faut donc perdre toute l’Armée, Qui dans ſes intereſts entre & i’oſe méler:	Avec elle il faut donc perdre toute l'Armée, Qui dans ses intérêts entre et j'ose mêler:
Il n’eſt plus tẽps de feindre,ce de jous rien celer?	Il n'est plus temps de feindre,ce de jous rien celer?
Tout Tout le Camp ſe mutine, & prend part en ce crime, Que vous allez punir qui contre vous l’anime;	Tout Tout le Camp se mutine, et prend part en ce crime, Que vous allez punir qui contre vous l'anime;
Valere me l’a peint vn camp ſeditieux, Qui.	Valère me l'a peint un camp séditieux, Qui.
Mais Comine vient:	Mais Comine vient:
peut-eſtre il le ſçait mieux.	peut-être il le sait mieux.
SCENE II.	SCÈNE II.
COMINE, PAPYRE, CAMILLE.	COMINE, PAPYRE, CAMILLE.
yNe triſte nouuelle à vos yeux me r’ameine :	yNe triste nouvelle à vos yeux me ramène :
L’Armée eſt en reuolte, & tous les Chefs en peine:	L'Armée est en révolte, et tous les Chefs en peine:
On y voit le deſordre & la ſedition, Legion oppoſée à l’autre Legion, Aigle contre Aigle, enfin dans l’émûte publique Homme preſque contre homme.	On y voit le désordre et la sédition, Légion opposée à l'autre Légion, Aigle contre Aigle, enfin dans l'émûte publique Homme presque contre homme.
& pique contre pique.	et pique contre pique.
Le Camp preſt de ſe battre & de ſe débander;	Le Camp prêt de se battre et de se débander;
Perſonne n’obeyt, nul n’oſe commander;	Personne n'obéit, nul n'ose commander;
Et cette Armée encor chaude & victorieuſe, D’vne inſolente voix, ſuperbe iniurieuſe, Menaſſe en demandant à Rome, à tous ſes Dieux Pour prix de ſes combats ſon Chef victorieux.	Et cette Armée encor chaude et victorieuse, D'une insolente voix, superbe injurieuse, Menasse en demandant à Rome, à tous ses Dieux Pour prix de ses combats son Chef victorieux.
PAPYRE.	PAPYRE.
Et bien donc, qu’elle l’ait, finiſſons la tempeſte:	Et bien donc, qu'elle l'ait, finissons la tempête:
Ils demandent Fabie, enuoyons-leur ſa teſte:	Ils demandent Fabie, envoyons-leur sa tête:
Elle les inſtruira:	Elle les instruira:
qu’ils liſent, ces mutins, Dans ſa punition leur crime, & leurs deſtins:	qu'ils lisent, ces mutins, Dans sa punition leur crime, et leurs destins:
Ils connoiſtront quel eſt mon bras, & leur attente;	Ils connaîtront quel est mon bras, et leur attente;
L’ordre n’ayant rien pû, qu’elle les épouuante.	L'ordre n'ayant rien pu, qu'elle les épouvante.
Mais ſans vous oublier, ſans punir à demy;	Mais sans vous oublier, sans punir à demi;
Vous, que ſon crime ſeul a rendu ſon Amy, Pour le voſtre & le leur montrant ma foudre preſte Vous leur yrez porter, & mon ordre & ſa teſte:	Vous, que son crime seul a rendu son Ami, Pour le vôtre et le leur montrant ma foudre prête Vous leur irez porter, et mon ordre et sa tête:
C’eſt vous punir aſſez par ce commandement;	C'est vous punir assez par ce commandement;
le Men vay pumr rautre, & partez promptement;	le Men vais pumr rautre, et partez promptement;
Sa teſte, & vous, ferez enſemble ce voyage.	Sa tête, et vous, ferez ensemble ce voyage.
COMINE.	COMINE.
Ouy, ouy, nous le ferons, mais non pas ce meſſage:	Oui, oui, nous le ferons, mais non pas ce message:
Car pour accompagner la teſte du Vainqueur On doit porter enſemble & ma teſte, & mon cœut:	Car pour accompagner la tête du Vainqueur On doit porter ensemble et ma tête, et mon cœut:
C’eſt ainſi qu’vn Amy doit accompagner l’autre :	C'est ainsi qu'un Ami doit accompagner l'autre :
I’y feray mon deuoir, i’y vay:	J'y ferai mon devoir, j'y vais:
faites le voſtre.	faites le vôtre.
PAPYRE.	PAPYRE.
Fay-le donc, inſolent;	Fais-le donc, insolent;
va, ie feray le mien.	va, Seigneur ferai le mien.
Quel orguen.	Quel orguen.
CAMILLE.	CAMILLE.
Il eſt noble:	Il est noble:
il part, & ne craint rien.	il part, et ne craint rien.
SCENE III.	SCÈNE III.
LVCILLE, PAPYRE, PAPYRIE, FLAVIE, CAMILLE.	LUCILE, PAPYRE, PAPYRIE, FLAVIE, CAMILLE.
LVCILLE.	LUCILE.
L faut plutoſt tout craindre:	L faut plutôt tout craindre:
à peine ie reſI pire.	à peine ici résI pire.
PAPYRE.	PAPYRE.
Qu'eſt-ce encor?	Qu'est-ce encor?
quel mal-heur?	quel malheur?
LVCILLE.	LUCILE.
Figurez-vous le pire :	Figurez-vous le pire :
tour tout dire en deux mots;	tour tout dire en deux mots;
Craignez tout.	Craignez tout.
H I	H I
PAPYRIE.	PAPYRIE.
Le peuple eſt ſoûleué.	Le peuple est soulevé.
Craignez tout:	Craignez tout:
PAPYRE.	PAPYRE.
Nous en viendrons à bout Eſttee la ce mameur, ce grand ſuſet de crainte!	Nous en viendrons à bout Esttee la ce mameur, ce grand suset de crainte!
PAPYRIE.	PAPYRIE.
Pour voſtre intereſt ſeul nous en ſouffrons l’at tainte:	Pour votre intérêt seul nous en souffrons l'at tainte:
Ce malheur vous regarde, & ne vous fai crembier, Qu'à cauſe qu’il vous preſſe & vous peut ac cabler.	Ce malheur vous regarde, et ne vous fay crémbier, Qu'à cause qu'il vous presse et vous peut ac câbler.
LVCILLE.	LUCILE.
Dé-ja le peuple émeû s’emporte.	Déjà le peuple ému s'emporte.
PAPIRE.	PAPIRE.
Ah!	Ah!
le Rebelle!	le Rebelle!
LVCILLE.	LUCILE.
Contre vous, pour Fabie;	Contre vous, pour Fabie;
il ſoûtient ſa querelle,	il soutient sa querelle,
PAPYRE.	PAPYRE.
Soûtenir vn coûpable?	Soutenir un coupable?
& contre vn Dictateur?	et contre un Dictateur?
Quel deſordre?	Quel désordre?
PAPYRIE.	PAPYRIE.
Il en eſt l’objet, non pas l’auteur:	Il en est l'objet, non pas l'auteur:
Epeuple en le ſauuant, de peur qu’il ſe hazarde, Ontre luy, contre vous le defend & le garde, Ncraignant de ſa main l’attentat genereux, ainte!	Épeuple en le sauvant, de peur qu'il se hasarde, Ontre lui, contre vous le défend et le garde, Ncraignant de sa main l'attentat généreux, ainte!
Hy ſemble par ſes ſoins, plus que vous, rigoureux.	Hy semble par ses soins, plus que vous, rigoureux.
edans ſa noble ardeur & le regret de viure Tſe voit priſonnier, alors qu’on le deliure:	édans sa noble ardeur et le regret de vivre Tse voit prisonnier, alors qu'on le délivre:
A foule l’enuironne, & l’emporte à la fois:	A foule l'environne, et l'emporte à la fois:
fail Un le loüe;	fail Un le loue;
on vous blâme & vos ſeueres loix:	on vous blâme et vos sévères lois:
pour mieux reſiſter contre vous & contre acl I elles De tous coſtez s’aſſemble vn nombre de rebelles Preſts de ſe retirer ſur le Mont Auentin, Pour conſeruer Fabie, ou ſuiure ſon deſtin.	pour mieux résister contre vous et contre aclès I elles De tous côtés s'assemble un nombre de rebelles Prêts de se retirer sur le Mont Auentin, Pour conserver Fabie, ou suivre son destin.
LVCILLE.	LUCILE.
Nous-meſmes auons veu, preſque au ſortir du Temple, Leur extréme fureur, & qui n’a point d’exemple:	Nous-même avons vu, presque au sortir du Temple, Leur extrême fureur, et qui n'a point d'exemple:
Demettons, diſent-ils, ce rude Dictateur laloux de la victoire autant que de l’auteur:	Demettons, disent-ils, ce rude Dictateur laloux de la victoire autant que de l'auteur:
N’ayant plus d’Ennemis, qu’eſt-il plus neceſſaire?	N'ayant plus d'Ennemis, qu'est-il plus nécessaire?
Depoſons-le:	Déposons-le:
On diroit qu’ils ſont preſts de le faire.	On dirait qu'ils sont prêts de le faire.
PAPYRE.	PAPYRE.
Le faire!	Le faire!
on ne le peut, nous regnons pour ſix mois.	on ne le peut, nous régnons pour six mois.
CAMILLE.	CAMILLE.
Ne pouuoir vous demettre?	Ne pouvoir vous démettre?
on a chaſſé les Rois.	on a chassé les Rois.
PAPYRE.	PAPYRE.
C’eſtoit pour leur orgueil, le crime, & l'inſolence, Moy, i’affermy l’Empire, & maintiens ſa puiſſance;	C'était pour leur orgueil, le crime, et l'insolence, Moi, j'affermi l'Empire, et maintiens sa puissance;
Moy, ie puny l’orgueil, le crime, & l’attentat;	Moi, Seigneur puni l'orgueil, le crime, et l'attentat;
Moy, ie ſoûtiens les loix, qui ſoûtiennent l’Eſtat.	Moi, Seigneur soutiens les lois, qui soutiennent l'État.
Ie craindrois la reuolte, & cette violence, Moy, qui rétably l’ordre & puny l’inſolence, Qu’il s’aſſemble, qu’il aille, & couure l’Auentin, I’yray ſeul m’oppoſer à ce peuple mutin, Ie ſçay trop ce qu’il faut, dans ce peril extréme, Faire pour le Pays contre le Pays meſme:	Je craindrais la révolte, et cette violence, Moi, qui rétabli l'ordre et puni l'insolence, Qu'il s'assemble, qu'il aille, et couvre l'Auentin, J'ai seul m'opposer à ce peuple mutin, Je sais trop ce qu'il faut, dans ce péril extrême, Faire pour le Pays contre le Pays même:
I’iray voir violer les loix, & leur ſerment Et de tout l’Auentin faire ſon Monument;	J'irai voir violer les lois, et leur serment Et de tout l'Aventin faire son Monument;
Plutoſt que relâcher il faudra que i’expire, Qu’on détruiſe tout l’ordre, & les loix, & Papyre.	Plutôt que relâcher il faudra que j'expire, Qu'on détruise tout l'ordre, et les lois, et Papyre.
LVCILLE.	LUCILE.
O cœur trop obſtiné, trop genereux auſſi!	Ô cœur trop obstiné, trop généreux aussi!
Vous nous allez tous perdre en vous perdant ainſi :	Vous nous allez tous perdre en vous perdant ainsi :
Iugez de quel excez les Romains ſont capables.	Jugez de quel excès les Romains sont capables.
CAMILLE.	CAMILLE.
Quoy?	Quoi?
pour vn Criminel faire mille Coûpables?	pour un Criminel faire mille Coupables?
Que voye-je?	Que voie-je?
SCENE DERNIERE.	SCÈNE DERNIÈRE.
FABIE Pere, FABIE Fils, PAPYRE, COMINE, MARTIAN, CAMILLE, LVCILLE, PAPYRIE, FLAVIE.	FABIE Père, FABIE Fils, PAPYRE, COMINE, MARTIAN, CAMILLE, LUCILLE, PAPYRIE, FLAVIE.
FABIE Pere.	FABIE Père.
N voicy deux;	N voici deux;
le nombre en eſt moins grand?	le nombre en est moins grand?
Rome en deffendoit vn, & ma main vous le rend:	Rome en défendait un, et ma main vous le rend:
Plutoſt que de la voir tomber dedans ce crime Ie l’allois égorger;	Plutôt que de la voir tomber dedans ce crime Je l'allais égorger;
ie vous l’offre en Victime;	Hé vous l'offre en Victime;
Et preſt de l’immoler au nom de Dictateur I’en viens eſtre à vos yeux le Sacrificateur.	Et prêt de l'immoler au nom de Dictateur J'en viens avoir à vos yeux le Sacrificateur.
