ACTEVRS.	ACTEURS.
Approche-toy de moy par vne ſaincte enuie, Qu'vn amour reciproque entretienne ma vie:	Approche-toi de moi par une sainte envie, Qu'un amour reciproque entretienne ma vie:
Dis-moy les geniteurs qui t’ont fait voir le iour.	Dis-moi les géniteurs qui t'ont fait voir le jour.
Ayant peint ſur ton front tant de marques d’amous Permettront vn baiſer ſur ta bouche enfantine, Me dècouurant les rais de ta flamme diuine.	Ayant peint sur ton front tant de marques d'amous Permettront un baiser sur ta bouche enfantine, Me dècouurant les rais de ta flamme divine.
REINE.	REINE.
Ah Ieſus!	Ah Jésus!
ô ſecours.	ô secours.
OLIBRIVS parlant à Dalazan.	OLIBRIUS parlant à Dalasan.
L’entrée de ſon diſcours, Corrompt ma libertè & trouble mon amour, Mais ie dois plus auant découurir l’auanture, Aafin dt mnienx jpanoir quene et ja geniture.	L'entrée de son discours, Corrompt ma libertène et trouble mon amour, Vou ie dois plus avent découvrir l'aventure, Afin dût mnienx jpanoir quène et ja géniture.
Parlant à Reine.	Parlant à Reine.
Gelle qui es-tu donc, & qui ſont tes parens, Tu as poſeZ deux mots qui ſont impertinens.	Gelle qui es-tu donc, et qui sont tes parents, Tu as poseZ deux mots qui sont impertinents.
EINE.	EYNE.
Ie ſuis ſous cêt habit en verité Chreſtienne, Iſſuë de Noble ſang, & m’appelle-t’on Reine, Fille du grand Clement premier des Aliſiens.	Je suis sous cet habit en vérité Chrétienne, Issue de Noble sang, et m'appelle-t-on Reine, Fille du grand Clément premier des Alisiens.
OLIBRIVS, Ji eſt vray ie le ſçay, l’honneur des Citoyens, Auſſi de ſes beaux traicts tu dois ſuiure l’exemple, En maintenant qu’vn rang, & ne baſtir qu'vn Temple, Pour inuocquer les noms de nos Dieux immortels, Renouuellant des vœux és pieds de leurs Autels.	OLIBRIUS, Ji est vrai votre le sais, l'honneur des Citoyens, Aussi de ses beaux traits tu dois suivre l'exemple, En maintenant qu'il rang, et ne bâtir qu'un Temple, Pour invocquer les noms de nos Dieux immortels, Renouuellant des vœux ès pieds de leurs Autels.
INE.	INE.
Ie n’adore qu'vn Dieu que i’ay choiſi pour pere, Puis que de ſa vraye foy i’ay reçeu la lumiere, Et qui mt tien niee cstrointemen en corps, Si bien que c’eſt à luy, & ma vie, & ma mort.	Je n'adore qu'HEure que j'ai choisi pour père, Puis que de sa vraie foi j'ai reçu la lumière, Et qui mt tien née cstrointemen en corps, Si bien que c'est à lui, et ma vie, et ma mort.
OLIBRIVS.	OLIBRIUS.
Reine tu ne ſçais pas que pour toy ie proreste, Sous le nœud coniugal vne celebre Feſte, Ie te promet la foy, auſſi veux-ie t’aymer, Et par ton Noble ſang auiourd’huy t’epouſer:	Reine tu ne sais pas que pour toi venir proreste, Sous le nœud conjugal une célèbre Fête, Je te promet la foi, aussi veux-je t'aimer, Et par ton Noble sang aujourd'hui t'épouser:
Si tu viens renoncer cette foy idolatre, Où la fauſſe doctrine eſt apres de t’abbatre, Où des petits friſſons qui troublent tes esprits, Par enſeignemens vains legerement appris:	Si tu viens renoncer cette foi idolâtre, Où la fausse doctrine est après de t'abattre, Où des petits frissons qui troublent tes esprits, Par enseignements vains légèrement appris:
Ie voy bien que tu es par ces champs ègarèe, Et que l’honte & l’habit te rendent dèguiſee:	Je vois bien que tu es par ces champs ègarèe, Et que l'honte et l'habit te rendent déguise:
le Lal Juolculs cen que lels yraut reinguns s En ſon estre n’a point façon de paiſant:	le Lal Juolculs cen que lels yraut reinguns s En son être n'a point façon de paisant:
Reſoi-toy de m'aymer, ſera ton aduantage, Auſſi ie te douteray d’vn riche Mariage.	Résoi-toi de m'aimer, sera ton avantage, Aussi ie te douterai d'un riche Mariage.
REINE.	REINE.
Ie n’ay point d’autre Amant que le Dieu des Chreſtiens.	Je n'ai point d'autre Amant que le Dieu des Chrétiens.
OLIBRIVS.	OLIBRIUS.
Et cêt Amant tout ſeul te priuera de biens, Laiſſe enuoller en l’air tant de fourbes penſees, Et des illuſions les vollages fumées, En adorant nos Dieux tes diuins protecteurs, Qu'ils te veulent ſauier icy de mes fureurs.	Et cet Amant tout seul te privera de biens, Laisse envoler en l'air tant de fourbes pensées, Et des illusions les vollages fumées, En adorant nos Dieux tes divins protecteurs, Qu'ils te veulent zavier ici de mes fureurs.
Dieu conſerueZ en moy vne fleur virginale, Qe ie vous ay voué en amouy cordiale:	Dieu conservez en moi une fleur virginale, Qe ici vous ai voué en amoui cordiale:
Vous ſçauez de mes flancs la pure chaſteté, Le cordon qui me lie en ma virginité:	Vous savez de mes flancs la pure chasteté, Le cordon qui me lie en ma virginité:
Helas regardez-moy, & ne laiſſez deſtruire, Un Temple conſacré a voſtre ſainct Empire:	Hélas regardez-moi, et ne laissez détruire, Un Temple consacré a votre saint Empire:
Mon Sauueur ie vous rend mille grace a iamais, Et comblez mon eſprit de force deſormais.	Mon Sauveur Dieux vous rend mille grâce a jamais, Et comblez mon esprit de force désormais.
OLIBRIVS.	OLIBRIUS.
A qui te confie-tu, & ne veux tu entendre 2 Que tu tiens des diſcours qui te peuuent ſurprendre, Arreſte, arreſte toy, viens éuiter ces maux, Ou ta preſomption eſſayera mes Bourreaux, Et conſidere vn peu ta baeuté, & tendreſſe, Reconnoiſſant en toy tout autant de foibleſſe.	À qui te confie-tu, et ne tu veux entendre 2 Que tu tiens des discours qui te peuvent surprendre, Arrête, arrête toi, viens éviter ces maux, Ou va présomption essayera mes Bourreaux, Et considère un peu ta baeuté, et tendresse, Reconnaissant en toi tout autant de faiblesse.
REINVEe Je ne quitte mon Dieu aduance tes tourments, N’eſpargne tes bourreaux fais leur commandemens.	REINVEe Je ne quitte mon Dieu avance tes tourments, N'épargne tes bourreaux fais leur commandements.
DALAZAN.	DALALAN.
Seigneur tu l'entend bien?	Seigneur tu l'entend bien?
i’auoüe qu'elle ſoit belle, Mannuie uiy pont teguente ene enneue crhelle.	i’ auoüe qu'elle soit belle, Mannuie ui pont teguente ene ennève crhelle.
REINE.	REINE.
Viſte, viſte ſoldat qu'on la charcge de fer, Qene ſçapne à v'inpant ce qu'elle peut peſer.	Vite, vite soldat qu'on la charge de fer, Qène sçapne à v'inpant ce qu'elle peut peser.
DALAZAN.	DALALAN.
Tu dois bien auerer ce que ie te propoſe, Que dans le fort de Flaue a l'eſtroit ſoit encloſe.	Tu dois bien avérer ce que Seigneur te propose, Que dans le fort de Flave a l'étroit soit enclose.
REINE.	REINE.
O ſupplice amoureux, agreables tourmens, Venez me faire voir l’entrèe du Firmament.	Ô supplice amoureux, agréables tourments, Venez me faire voir l'entrèse du Firmament.
TIEOPHILE entre.	TIEOPHILE entre.
Qu'eſt-ce icy donc Meſſieurs, vous faite mon office, Ie la veux enchaiſner en vous roncttnt feruice.	Qu'est-ce ici donc Messieurs, vous faite mon office, Je la veux enchaîner en vous roncttnt fériée.
DALAZAN.	DALALAN.
Doù vient cét Officier, ſoldat qu'on parle à luy, Et qu'ie jurueine pien au danger qui le ſuit.	Doù vient cet Officier, soldat qu'on parle à lui, Et qu'ie jurveine pien au danger qui le suit.
THEOPHILE Ouy Seigneur, ie ſuis preſt par les Dieux, ie proteſte;	THÉOPHILE Oui Seigneur, je suis prêt par les Dieux, notre proteste;
Que ma fidelité vous ſera manifeſte, lo jerbay pil cousppaijt Jeorter min garuer, De façon qu'elle aura ſuiet de s’en greuer.	Que ma fidélité vous sera manifeste, lo jerbai pil cousppaijt Orter min garuer, De façon qu'elle aura sujet de s'en greuer.
OLIBRIVS parlant à Dalazan.	OLIBRIUS parlant à Dalasan.
Ce vifage me plaiſt, & ie croy que ſa mine;	Ce visage me plaît, et ainsi crois que sa mine;
Ne trompera nos yeux d’vne fauſſe machine.	Ne trompera nos yeux d'une fausse machine.
THEOPHILE.	THÉOPHILE.
Monſeigneur, ſçachez donc que ma fidelité, Conſerue bien les loix de voſtre authorité.	Monseigneur, sachez donc que ma fidélité, Conserve bien les lois de votre autorité.
NEINN Es Hé bien donc Theophile, employe bien cét office, La fin t’élargira vn ample beneſice.	NEIN Es Hé bien donc Théophile, emploie bien cet office, La fin t'élargira un ample bénésice.
THEOPHILE.	THÉOPHILE.
Ton bon temps a paſſé les fins de la mercy, Vſe de prouoyance à ton futur ſoucy	Ton bon temps a passé les fins de la merci, Vse de provoyance à ton futur souci
OLIBRIVS.	OLIBRIUS.
Sus ſus ſans entretiens, au cachot fort & ferme, Et qu’on ne faſſe cas de ſon ennuyeux terme, Qu'on la garde inſtamment ſoldats & ſans pitié, Et ne luy montrez, point aucun traict d’amitié:	Sus sus sans entretiens, au cachot fort et ferme, Et qu'on ne fasse cas de son ennuyeux terme, Qu'on la garde instamment soldats et sans pitié, Et ne lui montrez, point aucun trait d'amitié:
Cependant Dalazan, inuocquons les propices, Pourſuiuons l'Allemagne aux humbles ſacrifices, Et d’vn heureux retour nos pouuoirs reſolus, Rangeront par deça les Chreſtiens aubbatus.	Cependant Dalasan, inuocquons les propices, Poursuivons l'Allemagne aux humbles sacrifices, Et d'un heureux retour nos pouvoirs résolus, Rangeront par deça les Chrétiens aubatus.
Soyons preſt à partir.	Soyons prêt à partir.
SCENE IV.	SCÈNE IV.
REINE, THEOPHILE, HEROS, DES GARDES, ALICHRISTE, ET ALGERIDE entre apres.	REINE, THÉOPHILE, HÉROS, DES GARDES, ALICHRISTE, ET ALGÈRIDE entre après.
THEOPHILE.	THÉOPHILE.
R Egarde pauure Fille Tu laiſſe les plaiſirs des champs & de la ville:	R Egarde pauvre Fille Tu laisse les plaisirs des champs et de la ville:
Letaenal piinjuicrent ejt il aton abgu s Afin d'y ſoûpirer auec trop de loiſir.	Letaenal piinjuicrent ejt il aton abgu s Afin d'y soupirer avec trop de loisir.
HEROS des Gardes.	HÉROS des Gardes.
Beautè prend garde à toy ſi tu te liure aux armes, Nous ſommes deuant toy pitoyables gendarmes:	Beautes prend garde à toi si tu te livre aux armes, Nous sommes devant toi pitoyables gendarmes:
Viens adorer nos Dieux, & t'oſte de ſes fers, Qui te ſerrent attendant d’autres tourmens diners:	Viens adorer nos Dieux, et t'ôte de ses fers, Qui te serrent attendant d'autres tourments dîners:
Reſous-toy de mourir, ſi toſt tu ne deſnie, L’erreur dont les Chreſtiens enſorcelle la vie, Il vaut mieux auerer ces autheurs immortels, Comme l’on reconnoiſt dans Flaue leurs Aûtels, T’y conduiſons d’abord en vne priſon noire, Sous terre où tu perdràs le iour & la memoire.	Résous-toi de mourir, si tôt tu ne dénie, L'erreur dont les Chrétiens ensorcelle la vie, Il vaut mieux aurer ces auteurs immortels, Comme l'on reconnaît dans Flave leurs Autels, T'y conduisons d'abord en une prison noire, Sous terre où tu perdràs le jour et la mémoire.
REINE.	REINE.
Ie ne quiite mon Dieu, juiuez voſire chemin, Pourſuiuez de vos loix le trac aſſeZ malin :	Je ne quiite mon Dieu, juivez vos chemin, Poursuivez de vos lois le trac assez malin :
Taillez, couppez, briſez d’vne vaine puiſſance, Noffençant mon honneur chargez-moy de ſouffrance.	Taillez, couppez, brisez d'une vaine puissance, Noffensant mon honneur chargez-moi de souffrance.
HEROS.	HÉROS.
Allons tu parle trop, tu déccuure le bras, Qui doit s’enſanglanter en t’ouurant le treſpas, Et de tous les efforts que noſtre loy t’ordonne, A toy meſme cruelle, à toy tu ne pardonne:	Allons tu parle trop, tu déccuure le bras, Qui doit s'ensanglanter en t'ouvrant le trépas, Et de tous les efforts que notre loi t'ordonne, A toi -même cruelle, à toi tu ne pardonne:
Marche donc ſans flatter, voyant que ta beauté, Séclipſe ſous le fort de ta deſloyauté, Et l'e plus amoureux te voyant opiniaſtre;	Marche donc sans flatter, voyant que ta beauté, Séclipse sous le fort de ta déloyauté, Et l'e plus amoureux te voyant opiniâtre;
gheuaathtenarou toup, & u'amant vn maraſtre:	gheuaathtenarou toup, et eamant marâtre:
REINE.	REINE.
Trouüez inuention à me faire endurer.	Trouez invention à me faire endurer.
THEOPHILE.	THÉOPHILE.
Tu plie deſſous ces fers, & ſi tu veux iaſer.	Tu plie dessous ces fers, et si tu veux jaser.
ALICRHISTE & ALGERIDE entrene.	ÀLICRHISTE et ALGERIDE entrène.
Allons courrons apres, allons viſte Algeride, Il faut ſuiure ces pas en ce vallon humide, damen puis agia pius, e femble que mes ſens;	Allons courrons après, allons vite Algeride, Il faut suivre ces pas en ce vallon humide, damen puis agia pius, e femble que mes sens;
Se rengent a la rigueur que ma fille reſſent.	Se rengent a la rigueur que ma fille ressent.
ANCES.	ANCES.
Quelle cruaute inbumaine, S’abbat ſur ma petite Reiné:	Quelle cruauté inbumaine, S'abat sur ma petite Reiné:
Qui ſe voudroit dreſſer contre la Deïté, Hielas?	Qui se voudrait dresser contre la Deïté, Hielas?
c'eſt bien en vain, car cette tyrannie;	c'est bien en vain, car cette tyrannie;
Se conſomme d’horreur contre la verité, Ne ſe vangeant que ſur la vie, En voulant depiter l'Autheur d’humanité;	Se consomme d'horreur contre la vérité, Ne se vengeant que sur la vie, En voulant dépiter l'Auteur d'humanité;
Par ancredulité.	Par ancredulité.
Ma pauure fille ie te pleure, Et l’Eternité tu m’aſſeure, Mais helas qu'il m'eſt dur de te voir endurer;	Ma pauvre fille Dieux te pleure, Et l'Éternité tu m'assure, Mais hélas qu'il m'est dur de te voir endurer;
le voudrois comme toy me liurer à la chaiſne, En courant apres toy i'y veux participer, Que ie t'ayde à cette peine, Afin q'vn doux eſpoir comme le tien vainqueur?	le voudrais comme toi me livrer à la chaîne, En courant après toi j'y veux participer, Que ie t'aide à cette peine, Afin q h doux espoir comme le tien vainqueur?
M’eſleue à mon Sauueur.	M'élève à mon Sauveur.
T’en veux-tù aller la premart, Ne m’oublie pas en ta priere, Mon cœur s'en va mourant de te voir ſeparer, A moins qu'auec toy ie n’aye ſur moy victoire, T prilm ſr te pu lepeleſrmerer.	T'en veux-tù aller la premart, Ne m'oublie pas en ta prière, Mon cœur s'en va mourant de te voir séparer, A moins qu'avec toi ie n'aie sur moi victoire, T prilm s te pu lepelesrmerer.
G 2 Puis qu’il faut vai nere pour la gloire, Ma reſolution eſt vn ferme bouclier, A Dieu glorifier.	G 2 Puis qu'il faut vay nere pour la gloire, Ma résolution est un ferme bouclier, À Dieu glorifier.
Mais encore ma chere fille, Apres auoir quitté la ville, Et d’vn pere cruel auoir fuy les coups, V’ay creu pour te cacher que l’habit de Bergere, Eſtoit pour te ſauuer de la gueule des loups:	Mais encore ma chère fille, Après avoir quitté la ville, Et d'un père cruel avoir fui les coups, V'ai cru pour te cacher que l'habit de Bergère, Était pour te sauver de la gueule des loups:
Tu as eſté vn peu legere, D'auoir pris le chemin qu'on t’auoit deffendu, D’où le mal-heur venu.	Tu as été un peu légère, D'avoir pris le chemin qu'on t'avait défendu, D'où le malheur venu.
Maintenant que ie te voy forcée, Deuant mes yeux & enchaiſnée, Ah que cét accident me couure icy de dueil, L’innocence oppreſſée eſt proche du ſupplice, Et m’enuoye promptement dans vn triſte cercueil.	Maintenant que ie te vois forcée, Deuant mes yeux et enchaînée, Ah que cet accident me couvre ici de deuil, L'innocence oppressée est proche du supplice, Et m'envoie promptement dans un triste cercueil.
Nos denx hoſtie en jacriſece, S’éleuent iuſques aux Cieux, & les deux aûtres exprés, Les ſuiuent de bien preſt.	Nos denx hostie en jacrisce, S'éleuent jusques aux Cieux, et les deux aûtres exprès, Les suivent de bien prêt.
ALGERIDE.	ÀLGERIDE.
Ces perfides voit-on alterez de ſa vie, Qui tiennent l’innocente en proye de tyrannie, O cruels pourquoy donc emmene (-vous ma ſœur, En la chargeant ainſi de telle peſanteur, Je ne la veux quitter, & cette meſme chaiſne, Seruira ſur ma foy d’vne amoureuſe peine.	Ces perfides voit-on altérez de sa vie, Qui tiennent l'innocente en proie de tyrannie, Ô cruels pourquoi donc emmène (vous ma sœur, En la chargeant ainsi de telle pesanteur, Je ne la veux quitter, et cette seule chaîne, Servira sur ma foi d'une amoureuse peine.
ALICHRISTE ſe iettant ſur Reine.	ÀLICHRISTE se jetant sur Reine.
Helus cher enfançon!	Hélus cher enfançon!
helas que de rigueur, Que ton fardeau peſant me trauerſe le cœur:	hélas que de rigueur, Que ton fardeau pesant me traverse le cœur:
LaiſſeZ donc inhumains ma moitié la plus chere, Ou bien bourreaux cruels oſtez-moy la lumieres,	Laissez donc inhumains ma moitié la plus chère, Ou bien bourreaux cruels ôtés-moi la lumières,
HEROS.	HÉROS.
Vous alleZ receuoir vn coup d’auidité, E Mee qui porte griou pralllane,	Vous allez recevoir un coup d'avidité, E Me qui porte griou pralllane,
ALICHRISTE.	ÀLICHRISTE.
Percez-nous de vos lames, ô rigoureux Miniſtres, Et rendeZ ſur nos corps vos obſtacles ſiniſtres:	Percez-nous de vos lames, ô rigoureux Ministres, Et rendez sur nos corps vos obstacles sinistres:
Courir à l’Occident de ſon triſte appareil.	Courir à l'Occident de son triste appareil.
pain tout, ie me meurs, ie voy monttun Soleil, Ah Dieu!	pain tout, Seigneur me meurs, ie vois montun Soleil, Ah Dieu!
THEOPHILE.	THÉOPHILE.
Retirez-vous.	Retirez-vous.
ALICRHISTE.	ÀLICRHISTE.
Eſt-elle priſonniere Seule?	Est-elle prisonnière Seule?
non ie la ſuy, malgré voſtre colere.	non ici la suiv, malgré votre colère.
Helas!	Hélas!
THEOPHILE.	THÉOPHILE.
Garde les coups, & crains d’en receuoir.	Garde les coups, et crains d'en recevoir.
ALGERIDE.	ÀLGERIDE.
Auriez-vous bien le cœur d’vn ſi laſche vouloir,	Auriez-vous bien le cœur d'Hommes si lâche vouloir,
AETEHRTOIE.	AETEHRTOIE.
Ah Dieu!	Ah Dieu!
ah Dieu!	ah Dieu!
ie meurs, Algeride ma mie, En me priuant de Reine, on me priue de vie.	Ce meurs, Algeride ma mie, En me privant de Reine, on me prive de vie.
THEOPHILE.	THÉOPHILE.
Veux-tu eſtre complice & te mettre en danger.	Veux-tu être complice et te mettre en danger.
Femme retire-toy.	Femme retire-toi.
ALICHRISTE.	ÀLICHRISTE.
Qe te cuije ce fer?	Que te cuije ce fer?
Et me terraſſe icy pluſtoſt que vos Idoles, Ie confeſſe pour Dieu de cœur ny de parole, Ie veux ſuiure ma fille & en ſçauoir la fin,	Et me terrasse ici plutôt que vos Idoles, Je confesse pour Dieu de cœur ici de parole, Je veux suivre ma fille et en savoir la fin,
THEOPHILE.	THÉOPHILE.
Tu ne la verras plus ny ſoir ny au matin, Les heures de ſes iours s’en vont bien-toſt ſonnées, Par des coups aſſeurez deſſus ſa deſtinée.	Tu ne la verras plus ni soir ici au matin, Les heures de ses jours s'en vont bientôt sonnées, Par des coups assurés dessus sa destinée.
Nous voicy au deſſus de ce penible mont, Où le nom de Chreſtien n’aura iamvis pardon.	Nous voici au dessus de ce pénible mont, Où le nom de Chrétien n'aura jamis pardon.
REINE à l’entrée de la priſon.	REINE à l'entrée de la prison.
Lieu que i’ay tant de fois deſiré par mon ame, Où ie verray reluire vne diuine flamme, Iransperģans des les Cieux ces planchers ouſcures, Iuſqu'a ſon fammit lo rendant ceruircy.	Lieu que j'ai tant de fois désiré par mon âme, Où tu verrai reluire une divine flamme, Iransperģans des les Cieux ces planchers ouscures, Jusqua son fammit lo rendant cervirci.
ALICHRISTE.	ÀLICHRISTE.
Ie ne te quitte point vray ſoleil de ma vie, Et ne veux-ie euiter la meſme tyrannie.	Je ne te quitte point vrai soleil de ma vie, Et ne veux-je éviter la même tyrannie.
ALGERIDE.	ÀLGERIDE.
Aan quele cruaute!	Aan quele cruauté!
ah puiſſance des Cieux?	ah puissance des Cieux?
Juſques à quand finiront ces trauaux rigoureux.	Jusqu' à quand finiront ces travaux rigoureux.
Cœurs des nouueaux Chreſtiens.	Cœurs des nouveaux Chrétiens.
PHIIISMON Noble Citoyen, ORANCE ſa Femme;	PHIIISMON Noble Citoyen, ORANCE sa Femme;
TARSILIE leur Fille.	TARSILIE leur Fille.
PHILISMON.	PHILISMON.
C’eſt vne foy tres-veritable, La conſtance y eſt admirable, Apres ces ſignes reconnus, Fraymant ce Dieu puiſſant, ce Pere des vertus, T'onne à Reine aſſeZ de force, Elle veut bien ſouffrir les priſons & les fers, Beiſſée deſſous tant de diuorce, Réconnoiſſant vn Dieu ſeul ſur tout l'Uniuers.	C'est assez foi très-véritable, La constance y est admirable, Après ces signes reconnus, Fraimant ce Dieu puissant, ce Père des vertus, T'onne à Reine assez de force, Elle veut bien souffrir les prisons et les fers, Beissée dessous tant de divorce, Réconnoissant un Dieu seul sur tout l'Univers.
Je me rend auſſi à la ſuiure, Sans plus douter mourir où viure, Et meſleuer à cêt honneur, Beniſſons à iamais, beniſſons ce Seigneur.	Je me rend aussi à la suivre, Sans plus douter mourir où vivre, Et mesleuer à cet honneur, Bénissons à jamais, bénissons ce Seigneur.
Oublians tous ces idolatres, Ils ſont materiels & prétis des humains, Sans rien craindre il faut les abbattre, Puis qu'un Dieu mort en Croix fait des ſignes ſi ſaincts ORANCE.	Oubliant tous ces idolâtres, Ils sont matériels et prétis des humains, Sans rien craindre il faut les abattre, Puis qu'un Dieu mort en Croix fait des signes si saints ORANCE.
Mon Espoux ſa Doctrine eſt ſaincte, Ayant veu Reine d'vn fer ceinte, Rien ne me touche de phiir projri Ie veux courir à elle:	Mon Espoux sa Doctrine est sainte, Ayant vu Reine d'Un fer ceinte, Rien ne me touche de phiir projri Je veux courir à elle:
& par des termos exprés, En confeſſer Dieu à voix claire, Renis le iour cent fois que cette Deité Renuerſe icy ſon luminaire, 2 8	et par des termos exprès, En confesser Dieu à voix claire, Renis le jour cent fois que cette De Renuerse ici son luminaire, 2 8
Ie veux auſſi mourir pour cette verité.	Je veux aussi mourir pour cette vérité.
Sans plus tarder ie cherche Reine, En deſirant auſſi ſa peine, Bourreaux qui ſoient & ſans pitté, Oublians ſa grandeur de Noble & d’amitié, Ie me iette en ſes maux ſans craindre:	Sans plus tarder votre cherche Reine, En désirant aussi sa peine, Bourreaux qui soient et sans pitté, Oubliants sa grandeur de Noble et d'amitié, Je me jette en ses maux sans craindre:
S'en eſt fait, ie me ſens embrazée de tels feux, L’amour Diuin me vient d’atteindre, Reſſentant bien ces coups tout à fait glorieux.	S'en est fait, je me sens embrasée de tels feux, L'amour Divin me vient d'atteindre, Ressentant bien ces coups tout à fait glorieux.
TARSILIE.	TARSILIE.
Auec vous parens honorables, Nos trois cœurs ſont inſeparables, Nous ſommes éclairez d’vne Foy, Et Ieſus Createur du monde, Faſſe par ſa grace feconde, Luire deſſus nos fronts la marque de ſa loy, Esperans la vie eternelle, Voyons cette fille ſi belle, Reine mal-traitée en priſon, Iamais, dit-on, jon cœur n'y tnange, Auono oujo ummleu loüange, Touſiours & ſans repos est en deuotion,	Avec vous parents honorables, Nos trois cœurs sont inséparables, Nous sommes éclairez d'une Foy, Et Jésus Créateur du monde, Fasse par sa grâce féonde, Luire dessus nos fronts la marque de sa loi, Espérants la vie éternelle, Voyons cette fille si belle, Reine maltraitée en prison, Jour, dit-on, jon cœur n'y tnange, Auono oujo ummleu Touange, Toujours et sans repos est en dévotion,
ACIE V SCENE NA EaTEReIs.	ACIE V CÈNE NA EaTEReIs.
CLEMENT, ASTHERE, PROTINE, AMELIN, REINE ſortie des priſons de Flaue, & conduite au Chaſteau de Grignon par les Gardes, & Theophile	CLEMENT, ASTHÉRE, PROTINE, AMELIN, REINE sortie des prisons de Flave, et conduite au Château de Grignon par les Gardes, et Théophile
& les Heros des Gardes.	et les Héros des Gardes.
CLEMENT.	CLEMENT.
E ſuis-ie pas contraint de me confondre en larmes, NND'vne iuſte fureur m'enfillant en mes armes, Cherchant vn precipice & m'èlancer au fond, Auant qu’Olibrius me faſſe aucun affront.	E suis-je pas contraint de me confondre en larmes, NND'une juste fureur m'enfillant en mes armes, Cherchant un précipice et m'élancer au fond, Avant qu'Olibrius me fasse aucun affront.
Ma noble qualité ſe ſentira vaincuë, Voyant ce grand Guerrier en ſeconde venuë:	Ma noble qualité se sentira vaincue, Voyant ce grand Guerrier en seconde venue:
Car ie ſens mes eſprits oppreſſez de remords, Me voulant renuerſer au partage des morts, Adieu donc libertè i’ouure ma ſepulture, Ie dois eſtre oublié des fils de la Nature.	Car ie sens mes esprits oppressez de remords, Me voulant renverser au partage des morts, Adieu donc liberté j'ouvre ma sépulture, Je dois être oublié des fils de la Nature.
Grands Dieux qu’en iugez-vous, ay-ie offencé vos loix:	Grands Dieux qu'en jugez-vous, ai-je offensé vos lois:
Et que de ce tranchant ie meure mille fois, Reconnoiſſant ma fille enuers vous ſi maudite, Mais ny conſentant point, pluſtoſt la mort ſubite, A vos yeux frere & ſœur fuſſe-ie le bourreau, IugeZ la que ie l’aye en cens mille morceaux:	Et que de ce tranchant ici meure mille fois, Reconnaissant ma fille envers vous si maudite, Mais Seigneur consentant point, plutôt la mort subite, À vos yeux frère et sœur fusse-je le bourreau, Jugez la queprendre l'aie en cens mille morceaux:
Nos grands Dieux tutelaires aggréeront que ces peines, Beniſſent par mes mains leurs bonteZ ſouueraines:	Nos grands Dieux tutélaires aggréeront que ces peines, Bénissent par mes mains leurs bontés souueraines:
Oix eſt-elle maintenant, & ſçauray-ie en quel lieu, Y planter ce couſteau en dépit de ſon Dieu:	Oix est-elle maintenant, et saurai-je en quel lieu, Y planter ce couteau en dépit de son Dieu:
Eſt-elle loin d’icy retenuë priſonniere, Retardant ie met trop d’eſteindre ſa lumiere.	Est-elle loin d'ici retenue prisonnière, Retardant ici met trop d'éteindre sa lumière.
Purtex osfte e jaoom y que tus mont pur fon ſang, Me rougiſſe les bras és remords que ie ſens.	Purtex ôte e jaoom y que tus mont pur on sang, Me rougisse les bras ès remords que sans sens.
ASTHERE.	ASTHÉRE.
Ie vous le fais ſçauoir, c’eſt au chaſteau de Flaue.	Je vous le fais sçauoir, c'est au château de Flave.
CLEMENT.	CLEMENT.
Qu'on la tire de là, & qu'on la traiſne eſclaue, Juſques au Fort de Grignon telle eſt ma volonté, A Flaue le Chreſtien parte trop Pafpronte, Au pluſtoſt, au pluſtoſt, ſus Page diligence, Quelle ſoit tost chaſtiée aux yeux de ma puiſſance, Et ſans autre retard, viste nous attendrons, Qu'elle arrine à la fin où nous la deſorons.	Qu'on la tire de là, et qu'on la traîne esclave, Jusques au Fort de Grignon telle est ma volonté, À Flave le Chrétien parte trop Pafpronte, Au plutôt, au plustost, sus Page diligence, Quelle soit tôt châtiée aux yeux de ma puissance, Et sans autre retard, vite nous attendrons, Qu'elle arrine à la fin où nous la désorons.
AMELIN.	AMELIN.
muyj gviguentgoit tuſe juies viy empeopertey na peine.	muij guiguentgait tuse juies vii empéopertey na peine.
CLEMENT.	CLEMENT.
C’est la raiſon d’vſer d’vne nouuelle gehenne, L’ayant touſiours connuë inflexible à nos voix, Adorant ce Dieu Chriſt qu'elle dit Roy des Rois t Vous plairez-vous grands Dieux à deliurer mon ame, Du plus rude combat de rage qui l'enflamme, Et m’enſeueliſſez au plus profond des eaux, Bellonne m’enfonçant n’importe en quel tombeau, Rigoureux immortels qui prolongeZ ma vie, IugeZ quel eſt mon tort, s’il faut que ie le die?	C'est la raison d'user d'une nouvelle géhenne, L'ayant toujours connue inflexible à nos voix, Adorant ce Dieu Christ qu'elle dit Roi des Rois Vous plairez-vous grands Dieux à délivrer mon âme, Du plus rude combat de rage qui l'enflamme, Et m'enseuelissez au plus profond des eaux, Bellonne m'enfonçant n'importe en quel tombeau, Rigoureux immortels qui prolongeZ ma vie, IugeZ quel est mon tort, s'il faut que ie le die?
