A LA REYNE ANNE DAVSTRICHE	À LA REINE ANNE DAUSTRICHE
ce n’eſt pas mon enuie De rachetter mon ſceptre aux depends de ta vie:	ce n'est pas mon envie De racheter mon sceptre aux dépends de ta vie:
Quoy que ſouffre ce corps accablé de liens, I'ayme encore tes iours beaucoup plus que les miens, Laiſſe moy donc mourir ma fille, & conſidere Qu'außi bien t’immolant pour conſeruer ton pere Tu ne conſeruerois qu’vn ſepulcre mouuant, Vne mort animée, vn ſquelette viuant, Ie ſens deſia ſur moy les rigueurs de la Parque.	Quoi que souffre ce corps accablé de liens, J'aime encore tes jours beaucoup plus que les miens, Laisse moi donc mourir ma fille, et considère Qu'avez bien t'immolant pour conserver ton père Tu ne conserverais qu'un sépulcre mouvant, mort animée, un sainte vivant, Je sens déjà sur moi les rigueurs de la Parque.
Pour paſſer l'Archeron i’ayte pled dans ta varque, Et puiſque ie ſuis preſt de deſcendre aux Enfers.	Pour passer l'Archeron j'aite pled dans ta varque, Et puisque sans suis prêt de descendre aux Enfers.
Qu'importe de partir du throſne ou de mes fers.	Qu'importe de partir du trône ou de mes fers.
CLARIMONDE.	CLARIMONDE.
Helas que dittes vous, ce penſer eſt coupable, De tant d’impieté ie ne ſuis point capable, Dans cette opinion voſtre eſprit s’eſt deceu:	Hélas que dites -vous, ce penser est coupable, De tant d'impiété entre ne suis point capable, Dans cette opinion votre esprit s'est déçu:
Non non ie vous rendray le bien que i’ay receu, Mais l’eſtrange combat que ie ſens dans mon ame, Deuoir, Nature, honneur, foy ſeruices & flame, Reſpect, Amour, ô Dieux!	Non non ie vous rendrai le bien que j'ai reçu, Mais l'étrange combat que ie sens dans mon âme, Deuoir, Nature, honneur, foi services et flamme, Respect, Amour, ô Dieux!
ALCANDRE.	ÀLCANDRE.
Ah ne conteſtez plus.	Ah ne contestez plus.
Voſtre cœur fait pour moy des efforts ſuperflus, C'eſt trop deliberé, c’eſt trop de reſiſtence, La nature s’en plaint, le deuoir s'enoffenſe, Et c’eſt à mon aduis peſer trop longuement Le merite d’vn pere & celuy d'vn Amant.	Votre cœur fait pour moi des efforts superflus, C'est trop délibéré, c'est trop de résistence, La nature s'en plaint, le devoir s'enoffense, Et c'est à mon avis pères trop longuement Le mérite d'un père et celui d'un Amant.
Cedez à la pitié, ce vieillard vous implore, Les traces de ſes pleurs qui paroißsent encore, Paienuijeours muet femotem obus coniurer, De haſter le ſecours qu’il a droit d'eſperer, Prononcez donc Madame, vn arreſt equitable, Preferez voſtre gloire aux ſoings d'vn miſerable, Qui dans le precipice où le ſort l’a ietté, Eſt puny iuſtement de ſa temerité.	Cédez à la pitié, ce vieillard vous implore, Les traces de ses pleurs qui paraissent encore, Paienuijeours muet femtema jus conjurer, De hâter le secours qu'il a droit d'espérer, Prononcez donc Madame, un arrêt équitable, Preferez votre gloire aux soings d'un misérable, Qui dans le précipice où le sort l'a jeté, Est puni justement de sa témérité.
CLARIMONDE.	CLARIMONDE.
Ton courage me plaiſt, mais ce conſeil me tuë, Et malgré les reſpects dont ie ſuis combattué̈, Dans l'excés de ma flame, & de mon deſeſpoir, Ie ſuis preſte a trahir le ſang & le deuoir.	Ton courage me plaît, mais ce conseil me tue, Et malgré les respects dont toute ma combattué, Dans l'excès de ma flamme, et de mon désespoir, Je suis prête a trahir le sang et le devoir.
ALCANDRE Ahne le faittes pas, genereuſe Princeſſe, Vn ſceptre mous attend & Solimont vous preſſe De ioindre a ſes ſouſpirs les charmes de vos yeux, Pour luyrendre le troſne ou regnoient ſes Ayeulx.	ÀLCANDRE Ahne le faites pas, généreuse Princesse, Un sceptre mous attend et Solimont vous presse De joindre à ses soupirs les charmes de vos yeux, Pour luyrendre le trône ou régnaient ses Ayeulx.
Vous tenez trop long-temps ſon eſprit en balance, Quoy qu'exigent de voust Amoures la conſtance Il n’eſt rien ſi preſſant que de le ſecourir.	Vous tenez trop longtemps son esprit en balance, Quoi qu'exigent de vous Amoures la constance Il n'est rien si pressant que de le secourir.
Ie ne merite pas,	Je ne mérite pas,
CLARIMONDE l'intertompant Dh tu me fais mourir!	CLARIMONDE l'intertompant Dh tu me fais mourir!
Dures extremitez, neceßité cruelle, De me noircir du nom d’impie, ou d’infidelle.	Dures extrémités, necessité cruelle, De me noircir du nom d'impie, ou d'infidèle.
Aibiemte euſmuuu mnes piuiſirs & ma ſoy, Lydiane?	Aibiemte eusmu moines pivisirs et ma soi, Lydiane?
mais non.	mais non.
LYDIANE.	LYDIANE.
Que voulez vous de moy?	Que voulez -vous de moi?
CLARIMONDE.	CLARIMONDE.
Rien, toutefois approche, en vain ie le differe, Mon honneur s’intereſſe au ſalut de mon pere,	Rien, toutefois approche, en vain ie le diffère, Mon honneur s'intéresse au salut de mon père,
L iij Va trouuer atimu Sant	 Lij Va trouver atimu Sant
LYDIANE.	LYDIANE.
Pour luy dire?	Pour notre dire?
CLARIMONDE Bons Dieux!	CLARIMONDE Bons Dieux!
Faut il que ie m’explique autrement que des yeux?	Faut -il que Seigneur m'explique autrement que des yeux?
& pouuea qu'i nom rende e ta paix & l Emire, Mon ame eſt diſpoſée à tout ce qu’il deſire	et pouvea qu'y nom rende e a paix et Emire, L' âme est disposée à tout ce qu'il désire
OLIMONT O fauorable Arreſt, croy ma fille qu’vn iour Le Ciel recognoiſtra cette marque d’amour, *ſont Adieu i’oſe eſperer que ton obeiſſance, Auant qu’il ſoit long-temps aura ſa recompenſe.	ÔLIMONT Ô favorable Arrêt, crois ma fille qu'un jour Le Ciel reconnaîtra cette marque d'amour, *sont Adieu j'ose espérer que ton obéissance, Avant qu'il soit longtemps aura sa récompense.
CLARIMONDE.	CLARIMONDE.
Et bien es-tu content?	Et bien es-tu content?
ALCANDRE.	ÀLCANDRE.
Ouy ſi vous permettez Qu’au milieu de la pompe & des proſperitez, Et parmy les grandeurs ou vous deuez pretendre, Voſtre ca ur pouſſe encore vn ſouſpir pour Alcandre.	Oui si vous permettez Qu'au milieu de la pompe et des prospérité, Et parmi les grandeurs ou vous devez prétendre, Votre ca ur pousse encore un soupir pour Alcandre.
CLARIMONDE, L Mie mois queie dois.	CLARIMONDE, L Ie mois que dois.
ALCANDRE.	ÀLCANDRE.
C'eſt le plus que ie veux, Ce foible ſouuenir me rendra trop heureux, Iuſqu’ace que l’ennuy de perdre Clarimonde, M’ait priué d’vne vie en mal heurs ſi feconde.	C'est le plus que Dieu veux, Ce faible souvenir me rendra trop heureux, Jusqu'ace que l'ennui de perdre Clarimonde, M'ait privé d'une vie en mal heurs si féconde.
CLARIMONDE.	CLARIMONDE.
Ne haſte point ce temps, Adieu, conſôle toy, Et ne m'accuſe pas de te manquer de foy:	Ne hâte point ce temps, Adieu, consôle toi, Et ne m'accuse pas de te manquer de foi:
Tuſçais que i'obcys.	Tusçais que j'obcis.
ALCANDRE.	ÀLCANDRE.
Vout n’auez rien à craindre Quand il faudra mourir, ie mourray ſans me plaindre.	Vout n'avez rien à craindre Quand il faudra mourir, tu mourrai sans me plaindre.
ASTE SCENE PREMIERE ALMAZAN, SOLIMONT.	ASTE SCÈNE PREMIÈRE ALMAZAN, SOLIMONT.
ALMAZAN.	ÀLMAZAN.
E renouuellons plus ce ſaſcheux ſouuenir Cherchons d’autres ſuiets a nous entretenir.	E renouvelons plus ce sâcheux souvenir Cherchons d'autres sujets à nous entretenir.
Qu'außi bien Solimont m’accuſe ou me ſoupçonne D’auoir ſans fondement vſurpé ſa couronne, S’il veut de ſes mal heurs la cauſe diuertir, Il doit eſtre content de voir mon repentir.	Qu'avez bien Solimont m'accuse ou me soupçonne D'avoir sans fondement usurpé sa couronne, S'il veut de ses mal heurs la cause divertir, Il doit être content de voir mon repentir.
Ie ſuis preſt de luy rendre & ſon ſceptre, & ſa gloire Preſents que i’ayreceus des mains de la victoire, Et de iurer icy, mais ſolemnellement, Vne paix dont le cours dure eternellement.	Je suis prêt de luimmes et son sceptre, et sa gloire Présents que j'ayreceus des mains de la victoire, Et de jurer ici, mais solennellement, Une paix dont le cours dure éternellement.
Puiſque cette Beauté qui vous doit ſa naiſſance Veut bien de mes exploits eſtre larecompenſe, C’eſt le prix que ie cherche, & ſa poſſeßion Peut aſſouuir ma flame & mon ambition.	Puisque cette Beauté qui vous doit sa naissance Veut bien de mes exploits être lacompense, C'est le prix que assez cherche, et sa possemion Peut assouvir ma flamme et mon ambition.
SOLIMONT.	SOLIMONT.
SOLIMONT.	SOLIMONT.
Clarimonde euſt paru doublement criminelle, De meſpriſer l’ardeur dont vous bruſlez pour elle, Et ie ſuis trop heureux de voir que ſa vertu, Releue la ſpendeur de mon throſne abbatu:	Clarimonde eût paru doublement criminelle, De mépriser l'ardeur dont vous brûlez pour elle, Et tu suis trop heureux de voir que sa vertu, Releue la spendeur de mon trône abattu:
A vos contentements toutes choſes ſont preſtes, Ie cede avos deſirs ainſi qu’a vos conqueſtes, Et ſais preſt comme vous de iurer vne paix, Que la ſuitte des temps n'interrompe iamais.	À vos contentements toutes choses sont prêtes, Je cède avos désirs ainsi qu'a vos conquêtes, Et sais prêt comme vous de jurer une paix, Que la suitte des temps n'interrompe jamais.
ALMAZAN.	ÀLMAZAN.
Ne differons donc plus ce merueilleux ouurage, Eſtouſſons uans touvty tinfotentt & l’outrage, Pardonnons toute choſe, & faiſons à ce iour mono nujne momeue um immortelle amour.	Ne différons donc plus ce merveilleux ouvrage, Étoussons ouvant touvti tinfotent et l'outrage, Pardonnons toute chose, et faisons à ce jour mon nujune momeue um immortelle amour.
I'atteſte de mes Dieux la puiſſance ſupreme.	J'atteste de mes Dieux la puissance suprême.
SOLIMONT.	SOLIMONT.
I'appelle tous les miens & les iure de meſme.	J'appelle tous les miens et les jure de même.
ALMAZAN Que de ma volonté,	ÀLMAZAN Que de ma volonté,
SOLIMONT.	SOLIMONT.
Nyde la mienne außi.	Nyde la mienne aussi.
M	M
ALMAZAN.	ÀLMAZAN.
Cet accord ne rompra.	Cet accord ne rompra.
SOLIMONE.	SOLIMONE.
Le Ciel le vueille ainſi.	Le Ciel le veuille ainsi.
ALMAZAN.	ÀLMAZAN.
Argiran prends le ſoingd’enchaiſner les furies, Va faire en ſes Eſtats ceſſer nos barbaries, Puiſque de tant de maux dont ce peuple eſt attaint Le ſujet importun eſt à iamais eſteint.	Argiran prends le soingd'enchaîner les furies, Va faire en ses États cesser nos barbaries, Puisque de tant de maux dont ce peuple est attaint Le sujet importun est à jamais éteint.
ARGIRAN.	ARGIRAN.
C’eſt trop recompenſer mes ſeruices fidelles, Que me rendre porteur de ſi bonnes nouuelles.	C'est trop récompenser mes services fidèles, Que me rendre porteur de si bonnes nouvelles.
ALMAZAN.	ÀLMAZAN.
Tu partiras demain.	Tu partiras demain.
ARGIRAN.	ARGIRAN.
S’il vous plaiſt dés ce ſoir.	S'il vous plaît dès ce soir.
ALMAZAN.	ÀLMAZAN.
Souuiens toy d’adiouſter à ce premier deuoir Le ſoin de publier ſur la terre & ſur l’onde, Le coup que i’ay receu decyeux de Clarimonde.	Souviens toi d'ajouter à ce premier devoir Le soin de publier sur la terre et sur l'onde, Le coup que j'ai reçu de de Clarimonde.
Dy que ma patience a vaincu ſon courroux, Et qu’enfin de Tyran ie deuiens ſon eſpoux, Va mettre a ton deſpart les ordres neceſſaires.	Dis que ma patience a vaincu son courroux, Et qu'enfin de Tyran apprendre deviens son époux, Va mettre a ton départ les ordres nécessaires.
Mais ie les voy briller ces puiſſants aduerſaires:	Mais ici les vois briller ces puissants adversaires:
Ces beaux yeux dont l’eſclat rayõnant de ſplendeur, Confond la modeſtie auecques la grandeur, Ils viennent s’eſiiouyr d'autu vuije vos chaiſnes.	Ces beaux yeux dont l'éclat raïonnant de splendeur, Confond la modestie avec la grandeur, Ils viennent s'esiiouyr d'autu vuije vos chaînes.
DOLEE II SOLIMONT, CLARIMONDE, LYDIANE, ALMAZAN.	DOLE II SOLIMONT, CLARIMONDE, LYDIANE, ALMAZAN.
SOLIMONT.	SOLIMONT.
Ous voicy Clarimonde à la fin de nos peynes, IVEt ton obeiſſance à mes iuſtes deſirs, Nvoms ou tombier tous atux ut giotre & de plaiſirs;	Ous voici Clarimonde à la fin de nos peines, IUEt ton obéissance à mes justes désirs, Névoms ou tombier tous atux ut giotre et de plaisirs;
Reprends ta gayeté, fay montre de tes charmes, Laiſſe enfin eſpuiſer la ſource de tes larmes, Et voyant ton bon-heur & mon contentement, Admire la bonté d’vn vainqueur ſi clement.	Reprends ta gaieté, fais montre de tes charmes, Laisse enfin épuiser la source de tes larmes, Et voyant ton bonheur et mon contentement, Admire la bonté d'un vainqueur si clément.
CLARIMONDE.	CLARIMONDE.
Dans le bien de vous voir hors de la ſeruitude, Ie ſçay que ie ne puis ſans trop d ingratitude, Ne benir pas la main par qui le ie ſte ſort	Dans le bien de vous voir hors de la servitude, Je sais que tu ne puis sans trop d ingratitude, Ne bénir pas la main par qui le re site sort
M.	M.
i Vous porte du naufrage aux delices du port.	y Vous porte du naufrage aux délices du port.
Mais certes ie le dis, & ſans doute à ma honte, Si de vos intereſts ie tenois moins de conte, La gloire & le bon-heur dont vous flattez mes ſens, Auroient pour me toucher des charmes impuiſſants, C’eſt pour vous ſeulement que ie les conſidere, En vous te les cheris, & ſi i’eſtois ſans pere, Ie rirois des deſſeins que l’on a reſolus, Et viurois innocente ou ie ne viurois plus.	Mais certes esprit le dis, et sans doute à ma honte, Si de vos intérêts était tenais moins de conte, La gloire et le bonheur dont vous flattez mes sens, Auraient pour me toucher des charmes impuissants, C'est pour vous seulement que ie les considère, En vous te les chéris, et si j'étais sans père, Je rirais des desseins que l'on a résolus, Et vivrais innocente ou beau ne vivrais plus.
ALMAZAN.	ÀLMAZAN.
Qu'elt cecy ma Princeſſe & d’ouvient ce nuage Dont la ſombre vapeur couure ce beauviſage?	Qu'ellet ceci ma Princesse et d'ouvient ce nuage Dont la sombre vapeur couvre ce beauvisage?
Quel ora ge nouueau trouble mal à propos Le calme de ma ioye & de voſtre repos?	Quel ora ge nouveau trouble mal à propos Le calme de ma joie et de votre repos?
D’où vient que ces beaux yeux veulent parmy les larmes Eſteindre la puiſſance & le feu de leurs charmes?	D'où vient que ces beaux yeux veulent parmi les larmes Éteindre la puissance et le feu de leurs charmes?
Ah c’eſt trop ſouſpiré, commencez à iuger, Qu'il n'eſt rien auiourd’huy qui vous doiue affliger;	Ah c'est trop soupiré, commencez à juger, Qu'il n'est rien aujourd'hui qui vous doive affliger;
Vous n'entendrez iamais l’effroyable tonnerre, Dont nos bras ſe ſeruoient dans l’horreur de la guerre, Puiſque par des ſerments qui ne ſont point ſuſpects, Nous auons fait vn vœu d’alliance & de paix:	Vous n'entendrez jamais l'effroyable tonnerre, Dont nos bras se servaient dans l'horreur de la guerre, Puisque par des serments qui ne sont point suspects, Nous avons fait un vœu d'alliance et de paix:
Chaſſez donc ce regret dõt vous ſemblez attainte, Et faiſant ſucceder l’eſperance a la crainte, Preparez vous Madame, a vous voir couronner Des tiltres les plus beaux qu’vn Roy puiſſe donner	Chassez donc ce regret dont vous semblez attainte, Et faisant succéder l'espérance a la crainte, Préparez vous Madame, à vous voir couronner Des tiltres les plus beaux qu'un Roi puisse donner
CLARIMONDE.	CLARIMONDE.
Ces tiltres eſclattants, ces qualitez pompeuſes Ne ſont qu'vne chimere aux ames genereujes, Et qu’vn fantoſme vain dont l’eſclat ſuborneur N'a iamais pu donner vn ſolide bon-heur.	Ces titres éclatants, ces qualités pompeuses Ne sont qu'une chimère aux âmes généreujes, Et qu'un fantôme vain dont l'éclat suborneur N'a jamais pu donner un solide bonheur.
Ah!	Ah!
s il m'eſtoit permis d'expliquer ma penſee, Ie dirois que l’ennuy dont ie me ſens preſſee Demande pour guerir des remedes meilleurs.	s il m'était permis d'expliquer ma pensée, Je dirais que l'ennui dont quelque sens pressée Demande pour guérir des remèdes meilleurs.
ALMAZAN.	ÀLMAZAN.
S’ils dependent de moy n'en cherchez, point ailleurs, Pourueu que mon amour ne ſouffre point d’iniure, I'atteste en ce moment les Dieux & la nature, De ne rien eſpargner pour voſtre gueriſon.	S'ils dépendent de moi n'en cherchez, point ailleurs, Pourvu que mon amour ne souffre point d'injure, J'atteste en ce moment les Dieux et la nature, De ne rien épargner pour votre guérison.
CLARIMONDE.	CLARIMONDE.
S’il eſt vray, retirez Alcandre de priſon:	S'il est vrai, retirez Alcandre de prison:
Quoy qu’on ait allegué contre ſon innocencé, Il n’a d’aucun forfait ſoüillé ſa conſcience, Il n’a iamais trahyſon Roy ny ſon deuoir, Et quand on l’a ſurpris il venoit de me voir.	Quo qu’on ait allégué contre son innocencé, Il n'a d'aucun forfait souillé sa conscience, Il n'a jamais trahison Roi Seigneur son devoir, Et quand on l'a surpris il venait de me voir.
S’il perd pour ce ſuiect l’honneur de voſtre eſtime.	S'il perd pour ce sujet l'honneur de votre estime.
M iij Il faut que ſa vertu ſoit priſe pour vn crime, Puiſque ſon reſpect ſeul, & mon commandement Ont fait noſtre entreueuë, & ſon deſguiſement.	M Mij Il faut que sa vertu soit prise pour un crime, Puisque son respect seul, et mon commandement Ont fait notre entrevue, et son déguisement.
Grand Roy, ne ſouffrez pas ſi ie luy doibs la vie, Que pour me trop aymer la ſienne ſoit rauie, C’eſt le moindre deuoir ou m'engage ſa foy, Que de faire pour luy ce qu’il a fait pour moy:	Grand Roi, ne souffrez pas si tu lui dois la vie, Que pour me trop aimer la sienne soit ravie, C'est le moindre devoir ou m'engage sa foi, Que de faire pour lui ce qu'il a fait pour moi:
Soyez en fin ſenſible au remords qui vous pique, Rendez, rendez l’honneur a cette ame heroique, Et ſi vous le priuez du fruit de ſon amour, Laiſſez luy pour le moins l’innocence & le iour.	Soyez en fin sensible au remords qui vous pique, Rendez, rendez l'honneur à cette âme héroïque, Et si vous le privez du fruit de son amour, Laissez lui pour le moins l'innocence et le jour.
Quoy que pour vous toucher ce ſoient de foibles armes, I’appelle à ſon ſecours mes ſouſpirs & mes larmes.	Quoi que pour vous toucher ce soient de faibles armes, J'appelle à son secours mes soupirs et mes larmes.
Pardonnez,	Pardonnez,
ALMAZAN.	ÀLMAZAN.
Clarimonde helas que faites vous?	Clarimonde hélas que faites -vous?
CLARIMONDE.	CLARIMONDE.
Grand Prince ie preſente Alcandre à vos genoux.	Grand Prince Prince présente Alcandre à vos genoux.
Celle qui vous implore eſt en luy transformée, Et cette foible voix par la ſienne animee, Oſe vous conturer de finir ſon ual’heur Par le reſſouuenir qu’on doit à ſa valeur:	Celle qui vous implore est en même transformée, Et cette faible voix par la sienne animée, Ose vous conturer de finir son ual’heur Par le ressouuenir on doit sa valeur:
Armez voſtre bonté contre ſoninfortune, C’eſt la ſeule faueur dont ie vous importune, Si voſtre Majeſté peut m’accorder ce poinct, Toſtats, lilomphes, le ne remtépoint.	Armez votre bonté contre soninfortune, C'est la seule faveur dont personne vous importune, Si votre Majesté peut m'accorder ce point, Tôtats, lilomphes, le ne remtépoint.
ALMAZAN.	ÀLMAZAN.
Madame, c’eſt aſſez, quand il ſeroit coupable Des crimes les plus noirs dont l’Enfer eſt capable, Et quand i’aurois cent fois reſolu ſon treſpas, Les pleurs que vous verſez deſarmeroiẽt mon bras.	Madame, c'est assez, quand il serait coupable Des crimes les plus noirs dont l'Enfer est capable, Et quand j'aurais cent fois résolu son trépas, Les pleurs que vous versez désarmeraient mon bras.
Ne vous affligez plus, ie cede a voſtre enuie, Auec ſa liberté ie vous donne ſa vie, Et bien loing de ſonger à le vouloir punir, Quelque mal qu’il ait fait i’enperds le ſouuenir.	Ne vous affligez plus, ie cède a votre envie, Avec sa liberté je vous donne sa vie, Et bien loin de songer à le vouloir punir, Quelque mal qu'il ait fait j'enperds le souvenir.
Mais ſans nous amuſer à des diſcours friuoles, Il faut que les effects ſuccedent aux parolles, Ie vay vous l'enuoyer, cependant permettez Que ie haſte le temps de mes proſperitez, Et que de vos rigueurs ayant eu la victoire Cette prochaine nuict ſoit le iour de ma gloire.	Mais sans nous amuser à des discours frivoles, Il faut que les effets succèdent aux paroles, Je vais vous l'envoyer, cependant permettez Que avoir hâte le temps de mes prospérité, Et que de vos rigueurs ayant eu la victoire Cette prochaine nuit soit le jour de ma gloire.
CLARIMONDE.	CLARIMONDE.
Déplorable moment fatale obſcurité, Abyſme ou mon bon-heur ſera précipité, Que ne m’est-il permis au lieu d’eſtre infidelle, De préuenir ta nuict d’vne nuict eternelle?	Déplorable moment fatale obscurité, Abîme ou mon bonheur sera précipité, Que ne m'est-il permis au lieu d'être infidèle, De prévenir ta nuit d'une nuit éternelle?
Mais qui peut l’empeſcher ?	Mais qui peut l'empêcher ?
est-il rien d’aſſez fort Pour deſtourner mes pas du chemin de la mort?	est-il rien d'assez fort Pour détourner mes pas du chemin de la mort?
Non, non, ſi ie le veux, le fer, les precipices, La flame & le poiſon finiront mes ſupplices.	Non, non, si belle le veux, le fer, les précipices, La flamme et le poison finiront mes supplices.
Quoy que faße le ſort pour eſtendre mes iours, Il eſt en mon pouuoir d’en terminer le cours.	Quoi que fasse le sort pour étendre mes jours, Il est en mon pouvoir d'en terminer le cours.
Parpitié Lydiane, vſe d’vn peu d’addreſſe, Pour armer d’vn poignard la mainde ta maiſtreſſe aſin que mon treſpaz & inſtt & genereux Preuienne du Tyran le triomphe amoureux.	Parpitié Lydiane, use d'un peu d'adresse, Pour armer d' poignard la mainde ta maîtresse asin que mon trespaz et inst et généreux Previenne du Tyran le triomphe amoureux.
LYDIANE.	LYDIANE.
Quelle commißion, quelle eſtrange penſee Pouuez vous bien me croire à ce poinct inſenſee, Que de fauoriſer ce coupable deſſein?	Quelle commision, quelle étrange pensée Pouvez -vous bien me croire à ce point insensée, Que de favoriser ce coupable dessein?
Pluſtoſt ie piongerante poignuruuans mon ſein.	Plutôt Seigneur piongerante poignuruants mon sein.
CLARIMONDE.	CLARIMONDE.
Tu m'abandonnes donc?	Tu m'abandonnes donc?
LYDIANE.	LYDIANE.
UuomeiSme) Madame.	UuomeiSme) Madame.
CLARIMONDE.	CLARIMONDE.
Aux extremes douleurs qui trauaillent mon ame, Refuſer vn ſecours que tu peux me preſter, N'eſt-ce pas me trahit?	Aux extrêmes douleurs qui travaillent mon âme, Refuser un secours que tu peux me prêter, N'est-ce pas me trahit?
n'eſt ce pas me quitter?	n'est ce pas me quitter?
D'un	D'un
LYDIANE.	LYDIANE.
Ne pouuoir conſentir à faire une iniuſtice D'vn aueugle tranſport n'eſtre pas le complice, Et de vos deſeſpoirs la fureur arreſter, Ce n’eſt point muous trahir, ce n'eſt poirt vous quitter.	Ne pouuoir consentir à faire une injustice D'un aveugle transport n'être pas le complice, Et de vos désespoirs la fureur arrêter, Ce n'est point muous trahir, ce n'est poirt vous quitter.
CLARIMONDE L'office que tes ſoings reſuſent de me rendre Taccuſe;	CLARIMONDE L'office que tes soins ressusent de me rendre Taccuse;
mais c’eſt trop ie voy venir Alcandre, Va, fayce que i'ay dit, ſi tu veux m’obliger.	mais c'est trop rien vois venir Alcandre, Va, faisce que j'ai dit, si tu veux m'obliger.
LYDIANE en s’en allant.	LYDIANE en s'en allant.
Feignons le pour le moins de peur de l’affliger.	Feignons le pour le moins de peur de l'affliger.
SCENE III.	SCÈNE III.
ALCANDRE, CLARIMONDE.	ÀLCANDRE, CLARIMONDE.
f ALCANDRE.	À FLCANDRE.
Ffranchy de priſon & libre en apparance, Ie viens rendre les vœux de ma reconnoiſſance A la diuinité, qui d’vn œil genereux A daigné regarder le ſort d vn mal heureux, Ie viens vous preſenter ſoubs des fers inuiſibles, Vn cœur pour qui les Cieux paroiſſent inſenſibles, Et ſur qui le deſtin reſpand a pleines mains Tout le maldont ſa hayne accable les humains:	Franchi de prison et libre en apparance, Je viens rendre les vœux de ma reconnaissance A la divinité, qui d'un œil généreux A daigné regarder le sort dieux mal heureux, Je viens vous présenter sous des fers invisibles, Un cœur pour qui les Cieux paraissent insensibles, Et sur qui le destin es a pleines mains Tout le maldont sa haine accable les humains:
Dans cet eſtat meſlé de faueur, de diſgrace, A quoym at-on ſouſmis?	Dans cet état mêlé de faveur, de disgrâce, A quoim aton sousmis?
que faut il que ie faſſe?	que faut -il que Seigneur fasse?
Pour rendre mon mal heur plus horrible & plus noir, Veut on point que mes yeux faſſent mon deſeſpoir, Et que ma propre main baſtiſſe les trophées, Ou mes felicitez, doiuent eſtre eſtouffées?	Pour rendre mon mal heur plus horrible et plus noir, Veut on point que mes yeux fassent mon désespoir, Et que ma propre main bâtisse les trophées, Ou mes félicités, doivent être étouffées?
Enfin pour me combler d vn regret immortel, Nat-on point reſolu que ie pare l’autel, Ou l’on doit immoler l’adorable victime, Qu'on auoit deſtinée à mon feu legitime?	Enfin pour me combler d' on regret immortel, Nat-on point résolu que ie pare l'autel, Ou l'on doit immoler l'adorable victime, Qu'on avait destinée à mon feu légitime?
Ah funeſte moment!	Ah funeste moment!
2	2
CLARIMONDE.	CLARIMONDE.
Ahcruel ſouuenir!	Ahcruel souvenir!
Mais ce triomphe Alcandre est encore à venir, Croy queſi i'ay forcé ta priſon importune, Ie l’ay fait, pour meſler a ta triſte fortune Le plaifir de ſçauoir qu’en voyant ton mal’heur, Ie meurs eſgalement d’amour & de douleur.	Mais ce triomphe Alcandre est encore à venir, Crois quesi j'ai forcé ta prison importune, Je l'ai fait, pour mêler a ta triste fortune Le plaisir de savoir qu'en voyant ton malheur, Je meurs également d'amour et de douleur.
Ie t’ayme, cher Alcandre, & le Ciel qui m’eſcoute Scait bien qu'en cat inſtant tume poſſedes toute:	Je t'aime, cher Alcandre, et le Ciel qui m'écoute Sait bien qu'en cat instant tume possèdes toute:
Pleuſt aux Dieux ſeulement que ton front fust orné Des myrthes dont le Roy veut eſtre couronné.	Plût aux Dieux seulement que ton front fût orné Des myrthes dont le Roi veut été couronné.
Mais puis qu’il ne ſe peut, conſole toy, ma vie, Au bon-heur qu'il pretend ne porte point d’enuie, Puiſque ma paßion triomphant de ma foy Ne luy laiſſe qu’vn corps dequi l’ame eſt à toy.	Mais puis qu'il ne se peut, console toi, ma vie, Au bonheur qu'il prétend ne porte point d'envie, Puisque ma passion triomphant de ma foi Ne lui laisse qu'un corps dequi l'âme est à toi.
Son amout de la mienne aura de foibles marques, Son prix ſera le prix & des vers & des Parques, Mais le tien ſurmontant mille ſiecles diuers, Verra viure ſa ſlame, & mourir l’vniuers.	Son amout de la mienne aura de faibles marques, Son prix sera le prix et des vers et des Parques, Mais le tien surmontant mille siècles divers, Verra vivre sa slamme, et mourir l'univers.
ALCANDRE.	ÀLCANDRE.
Cette faueur, Madame, excede mon merite, Mais celle dont mon cœur vos bontez ſolicite, Si vous me l’accordez me rendra deſormais Le plus heureux Amant qui ſouſpira iamais.	Cette faveur, Madame, excède mon mérite, Mais celle dont mon cœur vos bontés solicite, Si vous me accordez me rendra désormais Le plus heureux Amant qui soupira jamais.
CLARIMONDE.	CLARIMONDE.
Que veux tu mon Alcandre?	Que veux tu mon Alcandre?
ALCANDRE Helas ie ne deſire Ny de voir dans mes mains les reſnes d’vn empire, Ny de monter au throſneoù ie vous voy courir, Tout ce que ie demande eſt de pouuoir mourir.	ÀLCANDRE Hélas Seigneur ne désire Ni de voir dans mes mains les rênes d'un empire, Ni de monter au throsneoù je vous vois courir, Tout ce que je demande est de pouvoir mourir.
CLARIMONDE.	CLARIMONDE.
Mourir!	Mourir!
ah ne croy pas que mon cœur y conſente, Quelques faſcheux ennuis que ton ame reſſente,	ah ne crois pas que mon cœur y consente, Quelques fâcheux ennuis que ton âme ressente,
