TRAGEDIE ORNEE DE MACHINES, & de Muſique.	TRAGÉDIE ORNÉE DE MACHINES, et de Musique.
& par l’effet du Charme que Circé vient d’employer pour la rendre favorable à Glaucus, elle leur fait connoiſtre l’impatience qu’elle a de revoir ce nouvel Amant à qui elle a déja découvert le changement qui eſt arrivé pour luy dans ſon cœur.	et par l'effet du Charme que Circé vient d'employer pour la rendre favorable à Glaucus, elle leur fait connaître l'impatience qu'elle a de revoir ce nouvel Amant à qui elle a déjà découvert le changement qui est arrivé pour mieux dans son cœur.
Mélicerte ſurvient, qui tâche inutilement, par ſes reproches, à l’obliger de ſe repentir de ſon infidelité:	Mélicerte survient, qui tâche inutilement, par ses reproches, à l'obliger de se repentir de son infidélité:
Elle s’en juſtifie ſur le conſeil que luy ont donné les Amours de renoncer à ſa premiere paſſion;	Elle s'en justifie sur le conseil que deux ont donné les Amours de renoncer à sa première passion;
& ayant appris de Palémon que Glaucus entretient Circe dans celuy de ſes lardins dont les murs ſont batus des flots de la Mer, elle ſort avec précipitation pour l’aller rejoindre.	et ayant appris de Palémon que Glaucus entretient Circe dans celui de ses lardins dont les murs sont batus des flots de la Mer, elle sort avec précipitation pour l'aller rejoindre.
Mélicerte la ſuit, & laiſſe Floriſe & Aſtérie raiſonner avec Palémon ſur la prétenduẽ̈ Magie de ſon Maiſtre, dont elles ne ſçauroient aſſez admirer le pouvoir qui a toujours eſté plus fort que tous les Charmes que Circé a mis en uſage contre luy.	Mélicerte la suit, et laisse Florise et Astérie raisonner avec Palémon sur la prétenduẽ̈ Magie de son Maître, dont elles ne sauraient assez admirer le pouvoir qui a toujours été plus fort que tous les Charmes que Circé a mis en usage contre notre.
Palémon s’élance tout-à coup dans les airs, & par ce vol inopiné ſe dérobant à leurs yeux, les confirme dans la penſée où elles eſtoient déja qu’il y avoit de la Divinité dans cette avanture.	Palémon s'élance tout-à coup dans les airs, et par ce vol inopiné se dérobant à leurs yeux, les confirme dans la pensée où elles étaient déjà qu'il y avait de la Divinité dans cette aventure.
Dorine leur en vient expliquer le ſecret, & apres leur avoir appris le déguiſement de Glaucus, elle leur raconte la vangeance que Circé a priſe de ſes dédains par le changement effroyable qui vient d’arriver dans la perſonne de Sylla, apres qu’elle a métamorphoſé Mélicerte en Arbre, pour le punir des plaintes qu’il oſoit luy faire de ſes injuſtices.	Dorine leur en vient expliquer le secret, et après leur avoir appris le déguisement de Glaucus, elle leur raconte la vengeance que Circé a prise de ses dédains par le changement effroyable qui vient d'arriver dans la personne de Sylla, après qu'elle a métamorphosé Mélicerte en Arbre, pour le punir des plaintes qu'il osait lui même de ses injustices.
La Fable nous repreſente cette Sylla environnée de Chiens qui l’effrayoient par des aboyemens épouvantables:	La Fable nous représente cette Sylla environnée de Chiens qui l'effrayaient par des aboiements épouvantables:
Ce terme de Chien, eſt ſi rude & ſi mal-propre à noſtre Poëſie, que j’ay crû le pouvoir changer en celuy de Monſtres.	Ce terme de Chien, est si rude et si mal-propre à notre Poésie, que j'ai cru le pouvoir changer en celui de Monstres.
Circé s’applaudit avec Dorine du triomphe qu’elle a enfin remporté ſur Glaucus, qui fait d’inutiles efforts pour adoucir la colere de Circe en faveur de cette déplorable Nymphe dont le changement luy fait horreur.	Circé s'applaudit avec Dorine du triomphe qu'elle a enfin remporté sur Glaucus, qui fait d'inutiles efforts pour adoucir la colère de Circe en faveur de cette déplorable Nymphe dont le changement lui fait horreur.
Circé demeure inéxorable;	Circé demeure inéxorable;
& ravie d’avoir trouve ſes moyens de faire ſoufrir Glaucus, elle ſent redoubler ſa joye par le plaiſir qu’elle a de joüir de la peine de ce Dreu, quand Palémon leur vient apprendre le deſeſpoir de Sylla, qui l’a portée à ſe précipiter dans la Mer pour ſe delivrer d’un ſuplice qui luy eſtoit inſuportable.	et ravie d'avoir trouve ses moyens de faire souffrir Glaucus, elle sent redoubler sa joie par le plaisir qu'elle a de jouir de la peine de ce Dreu, quand Palémon leur vient apprendre le désespoir de Sylla, qui l'a portée à se précipiter dans la Mer pour se délivrer d'un suplice qui lui était insupportable.
Circé ne peut cacher la douleur qu’elle a de voir ſi-toſt finir ſa vangeance;	Circé ne peut cacher la douleur qu'elle a de voir sitôt finir sa vengeance;
& faiſant diſparoiſtre ſon Palais, elle diſparoiſt elle-meſme aux yeux de Glaucus.	et faisant disparaître son Palais, elle disparaît elle-même aux yeux de Glaucus.
La Decoration du Theatre change en cet endroit, & on en voit une nouvelle qui repreſente la Mer & ſon rivage.	La Décoration du Théâtre change en cet endroit, et on en voit une nouvelle qui représente la Mer et son rivage.
Il y a quelques Arbres peints ſur le devant, & des Rochers ſur ce qui approche le plus de la Mer.	Il y a quelques Arbres peints sur le devant, et des Rochers sur ce qui approche le plus de la Mer.
Glaucus touché ſenſiblement de la diſgrace deSylla, s’adreſſe à Neptune pour le prier de la luy rendre.	Glaucus touché sensiblement de la disgrâce deSylla, s'adresse à Neptune pour le prier de la lui même.
Ce Dieu paroiſt ſur les Flots accompagne de Tritons, de Nereïdes, & d’autres Divinitez de la Mer, e apres avon ldle von a dladcus diſ Rocher qui s’éleve pour marque eternelle de la métamorphoſe de Sylla, il l’aſſure qu’il eſt preſt de la changer en Nereïde, pourveu que Iupiter luy faſſe connoiſtre que le Deſtin en eſt d’accord.	Ce Dieu paraît sur les Flots accompagne de Tritons, de Nereïdes, et d'autres Divinités de la Mer, est après avon ldle vinon a dladcus dis Rocher qui s'élève pour marque éternelle de la métamorphose de Scylla, il l'assure qu'il est prêt de la changer en Nereïde, pourvu que Iupiter pour fasse connaître que le Destin en est d'accord.
Le Ciel s’ouvre à la priere de Glaucus, & Iupiter paroiſt dans ſon Palais, qui eſt d’une Architecture compoſée.	Le Ciel s'ouvre à la prière de Glaucus, et Jupiter paraît dans son Palais, qui est d'une Architecture composée.
Elle forme de grands Pieds-d’eſtaux.	Elle forme de grands Pieds-d'étaux.
fur leſquels ſont en ſaillie des Aigles tous rehauſſez d’or fin, qui ſuportent une Corniene fonde, dans la frize de laquelle ſont peintes des Pommes de Pin d’or fin cizelé:	fur lesquels sont en saillie des Aigles tous rehaussez d'or fin, qui supportent une Cornie fonde, dans la frize de laquelle sont peintes des Pommes de Pintes d'or fin cizélé:
Au deſſus de la Corniche ſe forment des Cintres ſurbaiſſez, enrichis de quantité d’ornemens, avec des Feſtons d’or qui pendent au deſſous des Cintres, & s’attachent au milieu & aux angles.	Au dessus de la Corniche se forment des Cintres surbaissez, enrichis de quantité d'ornements, avec des Festons d'or qui pendent au dessous des Cintres, et s'attachent au milieu et aux angles.
Toute la maſſe du Palais eſt peinte de deux manieres diférentes, auſſi-bien que les Corniches & les Pieds-d’eſtaux;	Toute la masse du Palais est peinte de deux manières diférentes, aussi-bien que les Corniches et les Pieds-d’étaux;
l'une eſt de Porphyre, & l’autre de Lapis.	l'une est de Porphyre, et l'autre de Lapis.
Au milieu des Pieds-d’eſtaux ſont de gros Feſtons de feüilles de Cheſne d’or fin cizelé, On voit dans le fonds du Palais un Trône tout d’or, & orné de Pierres prétieuſes.	Au milieu des Pieds-d'étaux sont de gros Fêtons de feuilles de Chesne d'or fin cizélé, On voit dans le fond du Palais un Trône tout d'or, et orné de Pierres prétieuses.
Iupiter accorde à Glaucus le changement de Sylla en Nereïde, mais à condition qu’il ne l’accablera plus des témoignages d’un amour qu’elle a toüjours rejetté:	Jupiter accorde à Glaucus le changement de Sylla en Nereïde, mais à condition qu'il ne l'accablera plus des témoignages d'un amour qu'elle a toujours rejeté:
En meſme temps elle ſort des flots pour aller prendre place aupres de la Nymphe Galatée par l’ordre de Neptune, qui invite les Faunes, les Sylvains, les Dryades, & les autres Divinitez Champeſtres, auſſi-bien que celles de la Mer, à former quelque grand Spectacle digne de la ſolemnitè de ce jour.	En même temps elle sort des flots pour aller prendre place auprès de la Nymphe Galatée par l'ordre de Neptune, qui invite les Faunes, les Sylvains, les Dryades, et les autres Divinités Champtres, aussi-bien que celles de la Mer, à former quelque grand Spectacle digne de la solemnitè de ce jour.
Ce qu’ils font en ſe meſlant enſemble par diférentes figures qui ſont accompagnées des Chanſons ſuivantes, dont la premiere fait voir, par l’exemple de Glaucus, que la froideur des eaux eſt un vain obſtacle contre les feux de l’Amour.	Ce qu'ils font en se mêlant ensemble par diférentes figures qui sont accompagnées des Chansons suivantes, dont la première fait voir, par l'exemple de Glaucus, que la froideur des eaux est un vain obstacle contre les feux de l'Amour.
OTIANDON DVN SYLVAIN.	OTIANDON DUN SYLVAIN.
Out aimSur la Terre & aaus ies Cieux;	Out aimSur la Terre et aus Cieux;
L’Amour par un pouvoir ſupréme Aſſervit Hommes & Dieux, Tout aime.	L'Amour par un pouvoir suprême Asservit Hommes et Dieux, Tout aime.
Iuſque dans les eaux il échauffe les cœurs, Et malgré leur froideur extréme Rien n'échape à ſes douces langueurs, Tout aime.	Jusque dans les eaux il échauffe les cœurs, Et malgré leur froideur extrême Rien n'échappe à ses douces langueurs, Tout aime.
CHOEUR DE DIVINITEZ.	CHOEUR DE DIVINITÉ.
Les Plaiſirs ſont de tous les âges, Les Plaiſirs ſont de toutes les ſaiſons;	Les Plaisirs sont de tous les âges, Les Plaisirs sont de toutes les saisons;
Pour les rendre permis, on ſçait que les plus ſages Ont ſouvent trouvé des ratſons.	Pour les rendre permis, on sait que les plus sages Ont souvent trouvé des ratsons.
Rions, chantons, Folâtrons, ſautons;	Rions, chantons, Folâtrons, sautons;
Les Plaiſirs ſont de tous les âges, Les Plaiſirs ſont de toutes les ſaiſons:	Les Plaisirs sont de tous les âges, Les Plaisirs sont de toutes les saisons:
Ce Chœur eſtant finy, les Faunes & les Sylvains témoignent leur joye par des ſauts ſurprenans;	Ce Chœur étant fini, les Faunes et les Sylvains témoignent leur joie par des sauts surprenants;
& les Divinitez de la Mer, accompagnées de pluſieurs Fleuves, donnent pareillement des marques de leur allégreſſe par pluſieurs figures extraordinaires;	et les Divinités de la Mer, accompagnées de plusieurs Fleuves, donnent pareillement des marques de leur allégresse par plusieurs figures extraordinaires;
ce qu'iis folit à airbrentes renriſes, & meſme apres les deux premiers Coupieẗs de la Chanſon ſuivante,	ce qu'iis folit à aibrentes renrises, et même après les deux premiers Coupies de la Chanson suivante,
CHANSON D'VN SYLVAIN ET DUNE DRYADE enſemble.	CHANSON D'UN SYLVAIN ET DUNE DRYADE ensemble.
L n’eſt point de Plaiſir véritable, ISi l’Amour ne l’aſſaiſonne pas.	 L'est point de Plaisir véritable, ISi l'Amour ne l'assaisonne pas.
On a beau dans le bien le plus ſtable Rechercher de ſenſibles appas, Il n’eſt point de Plaiſir véritable, Si l’Amour ne l’aſſaiſonne pas.	On a beau dans le bien le plus stable Rechercher de sensibles appas, Il n'est point de Plaisir véritable, Si l'Amour ne l'assaisonne pas.
Ses langueurs n’ont rien que d’agreable, On ſe perd dans ſes tendres helas;	Ses langueurs n'ont rien que d'agréable, On se perd dans ses tendres hélas;
Il n’eſt point de Plaiſir agreable, Si l’Amour ne l’aſſaiſonne pas.	Il n'est point de Plaisir agréable, Si l'Amour ne l'assaisonne pas.
Ex A l'Amour il faut rendre les armes, Toſt ou tard il triomphe de nous.	Ex À l'Amour il faut rendre les armes, Tôt ou tard il triomphe de nous.
Plus on veut reſiſter à ſes charmes, Plus on doit redouter ſon couroux;	Plus on veut résister à ses charmes, Plus on doit redouter son courroux;
A l’Amour il faut rendre les armes, Toſt ou tard il triomphe de nous.	À l'Amour il faut rendre les armes, Tôt ou tard il triomphe de nous.
De ſes maux ne prenons point d’alarmes;	De ses maux ne prenons point d'alarmes;
S’ils ſont grands, le remede en eſt doux.	S'ils sont grands, le remède en est doux.
A l Amour il faut rendre les armes, Toſt ou tard il triomphe de nous.	À l Amour il faut rendre les armes, Tôt ou tard il triomphe de nous.
Les Faunes & les Sylvains recommençent leurs ſauts, qui ſont accompagnez de poſtures ſurprenantes;	Les Faunes et les Sylvains recommencient leurs sauts, qui sont accompagnés de postures surprenantes;
& pendant qu’un Chœur de Divinitez chante les Vers ſuivans, les Fleuves & les Divinitez de la Mer font pluſieurs figures diférentes, en ſe meſlant avec le Chœur.	et pendant qu'un Chœur de Divinités chante les Vers suivants, les Fleuves et les Divinités de la Mer font plusieurs figures difèrentes, en se mêlant avec le Chœur.
CHOEUR DE DIVINITEZ.	CHOEUR DE DIVINITÉ.
Les Plaiſirs ſont de tous les âges, Les Plaiſirs ſont de toutes les ſaiſons;	Les Plaisirs sont de tous les âges, Les Plaisirs sont de toutes les saisons;
Pour les rendre permis, on ſçait que les plus ſages Ont ſouvent trouvé des raiſons.	Pour les rendre permis, on sait que les plus sages Ont souvent trouvé des raisons.
Rions, chantons, Folâtrons, ſautons;	Rions, chantons, Folâtrons, sautons;
Les Plaiſirs ſont de tous les âges, Les Plaiſirs ſont de toutes les ſaiſons.	Les Plaisirs sont de tous les âges, Les Plaisirs sont de toutes les saisons.
FIN	FIN
Ar Grace & Privilege du Roy, Donné à S.	Ar Grâce et Privilège du Roi, Donné à S.
Germain en Laye T le 28.	Germain en Laye T le 28.
jour de Fevrier 1675.	jour de Février 1675.
Signé, Par le Roy en ſon Conſeil, DESVIEUX.	Signé, Par le Roi en son Conseil, DESVIEUX.
Il eſt permis à T.	Il est permis à T.
de Corneille, Eſcuyer, Sieur de l’Iſle, de faire imprimer, vendre & debiter une Piece de Theatre de ſa compoſition, intitulée CIRCE’, avec le Deſſein, & ce pendant le temps & eſpace de vingt années entieres & accomplies, à compter du jour que leſdits Ouvrages ſeront achevez d’imprimer pour la premiere fois:	de Corneille, Escuyer, Sieur de l'Isle, de faire imprimer, vendre et débiter une Pièce de Théâtre de sa composition, intitulée CIRCE', avec le Dessein, et ce pendant le temps et espace de vingt années entières et accomplies, à compter du jour que lesdits Ouvrages seront achevez d'imprimer pour la première fois:
Pendant lequel temps defences ſont faites à tous Imprimeurs & Libraires, autres que ceux choiſis par ledit Expofant, & à toutes autres Perſonnes de quelque qualité ce condieion qu'eriesioiene, eſupimer, lurre mnprimer, vendre, ny debiter leſdits Ouvrages, ſans le conſentement de l’Expoſant, ou de ceux qui auront droit de luy, à peine de mil livres d’amende, confiſcation des Exemplaires contrefaits, & de tous deſpens, dommages & intereſts, ainſi que plus au long il eſt porté aud.	Pendant lequel temps défenses sont faites à tous Imprimeurs et Libraires, autres que ceux choisis par ledit Expofant, et à toutes autres Personnes de quelque qualité ce condamion qu'eriesioiene, aise, lurre mnprimer, vendre, ni débiter lesdits Ouvrages, sans le consentement de l'Exposant, ou de ceux qui auront droit de Seigneur, à peine de mille livres d'amende, confiscation des Exemplaires contrefaits, et de tous dépens, dommages et intérêts, ainsi que plus au long il est porté aud.
Privilege.	Privilège.
Regiſtré ſur le Livre de la Communauté, ſuivant l’Arreſt de la Cour de Parlement.	Registré sur le Livre de la Communauté, suivant l'Arrêt de la Cour de Parlement.
Signé, THIERRY, Syndic.	Signé, THIERRY, Syndic.
Achevé d’imprimer pour la premiere fois, le 14.	Achevé d'imprimer pour la première fois, le 14.
Mars 167f.	Mars 167f.
