DOMITIE, femme de Domities	DOMITIE, femme de Domities
Je le fairay d’autant plus volontiers, que je ne lia rois mieux vous faire comprendre en abiege (ou ment on juge icy les actions des grands, &quit I’idée qu’on y a de la vertu heroique, que par litt teſtation, qui eſt arrivée ſur ces deux meſmes pu res entre les plus éclairéz habitans de ce payi,ſ je vous raconteray apres que je vous les quis pliquées.	Je le fairai d'autant plus volontiers, que je ne lia rois mieux vous faire comprendre en abiège (ou ment on juge ici les actions des grands, etquit J'idée qu'on y a de la vertu héroïque, que par litt tétation, qui est arrivée sur ces deux mêmes pu rés entre les plus éclairéz habitants de ce payi,s je vous raconterai après que je vous les quis pliquées.
Ces deux tableaux, que vous avez cla repreſentent les deux voyages de Flandres, di premier, le heros, dont nous parlons, y eſt repe té ſouz la figure d’un Jupiter deſcendant cheisd le avec tour l’éclat de ſa Gloire, les ſoulieit tempeſtes, qui accompagnent la venũede ceſl redoublent en quelque ſorte ſa Majeſte, mait ſplendeur, cette force & cette grande puiſſince l’environne, ne répand aucune joye dans loau par ce qu’elle eſt toute occupée par la doulur.	Ces deux tableaux, que vous avez cla représentent les deux voyages de Flandres, di premier, le héros, dont nous parlons, y est repe té soulés la figure d'un Jupiter descendant cheid le avec tour l'éclat de sa Gloire, les soulieit tempêtes, qui accompagnent la venede ces redoublent en quelque sorte sa Majeste, mait splendeur, cette force et cette grande puissince l'environne, ne répand aucune joie dans loau par ce qu'elle est toute occupée par la doulur.
paroit dans ſes yeux de s’eſtre vſ, reduit à la malheureuſe neceſſité de venir chez ſon épouſe dans cet Equipage terrible, & de luy rendre une viſite ſi redoûtable & ſi funeſte;	parait dans ses yeux de s'être us, réduit à la malheureuse nécessité de venir chez son épouse dans cet Équipage terrible, et de Seigneur rendre une visite si redoutable et si funeste;
car vous voyez bien que rien ne peut ſoûtenir l’effort de ſa preſence qu’il brûle, qu’il conſomme, qu’il abat, dêtruit & ravage tour, quoy qu’a regret.	car vous voyez bien que rien ne peut soutenir l'effort de sa présence qu'il brûle, qu'il consomme, qu'il abat, dêtruit était ravage tour, quoi qu’a regret.
L’autre tableau repreſente l’autre voyage deFlandres ſous une figure bien differente, c’eſt un Jupiter, qui fond chez Danae en pluye d’or.	L'autre tableau représente l'autre voyage deFlandres sous une figure bien différente, c'est un Jupiter, qui fond chez Danae en pluie d'or.
C’eſt ainſi que mi ſœur Clion a voulu deſigner la joye, la magnificence & les plaiſirs, mais ſur tout les liberalitéz immenſes & la magnanime proſuliõ, qui iccompagnerent par tout le Prince Francois dans la lermiere viſite qu’il rendit à ſes nouveaux Suiets.	C'est ainsi que mi sœur Clion a voulu designer la joie, la magnificence et les plaisirs, mais sur tout les liberalitéz immenses et la magnanime prosulion, qui iccompagnèrent par tout le Prince Francais dans la lermière visite qu'il rendit à ses nouveaux Suiets.
Vous ne fauriez croire *combien d’agreables diſautes ces deux peintures out ſeruy de matiete & tombien de fois, on a comparé ces deux voyages inſemble, pour decider lequel a été plus glorieux.	Vous ne sauriez croire *combien d'agréables disautes ces deux peintures out servi de matiète et tombien de fois, on a comparé ces deux voyages insemble, pour décider lequel a été plus glorieux.
Quelque éclatant, que le premier paroiſle, ceux qui e ſont declaréz pour le dernier ne ſont pas les noins honnétes gens du Parnaſſe.	Quelque éclatant, que le premier paroisle, ceux qui e sont declaréz pour le dernier ne sont pas les noins honnête gens du Parnasse.
TITUS.	TITUS.
Quoy, belle Nimphe, on prefere icy une promeade à unc Conqueſte, & dépuis quand la Gloire s’ahette elle au poids de l’or en ce pays?	Quoi, belle Nymphe, on préfère ici une promeade à unc Conquête, et depuis quand la Gloire s'ahette elle au poids de l'or en ce pays?
MELPOMENE.	MELPOMENE.
Les promenades de cette eſpece, Titus, ſont us glorieuſes que les plus grandes conqueſtes, ce'eſt pas l’orny l’argent qu’on eſtime icy, c’eſt le dẽachement de ces biens & l’heroyque uſage qu’on n fait.	Les promenades de cette espèce, Titus, sont us glorieuses que les plus grandes conquêtes, ce'est pas l'orny l'argent qu'on estime ici, c'est le dienachement de ces biens et l'héroïque usage qu'on n fait.
Pourroit on aſſurer plus fortement les peudes, qu’ils n’ont aucune Tyrannie à craindre qu’en rêpandant ſi largement ſur cux ce metal qui eſilas ject de toutes les violences.	Pourrait on assurer plus fortement les peudes, qu'ils n'ont aucune Tyrannie à craindre qu'en répandant si largement sur cux ce métal qui éilas ject de toutes les violences.
Si ſa poſſeſſiontæ heureux, comme le vulgaire ſe l’imagine, il p bien que ce Prince l’êtoit avant qu’il fût leur mitre, & qu’il n’a voulu l’être que pour les reas comme luy, pour partager ſa felicité avec eur c’êtoient eux qui avoient beſoin de luy, & nonst luy d’eux qu’il n’y a qu’eux qui gagnẽt à ce chige ment, & qu’a voir cette êtrange profuſion, on porroit en quelque ſorte dire qu’il y perd autant qu'is, gagnent, ſi un Prince pouvoit s’appeler perdreust qu’il gagne des cœurs.	Si sa possessiont heureux, comme le vulgaire se l'imagine, il bien que ce Prince l'était avant qu'il fût leur mitre, et qu'il n'a voulu l'être que pour les réas comme tu, pour partager sa félicité avec eur c'étaient eux qui avaient besoin de même, et nonst lui d'eux qu'il n'y a qu'eux qui gagnent à ce chige ment, et qu'a voir cette êtrange profusion, on porrait en quelque sorte dire qu'il y perd autant qu', gagnent, si un Prince pouvait s'appeler perdreust qu'il gagne des cœurs.
Et certes quel plaiſis i conquerant,	Et certes quel plaisis j' conquérant,
Quel plaiſir de penſer & de dire en luy meſas Par tout, ou je parois on me benit, inm ami On ne voit point le peuple à mon nom I'alunu Leur ſombre inimitiù ne fuit point monuiſſe Ie vois voler par tout les cœurs a moupuſas	Quel plaisir de penser et de dire en lui mesas Par tout, ou je parais on me bénit, inm ami On ne voit point le peuple à mon nom J'un Leur sombre inimitiù ne fuit point monuisse Je vois voler par tout les cœurs a moupus
Voila, o Titus, comment on juge des adli des grands en ce pais, ce n’eſt pas tout pour ti grand que de regner ſur des hommes c’eſt de uever le ſecret de faire en ſorte qu’ils le veuillentbee & cela ne ſe peut qu’en les rendant heureux.	Voilà, ô Titus, comment on juge des adli des grands en ce pais, ce n'est pas tout pour ty grand que de régner sur des hommes c'est de uever le secret de faire en sorte qu'ils le veuillentbe et cela ne se peut qu'en les rendant heureux.
ITUS.	ITUS.
I’ay bien de la joye, belle Nimphe, de ſioin tre ſentiment la deſſus, mais dittes la verité, aſ ble Muſe, quelque eſtimable que fut le Puincel nous parlons, luy fairoit on tant d’honneur& pays, ſi ſa cour n’étoit pis, comme elle eſt, le ſet de tous les beaux arts & de toutes les connoilla honneſtes?	J'ai bien de la joie, belle Nymphe, de sioin tre sentiment la dessus, mais dites la vérité, as blé Muse, quelque estimable que fut le Puincel nous parlons, Seigneur fairait on tant d'honneuret pays, si sa cour n'était pis, comme elle est, le set de tous les beaux arts et de toutes les connais honnêtes?
Enfin s’il ne vous conſideroit pas de me il fait.	Enfin s'il ne vous considérait pas de me il fait.
MEL	MEL
MELPOMENE.	MELPOMENE.
Ceque vons ditez la, ne peut être, il eſt impoſſible d’être auſſi vertueux & magnanime qu’il l’eſt, Las nous aimer, il ſe peut bien trouver des l'rinces qui n’ont point d’autre bonne qualité que celle de nous favoriſer, mais il n’y peut avoir de veritable heros, qui ne nous favoriſe, c’eſt de cette naturelle grãdeur d’ame, que vient l’inclination, qu’ils ont pour les lettres;	Ceque von tés la, ne peut être, il est impossible d'être aussi vertueux et magnanime qu'il l'est, Las nous aimer, il se peut bien trouver des l'rinces qui n'ont point d'autre bonne qualité que celle de nous favoriser, mais il n'y peut avoir de véritable héros, qui ne nous favorise, c'est de cette naturelle grãdeur d'âme, que vient l'inclination, qu'ils ont pour les lettres;
c’eſt ainſi que Paris eſt devenu aujourd'auy le lieu du monde ou nous ſommes en plus grande eſtime & les plus connües, auſſi voiez vous qu’Apollon & nous ne parlons tous que François, c’eſt i preſent la langue du Parnaſſe & toute autre y eſt arbare, telle eſt la viciſſitude des choſes, mais j’apperçois, Apoſſon qui s’avance & vous allez etre ugéz.	c'est ainsi que Paris est devenu aujourd'aui le lieu du monde ou nous sommes en plus grande estime et les plus connue, aussi voyez vous qu'Apollon et nous ne parlons tous que Français, c'est jamais présent la langue du Parnasse et toute autre y est arbare, telle est la vicissitude des choses, mais j'apperçois, Aposson qui s'avance et vous allez et ugéz.
SCENE SECONDE, APOLLON, MELPOMENE, THALIE, TITUS, TITE, BERENICE de TITE, BERENICE de TITUS.	SCÈNE SECONDE, APOLLON, MELPOMENE, THALIE, TITUS, TITE, BERENICE de TITE, BERENICE de TITUS.
APOLLON Aſſis.	APOLLON Assis.
Princes, j’ay ſongé à vôtre affaire, & je ſuis preſt vous juger ſi vous le vouléz abſolument, mais aant que d’en venir à cctte extremité je vous conrille plutôt d’entendre à quelque accommodemet, ar pour vous dire la verité je doute foir que moa agement contente perſonne, il y a á redire dans ous tant que vous eſtes, & les gagnans ne ſeront D 3 guere guere moins maltraittez que les perdins.	Princes, j'ai songé à votre affaire, et je suis prêt vous juger si vous le vouléz absolument, mais aant que d'en venir à cctère extrémité je vous conrille plutôt d'entendre à quelque accommodemet, ar pour vous dire la vérité je doute soir que moa agement contente personne, il y a âme redire dans ous tant que vous êtes, et les gagnants ne seront D 3 guère guère moins maltraités que les perdins.
Oe pourquoy ſi vous me croyez, vous eſſayeréz deſoi.	Oe pourquoi si vous me croyez, vous essayeréz désoi.
tir d’affaire par une autre voye.	tir d'affaire par une autre voie.
Voicy ce quei, penſé la deſſus, je m’imagine que ſi chacun de vos étoit content en ſon particulier, il ne ſe mettroguere en peine, s’il eſt ſimple ou s’il eſt double, s'il a quelqu’un ou quelqu’une qui porte le meſmen que luy.	Voici ce quei, pensé la dessus, je m'imagine que si chacun de vos était content en son particulier, il ne se mettroguère en peine, s'il est simple ou s'il est double, s'il a quelqu'un ou quelqu'une qui porte le mesmen que lui.
Je conſidere donc vôtre different comms un effet de l’inquietude de vos Eſprits, & ſi vos iauereſts êtoient plus favorablement diſpoſez, qu’lls se ſont, peut être, ne feriéz vous pas ſi ſeſibles aupoiad d’honneur, & qu’il ſeroit permis à châcunde fas paſſer de ſon côté pour ce qu’il pourroit;	Je considère donc votre différent comms un effet de l'inquiétude de vos Esprits, et si vos iauerests étaient plus favorablement disposés, qu'lls se sont, peut être, ne feriez -vous pas si sesibles avoiad d'honneur, et qu'il serait permis à châcunde sas passer de son côté pour ce qu'il pourrait;
& dechecher ſes duppes, c’eſt aſlurement le chagrin deroi affaires particulieres, qui vous à rendus ſi delicus, l qu’ainſi ne ſoit, o Titus!	et déchècher ses dupes, c'est aslurement le chagrin deroi affaires particulières, qui vous à rendus si délicus, l 'ainsi ne soit, ô Titus!
n’eſt il pas vray que la iea dreſſe de vôtre Berenice ſon obſtination a voulu vous épouſer & ſon deſeſpoir vons deſolent?	n'est il pas vrai que la vdresse de vôtre Berenice son obstination a voulu vous épouser et son désespoir vons désolent?
TITUS.	TITUS.
Oüy ſans doute.	Oui sans doute.
Seigneur.	Seigneur.
APOLLON.	APOLLON.
Et vous, Tite, n’eſt il pas vray que l’inconſtæc de vôtre Berenice & le refus, qu’elle fait de voue pouſer, vous affligent, & que vous voudrierbe vous marier?	Et vous, Tite, n'est il pas vrai que l'inconstæc de votre Berenice et le refus, qu'elle fait de voue pouser, vous affligent, et que vous voudrierbe vous marier?
TITE.	TITE.
Il n’eſt rien de plus vray.	Il n'est rien de plus vrai.
APOLLON.	APOLLON.
Pour vous, ma Berenice, n’eſt il pas encor vrayq l’amour de Tite & ſon obſtination a vous épout vous eſt tres odieuſe, & que vous ne voulez po vous marier?	Pour vous, ma Berenice, n'est il pas encor vraiq l'amour de Tite et son obstination à vous épout vous est très odieuse, et que vous ne voulez pô vous marier?
BEREl	BÉREl
BERENICE de TITE.	BERENICE de TITE.
Ouy, Seigneur.	Oui, Seigneur.
APOLLON.	APOLLON.
Et vous, Berenice de Titus, ne voudriéz vous pas bien, que l’Empereur vous êpousât, & n’eſt ce pas le reſus qu’il en fait qui vous afflige?	Et vous, Berenice de Titus, ne voudriezz -vous pas bien, que l'Empereur vous épousât, et n'est ce pas le ressus qu'il en fait qui vous afflige?
BÊRENICE de TITUS.	BÊRENICE de TITUS.
Et Seigneur, n’ay je pas raiſon.	Et Seigneur, n'ai -je pas raison.
A POLLON.	À POLON.
Or bies puisque tout cela va ainſi, j’ay un moyen ſeur, pour vous mettre d’accord.	Or bies puisque tout cela va ainsi, j'ai un moyen sûr, pour vous mettre d'accord.
& vous rendre tous quatre contens, il ne faut pour tout cela, ſi, non que Tite & Titus troquent enſemble leurs Berenices, par ce moyenBerenice de Tite, qui ne veut pas te marier letuurte Puusrqui ne veut pas ſe marier auſſi, & ainſi ils ſeront d’accord:	et vous rendre tous quatre contents, il ne faut pour tout cela, si, non que Tite et Titus troquent ensemble leurs Bérénices, par ce moyenBérénice de Tite, qui ne veut pas te marier letuvrte Puusrqui ne veut pas se marier aussi, et ainsi ils seront d'accord:
& au contraire Berenice de Titus, qui veut ſe marier, ſera avec Tite, qui veut ſe marier auſſi, & ils ſe marieront ſi bon leur ſemble, car pour Tite, qui à eſté deux ou trois ſois tout preſt d’époufer Domitie, il s’accommodera bien auſſi volontiers d’une autre Berenice que de la ſienne.	et au contraire Berenice de Titus, qui veut se marier, sera avec Tite, qui veut se marier aussi, et ils se marieront si bon leur semble, car pour Tite, qui à été deux ou trois sois tout prêt d'épouser Domitie, il s'accommodera bien aussi volontiers d'une autre Berenice que de la sienne.
BERENICE de TITUS.	BERENICE de TITUS.
Mais cette Berenice ne s’accommodera jamais l’autre que de Titus.	Mais cette Berenice ne s'accommodera jamais l'autre que de Titus.
Titus ſeul a pû me plaire & non cœur ne prend point le change.	Titus seul a pu me plaire et non cœur ne prend point le change.
APOLLON.	APOLLON.
Le voila pas juſtement la ſeule choſe que je craiInois, voila un malheureux homme, que ce Tite, que perſonne ne veuille de luy, or bien donc, ne tous emportéz pas, puisque vous n’en vouléz rien aire je m’en vay vous juger, mais que veut ce jeule homme avec cette Femme?	Le voilà pas justement la seule chose que je craiInois, voilà un malheureux homme, que ce Tite, que personne ne veuille de même, or bien donc, ne tous emportéz pas, puisque vous n'en vouliez rien aire je m'en vais vous juger, mais que veut ce jeule homme avec cette Femme?
SCE	SCE
SCENE TROISIEME, DOMITIEN, DOMITIE, ApoiLON, MELPOMENE, THALIE, TITE, TITUS & les deux BERENICES.	SCÈNE -TROISIÈME, DOMITIEN, DOMITIE, ApoiLON, MELPOMENE, THALIE, TITE, TITUS et les deux BERENICES.
DOMITIEN.	DOMITIEN.
Seigneur, vous ſeréz ſans doute ſurpris, quedis inconnus comme nous oſent ainſi troubler le coumd'une occupation auſſi importante que celle ou vous eſtes preſentement, mais nous n’avous pofaire ceſler cet eſtonnement qu’à vous dire qui nou ſommes.	Seigneur, vous serez sans doute surpris, quedis inconnus comme nous osent ainsi troubler le coumd'une occupation aussi importante que celle ou vous êtes présentement, mais nous n'avou ffaire cesler cet étonnement qu'à vous dire qui nou sommes.
cette Dame, que vous voyez, icy nu moy, dépuis quelque tems, eſt ma Femme ſa s’appéle Domitie, il eſt malaiſé que ce nomn il point eſté meſlé dans l’affaire qui vous aſſembleu ce lieu, & pour moy, Seigneur, je ſuis Domi Frere de celuy de ces deux Meſſieurs que vous ſe claréz être le veritable Empereur de Rome (y Seigneur, mon Caractere vous eſt trop cou pour ignorer que l’ambition eſt ma paſſon dminante, & que jamais Cadet n’eut une plus loimpatience que moy d’être défait de ſon amnc, qu regner en ſa place, cela s’eſtant, jugéz Scigneu ſ ma douleur, en voyant qu’on me veut donnerdu ainéz à moy qui ay bien de la peyne à en ſouſt un ſeul, vous voyéz bien par la, ô Apolecombien grand eſt l’intereſt que j’ay dans cen affaire, je ſuis donc icy pour vous demander de le clarer comme il eſt bien juſte, que l’un de ces de pretendus Empereurs eſt un impoſteur, qu’il n’y en à qu’un de veritable, & qu’en fin je n’ay qu’un ainé, que ſi j’oſois encor paſſer plus avant, & vous faire une ſeconde priere;	cette Dame, que vous voyez, ici nu moi, depuis quelque temps, est ma Femme sa qu'appelle Domitie, il est malaisé que ce nomn il point été mêlé dans l'affaire qui vous assembleu ce lieu, et pour moi, Seigneur, je suis Domi Frère de celui de ces deux Messieurs que vous se claréz être le véritable Empereur de Rome (y Seigneur, mon Caractère vous est trop cou te ignorer que l'ambition est ma passon dminante, et que jamais Cadet 'eût une plus loimpatience que moi être défait ' on amnc, régner en sa place, cela estant, jugéz Scigneu ma douleur, en voyant on me veut donnerdu ainéz moi qui ay bien de la peine ' en ut un seul, plus voyéz bien par la, ' Apolecombien a est intérêt que may d' être affaire, de suis on pour vous demander de le ce comme il est bien juste, que un de ces de ' Empereurs est an imposteur, çil s' enta un de véritable, et en fin je ay uun ainé, à si osois encor a plus a, et vous faire une seconde à;
je vous conjurerois, ſeigneur, de declarer pour le veritable Empereur celuy des deux qui par la connoiſſance particuliere, que vous avéz de la Medicine, comme de toutes les autres ſciences, vous jugeréz devoir vivre le moins.	je vous conjurerais, seigneur, dé déclarer pour le véritable Empereur celui des deux qui par la connaissance particulière, que vous avez de la Médicine, comme de toutes les autres sciences, vous jugeréz devoir vivre le moins.
A POLLON.	À POLON.
C’eſt aſſéz, je vous entens, retiréz vous je vous fairay Juſlice, & vous.	C'est assurés, je vous entends, retiréz -vous je vous fairai Jûlice, et vous.
Domitie, parléz ſi vous avéz quelque choſe à dire.	Domitie, parléz si vous avez quelque chose à dire.
DOMITIE.	DOMITIE.
Mon ſentiment, Seigneur, n’eſt autre que celuy lt mioumary;	Mon sentiment, Seigneur, n'est autre que celui lt mioumari;
car deniime, qu’a luy l’ardeur de egner, eſt ma plus forte paſſion & quand l’amour le la grandeur occupe toute l’ame, la moindre conuurrence en irrite la ſoif, comme elle en releve le urix & la jalouſie de la toute puiſſance.	car deniime, qu'a avait l'ardeur de égner, est ma plus forte passion et quand l'amour le la grandeur occupe toute l'âme, la moindre conuurrence en irrite la soif, comme elle en relève le urix et la jalousie de la toute puissance.
APOLLON Se Levant.	APOLLON Se Levant.
Dieux que veut dire cette Femme avec ce dilours confus, quel cahos!	Dieux que veut dire cette Femme avec ce dilours confus, quel cahos!
Muſes délivrez moy de e Galimathias & qu’on chaſſe d’icy cette malheueuſe, qui profane la pureté de ce lieu ſacré par ſes epreſſions barbares, puiſſe le genie de ce Saint emple enſevelir ce maudit jargon dans les plus oires ombres de l’oubli.	Muses délivrez -moi de e Alimathias et qu'on chasse d'ici cette malheuse, qui profane la pureté de ce lieu sacré par ses épressions barbares, puisse le génie de ce Saint emple ensevelir ce maudit jargon dans les plus ô ombres de l'oubli.
MEL	MEL
SCENE QUATRIEME, POLLON, MELPOMENE, THALIE, TITUS, les BERENICES.	SCÈNE QUATRIÈME, POLON, MELPOMENE, THALIE, TITUS, les BERENICES.
MELPOMENE à TITUS.	MELPOMENE à TITUS.
Mais eſt ce que Domitie à coutume de pails cette ſorte ou qu’elle Extravague.	Mais est ce que Domitie à coutume de pails cette sorte ou qu'elle Extravague.
OS.	OS.
C’eſt la de ſon plus clair, & jamais elle nes’en qua plus nettement.	C'est la de son plus clair, et jamais elle n'en qua plus nettement.
THALIE à TITE.	THALIE à TITE.
Voyéz par la colere & l’émotion d’Apollon d quelle couſequence il eſt de s’expliquer claireme icy, & dans quel inconvenient vous ſetiez toult ſi je ne vous avois pas averti, de ne pas palu dai luy vôtre langue ordinaire.	Voyéz par la colère et l'émotion d'Apollon d' elle couquence il est de s'expliquer claireme ici, et dans quel inconvénient vous sétiez toult si je ne vous avais pas averti, de ne pas palu dai toujours votre langue ordinaire.
T E.	T E.
Je vous ay bien de l’obligation de cet avisà ſ ſuccéz qu’il a eu, mais pourtant Domitie pailef clairement que cela, quand elle veut, par Lien ſe peut il rien de plus clair que ce qu’elle me din une ſois.	Je vous ai bien de l'obligation de cet avisà s succès qu'ils a eu, mais pourtant Domitie pailef clairement que cela, quand elle veut, par Lien se peut -il rien de plus clair que ce qu'elle me din une sois.
Seigneur, ſi vous m’aiméz, l’occaſion eſt leleEt tous ces vers icy.	Seigneur, si vous m'aiméz, l'occasion est lèlet tous ces vers ici.
I’e ceque je me dois je ſaytrep la miſure, Neron m’eut pour parenie & Cobulon paurſt C’eſt ce qu’à dire vray j’auraypeine à luy dut I'en ſuis au deſeſpoir & vous en fais exeuſe Et cent autres auſſi clairs:	J'est ceque je me dois je saîtrep la misure, Neron m'eut pour parnie et Cobulon paurais C'est ce qu'à dire vrai j'auraipeine à M dut J'en suis au désespoir et vous en fais exeuse Et cent autres aussi clairs:
mais c’eſt qu’elle act qu’il falloit ſe mettre ſur le haut ſtile, parcequeci ſtoit devant Apollon.	mais c'est qu'elle act qu'il fallait se mettre sur le haut style, parcequeci stait devant Apollon.
APOLLON Se Raſſeyant.	APOLLON Se Rasseyant.
Cette Femme m’a presque mis hors de moy, je n’aurois jamais cru être ſi peu mon Maitre.	Cette Femme m'a presque mis hors de moi, je n'aurais jamais cru être si peu mon Majaitre.
E les Dieux oot leurs emportemens auſſi bienque hommes, quoy qu’il en ſoit s’ordonne avant te che choſes que cette Domitie, qui vient de ſortir l’icy, pour reparation d’avoir profané ce lieu ſacté par on diſcours Baibare, ſera bernée publiquement au milieu de la place, qui eſt devant ce Temple fameux;	E les Dieux oot leurs emportements aussi bienque hommes, quoi qu'il en soit s'ordonne avant te che oses que cette Domitie, qui vient de sortir l'ici, pour réparation d'avoir profané ce lieu sacté par on discours Baibare, sera bernée publiquement au milieu de la place, qui est devant ce Temple fameux;
á fin qu’il en ſoit memoire á j’amais & pour empecher que pareille choſe ne puiſſe arriver à l’avenir, l eſt enioint à tous ceux qui gardent les entrées du Parnaſſe, qu’ils ayent deſormais á ne laiſſer plus mtrer perſonne de quelque qualité & condition que ce ſoit;	Ur fin qu'il en soit mémoire ôrmaise et pour empêcher que pareille chose ne puisse arriver à l'avenir, l est enioint à tous ceux qui gardent les entrées du Parnasse, qu'ils aient désormais ne laisser plus montrer personne de quelque qualité et condition que ce soit;
quelque nom qu’elle porte, & de quelque part qu’elle vienne, ſans qu’au prealable on a faſſe parler, & de refuſer ſans miſericorde tous teux, qui ne parleront pas une langue intelligible:	quelque nom qu'elle porte, et de quelque part qu'elle vienne, sans qu'au préalable on a fasse parler, et de refuser sans miséricorde tous teux, qui ne parleront pas une langue intelligible:
Quant au particulier de vous quatre, ô Princes, il eraſurſis au jugement de Tite jusqu’à ce qu’il ait ait entendre & declaré plus nettement qu’il n'a ait juſqu’icy, ce qu’il aime & ce qu’il hait, ce qu’il eut, & ce qu’il ne veut pas.	Quant au particulier de vous quatre, ô Princes, il erasurs au jugement de Tite jusqu'à ce qu'il ait ait entendre et déclaré plus nettement qu'il n'a ait jusqu'ici, ce qu'il aime et ce qu'il hait, ce qu'il eut, et ce qu'il ne veut pas.
Sa Berenice ſera admoétée de ne plus tomber dans une Bizarrerie auſſi lamable, que celle qui luy fait quitter Tite desque Senat luy permet de l’êpouſer, & que ce vice our être ſi ordinaire à ſon ſexe, n’en eſt pas moins làmable, pour Titus ç’a êté une grande imprudene à luy de s’être expoſé au jugement du vulgaire.	Sa Berenice sera admoétée de ne plus tomber dans une Bizarrerie aussi lamable, que celle qui lui fait quitter Tite des Sénat Ah permet de l'épouser, et que ce vice our être si ordinaire à son sexe, n'en est pas moins làmable, pour Titus ça êté une grande imprudene lui de être exposé au jugement du vulgaire.
ui ne comprend point les forces de l’amour de la loire, & c’eſt bien employé s’il a paſſé pour un ippon, mais pour la Berenice comme elle, n’eſt ins aucune perplexité, qu’elle paroit tout) à fair nocente, & qu’on ne voit pas qu’il y ait rien de faute dans ſon malheur, la pitié, qu’elle excite, eſt op grande pour donner du plaiſir à degenrs ns ceſſe en horreur & en indignation.	Ut ne comprend point les forces de l'amour de la loire, et c'est bien employé s'il a passé pour un ipon, mais pour la Berenice comme elle, n'est ins aucune perplexité, qu'elle parait tout) à fair nocente, et qu'on ne voit pas qu'il y ait rien de faute dans son malheur, la pitié, qu'elle excite, est op grande pour donner du plaisir à dégenrs nus cesse en horreur et en indignation.
quant au principal, à la verité il y a plus d’apparence que Ti tus & ſa Berenice ſoient les veritables que nonpa que ce ſoient les autres, mais pourtant quoy qui en ſoit, & toutes choſes bien conſiderées les uni & les autres auroient biẽ mieux fait, de ſe tenir au piy d’Hiſtoire, dont ils ſont originaires, que d’arou voulu paſſer dans l’Empire de Poèſie aquoy il netoient nullement paoptes & ou pour dire la veue on les a amenéz, à ce qu’il me ſemble aſſéz nui propos.	quant au principal, à la vérité il y a plus d'apparence que Ti us et sa Berenice soient les véritables que nonpa que ce soient les autres, mais pourtant quoi qui en soit, et toutes choses bien considérées les uni et les autres auraient bieurs mieux fait, de se tenir au pi d'Histoire, dont ils sont originaires, que d'arou voulu passer dans l'Empire de Poèsie aquoi il nétaient nullement paoptes et et pour dire la vie on les a menés, à ce qu'il me semble assurés nuit propos.
FIN.	FIN.
principal, à la verité il y a plus d’apparence que Ti tus & ſa Berenice ſoient les veritables que nonpa que ce ſoient les autres, mais pourtant quoy qui en ſoit, & toutes choſes bien conſiderées les uni & les autres auroient biẽ mieux fait, de ſe tenir au piy d’Hiſtoire, dont ils ſont originaires, que d’arou voulu paſſer dans l’Empire de Poèſie aquoy il netoient nullement paoptes & ou pour dire la veue on les a amenéz, à ce qu’il me ſemble aſſéz nui propos.	principal, à la vérité il y a plus d'apparence que Ti us et sa Berenice soient les véritables que nonpa que ce soient les autres, mais pourtant quoi qui en soit, et toutes choses bien considérées les uni et les autres auraient biẽ mieux fait, de se tenir au pi d'Histoire, dont ils sont originaires, que d'arou voulu passer dans l'Empire de Poésie aquoi il netaient nullement paoptes et et pour dire la vie on les a amenés, à ce qu'il me semble assurés nui propos.
FIN.	FIN.
