LESSAT DES IEIRCED.	LÉSÂT DES IEIRCÉD.
coiinient Coquin tu te moqueras de moy & tu ne parleras pas, il le frappe.	coiinient Coquin tu te moqueras de moi et tu ne parleras pas, il le frappe.
MELETII.	MELETII.
Ah!	Ah!
ah!	ah!
ah Monſieur, j’enrage de vouloir faire parler un Muet.	ah Monsieur, j'enrage de vouloir faire parler un Muet.
PASCARIEL.	PASCARIEL.
Ouï je te l’ay déffendu, & je t’aſſommeray.	Oui je te l'ai défendu, et je t'assommerai.
MECEXEE Voulés-vous que je parle Monſieur?	MECEXE Voulés-vous que je parle Monsieur?
Non ?	Non ?
PASCARIEL.	PASCARIEL.
MEZETIN.	MEZETIN.
Voulés-vous que je ſois Muet?	Voulez-vous que je sois Muet?
Non ?	Non ?
PASCARIEL.	PASCARIEL.
MEZETIN.	MEZETIN.
Mais Monneur ecoutes donc raiſon, il faut parler où ne dire mot.	Mais Monneur ectes donc raison, il faut parler où ne dire mot.
PASCARIEL.	PASCARIEL.
Tu raiſonne encor, je te caneray les bras, oüi je veux que tu parles, & que tu ſois Muet?	Tu raisonne encor, je te canerai les bras, oui je veux que tu parles, et que tu sois Muet?
MEZETIN.	MEZETIN.
Quand vous me devriés aſſomer, je vous dis que cela eſt impoſſible, ah la maudite choſe que de ſervir des Amoureux de qualité, j’aimerois mieux être valet du Vivandier de la Flotte de beile que d'ette dans une pareille condition.	Quand vous me devriez assomer, je vous dis que cela est impossible, ah la maudite chose que de servir des Amoureux de qualité, j'aimerais mieux être valet du Vivandier de la Flotte de beile que d'ette dans une pareille condition.
PASCARIEL.	PASCARIEL.
Qu’as tu fais de l’argent que je t’ay donné.	Qu'as tu fais de l'argent que je t'ai donné.
MEZETIN.	MEZETIN.
Je vais vous en lire le memoire.	Je vais vous en lire le mémoire.
Pour avoir fait racommoder vôtre Fuſil, 12.	Pour avoir fait racommoder votre Fusil, 12.
livres.	livres.
PASCARIEL.	PASCARIEL.
Comment Maraut douze francs, le meilleur de mes Fuſils ne m’a jamais coûté que ſix francs.	Comment Maraut douze francs, le meilleur de mes Fusils ne m'a jamais coûté que six francs.
MEZETIN.	MEZETIN.
Celuy dont je vous parle étoit ſi delabré, qu’il n’avoit ny canon, ny fût, ny platine, pour avoir fait ramoner la cheminée de Madame vôtre ſœur quarante ſols.	Celui dont je vous parle était si délabré, qu'il n'avait ni canon, ton fût, Seigneur platine, pour avoir fait ramoner la cheminée de Madame votre sœur quarante sols.
PASCARIEL.	PASCARIEL.
Quarante ſols.	Quarante sols.
MEZETIN.	MEZETIN.
Ouy Monſieur quarante ſols, la guerre de Savoye a rendu les bons Ramoneurs fares, & il y avoit long temps qu’elle en avoit beſoin.	Oui Monsieur quarante sols, la guerre de Savoie a rendu les bons Ramoneurs fares, et il y avait long temps elle en avait besoin.
Pour avoir fait reprendre une maille à vôtre ous 5erjels.	Pour avoir fait reprendre une maille à votre ous 5erjels.
PASCARIEL.	PASCARIEL.
Coquin 30.	Coquin 30.
fols.	fols.
MEZETIN.	MEZETIN.
Cui Monfieur 30.	Cui Monfieur 30.
ſols, a de jolies ravaudeuſes, on ne prend pas garde de ſi prés.	sols, a de jolies ravaudeuses, on ne prend pas garde de si près.
Pour vos plaiſirs Nocturnes, 100.	Pour vos plaisirs Nocturnes, 100.
livres.	livres.
PASCARIEL.	PASCARIEL.
Comment 100.	Comment 100.
livres.	livres.
MEZETIN.	MEZETIN.
Eh, Monfieur deves vous regreter l’argent dans une pareille occaſion vous avés voulu plus de cent fois donner cent Piſtoles, pour l’avoir, il ne vous en coute quedix.	Eh, Monfieur devez vous regreter l'argent dans une pareille occasion vous avez voulu plus de cent fois donner cent Pistoles, pour l'avoir, il ne vous en coute quedix.
Mon reſte.	Mon reste.
PASOHRIEL.	PASOHRIEL.
MELETIIO.	MELETIIO.
Vous vous moqués Moſieur vous me devés encor deux Piſtolles.	Vous vous moqués Mosieur vous me devez encor deux Pistoles.
PASCARIEL.	PASCARIEL.
J’examineray ce petit memoire là.	J'examinerai ce petit mémoire là.
Bas.	Bas.
MEZETIN.	MEZETIN.
Pourveu qu’il n’examine que le memoire, je m’en conſoleray;	Pourvu qu'il n'examine que le mémoire, je m'en consolerai;
mais mes épaules pourroient bien avoir le même ſort.	mais mes épaules pourraient bien avoir le même sort.
PASCARIEL.	PASCARIEL.
à t’en de ce pas trouver Spinette, & que je lui parle.	à t'en de ce pas trouver Spinette, et que je lui parle.
LIOTETIT SCENE PREMIERE.	LIOTETIT SCÈNE PREMIÈRE.
MELETIN, LE DOCTEUR, SPINETTE, COLOMDINE, ARLEQUIN.	MELETIN, LE DOCTEUR, SPINETTE, COLOMDINE, ARLEQUIN.
Pe X MEZETIN.	Pe X MEZTIN.
Oilà mon Maître qui jure comme un Diable qu’il veut une autre dobundi Chambre, jerlui ay voulu dire que vous n’en aviés pas d’autre, il a juré un miorbleu en rourrrant les yeux, qui m’a fait prendre ma courſe juſqu’icy ſans prendre halaine.	Oilà mon Maître qui jure comme un Diable qu'il veut une autre dobuni Chambre, jerlui ai voulu dire que vous n'en avez pas d'autre, il a juré un miorbleu en rourrant les yeux, qui m'a fait prendre ma course jusqu'ici sans prendre halaine.
LE DOCTEUR.	LE DOCTEUR.
Les Jambes me faillent, je n’y peut aller.	Les Jambes me faillent, je n'y peut aller.
MEZETIN Eh bien, envoyés-y Spînette.	MEZETIN Eh bien, envoyez-y Spînette.
ARLE SIIO Qu'elle y aille l’amitié s’y mettra peutêtre, & puis il l’épouſera à la Dragonne, le	ARLE SIIIO Qu'elle y aille l'amitié s'y mettra peut, et puis il l'épousera à la Dragonne, le
mariage de ces Meſſieurs-là ne dure que quatre à cinq mois, qui eſt le tems de leur Garniſon, & il leur eſt permis de ſe marier tous les ans, je trouve cela fort commode, tantôt on les envoye en Allemagne, en Flandre, en Piémont, en Bourgogne, en Champagne, en Picardie, en Normandie, en Provence, en Lorraine, voyés ſi une femme pourroir faire ce chemin-là, pour leur éviter la fatigue du voyage ils ſe marient par tout où ils ſe trouvent & comme leurs mariages n’eſt que de parorie, les femmes qui les épouſent aprés leurs départs peuvent ſe marier comme veuves.	mariage de ces Messieurs-là ne dure que quatre à cinq mois, qui est le temps de leur Garnison, et il leur est permis de se marier tous les ans, je trouve cela fort commode, tantôt on les envoie en Allemagne, en Flandre, en Piémont, en Bourgogne, en Champagne, en Picardie, en Normandie, en Provence, en Lorraine, voyez si une femme pourroir faire ce chemin-là, pour leur éviter la fatigue du voyage ils se marient par tout où ils se trouvent et comme leurs mariages n'est que de parorie, les femmes qui les épousent se leurs départs peuvent se marier comme veuves.
LE DOCTEUR.	LE DOCTEUR.
Tout çà, ces mariages la ne m'accomodent pas, je veux m’en debaraſſer pour ma vie.	Tout çà, ces mariages la ne m'accommodent pas, je veux m'en débarrasser pour ma vie.
MEZETIN.	MEZETIN.
Laiſſés le dire, mon Maître l’épouſera pour toujours, & j’en iuis cautioir, je lui ay deja veu faire plus de cent promeſſes pareilles, il n’en a pas manqué une, il conduit Spinette?	Laissez le dire, mon Maître l'épousera pour toujours, et j'en juis cautioir, je lui ai déjà vu faire plus de cent promesses pareilles, il n'en a pas manqué une, il conduit Spinette?
ſon Maître.	son Maître.
ARLEQUIN, Chante.	ARLEQUIN, Chante.
Le Mariage eſt une ſotte choſe, Quand on s’engage pour long-tems, Tous les marts ſouparttent ia cluuſe, de changer tous les prin tems.	Le Mariage est une sotte chose, Quand on s'engage pour longtemps, Tous les marts soupartent ja cluuse, de changer tous les prin temps.
COLOMBINE.	COLOMBINE.
Moy je veux me marier pour ma vie, & que je ſois femme l’Eté comme l’Hyvert.	Moi je veux me marier pour ma vie, et que je sois femme l'Été comme l'Hivert.
Elle Chante.	Elle Chante.
Nous aimons dans nos villages, Les gens en tout temps preſents On ſçait quand on eſt abſent.	Nous aimons dans nos villages, Les gens en tout temps présents On sçait quand on est absent.
Qu’un Amant devient volage, Et le cœur d’un Ofcier, Ejvrenjons prer a changer.	Qu'un Amant devient volage, Et le cœur d'un Ofcier, EjUrenjons prè a changer.
SCENE II.	SCÈNE II.
DEDOCIEOR,MELETIN, ARLEQUIN, COLOMBINE.	DÉDOCIEOR,MELTIN, ARLEQUIN, COLOMBINE.
LE DOCTEUR.	LE DOCTEUR.
H, la diable de Medecine, je me porN tois prenque bien, & ine vond tout-afait malade.	H, la diable de Médecine, je me porN tois prenque bien, et ine vond tout-fait malade.
MEZETIN.	MEZETIN.
C'eſt qu’elle fait effet.	C'est qu'elle fait effet.
LE DOCTEUR.	LE DOCTEUR.
Si j’en avois la force ma main avec un bâton feroit effet.	Si j'en avais la force ma main avec un bâton ferait effet.
MLZDIIN.	MLZDIN.
Un autre que vous, mais vous avés la fiévre chaude.	Un autre que vous, mais vous avez la fièvre chaude.
LE DOCTEU.	LE DOCTEU.
R Et toy tu as le diable dans le corps.	R Et toi tu as le diable dans le corps.
MEZETIN.	MEZETIN.
Il faut renvoyer querir le Medecin.	Il faut renvoyer quérir le Médecin.
LE DOCTEUR.	LE DOCTEUR.
Il faut envoyer querir le bourreau pour te pendre.	Il faut envoyer quérir le bourreau pour te pendre.
MEZETIN.	MEZETIN.
Si j’avois quelque choſe pour vous ſoulager.	Si j'avais quelque chose pour vous soulager.
LE BCONRER.	LE BCONRER.
Si j’avois une corde pour t’étrangler.	Si j'avais une corde pour t'étrangler.
MEZETIN.	MEZETIN.
Vous ne ſongés pas que vous vous ferés mal.	Vous ne songez pas que vous vous ferez mal.
LE DOCTEUR.	LE DOCTEUR.
Tu ne ſonge pas que tu me fera mourir avec ton pedagogue, & babillard de Medecin.	Tu ne songe pas que tu me fera mourir avec ton pédagogue, et babillard de Médecin.
MELETIN.	MELETIN.
Je voudrois qu’il ne tint qu’à moy que vous fuſſiés guery.	Je voudrais qu'il ne tint qu'à moi que vous fiez guéri.
LE DOCTEUR.	LE DOCTEUR.
Et moy je voudrois qu’il ne tint qu’à la moitié de mon bien que tu fus crevé il y a dix ans, eh ma fille eſt bien long-temps à appaiſer ce Monſieur le Capitaine, faut-il tant de raiſons, j’apprehende qu’avec ſon bel eſprit, & ſes beaux diſcours il ne prenne nôtre fille pour une ville, & qu’en faiſant breche à ſon homneur ir n’y monte à l’aſſaut, j’ay envie d’y aller voir, je ſuis las de ſes allées, & venir.	Et moi je voudrais qu'il ne tint qu'à la moitié de mon bien que tu fus crévé il y a dix ans, eh ma fille st bien longtemps à apaiser ce Monsieur le Capitaine, faut-il tant de raisons, j'appréhende qu'avec son bel esprit, et ses beaux discours il ne prenne nôtre fille pour une ville, et qu'en faisant brèche à son homneur ir n'y monte à l'assaut, j'ai envie d'y aller voir, je suis las de ses allées, et venir.
ARLEQUIN.	ARLEQUIN.
Ah mon Maître ny allés pas il vous tuera.	Ah mon Maître ici assez pas il vous tuera.
MEZETIN.	MEZETIN.
Qu’un Regiment de Cavalerie m’entre dans le corps le ſabre a la main on pmanque.	Qu'un Regiment de Cavalerie m'entre dans le corps le sabre a la main on pmanque.
LE DOCTEUR.	LE DOCTEUR.
Ah qu’il n’eſt pas permis de tuer comme cela, ſi cela arrivoit je monterois ſur mon âne noir, & je m’en irois droit au Roy, eſtce qu’il s’imagine à cauſe que je ſommes de pauvres gens qu’il n’y a qu’à tuer, par la margué ſans ce narme je le gormerois comme un chien, mais avec leur diable d’épée il vous fouront cela dans le ventre d’un homme, & puis pouf le vla par terre.	Ah qu'il n'est pas permis de tuer comme cela, si cela arrivait je monterais sur mon âne noir, et je m'en irais droit au Roi, estce qu'il s'imagine à cause que je sommes de pauvres gens qu'il n'y a qu'à tuer, par la margué sans ce narme je le gormerais comme un chien, mais avec leur diable d'épée il vous fouront cela dans le ventre d'un homme, et puis pouf le vla par terre.
MEZETIN.	MEZETIN.
Il vous tueroit, & toute vôtre generation juſqu’à la ſeptiéme ſequele qu’il n’en ſeroit pas un zeſte, vous ne le conoiſſés pas, il tuë Tor lommes legiement par jour, moy qui vous parle j’en pourrois faire de méme ſi je n’eſpargnois le genre humain.	Il vous tuerait, et toute votre génération jusqu'à la septiéme sequele qu'il n'en serait pas un zeste, vous ne le conaissez pas, il tuë Or lommes légiement par jour, moi qui vous parle j'en pourrais faire de même si je n'épargnais le genre humain.
ARLEQUIN.	ARLEQUIN.
Parguoué cela eſt bien commode, faut que je me faſſe de guerre on ne ſçauroit icy donner un coup de poing que d’abord ces diaptes de tabatins, & porteurs de robbes vous font mille chicannes, on a biau regimber contre la Juſtice ils ne vous quittent pas ſans emporter la piece.	Parguoué cela est bien commode, faut que je me fasse de guerre on ne saurait ici donner un coup de poing que d'abord ces diaptes de tabatins, et porteurs de robes vous font mille chicines, on a biau regimber contre la Justice ils ne vous quittent pas sans emporter la pièce.
MEZETIN.	MEZETIN.
Eh bien Arlequin je t’enrôlle tu n’as plus qu'a fane comitie moy, voila une épée pour aſſeurance que tu eſt au ſervice du Roy.	Eh bien Arlequin je t'enrôlle tu n'as plus qu'a fane comitie moi, voilà une épée pour assurance que tu est au service du Roi.
ARLEQUIN.	ARLEQUIN.
Il faut donc que je tuë 2o.	Il faut donc que je tue 2o.
hommes par jour.	hommes par jour.
MELETTIV.	MELETIV.
Il ne tient qu’à toy.	Il ne tient qu'à toi.
ARLEQUIN.	ARLEQUIN.
Ah ah Monſieur le genre humain tu n’as qu’à te bien tenir.	Ah ah Monsieur le genre hum tu n'as qu'à te bien tenir.
& ſi la Juſtice y met le nés, & avec ſon eſprit de travers.	et si la Justice y met le nés, et avec son esprit de travers.
MEZETIN.	MEZETIN.
Nous ne connoiſſons pas la Juſtice, & ſi on t avort pendu madamſe la juitiee verreit beau jeu.	Nous ne connaissons pas la Justice, et si on t ort pendu madamse la juitie verreit beau jeu.
ARLEQUIN.	ARLEQUIN.
Ma foy voila Colombine qui t’appelle, je crois qu’on l’enleve.	Ma foi voilà Colombine qui t'appelle, je crois qu'on l'enlève.
MEZETIN.	MEZETIN.
Eh bien Monſieur voyés-vous comme on emleve les files, ſi la votre n'eſtoit toubs la ſauve-garde de mon Maître l’eſchapperoitelle.	Eh bien Monsieur voyez-vous comme on emlève les files, si la votre n'était toubs la sauve-garde de mon Maître l'échapperoitelle.
COLOMBINE arrivant à Mezetin.	COLOMBINE arrivant à Mezetin.
Tu n’as qu’à te venir frotter auprés de more	Tu n'as qu'à te venir frotter auprès de more
MEZETIN.	MEZETIN.
Ma foi j’y courois, & pour aller plus vite j’allois me botter, & monter à cheval.	Ma foi j'y courais, et pour aller plus vite j'allais me botter, et monter à cheval.
CQLOMBINE.	CQLOMBINE.
* C’eſtoit là haut dans le grenier où ils me portoient.	* C'était là haut dans le grenier où ils me portaient.
frieEua elra Au Grenier, & à la Cave ſont des endroits où l’honneur d’une fille n’eſt guerre en ſeureté, tu eſt bien-heureuſe ſi tu en eſt eſchappée.	frieEua elra Au Grenier, et à la Cave sont des endroits où l'honneur d'une fille n'est guerre en sûreté, tu est bienheureuse si tu en est échappée.
MEZETIN.	MEZETIN.
Quand ſe ſeroit au Crenier j y aurois flonté à cheval botté, & eſperonné, j’ay un bidet qui monteroit au grand galop l’eſcalier de la Tour de Babilonne.	Quand se serait au Crénier j y aurais flonté à cheval botté, et espéronné, j'ai un bidet qui monterait au grand galop l'escalier de la Tour de Babilonne.
COLOMBINE.	COLOMBINE.
Allés exercer vos menteries ailleurs.	Allez exercer vos menteries ailleurs.
MEZETIN.	MEZETIN.
Ma foy je te dis de mon mieux, nous autres nous n’avons pas accoutumé de tant prier, ſur tout n’enterre pas mon cœur dans l’ordure de ton indifference, car ſi je m’en apperçois je congedieray l’amour que j’ay pour toy, & rendray la place nette pour un autre.	Ma foi je te dis de mon mieux, nous autres nous n'avons pas accoutumé de tant prier, sur tout n'enterre pas mon cœur dans l'ordure de ton indifférence, car si je m'en apperçois je congédierai l'amour que j'ai pour toi, et rendrai la place nette pour un autre.
COLOMBINE.	COLOMBINE.
Quelle ſoit ſalle où nette cela m’importe peu.	Quelle soit salle où nette cela m'importe peu.
MEZETIN.	MEZETIN.
Tu te fâche donc, ma foy je n’iray pas te rechercher.	Tu te fâche donc, ma foi je n'irai pas te rechercher.
COLOMBINE.	COLOMBINE.
Yu y ierais olen venu.	Yu y jerais olen venu.
MEZETIN.	MEZETIN.
Sçais-tu que ſi je t’avois eſpouſé j’aurois vou lu du retour.	Sais-tu que si je t'avais épousé j'aurais vou lu du retour.
COLOMBINE.	COLOMBINE.
Du retour!	Du retour!
ah c’eſt bien aſſez troque pour troc.	ah c'est bien assez troque pour troc.
ARLEQOIN.	ARLÊQOIN.
Eh bien Colombine as-tu du cœur.	Eh bien Colombine as-tu du cœur.
COLOMBINE.	COLOMBINE.
Ouy ouy, j’en ay, & il s’en appercevra;	Oui oui, j'en ai, et il s'en apercevra;
avoir l’effronterie de dire qu’il veut du retour.	avoir l'effronterie de dire qu'il veut du retour.
ARLEQUII.	ARLÊQUII.
S’il ne tient qu’à cela que vous ſoyés mariés riés baille luy-en tout ſon ſoul parce que cela ſerite bien ſe faire tirer l’oreille.	S'il ne tient qu'à cela que vous soyez mariez riez baille était-en tout son soul parce que cela serite bien se faire tirer l'oreille.
COLOMBINE.	COLOMBINE.
Ah il verra ſi je l’aime dés te reir, je vais dechirer ſes lettres.	Ah il verra si je l'aime dès te réir, je vais déchirer ses lettres.
MuuclIlao Et moy tout à l’heure tiens les voila.	MuclIlào Et moi tout à l'heure tiens les voilà.
COLOMBINE.	COLOMBINE.
Tu le payeras ma foy, voila donc cette grande amitié.	Tu le payeras ma foi, voilà donc cette grande amitié.
MEZETIN Je ne ſçaurois ſouffrir davantage cherche qui t’aimera.	MEZETIN Je ne saurais souffrir davantage cherche qui t'aimera.
il s’en va.	il s'en va.
COLOMBINE.	COLOMBINE.
Vertu de ma vie tu n’en demeureras pas là, tu tiendras ta parole ou je t’arracheray les yeux.	Vertu de ma vie tu n'en demeureras pas là, tu tiendras ta parole ou je t'arracherai les yeux.
ARLEQUIN.	ARLEQUIN.
Quel enteſtement Colombine, tiea voila une chanſon.	Quel entêtement Colombine, tiea voilà une chanson.
Un Amant bien ſincere, Ne ſe rebutte guerre, La conſtance de ſouffrir, Le fait un jour cherir, Mais ſi d'une parole il ſe pique d’honneur, Choiſiſſez-en un aut re & luy dennés vôtre cœur.	Un Amant bien sincère, Ne se rebute guerre, La constance de souffrir, Le fait un jour chérir, Mais si d'une parole il se pique d'honneur, Choisissez-en un aut re et re dennés votre cœur.
SCENE III.	SCÈNE III.
SPINETTE, ARLEQUIN,	SPINETTE, ARLEQUIN,
ARLEQUIN.	ARLEQUIN.
Ou vient-tu opinette comme te voilà choſe, tu rougi.	Ou vient-tu opinette comme te voilà chose, tu rougi.
SPINETTE.	SPINETTE.
Voyés, qui eſt-ce qui ne rougiroit pas.	Voyez, qui est-ce qui ne rougirait pas.
IRLEQUIN.	JRLÊQUIN.
Và, và, c’eſt que je ris, ne ſçay-je pas bien qu’à ton âge quelques fredaines d’amour ſont neceſſaires.	Và, và, c'est que je ris, ne sais-je pas bien qu'à ton âge quelques fredaines d'amour sont nécessaires.
SPINETTE.	SPINETTE.
Pardy je ne t’avois pas remarqué, eh te voilà habillé en Soldat.	Pardi je ne t'avais pas remarqué, Eh te voilà habillé en Soldat.
ARLEQUIN.	ARLEQUIN.
C’eſt pour dancer à ta nopce, j’auray comme tu voy l’honneur de vous voir à l’armée, iernigué que tu eſt glorieuſe depuis que tu eſt parmi les Monſieurs, tient pour maxime que la plus grande joye dure le moins, & qui ſuit la fortune & l’amour!	C'est pour dancer à ta noce, j'aurai comme tu vois l'honneur de vous voir à l'armée, jernigué que tu est glorieuse depuis que tu est parmi les Monsieurs, tient pour maxime que la plus grande joie dure le moins, et qui suit la fortune et l'amour!
pert & gagne, rit & pleure au mois nx fois le jour.	pert et gagne, rit et pleure au mois nx fois le jour.
SPINETTE.	SPINETTE.
Và v.	Và v.
̀, Arlequin il m’aimera toûjours, il me l’a dit.	Çà Arlequin il m'aimera toujours, il me l'elle dit.
ARLEQUIN.	ARLEQUIN.
Nous autres gens de guerre nous avons une diſpenſe pour mentir dans ces ſortes de Iencontres, comme de nous marier tous les ans;	Nous autres gens de guerre nous avons une dispense pour mentir dans ces sortes de Jencontres, comme de nous marier tous les ans;
la conſtance n'eſt preſentement à la mode que pour ces petits Maîtres, ſes minois de finãces qui n’ont d’épée que pour en falrevoir la poignée, nous autres comme nous aimons à faire conquête ſur conquête, un cœur ne s’eſt pas plûtôt livré entre nos bras, & aprés en avoir eû ce que nous ſoûhaittons nous le laiſſons en proye à nôtre indifference;	la constance n'est présentement à la mode que pour ces petits Maîtres, ses minois de finance qui n'ont d'épée que pour en falrevoir la poignée, nous autres comme nous aimons à faire conquête sur conquête, un cœur ne s'est pas plutôt livré entre nos bras, et après en avoir eû ce que nous souhaitons nous le laissons en proie à notre indifférence;
voilà une Chanſon qui y a aſſés d’application.	voilà une Chanson qui y a assez d'application.
CHANSON.	CHANSON.
Les hommes en amour ſe flattent de conſtance, Ont-ils ce qu’ils ſoûhaittent, plus de perſeverance, Si-tôt qu’ils n’ont plus de deſir, Adieu tous les ſerments, adieu tous les plaiſirs.	Les hommes en amour se flattent de constance, Ont-ils ce qu'ils souhaitent, plutôt de persévérance, Sitôt qu'ils n'ont plus de désir, Adieu tous les serments, adieu tous les plaisirs.
E ij	E ij
SCENE IV.	SCÈNE IV.
LE DOCTEUR, ARLEQUIN, PASCARIEL, MEZETIN, SPINETTE.	LE DOCTEUR, ARLEQUIN, PASCARIEL, MEZETIN, SPINETTTE.
LE DOCTEUR.	LE DOCTEUR.
A voila le Capitaine, je ſuis mort.	A voilà le Capitaine, je suis mort.
Rx ARLQIUN.	Rx ARLIQUN.
Hé moy je fuis envie.	Hé moi je fuis envie.
LE DOCTEUR.	LE DOCTEUR.
Hà il me va tuer	Hà il me va tuer
AREEQUIITe Tanpi, pour vous.	AREEQUIITe Tanpi, pour vous.
PASCARIEL.	PASCARIEL.
Bon jour bon homme.	Bon jour bon homme.
LE DOCTEUR.	LE DOCTEUR.
Hà Monſieur ce n’eſt pas moy, ma Fille vous prie de me laiſſer vivre encor une cinquantale d alnees.	Hà Monsieur ce n'est pas moi, ma Fille vous prie de me laisser vivre encor une cinquantale d' alnees.
Parlez lui.	Parlez -lui.
SPINETTE.	SPINETTE.
LE DOCTEUR.	LE DOCTEUR.
Ne me tura-t-il point auſſi.	Ne me tura-t-il point aussi.
Non?	Non?
SPINETTE.	SPINETTE.
LE DOCTEUR.	LE DOCTEUR.
A-t’il tué 20.	A-t-il tué 20.
hommes.	hommes.
PINETTE.	PINETTE.
Je vous dis que vous luy parliez.	Je vous dis que vous Seigneur parliez.
LE DOCTEUR.	LE DOCTEUR.
Les poitrons iont les plutôt morts.	Les poitrons jont les plutôt morts.
ſans ſes yeux je n’aurois pas tant de peur.	sans ses yeux je n'aurais pas tant de peur.
SPINETTE.	SPINETTE.
Parlez luy donc.	Parlez lui donc.
LE DOCTEUR.	LE DOCTEUR.
Parle-luy toy-méme.	Parle-lui toi-même.
quand il me reg.	quand il me reg.
de le cœur me trotte dans le ventre.	de le cœur me trotte dans le ventre.
ARLEQUIN.	ARLEQUIN.
Voulez-vous mon épée, allons un peu d’hardieſſe.	Voulez-vous mon épée, allons un peu d'hardiesse.
LE DOCTEUR.	LE DOCTEUR.
Je n’en manque pas, mais le cœur me faille, vois-tu à ſon coſté cette grande épée demner dix nommes de Iront, na na, Arlelequin va luy parler de ma part.	Je n'en manque pas, mais le cœur me faille, vois-tu à son côté cette grande épée démner dix nommes de Iront, na na, Arlequin va lui parler de ma part.
MEZETIN.	MEZETIN.
Il veut parler à vous-même.	Il veut parler à vous-même.
LE DOCTEUR.	LE DOCTEUR.
C'ert pourme tuen, puis que cela eſt, il faut mourir, allons droit à luy, mes jambes ny veuſent pas aller.	C'ert pourme tuen, puis que cela est, il faut mourir, allons droit à vertu, mes jambes yeux usent pas aller.
MEZETIN.	MEZETIN.
Mon Maître veut vous parler.	Mon Maître veut vous parler.
LE DOCTEUR.	LE DOCTEUR.
Dis luy que je m’en paſſeray bien,	Disblé que je m'en passerai bien,
MEZETIN.	MEZETIN.
Je vais luy dire que vous voila.	Je vais sens dire que vous voilà.
F iij	 Fij
LE DOCTEUR.	LE DOCTEUR.
Pauvre Docteur il n’y a plus qu’un moment d’icy à la mort.	Pauvre Docteur il n'y a plus qu'un moment d'ici à la mort.
COLOMBINE.	COLOMBINE.
rourquoy tant barguigner, un homme ne me fait pas peur.	rourquoi tant barguigner, un homme ne me fait pas peur.
LE DOCTEUR.	LE DOCTEUR.
Cela t'eſt bien ane à dire.	Cela t'est bien ane à dire.
ha mes jambes que vous ſoutenez mal mon honneur.	ha mes jambes que vous soutenez mal mon honneur.
PASCARTEL.	PASCARTEL.
Comment donc vous danſés.	Comment donc vous dansez.
LE DOCTEUR.	LE DOCTEUR.
rar tous les draples j’en ay bien envie, on dit Monſieur que vous voulez eſpouſer ma fille.	rar tous les draples j'en ai bien envie, on dit Monsieur que vous voulez épouser ma fille.
ARLEQUIN.	ARLEQUIN.
Et moy Colombine.	Et moi Colombine.
COLOMBINE.	COLOMBINE.
Tu n'’a qu’a ty attendre.	Tu n'a qu'a ty attendre.
ARLEQUIN.	ARLEQUIN.
Tais-toy, tu ſeras la vivandiere de nôtre Regiment.	Tais-toi, tu seras la vivandière de notre Régiment.
PASCARIEL.	PASCARIEL.
Ouy Dieu me damne je l’eſpouſe pour le temps que j ay à fenter ſey, au furplus je veux que mon valet, l’eſpouſe, je luy donneray en faveur de mariage ma protection, qui luy tiendra lieu de propre à luy, & aux ſiens.	Oui Dieu me damne je l'épouse pour le temps que j' est à fenter seigneur, au surplus je veux que mon valet, l'épouse, je lui donnerai en faveur de mariage ma protection, qui lui tiendra lieu de propre à Se, et aux siens.
ny conſentez-vous pas.	Ne consentez-vous pas.
LE DOCTEUR tombe.	LE DOCTEUR tombe.
Ha ha?	Ha ha?
je cohient à tout, & ne me tuez pas.	Je cohient à tout, et ne me tuez pas.
L’ESSAY DES FILLE S.	L'ESSAY DES FILLE S.
67 PASCARIEL le regirde & s’en va.	67 PASCARIEL le régirde et s'en va.
LE DOCTEUR.	LE DOCTEUR.
Ha Ha.	Ha Ha.
SCENE V.	SCÈNE V.
LE DOCTEUR, ARLEQUIN, MEZETIN, SPINETTE, COLOMBINE.	LE DOCTEUR, ARLEQUIN, MEZETIN, SPINETTE, COLOMBINE.
ARLEQUIN.	ARLEQUIN.
E bien Spinette te voila donc Madame.	E bien Spinette te voilà donc Madame.
I IMezetin, je m’imagine déja te voir à la teſte de l’armée.	I IMezetin, je m'imagine déjà te voir à la tête de l'armée.
SEINEIYE.	SEINEIYE.
Que m’importe pourveu que je ſois mariée, & enfin fût-on femme d’un ſot, on eſt toûjours mieux que d’eſtre fille.	Que m'importe pourvu que je sois mariée, et enfin fût-on femme d'un sot, on est toujours mieux que d'être fille.
ARERGEIIG.	ARERGEIG.
Elle a raiſon on a ſes coudées franches, & toy Colombine me prend-tu au mot.	Elle a raison on a ses coudées franches, et toi Colombine me prend-tu au mot.
COLOMBINE.	COLOMBINE.
Non aſſurement.	Non assurément.
ARLEQUIN.	ARLEQUIN.
Si aptés lt'avoir envoyé le tambour de mon cœur dans la ville de ton indifferance tu ne te livre entre mes bras, ſur le champ je t’inveſtie, & mettray des batteries ſi à propos que la breſche, & l'aſfaut ne ſera qu’un.	Si aptés l'avoir envoyé le tambour de mon cœur dans la ville de ton indifférance tu ne te livre entre mes bras, sur le champ je t'investie, et mettrai des batteries si à propos que la brèche, et l'assaut ne sera qu'un.
COLOMBINE.	COLOMBINE.
Tu veux me tuer	Tu veux me tuer
ARLEQUIN.	ARLEQUIN.
