ARG MENT DE LATRAGICOMEDIE.	ARG MENT DE LATRAGICOMEDIE.
Tu fuis doncques cruel comme aux foreſts rameuſes Fuyuent les daims legers & les biches peureuſes Au clabauder confus des dogues affamez, Ne penſe que mes ſens ſoyent encor enflammez Du feu de ton amour, vne iuſte colere Allume dans mon cœur, vn deſir tout contraire.	Tu fuis donc cruel comme aux forêts rameuses Fuyuent les daims légers et les biches peureuses Au clabauder confus des dogues affamés, Ne pense que mes sens soient encor enflammés Du feu de ton amour, une juste colère Allume dans mon cœur, un désir tout contraire.
Ou ie t’ayme außi peu qu’alors te hayſſois, Et iute hay encor autant que ie t’aimois, Si l’amour fut extreſme, extreſme en eſt la haine, Mais de ce changement tu porteras la peines Ce breuuage mortel te monſtrera ce iour Qu'il ne faut meſpriſer la puiſſance d’amour.	Ou beau t'aime aussi peu qu'alors te hais, Et jute hai que autant si ie fut extrême, Si l'amour fut extrême, extrême en est la haine, Mais de ce changement tu porteras la peines Ce breuage mortel te montrera ce jour Qu'il ne faut mépriser la puissance d'amour.
Anthoine fils de Marfilie.	Anthoine fils de Marfilie.
Comme en Antomne on voit la fueille ſeche & pade;	Comme en Antomne on voit la fueille seche et pade;
Quand ſa nature humeur ſe conſume & s’exalle, Se pancher en la mort, ou comme on voit le feu Sans ſubiet combuſtible alenter peu à peu, Ou la lampe s’eſteindre außi toſt qu’allumer Si de ſubſtance huyleuſe elle n’eſt fomentee, Ainſi le iour natal de nos corps decroiſſant Nos corps en vn clin d’œil s’en iroyent periſſant Si le ſac nouricier d’vn aliment vtile Benin ne reparoit noſtre eſſence fluxile De là vient que la faim & la ſoif tour à tour Par inſtinc naturel appetent chaque iour Le boire & le mauger:	Quand sa nature humeur se consume et s'exalle, Se pencher en la mort, ou comme on voit le feu Sans sujet combustible alenter peu à peu, à la lampe s'éteindre aussi tôt qu'allumer Si de substance huileuse elle n'est fomente, Ainsi le jour natal de nos corps décroissant Nos corps en un clin d'œil s'en iraient périssant Si le sac nouricier d'un aliment vtile Benin ne reparoit nôtre essence fluxile De vient que la faim et la soif tour tour Par instinc naturel appetent chaque iour Le boire et le mauger:
Mais ſi la faim eſt forte, La ſoif eſt d’auantage à cil qui la ſupporte:	Mais si la faim est forte, La soif est davantage à cil qui la supporte:
I’en parle de certain-car depuis quelque temps Que ceſte paßion extreſme ie reſſens, Ma langue à mon palais ſi viſqueuſe ſe celle, Qu'à peine ie ne peux proferer ma parole:	J'en parle de certain-car depuis quelque temps Cette passion extrême extrême ie ressens, Ma langue à mon palais si visqueuse se celle, Qu'à peine un ne peux proférer ma parole:
Ne pouuant plus ſouffrir il me faut donc cercher Quelque freſche liqueur pour ma ſoif estancher.	Ne pouvant plus souffrir il me faut donc cercher Quelque fraîche liqueur pour ma soif étancher.
Voicy bien à propos du vin dedans ce verre, (il boit.	Voici bien à propos du vin dedans ce verre, (il boit.
Dieul qu’il eſt ſauoureux!	Dieul qu'il est savoureux!
Mais quel froid me reſſerre Les paupieres des yeux?	Mais quel froid me resserre Les paupières des yeux?
quels pauots, quels glaçons Cauſent dedans mes nerfs ces horribles friſſons?	quels pauots, quels glaçons Causent dedans mes nerfs ces horribles frissons?
Quelle poiſon ſuneſte en ce vin ay-ie beuë?	Quelle poison suneste en ce vin ai-je bue?
Ma mere, venez toſt, ce breuuage me tue, Ie meurs, helas !	Ma mère, venez tôt, ce breuage me tue, Je meurs, hélas !
ie meurs.	Elle meurs.
Marfilie.	Marfilie.
ô Dieu quelle pitié?	ô Dieu quelle pitié?
Mon Anthoine, mon fils, mon ame, ma moitié, Il eſt mort, ô fureurs, ô demons, ô Cerberé, O deplorable enfans, ô execrable mere!	Mon Anthoine, mon fils, mon âme, ma moitié, Il est mort, ô fureurs, ô démons, ô Cerbéré, Ô déplorable enfans, exécrable mere!
Mere, non, car ie ſuis plus cruelle cent fois Que les iours, les lyons & les tygres des bois  juray-ie, ou iray-ie, ou fuiray-ie chetiue, Ayant tué mon fils?	Mère, non, car on suis plus cruelle cent fois Que les jours, les lions et les tigres des bois jurai-je, ou irai-je, ou fuirai-je chétive, Ayant tué mon fils?
reſteray-ie encor viue?	resterai-je encor vive?
A h!	A h!
non, ie la veux ſuiure, & apres le treſpas Expier mon forfait aux peines de là bas.	non, Seigneur la veux suivre, et après le trépas Expier mon forfait aux peines de là bas.
Nourrice.	Nourrice.
Madame, helas, ceſſez ces larmes ie vous prie, Penſez vous rachapter par vostre mort ſa vie?	Madame, hélas, cessez ces larmes Seigneur vous prie, Pensez vous rachappter par votre mort sa vie?
Ut mhal ſe doit preuoir auant l’executer, Mais estant ſuruenu on le doit ſupporter, Comme contre ſon faix la palme ſe redreſſe, Il conuient repouſſer le malheur qui nous preſſe, Ie vous pry par ce pril de vos doigts enfantins Le premier paſſetemps, par ces maigres tetins Qui dedans le berceau voſtre enfance allecterent, Par ces debiles mains qui vous emmaillotterent, Par ces yeux decharnez, par ces tremblants geneux, Ne plombez plus ainſi voſtre eſtomach de coups SereneZ voſtre face, & de ce malefice Accuſons finement voſtre cruel Fabrice, Feignans que par enuie il auroit forcené Ainſi funeſtement ſon frere empoiſonné, Et mal extreſme veut vn extreſme remede:	Ut mhal se doit prévoir avant l'exécuter, Mais étant survenu on le doit supporter, Comme contre son faix la palme se redresse, Il convient repousser le malheur qui nous presse, Je vous pry par ce presse de vos doigts enfantins Le premier passetemps, par ces maigres tétins Qui dedans le berceau esprit enfance allecèrent, Par ces débiles mains qui vous emmaillottèrent, Par ces yeux décharnez, par ces tremblants geneux, Re me plus ainsi vôtre estomach de coups Seren vostre face, et de ce maléfice Accus finement vôtre ce Fabrice, Fa que par y il auroit forcené Ainsi funestement son frère empoisonné, Et mal extrême veut extrême remède:
Procedans le danger auant qu’il nous precede.	Procédans le danger avant qu'il nous précède.
ACTE.	ACTE.
V.	V.
LE PREMIER CONSEILLER.	LE PREMIER CONSEILLER.
3 L'eſt vray, les mortels entre tous les estats Qui fomentent le vice, vn eſtat ils n’ont pas Où la grandeur de Dieu ſe voit mieux exeot primee Son naturel mieux peint, ſa bonté plus aymee, Qu'en cil de la Iuſtice, ah vrayement à bon droit Iu diſois [ Ciceron I que ta Iapuicɇ eston	3 L'est vrai, les mortels entre tous les états Qui fomentent le vice, un état ils n'ont pas Où la grandeur de Dieu se voit mieux exeot primée Son nature mieux peint, sa bonté plus aimée, Qu'en cil de la Justice, a vraiment à bon droit Ju cy [ Cicéron I que ta Iapuicɇ éton
Vn miroüer vveritable, où les hommes plus ſages Contemployent de leurs dieux les viuantes images:	Un miroüer véritable, où les hommes plus sages Contemplaient de leurs dieux les vivantes images:
Car Dieu ne ſeroit Dieu, ſans ceſte qualité, La deité deffaut où deffaut l'equité:	Car Dieu ne serait Dieu, sans cette qualité, La deité défaut où défaut l'équité:
Hé!	Hé!
pourquoy ô grand Dieu ceſte cauſe premiere, Premier original, lumiere de lumiere, Qui n’a rien d’emprunté, qui eternellement De ſoy meſme en ſoy meſme apris commencement.	pourquoi ô grand Dieu cette cause première, Premier original, lumière de lumière, Qui n'a rien d'emprunté, qui éternellement De soi même en soi même appris commencement.
Touſiours content de ſoy:	Toujours content de soi:
luy donc qui n’a que faire Si l’homme eſt vn meſchant, ou s’il eſt debonnaire, Pourquoy?	lui donc qui n'a que faire Si l'homme est un méchant, ou s'il est débonnaire, Pourquoi?
pour expier l’horreur de nos forfaïts Voulut il que ſon fils couchaſt deſſous le faix?	pour expier l'horreur de nos forfaïts Voulut il que son fils couchât dessous le faix?
Pourquoy permettoit il que ſon eterne eſſence, Sa penſee, ſa voix, ſon amour, ſa puiſſance, D’immortel fuſt mortel, de puiſſant impuiſſant, De riche ſouffreteux, d’infini finiſſant, De createur creé, d’impaßible paßible.	Pourquoi permettait -il que son éterne essence, Sa pense, sa voix, son amour, sa puissance, D'immortel fût mortel, de puissant impuissant, De riche souffreteux, d'infini finissant, De créateur cré, d'impassible passible.
De monarque ſubiect, d’inuiſible viſible.	De monarque sujet, d'invisible visible.
Ne pouuoit-il pas bien lauer noſtre peché, Sans qu’il fuſt (ôregret) en la croix attaché, Il pouuoit ſans ſa mort pardonner noſtre vice, Mais il euſt violé les loix de ſa iustice.	Ne pouvait-il pas bien laver notre péché, Sans qu'il fût (ôregret) en la crois attaché, Il pouvait sans sa mort pardonner quelque vice, Mais il eût violé les lois de sa justice.
Apprenez de cecy petits dieux de la terre, Primats, qui regiſſez & qui teneZ en ſerre Le fragile tymon & la nef des humains, L Roys qui faites trembler vos ſceptres dans vos mains Magiſtrats eſleuez aux charges politiques, Iuges qui gouuernez le frein des republiques, Apprenez, apprenez, combien eſt ocieux Le vice d’iniuſtice, & le grand Dieu des dieux, Puis que pour conſeruer ſa iuſtice en iustice, Il ſouffrit innocent vn extreſme ſupplice.	Apprenez de ceci petits dieux de la terre, Primats, qui régissez et qui teneZ en serre Le fragile timon et la nef des humains, L Ois qui faites trembler vos sceptres dans vos mains Magistrats élevez aux charges politiques, Juges qui gouuernez le frein des républiques, Apprenez, apprenez, combien est ocieux Le vice d'injustice, petit le grand Dieu des dieux, Puis que pour conserver sa justice en justice, Il souffrit innocent un extrême supplice.
Las!	Las!
combien deuez vous à plus forte raiſon Fait diligemment le venimeux poiſon De tacorrupuon.	combien devez -vous à plus forte raison Fait diligemment le venimeux poison De tacorrupuon.
&t touſiour simmuables Fulminer iustement vos arrests equitables.	ett toujours simuables Fulminer justement vos arrêts équitables.
Le ſecond Conſeiller.	Le second Conseiller.
Autre fois fut portrait le ſenat des Thesbains:	Autre fois fut portrait le sénat des Thesbains:
Le Iuge eſloit aßis priué d’yeux & demains:	Le Juge esloit assis privé d'yeux et demains:
Aßis pour demonstrer ſa prudence arrestee, Aueugle pour n’auoir la deffence affectee, D’vne part plus que a autre, & ſans mains il eſtoit, Pour fuir les preſens qui corrompent le droit.	Aussi pour démontrer sa prudence arrête, Augle pour n'avoir la défense affecte, D'une part plus que a autre, et sans mains il était, Pour fuir les présents qui corrompent le droit.
Las on ne voit que trop Ditrabins, de Cleandre, De Suſannes encor, mais bien peu d’Allſtundre, De Cambiſes bien peu, bien peu de Phocions, Et que ſert ie vous pry les cauillations D'vn ſubtil chiquaneur?	Las on ne voit que trop Ditrabins, de Cléandre, De Susannes encor, mais bien peu d'Allstundre, De Cambises bien peu, bien peu de Phocions, Et que sert ie vous pri les cauillations D'un subtil chiquaneur?
Thomas.	Thomas.
au peuple.	au peuple.
Arriere ſes pots ſecs:	Arrière ses pots secs:
Ie veux preſentement diſcourir de procez Ie dy pertinemment, de cela ie me vante:	Je veux présentement discourir de procès Je dis pertinemment, de cela ie me vante:
I’en ay vn intenté contre noſtre ſeruante, Pour qui ſe leuera de nous deux le premier, Ie recognoy deſia tous les traits du mestier, Et bien vous me direz qu'vn proce (est instable	J'en ai un intenté contre notre servante, Pour qui se lèvera de nous deux le premier, Je reconnais déjà tous les traits du métier, Et bien vous me direz qu'être proce (est instable
Qui ren d le plus ſouuent ſon maiſtre miſerable Et bien pour tout cela il ne faut pas pourtant, Laiſſer d’aller touſiours le procez frequentant, Car tout ainſi qu’on voit vn lieure qui s’acroche Le long d’vne muraille ou d’vne vieille roche, Il la ſappe, il la mine, il la rompt ſans ceßer, Tant que foible il la ſent preſte à ſe renuerſer Alors il la conſerue, il la garde il appuye, Ainſi ſoit le procez à cil qui le manie, Car eſtant ruinez ces ſubtils chiquaneurs Pour refuge dernier ils ſont ſolliciteurs, O l’eſtat honorable, ils font par tromperie Couler l’eau au moulin alors qu’elle eſt tarie, Et puis tous leurs defaut, couſtumaces, delays, Eſcrits, additions, ſont autant de balats Dont ils vont remouuant la ſuye acriſieme, Tout beau, Thomas, tout beau la couſtume anc ienne Les decrets du Senat reueler defendoit, 49 L’aiguille du Nocher tendre touſiours vers l’ourſe, La main d'vn aduocat tend touſiours vers la bourſe, Ie ne dis pas cela pour le procez blaſmer, Au contraire il le faut plus que tous estimer, Veu que rien n’eſt plus qu’eux à l’homme neceſſaire, Qui face plus de bien, qui ſoit plus ſalutaire, Ce que ie veux premier, car tout premierement Quelqu'vn eſt il stupide & lent d’entendement, Le procez en fera vn gentil perſonnage, 2	Qui ren dès le plus souvent son maître misérable Et bien pour tout cela il ne faut pas pourtant, Laisser d'aller toujours le procès fréquent, Car tout ainsi qu'on voit un lièvre qui s'acroche Le long d'une muraille ou d'une vieille roche, Il la sappe, il la mine, il la rompt sans cesser, Tant que foible il la sent preste à se renverser Alors il la conserve, il la garde il appuie, Ainsi soit le procès à c' il le manquer, Car étant ruinez ces subtils chiquaneurs Pour refuge dernier ils sont solliciteurs, Ô a honorable, ils font par tromperie Couler a au moulin alors quelle est tarie, Et puis tous leurs défaut,née, de, Escrits, additions, sont autant de balats Dont ils vont remouuant la suie acrisieme, Tout beau, Thomas, tout beau la coustume y Les décrets du Senat révéler ô, 49 aiguille du Nocher tendre tousiours vers ourse, La main d' aduocat tend tousiours vers la bourse, Ie ne dis pas cela pour le procez blâmer, Au contraire il le faut plus que tous estimer, que rien est plus eux homme nécessaire, Qui face plus de bien, qui soit lu te, Ce que ie veux premier, car tout premièrement Quelqu' est il stupide et lent entendement, Le procez en fera gentil personnage, 2
Eſt il foi, le procez le fera bien toſt ſage.	Est -il foi, le procès le fera bien tôt sage.
Est il trop mal appris, inciuil, glorieux, Le procez le rendra doux, courtois, gracieux, Il ſçaura comme il faut eſcorcher l’eloquence, Prodiguer les ſaluts, faire la reuerence, A il dans ſon cerueau quelque humeur caterreux Qui le rende endormi, peſant & pareſſeux, Baillez-luy vn procez, ie veux perdre la vie S’il n’eſt bien toſt guart de ceſte maladie.	Est il trop mal appris, incivil, glorieux, Le procès le rendra doux, courtois, gracieux, Il saura comme il faut écorcher l'éloquence, Prodiguer les saluts, faire la révérence, À il dans son cerveau quelque humeur caterreux Qui le rende endormi, pesant et paresseux, Baillez-lui un procès, ie veux perdre la vie S'il n'est bien tôt gupart de cette maladie.
Mais ie veux bien plus haut eſleuer les procez, Ie veux que iuſqu’aux dieux ils ayent de l’acceZ, Les dieux regnent au ciel les procez en la terre, Les dieux ayment la paix, le procez ayme guerre, Par le meſpris des dieux nous auons bien du mal, Vn procez malmené nous chaſſe à l’hoſpital, Les dieux ſont adorez des Anges & des hommes, Außi ſont les proceZ en ce temps où nous ſommes, Les Anges font de Dieu les meſſages legers Les ſergeants ſont außi des procez meßagers.	Mais ie veux bien plus haut élever les procès, Je veux que jusqu'aux dieux ils aient de l'accès, Les dieux règnent au ciel les procès en la terre, Les dieux aiment la paix, le procès aime guerre, Par le mépris des dieux nous avons bien du mal, Un procès malméné nous chasse à l'hôpital, Les dieux sont adorés des Anges et des hommes, Aussi sont les procès en ce temps où nous sommes, Les Anges font de Dieu les messages légers Les serants sont aussi des procès messagers.
Si les dieux quelque fois font des ſourdres oreilles, Außi font les procez, les dieux font des merueilles, Les procez que font-ils?	Si les dieux quelque fois font des sourdres oreilles, Aussi font les procès, les dieux font des merveilles, Les procès que font-ils?
ils dreſſent les boiteux, Font parler les muets, font courir les goutteux, Ils prennent les poiſſons ſans filets & ſans naſſe, Ils prennent le gibbier ſans aller à la chaſſe, Ils font en plein midi les bourſes ecclipſer, Ils font tondre les droits & les tors font dreſſer.	ils dressent les boiteux, Font parler les muets, font courir les goutteux, Ils prennent les poissons sans filets et sans nasse, Ils prennent le gibier sans aller à la chasse, Ils font en plein midi les bourses éclipser, Ils font tondre les droits et les tors font dresser.
Bref auant que les dieux les procez font miracles, Ils ont außilbien qu’eux des ambigus, oracles, Si les autels des dieux ſont parfumez d’encens, Aux proceZ tous les iours on offre des preſens.	Bref avant que les dieux les procès font miracles, Ils ont aussilbien qu'eux des ambigus, oracles, Si les autels des dieux sont parfumés d'encens, Aux procès tous les jours on offre des présents.
Si on ne peut les dieux fleſchir que par priere, Sans prier, les procez s’auancent en arriere.	Si on ne peut les dieux fléchir que par prière, Sans prier, les procès s'avancent en arrière.
Les dieux viennent touſiours ſans faire ouir leurs pas, Le procez vient ſouuent que l’on n’y penſe pas La plus belle victime eſt des dieux plus requiſe, Les eſcrits des procez doiuent eſtre de miſe.	Les dieux viennent toujours sans faire ouïr leurs pas, Le procès vient souvent que l'on n'y pense pas La plus belle victime est des dieux plus requise, Les écrits des procès doivent être de mise.
O le braue ioyau qu’vn bon ſac de procez, D lnus quinen unt pomt en eujſentents aſſes Pour dotter richement toutes les pauures filles Qui faute de maris demeurent inutiles.	Ô le brave joyau qu'un bon sac de procez, D onus quinen unt pompt en eujsentents asses Pour dotter richement toutes les pauvres filles Qui faute de maris demeurent inutiles.
Le Iuge.	Le Juge.
Quand tu fais, beau Soleil, claire lampe du monde, Le tour continuel de la machine ronde, Deſcouurant à l’Indois ton viſage vermeil, Et le plongeant au ſoin (ag graué de ſommeil) Aux flots Hiberiens:	Quand tu fais, beau Soleil, claire lampe du monde, Le tour continuel de la machine ronde, Découvrant à l'Indais ton visage vermeil, Et le plongeant au soin ( gravé de sommeil) Aux flots Hibériens:
Phœbus, di moy de grace, Si en ce cours forcé que ton Phlegon retrace, Entre tout ce qu’encloſt le terreſtre pourprix, Tu vois rien de plus grand & de plus digne prix Que la ſainte Iuſtice:	Phœbus, di moi de grâce, Si en ce cours forcé que ton Phlégon retrace, Entre tout ce qu'enclôt le terrestre pourprix, Tu vois rien de plus grand et de plus digne prix Que la sainte Justice:
ô ſcience ſacree, Vie de noſtre vie, ô equitable Aſtree, Le ſociable nœud des hommes & des dieux, Le bras dextre des Roys fille aiſnee des Cieux, Le ciment glutineux des eſtats monarchiques, Le piuot de la paix, la paix des republiques,	ô science sacrée, Vie de notre vie, ô équitable Astre, Le sociable nœud des hommes et des dieux, Le bras dextre des Rois fille aisée des Cieux, Le ciment glutineux des états monarchiques, Le piot de la paix, la paix des républiques,
D ij Las combien les humains te doiuent eſtimer!	 Déjà Las combien les humains te doivent estimer!
Sans toy en vn clin d’œil ils verroit abiſmer Ce grand tout factieux, & ſans l’œil de ton ordre Tout iroit dereche fen l’antique de ſordre L’aſpre auec l’applani, le bas auec le hault L’humide auec le ſec, le froid auec le chaud La nuict auec le iour, le ciel auec la terre Se liureroit ſans ceſſe vne inteſtine guerre Au temps que nos ayeuls inciuils & ſans loix Les her bes ou le gland paiſſoyent dedans les bois, Reueſches, hebetez agreſles & ſauuages Ne monſtroient rien d’humain ſinon que leurs viſages, Leur ame enſeuelie au tombeau de leurs corps Ne pouuoit eſtancer ſes rayons au dehors, Mais s’eſtans congregez dedans le ſein des villes, Et ployez ſous le ioug des polices ciuilles, Leur rude naturel fut en peu de temps veu Docille, maniable, & de douceur pourueu, Curconmtejeier ate Moriat dumpie, Le veloce cheual ſur qui ſouuent il monte, Ainſi les magiſtrats les princes & les Roys Domptent l’homme retif par la bride des loix.	Sans toi en un clin d'œux ils verrait abîmerAient rien tout factieux, et sans l'œil de ton ordre Tout irait dereche sen l'antique de sordre L'âpre avec l'applani, le bas avec le hault L'humide avec le sec, le froid auec le chaud La nuit avec le jour, le ciel avec la terre Se livrerait sans cesse une intestine guerre Au temps que nos aïeuls inciuils et sans lois Les her bes ou le gland paissoyent dedans les bois, Reuesches, hébétez agresles et sauuages Ne monstroient rien humain sinon que leurs visages, Leur âme enseuelie au tombeau de leurs corps Ne pouuoit estancer ses rayons au dehors, Mais estans congregez dedans le sein des villes, Et ployez sous le ioug des polices ciuilles, Leur rude naturel fut en peu de temps Docille, maniable, et de douceur pourueu, Curconmtejeier Moriat dumpie, Le véloce cheual sur qui souuent il monte, Ainsi les magistrats les princes et les Roys Domptent homme rétif par la bride des loix.
Le premier Conſeiller.	Le premier Conseiller.
Comme d’vn iardinier la main ſoigneuſe plante Les ſolides appuis authour la ieune plante, Pour dreſſer le panchant de ſes foibles rameaux, Tels que les eſchellas, & les touffus ormeaux, Ou la vigne au Printemps encore ſouple & molle Auec ſes petits doigts s’entortille & ſe colle, Afin de ſouſtenir ſon pampre verdoyant:	Comme d'un jardinier la main soigneuse plante Les solides appuis authour la jeune plante, Pour dresser le penchant de ses faibles rameaux, Tels que les eschellas, et les touffus ormeaux, Ou la vigne au Printemps encore souple et molle Auec ses petits doigts s'entortille et se colle, Afin de soutenir son pampre verdoyant:
Ainſi l’appuy ’es loix va touſiours eſtayant Des fragilles humains les commerces fragilles, Mais comme ſont les loix extremement vtiles, Extremement ils ſont dangereuſes außi A ceux la qui en ont la charge & le ſoucy, Hé cõbien vaudroit mieux deſſous vn toict chãpeſtre Inſtruire ſa famille & pauure ſe repaiſtre Des fruits aſſaiſonner du labeur de ſes mains, Que d’eſtre Iuge riche aux deſpens des humains, Car ſi par paßion, par crainte ou auarice, Les Iuges corrompus commettent iniuſtice, Pardonnant au coulpable & le iuſte opprimant Dieu des iuges le Iuge encontr’enx s’enflammant Sçaura bien quelque iour d’vne horrible tempeſte Foudroyer ſes arrests ſur leur iniuste teste.	Ainsi l'appui êtes lois va toujours étayant Des fragilles humains les commerces fragilles, Mais comme sont les lois extrêmement utiles, Extremement ils sont dangereuses aussi À ceux la qui en ont la charge et le souci, Hé cõbien vaudrait mieux dessous un toit chãpestre Instruire sa famille et pauvre se repaître Des fruits assaisonner du labeur de ses mains, Que d'être Juge riche aux des des humains, Car si par passion, par crainte ou avarice, Les Iuges corrompus commettre iniustice, Pardonnant au coulpable et le ius opprimant Dieu des iuges le Iuge mo enflammant Sçaura bien quelque yu horrible tempête Foudroyer ses et sur le iniuste teste.
Le ſecond Conſeiller.	Le second Conseiller.
Ce n’eſt rien de porter le chamarre ondoyant, Le bonnet en quadrangle, & d’aller baloyant Les carreaux d’vn palais d’vne robe pourpree, Ce n’est rien de preſſer vne chaire eſleuee Au lieu plus eminent d’vn ſenat glorieux, con est rien de porter le foudre dans les yeux, L’ambition au cœur, ſur le front la colere, Le ſourcil refroigné, le viſage ſeuere, Et le chef elochant prononcer irrité Au pauure criminel ſon arreſt decreté:	Ce n'est rien de porter le chamarre ondoyant, Le bonnet en quadrangle, et d'aller baloyant Les carreaux d'un palais d'une robe pourpre, Ce n'est rien de presser une chaire esleuee Au lieu plus éminent d'un sénat glorieux, con est rien de porter le foudre dans les yeux, L'ambition au cœur, sur le front la colère, Le sourcil refroigné, le visage zé, Et le chef elochant prononcer irrité Au pauvre criminel son arrêt décreté:
Cela ne fait le iuge, ou bien vn iuge inique, Vne gloute ſang ſuë, vne dent famellque, Digne de tolerer de Cambiſes la loy, Mais quel eſt ce vie illard que friritte ie voy S’aduancer deuers nous?	Cela ne fait le juge, ou bien un juge inique, Une gloute sang sue, une dent famelque, Digne de tolérer de Cambises la loi, Mais quel est ce vie illard que friritte un vois S'avancer devers nous?
1 Le premier Conſeiller.	1 Le premier Conseiller.
C’est le bon Capitaine Pnocus, qui auec luy ſon fils Fabrice ameine Lié de ſort,	C'est le bon Capitaine Pnocus, qui avec lui son fils Fabrice ameine Lié de sort,
Le Iuge.	Le Juge.
O Dieu, ce iouuence au parfait Contre nos iuſtes loix auroit-il bien forfait?	Ô Dieu, ce iouuence au parfait Contre nos justes lois aurait-il bien forfait?
Le Pere.	Le Père.
Seigneurs qui balancez l’equitable iuſtice, Qui conſeruez le droit & chaſtiez le vice, Qui eſtes icy bas ce que Dieu eſt aux Cieux, Et qui ſur les humains paroiſſez petits dieux, Vengez, helas vengez, ce miſerable pere, Puniſſant ce meſchant qui a tué ſon frere, De Tantale la ſoif, la faim d’Ericſithon, La roche de Siſiph', la rouë d’Ixion, L’aigle de Promethé, les foüets des Eumerides, Et les vaiſſeaux perceZ des folles Danaïdes, Bref, de tous ces tourments le plus cruel tourment:	Seigneurs qui balancez l'équitable iustice, Qui conservez le droit et châtiez le vice, Qui êtes ici bas ce que Dieu est aux Cieux, Et qui sur les humains paroissez petits dieux, Vengez, hélas vengez, ce misérable père, Punissant ce méchant qui a tué son frère, De Tantale la soif, la faim d'Éricsithon, La roche de Sisph, la roue d'Ixion, L'aigle de Promethé, les foüets des Éumerides, Et les vaisseaux perceZ les folles Danaïdes, Bref, de tous ces tourments le plus cruel tourment:
N’eſt aſſeZ ſuffiſant pour punir iuſtement Le crime perpetré par ce traiſtre homicide, Helas!	N'est assez suffisant pour punir justement Le crime perpétré par ce traître homicide, Hélas!
ie l’eſtimoy de mon âge languide Le fidelle ſouſtien:	Il l'estimoi de mon âge languide Le fidèle soutien:
TEftmmoy que fon braMoiſſonnaſt les lauriers au milieu des combâts, Tracerois les ſentiers que ma dextre guerriere Fraya par tant de fois en ſa verdeur premiere, Quand le feu de ieuneße en mon cœur boüillonnoit, Et qu’vn creſpe duuet mon menton cotonnoit Mais ce traiſtre au contraire vne enuie mortelle Qu’il a ſon frere en loy cruel empoiſonné, Qui eſtoit vn beau fils que Dieu auoit donne A ma chaſte moitié.	TEftmmoy que son braMoissonnast les lauriers au milieu des combats, Tracerais les sentiers que ma dextre guerrière Fraya par tant de fois en sa verdeur première, Quand le feu de ieunesse en mon cœur bouillonnait, Et qu'un crêpe duvet mon menton cotonnait Mais ce traître au contraire quelque envie mortelle Qu'il a son frère en loi cruel empoisonné, Qui était un beau fils que Dieu avait donne À ma chaste moitié.
Le Iuge.	Le Juge.
O forfait execrable, Approche, reſponus muy, quentt rage effroyable, Quel horrible demon, quelle extreſme fureur Te poußoit à commettre vne ſi grande erreur?	Ô forfait exécrable, Approche, réponus mui, quentt rage effroyable, Quel horrible démon, quelle extrême fureur Te poussoit à commettre Un si grande erreur?
Fabrice.	Fabrice.
Dieu ſeul eſt le teſmoin de ma iuste innocence.	Dieu seul est le témoin de ma juste innocence.
Le Pere.	Le Père.
O le beau diſcoureur!	Ô le beau discoureur!
voyez quelle impudence.	voyez quelle impudence.
Le Premier Conſeiller.	Le Premier Conseiller.
Tout beau, il ne faut pas au ſeul accuſateur Nos oreilles ouurir, ains pour le defendeur Hen faut boucher vne, & par bon teſmoignage Atteindre exactemen l’accuſé de l’outrage, Par quel moyen ce crime est-il donc attesté?	Tout beau, il ne faut pas au seul accusateur Nos oreilles ouvrir, ains pour le défendeur Hen faut boucher une, et par bon témoignage Atteindre exactemen l'accusé de l'outrage, Par quel moyen ce crime est-il donc attesté?
Marfilie.	Marfilie.
Ces deux vous en diront lapure verité,	Ces deux vous en diront lapure vérité,
Fabrics Pantarue tu ſçats oten en ton cœur le contraire.	Fabrics Pantarue tu secats oten en ton cœur le contraire.
Nourrice.	Nourrice.
Meßieurs, ià douze fois la grand lampe lunaire Les cornes de ſon front à monſtré dans les cieux, Depuis que ce Fabrice eſt d’Anthoine enuieux, Luy machinant touſiours d’vn malice extreſme Dedans ſon double cœur ce mortel ſiratageme, Or comme hier au ſoir Anthoine reuenoit Des champs & qui la ſoif extreſme le preſſoit, Fabrice cauteleux, d’vn ſimulé viſage, Luy donne dans vn verre vn feuneſte breuuage, Et pour mieux tout ſoupçon de ſon eſprit oſter, Ce fratricide feint le premier en gouſler, Mais ſi tost le pauurer ceste liqueur n’eut beuë Qu’il ſentit promptement le poiſon qui le tuë.	Mesieurs, ià douze fois la grand lampe lunaire Les cornes de son front à montré dans les cieux, Depuis que ce Fabrice est d'Anthoine envieux, Lui machinant toujours d'un malice extrême Dedans son double cœur ce mortel siratage, Or comme hier au soir Anthoine revenait Des champs et qui la soif extrême le pressait, Fabrice cauteleux, d'vn simulé visage, Lui donne dans un verre un feunête breuage, Et pour mieux tout soupçon de son esprit ôter, Ce fratricide feint le premier en goûler, Mais si tôt le pauurer ceste liqueur eut beuë il sentit promptement le poison qui le tuë.
Il mourut, & mourant prononça ces propos, Adieu mon frere, adieu, vn eternel repos Me va fermer les yeux, pendant qu’vne furie D’vn remors continu bourrelera ta vie.	Il mourut, et mourant prononça ces propos, Adieu mon frère, adieu, un éternel repos Me va fermer les yeux, pendant qu'une furie D'un remors continu bourrelera ta vie.
Aeag.	Aéag.
