ERIE, COMEDIE.	ERIE, COMÉDIE.
Ne ſeroit-ce point queſqu'un qui viendroit demauder vôtre fille en mariage,	Ne serait-ce point qu'un qui viendrait demauder votre fille en mariage,
SBRIGANY.	SBRIGANY.
Cela ſe pourroit bien.	Cela se pourrait bien.
C’eſt quelque perſonne de qualité.	C'est quelque personne de qualité.
LE GHICON.	LE GHICON.
Vous avez vous ſeul plus d’eſprit que toute la Gaſcongne enſemble.	Vous avez vous seul plus d'esprit que toute la Gâcongne ensemble.
SBRTGANT.	SBRTGANT.
Monſieur j’ai un petit ſçavoir faire que 'ai toujours conduit avec aſſez de bonheur,	Monsieur j'ai un petit savoir faire que 'ai toujours conduit avec assez de bonheur,
LDoCaN.	LDoCaN.
Vous nous damez le pion Monſieur Sbrigany, vous nous damez le pion peur le ſçavoir faire.	Vous nous damez le pion Monsieur Sbrigani, vous nous damez le pion eur le savoir faire.
SBRIGANY.	SBRIGANY.
Oh, Monſieur, il s’en faut bien que j’aye autant de merite qu’une perſonne comme vous, &.	Oh, Monsieur, il s'en faut bien que j'aie autant de mérite qu'une personne comme vous, et.
LE GASCON.	LE GASCON.
Attraper en gros tout Paris, les plus habiles de chez nous ne le font qu’en détail.	Attraper en gros tout Paris, les plus habiles de chez nous ne le font qu'en détail.
Certes je vous en felicite.	Certes je vous en félicite.
Je ne vous en eſtime pas davantage, mais je vous admire.	Je ne vous en estime pas davantage, mais je vous admire.
LISETTE.	LISETTE.
Cette homme-là ne vous careſſoit point de bonne foy, défiez-vous-en.	Cette homme-là ne vous caressait point de bonne foi, défiez-vous-en.
SERIONIT.	SERIONIT.
C’eſt ce qu’il me ſemble.	C'est ce qu'il me semble.
LE GASCON.	LE GASCON.
Cadedis vous eſtes un heureux mortel.	Cadedis vous êtes un heureux mortel.
SBRIGANY.	SBRIGANY.
Il eſt vrai, Monſieur, que je n’ai pas lieu de me plaindre de la fortune.	Il est vrai, Monsieur, que je n'ai pas lieu de me plaindre de la fortune.
LE GASCON.	LE GASCON.
Vous plaindre de la fortune.	Vous plaindre de la fortune.
Vous en eſtes I’enfant gãté.	Vous en êtes J'enfant gãté.
C’eſt ce qui vous rend temeraire.	C'est ce qui vous rend téméraire.
Baſte Paris eſt bon, vos temerirez ſont heureuſes.	Bâte Paris est bon, vos témérirez sont heureuses.
SBRIGANY.	SBRIGANY.
delemſſedno	delemssedno
LE GASCON.	LE GASCON.
je ne ſuis pas de Paris moi, comme vous voyez.	je ne suis pas de Paris moi, comme vous voyez.
LISETTE.	LISETTE.
Il n’eſt pas mal-aiſé de s’en apercevoir.	Il n'est pas malaisé de s'en apercevoir.
LE GASCON.	LE GASCON.
Je ſuis un cadet de Bordeaux, vif, prompt, tolere, & un peu tueur même de mon meuer.	Je suis un cadet de Bordeaux, vif, prompt, tolère, et un peu tueur même de mon meuer.
SBRIGANY.	SBRIGANY.
Monſieur.	Monsieur.
LISETTE.	LISETTE.
Tout vous réuſſit, Monſieur, le peuple eſt docile.	Tout vous réussit, Monsieur, le peuple est docile.
LE GASCON.	LE GASCON.
Nous n’en viendrons pas là, ne vous effarouchez pas, voila deux boëtes de vôtre Lotterie de huit billets chacune.	Nous n'en viendrons pas là, ne vous effarouchez pas, voilà deux boètes de votre Lotterie de huit billets chacune.
SBRIGANY.	SBRIGANY.
Il faut les ouvrir, Monſieur, & vous donner les lots qui.	Il faut les ouvrir, Monsieur, et vous donner les lots qui.
LE GASCON.	LE GASCON.
Je les ſçai, Monſieur, je devine.	Je les sais, Monsieur, je devine.
Petit étuy, petite porcelaine, petit mouchoir, petite ſouriciere.	Petit étui, petite porcelaine, petit mouchoir, petite souricière.
Vous êtes un petit mignon qui faites de perites Lotteries en mignature, hem.	Vous êtes un petit mignon qui faites de pérîtes Lotteries en mignature, hem.
SBRIGANY.	SBRIGANY.
Monſieur.	Monsieur.
ERSETTE.	ERSETTE.
Puiſque vous avez ſi bien deviné vos lots, Monſieur, je m’en vais vous chercher vôtre affaire.	Puisque vous avez si bien deviné vos lots, Monsieur, je m'en vais vous chercher votre affaire.
LE GASCON.	LE GASCON.
Non, non, la belle, ne vous preſſez pas;	Non, non, la belle, ne vous pressez pas;
Vous croyez nous mener par le nez avec vos mouchoirs.	Vous croyez nous mener par le nez avec vos mouchoirs.
Vous vous trompez à mon égard s’entend.	Vous vous trompez à mon égard s'entend.
Allons l’ami rendez mes quatte Couis, voila vos deux boetes.	Allons l'ami rendez mes quatte Couis, voilà vos deux boëtes.
LISETTE.	LISETTE.
Quel diable d’homme eſt ce-ci,	Quel diable d'homme est ce-cy,
SBRIGANY.	SBRIGANY.
Miuleyuoieue yoouoon uion a ude maniere.	Miuleyuoieue yoouoon vion a ude manière.
LE GASCON.	LE GASCON.
Je me reproche d’eſtre trop ſage, & je me fais violence au moins.	Je me reproche d'être trop sage, et je me fais violence au moins.
Je pourrois m'échaper, prenez garde à moi.	Je pourrais m'échapper, prenez garde à moi.
SBRIGANY.	SBRIGANY.
Vos lots ſont peut-être meilleurs que vous ne croyez, donnez-vous la peine.	Vos lots sont peut-être meilleurs que vous ne croyez, donnez-vous la peine.
LE GASCON.	LE GASCON.
Oh cadedis.	Oh cadedis.
Reſtituez, vous dis-je, & promptement.	Restituez, vous dis-je, et promptement.
Si je me fâche je ferai tapage, & je caſſerai bien des petits lots;	Si je me fâche je ferai tapage, et je casserai bien des petits lots;
depecnons mesquacle ſouis.	dépecnons mesquacle souis.
SBRIGANY.	SBRIGANY.
Les voiſa, Monſſeur;	Les voisa, Monsieur;
mais je vous prie que perſonne ne ſçache.	mais je vous prie que personne ne sache.
LE GASCON.	LE GASCON.
Non, non, vous eſtes galand homme.	Non, non, vous êtes galant homme.
LISETTE.	LISETTE.
Ma foi, Monſieur, ſi tout le monde fait de même il vous demeurera de mauvaiſe nlafchahlune.	Ma foi, Monsieur, si tout le monde fait de même il vous demeurera de mauvaise nlafchahlune.
Tai-toi.	Tai-toi.
SBRIGANY.	SBRIGANY.
LE GASCON.	LE GASCON.
Voyons ce qui me revient maintenant.	Voyons ce qui me revient maintenant.
SBRIGANY.	SBRIGANY.
Aauis, ciomſcue, panque voue uvez fepris vôtre argent.	Aavis, ciomscue, penque voue uvez fépris votre argent.
LE GASCON.	LE GASCON.
Il m'en faut l’intereſt, vous avez de la conſcience, vous le gardez depuis ſix mois:	Il m'en faut l'intérêt, vous avez de la conscience, vous le gardez depuis six mois:
je prendrai ſans voir, faites bien les choſes, deux livres de tabac pour moi, un éventail pour iu mme de moi auccige, & de vos mouchoirs pour le Toulouzain mon valet de mhamole.	je prendrai sans voir, faites bien les choses, deux livres de tabac pour moi, un éventail pour ju me de moi aucige, et de vos mouchoirs pour le Toulouzain mon valet de mhamole.
SBRIGANY.	SBRIGANY.
Je n’ai que faire de cela, Monfieur.	Je n'ai que faire de cela, Monfieur.
LE GASCON.	LE GASCON.
Je vous en ſors à bon marché, ne nous broüilſons point, je vous prendrai ſous ma prorection, & je parlerai bien de vous au hazard de me décrier.	Je vous en sors à bon marché, ne nous broüilsons point, je vous prendrai sous ma prorection, et je parlerai bien de vous au hasard de me décrier.
4	4
LISETTE.	LISETTE.
Le parti n’eſt pas mauvais, Monſieur, nous avons beſoin d’amis, ne fâchez point cet homme-la.	Le parti n'est pas mauvais, Monsieur, nous avons besoin d'amis, ne fâchez point cet homme-la.
SBRIGANY.	SBRIGANY.
Hé bien, Monſieur, ne le dites donc à perſonne, & revenez une autrefois vous ſerez content de moi, je vous le proruets.	Hé bien, Monsieur, ne le dites donc à personne, et revenez une autrefois vous serez content de moi, je vous le proruets.
LE GASCON.	LE GASCON.
Et vous de moi, je vous proteſte.	Et vous de moi, je vous proteste.
que je ne levemt pasueuatois au moinis.	que je ne levemt pasueuatois au moinis.
Serviteur l’ami, ſans adieu la belle.	Serviteur l'ami, sans adieu la belle.
LISETTE.	LISETTE.
Vôtre valet, Monſieur.	Votre valet, Monsieur.
Un Gaſcon ne fut jamais dupe.	Un Gascon ne fut jamais dupe.
SCENE XXIV.	SCÈNE XXIV.
SBRIGANY, LISETTE.	SBRIGANY, LISETTE.
OulenNIs TL faut bien prendre garde que cette Lavanture ne ſe ſçache point.	OulenNIs TL faut bien prendre garde que cette Laventure ne se sache point.
LISETTE.	LISETTE.
Cela ſeroit de mauvais ezemple, vous avez raiſon.	Cela serait de mauvais ezemple, vous avez raison.
Mais, Monſieur, n’auriezvous point affaire là-bas, l’œil du Maiſtre quelquefois.	Mais, Monsieur, n'auriezvous point affaire là-bas, l'œil du Maître quelquefois.
SBRIGANY.	SBRIGANY.
Il v a des choſes qu’il eſt bon de ne voir que de loin.	Il v ais des choses qu'il est bon de ne voir que de loin.
je Iuis pien ici.	je Luis pien ici.
LISETTE.	LISETTE.
bas.	bas.
Oüy:	Oui:
Mais, Monſieur.	Mais, Monsieur.
Nôtre amoudeun els iai daua le conse;	Notre amoudeun éls jai dava le conse;
SCENE XXV.	SCÈNE XXV.
MA TRCOCORLODE, SDRISANT, LISETTE.	MA TRCOCORLODE, SDRISANT, LISETTE.
LA PROCUREUSE, Llons Monſieur, tôt, dépéchez-moi, IAvîte, s’il vous plaît.	LA PROCUREUSE, Llons Monsieur, tôt, dépéchez-moi, IAvîte, s'il vous plaît.
SBRIGANY.	SBRIGANY.
Comment?	Comment?
Madame.	Madame.
LISETTE va auprés du ceſſre qu’elle cuis pl-ore, & eut evente Eraſte acec ſon tablier.	LISETTE va auprès du cessère qu'elle cuis pla-ore, et eut évente Eraste acec son tablier.
Donnons un peu d’ait à nôtre enfermé.	Donnons un peu d'ait à notre enfermé.
il a chaud dans ce cofre.	il a chaud dans ce cofre.
LA PROCUREUSE.	LA PROCUREUSE.
On aura beau dire que vôtre Lotterie n’eſt pas fidelle, Monſieur, que vous êtes un maroufle, je n’en eroitai rien pour moi, je vous aſſure, & je vous rendrai toute lajuice din vons en deue.	On aura beau dire que votre Lotterie n'est pas fidèle, Monsieur, que vous êtes un maroufle, je n'en eroitai rien pour moi, je vous assure, et je vous rendrai toute lajuice din vinons en deve.
SBRIGANY.	SBRIGANY.
Je vous ſuis bien obligé, Madame	Je vous suis bien obligé, Madame
LA PROCUREUSE.	LA PROCUREUSE.
Je n’ai amené que trois crocheteurs avec moi, ſera ce aſſez, Monſieur.	Je n'ai amené que trois crocheteurs avec moi, sera ce assez, Monsieur.
SBRIGANY.	SBRIGANY.
Tlois cracheceuis, Madaiſſe, ne pouſquoi faire?	Tlois crachecuis, Madaisse, ne pousquoi faire?
LA PROCUREUSE.	LA PROCUREUSE.
Pour emporter mon lot, Monſieur:	Pour emporter mon lot, Monsieur:
s’il en faut davantage.	s'il en faut davantage.
LISETTE.	LISETTE.
nois Giceueceuls pour empoicer votre lot, il n’en faudroit qu’un pour démenager toute la Lotterie.	nois Giceueceuls pour empoicer votre lot, il n'en faudrait qu'un pour démenager toute la Lotterie.
3BRIGANT.	3BRIGANT.
Vous me faites trembler, qu’eſt-ce que c’eſt donc que ce lot, Madame?	Vous me faites trembler, qu'est-ce que c'est donc que ce lot, Madame?
LA PROCUREUSE.	LA PROCUREUSE.
On ouner gaii d’argent, Momeur, je ſuis bien-heureuſe;	On ouner gaii d'argent, Momeur, je suis bienheureuse;
il y avoit long-temps que j’avois envie d’avoir de la vaiſſelle.	il y avait longtemps que j'avais envie d'avoir de la vaisselle.
LISETTE.	LISETTE.
Je ne croi ma foi pas que vous en ayez encor de cette affaire-ci.	Je ne crois ma foi pas que vous en ayez encor de cette affaire-cy.
Un buffet garni de vaiſſelle d’argent, nous n’avons point de ces babioles-là dans nôtre Lotterie, Madame, vous n’y ſongez pas.	Un buffet garni de vaisselle d'argent, nous n'avons point de ces babioles-là dans notre Lotterie, Madame, vous n'y songez pas.
SRRIGANY.	SRRIGANY.
Vous rêvez, je penſe, avec vôtre vaiſſelle d’argent.	Vous rêvez, je pense, avec votre vaisselle d'argent.
LA PROCUREUSE.	LA PROCUREUSE.
Je rêve moi, je rêve.	Je rêve moi, je rêve.
Ah vraîment voici qui eſt aumirable.	Ah vraiment voici qui est aumirable.
Oh je ne viens ici qu’à bonnes enſeignes, & voila un biſſet qui fera bien foi que je ne rêve point.	Oh je ne viens ici qu'à bonnes enseignes, et voilà un bisset qui fera bien foi que je ne rêve point.
SBRIGANY.	SBRIGANY.
A cela eut lul voue omev on vous le donnera;	À cela eut lul voue omev on vous le donnera;
mais je ne crois pas.	mais je ne crois pas.
SCENE XXVI.	SCÈNE XXVI.
PETRONILLO, SBRIGANY, LA PROCUREUSE, LISETTE,	PETRONILLO, SBRIGANY, LA PROCUREUSE, LISETTE,
LE RONILLO.	LE RONILLO.
J'Enio vous dire, Signor, que non ho  piu di plus petits mouchoirs tutti ſont diſtribuez.	J'Ennio vous dire, Signor, que non ho pi vît plus petits mouchoirs tutti sont distribuez.
SBRIGANY.	SBRIGANY.
Tenez, tenez Madame, voila celui qui	Tenez, tenez Madame, voilà celui qui
I a écrit les billets, il reconnoîtra bien ſon esssesse.	I a écrit les billets, il reconnaîtra bien son esssesse.
LA PROCUREUSE.	LA PROCUREUSE.
Il la reconuoîtta s’il veut, j’aurai mon buff-t’aſſu emnt.	Il la reconuoîtta s'il veut, j'aurai mon bus-t’ veut emnt.
ETE CNILLO.	ÉTÉ CNILLO.
Que coia e qui nariate d’un buffet, Madame que cur.	Que coia e qui nariate d'un buffet, Madame que cur.
LA PROCUREUSE.	LA PROCUREUSE.
Qui, due, jile tin point volle ſaragoin, mais je taais liie, vous allez voir.	Qui, due, jile tin point volle saragoin, mais je taais liie, vous allez voir.
L.	L.
ISETTE.	ISETTE.
Il y a du mai entendu la-dedans;	Il y a du mai entendu la-dedans;
il ſe trouvera un nidé ſur ma parele.	il se trouvera un nidé sur ma parele.
LA PROCUREUSE.	LA PROCUREUSE.
il uie nmmte qu’iine lut que des yeus, & j’en ai de beaux & de bons, Dieu mercy;	il Uie nute qu'iine lut que des yeus, et j'en ai de beaux et de bons, Dieu merci;
voyez un buffet garni d’argent.	voyez un buffet garni d'argent.
PETRONTELO.	PETRONTELO.
Un buffet, ê un buſc, Madame, ê un buſc.	Un buffet, êmes un busc, Madame, un busc.
LA PROCUREUSE.	LA PROCUREUSE.
Un buſc, Un buls,	Un busc, Un buls,
FETRONILLO.	FETRONILLO.
Ouy, Madame, garni de petits filets d’argent.	Oui, Madame, garni de petits filets d'argent.
La fortune vi favoriſe ê un des meilleurs lots de tutte la Lotterie.	La fortune vi favorise ê un des meilleurs lots de tutte la Lotterie.
LA PROCUREUSEUn buſc, un buſc, ah quelle effronterie, quelle volerie, un buſc pour un buſſet!	LA PROCUREUSEUn busc, un busc, ah quelle effronterie, quelle volerie, un busc pour un busset!
je ſuis perduë, je ſuis trahie, je ſuis ruinée, je ſuis aſlalimec.	je suis perdue, je suis trahie, je suis ruinée, je suis aslalimec.
SBRIGANY.	SBRIGANY.
Non, Madame, on ne vous fera point de tort, nous ſommes gens d’honneur.	Non, Madame, on ne vous fera point de tort, nous sommes gens d'honneur.
Don nez un buſc à Madame, Liſette.	Donc nez un busc à Madame, Liste.
LISETTE.	LISETTE.
Fetai-je monter vos dois Crocheceurs pour emporter vôtre lot, Madame.	Fétai-je monter vos dois Crocheurs pour emporter votre lot, Madame.
LA PROCUREUSE.	LA PROCUREUSE.
Vous n’avez que faire de rire, vous n’en eſtes pas où vous penſez;	Vous n'avez que faire de rire, vous n'en êtes pas où vous pensez;
on vous fera bien doucenate MxdiMnnie frecurcar, vous allez voir de belles écritures Ces friponslà avec leur buſc.	on vous fera bien doucenate MxdiMnie frécurcar, vous allez voir de belles écritures Ces friponslà avec leur busc.
PETRONILLO.	PETRONILLO.
Sta viſionnaire avec ſon buffet, que le Que le Procureur n’écrive point, Madame, 6d’il vous apprenne à lire.	Sta visionnaire avec son buffet, que le Que le Procureur n'écrive point, Madame, 6d'il vous apprenne à lire.
LISETTE.	LISETTE.
La Procureuſe eſt bien fâchée de n’avoir point de vaiſſelle.	La Procureuse est bien fâchée de n'avoir point de vaisselle.
SCENE XXVII.	SCÈNE XXVII.
LA MARQUISE, SBRIGANY, PETRONILLO, LISETTE, UNLACOAIS.	LA MARQUISE, SBRIGANY, PETRONILO, LISETTE, UNLACOIS.
LA MARQUISE à ſon Laquais.	LA MARQUISE à son Laquais.
Aites monter Champagne avec vous.	Aites monter Champagne avec vous.
A il vous aidera.	À il vous aidera.
LE LAQUAIS.	LE LAQUAIS.
Je m’en vais luy dire de venir, Madame.	Je m'en vais toujours dire de venir, Madame.
SBRIGANY.	SBRIGANY.
Vous demandez quelque choſe aparament, Madame.	Vous demandez quelque chose apparament, Madame.
LA MARQUISE.	LA MARQUISE.
Je viens querir mes lots, Monſieur Sbrigany, pour les mnoucons cc les petices porcelaines vos garçons en feront leur profit.	Je viens quérir mes lots, Monsieur Sbrigani, pour les moucons cent les petices porcelaines vos garçons en feront leur profit.
Je ne veux que le coffre de la Chine.	Je ne veux que le coffre de la Chine.
SBRIGANY.	SBRIGANY.
Il faut vous donner ce qui vous appartient, Madame.	Il faut vous donner ce qui vous appartient, Madame.
LISETTE.	LISETTE.
Le coffre de la Chine.	Le coffre de la Chine.
Seroit-ce déja le norre.	Serait-ce déjà le norre.
LA MARQUISE.	LA MARQUISE.
Le voila apparamment, il eſt ſort beau, inuis je ne crois pus qu’il puiſſe tenir dans mon caroſſe.	Le voilà apparamment, il est sort beau, inuis je ne crois pus qu'il puisse tenir dans mon carosse.
PEIRONILIO.	PEIRONILIO.
Non ê pas celui-là, Madame.	Non ê pas celui-là, Madame.
LA MARQUISE.	LA MARQUISE.
Tant mieux, il me paroît un peu trop grand pour la place où je le veux mettre dans mon cabinet.	Tant mieux, il me paraît un peu trop grand pour la place où je le veux mettre dans mon cabinet.
PETRCONIEEO Vous en aurez un plus petit, laſciate faire.	PETRCONIEEO Vous en aurez un plus petit, lasciate faire.
SBRIGANY.	SBRIGANY.
Nous en avons à choiſir, Madame:	Nous en avons à choisir, Madame:
Liſette apportez un de ces petits tiroirs où Abue dedonncs de le ctllsle	Lisette apportez un de ces petits tiroirs où Abue dédonns de le ctllsle
LA MARQUISE.	LA MARQUISE.
Des coffres dans de petits tiroirs, comment donc cela?	Des coffres dans de petits tiroirs, comment donc cela?
LISETTE aporte un tirroir plein de boëtes.	LISETTE apporte un tirroir plein de boètes.
Prenez, Madame, vous n’en ſerez point embaraſſée, un de ceux là tiendroit dans vôtre poche.	Prenez, Madame, vous n'en serez point embarrassée, un de ceux -là tiendrait dans votre poche.
LA MARQUISE.	LA MARQUISE.
Mais vraîment je ne veux point de cela;	Mais vraiment je ne veux point de cela,
vous vous moquez de moi ce ſont des boëtes.	vous vous moquez de moi ce sont des boètes.
PETRONILLO.	PETRONILLO.
Non, non, Madame, ils s’ouvrent comime an conre veuetes vomts un Beuumorceau de la Chine, Madame.	Non, non, Madame, ils s'ouvrent comime an conre vêtes vomts un Beunorceau de la Chine, Madame.
LA MARQUISE.	LA MARQUISE.
Je n’en veux point, vous dis-je, il y a un coffre ſur mon bilſet.	Je n'en veux point, vous dis-je, il y a un coffre sur mon bilset.
En voila un, je l’aurai, je n’en ſerai point la dupe.	En voilà un, je l'aurai, je n'en serai point la dupe.
LISETTE.	LISETTE.
Oh pour celui-là non, Madame, on me la donné en garde.	Oh pour celui-là non, Madame, on me la donné en garde.
SBNIGANT.	SBNIGANT.
Il n’eſt pas à moy, Madame, je vous aſſure.	Il n'est pas à moi, Madame, je vous assure.
LA MARQUISE.	LA MARQUISE.
Il n’eſt pas à vous, Monſieur, pourquoi donc le mettre dans vôtre Lotterie.	Il n'est pas à vous, Monsieur, pourquoi donc le mettre dans votre Lotterie.
TETRONILLO, Non ê pas celui-là, Madame, è celui-ci ſon mi qui ai écrit les billets, je poüis répondre de mon intention.	TETRONILLO, Non écrit pas celui-là, Madame, celui-cy son mi qui ai écrit les billets, je poüis répondre de mon intention.
LISETTE.	LISETTE.
vous perdrez vôtre procés, Madame.	vous perdrez votre procès, Madame.
SBRIGANY.	SBRIGANY.
Voici tout à propos la perſonne à qui appartient le coffre.	Voici tout à propos la personne à qui appartient le coffre.
Vous allez bien voir aenddare.	Vous allez bien voir aendare.
SCENE XXVIII.	SCÈNE XXVIII.
LE FINANCIER, LA MARQUISE.	LE FINANCIER, LA MARQUISE.
DeRrot F, BEr Es PETRONILLO, &c.	DeRrot F, BEr Es PETRONILLO, etc.
LA MARQUISE.	LA MARQUISE.
’Eſt mon couſin le Financier, ſi je ne me trompe.	Est mon cousin le Financier, si je ne me trompe.
LE FINANCIER.	LE FINANCIER.
C’eſt la Marquiſe ma couſine, hé que Auncssvens ler, dlla euele clllalle a	C'est la Marquise ma cousine, hé que Auncssents ler, dlla euele clllalle a
là.	là.
LA MARQUISE.	LA MARQUISE.
y diſpute mes droits contre ces gens	y dispute mes droits contre ces gens
LISETTE.	LISETTE.
Et nous deffendons les vôtres, Monſieur, Madame veut faite emporter vos meubles, elle a pris du goût pour vôtre coffre de la Chine.	Et nous défendons les vôtres, Monsieur, Madame veut faite emporter vos meubles, elle a pris du goût pour votre coffre de la Chine.
LE FINANCIER.	LE FINANCIER.
Il ſeroit fort à ſon ſervice, ſi la deſtination n’en eſtoit faite.	Il serait fort à son service, si la destination n'en était faite.
Voila des éroffes que je fais apporter pour voir ce qu’on y en pourra mettre de pieces.	Voilà des éroffes que je fais apporter pour voir ce qu'on y en pourra mettre de pièces.
LISETTE.	LISETTE.
Il n'en tiendra guere tt moutt pileſt, il eſt bien plain.	Il n'en tiendra guère tt moût pilêt, il est bien plain.
LE FINANCIER.	LE FINANCIER.
Vous nous aiderez à les choiſir, Madame;	Vous nous aiderez à les choisir, Madame;
allons, voyons Monſieur Sbrigany.	allons, voyons Monsieur Sbrigani.
Approchez le coffre, Seigneur Petronillo.	Approchez le coffre, Seigneur Pétronillo.
Aidez lui vous autres.	Aidez -lui vous autres.
LISLAIE.	LISLAIE.
Hoi me que deviendia tout ceci.	Hoi me que deviendia tout ceci.
SBRIGANY.	SBRIGANY.
Miſericorde, un homme caché, c’eſt pour me voler:	Miséricorde, un homme caché, c'est pour me voler:
ah pendard.	ah pendard.
SCENE XXIX.	SCÈNE XXIX.
ERASTE, LE FINANCIER.	ERASTE, LE FINANCIER.
LA MARQUISE, LISETTE, SBRIGANY, LISETTE, PETRONTLLO.	LA MARQUISE, LISETTE, SBRIGANY, LISETTE, PETRONTLO.
ERASTE.	ERASTE.
Rreſtez, Monſieur, & prenez garde Là ce que vous faites.	Rrestez, Monsieur, et prenez garde Là ce que vous faites.
LA MARQUISE.	LA MARQUISE.
C eſt Eraſte,	Ç est Eraste,
LE FINANCIER.	LE FINANCIER.
Mon neveu.	Mon neveu.
SBRIGANY.	SBRIGANY.
Eraſte caché chez moy, qu’eſt-ce que cela ſignifie, parle, n’avois-je pas défendu.	Eraste caché chez moi, qu'est-ce que cela signifie, parle, n'avais-je pas défendu.
LISETTE.	LISETTE.
Vous avez défendu qu’il viſt vôtre fille?	Vous avez défendu qu'il vît votre fille?
mais vous n’avez pas défendu qu’il ſe miſt dans le coffre.	mais vous n'avez pas défendu qu'il se mît dans le coffre.
SHRIGANY.	SHRIGANY.
Comment coquine.	Comment coquine.
LISETTE.	LISETTE.
Le coffre eſt à Monſieur, de quoi vous plaignez-vous :	Le coffre est à Monsieur, de quoi vous plaignez-vous :
Monſieur eſt ſon Oncle.	Monsieur est son Oncle.
LE FINANCIER.	LE FINANCIER.
Vous mon neveu, ainſi caché dans un coſtre chez un Marchand.	Vous mon neveu, ainsi caché dans un cotre chez un Marchand.
ERASTE.	ERASTE.
Vous ceſſerez de vous étonner, mon oncle, quand vous ſçaurez que je ſuis amoureux de la charmante Mariane, que ton peleeme mnuvon promme, & que.	Vous cesserez de vous étonner, mon oncle, quand vous saurez que je suis amoureux de la charmante Mariane, que ton peleeme mnuvon promme, et que.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
DIOIVOLEE, EMMMRQUISE, LE FINANCIER, SBRIGANY, ERASTE, LISETTE, &c.	DIOIVOLE, EMMMRQUISE, LE FINANCIER, SBRIGANY, ÉRATE, LISETTE, etc.
2 E' viſte, & tôt, ſauvons-nous, Monde-cheur.	2 E stère, et tôt, sauvons-nous, Monde-cheur.
SBRIGANY.	SBRIGANY.
Qu'eſt-ce?	Qu'est-ce?
qu’y a-t’il?	qu'y a-t-il?
SIGNOLET	SIGNOLET
Source gallica.	Source galica.
bnt.	bnt.
fr ( Bibliothèque nationale de France	fr ( Bibliothèque nationale de France
SIGNOLET.	SIGNOLET.
Décampez, vous dis-je, on va mettre le ten a la maiſon.	Décampez, vous dis-je, on va mettre le ten a la maison.
LISETTE.	LISETTE.
Le Ieu a la maſſon.	Le Jeu a la masson.
SIGNOLET.	SIGNOLET.
Ils enfonçont la barricade;	Ils enfonçont la barricade;
ils ont arraché à un des Suiſſes un côté de mouſtache, qui ne tenoit qu’avec de la cole, & ils l'ont reconnu, c’eſt le crieur de Gaſette.	ils ont arraché à un des Suisses un côté de moustache, qui ne tenait qu'avec de la col, et ils l'ont reconnu, c'est le crieur de Gâte.
Ils ſont plus de trente aprés ſes trouſſes.	Ils sont plus de trente après ses trousses.
LLJETIE.	LLETIE.
Le pauvre diable.	Le pauvre diable.
Ils l’aſſommeront.	Ils l'assommeront.
SIGNOLET.	SIGNOLET.
* Non, non, ils l’allont noyer, je penſe, & puis ils diſont qu’ils reviendront nous bruler nous autres.	* Non, non, ils l'allont noyer, je pense, et puis ils disont qu'ils reviendront nous brûler nous autres.
Oh dame acoûtez ca ſeroit chagrinant, baillons-nous-en de garde.	Oh dame accoutez ca serait chagrinant, baillons-nous-en de garde.
SBRIGANY.	SBRIGANY.
Miſericorde, que deviendrai-je.	Miséricorde, que deviendrai-je.
LE FINANCIER.	LE FINANCIER.
On trouvera moyen d’appaiſer le deſordre;	On trouvera moyen d'apaiser le désordre;
tout le monde murmure de ce que vous gagnez trop à vôtre Lotterie.	tout le monde murmure de ce que vous gagnez trop à votre Lotterie.
Remetrez cet argent dans le commerce.	Remetrez cet argent dans le commerce.
Faites un gros lot de vingt mille écus.	Faites un gros lot de vingt mille écus.
à condition d’épouſer vôtre fille, & la donnez à mon neveu;	à condition d'épouser votre fille, et la donnez à mon neveu;
nous avons des amis, on vous trouverà de la protéction.	nous avons des amis, on vous trouverà de la protéction.
SBRIGANY.	SBRIGANY.
Mais, Monſieur, me répondez-vous que par ce moyen.	Mais, Monsieur, me répondez-vous que par ce moyen.
LE FINANCIER.	LE FINANCIER.
je me charge de Tevenement, ne craignez rien.	je me charge de Tévénement, ne craignez rien.
SBRIGANY.	SBRIGANY.
Je ferai tout ce que vous voudrez, vous n’avez qu’à dite.	Je ferai tout ce que vous voudrez, vous n'avez qu'à dite.
LE FINANCIER.	LE FINANCIER.
Contentons d’abord les plus mutine avec de l’argent, ou de bonnes nippes.	Contentons d'abord les plus mutine avec de l'argent, ou de bonnes nippes.
On prendra demain des meſures pour le reſte.	On prendra demain des mesures pour le reste.
LISETTE.	LISETTE.
Ils ne ſeront pas malheureux ſi elles téuſſiſſent.	Ils ne seront pas malheureux si elles téussissent.
Profitez de l’exemple, Meſſieurs, & ſi jamais quelque Napolitain eſt aſſez hardy pour faire une Lotterie, qu les Pariſiens ne ſoient pas aſſez fous pour y mettre.	Profitez de l'exemple, Messieurs, et si jamais quelque Napolitain est assez hardi pour faire une Lotterie, qu les Parisiens ne soient pas assez fous pour y mettre.
Contraste insuffisant NF Z43-120-14	Contraste insuffisant NAUT Z4-120-14
Contraste insuffisant NF Z43-120-14	Contraste insuffisant NAUT Z4-120-14
