A MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.	À MONSEIGNEUR MONSEIGNEUR LE CARDINAL DUC E RICHELIEU.
HORACE mettant l’eſpée à la main, & pourſuiuant ſa ſœur qui s’enfuit.	HORACE mettant l'épée à la main, et poursuivant sa sœur qui s'enfuit.
C’eſt trop, ma patience à la raiſon fait place, Va dedans les Enfers joindre ton Curiace.	C'est trop, ma patience à la raison fait place, Va dedans les Enfers joindre ton Curiace.
17 CAMILLE bleßée derriere le Theatre.	17 CAMILLE blessée derrière le Théâtre.
Ah traiſtre!	Ah traître!
HORACE reuenant ſur le Theatre.	HORACE revenant sur le Théâtre.
Ainſi reçoiue vn chaſtiment ſoudain Quiconque oſe pleurer vn ennemy Romain.	Ainsi reçoive un châtiment soudain Quiconque ose pleurer un ennemi Romain.
{ HORACE.	§ HORACE.
Vn acte de iuſtice, Vn ſemblable forfait veut vn pareil ſupplice.	Un acte de justice, Un semblable forfait veut un pareil supplice.
ROCVLEVous deuiez la traicter auec moins de rigueur.	ROCULEUous deviez la traiter avec moins de rigueur.
HORACE.	HORACE.
Ne me dy point qu’elle eſt, & mon ſang, & ma ſœur, Mon pere ne peut plus l’aduoüer pour ſa fille, Qui maudit ſon pays, renonce à ſa famille.	Ne me dis point qu'elle est, et mon sang, et ma sœur, Mon père ne peut plus l'avouer pour sa fille, Qui maudit son pays, renonce à sa famille.
Des noms ſi plains d’amour, ne luy ſont plus permis, De ſes plus chers parents il fait ſes ennemis, Le ſang meſme les arme en haine de ſon crime.	Des noms si plains d'amour, ne lui sont plus permis, De ses plus chers parents il fait ses ennemis, Le sang même les arme en haine de son crime.
La plus prompte vangeance en eſt plus legitime, Et ce ſouhait impie, encore qu’impuiſſant, Eſt vn monſtre qu’il faut eſtouffer en naiſſant.	La plus prompte vengeance en est plus légitime, Et ce souhait impie, encore qu'impuissant, Est un monstre qu'il faut étouffer en naissant.
SCENE VII.	SCÈNE VII.
HORACE, SABINE, PROCVLE.	HORACE, SABINE, PROCULE.
SABINE.	SABINE.
uoy s’arreſte icy ton illuſtre colere?	uoy s’arreste icy ton illustre colere?
A Vien voir mourir ta ſœur dans les bras de ton pere, Vien repaiſtre tes yeux d’vn ſpectacle ſi doux, Ou ſi tu n’es point las de ces genereux coups, Immole au cher pays des vertueux Horaces.	À Viens voir mourir ta sœur dans les bras de ton père, Viens repaître tes yeux d'un spectacle si doux, Ou si tu n'es point las de ces généreux coups, Immole au cher pays des vertueux Horaces.
Ce reſte malheureux du ſang des Curiaces, Si prodigue du tien n’eſpargne pas le leur, Ioints Sabine à Camille, & ta femme à ta ſœur, Nos crimes ſont pareils ainſi que nos miſeres, Ie ſoûpire, comme elle, & déplore mes freres, Plus coupable en ce point contre tes dures loix Qu elle n’en pleuroit qu’vn & que i’en pleurele trois, Qu’apres ſon chaſtiment ma faute continuë.	Ce reste malheureux du sang des Curiaces, Si prodigue du tien n'épargne pas le leur, Joints Sabine à Camille, et ta femme à ta sœur, Nos crimes sont pareils ainsi que nos misères, Je soupire, comme elle, et déplore mes frères, Plus coupable en ce point contre tes dures lois Qu' elle nen pleurait qu'un et que j'en pleurele trois, Qu'après son châtiment ma faute continue.
HORACE.	HORACE.
Seche tes pleurs, Sabine, ou les cache à ma veuë, Rends toy digne du nom de ma chaſte moitié, Et ne m’accable point d’vne indigne pitié.	Séche tes pleurs, Sabine, ou les cache à ma vue, Rends toi digne du nom de ma chaste moitié, Et ne m'accable point d'une indigne pitié.
Si l’abſolu pouuoir d’vne pudique flame (ame, Ne nous laiſſe à tous deux qu’vn penſer & qu’vne yer C’eſt à toy d’eſleuer tes ſentiments aux miens, Non à moy de deſcendre à la honte des tiens.	Si l'absolu pouvoir d'une pudique flamme (ame, Ne nous laisse à tous deux qu'un penser et qu'une yer C'est à toi d'élever tes sentiments aux miens, Non à moi de descendre à la honte des tiens.
Ie t’ayme, & ie cognoy la douleur qui te preſſe, Embraſſe ma vertu pour vaincre ta foibleſſe, Participe à ma gloire au lieu de la ſouiller, Taſche à t’en reueſtir, non, à m’en deſpoüiller.	Je t'aime, et ie connais la douleur qui te presse, Embrasse ma vertu pour vaincre ta faiblesse, Participe à ma gloire au lieu de la souiller, Tâche à t'en reuestir, non, à m'en despoüiller.
Es-tu de mon honneur ſi mortelle ennemie, Que ie te plaiſe mieux tombé dans l’infamie?	Es-tu de mon honneur si mortelle ennemie, Que ie te plaise mieux tombé dans l'infamie?
Sois plus femme que ſœur, & te reglant ſur moy, Fay toy de mon exemple vne immuable loy.	Sois plus femme que sœur, et te réglant sur moi, Fais toi de mon exemple une immuable loi.
SABINE.	SABINE.
Cherche pour t’imiter des ames plus parfaites, Ie ne t’impute point les pertes que i’ay faites, I’en ay les ſentiments que ie dois en auoir, Et ie m’en prends au ſort, pluſtoſt qu’à ton deuoir.	Cherche pour t'imiter des âmes plus parfaites, Je ne t'impute point les pertes que j'ai faites, J'en ai les sentiments que personne dois en avoir, Et ainsi m'en prends au sort, plutôt qu'à ton devoir.
Mais auſſi ie renonce à la vertu Romaine, Si pour la poſſeder, ie dois eſtre inhumaine, Et ne puis voir en moy, la femme du vainqueur, Sans y voir des vaincus la déplorable ſœur.	Mais aussi ici renonce à la vertu Romaine, Si pour la posséder, je dois être inhumaine, Et ne puis voir en moi, la femme du vainqueur, Sans y voir des vaincus la déplorable sœur.
Prenons part en public aux victoires publiques, Pleurons dans la maiſon, nos malheurs domeſtiques, Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne ſont que pour nous.	Prenons part en public aux victoires publiques, Pleurons dans la maison, nos malheurs domestiques, Et ne regardons point des biens communs à tous Quand nous voyons des maux qui ne sont que pour nous.
Pourquoy veux tu, cruel, agir d’vn autre ſorte?	Pourquoi veux tu, cruel, agir d'un autre sorte?
Laiſſe en entrant icy tes lauriers à la porte.	Laisse en entrant ici tes lauriers à la porte.
cours Meſle tes pleurs aux miens.	cours Mêle tes pleurs aux miens.
Quoy-ces laſches diſN’arment point ta vertu contre mes triſtes iours!	Quo-ces lâches disN'arment point ta vertu contre mes tristes jours!
Mon crime redoublé n’eſmeut point ta colere!	Mon crime redoublé n'émut point ta colère!
Que Camille eſt heureuſe!	Que Camille est heureuse!
elle a peu te déplaire, Elle a receu de toy ce qu’elle a pretendu, Et recouure là bas tout ce qu’elle a perdu.	elle a pu te déplaire, Elle a reçu de toi ce qu'elle a prétendu, Et recouvre là bas tout ce qu'elle a perdu.
ſe, Cher eſpoux, cher auteur du tourment qui me preſEſcoute la pitié ſi ta colere ceſſe, Exerce l’vn ou l’autre apres de tels malheurs A punir ma foibleſſe, ou finir mes douleurs, Ie demande la mort pour grace, ou pour ſupplice, Qu’elle ſoit vn effet d’amour, ou de iuſtice, N’importe, tous ſes traits me ſembleront fort doux	se, Cher époux, cher auteur du tourment qui me presEscoute la pitié si ta colère cesse, Exerce l'un ou l'autre après de tels malheurs A punir ma faiblesse, ou finir mes douleurs, Je demande la mort pour grâce, ou pour supplice, Qu'elle soit un effet d'amour, ou de justice, N'importe, tous ses traits me sembleront fort doux
HORACE.	HORACE.
Quelle iniuſtice aux Dieux d’abandonner aux femmes Vn empire ſi grand ſur les plus belles ames, Et de ſe plaire à voir de ſi foibles vainqueure Regner ſi puiſſamment ſur les plus nobles cœurs!	Quelle injustice aux Dieux d'abandonner aux femmes Un empire si grand sur les plus belles âmes, Et de se plaire à voir de si faibles vainquure Règner si puissamment sur les plus nobles cœurs!
A quel point ma vertu deuient elle reduite?	À quel point ma vertu devient elle réduite?
Rien ne la ſçauroit plus garantir que la fuite, Adieu, ne me ſuy point, ou retiens tes ſouſpirs.	Rien ne la saurait plus garantir que la fuite, Adieu, ne me suis point, ou retiens tes soupirs.
SABINE.	SABINE.
ſeule.	seule.
O colere, ô pitié, ſourdes à mes deſirs!	Ô colère, ô pitié, sourdes à mes désirs!
laſſe Vous negligez mon crime, & ma douleur vous Et ie n’obtiens de vous ny ſupplice, ny grace.	lasse Vous négligez mon crime, et ma douleur vous Et tu n'obtiens de vous ni supplice, Seigneur grâce.
Allons y par nos pleurs faire encor vn effort Et n’employons aprés que nous à noſtre mort.	Allons y par nos pleurs faire encor un effort Et n'employons après que nous à notre mort.
Muanquamigne ate.	Muanquamigne ate.
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
Le vieil HORACE, HORACE.	Le vieil HORACE, HORACE.
PL Le vieil HORACE.	PL Le vieil HORACE.
Etirons nos regards de cét obiet funeſte Pour admirer icy le iugement celeſte, Quand la gloire nous enfle il ſçait bien comme il faut Confondre noſtre orgueil qui s’eſleue trop haut, Nos plaiſirs les plus doux ne vont point ſans triſteſſe, Il meſle à nos vertus dés marques de foibleſſe, Et rarement accorde à noſtre ambition, L’entier & pur honneur d’vne bonne action, Ie ne plains point Camille, elle eſtoit criminelle, Ie metiens plus à plamdre, & ie te plains plus qu’elle, (main, Moy, d’auoir mis au iour vn cœur ſi peu RoToy, d’auoit par ſa mort deshonnoré ta main.	Etirons nos regards de cet objet funeste Pour admirer ici le jugement celeste, Quand la gloire nous enfle il sait bien comme il faut Confondre nôtre orgueil qui s'esleue trop haut, Nos plaisirs les plus doux ne vont point sans tristesse, Il mêle à nos vertus dès marques de faiblesse, Et rarement accorde à notre ambition, L'entier et pur honneur d'une bonne action, Je ne plains point Camille, elle était criminelle, Je metiens plus à plamdre, et et te plains plus qu'elle, (main, Moi, d'avoir mis au jour un cœur si peu Roeu, si peu par si peu deshonnoré d' a.
Ie ne la trouue point iniuſte ny trop prompte, Mais Mais tu pouuois, mon fils, t’en eſpargner la honte, Son crime, quoy qu’enorme & digne du treſpas, Eſtoit mieux impuny que puny par ton bras.	Je ne la trouve point injuste ni trop prompte, Mais Mais tu pouuois, mon fils, t'en épargner la honte, Son crime, quoi qu’énorme et digne du trépas, Était mieux impuni que puni par ton bras.
HORACE.	HORACE.
Diſpoſés de mon ſort, les loix vous en font maiſtre, (naiſtre, I'ay creu deuoir ce coup aux lieux qui m’ont veu Simon zele au pays vous ſemble criminel, S’il m’en faut receuoir vn reproche eternel, Si ma main en deuient honteuſe & profanée, Vous pouuez d’vn ſeul mot trancher ma deſtinée, Reprenez voſtre ſang de qui ma laſcheté A ſi mal a propos ſoüillé la puréte, Ma main n’a peu ſouffrir de crime en voſtre race, Ne ſouffrez point de tache en la maiſon d’Horace, C’eſt en ces actions dont l’honneur eſt bleſſé Qu’vn pere tel que vous ſe monſtre intereſſé, Son amour doit ſe taire ou toute excuſe eſt nulle.	Disposez de mon sort, les lois vous en font maître, (naistre, J'ai cru deuoir ce coup aux lieux qui m'ont vu Simon zèle au pays vous semble criminel, S'il m'en faut recevoir un reproche éternel, Si ma main en devient honteuse et profanée, Vous pouvez d'un seul mot trancher ma destinée, Reprenez votre sang de qui ma lascheté A si mal à propos soüillé la puréte, Ma main n'a pu souffrir de croche en votre race, Ne souffrez point de tache en la maison d'Horace, C'est en ces actions dont l'honneur est blessé pere tel que vous se monstre interessé, Son amour doit se taire ou toute excuse est nulle.
Luy meſme il y prend part lors qu’il les diſſimule, Et de ſa propre gloire il fait trop peu de cas Quand il ne punit point ce qu’il n’approuue pas.	Lui même il y prend part lors qu'il les dissimule, Et de sa propre gloire il fait trop peu de cas Quand il ne punit point ce qu'il n'approuve pas.
Le vieil HORACE.	Le vieil HORACE.
Il n’vſe pas touſiours d’vne rigueur extréme, Il eſpargne ſes fils bien ſouuent pour ſoy meſme, sa vieinene lureux ayme afouſtenir, Et ne les punit point pour ne ſe pas punir Ie te voy d’vn autre œil que tu ne te regardes, (des:	Il n’ ais pas toujours d'une rigueur extrême, Il épargne ses fils bien souvent pour soi -même, sa vieinène lureux aime afoustenir, Et ne les punit point pour ne se pas punir Je te voy d'un autre œil que tu ne te regardes, (des:
Ie ſçay, mais le Roy vient, ie vois entrer ſes gar	Je sais, mais le Roi vient, je vois entrer ses gar
4 SCENE II.	4 SCÈNE II.
TVLLE, Le vieil HORACE, VALERE, HORACE, Troupe des Gardes.	TULLE, Le vieil HORACE, VALÈRE, HORACE, Troupe des Gardes.
A Le vieil HORACE.	À Le vieil HORACE.
H Sire, vn tel honneur à trop d’excez pour A moy, (Roy, Ce n’eſt point en ce lieu que ie dois voir mon Permettez qu’à genoux.	H Sire, un tel honneur à trop d'excès pour A moi, (Rois, Ce n'est point en ce lieu que ie dois voir mon Permettez qu'à genoux.
TVL	TUL
TVLLE.	TULE.
Non, leuez vous, mon pere, Ie fay ce qu’en ma place vn bon Prince doit faire.	Non, levez -vous, mon père, Je fais ce qu'en ma place un bon Prince doit faire.
Vn ſi rare ſeruice, & ſi fort important Veut l’honneur le plus rare, & le plus eſclatant:	Un si rare service, et si fort important Veut l'honneur le plus rare, et le plus éclatant:
Vous en auiez deſia ſa parole pour gage.	Vous en aviez déjà sa parole pour gage.
Ie ne l’ay pas voulu differer dauantage.	Je ne l'ai pas voulu différer davantage.
I’ay ſçeu par ſon rapport (& ie n’en doutois pas) Comme de vos deux fils vous portez le treſpas Et que deſia voſtre ame eſtant trop reſoluë Ma conſolation vous ſeroit ſuperfluë:	J'ai su par son rapport ( ie n'en doutais pas) Comme de vos deux fils vous portez le trépas Et que déjà votre âme étant trop résolue Ma consolation vous serait superflue:
Mais ie viens de ſçauoir quel eſtrange malheur D’vn fils victorieux a ſuiuy la valeur.	Mais ici viens de savoir quel étrange malheur D'un fils victorieux a suivi la valeur.
Et que ſon trop d’amour pour la cauſe publique mur les Mailis a fonpere one vne fille unique, Ie ſçay que peut ce coup ſur l’eſprit le plus fort, Et le douté comment vous portez cette mort.	Et que son trop d'amour pour la cause publique mur les Majailis a fonpère one une fille unique, Je sais que peut ce coup sur l'esprit le plus fort, Et le douté comment vous portez cette mort.
Le vieil HORACE.	Le vieil HORACE.
Sire, auec deſplaiſir, mais auec patience.	Sire, avec déplaisir, mais Seigneur patience.
one;	one;
panque le Cieremre les iains des Rois Depoſe ſa iuſtice & la force des loix, Et que l’Eſtat demande aux Princes legitimes Des prix pour les vertus, des peines pour les crimes.	penque le Cieremre les jaïns des Rois Dpose sa justice et la force des lois, Et que l'État demande aux Princes légitimes Des prix pour les vertus, des peines pour les crimes.
Soufftez	Soufftez
LVLLB.	LULB.
C’eſt l’effet vertueux de voſtre experience, Beaucoup par vn long aage ont appris comme vous Que le malheur ſuccede au honheur le plus doux, Peu ſçauent comme vous s’appliquer ce remede, Et dans leur intereſt toute leur vertu cede.	C'est l'effet vertueux de votre expérience, Beaucoup par un long ampage ont appris comme vous Que le malheur succède au honheur le plus doux, Peu sauent comme vous s'appliquer ce remède, Et dans leur intérêt toute leur vertu cède.
Si vous pouuez trouuer dans ma compaſſion Quelque ſoulagement pour voſtre affliction, Ainſi que voſtre mal ſçachez qu’elle eſt extréme, Et que Tulle vous plaint autant comme il vous ayme.	Si vous pouvez trouver dans ma compassion Quelque soulagement pour votre affliction, Ainsi que votre mal sachez qu'elle est extrême, Et que Tulle vous plaint autant comme il vous aime.
VALERE.	VALÈRE.
Souffrez qu’vn bon ſuiet vous face ſouuenir Que vous plaignez beaucoup, ce qu’il vous faut punir, Souffrez.	Souffrez qu'un bon sujet vous face souvenir Que vous plaignez beaucoup, ce qu'il vous faut punir, Souffrez.
Le vieil HORACE.	Le vieil HORACE.
Quoy?	Quoi?
qu’on enuoye vn vainqueur au ſupplice?	qu'on envoie un vainqueur au supplice?
TVLLE.	TULE.
Permettez, qu’il acheue, & ie feray iuſtice, (lieu, I’ayme à la rendre à tous, à toute heure, en tout C’eſt par elle qu’vn Roy ſe fait vn demy-Dieu, Et c’eſt dont ie vous plains, qu'apres vn tel ſeruice.	Permettez, qu'il achève, et notre ferai justice, (lieu, J'aime à la rendre à tous, à toute heure, en tout C'est par elle qu'un Roi se fait un demi-Dieu, Et c'est dont je vous plains, qu'après un tel service.
On puiſſe contre luy me demander iuſtice.	On puisse contre deux me demander justice.
VALERE.	VALÈRE.
Souffrez donc, ô grand Roy, le pluſte des Rois, Que tous les gens de bien vous parlent par ma voix.	Souffrez donc, ô grand Roi, le pluste des Rois, Que tous les gens de bien vous parlent par ma voix.
tent Non que nos cœurs ialoux de ſes honneurs s’irriS’il en reçoit beaucoup, ſes hauts faits les meritent, Adiouſtez-y pluſtoſt que d’en diminuer, Nous ſommes tous encor preſts d’y contribuer;	tent Non que nos cœurs jaloux de ses honneurs s'irritôt, en reçoit beaucoup, ses hauts faits les méritent, Adiousés-y plutôt que d’en diminuer, Nous sommes tous encor prêts d'y contribuer;
Mais puiſque d’vn tel crime, il s’eſt monſtré capable (ble, Qu’il triomphe en vainqueur, & periſſe en coupaArreſtez ſa fureur, & ſauuez de ſes mains, Si vous voulez regner, le reſte des Romains, Il y va de la perte, ou du ſalut du reſte, Veu le ſang qu’a verſé cette guerre funeſte, (ſtins Et tant de nœuds d’Hymen dont nos heureux deOnt vny ſi ſouuent des peuples ſi voiſins, Peu de nous ont ioüy d’vn ſuccés ſi proſpere Qu’ils n’ayent perdu dans Albe vn couſin, vn beau-frere, (pleurs Vn oncle, vn gendre meſme, & ne donnent des Dans le bonheur public à leurs propres malheurs.	Mais puisque d'un tel crime, il s'est montré capable (ble, Qu'il triomphe en vainqueur, et périsse en coupaArrestez sa fureur, et sauvez de ses mains, Si vous voulez régner, le reste des Romains, Il y va de la perte, ou du salut du reste, Veu le sang qu'a versé cette guerre funeste, (stins Et tant de nœuds d'Hymen dont nos heureux deOnt uni si souvent des peuples si voisins, Et de nous ont ioüy d'un succès si prospère Qu'ils n'aient perdu dans Albe un cousin, beau-fleurs, ( n oncle, (n oncle même, ( ne on des Dans le bonheur public leurs propres malheurs.
Si c’eſt offenſer Rome & que l’heur de ſes armes L’authoriſe à punir ce crime de nos larmes;	Si c'est offenser Rome et que l'heur de ses armes L'autorise à punir ce crime de nos larmes;
Quel ſang eſpargnera ce barbare vainqueur Qui ne pardonne pas à celuy de ſa ſœur, Er ne peut excuſer la douleur vehemente Que la mort d’vn amant iette au cœur d’vne amante, (beau Quand preſts d’eſtre eſclairez du nuptial flamElle voit auec luy ſon eſpoir au tombeau?	Quel sang épargnera ce barbare vainqueur Qui ne pardonne pas à celui de sa sœur, Er ne peut excuser la douleur véhémente Que la mort d'un amant jette au cœur d'une amante, (beau Quand prêts d'être éclairez du nuptial flamElle voit avec lui son espoir au tombeau?
Faiſant triompher Rome il ſe l’eſt aſſeruie Ila ſur nous vn droit & de mort & de vie, Et nos iours criminels ne pourront plus duter Qu’autant qu’à ſa clemence il plaira l’endurer.	Faisant triompher Rome il se l'est asservie Ila sur nous un droit et de mort et de vie, Et nos jours criminels ne pourront plus duter Qu'autant qu'à sa clémence il plaira l'endurer.
Ie pourrois adiouſter aux intereſts de Rome Combien vn pareil coup eſt indigne d’vn homme, Ie pourrois demander qu’on miſt deuant vos yeux Ce grand & rare exploit d’vn bras victorieux, Vous verriez vn beau ſang pour accuſer ſa rage D’vne frere ſi cruel teiaillir au viſage, (uoir, Vous verriez des horreurs qu’on ne peut conceSon aage & ſa beauté vous pourroient eſmouuoir, Mais ie hay ces moyens qui ſentent l’artifice, Vous auez à demain remis le ſacrifice, Penſez-vous que les Dieux vangeurs des innocents, D’vne main parricide acceptent de l’encens?	Je pourrais ajouter aux intérêts de Rome Combien un pareil coup est indigne d'un homme, Je pourrais demander qu'on mît devant vos yeux Ce grand et rare exploit d'être bras victorieux, Vous verriez un beau sang pour accuser sa rage D'une frère si cruel teiaillir au visage, (voir, Vous verriez des horreurs qu'on ne peut conceSon aage et sa beauté vous pourraient émoi, Mais que haique moyens qui sentent l'artifice, Vous avez à demain remis le sacrifice, Pensez-vous que les Dieux vengeurs des innocents, D'une main pare acceptent D' l’encens?
Sur vous ce ſacrilege attireroit ſa peine, Ne le conſiderez qu’en obiet de leur haine, Et croyez auec nous qu’en tous ſes trois combats Le bon deſtin de Rome à plus fait que ſon bras, Puiſque ces meſmes Dieux autheurs de ſa victoire Ont permis qu’auſſi-toſt il en ſoüillaſt la gloire, Et qu’vn ſi grand courage apres ce noble effort Fuſt digne en meſme iour de triomphe & de mort.	Sur vous ce sacrilège attirerait sa peine, Ne le considérez qu'en objet de leur haine, Et croyez avec nous qu'en tous ses trois combats Le bon destin de Rome à plus fait que son bras, Puisque ces mêmes Dieux auteurs de sa victoire Ont permis qu'aussitôt il en souillât la gloire, Et qu'un si grand courage après ce noble effort Fût digne en même jour de triomphe et de mort.
Sire, c’eſt ce qu’il faut que voſtre arreſt decide, En ce lieu Rome a veu le premier parricide, La ſuitte en eſt à craindre, & la haine des Cieux, Sauuez nous de ſa main & redoutez les Dieux.	Sire, c'est ce qu'il faut que votre arrêt décide, En ce lieu Rome a vu le premier parricide, La suite en est à craindre, et la haine des Cieux, Sauvez nous de sa main et redoutez les Dieux.
42	42
TVLLE.	TULE.
Deffendez vous, niolace.	Défendez -vous, niolace.
HORACE.	HORACE.
A quoy bon me deffendre?	À quoi bon me défendre?
Vous ſçauez l’action, vous la venez d’entendre, Ce que vous en croyez me doit eſtre vne loy:	Vous savez l'action, vous la venez d'entendre, Ce que vous en croyez me doit être une loi:
Sire, on ſe defend mal contre l’aduis d’vn Roy, Et le plus innocent que le Ciel ait veu naiſtre Quand il le croit coupable, il commence de l’eſtre, C’eſt crime qu’enuers luy ſe vouloir excuſer, Noſtre ſang eſt ſon bien, il en peut diſpoſer, Et s’eſt a nous de croire alors qu’il en diſpoſe Q’il ne s’en priue point ſans vne iuſte cauſe.	Sire, on se défend mal contre l'avis d'un Roi, Et le plus innocent que le Ciel ait vu naître Quand il le croit coupable, il commence de l'être, C'est crime qu'envers lui se vouloir excuser, Notre sang est son bien, il en peut disposer, Et s'est à nous de croire alors qu'il en dispose Q il ne aen vue point sans une juste cause.
Stre, prononcez donc, ie ſuis preſt d’obeyr, D’autres ayment la vie, & ie la dois hair.	Stre, prononcez donc, je suis prêt d'obéir, D'autres aiment la vie, et a la dois haïr.
Ie ne reproche point à l’ardeur de Valere Qu’en amant de la ſœur il accuſe le frere, Mes vœux auec les ſiens conſpirent auiourd’huy, Il demande ma mort, ie la veux comme luy;	Je ne reproche point à l'ardeur de Valère Qu'en amant de la sœur il accuse le frère, Mes vœux avec les siens conspirent aujourd'hui, Il demande ma mort, ainsi la veux comme lui;
Vn ſeul point entre nous met cette difference Que mon honneur par là cherche ſon aſſeurance, Et qu’à ce meſme but nous voulons arriuer Luy pour fleſtrir ma gloire, & moy pour la ſauuer, Sire, c’eſt rarement qu’ils s’offre vne matiere A monſtrer d’vn grand cœur la vertu toute entiere.	Un seul point entre nous met cette différence Que mon honneur par là cherche son assurance, Et qu'à ce même but nous voulons arriver Lui pour flétrir ma gloire, et mo pour la sauver, Sire, c'est rarement qu'ils s'offre une matière A montrer d'un grand cœur la vertu toute entière.
Suiuant l’occaſion elle agiſt plus ou moins Et paroiſt forte ou foible aux yeux de ſes teſmoins.	Suivant l'occasion elle agît plus ou moins Et paraît forte ou faible aux yeux de ses témoins.
Le peuple qui voit tout ſeulement par l’eſcorce Prend droit par ſes effets de iuger de ſa force, Et s’oſe imaginer par vn mauuais diſcours Que qui fait vn miracle, en doit faire touſiours.	Le peuple qui voit tout seulement par l'écorce Prend droit par ses effets de juger de sa force, Et s'ose imaginer par un mauvais discours Que qui fait un miracle, en doit faire toujours.
Apres vne action pleine, haute, éclatante, Tous ce qui brille moins, remplit mal ſon attente, Il veut qu’on ſoit égal en tout temps, en tous lieux, Il n’examine point ſi lors on pouuoit mieux.	Après une action pleine, haute, éclatante, Tous ce qui brille moins, remplit mal son attente, Il veut qu'on soit égal en tout temps, en tous lieux, Il n'examine point si lors on pouvait mieux.
Ny que s’il ne voit pas ſans ceſſe vne merueille,	Ni que s'il ne voit pas sans cesse une merveille,
L’occaſion eſt moindre & la vertu pareille.	L'occasion est moindre et la vertu pareille.
Son iniuſtice accable & deſtruit les grands noms.	Son injustice accable et détruit les grands noms.
L’honneur des premiers faits ſe perd par les ſeconds, Et quand la renommée a paſſé l’ordinaire, Si l’on n’en veut déchoir, il ne faut plus rien faire.	L'honneur des premiers faits se perd par les seconds, Et quand la renommée a passé l'ordinaire, Si l'on n'en veut déchoir, il ne faut plus rien faire.
Ie ne vanteray point les exploits de mon bras, Voſtre Maieſté, Sire, a veu mes trois combats.	Je ne vanterai point les exploits de mon bras, Votre Majesté, Sire, a vu mes trois combats.
Il eſt bien mal aiſé qu’vn pareil les ſeconde, Qu’vne autre occaſion à celle-cy reſponde.	Il est bien mal aisé qu'une pareil les seconde, Qu'une autre occasion à celle-cy réponde.
Et que tout mon courage aprés de ſi grand coups Paruienne à des ſuccés qui n’aillent au deſſous, Si bien que pour laiſſer vne illuſtre memoire, La mort ſeule auiourd’huy peut conſeruer ma gloire, Encor la falloit-il ſi toſt que i’eus vaincu, Puiſque pour mon honneur i’ay deſia trop veſcu, Vn homme tel que moy voit ſa gloire ternie Quand il tombe en peril de quelque ignominie, Et ma main auroit ſçeu deſia m’en garantir, Mais ſans voſtre congé mon ſang n’oſe ſortir, Comme il vous appartient, voſtre adveu doit ſe E prendre, C’eſt vous le deſrober qu’autrement le reſpandre, la Rome ne manque point de genereux guerriers, Aſſez d’autres, ſans moy, ſouſtiendront vos lau- Au riers, Que voſtre Majeſté deſormais m’en diſpenſe, Et ſi ce que i’ay fait vaut quelque recompenſe, Permettez, ô grand Roy, que de ce bras vainqueur, Ie m’immole à ma gloire, & non pas à ma ſœur.	Et que tout mon courage après de si grand coups Parvienne à des succès qui n'aillent au dessous, Si bien que pour laisser une illustre mémoire, La mort seule aujourd'hui peut conserver ma gloire, Encor la fallait-il si tôt que j'eus vaincu, Puisque pour mon honneur j'ai déjà trop vécu, Un homme tel que moi voit sa gloire ternie Quand il tombe en péril de quelque ignominie, Et ma main aurait sou pia m'en garantir, Mais sans votre congé mon sang n'ose sortir, Comme il vous appartient, votre aveu doit se prendre, Çest vous le dérober an le répandre, la Rome ne manque point se pré guerriers, Assezndre, Can moi, dr vos - Au riers, Que vôtre Me désormais en dispense, Et si le que ay fait vaut quelque recompense, Permettez, grand Roy, que de ce bras vainqueur, Ie immole ma gloire, et non pas ma sœur.
TRAGEDIE.	TRAGÉDIE.
SCENE III.	SCÈNE III.
53 TVLLE, VALERE, Le vieil HORACE, MONACE, SADINESIVEIL.	53 TULLE, VALÈRE, Le vieil HORACE, MONACE, SADINESIVEIL.
SABINE.	SABINE.
Ire, eſcoutez Sabine, & voyez dans ſon ameOLes douleurs d’vne ſœur, & celles d’vne femme, Qui toute deſolée à vos ſacrez genoux Pleure pour ſa famille, & craint pour ſon eſpoux.	Ire, écoutez Sabine, et voyez dans son âmeOLes douleurs d'une sœur, et celles d'une femme, Qui toute désolée à vos sacrés genoux Pleure pour sa famille, et craint pour son époux.
Ce n’eſt pas que ie vueille auec cét artifice Deſrober vn coupable au bras de la iuſtice, (tel, Quoy qu’il ait fait pour vous, traitez-le comme Et puniſſez en moy ce noble criminel.	Ce n'est pas que ici veuille avec cet artifice Desrober un coupable au bras de la justice, (tel, Quoi qu'il ait fait pour vous, traitez-le comme Et punissez en moi ce noble criminel.
De mon ſang malheureux expiés tout ſon crime, Vous ne changerez point pour cela de victime, Ce n’en ſera point prendre vne iniuſte pitié, Mait en ſacrifier la plus chere moitié.	De mon sang malheureux expiez tout son crime, Vous ne changerez point pour cela de victime, Ce n'en sera point prendre une injuste pitié, Mait en sacrifier la plus chère moitié.
