A MADAMOISELLE DE BOVRBON.	À MADAMOISELLE DE BOURBON.
Chaſte cœur, que l’amour auoit fait pour vn ſort, Capable de pouſſer tout infidelle effort;	Chaste cœur, que l'amour avait fait pour un sort, Capable de pousser tout infidèle effort;
Où tenoit ſon conſeil, où ſes belles penſees Comme ſur de l’airain eſtoient ſi bien traoees,	Où tenait son conseil, où ses belles pensées Comme sur de l'airain étaient si bien traères,
Tu n’es plus maintenant priué de tes appas, Que l’image d’vn cœur & l’ame du treſpas, Quoy baiſant ce cruel peint deſſus ton viſage, Le traiſtre n'en veut pas amollir ſon courâge, Pour quoy le feroit-il puis que ie voy les Dieux Se monſtrer en mes maux encor moins ſoucieux, Pendant que ces cailloux en deuenans ſenſibles Laiſſent en ma faueur leurs durtez impaſſibles, Cette roche de dueil s’eſt entr’ouuert le flanc, Ce ruiſſeau fait couler de l’ancre auec du ſang, Ces Roſſignols muets oublient leurs careſſes, Ces plantes comme moy s’en prennent à leurs treſſes, Les Nymphes ſont en dueil, meſme les belles fleurs Partageant mes ennuis ont les paſles couleurs;	Tu n'es plus maintenant privé de tes appas, Que l'image d'un cœur et l'âme du trépas, Quoi baisant ce cruel peint dessus ton visage, Le traître n'en veut pas amollir son courâge, Pour quoi le ferait-il puis que ie ans les Dieux Se montrer en mes maux encor moins soucieux, Pendant que ces cailloux en devenants sensibles Laissent en ma faveur leurs durtés impassibles, Cette roche de deuil s'est entrir'ouuert le flanc, Ce ruisseau fait raver de l'ancre avec du sang, Ces Rossignols muets oublient leurs pleurs, Ces pleurs comme moi s'en prennent leurs tresses, Les Nymphes sont en dueil, même les belles fleurs Partageant mes ennuis ont les pâles couleurs;
Et connoiſſant qu’il faut que mon bien ſe finiſſe, L'Amante du Soleil en a pris la iauniſſe:	Et connaissant qu'il faut que mon bien se finisse, L'Amante du Soleil en a pris la jaunisse:
Tout pleure, mon amant, & les petits zephirs Taſchent à l’animer du vent de leurs ſouſpirs;	Tout pleure, mon amant, et les petits zéphyrs Tâchent à l'animer du vent de leurs soupirs;
Mais Dieux!	Mais Dieux!
il eſt tout froid, ce n’eſt plus qu'vne ſouche, Cette main eſt de marbre alors que ie la touche, Ialettre ſup Hé quel nouueau ſuiect d’vn dueil trop violent, Que veut dire muët ce papier trop ſanglant, Ces lettres d’vn deſdain ſemblent estre animees.	il est tout froid, ce n'est plus qu'une souche, Cette main est de marbre alors que sans la touche, Ialettre svp Hé quel nouveau sujet d'un deuil trop violent, Que veut dire mues ce papier trop sanglant, Ces lettres d'un dédain semblent être animées.
Ha Cieux!	Ha Cieux!
ha Dieux ma main les doit auoir formees:	ha Dieux ma main les doit avoir formées:
Mais ſe fuſt pour Diane en ſe voulant venger, Comme elle me diſoit d’vn inconſtant Berger, Infidelle ſuiect de tout noſtre deſaſtres	Mais se fût pour Diane en se voulant venger, Comme elle me disait d'un inconstant Berger, Infidèle sujet de tout notre désastres
Rougie Rougis-tu pas de honte, ô rocher, ô bel aſtre, Aprenez s’il vous plaiſt aux hameaux d’alentour Que ſon perfide eſprit nous a ioüé ce tour, Cependant Ombre ſaincte, il faut que tu m’excuſes, Tout ce mal cher amy ne vient que de ſes ruſes!	Rougie Rougis-tu pas de honte, ô rocher, ô bel astre, Aprenez s'il vous plaît aux hameaux d'alentour Que son perfide esprit nous a joué ce tour, Cependant Ombre sainte, il faut que tu m'excuses, Tout ce mal cher ami ne vient que de ses ruses!
O trop credule amant, dans ce morne ſeiour Ton ame enſeignera comme l’on fait l’amour, Les Enfers en t’ayant perdront toutes leurs geſnes, Car pres de tant d'amours ils n’aurõt point de haines, Et quand tu paſſeras par ſes bois ſi charmants, Ils ſe transformeront en des eſprits aymants;	Ô trop crédule amant, dans ce morne seiour Ton âme enseignera comme l'on fait l'amour, Les Enfers en t'ayant perdront toutes leurs gênes, Car près de tant d'amours ils n'aurait point de haines, Et quand tu passeras par ses bois si charmants, Ils se transformeront en des esprits aimant;
Doncques iniuſtes Dieux, ſoulez de nos victimes Vous ne pouuez forcer l’intention des crimes, Il ſemble qu’vn deſtin qui vous ſert de Regent, Vous ait clouez aux Cieux auec ces clouds d’argent:	Donc injustes Dieux, soûlez de nos victimes Vous ne pouvez forcer l'intention des crimes, Il semble qu'un destin qui vous sert de Règent, Vous ait clouez aux Cieux était ces clouds d'argent:
Alons il faut mourir, ton objet m'y conuie;	Alons il faut mourir, ton objet m'y convie;
Beau corps pour t’animer tien ie t’offre ma vie.	Beau corps pour t'animer tien ie t'offre ma vie.
ADAMANTE.	ADAMANTE.
Que faites vous Bergere, aprenez bien cecy, ceua par qui noun hiuons nous font mourir auſſi, Ils ſçauent mieux que nous ce qui nous eſt vtile, Et ſelon le beſoin leur faueur ſe diſtile, Amis, retenez-la.	Que faites vous Bergère, apprenez bien ceci, ceua par qui nouvn hivons nous font mourir aussi, Ils savent mieux que nous ce qui nous est utile, Et selon le besoin leur faveur se distyle, Amis, retenez-la.
2.	2.
Peſcheur.	Pêcheur.
Pendant que vous parliez Ce corps a treſſailly, qu’ainſi ne ſoit voyez.	Pendant que vous parliez Ce corps a tressailli, qu'ainsi ne soit voyez.
ADAMANTE.	ADAMANTE.
Courage mes amis ce n'eſt qu’vne foibleſſe, son toup n'eſt pas monet.	Courage mes amis ce n'est qu'une faiblesse, son toup n'est pas monet.
FLORILAME.	FLORILAME.
Ha!	Ha!
quel ombre me bleſſe, Infidelle Vranie, he!	quel ombre me blesse, Infidèle Vranie, hé!
quel reſſentiment Vous fait accompagner l’eſprit de voſtre amant;	quel ressentiment Vous fait accompagner l'esprit de votre amant;
Qurut Zoien, mon ouieusque vos ſonpçons ſi ſombres, Au Palais de la mort facent mourir nos ombres.	Qurut Zoyen, mon ouieusque vos sonpçons si sombres, Au Palais de la mort facent mourir nos ombres.
VRANIE.	VRANIE.
Mon beau reſſuſcité par le grand Dieu d'Amour, Nous reſpirons encor' ſous l’Empire du iour.	Mon beau ressuscité par le grand Dieu d'Amour, Nous respirons encor sous l'Empire du jour.
FLORILAME.	FLORILAME.
Quoy nous ſomilutuo, comle ſe peut-il faire Que m’eſtant maſſacré deſſous noſtre hemiſphert Ie ne ſou mainienam ireſpajſe,	Quoi nous somilutuo, comle se peut-il faire Que m'étant massacré dessous notre hérisphert Je ne sou mainien irespajse,
VRANIE.	VRANIE.
nullement,	nullement,
FLORILAME.	FLORILAME.
Dieux!	Dieux!
hé que ſuis-ie donc?	hé que suis-je donc?
VRANIE.	VRANIE.
tramponte ſeulement.	tramponte seulement.
FLORILAME.	FLORILAME.
Il m’eſt auis pourtant que i’ay veu Radamante Entretenir icy l’ombre de mon Amante.	Il m'est avis pourtant que j'ai vu Radamante Entretenir ici l'ombre de mon Amante.
VRANIE.	VRANIE.
Non, mais ce bon vieillard dont les ſages diſcours Ont mis dans leur entier nos parfaites amours, C’eſt luy qui m’a forcee à garder Vranie A ſon cher Florilame,	Non, mais ce bon vieillard dont les sages discours Ont mis dans leur entier nos parfaites amours, C'est toujours qui m'a forcée à garder Vranie À son cher Florilame,
FLORILAME.	FLORILAME.
ô faueur infinie, Secourable vieillard comme vne Deïté, Receuez maintenant la bonne volonté Pour le plus grãd loyer que nous vous puiſſiõs rẽdre,	ô faveur infinie, Secourable vieillard comme une Deïté, Recez maintenant la bonne volonté Pour le plus grands loyer que nous vous puissions rendre,
ADAMANTE.	ADAMANTE.
Ctn aupemesenjanste querenuon attendre.	Ctn aupemesenjanste quérenuon attendre.
SCENE IM.	SCÈNE IM.
LISIDOR, DORIS, DIANE,	LISIDOR, DORIS, DIANE,
LISIDOR ſeul.	LISIDOR seul.
mour le plus petit & le plus granddes Dieux.	mour le plus petit et le plus granddes Dieux.
IQue c'eſt auec raiſon que l’on te peint sãs yeux, Puis que dans la folie où l’enfance te traine Tu ſuis tes paſſions où leur plaiſir te meine, Et comme ſi ton mal eſtoit contagieux Dans vn effet du tout traitre & prodigieux:	IQue c'est avec raison que l'on te peint su yeux, Puis que dans la folie où l'enfance te traine Tu suis tes passions où leur plaisir te mène, Et comme si ton mal était contagieux Dans un effet du tout traître et prodigieux:
Tous ceux de qui tu mets la vertu priſonniere, Tout de meſme que toy ſont priuez de lumiere:	Tous ceux de qui tu mets la vertu prisonnière, Tout de même que toi sont privés de lumière:
Mais non, ie ne ſçaurois croire que tu ſois Dieu, Vn Dieu fait eſclatter ſa prudence en tout lieu, Et tu ne le fais pas, mettant en euidence Bien peu de retenuẽ & beaucoup d’imprudence, Vn Dieu qui n’eſt que pur en ſes diuins accords N’aſſujetit point l’ame â l’appetit du corps, Et ne fait point languir nos ſens à la torture,	Mais non, Seigneur ne saurais croire que tu sois Dieu, Un Dieu fait éclater sa prudence en tout lieu, Et tu ne le fais pas, mettant en évidence Bien peu de retenuence et beaucoup d'imprudence, Un Dieu qui n'est que pur en ses divins accords N'assujet point l'âme ât l'appétit du corps, Et ne fait point languir nos sens à la torture,
M ij Adorant vn objet ſerfde la pourriture, Vne freſle beauté que le mortel deſtin Fait comme vn Lys mourir & naiſtre en vn matir.	M ijà Adorant un objet serfde la pourriture, Une frêle beauté que le mortel destin Fait comme un Lys mourir et naître en un matir.
Dieux que tu mets pour moy ta fureur en vſage, Amour que tu te plais dans noſtre pavſage, Que ton humeur ſe plaist dans les diuerſitez, Que tu ſçais profiter de mes aduerſitez, Et que tu me fais bien ſentir ta tyranie Dans le feu de Doris & le froid d’Vranie;	Dieux que tu mets pour moi ta fureur en usage, Amour que tu te plais dans notre pavsage, Que ton humeur se plaît dans les diversités, Que tu sais profiter de mes adversité, Et que tu me fais bien sentir ta yranie Dans le feu de Doris et le froid d'Unranie;
Mais voicy qu’elle vient pour me perſecuter, Que ne ſuis ie vn rocher pour ne pas l’eſcouter.	Mais voici qu'elle vient pour me persécuter, Que ne suis apprendre un rocher pour ne pas l'écouter.
DORIS.	DORIS.
C’eſt en vain qu'vn orgueil te prepare à la fuitte, Puis que ma paſſion va touſiours à ta ſuitte, Liſidor s’eſ Que mon ſeu t’accompagne;	C'est en vain qu'un orgueil te prépare à la fuite, Puis que ma passion va toujours à ta suitte, Lisidor s'es Que mon seu accompagne;
ha!	ha!
que par cét effort Amour tu fais bien voir que tu n'es gueres fort, Doris, & Du moins ce qui m’appaiſe & contente à cette heure Iuy laiſſe ſa Quelque choſe de luy maintenant me demeure;	que par cet effort Amour tu fais bien voir que tu n'es guère fort, Doris, et Du moins ce qui m'apaise et contente à cette heure Jui laisse sa Quelque chose de même maintenant me demeure;
Chere Lune permets que ta belle elarté Ie elle treu Fauoriſe en ce temps ma curioſité, Fay que l’aueuglement qui me captiue l’ame Se diſſipe à l’eſclat de ta diuine flâme, Cher gage d’vn ingrat que i’ay touſiours aymé, C’eſt vn petit ſachet fait de cuir parfumé, Voyons ce qu’il recele, ô dieux que cette image Et ſon original me cauſent de dommage, Adorable pourtraict que vous m’eſtes fatal Que vos perfections m’ont procuré de mal, Tropparfaite, Vranie, il eſt vray ie l’auoüe, Ma beauté prés de vous eſt moins que de la bouë, Et certes Liſidor ne pouuoit mieux choiſir A qui douner ſes vœux, ſes feux, & ſon deſir, Que c’eſt bien vainement qu’il a voſtre peinture, s’il vous eſpreuue en tout de ſemblabe nature, Pous treuuant inſenſible ainſi que ce pourtraict, Adorable crayon qu'autre qu'vn Dieu n'a faict:	Chère Lune permets que ta belle élarté , elle trouve Favorise en ce temps ma curiosité, Fais que l'aveuglement qui me captive l'âme Se dissipe à l'éclat de ta divine flamme, Cher gage d’-dire ingrat que j'ai toujours aimé, C'est un petit sachet fait de cuir parfumé, Voyons ce qu'il recele, ô dieux que cette image Et son original me causent de dommage, Adorable pourtrait que vous m'êtes fatal Que vos perfections m'ont procuré de mal, Tropparfaite, Vranie, il est vrai ie auoüe, Ma beauté prés de vous est moins que de la bouë, Et certes Lisidor ne pouuoit mieux choisir A qui douner ses vœux, ses feux, et son désir, Que est bien vainement il a vôtre peinture, yil vous es en tout de semblabe nature, Pous a insensible ainsi que ce pourtraict, Adorable crayon qu'autre qu' Dieu n'a faict:
Mais que voudroit Diane ainſi toute hors d’haleine.	Mais que voudrait Diane ainsi toute hors d'haleine.
DIANE.	DIANE.
Apres mes pieds mes yeux ont parconnte plaine, Pour treuuer Liſidor, Bergere enſeignez moy Où peut eſtre mon frere.	Après mes pieds mes yeux ont parconnte plaine, Pour trouver Lisidor, Bergère enseignez moi Où peut être mon frère.
DORIS.	DORIS.
Ainſi comme ie croy Il eſt dans le chemin qui tend aux Sicomores:	Ainsi comme tu crois Il est dans le chemin qui tend aux Sicomores:
Mais à quoy tant de haſte;	Mais à quoi tant de hâte;
DIANE.	DIANE.
ignorez-vous encores Lu puoyabie mort ue uenx pauures Amants Que mes inuentions ont remply de tourments, Vranie auiourd huy pleure ſon Florilame Chez le ſage Adamante où il a rendu l'ame.	ignorez-vous encore Lu puoyabie mort ue ouvenx pauvres Amants Que mes inventions ont rempli de tourments, Vranie auiourd hui pleure son Florilame Chez le sage Adamante où il a rendu l'âme.
DORIS.	DORIS.
Voſtre diſcours m’eſtonne.	Votre discours m'étonne.
DIANE.	DIANE.
Ha!	Ha!
ſans plus diſcourir Donnez moy le moyen de l’aller ſecourir.	sans plus discourir Donnez -moi le moyen de l'aller secourir.
Outre que le recit eſt long le temps me preſſe, Et l’humaine pitié condamne ma pareſſe:	Outre que le récit est long le temps me presse, Et l'humaine pitié condamne ma paresse:
Ie vous entretiendray ſur ce ſujet demain,	Je vous entretiendrai sur ce sujet demain,
DORIS.	DORIS.
Mu tomp.	Mu tomp.
giois bais vous remettre au chemin Qu’il a pris maintenant, fuyant vne Bergere.	giais bais vous remettre au chemin Qu'il a pris maintenant, fuyant une Bergère.
DIANE.	DIANE.
Toyable detident, maleureuje etrangere.	Toyable détident, maleureuje étrangère.
SCENE IIII.	SCÈNE IIII.
TERSANGE, LVCIDAN, venus en Arcadie pour chercher ſes Amants.	TERSANGE, LUCIDAN, venus en Arcadie pour chercher ses Amants.
VRANIE, FLORILAME, ADAMANTE, LISIDOR DIANE, PHILANDRE, DORIS.	VRANIE, FLORILAME, ADAMTE, LISIDOR DIANE, PHILANDRE, DORIS.
TEROANGL.	TEROANGL.
Onſieur où voulez-vous que nous paſſions la M nuict.	Onsieur où voulez-vous que nous passions la M uit.
LVCIDAN.	LUCIDAN.
I'apperçois icyprés quelque feu qui nous luit:	J'aperçois icyprés quelque feu qui nous luit:
Parlons à ce vieillard.	Parlons à ce vieillard.
TERSANGE, entrant chez le Grand Preſtre où ſont ces deux Amants.	TERSANGE, entrant chez le Grand Prêtre où sont ces deux Amants.
Pere s’il eſt poſſible Qu’aux traits de la pitié voſtre ame ſoit ſenſible Si prés de ces rochers, preſtez nous le couuert.	Père s'il est possible Qu'aux traits de la pitié votre âme soit sensible Si près de ces rochers, prêtez nous le couvert.
ADAMANTE.	ADAMANTE.
Tout comme mon logis mon cœur vous eſt ouuert.	Tout comme mon logis mon cœur vous est ouvert.
LVCIDAN.	LUCIDAN.
Diuſi que le grand Dieu que cette terre adore De fertilles moiſſons tous les ans vous redore.	Dius que le grand Dieu que cette terre adore De fertilles moissons tous les ans vous redore.
l A illurre, Ha!	À L' illurre, Ha!
Cieux qu’ay-ie apperceu.	Cieux qu'ai-je aperçu.
FLORILAME.	FLORILAME.
Te ſurprend mon Soleil?	Te surprend mon Soleil?
Quelle ſoudaine peur	Quelle soudaine peur
VRANIE.	VRANIE.
Si mon œil n'eſt trompeur Ie penſe auoir connu ſous ſemblables viſages Ierjange & mtiuan,	Si mon œil n'est trompeur Je pense avoir connu sous semblables visages Jerjange et mivan,
FLORILAME.	FLORILAME.
ô ſiniſtres preſages!	ô sinistres presages!
VRANIE.	VRANIE.
Helas!	Hélas!
que ferons nous, ils vſeront d’effort Pour nous conduire au Roy, & peut eſtre à la mort?	que ferons nous, ils useront d'effort Pour nous conduire au Roi, et peut être à la mort?
Car que pourrez vous faire eſtãt deſpourueu d’armes.	Car que pourrez -vous faire étant dépourvu d'armes.
FLORILAME.	FLORILAME.
Ie iure qu'en ta peur tu meſtes ue doux tharmes:	Je jure qu'en ta peur tu mestes ue doux tharmes:
Ne crains rien, mon Soleil, ils n’en viendront pas là, Duiour que ton amour dans mon cœur ſe coula Ie n'apprehende rien	Ne crains rien, mon Soleil, ils n'en viendront pas là, Duiour que ton amour dans mon cœur se coula Je n'appréhende rien
VRANIE.	VRANIE.
s’ils vſent de mainforte.	s'ils usent de mainforte.
FLORILAME.	FLORILAME.
Comme ie puis iuger la crainte le tranſporte, Ie m'en garderay bien.	Comme ici puis juger la crainte le transporte, Je m'en garderai bien.
LVCIDAN.	LUCIDAN.
Mon pere dites nous Si vous n’auriez point veu paſſer prés a chez vous Vn ieune homme menant vne tres belle fille, Couple tres-precieux de Royale famille:	Mon père dites nous Si vous n'auriez point vu passer prés à chez vous Un jeune homme menant une très belle fille, Couple très -precieux de Royale famille:
Mais de peur qu’ilsne ſoient en habit deguiſé, Ce Gentil homme eſt blanc de poil doux & friſé, De corſage aſſez haut, ſa cheuelure eſt blonde, Ses yeux tirent vn peu de la couleur de l’onde:	Mais de peur qu'ils soient en habit déguisé, Ce Gentil homme est blanc de poil doux et frisé, De corsage assez haut, sa chevelure est blonde, Ses yeux tirent un peu de la couleur de l'onde:
Pour lu Dame eue uiant at grutt & de beauté, Que ſon maintien s’accorde auec la majesté:	Pour lu Dame eue uiant at grut et de beauté, Que son maintien s'accorde avec la majesté:
Tour mieux les figurer en voicy la peinture,	Tour mieux les figurer en voici la peinture,
FLORILAME.	FLORILAME.
En ces petits Tableaux) malheureuſe auanture,	En ces petits Tableaux) malheureuse aventure,
VRANIE.	VRANIE.
ranie & de Amy que ferons nous, à qui te reſous-tu?	ranie et de Ami que ferons nous, à qui te résous-tu?
FLORILAME.	FLORILAME.
A rendre ſous le mien teur effort abbatu.	A rendre sous le mien teur effort abattu.
ADAMANTE.	ADAMANTE.
Vray ment ie doute fort voyant cette figure Si l’art n’a point voulu ſurpaſſer la nature:	Vrai ment ie doute fort voyant cette figure Si l'art n'a point voulu surpasser la nature:
Ce ſont doncques ceux là que vous allez ſuiuan, Dans peu vous allez voir leurs modelles ſuiuans.	Ce sont donc ceux -là que vous allez suivan, Dans peu vous allez voir leurs modèles suivants.
LVCIDAN.	LUCIDAN.
O Dieux que voy-ie là,	Ô Dieux que vois-je là,
FLORILAME.	FLORILAME.
FLORILAME.	FLORILAME.
Ce que tu dois bien craindre De ne voir pas long-tẽps ſi tu nous veux contraindre, D’aller trouuer la mort chez vn Prince cruel;	Ce que tu dois bien craindre De ne voir pas longtemps si tu nous veux contraindre, D'aller trouver la mort chez un Prince cruel;
Homicide auec toy d’vn amour mutuel, Ie ſçay qu’autre deſſein, Lucidan, ne t’ameine Que pour ſacrifier nos teſtes à la haine D'vn pere ſans pitié, mais ſi iamais tu fûs Du nombre des Amans, permets que le refus Que nous faiſons d’aller vers cét homme barbare.	Homicide avec toi d'Homme mutuel, Je sais qu'autre dessein, Lucidan, ne t'amène Que pour sacrifier nos têtes à la haine D'un père sans pitié, mais si jamais tu fus Du nombre des Amants, permets que le refus Que nous faisons d'aller vers cet homme barbare.
De qui l’humanité tout à fait ſe ſepare Senſiblement te touche, en t’aſſeurant qu’vn iour Incomparable amy d’vne parfaite amour, Protecteur glorieux de nos bonnes fortunes, Qu'elles ſeront touſiours entre nous deux communes:	De qui l'humanité tout à fait se sépare Sensiblement te touche, en t'assurant qu'un jour Incomparable ami d'une parfaite amour, Protecteur glorieux de nos bonnes fortunes, Qu'elles seront toujours entre nous deux communes:
Ou bien aſſeure toy qu’auec ce bout de fer Le deſeſpoir pourra me faire triompher.	Ou bien assure toi qu'avec ce bout de fer Le désespoir pourra me faire triompher.
LVCIDAN.	LUCIDAN.
Voyant de noſtre ſein la triſteſſe rauie, N’outragez point ceux-là qui vous donnent la vie, Eſtans Ambaſſadeurs de vos felicitez, L’ardeur de vous ſeruir nous a ſollicitez, De nous rendre certains que la haine cruelle De vos parens n’eſt plus qu’vne amour mutuelle, Dont l’accord ſceut cauſer auec ſes froideur?	Voyant de notre sein la tristesse ravie, N'outragez point ceux-là qui vous donnent la vie, Étant Ambassadeurs de vos félicités, L'ardeur de vous servir nous a sollicitez, De nous rendre certains que la haine cruelle De vos parents n'est plus qu'une amour mutuelle, Dont l'accord sut causer avec ses froideur?
Vn depart agreable à des Ambaſſadeurs, Qui venant demander Madame en mariage Auoient fait ſur la mer vn malheureux voyage.	Un départ agréable à des Ambassadeurs, Qui venant demander Madame en mariage Avaient fait sur la mer un malheureux voyage.
VRANIE.	VRANIE.
C’eſt que cét element qui ſans doute eſt faſcheux Humide ne pouuoit ſ'accorder à leurs feux, Or s’en allant ſans moy, qu’ils croiſſent leurs annall De la deſcription de deux pertes fatalles.	C'est que cet élément qui sans doute est fâcheux Humide ne pouuoit s'accorder à leurs feux, Or s'en allant sans moi, qu'ils croissent leurs annall De la description de deux pertes fatales.
Tdoſerendn.	Tdoserendn.
Mais Lycandre & Melante,	Mais Lycandre et Mélante,
TERSANGE.	TERSANGE.
Ils ſont d’accord entre eux Qu'apres voſtre retour qui les doit rendre heureux Sans tarder longuement vn heureux Hymenee Conduira le bon-heur dans voſtre deſtinee.	Ils sont d'accord entre eux Qu'après votre retour qui les doit rendre heureux Sans tarder longuement un heureux Hymène Conduira le bonheur dans votre destinée.
FLORILAME.	FLORILAME.
Fauorable nouuelle.	Favorable nouvelle.
VRANIE.	VRANIE.
O Dieux ſoyez benis!	Ô Dieux soyez bénis!
Mon cœur c’est à ce coup que nos maux ſont finis.	Mon cœur c'est à ce coup que nos maux sont finis.
FLORILAME.	FLORILAME.
Qu’entre nous, mes amis, des injures paſſees La memoire auiourd’huy ſ'effacẽ en nos penſees:	Qu'entre nous, mes amis, des injures passées La mémoire aujourd'hui s'effacence en nos pensées:
Fauorable malheur, naufrage glorieux, Qui du monde & du ſort nous rends victorieux, Calme de nos ennuis, criſe tres-ſouueraine, Qui conçois l’amitié dans le ſein de la haine:	Favorable malheur, naufrage glorieux, Qui du monde et du sort nous rends victorieux, Calme de nos ennuis, crise très -souueraine, Qui conçois l'amitié dans le sein de la haine:
Haine qui nous apprends comme il nous faut aymer, Qui nous portes aux cieux ſur le point d'abiſmer, Mon cœur viuons contens.	Haine qui nous apprends comme il nous faut aimer, Qui nous portes aux cieux sur le point d'abîmer, Mon cœur vivons contents.
LISIDOR, venant auec Diane.	LISIDOR, venant avec Diane.
si nous estions capables De nos iuſtes courroux auſſi bien que coulpables, Nous nous demanderions de plus grands chaſtimens Que n'en pourroient ſonger vos iuſtes ſentimens:	si nous étions capables De nos justes courroux aussi bien que coulpables, Nous nous demanderions de plus grands châtiments Que n'en pourraient songer vos justes sentiments:
Nous ſommes les Autheurs de tout voſtre diuorce:	Nous sommes les Auteurs de tout votre divorce:
Mais quoy vos raretez peſſedoient tant d’amorce, Nna meuuoipel ajiaedexxcnti, Deux cœurs qu’vn ſeul amour ſçauoit bien maintenir.	Mais quoi vos raretés pessedaient tant d'amorce, Nauna muoipel ajiaedexxcnti, Deux cœurs qu'un seul amour savait bien maintenir.
DIANE.	DIANE.
Par ceſte affection que vous m’auez portee Pardonnéz-moy l’offenſe où l’amour m’a iettee, Lafin que deſormais ie raconte en tous lieux Qu'en habits de Bergers i’ay frequenté des Dieux.	Par cette affection que vous m'avez portée Pardonnéz-moi l'offense où l'amour m'a jette, Lafin que désormais ie raconte en tous lieux Qu'en habits de Bergers j'ai fréquenté des Dieux.
Y Eenates Non pas, mais ſeulement dites en ces Prouinces Qu'en habits de Bergers vous auez veu des Princes.	Y Étenates Non pas, mais seulement dites en ces Provinces Qu'en habits de Bergers vous avez vu des Princes.
FLORILAME.	FLORILAME.
Et pour tout chastiment eſpouſez ce Berger, lar ma condition ne vous peut ſoulager:	Et pour tout châtiment épousez ce Berger, lar ma condition ne vous peut soulager:
Et l’oſtant à ce coup du dueil qui la conſomme aenatZ tay la raijon que fatete tont ut enomme, Autrement vn remords vous pourroit accuſer.	Et l'ôtant à ce coup du eil qui la consomme aenatZ tai la raijon que fateté tont ut enomme, Autrement un remords vous pourrait accuser.
DIANE.	DIANE.
el preſent, Monſeigneur, n'eſt pas à refuſer.	Ôel présent, Monseigneur, n'est pas à refuser.
PHILANDRE en ſon bon ſens.	PHILANDRE en son bon sens.
Maintenant eſpargnés les traits de ma folie, Qu'vn bon ſens va percer cette melancholie, Et que dans ce moment ie parle ſagement, e vais luy preſenter ce peu de iugement, Ie vais luy preſenter ce peu de retenuë Auant que la fureur la couure d'vne nuë, Auecque ce deſſein que ſi ce beau rocher Ne ſe ſent par mes pleurs à ceſte heure toucher D’aller ſacrifier ce pair de Tourterelles A celle qui punit les Bergeres rebelles, Afin que deſormais perdant ſa cruauté Que reçoiue vn cœur aigne de ſa beauté:	Maintenant espargnés les traits de ma folie, Qu'un bon sens va percer cette mélancolie, Et que dans ce moment ie parle sagement, eût lais lui présenter ce peu de jugement, Je vais lui présenter ce peu de retenue Avant que la fureur la couvre d'une nue, Avecque ce dessein que si ce beau rocher Ne se sent par mes pleurs à cette heure toucher D'aller sacrifier ce pair de Tourterelles À celle qui punit les Bergères rebelles, Afin que désormais perdant sa cruauté Que reçoive un cœur aigne de sa beauté:
Mais n’apperçois-ie pas cette belle inuincible?	Mais n'aperçois-je pas cette belle invincible?
DIANE.	DIANE.
Approche toy Philandre,	Approche toi Philandre,
PHILANDRE.	PHILANDRE.
Que vous ſoyez Diane.	Que vous soyez Diane.
ô Dieux eſt il poſſible	ô Dieux est il possible
DIANE.	DIANE.
Amy pardonne-moy, Les dédains criminels dont i’ay bleßé ta foy;	Ami pardonne-moi, Les dédains criminels dont j'ai blevé ta foi;
Non, non, ie ne ſuis plus de ceſte humeur farouche, Apprends que ton humeur ſenſiblement me touche, Sçache fidelle Amant que par vn ſort plus doux Diane te reçoit auiourd’huy pour eſpoux, Quoy?	Non, non, Madame ne suis plus de cette humeur farouche, Apprends que ton humeur sensiblement me touche, Sache fidèle Amant que par un sort plus doux Diane te reçoit aujourd'hui pour époux, Quoi?
tu ne reſponds rien?	tu ne réponds rien?
PHILANDRE.	PHILANDRE.
La faueur departie Qui paſſe dans l’excez m’oſtant la repartie, L'Amour mon Truchement d’vn acte officieux Au deffaut de la voix vous parle par me yeux mais ne ſçauray-ie point i'auineur ue ma fortune.	La faveur départie Qui passe dans l'excès m'ôtant la répartie, L'Amour mon Truchement d'un acte officieux Au défaut de la voix vous parle par me yeux mais ne saurai-je point j'avineur ue ma fortune.
DIANE.	DIANE.
C’eſt ce couple d’Amants, noſtre ioye commune, Qui ſous ſes veſtemens conuerſant parmy nous, A rendu de noſtre heur le Ciel meſme ialoux, Aquiiaſejangje amemne nooteye.	C'est ce couple d'Amants, notre joie commune, Qui sous ses vêtements conversant parmi nous, A rendu de notre heur le Ciel même jaloux, Aquiiasejangje amemne noteye.
Donne la qualité de Prince & de Princeſſe.	Donne la qualité de Prince et de Princesse.
PHILANDRE, à genoux aux pieds de Flo.	PHILANDRE, à genoux aux pieds de Flo.
Donc ces terreſtres Dieux viennent me r’animer:	Donc ces terrestres Dieux viennent me ranimer:
Grand Prince ces faueurs ne pouuant s’exprimer, Receuez les treſors que vos cœurs vous deſirent, Que pour vos ſeuls plaiſirs les delices ſouſpirent, Qu'à iamais l’vnion de tous les elements Pranaiue à vous trenuer toms les contentements, Que la meſme fortune en coniurant voſtre aiſe, Iure icy de iamais ne vous eſtre mauuaiſe.	Grand Prince ces faveurs ne pouvant s'exprimer, Receuez les trésors que vos cœurs vous désirent, Que pour vos seuls plaisirs les délices soupirent, Qu'à jamais l'union de tous les éléments Pranaive à vous trenuer temps les contentements, Que la même fortune en conjurant votre aise, Jure ici de jamais ne vous être mauvaise.
