NCTEVRS.	NCTEURS.
DOROTHE’E.	DOROTHÉÉE.
Aprice, ton ami me va combler d’honneur.	Apprice, ton ami me va combler d'honneur.
THEOPHILE.	THÉOPHILE.
Ie ne la cache plus, elle fait mon bonheur.	Je ne la cache plus, elle fait mon bonheur.
CHRISIINE.	CHRISINE.
De ſon affection ie ne ſuis plus ialouſe.	De son affection Seigneur ne suis plus jalouse.
CALISTE.	CALISTE.
Ton change m'affermit dans la Foy que i’eſpouſe.	Ton change m'affermit dans la Foi que j'épouse.
APRICE.	APPRICE.
A quels nouueaux malheurs, Dieux me reſeruez vous;	À quels nouueaux malheurs, Dieux me réservez -vous;
heophi- C’eſt trop* Vous changerez ou vous perirez tous.	héophi- C'est trop* Vous changerez ou vous périrez tous.
Dans vne heure d’icy choiſiſſez l’vn ou l’autre.	Dans une heure d'ici choisissez l'vn ou l'autre.
Tlauien.	Tlavien.
* Vien, ſuy moy.	* Viens, suis -moi.
* Songez y, le choix eſt encor vos ſtre.	* Songez y, le choix est encor vos stre.
SCEN	SCEN
SCENE V.	SCÈNE V.
THEOPHILE.	THÉOPHILE.
DOROTHE’E.	DOROTHÉÉE.
CALISIE.	CALISIE.
CHRBSTNE.	CHRBSTNE.
THEOPHILE.	THÉOPHILE.
Cet iniuſte choix tu ne peux m’obliger?	Cet injuste choix tu ne peux m'obliger?
AA Sans changer, ſans perir, ie ſçauray vous venger.	À Sans changer, sans périr, Seigneur saurai vous venger.
I'ay preſque des ſoldats les troupes les plus leſtes, Ce cruel n'en aura que tes inaigney reſtes, Pourueu que vous ſouffriez que i’aille ſans tarder, Les armer pour le perdre ou bien pour vous garder.	J'ai presque des soldats les troupes les plus lestes, Ce cruel n'en aura que tes inaignei restes, Pourvu que vous souffriez que j'aille sans tarder, Les armer pour le perdre ou bien pour vous garder.
DOROTHE’E.	DOROTHÉÉE.
Epouffe ce deſſein, genereux Theophile, Sa perte eſt trop funeſte & leur garde inutile.	Épouffe ce dessein, généreux Théophile, Sa perte est trop funeste et leur garde inutile.
Sçache que c’eſt pour nous vn bien que de perir, Et que tu ferois mal que de nous ſecourir.	Sache que c'est pour nous un bien que de périr, Et que tu ferais mal que de nous secourir.
THEOPHILE.	THÉOPHILE.
* Ha!	* Ha!
non non, malgré vous ie vous rendray ſeruice;	non non, malgré vous ie vous rendrai service;
Ou ſi vous periſſeZ, il faut que tout periſſe.	Ou si vous périssez, il faut que tout périsse.
DOROTHE’E.	DOROTHÉÉE.
Vmnez, allons, ſuiuons l' & taſchons d’arreſter Ce mouuement ſubit qui vient de l’emporter.	Vamnez, allons, suivons l' et tâchons d'arrêter Ce mouvement subit qui vient de l'emporter.
ACTE	ACTE
ACTE THEOPHILE.	ACTE THÉOPHILE.
ATHEMODORE.	ATHÉMODORE.
DOROTHE’E.	DOROTHÉÉE.
APRICE.	APPRICE.
ELISE.	ÉLISE.
FLAVIEN.	FLAVIEN.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
THEOPHILE.	THÉOPHILE.
ATHEMODORE.	ATHÉMODORE.
THEOPHILE.	THÉOPHILE.
Mdl Ais eſt-il donc bien vray que ces deux filles L fortes, Dans ce feu deuorant ſoient iniuſtement mortes?	Médl Ais est-il donc bien vrai que ces deux filles L fortes, Dans ce feu dévorant soient injustement mortes?
ATHEMODORE.	ATHÉMODORE.
Il n’eſt rien de plus vray que cette illuſtre mort, Qui les à fait ſurgir heureuſement au port.	Il n'est rien de plus vrai que cette illustre mort, Qui les à fait surgir heureusement au port.
Par vne Prouidence admirable & profonde, Elles ont par le feu vaincu les flots du monde:	Par une Providence admirable et profonde, Elles ont par le feu vaincu les flots du monde:
Ou pluſtoſt par ce feu perdant enfin le iour, Elles ont triomphé de celuy de l’amour.	Ou plutôt par ce feu perdant enfin le jour, Elles ont triomphé de celui de l'amour.
THEOPHILE.	THÉOPHILE.
O funeſte triomphe!	Ô funeste triomphe!
ATHEMO	ATHÉMO
ATHEMODORE.	ATHÉMODORE.
Et pourtant deſirable.	Et pourtant désirable.
THEOPHILE.	THÉOPHILE.
Mais pour moy bien honteux.	Mais pour moi bien honteux.
ATHEMODORE.	ATHÉMODORE.
Mais pour nous honnorable,	Mais pour nous honorable,
THEOPHILE.	THÉOPHILE.
O que ce ſentiment me paroiſt déreglé!	Ô que ce sentiment me paraît déréglé!
Et que tu dois auoir l’eſprit bien aueuglé!	Et que tu dois avoir l'esprit bien aveuglé!
Eſtimer vn honneur de mourir en infames?	Estimer un honneur de mourir en infâmes?
Aimer comme vn bonheur de perir dans les flames?	Aimer comme un bonheur de périr dans les flammes?
Ha!	Ha!
Voila ſans mentir vn odieux bonheur!	Voilà sans mentir un odieux bonheur!
Ha!	Ha!
ie ne voudrois point d’vn ſi bizarre honneur!	Ne ne voudrais point d'une si bizarre honneur!
Quoy qu’il en ſoit, tu vois que ma gloire paſſée Dans cette iniuſte mort ſe trouue intereſſée, Ouy malgré les efforts du Preteur furieux, Ouy ie deuois tantoſt faire vn coup glorieux.	Quoi qu'il en soit, tu vois que ma gloire passée Dans cette injuste mort se trouve intéressée, Oui malgré les efforts du Préteur furieux, Oui quelque devais tantôt faire un coup glorieux.
Ouy, ouy, ſes laſches mains deuoient eſtre occupées A rompre mille dards, à briſer mille eſpées, A menacer, combatre & vaincre à meſmes temps Un infidelle ami, des ſoldats inconſtans, Que l’on a vû changer ſans honte & ſans courage DeZ lors que ma fortune à changé de viſage;	Oui, oui, ses lâches mains devaient être occupées A rompre mille dards, à briser mille épées, A menacer, combattre et vaincre à mêmes temps Un infidèle ami, des soldats inconstant, Que l'on a vu changer sans honte et sans courage De lors que ma fortune à changé de visage;
Et ſe rendre & d’amis & de mes ſeruiteurs Et mortels ennemis & fiers perſecuteurs.	Et se rendre et d'amis et de mes serviteurs Et mortels ennemis et fiers persécuteurs.
Ouy, ie deuois perir ou par ma reſiſtance, Empeſcher un arreſt rempli de violence.	Oui, Seigneur devais périr ou par ma résistance, Empêcher un arrêt rempli de violence.
Ouy, complice & cenſeur de ce laſche forfait, Ouy tu deuois le faire & tu ne l’as pas fait.	Oui, complice et censeur de ce lâche forfait, Oui tu devais le faire et tu ne l'as pas fait.
Ha!	Ha!
trop aueugle amour!	trop aveugle amour!
Amour trop impuiſſante!	Amour trop impuissante!
Ha!	Ha!
Paſſion eſteinte!	Passion éteinte!
Ha!	Ha!
paſſion naiſſante!	passion naissante!
L'une & l'autre de vous me deuoit à ſon tour	L'une et l'autre de vous me devait à son tour
Faire Faire aux ſours conſeruer ou perdre à moy le iour.	Faire Faire aux sours conserver ou perdre à moi le jour.
Mais auſſi qui l’euſt creu qu’vn amant, qu’vn Aprice, Euſt condamné Caliſte & Chriſtine au ſupplice;	Mais aussi qui l'eût cru qu'un amant, qu'un Aprice, Eut condamné Caliste et Christine au supplice;
Et que ces deux obiets d’amour & d’amitié Le deuſſent deuenir d’horreur & de pitié?	Et que ces deux objets d'amour et d'amitié Le dussent devenir d'horreur et de pitié?
Apres vne action ſi barbare & ſi noire, Qu'en faut-il eſperer?	Après une action si barbare et si noire, Qu'en faut-il espérer?
que n'en faut-il pas croire?	que n'en faut-il pas croire?
L'Aimable Dorothée auec tous ſes apas, Sçauroit-elle eſuiter vn ſemblable trepas?	L'Aimable Dorothée avec tous ses appas, Saurait-elle éviter un semblable trépas?
O cruelle pensée !	Ô cruelle pensée !
Ha!	Ha!
cher Athemodore, Peut eſtre vn meſme feu maintenant la deuore, Et.	cher Théodore, Peut -être un même feu maintenant la dévore, Et.
ATHEMODORE.	ATHÉMODORE.
Non, n’en ſoyez pas plus long-temps en ſouci;	Non, n'en soyez pas plus longtemps en souci;
Liit venara pien-roſi vons reirouner icy, Et vous faire auouër ainſi qu’à ſes amies, Qu'il faudroit pour vn Dieu prodiguer mille vies.	Liit venara pien-rosi vons reirouner ici, Et vous faire avouer ainsi qu'à ses amies, Qu'il faudrait pour un Dieu prodiguer mille vies.
HEOPHILE.	HEOPHILE.
Ha!	Ha!
ſi tu veux placer le vray terme en ſon lieu, Dy pour vne Déeſſe & non pas pour vn Dieu.	si tu veux placer le vrai terme en son lieu, Di pour une Déesse et non pas pour un Dieu.
ATIIEMODONE.	ATIEMODONE.
Noſtue Religion nous deffend ce blaſpheme.	Nôtue Religion nous défend ce blaspheme.
THEOPHILE.	THÉOPHILE.
voyant * Uoicy celle pourtant que i’adore & que i'aime.	voyant * Uoici celle pourtant que j'adore et que j'aime.
ATHEMODORE.	ATHÉMODORE.
Il n’en eſt point qu’on puiſſe adorer iuſtement.	Il n'en est point qu'on puisse adorer justement.
THEOPHILE.	THÉOPHILE.
O que tu connois mal ce que peut vn amant!	Ô que tu connais mal ce que peut un amant!
SCENE	SCÈNE
SCENE II.	SCÈNE II.
THEOPHILE.	THÉOPHILE.
DOROTHE’E.	DOROTHÉÉE.
ATHEMOUGEMDETSE.	ATHÉMOUGEMDETSE.
THEOPHILE.	THÉOPHILE.
Adame, ſe peut-il qu’enfin ie vous reuoye, dun Dihus imouueſpafuisuuye entortette ioye?	Adame, se peut-il qu'enfin je vous revoie, dun Dius imouuespafuisuuye entortette joie?
Ha!	Ha!
tous ces deſplaiſirs dans elle ſont noyez!	tous ces déplaisirs dans elle sont noyés!
DOROTHE’E.	DOROTHÉÉE.
Illuſtre Theophile, oüy vous me reuoyez, Mais vous me reuoyeZ contente & ſatisfaite De la mort des deux ſœurs ou bien de leur conqueſte.	Illustre Théophile, oui vous me revoyez, Mais vous me reuoyeZ contente et satisfaite De la mort des deux sœurs ou bien de leur conquête.
Car par la volonté d’vn Dieu bon, d’vn Dieu fort, Elles ont rencontré la vie dans leur mort, Dans la perte du corps le ſalut de leurs ames, Le bonheur dans les feux, la gloire dars les flames;	Car par la volonté d'une Dieu bon, d' Dieu fort, Elles ont rencontré la vie dans leur mort, Dans la perte du corps le salut de leurs âmes, Lé heur dans les feux, la gloire dars les flammes;
Et d’vn cœur intrepide auiourd’huy à nos yeux, Pour rien conquis le tout, pour la terre les Cieux.	Et d'un cœur intrépide aujourd'hui à nos yeux, Pour rien conquis le tout, pour la terre les Cieux.
ImiteZ, Theophile, imitez leur exemple:	Imitez, Théophile, imitez leur exemple:
Sçachez que le martire eſt vn champ aſſez ample, Pour y faire éclatter la vertu d’vn grand cœur;	Sachez que le martyre est un champ assez ample, Pour y faire éclater la vertu d'un grand cœur;
Et donner au vaincu la gloire du vainqueur.	Et donner au vaincu la gloire du vainqueur.
THEOPHILE.	THÉOPHILE.
Ha!	Ha!
non ie ne veux point de pareille viToire.	non seulement ne veux point de pareille viToire.
Ie ne mets mon bonheur, ie ne loge ma gloire, Qu’à faire que ce cœur ſoit digne de vos coups, Et qu’il s’oze vanter d’eſtre vaineu de vous.	Je ne mets mon bonheur, je ne loge ma gloire, Qu'à faire que ce cœur soit digne de vos coups, Et qu'il s'ose vanter d'être vainvu de vous.
L Poila	 Poila
Voilà l’honneur, Madame, où ce grand cœur aſpire.	Voilà l'honneur, Madame, où ce grand cœur aspire.
Et qu’il profereroit à celuy de l’empire.	Et qu'il proférerait à celui de l'empire.
Mais apres ce deſſein où rien ne paroiſt bas, O ſi vous l’auouyiez, que ne feroit-il pas?	Mais après ce dessein où rien ne paraît bas, Ô si vous l'avouiiez, que ne ferait-il pas?
Des plus cruels tourmens, des plus rudes ſupplices, Il feroit ſes plaiſirs, il feroit ſes delices:	Des plus cruels tourments, des plus rudes supplices, Il ferait ses plaisirs, il ferait ses délices:
Et pour eſtre honnoré d’vn ſeul de vos regards, Il ſeroit volontiers ouuert de mille dards.	Et pour être honoré d'âme seul de vos regards, Il serait volontiers ouvert de mille dards.
Auoüez l’, auoüez ce vain, ce temeraire, Et vous ſçaureZ bien toſt pour vous ce qu’il ſeait faire.	Auoüez l', auoüez ce vain, ce téméraire, Et vous savez bien tôt pour vous ce qu'il seait faire.
Peut-eſtre direz-vous qu’en l’eſtat où ie ſuis, Ce n’eſt rien, ou du moins c’eſt peu ce que ie puis.	Peut-être direz-vous qu'en l'état où tu suis, Ce n'est rien, ou du moins c'est peu ce que tu puis.
Ha!	Ha!
non, ce ſeul aueu me rendroit inuincible Et par vous & pour vous ie pourrois l’impoſſible.	non, ce seul aveu me rendrait invincible Et par vous et pour vous de mandais l'impossible.
Mais quandie perirois dans vn ſi haut projet, Pourroi ne bien perir pour vn plus baut ſujet?	Mais quandie périrais dans un si haut projet, Pourroi ne bien périr pour un plus baut sujet?
Et pour vous vne perte encor plus precieuſe Ne ſeroit elle pas & douce & glorieuſe?	Et pour vous une perte encor plus précieuse Ne serait -elle pas et douce et glorieuse?
Mais enfin auoüeZ l’ou ne l’auoüez pas, Le deſſein en eſt pris, ie veue ſuiure vos pas.	Mais enfin auoüeZ l'ou ne l'auoüez pas, Le dessein en est pris, assez vue suivre vos pas.
Apres i'norrivte effet de a rage d'Aprice, Ie dos apprehender ſa derniere malice;	Après j'norrivte effet de a rage d'Aprice, Je dos appréhender sa dernière malice;
Et qu'ayant fait perir ſes premieres amours, Un ſemblable deſtin ne termine vos iours.	Et qu'ayant fait périr ses premières amours, Un semblable destin ne termine vos jours.
DOROTHE’E.	DOROTHÉÉE.
Vous les ſuiurez, ces pas, genereux Theophile, Dvne façon plus belle enſemble & plus vtile.	Vous les suivrez, ces pas, généreux Théophile, Dune façon plus belle ensemble et plus utile.
Vos ſot haits & les miens ſeront bien toſt contents, Mais, men her Theophile, il n’eſt pas encor temps.	Vos sot haits et les miens seront bien tôt contents, Mais, men her Théophile, il n'est pas encor temps.
Il faut que ma priere en ce lieu vous retienne:	Il faut que ma prière en ce lieu vous retienne:
De crace a tendez y que voſtre ami reuienne;	De crace a tendez y que votre ami revienne;
Et quand vous le verreZ, dites luy doucement, Qu'il vienne me trouuer dans mon apartement;	Et quand vous le verrez, dites lui doucement, Qu'il vienne me trouver dans mon appartement;
Et que là mon grand cœur plein d’amour & de gloire Sera le plus beau fruit de ſa belle victoire.	Et que là mon grand cœur plein d'amour et de gloire Sera le plus beau fruit de sa belle victoire.
Ha!	Ha!
Dieux!	Dieux!
THEOPHILE.	THÉOPHILE.
DOROTHE’E.	DOROTHÉÉE.
Ne craignez point, ſcacheZ que cette nuit Vous deueZ recueillir vons méme vn plus beau fruis.	Ne craignez point, sachez que cette nuit Vous devez recueillir vons même un plus beau fruis.
CINE III.	CINÉ III.
THEOPHILE ATHEMODORE.	THÉOPHILE ATHÉMODORE.
THEOPHILE.	THÉOPHILE.
Promeſſe impoſſible!	Promesse impossible!
incroyable parole!	incroyable parole!
OTres-inutile attente!	OTres-inutile attente!
eſperance friuole!	espérance frivole!
Sçachez, m’a-t elle dit, que méme cette nuit Vous deuez recueillir vous méme vn plus beaufruit.	Sachez, m'a-t -elle dit, que même cette nuit Vous devez recueillir vous -même un plus beaufruit.
Halnon, ſi ce grand cœur plein d’amour & de gloire Doit eſtre le beau fruit de ſa belle victoire;	Halnon, si ce grand cœur plein d'amour et de gloire Doit être le beau fruit de sa belle victoire;
Ha!	Ha!
non ſi ce cruel doit poſſeder ce cœur, Halnon s’il s’en peut rendre à preſent le vainqueur, Il n’eſt plus auoun fruit que ie doiue pretendre;	non si ce cruel doit posséder ce cœur, Halnon s'il s'en peut rendre à présent le vainqueur, Il n'est plus avoun fruit que personne doive prétendre;
Il ne me reſte rien, ie ne puis rien attendre, Et ſi i’ay quelque choſe encor à ſouhaiter, C’eſt de n’eſcouter point ce qui peut m’arreſter, De ſuiure aueuglement vne raiſon plus forte, Et de m’abandonner à l’amour qui m’emporte.	Il ne me reste rien, ie ne puis rien attendre, Et si j'ai quelque chose encor à souhaiter, C'est de n'écouter point ce qui peut m'arrêter, De suivre aveuglement une raison plus forte, Et de m'abandonner à l'amour qui m'emporte.
L2	L2
ATHEMODORE.	ATHÉMODORE.
He!	He!
Seigneur, modereZ ces iniuſtes tranſports, out vuſtre paſſton faites quelques efforts.	Seigneur, modérez ces injustes transports, out vustre pas faites quelques efforts.
HEOPHILE.	HEOPHILE.
Que me conſeilles-tu, cruel Athemodore?	Que me conseilles-tu, cruel Athémodore?
Ha!	Ha!
ſon commandement eſt plus iniuſte encore:	son commandement est plus injuste encore:
Ou bien poumnonpurterencor plus fainement, Rien n’eſt iniuſte icy que ce commandement.	Ou bien poumnonpurtérencor plus sainement, Rien n'est injuste ici que ce commandement.
ATHEMODORE.	ATHÉMODORE.
beigneur, cette grande ame & cette bouche auguſte Ne ſçauroient commander rien qui ne fuſt bien iuſte.	beigneur, cette grande âme et cette bouche auguste Ne sauraient commander rien qui ne fût bien juste.
HEOPHILE.	HEOPHILE.
Apres m’auoir trompé par de fauces douceurs, A pres auoir cauſé le trepas des deux ſœurs, Apres s’eſtre monſtrée & ioyeuſe & contente Divne mort ſi cruelle enſemble & ſi recente, Apres auoir voulu pluſieurs fois m'engager Dans vne meſme erreur, dans vn meſme danger?	Après m'avoir trompé par de fauces douceurs, A pres avoir causé le trépas des deux sœurs, Apres s'être monstrée et joyeuse et contente Divne mort si cruelle ensemble et si récente, Après avoir voulu plusieurs fois m'engager Dans une même erreur, dans un rendre danger?
Voyant que contre moy ſon adreſſe eſtoit vaine, Et qu’inutilement elle y perdoit ſa peine, Parle, eſtoit-il bien iuſte alors de m’ordonner, Non pas qu’à mon riual i’euſſe à l’abandonner, Non pas que ie ſouffriſſe auec indifference, De luy voir ſans raiſon donner la preference, Non pas que i’approuaſſe vn ſi prompt changement D’vn ennemi mortel en vn heureux amant;	Voyant que contre moi son adresse était vaine, Et qu'inutilement elle y perdait sa peine, Parle, était-il bien juste alors de m'ordonner, Non pas qu'à mon rival j'eusse à l'abandonner, Non pas que sans souffrisse avec indifférence, De tu voir sans raison donner la préférence, Non pas que j'approuasse un si rompt changement D'un ennemi mortel en un heureux amant;
Mais par vae ordo inance encore plus cruelle, Qu'il deuſi ſçauoir par auy couro vonne nonuelle, Et que ie deuſſe, ô Dieux!	Mais par vae ordo inance encore plus cruelle, Qu'il dusi savoir par avi couro vonne nonvelle, Et que venir deusse, ô Dieux!
eſtre le meſſager De ce qui peut luy plaire & qu’il doit m’affliger, Et par cette nouuelle & par ce dur meſſage, Luy donner ſur moy meſme vn ſi grand auantage, Que de voir qu’il emporte auec ſa cruauté Ce que par mes reſpects i’auois bien merité.	être le messager De ce qui peut avoir plaire et qu'il doit m'affliger, Et par cette nouvelle et par ce dur message, Lui donner sur moi -même si grand avantage, Que de voir qu'il emporte avec sa cruauté Ce que par mes respects j'avais bien mérité.
Ha!	Ha!
ie n’en puis ſouffrir ſeulement la pensée, Et mon ame amoureuſe en eſt trop offensée, Pour ne me pas porter dans quelque grand malheur en verte exiremie de mu inpre uouteur.	Elle n'en puis souffrir seulement la pensée, Et mon âme amoureuse en est trop offensée, Pour ne me pas porter dans quelque grand malheur en verte exiremie de mu inpre outeur.
ATHEMODORE.	ATHÉMODORE.
Si deſſus vous encor Dorothée à puiſſance, Elle exige ce trait de voſtre obeïſſance.	Si dessus vous encor Dorothée à puissance, Elle exige ce trait de votre obéissance.
THEOPHILE.	THÉOPHILE.
Puis qu'un autre la gaigne & qu'il luy fait la loy, Elle n'a plus de droit d’exiger rien de moy.	Puis qu'un autre la gagne et qu'il avait fait la loi, Elle n'a plus de droit d'exiger rien de moi.
ATHEMODORE.	ATHÉMODORE.
S.	S.
oipa umi ti mmtur pour elle eſt bien atteinte, V ous luy denez en ront oveir ſam comrainte.	oipa umi ty mémtur pour elle est bien atteinte, V ô lui denez en ront oveir sam comrainte.
Vous le ferez ſans doute.	Vous le ferez sans doute.
Ouy, Seigneur, ie l’attends, Faites le donc de grace, en voicy le vray temps.	Oui, Seigneur, je l'attends, Faites le donc de grâce, en voici le vrai temps.
THEOPHILE.	THÉOPHILE.
Quel malheur eſt le mien!	Quel malheur est le mien!
O Dieux, qu’il eſt extréme !	Ô Dieux, qu'il est extrême !
Faut-il que mon amour s’arme contre ſoy-meſme?	Faut-il que mon amour s'arme contre soi-même?
Faut-il que i’obeïſſe!	Faut-il que j'obéisse!
Ha cela ne ſe peut.	Ha cela ne se peut.
Toutesfois il le faut & cet amour le veut.	Toutefois il le faut et cet amour le veut.
Souſm ettons nous y donc.	Sousm ettons nous y donc.
SCENE	SCÈNE
SCENE IV.	SCÈNE IV.
HIODTHEOPHILE.	HIODTHÉPHILE.
FLAVIEN.	FLAVIEN.
ATHEMODORR	ATHÉMODORR
APRICE.	APPRICE.
HE'!	HE'!
bien, O Theophile?	bien, Ô Théophile?
Ton aueugle fureur eſt enfin inutile.	Ton aveugle fureur est enfin inutile.
Helas!	Hélas!
O te prus ouin de tous les deffenſeurs, Que tu tiens mal parole à ces illuſtres ſœurs!	Ô te prus ouin de tous les défenseurs, Que tu tiens mal parole à ces illustres sœurs!
As-tu ſceu leur trepas?	As-tu su leur trépas?
As-tu ſçeu leur ſupplice?	As-tu su leur supplice?
OPHILE.	OPHILE.
I’ay ſceu ta cruauté, i’ay ſçeu ton iniuſtice.	J'ai su ta cruauté, j'ai su ton injustice.
Mais & cette iniuſtice & cette cruauté N’ont agi ſeurement que par ta laſcheté.	Mais et cette injustice et cette cruauté N'ont agi sûrement que par ta lâcheté.
Ouy, ouy, ce deffenſeur ſi vain, ſi meſpriſable, T'a fait peur, t’a paru iuſtement redoutable.	Oui, oui, ce défenseur si vain, si méprisable, T'a fait peur, t'a paru justement redoutable.
Ouy iu ne le pouuois laiſſer en liberté Et faire ce grand crime auec impunité.	Oui ju ne le pouvais laisser en liberté Et faire ce grand crime avec impunité.
Ouy ſa detention qui fait ton inſolence, Contre ce ueſfenjeur f'a ſerui de deffenſe:	Oui sa détention qui fait ton insolence, Contre ce uesfenjeur s'a servi de défense:
Et quoy que Dorothée emporte le deſſus Sur ſon cœur où Chriſtine enfin ne rêgne plus, Sçache que cette fil le adorable & diuine Net tujt pas empeſché de deffendre Chriſtins.	Et quoi que Dorothée emporte le dessus Sur son cœur où Christine enfin ne rêgne plus, Scache que cette fil le adorable et divine Net tujt pas empêché de défendre Christins.
ICE.	ICE.
Et toy ſçache à ton tour que mes intentions Doiuent s’accommoder à tes pretentions.	Et toi sçache à ton tour que mes intentions Doivent s'accommoder à tes prétentions.
Ouy ta façon d’agir auec cette Chreſtienne	Oui ta façon d'agir toujours cette Chrétienne
DoDoit ſeruir de motif & de regle à la mienne:	DoDait servir de motif et de règle à la mienne:
Et ton indifference ou ton indigne amour Me ferà luy laiſſer où luy rauir le ioure	Et ton indifférence ou ton indigne amour Me ferà beau laisser où il ravir le joure
THEOPHILE.	THÉOPHILE.
Cruel, acheue;	Cruel, achève;
Il faut pour couronner tes crimes, Ioindre cette victime aux deux autres victimes:	Il faut pour couronner tes crimes, Joindre cette victime aux deux autres victimes:
Et pour n’eſcouter pas ta fureur à demi, Aux ſœurs, à la maiſtreſſe il faut ioindre l’ami.	Et pour n'écouter pas ta fureur à demi, Aux sœurs, à la maîtresse il faut joindre l'ami.
Ouy, ſi tu nous dois perdre à cauſe que ie l’aime, Perd nous donc, car enfin mon amour eſt extreme.	Oui, si tu nous dois perdre à cause que jusqu'aime, Perd nous donc, car enfin mon amour est extrême.
Mais comme cet amour n’a rien de criminel, Ton crime, en nous perdant, le va rendre éternel.	Mais comme cet amour n'a rien de criminel, Ton crime, en nous perdant, le va rendre éternel.
Que dy-ie, en nous perdant?	Que dis-je, en nous perdant?
Na!	Na!
non non, cette perte.	non non, cette perte.
Doit eſtre de moy ſeul deſirée & ſoufferte.	Doit être de moi seul désirée et soufferte.
Dorothée par toy ne ſçauroit plus perir, Puis qu'elle peut à toy ſe laiſſer conquerir.	Dorothée par toi ne saurait plus périr, Puis qu'elle peut à toi se laisser conquérir.
Cette ieune Chreſtienne iniuſte autant que belle Me force à te donner cette bonne nouuelle.	Cette jeune Chrétienne injuste autant que belle Me force à te donner cette bonne nouvelle.
Elle qui te vainquit, t’auouë ſon vainqueur;	Elle qui te vainquit, t'avoue son vainqueur;
Elle qui prit le tien, te veut donner ſon cœur:	Elle qui prit le tien, te veut donner son cœur:
Et ce cœur, ce grand cœur, plein d’amour & de gloire Doit eſtre le beau fruit de ta belle victoire.	Et ce cœur, ce grand cœur, plein d'amour et de gloire Doit être le beau fruit de ta belle victoire.
pa uont voir, va aonc voir, o trop neureux Amant!	pa uont voir, va aonc voir, ô trop neureux Amant!
Cette illuſtre conqueſte à ſon appartement.	Cette illustre conquête à son appartement.
Elle meſme à la fois trop cruelle & trop bonne, Ten prie, t’en coniure, ou pluſtoſt te l’ordonne.	Elle même à la fois trop cruelle et trop bonne, Ten prie, t'en conjure, ou plutôt te l'ordonne.
APRICE.	APPRICE.
Ai lieu de t’amuſer à ſottement railler, Au ſalut de toux deux tu déurois trauailler.	Ai lieu de t'amuser à sottement railler, Au salut de toux deux tu devrais travailler.
THEO	THÉO
THEOPHILE.	THÉOPHILE.
Pleuſt aux Dieux, que ie peuſſe allumer ta furie, Par vne genereuſe & noble raillerie.	Plût aux Dieux, que votre pusse allumer ta furie, Par une généreux et noble raillerie.
Mais tu peux remarquer à mon air, à mes yeux, Que ce diſcours forcé n'eſt que trop ſerieux.	Mais tu peux remarquer à mon air, à mes yeux, Que ce discours forcé n'est que trop sérieux.
PRICE.	PRICE.
Grand Dieux!	Grand Dieux!
à ce diſcours puis-ie donner creance?	à ce discours puis-je donner créance?
THEOPHILE.	THÉOPHILE.
Il n’eſt pas ſans raiſon, comme ſans apparence.	Il n'est pas sans raison, comme sans apparence.
Va t’en toy meſme inſtruiré, il t'eſt aſſez dizé, Quelques pas t’apprendront ſi tu t’es abuzé.	Va t'en toi rendre instruiré, il t'est assez dizé, Quelques pas t'apprendront si tu t'es abuzé.
APRICE.	APPRICE.
Ha!	Ha!
ſi tu me dis vray, tu peux attendre & croire De pariager uien toje mon vonnenne ma gloire:	si tu me dis vrai, tu peux attendre et croire De pariager tien toje mon vonnenne ma gloire:
Ou pluſtoſt gloire, honneur, plaiſir, fortune, bien, Tout ſans rien reſeruer, tout cela ſera tien.	Ou plutôt gloire, honneur, plaisir, fortune, bien, Tout sans rien réserver, tout cela sera tien.
THEOPHILE.	THÉOPHILE.
Ha!	Ha!
non, perdant ſon cœur ce bien, cette fortune, Ce plaiſir, cet honneur, cette gloire importune:	non, perdant son cœur ce bien, cette fortune, Ce plaisir, cet honneur, cette gloire importune:
Et ſans luy, gloire, nonneur praiſtr, ſortune, bien, Tout ſans rien reſeruer, tout cela ne m'eſt rien.	Et sans autre, gloire, nonneur praîtr, sortune, bien, Tout sans rien réserver, tout cela ne m'est rien.
SCENE V.	SCÈNE V.
THEOPHILE.	THÉOPHILE.
ATHEMODORE.	ATHÉMODORE.
THEOPHILE.	THÉOPHILE.
Mour, deſirs, eſpoir dãs le feu qui me brule, IA Hé!	Mour, désirs, espoir dans le feu qui me brule, IA Hé!
peurquoy flattiez-vous mon eſprit trop credule?	peurquoy flattiez-vous mon esprit trop crédule?
Pourquoy m'attachiez-vous à cet objet vainqueur, S’il S’il faloit m’en déprendre auec tant de rigeur?	Pourquoi m'attachiez-vous à cet objet vainqueur, S'il S'il fallait m'en déprendre auec tant de rigeur?
Ha!	Ha!
ce prompt changement eſt iuſte, eſt legitime, Et ma punition eſt conforme à mon crime:	ce prompt changement est juste, est légitime, Et ma punition est conforme à mon crime:
Mais, ô fidelle Ami, va d’vn ſoin ſans égal, Sçauoir ce qui ſe paſſe entre elle & mon rinal,	Mais, ô fidèle Ami, va d'un soin sans égal, Savoir ce qui se passe entre elle et mon rinal,
ATHEMODORE.	ATHÉMODORE.
Il ne s’y paſſe rien qu’à ſon deſauantage:	Il ne s'y passe rien qu'à son désavantage:
De garantir cela pourente le m'engage, Ie reconnois trop bien ſa conſtance & ſa foy.	De garantir cela pourente le m'engage, Je reconnais trop bien sa constance et sa foi.
