A MONSEIGNEVR MONSEIG.	À MONSEIGNEUR MONSEIG.
cétte crainte derniere Prend deſſus mon eſprit vne puiſſance entiere, Ie ne puis reſister, ny ie ne ſçaurois plus Rendre contre moy meſme vn combat ſuperflus, Ie combats pour la Loy, ie ſoûtiens ſa querelle, Et lors que ie pretens de ſignaler mon zele, Va funeste penſer que ce ſonge produit, D’vn ſi noble deſſein fait auorter le fruict.	cette crainte dernière Prend dessus mon esprit un puissance entière, Je ne puis résister, notre nôtre ne saurais plus Rendre contre moi même un combat superflus, Je combats pour la Loi, Seigneur soutiens sa querelle, Et lors que sans prétends de signaler mon zèle, Va funeste penser que ce songe produit, D'un si noble dessein fait auorter le fruit.
Si ie ſuis ces remords en ſeray-ie blâmable?	Si ici suis ces remords en serai-je blâmable?
Vous, Ciel, qui les ſouffrez vous en ſerez coupable, Que dis-tu malheureux?	Vous, Ciel, qui les souffrez -vous en serez coupable, Que dis-tu malheureux?
qu’elle penſée as-tu?	qu'elle pensée as-tu?
En accuſant le Ciel tu ſoüille ta vertu, Auec plus de raiſons dis que ce ſont tes crimes, Qui ſont de tes remords les ſujets legitimes, Non, non, auparauant que i’euſſe ce pouuoir, Toutes mes paſſions estoient en leur deuoir, Qu’accuſeray-ie dons?	En accusant le Ciel tu soüille ta vertu, Avec plus de raisons dis que ce sont tes crimes, Qui sont de té mords les sujets légitimes, Non, non, auparavant que j'eusse ce pouvoir, Toutes mes passions étaient en leur devoir, Qu'accuserai-je dons?
& que dois-ie conclurre;	et que dois-je conclurre;
Ie vois de tout coſté mon cœur à la torture;	Je vois de tout côté mon cœur à la torture;
Estrange incertitude en l’eſtat ou ie ſuis?	Étrange incertitude en l'état où apprendre suis?
Finiſſons en mourant, finiſſons ces ennuis, Mais, trop grande foibleſſe, & penſer qui me tuë, Sous vn foible remords ma force eſt abbatuë, Reprens, reprens la, Saul, & n’abandonne pas, Ton ame irreſoluë à des penſers ſi has, Fais briller ta valeur, & fais toy reconnoiſtre Digne ſoûtien des Loix, & tel qu’on te croit eſtre.	Finissons en mourant, finissons ces ennuis, Mais, trop grande faiblesse, et penser qui me tue, Sous un faible remords ma force est abattue, Reprends, reprends la, Saul, et n'abandonne pas, Ton âme irrésolue à des pensers si has, Fais briller ta valeur, et fais toi reconnaître Digne soutien des Lois, et tel qu'on te croit être.
Il y va de ta gloire, & de tout ton bon-heur, Soûtenant leur party ſoûtien bien ton honneur, Que l’on n’impute pas à ton trop de foibleſſe, D’auoir mal ſoûtenu l’intereſt qu’on te laiſſe.	Il y va de ta gloire, et de tout ton bonheur, Soutenant leur parti soutien bien ton honneur, Que l'on n'impute pas à ton trop de faiblesse, D'avoir mal soutenu l'intérêt qu'on te laisse.
Punis ces criminels, étouffe leur orguëil, Et fais de tout Damas vn horrible cercüeil?	Punis ces criminels, étouffe leur orgueil, Et fais de tout Damas un horrible cercueil?
Que veux tu donc de moy criminelle penſée?	Que veux tu donc de moi criminelle pensée?
Et pourquoy reuiens tu lors que ie t’ay chaſſée?	Et pourquoi reviens -tu lors que sans t'ai chassée?
D’vn ſi noir attentat l’infamie eſt le prix, Laiſſe prendre le calme à mes flottans eſpris, Ie ne puis t’écoutter ie ma rendrois coupable, De cette lacheté mon cœur eſt incapable, Sors indigne penſer, ſors de mon ſouuenir, Ie n’ay plus à douter, ce que ie dois tenir, L’intereſt du pays & de la Loy l’emporte, Mon repos m’eſt bien cher, mais ma gloire eſt plus forte, Rien ne peut me toucher que ce noble intereſt.	D'un si noir attentat l'infamie est le prix, Laisse prendre le calme à mes flottants épris, Je ne puis t'écouter mi ma rendrais coupable, De cette lécheté mon cœur est incapable, Sors indigne penser, sors de mon souvenir, Je n'ai plus à douter, ce que je dois tenir, L'intérêt du pays et de la Loi l'emporte, Mon repos m'est bien cher, mais ma gloire est plus forte, Rien ne peut me toucher que ce noble intérêt.
CENE V.	CÈNE V.
SAVL, & SILAS.	SAUL, et SILAS.
VL.	VL.
Ais, tu reuiens, Silas.	Ais, tu reviens, Silas.
ILAS.	ILAS.
Oüy Seigneur tout eſt preſt Tout vous doit reüſſir, & le Ciel equitable A vos iuſtes ſouhaits doit eſtre fauorable.	Oui Seigneur tout est prêt Tout vous doit réussir, et le Ciel équitable À vos justes souhaits doit être favorable.
Iamais de telle ardeur nos Soldats enflammés, Contre leurs ennemis ne furent animez.	Jamais de telle ardeur nos Soldats enflammés, Contre leurs ennemis ne furent animés.
Dans ce boüillant deſir châcun s’impatiente, Et trouue à ſon aduis la vengeance trop lente.	Dans ce bouillant désir châcun s'impatiente, Et trouve à son avis la vengeance trop lente.
Ils portent dans leurs yeux vne noble chaleur, Et ne peuuent attendre à monſtrer leur valeur.	Ils portent dans leurs yeux une noble chaleur, Et ne peuvent attendre à montrer leur valeur.
Ils demãdent vn chef qui vers Damas les guide, Que fi dans cette ardeur l’on leur laſchoit la bride, Il n’eſt point de foſſez, de murs, ny de rampars Qu’ils ne puſſent d’abord forcer de toutes parts.	Ils demandèrent un chef qui vers Damas les guide, Que fi dans cette ardeur l'on leur lâchait la bride, Il n'est point de fossé, de murs, ni de rempars Qu'ils ne pussent d'abord forcer de toutes parts.
Seruez vous, ſeruez vous du feu qui les anime, Dans vne occaſion ſi belle & legitime, Et vous ſerez connu de la poſterité.	Servez -vous, servez -vous du feu qui les anime, Dans avoir occasion si belle et légitime, Et vous serez connu de la postérité.
AVL.	AUL.
Helas!	Hélas!
que cette ardeur au beſoin ma quitté, Ie te veux ſeulement decouurir mes foibleſſes Aiſin qu'a mes ennais, Silas, tu t’intereſſes.	que cette ardeur au besoin ma quitté, Je te veux seulement découvrir mes faiblesses Ain qu'a mes ennais, Silas, tu t'intéresses.
A S Ie dois m'intereffer plutoſt à voſtre honneur, Et gouſter auec vous vn ſi parfait bon-heur.	À S Je dois m'intéresser plutôt à votre honneur, Et goûter avec vous un si parfait bonheur.
AVL.	AUL.
rt mo ronui mal-heureux.	rût mo ronui malheureux.
SILAS.	SILAS.
Quel ſiniſtre preſage;	Quel sinistre présage;
Paroiſt en vos diſcours, & ſur voſtre viſage?	Paraît en vos discours, et sur votre visage?
Je demeure ſurpris de vous voir ſi confus.	Je demeure surpris de vous voir si confus.
L.	L.
Il eſt vray ie le ſuis ſi iamais ie le fus, Et tu dois auoüer que i’ay ſujet de l’eſtre.	Il est vrai assez le suis si jamais belle le fus, Et tu dois auoüer que j'ai sujet de l'être.
SILAS.	SILAS.
LAS.	LAS.
Pour iuger d’vne choſe il faudroit la connoiſtre,	Pour juger d'une chose il faudrait la connaître,
AVL.	AUL.
D’on ſi triſte ſujet ie ueux t’entretenir.	D'on si triste sujet ie eux t'entretenir.
Auſſi quoy que ie faſſe hors de mon ſouuenir Ie ne puis éloigner vn penſer ſi funeſte, Sur un deſſein ſi iuste i' me rend incertain, Et pour en triompher ie le combas en vain.	Aussi quoi que je fasse hors de mon souvenir Je ne puis éloigner un penser si funeste, Sur un dessein si juste j' me rend incertain, Et pour en triompher Seigneur le combas en vain.
LAS.	LAS.
D’où vient cette foibleſſe?	D'où vient cette faiblesse?
IVL.	IVL.
Il eſt vray qu'elle eſt grande, Lors que te coup eſt prest, c'eſt tors que t'appres hende, Que mon mal-heur eſt grand!	Il est vrai qu'elle est grande, Lors que te coup est prêt, c'est tors que t'apprès hende, Que mon malheur est grand!
LAS.	LAS.
Qu'elle crainte Seigneur Vous inſpire vn penſer ialoux de voſtre honneur?	Qu'elle crainte Seigneur Vous inspire un penser jaloux de votre honneur?
Auec tant de pouuoir regne t’il ſur voſtre ame, Que vous ne puiſſiez pas en euiter le blâme?	Avec tant de pouvoir règne t'il sur votre âme, Que vous ne puissiez pas en éviter le blâme?
Faites vn digne effort de generoſité, Exemptez voſire cœur de cette lacheté, Lors que l’on a cõceu quelque illuſtre entrepriſe, La laiſſant imparfaite on perd la gloire acquiſe, Et le plus beau deſſein à qui le rend douteux Ne donne que du blâme & luy deuient honteux.	Faites un digne effort de générosité, Exemptez vos cœur de cette lécheté, Lors que l'on a cõceu quelque illustre entreprise, La laissant imparfaite on perd la gloire acquise, Et le plus beau dessein à qui le rend douteux Ne donne que du blâme et lui devient honteux.
L.	L.
Ie ſçay de ce deſſein quel ſont les auantages, Que la gloire, & l’honneur ſont ſes moindres partages, Mais, preſt de l’acquerir, & de m'en voir cõblé, Mon mal-heur eſt ſi grand que i’en ſuis accablé.	Je sais de ce dessein quel sont les avantages, Que la gloire, et l'honneur sont ses moindres partages, Mais, prêt de l'acquérir, et de m'en voir comblé, Mon malheur est si grand que j'en suis accablé.
Ie n’ay point de repos, & tout me perſecute, A de ſecrets remords mon cœur triste eſt en butte, Mille cruels penſers troublent mon ſouuenir, Et deſſus le paſsé me font voir l’auenir, Depuis Estienne mort, & ſa faute effacée Pour me faire mourir il vit en ma penſée.	Je n'ai point de repos, et tout me persécute, A de secrets remords mon cœur triste est en butte, Mille cruels pensers troublent mon souvenir, Et dessus le passé me font voir l'avenir, Depuis Étienne mort, et sa faute effacée Pour me faire mourir il vit en ma pensée.
Par la ie reconnois combien ceux de mon rang Ont d’horreur, & de peine à reſpandre du ſang.	Par la grande reconnais combien ceux de mon rang Ont d'horreur, et de peine à répandre du sang.
LAS.	LAS.
Seigneur ſi voſtre cœur abhorre cette tache, Qu’il ne ſe ſoüille pas d’vne action plus lache, Laiſſez à vos ſoldats le ſoin d’executer Le deſſein que la peur vous veut faire auorter.	Seigneur si votre cœur abhorre cette tache, Qu'il ne se souville pas d'une action plus lache, Laissez à vos soldats le soin d'exécuter Le dessein que la peur vous veut faire auorter.
Uous l’auez commencé, permettez qu’ils l’acheuent, Contre leur ennemis teur courage s'éleuent, Et tantoſt uuns t'urutur ou te tes uy taiſſez, Ils ne pouuoient attendre à les voir terraſſez, Et cependant leur Chef manquera de courage, Qu’on ne vous faſſe pas vn ſi cruel outrage.	Étous l'avez commencé, permettez qu'ils l'achèvent, Contre leur ennemis teur courage s'éleuent, Et tantôt uuns t'urutur ou te tes ui taissez, Ils ne pouvaient attendre à les voir terrassés, Et cependant leur Chef manquera de courage, Qu'on ne vous fasse pas un si cruel outrage.
L.	L.
Interromps ce diſcours ou ne m’accuſe pas, Ie ne ſçaurois ſouffrir vn ſentiment ſi bas, Ie l’auoüe, il eſt vray, mon ame a des foibleſſes, Mais elle ne peut point ceder à ſes baſſeſſes, Admire bien plûtoſt l’effort de ma vertu, Qui m'a fait reſiſter de peur d’eſtre abbatu, I'ay fait plus pour ma Loy qu'vn autre n'euſt pù faire, e Ie ſuis d́ moy meſme, à moy meſme contraire, I’ay long-temps combattu mes propres ſentimẽs, Et ceux que i’ay ſuiuis ce ſont ſes mouuemens.	Interromps ce discours ou ne m'accuse pas, Je ne saurais souffrir un sentiment si bas, Je l'auoue, il est vrai, mon âme a des faiblesses, Mais elle ne peut point céder à ses bassesses, Admire bien plutôt l'effort de ma vertu, Qui m'a fait résister de peur d'être abattu, J'ai fait plus pour ma Loi qu'un autre n'eût pù faire, e Je suis dès moi -même, à moi -même contraire, J'ai longtemps combattu mes propres sentiments, Et ceux que j'ai suiuis ce sont ses mouvements.
LAS.	LAS.
Ah!	Ah!
ſans doute la Loy vous en inſpire d’autres, Plus nobles, & plus beaux mille fois que les vostres.	sans doute la Loi vous en inspire d'autres, Plus nobles, et plus beaux mille fois que les vôtres.
Que ne les ſuiuez vous ſi vous les connoiſſez?	Que ne les suivez -vous si vous les connaissez?
Vouures bumte.	Vouvres bumte.
3	3
CENE VI.	CÈNE VI.
SAVL, SILAS, MARSIAS	SAUL, SILAS, MARSIAS
AVL.	AUL.
Velqu’vn vient;	Velqu'amour vient;
Marſias auancez,	Marsias avancés,
S’AVL, à Silas vn peu bas.	S'AUL, à Silas un peu bas.
Tu ne ſçais pas encor, Silas, le plus funeste, Ie paracheueray quelqu’autrefois le reste.	Tu ne sais pas encor, Silas, le plus funeste, Je parachèverai quelqu'autrefois le reste.
Mais, ne croit pas pourtant que ie puiſſe loüer Ce que par mes effets ie veux deſauoüer, Dittes moy Marſias, quel ſucoez dois-ie attendre?	Mais, ne croit pas pourtant que je puisse louer Ce que par mes effets avoir des desauoüer, Dites moi Marsias, quel succoez dois-je attendre?
MARSIAS.	MARSIAS.
Fortuné tout autant que l’on peut le pretendre, Et vos ordres, Seigneur, ont ſi bien reüſſi, Qu’ils font croire que tout doit reüſſir ainſi, Quoy que inopinement nostre courſe eſt vtile, Auecque peu de gens aux portes de la Ville Nous auons arresté deux de nos ennemis Que l’on garde en lieu ſeur ou ie les ay remis.	Fortuné tout autant que l'on peut le prétendre, Et vos ordres, Seigneur, ont si bien réussi, Qu'ils font croire que tout doit réussir ainsi, Quoi que inopinément notre course est utile, Avec peu de gens aux portes de la Ville Nous avons arrêté deux de nos ennemis Que l'on garde en lieu sûr ou ie les ai remis.
Vous pourrez aiſement apprendre de leur bouche, Les ordres della Ville & tout ce qui vous tonche.	Vous pourrez aisément apprendre de leur bouche, Les ordres della Ville et tout ce qui vous tonche.
Sans les interroger, i’ay connu ſeulement, Qu’à Damas les Chreſtiens regnent abſolument, Que leur ſecte s’accroit auec tant d’apparance, Qu'elle eſt le ſcul appuy de leur folle eſperance, Ce peuple qui ſe plaiſt en cette nouueauté L’ambraſſe auidement malgré ſa fauſſeté;	Sans les interroger, j'ai connu seulement, Qu'à Damas les Chrétiens règnent absolument, Que leur secte s'accroît avec tant d'apparance, Qu'elle est le scul appui de leur folle espérance, Ce peuple qui se plaît en cette nouveauté L'ambrasse avidement malgré sa fausseté;
Et ſans doute ce mal qui leurs eſprits poſſede, En ces nouueaux progrez deuiendra ſans remede.	Et sans doute ce mal qui leurs esprits possède, En ces nouveaux progrès deviendra sans remède.
SILAS.	SILAS.
Je crains que le Chrestien ſous vn tel attantat, Ne cache adroittement quelque crime d’estat.	Je crains que le Chrétien sous un tel attantat, Ne cache adroittement quelque crime d'état.
Il gaigne auec douceur toute la populace Pour la faire à ſon temps ſeruir à ſon audace.	Il gagne avec douceur toute la populace Pour la faire à son temps servir à son audace.
AVL.	AUL.
Qu’ils ne l’eſperent pas, par nos ſoins vigilans Nous ferons auorter leurs deſſeins inſolens.	Qu'ils ne l'espèrent pas, par nos soins vigilants Nous ferons auorter leurs desseins insolents.
Ce iour fatal pour eux par la fin de leur vie, Doit terminer enfin leur criminelle enuie.	Ce jour fatal pour eux par la fin de leur vie, Doit terminer enfin leur criminelle envie.
Ne las épargnons plus, c’eſt trop long-temps ſouffrir, Auſſi bien ce delay ne fait que les aigrir.	Ne las épargnons plus, c'est trop longtemps souffrir, Aussi bien ce délai ne fait que les aigrir.
Ie ne puis differer ce deſſein legitime Sans attirer ſur moy la peine de leur crime.	Je ne puis différer ce dessein légitime Sans attirer sur moi la peine de leur crime.
Qu’ils n’attendent donc pas que par un repentir Mon bras ny mon courroux ſe puiſſent ralentir, Ce que i’ay differé ie vais bien-toſt leur rendre, Allons voir nos captifs, & tachons d’en apprendre, Si nostre deſerteur ſe rend de leur pariy, S’il trompe noſtre eſpoir, ou s’il l’a dementy, Et ſçachant leur ſecret & leur intelligence, Ponſſons iuſques au bout vne iuſté vengeance.	Qu'ils n'attendent donc pas que par un repentir Mon bras ni mon courroux se puissent ralentir, Ce que j'ai différéprisé quelque bientôt leur rendre, Allons voir nos captifs, et tachons d'en apprendre, Si donc déserteur se rend de leur pari, S'il trompe notre espoir, ou s'il l'a démenti, Et sachant leur secret et leur intelligence, Ponssons jusques au bout une justé vengeance.
ILAS.	ILAS.
Vous deueZ cet exemple à la posterité.	Vous devez cet exemple à la postérité.
Allons.	Allons.
CENE VII.	CÈNE VII.
BARNABE'.	BARNABE'.
Iel, i’aperçois ce monſtre en cruauté CHelas!	Jel, j'aperçois ce monstre en cruauté CHélas!
que c’eſt en vain que la grace s'appreſte, A faire ſur ce cœur vne illuſtre conqueſte, La fureur le poſſede à telle extremité, Qu’on ne void plus en luy qu’inſenſibilité.	que c'est en vain que la grâce s'apprête, À faire sur ce cœur illustre conquête, La fureur le possède à telle extrémité, Qu'on ne voit plus en même qu'insensibilité.
Que ie crains qu’il ne coure ou la fureur l’inuite, Et n’alle executer le deſſein qu’il medite, Ce pas precipité dont ie le vois courir, Le couduit à Damas pour le faire perir, Mais, arrestez Seigneur le cours de cette rage, Et ne permettes pas qu’il faſſe quelque outrage A ceux dont voſtre bras ſe rend le protecteur;	Que mille crains qu'il ne coure ou la fureur l'inuite, Et n'allé exécuter le dessein qu'il médite, Ce pas précipité dont votre le vois courir, Le couduit à Damas pour le faire périr, Mais, arrêtez Seigneur le cours de cette rage, Et ne permettes pas qu'il fasse quelque outrage A ceux dont votre bras se rend le protecteur;
Soyez, Seigneur, ſoyez noſtre liberateur, Si l’on vous peut flechir auecque des priores, Receuez tous les vœux des familles entieres, Et tous ceux que Damas vous offre tous les iours, Pour implorer voſtre ayde & demander ſecours.	Soyez, Seigneur, soyez notre libérateur, Si l'on vous peut fléchir auecque des priores, Recez tous les vœux des familles entières, Et tous ceux que Damas vous offre tous les jours, Pour implorer votre aide et demander secours.
L’AN	L'AN
L’ANGE, dans le Ciel.	L'ANGE, dans le Ciel.
Ne craignes point Chreſtiens ayez bonne eſperance Car bien-toſt à vos pieds vous verrez abbatu Miuegne ſus ommete mueegrt funefictance, Ce cruel ennemy qui pourſuit la vertu.	Ne craignes point Chrétiens ayez bonne espérance Car bientôt à vos pieds vous verrez abattu Mivegne sus ommette muegrt funefictance, Ce cruel ennemi qui poursuit la vertu.
ABE'.	ÀBE.
Qu’entens-ie, iuſte Ciel!	Qu'entends-je, jusqu' Elle!
ô bonté ſans pareille!	ô bonté sans pareille!
C’eſt!	C'est!
de vous que depend vne telle merueille, Par tant maux ſouffers vous vous laiſſeZ flechir, Et vostre bras puiſſant nous en veut affranchir.	de vous que dépend toujours telle merveille, Par tant maux soufferts vous vous laissez fléchir, Et votre bras puissant nous en veut affranchir.
Aprres cette fauour que faut-il que ie faſſe, Il f'aut par tout Damas que l’on vous rende grrace, Nostae foy maintenant doit par tout triompher, Puiſque nos ennemis ne peuuent l’étouffer.	Après cette favour que faut-il que Seigneur fasse, Il s'aut par tout Damas que l'on vous rende grâce, Nôtae foi maintenant doit par tout triompher, Puisque nos ennemis ne peuvent l'étouffer.
ACTE	ACTE
ACTE IV	ACTE IV
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ANANIE, BARNABE'.	ANANIE, BARNABÉ.
BARNABE'.	BARNABE'.
Tbien que dittes-vous apres cette aſſeurance?	Tbien que dites-vous après cette assurance?
ANANIE.	ANANIE.
te demeure ſurpris ſans avoir eſperance,	te demeure surpris sans avoir espérance,
BARNABE'.	BARNABE'.
La promeſſe du Ciel vous deffend d’en douter,	La promesse du Ciel vous défend d'en douter,
ANANIE.	ANANIE.
Vn eſprit ſi cruel eſt fort à redouter, Et quoy qu’enfin le Ciel autrement en diſpoſe, Il eſt libre à franchir tout ce qu’il ſe propoſe, Il ſe porte à nous nuire auec trop de fureur Pour luy faire quitter ſa haine & ſon erreur.	Un esprit si cruel est fort à redouter, Et quoi qu'enfin le Ciel autrement en dispose, Il est libre à franchir tout ce qu'il se propose, Il se porte à nous nuire avec trop de fureur Pour avait faire quitter sa haine et son erreur.
Auec trop de progrez il court à noſtre perte, Des-ja de ſes Soldats la campagne eſt couuerte, Et rien ne s’oppoſant à ce cruel destinIl deuore des-ja par eſpoir le butin.	Avec trop de progrès il court à notre perte, Des-jà de ses Soldats la campagne est couverte, Et rien ne s'opposant à ce cruel destinIl dévore déjà par espoir le butin.
Cedons luy, cedons luy, ſi ce motif l’anime, Laiſſons le poſſeder tous les fruits de ſon crime, Abandonnons ces murs priuez de tout ſecours, Et de nostre mal-heur ſuiuons le triſte cours.	Cédons luy, cédons ainsi, si ce motif l'anime, Laissons le posséder tous les fruits de son crime, Abandonnons ces murs privez de tout secours, Et de notre malheur suivons le triste cours.
BARNABE'.	BARNABE'.
O Ciel que dittes vous!	Ô Ciel que dites -vous!
quel deſſein Ananie, Vous porte à tout ceder à cette tyrannie!	quel dessein Ananie, Vous porte à tout céder à cette tyrannie!
Abanaunner nes mars quuna le faut tout oſer, Quand le Ciel nous promet de nous fauoriſer.	Abanaunner nés mars quuna le faut tout oser, Quand le Ciel nous promet de nous favoriser.
ANANIE.	ANANIE.
Vostre eſprit un peu trop ſe fonde en ſa promeſſe.	Votre esprit un peu trop se fonde en sa promesse.
ARNABE'.	ARNABE'.
Se deffier de luy qu’elle eſt vostre foibleſſe?	Se défier de Seigneur qu'elle est votre faiblesse?
ANANIE.	ANANIE.
De neſt pus que ie traigne, ou que l'oſe douter Que ſon pouuoir ne puiſſe enfin l’executer;	De nest pus que ici traigne, ou que l'ose douter Que son pouvoir ne puisse enfin l'exécuter;
Mais, eſt-il tous les iours prodigue de miracles?	Mais, est-il tous les jours prodigue de miracles?
BARNABE'.	BARNABE'.
Il doit à noſtre perte apporter des obstacles.	Il doit à notre perte apporter des obstacles.
ANANIE.	ANANIE.
Il en apporte aſſez lors qu’ils nous donne aduis De nous ſoustraire à ceux d’ont nous ſommes ſuiuis.	Il en apporte assez lors qu'ils nous donne avis De nous soustraire à ceux d'ont nous sommes suivis.
Que pouueZ vous d’ailleurs?	Que pourvez -vous d'ailleurs?
quel effort?	quel effort?
qu'elles digue, Voulez vous oppoſer à ſa cruelle ligue?	qu'elles digue, Voulez -vous opposer à sa cruelle ligue?
Vne trouppe ſans force, & que des-ja ce bruit Estonne par l’effroy qu’en leur cœur il produit, Des Chrestiens dont la Foy commence encore à naiſtre, Monstrez voſtre prudence, & la faites paroiſtre.	Une troupe sans force, et que déjà ce bruit Étonne par l'effroi qu'en leur cœur il produit, Des Chrétiens dont la Foi commence encore à naître, Montrez votre prudence, et la faites paraître.
BARNABE'.	BARNABE'.
La voſtre eſt trop humaine, & n’a pour fondemẽt Que d’une foible crainte un lache ſentiment.	La vôtre est trop humaine, et n'a pour fondement Que d'une faible crainte un lache sentiment.
ANA	ANA
ANANIE.	ANANIE.
En cette occaſion ie dis ce que ie penſe, Tout preſt à receuoir ce que le Ciel diſpenſe, Ou voir monter nos maux iuſqu’au dernier exceZ, On oun jans me troubten uustnare un bon ſuccez.	En cette occasion Seigneur dis ce que femme pense, Tout prêt à recevoir ce que le Ciel dispense, Ou voir monter nos maux jusqu'au dernier excès, On oun jans me trouvbten utustnare un bon succès.
BARNABE'.	BARNABE'.
Eſperez le Ananie, & ſans m’eſtre contraire.	Espérez le Ananie, et sans m'être contraire.
Employés tous vos ſoings en faueur du vulgaire, L’intereſt du public vous y doit engager, Entre de vrais Chreſtiens tout ſe doit partager, La crainte, le plaiſir, la liberté, les chaines, Les biens, les maux, la Foy, le bon-heur, & les  peines.	Employez tous vos soings en faveur du vulgaire, L'intérêt du public vous y doit engager, Entre de vrais Chrétiens tout se doit partager, La crainte, le plaisir, la liberté, les chaines, Les biens, les maux, la Foi, le bonheur, et les peines.
Si vous l’abandonnés dans vn ſi grand peril Qu’en peut on eſperer & que deuïendra-il?	Si vous l'abandonnez dans un si grand péril Qu'en peut on espérer et que deuïendra-il?
ANANIE.	ANANIE.
Sauuons doncques ſauuons d'vn debris manifeſte, Cette foy chancelante, & le peu qui luy reſte;	Sauvons donc sauvons d'un débris manifeste, Cette foi chancelante, et le peu qui lui reste;
Ie crains qu’au moindre bruit ce peuple peruerty, Ne ſe range d’abord du contraire party.	Je crains qu'au moindre bruit ce peuple perverti, Ne se range d'abord du contraire parti.
Pour luy la verité n’a pas aſſez d’amorces, Pour l’obliger enfin à brauer tant de forces.	Pour sort la vérité n'a pas assez d'amorces, Pour l'obliger enfin à braver tant de forces.
BARNABE' Ayez de ſa conſtance vn autre ſentiment, Il a le cœur trop bon pour un tel changement, Et malgré la rigueur des maux qui nous talonnent,  Il r'en eſt pa aveun que ler tourmens eſtonnens	BARNABE' Ayez de sa constance un autre sentiment, Il a le cœur trop bon pour un tel changement, Et malgré la rigueur des maux qui nous talonnent, Il ren Il ra aveun que ler tourments estonnens
SCENE II.	SCÈNE II.
ANANIE, BRRNABE, IVLE.	ANANIE, BRRNABE, IULE.
BARNABE'.	BARNABE'.
Au dou vient qu'a grands pas Iule axNY riue vers nous?	Au dou vient qu'a grands pas Iule axNY rive vers nous?
IV LaE.	IV La.
A ce mortel danger vous abandonnez vous?	À ce mortel danger vous abandonnez -vous?
BARNABE.	BARNABÉ.
Quel danger?	Quel danger?
LE.	LE.
C’en eſt fait, voſtre attente eſt deceüe, En vain vous eſperez vne ſi belle iſſuë.	C'en est fait, votre attente est déçue, En vain vous espérez une si belle issue.
D’vn mal-heur trop preſſant nous ſommes menacez, AAVI Vous y deuez pouruoir plus que vous ne penſez, Dumox vons, fuuuez vons a vn peril ſi funeste, Et venez dans la Ville encourager le reste, En vous ſeul les Chrestiens ont mis tout leur eſpoir.	D'un malheur trop pressant nous sommes menacés, AUI Vous y devez pourvoir plus que vous ne pensez, Dumox vons, fuez vons à un péril si funeste, Et venez dans la Ville encourager le reste, En vous seul les Chrétiens ont mis tout leur espoir.
ANANIE.	ANANIE.
Quel ſujet legitime ont-ils de s’émouuoir?	Quel sujet légitime ont-ils de s'émouvoir?
LE.	LE.
La crainte en leurs eſprits commẽce de renaiſtre, Dépuis que de leurs murs on a veu Saul paroistre, Et qu’vn gros eſcadron que l’on void s’aſſembler Approche à leur auis & les vient accabler, La poudre ſous leurs pieds s’éleuant iuſqu’aux nués En En dérobe vn grand nombre à leur debiles veües, Et le peu que l’on void parmy l’air obſcurcy Leur donne toutesfois vne eſtrange ſoucy, Mais, ce qui les remet de leur frayeur ſoudaine C’eſt qu’on void ces Soldats s’arrester dans la plaine, 7 Châcun ſur leur abord parle confuſement, Et ſelon ſa penſée, en dit ſon ſentiment.	La crainte en leurs esprits commence de renaître, Dépuis que de leurs murs on a vu Saul paraître, Et qu'Hô gros escadron que l'on voit s'assembler Approche à leur avis et les vient accabler, La poudre sous leurs pieds s'élevant jusqu'aux nués En En dérobe un grand nombre à leur débiles vues, Et le peu que l'on voit parmi l'air obscurci Leur donne toutefois étrange souci, Mais, ce qui les remet de leur frayeur soudaine C'est qu'on vold ces Soldats sarrêter dans la plaine, 7 Châcun sur leur abord pr confusement, Et selon sa pensée, en dit son sentiment.
Les plus encouragez montant ſur les murailles, Se preparent des-ja de nobles funerailles, Prets à s’enſeuelir ſous leurs propres debris, S’il leur faut achepter l'eur honneur à ce prix?	Les plus encouragés montant sur les murailles, Se préparent déjà de nobles funérailles, Préts à s'enseuelir sous leurs propres débris, S'il leur faut achetter l'eur honneur à ce prix?
D'auires moins genereux s’efforcẽt par la fuitte, De renare ſans eſſet ſon iniuste pourſuitte, Et s’en vont dans les bois, & les lieux écartez, Emprunter vn refuge & quelques ſeuretés.	D'avez moins généreux s'efforcẽt par la fuite, De renare sans esset son injuste poursuite, Et s'en vont dans les bois, et les lieux écartés, Empruntereur refuge et quelques sûretés.
Q	Q
BARNABE'.	BARNABE'.
Nous ne deuous rien craindre en l'eſtat ou nous ſommes,.	Nous ne devous rien craindre en l'état où nous sommes,.
vob (8j 3* Uiſſions nous ſouleuer contre nous tous les hommes, Le Ciel prend intereſt à l’heur de noſtre ſort, Pour nous en garentir n’est-il pas aſſez fort?	vob (8j 3* Uissions nous soulever contre nous tous les hommes, Le Ciel prend intérêt à l'heur de notre sort, Pour nous en garentir n'est-il pas assez fort?
Iule apprehendez vous?	Iule appréhendez -vous?
IVLE.	IULE.
Si ma crainte redouble, Le peril de la mort n'eſt point ce qui me trouble;	Si ma crainte redouble, Le péril de la mort n'est point ce qui me trouble;
