I v LECIEVN	I v LECIEUN
LE DVELLISTE.	LE DUELLISTE.
La botte n'eſt pas franche, hà!	La botte n'est pas franche, hà!
Coyon tu recules.	Coion tu recules.
C'eſt pour mieux enfoncer, mais moy ie vous acules, La botte eſt elle franche?	C'est pour mieux enfoncer, mais moi je vous acvles, La botte est elle franche?
il faut le confeſſer,	il faut le confesser,
LE DVELLISTE.	LE DUELLISTE.
Tirons encore vn coup.	Tirons encore un coup.
LA VERDVRE.	LA VERDURE.
ie crains de vous bleſſer, Prenez donc ce plaſtron, ou ce corps de cuirace, Si ie faicts tout à bon ie vous mets ſur la place,	Ne crains de vous blesser, Prenez donc ce plastron, ou ce corps de cuirace, Si ie faicts tout à bon je vous ts sur la place,
LE CREAT.	LE CRÉÂT.
Vous voyez à l'effect qu’il eſt rude joüeur, Chacun le tient ceans pour tres bon eſcrimeur,	Vous voyez à l'effet qu'il est rude jeteur, Chacun le tient ce pour très bon escrimeur,
LE DVELLISTE A LA VERDVRE, Tu te goſſes de moy, tu prens ton aduantage Tu bas fort bien le fer, mais contre toy ie gage Qu'eſtant à la campagne, eſloigné de ce lieu, La crainte de mourir feroit perdre ton jeu, Car tu n’as iamais veu l’éclat d’vne eſpée blanche, La tienne en l’action pourroit trembler au manche;	LE DUELLISTE A LA VERDURE, Tu te gosses de moi, tu prends ton avantage Tu bas fort bien le fer, mais contre toi ici gage Qu'étant à la campagne, éloigné de ce lieu, La crainte de mourir ferait perdre ton jeu, Car tu n'as jamais vu l'éclat d'une espée blanche, La tienne en l'action pourrait trembler au manche;
En voudrois-tu deſcoudre vn coup tant ſeulement?	En voudrais-tu découdre un coup tant seulement?
Ie te faicts de l’honneur, d’y moy ton ſentiments Monſieur vous m’obligez, l’heur de voſtre naiſſance;	Je te faits de l'honneur, d'y moi ton sentiments Monsieur vous m'obligez, l'heur de votre naissance;
Me tient dans le reſpect, & m’oſte l’aſſeurance, De m’eſgaler à vous:	Me tient dans le respect, et m'ôte l'assurance, De m'égaler à vous:
car voſtre qualité, M’eſplouyt;	car votre qualité, M'esplouyt;
mais non pas voſtre eſpée au coſté:	mais non pas votre épée au côté:
LE DVELLISTE.	LE DUELLISTE.
Quittons là tout reſpect, laiſſons le loin derriere Penſes-tu que ie ſois d’vne humeur ſi altiere De vouloir meſpriſer par vaine ambition?	Quittons là tout respect, laissons le loin derrière Penses-tu que personne sois d'une humeur si altière De vouloir mépriser par vaine ambition?
Vn Soldat courageux pour ſa condition;	Un Soldat courageux pour sa condition;
Ie me battis vn iour en Piémont, contre vn Prince Qui prit vn Duc & Pair Gouuerneur de Prouince Pour eſtre ſon ſecond:	Je me battis un jour en Piémont, contre un Prince Qui prit un Duc et Pair Gouverneur de Province Pour être son second:
& n’auois qu'vn ſuiuant Qui pour faire en Duël s’offroit à tous venant:	et n'avais qu'un suivant Qui pour faire en Duel s'offrait à tous venant:
Allons y de ce pas, c’eſt dequoy ie te preſſe, Pour voir ſi ton courage eſgalle ton adreſſe.	Allons y de ce pas, c'est dequoy je te presse, Pour voir si ton courage égale ton adresse.
LA VERDVRE.	LA VERDURE.
Monſieur, ce que i’ay dit n’eſt pour Vous offencer, I’aymerois mieux mourir pluſtoſt que d’y penſer, Ie portois vn mouſquet durant le temps de guerre Pour y ſeruir mon Roy, le plus grand de la terre, Ayant eu cét honneur d’y pouuoir paruenir, D’euſt-on mourir cent fois il faut le maintenir, Ie ſuis pauure Soldat, compagnon de fortune, I’ay couché à la haye, au beau clair de la Lune;	Monsieur, ce que j'ai dit n'est pour Vous offenser, J'aimerais mieux mourir plutôt que d'y penser, Je portais un mousquet durant le temps de guerre Pour y servir mon Roi, le plus grand de la terre, Ayant eu cet honneur d'y pouvoir parvenir, D'eût-on mourir cent fois il faut le maintenir, Je suis pauvre Soldat, compagnon de fortune, J'ai couché à la haie, au beau clair de la Lune;
Ie ne vous mettray pas le marché à la main,	Je ne vous mettrai pas le marché à la main,
D'eſtere D'eſperer cét honneur ie ne ſuis pas ſi vain, Muije ie tommandez ie vous doibs tout ſeruice, Ie vous ſuiuray par tout au peril du ſupplice.	D'être D'espérer cet honneur sans ne suis pas si vain, Muije veux tommandez ie vous doibs tout service, Je vous suivrai par tout au péril du supplice.
LE DVELLISTE.	LE DUELLISTE.
A quoy tant de diſcours qui n’ont iamais de bout, Mets l’eſpée à la main, où ie diray par tout Et à ton Capitaine, & dans ta compagnie Que tu n'és à rien bon qu’à jetter en voyrie:	À quoi tant de discours qui n'ont jamais de bout, Mets l'épée à la main, où ie diray par tout Et à ton Capitaine, et dans ta compagnie Que tu n'avez à rien bon qu'à jeter en voyrie:
LA VERDVRE.	LA VERDURE.
Muaeoruep ciamea	Muaeporuep ciamea
LE DVELLISTE.	LE DUELLISTE.
ſus donc le pourpoint bas;	sus donc le pourpoint bas;
EAT.	EAT.
Meſſieurs, tout beau, reſpect, ie ne ſouffriray-pas Qu'on ſe batte ceans, ſortez en plaine ruë, merteet egpee au pomg an tnacun a la veuë.	Messieurs, tout beau, respect, on ne souffrirai-pas Qu'on se batte céans, sortez en plaine rue, merteet égpée au pomg an tenacun à la vue.
LE DVELLISTE.	LE DUELLISTE.
Sortons de ce logis ce ſera bien toſt faict, Tu trembles, as tu plus de mine que d’effect, Suis moy;	Sortons de ce logis ce sera bien tôt fait, Tu trembles, as tu plus de mine que d'effect, Suis moi;
à dieu Creat;	à dieu Créat;
tu manque de courage;	tu manque de courage;
LA VERDVRE.	LA VERDURE.
Allons c'eſt par trop dit, ie ſouffre trop d’outrage;	Allons c'est par trop dit, Seigneur souffre trop d'outrage;
Vous eſtes Rodomont, arrogant, pointilleux Ma foy les plus vaillants ſont lés moins querelleux, moun mune Curop pieque parlant de la voyrie, Vous eſtes mort.	Vous êtes Rodomont, arrogant, pointilleux Ma foi les plus vaillants sont lés moins querelleux, moun mune Curop pieque parlant de la voyrie, Vous êtes mort.
AMDVELLISTE.	AMDVELLISTE.
Tout beau;	Tout beau;
Soldat ſauue la vie,	Soldat sauve la vie,
LA VERDVRE EMPORTANT L’ESPE’E.	LA VERDURE EMPORTANT L'ESPE’.
Rends l’eſpée, & iamais ne ſois plus ſi altier, Offençant vn Soldat qui ſçait bien ſon meſtier.	Rends l'épée, et jamais ne sois plus si altier, Offensant un Soldat qui Sait bien son métier.
LE DVELLISTE SE LEVANT SEVL.	LE DUELLISTE SE LEVANT SEUL.
Que ie ſuis mal-heureux la maraſtre fortune, Se plaiſt à m’affliger & de m’eſtre importune, Ie ſuis touſiours battu, mon courage trop fort Me faict voir tous les iours l’image de la mort.	Que ie suis malheureux la marâtre fortune, Se plaît à m'affliger et de m'être importune, Je suis toujours battu, mon courage trop fort Me fait voir tous les jours l'image de la mort.
ACTE TROISIESME.	ACTE -TROISIÈME.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
GLYCERE.	GLYCÈRE.
Ie n’euſſes pas penſé qu'apres tant ue promeffes, Il euſt voulu voler de ſes mains larronneſſes Mon honneur, qu’il tenoit captif, empriſonné, Il l'a dans ſes liens doublement enchaiſné;	Je n'eusses pas pensé qu'après tant ue promesses, Il eût voulu voler de ses mains larronnesses Mon honneur, qu'il tenait captif, emprisonné, Il l'a dans ses liens doublement enchaîné;
Ie croyou me deffendre, & d'vn courage extreſme Pour garder mon honneur, pluſtoſt perdre moy-meſme.	Je croyou me défendre, et d'un courage extrême Pour garder mon honneur, plutôt perdre moi-même.
Aller iuſqu’à la mort, à l’Amour reſiſtant, Mais!	Aller jusqu'à la mort, à l'Amour résistant, Mais!
mon cœur abbatu, ne fut aſſez conſtant, Las!	mon cœur abattu, ne fut assez constant, Las!
mon Dieu!	mon Dieu!
qu’en Amour, l’amour à de puiſſance, Que le cœur d’vne fille eſt de libre creance, En Amour ayſement on va perſuadant, Deſſus vn foible eſprit les deſirs d’vn Amant:	qu'en Amour, l'amour à de puissance, Que le cœur d'une fille est de libre créance, En Amour aisément on va persuadant, Dessus un faible esprit les désirs d'un Amant:
Ma deffaicte luy donne vn plaiſir plain de gloire, Ma honte et mon honneur ſont fruicts de ſa victoire, leyyul que auin jex tats caplide le Me lleta, L’honneur que i’ay perdu, ie ne l’auray iamais.	Ma défaite le donne un plaisir plain de gloire, Ma honte et mon honneur sont fruits de sa victoire, leyul que auin je tats capplide le Me leta, L'honneur que j'ai perdu, je ne l'aurai jamais.
LE MAISTRE D'HOSTEL LA	LE MAÎTRE D'HÔTEL LA
VRPRENANT.	VRPRENANT.
Ie t'y ſurprens mon cœur, tes ſouſpirs & tes larmes, Combattent ton eſprit auce ſes propres armes Arme toy de conſtance, ayme ma fermeté, Tu t’acquiers en m’aymant l’entiere liberté;	Je t'y surprends mon cœur, tes soupirs et tes larmes, Combattent ton esprit auce ses propres armes Arme toi de constance, aime ma fermeté, Tu t'acquiers en m'aimant l'entière liberté;
Vous me vouliez donner vos faueurs par vn ſonge.	Vous me vouliez donner vos faveurs par un songe.
Vous penſiez m’abuſer en vſant de menſonge?	Vous pensiez m'abuser en usant de mensonge?
Voſtre bouche & vos yeux, de l’honneur ennemis, M’ont dit que pour l’Amour l’effect eſtoit permis;	Votre bouche et vos yeux, de l'honneur ennemis, M'ont dit que pour l'Amour l'effet était permis;
Il falloit auſſi bien que i’en fuſſe le maiſtre, Vous n’eſtiez plus à vous, & vous vouliez y eſtre, Surmontant le deſtin, vaincre voſtre mal-heur, Voyla le faux object d’vne vaine douleur:	Il fallait aussi bien que j'en fusse le maître, Vous n'étiez plus à vous, et vous vouliez y été, Surmontant le destin, vaincre votre malheur, Voila le faux object d'une vaine douleur:
Allons ny ſongeons plus, eſtes vous pas contente?	Allons Seigneur songeons plus, êtes -vous pas contente?
Vous eſtes mes Amours, mon ſupport mon attente, Ie ne vis que par vous, j’adore vos beaux yeux, Ceſte bouche merueille, et ces flotans cheueux, Donne moy vn baiſer!	Vous êtes mes Amours, mon support mon attente, Je ne vis que par vous, j'adore vos beaux yeux, Cette bouche merveille, et ces flottant cheveux, Donne moi un baiser!
tu recule ma blonde, C’eſt que tu es honteuſe en voyant tant de monde;	tu recule ma blonde, C'est que tu es honteuse en voyant tant de monde;
Allons, entrons chez nous, tous ſeuls, & à loyſir, Nous pourrons contemter nqure amouneax uer.	Allons, entrons chez nous, tous seuls, et à loisir, Nous pourrons compter né amouneax uer.
CIEROISIESME.	CIEROISIESME.
CENE :	CÈNE :
VATRTESME.	VATRTESME.
LE DVELLISTE.	LE DUELLISTE.
I’ay faict vne alliance auec vn Ordinaire, Que chacun tient vaillant, & non pas temeraire, Nous nous ſommes donnez, l’vn à l’autre la foy, Et de luy m’aſſiurant, il s’aſſeure de moy;	J'ai fait une alliance avec un Ordinaire, Que chacun tient vaillant, et non pas téméraire, Nous nous sommes donnez, l'un à l'autre la foi, Et de Seigneur m'assiurant, il s'assure de moi;
Ie le veux eſprouuer, et d’vne ruſe fine Sçaueir ſi ſa valleur correſpond à ſa mine;	Je le veux éprouver, et d'une ruse fine Sçaueir si sa valeur correspond à sa mine;
vij aut & puiſſant, bon port, bonne action, Mais tout cela du vent, ſans reſolution, A bien cognoiſtre vn homme, il faut voir ſon courage, Il n’eſt rien ſi trompeur que les traicts du viſage:	vij aut et puissant, bon port, bonne action, Mais tout cela du vent, sans résolution, À bien connaître un homme, il faut voir son courage, Il n'est rien si trompeur que les traits du visage:
Ie m'en vay le treuuer, luy faignant qu’vn Cartel, Me vient d’eſtre apporté pour me hattre en Duël.	Je m'en vais le trouver, lui faignant qu'un Cartel, Me vient d'être apporté pour me hattre en Duel.
L’ORDINATRE ER PICMIVT.	L'ORDINATRE ER PICMIVT.
Il ſort de ſon logis & vient deſſus la place, Luy dire à la rencontre aura meilleure grace:	Il sort de son logis et vient dessus la place, Lui dire à la rencontre aura meilleure grâce:
Caualier, ton courage, & ta ferme amitié Me font ouurir mon cœur, ainſi qu’à ſa moitié;	Cavalier, ton courage, et ta ferme amitié Me font ouvrir mon cœur, ainsi qu'à sa moitié;
Nous nous ſommes liez d’vne telle franchiſe, Qu’il te faut declarer toute mon entrepriſe, Ce fanfaron de Cour !	Nous nous sommes liés d'une telle franchise, Qu'il te faut déclarer toute mon entreprise, Ce fanfaron de Cour !
L’ORDINAIRE.	L'ORDINAIRE.
Quoy!	Quoi!
LE DVELLISTE.	LE DUELLISTE.
m’a faict appeller;	m'a fait appeler;
L'ORDINAIRE.	L'ORDINAIRE.
Ie vous ſerts de ſecond, il nous y faut aller;	Je vous serts de second, il nous y faut aller;
Mon eſpée eſt paſſable, elle eſt courte, il n’importe Il s’en faudra ſeruir, c’eſt ainſi qu'on les porte?	Mon épée est passable, elle est courte, il n'importe Il s'en faudra servir, c'est ainsi qu'on les porte?
Allons donc promptement pour n’eſtre les derniers.	Allons donc promptement pour n'être les derniers.
LE DVELLISTE.	LE DUELLISTE.
Il doibt venir icy, nous ſommes les premiers, Attendons vn petit, ou voyons dans la plaine S’il ſe deſcouure point.	Il doibt venir ici, nous sommes les premiers, Attendons un petit, ou voyons dans la plaine S'il se découvre point.
L'ORDINAIRE.	L'ORDINAIRE.
non, c’eſt choſe certaine, On n’aperçoit perſonne;	non, c'est chose certaine, On n'aperçoit personne;
aurit-il bien la peur Pour ne s'y treuuer pas?	aurit-il bien la peur Pour ne s'y trouver pas?
eſt-ce point vn trompeur?	est-ce point un trompeur?
M	M
LE DVELLISTE.	LE DUELLISTE.
Non certes:	Non certes:
c'eſtmoy ſeul, douttant de la vaillance, I’ay faint d’eſtre appellé, pour voir ton aſſeurance;	c'estmoi seul, doutant de la vaillance, J'ai saint d'être appelé, pour voir ton assurance;
Ie t’en ayme bien plus;	Je t'en aime bien plus;
& crois aſſeurément Que ie te ſeruiray.	et crois assurément Que ie te servirai.
AM IO	AM JO
L’ORDINAIRE.	L'ORDINAIRE.
IEpriſons ce compliment;	JÉprisons ce compliment;
Ie croy que ma valleur eſt aſſez recognuë, Sans qu'on d’euſt pour la voir me ſeruir d’vne fuë, Les galants de la Cour ſont aſſez informez, Si pour branſler au manche on m’a tiré le nez;	Je crois que ma valeur est assez reconnue, Sans qu'on d'eût pour la voir me servir d'une fue, Les galants de la Cour sont assez informés, Si pour branler au manche on m'a tiré le nez;
de fuis femotuote avur paſſe par ta coupelle, Ma valeur eſt cogneuë, on ne doutte point d’elle;	de fuis femotuote avur passe par ta coupelle, Ma valeur est connue, on ne doutte point d'elle;
Doubter, c’eſt m'offencer;	Doubter, c'est m'offenser;
i’en veux auoir raiſon, On m’a veu tant de fois dedans l’occaſion	j'en veux avoir raison, On m'a vu tant de fois dedans l'occasion
LE DVELLISTE.	LE DUELLISTE.
Mon cœur, ny penſe point, amy, hé ie t’en prie!	Mon cœur, Seigneur pense point, ami, hépris t'en prie!
Ie l’ay faict pour en rire & par galanterie, Conſeruons nous enſemble, & viuons en amis, Ne donnons point de priſe à tous nos ennemis.	Je l'ai fait pour en rire et par galanterie, Conservons nous ensemble, et vivons en amis, Ne donnons point de prise à tous nos ennemis.
L’ORDINAIRE L’ESPE'E A LA MAIN.	L'ORDINAIRE L'ÉPE'E A LA MAIN.
Que viens-je faire icy, pour enfiler des perles?	Que viens-je faire ici, pour enfiler des perles?
Deux heures prés d’vn bois à ouyr ſifler les merles:	Deux heures prés d'un bois à ouïr sifler les merles:
Non, non, n'en parlons plus:	Non, non, n'en parlons plus:
LE DVELLISTE EN PRESENCE.	LE DUELLISTE EN PRÉSENCE.
hé!	hé!
viuons en repos;	vivons en repos;
L’ORDINAIRE TIRANT L’ESTOCADE.	L'ORDINAIRE TIRANT L'ESTOCADE.
Vous me rompez la teſte, auec.	Vous me rompez la tête, avec.
tant de propos, Parez ſi vous pouuez	tant de propos, Parez si vous pouvez
LE DVELLISTE PARANT.	LE DUELLISTE PARANT.
C’eſt mon port & ma gloire!	C'est mon port et ma gloire!
L'ORDINAIRE PASSERA EN LE	L'ORDINAIRE PASSERA EN LE
DLESSANT.	DLÉSANT.
Mets ton eſpée à bas, i'ay ſur toy la victoire:	Mets ton épée à bas, j'ai sur toi la victoire:
Qu'on le face penſer, il eſt bleſſe au bras, Cauet da te coucner tout droict entre deux draps.	Qu'on le face penser, il est blesse au bras, Cavet da te coucer tout droit entre deux draps.
SERA ENLEVE' DERRIERE LA TAPISSERIE.	SERA ENLÈVE -DERRIÈRE LA TAPISSERIE.
FIN DE L’ACTE TROISIEME.	FIN DE L'ACTE -TROISIÈME.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ARGVMENT.	ARGUMENT.
C ¶ 11 E Duëlliſte le bras à l’eſcharpe, venant ſeul déplorer ſon infortune, eſt ſurpris par Glycere, qui le conſeillera dans ſes mal-heurs de ſe rendre Hermite, & le Maiſtre d’Hoſtel rencontrant l’Ordinaire abſent de la Cour depuis long-temps, le voudra marier à Lydie, qui touſiours dans ſa paſſion Amoureuſe du Maiſtre d’Hoſtel, refuſera l’Ordinaire dont ils reſteront fort eſtonnez.	Ç 11 E Duëlliste le bras à l'écharpe, venant seul déplorer son infortune, est surpris par Glycère, qui le conseillera dans ses malheurs de se rendre Hermite, et le Maître d'Hôtel rencontrant l'Ordinaire absent de la Cour depuis long-temps, le voudra marier à Lydie, qui toujours dans sa passion Amoureuse du Maître d'Hostel, refusera l'Ordinaire dont ils resteront fort étonnés.
Grand Soleil, quand tu ſorts du beau milieu de l’onde, Eſclairant les humains qui viuent dans le monde, Tu ne luis pas peur moy, car pour moy tu ne ſorts, Tu luis pour les viuants, & non pas pour les morts:	Grand Soleil, quand tu sorts du beau milieu de l'onde, Esclairant les humains qui vivent dans le monde, Tu ne luis pas peur moi, car pour moi tu ne sorts, Tu luis pour les vivants, et non pas pour les morts:
Ma vie n’eſt plus vie, apres tant de trauerſes, Tant d’ennuis, tant de maux, de pleurs & de tripteſſes, Ie vis dans les malheurs continuellement, Et meurs dans les plaiſirs & le contentement	Ma vie n'est plus vie, après tant de traverses, Tant d'ennuis, tant de maux, de pleurs et de triptesses, Je vis dans les malheurs continuellement, Et meurs dans les plaisirs et le contentement
LE DVELLISTE.	LE DUELLISTE.
L’air, la Terre, & les Cieux me ſont inexorables, Ie ſuis plus affligé que les plus miſerables;	L'air, la Terre, et les Cieux me sont inexorables, Je suis plus affligé que les plus misérables;
Et ceux qui vont ſouffrant des trauaux rigoureux, Au regard de mes maux ſe treuuent bien heureux;	Et ceux qui vont souffrant des travaux rigoureux, Au regard de mes maux se trouvent bien heureux;
La Cour ne m’a ſeruy que d’vn cruel orage, Qui vouloit, m’abyſmant, me cauſer vn naufrage, Vn chacun m’enfonçoit pour me faire perir, Et pas vn ne ma plaint, ny voulu ſecourir;	La Cour ne m'a servi que d'un cruel orage, Qui voulait, m'abîmant, me causer un naufrage, Un chacun m'enfonçait pour me faire périr, Et pas un ne ma plaint, Seigneur voulu secourir;
Mon lict eſt maintenant tout baigné de mes larmes, De Mars & de Venus i’abandonne les armes, Les iours les plus luyſants me ſont des triſtes nuicts, Et les contentements, continuels ennuys;	Mon lit est maintenant tout baigné de mes larmes, De Mars et de Venus j'abandonne les armes, Les jours les plus luisants me sont des tristes nuits, Et les contentements, continuels ennuis;
Mais l’as!	Mais l'as!
Amour, Amour, ta paſſion eſt forte,	Amour, Amour, ta passion est forte,
CHANGEANT DE VOIX VOYAN	CHANGEANT DE VOIX VOYAN
SLYCERE.	SLYCERE.
I’apperçois ma Maiſtreſſe au ſeüil de ceſte porte, Ie l’ay par trop aymée, &t ne peux l’oublier, Trop jaloux i’ay voulu ſes deffauts publier:	J'aperçois ma Maîtresse au seüil de cette porte, Je l'ai par trop aimée, et ne peux l'oublier, Trop jaloux j'ai voulu ses défauts publier:
Madame, ſi iamais creature affligée Huuje emounon oosfens, oons eſtes obligée, Au fort de mes mal-heurs d’auoir pitié de moy.	Madame, si jamais créature affligée Huje emounon oosfens, obli estes obligée, Au fort de mes malheurs d'avoir pitié de moi.
Pardon!	Pardon!
ie ne deuois doutter de voſtre foy:	Ne ne devais douter de votre foi:
L’amour iuſqu’à l’excez me mit en jalouſie, Et ne pûs reſiſter à ceſte freneſie, Pardon, Belle pardon, à cét Amant jaloux, Il ſe iette à vos pieds, embraſſant vos genoux	L'amour jusqu'à l'excès me mit en jalousie, Et ne pus résister à cette frénésie, Pardon, Belle pardon, à cet Amant jaloux, Il se jette à vos pieds, embrassant vos genoux
GLYCERE.	GLYCÈRE.
Ie ne croiray iamais, quoy que chacun en die, Que l’on n'à iamais veu d’Amant ſans jalouſie;	Je ne croirai jamais, quoi que chacun en die, Que l'on n'à jamais vu d'Amant sans jalousie;
Deux contraires effects, l'Amour eſt plain d’ardeur, La ſotte jalouſie eſt vne froide peur:	Deux contraires effets, l'Amour est plain d'ardeur, La sotte jalousie est une froide peur:
Et partant il faudroit que le feu & la glace, Dans vn meſme ſubject euſſent pris meſme place;	Et partant il faudrait que le feu et la glace, Dans apprendre sujet eussent pris même place;
Sans que le feu de l’vn y laiſſaſt ſon ardeur, Où la glace de l’autre y perdit ſa froideur:	Sans que le feu de l'autre y laissât son ardeur, Où la glace de l'autre y perdit sa froideur:
Vous eſtes mal-heureux, vous n’eſtes pas bien ſage, Vous n’aymez que querelle, & trop vain de courage Vous allez au deuant des eſclairciſſements, Deſquels comme d’Amour, n’auez que des tourments;	Vous êtes malheureux, vous n'êtes pas bien sage, Vous n'aimez que querelle, et trop vain de courage Vous allez au devant des éclaircissements, Desquels comme d'Amour, n'avez que des tourments;
Puiſque Mars & Venus vous ſont du tout contraires, Portez vray Penitent, les Cilices, les Hayres, Ie ſuis promiſe ailleurs.	Puisque Mars et Venus vous sont du tout contraires, Portez vrai Pénitent, les Cilices, les Haine, Je suis promise ailleurs.
LE DVELLISTE SEVL.	LE DUELLISTE SEUL.
Et nous laim dimane, Celuy que tu as pris:	Et nous laim dimane, Celui que tu as pris:
ne t’ayma iamais tant Bien ſuiuant ton conſeil, dedans vn Hermitage, Ie vay prendre repos le reſte de mon aage.	ne t'aima jamais tant Bien suivant ton conseil, dedans un Hermitage, Je vais prendre repos le reste de mon âge.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE DEVXIESME.	SCÈNE DEUXIÈME.
LYDIE.	LYDIE.
Si l’amour eſt vn Dieu, il n'en peut ſortir rien Qu'entierement parſaiet, qui nous donue du bien,	Si l'amour est un Dieu, il n'en peut sortir rien Qu'entièrement parsaiet, qui nous donue du bien,
Car Dieu ſemblable à ſoy, eſt touſiours immuable, L'effect eſtant pareil, d’vne cauſe ſemblable:	Car Dieu semblable à soi, est toujours immuable, L'effect étant pareil, d'une cause semblable:
De dire Amour vn Dieu, ſe ſeroit blaſphemer, Puis que l’vn il faict viure, e l’autre conſummer:	De dire Amour un Dieu, se serait blasphémer, Puis que l'un il fait vivre, eût l'autre consummer:
Helas!	Hélas!
i’en peux parler, & par experience I’ay l’ennuy en partage, vn autre à les plaiſirs, Auecques mon Amant contentant ſes deſirs;	j'en peux parler, et par expérience J'ai l'ennui en partage, un autre à les plaisirs, Avec mon Amant contentant ses désirs;
Il faut que deſormais pour extraindre ma flame, Pour oſter mes ennuis qui bourrellent mon ame, Remede trop amer!	Il faut que désormais pour extraindre ma flamme, Pour ôter mes ennuis qui bourrellent mon âme, Reme trop amer!
ie les noye de pleurs, Et n’auray que l’eſpine, vn autre ayant les fleurs:	ie les noie de pleurs, Et n'aurai que l'épine, un autre ayant les fleurs:
Arriere de mon cœur penſers plains de delices, Ie n’ayme que l’honneur, les tourments, les ſupplices;	Arrière de mon cœur pensers plains dé lices, Je n'aime que l'honneur, les tourments, les supplices;
Doux entretiens d’amour;	Doux entretiens d'amour;
mon eſprit eſt changé, Sortez ſans reuenir, ie vous donne congé, Il m’appelloit ſa Dame, & ſa gloire immortelle, Et iuroit qu’à iamais il me ſeroit fidelle, Et ne ſçauoit que faire afin de m’obliger, Mais toſt dans ſon eſprit l’oubly ſe vint loger:	mon esprit est chargé, Sortez sans revenir, je vous donne congé, Il m'appelait sa Dame, et sa gloire immortelle, Et jurait qu'à jamais il me serait fidèle, Et ne savait que faire afin de m'obliger, Mais tôt dans son esprit l'oubli se vint loger:
Hà!	Hà!
que diſ-je mon cœur!	que dis-je mon cœur!
quel trouble me tranſporte;	quel trouble me transporte;
Veux-je coupper les nœuds d’vne amitié ſi forte, De ſes yeux, mes ſoleils, veux-ie eſuiter la loy?	Veux-je coupper les nœuds d'une amitié si forte, De ses yeux, mes soleils, veux-je éviter la loi?
Ay-ie vne volonté?	Ai-je un volonté?
ay-ie vn remede à moy?	ai-je un remède à moi?
Non:	Non:
il eſt impoſſible:	il est impossible:
Amour qui me poſſede, Ne peut à mon mal-heur fournir aucun remede:	Amour qui me possède, Ne peut à mon malheur fournir aucun remède:
L’abſence, le meſpris, le temps ny la raiſon;	L'absence, le mépris, le temps ni la raison;
La mort porte en ſa main la clef de ma priſon.	La mort porte en sa main la clef de ma prison.
ACTE QVATRIESME.	ACTE QUATRIÈME.
SCENE TROISIESME.	SCÈNE -TROISIÈME.
LE MAISTRE D’HOSTELET	LE MAÎTRE D'HOSTELET
L’ORDINAIRE.	L'ORDINAIRE.
Te voyla de retour, Caualier ſans reproche, Mon cœur s'eſt entr’ouuert quand ie t’ay veu ſi proche, Car i’ay pour te ſeruir ſi grande affection, Que rien ne m’eſt au prix de ton affection:	Te voilà de retour, Cavalier sans reproche, Mon cœur s'est entr'ouvert quand quelque t'ai vu si proche, Car j'ai pour te servir si grande affection, Que rien ne m'est au prix de ton affection:
Mais de grace, d’y moy, qui cauſoit ton abſence?	Mais de grâce, d'y moi, qui causait ton absence?
L’an entier s’eſt paſſé priué de ta preſence;	L'an entier s'est passé privé de ta présence;
L’amour en eſt il cauſe?	L'amour en est il cause?
as tu quelque ſubject D’abſence, pour querelle, ou pour quelque autre object?	as tu quelque suject D'absence, pour querelle, ou pour quelque autre object?
Ou bien ſi commandé du Roy, noſtre bon Prince?	Ou bien si commandé du Roi, notre bon Prince?
L’ORDINAFRE.	L'ORDINAFRE.
L’amy tu viens au point:	L'ami tu viens au point:
de Prouince, en Prouince I'aycourte (eommnde ) e eroy uepuis dix mois Dans vn meſme logis n’auoir couché deux fois;	de Province, en Province J'aicourte (eommnde ) e eerai ouvepuis dix mois Dans un même logis n'avoir couché deux fois;
Me voicy de retour, tout preſt à ton ſeruice, Prend l’offre de mes vœux, faicts en vn ſacrifice;	Me voici de retour, tout prêt à ton service, Prend l'offre de mes vœux, faits en un sacrifice;
I’ay bien ſeruy mon Prince, il en reſte content, Et pour le teſmoigner, il m’a faict ce preſent.	J'ai bien servi mon Prince, il en reste content, Et pour le témoigner, il m'a fait ce présent.
VNE CHAISNE D'OR.	VNE CHAÎNE D'OR.
LE Heureux gage du Roy, preſent d'vn grand Monarque, Qui donne à ſes ſubjects vne eternelle marque D’honneur, d’affection, de liberalité, C’eſt reduire vn Barbare à la fideluté:	LE Heureux gage du Roi, présent d'un grand Monarque, Qui donne à ses sujets une éternelle marque D'honneur, d'affection, de liberalité, C'est réduire un Barbare à la fidéluté:
Faiſons des vœux pour luy que le fer de ſa lance Ailte juſqu'au Perou juirt pornenta Prunte;	Faisons des vœux pour lui que le fer de sa lance Ailte jusqu'au Perou juirt pornenta Prunte;
Et que de la Mer rouge, & de l’autre courant Il ſoit Monarque ſeul Souuerain conquerant.	Et que de la Mer rouge, et de l'autre courant Il soit Monarque seul Souverain conquérant.
L’ORDINAIRE.	L'ORDINAIRE.
Il nous faut vn Dauphin!	Il nous faut un Dauphin!
