PAR MONSIEVR BORÉE,	PAR MONSIEUR BORE,
Mere de Chriſt, Reine des Anges, Mirouër de iuſtice & d’honneur, Subject de cent mille loüanges, Vaſte Ocean de tout bon-heur, Vierge puiſſante & venerable, Vierge entiere & toute admirable, Mere prudente du Sauueur, Fais tant, qu’à l’heure de la Parque Ma pauure ame en tes yeux remarque Quelque preſage de faueur.	Mère de Christ, Reine des Anges, Mirouer de justice et d'honneur, Subject de cent mille langes, Vaste Ocean de tout bonheur, Vierge puissante et vénérable, Vierge entière et toute admirable, Mère prudente du Sauveur, Fais tant, qu'à l'heure de la Parque Ma pauvre âme en tes yeux remarque Quelque presage de faveur.
Roſe d’odeur myſterieuſe, Tour de Dauid, ferme rampart, Gueris mon ame vicieuſe Auant ſon dangereux depart:	Rose d'odeur mystérieuse, Tour de David, ferme rempart, Guéris mon âme vicieuse Avant son dangereux départ:
Puiſſante & belle tour d’yuoire, Fais que i’emporte la victoire Sur tant de traiſtres ennemis, Qui ne cherchent que ma ruïne, Et fleſchis la bonté diuine, 1 Pour tant de maux que i'ay commis.	Puissante et belle tour d'yvoire, Fais que j'emporte la victoire Sur tant de traîtres ennemis, Qui ne cherchent que ma ruine, Et fléchis la bonté divine, 1 Pour tant de maux que j'ai commis.
Maiſon d’or, Acche d’alliance, Porte du Ciel, buiſſon ardant, Pour me monſtrer ta bienvueillance Uiens mes miſeres regardant.	Maison d'or, Acche d'alliance, Porte du Ciel, buisson ardant, Pour me montrer ta bienveillance Uiens mes misères regardant.
Parmy ce danger effroyable, Preſte-moy ton bras ſecourable, Et comme eſtoile du matin Quide-moy, parmy tant d’orage, Ou ie m’en vay faire naufrage Sous la rage de mon deſtin.	Parmi ce danger effroyable, Preste-moi ton bras secourable, Et comme étoile du matin Quide-moi, parmi tant d'orage, Ou Seigneur m'en vais faire naufrage Sous la rage de mon destin.
I’ay faict des crimes vn deluge, Eſmouuant l’ire de mon Dieu:	J'ai fait des crimes un déluge, Esmouvant l'ire de mon Dieu:
Sois donc au beſoing mon refuge, Et te mets ſoudain au milieu:	Sois donc au besoin mon refuge, Et te mets soudain au milieu:
Ie ſçay que ta ſeule preſence Suffira trop à ma defence:	Je sais que ta seule présence Suffira trop à ma défense:
Fuſt-il encor plus irrité, Tu luy peux arracher le foudre, Quand il voudroit me mettre en poudre Apres l’auoir tant merité.	Fût-il encore plus irrité, Tu lui peux arracher le foudre, Quand il voudrait me mettre en poudre Apres l'avoir tant mérité.
Mon ame à l’extreme affligée, Uoire iuſqu’à l’infinité Eſt plus que n’eſt la mer Egée Groſſe des vents de vanité:	Mon âme à l'extrême affligée, Uoire jusqu'à l'infinité Est plus que n'est la mer Egée Grosse des vents de vanité:
Touſiours dans ſon bourbier immonde Elle n’a rien pensé qu’au monde:	Toujours dans son bourbier immonde Elle n'a rien pensé qu'au monde:
Salut vnique, vnique port, Aſſiſte celuy qui t’appelle, Et quoy qu'il te ſoit infidelle, Ne luy refuſe ton ſupport.	Salut unique, unique port, Assiste celui qui t'appelle, Et quoi qu'il te soit infidèle, Ne lui refuse ton support.
Parfaicte cauſe de ma ioye, Grande Reine des Confeſſeurs, Ne me permets d’eſtre la proye De mille monſtres rauiſſeurs:	Parfaite cause de ma joie, Grande Reine des Confesseurs, Ne me permets d'être la proie De mille monstres ravisseurs:
Les Enfers à gorge beante Menacent mon ame puante:	Les Enfers à gorge béante Menacent mon âme puante:
Rare Princeſſe des Martyrs, Ne me laiſſe en ceſte detreſſe;	Rare Princesse des Martyrs, Ne me laisse en cette détresse;
Ains à la douleur qui me preſſe, Reçois mes aigres repentirs.	Ain à la douleur qui me presse, Reçois mes aigres repentirs.
Soleil des ames bien-heureuſes, Qui reluiſent au Firmament, Fais qu’en mes œuures odieuſes Je ne meure eternellement:	Soleil des âmes bienheureuses, Qui reluisent au Firmament, Fais qu'en mes œuvres odieuses Je ne meure éternellement:
Si ie n’ay pas ton aſſiſtance, Je n’ay d’eſpoir ny de conſtance, Ie fleſtris ainſi que la fleur, Qu’on void au matin eſpanie, let jui te jeir vomejuax Deſpourueuë de ſa couleur.	Si ici n'ai pas ton assistance, Je n'ai d'espoir ni de constance, Je flétris ainsi que la fleur, Qu'on voit au matin épanie, let jui te je vomejuax Despourueuë de sa couleur.
Ayde-moy donc, grande Emperiere, Et ne t’eſloigne oncques de moy, Lors que i’ay perdu ta lumiere, Mon ame eſt toute en deſarroy:	Ayde-moi donc, grande Emperière, Et ne t'éloigne oncques de moi, Lors que j'ai perdu ta lumière, Mon âme est toute en désarroi:
Ie ne marche plus qu’en tenebres, Tous les obiects me ſont funebres, Ie fuis la clarté du Soleil, Ayde-moy donc, ô Vierge immenſe, Et pour preuue de ta clemence, Ne me quitte iuſques au cercueil.	Je ne marche plus qu'en ténèbres, Tous les objets me sont funèbres, Je fuis la clarté du Soleil, Aimde-moi donc, ô Vierge immense, Et pour preuve de ta clémence, Ne me quitte jusques au cercueil.
PAN	PAN
Preſenté dans ſon cabinet, le 13.	Présenté dans son cabinet, le 13.
Mais, 1623.	Mais, 1623.
PANEGYRE AV ROY.	PANEGYRE AU ROY.
Rand Roy, la gloire des Monarques, ¶Qui te mocques des fieres Parques, Second Alcide des peruers, En racontant tes aduentures, Permets à mes Delphiques vers De t’apporter quelques augures.	Rand Roi, la gloire des Monarques, ÊQui te moques des fières Parques, Secte Alcide des pervers, En racontant tes aventures, Permets à mes Delphiques vers De t'apporter quelques augures.
Preſsé d’vne exceſſiue ardeur, De preſenter à ta Grandeur Des preuues de mon humble hommage, I’ay prié les Demons des Cieux, Qui m’ont ſuggeré ceſt Ouurage, Où ton Nom viura glorieux Tout autant que le dernier aage.	Pressé d'une excessiue ardeur, De présenter à ta Grandeur Des preuves de mon humble hommage, J'ai prié les Demons des Cieux, Qui m'ont suggéré cet Ouvrage, Où ton Nom vivra glorieux Tout autant que le dernier aage.
Sur le faiſte du double mont, Qui tous les beaux eſprits ſemond, I’ay conſumé des longues veilles:	Sur le faîte du double mont, Qui tous les beaux esprits semond, J'ai consumé des longues veilles:
Mais il faut en fin aduouër, Que c’eſt pour plaire à tes ortilles, ot pourappronare à te louër.	Mais il faut en fin avouer, Que c'est pour plaire à tes ortilles, ot pourappronare à te louer.
Auſſi depuis que ton courage Surmonte des Titans la rage, Et va puniſſant leur erreur, Ie te iure par les fontaines, Qu’on ne peut iurer ſans horreur, 2 uo ouuniuto tomnaiy tem mennouiles Pleines d’vne telle fureur.	Aussi depuis que ton courage Surmonte des Titans la rage, Et va punissant leur erreur, Je te jure par les fontaines, Qu'on ne peut jurer sans horreur, 2 ouuniuto tomnaiy mennouiles Pleines telle fureur.
La France n’eu pas veu ton œil, Iouyr des rayons du Soleil:	La France n'eu pas vu ton œil, Jouir des rayons du Soleil:
Quand d’vne voix par tout commune Elle publie, que ton fer Alloit borner ſon infortune,	Quand d'une voix par tout commune Elle publie, que ton fer Allait borner son infortune,
Pendant ceſte noble entrepriſe, Dont mon ame est du tout eſpriſe, On m’entendra ſi bien chanter, Que s’il te plaiſt de voir mon ſtile, Tu ne voudras oncques porter D’enuie à l’heur du grand Achile.	Pendant cette noble entreprise, Dont mon âme est du tout éprise, On m'entendra si bien chanter, Que s'il te plaît de voir mon style, Tu ne voudras oncques porter D'envie à l'heur du grand Achille.
Et dompter les rages d’Enfer, Qui luy portoyont tant de rancune, Mille monſtres de l’Vniuers, Preuoyant tes geſtes diuers, N’en ont plus qu’effroy dedans l’ame:	Et dompter les rages d'Enfer, Qui lui portoyont tant de rancune, Mille monstres de l'Univers, Prévoyant tes gestes divers, N'en ont plus qu'effroi dedans l'âme:
Ils n’en ceſſent onc d’accuſer Les Cieux propices à ta lame, Et n'en peuuent plus repoſer.	Ils n'en cessent onc d'accuser Les Cieux propices à ta lame, Et n'en peuvent plus reposer.
Tes beaux exploicts font aſſez croire, Qu'ils te doiuent combler de gloire;	Tes beaux exploits font assez croire, Qu'ils te doivent combler de gloire;
Les deſtins meſme l’ont promis:	Les destins même l'ont promis:
Et i’eſtime, qu’à ta vaillamce Tu n’auras point des ennemis, Qui vueillent faire reſiſtance, Que tu n’ayes bien-toſt ſoubmis.	Et j'estime, qu'à ta vaillamce Tu n'auras point des ennemis, Qui veuillent faire résistance, Que tu n'aies bientôt soumis.
Celuy qui le monde tempere, Qui promet que le bon proſpere, Et qui diſpoſe des Deſtins, T’en offre vne riche conqueſte, En deſpit de tous les mutins, A qui tu dois rompre la teſte.	Celui qui le monde tempère, Qui promet que le bon prospère, Et qui dispose des Destins, T'en offre une riche conquête, En dépit de tous les mutins, À qui tu dois rompre la tête.
XX A Quand les pazarus ues fiers tombats, Qui ne te ſeruent que d’esbats, N’en donneroyent ceſte eſperance;	XX A Quand les paysarus ues fiers tombats, Qui ne te servent que d'ébats, N'en donneraient cette espérance;
Le Ciel monſtre trop clairement, Que ton bras doit prendre vengeance, Pour le grand Dieu du firmament, En peu de temps de ceſte engeancé.	Le Ciel montre trop clairement, Que ton bras doit prendre vengeance, Pour le grand Dieu du firmament, En peu de temps de cette engeancé.
Au ſeul recit de tes efforts:	Au seul récit de tes efforts:
Mais ſes Deïtez inuoquées, Ny les tempeſtes de ſes dards N’empeſcheront qu’en ſes Moſquées Tu ne plantes tes eſtendards.	Mais ses Déistez invoquées, Ni les tempêtes de ses dards N'empêcheront qu'en ses Mosquées Tu ne plantes tes étendards.
C’eſt pour toy ſeul, que ton Prophete Le menace de ſa defaite, Le Phrygien en faict des vœux, Qui te ſuiuant parmy la preſſe, Où tu domptes ce que tu veux, Uerra les Grecs plein de detreße Sous le plus grand de ſes nepueux.	C'est pour toi seul, que ton Prophète Le menace de sa défaite, Le Phrygien en fait des vœux, Qui te suivant parmi la presse, Où tu domptes ce que tu veux, Uerra les Grecs plein de tressée Sous le plus grand de ses neveux.
Solyme, qui ſouspire eſclaue	Solime, qui soupire esclave
Croiſt Croit de ſortir de ſon entraue, Elle tarit deſia ſes pleurs, Oyant ta dextre vainquereſſe:	Croit Croit de sortir de son entrave, Elle tarit déjà ses pleurs, Oyant ta dextre vainqueresse:
Et nonobſtant tous ſes malheurs Chante des hymnes d’allegreſſe.	Et nonobstant tous ses malheurs Chante des hymnes d'allégresse.
Ton bras, qui porte le bon-heur, La doit remettre en ſon honneur, On l’eſpere de ton courage:	Ton bras, qui porte le bonheur, La doit remettre en son honneur, On l'espère de ton courage:
Le Ciel t’en fera la faueur, Il n’eſt ſi rauiſſant orage En la querelle du Sauueur, Qui te faſſe faire naufrage.	Le Ciel t'en fera la faveur, Il n'est si ravissant orage En la querelle du Sauveur, Qui te fasse faire naufrage.
L’Arabe remply de terreur T’attend deſia pour Empereur:	L'Arabe rempli de terreur T'attend déjà pour Empereur:
L’Egypte de peur en friſſonne:	L'Égypte de peur en frissonne:
Et le More de rageespra De tout ce terreſtre pourpris.	Et le More de rageespra De tout ce terrestre pourpris.
Sire, tu le peux ſans obſtacles, C’est la voix de tous les Oracles, Les Anges s'en ſont reſiouys:	Sire, tu le peux sans obstacles, C'est la voix de tous les Oracles, Les Anges s'en sont réjouis:
L’Enfer le ſouffre auec contrainte, Et mille peuples inouys, Partie d’amour & de crainte Ne parlent plus que de LOVYS.	L'Enfer le souffre avec contrainte, Et mille peuples inouïs, Partie d'amour et de crainte Ne parlent plus que de LOUIS.
La bouche de la renommée Ne fut iamais tant animés A chanter comme elle eſt pour toy:	La bouche de la renommée Ne fut jamais tant animés À chanter comme elle est pour toi:
Les Demons en ſont aux alarmes, Et leur Prince tous en effroy Ne redoute plus que tes armes.	Les Demons en sont aux alarmes, Et leur Prince tous en effroi Ne redoute plus que tes armes.
Au bruit ſeulement de ton Nom, Qui croiſt tous les iours en renom, Mille peuples ſe viendoont rendre:	Au bruit seulement de ton Nom, Qui croît tous les jours en renom, Mille peuples se viendodoond rendre:
Et ſi l’on conte les lauriers, Que deſia l’on te doit appendre, I'eſtime que tes faicts guerriers Feroyent plorer vn Alexand:	Et si l'on compte les lauriers, Que déjà l'on te doit appendre, J'estime que tes faits guerriers Feraient plorer un Alexand:
e.	e.
Mille lieux inferant la foy, Qui ſe ſont remis ſour ta loy:	Mille lieux inférant la foi, Qui se sont remis sour ta loi:
Je laiſſe à part que ton audace, Qui ne cogneut onc les hazards, Eſt preſte à contraindre la Thace De te recognoiſtre pour Mars.	Je laisse à part que ton audace, Qui ne connut onc les hasards, Est prête à contraindre la Thace De te reconnaître pour Mars.
Tant de monts reduits en pouſſiore Teſmoignent ta force guerriere, Nos nepueux la celebreront:	Tant de monts réduits en poussiore Témoignent ta force guerrière, Nos neveux la célébreront:
Au ſeul rapport de ces nouuelles Les plus hardis s’eſtonneront, Qui malgré leurs ames rebelle:	Au seul rapport de ces nouvelles Les plus hardis s'étonneront, Qui malgré leurs âmes rebelle:
L’aincus en fin t’adoreront.	L'aincus en fin t'adoreront.
Parmy l’Ethiope & le Scythe, Que ou dois pouſſer au Coeythe, Je te voy ia comme vn lion Lors que la fureur l’accompagne, Laiſſer de corps vn million A toute heure ſur la campagne.	Parmi l'Éthyope et le Scythe, Que ou dois pousser au Coeythe, Je te vois ja comme un lion Lors que la fureur l'accompagne, Laisser de corps un million À toute heure sur la campagne.
Liſant les liures du deſtin I’ay marqué, que dés le matin, Juſques aux fins de l’Heſperie, Tu dois porter les Fleur de lis, Et que le Can de Tartarie Apres cent Roys enſeuelis N’euadera pas ta furie.	Lisant les livres du destin J'ai marqué, que dès le matin, Jusques aux fins de l'Hespérie, Tu dois porter les Fleur de lis, Et que le Can de Tartarie Apres cent Rois ensevelis N'évadera pas ta furie.
Et qui t’en pourroit empeſcher, Que tu ne le faſſes broncher En peu de temps deſſus l’arene?	Et qui t'en pourrait empêcher, Que tu ne le fasses broncher En peu de temps dessus l'arène?
Ton fer par tout victorieux, Qui n’ayme rien tant que la peine, T laiſſeroit les demy-dieux.	Ton fer par tout victorieux, Qui n'aime rien tant que la peine, T laisserait les demi-dieux.
L’orgueil de la guerriere Afrique, Au bruit de ta force heroique Commence de baiſſer le chef:	L'orgueil de la guerrière Afrique, Au bruit de ta force héroïque Commence de baisser le chef:
Jl perd deſia toute eſperance, Et craignant ton nom derechef, Plus que des Ceſars la puiſſance, N’attend plus qu'vn dernier meſchef.	Il perd déjà toute espérance, Et craignant ton nom derechef, Plus que des Césars la puissance, N'attend plus qu'un dernier mèches.
Des deſtins la parolle ſaincte Ne ſe trouua iamais enfrainte:	Des destins la parole sainte Ne se trouva jamais enfrainte:
Elle eſt eſcrite ſur l’airain:	Elle est écrite sur l'air:
Et puis, quel peuple tant eſtrange	Et puis, quel peuple tant étrange
Te refuſant pour ſouuerain Reſiſteroit aux bras d’vn Ange?	Te refusant pour souverain Résisterait aux bras d'un Ange?
Combien de tygres inhumains Sont deſia tombés ſous tes mains Dedans mille gouffres funeſtes:	Combien de tigres inhumains Sont déjà tombés sous tes mains Dedans mille gouffres funestes:
Hercul de gloire tout espris, Dont les hauts faists ſont manifestes, N’auroit, quoy que grand, entrepris De ſubiuguer toutes ces peſtes Le beau premier dans les mareſts Tu vas engraiſſant les guerets Des corps des monſtres, dont l’audace, S’il euſt voulu les affronter, Auroit faict ſoudain ſur ſa face L’horreur de la Parque monter.	Hercul de gloire tout épris, Dont les hauts faists sont manifestes, N'aurait, quoi que grand, entrepris De subiuguer toutes ces pestes Le beau premier dans les marêts Tu vas engraissant les guère Des corps des monstres, dont l'audace, S'il eût voulu les affronter, Aurait fait soudain sur sa face L'horreur de la Parque monter.
Dans vn moment leur inſolence Ueit les efforts de ta vaillance, Et plaignant trop tard ſon malheur Fut contrainte à la fin de dire, Parmy l’effort de ſa douleur, Qu'il fleſchiroit ſous ton Empyre, Pour n’irriter pas ta valeur, Deſſous le faix de la cuirace On t’eſtimoit le Dieu de Thrace:	Dans un moment leur insolence Uéit les efforts de ta vaillance, Et plaignant trop tard son malheur Fut contrainte à la fin de dire, Parmi l'effort de sa douleur, Qu'il fléchirait sous ton Empyre, Pour n'irriter pas ta valeur, Dessous le faix de la cuirace On t'estimait le Dieu de Thrace:
Mais quand tu fus dans le milieu Des perils, on ne void perſonne, Quinule creuſt vn plus grand Di eu Que n'eſt le frere de Bellonne.	Mais quand tu fus dans le milieu Des périls, on ne voit personne, Quinule creût un plus grand Di eu Que n'est le frère de Bellonne.
Ne te pouuant iamais laſſer, Tu ne ceſſes de pourchaſſer L’Hydre à cent teſtes furieuſe, Qui te voyant touſiours vainqueur effre à ta main victorieuſe, Pour l appaijer,jonnamolecen Auec la palme glorieuſe.	Ne te pouvant jamais lasser, Tu ne cesses de pourchasser L'Hydre à cent têtes furieuse, Qui te voyant toujours vainqueur effre à ta main victorieuse, Pour l appaijer,jonnamolecen Ec la palme glorieuse.
Quoy qu’eſmeu d’vn iuſte courroux, Tu la reçois à tes genoux, Foible, defaicte & toute bleſme, Croyant que pour ſembler aux Dieux Il je falloit vaincre ſoy-meſme, Et qu’on ne ſçauroit vaincre mieux.	Quo qu’ému d'avoir juste courroux, Tu la reçois à tes genoux, Faible, défaite et toute blême, Croyant que pour sembler aux Dieux Il je fallait vaincre soi-même, Et qu'on ne saurait vaincre mieux.
Ceſt acte digne de memoire Iamais dans l’oubly n’ira boire:	Cest acte digne de mémoire Jamais dans l'oubli n'ira boire:
Le temps, les ſoldats, ou le ſort N’y pretendent point de loüange:	Le temps, les soldats, ou le sort N'y prétendent point de lange:
Ce qui le fait voler au Nort, Et dés le Tage iuſqu’au Gange Exempt à iamais de la mort.	Ce qui le fait voler au Nort, Et dès le Tage jusqu'au Gange Exempt à jamais de la mort.
Tant plus ſa grandeur on rumine, Plus on void ton ame diuine Monſtrer apres quelques hyuers, Que la France a produit vn Prince, Qui par mille dangers diuers Fera du monde vne Prouince.	Tant plus sa grandeur on rumine, Plus on voit ton âme divine Monstrer après quelques hivers, Que la France a produit un Prince, Qui par mille dangers divers Fera du monde Province.
Des aſtres les benins regards Nous preſchent que tes eſtendars S’en vont flotter dedans l’Aſie, Et que ſes Roys les plus puiſſans Ayans de peur l’ame ſaiſie Ne deſirent obeyſſans, Que de viure à ta fantaſie.	Des astres les bénins regards Nous prêchent que tes étendards S'en vont flotter dedans l'Asie, Et que ses Rois les plus puissants Aussi de peur l'âme saisie Ne désirent obéissants, Que de vivre à ta fantaisie.
Mais parmy ces belles conqueſtes, Dont on celebrera les feſtes, Combien de peuples affrontez Doiuent deſcendre dans l’Auerne Iamais tant d’ennemis domptez Ne ſont entrez dans ſa cauerne.	Mais parmi ces belles conquêtes, Dont on célébrera les fêtes, Combien de peuples affrontés Doivent descendre dans l'Auerne Jamais tant d'ennemis domptez Ne sont entrez dans sa caverne.
En ce temps que tu dois tonner, Et les barbares eſtonner Chargé de fers & de pouſſiere, La terre rougira de ſang, Et ta dextre du tout guerriere, Qui le tirera de tent ſiant, Ne manquera que de matiere.	En ce temps que tu dois tonner, Et les barbares étonner Chargé de fers et de poussière, La terre rougira de sang, Et ta dextre du tout guerrière, Qui le tirera de tent siant, Ne manquera que de matière.
A la fin tu feras laſſer Le nocher, qui les doit paſſer, Qui tout pantois ſur le riuage Ayant traiecté les derniers, Dira que dés le premier aage Jl n’eut iamais tant de deniers.	À la fin tu feras lasser Le nocher, qui les doit passer, Qui tout pantois sur le rivage Ayant traité les derniers, Dira que dès le premier aage Il n'eut jamais tant de deniers.
Bellonne alors eſcheuelée Te cognoiſſant dans la meſlée, Et ne ſçachant où recourir,	Bellonne alors escheuelée Te connaissant dans la mêlée, Et ne sachant où recourir,
N'at N’attendra que ſes funerailles:	N'at N'attendra que ses funérailles:
Mars n’oſera la ſecourir, Qui fuira touſiours les batailles, Tant il aura peur de mourir.	Mars n'osera la secourir, Qui fuira toujours les batailles, Tant il aura peur de mourir.
Mais qui ne craindroit ta prouëſſe, Qui ne craint la mort dans la preſſe, Ueu meſme que tant de Demons, Qui nous cauſoyent mille vacarmes, Maigre ieurs rempars & leurs mons A la fin t’ont quitté les armes?	Mais qui ne craindrait ta prouesse, Qui ne craint la mort dans la presse, Ueu même que tant de Demons, Qui nous causaient mille vacarmes, Maigre jeurs rempars et leurs mons À la fin t'ont quitté les armes?
En fin tes faicts tous immortels Meriteront tant des Autels, Qu'Alcide meſme eſtant en vie, Quoy qu’il ſe ſoit faict admirer, Uoyant leur trame pourſuyuie Se reſoudroit de t’adorer, Au lieu de te porter enuie.	En fin tes faits tous immortels Mériteront tant des Autels, Qu'Alcide même étant en vie, Quoi qu'il se soit fait admirer, Uoyant leur trame poursuyuie Se résoudrait de t'adorer, Au lieu de te porter envie.
Ie voy ja le parltauomlars, Qui ſe ferment de toutes parts, Mille fois mieux qu’aux temps d’Auguste, Les Cieux nous l’ont touſiours promis,	Je vois ja le parltauomlars, Qui se ferment de toutes parts, Mille fois mieux qu'aux temps d'Auguste, Les Cieux nous l'ont toujours promis,
684 Qui te voyant cent fois plus iuſte, Te ſeront plus cent fois amis.	684 Qui te voyant cent fois plus juste, Te seront plus cent fois amis.
La fureur alors forcenée Deſſus les armes enchaiſnée Grondera ſans ceſſe dedans, Et roulant ſes yeux effroyables, Comme deux gros charbons drdans Ttcint ue eni ejpauuantables Ne fera que grincer les dents.	La fureur alors forcenée Dessus les armes enchaînée Grondera sans cesse dedans, Et roulant ses yeux effroyables, Comme deux gros charbons drdans Ttcint ue eni ejépauvantables Ne fera que grincer les dents.
Ce ſera lors, que l’Vniuers Raui de tes geſtes diuers T’addreſſera mille prieres, Et que l’on verra dans les Cieux Plus que iamais des grand’s lumieres Offrir le rang des plus grands Dieux	Ce sera lors, que l'Univers Ravi de tes gestes divers T'adressera mille prières, Et que l'on verra dans les Cieux Plus que jamais des grands lumières Offrir le rang des plus grands Dieux
De cent nœuds d’airain garottée Sa rage cruelle arreſtée En vain ſe voudra deſnouër, Si qu’on ſera contraint de dire, Qu'on ne te peut aſſez louër D’auoir acquis vn tel Empire.	De cent nœuds d'air garottée Sa rage cruelle arrêtée En vain se voudra dénouer, Si qu'on sera contraint de dire, Qu'on ne te peut assez louer D'avoir acquis un tel Empire.
Ates .	Ates .
Ates auantures guerrieres.	Ates aventures guerrières.
De ces miracles nompareils On voit deſia tant d’appareils, Que l’esprit le plus imbecille Le confeſſe tout hautement, Et croit qu’il te ſera facile D'en voir l’heureux euenement.	De ces miracles nompareils On voit déjà tant d'appareils, Que l'esprit le plus imbecille Le confesse tout hautement, Et croit qu'il te sera facile D'en voir l'heureux événement.
Tes rebelles, dont la folie A mille ſupplices les lie, Le preſagent eſuanouïs:	Tes rebelles, dont la folie A mille supplices les lie, Le présagent évanouis:
Le Ciel en rit, & ia les Anges juyena dexonna,tionvinivijo, En te donnant mille loüanges Chantent touſiours, viue LOVYS.	Le Ciel en rit, et jà les Anges juyena dexonna,tionvinivinijo, En te donnant mille louanges Chantent toujours, vive LOUIS.
Uiue des Princes la merueille, De qui la vertu nompareille Sert de lumiere à tous les Roys:	Uiue des Princes la merveille, De qui la vertu nompareille Sert de lumière à tous les Rois:
Om DOVYS, dont le courage Pouſſant les monſtres aux abois, Eſtouffe des Enfers la rage.	Om DOUYS, dont le courage Poussant les monstres aux abois, Étouffe des Enfers la rage.
Ainſi touſiours ces purs esprits	Ainsi toujours ces purs esprits
De ta rare valeur eſpris Retentiſſent au ciel ta gloire:	De ta rare valeur épris Retentissent au ciel ta gloire:
Dieu prend plaiſir à les ouyr, Qui ſur vn beau throſne d’yuoire Te doit vn iour faire iouyr Des plus beaux fruicts de ta victoire.	Dieu prend plaisir à les ouïr, Qui sur un beau trône d'yvoire Te doit un jour faire jouir Des plus beaux fruits de ta victoire.
Or apres ces combats taris, Tu reuerras encor Paris Auec tes genereux gendarmes, Où repenſant à tes beaux faicts Tu dois pour fin de tant d’allarmes Baſtir vn beau temple de paix.	Or après ces combats taris, Tu réverras encor Paris Auec tes généreux gendarmes, Où repensant à tes beaux faits Tu dois pour fin de tant d'alarmes Bastir un beau temple de paix.
En ceſt eſpoir les doctes Fées Vont animant dix mille Orphées A t’y dreſſer de ſaincts Autels:	En cet espoir les doctes Fées Vont animant dix mille Orphées A t'y dresser de saints Autels:
Vn chaſcun à la Palme aſpire, On ne voit entr'eux que cartels:	Un chaccun à la Palme aspire, On ne voit entr'eux que cartels:
Mais amoureux d’vn tel empire Et de tes exploicts immortels, Ie leur ferayquitter la lyre.	Mais amoureux d'être tel empire Et de tes exploits immortels, Je leur feraiquitter la lyre.
Eſpris de ton nom glorieux Ie deuiendray ſi furieux, Qu’à grand peine l’on pourra croire, Si i’acheue ton monument, Qu'vn homme laiſſe à ta memoire Un ſi ſuperbe baſtiment.	Épris de ton nom glorieux Je deviendrai si furieux, Qu'à grand peine l'on pourra croire, Si j'achève ton monument, Qu' Homme laisse à ta mémoire Un si superbe bâtiment.
Ua doncques, Prince magnanime, Où c’eſt que la gloire t’anime, Reduis ce monde ſoubs ta loy:	Ua donc, Prince magnanime, Où c'est que la gloire t'anime, Reduis ce monde sous ta loi:
Monſtre au barbare ta vaillance, Et luy porte la vraye foy:	Montre au barbare ta vaillance, Et lui porte la vraie foi:
diijeen neu eu quemrinate.	diije neu eu quemrinate.
N’eſt pas aſſez grande pour toy.	N'est pas assez grande pour toi.
SVR LAMALICE DV TEMPS,	SUR LAMALICE DU TEMPS,
ODE.	ODE.
Edans ce ſiecle miſerable, D'Où le ſort eſt ſi variable, La vertu n’eſt preſque plus rien:	Édans ce siècle misérable, D'Où le sort est si variable, La vertu n'est presque plus rien:
Tout degenere & deuient pire:	Tout dégénère et devient pire:
A grand' peine dans vn Empire, Trouue-t’on vn homme de bien.	À grand peine dans un Empire, Trouve-t-on un homme de bien.
On ne void plus que d’inſolences, I hemis a quitté ſes balances,	On ne voit plus que d'insolences, I hémis a quitté ses balances,
Tout en eſt piein d’eſtonnement:	Tout en est piein d'étonnement:
Mais il ne faut qu’on s’eſmerueille, Si ſa maiice eſt ſans pareille, Elle y voit ores clairement.	Mais il ne faut qu'on s'émerveille, Si sa maiice est sans pareille, Elle y voit ores clairement.
On ne vit plus que de rapines, Le monde eſt remply de Fauſtines, Xenocrate n’a plus de lieu:	On ne vit plus que de rapines, Le monde est rempli de Faitines, Xénocrate n'a plus de lieu:
On ne trouue plus de Lucreſſes, Et parmy tant d’ames traiſtreſſes On ſe mocque meſme de Dieu.	On ne trouve plus de Lucresses, Et parmi tant d'ames traîtresses On se moque même de Dieu.
On void tous les iours mille infames, Qui bruflans d’impudiques flammes Renonceront aux Sacremens, Pour deceuoir vne pucelle, Qui voyant leur cœur infidelle Souſpire apres à tous momens.	On voit tous les jours mille infâmes, Qui brûlants d'impudiques flammes Renonceront aux Sacrements, Pour décevoir une pucelle, Qui voyant leur cœur infidèle Souspire après à tous moments.
Les hommes meſme, choſe estrange, Font ſouuent vn merueilleux change, Mais bien triſte au reſouuenir:	Les hommes même, chose étrange, Font souvent un merveilleux change, Mais bien triste au résouvenir:
Ils font ce que dire l’on n’oſe:	Ils font ce que dire l'on n'ose:
D'vne eſtrange metamorphoſe La brebis l’ouue deuenir.	D'une étrange métamorphose La brebis l'ouve devenir.
Uiuent ainſi que des pourceaux.	Uiuent ainsi que des pourceaux.
Les vns endurent vn martyre, S’ils ne compoſent la Satyre, N’oſans meſdire ouuertement, Et penſent gagner des trophées, Et le renom des grands Orphées, Alors qu’ils mentent fauſſement.	Les uns endurent un martyre, S'ils ne composent la Satire, N'osants médire ouuertement, Et pensent gagner des trophées, Et le renom des grands Orphées, Alors qu'ils ment faussement.
