A MONSIEVR DE MONTORON.	À MONSIEUR DE MONTORON.
Si l’effet a manqué, ma gloire n’eſt pas moindre, N’ayant pû vous venger ie vous iray reioindre, Mais ſi fumante encor d’vn genereux couroux, Par vn trépas ſi noble & ſi digne de vous, Que d’abord ſon éclat vous fera recognoiſtre Le ſang des grands Heros dont vous m’auez fait naiſtre.	Si l'effet a manqué, ma gloire n'est pas moindre, N'ayant pu vous venger quelque vous irai rejoindre, Mais si fumante encor d'un généreux courroux, Par un trépas si noble et si digne de vous, Que 'abord son éclat vous fera reconnaître Le sang des grands Héros dont vous m'avez fait naître.
SCENE V.	SCÈNE V.
MAXIME, ÆMILIE, FVLVIE.	MAXIME, ÆMILIE, FULVIE.
ÆMILIE.	NEMILIE.
Jais ie vous voy, Maxime, & l’on vous faiM foit mort!	Jais ie vous vois, Maxime, et l'on vous faiM soit mort!
MAXIME.	MAXIME.
Euphorbe trompe Auguſte auec ce faux rapport, Se voyant arreſté, la trame découuerte, Il a feint ce trépas pour empeſcher ma perte.	Euphorbe trompe Auguste avec ce faux rapport, Se voyant arrêté, la trame découverte, Il a feint ce trépas pour empêcher ma perte.
ÆMI	NEMI
ÆMILLE.	ÆMILLE.
Que dit-on de cinna?	Que dit-on de cinna?
MAXIME.	MAXIME.
Que ſon plus grand regret Eſt de voir que Céſar ſçait tout voſtre ſecret, En vain il le dénie & le veut mécognoiſtre, Euandre à toue conte pour exeuier ion maiſtre, Et par l’ordre d’Auguſte on vient vous arreſter.	Que son plus grand regret Est de voir que César sçait tout votre secret, En vain il le dénie et le veut méconnaître, Euandre à toue compte pour exévier ion maître, Et par l'ordre d'Auguste on vient vous arrêter.
ÆMILIE.	NEMILIE.
Celuy qui l’a receu tarde à l’executer, Ie ſuis preſte à le ſuiure, & laſſe de l’attendre,	Celui qui l'a reçu tarde à l'exécuter, Je suis prête à le suivre, et lasse de l'attendre,
MAXIME.	MAXIME.
Il vous attend chez moy.	Il vous attend chez moi.
ÆMILIE.	NEMILIE.
Chez vous!	Chez vous!
MAXIME.	MAXIME.
C’eſt vous ſurprendre, Mais aprenez le ſoin que le Ciel a de vous, C’eſt vn des cõiurez qui va fuyr auec nous (ſuiue, Prenons noſtre auantage auarit qu'on lous pourNous auons vn vaiſſeau tout preſt deſſus la riue.	C'est vous surprendre, Mais apprendre le soin que le Ciel a de vous, C'est un des cõiurez qui va fuir avec nous (suive, Prenons avantage avantage avarit qu'on lous pourNous avons un vaisseau tout prêt dessus la rive.
ÆMILIE.	NEMILIE.
Me cognois-tu, Maxime, & ſçais-tu qui ie ſuis?	Me connais-tu, Maxime, et sais-tu qui tu suis?
MAXIME.	MAXIME.
En faueur de Cinna ie fais ce que ie puis, Et tâche à garantir de ce mal-heur extréme La plus belle moitié qui reſte de luy-meſme.	En faveur de Cinna ie fais ce que je puis, Et tâche à garantir de ce malheur extrême La plus belle moitié qui reste de lui-même.
Sauuons-nous Æmilie, & conſeruons le iour Afin de le venger par vn heureux retour.	Sauvons-nous 7ilie, et conservons le jour Afin de le venger par un heureux retour.
MAXIME.	MAXIME.
ſuiureCinna dans ſon mal-heur eſt de ceux qu’il faut Qu’il ne faut pas venger de peur de leur ſuruiure:	suivreCina dans son malheur est de ceux qu'il faut Qu'il ne faut pas venger de peur de leur survivre:
Quiconque apres ſa perte aſpire à ſe ſauuer, Eſt indigne du iour qu’il tâche à conſeruer.	Quiconque après sa perte aspire à se sauver, Est indigne du jour qu'il tâche à conserver.
MAXIME.	MAXIME.
Quel deſeſpoir aueugle à ces fureurs vous porte?	Quel désespoir aveugle à ces fureurs vous porte?
C 5 O Dieux?	Ç 5 Ô Dieux?
O Dieux!	Ô Dieux!
que de foibleſſe en vne ame ſi forte!	que de faiblesse en une âme si faiblesse!
Ce cœur ſi genereux rend ſi peu de combat, Et du premier reuers la fortune l’abat!	Ce cœur si généreux rend si peu de combat, Et du premier revers la fortune l'abat!
Rappelez, rappelez cette vertu ſublime, Ouurez en fin les yeux & cognoiſſez Maxime, C’eſt vn autre Cinna qu’en luy vous regardez, Le Ciel vous rend en luy l’amant que vous perdez, Et puiſque l’amitié n’en faiſoit plus qu’vne ame, Aymez en cet amy l’obiet de voſtre flame:	Rappelez, rappelez cette vertu sublime, Ouvrez en fin les yeux et connaissez Maxime, C'est un autre Cinna qu'en lu vous regardez, Le Ciel vous rend en avait l'amant que vous perdez, Et puisque l'amitié n'en faisait plus qu'une âme, Aïmez en cet ami l'objet de votre flamme:
Auec la meſme ardeur il ſçaura vous cherir Que.	Avec la même ardeur il saura vous chérir Que.
ÆMILIE.	NEMILIE.
Tu m’oſes aymer, & tu n’oſes mourir!	Tu m'oses aimer, et tu n'oses mourir!
Tu pretends vn peu trop, mais quoy que tu pretendes, Rends-toy digne du moins de ce que tu demãdes, Ceſſe de fuyr en lâche vn glorieux trépas, Ou de m’offrir vn cœur que tu fais voir ſi bas;	Tu prétends un peu trop, mais quoi que tu prétendes, Rends-toi digne du moins de ce que tu demandes, Cesse de fuir en lâche un glorieux trépas, Ou de m'offrir un cœur que tu fais voir si bas;
Fay que ie porte enuie à ta vertu parfaite, Ne te pouuant aymer fay que ie te regrette, Monſtre d’vn vray Romain la derniere vigueur, Et merite mes pleurs au defaut de mon cœur.	Fais que seulement porte envie à ta vertu parfaite, Ne te pouvant aimer fais que sans te regrette, Montre d'Han nay Romain la dernière vigueur, Et mérite mes pleurs au défaut de mon cœur.
Quoy?	Quoi?
ſi ton amitié pour Cinna t’intereſſe, Croi-tu qu’elle conſiſte à flater ſa maiſtreſſe?	si ton amitié pour Cinna -tinteresse, Croi-tu qu'elle consiste à flatter sa maîtresse?
Aprens, aprens de moy quel en eſt le deuoir, Et donne m’en l’exemple, ou vien le reçeuoir.	Apprends, apprends de moi quel en est le devoir, Et donne m'en l'exemple, ou viens le recevoir.
MAXIME.	MAXIME.
Noſtre ſuſte douleur ent tiop lupeeueure.	Notre suste douleur ent tiop lupeeueure.
ÆMILIE.	NEMILIE.
La tienne en ta faueur eſt trop ingenieuſe, Tu me parles deſià d’vn bien-heureux retour, Et dans tes déplaiſirs tu conçois de l’amour!	La tienne en ta faveur est trop ingénieuse, Tu me parles déjà d'un bienheureux retour, Et dans tes déplaisirs tu conçois de l'amour!
MAXIME.	MAXIME.
Cét amour en naiſſant eſt toutefois extréme, C’eſt voſtre amant en vous, c’eſt mon amy que i’ayme, Etues menes ardeurs uont Mruttubrare.	Cet amour en naissant est toutefois extrême, C'est votre amant en vous, c'est mon ami que j'aime, Etues menes ardeurs uont Mrutubrare.
a	a
ÆMILIE.	NEMILIE.
Maxime, en voilà trop pour vn homme aduiſé, Ma perte m’a ſurpriſe & ne m’a point troublée, Mon noble deſeſpoir ne m’a point aueuglée, Ma vertu toute entiere agit ſans s’émouuoir, Et ie voy malgré moy plus que ie ne veux voir.	Maxime, en voilà trop pour un homme avisé, Ma perte m'a surprise et ne m'a point troublée, Mon noble désespoir ne m'a point aveuglée, Ma vertu toute entière agit sans s'émouvoir, Et ie un malgré moi plus que sans ne veux voir.
M AAIMI.	M MAIMI.
Quoy?	Quoi?
vous ſuis-ie ſuſpect de quelque perfidie?	vous suis-je suspect de quelque perfidie?
ÆMILIE.	NEMILIE.
Ouy, tu l’es, puiſque en fin tu veux que ie le die, L’ordre de noſtre fuite eſt trop bien concerté Pour ne te ſoupçonner d’aucune lâcheté, (cles.	Oui, tu l'es, puisque en fin tu veux que sans le die, L'ordre de notre fuite est trop bien concerté Pour ne te soupçonner d'aucune lâcheté, (cles.
Les Dieux ferorent pour nous prodigues en miraS’ils en auoient ſans loy leué tous les obſtacles.	Les Dieux ferorent pour nous prodigues en miraSils en avaient sans loi leué tous les obstacles.
ruy lalis ioy, tes amours ſont icy ſuperflus.	rui lalis ici, tes amours sont ici superflus.
MAXIME.	MAXIME.
Ah!	Ah!
vous m’en dites trop.	vous m'en dites trop.
ÆMILIE.	NEMILIE.
I’en preſume encor plus, Ne cruim puu eouterois que reclate en mnures, Mais n’eſpere non plus m’éblouir de pariures;	J'en présume encor plus, Ne cruim pu eouterais que réclate en minures, Mais n'espère non plus m'éblouir de parjures;
rc'ent te raie tort que de me defier, Vien mourir auec moy pour te iuſtifier.	renc'ent te raie tort que de me défier, Viens mourir avec moi pour te justifier.
MAXIME.	MAXIME.
Viuez, belle Æmilie, & ſouffrez qu’vn eſclaue.	Vivez, belle Æmilie, et souffrez esclaue.
AEHIETE.	AEHIETE.
Ie ne t’écoute plus qu’en preſence d’Octaue Allons, Fuluie, allons.	Je ne t'écoute plus qu'en présence d'Octave Allons, Fuluie, allons.
SCENE VI.	SCÈNE VI.
MAXIME.	MAXIME.
Deſeſperé, confus, Et digne, s’il ſe peut, d’vn plus cruël refus, Que reſous-tu, Maxime, & quel eſt le ſupplice Que	Désespéré, confus, Et digne, s'il se peut, d'elle plus cruel us, Que résous-tu, Maxime, et quel est le supplice Que
Que ta vertu prepare à ton vain artifice?	Que ta vertu prépare à ton vain artifice?
Aucune illuſion ne te doit plus flater, Æmilie en mourant va tout faire éclater, Sur vn meſme échaffaut la perte de ſa vie Eſtalera ſa gloire & ton ignominie, Et porte auec ſon nom à la poſterité L’infame ſouuenir de ta déloyauté.	Aucune illusion ne te doit plus flatter, Æmilie en mourant va tout faire éclater, Sur un même échaffaut la perte de sa vie Étalera sa gloire et ton ignominie, Et porte auec un nom à la postérité L'infâme souvenir de ta déloyauté.
Vn meſme iour t’a veu par vne fauſſe adreſſeTrahir ton ſouuerain, ton amy, ta maiſtreſſe, Sans que de tant de droits en vn iour violez, Sans que de deux amans an tyran immolez Il te reſte autre fruit que la bonte & la rage Qu’vn remords inutile allume en ton courage, Euphorbe, c’eſt l’effet de tes lâches conſeils, Mais que peut-on attendre auſſi de tes pareils?	Un même jour t'a vu par une fausse adresseTrahir ton souverain, ton ami, ta maîtresse, Sans que de tant de droits en un jour violez, Sans que de deux amants an tyran immolés Il te reste autre fruit que la bonté et la rage Qu'un remords inutile allume en ton courage, Euphorbe, c'est l'effet de tes lâches conseils, Mais que peut-on attendre aussi de tes pareils?
Iamais vn affranchy n’eſt qu’vn eſclaue infame, Et pour changer d’eſtat il ne change point d’ame, La tienne encor ſeruile auec la liberté N’a pu prendre vn rayon de generoſité:	Jamais un affranchi n'est qu'un esclave infâme, Et pour changer d'état il ne change point d'âme, La tienne encor servile avec la liberté N'a pu prendre un rayon de générosité:
Tu m’as fait releuer vne iniuſte puiſſance, Tu m’as fait démentir l’honneur de ma naiſſance, Mon cœur te reſiſtoit & tu l’as combatu Iuſqu’à ce que ta fourbe ait ſoüillé ſa vertu, Il m’en couſte la vie, il m’en couſte la gloire, Et i’ay tout merité pour t’auoir voulu croire.	Tu m'as fait relever une injuste puissance, Tu m'as fait démentir l'honneur de ma naissance, Mon cœur te résistait et tu l'as combattu Iusqu'à ce que ta fourbe ait souillé sa vertu, Il m'en coûte la vie, il m'en coûte la gloire, Et j'ai tout mérité pour t'avoir voulu croire.
Mais les Dieux permettront à mes reſſentimens De te ſacrifier aux yeux des deux amans, Et i’oſe m'aiſeurer qu’en depit de mon crime Mon ſang leur ſeruira d’aſſez pure victime, Si dans le tien mon bras iuſtement irrité Peut lauer le forfait de t’auoir écouté.	Mais les Dieux permettront à mes ressentiments De te sacrifier aux yeux des deux amants, Et j'ose m'aiseurer qu'en dépit de mon crime Mon sang leur servira d'assez pure victime, Si dans le tien mon bras justement irrité Peut lauer le forfait de t'avoir écouté.
Fin du quatriéme Acte.	Fin du quatrième Acte.
ACTE	ACTE
TRAGEDIE.	TRAGÉDIE.
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
AVGVSTE, CINNA.	AUGUSTE, CINNA.
AVGVSTE.	AUGUSTE.
trens vn ſiege, Cinna, prens, & ſur toute choſe Obſerue exactement la loy que ie t’impoſe.	trends un siège, Cinna, prends, et sur toute chose Observe exactement la loi que tu t'impose.
diſcours, Preſte ſans me troubler l’oreille à mes D’aucun mot, d’aucũ cry n’en interromps le cours, Tien ta langue captiue, & ſi ce grand ſilence Antonemotion fait queique violence, Tu pourras me reſpondre apres tout à loiſir, sur ce point ſeulement contente mon deſif.	discours, Preste sans me troubler l'oreille à mes D'aucun mot, d'aucun cri n'en interromps le cours, Tien ta langue captive, et si ce grand silence Antonemotion fait que violence, Tu as me répondre après tout à loisir, sur ce point seulement contente mon désif.
CINNA.	CINNA.
Ie vous obeïray, Seigneur?	Je vous obéirai, Seigneur?
AVGVSTE.	AUGUSTE.
Qu’il te ſouuienne De garder ta parole, & ie tiendray la mienne.	Qu'il te souvienne De garder ta parole, et apprendre tiendrai la mienne.
Tu vois le iour, Cinna, mais ceux dont tu le tiens Furent les ennemis de mon pere & les miens, Ce fut dedans leur camp que tu pris la naiſſance, Et quand apres leur mort tu vins en ma puiſſance, Leur haine hereditaire ayant paſſé dans toy T’auoit mis à la main les armes contre moy.	Tu vois le jour, Cinna, mais ceux dont tu le tiens Furent les ennemis de mon père et les miens, Ce fut dedans leur camp que tu pris la naissance, Et quand après leur mort tu vins en ma puissance, Leur haine héréditaire ayant passé dans toi T'avait mis à la main les armes contre moi.
Tu fus mon ennemy meſme auant que de naiſtre, Et tu le fus encor quand tu me pûs cognoiſtre, Et le ſang t’ayant fait d’vn contraire party Ton inclination ne l’a point démenty.	Tu fus mon ennemi même avant que de naître, Et tu le fus encor quand tu me pus connaître, Et le sang t'ayant fait d'un contraire parti Ton inclination ne l'a point démenti.
Comme elle l’a ſuiuy, les effets l’ont ſuiuie, Ie ne m’en ſuis vengé qu’en te donnant la vie:	Comme elle l'a suivi, les effets l'ont suivie, Je ne m'en suis vengé qu'en te donnant la vie:
Ie te fis priſonnier pour te combler de biens, Ma Cour fut ta priſon, mes faueurs tes liens,	Je te fis prisonnier pour te combler de biens, Ma Cour fut ta prison, mes faveurs tes liens,
Ie te reſtituay d’abord ton patrimoine, Ie t’enrichis apres des dépoüilles d’Antoine, Et tu ſçais que depuis à chaque occaſion Ie ſuis tombé pour toy dans la profuſion.	Je te restituai d'abord ton patrimoine, Je t'enrichis après des dépouilles d'Antoine, Et tu sais que depuis à chaque occasion Je suis tombé pour toi dans la profusion.
Toutes les dignitez que tu m’as demandées, Ie te les ay ſur l’heure & ſans peine accordées, Ie t’ay preferé meſme à ceux dont les parens Ont iadis dans mon camp tenu les premiers rangs, M’ont conſerué le iour qu’à preſent ie reſpire, Et m’ont de tout leur ſang achepté cet Empire, De la façon en fin qu’auec toy i’ay veſcu Les vainqueurs ſont ialoux du bõ-heur du vaincu.	Toutes les dignités que tu m'as demandées, Je te les ai sur l'heure et sans peine accordées, Je t'ai préféré même à ceux dont les parents Ont jadis dans mon camp tenu les premiers rangs, M'ont conservé le jour qu'à présent ie respire, Et m'ont de tout leur sang acheté cet Empire, De la façon en fin qu'avec toi j'ai vécu Les vainqueurs sont jaloux du bon-heur du vaincu.
Quand le Ciel me voulut en rappelant Mecéne Apres tant de trauaux monſtrer vn peu de haine, Ie te donnay ſa place en ce triſte accident Et te fis apres luy mon plus cher confident.	Quand le Ciel me voulut en rappelant Mecéne Après tant de travaux montrer un peu de haine, Je te donnai sa place en ce triste accident Et te fis après avoir mon plus cher confident.
Auiourd’huy meſme encor mon ame irreſoluë Me preſſant de quitter ma puiſſance abſoluë De Maxime & de toy i’ay pris les ſeuls aduis Et ce ſont malgré luy les tiens que i’ay ſuiuis.	Aujourd'hui même encor mon âme irresoluë Me pressant de quitter ma puissance absolue De Maxime et de toi j'ai pris les seuls avis Et ce sont malgré lui es tiens que j'ai suivis.
Bien plus, ce meſme iour ie te donne Æmilie, Le digne obiet des vœux de toute l’Italie, Et qu’ont miſe ſi haut mon amour & mes ſoins Qu’en te couronnant Roy ie t’aurois donné moins.	Bien plus, ce même iour ie te donne Æmilie, Le digne obiet des vœux de toute Italie, Et ont mise si haut mon amour et mes Bien Plus, ce même Jo ur taurois donne moins.
gloire Tu t’en ſouuiens, Cinna, tant d’heur & tant de Ne peuuent pas ſi toſt ſortir de ta memoire, Mlais ce qu’on ne pourront lamais s’Mmaginer, Cinna, tu t’en ſouuiens & veux m’aſſaſſiner.	gloire Tu qu'en souviens, Cina, tant d'heur et tant de Ne peuvent pas si tôt sortir de ta mémoire, Mlais ce qu'on ne pourront lamais s'Unaginer, Cina, tu t'en souviens et veux m'assassiner.
CINNA.	CINNA.
ſtreſſe!	stresse!
Moy, Seigneur, moy que i’euſſe vne ame ſi traiQu’vn ſi lâche deſſeintrr.	Moi, Seigneur, moi que j'eusse une âme si traiQu’un si lâche desseintr.
AVGVSTE.	AUGUSTE.
Tu tiens mal ta promeſſe, Sied toy, ie n’ay pas dit encor ce que ie veux, Tu te iuſtifieras apres ſi tu le peux, Eſcoute	Tu tiens mal ta promesse, Sied toi, je n'ai pas dit encor ce que ie veux, Tu te iustifieras après si tu le peux, Écoute
Eſcoute cependant & tien mieux ta parole.	Écoute cependant et tien mieux ta parole.
Tu veux m’aſſaſſiner, demain, au Capitole, Pendant le ſacrifice, & ta main pour ſignal Me doit au lieu d’encens donner le coup fatal:	Tu veux m'assassiner, demain, au Capitole, Pendant le sacrifice, et ta main pour signal Me doit au lieu d'encens donner le coup fatal:
La moitié de tes gens doit occuper la porte, L’autre moitié te ſuyure & te preſter main forte Aſſeurée au beſoin du ſecours des premiers, Te diray-ie les noms de tous ces meurtriers?	La moitié de tes gens doit occuper la porte, L'autre moitié te suivre et te prêter main forte Assurée au besoin du secours des premiers, Te dirai-je les noms de tous ces meurtriers?
Procule, Glabrion, Virginian, Rutile, Marcel, Plaute, Lenas, Pompone, Albin, Icile, Maxime qu’apres toy i’auois le plus aymé;	Procule, Glabrion, Virginian, Rutile, Marcel, Plaute, Lenas, Pompone, Albin, Icile, Maxime qu'après toi j'avais le plus aimé;
Le reſte ne vaut pas l’honneur d’eſtre nommé, Vn tas d’homme perdus de debtes & de crimes Que preſſent de mes loix les ordres legitimes, Et qui deſeſperant de les plus éuiter Si tout n’eſt renuerſé ne ſçauroient ſubſiſter.	Le reste ne vaut pas l'honneur d'être nommé, Un tas d'homme perdus de ttes et de crimes Que pressent de mes lois les ordres légitimes, Et qui désespérant de les plus éviter Si tout n'est renversé ne sauraient subsister.
Tu te tais maintenant & gardes le ſilence Plus par confuſion que par obeïſſance.	Tu te tais maintenant et gardes le silence Plus par confusion que par obéissance.
Quel eſtoit ton deſſein, & que pretendois-tu Apres m’auoir au temple à tes pieds abbatu?	Quel était ton dessein, et que prétendais-tu Après m'avoir au temple à tes pieds abattu?
Affranchir ton pays d’vn pouuoir Monarchique?	Affranchir ton pays d'être pouvoir Monarchique?
Si i’ay bien entendu tantoſt ta Politique, Son ſalut deſormais dépend d’vn Souurain Qui pour tout conſeruer tienne tout en ſa main, Et ſi ſa liberté te faiſoit entreprendre Tu ne m’euſſes iamais empeſché de la rendre, Tu l’aurois acceptée au nom de tout l’Eſtat Sans vouloir l’acquerir par vn aſſaſſinat.	Si j'ai bien entendu tantôt ta Politique, Son salut désormais dépend d'un Souvrain Qui pour tout conserver tienne tout en sa main, Et si sa liberté te faisait entreprendre Tu ne m'eusses jamais empêché de la rendre, Tu l'aurais acceptée au nom de tout l'État Sans vouloir l'acquérir par un assassinat.
Quel eſtoit donc ton but?	Quel était donc ton but?
d’y regner en ma place?	d'y régner en ma place?
D’vn eſtrange mal-heur ſon deſtin le menace Si pour monter au trône & luy donner la loy Tu ne trouues dans Rome autre obſtacle que moy, Si iuſques à ce point ſon ſort eſt déplorable Que tu ſois apres moy le plus conſiderable, Et que ce grand fardeau de l’Empire Romain Ne puiſſe apres ma mort tomber mieux qu’en ta	D'un étrange malheur son destin le menace Si pour monter au trône et avoir donner la loi Tu ne trouves dans Rome autre obstacle que moi, Si jusques à ce point son sort est déplorable Que tu sois après moi le plus considérable, Et que ce grand fardeau de l'Empire Romain Ne puisse après ma mort tomber mieux qu'en ta
Aprens à te cognoiſtre, & deſcens en toy-meſme.	Apprends à te connaître, et descends en toi-même.
On t’honore dãs Rome, on te courtiſe, on t’ayme, Chacun tremble ſous toy, chacun t’offre des vœux, Tafortune eſt bien haut, tu peux ce que tu veux, Mais en vn triſte eſtat on la verroit reduite Si ie t’abandonnois à ton peu de merite.	On t'honore dans Rome, on te courtise, on t'aime, Chacun tremble sous toi, chacun t'offre des vœux, Tafortune est bien haut, tu peux ce que tu veux, Mais en un triste état on la verrait réduite Si te t’abandonnais à ton peu de mérite.
Oſe me démentir, dy moy ce que tu vaux, Conte-moy tes vertus, tes glorieux trauaux, Les rares qualitez par où tu m’as deu plaire, Et tout ce qui t’éleue au deſſus du vulgaire.	Ose me démentir, dis -moi ce que tu vaux, Conte-moi tes vertus, tes glorieux travaux, Les rares qualités par où tu m'as du plaire, Et tout ce qui t'ève au dessus du vulgaire.
Ma faueur fait ta gloire, & ton pouuoir en vient, Elle ſeule t’eleue, & ſeule te ſouſtient, C’eſt elle qu’on adore & non pas ta perſonne, Tu n’as credit ny rang qu’autant qu’elle t’en donne, Et pour te faire choir ie n’aurois auiourd’huy Qu’à retirer la main qui ſeule eſt ton appuy.	Ma faveur fait ta gloire, et ton pouvoir en vient, Elle seule t'élever, et seule te soutient, C'est elle qu'on adore et non pas ta personne, Tu n'as crédit Seigneur rang qu'autant qu'elle t'en donne, Et pour te faire choir quelque n'aurais aujourd'hui Qu'à retirer la main qui seule est ton appui.
I’ayme mieux toutefois ceder à ton enuie, Regne, ſi tu le peux, aux dépens de ma vie, Mais oſes-tu penſer que les Seruiliens, Les Coſſes, les Metels, les Pauls, les Fabiens, Et tant d’autres en fin de qui les grands courages Des Heros de leur ſang ſont les uiues images, Quittent le noble orgueil d’vn ſang ſi genereux.	J'aime mieux toutefois céder à ton envie, Reine, si tu le peux, aux dépens de ma vie, Mais oses-tu penser que les Serviliens, Les Cosses, les Métels, les Pauls, les Fabiens, Et tant d'autres en fin de qui les grands courages Des Héros de leur sang sont les uives images, Quittent le noble orgueil d'un sang si généreux.
Iuſqu’à pouuoir ſouffrir que tu regnes ſur eux?	Jusqu'à pouvoir souffrir que tu régnès sur eux?
Parle, parle, il eſt temps.	Parle, parle, il est temps.
CINNA.	CINNA.
Ie demeure ſtupide, Non que voſtre colere ou la mort m’intimide, Ie voy qu’on m’a trahy, vous m’y voyez reſuer, Et i’en cherche l’autheur ſans le pouuoir trouuer.	Je demeure stupide, Non que votre colère ou la mort m'intimide, Je vois qu'on m'a trahi, vous m'y voyez rêver, Et j'en cherche l'auteur sans le pouvoir trouver.
Cette ſtupidité s’eſt en fin diſſipée, Seigneur, ie ſuis Romain, & du ſang de Pompée, Le pere & les deux fils lâchement égorgez, Par la mort de Céſar eſtoient trop peu vengez.	Cette stupidité s'est en fin dissipée, Seigneur, tu suis Romain, et du sang de Pompée, Le père et les deux fils lâchement égorgez, Par la mort de César étaient trop peu vengez.
C’eſt C’eſt là d’vn beau deſſein l’illuſtre & ſeule cauſe, Et puiſqu’à vos rigueurs la trahiſon m’expoſe, N’attendez point de moy d’infames repentirs, D’inutiles regrets, ny de honteux ſoûpirs;	C'est C'est là d'vn beau dessein l'illustre et seule cause, Et puisqu'à vos rigueurs la trahison m'expose, N'attendez point de moi d'infâmes repentirs, D'inutiles regrets, ni de honteux soupirs;
Le ſort vous eſt propice autant qu’il m’eſt contraire, Ie ſçay ce que i’ay fait & ce qu’il vous faut faire.	Le sort vous est propice autant qu'il m'est contraire, Je sais ce que j'ai fait et ce qu'il vous faut faire.
v ouo deder vnesempiea nponence;	v ouo deder unesempiea nonence;
Et mon trépas importe à voſtre ſeureté.	Et mon trépas importe à votre sûreté.
AVGVSTE.	AUGUSTE.
Tu me braues, Cinna, tu fais le magnanime, Et loin de t’excuſer tu couronnes ton crime.	Tu me braves, Cinna, tu fais le magnanime, Et loin de t'excuser tu couronnes ton crime.
Voyons ſi ta conſtance ira iuſques au bout.	Voyons si ta constance ira jusques au bout.
Tu içais ce qui t'ert deu, tu vois que leſçay toue, Fay ton arreſt toy-meſme, & choiſy tes ſupplices.	Tu içais ce qui t'ert dev, tu vois que lesçai toue, Fais ton arrêt toi-même, et choisi tes supplices.
DOHNE II.	DOHNE II.
AVGVSTE, LIVIE, CINNA, ÆMILIE, FVLVIE.	AUGUSTE, LIVIE, CINA, ÊMILIE, FULVIE.
LIVIE.	LIVIE.
Jous ne cognomien pas encor tous les cõplices, V Voſtre Æmilie en eſt, Seigneur, & la voicy.	Jous ne connomien pas encor tous les complices, V Otre „milie en est, Seigneur, et la voici.
CINNA.	CINNA.
C’eſt elle-meſme, ô Dieu!	C'est elle-même, ô Dieu!
have va lu Et toy, ma fille, auſſil	have va lu Et toi, ma fille, auxussil
ÆMILIE.	NEMILIE.
Ouy, Seigneur, du deſſein ie ſuis la ſeule cauſe, C’eſt pour moy qu’il conſpire, & c’eſt pour moy AVGVSTE.	Oui, Seigneur, du dessein ie suis la seule cause, C'est pour moi qu'il conspire, et c'est pour moi AUGUSTE.
qu’il oſe.	qu'il ose.
Qu’oy!	Qu'oi!
l’amour qu’en ton cœur i’ay fait naiſtre auiourd’huy T’emporte-t’il deſia iuſqu’à mourir pour luy?	l'amour qu'en ton cœur j'ai fait naître aujourd'hui T'emporte-t-il déjà jusqu'à mourir pour mieux?
Ton ame à ces trãſports vn peu trop s’abandonne, Et c’eſt trop toſt aymer l’amant que ie te donne.	Ton âme à ces transports un peu trop s'abandonne, Et c'est trop tôt aimer l'amant que personne te donne.
ÆMILIE.	NEMILIE.
Cet amour qui m’expoſe à vos reſſentimens N’eſt point le prompt effet de vos commandemẽs, Ces flames dans nos cœurs dés long-temps eſtoient nées, Et ce ſont des ſecrets de plus de quatre années.	Cet amour qui m'expose à vos ressentiments N'est point le prompt effet de vos commandements, Ces flammes dans nos cœurs dès longtemps étaient nées, Et ce sont des secrets de plus de quatre années.
Mais quoy que ie l’aymaſſe & qu’il brûlaſt pour Vne haine plus forte à tous deux fit la loy, (moy, Ie ne voulus iamais luy donner d’eſperance Qu’il ne m’euſt de mon pere aſſeuré la vengeance, Ie la luy fis iurer, il chercha des amis, Le Ciel rompt le ſuccez que ie m’eſtois promis, Et ie vous viens, Seigneur, offrir vne victime, Noh pour ſauuer ſa vie en me chargeant du crime, Son trépas eſt trop iuſte apres ſon attentat, Et toute excuſe eit vainle en vi criiile d’Eſtat:	Mais quoi que ie l'aimasse et qu'il brûlât pour V aine plus forte à tous deux fit la loi, (moi, Je ne voulus jamais avoir donner d'espérance Qu'il ne m'eût de mon père assuré la vengeance, Je la lui fis jurer, il chercha des amis, Le Ciel rompt le succès que impense étais promis, Et je vous viens, Seigneur, offrir une victime, Noh pour sauver sa vie en me chargeant du crime, Son trépas est trop juste après son attentat, Et toute excuse eit vainle en vi criile d'État:
Mourir en ſa preſence & reioindre mon pere C’eſt tout ce qui m’améne & tout ce que i’eſpere.	Mourir en sa présence et rejoindre mon père C'est tout ce qui m'amène et tout ce que j'espère.
AVGVSTE.	AUGUSTE.
Iuſques à quand, ô Ciel, & par quelle raiſon Prendrez-vous contre moy des traits dans ma maiſon?	Jusqu' à quand, ô Ciel, et par quelle raison Prendrez-vous contre moi des traits dans ma maison?
Pour ſes débordemens i’en ay chaſſé Iulie, Mon amour en ſa place a fait choix d’Æmilie, Et ie la voy comme elle indigne de ce rang, (ſang, L’vne m’oſtoit l’honneur, l’autre a ſoif de mon Et prenant toutes deux leur paſſion pour guide L’vne fut impudique & l’autre eſt parricide.	Pour ses débordements j'en ai chassé Julie, Mon amour en sa place a fait choix d’ Aimilie, Et iela mme comme elle indigne de ce rang, (sang, L'une m'osait l'honneur, l'autre a soif de mon Et prenant toutes deux leur passion pour guide L'une fut impudique et l'autre est parricide.
