RRII I TRAGEDIE.	RRII I TRAGÉDIE.
aduiſez mon ceur, à ne l'y ruettre plus, Car telles geras que luy ſent en co diſſelus.	avisez mon cœur, à ne l'y ruettre plus, Car telles géras que lui sent en co disselus.
Hermione.	Hermione.
Cecππετος τς temez votις vne ielle pareles Crairiez-vers tien, Nervrice, Heruione ſi ſelle, Qu elle verle,ſei.	Cecππετος , temez vot pré vers pareles Chrairiez-vers tien, Nervrice, Heruione si selle, Quel elle verle,sei.
amais, per aimer ce crud, Perdre leſexeair delποπν πασηd Qu' dts ponte à Oreſte, & T'Oretluy portel Plr, ſl rour raeinienar paiſli-ie iondbermorto Que de faire vu te tort à mon leyal ataru, Es flustoſt Iapirer paiſſe preſeruemere.	amais, per aimer ce crud, Perdre lesexeair delποπν vert Qu' prés ponte à Oreste, et T'Oretlui portel Pleur, sl rour aeinienar paili-je iondermorto Que de faire vu te tort à mon ley atalaru, Es flustost Japirer paisse preseruemere.
Dhbraς ronge de ſin dilaſther ſen pornerre, Aſu de n'enuoyer cent pids deſſins la terre.	Dhbraς ronge de sin dilâther sen pornerre, Asu de n'envoyer cent pids dessins la terre.
Lez ieurs δeuicdrorit nuits, les nαits deicdνens iouni, Les ſlrmmes argauirs rebruſſirers leuos cccus, L’ede derüendra ſeiche, &y la terre liquide:	Lez ijeurs δeuicdrorit nuits, les nœits deicdνens jouni, Les slrmêmes argavirs rebrussirers luos ccus, L'ede deruendra seiche, eti la terre liquide:
Laſeure ſera cherd, & l'air ne ſers vnids, Aref nextmer.	Lasure sera cherd, et l'air ne sers unids, Arref nexter.
dera cu la ceuſiiſon Deſon precier chæos, deet que ceſcmo, Ce fier, cet arrogant, que ie hais coxme peſt, Mun aan ms abmr eim A mon ſuonHit.	dera cv la ceusiison Deson précier chæos, deet que cescémo, Ce fier, cet arrogant, que ici hais coxme pest, Mun aan ms abr eim A mon suonHit.
Nourrice.	Nourrice.
Etie iu'ay gerde αi dις veς le cenſeillei:	Etie ju'ai gerde le censeillei!
Mais ie dis qu’il vous faus ſeiν plus diſdc ler Puur an pers veſire cer, aſir qu il ſe comeut, de cinmenoumdousdnnalenmuim.	Mais petit dis qu'il vous faus seième plus disdire Puvr an persan vesire cer, asir qu' il se comçut, de cinmenoumdousdnnalenmuim.
Qnel que celleue ſu veus.	Quel que celleue su vus.
C'eſt perſois le flus ſers.	C'est persois le flus sers.
De cachar vapetu ce qu'enaſurlecour.	De cachar vapetu ce qu'enasurlecour.
Hermione.	Hermione.
Nonil ne ſara enc que moucerer ie diguiſe:	Nonil ne sara enc que moucerer Seigneur diguise:
Rue le crains en rien, quil iaupeſte, q'il briſe, Qu il ſace deſſuς ταογ ιοκοεη ρi αιl par, Si eſt.	Re le crains en rien, quil jaupeste, qil brise, Qu' il sace dessu ταογ ιοκοεη par, Si est.
ex aræeius queiæmais il n’aura Vu dexr prapas de rucy uon pas meſie par fauut, Taus adeſt ſuacs, o deluy ron de crinm.	ex aræéius queiæmais il n'aura Vu dexr prappas de ruci uon pas mesie par favut, Taus adest sucs, ô delui ron de crinm.
Pylade, Oreſte.	Pylade, Oreste.
Ix Meſſager, Macaré.	Ix Messager, Macaré.
Pylade.	Pylade.
lex αύτεπηςς αα cιεl εὰ ιοσειοyε aboιdς PEt iuſles geumerteez les cmres de ce monde, Pur vaſtre preciidence admινable en effets, Puiſeris à puirs reglé, noperſorteceſaiu, 12 Iin que nous auenglez dedans leur canſe ibſcurs, Les peußrar lim ſecuens ſe ſaire à lauemurs.	lex αύτεπηςς cιεl ιοσειοyε aboιdς PEt iusles geumerteez les cmres de ce monde, Pur vastre preciidence admινable en effets, Puiseris puirs reglé, nopersortecesaiu, 12 que nous auenglez dedans leur canse ibscurs, Les peussrar lim secuens se zaïre le.
Lieux qui ſaites regner la inſeice icy ls, Le iuſtes conſeraart ſeuis l'aiſte davos bns, Vous nrus voyez ariaez pour venger l’ininſlics, Que vailre maieſte nomus daiguc eſtre preſice, Faiſass que nors rœettions ecchiy ſeuis l'.	Lieux qui saites régner la inseice ici l, Le iustes conseraart sévis l'aite davos banns, Vous nrus voyez aria pour venger l'ininslics, Que vailère maieste nomus daiguc quelque presice, Faisass que nors rœétions ecchi sévis l'.
Acherec Ce ræriſſerax de ſemm & deſtsyal larron, Qui mepriſe les loix, & ſrperbaueut penſe Que la grandeur d'un Prince & Royale pœiſſancs Conſiſtt à ſaire à tort, eu à dreit, ce qu’on vent, Et que noni ſeil licie à celuy cui le pruu.	Achrec Ce rærisserax de semm et destsal larron, Qui méprise les lois, et srperbaveut pense Que la grandeur d'un Prince et Royale pœissancs Consist à zaïre à tort, eu à dreit, ce qu'on vent, Et que noni seil licie à celui y le pru.
Et toy grand Iurirer, dec la pœiſſan ce ſure Al muſours æn caſtt Theuis la iuſliciere En egele bælance, & veux que les grandr Reis Cpriæent tecs ainſi leur pourioir ſous les lois.	Et toi grand Jurirer, déc la pœissan ce sûre Al musours æn cast Theuis la juslicière En égle blance, et veux que les grand Reis Cpriæent tecs ainsi leur pourrait sous les lois.
Daemne mcy que vengeaus l'auuhorité fdloncDe ce fier Scyrien ie recouure Herncione, Qui ſdetole inſticeà Oreſte appeniens, Et que ce valerur-cy par force luy retient.	Daemne mci que vengeaus l'auvhorité fdoncDe ce fier Scyrien ie recouvre Hernione, Qui sédetole insticeà Oreste appéniens, Et que ce valerur-cy par force lui retient.
Oreſte.	Oreste.
Qne ſeruene tem de veux, & prieres ſ'imeles Ilſαπ, il ſaus deſei, & nonpeιο depereles, A naſſue arde inmquer la puiſſancdes Dieux.	Qne servène tem de veux, et prières s'imeles Ilsête, il sa desei, et nonpe dépèreles, À nassue arde inmquer la puissancdes Dieux.
Πeσιστδ τuι daηνς epaſſecciau 2 uſbien coume mus, les Dicux inu q& prie.	Πeσιστδ τuι daηνς epassecciau 2 usbien coume mus, les Dicux inu q prie.
Mais c’iſt bien peur neære que nuit fes iecril crie Ea dererrait oiſſ, peur aueir leur ſecours:	Mais c'ist bien peur neære que nuit fes iecril crie Éa dererait oiss, peur ave leur secours:
Daua qà tous ſes cris les Dieux ſe nũſtrenu ſoruds, Pour cene eiſpmetí Les puiſſeces ſuprlrss Vaulens qu'en nous aydant nous nous ¬ydionν nous meſines.	Dava q tous ses cris les Dieux se nũstrenu soruds, Pour cène eispmetí Les puisseces suprlrss Vaulents qu'en nous aidant nous nous ¬ydionν nous mesines.
Pylade.	Pylade.
Pyrrhe à ſea repentis, iuſt, mais trop terdif, Auiorud'hoy ſentira cotame ie ſuis eiſiſ.	Pyrrhe à se repentis, iust, mais trop terdif, Avorud'hoy sentira cotamme ie suis eisis.
Et couxne i'ay la main de pareſſe engourdie.	Et cône j'ai la main de paresse engourdie.
Ne faut pas toutesſois mercher à l’iſlcurdie, En tel fait que cecy, gardous de nous gaſter, Frere, it te ſupplie, en voulaut nout haſler.	Ne faut pas toutessois mercher à l'islcurdie, En tel fait que ceci, gardous de nous gâter, Frère, it te supplie, en voulaut nout hâler.
6B28 Ma celere veus ſemible eſtre trop violente:	6B28 Ma célère vus semible être trop violente:
A moy voſtrs priere, eſttrop froide, trop lenie,	À moi vostrs prière, éttrop froide, trop lénie,
Pylade.	Pylade.
Partans il eſtbeſoin de garder vnmoyen, Ie tres peu, uy le trep ne vælut iæmais ricn.	Partans il estbesoin de garder un, Ie très peu, je très ne vælut iæmais ricn,
Il faut anec raiſen condiuire ſon aſſeire, Et n'eſtre trop rerois, ny auſſi tereraire.	Il faut anec raisen conduire son asseire, Et n'être trop rerais, ni aussi téreraire.
Mauauan, On ne paus en ce ſait marcher trep prormprement.	Mauauan, On ne payus en ce sait marcher trep prormprement.
Ejlades On ne peus en toru fait marcher trop meuxerent.	Ejlades On ne peux en toru fait marcher trop meuxèrent.
Oreſte.	Oreste.
La prerpræ occaſimn, qui ne la prend, r'eſtoigna,	La prêpræ occasimn, qui ne la prend, restoigna,
Pylade.	Pylade.
Elle r'eſlrſſe auſd, Tà trp à cemp l'axpoigre.	Elle reslrsse auxd, Tà trp à cemp l'axpoigre.
u juade.	Ju juade.
La fortone ſouuent trempe les eſtourdis.	La fortone souvent trempe les étourdis.
Oreſte.	Oreste.
Nous auons ià ſi biẽ préuen de quelle ſorte Il y faut proceder, que d’ures dextre forte, Saasm’eſtourdir enrien, ſon ſang ie reſp andray, Et du tort qu’il ma ſait la vengeanos prendray, Ie luy ſeray couſler Hertaione auſſi diere, Qu'eumesfois Polyxene a ccciſte a ſonpere.	Nous avons jà si bien préuen de quelle sorte Il y faut procéder, que d'ures dextre forte, Saasm'étourdir enrien, son sang ie rép andrai, Et du tort qu'il ma sait la vengeanos prendrai, Je lui serai cousler Hertaie aussi dière, Qu'eumesfois Polyxène a cciste à sonpère.
Ledeſtyel qu'il eſt m’a par ſa mauadistil Priné iriquemere de ras chere meitil, Sans quair receu euc de may æucuue iniure:	Ledestyel qu'il est m'a par sa mauadistil Priné iriquemere de ras chère meitil, Sans quair reçu euc de même æucuue injure:
Mais ien’en vengeray, ie proceſte, à uſure.	Mais ien'en vengerai, Seigneur procête, à usure.
Ie ne doruiray paint que ie r’are rendis Men glaine reugiſſant deſon ſang eſpxndu, Et qu'en dix toille lieux la terre n'en ſoit teints, Cær ie luy daneray plus de cent caupr de pairie Autrauers l'eflemxc, encore apres ſa mert, Peur apprendre à tous autre à ne ſaire aucun tort.	Je ne dorvirai paint que ainsi rare rendis Men glaine reugissant des sang épxndu, Et qu'en dix toille lieux la terre n'en soit teints, Cær Seigneur quelques danerai plus de cent caupr de pairie Autravers l'eflexc, encore après sa mert, Peur apprendre à tous autre à ne zaïre aucun tort.
Pylade.	Pylade.
Et gardez qu'au rebours n’aille voſtre pẽrle.	Et gardez qu'au rebours n'aille votre pensrle.
Oreſte.	Oreste.
Laffaire iuſq’icr eſt trop bien cœxmencée.	Laffaire jusque aur est trop bien cœxmencée.
Prlade.	Prlade.
De commencer n'eſt rien ſi la ſin ne j'enſuit.	De commencer n'est rien si la sin ne j'ensuit.
Oreſte.	Oreste.
Et elle s'enſuiura paranant q’il ſois nuis.	Et elle s'ensuivra paranant qil sois nuis.
LLTEe.	LLTEe.
Pous en auez æu meius une grande eſporance,	Pous en avez æu meius une grande esporance,
Oreſte.	Oreste.
Cepraon dreis qui ms donne vne telle aſſeurance,	Cépraon dreis qui mens donne un telle assurance,
Pylade.	Pylade.
Qui ne le couduus bien, le droit eſt prude cas.	Qui ne le couduus bien, le droit est prude cas.
Oreſte.	Oreste.
Iamais n’a proſperd ecluy qui nel'a pas.	Jamais n'a prosperd eclui qui n'a pas.
Pylade.	Pylade.
Inpiapermet pær fois que le rolchant proſpere.	Inpiapermet pær fois que le rolchant prospère.
Oreſte.	Oreste.
Peur l'accalller apres de plus grande miſert.	Pour l'accalller après de plus grande misert.
Pylade.	Pylade.
neſas duiduent mmmmavutoent paddau	nesas duiduent mmmmavutoent paddau
Oreſte.	Oreste.
Ony bien A quelques uns, qui ne Pen vont gandant.	Oni bien À quelques uns, qui ne Pen vont gandant.
Pylade.	Pylade.
Tel penſe eſtre ſoument bien gardí, qui tresbuche.	Tel pense être soument bien gard, qui trébuche.
Oreſte.	Oreste.
Il faus douc que celavienne per quelque embnſcha,	Il faus douc que celavienne per quelque embnscha,
Pylade.	Pylade.
Son par enoicne, ois non, ncautl ſe fait ainſe.	Son par enoine, ois non, nécautl se fait ainse.
Oreſte.	Oreste.
Nous ſoimes quant à nous libres de ceſoucy.	Nous soimes quant à nous libres de cesouci.
Tylade.	Tylade.
Prrrhe veſtre ennemy penſe la meſmechſe.	Prrhe vêtre ennemi pense la mesmechse.
Oreſte.	Oreste.
un PnemammuemquumeNy.	un PnemammuemquumeNi.
Pylade.	Pylade.
Pourfonſmpattu iybun, onpuercraime qu'il aitt?	Pourfonsmpattu icibun, onpuercraime qu'il ait?
Oreſte.	Oreste.
Es pour ſa craime aurams, corme pour le forfait.	Es pour sa craime aurams, corme pour le forfait.
Pylade:	Pylade:
Pour quoy n’auone, nous pas la meſme deffiancel	Pour quoi n'avone, nous pas la même défiancel
eaco.	eaco.
Pour-ce que nous n’auons la meſie conſcience.	Pource que nous n'avons la mesie conscience.
jlauc.	jlauc.
Ies agneis lien ſouuent ſons aux bons preparez.	Jes agneis lien souvent sons aux bons préparés.
Ofeite.	Oféite.
Nous ſonmes des agueis quant à nous aſſeurez.	Nous sonmes des agueis quant à nous assurés.
Pylade.	Pylade.
Qui nous peut aſſeurer d’vne choſe incertaine?	Qui nous peut assurer d'une chose incertaine?
Oreſte.	Oreste.
Ls mor̃t de mon rinal laquelle est ſi prochaine.	Ls morêt de mon rinal laquelle est si prochaine.
Pylade.	Pylade.
Ceull cun quifa-nepmiamn (uelumroun.	Ceull cun quifa-nepmiamn (uelumroun.
Oreſte.	Oreste.
Vous vous froidiſſez trop de craime, quant à vous.	Vous vous froidissez trop de craime, quant à vous.
Pylade.	Pylade.
Quoy eſtimeriez-vous pour choſe que ie die, Que i'ape l’ame en rien de crainte reſoidie?	Quoi estimeriez-vous pour chose que on die, Que j'ape l'âme en rien de crainte résoidie?
Où m’auez-veus connu ſi froid, & ſi remis, A voſtre amouir iamais contre vos ennemis, C'eſt faire un trop grand tort à l'amour ce me ſemble, Qui ſi eſtroitement nous tient liez enſemble, D'eftimer que iamais vostre Prladeſeit:	Où m'avez-vus connu si froid, et si remis, A vôtre amouir jamais contre vos ennemis, C'est faire un trop grand tort à l'amour ce me semble, Qui si étroitement nous tient liés ensemble, D'estimer que jamais votre Préladesit:
As employer pour vous trop remis, my trop froid.	As employer pour vous trop remis, mi trop froid.
Quand le ciel, les enfers, l'air, la mer & la terri Auroyent tous coniuré de vous faire la guerre, On ne me verra oncque Oreſte abandonne, Et i'il vous ſemble bon que nous allons donnerEnſemble à corps perdu iout à cette meſme heure.	Quand le ciel, les enfers, l'air, la mer et la terri Auraient tous conjuré de vous faire la guerre, On ne me verra oncque Oreste abandonne, Et j'il vous semble bon que nous allons donnerEnsemble à corps perdu jusqu' à cette belle heure.
Dans le palais royal, où ce traiſtre demeure:	Dans le palais royal, où ce traître demeure:
Allons, vous me verrez percé de mille coups, Deuant que ie me laſſe à combatre pour vous.	Allons, vous me verrez percé de mille coups, Deuant que je me lasse à combattre pour vous.
puet,ois c’eſt aſin qu'on aduiſe.	puet, c'est asin qu'on avise.
A guider ſagement toute cette entrepriſe, Et en venir pluſtost au deſſus par raiſon, Que de s'auanturer ainſi hors de ſaiſon,	A guider sagement toute cette entreprise, Et en venir plutôt au dessus par raison, Que de s'aventurer ainsi hors de saison,
Oreſte.	Oreste.
Auſuy auonς-πouς deſid donné nl ordre, Que rien ne nous ſçauroit maintenam ſaire rordre, Ny ſaillir au chemin, que nous auons tenu.	Ausui avon esprit aurait donné donné ordre, Que rien ne nous saurait maintenam zaïre rordre, N saillir au chemin, que nous avons tenu.
Nous ſommes arriuez ſans qu’on l’aye connu, Au licu ed̀ l'ennemy, que nous cherchons, reſide:	Nous sommes arrivés sans qu'on l'aie connu, Au licu l'ennemi, que nous cherchons, réside:
Et ſemble que Phœbus à nos deſſeins preſide, Permęttans qu’au complot nous ayons aitint Sen ſacriſicateur le iuſle Macaré.	Et semble que Phœbus à nos desseins préside, Permęttans qu'au complot nous ayons aitint Sen sacrisicateur le jusle Macaré.
C'est luy qui nous a fait ce voyage entreprendre, Pour me venger de Pyrche, en nous faiſant entendre Qu’il vouloit de ſon ayde en tout nous ſccourir:	C'est assez qui nous a fait ce voyage entreprendre, Pour me venger de Pyrche, en nous faisant entendre Qu'il voulait de son aide en tout nous scourir:
Ià par vn meſſager ie l’ay mandé querir, Smeſtonne coument ſiſong temips il ſetourne.	 par messager ie ay mandé par, Un me sisong temips il setourne.
Pylade.	Pylade.
Voicy le meſſager, me ſemble, qui retourne, Et Macarl qui vient auecques luy auſſi.	Voici le messager, me semble, qui retourne, Et Macarl qui vient toujours lui aussi.
Oreſte.	Oreste.
Ie commençois deſià d'entrer en grand ſoucy, Quand i'ay veu le premier Doulon ſans le prophete, Craignant qu’il n’enſt eaprez baillé quelque déſaite Aſin de faire entendre à Pyrrhe nos deſſeins, Es par ſa trahiſon nous liurer en ſes mains.	Je commençais déjà d'entrer en grand souci, Quand j'ai vu le premier Doulon sans le prophète, Craignant qu'il n'en eaprez baillé quelque désaite Asin de faire entendre à Pyrrhe nos desseins, Es par sa trahison nous livrer en ses mains.
Pylade.	Pylade.
Il fait fort dangereux ſe fier à vn traiſtre, Et les deſſeins qu'on fait entre mains luy commettre:	Il fait fort dangereux se fier à un traître, Et les desseins qu'on fait entre mains lui commettre:
Car le traiſtre außi toſt pourra fauſſer ſa foy Emuiers celuy qui taſche à l’attirer à ſoy, Comme enuers cclur-là, duquel il ſaut entendreQu'il veut à noſtre eſgærd la ruine entreprendre.	Car le traître aussi tôt pourra fausser sa foi Emvers celui qui tâche à l'attirer à soi, Comme envers cclur-là, duquel il saut entendreQuil veut à notre égærd la ruine entreprendre.
Ees vanlel ſe enamxaia, Il faut touſiours hayr l’homme traiſtre à poiſon.	Ees vanle se enamxaia, Il faut toujours haïr l'homme traître à poison.
Mais voicy Macaré, qui vers nous s'achemine, Il faut pour i’en ſeruir luy fairt bonne mine.	Mais voici Macaré, qui vers nous s'achemine, Il faut pour j'en servir Il fairt bonne mine.
Le Me ſſager.	Le Me ssager.
Prince Mycenien ſi i'ay plus demeurd Qu'il n’eſtoit de beſoin, c'a eſté Macaré, Lequel m’a retenu, tant qu’il euſt les hosties, Pour immoler aux Dirux, dans le temple aſſorties.	Prince Mycénien si j'ai plus demeurd Qu'il n'était de besoin, c'a été Macaré, Lequel m'a retenu, tant qu'il eût les hosties, Pour immoler aux Dirux, dans le temple assorties.
Iyiade.	Jyade.
Puis qu'il eſt arriué quand & vous tout va bien.	Puis qu'il est arrivé quand et vous tout va bien.
Oreſte.	Oreste.
Grand ſacrificateur du remple Delphien, Que Phibus a chiſi luy meſme a ſon ſernice, nuummmyouuumtiour etre propice.	Grand sacrificateur du remple Delphien, Que Phibus a chisi luiours à son sernice, nuummmyouuumtiour être propice.
Macaré.	Macaré.
Inuincibles guerriers dont le genereux bras Ne ceſſera iamais de renuerſer à bas L'orgueil des ces hantains, dont l’inique puiſſance Ne conſiste qu’à faire aux plus foibles nuiſance:	Invincibles guerriers dont le généreux bras Ne cessera jamais de renverser à bas L'orgueil des ces hantains, dont l'inique puissance Ne consiste qu'à faire aux plus faibles nuisance:
Phæbus vous ſauu?	Phæbus vous sauv?
, & gard, vous n’euſſiez ſçen veEn temps plus npportun, pour venger & punir-(mr Le tort que vous a fait voſtre fier aduerſaire:	, et gard, vous n'eussiez sçen veEn temps plus nportun, pour venger et punir-Fr Le tort que vous a fait votre fier adversaire:
Car nous deuons enhuy vn facrifice faire Au temple d'Apollon où il ſe trouuera, Et ie vous manderay ſi-tort qu’il y ſera, Vous ne ſçauriez auoir commodité plus ſure De venger ſans haſard, deſſus luy voſtre iniure, Et mettre voſtre eſpouſe Hermione en repos, Qui pour vous bien aimer ſonffre tant de trauaux.	Car nous devons enhui un sacrifice faire Au temple d'Apollon où il se trouvera, Et moment vous manderai si-tort -il y sera, Vous ne sauriez avoir commodité plus sûre De venger sans hasard, dessus lui vostre injure, Et mettre votre épouse Hermione en repos, Qui pour vous bien aimer sonffre tant de travaux.
CICe Que nous ſommes, Pilad, earriuez en bonne heure:	CICe Que nous sommes, Pilad, earriuez en bonne heure:
On n’enſt ſçeu ſouhaitter la fortune meilleure.	On n'enst su souhaiter la fortune meilleure.
Pylade.	Pylade.
fanCalele?	fanCale?
De vou-oir faire nieurtre en vn lieu ſi pieux, Qu'eſt vn temple ſacré?	De vou-oir faire nieurtre en un lieu si pieux, Qu'est un temple sacré?
Gardons nous, mon Oreſte, D'irriter contre nous la vengeance celeste.	Gardons nous, mon Oreste, D'irriter contre nous la vengeance celeste.
Macaré.	Macaré.
Non non, ne faites pas ceſle difficultt De venger, pour le lieu l’extreme impiett De cet Achillien, c’est la plus belle offrande Que dans ſon temple ſaint Apollon vour demande:	Non non, ne faites pas cèle difficult De venger, pour le lieu l'extrême impiett De cet Achillien, c'est la plus belle offrande Que dans son temple saint Apollon vour demande:
Il aidera luy meſme à deſfaire le fils, Commne à tuer le perc il ſecourut Paris Conduiſant de ſa main la fleſche & l’entrepriſe, Car Phabus ne ueut pas recemir en franchiſe Dedans ſon tem ple ſaint cet honme diſſeli, 1 Qui malheureuſiment l'a le premier polu, Y faiſant eſleuer vn image à ſon pere, Prés celle d’Apollon, qu’il vent que l'on réuere, Anec pareil honneur, que celle-la du Dieu.	Il aidera lui même à des le fils, Commune à tuer le perc il secourut Paris Conduisant de sa main la flesche et l'entreprise, Car Phabus ne ueut pas recemir en franchise Dedans son tém plein saint cet honme disseli, 1 Qui malheureusiment l'a le premier polu, Y faisant élever un image à son père, Prés celle d'Apollon, qu'il vent que l'on réuere, Agnec pareil honneur, que celle-la du Dieu.
Mais il le payena dedans le meſine lien Qu’il a commis la fante:	Mais il le païena dedans le mène lien Qu'il a commis la santé:
fe pour le ſacrifice De taureaux lgorgez, qu’il voudloit que i'y fiſſe, Il y ſera luy meſnie enhuy ſacriſt́ Au puitrait pauemnel ſuuy a daus.	se pour le sacrifice De taureaux légorgez, qu'il voudrait que j'y fisse, Il y sera deux ménie enhui sacrist Au puitrait pavemnel sucui a daus.
Oreſte.	Oreste.
Luffaire neſçauroit eſtre mieux erdonnis, Pourueu que la fortune aide à noſtre menee, Secondant nos deſſeins.	Luffaire nesçauroit être mieux erdonnis, Pourvu que la fortune aide à notre mène, Secondant nos desseins.
Pylade.	Pylade.
Or ſus, ce n’eſt fus tout D'auoir bien commencé, il faut venir au bout:	Or sus, ce n'est fus tout D'avoir bien commencé, il faut venir au bout:
Le lien eſt arreſté, aù il connient que meure Noſtre ſier ennemy, accordons-nous de l'heure, Es außi du moyen qu’il y faudra tenir.	Le lien est arrêté, aù il connient que meure Notre sier ennemi, accordons-nous de l'heure, Es aussi au moyen qu'il y faudra tenir.
Macaré.	Macaré.
Ie m'en vay de ce pas vour le faire venir Au lieu prédeſtiné, & tout à l'heure meſme Qu’il entrera dedans, en diligence extrime I'emmoyeray Doulon vous en donner aduis:	Je m'en vais de ce pas vour le faire venir Au lieu prédestiné, et tout à l'heure même Qu'il entrera dedans, en diligence extrime J'emmoyerai Doulon vous en donner avis:
Cependant cachez-vous quelque part vis à vis Du teple en attendant.	Cependant cachez-vous quelque part vis à vis Du teple en attendant.
Oieſte.	Ojeste.
Ou ne ſçauroit mieux dire.	Ou ne saurait mieux dire.
Macaré.	Macaré.
Or ſus donc que chacunenſon lien ſe ruire.	Or sus donc que chacunentson lien se ruire.
Macaré.	Macaré.
Rand Roy, de qui le ſceptre en bon heur ſloriſãt Captiue ſous ſa loy le Theſſale puiſſant, Race du grarid Iupin, que ciel & terre adore, Fils d’vn pere vaillant, mais plus vaillant encors:	Rand Roi, de qui le sceptre en bon heur slorisant Captive sous sa loi le Thessale puissant, Race du grarid Jupin, que ciel et terre adore, Fils d'un père vaillant, mais plus vaillant encors:
Le ſacrifice ſaint, que m'a ta maiẽſté Lercbtures, les tæureaux &e geniſſes muglantes Nattendent que le comp de nor liaches ſanglantes:	Le sacrifice saint, que m'a ta maiẽsté Lercbtures, les tæureaux été génisses muglantes Nattendent que le comp de nor liaches sanglantes:
Et nour preſentement nous n’attendons, grand RoyPour les ſacriſier perſonne autre que toy:	Et nour présentement nous n'attendons, grand RoiPour les sacrisier personne autre que toi:
S’il te plaiſt de venir honorer l’aſſemblée, La vibime ſera außi toſt immolie.	S'il te plaît de venir honorer l'assemblée, La vibime sera aussi tôt immolie.
Pyrrhe.	Pyrrhe.
Ie me fuſſe deſià dans le temple rendu, Mais ce que i’ay icy ſi long temps attendu, C’eſt celle qui m’a ſait voir le iour ſur la terre, Dont le piteux reſpect, & la peur me déterre De ſortir du chastean, pour vn ſonge ennnyeux, Qu'elle dit s'eſtre offert la nuit deuant ſes yeux.	Je me fusse déjà dans le temple rendu, Mais ce que j'ai ici si long temps attendu, C'est celle qui m'a sait voir le jour sur la terre, Dont le piteux respect, et la peur me déterre De sortir du châtean, pour un songe ennuyeux, Qu'elle dit s'être offert la nuit devant ses yeux.
Macaré.	Macaré.
Tens ſonges ne ſint rien qu’vne erreur menſongere.	Tens songes ne sint rien qu'une erreur mensongère.
Pyrrhe.	Pyrrhe.
Iene ueux auſui croire en choſe ſi legere.	Jène eux ausvi croire en chose si légère.
Didaime.	Didaime.
Les ſonges ont predis maint triſle luenement	Les songes ont prédis maint trisle luénement
Pyrrhe.	Pyrrhe.
nihauemuquaquejuu, uuuouepuentammens.	nihavemuquaqueju, uuuouepuentammens.
Macaré.	Macaré.
Parſe jaimustims, u ſonge mimapre.	Parse jaimustims, songe mimapre.
Pyrrhe.	Pyrrhe.
Quant à moy ie l'estime ainſi comme vous faite.	Quant à moi je l'estime ainsi comme vous faite.
Didaime.	Didaime.
Croyez ce qu’Helenin aumoins vous a predit.	Croyez ce qu'Hélenin aumoins vous a prédit.
Aqiilo.	Aqiilo.
Cet homme là m’eſmeut à vray dire un peuit.	Cet homme là m'émut à vrai dire un peuit.
Macarc.	Macarc.
Quoy, croiriez vous qu’it ſçeut toute choſe futtore?	Quoi, croiriez -vous qu'it sçeut toute chose futâtore?
Pyrrhe.	Pyrrhe.
Ce qu’il en ſçait, ie croy, n’eſt que par coniecture.	Ce qu'il en sait, je crois, n'est que par conjetcture.
Didaime.	Didaime.
1 Les Grecs ont à leur dam ſon preſage eſprouné.	1 Les Grecs ont à leur dam son présage esprouné.
Pyrrhe.	Pyrrhe.
Et pour l’auoir creu lors ie m’enſuis bien trouué.	Et pour l'avoir cru lors ie m'ensuis bien trouvé.
Macaré.	Macaré.
Le danger y eſtoit außi tout maniſeſte.	Le danger y était aussi tout maniste.
Pytthe.	Pythe.
De fait la mer eſt choſe ordinaire à tempeſte.	De fait la mer est chose ordinaire à tempête.
Didaime.	Didaime.
De meſme ſont les Roys luiets à mille aſſauts.	De même sont les Rois luiets à mille assauts.
Pyrrhe.	Pyrrhe.
Non les Roys dronuriers cheris de leurs vaſſaux.	Non les Rois dronuriers chéris de leurs vassaux.
Macaré.	Macaré.
Et Dicu ſçait quelle amour vous portent tous les voſtres.	Et Dicu sais quelle amour vous portent tous les vôtres.
Didaime.	Didaime.
Quoy ?	Quoi ?
estimeriez ouu quu n'y in cuſt point d'autres Qui peuſſens de dehors entre vous coniurert	estimeriez ou v n'y in cût point d'autres Qui peussens de hors entre vous conjurert
Et quis de cet amour qui vous pems aſſieri On ne peurdiſcerner l’ammr d’æuec la craimie En ceux qui ſons tenus d’honorer par contraimte:	Et quis de cet amour qui vous peux assieri On ne peurdiscerner l'amremr d'ævec la craimie En ceux qui sons tenus d'honorer par contraimte:
Car ils nous namſtrent tous ſemblable volonté, Tant les faux, que les vrays:	Car ils nous namstrent tous semblable volonté, Tant les faux, que les vrais:
pour-ce une royanil, Et derriere & deuant, pount depuis qu'elle eſt nie, AA toute heure ſe voir d’embncher entourmée:	pource une royanil, Et derrière et devant, pount depuis qu'elle est nie, AA toute heure se voir d'embncher entourmée:
Ceux là qu’vn Roy eſtime eſtre lesplus feaux, Sont ceux qui à l'effet ſe monſtrent deſloyaux, Et du coſté que moint l'embuche eft attendue, C'eſt de là bien ſouuent qu’elle nous eſt tendeü.	Ceux là qu'un Roi estime même lesplus féaux, Sont ceux qui à l'effet se montrent déloyaux, Et du côté que moint l'embûche eut attendue, C'est de là bien souvent qu'elle nous est tendue.
Que les maux arriuez aux Princes vos pareilt Vons facent deuenir plus ſage en vos conſuils:	Que les maux arrivés aux Princes vos pareilt Vons facent devenir plus sage en vos consuils:
