AT.	AT.
Mais voicy mon Berger auecque ſa ſorciere, Afin de les ouïr tirons-nous en arriere.	Mais voici mon Berger auecque sa sorcière, Afin de les ouïr tirons-nous en arrière.
CENE SECONDE.	CÈNE SECONDE.
TIMANDRE, SILAIRE, ELISE.	TIMANDRE, SILAIRE, ÉLISE.
TIMANDRE, SILAIRE ſeuls premiers.	TIMANDRE, SILAIRE seuls premiers.
TIMANDRE.	TIMANDRE.
VY vois de quel danger nôtre amour ét preſsé, TTu vois le deſeſpoir dont ie ſuis menacé;	VI vois de quel danger notre amour est pressé, TTu vois le désespoir dont te suis mpenacé;
L’autorité du Roy rend mes penſees vaines, Et diſpute auec moy le loyer de mes peines;	L'autorité du Roi rend mes pensées vaines, Et dispute avec moi le loyer de mes peines;
Tes parens obſtinés, contre ta paßion, Suiuent les mouuemans de leur ambition, Et te veulent regler à la méme meſure, Parmi tant de mal-heurs, que le ſort me procure;	Tes parents obstinés, contre ta passion, Suivent les mouvements de leur ambition, Et te veulent régler à la même mesure, Parmi tant de malheurs, que le sort me procure;
L'eſperance me faut, ſi tu n'as reſolu D’euiter les effets d’vn pouuoir abſolu:	L'espérance me faut, si tu n'as résolu D'éviter les effets d'un pouvoir absolu:
Par cet expediant qui s’offre à ma penſee, Si du méme Demon nôtre ame ét oppreſſee, In juiurãs mon confeit.	Par cet expédiant qui s'offre à ma pensée, Si du même Démon notre âme est oppresse, In juiurãs mon conféit.
SILAIRE.	SILAIRE.
Propoſe ſeulemant, Tu dois étre certain de mon conſentemant:	Propose seulemant, Tu dois être certain de mon consentemant:
Pour tirer mon eſprit de ce facheux martyre, Que ie ſouffre entendant ce Prince qui ſouſpire, Pour m’affranchir des loix de mes rudes parans, Pour faire que nos ſorts ne ſoient point differans, Pour paſſer auec toy dans vn ſejour tranquille, Quelque foible que ſoit la raiſon d’vne fille, En vn ſi beau ſujet, croy que ma paßion Suiura facilemant ta reſolution.	Pour tirer mon esprit de ce fâcheux martyre, Que ie souffre entendant ce Prince qui soupire, Pour m'affranchir des lois de mes rudes parants, Pour faire que nos sorts ne soient point différants, Pour passer avec toi dans un séjour tranquille, Quelque faible que soit la raison d'une fille, En un si beau sujet, crois que ma passion Suivra facilement ta résolution.
TIMANDRE.	TIMANDRE.
L’éloignemant icy me ſemble neceſſaire, [traire Il faut mettre à couuert ſous vn ciel moins conLes feux de nos amours;	L'éloignemant ici me semble nécessaire, [traire Il faut mettre à couvert sous un ciel moins conLes feux de nos amours;
car ton objet plaiſant Enflammera le Roy tant qu’il ſera preſant:	car ton objet plaisant Enflammera le Roi tant qu'il sera presant:
Mais dans l’éloignemant ces amours inégales Rencontrent le tombeau de leurs flâmes brutales:	Mais dans l'éloignemant ces amours inégales Rencontrent le tombeau de leurs flammes brutales:
Que ſi dans ton abſence il a méme deſſein, Si ce cruel vautour luy ronge encor le ſein, Bien que les mains des Rois ſoient longues & Il ne trouuera point nos amitiés errãtes:	Que si dans ton absence il a même dessein, Si ce cruel vautour lui ronge encor le sein, Bien que les mains des Rois soient longues et Il ne trouvera point nos amitiés erranges:
ſphiſsãtes Ie ſçay que le renom de ta rare beauté, Trahiroit nos projets, & nôtre liberté:	sphissantes Je sais que le renom de ta rare beauté, Tirait nos projets, et notre liberté:
Mais à cela ie voy vn facile remede, Pourueu	Mais à cela ici vois un facile remède, Pourvu
Pourueu que ton courage à cet effort ne cede, Il faudra prophaner & ta face & ton ſein, 97 Barboüiller l’vn & l’autre, & obſcurcir ton tein.	Pourvu que ton courage à cet effort ne cède, Il faudra prophaner et ta face et ton sein, 97 Barbouiller l'autre et l'autre, et obscurcir ton tein.
Cruel expediant!	Cruel expédiant!
außi c’ét auec peine, Que ie fais ce grand tort à la nature humaine, De cacher à ſes yeux ſes plus aimables traits, De ſa plus belle gloire adorables pourtraits:	aussi c'est toujours peine, Que Que Que ce grand tort à la nature humaine, De cacher à ses yeux ses plus aimables traits, De sa plus belle gloire adorables pourtraits:
Mais il faut faire ainſi, afin que nos annees Epreuuent quelque-fois douces les deſtinees.	Mais il faut faire ainsi, afin que nos anères Épreuent quelque-fois douces les destinées.
Icy ſi ton amour à cette cruauté Ne peut pas aisémant porter ta volonté, Et qu’ainſi tu expoſe à la mercy des ondes, Le debris aſſeuré de nos nefs vagabondes, Ie veus bien auec toy courre außi ce haſart, Pourueu qu’à mon malheur tu vueilles prẽdre part;	Ici si ton amour à cette cruauté Ne peut pas aisémant porter ta volonté, Et qu'ainsi tu expose à la merci des ondes, Lé bris assuré de nos nefs vagabondes, Je veux bien avec toi courre aussi ce hasard, Pourvu qu'à mon malheur tu veuilles prendre part;
Que ſi comme ie voy ma defaite euidante, L’authorité du Roy tes deſirs violanté, Sans que ſa qualité me puiſſe diuertir, Il vomira la vie auec le repentir, Ie luy arracheray d’vne main genereuſe Le cœur auec les traits, de ſa flâme amoureuſe:	Que si comme ici vois ma défaite évidante, L'autorité du Roi tes désirs violanté, Sans que sa qualité me puisse divertir, Il vomira la vie avec le repentir, Je lui arracherai d'une main généreuse Le cœur avec les traits, de sa flamme amoureuse:
Ie ſçay qu’à cet exploit ie ne ſuruiuray pas, Que tout proclamera ma perte & mon trépas;	Je sais qu'à cet exploit ici ne suruiuray pas, Que tout proclamera ma perte et mon trépas;
Mais ie mourray contant apres que ma vengeãce.	Mais ici mourrai contant après que ma vengeance.
Victorieuſe aura puni ſon inſolence.	Victorieuse aura puni son insolence.
ELISE.	ÉLISE.
Celuy qui pour te nuire oſeroit t’approcher, Long-temps impunément ne te ſçauroit toucher.	Celui qui pour te nuire oserait t'approcher, Longtemps impunément ne te sçauroit toucher.
TIMAN	TIMAN
TIMANDRE.	TIMANDRE.
Et s’il te reſte encor vn peu de cette flâme, Qui pour moy maintenant ſemble brûler ton ame;	Et s'il te reste encor un peu de cette flamme, Qui pour moi maintenant semble brûler ton âme;
Puis-que pour ton ſujet i’auray quitté le iour, Par le même chemin tu ſuiuras mon amour.	Puis-que pour ton sujet j'aurai quitté le jour, Par le même chemin tu suivras mon amour.
LAIRE.	LAIRE.
Tu peus bien t’aſſeurer qu’en affaire ſemblable Le deſtin nous ſera de méme fauorable:	Tu peux bien t'assurer qu'en affaire semblable Le destin nous sera de même favorable:
Mais ſans nous hazarder en vn ſi grand danger, Allons bien loin d’icy nos flâmes ſoulager, Fuyons ce fier tyran, qui choque nôtre gloire, Que mon éloignemant ôte de ſa memoire Tous ces traits, que ſon œil abusé trouua beaux, Et que ie priſe moins, que les os des tombeaux:	Mais sans nous hasarder en un si grand danger, Allons bien loin d'ici nos flammes soulager, Fuyons ce fier tyran, qui choque notre gloire, Que mon éloignemant ôte de sa mémoire Tous ces traits, que son œil abusé trouva beaux, Et que ie promise moins, que les os des tombeaux:
Defigure hardimant ce funeſte viſage, Complice mal-heureux de mon futur naufrage;	Défigure hardimant ce funeste visage, Complice malheureux de mon futur naufrage;
Rens-moy le tein plus noir, que celuy d’vn corbeau, Et pourueu ſeulemant que tu le trouues beau, Pourueu qu'en méme temps cette laideur n'éface, Ton amour de ton ame, & les traits de ma face;	Rens-moi le tein plus noir, que celui d'un corbeau, Et pourvu seulemant que tu le trouvez beau, Pourvu qu'en même temps cette laideur n'éface, Ton amour de ton âme, et les traits de ma face;
Que ce cheri témoin de ma ferme amitié, Soit au peuple vn ſujet d’horreur & de pitié, Que ie paſſe pour monſtre, ou pour vieille ſorciere, Et ſi tu veux encor rauis-moy la lumiere, Aueugle moy ces yeux, dont la viue clarté Serit d’obſtacle funeſte à nôtre liberté, Ie mi’aſſeureray bien en ta ſeule conduite, Außsi de tant d’objets la preſence m’irrite;	Que ce cheri témoin de ma ferme amitié, Soit au peuple un sujet d'horreur et de pitié, Que ie passe pour montre, ou pour vieille sorcière, Et si tu veux encor ravis-moi la lumière, Aveugle moi ces yeux, dont la vive clarté Serit d'obstacle funeste à notre liberté, Je mi’assurerai bien en ta seule conduite, Aussi de tant d'objets la présence m'irrite;
Il ét vray que i’aurois beaucoup de déplaiſir De n'auoir plus pour toy qu’vn aueugle deſir.	Il est vrai que j'aurais beaucoup de déplaisir De n'avoir plus pour toi qu'un aveugle désir.
Mais pour te contenter rien ne m'ét impoßible.	Mais pour te contenter rien ne m'est impossible.
Amour, qu'à mon eſprit ce diſcours ét ſenſible!	Amour, qu'à mon esprit ce discours est sensible!
I'aimerois mieux mourir, que perdre le beau iour De tes yeux, où ie voy reluire ton amour;	J'aimerais mieux mourir, que perdre le beau jour De tes yeux, où tu vois reluire ton amour;
Au reſte ie n’ay pas aſsés l’ame farouche, Pour eſpreuuer ta foy à cette rude touche, De perdre pour iamais ta grace & tes attraits, Ie ne veus ſeulemant qu’en confondre les traits, Salir vn peu ton tein, pour tromper la pourſuite De ceux qu’on enuoira détourner nôtre fuite.	Au reste ici n'ai pas assez l'âme farouche, Pour épreuuer ta foi à cette rude touche, De perdre pour jamais ta grâce et tes attraits, Je ne veux seulemant qu'en confondre les traits, Salir un peu ton tein, pour tromper la poursuite De ceux qu'on envoira détourner notre fuite.
Ie me déguiſeray en vn vieillard chenu, Dedans mes actions ie ſeray retenu, Ie touſſeray ſouuant, & d’vne main tremblante Marieray ma barbe, à ma cone mnguijjante;	Je me déguiserai en un vieillard chenu, Dedans mes actions ici serai retenu, Je tousserai souvant, et d'une main tremblante Marierai ma barbe, à ma cône ménguijante;
Ceux qui m'écouteront plus attentiuemant, Diront que i’ay vn pié dedans le monumant.	Ceux qui m'écouteront plus attentivemant, Diront que j'ai un pié dedans le monumant.
LATRE.	LATRE.
Quelque déguiſemant dont ta face ſe couure, Tu ne peus empécher que ie ne te découure.	Quelque déguisemant dont ta face se couvre, Tu ne pus empêcher que ieans te découvre.
TIMANDRE.	TIMANDRE.
Que ſi ceux qu’on fera ſoudain courré apres toy Découurent le ſecret, ce ſera lors à moy A faire des efforts d’vne amour enragee, Plutôt que de ſouffrir de te voir outragée.	Que si ceux qu'on fera soudain courré après toi Découvrent le secret, ce sera lors à moi A faire des efforts d'une amour enragée, Plutôt que de souffrir de te voir outragée.
Là ma fureur aura vn pouuoir plus qu’humain, Alors le deſeſpoir m’offre vn ſecours certain, Vainqueur des fiers deſtins;	Là ma fureur aura toujours pouvoir plus qu'humain, Alors le désespoir m'offre un secours certain, Vainqueur des fiers destins;
Dieu, d’vne ame génee, Si tu vois à ce coup la mienne condamnee, Ie t’appelle à mon aide, & deſſus ton autel Anontone du effaui le vieter ure ce enerop moy te li	Dieu, d'une âme guée, Si tu vois à ce coup la mienne condamnée, Je t'appelle à mon aide, et dessus ton autel Anontone du effaui le viéter ure ce enérop moi te li
SILAIRE.	SILAIRE.
Alors deſſus ton corps la douleur & les larmes, Luy ſacrifieront le mien ſans autres armes:	Alors dessus ton corps la douleur et les larmes, Lui sacrifieront le mien sans autres armes:
Mais le Dieu Pan aura pitié de nos malheurs, Nous deuons eſperer d’euenemans meilleurs.	Mais le Dieu Pan aura pitié de nos malheurs, Nous devons espérer d'euenemans meilleurs.
TIMANDRE.	TIMANDRE.
Et trouuer vn delay, qui ce Monarque amuſe:	Et trouver un délai, qui ce Monarque amuse:
Dis que tu as fait vœu à la chaſte Diane, De ne voir de huict iours aucun homme prophane, Et luy ſacrifier vn mouton chaque iour, Pour faire perſiſter ton heur, & ſon amour:	Dis que tu as fait vœu à la chaste Diane, De ne voir de huit jours aucun homme prophane, Et ton sacrifier un mouton chaque jour, Pour faire persister ton heur, et son amour:
Mais ie vois dans ce coin ma cruelle ennemie.	Mais ici vois dans ce coin ma cruelle ennemie.
ELISE.	ÉLISE.
con- Il m’a veû;	con- Il m'a vu;
La ſortune à vos vœux ſoit amie;	La sortune à vos vœux soit amie;
Ie puis facilemant ſans reuelation Iuger de vos diſcours par vôtre affection:	Je puis facilement sans révélation Juger de vos discours par votre affection:
& les Deux ames par l’amour d’vn méme trait bleſſees Du recit de leurs maux nourriſſent leurs penſees Celles qui ont reçeu ce Demon familier, N’ont point d’autre entretien en leur particulier Qui verra deux amans, dont le bon-heur aßẽbli La preſence & les cœurs, communiquer enſemble, Ne doit pas ſoupçonner qu’ils braſſent dans l’état Quelque ſouleuemant contre le Potentat;	et les Deux âmes par l'amour d'un même trait blessées Du récit de leurs maux nourrissent leurs pensées Celles qui ont reçu ce Démon familier, N'ont point d'autre entretien en leur particulier Qui verra deux amants, dont le bonheur assẽbli La présence et les cœurs, communiquer ensemble, Ne doit pas soupçonner qu'ils brassent dans l'état Quelque soulèvement contre le Potentat;
Leurs propos emmiellés ne ſont point pour induirt Le peuple à la reuolte, & les eſprits ſeduire;	Leurs propos emmiellés ne sont point pour induirt Le peuple à la révolte, et les esprits séduire;
Ils ne parlent iamais, que d’éteindre leurs feux, Encort C’ét	Ils ne parlent jamais, que d'éteindre leurs feux, Encort C'est
C’ét doncques bien à tort, que i’ay osé pretandre Par mes foibles beautés à poſſeder Timandre:	C'est donc bien à tort, que j'ai osé prétandre Par mes faibles beautés à posséder Timandre:
Mais puis que mon deſtin a mis tant de malheur Auec ſi peu d’appas pour flatter ma douleur, Pour preuue d’vne foy qui t’ét inuiolable, Et que ie veus aimer tout ce qui t’ét aimable, Ie veux d’orenauaut changer ce nom d’amour En celuy d’amitié, & dés cet heureux iour, Que ſa beauté m’a fait toucher mon imprudance, Et m'a deſabusé de ma folle eſperance;	Mais puis que mon destin a mis tant de malheur Avec si peu d'appas pour flatter ma douleur, Pour preuve d'une foi qui t'est inviolable, Et que tu veus aimer tout ce qui t'est aimable, Je veux d'orenauaut changer ce nom d'amour En celui d'amitié, et dès cet heureux jour, Que sa beauté m'a fait toucher mon imprudance, Et m'a desabusé de ma folle espérance;
Pouſſee deſormais d’vne plus douce ardeur, Qui iuſte peut nommer iniuſte ta froideur, Ie jure de t’aimer ſans ces inquietudes, Que nous donne vn amour plein de ſollicitudes;	Poussée désormais d'une plus douce ardeur, Qui juste peut nommer injuste ta froideur, Je jure de t'aimer sans ces inquiétudes, Que nous donne un amour plein de sollicitudes;
Mais auec ces élans, où pouſſe nos eſprits Vne ſainte amitié, quand ils en ſont épris;	Mais était ces élans, où pousse nos esprits Une sainte amitié, quand ils en sont épris;
Tu me dois accorder vne amitié pareille, Les ſiecles à veuir la tiendront pour merueille;	Tu me dois accorder une amitié pareille, Les siècles à vuir la tiendront pour merveille;
Que ſi tu n’as rien plus contre moy ſur le cœur, Promets de me cherir de méme que ta ſœur.	Que si tu n'as rien plus contre moi sur le cœur, Promets de me chérir de même que ta sœur.
TIMANDRE.	TIMANDRE.
Ie vous adoreray ainſi qu'vne Deeſſe.	Je vous adorerai ainsi qu'une Déesse.
ELISE.	ÉLISE.
Ces navruiions, rends-les a ta maitreſſe, Ne me viens point icy vſer de complimant, Laiſſe-là les reſpects, jure moy ſeulemant De m'appeller ta ſœur, & te dire mon frere.	Ces navruions, rends-les a ta maîtresse, Ne me viens point ici user de complimant, Laisse-là les respects, jure moi seulemant De m'appeler ta sœur, et te dire mon frère.
TIMANDRE.	TIMANDRE.
Vous me pourriés bien mieux appeller temeraire, ELI	Vous me pourriez bien mieux appeler téméraire, ELI
ELISE.	ÉLISE.
aminmne puus nepiuiquenuouoreet moy cet heur.	aminmne puus nepiuiquenuouoreet moi cet heur.
TIMANDRE.	TIMANDRE.
le reçoy humblemant cette chere ſaueur.	le reçois humblemant cette chère saveur.
ELISE.	ÉLISE.
Belle, ie vous demande außi la méme grace, Qu'vne ferme amitié de nos eſprits efface La rancune ordinaire, hôteſſe de deux cœurs, Qui du méme butin veulent étre vainqueurs.	Belle, je vous demande aussi la même grâce, Qu'une ferme amitié de nos esprits efface La rancune ordinaire, hôtesse de deux cœurs, Qui du même butin veulent être vainqueurs.
Vous merités Timandre, & c’ét auec iuſtice, Que deſſus vos Autels il fait ſon ſacrifice:	Vous méritez Timandre, et c'est a iustice, Que dessus vos Autels il fait son sacrifice:
Iouïſsés de l’amour de cet aimé Berger, Moy de ſon amitié, & pour nous obliger A étre deſormais de bonne intelligence, I'iuons comme deux ſœurs germaines de naiſſance:	Jouissez de l'amour de cet aimé Berger, Moi de son amitié, et pour nous obliger A tre désormais de bonne intelligence, J'ivons comme deux sœurs germaines de naissance:
dines cincorgderin tey mi quierres N'vsés point enuers moy d’vne ciuilité, Qui m'ét auecque vous maintenant importune.	dines cincorgderin tey mi quierres N'usez point envers moi d'une civilité, Qui m'étude avec vous maintenant importune.
ILAIRE.	ILAIRE.
Ie ne ſuis qu’obligee à ma bonne fortune De l’heur, que ie reçois dans la poſſeſsion De ce cheri Timandre, & ſon affection, Parce que ie l’ay eû ſans mon propre merite, Par ia meme rarjon me doit etre interaite;	Je ne suis qu'oblige à ma bonne fortune De 'heur, que sans reçois dans la possession De ce chéri Timandre, et son affection, Parce que Un l'ai eu sans mon propre mérite, Par ia me rarjon me doit être interaite;
Puis que vous la cedés, comme indigne de vous, Qui merités vn Dieu;	Puis que vous la cédez, comme indigne de vous, Qui méritezezé Dieu;
permettés qu'à genous A vos rares bontés i'en rende mille graces.	permettez qu'à genous À vos rares bontés j'en rende mille grâces.
ELISE.	ÉLISE.
Ie prens ces complimans pour des pures diſgraces, Diſputons Diſputons à qui mieux aimera deſormais, Et viuons mieus que ſœurs ne vécurent iamais.	Je prends ces complimants pour des pures disgrâces, Disputons Disputons à qui mieux aimera désormais, Et vivons mieus que sœurs ne vécurent jamais.
SCENE TROISIEME.	SCÈNE -TROISIÈME.
PALEMON, GYNECIE.	PALÉMON, GYNECIE.
PALEMON.	PALÉMON.
Ilaire fuit tou-jours mna vois, & ma preſance, SMon œil, comme celuy d’vn baſilic l’offance, Sotte elle ne connôit le bien que ie luy veus, Et s’oppoſe à ſon bien, s’oppoſant à mes vœus;	Ilaire fuit tou-jours ména vois, et ma présance, SMon œil, comme celui d'un basilic l'offance, Sotte elle ne connôit le bien que sans avoir vus, Et s'oppose à son bien, s'opposant à mes vœus;
Folle, dont l’impudance aueugle & obſtinee Neglige le bon-heur d’vn royal hymenee:	Folle, dont l'impudance aveugle et obstinée Néglige le bonheur d'un royal hyménée:
Ie luy feray ſentir ſi ie la trouue icy, Combien grande ét ſa faute, & ma colere auſsi.	Je lui ferai sentir si ici la trouve ici, Combien grande ét sa faute, et ma colère aussi.
NECAE.	NECAE.
Peut-être que dépuis elle s’ét aduisee:	Peut-être que depuis elle s'est avisée:
On ne croit pas ſi tôt en choſe mal aiſee.	On ne croit pas si tôt en chose mal aise.
PALEMON.	PALÉMON.
Quand on laiſſe vne fois la fortune échapper, Souuent apres en vain on la veut r’attrapper, Et pour cette clarté de fortune cinneet, Certain inſtinct me dit, qu’elle s’ét eclypſee;	Quand on laisse une fois la fortune échapper, Souvent après en vain on la veut rattraper, Et pour cette clarté de fortune cinneet, Certain instinct me dit, qu'elle s'est éclipsée;
Mais là basvne dame, au regard plus qu’humaine, Ttent ma fille et Timandre enſemble par la main.	Mais là basvne dame, au regard plus qu'humaine, Ttent ma fille et Timandre ensemble par la main.
NECIE.	NECIE.
Dans ces hauts eneretiens Silaire ſe figure De n'être plus Bergere, & du troupeau n’a cure.	Dans ces hauts eneretiens Silaire se figure De n'être plus Bergère, et du troupeau n'a cure.
PALEMON.	PALÉMON.
C’ét dans ces vanités, que les foibles eſpris Souuent de leur deuoir conçoiuent le mépris:	C'est dans ces vanités, que les faibles épris Souvent de leur devoir conçoivent le mépris:
Femme, oſerois-ie bien reprimander Silaire Cellt Duile prejentes	Femme, oserais-je bien réprimander Silaire Celt Duile prjentes
YNECIE.	YNECIE.
Il ne le faut pas faire;	Il ne le faut pas faire;
Et ſi vous m'en croyés attendant ſon départ, Nous nous entretiendrons quelque temps à l’écart.	Et si vous m'en croyez attendant son départ, Nous nous entretiendrons quelque temps à l'écart.
SCENE QVATRIEME.	SCÈNE QUATRIÈME.
PHILANDRE, SILAIRE.	PHILANDRE, SILAIRE.
PHILANDRE.	PHILANDRE.
Rgueilleuſe beauté, dont l’ame difſicile SA mis dans le tumbeau l’eſpoir de la Sicile, Et mépriſant l’amour & le ſceptre des Rois, As reduit Cleogene, & les ſiens aux abois;	Rangueilleuse beauté, dont l'âme dissicile SA mis dans le tombeau l'espoir de la Sicile, Et méprisant l'amour et le sceptre des Rois, As réduit Cléogène, et les siens aux abois;
Stupide, que l’éclat d’vn Empire ne touche, Inſenſible, qu'Amour bleſſe moins qu'vne ſouche, Eſprit ſans ſentimant, tygreſſe ſans pitié, P'oy les extremités d’vne ferme amitié, Oy les piteux élans d’vn Prince tout de flâme, Quand les derniers ſouſpirs emporterẽt ſon ame.	Stupide, que l'éclat d'Han Empire ne touche, Insensible, qu'Amour blesse moins qu'une souche, Esprit sans sentimant, tigresse sans pitié, P'ois les extrémités d'une ferme amitié, Oi les piteux élans d'un Prince tout de flamme, Quand les derniers soupirs emportere son ce.
Cleogene donna ces mots à ſa douleur;	Cléogène donna ces mots à sa douleur;
Douce mort, que i’attens pour finir mon mal-heur, Ie te ſuis obligé du ſecours pitoyable, Que ta compaßion offre à ce miſerable:	Douce mort, que j'attends pour finir mon malheur, Je te suis obligé du secours pitoyable, Que ta compassion offre à ce misérable:
Et toy belle Silaire, à qui mes longs trauaux N’ont ſçeu faire pitié, conſidere les maux Que ma fait endurer ton iniuſtice extreme, Qui preſſe le momant de mon heure ſupreme;	Et toi belle Silaire, à qui mes longs travaux N'ont su faire pitié, considère les maux Que ma fait endurer ton injustice extrême, Qui presse le momant de mon heure suprême;
Tes Et que mon cœur reuere encor dans ſes langueurs, Ta faute longuemant ne ſeroit impunie, Si tu veus m’obliger loüe ſa tyrannie.	Tes Et que mon cœur révère encor dans ses langueurs, Ta faute longuemant ne serait impunie, Si tu veux m'obliger loue sa tyrannie.
Là rappellant ſes ſens de cette émotions Ie par donne ce crime à ton affliction, Me dit-il:	Là rappelant ses sens de cette émotions -Je par donne ce crime à ton affliction, Me dit-il:
mais auant que clorre ma paupiere, promets d’executer ma volonté derniere.	mais avant que clore ma paupière, promets d'exécuter ma volonté dernière.
A mots interrompus ie dis ce qu’il voulut:	À mots interrompus ie dis ce qu'il voulut:
Alors mon ſentimant, & ma douleur luy plut.	Alors mon sentimant, et ma douleur Seigneur plut.
philandre, me dit-il, va-t’en trouûer ma Rene, Déann-lny vout au long lu ſin de Cleogene.	philandre, me dit-il, va-t-en trouûer ma Rene, Déann-li vout au long lu sin de Cleogene.
Ie voy que vos beaus yeux ſont touchés de pitié.	Je vois que vos beaus yeux sont touchés de pitié.
SILAIRE.	SILAIRE.
Außi certes le cœur, à qui cette amitié Dans ſes derniers regrets n'eût émeu la tendreſſe, Barbare, auroit eté le cœur d’vne tygreſſe:	Aussi certes le cœur, à qui cette amitié Dans ses derniers regrets n'eût ému la tendresse, Barbare, aurait et le cœur d'une tigresse:
Ie vous prie acheués.	Je vous prie achevez.
PHILANDRE.	PHILANDRE.
Lors à ce mot de fin, Apres vn grand ſouſpir, ie dis, que le deſtin L’auoit fait immortel, que la loy de nature N’engageoit point les Dieux dedans la ſepulture, Qu'il étoit en ce rang.	Lors à ce mot de fin, Après un grand soupir, Elle dis, que le destin L'avait fait immortel, que la loi de nature N'engageait point les Dieux dedans la sépulture, Qu'il était en ce rang.
Ha!	Ha!
ne me flatte point, Me repart cet Amant;	ne me flatte point, Me repart cet Amant;
la douleur qui me point Me fait clairemãt voir que ma trame êt mortelle, Si ce n'ét qu’en mourant mon être renouuelle.	la douleur qui me point Me fait clairemant voir que ma trame êt mortelle, Si ce n'est qu'en mourant mon être renouvelle.
D’vne main languiſſante alors ce Prince prit Son ſceptre, & ſa couronne, & dans mes mains les En me diſant:	D'une main languissante alors ce Prince prit Son sceptre, et sa couronne, et dans mes mains les En me disant:
Ami;	Ami;
voila les cheres marques ſmit.	voilà les chères marques smit.
Du Du pouuoïr abſolu que Dieu dõne aus Monarques Il met Va t’en trouuer Silaire, offre-les à ſes piés, Pour montrer que les Rois ſe ſont humiliés, Eſclaues, ſous les loix d’vne belle Bergere, Ie ſce Preuues que mon amour ne fût iamais legere, & la Et que ſans me ſeruir de leur authorité, rone I’ay tou-jours par reſpects attaqué ſa beauté, cleo-Sans permettre à mes ſens cette iniuſte licence, Dont nos plus chauds deſirs flattent leur violance.	Du Du pouuoïr absolu que Dieu dõne aus Monarques Il met Va t'en trouver Silaire, offre-les à ses piés, Pour montrer que les Rois se sont humiliés, Esclaves, sous les lois d'une belle Bergère, Je sce Preuues que mon amour ne fût jamais légère, et la Et que sans me servir de leur autorité, rone J'ai tou-jours sa respects clé sa beauté, cleo-Sans permettre à mes sens cette injuste licence, Dont nos plus chauds des flattent leur violance.
Rens-luy außi ce fruit, que ie pris l’autre iour Sur ſon ſein endormi, tout enyuré d’amour.	Rends-lui aussi ce fruit, que Dieu pris l'autre jour Sur son sein endormi, tout enivré d'amour.
L’amour à ce momant termina ſa fuſee, Rendant dans ſon eſpoir la Sicile abuſee, Qui croyoit de donner ſujet au firmamant Penmter fon repos ſous vn Roy ſi clemant, Sur te tumvenn anquel ie doy ſinir men vie, Puiſque i’ay ſatisfait à ſa derniere enuie,	L'amour à ce momant termina sa fumée, Rendant dans son espoir la Sicile abuse, Qui croyait de donner sujet au firmant Penmer son repos sous un Roi si clémant, Sur te tumvenn anquel ie dois sinir men vie, Puisque j'ai satisfait à sa dernière envie,
SCENE CINIQVIEME, & derniere.	SCÈNE CINIQUIEME, et dernière.
ELISE, PALEMON, SILAIRE, GYNECIE, ET TIMANDRE.	ÉLISE, PALÉMON, SILAIRE, GYNECIE, ET TIMANDRE.
ELISE.	ÉLISE.
Es Dieux ont iuſtemant diuerti mon deſſein E Que de cruels remors me deuorent le ſein?	Es Dieux ont justemant diverti mon dessein E Que de cruels remors me dévorent le sein?
trou- Me dois-ie confeſſer, & m’accuſer moy-méme come D’vn crime mille fois pire que le blaſpheme, M’expoſer incenſee aux tourmans merites, Et preſenter ma téte aus peuples irrités?	trou- Me dois-je confesser, et m'accuser moi-même come D'un crime mille fois pire que le blâme, M'exposer incense aux tourmands mérites, Et présenter ma tête aus peuples irrités?
P ALI	 PLI
PALEMON.	PALÉMON.
Cette Dame vers nous ſi me ſemble regarde, Son viſage ét changé, & ſa veüe ét hagarde.	Cette Dame vers nous si me semble regarde, Son visage est changé, et sa vue ét hagarde.
La bile & le dépit la preſſent viuemant:	La bile et le dépit la pressent vivemant:
Allons, pour adoucir cet ardant mouuemant.	Allons, pour adoucir cet ardant mouvement.
ELISE.	ÉLISE.
Oui, Eliſe, il le faut, car cette ſyndereſe Ton ſupplice eternel cuit bien plus que la braiſe.	Oui, Élise, il le faut, car cette syndères Ton supplice éternel cuit bien plus que la braise.
Terre, Ciel, Hõmes, Dieux;	Terre, Ciel, Hommes, Dieux;
ſçachés tous, que l’amour Elle A commis vn forfait qui fait horreur au iour, Que Cleogene ét mort par le mal-heur d’Eliſe, Que le ſort a voulu que ie me ſois mépriſe Dans les noires fureurs que l’amour ma donné, Et qu'ayant mis vn iour ce fruit empoiſonné Sur le ſein de Silaire, en ces lieux endormie, Qui comme ma riuale étoit mon ennemie;	sachez tous, que l'amour Elle A commis un forfait qui fait horreur au jour, Que Cleogene est mort par le malheur d'Élise, Que le sort a voulu que je me sois méprise Dans les noires fureurs que l'amour ma donné, Et qu'ayant mis un jour ce fruit empoisonné Sur le sein de Silaire, en ces lieux endormie, Qui comme ma rivale était mon ennemie;
Croyant qu’à ſon éueil du ſommeil au trépas, En fiairant cette pomme, elle n'auroit qu’vn pas, La Parque prit le change, & deſſus Cleogene, Qui déroba ce fruit executa ma haine.	Croyant qu'à son éveil du sommeil au trépas, En fiairant cette pomme, elle n'aurait qu'un pas, La Parque prit le change, et dessus Cleogene, Qui déroba ce fruit exécuta ma haine.
YNECIE, O l'étrangé ecranm !	YNECIE, Ô l'étrangé ecranm !
PALEMON.	PALÉMON.
