JOLIENNE, ia ſemme.	JOLIENNE, ja semme.
On Ipaigue, je puge que nomn lauoron pour ci I 3 qu'il ny eut point lle Charlot, ni de Bailli, Madame Julianne.	On Ipague, je puge que nomn lavoron pour cy I 3 qu'il ni eût point lègle Charlot, ni de Bailli, Madame Julianne.
Mals, Dieu maici, je ne ſis pas noyé, moi;	Mals, Dieu maici, je ne sis pas noyé, moi;
tatigué, que je l'ai échappé belle?	tatigué, que je l'ai échappé belle?
JULIENNE.	JULIENNE.
Tu n'es pas noyé!	Tu n'es pas noyé!
vraiement je le vois bian.	vraiment je le vois bian.
CHARLOT.	CHARLOT.
Non, tatigué, je ne le lis pas, ni le le Bailli nan plus, je vous en avartis.	Non, tatigué, je ne le lis pas, ni le le Bailli nan plus, je vous en avartis.
JULIENNE.	JULIENNE.
Quand il le ſeroit, il n’y auroit pas grand dommage;	Quand il le serait, il n'y aurait pas grand dommage;
mais voyez ce qu’il veut dire avee ſon noye l’eſtece qu’il a pardu l’eſprit, ma commere?	mais voyez ce qu'il veut dire ave son noie l'estece qu'il a pardu l'esprit, ma commere?
Me AGATHE.	Me AGATHE.
Dame!	Dame!
acoutez, ſi ſti-la eſt ſou, Monſteu le Bailli n’eſt pas trop ſage, ils diſont comme va tous deux, que vous avez fait noyer votre mari.	acoutez, si sti-la est sou, Monsteu le Bailli n'est pas trop sage, ils disont comme va tous deux, que vous avez fait noyer votre mari.
de l'aifait noyer, moi!	de l'aifait noyer, moi!
Vous venez de le voir, ma commere?	Vous venez de le voir, ma commere?
Me AGATHE.	Me AGATHE.
Ca eſt vrai, je l’ai vu;	Ça est vrai, je l'ai vu;
mals le Bailli dit quo non, & Charlõt dit de meme, & comme ile ſont deux denina anjulasla duanesana Rείας	mals le Bailli dit quo non, et Charlion dit de même, et comme il sont deux denina anjulasla duanesana Rente
JULIENNE.	JULIENNE.
Tu oſes dire ça, toi?	Tu oses dire ça, toi?
CHARLOT.	CHARLOT.
Parguenne l'oui, je l'oſe dire, & je ſis sùr que ca eſt, j’en bouttois;	Parguenne l'oui, je l'ose dire, et je sis sùr que ca est, j'en boutais;
motgué, la main uu fou	motgué, la main u fou
JULIENNE.	JULIENNE.
Ah, le malheureux!	Ah, le malheureux!
I Source gallica.	I Source galica.
bnffr!	bnffr!
de nationale de France	de nationale de France
SCENE XVIII.	SCÈNE XVIII.
JULIENNE, M AGATHE, COBEME, CMARLOT,	JULIENNE, M AGATHE, COBEME, CARLOT,
COLETTE.	COLETTE.
14 l' nia esſere chaise, Iatevez-vous, vous êtes E* perdue.	14 l' nia essère chaise, Iatevez-vous, vous êtes E* perdue.
JURIENNE, Comment!	JURIENE, Comment!
qu’eſt-ce qu’il y a?	qu'est-ce qu'il y a?
COLETTE.	COLETTE.
mhluy er vous en vajegient.	mhlui er vous en vajegient.
, vous dis-je, voilà le Bailli qui emaſſe du monde, pour venir vous prendre pllomere.	, vous dis-je, voilà le Bailli qui emasse du monde, pour venir vous prendre pllomère.
*---v.	*-v.
JULIENNE.	JULIENNE.
EAſonniere l'mor?	EAsonnière l'mór?
CHARLOT.	CHARLOT.
Pargué!	Pargué!
bon, ça commence bian.	bon, ça commence bian.
COEETTE.	COETTE.
Tout le Village dit que mon onele eſt noyé, & dus c’oſt vous et Charſot qui avez fait cette belle affaire, pour vous marier enſemble.	Tout le Village dit que mon onèle est noyé, et dus c'ost vous et Charsot qui avez fait cette belle affaire, pour vous marier ensemble.
Moi?	Moi?
CHARLOT.	CHARLOT.
Me AGATHE.	Me AGATHE.
Charlot?	Charlot?
C ij	Ç ij
COLETTE.	COLETTE.
Oui, toi-même;	Oui, toi-même;
& ſi cola eſt, tu feras bien de ESntuir.	et si cola est, tu feras bien de ESntuir.
CHARLOT.	CHARLOT.
Morgué!	Morgué!
ça n’eſt point, c’eſt votre monſieu Clitandre, que vous velez dire.	ça n'est point, c'est votre monsieu Clitandre, que vous vêlez dire.
uOſaPIE.	OUOsaPIE.
Clirandre!	Clirandre!
CHARLOT.	CHARLOT.
Oui, le Bailli eſt convenu que je le dirion' comme p̧a.	Oui, le Bailli est convenu que je le dirion comme p̧a.
Oh!	Oh!
dame, ſi l’on fait un quiproque je tire mon éplingue du jeu, Monſi euJulian ileſt point noyé, je m'en dedis.	dame, si l'on fait un quiproque je tire mon éplingue du jeu, Monsieur euJulian ilest point noyé, je m'en dédis.
SCENE XIX.	SCÈNE XIX.
yueunivevu yuoAlHE CLITANDRE, COLETTE, CHARLOT.	yueunivevu yvoAlHE CLITANDRE, COLETTE, CHARLOT.
CE IIANEM Me Ien ne retarde mon bonheur, j’ai donné les Lordres néceſſaircs.	CE IIANEM Me Jen ne retarde mon bonheur, j'ai donné les Lordres nécessaircs.
Mais!	Mais!
que vois-je?	que vois-je?
quelle conſternation!	quelle consternation!
qu’avez-vous?	qu'avez-vous?
JULIENNE.	JULIENNE.
Ah!	Ah!
mon pauvre Monſieu Clitandre, voici de terribles affaires!	mon pauvre Monsieu Clitandre, voici de terribles affaires!
CLITANDRE.	CLITANDRE.
comment f	comment f
JULIENNE.	JULIENNE.
Ce Bailli de malheur qui m’aceuſe duvoir fait noyer mon mari !	Ce Bailli de malheur qui m'aceuse duvoir fait noyer mon mari !
CLITANDRE.	CLITANDRE.
Saul dasna dasama I.	Saul dâna dasama I.
SCENE XX.	SCÈNE XX.
JULIENNE, Me AGATHE, CLITANDRE, COLETTE,	JULIENNE, Me AGATHE, CLITANDRE, COLETTE,
LEPINE.	LEPINE.
r Oilà des Violons que je vous amenois, V Monſieur:	Ô Rilà des Violons que je vous amenais, V Monsieur:
mais il faudra les renvoyer, je penſe, & Monſieur le Bailli nous prépare d’autres occupations, À ce que je viens d’apprendre.	mais il faudra les renvoyer, je pense, et Monsieur le Bailli nous prépare d'autres occupations, ce que je viens d'apprendre.
CLITANDRE.	CLITANDRE.
Sçais-tu le fonds de cette affaire?	Sais-tu le fond de cette affaire?
LEPINE.	LEPINE.
Non, Monſieur, je ſeai ſeulement qu’il prétend?	Non, Monsieur, je seai seulement qu'il prétend?
que nous avons noyé le Meûnier;	que nous avons noyé le Munier;
& que ſur la dépoſition de ce maroufle, on à détreté contre vous & moi.	et que sur la déposition de ce maroufle, on à détreté contre vous et moi.
CLITANDRE.	CLITANDRE.
Décreté contre nous!	Décreté contre nous!
E iv	E jeu
CHARLOT.	CHARLOT.
Ahi bon, paiſe pour ſtlela.	Ahi bon, paise pour stlela.
CLITANDRE tire l'épée.	CLITANDRE tire l'épée.
Comment i maraud,.	Comment y maraud,.
CALOT.	CALOT.
Hé!	Hé!
miſerleorde, Monſieu, ne me tuez pas.	miserleorde, Monsieu, ne me tuez pas.
Mi Ad a vIles.	Mi Ad a vIles.
Hé, pardonnez-lui, Monſieu Clitandte.	Hé, pardonnez-lui, Monsieu Clitandte.
CHARLOT.	CHARLOT.
Ce n’eſt qu’une petite gaillardiſe que tout ça, la peſte m'étouffe.	Ce n'est qu'une petite gaillardise que tout ça, la peste m'étouffe.
CLITANDRE.	CLITANDRE.
Une gaillardiſe, milerable?	Une gaillardise, milérable?
CHARLOT.	CHARLOT.
Ah!	Ah!
je ſis mort.	je sis mort.
CEPINE.	CÉPINE.
Ne vous emportez point, Monſieur, ceci n’aura pas de ſuites.	Ne vous emportez point, Monsieur, ceci n'aura pas de suites.
Laiſſez-moi faire ſeulement, j’y vais donner ordre.	Laissez-moi faire seulement, j'y vais donner ordre.
SCENE.	SCÈNE.
XXI.	XXI.
JULIENNE, M' AGATHE, Muavavuavaaled y'dosmadl 2	JULIENNE, M' AGATHE, Muavavuavaaled y'dômadl 2
JULIENNE.	JULIENNE.
Es maris ne donnent jamais que du chagrin, Lde quelque ſaçon que ce ſoit, je ſis plus morte que vive.	Es maris ne donnent jamais que du chagrin, Lde quelque saçon que ce soit, je sis plus morte que vive.
Ne craignez rien, cette affaire eſt plus dé ſagréam Mougnomervoiosquumua vouamari.	Ne craignez rien, cette affaire est plus dé sagréam Ougnomervoyosquumua vouamari.
JULIENNE.	JULIENNE.
Il eſt revenu, Monſieu Clitandre.	Il est revenu, Monsieu Clitandre.
CLITANDRE.	CLITANDRE.
Il eſt revenu?	Il est revenu?
l’impoſture ne ſera pas difficileà comtondes	l'imposture ne sera pas difficileà comtondes
JULIENNE.	JULIENNE.
Le maſheureux Bailli & ce coquin-la diſent que de n’eſt pas ly.	Le masheureux Bailli et ce coquin-la disent que de n'est pas li.
CLITANDRE.	CLITANDRE.
Tu dis cela, pendart?	Tu dis cela, pendard?
CHARLOT.	CHARLOT.
Moi?	Moi?
je ne dis plus rian, j’ai perdu la parole	je ne dis plus rian, j'ai perdu la parole
CLITANDRE.	CLITANDRE.
I n’a qu’à ſe montrer, où eſt-il?	I n'a qu'à se montrer, où est-il?
C iu	Ç ju
Il s’on eſt déja retourné, je l’ai trop mal reçû.	Il s'on est déjà retourné, je l'ai trop mal reçu.
Où l'aller recharcher?	Où l'aller recharcher?
Ah!	Ah!
s’il étoit ici !	s'il était ici !
Que le ſis malheureuſe!	Que le sis malheureuse!
COLETTE.	COLETTE.
Voilà ce vilain Bailli avec toute ſa ſequelle, ella iſiites	Voilà ce vilain Bailli avec toute sa séquelle, elle a
SCENE XXII.	SCÈNE XXII.
JULIENNE, Me AGATHE, CLITANDRE, COLETTE, LE BAILLI, CHARLOT, Suite du Bailli.	JULIENNE, Me AGATHE, CLITANDRE, COLETTE, LE BAILLI, CHARLOT, Suite du Bailli.
C.	Ç.
LITANDRE.	LITANDRE.
Vancez, Monſieur le Bailli, avancez, LY mais que vos Records ſe tiennont écartés, ſur-tout:	Vancez, Monsieur le Bailli, avancez, LI mais que vos Records se tiennont écartés, sur-tout:
car je donnerai de l’épée dans le ventre au premier qui hazardera de s’approcher.	car je donnerai de l'épée dans le ventre au premier qui hasardera de s'approcher.
LE BAILLI.	LE BAILLI.
Ah l'Monſieur, point d’emportement, ce ne ſont iei que de petites formalités, dont le devoin de ma Charge ne me permet pas de me diſpenſer.	Ah l'Monsieur, point d'emportement, ce ne sont iei que de petites formalités, dont le devoin de ma Charge ne me permet pas de me dispenser.
CLITANDRE.	CLITANDRE.
Oüi, vous êtes fort exact:	Oui, vous êtes fort exact:
je le vois bien	je le vois bien
LE BAILEI L'affaite eſt importante, Monſieur, il va iei mort d’homme et ſuppaiſtion, voyez-vous?	LE BAILEY L'affaite est importante, Monsieur, il va impi mort d'homme et supaition, voyez-vous?
CLITANDRE.	CLITANDRE.
Il n'y a ni l’un ni l’autre:	Il n'y a ni l'un ni l'autre:
mais il pourroit arriver, ſi vous vous mettez en devois.	mais il pourrait arriver, si vous vous mettez en devais.
SCENE XXIII.	SCÈNE XXIII.
JULIEN, JULIENNE, Me AGATHE, CLITANDRE, COLETIE, LE BAILLE, LEPINE.	JULIEN, JULIENNE, Me AGATHE, CLITANDRE, COLETIE, LE BAILLE, LEPINE.
, C’HARLOT.	, C'HARLOT.
LEPINE.	LEPINE.
equrez, tirez, Monſieur le Bailli, & rengainezL vos procédures;	euqurez, tirez, Monsieur le Bailli, et rengainezL vos procédures;
le défunt n’eſt par mort, le voilà que je vous amene.	le défunt n'est par mort, le voilà que je vous amène.
JULIENNE embraſſant ſon marì Mon pauvre Julian!	JULIENNE embrassant son marù Mon pauvre Julian!
mon cher mari!	mon cher mari!
CULIEN.	CULIEN.
Comment!	Comment!
tatigué, queu changement!	tatigué, queu changement!
Julianne eſt devenuë bonne famme.	Julianne est devenue bonne famme.
En vous remerciant, Monſieu le Bailli, je n’avons plus que faire de vos écritures.	En vous remerciant, Monsieu le Bailli, je n'avons plus que faire de vos écritures.
LE BAILLI.	LE BAILLI.
Comment !	Comment !
He, qui êtes-vous done, mon ami;	He, qui êtes-vous done, mon ami;
vous qui raiſonnez?	vous qui raisonnez?
JULIEN.	JULIEN.
Qui je ſis?	Qui je sis?
hé pargué, je ſis moi, avez-vous la barlue?	hé pargué, je sis moi, avez-vous la barlue?
Me BiſLi.	Me BisLi.
Hé!	Hé!
qui, vous?	qui, vous?
Je ne vous connois point.	Je ne vous connais point.
JULIEN.	JULIEN.
Morgué!	Morgué!
tant pis pour vous.	tant pis pour vous.
Vous êtes plus malade que vous ne croyais, piſque vous avez:	Vous êtes plus malade que vous ne croyais, pisque vous avez:
pardu connoiſſance.	pardu connaissance.
a.	a.
euiſis Iy Ms Vous ne reconnoiſſez pas mon mari, Monſieu le Bailli :	euisis Ii Ms Vous ne reconnaissez pas mon mari, Monsieur le Bailli :
LE BAILLI Ce ne l’eſt point-là, Madame Julienne.	LE BAILLI Ce ne l'est point-là, Madame Julienne.
Me AGATHE.	Me AGATHE.
eu leſr pomeaa la coiperec ansa,	eu lesr pomea la coipèrec ansa,
LE BAILLI.	LE BAILLI.
Non, il y a plus de trois ſemaines qu’il eſt noyé.	Non, il y a plus de trois semaines qu'il est noyé.
JULIEN.	JULIEN.
Je ſis noyé, moi?	Je sis noyé, moi?
palſangué, vous en avez menti, Monſieu le Bailli.	palsangué, vous en avez menti, Monsieu le Bailli.
LE BAILLI.	LE BAILLI.
Il y a un bon procès verbal qui certifie le fait.	Il y a un bon procès verbal qui certifie le fait.
JULIEN.	JULIEN.
Oh tatigué!	Oh tatigué!
je çartifie le contraire,	je çartifie le contraire,
JULIENNE.	JULIENNE.
Et je noue gauſſons du procès verbal.	Et je noue gaussons du procès verbal.
LEBAILLI.	LEBAILLI.
C'eſt ce qu’il faudra voir.	C'est ce qu'il faudra voir.
CLITANDRE.	CLITANDRE.
Ecoutos, auonneut le num, voue vous enguo:	Écoutos, avonnut le num, voue vous enguo:
goz-là dans une affaire.	goz-là dans une affaire.
LEBAIDEI.	LEBAIDEI.
Le Moûnier eſt noyé, cela aura des ſuites.	Le Mounier est noyé, cela aura des suites.
JULIEN.	JULIEN.
Ohbien!	Ohbien!
morgué, ſi je ſis nayé, c’eſt vous qu'i faut pendre:	morgué, si je sais nayé, c'est vous qu'y faut pendre:
car c’eſt de votre façon, puiſqu’il faur doht dnes	car c'est de votre façon, puisqu'il saur doht dînes
CLITANDRE.	CLITANDRE.
Comment, de ſa façon?	Comment, de sa façon?
JULIEN.	JULIEN.
Oui, voirement, c’eſt ly qui m'a conſeillé de laiſſer croire ça, pour faire pendre Julianne.	Oui, voirement, c'est li qui m'a conseillé de laisser croire ça, pour faire pendre Julianne.
JULIENNE.	JULIENNE.
Pour me faire pondre!	Pour me faire pondre!
tu as eu ce cœur-là, 3 cher petit mari!	tu as eu ce cœur-là, 3 cher petit mari!
JULIEN.	JULIEN.
Morgué, je ne l’ai pas eu long-temps, comme tu vois, je ſis ſans rancune.	Morgué, je ne l'ai pas eu longtemps, comme tu vois, je sis sans rancune.
Ne me fais plus enrager, je n’irai plus à Nemours, vivons bien enſemble;	Ne me fais plus enrager, je n'irai plus à Nemours, vivons bien ensemble;
la Juſtice en aura un pied de nez, & ſi alle ne le boutera, morgué, pas dans nos affaires.	la Justice en aura un pied de nez, et si allé ne le boutera, morgué, pas dans nos affaires.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
JULIEN, JULIENNE, CEITAN.	JULIEN, JULIENNE, CEITAN.
DRE, COLETIE, LEPINE, Me AGATHE, LE BAILLI, CHARLOT, MATURIN.	DRE, COLETIE, LEPINE, Me AGATHE, LE BAILLI, CHARLOT, MATURIN.
MATURIN.	MATURIN.
Adame Julianne, velà ces parſonnes que Otu.	Adame Julianne, velà ces parsonnes que Otu.
vous avez fait prier des flançailles de Colette, qui n’oſont approcher, parce qu’ils voyont ici des gens de Juſtico.	vous avez fait prier des flançailles de Colette, qui n'ont approcher, parce qu'ils voyont ici des gens de Justico.
JULIEN.	JULIEN.
Ils avont, morgué raiſon;	Ils avont, morgué raison;
c’eſt une vilaine viſion.	c'est une vilaine vision.
Mais parle done, he] temme, eſt-ce quetu maries comme-ça notre niéco, ſans que j’en ſçache rien ?	Mais parle donc, hé] temme, est-ce quetu maries comme-là notre nièco, sans que j'en sache rien ?
o Cuan de ae duu Oui, Julian, & ſi tu n'y baillee pas ton conſentement, je recommencerons à quereller, mon enſant, tu n’as qu’à dire.	ô Cuan de ae du Oui, Julian, et si tu n'y baille pas ton consentement, je recommencerons à quereller, mon ensant, tu n'as qu'à dire.
JUEIEN.	JUEIEN.
Oh!	Oh!
palſangué, non, ne querellons point, j’aime?	palsangué, non, ne querellons point, j'aime?
mieux faire tout ce que tu voudras.	mieux faire tout ce que tu voudras.
CIITANDRE.	CIITANDRE.
Vous n’aurez pas lieu de vous reprocher cetto:	Vous n'aurez pas lieu de vous reprocher cetto:
complaiſance, 2	complaisance, 2
JULIEN.	JULIEN.
Je le veux bion, velà qui eſt fini, Monſieu Chrandre.	Je le veux bion, velà qui est fini, Monsieu Chrandre.
Me AGATHE, Tu ſçais bien co que tu m’as promis, Charlot?	Me AGATHE, Tu sais bien co que tu m'as promis, Charlot?
dIIAREOJ.	dIIAREON.
Hé!	Hé!
bien, touchez-là, je ſis garçon de parole.	bien, touchez-là, je sis garçon de parole.
JULIEN.	JULIEN.
A la franquette, Monſieu le Bailli, je ſerais moi, maugré vous, vous avez biau faire.	À la franquette, Monsieu le Bailli, je serais moi, maugré vous, vous avez biau faire.
Hé!	Hé!
mor pue, aamentaquo en patay je.	mór pue, amentaquo en patay -je.
voue buiucrons de bonne amiquié oe que vous pourrais gagner à nous parſécuter.	voue buivrons de bonne amiquié oe que vous pourrais gagner à nous parsécuter.
N’eſt-ce pas être raiſonnables?	N'est-ce pas être raisonnables?
CHARLOT.	CHARLOT.
Allons, Monſieu le Bailli, Julien n’a pas tort;	Allons, Monsieur le Bailli, Julien n'a pas tort;
e'eſt vous & moi qui l’avions tantôt jetté à l’lau.	éest vous et moi qui l'avions tantôt jeté à l'lau.
Morgüé, repêchons-le, qu’eſt-ce que ça nous coutela ?	Morguyé, repêchons-le, qu'est-ce que çà nous coutela ?
LE BAILLI.	LE BAILLI.
Je ſuis trop humain pour un Bailli, qu’il n’en ſoit plus parlé;	Je suis trop humain pour un Bailli, qu'il n'en soit plus parlé;
mais au moins.	mais au moins.
JULIEN.	JULIEN.
Je feronsbien les choſes, ne vous boutez pas en puaaudouuuolaypuauautteoncotooman(ailles de Colette, j’allons faire notre remariage.	Je feronsbien les choses, ne vous boutez pas en puaaudouuuolaypuauautteoncotooman (ailles de Colette, j'allons faire notre remariage.
Allons, palſangué, que tout le monde vienne, & que tous les Menêtriers jouyont queuque drôlerie, qui faſſe un peu trentouſſer ces jeunes tilles.	Allons, palsangué, que tout le monde vienne, et que tous les Ménétriers jouiont queuque drôlerie, qui fasse un peu trentousser ces jeunes titilles.
DIVER TISSEMENT DU MARIREIROUVEM.	DIVER TISSEMENT DU MARIREIROUVEM.
TOUVENEL.	TOUVENEL.
POur célébrer les nôces de Colette, Folatrons, chantons & danſons:	POur célébrer les nôces de Colette, Folâtrons, chantons et dansons:
Qu’on faſſe retenir les ſons Du hautbois & de la muſette, Et que partout l’Echo répete.	Qu'on fasse retenir les sons Du hautbois et de la musette, Et que partout l'Écho répète.
Nos agréables chanſons!	Nos agréables chansons!
ENTRE'E C De deux Meûniers, & de deux Meûnieres.	ENTRE Ç De deux Meûniers, et de deux Meûnieres.
Me AGATHE.	Me AGATHE.
Les maris qu’on voit parmi nous Sont marchandiſe bien mêlée, Pour bien faire, il faudroit les noyer preſque tous Et la France, ſaute d’époux, N’en ſeroit pas moins peuplée.	Les maris qu'on voit parmi nous Sont marchandise bien mêlée, Pour bien faire, il faudrait les noyer presque tous Et la France, saute d'époux, N'en serait pas moins peuplée.
ENTREE D’un Meunier, & de Madame Afathe.	ENTRE D'un Meunier, et de Madame Afathe.
CHARLOT.	CHARLOT.
Pelſangue, ſi j'avois fait blen, Lorſque vous cereſſiez ma petite Meliniere;	Pelsangue, si j'avais fait blen, Lorsque vous ceressiez ma petite Melinière;
J'aurois ſur vous laclé mon chien, Quoi!	J'aurais sur vous laclé mon chien, Quoi!
me ravir Colette, à moi de la magniere, ca me deplaſt, ca ne vaut rien, C'eſt, morguenne, empêcher le cours de la rlriere.	me ravir Collette, à moi de la magnière, ca me deplast, ca ne vaut rien, C'est, morguenne, empêcher le cours de la rèrière.
Pargué, c’eſt être bien malin, De detourner l’iau d’un moulin.	Pargué, c'est être bien malin, De détourner l'iau d'un moulin.
ENTREE Depluſieurs Meûniers & Meunieres.	ENTRE Déplusieurs Meûniers et Meunières.
Je ne ſuis qu’une Mellniere;	Je ne suis qu'une Melnière;
Mais ſi l’Amour Vouloit un jour Me ranger ſous ſa loi ſevere, ve dea daunl de que eqvuez Et pour punir ce petit téméraire, J'en ferois mon Garde-Moulin.	Mais si l'Amour Voulait un jour Me ranger sous sa lois sévère, ve dea daun de que eqvuez Et pour punir ce petit téméraire, J'en ferais mon Garde-Moulin.
M.	M.
TOUVENEL.	TOUVENEL.
Tu croyois, en aimant Colette, Que tu n’aurois point de Rival;	Tu croyais, en aimant Collette, Que tu n'aurais point de Rival;
Mais le Moulin d’une coquette.	Mais le Moulin d'une coquette.
Eſt toujours un Moulin bannal.	Est toujours un Moulin bannal.
M.	M.
TOUVENEL.	TOUVENEL.
Monſieur Clitandre a bon génie, En ſaiſant même un mauvais pos u Il prend Meûniere cuasvut, Son Moulin ne chomera pas.	Monsieur Clitandre a bon génie, En saisant même un mauvais pô Il prend Meûniere cuasvut, Son Moulin ne chômera pas.
Mlle LOLOTTE Avoir deux Amans en nature, Cela ſe peut, ſelon les loix;	Mlle LOLOTTTE Avoir deux Amants en nature, Cela se peut, selon les lois;
C’eſt tirer d’un ſac deux moutures, Qu’avoir deux époux à la fois.	C'est tirer d'un sac deux moutures, Qu'avoir deux époux à la fois.
Vous qu’Amour à l’hymen deſtine, Ecoutez bien cette leçon, Tel croit en avoir la farine.	Vous qu'Amour à l'hymen destine, Écoutez bien cette leçon, Tel croit en avoir la farine.
Qui ſourent n’en a que V 8 Q	Qui sourent n'en a que V 8 Q
