Chez BARBIN, au Palais, vis à vis le grand Portail de lu Sainté Chapelle, au ſigne de la Croix.	Chez BARBIN, au Palais, vis -à -vis le grand Portail de lu Sainté Chapelle, au signe de la Croix.
C’eſt à vous d’auancer, Et venant de ſi loin vous deuez commencer;	C'est à vous d'avancer, Et venant de si loin vous devez commencer;
Commencez, Polinice, embraſſez voſtre Frere, Et monſtrez.	Commencez, Polinice, embrassez votre Frère, Et montrez.
ETEOCLE.	ETECLE.
Hé!	Hé!
Madame, à quoy bon ce myſtere?	Madame, à quoi bon ce mystère?
Tous ces embraſſemens ne ſont guere à propos, Qu’il parle, qu’il s’explique & nous laiſſe en repos.	Tous ces embrassements ne sont guère à propos, Qu'il parle, qu'il s'explique et nous laisse en repos.
POLINICE.	POLINICE.
Quoy faut-il d’auantage expliquer mes penſées?	Quoi faut-il d'avantage expliquer mes pensées?
On les peut deſcouurir par les choſes paſſées, La guerre, les combats, tant de ſang répandu, Tout cela dit aſſez que le troſne m’eſt dû.	On les peut découvrir par les choses passées, La guerre, les combats, tant de sang répandu, Tout cela dit assez que le trône m'est dû.
LTEOCLE.	LTECLE.
Et ces meſmes combats, & cette meſme Guerre, Ce ſang qui tant de lois a Iait Iougn la Terre, Tout cela dit aſſez que le Troſne eſt à moy, Et tant que ie reſpire il ne peut eſtre à toy.	Et ces mêmes combats, et cette même Guerre, Ce sang qui tant de lois a Y Ougn la Terre, Tout cela dit assez que le Trône est à moi, Et tant que ie respire il ne peut être à toi.
POLINICE.	POLINICE.
Tu ſçais qu’iniuſtement tu remplis cette place.	Tu sais qu'injustement tu remplis cette place.
E in e a las L’injuſtice me plaiſt pourueû que ie t’en chaſſe.	E in e a las L'injustice me plaît pourvu que je t'en chasse.
FOLINICE.	FOLINICE.
Si tu n’en veux ſortir, tu pourras en tomber.	Si tu n'en veux sortir, tu pourras en tomber.
ETEOCLE.	ETECLE.
Si ie tombe, auec moy tu pourras ſuccomber.	Si ici tombe, avec moi tu pourras succomber.
IOCASTE.	JOCASTE.
O Dieux!	Ô Dieux!
que je me vois cruellement deceüe!	que je me vois cruellement déçue!
N’auois-je tant preſſé cette fatale veüe, Que pour les desünir encor plus que jamais?	N'avais-je tant pressé cette fatale vue, Que pour les desünir encor plus que jamais?
Ah!	Ah!
mes Fils, eſt-ce là comme on parle de Paix.	mes Fils, est-ce là comme on parle de Paix.
Quittez, au nom des Dieux, ces tragiques penſées, Ne renouuellez point vos diſcordes paſſées, Vous n’eſtes pas icy dans vn champ inhumain.	Quittez, au nom des Dieux, ces tragiques pensées, Ne renouvelez point vos discordes passées, Vous n'êtes pas ici dans un champ inhumain.
Eſt-ce moy qui vous met les armes à la main?	Est-ce moi qui vous met les armes à la main?
Conſiderez ces lieux où vous priſtes naiſſance.	Considérez ces lieux où vous prîtes naissance.
Leur aſpect ſur vos cœurs n’a t’il point de puiſſance?	Leur aspect sur vos cœurs n'a -t-il point de puissance?
C’eſt icy que tous deux vous receuſtes le jour, Tout ne vous parle icy que de Paix & d’amour.	C'est ici que tous deux vous reçûtes le jour, Tout ne vous parle ici que de Paix et d'amour.
Ces Princes, voſtre Sœur, tout condamne vos haine Enfin moy qui pour vous pris touſiours tant de peines, Qui pour vous reünir immolerois.	Ces Princes, votre Sœur, tout condamne vos haine Enfin moi qui pour vous pris toujours tant de peines, Qui pour vous réunir immolerais.
Helas, Ils deſtournent la teſte, & ne m’écoutent pas.	Hélas, Ils détournent la tête, et ne m'écoutent pas.
Tous deux pour s’attendrir ils ont l’ame trop dure, Ils ne connoiſſent plus la voix de la Nature, La fiere ambition qui regne dans leur cœur N’écoute de conſeils que ceux de la fureur.	Tous deux pour s'attendrir ils ont l'âme trop dure, Ils ne connaissent plus la voix de la Nature, La fière ambition qui règne dans leur cœur N'écoute de conseils que ceux de la fureur.
Leur Sang meſme infecté de ſa funeſte haleine, Ou ne leur purie plus, ou ſeur parle de haine.	Leur Sang même infecté de sa funeste haleine, Ou ne leur purie plus, ou sûr parle de haine.
à Polinice.	à Polinice.
Et vous que ie croyois plus doux & plus ſoſtmis.	Et vous que ici croyais plus doux et plus sôtmis.
POLINICE.	POLINICE.
Ie ne veux rien de luy que ce qu’il m’a promis.	Je ne veux rien de vertu que ce qu'il m'a promis.
Il ne ſçauroit regner ſans ſe rendre parjure.	Il ne saurait régner sans se rendre parjure.
IOCASTE.	JOCASTE.
Vne extrême juſtice eſt ſouuent vne iniure.	Une extrême justice est souvent une injure.
Le Troſne vous eſt dû, je n’en ſçaurois douter, Mais vous le renuerſez en voulant y monter.	Le Trône vous est dû, je n'en saurais douter, Mais vous le renversez en voulant y monter.
Ne vous laſſez-vous point de cette affreuſe guerre?	Ne vous lassez-vous point de cette affreuse guerre?
Voulez-vous ſans pitié deſoler cette terre, Deſtruire cet Empire afin de le gagner?	Voulez-vous sans pitié désoler cette terre, Détruire cet Empire afin de le gagner?
Eſt-ce deſſus des morts que vous voulez regner?	Est-ce dessus des morts que vous voulez régner?
Thebes auec raiſon craint le regne d’vn Prince, Qui de fleuues de ſang inonde ſa Prouince, Voudroit-elle obeïr à voſtre iniuſte Loy?	Thebes avec raison craint le règne d'un Prince, Qui de fleuves de sang inonde sa Province, Voudrait-elle obéir à votre injuste Loi?
Vous eſtes ſon tyran auant qu’eſtre ſon Roy.	Vous êtes son tyran avant qu'être son Roi.
Dieux!	Dieux!
ſi deuenant Grand ſouuent on deuient pire, Si la vertu ſe perd quand on gaigne l’Empire, Lors que vous regnerez que ſerez-vous helas!	si devenant Grand souvent on devient pire, Si la vertu se perd quand on gagne l'Empire, Lors que vous régnerez que serez-vous hélas!
Si vous eſtes cruel quand vous ne regnez pas?	Si vous êtes cruel quand vous ne régnez pas?
POLINICE	POLINICE
POLINICE.	POLINICE.
Ah!	Ah!
ſi ie ſuis cruel on me force de l’eſtre.	si ici suis cruel on me force de l'être.
Et de mes actions je ne ſuis pas le Maiſtre, Si ie ſuis violent c’eſt que je ſuis contraint;	Et de mes actions je ne suis pas le Maître, Si ici suis violent c'est que je suis contraint;
Et c’eſt injuſtement que le Peuple me craint.	Et c'est injustement que le Peuple me craint.
Ie ne me connois plus en ce mal-heur extrême, En m’arrachant au Troſne on m’arrache à moy-meſme, Tant que j’en ſuis dehors je ne ſuis plus à moy, Pour eſtre vertueux il faut que ie ſois RoyMais il faut en effet ſoulager ma Patrie, De ſes gemiſſemens mon ame eſt attendrie, Trop de ſang innocent ſe verſe tous les jours, Il faut de ſes mal-heurs que j’arreſte le cours, Et taiisrante geilir ny rnlenesriy la Grece, A l’Auteur de mes maux il faut que je m’addreſſe, Il ſuſfit auſourd’huy de ſon ſang où du mien.	Je ne me connais plus en ce malheur extrême, En m'arrachant au Trône on m'arrache à moi-même, Tant que j'en suis dehors je ne suis plus à moi, Pour chang vertueux il faut que sans sois RoyMais il faut en effet soulager ma Patrie, De ses gémissements mon âme est attendrie, Trop de sang innocent se verse tous les jours, Il faut de ses malheurs que j'arrête le cours, Et taiisante geilirante rnlenesriy la Grece, A l'Auteur de mes maux il faut que je m'addresse, Il susfit 'hui de son sang où du mien.
IOCASTE.	JOCASTE.
Du ſang de voſtre Frere?	Du sang de votre Frère?
POLINICE.	POLINICE.
Oüy Madame, du ſien.	Oui Madame, du sien.
Il faut finir ainſi cette guerre inhumaine.	Il faut finir ainsi cette guerre inhumaine.
Oüy, cruel, & c’eſt-là le deſſein qui m’ameine, Moy-meſme à ce combat j’ay voulu t’appeller, A tout autre qu’à toy ie craignois d’en parler.	Oui, cruel, et c'est-là le dessein qui m'amène, Moi-même à ce combat j'ai voulu t'appeler, À tout autre qu'à toi Madame craignais d'en parler.
Tout autre auroit voulu condamner ma penſée, Et perſonne en ces lieux ne te l’euſt annoncée.	Tout autre aurait voulu condamner ma pensée, Et personne en ces lieux ne te l'eût annoncée.
Ie te l’annonce donc.	Je te l'annonce donc.
C’eſt à toy de prouuer, Si ce que tu rauis tu le ſçais conſeruer;	C'est à toi de prouver, Si ce que tu ravis tu le sais conserver;
Montre-toy digne enfin, d’vne ſi belle proye.	Montre-toi digne enfin, d'une si belle proie.
ETEOCLE.	ETECLE.
I'accepte ton deſſein & l’accepte auec joye, Creon ſçait là-deſſus quel eſtoit mon deſir, I’euſſe accepté le Troſne auec moins de plaiſir.	J'accepte ton dessein et l'accepte avec joie, Creon sçait là-dessus quel était mon désir, J'eusse accepté le Trône avec moins de plaisir.
Ie te crois maintenant digne du Diadéme, Et te le vais porter au bout de ce fer meſme.	Je te crois maintenant digne du Diadème, Et te le vais porter au bout de ce fer même.
IOCASTE.	JOCASTE.
Haſtez-vous donc cruels de me percer le ſein, Et commencez par moy voſtre horrible deſſein.	Hâtez-vous donc cruels de me percer le sein, Et commencez par moi votre horrible dessein.
Ne conſiderez point que ie ſuis voſtre Mere, Conſiderez en moy celle de voſtre Frere, Si de voſtre ennemy vous recherchez le ſang, Recherchez en la ſource en ce mal-heureux flanc.	Ne considérez point que je suis votre Mère, Considérez en moi celle de votre Frère, Si de votre ennemi vous recherchez le sang, Recherchez en la source en ce malheureux flanc.
Ie ſuis de tous les deux la commune ennemie, Puiſque voſtre ennemy receût de moy la vie;	Je suis de tous les deux la commune ennemie, Puisque votre ennemi reçut de moi la vie;
Cet ennemy ſans moy ne verroit pas le iour, S’il meurt ne faut-il pas que ie meure à mon tour?	Cet ennemi sans moi ne verrait pas le jour, S'il meurt ne faut-il pas que ici meure à mon tour?
N’en doutez point, ſa mort me doit eſtre commune.	N'en doutez point, sa mort me doit être commune.
Il faut en donner deux, ou n’en donner pas vne, Et ſans eſtre ny doux ny cruels à demy, Il faut me perdre ou bien ſauuer voſtre ennemy.	Il faut en donner deux, ou n'en donner pas une, Et sans être ici doux mieux cruels à demi, Il faut me perdre ou bien sauver votre ennemi.
Si la vertu vous plaiſt, ſi l’honneur vous anime, Barbares rougiſſez de commettre vn tel crime, Cu ſi le crime enfin vous plaiſt tant à chacun, Barbares rougiſſez de n’en commettre qu’vn, Auſſi bien ce n’eſt point que l’amitié vous tienne, Si vous fauuez mna vie en pouridiuant la ſienne, Vous vous garderiez bien cruels de m’eſpargner, Si ie vous empeſchois vn moment de regner.	Si la vertu vous plut, si l'honneur vous anime, Barbares rougissez de commettre un tel crime, Cu si le crime enfin vous plaît tant à chacun, Barbares rougissez de n'en commettre qu'un, Aussi bien ce n'est point que l'amitié vous tienne, Si vous fauvez ména vie en pouridivant la sienne, Vous vous garderiez bien cruels de m'épargner, Si je vous empêchais un moment de régner.
Polinice, eſt-ce ainſi que l’on traitte vne Mere?	Polinice, est-ce ainsi que l'on traite une Mère?
POLINICE.	POLINICE.
I’épargne mon pays.	J'épargne mon pays.
IOCASTE.	JOCASTE.
Et vous tuez vn Frere.	Et vous tuez un Frère.
FOLINTCE.	FOLINTCE.
Ie punis vn meſchant.	Je punis un méchant.
IOCASTE.	JOCASTE.
Et ſa mort aujourd’huy.	Et sa mort aujourd'hui.
Vous rendra plus coupable & plus meſchant que luy.	Vous rendra plus coupable et plus méchant que lui.
POLINICE.	POLINICE.
Faut-il que de ma main je couronne ce traiſtre, Et que de Cour en Cour j’aille chercher vn Maiſtre, Qu’errant & vagabond ie quitte mes Eſtats, Pour obſeruer des Loy s qu’il ne reſpecte pas?	Faut-il que de ma main je couronne ce traître, Et que de Cour en Cour j'aille chercher un Maître, Qu'errant et vagabond rien quitte mes États, Pour observer des Lo s s'il ne respecte pas?
De ſes propres forfaits ſeray-je la Victime?	De ses propres forfaits serai-je la Victime?
Le Diadéme eſt-il le partage du crime?	Le Diadème est-il le partage du crime?
Querdroit ou quel deuoir n’a t’il point violé?	Querdrait ou quel devoir n'a -t-il point violé?
Et cependant il regne & ie ſuis exilé.	Et cependant il règne et ie maires exilé.
IOCASTE.	JOCASTE.
Vn exil innocent vaut mieux qu’vne Couronne Que le crime noircit, que le parjure donne, Voſtre baniſſement vous rendra glorieux, Et le Troſne mon Fils vous rendroit odieux.	Un exil innocent vaut mieux qu'une Couronne Que le crime noircit, que le parjure donne, Votre banissement vous rendra glorieux, Et le Trône mon Fils vous rendrait odieux.
ba tous aj momten puoe clele cre din autre ?	ba toujours a momten puie clèle cre din autre ?
Mais ſi vous y montez ce ſera par le voſtre.	Mais si vous y montez ce sera par le vôtre.
Conſeruez voſtre gloire.	Conservez votre gloire.
ANTIGONE.	ANTIGONE.
Ah!	Ah!
mon Frere en effet, Pouuez-vous conceuoir cet horrible forfait?	mon Frère en effet, Pouvez-vous concevoir cet horrible forfait?
Ainſi donc tout à coup l’honneur vous abandonne?	Ainsi donc tout à coup l'honneur vous abandonne?
O Dieux!	Ô Dieux!
Eſt-il ſi doux de porter la Conronne?	Est-il si doux de porter la Conronne?
Et pour le ſeul plaiſir d’en eſtre reueſtu, Peut on ſe dépoüiller de toute ſa Vertu?	Et pour le seul plaisir d'en être revêtu, Peut on se dépouiller de toute sa Vertu?
ula vertu jamais euit regné dans voitre ame, En feriez vous au Troſne vn Sacrifice infame?	ula vertu jamais euit régné dans voitre âme, En feriez -vous au Trône un Sacrifice infâme?
Quand on l’oſe immoler on la connoiſt bien peu, Et la Victime helas!	Quand on l'ose immoler on la connaît bien peu, Et la Victime hélas!
vaut bien plus que le Dieu.	vaut bien plus que le Dieu.
HEMON.	HÉMON.
peigmeur lans vousiurel a ce maineur exdeme, Le Ciel à vos deſirs offre le Diadême.	peigmeur lans vousivrel a ce maineur exidème, Le Ciel à vos désirs offre le Diadme.
Ious pouuez ſans reſpandre vne goutte de ſang.	Jous pouvez sans répandre une goutte de sang.
Jés que vous le voudrez monter à ce haut rang.	Jès que vous le voudrez monter à ce haut rang.
.	.
Puiſque le Roy d’Argos vous cede vne Couronne.	Puisque le Roi d'Argos vous cède une Couronne.
POLINICE.	POLINICE.
Dois-je chercher ailleurs ce que le ſang me donnc?	Dois-je chercher ailleurs ce que le sang me donnc?
i m’alliant chez luy n’auray-je rien porté, E ij Et tiendray-je mon rang de ſa ſeule bonté?	y j'alliant chez tu n'aurai-je rien porté, E j Et tiendrai-je mon rang de sa seule bonté?
D’vn Throſne qui m'eſt dû, faut-il que l’on me chaſſe Et d’vn Prince eſtranger que je brigue la place?	D'un Thrône qui m'est dû, faut-il que l'on me chasse Et d'un Prince étranger que je brigue la place?
Non non, ſans m’abaiſſer à luy faire la Cour, Ie veux deuoir le Sceptre à qui je dois le iour?	Non non, sans m'abaisser à lui faire la Cour, Je veux devoir le Sceptre à qui je dois le jour?
HEM N.	HEM N.
Qu'on le tieme, seigneur, d un neau pere ou d’vn Pere.	Qu'on le tième, seigneur, d' au neau père ou d'un Père.
La main de tous les deux vous ſera touſiours chere.	La main de tous les deux vous sera toujours chère.
POLINICE.	POLINICE.
Hémon, la difference eſt trop grande pour moy, L’vn me feroit eſclaue, & l’autre me fait Roy.	Hémon, la différence est trop grande pour moi, L'un me ferait esclaue, et l'autre me fait Roi.
Quoy ma grandeur ſeroit l’ouurage d’vne femme?	Quoi ma grandeur serait l'ouvrage d'une femme?
D’vn éclat ſi honteux je rougirois dans l’ame, Le Troſne ſans l’amour me ſeroit donc fermé?	D'un éclat si honteux je rougirais dans l'âme, Le Trône sans l'amour me serait donc fermé?
Ie ne regnerois pas ſi l’on ne m’euſt aimé?	Je ne régnerais pas si l'on ne m'eût aimé?
Ie veux m’ouurir le Troſne, ou jamais n’y paroiſtre, Et quand j’y monteray j’y veux monter en Maiſtre, Que le Peuple à moy ſeul ſoit forcé d’obeyr, Et qu’il me ſoit permis de m’en faire haïr.	Je veux m'ouvrir le Trône, ou jamais n'y paraître, Et quand j'y monterai j'y veux monter en Maître, Que le Peuple à moi seul soit forcé d'obéir, Et qu'il me soit permis de m'en faire haïr.
Emiii de ma prandeur je veux ertre l’arbitre, Eſtre Roy, cher Hemon, & l’eſtre à iuſte titre, Que le Sang me couronne, ou s’il ne ſuffit pas, Ie veux à ſon ſecours n’appeller que mon bras.	Emi de ma prandeur je veux ertre l'arbitre, Être Roi, cher Hémon, et l'être à juste titre, Que le Sang me couronne, ou s'il ne suffit pas, Je veux à son secours n'appeler que mon bras.
IOCASTE.	JOCASTE.
Faites plus, tenez tout de voſtre grand courage, Que voſtre bras tout ſeul faſſe voſtre partagé, Et deſdaignant les pas des autres Souuerains, Soyez, mon Fils, ſoyez l’ouurage de vos mains.	Faites plus, tenez tout de votre grand courage, Que votre bras tout seul fasse votre partagé, Et dédaignant les pas des autres Souverains, Soyez, mon Fils, soyez l'ouvrage de vos mains.
Par d’illuſtres exploicts couronnez vous vous-meſme, Qu’vn ſuperbe laurier ſoit voſtre Diadéme;	Par d'illustres exploits couronnez -vous vous-même, Qu'une superbe laurier soit votre Diadème;
Regnez & triomphez, & joignez à la fois, La gloire des Heros à la Pourpre des Roys.	Regnez et triomphez, et joignez à la fois, La gloire des Héros à la Pourpre des Rois.
Quoy?	Quoi?
voſtre ambition ſeroit-elle bornée, A regner tour à tour l’eſpace d’vne année?	votre ambition serait-elle bornée, A régner tour à tour l'espace d'une année?
Cherchez à ce grand cœur que rienme peut domptet, Quelque Troſne où vous ſeul ayez droit de monter.	Cherchez à ce grand cœur que rien peut domptet, Quelque Trône où vous seul ayez droit de monter.
Mille Sceptres nouueaux s’offrent à voſtre épée, Sans que d'vn ſang ſi cher nous la voyons trempée, Vos triomphes pour moy n’auront rien que de doux, Et voſtre Frere meſme ira vaincre auec vous.	Mille Sceptres nouveaux s'offrent à votre épée, Sans que d'un sang si cher nous la voyons trempée, Vos triomphes pour moi n'auront rien que de doux, Et votre Frère même ira vaincre avec vous.
POLINICE.	POLINICE.
vous vouiez que momomm flate de ces emeres, Laiſſe vn vſurpateur au Troſne de mes Peres?	vous vouiez que momomm flatte de ces emères, Laisse un usurpateur au Trône de mes Pères?
IOCASTE.	JOCASTE.
Si vous luy ſouhaittez en effet tant de mal, Eleuez-le vous-meſme à ce Troſne fatal.	Si vous y souhaittez en effet tant de mal, Élevez-le vous-même à ce Trône fatal.
Ce Troſne fut touſiours vn dangereux abyſme, Et fouere renuironne auſſi bien que le crime, Voſtre Pere & les Roys qui vous ont deuancez, Si-toſt qu’ils y montoient s’en ſont veûs renuerſez.	Ce Trône fut toujours un dangereux abîme, Et fouere renvironne aussonne bien que le crime, Votre Père et les Rois qui vous ont devancez, Sitôt qu'ils y montaient s'en sont veûs renversés.
POLINICE.	POLINICE.
Quand je deurois au Ciel rencontrer le tonnerre, Iy monterois pluſtoſt que de ramper à terre, Mon cœur jaloux du ſort de ces grands mal-heureux, Veut s’éleuer, Madame, & tomber auec eux.	Quand je devrais au Ciel rencontrer le tonnerre, Ii monterais plutôt que de ramper à terre, Mon cœur jaloux du sort de ces grands malheureux, Veut s'élever, Madame, et tomber avec eux.
LICOCLE.	LICOCLE.
Ie ſçauray t’épargner vne chûte ſi vainc.	Je saurai t'épargner une chute si vainc.
POLINICE.	POLINICE.
Ah!	Ah!
ta chûte bien-toſt précedera la mienne.	ta chute bientôt précédera la mienne.
IOCASTE.	JOCASTE.
Mon Fils ſon regne plaiſt.	Mon Fils son règne plaît.
POLINICE.	POLINICE.
Mais il m’eſt odicu	Mais il m'est odicu
IOCASTE.	JOCASTE.
Il a pour luy le Peuple.	Il a pour lui le Peuple.
POLINICE.	POLINICE.
Et j’ay pour moy les Dieu	Et j'ai pour moi les Dieu
ETEOCLE.	ETECLE.
Les Dieux de ce haut rang te vouloient interdire, Puis qu’ils mont éleué le premier à l’Empire;	Les Dieux de ce haut rang te voulaient interdire, Puis qu'ils mont élevé le premier à l'Empire;
E iij Ils ne ſçauoient que trop lors qu’ils firent ce choix, Qu’on veut regner touſiours quand on regne vne fois.	 iij On ne savaient que trop lors qu'ils firent ce choix, Qu'on veut régner toujours quand on règne une fois.
Iamais deſſus le Troſne on ne vit plus d’vn Maiſtre, Il n’en peut tenir deux quelque grand qu’il puiſſe eſtre;	Jamais dessus le Trône on ne vit plus d'un Maître, Il n'en peut tenir deux quelque grand qu'il puisse être;
L’vn des deux toſt ou tard ſe verroit renuerſé, Et d’vn autre ſoy-meſme on y ſeroit preſſé.	L'un des deux tôt ou tard se verrait renversé, Et d'un autre soi-même on y serait pressé.
lugez donc par i'horreur que ce meſchant me donne, Si je puis auec luy partager la Couronne.	lugez donc par j'horreur que ce méchant me donne, Si je puis avec deux partager la Couronne.
POLINICE.	POLINICE.
Et moy je ne veux plus tant tu m’és odieux, Partager auec toy la lumiere des Cieux.	Et moi je ne veux plus tant tu m'ez odieux, Partager avec toi la lumière des Cieux.
IOCASTE.	JOCASTE.
Allez donc, j’y conſens, allez perdre la vie, A ce cruel combat tous deux je vous conuie, Puiſque tous mes efforts ne ſçauroient vous changer, Que tardez-vous?	Allez donc, j'y consens, allez perdre la vie, À ce cruel combat tous deux je vous convie, Puisque tous mes efforts ne sauraient vous changer, Que tardez-vous?
Allez vous perdre & me vanger.	Allez vous perdre et me venger.
Surpaſſez s’il ſe peut les crimes de vos Peres, Monſtrez en vous tuant comme vous eſtes Freres, Le plus grand des forfaits vous a donné le jour, Ilifaut qu'vn crime égal vous l’arrache à ſon tour.	Surpassez s'il se peut les crimes de vos Pères, Montrez en vous tuant comme vous êtes Frères, Le plus grand des forfaits vous a donné le jour, Ilifaut qu'être crime égal vous l'arrache à son tour.
Ie ne condamne plus la fureur qui vous preſſe, Ie n’ay plus pour mon ſang ny pitié ny tendreſſe, Voſtre exemple m’apprend à ne le plus cherir, Et moy je vais, Cruels, vous aprendre à mourir.	Je ne condamne plus la fureur qui vous presse, Je n'ai plus pour mon sang était pitié ni tendresse, Votre exemple m'apprend à ne le plus chérir, Et moi je vais, Cruels, vous apprendre à mourir.
CREON.	CREON.
Mcaluur eniferſaiienta	Mcaluvr enifersaiienta
ANTIGONE.	ANTIGONE.
Helas!	Hélas!
rien ne les touche.	rien ne les touche.
HEMON.	HÉMON.
Rïen ne peut ébranler leur conſtance farouche.	Royen ne peut ébranler leur constance farouche.
Princes.	Princes.
ANTIGONE.	ANTIGONE.
ETEOCLE.	ETECLE.
Pour ce combat choiſiſſons quelque lieu,	Pour ce combat choisissons quelque lieu,
POLINICE.	POLINICE.
Courons.	Courons.
Adieu ma Sœur.	Adieu ma Sœur.
ETEOCLE.	ETECLE.
Adieu, Princeſſe, Adieu.	Adieu, Princesse, Adieu.
ANTIGONE.	ANTIGONE.
Mes Freres, Arreſtez, Gardes, qu’on les retienne, Er iiMuefhen puen dei lage Midinaiilc, C’eſt leur eſtre cruels que de les contenter.	Mes Frères, Arrêtez, Gardes, qu'on les retienne, Er jiMuefhen puen de la Midinaiilc, C'est leur être cruels que de les contenter.
IIEMON.	IIEMON.
Madame il n’eſt plus rien qui les puiſſe arreſter.	Madame il n'est plus rien qui les puisse arrêter.
ANTIGONE.	ANTIGONE.
Ah!	Ah!
genereux Hémon!	généreux Hémon!
c’eſt vous teul que j’implore, Si la vertu voue pronle, innoun mnmienencore, Et qu’on puiſſe arreſter leur parricides mains, Helas!	c'est vous teul que j'implore, Si la vertu voue pronle, innoul mnmienencore, Et qu'on puisse arrêter leur parricides mains, Hélas!
pour me ſauuer, ſauuez ces inhumains.	pour me sauver, sauvez ces inhumains.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
ACTEV.	ACTEU.
SCETE PREMIERE.	SCETE PREMIÈRE.
ANTIGONE ſeule.	ANTIGONE seule.
Quoy te reſous-tu Princeſſe infortunée?	Quoi te résous-tu Princesse infortunée?
A Ta Mere vient de mourir dans tes bras, Ne ſçaurois-tu ſuiure ſes pas Et finir en mourant ta triſte deſtinée?	À Ta Mère vient de mourir dans tes bras, Ne saurais-tu suivre ses pas Et finir en mourant ta triste destinée?
A de nouueaux mal-heurs te veux-tu reſeruer?	À de nouveaux malheurs te veux-tu réserver?
Tes Freres ſont aux mains, rien ne les peut ſauuer De leurs cruelles armes.	Tes Frères sont aux mains, rien ne les peut sauver De leurs cruelles armes.
Leur exemple t’anime à te percer le flanc, Et toy ſeule verſes des larmes, Tous les autres verſent du ſang.	Leur exemple t'anime à te percer le flanc, Et toi seule verses des larmes, Tous les autres versent du sang.
Quelle eſt de mes mal-heurs l’extrémité mortelle, Où ma douleur doit-elle recourir?	Quelle est de mes malheurs l'extrémité mortelle, Où ma douleur doit-elle recourir?
Dois-je viure, dois-je mourir?	Dois-je vivre, dois-je mourir?
Vn Amant me retient, vne Mere m’apelle, Dans la nuit du tombeau, je la voy qui m’attend, Ce que veut la raiſon, l’amour me le défend Et m’en oſte l’enuie.	Un Amant me retient, une Mère m'appelle, Dans la nuit du tombeau, je la vois qui m'attend, Ce que veut la raison, l'amour me le défend Et m'en ôte l'envie.
Que je voy de ſujets d’abandonner le jour!	Que je vois de sujets d'abandonner le jour!
Mais helas!	Mais hélas!
qu’on tient à la vie, Quand on tient ſi fort à l’amour!	qu'on tient à la vie, Quand on tient si fort à l'amour!
Oüy tu retiens, Amour, mon ame fugitiue, Ie reconnoy la voix de mon Vainqueur, L’eſperance eſt morte en mon cœur Et cependant tu vis, & tu veux que ie viue.	Oui tu retiens, Amour, mon âme fugitive, Je reconnais la voix de mon Vainqueur, L'espérance est morte en mon cœur Et cependant tu vis, et tu veux que ie vive.
Tu dis que mon Amant me ſuiuroit au tombeau, Que je dois de mes jours conſeruer le flambeau, Pour ſauuer ce que j’aime.	Tu dis que mon Amant me suivrait au tombeau, Que je dois de mes jours conserver le flambeau, Pour sauver ce que j'aime.
Hemon voy le pouuoir que l’amour a ſur moy, le neviuiois pas paur Moy ineiine, Et ie veux bien viure pour toy.	Hémon vois le pouvoir que l'amour a sur moi, le neviviais pas paur Ais inéjine, Et ie veux bien vivre pour toi.
Si jamais tu doutas de ma famme hache.	Si jamais tu doutas de ma famme hache.
Mais voicy du combat la funeſte nouuelle.	Mais voici du combat la funeste nouvelle.
OCERE II.	OCE II.
ANTIGONE, OLYMPE.	ANTIGONE, OLYMPE.
ANTIGONE.	ANTIGONE.
Ebien, ma chere Olympe, as-tu veû ce forfait?	Ébien, ma chère Olympe, as-tu vu ce forfait?
H OLYMPE.	H OLYMPE.
L'y ſuis couruë en vain, c’en eſtoit déja fait.	L'y suis courue en vain, c'en était déjà fait.
Du haut de nos rempars j’ay veu deſcendre en larmes, Le Peuple qui couroit & qui crioit aux armes, Et pour vous dire enfin d’où venoit ſa terreur, Le Roy n’eſt plus, Madame, & ſon Frere eſt vainqueur.	Du haut de nos rempars j'ai vu descendre en larmes, Le Peuple qui courait et qui criait aux armes, Et pour vous dire enfin d'où venait sa terreur, Le Roi n'est plus, Madame, et son Frère est vainqueur.
On parle auſſi d’Hemon, l’on dit que ſon courage, S’eſt efforcé long-temps de ſuſpendre leur rage.	On parle aussi d'Hémon, l'on dit que son courage, S'est efforcé longtemps de suspendre leur rage.
Mais que tous ſes efforts ont eſté ſuperflus, C’eſt ce que j’ay compris de mille bruits confus.	Mais que tous ses efforts ont été superflus, C'est ce que j'ai compris de mille bruits confus.
ANTIGONE.	ANTIGONE.
Ah!	Ah!
ie n’en doute pas, Hémon eſt magnanime, Son grand cœur eût touſiouts trop d’horreur pour l crime, Ie l’auois conjuré d’empeſcher ce forfait, Et s’il l’auoit pû faire, Olympe, il l’auroit fait.	Ce n'en doute pas, Hémon est magnanime, Son grand cœur eût toujours trop d'horreur pour l' crime, Je l'avais conjuré d'empêcher ce forfait, Et s'il l'avait pu faire, Olympe, il l'aurait fait.
Mais helas!	Mais hélas!
leur fureur ne pouuoit ſe contraindre, Dans des ruiſſeaux de ſang elle vouloit s’eſteindre:	leur fureur ne pouvait se contraindre, Dans des ruisseaux de sang elle voulait s'éteindre:
Princes dénaturez vous voila ſatisfaits, La mort ſeule entre vous pouuoit mettre la Paix.	Princes dénaturez -vous voilà satisfaits, La mort seule entre vous pouvait mettre la Paix.
