A GENEROSITE ARESIILNNI TRAGEDIE.	À GÉNÉROSITÉ ARESILNNI TRAGÉDIE.
Pour faire en ſa faueur cette inciuilité, Ie demande vn delay c’eſt toute la priere, Que Martian vous doit & vous deſire faire, Differez quelques iours de la perſecuter, Et me donnez le pemps d’agir & de tenter, Par voſtre auihorité moyennez ma conqueſte, Et d'vn commandement appuyez ma requeſte, Affin que poſſedant le comble de mon bien I'efface de ſon cœur tout ſentiment Chreſtien, Ie luy donne vn dégouſi du Dieu qu’elle reſpecte, Et de iuſtes meſpris des fables de ſa ſecte, L’amour eſt mon docteur cet inuincible enfant, Des plus foris arguments me rendra triomçhant, Et traiſnera bien-toſt d’vne douce maniere, Iaſqu’au pred des Autels ſa belle priſonniere.	Pour faire en sa faveur cette incivilité, Je demande un délai c'est toute la prière, Que Martian vous doit et vous désire faire, Différez quelques jours de la persécuter, Et me donnez le pemps d'agir et de tenter, Par votre auihorité moyennez ma conquête, Et d'un commandement appuyez ma requête, Affin que possédant le comble de mon bien J'efface de son cœur tout sentiment Chrétien, Je avait donne un dégousi du Dieu qu'elle respecte, Et de justes mépris des fables de sa te, L'amour est mon docteur cet invincible enfant, Des plus foris aux te rendra triomçhant,Le traînera bientes plus for, Iasqu’au argume Autels me rendra tris.
Cependant n’imployez ny fer, ny cruauté, Contre çette ſuperbe & charmante beauté, Laiſſez à mon amour vn obiet honorable, Et ſou ffrez vn moment vne telle coupable.	Cependant n'imployez ton fer, ni cruauté, Contre çette superbe et charmante beauté, Laissez à mon amour un objet honorable, Et sou ffrez un moment une telle coupable.
MAXIMIAN.	MAXIMIAN.
Oüy, ie te le promots & ne permettray pas Que la moindre contrainte altere ſes appat, Ie ſuis en ta faueur reſola de l’attendre, Ie te dois cerie gratt, & ne m’en pui deffendre.	Oui, Seigneur te le promots et ne permettrai pas Que la moindre contrainte altère ses appât, Je suis en ta faveur résola de l'attendre, Je te dois cerie gratt, et ne m'en pu défendre.
MARTIANSAnti MA SE Ie n’eſperois pas moins de voſire Majeflé.	MARTIANSAnti MA SE Je n'espérais pas moins de vosire Majeflé.
Que l’ordinaire effect d’vne extréme bouté, dt muje prejamel quevate buma-mepnacure, da- Agira pour ma fleme enuers celle que i’ayme.	Que l'ordinaire effet d'une extrême bouté, dût muie préjamel quevate buma-mêmepnacure, da-même Agira pour ma fléme envers celle que j'aime.
MAXIMIAN.	MAXIMIAN.
Oüy, ſi noſtre inſenſible eſt encor cette fois Dans la haine des Dieux & le meſpris des loix, 2 14 De jau tmnpreouta unedumu puiueuj urai dauuux eu Ie feray mes efforts pour t’obtenir ſa veufue.	Oui, si notre insensible est encor cette fois Dans la haine des Dieux et le mépris des lois, 2 14 De jau tennpreouta unedumu puiueuj urai davux eu Je ferai mes efforts pour t'obtenir sa veuve.
SCENE III.	SCÈNE III.
A 10s0M M3M ADRIAN, NATALIE, MAXIMIAN, APOLLINAIRE, PLACIDE, Relileerilare	À 10s0M M3M ADRIAN, NATALIE, MAXIMIAN, APOLLINAIRE, PLACIDE, RelileRilare
MAXIMIAN.	MAXIMIAN.
Stes vous arriuez?	Stes -vous arrivez?
PLACILERIah Inp* oüy.	PLACILERIah Inp* oui.
Seigneur neus voicy 11	Seigneur neus voici 11
MAXIMIAN¬ O Il eſt demy vaincu, la frayeur l'a tranſi.	MAXIMIANN Ô Il est demi vaincu, la frayeur l'a transi.
ADRIAN.	ADRIAN.
Vous tournez ſans raiſon à mon deſaduantege, Les traits décolorez de ce paſte viſage.	Vous tournez sans raison à mon desaduantege, Les traits décolorés de ce pâte visage.
2 Si la perte du fang luy rauit l’enbonpoin, La fονοε de l'eſpeit ne ς'en affaiblit point, Mon ame inuiolablt aux plus foνtes attaintes, Eſt dans vne aßiette inaccefible aux traintes, ne le vitlar alemmgequuers vom 216 Preſt de ſeruir de blanc contre de nouueaux coups.	2 Si la perte du sang luy ravit l'enbonpoin, La fête de l'espeit ne en affaiblit point, Mon âme inuiolablt aux plus fôtes attaintes, Est dans une assiette inaccefible aux traintes, ne le vitlar alemmgequuers vom 216 Prêt de servir de blanc contre de nouveaux coups.
MAXIMIAN.	MAXIMIAN.
Et moy plus qu’attendrj par ta miſere extréme, Te coniure d'σilyν vn empereur qui t'ayme, Et que de ta valeur l'importun ſouuenir Ne pouuant te ſauuer retarde de punir.	Et moi plus qu'attendri par ta misère extrême, Te conjure d'il empereur qui t'aime, Et que de ta valeur l'importun souvenir Ne pouvant te sauver retarde de punir.
Aye pitié de toy, rappelle en ta penſée, Le glorieux eſtat de ta vis paſſee, Les beautez de la Cour, la faueur, les amis, Tout ce qu’à tes eſgaux la fortune a permis, L’honneur, la volupté, les richeſſes, la force;	Aye pitié de toi, rappelle en ta pensée, Le glorieux état de ta vis passe, Les beautés de la Cour, la faveur, les amis, Tout ce qu'à tes égaux la fortune a permis, L'honneur, la volupté, les richesses, la force;
Et ne refuſe plus vne ſi douce amorce, Ie te feray ſi grand par mes frequents bien-faits Qu’ils pourront effaser les affronts qu’on t’a faits, Et toy-meſme ſurpris d’vne ſi haute gloire, Pour la mieux poſſeder en perdras la memcire, Ie veux que Natalie ait part à ce bon-heur;	Et ne refuse plus une si douce amorce, Je te ferai si grand par mes fréquents bienfaits Qu'ils pourront effaser les affronts qu'on t'a faits, Et toi-même surpris d'une si haute gloire, Pour la mieux posséder en perdras la mémcire, Je veux que Natalie ait part à ce bonheur;
Et chez l’imperatrice vne place d’honneur, Que mon exemple inuite vn chacun a luy plaire, Qu’on pardonne & puniſſe à ſa ſeule priere, Et qu’ayant l’vn pour l’autre vne entiere amitió, Ta gloire par la ſienne augmente de moitié.	Et chez l'impératrice une place d'honneur, Que mon exemple inuite int chacun a M plaire, Qu'on pardonne et punisse à sa seule prière, Et qu'ayant l'unité pour l'autre une entière amity, Ta gloire par la sienne augmente de moitié.
ADRIAN.	ADRIAN.
Vous me laites Seigneur vnt offre inefimable,	Vous me laites Seigneur unt offre inefimable,
NATALIE.	NATALIE.
Quorvous laſchez le pied Martyr inébranſlable, Moielle des Chreſtiens, hoſte du Sainct Eſprit?	Quorvous lâchez le pied Martyr inébranlable, Moielle des Chrétiens, hôte du Saint Esprit?
Quoy vous parlementez Soldat de Ieſuss-Chriſt, Et renoncez ſans honte aux palmes immor telles Que noſtre Dieu prepare à vos efforts fidelles.	Quoi vous parlementez Soldat de Jésuss-Christ, Et renoncez sans honte aux palmes immor telles Que quelque Dieu prépare à vos efforts fidèles.
Ha fuyez cher eſpoux, mais fuyez promptement Des Diables conjurez le fatal truchement, Fuyez le chant trompeur des traiſtreſſes Sirents Et du premier ſerpent lis mortelles haleines.	Ha fuyez cher époux, mais fuyez promptement Des Diables conjurés le fatal truchement, Fuyez le chant trompeur des traîtresses Sirents Et du premier serpent lis mortelles haleines.
ADRIAN.	ADRIAN.
Ouj juignent vos peejens ont aroi de m isbloutr, Mais iuſquts à quel temps m'en firez vous jeüir, Iuſques ou s’eſtendra ma douce deſtinée?	Ouj juignent vos peejens ont aroi de m isbloutr, Mais iusquts à quel temps m'en firez -vous jevir, Jusques ou s'étendra ma douce destinée?
MAXIMIAN.	MAXIMIAN.
Iuſqu’au terme commun dont la vie eſt bornée, Et ce terme est cent ans, quoy que dans vn beſoin On trouue des vieillards qui ſont allez plus loin.	Jusqu'au terme commun dont la vie est bornée, Et ce terme est cent ans, quoi que dans un besoin On trouve des vieillards qui sont allés plus loin.
ADRIAN.	ADRIAN.
Et pour viure à ſouhait pendant ſi peu d’années Is me verray reduit chez les ames damnées Aux braſiers deuorans & vne eternité Ne pourra terminer mon infelicité Pour le temps incertain d’vn plaiſir periſſable Ie ſeray pour iamtate pouartmppio audurli Et geſné ſans regos dans ces antres infects où le courroux de Dieu ſe vange des forfaicts, Ie perdray pour ſi peu d’ineffables delices:	Et pour vivre à souhait pendant si peu d'années Is me verrai réduit chez les âmes damnées Aux brasiers dévorants et une éternité Ne pourra terminer mon infélicité Pour le temps incertain d' plaisir périssable Je serai pour jamtate pouartmppio auduri Et gêné sans regos dans ces antres infects où le courroux de Dieu se venge des forfaits, Je perdrai pour si peu d'ineffables délices:
Ha pluſtoſt.	Ha plutôt.
ha pluſioſt redoublez mes ſupplices, Couppez, bruſlez, briſez, dechir& ſans pitié De ce corps tout rompu la ſanglante moitié De ces os esbranlez, diſloquez les iointures, 2 Et ſoulez liardiment mis ner fs dans les tortures, Non non, ie ne ſuis pas ſi peu iudicieux, De peferer la Tetre au Royaume des Cieux, Ie mourrayeſans tigret pour y viure ſans ceſſe, Et pour m'en deſtourner c'eſt en vain qu’on me preſſe.	ha plusiost redoublez mes supplices, Coupez, brûlés, brisez, déchir sous pitié De ce corps tout rompu la sanglante moitié De ces os ébranlez, disloquez les jointures, 2 Et soûlez liardiment mis ner fs dans les tortures, Non non, Seigneur ne suis pas si peu judicieux, De peférer la Tre au Royaume des Cieux, Je mourrayesans tigret pour y vivre sans cesse, Et pour m'en détourner c'est en vain qu'on me presse.
NATALIE.	NATALIE.
Ha ie vous reconnou à te noble diſcours, 2 Pour la digne ſujet de mes chaſtis amours, Courage ther Eſpoux pourſuiuez voſtre vourſe, Quand noſtre ame eſt perduë on n'a plus de reſource.	Ha ie vous reconnou à te noble discours, 2 Pour la digne sujet de mes châtis amours, Courage ther Époux poursuivez votre vourse, Quand notre âme est perdue on n'a plus de ressource.
En vn ſi grand affaire il n’eſt point de maiin, Il faut viure inſidelle, ou mourir pour ſon Dieu, eu trouur, en tamoib ta faurtr urla pte, Ou d’vnt mort ſans fin vois la ſienne ſuiuie.	En un si grand affaire il n'est point de maiin, Il faut vivre insidelle, ou mourir pour son Dieu, eu trouvr, en tamb ta faurtr ouvra te, Ou d'Un mort sans fin vois la sienne suivie.
APOLLINAÏRE.	APOLLINAÏRE.
As-tu ſoif de ſon fang, monſtre de cruauté	As-tu soif de son sang, montre de cruauté
MARTIAN.	MARTIAN.
Menſieur reſpectez plus ſa diuine beauté, Si dans les immortels le crime eſt venerabl On doit tout ſupporter d’vne telle coupable	Mensieur respectez plus sa divine beauté, Si dans les immortels le crime est venerabl On doit tout supporter d'une telle coupable
APOLLINAIRE.	APOLLINAIRE.
Cuue ſerciere inſame a ſedait ſu Eſpoux, Et ie ne puis contre eue duointroy at coutroux.	Culve sercière insame a sédait su Époux, Et tu ne puis contre eue duointroi at coutroux.
MAXIMIAN.	MAXIMIAN.
Ie deſeſpere enfin qu’Adrian ſe repente, Et i’attends ſeulement que ſa mort eſpouuante Sa complice obſtinêe, & qu’vn ſort pliu heureux Luy juſſe prenuni amummng hreux, Elle aura cependant liberté de tout faire.	Je désespère enfin qu'Adrian se repente, Et j'attends seulement que sa mort épouvante Sa complice obstinée, et qu'uni sort plive heureux Lui jusse prenuni amummng hreux, Elle aura cependant liberté de tout faire.
NATALIE.	NATALIE.
Ie ne crains point la mort, tant s’en faut ie l’eſpers.	Je ne crains point la mort, tant s'en faut appris l'espers.
C’eſt l’obiet glorieux de mon ardent deſir.	C'est l'objet glorieux de mon ardent désir.
MAXIMIAN.	MAXIMIAN.
On te l’accordera prens vn peu de loiſir, Si l’exemple d’autruy ne te peut rendre ſage, Tu n’auras pas ſujet de craindre vn long vefuage, Enfin tu vas mourir infortuné Chreſtieu, Et voyla tout le fruict d’vn ſi long entretien!	On te l'accordera prends un peu de loisir, Si l'exemple d'autrui ne te peut rendre sage, Tu n'auras pas sujet de craindre un long veufuage, Enfin tu vas mourir infortuné Chrétieu, Et voila tout le fruit d'un si long entretien!
Ha perdons du paſſe la trop ſenſible image, Et changeons tout à fait nos tendreſſes en rage, minamonntiillujauuunuuil mouuemens, Immolons cet ingrat à nos reſſentimens, Abbanuonnons ja Ieſιeuηαbourτεaηα qui lattendes, Et rendons la iuſtice aux Dieux qui la demandens.	Ha perdons du passe la trop sensible image, Et changeons tout à fait nos tendresses en rage, minamonntiillujauuunuuil mouvements, Immolons cet ingrat à nos ressentiments, Abbanuonnons ja Iesιeuηαbourτεaηα qui latendes, Et rendons la justice aux Dieux qui la demandens.
APOLLINAIRE.	APOLLINAIRE.
Entendez-moy Seigneur.	Entendez-moi Seigneur.
MAXIMIAN.	MAXIMIAN.
Il n’eſt plus à propos, Que pour ce mal-heureux ie trouble mon repas, Qu'on le meine en priſon, & la ſi bon vous ſi mbls, Pour le mieux attaquer paſſez la nuict enſemble, Mais s’il reſiſte encore à ce dernier effort, Qu’on ne differe plus de luy donner la mort,	Il n'est plus à propos, Que pour ce malheureux ie trouble mon repas, Qu'on le mène en prison, et la si bon vous si mbls, Pour le mieux attaquer passez la nuit ensemble, Mais s'il résiste encore à ce dernier effort, Qu'on ne diffère plus de lui donner la mort,
SCENE IV.	SCÈNE IV.
ADRIAN, NATALIE, APOLLINAIRE, PLACIDE.	ADRIAN, NATALIE, APOLLINAIRE, PLACIDE.
NATALIE.	NATALIE.
Nfin, ô cher objet de mes ſainctes delices, E Ie puis en liberté baiſer vos cicatrices, Et prendre dans ce ſang qui coule à gros boüillons, Pour releuer mon teint d’illuſtres vermillons, Ie puis en recueillir les gouttes precieuſes, Ie puis en receuoir les taches glorieuſes, Ie puis me conſoler de mes longues douleurs, Et ioüir d’vn bon-heur qui couſte tant de pleurs, Meſnag& cher Eſpoux cette haute fortune, Souffrez ſans vous troubler la pourſuitte importune.	Nfin, ô cher objet de mes sainte délices, E Ie puis en liberté baiser vos cicatrices, Et prendre dans ce sang qui coule à gros bannons, Pour relever mon teint d'illustres vermillons, Je puis en recueillir les gouttes précieuses, Je puis en recevoir les taches glorieuses, Je puis me consoler de mes longues douleurs, Et jouir d'un bon-heur qui coûte tant de pleurs, Mesnaget cher Époux cette haute fortune, Souffrez sans vous troubler la poursuite importune.
De ces faſcheux amis dont l’aueugle amitié Armera contre vous vne folle pitié.	De ces fâcheux amis dont l'aveugle amitié Armera contre vous une folle pitié.
Mi-dus fort des combats penſez à la victoire, Et regardez en haut le lieu de voſtre gloire, Friez les Saincts Martyrs & de bouche & d’eſprit, Inuoquez à tous coups le nom de Ieſus Chriſt.	Mi-dus fort des combats pensez à la victoire, Et regardez en haut le lieu de votre gloire, Friez les Saints Martyrs et de bouche et d'esprit, Inuoquez à tous coups le nom de Jésus Christ.
ADRIAN.	ADRIAN.
Dieu qui m'a iuſqu'iy preſte ſon afftance, Quãd ma douleur augmente, augminte ma conſſance Et ie ne doute point ayant vn tel appuy, De triompher demain außi-bien qu’aujourd’huy,	Dieu qui m'a jusqu'iy prête son afftance, Quand ma douleur augmente, augminte ma conssance Et ie ne doute point ayant un tel appui, De triompher demain aussi-bien qu'aujourd'hui,
NATALIE.	NATALIE.
Voyez de quel bon-heur cette gloire eſt ſuiuie.	Voyez de quel bonheur cette gloire est suivie.
Vous verſez ſang pour ſang.	Vous versez sang pour sang.
donnez vie pour vie, Et vous ſacrifiez à celuy qui pour vous Victime de ſon Pert eſt mort percé de cloux, Mais adieu ther Eſpoux allez areſſer ma place Aux liux ou les Chreſtiens veriõt Dieu face à face.	donnez vie pour vie, Et vous sacrifiez à celui qui pour vous Victime de son Pert est mort percé de cloux, Mais adieu ther Espoux allez aresser ma place Aux liux ou les Chrétiens veriõt Dieu face à face.
ADRIAN.	ADRIAN.
drout uon ie n’entends pas faire icy nes adieu x, I’aſpere encor vous voir & mourir à vos jeux, Ie vous aduertiray du temps de mon martyre.	drout on on n'entends pas faire ici nés adieu x, J'aspère encor vous voir et mourir à vos jeux, Je vous avertirai du temps de mon martyre.
NATALIE.	NATALIE.
Et moy ie vous embraſſe, & puis ie me retire.	Et moi : vous embrasse, et puis ie me retire.
ACTET.	ACTET.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
NATALIE ET THEODORE, qui Pour auoir entrée dans la Priſon s’eſtoient deſguiſées en hommes.	NATALIE ET THEODORE, qui Pour avoir entrée dans la Prison s'étaient déguisées en hommes.
NATALIE.	NATALIE.
y Ouuions nous ſouhaiter vn plus heureux ſuccezt I Pouuions nous eſperer vn plus facile accez, C’eſt au Dieu des Chreſtiens.	y Ouvions nous souhaiter un plus heureux succezt I Pouvions nous espérer un plus facile accès, C'est au Dieu des Chrétiens.
THEODORE, Par ma foy couſine, Ie ne vous ay iamais trouué ſi bonne mint, Vous ſẽblez vn Hercule ou pour mieux dire vn Mars Tant de brillans éclairs partent de vos regards, Mais qui peut raſſurez ma pudeur alarmée De me voir toute ſeule auec vous enfermée, Quoy que ie participe à cedé guiſement, J’en reçous ie vous ture vn peu d’iſionnement, Et ſi vous me croyèz neus reprendrons nos robes.	THÉODORE, Par ma foi cousine, Je ne vous ai jamais trouvé si bonne mint, Vous sẽblez un Hercule ou pour mieux dire un Mars Tant de brillants éclairs partent de vos regards, Mais qui peut rassurez ma pudeur alarmée De me voir toute seule avec vous enfermée, Quoi que ie participe à cédé guisement, J'en reçous je vous ture un peu d'issionnément, Et si vous me croyèz neus reprendrons nos robes.
NATALIE.	NATALIE.
Ha folle, c’en eſt trop en vain tu te dérobes, Dans ces amuſemens aux charmes amoureux, D’vn Dieu qu'on ne peut vou jans uuuenir mureux, N’importe il te flra requeſte ſur requeſte, Et tu ne peux manquer d’eſtre vn iour ſa conqueſte.	Ha folle, c'en est trop en vain , Et dérobes, Dans ces amusements aux charmes amoureux, D'un Dieu qu'on ne peut vou jans uenir mureux, N'importe il te flamra requête sur requête, Et tu ne peux manquer d'être a pour sa conquête.
THEODORE.	THÉODORE.
Et bien ie l’attendray, mais vous ne penſez point, Que queiqu en peuramtier e nuo touun pourpoint, Allons, retirons-nous dans la chambre voiſine.	Et bienois l'attendrai, mais vous ne pensez point, Que queiqu en peuramtier eu nuo touun pourpoint, Allons, retirons-nous dans la chambre voisine.
NATALIE.	NATALIE.
Entrez, ie vous ſuiuray.	Entrez, Seigneur vous suivrai.
THEODORE.	THÉODORE.
Viſte chert couſine.	Vite chert cousine.
Montrez-moy le chemin & vous deſhabillez.	Montrez-moi le chemin et vous déshabillez.
Elles paſſent changer d’habits dans vne autre chamble.	Elles passent changer d'habits dans une autre chamble.
NATALIE.	NATALIE.
Voulez-vous repoſer?	Voulez-vous reposer?
ie voy que vous baailez, Pour nous autres Chreſtiens nous ſommes faits aux veilles.	Les vois que vous baïlez, Pour nous autres Chrétiens nous sommes faits aux veilles.
THEODORE.	THÉODORE.
Et contre le ſommeil ie reſiſte à merueilles, Ce colet a beſoin d’eſtre vn peu racourcy, Il m’a bleſſé la gorge & ces chauſſes außi Ont beſoin de cizeau, pour cette houpelande, Quoy que ie la replie elle eſt encor trop grande, Ie ne ſuis pas de taille à porter ces habits, laiun on puu pounoiumu uuuuppe de tabu!	Et contre le sommeil ie resiste à merveilles, Ce olet a besoin d'être un peu racourci, Il m'a blessé la gorge et ces chausses aussi Ont besoin de cizeau, pour cette houpelante, Quoi que je la replie elle est encor trop grande, Je ne suis pas de taille à porter ces habits, laiun on pu pu pouvaintabu!
Helas!	Hélas!
il eſt bien vray qu’on s’oublie ſoy-meſme, Tour le juut imeripues perfonnts qu'on atms.	il est bien vrai qu'on s'oublie soi-même, Tour le juut imeripues perfonnuts qu'on atms.
NATALIE.	NATALIE.
Vous me preßiez tantoſt & vous n’auez pas fait.	Vous me pressiez tantôt et vous n'avez pas fait.
THEODORE.	THÉODORE.
Aydez moy ie vous prie à lacer mon corſet!	Aidez -moi , vous prie à lacer mon corset!
Dieux qu’il eſt importun d’aller ainſi tonduë Abtiij qu'in pin de loni se jeray morjonane, Et ſans me répentir d’vne bonne action I’euſſe bien ſouhaité quelqu’autre inuention, Mais ie m’affiige à tort pour vn mal ſans reffoarte.	Dieux qu'il est importun d'aller ainsi tondue Abtij qu'in pin de loni se jerai morjonane, Et sans me répentir d'une bonne action J'eusse bien souhaité quelque autre invention, Mais ainsi m'affiige à tort pour un mal sans reffarte.
NATALIE.	NATALIE.
Deſia l’aſtre du iour a commencé ſa courſe, Et ſes premiers rayons eſpandus dans les airs Inuitent au trauail tout te granu vniutrs, Si vous eſtes d’humeur nous ferons quelque ouurage, Pour charmer le ſommeil qui flatte mon courage, Et ſe coule à force en mes yeu x impuiſſants.	Déjà l'astre du jour a commencé sa course, Et ses premiers rayons épandus dans les airs Inuitent au travail tout te granu uniutrs, Si vous êtes d'humeur nous ferons quelque ouvrage, Pour charmer le sommeil qui flatte mon courage, Et se coule à force en mes yeu x impuissants.
THEODORE.	THÉODORE.
Tout ce que vous voudrez, außi-bien i’ay ceans Vn peu de broderie.	Tout ce que vous voudrez, aussi-bien j'ayant ce Un peu de broderie.
Apaiſt Iepris leurs haorto, enes reuiennent dans la premiere chambre.	Apait Jepris leurs haorto, enes reviennent dans la première chambre.
NATALIE.	NATALIE.
Ha qu’elle eſt delicate, Que les traits ſont hardis & que la ſoye éclatte, Mais que pretendez vous par ces diuers combats?	Ha qu'elle est délicate, Que les traits sont hardis et que la soie éclatte, Mais que prétendez vous par ces divers combats?
THEODORE.	THÉODORE.
Repreſenter Hercule & l’inuincible bras De cét illuſtre Heros auquel ie ſuis deuote, Et pour qui ie fais faire vne agreable grotte, Où diuers coquillage orne le baſtiment, Ie deſtine aux parois ce diuertiſſement, rbiuie pune uriez qui ſeruent de bordure, Font de ſes grands exploits vne briefue peinture, Et ce large milieu qui n’eſt pas encore plein Seruira de theatre à ſa tragique fin.	Représenter Hercule et l'invincible bras De cet illustre Héros auquel jour suis dévote, Et pour qui tu fais faire une agréable grotte, Où divers coquillage orne le bâtiment, Je destine aux parois ce divertissement, rbiuie pune ouvriez qui servent de bordure, Font de ses grands exploits une briefue peinture, Et ce large milieu qui n'est pas encore plein Servira de théâtre à sa tragique fin.
NATALIE.	NATALIE.
Teſtze Hercule me ſemble vne belle figure, Du grand Dieu des Chreſtiens mort pour ſa creature, Et leur conformité vous doit ouurir les yeux, Pour quitter ſans regret vos fablęs & vos dieux, Ieſus dont le trépas eſt peint dans mon ouurage, Fuſt bieu le fort des forts & le meiïteur courage,	Testze Hercule me semble au belle figure, Du grand Dieu des Chrétiens mort pour sa créature, Et leur conformité vous doit ouvrir les yeux, Pour quitter sans regret vos fabls et vos dieux, Jésus dont le trépas est peint dans mon ouvrage, Fût bieu le fort des forts et le meiïteur courage,
A qui l’aſtre du iour ait preſé ſa ciaste, Ayant determine de ſon éteinite, Pour ſauuer les moriels de prenare leur nature, Il choifit dans les flancs d vne Vierge tres pure, Le ſarg que l’Eſprit Sainct anima de ſon feu, El fup fait fils de Femme außi-bien que de Dien, A prine eſtoit il né qu’il declara la guerre, Aux monſtres tonjurez pour rauager la Terre, Il attaqua le a.	À qui l'astre du jour ait presé sa ciaste, Aimant détermine de son éteinite, Pour sauver les moriels de prenare leur nature, Il choifit dans les flancs d ' Vierge très pure, Le sarg que l'Esprit Saint anima de son feu, Él svp fait fils de Femme aussi-bien que de Dien, A prine était il né qu'il déclara la guerre, Aux monstres tonjurés pour ravager la Terre, Il attaqua le a.
abls, & le monds, & la chair, Et tout te dont l’enfer s'efforge d’allecher, Il arnia tontre luy ſa puiſſante i' finie, Et deſtiuiſit erfin ſa longuet, ranteAlors ce Gieu veſtu de noſtré humanité Sentit le bras peſant de ſon pere izrité, Vne fureur d’amour ouurant toutes ſes veints Donna ſon corps en proye aux plus cruelles peines, Son ardeur le porta ſur vn in fame bois, Et dreſſa pour ſa mort le bucher de la Croix, Le Ciui le vit bruſlant ſur tette triſte couche, Et déclarant ſon feu par la ſoif de ſa bouche, Chacun ie ſes ſouſpirs fut vi fou fſie enſiammé, Et ſa mort nous apprend qu’il nous a trop aimé:	abls, et le monds, et la chair, Et tout te dont l'enfer s'efforge d'allécher, Il arnia tontre enfin sa puissante j' finie, Et destiuisit erfin sa longuet, ranteAlors ce Gieu vêtu de nostré humanité Sentit le bras pesant de son père izrité, Vune fureur d'amour ouvrant toutes ses veints Donna son corps en proie aux plus cruelles peines, Son ardeur le porta sur un in fin bois, Et dressa pour sa mort le bûcher de la Croix, Le Bui le vit ute sur tette triste triste, Et déclarant son feu par la soif de sa bouche, Chacun ie ses souspirs fut vi fou fsie ensiammé, Et sa mort nous apprend il nous a trop aimé:
Mais l’effort violent d’vne amourtuſ flame,  Qui dechirant ſon torps donna ſortie à l’ame, Rencontrant vn rempart d'impaßibilité, Ne fit poias de bleſſure à ſa Diuinité, Sa natute diuine incapabie de peint Cout.	Mais l'effort violent d'une amourtus flamme, Qui déchirant son torps donna sortie à l'âme, Rencontrant un rempart d'impassibilité, Ne fit poias de blessure à sa Divinité, Sa tute divine incapie de peint Cout.
mploit lis tourmens de ſa nature humaine, Qui le troiſieſme iour ſortie du tombeau Fit voir ce qu’en la gloire vn corps a de plus beau.	mploit lis tourments de sa nature humaine, Qui le troisième jour sortie du tombeau Fit voir ce qu'en la gloire un corps a de plus beau.
SCENE II.	SCÈNE II.
FAVSTE, NATALIE, THEODORE.	FAUSTE, NATALIE, THEODORE.
FAVSTE.	FAUSTE.
A Madame il eſt temps que vos triſtes paupieres I IMettent en liberté leurs larmis priſonnigres, Et que voſtre cœur s’ouure au bruit de ma douleur, Pour ietter des ſouſpirs dignes d’vn grand mal-heur.	À Madame il est temps que vos tristes paupières I MEttent en liberté leurs larmis prisonnres, Et que votre cœur s'ouvre au bruit de ma douleur, Pour jeter des soupirs dignes d'un grand malheur.
NATALIE.	NATALIE.
Ie iuge à ton diſiours qu’Adrian eſt ſans vie, Mais bien toing que ja morf d’aucun duëil ſoit ſuiuie, Si le moindre ſouſpir ſurprenoit ma raiſon, Tu me verrois rougir de cette trahiſon.	Je juge à ton disjours qu'Adrian est sans vie, Mais bien toin que ja mors d'aucun deuil soit suivie, Si le moindre soupir surprenait ma raison, Tu me verrais rougir de cette trahison.
FAVSTE.	FAUSTE.
Ha rougiſſez pluſtoſt d’vn autre plus ſenſible, Mon Maiſtre en eſt l’autheur, ce courage inuincible, Se laſſe de courir preſt d’arriuer au blanc, Et proché de la mort meſnage vn peu de ſang.	Ha rougissez plutôt d'un autre plus sensible, Mon Maître en est l'auteur, ce courage invincible, Se lasse de courir prêt d'arriver au blanc, Et proché de la mort ménage un peu de sang.
Ie ſuss au deſeſpoir ce changement m’accable, Et i’en ay tout l’ennuy dont vne ame eſt capable, Sans que ma paßion ait aſſez de pouuoir, Pour vous rendre eſton née ou pour vous eſmouuoir.	Je suss au désespoir ce changement m'accable, Et j'en ai tout l'ennui dont une âme est capable, Sans que ma passion ait assez de pouvoir, Pour vous rendre éton née ou pour vous émouvoir.
NATALIE.	NATALIE.
On n’eſt gueres touché d’vne choſe incroyable.	On n'est guère touché d'une chose incroyable.
FAVSTE.	FAUSTE.
Mes yeux ſont faux teſmoins, ou ie ſuis veritable, Ie l’ay veu tout à l'heure il eſt hors de priſon, Er iour onſé qu’il eſt ſe traiſne en ſa maiſon;	Mes yeux sont faux témoins, ou je suis véritable, Je l'ai vu tout à l'heure il est hors de prison, Er jour onsé qu'il est se traîne en sa maison;
Vous l’allez voir venir.	Vous l'allez voir venir.
NATALIE.	NATALIE.
Vne ame ſi ſublime, Auroit-elle bien pù con ſentir à ce crime.	Une âme si sublime, Aurait-elle bien puù con sentir à ce crime.
SCENE III.	SCÈNE III.
ADRIAN, NATALIE, FAVSIE, THEODORE.	ADRIAN, NATALIE, FAUSIE, THÉODORE.
NATALIE.	NATALIE.
Ais le voicy le laſche Iln'en faut plus dentu NI Lay qui n’oſe mourir s’oſe bien preſenter, Elle quitte ſon ouurage, & court luy	Ais le voici le lâche Iln'en faut plus dentu NI Lay qui n'ose mourir s'ose bien présenter, Elle quitte son ouvrage, et court avait
fermer la porte.	fermer la porte.
