A MONSIEVR DE MOLIER, CHEF DE LA TROVPPE DES COMEDIENS DE MONSIEVR, FRERE VNIQVE DV ROY.	À MONSIEUR DE MOLIER, CHEF DE LA TROUPE DES COMÉDIENS DE MONSIEUR, FRÈRE VIQUE DU ROY.
Oüy i’ay iure la mort, rien ne peut m’empeſcher Où ie le trouueray, ie le veux dépeſcher, Au beau milieu du cœur il faut que ie luy donne.	Oui j'ai jure la mort, rien ne peut m'empêcher Où ie le trouverai, toujours le veux dépêcher, Au beau milieu du cœur il faut que pers luy donne.
A qui donc en veut on?	À qui donc en veut on?
SGANARELLE.	SGANARELLE.
Ie n’en veux à perſonne	Je n'en veux à personne
LELIE.	LELIE.
Pourquoy ces armesla	Pourquoi ces armesla
GROSRENE'.	GROSRENE.
C'eſt vn habillement 1 1u0x922 ampart.	C'est un habillement 1 1u0x92 ampart.
ue Puy pris pour la piuye.	Que Puis pris pour la piuie.
Ah!	Ah!
quel contentemẽt Laurois à le tuer, preuons-en courage.	quel contentement Laurais à le tuer, preuons-en courage.
Hay?	Hai?
SGANARELLE ſe donnant des coups de poings ſur l’eſtomach, & à part.	SGANARELLE se donnant des coups de poings sur l'estomac, et à part.
des ſoufflets pour s’exciter.	des soufflets pour s'exciter.
Ie ne parle pas.	Je ne parle pas.
Ah!	Ah!
poltron dont i’enrage, Laſche, vray cœur de poule.	poltron dont j'enrage, Lâche, vrai cœur de poule.
T CELIE.	T CÉLIE.
Il t'en doit dire aſſez Cét object, dont tes yeux nous paroiſſent bleſſez.	Il t'en doit dire assez Cet object, dont tes yeux nous paraissent blessés.
Mm LISE LELIE.	Mm LISE LELIE.
Oüy, ie connois par là que vous eſtes coupable De l’infidelité la plus inexouſable, Qui iamais d’vn amant puiſſe outrager la fo fiainvo Hai0	Oui, je connais par là que vous êtes coupable De 'infidélité la plus inexouable, Qui jamais d'un amant puisse outrager la fo fiainvo Hai0
MSDSGANARELLE à part.	MDSGANARELLE à part.
Que n’ay-ie vn peu de cœur.	Que n'ai-je un peu de cœur.
LIE.	LIE.
nid d Ah!	nid d Ah!
ceſſe deuantmoy.	cesse devantmoi.
Traiſtre, de de diſcours l’inſolence cruelle.	Traître, de de discours l'insolence cruelle.
SGANARELLE.	SGANARELLE.
Sganarelle, tu vois qu’elle prend ta querelle, Courage mon enfant, ſois vn peu vigoureux, I à, hardy, taſche à faire vn effort genereux, En le tuaſit, tandis qu’il tourne le derriere.	Séganarelle, tu vois qu'elle prend ta querelle, Courage mon enfant, sois un peu vigoureux, I à, hardi, tâche à faire un effort généreux, En le tuasit, tandis qu'il tourne le derrière.
LELIE faiſant deux ou trois pas ſans diſſein, ſait retourner Sganarelle qui s’approchoit pour le tuer.	LELIE faisant deux ou trois pas sans dissein, sait retourner Séganarelle qui s'approchait pour le tuer.
Puis qu’vn pareil diſcours eſmeut voſtre colere, Ie dois de voſtre cœur me monſtrer ſatisrait.	Puis qu'un pareil discours émut votre colère, Je dois de votre cœur me montrer satistrait.
Et l’applaudir icy du beau choix qu’il a fait.	Et l'applaudir ici du beau choix qu'il a fait.
CELIE Ouy, ouy, mon chon eit tel qu’on n’y peut rien reprendre.	CELIE Oui, oui, mon chon eit tel qu'on n'y peut rien reprendre.
ma u lhi.	ma u lhi.
Allez, vous faites bien de le vouloir deffendre.	Allez, vous faites bien de le vouloir défendre.
*61 SGANARELLE.	*61 SGANARELLE.
Sans doute elle fait bien de deffendre mes droits!	Sans doute elle fait bien dé fendre mes droits!
Cette actlon Monſieur, n’eſt point lelon les loix, I’ay raiſon de m’en plaindre, & ſi ie n’eſtois ſage, On verroit arriuer vn eſtrange carnage.	Cette acton Monsieur, n'est point lelon les lois, J'ai raison de m'en plaindre, et si ici n'étais sage, On verrait arriver un étrange carnage.
LELIE.	LELIE.
D’où vous naiſt cette plainte?	D'où vous naît cette plainte?
& quel chagrin brutal.	et quel chagrin brutal.
SGANARELLE.	SGANARELLE.
Suffit, vous ſçauez bien où le bois me fait mal, Mais voſtre conſcience & le ſoin de voſtre ame Vous deuroient mettre aux yeux que ma femme, eſt ma femme, Et vouloir à ma barbe en faire voſtre bien, Que cen'ent pas dutout agir en bonl Chreſtien.	Suffit, vous savez bien où le bois me fait mal, Mais votre conscience et le soin de votre âme Vous devraient mettre aux yeux que ma femme, est ma femme, Et vouloir à ma barbe en faire votre bien, Que cen'ent pas dutout agir en bonl Chrétien.
LELIE.	LELIE.
32D (SILAII Vn ſemblable ſoupçon eſt bas & ridicule, Allez, deſſus ce point n’ayez aucun ſcrupule, Ie ſçay qu’elle eſt à vous, & bien loin de brûler.	32D (SILAII Un semblable soupçon est bas et ridicule, Allez, dessus ce point n'ayez aucun scrupule, Je sais qu'elle est à vous, et bien loin de brûler.
CELIE.	CELIE.
Ant qu’icy tu ſçais bien traiſtre, diſfimuler!	Ant qu'ici tu sais bien traître, dissimuler!
LELIE.	LELIE.
Quoy me ſoupçonnez-vous d’auoir vne penſée De qui ſon ame ait lieu de ſe croire offencée?	Quoi me soupçonnez-vous d'avoir une pensée De qui son âme ait lieu de se croire offensée?
De cette laſchnté voulez-vou;	De cette laschnté voulez-vou;
me noircir?	me noircir?
CELIE.	CELIE.
Parle, parle à luy-meſme, il poura t’éclaircir.	Parle, parle à lui-même, il pourra t'éclaircir.
SGANARELLE.	SGANARELLE.
Vous me deffendez micux que ie ne ſçaurois faire, Et du blais qu’al raut, vous prenez cette affaire.	Vous me défendez micux que je ne saurais faire, Et du blais qu'al raut, vous prenez cette affaire.
8 SCENE XXII.	8 SCÈNE XXII.
dey Eii ln gom noa CELIE, LELIE, SGANARELLE, SA FEMME, LA SVIVANTE.	dey Éi ln gom noa CELIE, LELIE, SGANARELLE, SA FEMME, LA SVIVANTE.
Ans la quatrieſme Scene de cette UPiece, la femme de Sganarelle, qui auoit pris de la ialouſie en voyant Celie entre les bras de ſon mary, vient pour luy faire des reproches (ce qui fait voir la merueilleuſe conduite de cét ouurage) iugez de la beauté qu’vn agreable mal entendu produit dans cette Scene, Sganarelle croit que ſa femme vient pour deffendre ſon galand, ſa femme croit qu’il aime Celie, Celie croit qu’elle vient ingenument ſe plaindre d’elle, à cauſe qu’elle eſt auec Lelie, & luy en fait des reproches;	Ans la quatrième Scène de cette UPie, la femme de Séganarelle, qui avait pris de la jalousie en voyant Celie entre les bras de son mari, vient pour lui faire des reproches (ce qui fait voir la merveilleuse conduite de cet ouvrage) jugés de la beauté qu'un agréable mal entendu produit dans cette Scène, Sganarelle croit que sa femme vient pour défendre son galant, sa femme croit qu'il aime Celieu, Celieu croit qu'elle vient ingénument se plaindre d'elle, à cause qu'elle est avec Lelie, et lui en fait des reproches;
& Lelie enfin ne ſçait ce qu’on luy.	et Lélie enfin ne sait ce qu'on lui.
vient conter, & croit touſiours que Celie a eſpouſé Sganarelle.	vient conter, et croit toujours que Celie a épousé Sanarelle.
Quoy que cette Scene donne vn plaiſir incroyable à l’auditeur, elle ne peut pas durer plus longtemps ſans trop de confuſion, & ie gage que vous ſouhaittez deſia de voir comment toutes ces perſonnes ſottiront de l'embaras où ils ſe rencontrent;	Quoi que cette Scène donne un plaisir incroyable à l'auditeur, elle ne peut pas durer plus longtemps sans trop de confusion, et ainsi gage que vous souhaitez déjà de voir comment toutes ces personnes sottiront de l'embarras où ils se rencontrent;
mais ie vous le donnerois bien à deuiner en quatre coups, ſans que vous en puſſiez venir à bout.	mais ici vous le donnerais bien à deviner en quatre coups, sans que vous en pussiez venir à bout.
Peut-eſtre vous perſuadez-vous qu’il va venir quelqu’vn qui ſans y penſer luy-meſme, les tirera de leur erreur :	Peut-être vous persuadez-vous qu'il va venir quelqu'un qui sans y penser un-même, les tirera de leur erreur :
peut-eſtre croyez-vous auſſi qu’à force de s’animer les vns contre les autres, quelqu’vn venant à ſe iuſtifier, leur fera voir à tous qu’ils s’abuſent;	peut-être croyez-vous aussi qu'à force de s'animer les uns contre les autres, quelqu'un venant à se justifier, leur fera voir à tous qu'ils s'abusent;
Mais ce n’eſt point tout cela, & l’Autlieur sele leruy d’vn moyen dont perſonne ne s’eſt iamais aduiſé, & que vous pourrez ſçauoir ſi vous liſez les vers de cette Scene.	Mais ce n'est point tout cela, et l'Autlieur zèle lervi d'une moyen dont personne ne s'est jamais avisé, et que vous pourrez sçauoir si vous lisez les vers de cette Scène.
21 4 LA FEMME de Sganardu à Celie.	21 4 LA FEMME de Séganardu à Celie.
LE ne ſuis point d’humeur à vouloir contre vous I Faire éclater Madame, vn eſprit trop ialoux;	LE ne suis point d'humeur à vouloir contre vous I Faire éclater Madame, un esprit trop jaloux;
Mais ie ne ſuis point duppe & voy ce qui ſe paſſe:	Mais ici ne suis point dupe et vois ce qui se passe:
Il eſt de certains feux de fort inauuaiſe grace, Et voſtre ame deuroit prẽdre vn meilleur employ, Que de leduire vn cœur qui doit n’eſtre qu’à moy.	Il est de certains feux de fort inauvaise grâce, Et votre âme devrait prendre un meilleur emploi, Que de leduire un cœur qui doit n'être qu'à moi.
CELIE.	CELIE.
La declaration eſt aſſez ingenuë.	La déclaration est assez ingénue.
SGANARELLE à ſu femme.	SGANARELLE à su femme.
L’on ne demandoit pas carogne ta venuë, Lu la viens quereller lors qu’elle me deffend, Et tu tremble de peur qu’on t’oſte ton galand.	L'on ne demandait pas carogne ta venue, Lu la viens quereller lors qu'elle me défend, Et tu tremble de peur qu'on t'ôte ton galant.
CELIE.	CELIE.
Se tournant vers Lelie.	Se tournant vers Lélie.
Allez ne croyez pas que l’on en ait enuie.	Allez ne croyez pas que l'on en ait envie.
Tu vois ſi c’eſt m'enſonge, & i’en ſuis fort rauie.	Tu vois si c'est m'ensonge, et j'en suis fort ravie.
LELIE.	LELIE.
Que me veut on conter?	Que me veut on conter?
LA SVIVANTE.	LA SVIVANTE.
Ma foy, ne ne ſçay pas Quand on verra finir ce galimatias.	Ma foi, ne ne sais pas Quand on verra finir ce galimatias.
Deſia depuis long-temps ie taſche à le cõprendre, Et ſi plus ie l’écoute.	Déjà depuis longtemps chang tâche à le cõprendre, Et si plus rien l'écoute.
& moins ie puis l’entendre, Ie vois bien à la fin que ie m’en dois méler.	et moins ie lors l'entendre, Je vois bien à la fin que sans m'en dois mêler.
Aummnt je mettre entre Lelie & ſa maſtreſſe.	Aumnt je mettre entre Lélie et sa mastresse.
Reſpondez moy par ordre & me laiſſez parler.	Respondez -moi par ordre et me laissez parler.
Vous, qu’eſt-ce qu’à ſon cœur peut reprocher le voſtre?	Vous, qu'est-ce qu'à son cœur peut reprocher le vôtre?
2 A Lelie.	2 À Lélie.
LELIE.	LELIE.
Que l’infidelle a pû me quitter pour vn autre;	Que l'infidèle a pu me quitter pour un autre;
Que lors que ſur le bruit de ſon himen fatal, I’accoure tout tumporte d'in amour ſans égal;	Que lors que sur le bruit de son hymen fatal, J'accoure tout tumporte d'in amour sans égal;
Dont l’ardeur reſiſtoit à ſe croire oublié, Mon abord'en ces lieux l’a trouue mariée.	Dont l'ardeur résistait à se croire oublié, Mon abord'en ces lieux l'a trouve mariée.
LA SVIVANTE.	LA SVIVANTE.
Mariée?	Mariée?
a qui donc?	À qui donc?
IELIE menſtrant Sganarelle.	JELIE menstrant Séganarelle.
A luy.	A Aux.
LA SVIVANTE.	LA SVIVANTE.
Comment à luy?	Comment à Seigneur?
Oüy-da.	Oui-dà.
LELIE.	LELIE.
LA SVIVANTE.	LA SVIVANTE.
Qui vous l’a dit?	Qui vous l'a dit?
EEEIE.	ÉEIE.
C'eſt luy-meſme auiour d’huy.	C'est notre-même aujour d'hui.
LA SVIVANTE à Sganarelle.	LA SVIVANTE à Sganarelle.
Eſt-il vray?	Est-il vrai?
SGANARELLE Moy, i’ay dit que c’eſtoit à ma femme Que i’eſtois marié.	SGANARELLE Moi, j'ai dit que c'était à ma femme Que j'étais marié.
LELIE.	LELIE.
Dans vn grand trouble d’ame, Tantoſt de mon portraict ie vous ay veu ſaiſi	Dans un grand trouble d'âme, Tantôt de mon portrait ici vous ai vu saisi
SGANARELLE.	SGANARELLE.
Il eſt vray, le voila.	Il est vrai, le voilà.
MMLIE.	MMLIE.
Vous m’auez dit auſſi, Que celle aux mains de qui vous auez pris ce gaEſtoit liée à vous des nœuds du mariage.	Vous m'avez dit aussi, Que celle aux mains de qui vous avez pris ce gaEstoit liée à vous des nœuds du mariage.
ge,	ge,
SGANARELLE monſtrant ſa ſemme, Sans doute, & ie l’auois de ſes mains arraché, Et n'euſſe pas ſans luy deſcouuert ſon peché.	SGANARELLE montrant sa semme, Sans doute, et un l'avais de ses mains arraché, Et n'eusse pas sans lui découvert son péché.
LA FEMME de Sganarelle.	LA FEMME de Séganarelle.
Que me viens-tu conter par ta plainte importune?	Que me viens-tu conter par ta plainte importune?
Ie l’adois ſous mes pieds rencontre par fortune, Et meſme quand apres ton iniuſte courroux I’ay fait dans ſa foibleſſe entrer Monſieur chez nous.	Je l'adais sous mes pieds rencontre par fortune, Et même quand après ton injuste courroux J'ai fait dans sa faiblesse entrer Monsieur chez nous.
Ie n’ay pas reconnû, les traits de ſa peinture.	Je n'ai pas reconnu, les traits de sa peinture.
MonCELIE.	MonCELIE.
trant Celie.	trant Célie.
C’eſt moy qui du portraict ay causé l’auenture Et ie l’ay laiſſé choir en cette paſmoiſon A Sganarelle.	C'est moi qui du portrait ai causé l'aventure Et tu l'ai laissé choir en cette pâmoison A Ganarelle.
Qui m’a fait par vos ſoins remettre à la maiſon.	Qui m'a fait par vos soins remettre à la maison.
LA SVIVANTE.	LA SVIVANTE.
Vous voyez que ſans moy vous y ſeriez encore, Et vous auiez beſoin de mon peu d’Ellebore.	Vous voyez que sans moi vous y seriez encore, Et vous aviez besoin de mon peu d'Hellébore.
SGANARELLE.	SGANARELLE.
Prendrons-nous tout cecy pour de l’argent content;	Prendrons-nous tout ceci pour de l'argent content;
Mon front l’a ſur mon ame eu bien chaude pourtant?	Mon front l'a sur mon âme eu bien chaude pourtant?
dai la n Mſs.	dai la n Éss.
Ma crainte toutefois n’eſt pas trop diſſipée Et doux que ſoit le mal;	Ma crainte toutefois n'est pas trop dissipée Et doux que soit le mal;
ie crains d’eſtre trompée.	Ne crains d'être trompée.
SGANARELLE.	SGANARELLE.
Hé!	Hé!
mutuellement croyons-nous gens de bien, Ie riſque plus du mien que tu ne fais du tien :	mutuellement croyons-nous gens de bien, Je risque plus du mien que tu ne fais du tien :
Accepte ſans façon le marché qu’on propoſe.	Accepte sans façon le marché qu'on propose.
SA FEMME.	SA FEMME.
Soit, mais gare le bois ſi i’apprens quelque choſe.	Soit, mais gare le bois si j'apprends quelque chose.
CELIE à Lelie apres auoir parlé bas enſemble.	CELIE à Lélie après avoir parlé bas ensemble.
Ah!	Ah!
Dieux s’il eſt ainſi, qu'eſt-ce dõc que i’ay fait?	Dieux s'il est ainsi, qu'est-ce do que j'ai fait?
Ie dois de mon courroux apprehender l’effect:	Je dois de mon courroux appréhender l'effet:
oüy, vous croyant ſans foy, i’ay pris pour ma vengeance.	oui, vous croyant sans foi, j'ai pris pour ma vengeance.
Le malheureux lecours de mon obeiſſance;	Le malheureux lecours de mon obéissance;
Et depuis vn moment mon cœur vient d’accepter Vn himen que touſiours i’eus lieu de rebuter, I’ay promis à mon pere, & ce qui me deſole.	Et depuis un moment mon cœur vient d'accepter Un hymen que toujours j'eus lieu de rebuter, J'ai promis à mon père, et ce qui me désole.
Mais ie le vois venir.	Mais ie le vois venir.
LELIE.	LELIE.
Il me tiendra parole.	Il me tiendra parole.
SCENE XXIII.	SCÈNE XXIII.
CELIE, LELIE, GORGIBVS, SGANARELLE, SA FEMME, LA SVIVANTE.	CELIE, LELIE, GORGIBUS, SGANARELLE, SA FEMME, LA SVIANTE.
LELIE.	LELIE.
Onſieur, vous me voyez en ces lieux de retour Brûlant des meſmes feux, & mon ardente amour Verra comme ie croy la promeſſe accomplie Qui me donna l’eſpoir de l’himen de Celie.	Onsieur, vous me voyez en ces lieux de retour Brûlant des mêmes feux, et mon ardente amour Verra comme ie tu la promesse accomplie Qui me donna l'espoir de l'hymen de Célie.
GORGIBVS.	GORGIBUS.
Momeul, que le reuois ences lleux de retour Brûlant des me mes feux, & dont l’ardente amour Verra que vous croyez la promeſſe accomplie Qui vous donna l’eſpoir de l’himen de Celle, Tres-humble ſeruiteur à voſtre Seigneurie.	Momeul, que le rêvais ences lleux de retour Brûlant des me mes feux, et dont l'ardente amour Verra que vous croyez la promesse accomplie Qui vous donna l'espoir de l'hymen de Celle, Très-humble serviteur à votre Seigneurie.
LELIE Quoy?	LELIE Quoi?
Monſieur, eſt-ce ainſi qu’on trahit mou eſpoir?	Monsieur, est-ce ainsi qu'on trahit mou espoir?
RGIBVS.	RGIBUS.
Oüy Monſieur, c'eſt ainſi que ie fais mon deuoir, Ma fille en ſuit les loix.	Oui Monsieur, c'est ainsi que sans fais mon devoir, Ma fille en suit les lois.
LELIE Mon deuoir m’intereſſe, Mon pere à deſgager vers luy voſtre promeſſe.	LELIE Mon devoir m'intéresse, Mon père à dégager vers lui notre promesse.
GORGIBVS Eſt-ce reſpondre en fille à mes commandemens?	GORGIBUS Est-ce répondre en fille à mes commandements?
Tu te démens bien-toſt de tes bons ſentimens, Pour Valere tantoſt:	Tu te déments bientôt de tes bons sentiments, Pour Valère tantôt:
mais i’apperçois ſon pere Il vient aſſeurément pour conclure l’affaire.	mais j'aperçois son père Il vient assurément pour conclure l'affaire.
SCENE DERNIERE.	SCÈNE DERNIÈRE.
CELIE, LELIE, GORGIBVS, SGANARELLE, SA FEMME, VILLEBREQ VIN, LA SVIVANTE.	CELIE, LELIE, GORGIBUS, SGANARELLE, SA FEMME, VILLEBREQ VIN, LA SVIVANTE.
A ioye que Celie auoit eüe en appreLnant que ſon amant ne luy eſtoit pas infidelle, euſt eſté de courte durée, ſi le pere de Valere ne fût pas venu à temps pour les retirer tous deux de peine.	À joie que Célie avait eue en appréLnant que son amant ne lui était pas infidèle, eût été de courte durée, si le père de Valère ne fût pas venu à temps pour les retirer tous deux de peine.
Vous pourrez voir dans le reſte des vers de cette Piece, que voicy le ſubjet qui le fait venir.	Vous pourrez voir dans le reste des vers de cette Pièce, que voici le sujet qui le fait venir.
417	417
GORGIBVS.	GORGIBUS.
QVi vous ameine icy, Seigneur Villebrequin?	QUi vous âme ici, Seigneur Villebrequin?
VILLEBREQVIN.	VILEBREQUIN.
Vn ſecret important que i’ay ſçeu ce matin.	Un secret important que j'ai su ce matin.
Qui romp abſolument ma parole donnée.	Qui romp absolument ma parole donnée.
Mon fils, dont voſtre fille acceptoit l’himenée, Sous des liens cachez trompans les yeux de tous, Vit depuis quatre mois auec Liſe en Eſpoux, nt commcd phil leMeucen hamance M’oſtent tout le pouuoir d’en caſſer l’alliance, Ie vous viens.	Mon fils, dont votre fille acceptait l'hyménée, Sous des liens cachez trompants les yeux de tous, Vit depuis quatre mois était Lise en Époux, nt comméd phil leMeucen hamance M'ôtent tout le pouvoir d'en casser l'alliance, Je vous viens.
GORGIBVS.	GORGIBUS.
Briſons là, ſi ſans voſtré congé, Valere voſtre fils ailleurs s’eſt engagé, Ie ne vous puis celer que ma fille Celie, Dés long-temps par moy-meſme eſt promiſe à Lelie, aunque Mene en pertus ron retour auiourd nuy M’empeſche d’agréer vn autte Eſpoux que luy.	Brisons là, si sans vostré congé, Valère votre fils ailleurs s'est engagé, Je ne vous puis celer que ma fille Celie, Dès longtemps par moi-même est promise à Lélie, aunque Mène en pertus ron retour aujourd' empêche D'empêche d'agréer autte Espoux que mille.
VILLEBREQVIN.	VILEBREQUIN.
vntel choix me plaiſt fort.	Quel choix me plaît fort.
LELIE.	LELIE.
Et cette iuſte enuie, D'vn bon-heur eternel va couronner ma vie.	Et cette juste envie, D'un bonheur éternel va couronner ma vie.
GORGIBVS.	GORGIBUS.
Allons choiſir le iour pour ſe donner la foy.	Allons choisir le jour pour se donner la foi.
17 SGANARELLE.	17 SGANARELLE.
A-t'on mieux crû iamais eſtre cocu que moy?	A-t'-on mieux cru jamais être cocu que moi?
Vous croyez qu’en ce faict la plus forte apparence Peut jetter dans l’eſprit vne fauſſe creance?	Vous croyez qu'en ce fait la plus forte apparence Peut jeter dans l'esprit une fausse créance?
De cét exemple-cy, reſſouuenez-vous bien, Et quand vous verriez tout, ne croyez iamais rien.	De cet exemple-cy, ressouuenez-vous bien, Et quand vous verriez tout, ne croyez jamais rien.
Sans mentir, Monſieur, vous me deuez eſtre bien obligé de tant de belles choſes que ie vous enuoye, & tous les melons de voſtre jardin ne ſont pas ſuffiſans pour me payer de la peine d’auoir retenu pour l’amour de vous toute cette Piece par cœurs mais j'oubliois de vous dire vne choſe à l’auantage de ſon Autheur, qui eſt que comme ie n’ay eu cette piece que ie vous enuoye que par effort de memoire, il peut s’y eſtre coulé quantité de mots les vns pour les autres, bien qu'ils ſignifient la meſme choſe;	Sans mentir, Monsieur, vous me devez être bien obligé de tant de belles choses que ie vous envoie, et tous les melons de votre jardin ne sont pas suffisants pour me payer de la peine d'avoir retenu pour l'amour de vous toute cette Pièce par cœurs mais j'oubliais de vous dire une chose à l'avantage de son Auteur, qui est que comme tu n'ai eu cette pièce que je vous envoie que par effort de mémoire, il peut s'y être coulé quantité de mots les uns pour les autres, bien qu'ils signifient la même chose;
& comme ceux de l’Autheur peuuent eſtre plus ſignificatifs, ie vous prie de m’imputer toutes les fautes de cette nature que vous y trouuerez;	et comme ceux de l'Auteur peuvent être plus significatifs, je vous prie de m'imputer toutes les fautes de cette nature que vous y trouverez;
& ie vous conjure auec tous les curieux de France de venir voir repreſenter cette Piece comme vn des plus beaux Ouurages, & vn des mieux ioüez qui ait iamais parù ſur la Scene.	et personne vous conjure avec tous les curieux de France de venir voir représenter cette Pièce comme un des plus beaux Ouvrages, et un des mieux jouez qui ait jamais parù sur la Scène.
IN	IN
Extraict du Priuilege du Roy.	Extrait du Privilège du Roi.
AR grace & Priuilege du Roy, donné à Paris, I le 26.	AR grâce et Privilège du Roi, donné à Paris, I le 26.
Iuillet 1660.	Juillet 1660.
ſigné, par le Roy en ſon Conſeil, LABORY:	signé, par le Roi en son Conseil, LABORY:
Il eſt permis au Sieur DE MOLIER, faire imprimer par tel Imprimeur & Libraire qu’il voudra, vne Comedie intitulée Sganarelle ou le Cocu Imaginaire, auec les Argumens ſur chaque Scene;	Il est permis au Sieur DE MOLIER, faire imprimer par tel Imprimeur et Libraire qu'il voudra, une Comédie intitulée Sganarelle ou le Cocu Imaginaire, avec les Arguments sur chaque Scène;
pendant l’eſpace de cinq ans, & deffenſes ſont faites à tous autres de l’imprimer, ny vendre d’autre Edition que de celle de l’Expoſant, à peine de quinze cent liures d’amende, & de tous deſpens, dommages & intereſts, comme il eſt porté plus amplement par Ieſdites Lettres.	pendant l'espace de cinq ans, et défenses sont faites à tous autres de l'imprimer, ni vendre d'autre Édition que de celle de l'Exposant, à peine de quinze cent livres d'amende, et de tous dépens, dommages et intérêts, comme il est porté plus amplement par Iédites Lettres.
Et ledit Sieur MOLIER, a cedé ſes droits de Priuilege à GVLLAVME DE LVYNE, Marchand Libraire-Iuré à Paris, pour en ioüir ruruumraceord iuie emt eux.	Et ledit Sieur MOLIÈR, a cédé ses droits de Privilège à GULLAUME DE LUYNE, Marchand Libraire-Iuré à Paris, pour en jouir rurubraceord juie emt eux.
Et leuit De LVYNE, en a fait part à AVGVSTIN COVRÉ, & à ESTIENNE ESISOR, aui Marchands Libraires, pour en joüir conjointement.	Et luit De LUYNE, en a fait part à AUGUSTIN COURÉ, et à ÉTIENNE ESISOR, au Marchands Libraires, pour en jouir conjointement.
Regiſtré ſur le Liure de la Communauté, ſuiuant I'Arreſt de la Cour	Registré sur le Livre de la Communauté, suivant J'Arrest de la Cour
Signé IOSSE, Scindic	Signé IOSE, Scindic
