A TRESILLVSTRE ET TRES-GENEREVX Prince Monſeigneur de Vaudemont.	À TRESILLVSTRE ET TRÈS-GÉNÉREUX Prince Monseigneur de Vaudemont.
Quelquefois nous penſons enuelopper noz brat A l’entour de leurs cols, mais ces espris n’ont pas Si toſt nous approchez, que leurs idoles vaines S’enfuyent, nous laiſſans en angoiſſeuſes peines, De meſme le chetif, voyant deſſus la mer L’honneur qui en regnant le faiſoit estimer, Se peine quelquefois de l’eſtraindre de force Mais l'idole ſe muſſe au plis de l'onde torſe, Ainſi de iour, en iour il ſe va deceuant, Et pour tous ſes honneurs n’emporte que du vent, Qui menace, grondant, ſa miſerable teſte Du peril iournalier qu’enfante la tempeste, Si qu’au lieu d’vne mort qui talonne ſes pas Il à pour compagnons vn millier de treſpas.	Quelquefois nous pensons envelopper noz brat A l'entour de leurs cols, mais ces épris n'ont pas Si tôt nous approchés, que leurs idoles vaines S'enfuient, nous laissants en angaisseuses peines, De même le chétif, voyant dessus la mer L'honneur qui en régnant le faisait estimer, Se peine quelquefois de l'étraindre de force Mais l'idole se musse au plis de l'onde torse, Ainsi de jour, en j' une se va décevant, Et pour tous ses honneurs n'emporte que du vent, Qui menace, grondant, sa misérable tête Du sa iournalier ablé tête, Si péralieu mort qui té ses pas Il pour a millier de trépas.
PHOCAS.	PHOCAS.
Cela ne me ſuffiſt puis qu’il iouyt encore De la belle clarté que faict naiſtre l’Aurore, Qu'il voit le long du iour le Soleil tournoyer Qu'il l’apperçoiſt le ſoir dans l’onde ſe noyer, Et du Ciel peinturé la nombreuſe cadance " Cur tes bommes ne ſont;	Cela ne me suffît puis qu'il jouit encore De la belle clarté que fait naître l'Aurore, Qu'il voit le long du jour le Soleil tournoyer Qu'il l'apperçoist le soir dans l'onde se noyer, Et du Ciel peinturé la nombreuse cadance " Cur tes bommes ne sont;
de tous potnas matneureux » Tant qu’ils ſont eſclairez du grãd flãbeau des Cieux.	de tous potnas matneureux " Tant qu'ils sont éclairez du grand flambeau des Cieux.
THEODORE.	THÉODORE.
Au contraire la mort deueloppant noſtre ame, » Et de ſon noir bandeau nous voilant ceſte flamme, » Met noſtre ame en repos, qui ſerue de douleur " Miſerable icy bas foiſonne de malheur » Iuſqu'à ce qu’Atropos la Plutonique Fée n Ait deuidé les plis de ſa torte fuſée, » Et nous ayans ſillé la paupiere, & les yeux » Nous faict boire les flots du lac obliuieux.	Au contraire la mort développant notre âme, " Et de son noir bandeau nous voilant cette flamme, " Met notre âme en repos, qui serve de douleur " Misérable ici bas foisonne de malheur " Jusqu'à ce qu'Atropos la Plutonique Fée n Ait deuidé les plis de sa torte fusée, " Et nous ayant sillé la paupière, et les yeux " Nous fait boire les flots du lac obliuieux.
2 lrie dlon Quel bien reçoit celuy qui boit dans l’onde noire,	2 lrie dlon Quel bien reçoit celui qui boit dans l'onde noire,
THEODONE.	THÉODONE.
Qu'il à ſur les trauaux emporté la victoire	Qu'il a sur les travaux emporté la victoire
PHOCAS.	PHOCAS.
Telle victoire aduienne à tous mes ennemis	Telle victoire advienne à tous mes ennemis
THEODORE.	THÉODORE.
Leurs osprits bien-heureux en repos ſeroient mis	Leurs osprits bienheureux en repos seraient mis
PHOCAS.	PHOCAS.
Pourquoy donc les douleurs hoſtelent le bas monde	Pourquoi donc les douleurs hôtelent le bas monde
THEODORE.	THÉODORE.
Dauantage que luy la terre en eſt feconde.	Davantage que venir la terre en est féconde.
PHOCAS.	PHOCAS.
Dans t'enfer on n'entend que d'effroyables bruicts.	Dans t'enfer on n'entend que d'effroyables bruits.
THEODORE.	THÉODORE.
Dans la terre on n’a rien que triſteſſe, qu’ennuis,	Dans la terre on n'a rien que tristesse, qu'ennuis,
PHOCAS.	PHOCAS.
L’enfer est plein d’horreur, eſt plein de toute rage.	L'enfer est plein d'horreur, est plein de toute rage.
PITEODORE.	PITÉODORE.
Le monde à pris pour luy les douleurs en partage.	Le monde à pris pour lors les douleurs en partage.
PHOCAS.	PHOCAS.
Pluton tient les douleurs en ſa noire priſon.	Pluton tient les douleurs en sa noire prison.
THEODORE.	THÉODORE.
Il à pour les vertus vnt ceue inaiſon.	Il à pour les vertus unt cève inaison.
PHOCAS.	PHOCAS.
Ajaier ler entojens uippellss de thinieres	Ajàer ler entojens uipellss de thinières
THEODORE.	THÉODORE.
Dans ſon verger reluit l’es toille matiniere.	Dans son verger reluit l'es toile matinière.
PHOCAS.	PHOCAS.
Quel autre Aſtre peut mieux eſclairer à nos yeux?	Quel autre Astre peut mieux éclairer à nos yeux?
THEODORE.	THÉODORE.
L’vn eſt pour les mortels, & l’autre pour les Dieux.	L'un est pour les mortels, et l'autre pour les Dieux.
PHOCAS.	PHOCAS.
Mramite cont denron retourir a ſa parque.	Mramite cont denron retourir à sa parque.
THEODORE.	THÉODORE.
Elle ne veut encor le paſſer en ſa barque.	Elle ne veut encor le passer en sa barque.
PHOCAS.	PHOCAS.
I'ay bon deſir bien toſt de luy faire paſſes	J'ai bon désir bien tôt de Seigneur faire passes
THEODORE.	THÉODORE.
Saus l'arreſt du destin il ne peut trepaſer.	Saus l'arrêt du destin il ne peut trepaser.
PHOCAS.	PHOCAS.
Et qui m'empeſchera d'en prenare ta vengeance,	Et qui m'empêchera d'en prenare ta vengeance,
THEODORE.	THÉODORE.
Sans luy vous n'aués pas fur Maurice puiſſance.	Sans grands vous n'avez pas fur Maurice puissance.
PHOCAS.	PHOCAS.
Quoy!	Quoi!
ſur mon ennemy qui me braſſe la mort,	sur mon ennemi qui me brasse la mort,
TIILODSONES Rien ne ſe faict icy ſans le congé du ſort.	TIILODSONES Rien ne se fait ici sans le congé du sort.
PHOCAS.	PHOCAS.
Le fort ne peut en rien ou la vengeance eſt preste,	Le fort ne peut en rien ou la vengeance est prête,
THEODORE.	THÉODORE.
Il peut faire tomber le mal ſur vostre teste.	Il peut faire tomber le mal sur votre tête.
PHOCAS.	PHOCAS.
Qu'on ne m’en parle plus ie iure par les Cieux Les ſacrez pauillons des hommes demy-Dieux, Qu'il mourra de ma main, qu’il ne ſe verra place Soit ſur terre, ou ſur mer, ou ie ne le pourchaſſe Plus viſte que ne faict le Tigre qui pourſuit Vn timide troupeau de biches qui ſ'enfuit Par les forts d’vn taillis ſoubs la verte ramée Diaſcant impaiient d’onerage aſfamée.	Qu'on ne m'en parle plus Seigneur jure par les Cieux Les sacrés pavillons des hommes demi-Dieux, Qu'il mourra de ma main, qu'il ne se verra place Soit sur terre, ou sur mer, ou a ne ne lâchasse Plus te que ne fait le Tigre qui poursuit Ven timide troupeau de biches qui s'enfuit Par les forts d'un taillis sous la verte ramée Diascant impaiient d'onerage asfamée.
LILE.	LYLE.
Ce ſeroit applanir des vices le ſentier D'endurer les forfaicts fans y remeaier,	Ce serait applanir des vices le sentier D'endurer les forfaits sans y remeaier,
PHOCAS.	PHOCAS.
Lile roidis ta courſe apres ces naus fuitiues, Et fais que ce iourd’huy ie les tienne captiues.	Lile roidis ta course après ces naus fuitives, Et fais que ce jour'hui apprendre les tienne captives.
LILE.	LYLE.
Repoſez vous en moy, & voyez ce pendant Le peuple qui d’ardeur bruſle vous attendant, Il iette voſtre los au ſommet de la nüe, Et remplis d’allegreſſe à la porte ſe rüe, Pour veoir ſon Empereur qu’auiourd’huy le destin A faict victorieux de l’Empire Latin.	Reposez -vous en moi, et voyez ce pendant Le peuple qui d'ardeur brûle vous attendant, Il jette votre los au sommet de la nue, Et remplis d'allégresse à la porte se rue, Pour voir son Empereur qu'aujourd'hui le destin A fait victorieux de l'Empire Latin.
PHOCAS.	PHOCAS.
Allons ie le veux bien compagnons de victoire Auec moy vous aurez vne pareille gloire, » Car celuy qui ſ'eſt faict compagnon du malheur » Doit l’estre faict außi arriuant le bon-heur,	Allons ie le veux bien compagnons de victoire Avec moi vous aurez une pareille gloire, " Car celui qui s'est fait compagnon du malheur " Ait l'être fait aussi arrivant le bonheur,
Chœur de Conſtantinople.	Chœur de Constantinople.
Beau Ciel de bleu peinturé, OQui monſtres ton front azuré Chaſſant toute la nüe A ceste bien-venüe.	Beau Ciel de bleu veinturé, OQui monstres ton front azuré Chassant toute la nue A cette bienvenue.
Tu monſtre à ceste fois combieu Tu nom oeus ey a neur & de bien Qui ioyeux nous rameine Ce Romain Capitaine.	Tu monstre à cette fois combieu Tu nom eus ei a neur et de bien Qui joyeux nous ramène Ce Romain Capitaine.
e Geahtrejns de Inppires, Qui a ſçeu les monſtres dompter Et reueſtus de gloire Rapporter la victoire.	Je Geahtrejns de Inpires, Qui a su les monstres dompter Et revêtus de gloire Rapporter la victoire.
Quels monſtres plus pernicieuxs, Marchent ſoubs la voute des Cieux, Quel plus enorme vice Que celuy d’auarice.	Quels monstres plus pernicieuxs, Marchent soubs la voute des Cieux, Quel plus énorme vice Que celui d'avarice.
1 Il à ſoubs terre ſon Palais.	1 Il à soubs terre son Palais.
» Ou le Soleil ne luiſt iamais » Qui liberal nous donne „ Les rays de ſa couronne.	» " le Soleil ne luist jamais " Qui libéral nous donne „ Les rays de sa couronne.
» Ains touſiours des obſcures nuicts » De ſoing, de triſteſſe, d’ennuits » Qui pince ſes entrailles » De mordantes tenailles.	" Ains toujours des obscures nuits " De soin, de tristesse, d'ennuits " Qui pince ses entrailles " De mordantes tenailles.
» La peur ne l’abandonne point » Qui d’vn vi f'aiguillon le poinct n nrtſeja tonipase n Pas à pas l’accompagne.	" La peur ne l'abandonne point " Qui d'un vi s'aiguillon le point nôt nrtseja tonipase n As à pas l'accompagne.
» Ses doigts, & ſes ongles de fer n Voudroient tout vn monde accrocher y De Iupin le partage a N’allentiroit ſa rage.	" Ses doigts, et ses ongles de fer n Oudraient tout un monde accrocher y De Jupin le partage à N'allentirait sa rage.
La faim auare du treſor » Luy faict manger vn monde d’os, " Et touſiours ſa poitrine n Sent nouuelle famine.	La faim avare du trésor " Lui fait manger un monde d'os, " Et toujours sa poitrine n Sent nouvelle famine.
„ Le doré fleuue Lydien n Le riche Tage Hesperien » N’eſtaindroit de ſon onde, » Sa flamme vagabande.	„ Le doré fleuve Lydien n Le riche Tage Hespérien " N'estaindrait de son onde, " Sa flamme vagabande.
Ses yeux ſont d’vn griffon ardans Il porte le cœur au dedans Le front, & le viſage D’vne louue ſauuage.	Ses yeux sont d'un griffon ardans Il porte le cœur au dedans Le front, et le visage D'une louve sauvage.
Quand ſoubs ſon pied leng & crochu Il detient le pauure abatu, Il hume à longue haleine, Tout le ſang de ſa veine.	Quand sous son pied leng et crochu Il détient le pauvre abattu, Il hume à longue haleine, Tout le sang de sa veine.
Phocas la vaincu touteſoy, Et dechaßé l’auare Roy Faigcailt neſse palrle D'vne telle harpie.	Phocas la vaincu toutesoi, Et dechassé l'avare Roi Faigcailt nesse palrle D'une telle harpie.
Et d’vne liberale mainVerſé ſur le peuple Romain, A ſa ioyeuſe entrée Vne pluye dorée.	Et d'une libérale mainVersé sur le peuple Romain, À sa joyeuse entrée Vaine pluie dorée.
De meſme que fit Iuppiter Quant il vouluſt l’amour tenter De la fille d’Acriſe Dont il euſt l’ame espriſe.	De même que fit Juppiter Quant il voulût l'amour tenter De la fille d'Acrise Dont il eût l'âme éprise.
Außi pour ſon riche guerdon Il a noſtre couronne en don Qui luit deſſus ſa teste Ainſi qu'vne plannete.	Aussi pour son riche guerdon Il a notre couronne en don Qui luit dessus sa tête Ainsi qu'une plannète.
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
PHOCAS.	PHOCAS.
LILE.	LYLE.
PHOCAS.	PHOCAS.
SNtre tant de lauriers que mon front enuironne  Au milieu des hõneurs qui ceignent ma courõne l'army mes citoyens qui comme aux immortels Embaulmez de parfuns me dreſſent des autels, Et puis deuotieux d’vne aiancée bande Vienne porter leur cœur, & leur ame en offrande, Quant ie deurois cueillir apres tant de labeurs Tant de trauaux paßez vne moiſſon de fleurs Ie ſens mon cœur piqué d’vne ronce espineuſe.	SNtre tant de lauriers que mon front environne Au milieu des hommes qui ceignent ma courõne l'armi mes citoyens qui comme aux immortels Embaulés de parfuns me dressent des autels, Et puis devotieux d'une aiancée bande Vienne porter leur cœur, et leur âme en offrande, Quant ie deurois cueillir après tant de labeurs Tant de travaux passez une moisson de fleurs Je sens mon cœur piqué d'une ronce épineuse.
Et mon ame ne peut encor ſe dire heureuſe Iuſqu’à ce que le Ciel aye mis en ma mainMon riual exilé de l'Empire Romain, Et qu’il aye maſché dans ſa bouche ſaigneuſe Au bord de l’Ocean l’arene infructueuſe.	Et mon âme ne peut encor se dire heureuse Jusqu'à ce que le Ciel aie mis en ma mainMon rival exilé de l'Empire Romain, Et qu'il aie mâché dans sa bouche saigneuse Au bord de l'Océan l'arène infructueuse.
Vn nouuel Empereur reſemble de tout poinct Au ieune iouuenceau que Cupidon a poinct Dela beauté qui luit au front d’vne pucelle Qui de port, et maintien reſemble vne immortelle, Il la veut, il la tient touſiours dedans ſes yeux Quant l’Aurore au matin vient defermer les Cieux	Un nouvel Empereur résemble de tout point Au jeune iouuenceau que Cupidon a point Dela beauté qui luit au front d'une pucelle Qui de port, et maintien résemble une immortelle, Il la veut, il la tient toujours dedans ses yeux Quant l'Aurore au matin vient défermer les Cieux
Son premier ſouuenir eſt la beauté qu’il ayme.	Son premier souvenir est la beauté qu'il aime.
Et n’a plus de ſoucy de ſa perſonne meſme, Que ſi quelqu'vn luy eſt en amour compagnon, Voicy tout außi toſt l’enuieuſe AlectonQui ſort de ſon enfer, & qui bruſle ſon ame D’vn tiſon allumé dans la ialouſe flamme, Il deuient furieux tout plaifir luy deſplaiſt, De meurtres, & de ſang ſon penſer ſe repaiſt, Et n’a iamais repos iuſqu'à ce qu'vne espée Ait de ſon corriual la poitrine frappée.	Et n'a plus de souci de sa personne femme, Que si quelqu'un sens est en amour compagnon, Voici tout aussi tôt l'envieuse AlectonQui sort de son enfer, et qui brûle son âme D'un tison allumé dans la jalouse flamme, Il devient furieux tout plaisir lui déplaît, De meurtres, et de sang son penser se repaît, Et n'a jamais repos jusqu'à ce qu'une espée Ait de son corriual la poitrine frappée.
De meſme moy qui ſens au dedans de mon cœur Meſme tret, meſme amour, meſme feu, meſme ardeus, A l’endroict des beautez de ma couronne aymée, Et qui l’ay ce iourd’huy vaillamment eſpouſée Auroy-ie bien le cœur d’endurer qu’on tollit Mon eſpouſe conquiſe, et l’honneur de ſon lict, Permettant qu’vn riual en aye iouyſſance, Faute d’en auoir pris vne digne vengeance?	De même moi qui sens avoir dedans de mon cœur Même tret, même amour, même feu, même ardeus, A l'endrait des beautés de ma couronne aimée, Et qui l'ai ce iourd’hui vaillamment épousée Auroi-je bien le cœur d'endurer qu'on tollit Mon épouse conquise, et l'honneur de son lit, Permettant qu'un rival en aie iouyssance, Faute d'en avoir pris une digne vengeance?
Non, non, l’ardeur ialoux cauſé d’vne beauté Bruſle les Roys außi pour vne Royauté, » Et rarement on voit qu’vne vierge couronne » De ſon cercle doré deux teſtes enuironne.	Non, non, l'ardeur jaloux causé d'une beauté Brusle les Rois aussi pour une Royauté, " Et rarement on voit qu'une vierge couronne " De son cercle doré deux têtes environne.
Mais n’est-ce pas icy mon vnique ſoucy La perle de ma Cour Lile mon fauory, Ie lis dedans ſon front, ie vois dans ſon viſage umu oient annoncer quecque ne jeus meſſage.	Mais n'est-ce pas ici mon unique souci La perle de ma Cour Lile mon favori, Je lis dedans son front, ie vois dans son visage umu aient annoncer quecque ne jeus message.
LILE.	LYLE.
Sire vous dictes vray, car cil qui peut auoir Sen plus fier ennemy enclos en ſon peuuoir, Comme vous maintenant) ne ſçauroit qu’il ne ſente enge qui duns jont tœur jarer one uymuete jenave.	Sire vous dites vrai, car cil qui peut avoir Sen plus fier ennemi enclos en son peuvoir, Comme vous maintenant) ne saurait qu'il ne sente enge qui duns jont tœur jarer one uimuette jenave.
PHOCAS.	PHOCAS.
Maurice eſt il dõc pris?	Maurice est il don pris?
LILE, Sire vous le verrez Qi au lieu de reluire en habits diaprez, Apris d’vn pauure ſerf la ſimple couuerture, Contre le froid de l’air, & contre ſon iniure, ufemme, & ſes enfans captiuez comme luy Enle moüillans de pleurs font croiſtre ſon ennuy, Et ſe cachent peureux ſoubs ſes moites eſſelles Tut ainſi que l’on voit les ſimples colombelles Euſemble ſe preſſer, lors qu’vn air pluuieux Iuiet ſur elles couler les fontaines des Cieux.	LYLE, Sire vous le verrez Qi au lieu de reluire en habits diaprez, Apris d'un pauvre serf la simple couverture, Contre le froid de l'air, et contre son iniure, ufemme, et ses enfans captiuez comme lui Enle moüillans de pleurs font re son ennui, Et se cachent re soubs ses moites esselles Tut ainsi que on voit les simples colombelles Eusemble se presser, lors air pluuieux Iuiet sur elles couler les fontaines des Cieux.
PHOCAS.	PHOCAS.
Oioye nompareille, ô Ciel ie vous rend grace cen auoir mis ez mains de mes payneux la race lar les Cieux ils mouront;	Oioie nompareille, ô Ciel on vous rend grâce cen avoir mis ez mains de mes paineux la race lar les Cieux ils mouront;
mais dictes moy comment Jus l’auez ainſi peu ſurprendre viſtement.	mais dictes moi comment Jus l'avez ainsi peu surprendre vitement.
LILE.	LYLE.
Nous auions entendu au poinct de voſtre entré Q'il ſ'eſtoit retiré proche de la Sorée das port de Nicomede, ou ſa nef attendois Eole à ſon ſecours, qui d’elle ſe moquoit, S lisperſant bien loing ſes vœux, & ſa priere Dechiroit l’eſtomac de l’onde mariniers Seuſant ſon moite ſein d’vn ſi puiſſant effort, Nue preſque l’on voyoit le regne de la mort, Itaſcha toutefois de courir la fortune, I'iſe mettre au hazard ſur le dos de Neptune.	Nous avions entendu au point de votre entré Q'il s'était retiré proche de la Sorée das port de Nicomède, ou sa nef attendois Éole à son secours, qui d'elle se moquait, S ispersant bien loint ses vœux, et sa prière Dechirait l'estomac de l'onde mariniers Seusant son moite sein d'un si puissant effort, Nue presque l'on voyait le règne de la mort, Itâcha toutefois de courir la fortune, J'autre mettre au hasard sur le dos 'Une.
Mais comme ſon nauire euſt deſanchré du port, Voicy tout außi toſt Aquilon, & le Nort, Et le moite Africain, qui d’vne forte haleine Le lancerent au bord de la flotante plaine, Luy voyant que les vens ſur l’ondoyant ſeiour Ne vouloient luy preſter vn vtile ſecour, Et que meſme la goutte au plus fort de ſa peine Luy lioit tout le corps d’vne poignante chaiſne Il appella ſon filz luy commandant d’aller Le Monarque Perſan à ſon ayde appeller, Et que comme il auoit recous ſon Diademe, Le remettant au throſne, il luy en fist de meſme.	Mais comme son navire eût desanchré du port, Voici tout aussi tôt Aquilon, et le Nort, Et le moite Africain, qui d'une forte haleine Le lancèrent au bord de la flotante plaine, Luy voyant que les vents sur l'ondoyant séjour Ne voulaient pu prêter un vile secour, Et que même la goutte au plus fort de sa peine Lui liait tout le corps d'une poignante chaîne Il appela son fils lui commandant d'aller Le Monarque Persan à son aide appeler, Et que comme il avait reçous son Diade, Avait remettant au thrône, il lui en fit de y.
Mais nous ſachans cela l’allaſmes enfermer, Luy coupant le deuant du coſté de la mer.	Mais nous sachants cela l'allâmes enfermer, Lui coupant le devant du côté de la mer.
Lors ſe voyant captif, ſes enfans, & ſa femme De cent mille ſouspirs il detrancha ſon ame, Et leuant vers le Ciel ſes yeux großis de pleurs Ie ſens bien maintenant les celeſtes rigueurs, (Dict il en ſouspirant) ie vois bien que ma vies Pour mon cruel meffaict me doit eſtre rauie, Et baiſant ſes enfans qui ſanglotoient menus, Nos honneurs leur dict il ſont vn rien deuenus Mes chers enfans helas!	Lors se voyant captif, ses enfants, et sa femme De cent mille soupirs il détrancha son âme, Et levant vers le Ciel ses yeux gros de pleurs Je sens bien maintenant les célestes rigueurs, (Dict il en soupirant) mieux vois bien que ma vies Pour mon cruel méfait me doit être ravie, Et baisant ses enfants qui sanglotaient menus, Nos honneurs leur dit il sont un rien devenus Mes chers enfants hélas!
mais ayez bon courage, Le Ciel vous garde encor vn plus grand heritage.	mais ayez bon courage, Le Ciel vous garde encor un plus grand héritage.
La femme d’autre part, proche de ſon espous Ouurant ſon eſtomac le marteloit de coups, Eſlançant de tels cris, que le voiſin riuage Sembloit en ſouſpirant redire ſon dommage.	La femme d'autre part, proche de son épous Ouvrant son estomac le martelait de coups, Élançant de tels cris, que le voisin rivage Semblait en soupirant redire son dommage.
C’eſ Pouuir d Conceus 'mn œil.	C'es Pouvir d Conceus 'mn œil.
Comme Epie le Làbeat Etbeau lu pour Mant Blefat	Comme Épie le Làbeat Etbeau lu pour Mant Bléfat
PHOCAS.	PHOCAS.
Ah!	Ah!
le traiſtre ennemy voyez comme il braſſoit, la guerre contre moy!	le traître ennemi voyez comme il brassait, la guerre contre moi!
comment il allumoit uer le bord Perſean la torche de Bellone Pur mettre vn feu ſacret au rond de ma couronne, Iſn qu'en eſtant ceinct ie bruſle tout ainſi Que la fille Creon, lors qu’vn ialoux ſoucy Puſſa le cœur iré de la mage Colchide D'allumer vn brandon au feu Acherontide, Pour traiſtre le cacher dans le rond iauniſſant Qui ce iour meſme alloit ſon front embeliſſant, Ilbruſter par ſon art d’vne flamme poißée Aux yeux de ſon Iaſon le Pere, & l’eſpouſée, llais le grand Dieu tuteur de l’Empire Romaix, mmnetfant ſes deſſeins, la mis dedans ma mains, Afn que pour auoir meſpriſé ſa puiſſance Il ſoit außi puny d’vne digne vengeance.	comment il allumait uer le bord Perséan la torche de Belone Pur mettre un feu sacret au rond de ma couronne, In qu'en étant ceinct était brûle tout ainsi Que la fille Creon, lors qu'Heu ialoux souci Pussa le cœur iré de la mage Colchide D'allumer un brandon au feu Acherontide, Pour traître le cacher dans le rond jaunissant Qui ce jour mêmetaît son front embelissant, Ilbrôter par son art d'une flamme poiseil Aux yeux de son Jasle Re, et l'espousée, llais le grand Dieu tuteur de 'Empire ô, mmnetfantusé desseins, la mis 'Em pire, L' quemp auoir mesprisé sa de Il l' aussimp digne m.
LILE.	LYLE.
C’eſt vn merueilleux cas, que quãd le Ciel nous veut I'ouir de noz mesfaicts que noſtre esprit ne peut Conceuoir vn moyen pour detourner ſon ire Son œil à demy clos nous pourſuit, & nous mire Comme faict le tireur qui derrier vn roſeau Eſpie le canard qui ioüe deſſus l’eau Ià beau tournoyer d’vne aile vagabonde, Etbeau noyer peureux ſa teste deſſoubs l’onde Nn pourſuiuant le mire, & apres maints detours Quant il eſtime d’estre au plus beau de ſon cours Illuy cache dans l’aile vn dard qui le trauerſe, Eile faict culbuter ſur l’onde à la renuerſe-.	C'est un merveilleux cas, que quand le Ciel nous veut J'ouïr de noz mesfaicts que notre esprit ne peut Concvoir un moyen pour détourner son ire Son œil à demi clos nous poursuit, et nous mire Comme fait le tireur qui derrier un roseau Espie le canard qui joue dessus l'eau à beau tournoyer d'une aile vagabonde, Ébeau noyer peureux sa tête dessoubs l'onde Nn poursuiuant le mire, et après maints détours Quant il estime d'être au plus beauche de son cours Illui cache dans l'aile d' aile à l' onde, Eile faict culbuter sur onde la renverse-.
PHOCAS.	PHOCAS.
Maurice ſe penſoit eſchapper des lyens S’il pouuoit humer l’air des ports Iberiens Ne conſiderant pas que la puiſſance grande Des Roys n’a nul pays ou leur main ne ſ'eſtende, Et que Phœbus monté ſur ſon char ne voit rien Allumant de ſes rays le globe terrienQui ne baiſſe le col ſoubs la grandeur Royalle Tout vn autre pouuoir ce pouuoir ſeul n’eſgale.	Maurice se pensait échapper des lions S'il pouvait humer l'air des ports Ibériens Ne considérant pas que la puissance grande Des Rois n'a nul pays ou leur main ne s'étende, Et que Phœbus monté sur son char ne voit rien Allumant de ses rays le globe terrienQui ne baisse le col sous la grandeur Royalle Tout un autre pouvoir ce pouvoir seul n'égale.
Mais allons ie veux veoir ſon port, & ſon mainties Ie veus veoir deuant moy l’ennemy de mon bien Qui veut contre tout droict ſur ma teſte entreprendre Ie veus l’ouyr parler, & ſes raiſons entendre,	Mais allons pu veux voir son port, et son maintières Je veux veoir devoir moi l'ennemi de mon bien Qui veut contre tout droit sur ma tête entreprendre Je veux l'ouïr parler, et ses raisons entendre,
LILE.	LYLE.
Sire gardez vous bien qu’vn esprit furieux Voyant voſtre ennemy ne ſe lance en vos yeux Et gaignant le Palais, ou la raiſon domine Iettent ſes rouges feux dedans voſtre poitrine.	Sire gardez vous bien qu’ un esprit furieux Voyant votre ennemi ne se lance en vos yeux Et gagnant le Palais, ou la raison domine Jettent ses rouges feux dedans votre poitrine.
PHOCAS.	PHOCAS.
I’atteſte le Soleil, ie iure par les Cieux, Par les ombreus manoirs des Plutoniqnes lieus, Que ſi tous les eſprits du troiſieſme partage Meſloient auecque moy leur infernalle rage Cela ne ſuffiroit pour aſſouuir laigreur Du fiel, &t du courrous qui boüille dans mon cœn Apportés y encor compagnes de Megere, Apportés y encor vostre noire cholere, Et les ſerpens retors que vous lancés au fond D’un cœur de cruauté, & de rages fecond.	J'atteste le Soleil, Seigneur jure par les Cieux, Par les ombreus manoirs des Plutoniqnes lieus, Que si tous les esprits du troisième partage Mêlaient avec moi leur infernalle rage Cela ne suffirait pour assouvir laigreur Du fiel, ett du courrous qui bouille dans mon cœn Ès y encor compagnes de Mègère, Apportés y encor notre noire colère, Et les serpens retors que vous lancez au fond D'un cœur de cruauté, et de rages fond.
SCENE SECONDE.	SCÈNE SECONDE.
MAVRICE.	MAURICE.
CONSTANTINE.	CONSTANTINE.
LES ENFANS.	LES ENFANS.
LES SOLDATS.	LES SOLDATS.
N Vous eſtroicts liens, ô vous chaiſnes ſerrées QQui tenez, & nos pieds el nos mains enferrées Vous infames licols meſſagers du treſpas, Qui derrier noſtre dos nous recourbez les bras V'ous chaiſnes qui preſſez de vos griffes meurtrieres En vn cercle de fer, noz iambes priſonnieres, Helas!	N Vous étroits liens, ô vous chaînes serrées QQui tenez, et nos pieds e nos mains enferrées Vous infâmes licols messagers du trépas, Qui derrier nos dos nous recourbez les bras chaînes qui pressez de vos ie meurtrières En cercle de fer, iambes prisonnières, Helas!
vous ſçauez bien que des le premier iour Que ie vis ſur mon chef vn entortillé tour De perles de rubis, que l’Inde nous apporte De flambeus Diamans qui brulloient en la ſorte Que faict l'aſtre argenté qui blanchement reluict, Et donne la clarté aux ombres de la nuict, Ie predis mon malheur, chaiſnes ie vous atteſte le predis bien mon mal, mon encombre funeſte, Et vis que ces liens eſtoient auant-coureurs, Combien qu’enchaßez d’or) de mes preſens malheurs Ainſi qu’au premier temps vne race dorée Orna premierement noſtre humaine contrée, Vn autre apres d’argent, la troiſieſme d’airain La quatrieſme de fer, euſt le fer en la main, Et ſema tant de maux en la race des hommes Nencores malheureux à preſent nous en ſommes	Vous savez bien que des le premier jour Jour nous vis sur mon chef un entortillé tour à perles de rubis, que l'Inde nous apporte De flambeus Diambants qui brullaient en la sorte Que fait l'astre argenté qui blanchement reluit, Et donne la clarté aux ombres de la nuit, Je prédis mon malheur, chaînes ici vous atteste le prédis bien mon mal, mon encombre funeste, Et vis que ces liens étaient avant-coureurs, Combien qu'enchassez or) de mes presens malheurs As au premier temps race dorée Orna premièrement nôtre humaine re, ur apres d'or, la ) dairain La quatrième me fer, eût le pr en la mi, Et sema tant de m en la race des do Ré malheureux d orée nous en sommes
De meſme ie preuis que l’or qui rayonnoit Sur le rond couronné que Rome me donnoit, M’ameneroit apres vne ſaiſon ferrée, De miſeres, de maux, de malheurs entourée.	De même ici prévis que l'or qui rayonnait Sur le rond couronné que Rome me donnait, M'amènerait après une saison ferrée, De misères, de maux, de malheurs entourée.
Or la voicy venüe, & le flambeau du iour Trainant ſon coche d’or par l’azuré ſeiour N’apperçoiſt point de maux, à mon mal comparable Ne voit point de malheur à mon malheur ſemblable Voicy mes enfançons, Dieu ie me meurs helas!	Or la voici venue, et le flambeau du jour Trainant son coche d'or par l'a seiour apperçoist point de maux, mon mal comparable Ne voit point de malheur mon malheur semblable Voicy mes enfançons, Dieu ie me meurs hélas!
