TAVTE DETI MERMET	TAUTE DETI MERMET
Quoy!	Quoi!
d’vn iuſte Courroux ie ſuis émeu contr’elle, C’eſt moy qui me viẽt plaindre, & c’eſt moy quõqueOn pouſſe ma Douleur, & mes Soupçõs à bout, (relle!	d'un juste Courroux ici suis ému contre elle, C'est moi qui me vient plaindre, et c'est moi qu' pousse ma Douleur, et mes Soupçons à bout, (relle!
On me laiſſe tout croire, on fait gloire de tout;	On me laisse tout croire, on fait gloire de tout;
Et cependant, mon Cœur eſt, encore, aſſez lâche, Pour ne pouuoir briſer la Chaîne qui l’attache, Et pour ne pas s’armer d’vn genereux Mépris Contre l’ingrat Objet dont il eſt trop épris!	Et cependant, mon Cœur est, encore, assez lâche, Pour ne pouvoir briser la Chaîne qui l'attache, Et pour ne pas s'armer d'un généreux Mépris Contre l'ingrat Objet dont il est trop épris!
Ah!	Ah!
que vous ſçauez bien icy, contre moy méme.	que vous savez bien ici, contre moi -même.
Perfide, vous ſeruir de ma foibleſſe extreme, Et menager, pour vous, l’excés prodigieux De ce fatal Amour, né de vous traiſtres yeux !	Perfide, vous servir de ma faiblesse extrême, Et ménager, pour vous, l'excès prodigieux De ce fatal Amour, né de vous traîtres yeux !
Defendez-vous, au moins, d’vn Grime qui m’accable, Et ceſſez d’affecter d’eſtre, enuers moy, coupable;	Défendez-vous, au moins, d'un Grime qui m'accable, Et cessez d'affecter d'être, envers moi, coupable;
Rendez-moy, s’il ſe peut, ce Billet innocent, A vous pientei les Mais, ina Tendrene coment;	Rendez-moi, s'il se peut, ce Billet innocent, À vous pienti les Mais, ina Tendrène compent;
Efforcez-vous, icy, de paroiſtre fidelle, Et ie m’efforceray, moy, de vous croire telle.	Efforcez-vous, ici, de paraître fidèle, Et tu m'efforcerai, moi, de vous croire telle.
CELIMENE.	CELIMENE.
Allez, vous eſtes fou dans vos Tranſports jalous, Et ne meritez pas l’amour qu’on a pour vous.	Allez, vous êtes fou dans vos Transports jalous, Et ne méritez pas l'amour qu'on a pour vous.
Ie voudrois bien ſçauoir, qui pourroit me cõtraindre A deſcendre, pour vous aux Baſſeſſe de feindre:	Je voudrais bien savoir, qui pourrait me cõtraindre A descendre, pour vous aux Bassesse de feindre:
Et pourquoy, ſi mon Cœur penchoit d’autre côté, Ie ne le dirois pas auec ſincerité?	Et pourquoi, si mon Cœur penchait d'autre côté, Je ne le dirais pas avec sincérité?
Quoy!	Quoi!
de mes Sentiment l’obligeante Aſſeurance:	de mes Sentiment l'obligeante Assurance:
Contre tous vos Soupçons, ne prend pas ma defenſes Auprés d’vn tel Garent, ſont-ils de quelque poids?	Contre tous vos Soupçons, ne prend pas ma défenses Auprès d'un tel Garent, sont-ils de quelque poids?
N’eſt ce pas m’outrager, que d’écouter leur voix?	N'est ce pas m'outrager, que d'écouter leur voix?
Et puis que noſtre cœur fait vn effort extréme, Lors qu’il peut ſe reſoudre à confeſſer qu’il aime;	Et puis que notre cœur fait un effort extrême, Lors qu'il peut se résoudre à confesser qu'il aime;
Puis que l’Honneur du Sexe, Ennemy de nos Feux, Soppoſe, fortement, à de pareils Aueus;	Puis que l'Honneur du Sexe, Ennemi de nos Feux, Soppose, fortement, à de pareils Avus;
L’Amant qui voit pour luy, rranchir vn tel obltacle, Doît il, impunément douter de cét Oracle:	L'Amant qui voit pour lui, rranchir de tel oblacle, Doût -il, impunément douter de cet Oracle:
Et n’eſt-il pas coupable, en ne s’aſſeurant pas, A ce qu’on ne dit point qu’aprés de grands combats.	Et n'est-il pas coupable, en ne s'assurant pas, À ce qu'on ne dit point qu'après de grands combats.
Allez, de tels Soupçons méritent ma colere, Et vous ne valez pas que l’on vous conſidere:	Allez, de tels Soupçons méritent ma colère, Et vous ne valez pas que l'on vous considère:
Ie ſuis Sotte, & veux mal à ma Simplicité, De conſeruer, encor, pour vous quelque bonté;	Je suis Sotte, et veux mal à ma Simplicité, De conserver, encor, pour vous quelque bonté;
Pe dev ioisjuaeleparejattuenel men ſicile, Et vous faire vn ſujet de plainte legitime.	Pe dev ioisjuaeleparejattuenel men sicile, Et vous faire un sujet de plainte légitime.
ALCESTE.	ALCESTE.
Ah!	Ah!
Traiſtreſſe, mon Foible eſt étrange pour vous?	Traîtresse, mon Faible est étrange pour vous?
Vous me trompez, ſans doute, auec des Motsſi doux:	Vous me trompez, sans doute, avec des Motssi doux:
Mais, il n’importe, il faut ſuîure ma Deſtinée, A voſtre roy jaoiiimne dintoute ubunaonhée, Ie veux voir, juſqu’au bout, quel ſera voſtre Cœur:	Mais, il n'importe, il faut suîture ma Destinée, A vôtre roi jaoiiimne dintoute ubunaonhée, Je veux voir, jusqu'au bout, quel sera votre Cœur:
Et il, de ſe tranip,il aura la Noirceur.	Et il, de se tranip,il aura la Noirceur.
CELIMENE.	CELIMENE.
Non, vous ne m’aimez point comme il faut que l’on ALCESTE.	Non, vous ne m'aimez point comme il faut que l'on ALCESTE.
7 (aime.	7 (aime.
Ah!	Ah!
rien n’eſt comparable à mon amour extréme;	rien n'est comparable à mon amour extrême;
Et, dans l’ardeur qu’il a de ſe montrer à tous, Il va, juſqu’à former des Souhaits contre vous, Oüy, ie voudrois qu’aucun ne vous trouuât aimable, Que vous fuſſiez reduite en vn Sort miſerable, Que le Ciel, en naiſſant, ne vous euſt donné rien, Que vous n’euſſiez ny Rang, ny Naiſſance, ny Bien, Afin que de mon Cœur, l’éclatant Sacrifice, Vous pût, d’vn pareil Sort reparer l’iniuſtice:	Et, dans l'ardeur qu'il a de se montrer à tous, Il va, jusqu'à former des Souhaits contre vous, Oui, ie voudrois qu'aucun ne vous trouvât aimable, Que vous fussiez réduite en un Sort misérable, Que le Ciel, en naissant, ne vous eût donné rien, Que vous n'eussiez ni Rang, ni Naissance, ni Bien, Afin que de mon Cœur, l'éclatant Sacrifice, Vous pût, d'un pareil Sort réparer l'injustice:
Et que i’euſſe la ioye, & la gloire, en ce iour, De vous voir tenir tout, des mains de mon Amour.	Et que j'eusse la joie, et la gloire, en ce jour, De vous voir tenir tout, des mains de mon Amour.
CELIMENE.	CELIMENE.
C’eſt me vouloir du Bien, d’vne étrange maniére!	C'est me vouloir du Bien, d'une étrange manière!
Me preſerue le Ciel, que vous ayez matiére.	Me preserve le Ciel, que vous ayez matièvre.
Voicy Monſieur Du Bois, plaiſamment, figuré.	Voici Monsieur Du Bois, plaisamment, figuré.
SCENE IV.	SCÈNE IV.
DV BOD, CELIMIENE, AECESTE,	DU BOD, CÉLIMIENE, AECESTE,
ALCESTE.	ALCESTE.
Ve veut cet equipage, & cet air éfaré?	Ve veut cet équipage, et cet air éfaré?
ZQu’as-tu?	ZQu'as-tu?
DV BOIS.	DU BOIS.
Monſieur.	Monsieur.
ALCESTE.	ALCESTE.
Hé bien.	Hé bien.
DV BOIS.	DU BOIS.
Voicy bien des myſteres	Voici bien des mystères
Qu’eſt-ce?	Qu'est-ce?
ALCESTE.	ALCESTE.
DV BOIS.	DU BOIS.
Nous ſommes mal, Monſieur, dans nos Affaires	Nous sommes mal, Monsieur, dans nos Affaires
Quoy?	Quoi?
DacLaIL.	DacLaIL.
DV BOIS.	DU BOIS.
Parleray-ie haut?	Parlerai-je haut?
ALCESTE.	ALCESTE.
Oüy, parle, & promptement.	Oui, parle, et promptement.
Av.	Av.
dura.	dura.
N’eſt-il point là, quelqu’vn.	N'est-il point là, quelqu'un.
Veux-tu parler?	Veux-tu parler?
ALCESTE.	ALCESTE.
Ah!	Ah!
que d’amuſement.	que d'amusement.
V BOIS.	V VOIS.
Monſieur, il faut laire fetraite.	Monsieur, il faut laire fétraite.
Comment?	Comment?
ALCESTE.	ALCESTE.
DV BOIS.	DU BOIS.
Il faut d’icy, déloger ſaus Trompette,	Il faut d'ici, déloger saus Trompette,
Et pourquoy?	Et pourquoi?
ALCESTE.	ALCESTE.
DV BOIS.	DU BOIS.
Ie vous dis qu’il faut quiter ce Lieu,	Je vous dis qu'il faut quitter ce Lieu,
La cauſe!	La cause!
HEOESTE.	HEOESTE.
DV BOIS.	DU BOIS.
Il faut partir, Monſieur, ſans dire adieu.	Il faut partir, Monsieur, sans dire adieu.
ALCESTE.	ALCESTE.
Mais, par quelle Raiſon, me tiens-tu ce langage.	Mais, par quelle Raison, me tiens-tu ce langage.
DV BOIS.	DU BOIS.
Par la Raiſon, Monſieur, qu’il faut plier Bagage.	Par la Raison, Monsieur, qu'il faut plier Bagage.
ALCESIE.	ÀLCESIE.
Ah!	Ah!
ie te caſſeray la teſte, aſſurement, Si tu ne veu, Maraut, t’expliquer autrement.	Ne te casserai la tête, assurément, Si tu ne veu, Maraut, t'expliquer autrement.
DV BOIS.	DU BOIS.
Monſieur, vn Homme noir, & d’habit, & de mine, Eſt venu nous laiſſer, iuſque dans la Cuiſine, vn l’apier grironne d’vne telle raçon.	Monsieur, un Homme noir, et d'habit, et de mine, Est venu nous laisser, jusqu' dans une Cuisine, une l'apier grironne d'une telle raçon.
Qu’il faudroit, pour le lire, eſtre pis que Demon.	Qu'il faudrait, pour le lire, être pis que Démon.
C’eſt de voſtre Procés, ie n’en fait aucun doute;	C'est de votre Procès, tu n'en fait aucun doute;
Mais le Diable d’enfer, ie croy, n’y verroit goûte.	Mais le Diable d'enfer, je crois, n'y verrait goûte.
ALCESTE.	ALCESTE.
Hé bien?	Hé bien?
quoy?	quoi?
ce Papier, qu’a t’il à démeler, Traiſtre, avec le Depart dont tu viens me parler?	ce Papier, qu'a -t-il à démeler, Traître, avec le Départ dont tu viens me parler?
DV BOIS.	DU BOIS.
enſuite,	ensuite,
C’eſt pour vous dire, icy, Monſieur, qu’vne heure Vn Homme, qui ſouuent vous vient rendre viſite, Eſt venu vous chercher avec empreſſement;	C'est pour vous dire, ici, Monsieur, qu'une heure Un Homme, qui souvent vous vient rendre visite, Est venu vous chercher avec empressement;
Et ne vous trouuant pas, mla churge, coucemient;	Et ne vous trouvant pas, mêla churge, coucemient;
Sçachant que ie vous ſers auec beaucoup de zele, De vous dile.	Sachant que Seigneur vous sers avec beaucoup de zèle, De vous dile.
Attendez, comme eſt ce qu’ir s’apelle:	Attendez, comme est -ce qu'ir s'appelle:
ALCESTE.	ALCESTE.
Laiſſe là, ſon nom, lraiſtre, & dis ce qu’il t’a dit.	Laisse là, son nom, lraître, et dis ce qu'il t'a dit.
DV BOIS.	DU BOIS.
C’eſt vn de vos Amis, enfin, cela ſuffit.	C'est un de vos Amis, enfin, cela suffit.
Irifraurt quey d rey, voſtre peril vous chaſſe, Et que, d’eſtre atreſté, le Sort vous y menace.	Irifraurt quei dis dis, votre péril vous chasse, Et que, d'être atresté, le Sort vous y menace.
ALCESTI.	ALCESTI.
Mais quoy?	Mais quoi?
n’a t’il voulu te rien ſpecifiet?	n'a -t-il voulu te rien specifiet?
DV BOIS.	DU BOIS.
Non, il m’a demande de l’encre, & du Papier;	Non, il m'a demande de l'encre, et du Papier;
Et vous a fait vn mot où vous pourrez, ie penſe, Du fonds de ce mynert, auoir la connoiſſance.	Et vous a fait un mot où vous pourrez, on pense, Du fond de ce mynert, avoir la connaissance.
Donne le done.	Donne le done.
ALCESTE.	ALCESTE.
CELIMENE.	CELIMENE.
Que peut enueloper cecy?	Que peut envelopper ceci?
ALCESTE.	ALCESTE.
1nie 5u)uri aſpire à m’en voir éclaircy.	1nie 5u)uri aspire à m'en voir éclairci.
Auras-tu bientoſt fait, Impertinent au Diable?	Auras-tu bientôt fait, Impertinent au Diable?
Dy bois upres tauoit tong temps cherché, Ma foy, ie l’ay, Monſieur, laiſſé ſur voſtre Table.	Dis bois upres tavait tong temps cherché, Ma foi, tu l'ai, Monsieur, laissé sur votre Table.
ALCESTE Ie ne ſçay qui me tient.	ALCESTE Je ne sais qui me tient.
CELIMENE.	CELIMENE.
Ne vous emportez pas, Et courez démeſler vn pareil embarras,	Ne vous emportez pas, Et courez démêler un pareil embarras,
ALCESTE.	ALCESTE.
Il ſemble que le Sort, quelque ſoin que ie prenne, Ait iuré d’empeſcher que ie vous entrecienne;	Il semble que le Sort, quelque soin que je prenne, Ait juré d'empêcher que ie vous entrecienne;
Mais pour en triompher;	Mais pour en triompher;
ſouffrez à mon Amour, De vous reuoir, Madame auant la fin du lour, Fin du Quatrieſme Acte.	souffrez à mon Amour, De vous revoir, Madame avant la fin du lour, Fin du Quatrième Acte.
ACTE V.	ACTE V.
SCENE PREMIERE.	SCÈNE PREMIÈRE.
ALCESTE, PHILINTE,	ALCESTE, PHILINTE,
ALCESTE.	ALCESTE.
A reſolution en eſt priſe, vous dy-je.	A résolution en est prise, vous dis-je.
PHILINIE.	PHILINIE.
Mais, quel que ſoit ce coup, faut-il qu’il vous oblige.	Mais, quel que soit ce coup, faut-il qu'il vous oblige.
ALCESTE.	ALCESTE.
Non, vous auez beau faire, & beau me raiſonner, Rien de ce que ie dy, ne peut me detourner:	Non, vous avez beau faire, et beau me raisonner, Rien de ce que je dis, ne peut me détourner:
Trop de Peruerſité regne au Siecle où nous sõmes.	Trop de Perversité règne au Siècle où nous sont.
Et ie veux me tirer du commerce des Hommes.	Et ici veux me tirer du commerce des Hommes.
Quoy!	Quoi!
contre ma Partie, on void, tout à la fois, L’Honneur, la Probité, la Pudeur, & les Loix:	contre ma Partie, on voit, tout à la fois, L'Honneur, la Probité, la Pudeur, et les Lois:
On publie, en tous lieux, l’équité de ma cauſe:	On publie, en tous lieux, l'équité de ma cause:
Sur la Foy de mon droit, mon ame ſe repoſe:	Sur la Foi de mon droit, mon âme se repose:
Cependant ie me vois trompé par le Succez, I’ay pour moy la luſtice, & ie perds mon Procez!	Cependant ie me vois trompé par le Sucès, J'ai pour moi la lustice, et Ah perds mon Procès!
Vn rraiſtre, dont on ſçait la ſcandaleuſe Hiſtoire, Eſt ſorty triomphant d’vne Fauſſeté noire!	Un rraistre, dont on sait la scandaleuse Histoire, Est sort triomphant d'une Fausseté noire!
Toute la Bonne Foy cede à ſa Trahiſon!	Toute la Bonne Foi cède à sa Trahison!
Il trouue, en m’égorgeant, moyen d’auoir raiſon!	Il trouve, en m'égorgeant, moyen d'avoir raison!
Le poids de ſa Grimace, où brille l’Artifice, Renuerſe le bon Droit, & tourne la luſtice!	Le poids de sa Grimace, où brille l'Artifice, Renverse le bon Droit, et tourne la lustice!
Il fait, par vn Arreſt, couronner ſon Forfait:	Il fait, par un Arrêt, couronner son Forfait:
Et non contens encor, du Tort que l’on me fait, Il court parmy le Monde vn liure abominable, Et de qui la lecture eſt, meſme condamnable!	Et non contents encor, du Tort que l'on me fait, Il court parmi le Monde un livre abominable, Et de qui la lecture est, même condamnable!
Vn liure à meriter la derniere Rigueur, Dont le Fourbe a le front de me faire l’Autheur!	Un livre à mériter la dernière Rigueur, Dont le Fourbe a le front de me faire l'Auteur!
Et la deſſus, on void Oronte qui murmure, Et tâche, méchamment, d’appuyer l’Impoſture!	Et la dessus, on voit Oronte qui murmure, Et tâche, méchamment, d'appuyer l'Imposture!
Luy, qui d’vn hõneſte Hõme, à la Cour tien le Rang A qui ie n’ay rien fait qu’eſtre ſincere & franc!	Lui, qui d'un honnête Homme, à la Cour tien le Rang A qui apprendre n'ai rien fait qu'être sincère et franc!
Qui me vient malgré moy, d’vne ardeur empreſſée, Sur des Vers qu’il a faits, demander ma penſée Et parce que i’en vſe auec honneſteté, Et ne le veux trahir, luy ny la Verité, Il aide à m’accabler d’vn Crime imaginaire:	Qui me vient malgré moi, d'une ardeur empressée, Sur des Vers qu'il a faits, demander ma pensée Et parce que j'en use quelque honnêteté, Et ne le veux trahir, a ny la Vérité, Il aide à m'accabler d'un Crime imaginaire:
Le voila devenu mon plus grand Aduerſaire!	Le voilà devenu mon plus grand Aduersaire!
Et iamais de ſon cœur ie n’auray de pardon, Pour n’auoir pas trouué que ſon Sonnet fut bon!	Et jamais de son cœur Dieux n'aurai de pardon, Pour n'avoir pas trouvé que son Sonnet fut bon!
Et les hommes, morbleu, ſont faits de cette ſorte!	Et les hommes, morbleu, sont faits de cette sorte!
C’eſt à ces Actions que la Gloire les porte!	C'est à ces Actions que la Gloire les porte!
Voila la Bonne Foy, le Zele vertueux, La Iuſtice, & l’Honneur, que ie trouue chez eux!	Voilà la Bonne Foi, le Zèle vertueux, La Justice, et l'Honneur, que ie trouue chez eux!
Allõs, c’eſt trop ſoufrir les Chagrins qu’õ nous forge, Tirons-nous de ce bois, & de ce coupe-gage?	Allons, c'est trop souffrir les Chagrins qu'on nous forge, Tirons-nous de ce bois, et de ce coupe-gage?
Puis qu’entre Humains, ainſi, vous viuez en vrais Loups, Traiſtre, vous ne m’aures de ma vie, auec vous.	Puis qu'entre Humains, ainsi, vous vivez en vrais Loups, Traître, vous ne m'aurez de ma vie, avec vous.
PHILINTE.	PHILINTE.
Ie trouue vn peu bien prõpt, le deſſein où vous eſtes, Et tous le mal n’eſt pas ſi grand que vous le faites:	Je trouve un peu bien prompt, le dessein où vous êtes, Et tous le mal n'est pas si grand que vous le faites:
Ce que voſtre Partie oſe vous imputer, N’a point eu de crédit de vous faire arreſter;	Ce que votre Partie ose vous imputer, N'a point eu de crédit de vous faire arrêter;
On void ſon faux rapport, luy meſme, ſe deſtruire, Et c’eſt vne Action qui pourroit bien luy nuire.	On voit son faux rapport, lui mesme, se détruire, Et c'est une Action qui pourrait bien a nuire.
ALCESTE.	ALCESTE.
Luy!	Lui!
de ſemblables Tours, il ne craint point l’éclat, Il a permiſſion d’eſtre franc Scelerat;	de semblables Tours, il ne craint point l'éclat, Il a permission d'être franc Elerat;
Ht tuni qu'u lon dicun dund celenuuntare, On l’en verra, demain, en meilleure poſture.	Ht tuni qu'en lon dicun d' celenuuntare, On l'en verra, demain, en meilleure posture.
PHILINTE.	PHILINTE.
Enfin, il eſt conſtant qu’on n’a point trop donné Au bruit que, contre vous, ſa malice a tourné.	Enfin, il est constant qu'on n'a point trop donné Au bruit que, contre vous, sa malice a tourné.
De ce coſté, déja, vous n’auez rien à craindre:	De ce côté, déjà, vous n'avez rien à craindre:
le pour rotre procerjuortous pouuez vous plaindre.	le pour rotre procerjuortous pouvez vous plaindre.
Il vous eſt, en Iuſtice, aiſé d’y reuenir, Et contre cet Arreſt.	Il vous est, en Justice, aisé d'y revenir, Et contre cet Arrêt.
ALCESTE.	ALCESTE.
Non, ie veux m’y tenir.	Non, Seigneur veux m'y tenir.
Quelque ſenſible tort qu’vn tel arrreſt me faſſe, Ie me garderay bien de vouloir qu’on le caſſe:	Quelque sensible tort qu'un tel arrêt me fasse, Je me garderai bien de vouloir qu'on le casse:
Ou y voit trop à plein le bon droit mal-traité, Et ie veux qu’il demeure à la Poſterité, Cõme vne Marque inſigne, vn fameux Témoignage, De la méchanceté des Hommes de noſtre âge.	Ou y voit trop à plein le bon droit mal-traité, Et tu veux qu'il demeure à la Postérité, Comme une Marque insigne, un fameux Témoignage, De la méchanceté des Hommes de notre âge.
Ce ſont vingt mille fracs qu’il m’en pourra coûter, Mais, pour vingt mille Frãcs, i’auray droit de préter Contre l’Iniquité de la Nature Humaine, Et de nourrir, pour elle, vne immortelle Haine.	Ce sont vingt mille fracs qu'il m'en pourra coûter, Mais, pour vingt mille Frants, j'aurai droit de prêter Contre l'Iniquité de la Nature Humaine, Et de nourrir, pour elle, une immortelle Haine.
Mais, enfin.	Mais, enfin.
PHILINTE.	PHILINTE.
ALCESTE.	ALCESTE.
Mais, enſin, vos ſoins ſont ſuperflus:	Mais, ensin, vos soins sont superflus:
Que pouuez-vous, Monſieur, me dire là deſſus, Aurez vous bien le front de me vouloir, en face, excuſer les horreurs de tout ce qui ſe paſſe?	Que pouvez-vous, Monsieur, me dire là -dessus, Aurez -vous bien le front de me vouloir, en face, excuser les horreurs de tout ce qui se passe?
PHILINTE.	PHILINTE.
Non, ie tombe d’accord de tout ce qu’il vous plaiſt, Tout marche par cabale, & par pur Intereſt;	Non, Seigneur tombe d'accord de tout ce qu'il vous plaît, Tout marche par cabale, et par pur Intérêt;
Ce n’eſt plus que la Ruſe, auiourd’huy, qui l’emporte, Et les Hommes deuroient eſtre faits d’autre ſorte.	Ce n'est plus que la Ruse, aujourd'hui, qui l'emporte, Et les Hommes devraient été faits d'autre sorte.
Mais eſt ce vne Raiſon, que leur peu d’equité, Pour vouloir ſe tirer de leur Societé?	Mais est ce une Raison, que leur peu d'équité, Pour vouloir se tirer de leur Soceté?
rous ces defauts humains nous donnent, dans la Vie, Des moyens d’exercer noſtre Philoſophie.	rous ces défauts humains nous donnent, dans la Vie, Des moyens d'exercer notre Philosophie.
C’eſt le plus bel employ que trouue la vertu;	C'est le plus bel emploi que trouve la vertu;
Et ſi, de Probité, tout eſtoit reueſtu.	Et si, de Probité, tout était revêtu.
Si tous les cœurs eſtoient, franc, iuſtes, & dociles, La pluſpart des Vertus nous ſeroient inutiles, Puis qu’onon menmelago apouuon;	Si tous les cœurs étaient, franc, justes, et dociles, La plupart des Vertus nous seraient inutiles, Puis qu'on menmelago apouuon;
laus cnnuy, Suporter dans nos Droits, l’Iniuſtice d’Autruy :	la cusnui, Supporter dans nos Droits, l'Iniustice d'Autrui :
Et de meſme qu’vn cœur, d’vne Vertu profonde.	Et de même qu'un cœur, d'une Vertu profonde.
ALCESTE.	ALCESTE.
Ie ſçay que vous parlez, Mõſieur le mieux du mõde, En beaux Raiſonnemens, vous abondez toûjours, Mais vous pernez le tẽps, & tous vos beaux Diſcours:	Je sais que vous parlez, Mõsieur le mie du née, En beaux Raisonnements, vous abondez toujours, Mais vous pernez le temps, et tous vos beaux Discours:
La Raiſon, pour mon bien, veut que ie me retire, Ie n’ay point, ſur ma langue, vn aſſez grand empire?	La Raison, pour mon bien, veut que je me retire, Je n'ai point, sur ma langue, un assez grand empire?
De ce que ie dirois, ie ne répondrois pas :	De ce que ici dirais, ie ne répondrais pas :
Et ie me ietterois cent choſes ſur les Bras.	Et grands me ietterois cent choses sur les Bras.
Laiſſez-moy, ſans diſpute, attendre Celimene, Il faut qu’elle conſente au Deſſein qui m’ameine:	Laissez-moi, sans dispute, attendre Celimène, Il faut qu'elle consente au Dessein qui m'amène:
Ie vay voir ſi ſon cœur a de l’amour pour moy, Et c’eſt ce moment cy, qui doit m’en faire foy.	Je vais voir si son cœur a de l'amour pour moi, Et c'est ce moment cy, qui doit m'en faire foi.
PHILINTE.	PHILINTE.
Montons chez Eliante, attendant ſa venuë,	Montons chez Éliante, attendant sa venue,
ALCESTE.	ALCESTE.
Non, de troy de ſoucy, ie me ſens l’Ame émeuë, Allez-vous-en la voir, & me laiſſez, enfip, Dans te petit coin ſombre, auec mon noir chagrin	Non, de troy de souci, je me sens l'Âme émue, Allez-vous-en la voir, et me laissez, enfip, Dans te petit coin sombre, avec mon noir chagrin
PHILINTE.	PHILINTE.
C’eſt vne compagnie étrange, pour attendre, Et ie vais obliger Eliante à décendre.	C'est assez compagnie étrange, pour attendre, Et tu vais obliger Éliante à décendre.
SCENE II.	SCÈNE II.
ORONTE, CELIMENE, ALCESTE,	ORONTE, CELIMENE, ALCESTE,
ORONTE.	ORONTE.
y c’eſt à vous, de voir, ſi par des Nœuds ſi dous OMadame, vous voulez mattacher tout à vous:	y c'est à vous, de voir, si par des Nœuds si dous OMadame, vous voulez matacher tout à vous:
Il me faut de voſtre Ame, vne pleine aſſeutance, Vn Amant, l’à deſſus n’aime point qu’on Babance:	Il me faut de votre Âme, une pleine assurtance, Un Amant, l'à -dessus n'aime point qu'on Babance:
Si l’ardeur de mes Feux a pû vous émouuoir, Vous ne deuez point feindre à me le faire voir;	Si l'ardeur de mes Feux a pu vous émouvoir, Vous ne devez point feindre à me le faire voir;
Et la preuue, apres tout, que ie vous en demande, C’eſt de ne plus ſouffrir qu’Alceſte vous pretende, De le ſacrifier, Madame, à mon Amour.	Et la preuve, après tout, que je vous en demande, C'est de ne plus souffrir qu'Alceste vous prétende, De le sacrifier, Madame, à mon Amour.
Etiue euet vousjennajie pauni des de lours	Etive euet vousjennaj àuni des de lours
CELIMENE.	CELIMENE.
Mais quel ſujet ſi grand, contre luy, vous irrite, Vous, a qui i’ay tant veu parler de ſon merite?	Mais quel sujet si grand, contre lui, vous irrite, Vous, à qui j'ai tant vu parler de son mérite?
ORONTE.	ORONTE.
Madame, il ne faut point ces éclairciſſemens, Il s’agit de ſçauoir quels ſont vos Sentimens.	Madame, il ne faut point ces éclaircissements, Il s'agit de savoir quels sont vos Sentiments.
Choiſiſſez s’il vous plaiſt, de garder l’vn, ou l’autre, Ma réſolution n’attend rien que la voſtre.	Choisissez s'il vous plaît, de garder l'un, ou l'autre, Ma résolution n'attend rien que la vôtre.
ALCESTE ſortant du coin où il s’eſtoit retiré.	ALCESTE sortant du coin où il s'était retiré.
Oüy, Monſieur a raiſon;	Oui, Monsieur a raison;
Madame, il faut choiſir, Et ſa demande, ioy, s’accorde à mon deſir, Pareille ardeur me preſſe, & meſme ſoin m’ameine, Mon Amour veut du voſtre, vne marque certaine.	Madame, il faut choisir, Et sa demande, joi, s'accorde à mon désir, Pareille ardeur me presse, et même soin m'amène, Mon Amour veut du vôtre, une marque certaine.
Les choſes ne ſont plus pour traîner en longueur, Et voicy le moment d’expliquer voſtre cœur.	Les choses ne sont plus pour traîner en longueur, Et voici le moment d'expliquer votre cœur.
ORONTE.	ORONTE.
Ie ne veux point, Monſieur, d’vne flâme importune, Troubler, aucunement, voſtre bonne Fortune,	Je ne veux point, Monsieur, d'une flamme importune, Troubler, aucunement, votre bonne Fortune,
ALCESTE.	ALCESTE.
Le ne veux point, monneur, faious, ou non jalous, Partager de ſon cœur, rien du tout auec vous,	Le ne veux point, monneur, faious, ou non jalous, Partager de son cœur, rien du tout avec vous,
ORONIE.	ORONIE.
Si voſtre Amour, au mien, luy ſemble preferable.	Si votre Amour, au mien, lui semble préférable.
ALCESTE.	ALCESTE.
ordu momuion conane enceſt pour vous capable.	ordu momuion conane encêt pour vous capable.
ORONTE.	ORONTE.
le Iure de ny flen pretendie dclolinais.	le Jure de ici flen prétendie dclolinais.
ALCESTE.	ALCESTE.
Ie iure, hautement, de ne la voir iamais.	Je jure, hautement, de ne la voir jamais.
ORONTE.	ORONTE.
Madame, c’eſt à vous, de parler ſans contrainte.	Madame, c'est à vous, de parler sans contrainte.
AHOBETE.	AHOBETE.
Madame, vous pourrez vous expliquer ſans crainte.	Madame, vous pourrez -vous expliquer sans crainte.
ORONIE.	ORONIE.
Vous n’auez qu’à nous dire où s’attachẽt vos vœux.	Vous n'avez qu'à nous dire où s'attachent vos vœux.
ALCESIE Vous n’avez qu’à trancher, & choiſir de nous deux.	ÀLCESIE Vous n'avez qu'à trancher, et choisir de nous deux.
ORONTE.	ORONTE.
Quoy!	Quoi!
ſur vn pareil chois, vous sẽblez eſtre en peine!	sur un pareil chois, vous semblez être en peine!
ALCESTE.	ALCESTE.
Quoy!	Quoi!
voſtre Ame balance, & paroit incertaine!	vôtre Ame balance, et parait incertaine!
CELIMEEE.	CELIMEEE.
Mon Dieu!	Mon Dieu!
que cette Inſtance eſt là, hors de Saiſon:	que cette Instance est là, hors de Saison:
Et que vous témoignez, tous deux, peu de Raiſon!	Et que vous témoignez, tous deux, peu de Raison!
Ie ſçay prendre Party ſur cette Preference, Et ce n’eſt pas mon cœur, maintenant, qui balance:	Je sais prendre Party sur cette Préférence, Et ce n'est pas mon cœur, maintenant, qui balance:
