A PARIS, .	À PARIS, .
NISE.	NISE.
Arreſte vn peu Berger.	Arrête un peu Berger.
Helas!	Hélas!
CELIE.	CELIE.
NISE.	NISE.
Elle reſpire, il la faut ſoulager.	Elle respire, il la faut soulager.
NARETE.	NARETE.
O ſouuerain remede, ô larmes fortunées, Qui prolongent le cours de ſes belles années.	Ô souverain remède, ô larmes fortunées, Qui prolongent le cours de ses belles années.
Bergers, l’eau de vos pleurs la ſauue heureuſement, Mais ne la troublez point, aydez luy ſeulement.	Bergers, l'eau de vos pleurs la sauve heureusement, Mais ne la troublés point, aidez Seigneur seulement.
.	.
.	.
	
100 LATA CELIE.	100 LATA CÉLIE.
Qte ce chemin eſt long, Dieux!	Quitte ce chemin est long, Dieux!
que ie ſuis laßée,	que ici suis lassée,
NARETE.	NARETE.
Y Deamelesdcauonvie enter ja pemce.	Y Damelesdauonvie enter ja pemce.
CELIE.	CELIE.
Ie ſuis dans les enfers, voicy ces champs heureux Deſtinez au repos des eſprits amoureux.	Je suis dans les enfers, voici ces champs heureux Destinés au repos des esprits amoureux.
NARETE.	NARETE.
Souſtenez la Bergers.	Soutenez la Bergers.
CEL.	CEL.
Mais pourquoy vaines ombres Arreſtez-vous mes pas ſur ces riuages ſombres?	Mais pourquoi vaines ombres Arrêtez-vous mes pas sur ces rivages sombres?
Hal c’eſt trop de rigueur, Amour iuſqu’aux enfers Tu portes aux amans des braſiers & des fers, Ie ſouffre en les voyant vne ardeur qui me tuë.	Hal c'est trop de rigueur, Amour jusqu'aux enfers Tu portes aux amants des brasiers et des fers, Je souffre en les voyant une ardeur qui me tue.
NARETE.	NARETE.
Laiſſez moy r’aſſeurer ſon ame encor eſmeuë.	Laissez -moi rassurer son âme encor émue.
CELIA.	CELIA.
Caron, faut-il deſia paſſer en ton batteau?	Caron, faut-il déjà passer en ton batteau?
I'arriue ſeulement ſur le bord de cette eau.	J'arrive seulement sur le bord de cette eau.
NARETE.	NARETE.
Celie, eſcoute moy, banny ces reſueries, Régarde prés d’icy les campagnes fleuries:	Celie, écoute moi, banni ces rêveries, Régarde prés d'ici les campagnes fleuries:
Icy le vent murmure, icy le Soleil luit;	Ici le vent murmure, ici le Soleil luit;
Là bas ce n’eſt qu’horreur, que ſilẽce et que nuit:	Là bas ce n'est qu'horreur, que silce et que nuit:
Leue les yeux au Ciel, voy le iour qui decline, Ne reconnoy-tu plus le bois ny la colline?	Leve les yeux au Ciel, vois le jour qui décline, Ne reconnais-tu plus le boisblé la colline?
C'eſt moy qui ſun Narete,	C'est moi qui sun Narete,
CELIE.	CELIE.
Eſt-il donc aſſeuré Que là bas mon eſprit ait ſi peu demeuré?	Est-il donc assuré Que là bas mon esprit ait si peu demeuré?
Ee susne an jelxcauneauſeltee, Me rends-tu la clarté que tu m’auois oſtée?	Ee susne an jelxcauneauselsée, Me rends-tu la clarté que tu m'avais ôtée?
NANEIE.	NANEIE.
Tu dois cette faueur aux pleurs de deux amans.	Tu dois cette faveur aux pleurs de deux amants.
CELIE.	CELIE.
Pourquoy ſont-ils venus prolõger mes tourmens?	Pourquoi sont-ils venus prolontger mes tourments?
Faut-il faire deux fois vn effort legitime, Et d’vne double mort punir vn double crime?	Faut-il faire deux fois un effort légitime, Et d'une double mort punir un double crime?
NARETE.	NARETE.
Ie vay chercher vne herbe aux vallõs d’alentour Qui lapourraguerir, attendez mon retour.	Je vais chercher une herbe aux vallõs d'alentour Qui lapourraguérir, attendez mon retour.
ACTEIV.	ACTEIV.
SCENE VI.	SCÈNE VI.
OEETR AMraIBs.	ÔETR AMraIBs.
AVRUS.	AURUS.
CELIE.	CELIE.
e dac aissysrsssssotss nesesos IVT AMINTE.	eu dac aissysrissrsotss néos IVT AMINTE.
Ha!	Ha!
Bergere inhumaine.	Bergère inhumaine.
CELIE.	CELIE.
Pourquoy m'empeſche-tu de terminer ma peine?	Pourquoi m'empêche-tu de terminer ma peine?
AMINTE.	AMINTE.
Tu peux d’vne autre ſorte alleger tes ennuis.	Tu peux d'une autre sorte alléger tes ennuis.
CRLIE.	CRLIE.
Que veux-tu que ie face en l’eſtat où ie ſuis?	Que veux-tu que Madame face en l'état où tu suis?
AMINTE.	AMINTE.
Quitte, chere beaute, ia aouleur pehemente, Et me laiſſe ſouffrir le mal qui me tourmente, C’eſt Niſe ſeulement que tu dois rẽdre heureux.	Quitte, chère beauté, ja aouleur phémente, Et me laisse souffrir le mal qui me tourmente, C'est Nise seulement que tu dois rèdre heureux.
NISE.	NISE.
2 Ireux?	2 Ireux?
Mais d’où viẽt qu’il luy fait ces diſcours amou, ---	Mais d'où vie nd'il cause fait ces discours amou, --
Et mamort ſeulement peut conſeruer ſa vie, Permets à mon eſprit d’accomplir ſon enuie:	Et mamort seulement peut conserver sa vie, Permets à mon esprit d'accomplir son envie:
Quandie te ſollicite à m’accorder ce point, Ie ne demande pas que tu ne m’aimes point, [ble, Ie veux biẽ qu’en tõ ame vn double amour s’aßẽTu peux aymer ſans crime Aminte & Niſe enſemble, Et lors que le trépas finira mes douleurs Auoir pour l’vn des feux, & pour l’autre des AVISE.	Quandie te sollicite à m'accorder ce point, Je ne demande pas que tu ne m'aimes point, [ble, Je veux bien qu'en tendre âme un double amour s'assẽTu peux aimer sans crime Aminte et Nise ensemble, Et lors que le trépas finira mes douleurs Avoir pour l'un des feux, et pour l'autre des AVISE.
Ipleurs.	Ipleurs.
O d’amant & d’amy modelle incomparable.	Ô d'amant et d'ami modèle incomparable.
AMINTE.	AMINTE.
Ainſi tu iouyras d’vn deſtin fauorable, Et ie ſeray ioyeux d’auoir perdu le iour De crainte d’offenſer vn ſi fidelle amour.	Ainsi tu jouiras d'une destin favorable, Et tu serai joyeux d'avoir perdu le jour De crainte d'offenser un si fidèle amour.
NISE.	NISE.
Mon mal ne ſçauroit plus cacher ſa violence, Ie ſerois à la ſin coupable en mon ſilence:	Mon mal ne saurait plus cacher sa violence, Je serais à la sin coupable en mon silence:
Aminte c'eſt aſſez, attend Berger, attend, Il faut bien que ie meure, & que tu ſois content.	Aminte c'est assez, attend Berger, attend, Il faut bien que de meure, et que tu sois content.
CELIE.	CELIE.
Non nõ, viuez heureux, laiſſez moy les ſuplices.	Non notre, vivez heureux, laissez -moi les suplices.
2 G ii	2 G y
Pendant que vous ſerez au milieu des delices, Et banniſſant de vous l’amour & la pitié, Sacrifiez ma vie à voſtre inimitié, C'eſt moy qui doy mourir:	Pendant que vous serez au milieu des délices, Et bannissant de vous l'amour et la pitié, Sacrifiez ma vie à votre inimitié, C'est moi qui dois mourir:
mais viuez belles ames, Et ſous ma froide cẽdre étouffez vos deux flames, Voyez de quelle erreur vos eſprits sõt charmez, La Parque a reietté l’objet que vous aimez, Redonnez luy ce corps, ceſſez voſtre querelle, Et puniſſez tous deux vne amante infidelle.	mais vivez belles âmes, Et sous ma froide prendre étouffez vos deux flammes, Voyez de quelle erreur vos esprits sont charmés, La Parque a rejetté l'objet que vous aimez, Redonnez-même ce corps, cessez votre querelle, Et punissez tous deux une amante infidèle.
ACTE IV.	ACTE IV.
SCENE VII.	SCÈNE VII.
FILIN.	FILIN.
CELIE.	CELIE.
AMINTE.	AMINTE.
NISE.	NISE.
DEMANN.	DEMANN.
E voicy donc Celie, helas!	E voici donc Célie, hélas!
tu ne ſçais pas, I Cloris.	tu ne sais pas, I Loris.
CELIE.	CELIE.
Que veux-tu dire?	Que veux-tu dire?
FILIN.	FILIN.
prés du treſpas.	près du trépas.
CELIE.	CELIE.
O ſenſible malheurl ô funeſte nouuellel Pilin le ſsay-tu bien.	Ô sensible malheur ô funeste nouvellel Pilin le sais-tu bien.
enqnetenaroireſt-elle:	enqnetenaroirêt-elle:
FILIN.	FILIN.
Ie la viens de quitter au vallon que tu vois, Là de mille ſanglots elle eſtouffe ſa voix, huvmutpoaruun,Ouua lamort meſme Eſtendre vn noir bandeau ſur ſon viſage bleſme.	Je la viens de quitter au vallon que tu vois, Là de mille sanglots elle étouffe sa voix, huvmutpoaruun,Oua lamort même Estendre un noir bandeau sur son visage blême.
ANISE.	ANISE.
O iour infortuné!	Ô jour infortuné!
destins iniurieux!	destins injurieux!
CELIE.	CELIE.
Mais d’où luy peut venir ce deſſein furieux?	Mais d'où lui peut venir ce dessein furieux?
AMINTE.	AMINTE.
Le bruit qu’ona ſemé que Celie eſtoit morte L'auroitbien fait reſoudre à mourir de la ſorte.	Le bruit qu'on semé que Celie était morte L'auraitbien fait résoudre à mourir de la sorte.
CELIE.	CELIE.
O Dieux, eſt-il poßible?	Ô Dieux, est-il possible?
attend chere Cloris, Ie ſouffriray pour toy la mort que tu cheris.	attend chère Cloris, Je souffrirai pour toi la mort que tu chéris.
NISE.	NISE.
Mais oǹ dis-tu qu'elle eſt?	Mais ô dis-tu qu'elle est?
eſclaircis nous de gra	éclaircis nous de gra
*.	*.
2 LA FILIN.	2 LA FILIN.
AlleZ à la fontaine, & ſuiuez cette trace, u eul disyu dadlarcieassies,	Allez à la fontaine, et suivez cette trace, u eul disiv dadlarcieassies,
AMINTE.	AMINTE.
Allons la ſecourir, Ie croy que nous pourrõs l’empeſcher de mourir.	Allons la secourir, Je crois que nous Rois l'empêcher de mourir.
NISE.	NISE.
Cloris dont nous parlons n’eſt-ce point cette belle	Cloris dont nous parlons n'est-ce point cette belle
AMINTE.	AMINTE.
Aſſeurément c’eſt elle.	Assurément c'est elle.
NISE.	NISE.
C'eſt aſſez, auançons.	C'est assez, avançons.
FILIN.	FILIN.
Niſe arreste vn moment, a oltettolde se dteco	Nise arrête un moment, a oltettolde se dteco
NISE.	NISE.
Etquoy- uy promtemont.	Etquoy- ui promtemont.
FILIN.	FILIN.
Deſtache vn peu ce cercle.	Détache un peu ce cercle.
NISE.	NISE.
Attend, ie ſuis fort aiſe De le reuoir encore, il faut que ie le baiſe O Dieux!	Attend, Seigneur suis fort aise De le revoir encore, il faut que je le baise Ô Dieux!
qu’ay-ie apperceu, voici l’autre moitié, Qui fut à ma Filis vn gage d’amitié:	qu'ai-je aperçu, voici l'autre moitié, Qui fut à ma Filis un gage d'amitié:
Cependant que ie voy ces lettres revnies Mon cœur eſt diuisé de doutes infinies, Dy moy d’où vient cecy?	Cependant que je vois ces lettres réunies Mon cœur est divisé de doutes infinies, Dy moi d'où vient ceci?
FILIN.	FILIN.
Cloris me l’a donné.	Cloris me l'a donné.
NISE.	NISE.
MTe mem?	MTe mém?
Mais où l’a-t'elle pris?	Mais où l'a-t'-elle pris?
FILIN.	FILIN.
Il eſtoit auprés d’elle Alors qu’elle appelloit la fortune cruelle, Et qu’vne telle plainte exprimoit ſes ſeucis:	Il était auprès d'elle Alors qu'elle appelait la fortune cruelle, Et qu'une telle plainte exprimait ses sévis:
O Filis malheureuſe!	Ô Filis malheureuse!
ô perfide Tirſis!	ô perfide Tirsis!
AIe N0 Ferainte, O dieux!	AIe N0 Ferainte, Ô dieux!
que ton diſcours remplit mes flens de A-Pelle en te voyant continué ſa plainte?	que ton discours remplit mes flents de A-Pelle en te voyant continué sa plainte?
FILIN.	FILIN.
Elle m’a fait venir, & m’a dit toute en pleurs Ces mots qui teſmoignoiẽt l'excés de ſes douleurs:	Elle m'a fait venir, et m'a dit toute en pleurs Ces mots qui témoignaient l'excès de ses douleurs:
Toy que le ſort ameine en ce lieu ſolitaire, Le Ciel te ſoit propice autant qu’il m'eſt cõtraire, ----- Tien, ne refuſe point ce bien-fait à mes vœux, Porte ce cercle à Niſe, & dis luy que ie veux, Attend s’il m'en ſouuient.	Toi que le sort âme en ce lieu solitaire, Le Ciel te soit propice autant qu'il m'est comtraire, -- Tien, ne refuse point ce bien-fait mes vœux, Porte ce cercle Nise, et dis lui que ie veux, Attend il m'en souuient.
NISE.	NISE.
O labelle memoire!	Ô labelle mémoire!
FILIN.	FILIN.
Mourir de peur de nuire à ſa nouuelle gloire, Et finir mes tourmens par la fin de mes iours, Puiſque l’ingrat Tirſis a trahy mes amours.	Mourir de peur de nuire à sa nouvelle gloire, Et finir mes tourments par la fin de mes jours, Puisque l'ingrat Tirsis a trahi mes amours.
NISE.	NISE.
Hal certes c'eſt Filis, ce ſoleil de mon améCet agreable autheur de ma premiere flame, Qu'vn iuſte deſeſpoir a reduit au trépas, M’ayant veu ſoupirer apres d’autres appas:	Hal certes c'est Filis, ce soleil de mon améCet agréable auteur de ma première flamme, Qu'un juste désespoir a réduit au trépas, M'ayant vu soupirer après d'autres appas:
Mais au lieu de vẽger la mort qu'elle a ſoufferte, A2iisahso s lin Eſsnefnene.	Mais au lieu de vendre la mort qu'elle a soufferte, A2iahso s in Essnefnène.
Vacercle iniurieux m'attendre en ce ruiſſeau, Ondeſia ma ſureut amarque mon tombeau.	Vacercle injurieux m'attendre en ce ruisseau, Ondesia ma sûreut amarque mon tombeau.
FILIN.	FILIN.
Il me faut retirer, ce Paſteur m'eſpouuante.	Il me faut retirer, ce Pasteur m'épouvante.
NISE.	NISE.
Inſensé, qu’as-tu fait?	Insensé, qu'as-tu fait?
ſi Filis eſt viuante Quel ſujet auras-tu de paraiſtre à ſes yeux,	si Filis est vivante Quel sujet auras-tu de paraître à ses yeux,
Si tu ne luy rends point ce treſor precieux?	Si tu ne lui rends point ce trésor précieux?
ais quand cela ſeroit, elle a ſceu de ta bouche L’iniuſte nouueauté de l’amour qui te touche.	ais quand cela serait, elle a su de ta bouche L'injuste nouveauté de l'amour qui te touche.
Non non, il faut mourir, c’eſt vn prompt chaſtiment Que tu dois exiger de ton reſſentiment:	Non non, il faut mourir, c'est un prompt châtiment Que tu dois exiger de ton ressentiment:
Perfide, va treuuer Celie ou viue ou morte, Suy tous les mouuemens où la fureur t’emporte, Va mourir à ſes pieds, & t'arrachant le cœur Rend ce laſche captif à ſon premier vaincueur;	Perfide, va trouver Celie ou vive ou morte, Sui tous les mouvements où la fureur t'emporte, Va mourir à ses pieds, et t'arrachant le cœur Rend ce lâche captif à son premier vaincueur;
Poſſede ton Aminte, ô diuine Celie, Ie n'empeſcheray point qu’vn chaſte nœud vous lie, Ie cherche le chemin de l’eternelle nuit, Le deſeſpoir me guide, & la Parque me ſuit.	Possède ton Aminte, ô divine Celie, Je n'empêcherai point qu'un chaste nœud vous lie, Je cherche le chemin de l'éternelle nuit, Le désespoir me guide, et la Parque me suit.
ACTE CINQVIESME SCENE PREMIERE.	ACTE CINQUIÈME SCÈNE PREMIÈRE.
PERINDE, ayant le cercle en main.	PERINDE, ayant le cercle en main.
2 Spectacle odieux!	2 Spectacle odieux!
voir en terre vne image, A qui tout l’vniuers doit vn fidelle hommage:	voir en terre une image, À qui tout l'univers doit un fidèle hommage:
Roy, Doux objet de mes yeux, beau portrait de mon Ie veux pour t’adorer m’abaiſſer deuant toy, Ie tremble en te voyant de reſpect & de crainte, Et n'oſerois toucher vne image ſi ſainte:	Roi, Doux objet de mes yeux, beau portrait de mon Je veux pour t'adorer m'abaisser devant toi, Je tremble en te voyant de respect et de crainte, Et n'oserais toucher une image si sainte:
Mais toy qui que tu ſois dont la temerité A fait vn tel outrage à ſon authorité, Perfide tu mouras, le Ciel n'eſt point capable De ſauuerdu treſpas vn mortel ſi coupable:	Mais toi qui que tu sois dont la témérité A fait un tel outrage à son autorité, Perfide tu mouras, le Ciel n'est point capable De sauverdu trépas mortel si coupable:
Ie vay treuuer Oronte, il ſçaura iuſtement Ordonner à ton crime vn ſoudain chaſtiment.	Je vais trouver Oronte, il saura justement Ordonner à ton crime un soudain châtiment.
.	.
	
Mais que ie ſuis confus en ces diuerſes traces Berger par où va-t'on auxpauillons des Traces Narete paraiſt	Mais que ici suis confus en ces diverses traces Berger par où va-t'-on auxpavillons des Traces Natte paraît
ACTE V.	ACTE V.
SCENE II.	SCÈNE II.
NARETE.	NARETE.
CLORTS.	CLORTS.
NARETE.	NARETE.
Viuez ce grand chemin, mais i’ay trop deC2 meuré De porter à Celie vn remede aſſeuré:	Vivez ce grand chemin, mais j'ai trop deC2 meuré De porter à Celie un remède assuré:
Toutesfois i’ay laißé deux Bergers auecelle, Il me faut cependant ſecourir cette belle.	Toutefois j'ai laisse deux Bergers auecelle, Il me faut cependant secourir cette belle.
CLORIS.	CLORIS.
Tu m’offences, Narete, en me donnant ſecours, Permets que ie finiſſe & mapeine & mes iours.	Tu m'offenses, Naître, en me donnant secours, Permets que a finisse et mapeine et mes jours.
NARETE.	NARETE.
Non non, iene ſçaurois appreuuer ton enuie, La fureur nedoit point diſpoſer de ta vie.	Non non, iene saurais approuver ton envie, La fureur nedait point disposer de ta vie.
CLORIS.	CLORIS.
Tu ne peux toutesfois empeſcher mon treſpas, Ny prolonger la vie à ceux qui ne l’ont pas:	Tu ne peux toutefois empêcher mon trépas, Ni prolonger la vie à ceux qui ne l'ont pas:
Ie nedemande plus que les riuages ſombres, Voudrois-tu que ton corps fuſt ſuiuy de deux ombres?	Je nedemande plus que les rivages sombres, Voudrais-tu que ton corps fût suivi de deux ombres?
Et que l’on viſt paraiſtre au milieu des viuants Des morts ſans ſepulture, & des tõbeaux mouuans?	Et que l'on vît paraître au milieu des vivants Des morts sans sépulture, et des tombeaux mouvants?
Niſe O Dieux!	Nise Ô Dieux!
qu’en le voyant ie me treuue ſurpriſe.	qu'en le voyant apprendre me trouve surprise.
ACTE V.	ACTE V.
SCENE III.	SCÈNE III.
NARETE.	NARETE.
NISE.	NISE.
CLORIS.	CLORIS.
NARETE.	NARETE.
DOurquoy te cache-tu voyant approcher I Niſe?	DOurquoy te cache-tu voyant approcher I Nise?
Berger, deſire-tu quelque choſe demoy?	Berger, désire-tu quelque chose demoi?
Où ſont ceux que i'auois laiſſez auecque toy?	Où sont ceux que j'avais laissez auecque toi?
.	.
	
NISE.	NISE.
Aminte ſuit Celie, & moy ie ſuis en peine De ſçauoir ſi Cloris eſt morte en cette plaine;	Aminte suit Celie, et moi -même suis en peine De avoir si Cloris est morte en cette plaine;
Lohrronalla deſne meMrer dejoncy.	Lohronalla desne meMrer déjonci.
NARETE.	NARETE.
Cloris voit la lumiere, & n'eſt pas loing d’icy.	Cloris voit la lumière, et n'est pas loing d'ici.
NISE.	NISE.
Cloris voit la lumiere?	Cloris voit la lumière?
ô deſtin fauorable, As-tu doncconſerué cet objet adorable:	ô destin favorable, As-tu doncconservé cet objet adorable:
CLORIS.	CLORIS.
Avts penx, oſez-poms uit jaut vnuemmereffort Pour ietter vos regards ſur l’auteur de ma mort?	Auts penx, osez-poms uit jaut vnuemmereffort Pour jeter vos regards sur l'auteur de ma mort?
NARETE.	NARETE.
C’eſt Niſe, ne crain rié, il t’a long tẽps cherchée, Et le bruit de ta perte a ſon ame touchée.	C'est Nise, ne crain rié, il t'a long temps cherchée, Et le bruit de ta perte à son âme touchée.
CUCRIS.	CUCRIS.
Berger, ſi tu l’as veu touchédans mon malheur, Ceruecontentemen, & nonpas de douleur.	Berger, si tu l'as vu touchédans mon malheur, Ceruecontentemen, et nonpas de douleur.
NARETE.	NARETE.
Enten tuces diſcours?	Enten tuées discours?
EURE.	EURE.
O Filis!	Ô Filis!
ô mon ame!	ô mon âme!
Que de crainte ſemeſle à l’ardeur qui m’enflame.	Que de crainte semêle à l'ardeur qui m'enflamme.
H	H
PET Amour, demon de feu, banny ces froids ſoupçons  o cennn noma mdegiasons.	PET Amour, démon de feu, banni ces froids soupçons ô cenn noma mégiasons.
NARETE.	NARETE.
Amour, Filis, mon ame, ha!	Amour, Filis, mon âme, ha!
ie vien de connaiſtre Quſendure vn tourmet que lamour a fait nai	Ne viens de connaître Qusendure un tourmet que lamour a fait nay
NISE.	NISE.
ſtre.	stre.
Soupirs qui de ma plainte interrempez le cours, A la fin changez vous en vn ferme diſcours, Filis voy ſur mon front la douleur qu’il exprime, I'ay failly malheureux, ie confeſſe mon crime, Veux-tu touſiours de moy tes beaux yeux deſtourner?	Soupirs qui de ma plainte interrempez le cours, À la fin changez -vous en un ferme discours, Filis vois sur mon front la douleur qu'il exprime, J'ai failly malheureux, Seigneur confesse mon crime, Veux-tu toujours de moi tes beaux yeux détourner?
Eſt-ce le chaſtiment que tu veux m’ordonner?	Est-ce le châtiment que tu veux m'ordonner?
Non non, ſois plus ſeuere en ta iuſte vengeance, Tire de leur pouuoir vne entiere allegeance, Oppoſe à mes regards ces ſoleils enflameZ, Et brule vn criminel de leurs traits allumez:	Non non, sois plus sévère en ta juste vengeance, Tire de leur pouvoir une entière allégeance, Oppose à mes regards ces soleils enflamés, Et brule un criminel de leurs traits allumés:
Ie merite la mort t’ayant fait cette inture, Et ne deſire point de ſauuer vn parjure, Ie cherche le ſupplice, & non pas le pardon, Quand meſme tu voudrois m’obliger de ce don:	Je mérite la mort t'ayant fait cette inture, Et ne désire point de sauver un parjure, Je cherche le supplice, et non pas le pardon, Quand même tu voudrais m'obliger de ce don:
Et quoy que la raiſon apporte à ma defence, Ie veux par mon treſpas reparer mon offence:	Et quoi que la raison apporte à ma défense, Je veux par mon trépas réparer mon offense:
Ie perdray ſans regret la lumiere des Cieux, Et ſeray ſatisfait de mourir à tes yeux:	Je perdrai sans regret la lumière des Cieux, Et serai satisfait de mourir à tes yeux:
Apres vié tous les iours fouler d’vn pied ſuperbe Ces mẽbres malheureux eſtẽdus deſſus l’herbe, Vange toy ſur vnmort des crimes d’vn viuant, Ma cendre n'aura point de tombeau que le vent, Et mes os expoſez à ta fureur derniere, Sous tes pas orgueilleux ſeront mis en poußiere.	Après vié tous les jours fouler d'Han pied superbe Ces menses me estẽdus dessus l'herbe, Venge toi sur vnmort des crimes d'un vivant, Ma cendre n'aura point de tombeau que le vent, Et mes os exposez à ta fureur dernière, Sous tes pas orgueilleux seront mis en pouvière.
CLORIS.	CLORIS.
Paſteur, ie ne veux pas ordonner à ton ſort De conſeruer la vie, ou d’aller à la mort;	Pasteur, Madame ne veux pas ordonner à ton sort De conserver la vie, ou d'aller à la mort;
Le Ciel reſerue au crime vn chaſtiment ſeuere, Et l’amour doit venger vn cœur qui le reuere.	Le Ciel réserve au crime un châtiment sévère, Et l'amour doit venger un cœur qui le révère.
NISE.	NISE.
Ha!	Ha!
cruelle Filis, inhumaine beauté,	cruelle Filis, inhumaine beauté,
CLORIS.	CLORIS.
Eſprit dißimulé, tes ſoupirs & tes larmes Pour tromper ma raiſonont d’inutiles charmes, La haine montre icy des effets d’amitié, Et la cruauté prend le front de la pitié;	Esprit diimulé, tes soupirs et tes larmes Pour tromper ma raisonont d'inutiles charmes, La haine montre ici des effets d'amitié, Et la cruauté prend le front de la pitié;
Ton action paraiſt contraire à ton enuie, Tu me donnes des pleurs quand tu m’oſtes la vie,	Ton action paraît contraire à ton envie, Tu me donnes des pleurs quand tu m'ôtes la vie,
H ij	H ij
Et me voulant cacher les traits de ta rigueur, Tu iettes des ſoupirs en m’arrachant le cœur.	Et me voulant cacher les traits de ta rigueur, Tu jetés des soupirs en m'arrachant le cœur.
Ta pitié rigoureuſe a mon ame abusée, De feindre de pleurer la mort qu’on a causée:	Ta pitié rigoureuse a mon âme abusée, De feindre de pleurer la mort qu'on a causée:
Berger, paſſe ioyeux le reſte de tes iours, Et poſſede en repos tes nouuelles amours, Tu ne treuueras plus ma preſence importune;	Berger, passe joyeux le reste de tes jours, Et possède en repos tes nouvelles amours, Tu ne trouveras plus ma présence importune;
Ie ſeray fauorable à ta bonne fortune, Ma vie offenceroit tes plaiſirs amoureux, naramit moujaycontentt, & tuſerancurent.	Je serai favorable à ta bonne fortune, Ma vie offenserait tes plaisirs amoureux, naramit moujaicontent, et tuserancurent.
ACTE V.	ACTE V.
SCENE IV.	SCÈNE IV.
MELISSE.	MÉLISSE.
NISE.	NISE.
NARETE.	NARETE.
CLORIS.	CLORIS.
MELISSE.	MÉLISSE.
Elaslie trẽble encor d’vne exeßiue crainte, IIMes pas ſont incertains, ma parole eſt contrainte:	Elaslie trẽble encor d'une exessiue crainte, IIMes pas sont incertains, ma parole est contrainte:
Cloris, & vous Bergers, n'auez vous point apNISE.	Cloris, et vous Bergers, n'avez -vous point apNISE.
pris.	pris.
Quel ſujet de frayeur trouble ainſi tes eſprits?	Quel sujet de frayeur trouble ainsi tes esprits?
MELISSE.	MÉLISSE.
Quelqu’vn du grãd Seigneur a laißé choir l’imaEtton pent que fa mortrepare vn tel outrage.	Quelqu'un du grand Seigneur a laisse choir l'imaéton pent que fa mortrepare tel outrage.
NISE.	NISE.
Pourquoy doit-il mourir.	Pourquoi doit-il mourir.
MELISSE.	MÉLISSE.
Le barbare offensé De ſa prochaine perte a l’arreſt prononcé, La rigueur d’vne loy veut qu’il perde la teſte;	Le barbare offensé De sa prochaine perte à l'arrêt prononcé, La rigueur d'une loi veut qu'il perde la tête;
naats cioin in porxuie ie uangei quis appreſté, Allons ma fille, allons.	naats cioin in porxuie autre uangei quis apprêté, Allons ma fille, allons.
NERETE.	NERTE.
Arreſte vnpeu Berger, Et nous dis le malheur qui nous vient aſfliger.	Arrête vnpeu Berger, Et nous dis le malheur qui nous vient asfliger.
MELISSE.	MÉLISSE.
Narete ie le veux, mais außi prend bien garde Qu'aucun des ennemis n’eſcoute, ou ne regarde.	Narete ie le veux, mais aussi prend bien garde Qu'aucun des ennemis n'écoute, ou ne regarde.
Les Traces ont touſiours obſerué ces deux leix, D'adorer agenoux l’image de leurs Roys, Et condamner à mort ceux qui font choir à terre Le portrait reueré de ces foudres de guerre.	Les Traces ont toujours observé ces deux leix, D'adorer agénoux l'image de leurs Rois, Et condamner à mort ceux qui font choir à terre Le portrait reueré de ces foudres de guerre.
NARETE.	NARETE.
O vanité ſupreme!	Ô vanité suprême!
ô deſſeinodieux!	ô desseinodieux!
.	.
.	.
.	.
MELISSE.	MÉLISSE.
Comme ils alloient au Temple accõplir leur enuie Pour leuer le tribut ſur cette lſle aſſeruie, De peur d’eſtre apperceu ie me ſuis arreſté Sous le fueillage eſpais d’vn buiſſon eſcarté, Où i’ay veu cepẽdant qu’vn ſoldat de leur bande Parloit de cette ſorte au chef qui leur commande:	Comme ils allaient au Temple accõplir leur envie Pour lever le tribut sur cette lâle asservie, De peur d'être aperçu ton me suis arrêté Sous le fueillage épais d'un buisson écarté, Où j'ai vu cepẽdant qu'un soldat de leur bande Parlait de cette sorte au che qui leur commande:
Seigneur, helás!	Seigneur, hels!
voyez quel eſprit furieux Offence de mon Roy le deſtin glorieux;	voyez quel esprit furieux Offense de mon Roi le destin glorieux;
O crime plein d’horreur qui merite vn tonnerre, I’ay treuué prés de l’eau ſa belle image à terre, I'ay treuué cet objet adorable à mes ſens Exposé ſur le ſable au meſpris des paſſans:	Ô crime plein d'horreur qui mérite un tonnerre, J'ai trouvé près de l'eau sa belle image à terre, J'ai trouvé cet objet adorable à mes sens Exposé sur le sable au mépris des passants:
Alors toute la troupe à ces diſcours eſmeuë Fremiſſant de courroux ſe dérobe à ma veué, una jaunncoume emamn quonRelh Menace de punir l’autheur de ce mespris:	Alors toute la troupe à ces discours émue Frémissant de courroux se dérobe à ma vué, una jaunncoume emn quonRelh Menace de punir l'auteur de ce mépris:
Oronte eſt dans le Temple attendant qu’on l’&	Oronte est dans le Temple attendant qu'on l'amour
NISE.	NISE.
Il le faut contenter, ie le puis aisément.	Il le faut contenter, je le puis aisément.
MELISSE.	MÉLISSE.
Helas!	Hélas!
le connoy-tu?	le connais-tu?
NISE.	NISE.
Suiuez moy ſeulement.	Suivez -moi seulement.
SCENE V.	SCÈNE V.
ORONTE.	ORONTE.
PERINDE.	PERINDE.
ORONTE, & quelques ſoldats dans le Temple.	ORONTE, et quelques soldats dans le Temple.
E reconnoy ce cercle, & mon ame eſtenpeine IDepuis que ce ſoldat l’a treuué dans la plaine:	E reconnais ce cercle, et mon âme étenpeine IDepuis que ce soldat l'a trouvé dans la plaine:
