RAPINIER OU L'INTERESSE', COMEDIE.	RAPINIER OU L'INTERÈSSE', COMÉDIE.
Monſieur, vous en ſerez dans peu mieux éclaircy.	Monsieur, vous en serez dans peu mieux éclairci.
Je croy que c’eſt un tour, que vôtre amy prépare.	Je crois que c'est un tour, que votre ami prépare.
Pour tromper tous les ſoins de ſon tureur avare.	Pour tromper tous les soins de son tureur avare.
Il luy manquoit encor un ſourbe, pour celà.	Il lui manquait encor un sourbe, pour celà.
at qunin juiemnen a pomerzeic vanncaMa	at quin juiemnen a pomerzeic vanncaMa
FERNAND.	FERNAND.
Pour ſertir ua bon Maitre, on doit tour entrepreu(die.	Pour sertir ua bon Majaitre, on doit tour entrepreudie.
MASCARILLE.	MASCARILLE.
Doit-on pas pour luy plaire, auſſi ſe faire peadre?	Doit-on pas pour notre plaire, aussi se faire péadre?
RNAND.	RNAND.
Nvon, mais on uoit uu moi couri queique danger, Quand on trouve par là, moyen de l’obliger.	Névon, mais on uait u moi couri queique danger, Quand on trouve par là, moyen de l'obliger.
MASCARILLE.	MASCARILLE.
D'un ſi hardy deſſein Jaſmin eſt ſeul capable, Et tout autre que luy vous eſt iuſupportable.	D'un si hardi dessein Jasmin est seul capable, Et tout autre que lui vous est iusupportable.
FERNAND.	FERNAND.
O Peur ltre ferola,rũ quelque choſe pour mojo En un beſoin auſſi?	Ô Peur ltre ferolà,rũ quelque chose pour molo Enun besoin aussi?
24	24
MASCARILLE.	MASCARILLE.
Qui iloy ?	Qui iloy ?
Monmcur?	Moncur?
FERNAND.	FERNAND.
Oui, toy.	Oui, toi.
MASCARILLE.	MASCARILLE.
Un eſprit qui ne peut de ſoy-même connaître Les têms où l’on doit dire ou Mr ou mon Maitre, Aaue2s s voile svis, ebis lolt imveuei.	Un esprit qui ne peut de soi-même connaître Les têms où l'on doit dire ou Mr ou mon Majaitre, Aaute2s voile suis, ébis lolt imveuei.
Non, non, & de laſmin je ne ſuis qu’aprentif.	Non, non, et de lasmin je ne suis qu'apprentis.
FERNAND.	FERNAND.
Maſcarille, à tous leux je ſçai rendre juſtice, Avant toy tu le ſçais, il eſt à mon ſervice.	Mascarille, à tous leux je sais rendre justice, Avant toi tu le sais, il est à mon service.
De plus certain brillant, qu’on découvre d’abord, *2 Treisse	De plus certain brillant, qu'on découvre d'abord, *2 Treisse
MASCARILLE.	MASCARILLE.
Tout ce qui lunt, bien ſouvent n’eſt pas or.	Tout ce qui lunt, bien souvent n'est pas or.
FERNAND:	FERNAND:
Je le ſçai, melme en toy j’en trouve un témoignage.	Je le sais, melme en toi j'en trouve un témoignage.
Ronl.	Ronl.
MASCARILLE.	MASCARILLE.
L ES as Eb le Me Mais ne parlons pas de celà davantage.	L ES as Éb le Me Mais ne parlons pas de celà davantage.
MASCARILLE.	MASCARILLE.
soit, ça, que voulez-vous?	soit, ça, que voulez-vous?
FERNAND.	FERNAND.
si tu veux me ſervir.	si tu veux me servir.
Je deſire ſçavoir;	Je désire sçavoir;
ſel Ma aid len Dio.	sel Ma aid len Dio.
Oui, de tout mon pouvoir.	Oui, de tout mon pouvoir.
Car aul n'eſt obligé, dit-on, à l’impoſſible.	Car aul n'est obligé, dit-on, à l'impossible.
TERNAND.	TERNAND.
Tu connois bien l’õbjet,, pour qui je ſois ſenſible?	Tu connais bien l'õbjet, pour qui je sois sensible?
MASCARILLE.	MASCARILLE.
Oui dà, je connois bien la ſœur de vôtre ami, Pour qui vos tendrez yeux n’ont pas toſjour dormy.	Oui dà, je connais bien la sœur de votre ami, Pour qui vos tendrez yeux n'ont pas tosjour dormi.
COMEDIE.	COMÉDIE.
FERNAND.	FERNAND.
Qug ten lemoie:	Quég ten loie:
MASCARHLLB.	MASCARHLLB.
Ma foy, je la trouve jolie.	Ma foi, je la trouve jolie.
FERNAND.	FERNAND.
Dy-moy, pourrois-tu pas trouver par ton génie, Quelque galant moyen de me faire.	Dis-moi, pourrais-tu pas trouver par ton génie, Quelque galant moyen de me faire.
MASCARILLE.	MASCARILLE.
J’enten Faſſer avec la belle une heure de bon têms.	J'enten Fasser avec la belle une heure de bon têms.
TERNAND.	TERNAND.
Maraut, tu pourrois bien attirer ma colere.	Maraut, tu pourrais bien attirer ma colère.
MASCARILLE.	MASCARILLE.
plair Quynvous voulant du bien, poutrois-je vous d	plair Quinvous voulant du bien, poutrais-je vous d
FERNAND.	FERNAND.
Que tu-fais le piaffant icy mar a plopos;	Que tu-fais le piaffant ici mar a plopos;
MASCARILLE.	MASCARILLE.
Ca, parlons ſagement.	Ça, parlons sagement.
FERNAND.	FERNAND.
Sçaches donc en deux mots.	Saches donc en deux mots.
Quoy?	Quoi?
MASCARILLE.	MASCARILLE.
FERNAND.	FERNAND.
dieſſe Que je voudrois bien, pour marquer ma te Faire quelque préſent à ma belle maîtreſſe, De nippes, de rubans, de bijoux curieux, Et de tout ce qui peut enfin plaire à ſes eux;	diesse Que je voudrais bien, pour marquer ma te Faire quelque présent à ma belle maîtresse, De nippes, de rubans, de bijoux curieux, Et de tout ce qui peut enfin plaire à ses eux;
Mais comme ſur ce poinct elle eſt fort circouſpecte Je veux lui faire voir combien je la reſpecte, Par les precautions que ſ’y veux apporter.	Mais comme sur ce point elle est fort circouspecte Je veux lui faire voir combien je la respecte, Par les précautions que s'y veux apporter.
Cà, ne pourois-ta point lui faire préſenter, Par exemple un beau poinct, mais de telle maniere, Que je ne choque poiſit ion iiumeur un pes fiere.	Çà, ne pourrais-ta point lui faire présenter, Par exemple un beau point, mais de telle manière, Que je ne choque poisit ion jiumeur un pes fière.
Reve un peu.	Reve un peu.
MASCARILLE.	MASCARILLE.
Qaoj, Mouſieur?	Quaj, Mousieur?
vous faites le Docteur, Et vous avez encor beſoin d’un Conducteur?	vous faites le Docteur, Et vous avez encor besoin d'un Conducteur?
Ah!	Ah!
que ces blonds cheveux couvrent peude cervelle, Monſieur la Rapiniere aime fort cette belle, M’a t’on dit.	que ces blonds cheveux couvrent peude cervelle, Monsieur la Rapin aime fort cette belle, M'a t'on dit.
TERNAND.	TERNAND.
Ouy.	Oui.
nu au v en du aM d mu De plus il eſt Fermier,	nu au v en du aM d mu De plus il est Fermier,
dERN6I D0 Aprés.	dERN6I D0 Après.
MASCARILLE.	MASCARILLE.
Il viſite ſouvent le Bureau d’ici prés, Sans doute, puiſqu'il eſt ſi prés de ſa demeure.	Il visite souvent le Bureau d'ici près, Sans doute, puisqu'il est si près de sa demeure.
FERNAND.	FERNAND.
Où veux-tu donc venir?	Où veux-tu donc venir?
ſi j’en ſçay rien, je meure.	si j'en sais rien, je meure.
MASCARILLE.	MASCARILLE.
Nous y voicy bien-toſt, diſpoſez vos préſens, Donnez les à porter à de certaines gens, Qui ſans les déclarer, entreront dans la ville;	Nous y voici bientôt, disposez vos présents, Donnés les à porter à de certaines gens, Qui sans les déclarer, entreront dans la ville;
Les Commis du Bureau, nation incivile, Aeme en sicovecu pende IMis, Surveillans comme chats qui guettent la ſouris;	Les Commis du Bureau, nation incivile, Âme en sicovecu pende IMis, Surveillants comme chats qui guettent la souris;
Viendront ſondre deſſui, d’une grande viteſſe, Les foüilleront par tont.	Viendront sondre dessui, d'une grande vitesse, Les foüilleront par tont.
FERNAND.	FERNAND.
Je comprends ton addreſſe, CSE Prmiyy m1, Dans les mains du Fermier ſera bien-toſt remis.	Je comprends ton adresse, CSE Prémiiy m1, Dans les mains du Fermier sera bientôt remis.
.	.
Luy, ſe montrant d'humeur libérale & civile, En ſera ſur le chaup preſenta la papille, D’autant plus, qu’ils ſeront à ſon uſage.	Lui, se montrant d'humeur libérale et civile, En sera sur le chaup présenta la papille, D'autant plus, qu'ils seront à son usage.
MASCARILLE.	MASCARILLE.
Vous l'avez deviné.	Vous l'avez deviné.
FERNAND.	FERNAND.
Tu m’as tout réjouy.	Tu m'as tout réjoui.
Par cette invention.	Par cette invention.
Mais ſi ces Commis mêm Dont les demangeaiſons de prendre ſont extreme Aetiement mes prelens.	Mais si ces Commis mêma Dont les démangeaisons de prendre sont extrême Aétiement mes prétends.
MASCARILLE.	MASCARILLE.
Bon!	Bon!
nôtre amy Jaſmin N’en prondra-til pas ſoin?	notre ami Jasmin N'en prondra-til pas soin?
Vous ſçavez que demai Il doit être Commis.	Vous savez que demai Il doit être Commis.
FERNAND.	FERNAND.
J’admire ton genie.	J'admire ton génie.
SCENE IV.	SCÈNE IV.
FERNAND, MASCARILLE, LA FLEUR.	FERNAND, MASCARILLE, LA FLEUR.
.	.
	
A PE.	À PE.
RN IIRE.	RN IIRE.
h, ah!	h, ah!
voila la Fleur.	voilà la Fleur.
hebien, ma Compagnie	hebien, ma Compagnie
LA FLEUR.	LA FLEUR.
Monſeur, eſſe ta bien Dleu meicy maintenant, Depuis que vous avez changé de lieutęnant.	Monsieur, esse ta bien Dleu meici maintenant, Depuis que vous avez changé de lieutenant.
C’eſt la plus belle enfin, qui ſoit dans vintimille.	C'est la plus belle enfin, qui soit dans vintimille.
Tencz Monſieur, liſez.	Tencz Monsieur, lisez.
Serviteur Maſcaiille	Serviteur Mascaiille
MASCARILLE.	MASCARILLE.
.	.
1f3ri* He bien, Monſieur la Fleur, comment vous portez vous.	1f3ri* He bien, Monsieur la Fleur, comment vous portez -vous.
14	14
LA FLEUR.	LA FLEUR.
Tu vois, Morguié, tout prêt à boire quatre coups.	Tu vois, Morguyé, tout prêt à boire quatre coups.
Je ſuis depuis dîné, venu ſans boire goutte, Et jamais je ne vis vne ſi triſtę route.	Je suis depuis dîné, venu sans boire goutte, Et jamais je ne vis une si trist route.
C .	Ç .
MASCARILLE.	MASCARILLE.
Voulez vous m’aſſiſter?	Voulez -vous m'assister?
ETy 4 LAFLEUR.	ETi 4 LAFLEUR.
Ony di, tres volontiers.	Oni di, très volontiers.
MASCCARIILE.	MASCARIILE.
Pour attraper icy ces Maltoſtiers.	Pour attraper ici ces Maltostiers.
Vous ſçayez, ces Commis qui ſont à cette porte, Qui veulent viſiter tout ce que l’on apporte?	Vous sçayez, ces Commis qui sont à cette porte, Qui veulent visiter tout ce que l'on apporte?
Ouy.	Oui.
l.	l.
822Le.	82Le.
ne	ne
MASCARI LLE.	MASCARI LLE.
De certains bijoux qu’ils ſaiſiront demain, Sans doute leur pourront affrioler la main.	De certains bijoux qu'ils saisiront demain, Sans doute leur pourront affrioler la main.
LA FLEUR.	LA FLEUR.
MASCARILLE.	MASCARILLE.
touy igpurca toutoit tout le miſtere.	toui igpurca tout tout le mystère.
FERNAND à la Fleur aprés avoir leu.	FERNAND à la Fleur après avoir lu.
J'y répondray demain.	J'y répondrai demain.
MASCARILLE.	MASCARILLE.
Monſieur, pour vôtre affaire, Daus la Fleur que voilà, nous avons un threſai	Monsieur, pour votre affaire, Daus la Fleur que voilà, nous avons un trésai
FERNAND.	FERNAND.
Jien.	Jien.
Qu'il aille avec toy.	Qu'il aille avec toi.
Par arce, 1111 MASCAMILLE.	Par arce, 1111 MASCAMILLE.
e vous demande Encor, i'aur depens de ces gens de barriere, Vous nous lais nez tous deny, un peu donner carriere.	Je vous demande Encor, j'aur dépens de ces gens de barrière, Vous nous lais nez tous déni, un peu donner carrière.
L'i27 :	L'i27 :
TERNAND.	TERNAND.
lle (uaaueyadu domume ens Mum quique tent ?	lève (uaaueyadu domume ens Mum quique tent ?
LMASCARILLE.	LMASCARILLE.
Neo pas lls mamais, c'eſt que je les hais à moit ſ je I vex aum jouer ì ma maniere.	Ne pas lls mamais, c'est que je les hais à moit s je I est que je vex amaniere.
212 ETINAND, y conſems;	212 ETINAND, y consems;
mais volcy Menſiour la Rapiulerer Ton viſane en cecy, luy qult aitie iucoiu Ie m’& vay luy parles.	mais volci Mensiour la Rapivlerer Ton visane en ceci, était qult aitie jucoiv Je m'en vais lui parles.
L.	L.
ei	ei
SCENE V.	SCÈNE V.
LA RAPINIERE, M.	LA RAPINIERE, M.
LE BLANC	LE BLANC
MOnſieur, j'étois venu, Fondé ſut vos bontez, animé d’eſpérance, Pour rous lane cer jous tres mamoie reudonttance, D’avoir un peu d’égard aux pertes que je fais, Dans un malheureux bai & deux maudits forſaits.	MOnsieur, j'étais venu, Fondé sut vos bontés, animé d'espérance, Pour rous lane cer jous très mamoie reudontance, D'avoir un peu d'égard aux pertes que je fais, Dans un malheureux bai et deux maudits forsaits.
LA RAPINIERE.	LA RAPINIERE.
A l'autre, vous perdez toùjours à vous enteudre.	À l'autre, vous perdez toujours à vous enteudre.
Mais.	Mais.
M.	M.
LEBLANC.	LEBLANC.
LA RAPINIERE.	LA RAPINIERE.
Mais moiicar le bliic, qui vous les a fait prendre?	Mais moiicar le bliic, qui vous les a fait prendre?
Eſt-ce moy?	Est-ce moi?
M.	M.
LELLANC.	LELANC.
Non Monſieur.	Non Monsieur.
LA RAPINIERE.	LA RAPINIERE.
He bien donc?	He bien donc?
que.	que.
M.	M.
LEBLANG.	LEBLANG.
Le haut prix,	Le haut prix,
LA RAPINIERE.	LA RAPINIERE.
Vous aver creu preudre, & vous vous trouver prit Vous n’êtes pas le ſeul.	Vous aver cru prévdre, et vous vous trouver prit Vous n'êtes pas le seul.
V	V
M.	M.
LE BLANC.	LE BLANC.
Ir eſt vray, c'eſt miafaute.	Jr est vrai, c'est miafaute.
LA RAPINIERE.	LA RAPINIERE.
mej u quindavez vous ceue Ferme ſi haute ì	méj u quindavez -vous cève Ferme si haute 
M.	M.
LEBLANC.	LEBLANC.
Depuis quacorze mois.	Depuis quacorze mois.
LA RAPINIERE.	LA RAPINIERE.
Quand vous avez ſigné?	Quand vous avez signé?
Mais êtiez vous mineur,	Mais étiez -vous mineur,
nua ido m isnlo M.	nua ido m isnlo M.
l’ay cinquante ans Monſieur.	l'ai cinquante ans Monsieur.
LA KAEINTENE.	LA 4EINTENE.
Tant plis vous aviez l’âge.	Tant plis vous aviez l'âge.
M.	M.
LE BLANC.	LE BLANC.
Ah, Ia funeſte Ferme!	Ah, Ja funeste Ferme!
J'en paye au grand Bureau vingt mil écus par terme.	J'en paie au grand Bureau vingt mil écus par terme.
ay comme vous ſçavez avancé le prémier, 'ay payé le ſecond;	ai comme vous savez avancé le prémier, 'ai payé le second;
le troiſiéme & dernier Sont encor à payer:	le troisième et dernier Sont encor à payer:
car Monſieur, la recepte, Qu’en un an les Commis dans les Bureaux ont faite, N'excede pas je croy, ſoixante mil écus Les établiſſemens, frais de régie.	car Monsieur, la recepte, Qu'en un an les Commis dans les Bureaux ont faite, N'excède pas je crois, soixante mil écus Les établissements, frais de régie.
Di AifivERE.	Dis AifivERE.
Abus.	Abus.
M.	M.
LE BLANC.	LE BLANC.
L'intéret de l'argent, les préſens qu’il faut faire.	L'intéret de l'argent, les présents qu'il faut faire.
Abus.	Abus.
LARAPINIERE.	LARAPINIERE.
LEBLANC.	LEBLANC.
Les penſions.	Les pensions.
LA RAPINIERE.	LA RAPINIERE.
Mais voulez vous vous taire	Mais voulez -vous vous taire
M.	M.
LE BLANC.	LE BLANC.
nous Hel vous ſçavez Mouneur;	nous Hel vous savez Mouneur;
toue ceiu iieux qu Vousavez.	toue cyvieux qu Vousavez.
LA RAPINIERE.	LA RAPINIERE.
C’en eſt trop, allez, retirez vous,	C'en est trop, allez, retirez vous,
Ie ſuis las d’écouter vos inſolentes plaintes.	Je suis las d'écouter vos insolentes plaintes.
Payez, ou n’attendez de nous rien que contrainte Que garniſons chez vous, & que ſevéritez, A ien qu’éxecutions, rigueurs & duretez	Payez, ou n'attendez de nous rien que contrainte Que garnisons chez vous, et que sévérités, A yen qu'éxecutions, rigueurs et dureté
M.	M.
LE BLANC.	LE BLANC.
Ie demande à compter Monſieur, de Clerc à Maîtr	Je demande à compter Monsieur, de Clerc à Maîtr
LA RAPINIERE.	LA RAPINIERE.
Payez, & c’eſt là tout ce que je veux connaître.	Payez, et c'est là tout ce que je veux connaître.
Allez, c’eſt aſſez dit.	Allez, c'est assez dit.
SCENE VI.	SCÈNE VI.
LA RAPINIERE, FERNAN.	LA RAPINIÈRE, FERNAN.
LA RAPINIERE.	LA RAPINIERE.
NOus vous ferons, ma foy Soûtenir comme il'faut, ou vous direz pourquoy, Poſtiche ſousfermier de nouvelle ſabrique, Que ſi legérement quittez vôtre bourique, Il valoir mieux pour vous, être toûjours mar chand, Que de venir icy faire le chien couchant, Vous avez ſottement voulu tâcher des Fermes;	NOus vous ferons, ma foi Soutenir comme il'faut, ou vous direz pourquoi, Postiche sousfermier de nouvelle sabrique, Que si legérement quittez votre bourique, Il valoir mieux pour vous, être toujours mar chand, Que de venir ici faire le chien couchant, Vous avez sottement voulu tâcher des Fermes;
Parbleu, vous payerez exactement vos trimes, Sinon, vous le verrez dans huit jours publier A vôtre ſolſe cucnele, & iaus aucun quaitier, 1 2	Parbleu, vous paierez exactement vos trimes, Sinon, vous le verrez dans huit jours publier À votre solse cucnele, et jaus aucun quaitier, 1 2
