POLYEVCTE, Seigneur d’Armenie, gendre de Felix,	POLYEUCTE, Seigneur d'Arménie, gendre de Félix,
acheuer de viure il n’a plus qu’vn moment Vous, en eſtes la cauſe encore qu’innocent:	achever de vivre il n'a plus qu'un moment Vous, en êtes la cause encore qu'innocent:
Ie ne ſçay ſi voſtre ame à vos deſirs ouuerte Auroit oſé former quelque eſpoir ſur ſa perte, Mais ſçachez qu’il n’eſt point de ſi cruels trépas Où d’vn front aſſeurê ie ne porte mes pas, Qu’il n’eſt point aux Enfers d’horreurs que ie n’endure Plutoſt que de ſoüiller vne gloire ſi pure, Que d’épouſer vn homme apres ſon triſte ſort Qui de quelque façon tont cauie de la Moii	Je ne sais si votre âme à vos désirs ouverte Aurait osé former quelque espoir sur sa perte, Mais sachez qu'il n'est point de si cruels trépas Où d'une front assuré ainsi ne porte mes pas, Qu'il n'est point aux Enfers d'horreurs que je n'endure Plutôt que de soüiller une gloire si pure, Que d'épouser un homme après son triste sort Qui de quelque façon tont cavie de la Moii
Et ſi vous me croyez d’vne ame ſi peu ſaine, L’amour que j’eus pour vous tourneroit toute en haine.	Et si vous me croyez d'une âme si peu saine, L'amour que j'eus pour vous tournerait toute en haine.
Vous eſtes genereux, ſoyez-le juſqu’au bout, Mon pere eſt en eſtat de vous accorder tout, Il vous craint, & j’auance encor cette parole Que s’il perd mon époux c’eſt à vous qu’il l’immole:	Vous êtes généreux, soyez-le jusqu'au bout, Mon père est en état de vous accorder tout, Il vous craint, et j'avance encor cette parole Que s'il perd mon époux c'est à vous qu'il l'immole:
Sauuez ce malheureux, employez-vous pous luy Faites-vous vn effort pour luy ſetuir d’appuy.	Sauvez ce malheureux, employez-vous pous homme Faites-vous un effort pour toujours sétuir d'appui.
Ie ſçay que c’eſt beaucoup que ce que ie demande, Mais plus l’effort eſt grand, plus la gloire en eſt grande, Conſeruer vn riual dont vous eſtes jaloux C’eſt vn trait de vertu qui n’appartient qu’à vous, Et ſi ce n’eſt aſſez de voſtre renommée, C’eſt beaucoup qu’vne, femme autrefois tant aimée, Et dont l’amour peut-eſtre encor vous peut toucher, Doiue à voſtre grand cœur ce qu’elle a de plus cher.	Je sais que c'est beaucoup que ce que Seigneur demande, Mais plus l'effort est grand, plus la gloire en est grande, Conserver un rival dont vous êtes jaloux C'est un trait de vertu qui n'appartient qu'à vous, Et si ce n'est assez de votre renommée, C'est beaucoup qu'une, femme autrefois tant aimée, Et dont l'amour peut-être encor vous peut toucher, Doive à votre grand cœur ce qu'elle a de plus cher.
do Souuenez-vous enfin que vous eſtes Seuere.	do Souvenez-vous enfin que vous êtes Seuere.
Ie m’en vay ſans reſponſe apres cette priere.	Je m'en vais sans réponse après cette prière.
Et ſi vous n’eſtes tel que ie l’oſe eſperer.	Et si vous n'êtes tel que sans l'ose espérer.
Pour vous priſer encor is le veux ignorer.	Pour vous priser encor le veux ignorer.
1	1
SCENE VI.	SCÈNE VI.
SEVERE, FABIAN.	SÈVRE, FABIAN.
SEVERE.	SÈVRE.
’’eſt cecy, Fabian?	’’est cecy, Fabian?
quel nouueau coup  de foudre Tombe ſur mon bon-heur & le reduit en poudre?	quel nouveau coup de foudre Tombe sur mon bonheur et le réduit en poudre?
tamipuy Mes daut  Plus ie l’eſtime prés, plus il eſt eſtoigné, Ie trouue tout perdu quand ie croy tout gagné.	tamipui Mes daut Plus Seigneur l'estime prés, plus il est estoigné, Je trouve tout perdu quand tu crois tout gagné.
Et touſiours la fortune à me nuire obſtinée Tranche mon eſperance auſſi-toſt qu’elle eſt née, CH 1 Auant qu'offrir des vœux ie reçoy des refus, Touſiours triſte, touſiours & honteux & confus a disu L.	Et toujours la fortune à me nuire obstinée Tranche mon espérance aussitôt qu'elle est née, CH 1 Avant qu'offrir des vœux ie reçois des refus, Touiours triste, toujours et honteux et confus a disu L.
Mie na.	Mie na.
De voir que lâchement elle ait oſé paroiſtre, Qu’encor plus lâchement elle ait oſé renaiſtre, Et qu’vne femme enfin dans l’infelicité Me faſſe des leçons de generoſité.	De voir que lâchement elle ait osé paraître, Qu'encor plus lâchement elle ait osé renaître, Et qu'une femme enfin dans l'infélicité Me fasse des leçons de générosité.
Voſtre bellé ame eſt haute autant que malheureuſe Mais elle eſt inhumaine autant que genereuſe, Pauline, & vos douleurs auec trop de rigueur D’vn amant tour à vous tyrannilent le cœur.	Votre bellé âme est haute autant que malheureuse Mais elle est inhumaine autant que généreuse, Pauline, et vos douleurs avec trop de rigueur D'un amant tour à vous tyrannilent le cœur.
C’eſt donc peu de vous perdre, il faut que ie vous donne, Que ie ſerue vn riual lors qu’il vous abandonne, Et que par vn cruel & genereux effort Tour touo fendre en les mains ie l’arrache à 1a Iort.	C'est donc peu de vous perdre, il faut que je vous donne, Que ie serve un rival lors qu'il vous abandonne, Et que par un cruel et généreux effort Tour touo fendre en les mains ie l'arrache à 1a Iort.
FABIAN.	FABIAN.
Laiſſez à ſon deſtin cette ingrate famille, Qu’il accorde s’il veut le pere auec lafille, Porjeuete, & renx, repoule auee lerpoux, D’vn ſi cruel effort quel prix eſperez-vous?	Laissez à son destin cette ingrate famille, Qu'il accorde s'il veut le père avec lafille, Porjeuete, et renx, repoule aue lerpoux, D'un si cruel effort quel prix espérez-vous?
SEVERE.	SÈVRE.
La gloire de monſtrer à cette ame ſi belle Que Stuere l’égale & qu’il eſt digne d’elle, Quene mentoit bien deue d que poldre des Cieux En me la refuſant m’eſt trop iniurieux.	La gloire de montrer à cette âme si belle Que Stère l'égale et qu'il est digne d'elle, Quene mentait bien deue d que poldre des Cieux En me la refusant m'est trop injurieux.
FABIAN.	FABIAN.
Sans accuſer le ſort ny le Ciel d’iniuſtice Prenez garde au peril qui ſuit vn tel ſeruice, Vous hazardez beaucoup, Seigneur, penſez y bien.	Sans accuser le sortgez le Ciel d'injustice Prenez garde au péril qui suit un tel service, Vous hasardez beaucoup, Seigneur, pensez y bien.
Quoy-vous entreprenez de ſauuer vn Chreſtien Pouuez-vous ignorer pour cette ſecte impie Quelle eſt & fut touſioure la haine de Decie?	Quoi-vous entreprenez de sauver un Chrétien Pouvez-vous ignorer pour cette secte impie Quelle est et fut toujours la haine de Déciie?
C’eſt vn crime vers luy ſi grand, ſi capital.	C'est un crime vers mille si grand, si capital.
Qu’à voſtre faueur meſme il peut eſtre fatal.	Qu'à votre faveur même il peut être fatal.
SEVERE.	SÈVRE.
Cét aduis ſeroit bon pour quelque ame commune, 21 S’il tient entre ſes mains ma vie & ma fortune, Ie ſuis encor Seuere, & tout ce grand pouuoir Ne peut rien ſur ma gloire, & rien ſur mon deuoir.	Cet avis serait bon pour quelque âme commune, 21 S'il tient entre ses mains ma vie et ma fortune, Je suis encor Sévère, et tout ce grand pouvoir Ne peut rien sur ma gloire, et rien sur mon devoir.
Icy l’honneur m’oblige & i’y veux ſatisfaire, Qu’apres le ſort ſe monſtre ou propice ou contraite, 0  Comme ſon naturel eſt touſiours inconſtant, Periſſaur glorieux ie periray content.	Ici l'honneur m'oblige et j'y veux satisfaire, Qu'après le sort se montre ou propice ou contraite, 0 Comme son naturel est toujours inconstant, Perissaur glorieux Seigneur périrai content.
Ie te diray bien plus, mais auec confidence.	Je te dirai bien plus, mais ainsi confidence.
La ſecte des Chreſtiens n’eſt pas ce que l’on penſe, On les hait, la raiſon ie ne la counoy point, Et ie ne voy Decie iniuſte qu’en ce point.	La secte des Chrétiens n'est pas ce que l'on pense, On les hait, la raison ie ne la counoi point, Et ie ne vois Décie injuste qu'en ce point.
Par curioſité i’ay voulu les connoiſtre, On les tient pour ſorciers dont l’Enfer eſt le maiſtre, 18A Et ſur cette croyance on punit du trépas Des myſteres ſecrets que nous n’entendons pas.	Par curiosité j'ai voulu les connaître, On les tient pour sorciers dont l'Enfer est le maître, 18A Et sur cette croyance on punit du trépas Des mystères secrets que nous n'entendons pas.
Mait Ceres Eleuſine, & la Bonne Deeſſe Ont leurs ſecrets comme eux à Rome & dans la Grece, Encor impunément nous ſouffrons en tous lieux Leur Dieu ſeul excepté toute ſorte de Dieux,	Mait Ceres Élusine, et la Bonne Déesse Ont leurs secrets comme eux à Rome et dans la Grèce, Encor impunément nous souffrons en tous lieux Leur Dieu seul excepté toute sorte de Dieux,
Tous les monſtres) d’Egypte ont leur Temple dans Rome, Nos ayeux à leur gré faiſoient vn Dieu d’vn homme, Et leur ſang parmy nous conſeruant leurs erreurs Nous rempliſſons le Ciel de tous nos Empereurs Mais à parler ſans fard de tant d’Apotheoſes, L’effet eſt bien douteux de ces Metamorpholes.	Tous les monstres) d'Égypte ont leur Temple dans Rome, Nos aïeux à leur gré faisaient un Dieu d'un homme, Et leur sang parmi nous conservant leurs erreurs Nous remplissons le Ciel de tous nos Empereurs Mais à parler sans fard de tant d'Apothéoses, L'effet est bien douteux de ces Métamorpholes.
Les Chreſtiens n’ont qu’vn Dieu, maiſtre abſolu de tout, De qui le ſeul vouloir fait tout ce qu’il reſout:	Les Chrétiens n'ont qu'autre Dieu, maître absolu de tout, De qui le seul vouloir fait tout ce qu'il résout:
Mais ſi i’oſe entre nous dire ee qui me ſemble Les noſtres bien ſouuent s’accordent mal enſemble, Et me deuſt leur colere écraſer à tes yeux Nous en auons beaucoup pour eſtre de vrays Dieux, Peut-eſtre qu’apres tout ces croyãces publiques Ne ſont qu’inuentions de ſages Politiques, Pour contenir vn peuple, ou bien pour l’émouuoir, Et deſſus ſa foibleſſe affermir leur pouuoir, Enfin chez les Chreſtiens les mœurs ſont innocentes.	Mais si j'ose entre nous dire ce qui me semble Les nôtres bien souvent s'accordent mal ensemble, Et me dût leur colère écraser à tes yeux Nous en avons beaucoup pour être de vrais Dieux, Peut-être qu'après tout ces croyantes publiques Ne sont qu'inventions de sages Politiques, Pour contenir un peuple, ou bien pour l'émouuoir, Et dessus sa faiblesse affermir leur pouvoir, Enfin chez les Chrétiens les mœurs sont innocentes.
Les vices deteſtez, les vertus floriſſantes, Iamais vn adultere, vn traiſtre, vn aſſaſſin, Iamais d’yurognerie, & iamais de larcin, Ce n’eſt qu’amour entr’eux, que charité ſincere, Chacun ſtere.	Les vices détestez, les vertus florissantes, Jamais un adultère, un traître, assassin, Jamais d'yurognerie, et jamais de larcin, Ce n'est qu'amour entr'eux, que charité sincère, Chacun sainte.
y cherit l’autre & le ſecourt en Ils font des vœux pour nous qui les perſeccutons, Et depuis tant de temps que nouales tourmentons, Les a-t-on veu mutins?	y chérit l'autre et le secourt en Ils font des vœux pour nous qui les persécutons, Et depuis tant de temps que nouvales tourmentons, Les a-t-on vu mutins?
les a-t on veu rebelles?	les a-t on vu belles?
Nos Princes ont-ils eu des ſoldats plus fidelles?	Nos Princes ont-ils eu des soldats plus fidèles?
Furieux dans la guetre ils ſouffrent nos bourreaux, Et lyons au combat, ils meurent en agneaux.	Furieux dans la guetre ils souffrent nos bourreaux, Et lions au combat, ils meurent en agneaux.
I’ay trop de pitié d’eux pour ne les pas defendre Allons trouuer Felix, commençons par ſon gendre, Et contentous ainſi d’vne ſeule action Et Pauline, & ma gloire, & ma compaſſion.	J'ai trop de pitié d'eux pour ne les pas défendre Allons trouver Félix, commençons par son gendre, Et contentous ainsi d'une seule action Et Pauline, et ma gloire, et ma compassion.
Fin du quatrieſme Acte.	Fin du quatrième Acte.
ACTE	ACTE
IISIE SCENE PREMIERE.	IISIE SCÈNE PREMIÈRE.
u iir dIIII FELIX, ALBIN, CLEON.	U jir dIII FELIX, ALBIN, CLEON.
FRLIX.	FRLIX.
2 11 „ Lbin, as-tu bien vtu la lourbe de Seuere?	2 11 „ Lbin, as-tu bien vu la lourbe de Sévère?
As tu bien veu ſa haine, & voistu ina milere?	As tu bien vu sa haine, et vois ina milère?
ALBIN.	ÀLBIN.
Ie n’ay veu rien en luy qu’vn riual genereux, Et ne voy rien en vous qu’vn pere rigoureux.	Je n'ai vu rien en lui qu'une rival généreux, Et ne vois rien en vous qu'un père rigoureux.
FELIX.	FELIX.
Que tu le connois mal!	Que tu le connais mal!
tout ſon fait n’eſt que mine, Dans l’ame il hait Felix & dédaigne Pauline.	tout son fait n'est que mine, Dans l'âme il hait Félix et dédaigne Pauline.
Et ’sil l’aima jadis, il eſtime aujourd’huy Les reſtes d’vn riual trop indignes de luy, Il parle en ſa faueur, il me prie, il menace, Il me perdra, dit-il, ſi ie ne luy fais grace, Tranchant du genereux il croit m’épouuante?	Et Ât-il l'aima jadis, il estime aujourd'hui Les restes d'un rival trop indignes de Seigneur, Il parle en sa faveur, il me prie, il menace, Il me perdra, dit-il, si ils ne lui fais grâce, Tranchant du généreux il croit m'épouvante?
, L’artifice eſt trop lourd pour ne pas l’éuenter, Ie connois auant luy la Cour & ſes intriques, I’en connoy les deſtours, i’en connoy les pratiques, C’eſt en vain qu’il tempeſte & feint d’eſtre en fureur, Ie voy ec qu’il pretend auprés de l’Empereur, De ce qu’il me demande il m’y feroit vn crime Eſpargnant ſon riual ie ſerois ſa victime.	, Martifice est trop l' pour ne pas d'éventer, Je connais avant lui a Cour et ses intriques, J'en connais les détours, j'en connais les pratiques, C'est en vain qu'il tempête et feint d'être en fureur, Je vois ec qu'il prétend auprès de l'Empereur, De ce qu'il me demande il m'y ferait un crime Épargnant son rival nom serais sa victime.
Et s’il auoit affaire à quelque mal-adroit, Le piege eſt bien tendu, ſans doute il le perdroit :	Et s'il avait affaire à quelque mal-adroit, Le piège est bien tendu, sans doute il le perdrait :
Mais vn vieux Courtiſan n’eſt pas ſi fort credule,oII2 MIIIe (Xl lA Il voit quand on le joüe, & quand on diſſimule, Et moy, i’en ay tant veuide toutes les façons Qu’à luy-meſme au beſoin i’en ferois de leçons.	Mais un vieux Courtisan n'est pas si fort crédule,oII2 MIIe (Xl A Il voit quand on le joue, et quand on dissimule, Et moi, j'en ai tant vide toutes les façons Qu'à lui-même au besoin j'en ferais de leçons.
1111 n anilau.	1111 n anilau.
Dieux, que vous vous geſnez à cette deffiance!	Dieux, que vous vous gênez à cette défiance!
LIX.	LIX.
«1912ny lau NViiB vur ne noir nor EHa Pour ſubſiſter en Cour c’eſt la haute ſcience, Quand vn homme vne fois a droit de nous hayr Nous deuons préſumer qu’il cherche à nous trahir, .	«1912ny la NOviB ur ne noir nor EHa Pour subsister en Cour c'est la haute science, Quand un homme une fois a droit de nous haïr Nous devons présumer qu'il cherche à nous trahir, .
Touté ſon amitié nous doit eſtre fuſpecte;	Touté son amitié nous doit être fuspecte;
Si Polyeucte enfin n’abandonne ſa ſecte, 12 34 3110.	Si Polyute enfin n'abandonne sa secte, 12 34 3110.
Quoy que ſon protecteur ait pour luy dans l'eſprit, 4 εtυοdν mιιιοι l' Rooiοdοy ub la dontι Ie ſuiuray hautement l’ordre qui m’eſt preſcrit.	Quoi que son protecteur ait pour lui dans l'esprit, 4 εtυοdν mιιιοι l' Rooiοdοy ub la dont Je suivrai hautement l'ordre qui m'est prescrit.
ALBIN.	ÀLBIN.
1t olob a Grace, grace, Seigneur, que Pauline l’obicaut u .	1t olob a Grâce, grâce, Seigneur, que Pauline l'obicaut .
FELIX.	FELIX.
A Celle de l'Empereur ne ſuiuroit pas la mienne, Et loin de le tirer de ce pas hazardeux Ma bonté ne feroit que nous perdre tous deux.	À Celle de l'Empereur ne suivrait pas la mienne, Et loin de le tirer de ce pas hasardeux Ma bonté ne ferait que nous perdre tous deux.
ALBIN.	ÀLBIN.
Mais Seuere promet.	Mais Seuère promet.
FELIX.	FELIX.
L1 QV Albin, ie m’en deffie, Et connois mieux que luy la haine de Decie, En faueur des Chreſtiens s’il choquoit ſon courroux  Luy-meſme aſſeurément ſe perdroit auec nous.	L1 QU Albin, Seigneur m'en défie, Et connais mieux que deux la haine de Décie, En faveur des Chrétiens s'il choquait son courroux Lui-même assurément se perdrait auec nous.
Ie veux tenter pourtant encor vne autre voye.	Je veux tenter pourtant encor une autre voie.
Amenez Polyeucte, & ſi ie le renuoye, S’il demeure infenſible à ce dernier effort, Au ſortir de ce lieu qu’on luy donne la mort.	Amenez Polieute, et si je le renvoie, S'il demeure insensible à ce dernier effort, Au sortir de ce lieu qu'on lui donne la mort.
10  Voſtte ordre eſt rigoureux.	10 Vôtte ordre est rigoureux.
E	E
FELIX.	FELIX.
Il faut que ie le ſuiue Si ie veux empeſcher qu’vn deſordre n’arriue Ie voy le peuple émeu pour prendre ſon party, Et toy meſme tantoſt tu m’en as aduerty:	Il faut que ici le suive Si ainsi veux empêcher qu'un désordre n'arrive Je vois le peuple ému pour prendre son parti, Et toi -même tantôt tu m'en as averti:
Dans ce zele pour luy qu’il fait deſia paroiſtre, Ie ne ſçay ſi long-temps i’en pourrois eſtre maiſtre, Peut-eſtre dés demain, dés la nuit, dés ce ſoir I’en verrois des effets que ie ne veux pas voir.	Dans ce zèle pour avoir qu'il fait déjà paraître, Je ne sais si longtemps j'en pourrais être maître, Peut-être dès demain, dès la nuit, dès ce soir J'en verrais des effets que tu ne veux pas voir.
Et Seuere auſſi-toſt courant à ſa vengeance M Ioit calommier de queique incenigence.	Et Seuère aussitôt courant à sa vengeance M Oit calommier de queique incenigence.
Il faut rompre ce coup qui me ſeroit fatal.	Il faut rompre ce coup qui me serait fatal.
ALBAN.	ALBAN.
2 Que voſtre deffiance eſt vn eſtrange mal!	2 Que votre défiance est un étrange mal!
Tout vous nuit, tout vous perd, tout vous fait de l'ombrage, Mais voyez que la mort mettia ce peſple en rage, 2ila de eub il n  Que c’eſt mal le guerir que le deſeſperer.	Tout vous nuit, tout vous perd, tout vous fait de l'ombrage, Mais voyez que la mort mettia ce pespèle en rage, 2ila de eub il n Que 'est mal le guérir que le désespérer.
FELIX.	FELIX.
4 En vain apres ſa mort il voudra murmurer, Et s’il oſe venir à quelque violence, C’eſt à faiſe à ceder deux iours à l’inſolence.	4 En vain après sa mort il voudra murmurer, Et s'il ose venir à quelque violence, C'est à faise à céder deux jours à l'insolence.
I’auray fait mon deuoir quoy qu’il puiſſe arriuer Mais Polyeucte vient, tâchons à le ſauuer.	J'aurai fait mon devoir quoi qu'il puisse arriver Mais Polieute vient, tâchons à le sauver.
Soldats retirez-vous, & gardez bien la porte.	Soldats retirez-vous, et gardez bien la porte.
e d.	eût d.
is :	is :
gb,ο i SCENE Il.	gb, ici SCÈNE Il.
G FELIA, POCTEVCIE, ALBIN.	G GELIA, POCTEUCIE, ALBIN.
0*11.	*11.
b20 FELIX.	b20 FELIX.
s-tu donc pour la vie vne haine ſi forte, A Malheureux Polyeucte, & la loy des chreitiens T’ordonne-t-elle ainſi d’abandonner les tiens?	stu donc pour la vie une haine si forte, À Malheureux Polieute, et la loi des chitiens T'ordonne-t-elle ainsi d'abandonner les tiens?
POLYEVCTE.	POLYEUCTE.
Ie ne hay point la vie, & i'en ayme l'vſage, Mais ſans attaehement qui ſente l’eſclauage, Touſiours preſt à la rendre au Dieu dont ie la tiens, 210 La raiſon me l’ordonne & la loy des Chreſtiens, Et ie vous monſtre à tous par là comme il faut viure si vous auez le cœur aſſez bon pour me ſuiure, d vininto.	Je ne hais point la vie, et j'en aime l'usage, Mais sans attaehement qui sente l'esclavage, Toujours prêt à la rendre au Dieu dont Madame la tiens, 210 La raison me l'ordonne et la loi des Chrétiens, Et un vous montre à tous par là comme il faut vivre si vous avez le cœur assez bon pour me suiure, d vinto.
FELIX.	FELIX.
Te ſuiure dans l’abyſme où tu te veux jettere	Te suivre dans l'abîme où tu te veux jettere
E iij	 Ejà
POLYEVCTE.	POLYEUCTE.
Mais plutoſt dans la gloire où ie m’en vay u.	Mais plutôt dans la gloire où tu m'en vais u.
montez.	montez.
FELIX.	FELIX.
Donne-moy pour le moins le temps de la connoiſtre, Pour me faire Chreſtien, ſers moy de guide à l’eſtre, ni de deduigne pue de Minrune en ea toy, Ou toy-meſme à ton Dieu tu reſpondras de moy.	Donne-moi pour le moins le temps de la connaître, Pour me faire Chrétien, sers moi de guide à l'être, ni dé duigne pue de Minrune en ea toi, Ou toi-même à ton Dieu tu répondras de moi.
POLYEVCTE.	POLYEUCTE.
N’en riez point, Felix, il ſera voſtre juge, Vous ne trouuerez point deuant luy de refuge, Les Noys d les ptigcis y iont dun meſme rang De tous les ſiens ſur vous il vengera le ſang	N'en riez point, Félix, il sera votre juge, Vous ne trouverez point devant toujours de refuge, Les Nois d les ptigis y jont dun même rang De tous les siens sur vous il vengera le sang
FELIX.	FELIX.
Ie n’en reſpandray prus de quoy quil en arriue Dans la foy des Chreſtiens ie ſouffriray qu’on viue, I’en ſeray protecteur.	Je n'en répandrai prus de quoi quil en arrive Dans la foi des Chrétiens ie soupffrirai qu'on vive, J'en serai protecteur.
POLYEVCTE.	POLYEUCTE.
Nony uoni pollceuvon;	Noni uoni pollceuvon;
Et ſoyez l’inſtrument de nos felicitez, Auſſi- bien vn Chreſtien n’eſt rien ſans les ſouffrances, Ies plus cruels tourmens nous ſont des recompenſes, Dieu qui rend le centuple aux bonnes actions, Pour comble donne encor les perſecutions:	Et soyez l'instrument de nos félicités, Aussi- bien un Chrétien n'est rien sans les souffrances, Jes plus cruels tourments nous sont des récompenses, Dieu qui rend le centuple aux bonnes actions, Pour comble donne encor les persécutions:
Mais ces ſecrets pour vous ſont fâcheux à comprendre.	Mais ces secrets pour vous sont fâcheux à comprendre.
11411120 Et nul autre que luy ne vous les peut apprendre.	11411120 Et nul autre que Rome ne vous les peut apprendre.
FELIX.	FELIX.
Ie te parle ſans fard, & veux eſtre Chreſtien.	Je te parle sans fard, et veux être Chrétien.
POLYEVCTE.	POLYEUCTE.
moliſl a5 cion (oi eloiblibq ao eudpal Qui peut donc retarder l'effect d'vn ſi grand bien?	molisl a5 cyon (oi eloiblibq a eudal Qui peut donc retarder l'effet d'un si grand bien?
luivoy daimsidoidiim.	luivois daimsidoidiim.
IDH180 FELIAV La preſence importune.	JDH180 FELIAU La présence importune.
POLYEVCTE.	POLYEUCTE.
olab by om iliin sheqi Et de qui?	olab by om iliin sheqi Et de qui?
de Seuere ?	de Sévère ?
FELIX.	FELIX.
* 29 .	* 29 .
2110 Pour luy ſeul contre toy i'ay feint tant de colere DELCAU Diſfimule vn moment Ieiqutstionpae E uiij	2110 Pour Rome seul contre toi j'ai feint tant de colère DELCAU Disfimule un moment Ieiqutstionpae E uijà
MOl DAU POLYEVCTE.	MOl DAU POLYEUCTE.
Felix, c’eſt donc ainſi que vous parlez ſane fard?	Félix, c'est donc ainsi que vous parlez zane fard?
Portez à vos Payens, portez à vos Idoles Le ſucre empoiſonné que verſent vos paroles, Vn Chreſtien ne craint rien, ne diſſimule rien, 'Aux yeux de tout le monde il eſt touſioure Cheſtien.	Portez à vos Païens, portez à vos Idoles Le sucre empoisonné que versent vos paroles, Un Chrétien ne craint rien, ne dissimule rien, ' Aux yeux de tout le monde il est tousioure Chétien.
FELIX upda iIn 10 Ce zele de ta foy ne ſert qu’à te ſeduire Si tu cours à la mort plutoſt que de m’inſtruire.	FELIX upda iIn 10 Ce zèle de ta foi ne sert qu'à te séduire Si tu cours à la mort plutôt que de m'instruire.
l 14 Ie vous en parlerois icy hors de faiſon, Elle eſt vn don du Ciel & non de Ie faiſon, De cent la que bien toit voyant Dieu face à face Plus ayſément pour vous j’obtiendray cette grace.	l 14 Je vous en parlerais ici hors de saison, Elle est un don du Ciel et non de Je saison, De cent la que bien toit voyant Dieu face à face Plus aisément pour vous j'obtiendrai cette grâce.
FELIX.	FELIX.
Ta perte cependant me va deſeſperer.	Ta perte cependant me va désespérer.
* 37442 POLYEVCTE.	* 37442 POLYEUCTE.
Voue auez en vos mains dequoy la reparer, En vous oſtant vn gendre on vous en donne un autre 1 Dont la condition reſpond mieux à la voſtre Ma perte n’eſt pour vous qu’vn change auantageux.	Voue avez en vos mains dequoy la réparer, En vous ôtant vn gendre on vous en donne un autre 1 Dont la condition répond mieux à la vôtre Ma perte n'est pour vous qu'Un change avantageux.
FELIX.	FELIX.
Ceſſe de me tenir ce diſcours outrageux, Ie t’ay conſideré plus que tu ne merites, Mais malgré ma bonté qui eroiſt quand tu l’irrites Cette inſolence enfin te rendroit odieux, Et ie me vangerois auſſi bien que nos Dieux.	Cesse de me tenir ce discours outrageux, Je t'ai considéré plus que tu ne mérites, Mais malgré ma bonté qui eroist quand tu l'irrites Cette insolence enfin te rendrait odieux, Et tu me vengerais aussi bien que nos Dieux.
POLYEVCTE.	POLYEUCTE.
Quoy!	Quoi!
vous changez bien-toſt d’humeur & de langage!	vous changez bientôt d'humeur et de langage!
Le zele de vos Dieux rentre en voſtre courage:	Le zèle de vos Dieux rentre en votre courage:
Celuy d’eſtre Chreſtien s’échappe, & par hazard Ie vous viens d’obliger à me parler ſans fard?	Celui d'être Chrétien s'échappe, et par hasard Je vous viens d'obliger à me parler sans fard?
FELIX.	FELIX.
2 1110 Va, ne preſume pas que quoy que ie te iure 24 De tes nouueaux Docteurs ie ſuiue l’impoſture Ie flattois ta manie afin de t’arracher Du honteux precipice où tu vas trébucher, Ie voulois gaigner temps pour menager ta vie Apres l’éloignement d’vn flatteur de Decie, Mais i’ay fait trop d’injure à nos Dieux tout puiſſans, Choiſi de leur donner ton ſang.	2 1110 Va, ne présume pas que quoique ie te jure 24 De tes nouveaux Docteurs Seigneur suive l'imposture Je flattais ta manie afin de t'arracher Du honteux précipice où tu vas trébucher, Je voulais gagner temps pour ménager ta vie Après l'éloignement d'un flatteur de Décie, Mais j'ai fait trop d'injure à nos Dieux tout puissants, Choisi de leur donner ton sang.
ou de l’encens.	ou de l'encens.
POLYEVCTE.	POLYEUCTE.
Mon choix n’eſt point douteux, mais j’apperPauline, O Ciel!	Mon choix n'est point douteux, mais j'apperPauline, Ô Ciel!
SCENE III.	SCÈNE III.
2 FOLIEVCIE 2 ELIX, PAVLINE, ALBIN.	2 FOLIEUCIE 2 ELIX, PAULINE, ALBIN.
PAVLINE.	PAULINE.
Vi de vous deux aujourd'huy m’afſaſſine?	Vi de vous deux aujourd'hui m'afsassine?
Sont-ce tous deux enſemble, ou chacun à ſon tour Ne pourtay- je fléchir la nature, ou l’amour?	Sont-ce tous deux ensemble, ou chacun à son tour Ne pourront- je fléchir la nature, ou l'amour?
Et n’obtiendray-je rien d’vn epoux, ny d’vn ere?	Et n'obtiendrai-je rien d'un époux, ni d'un ère?
219 2 FRLIX.	219 2 FRLIX.
Parlez à voſtre ſpoux.	Parlez à votre spoux.
POLYEVCTE.	POLYEUCTE.
101 M Viuez aue c Seuere:	101 M Uz aue ç Seuere:
0 PAVLINE.	0 PAULINE.
102210 21 7 Tygte, aſſaſſine moy du moins ſans m’outrager.	102210 21 7 Tigte, assassine moi du moins sans m'outrager.
POLYEVCTE.	POLYEUCTE.
Ma pitié tant s’en faut cherche à vous ſoulager, Noſtre amour vous emporte à des douleurs ſi vrayes, Que rien qu’vn autre amour ne peur guerir ces playes Puiſqu’vn ſi grand merite a pû vous enflamer, Sa preſence touſiours a droit de vous charmer, Vous l’aymiez, il vous ayme, & la gloire augmentée.	Ma pitié tant s'en faut cherche à vous soulager, Notre amour vous emporte à des douleurs si vraies, Que rien qu'un autre amour ne peur guérir ces plaies Puisqu'être si grand mérite a pu vous enflamer, Sa présence toujours a droit de vous charmer, Vous l'aimiez, il vous aime, et la gloire augmentée.
PAVLINE, Que t’ay-je fait, cruel, pour eſtre ainſi traitée, Et pour me reprocher au mépris de ma foy Vn amour ſi puiſſant que i’ay vaincu pour toy?	PAULINE, Que t'ai-je fait, cruel, pour être ainsi traitée, Et pour me reprocher au mépris de ma fo In amour si puissant que j'ai vaincu pour toi?
