2 TuE LES TESEDROVL L Man.	2 TuE LES TESEDROUL L An.
C’est ainſi que le vœu d’vn legitime hommage Reuere ſes appas d'vn eternel image, Quand le corps & l’esprit vniſſent leurs plaiſirs, L’ame n'a plus ſujet de faire de deſirs, Elle a le plus parfait des plus parfaictes choſes, Elle peut s'enyurer en des couppes de roſes, Sans que le desplaiſir des plus petits ſoupçons Duppe ſa liberte par de faux hameçons.	C'est ainsi que le vœu d'amour légitime hommage Révère ses appas d' eternel image, Quand le corps et l'esprit unissent leurs plaisirs, L'âme n'a plus sujet de faire de désirs, Elle a le plus parfait des plus parfaites choses, Elle peut s'enivrer en des coupes de roses, Sans que le déplaisir des plus petits soupçons Duppe sa liberté par de faux hameons.
Agaritte.	Agaritte.
Mon tout, tout est à vous, mais qu’il est diffi.	Mon tout, tout est à vous, mais qu'il est diffi.
cile De drouner uis innomme vne pudei de pute, Que i'aime à vous donner l’vſage de mes ſens, Qu'ils ſont en ſeureté dans vos bras innocens.	cile De drouner uis innommé une pudei de pute, Que j'aime à vous donner l'usage de mes sens, Qu'ils sont en sûreté dans vos bras innocents.
Alcydor.	Alcidor.
Tes vertus ont des loix qu’on ne ſçauroit enfrait dre, Vu autre daus mon lict n’a pas ſujet de craindre, La loy de mon amour eſt belle comme toy, Le Ciel te fait ma Reine.	Tes vertus ont des lois qu'on ne saurait enfrait dre, Vu autre daus mon lit n'a pas sujet de craindre, La loi de mon amour est belle comme toi, Le Ciel te fait ma Reine.
Apaildoo.	Apaildoo.
Amour vous fait mou Roy	Amour vous fait mou Roi
Guillaume faiſant ſemblant d’allumer les feux de ioye, embraſe ſubtilement la ville par la perſuation ſecrette d’Artenice, Ie celebre l’amour auec vn feu de ioye Dont on parlera plus que de celuy de Troye, Dummierej vn cœur, le fuzil eſt amour, Et le monde va voir qu’on ſe chauffe la Cour.	Guillaume faisant semblant d'allumer les feux de joie, embrase subtilement la ville par la persuation secrète d'Artenice, Je célèbre l'amour avec un feu de joie Dont on parlera plus que de celui de Troie, Dummierej cœur, le fuzil est ion, Et le monde va voir qu'on se chauffe la Cour.
AMTOHEHC.	AMTOHEHC.
Ah, traistre, nous bruſlons?	Ah, traître, nous brûlons?
Le Prince.	Le Prince.
La ville eſt allumee.	La ville est allumée.
Guillaume.	Guillaume.
Pour moy ie n'en ſens rien, ſi ce n’est la fumee.	Pour moi ie n'en sens rien, si ce n'est la fumée.
Aronthe.	Aronthe.
Eſtrce iale facua ue ton ſuelle vœu	Étrce jale facua ue ton suelle 
Guillaume.	Guillaume.
Ne m'auez- vous pas dit que ie fiſſes du fen.	Ne m'avez- vous pas dit que ici fisses du sen.
Ie meurs.	Je meurs.
Le Prince.	Le Prince.
Aronthe.	Aronthe.
Le feu m'esteint.	Le feu m'éteint.
Les citoyens par vn bruit confus.	Les citoyens par un bruit confus.
Punt vruper dans ta aalle?	Punt vruper dans ta ale?
Guillaume dit tout froidement.	Guillaume dit tout froidement.
Cela pourroit cauſer vne rumeur ciuile, Ie me chauffe de loin, & prens plaiſir à voir Que ſe commers in erime en faiſant mon deuoir,	Cela pourrait causer une rumeur civile, Je me chauffe de loin, et prends plaisir à voir Que se commers in erime en faisant mon devoir,
Euitons?	Éviterons?
Le Prince.	Le Prince.
Les citoyens d’vn bruit confus.	Les citoyens d'un bruit confus.
Sire, ah, ah, les portes ſont fermees.	Sire, ah, ah, les portes sont fermées.
Guillaume ſort & paroiſt au milieu du theatre ſuiuy de l’ombre ſans qu’il la voye.	Guillaume sort et paraît au milieu du théâtre suivi de l'ombre sans qu'il la voie.
Toutes choſes enfin deuiendront conſommees, Ie leur conſeillerois d'espandre tant de pleurs, Qu’ils noyaſſent enfin le feu de leurs douleurs.	Toutes choses enfin deviendront consommées, Je leur conseillerais d'épandre tant de pleurs, Qu'ils noyassent enfin le feu de leurs douleurs.
Les citoyens.	Les citoyens.
Miſericorde, ô Dieux!	Miséricorde, ô Dieux!
nous ſommes tous de flammes?	nous sommes tous de flammes?
Guillaume en ſe gauſant.	Guillaume en se gausant.
Sont les effects d’amour qui conſomment vos ames.	Sont les effets d'amour qui consomment vos âmes.
Artenice ſuiuie de l’ombre comme les autres.	Artenice suivie de l'ombre comme les autres.
Artenice paroiſt deſchaiſnee & ſortie de ſa priſon.	Artenice paraît deschaisnee et sortie de sa prison.
Enfin comme vne Heleine en ſon aueuglement, Ie tranis ma patrie en cet embraſement, La puiſſance d’amour veut que tout ſe conſomme, Pour me faire obeyr à la flamme d’vn homme;	Enfin comme une Hèleine en son aveuglement, Je tranis ma patrie en cet embrasement, La puissance d'amour veut que tout se consomme, Pour me faire obéir à la flamme d'un homme;
Qu'est-ce bien qu'vne vitte au prix de mon Amant, ue peur-on comparer à ſon contentement?	Qu'est-ce bien qu'une vitte au prix de mon Amant, ue peur-on comparer à son contentement?
Ie crois que les pechez, s’ils leur donnent licence, Peuuent bien compatir auecque l’innocence, Pour luy ie hays tour, & ie crois que le tour N’allume ſa clarté qu’au feu de ſon amour:	Je crois que les péchés, s'ils leur donnent licence, Peuvent bien compatir avec l'innocence, Pour notre Notre hais tour, et ainsi crois que le tour N'allume sa clarté qu'au feu de son amour:
camonr que la prudaiis des proulges estrangess	camonr que la prudaiis des provoulges étrangess
Calyante arriue deliuré de ſa priſon ſuiuy de l’ombre comme les autres Ah, qu’il fait bon voüer ſon courage à des Anges.	Calyante arrive délivré de sa prison suivi de l'ombre comme les autres Ah, qu'il fait bon vouer son courage à des Anges.
A AIcelllce.	A AIcelllce.
u'amour eſt charitable à ma fidelité.	Ou'amour est charitable à ma fidélité.
Calyanté touſiours ſuiuy de l’ombre.	Calyanté toujours suivi de l'ombre.
Que le malheur eſt doux auprez de ta beauté, Ie crois que le deſtin relaſche de ſes forces Quand il penſe qu'amour iouyt de res amorces;	Que le malheur est doux auprez de ta beauté, Je crois que le destin relâche de ses forces Quand il pense qu'amour jouit de rés amorces;
Le Ciel moins rigoureux, ces aſtres plus humains Font que nos ennemis n’ont plus d’yeux ny de mains, Leur tonnerre eſt à bas, le feu, l’air & la terre, s'aſſemblent auſourd huy pour leur faire la guerae, Et nos larmes de ioye ont des contentemens Qui ne font quaſi qu'vn de tous les elemens.	Le Ciel moins rigoureux, ces astres plus humains Font que nos ennemis n'ont plus d'yeux -cy de mains, Leur tonnerre est à bas, le feu, l'air et la terre, s'assemblent ausourd hui pour leur faire la guerae, Et nos larmes de joie ont des contentements Qui ne font quasi qu'un de tous les éléments.
Il ſe tourne vers la ville allumée tout applaudiſſant.	Il se tourne vers la ville allumée tout applaudissant.
Grandes tours où jadis la rage des faries Mettoit, comme en depoſt, ſes noires batteries, Afin de commander aux bouches des canons, D'apprendre à l'Vniuers vos durables renoms, Vous auez autrefois decoche des tempestes Qui pleauent le malheur deſſus vos propres teſtes, Vous voyez que l’amour dans vos iours les plus clairs, Pontantugie quiest, à pomnant des eſclairs.	Grandes tours où jadis la rage des faries Mettait, comme en dépôt, ses noires batteries, Afin de commander aux bouches des canons, D'apprendre à l'Univers vos durables renoms, Vous avez autrefois décoche des tempêtes Qui pleavent le malheur dessus vos propres têtes, Vous voyez que l'amour dans vos jours les plus clairs, Pontantugie quiest, à pomnant des éclairs.
Il ſe deſtourne vers Artenice.	Il se détourne vers Artenice.
Courage braue cœur pour qui tout ſe conſomme, Qui portez dans le ſein le courage d'vn homme, Meurtriere de mes maux & ſource de mon bien, Qui mettez tout en feu pour amortir le ſien, Eſclaue de vous meſme, & Reine de mon ame, Vous immortaliſez le ſexe de la femme, Son renom deſormais ne pourra s'effacer, Et les hommes iamais ne s’en pourront paſſer, On verra les eſclats, que le Soleil enuoye, Paſlir de nos flambeaux & de nos feux de ioye.	Courage brave cœur pour qui tout se consomme, Qui portez dans le sein le courage d'un homme, Meurtrière de mes maux et source de mon bien, Qui mettez tout en feu pour amortir le sien, Esclave de vous -même, et Reine de mon âme, Vous immortalisez le sexe de la femme, Son renom désormais ne pourra s'effacer, Et les hommes jamais ne s'en pourront passer, On verra les éclats, que le Soleil envoie, Pâlir de nos flambeaux et de nos feux de joie.
Artenice en monſtrant Guillaume, Voicy le directeur de ma felicité, Ayant accomply tour, il a tout merité.	Artenice en montrant Guillaume, Voici le directeur de ma félicité, Ayant accompli tour, il a tout mérité.
Guillaume.	Guillaume.
Il eſt vray que ie jais le jource de ces flammes, Mon humeur eſt touſiours de faire pour les Dames, Ce n'est pas d’auiourd’huy qu’on m'a veu faire vœu D'eſtre comme ces murs pour elles tout de feu.	Il est vrai que je jais le jource de ces flammes, Mon humeur est toujours de faire pour les Dames, Ce n'est pas d'aujourd'hui qu'on m'a vu faire vœu D'être comme ces murs pour elles tout de feu.
Calyante.	Calyante.
¶ a paiSQuand i’as déßein de voir ta foy recompenſee Ma bonne volonté deuient toute inſenſee, de n ny point de vatin poupta pante.	 a paiSQuand j'as devein de voir ta foi recompensee Ma bonne volonté devient toute insensée, de nômme point de vatin poupta pante.
Guillaume.	Guillaume.
Ie ne voudrois qu’auoir cette ieune beauré, I’approuue ſon merite, aduiſez en voſtre ame, On ne peut me donner rien de moins qu'vne femme.	Je ne voudrais qu'avoir cette jeune beauré, J'approuve son mérite, avisez en votre âme, On ne peut me donner rien de moins qu'une femme.
L’ombre paroiſt au milieu dutheatre.	L'ombre paraît au milieu duthéâtre.
Les Dieux, qui ne peuuent mentir, Commandent de vous aduertir Que vous donnez la mort à voſtre propre pere, u Artenice atué le ſien, & agaritte eſt ſa ſœur, que ie ſais vostre frere, Qui vient reſoudre voſtre bien.	Les Dieux, qui ne peuvent mentir, Commandent de vous avertir Que vous donnez la mort à votre propre père, u Artenice atvé le sien, et agaritte est sa sœur, que ainsi sais re frère, Qui vient résoudre votre bien.
L'ombre s’en va.	L'ombre s'en va.
Calyante.	Calyante.
Dieux, faut-il que la mort ait ſoin de nostre vie?	Dieux, faut-il que la mort ait soin de notre vie?
Que meſme les damnez nous donnent de l’enuie:	Que rendre les damnés nous donnent de l'envie:
El eſt vray qu’ils ſont plus fauoriſez que moy, Puiſqu’ils ſont affranchis de l’amoureuſe loy, Ou s’ils ont de l’amour dans leurs funeſtes flammes, La liberte, du moins, domine dans leurs ames.	El est vrai qu'ils sont plus favorisés que moi, Puisqu'ils sont affranchis de l'amoureuse loi, Ou s'ils ont de l'amour dans leurs funestes flammes, La liberté, du moins, domine dans leurs âmes.
Artenice.	Arténice.
Quelques extremitez que nous liure le ſort, C’eſt viure heureuſement d’eſtre exempts de la mors.	Quelques extrémités que nous livre le sort, C'est vivre heureusement d'être exempts de la mors.
Magicien.	Magicien.
Enfin tout applaudit à vostre destinee, nt tommuaur, oufomu uunt Etéu qu'Hymenes,	Enfin tout applaudit à votre destinée, nt tommuaur, oufomu unt Été qu'Hymène,
Guillaume.	Guillaume.
Il reſteroit encor vne difficulté, F Et que te ſais es pris de ſa rare beaute,	Il resterait encor une difficulté, F Et que te sais es pris de sa rare te,
Calyante.	Calyante.
Ie conçois vn deſſein où mon ingratitude Doit paſſer tous mes ans dans vne ſolitude, Vn remors me bourrelle & me donne des fers Ou la crainte & l’horreur me monſtrent les enfers:	Je conçois un dessein où mon ingratitude Doit passer tous mes ans dans une solitude, Un remors me bourrelle et me donne des fers Ou la crainte et l'horreur me montrent les enfers:
Depuis qu’on eſt rongé d’vn ver de conſcience, Vn vautoureteruel bleſſe la patience, Et nostre deſeſpoir a de la paßion De faire ſuccomber à ſa tentation, On ſouffre mille morts aux momens d’vne vie Qui regrette deſia de n'eſtre pas rauie;	Depuis qu'on est rongé d'un ver de conscience, V autouretervel blesse la patience, Et notre désespoir a de la passion De faire succomber à sa tentation, On souffre mille morts aux moments aux vne vie Qui regrette déjà de n'être pas ravie;
Les hommes ont horreur de nos faicts odieux, Et le Ciel ne veut pas qu’on reclame ſes Dieux, On ne voit que des nuicts, & toute la Natune Veut marier nostre aage auecque ſa torture, Les aſtres les plus deux ne prennent des flambeaux Que pour guider noſtre ame à l’horreur des tombeaux, Le Soleil eſt Charon, la Lune est Proſerpine, Et leur grand fondement baſtit noſtre ruine, Ie veux bien que mes pleurs n’en puiſſent arracher, Si ce n'eſt de quelque autre ou de quelque rocher.	Les hommes ont horreur de nos faits odieux, Et le Ciel ne veut pas qu'on réclame ses Dieux, On ne voit que des nuits, et toute la Natune Veut marier nôtre age apprendre sa torture, Les astres les plus deux ne prennent des flambeaux Que pour guider notre âme à l'horreur des tombeaux, Le Soleil est Charon, la Lune est Proserpine, Et leur grand fondement bâtit nôtre ruine, Je veux bien que mes pleurs n'en puissent arracher, Si ce n'est de quelque autre ou de quelque rocher.
Artenice.	Arténice.
Rocher que dites vous, vous le ſeriez vous-mefme, Si vostre naturel n’enduroit que ie l’aime, Souffrez-vous ce regard ſans vous reſſouuenir Des faueurs dont amour nous veut entretenir, Eſtes-vous inſenſible au pouuoir de mes armes?	Rocher que dites -vous, vous le seriez vous-même, Si votre naturel n'endurait que ieclaime, Souffrez-vous ce regard sans vous ressouvenir Des faveurs dont amour nous veut entretenir, Êtes-vous insensible au pouvoir de mes armes?
Voulez-vous renoncer aux douceurs de mes charmes?	Voulez-vous renoncer aux douceurs de mes charmes?
Le ſexe peut beaucoup ſur les hommes du temps, Ne cherchez point l’Hyuer au milieu du Printemps, Ce n'est qu’vn homme mort dont vous auez la gloiEn poſſedant la ville où regne ſa memoire, Le bonheur nous pourſuit, voulez-vous l’eniter?	Le sexe peut beaucoup sur les hommes du temps, Ne cherchez point l'Hiver au milieu du Printemps, Ce n'est qu'H homme mort dont vous avez la gloiEn possédant la ville où règne sa mémoire, Le bonheur nous poursuit, voulez-vous l'eniter?
Mon tout, prenez le ſoin de me reſſuſciter.	Mon tout, prenez le soin de me ressusciter.
Calyante.	Calyante.
Dieux!	Dieux!
comment à ſon gré ce ſexe nous manie?	comment à son gré ce sexe nous manie?
Et qu’il a de pouuoir deſſus la tyrannie?	Et qu'il a de pouvoir dessus la tyrannie?
Puiſque meſme au ſuccez d’vn ſi iuſte deſſein, Pour vn ſimple regard mon eſprit n’eſt plus ſain, Ie crois que ſi les vœux que font les bonnes ames Despendoient du conſeil que donneroient les femmes Lors qu’elles ont deſſein de faire les doux yeux, On verroit auiourd’huy peu de Religieux.	Puisque même au succès d'un si juste dessein, Pour un simple regard mon esprit n'est plus sainte, Je crois que si les vœux que font les bonnes âmes Despendaient du conseil que donneraient les femmes Lors qu'elles ont dessein de faire les doux yeux, On verrait aujourd'hu peu de Religieux.
Ie reſſens vn demon qui m'inspire dans l’ame Le deſſein d’amortir tes douleurs & maflames Hymen eſt vn grand Dieu dont l’adoration Guarira les malheurs de noſtre paßion, Vne chaleur d’eſprit me remet à mon aiſe, L1 fass enes quanceuas	Je ressens un démon qui m'inspire dans l'âme Le dessein d'amortir tes douleurs et maflammes Hymen est un grand Dieu dont l'adoration Guérira les malheurs de notre passion, chaleur esprit me remet on aise, fass enes quanceuas
Guillaume.	Guillaume.
L’eau m’en vient à la bouche, & mor affection En touchera deux mots à la diſcretion, Deſia cette beauté bruſte d’aiſe en ſon ame, Et la Virginitè deuient toute de flamme, Elle a honte de dire à ce teunc vainqueur Le martyre ſecret que recelle ſon cœur:	L'eau m'en vient à la bouche, et mór affection En touchera deux mots à la discrétion, Déjà cette beauté brûte d'aise en son âme, Et la Virginitè dévient toute de flamme, Elle a honte de dire à ce teunc vainqueur Le martyre secret que recelle son cœur:
Quand elle ſe ſouuient que ce noble corſage Charmera tous les ſens de l’amoureux vſage, Il eſt facile à voir ſon viſage mourant Qui commence à rougir, que ſa beauté ſe rend, Ces yeux n'en peuuent plus, cette derniere œillade, De la façon qu'elle est, gueriroit vn malade;	Quand elle se souvient que ce noble corsage Charmera tous les sens de l'amoureux usage, Il est facile à voir son visage mourant Qui commence à rougir, que sa beauté se rend, Ces yeux n'en peuvent plus, cette dernière œillade, De la façon qu'elle est, guérirait un malade;
Ce talon n'eſt plus fort comme il eſtoit jadis, Son cœur en penſe plus cent fois que ie n'en dis, Elle eſt toute inſenſee à force d’esperance, Et ce petit ſouſpir peche par ignorance, Sa contenance morte & cet œil langoureux, Me font reſſouuenir d'vn Guilloume amoureux:	Ce talon n'est plus fort comme il était jadis, Son cœur en pense plus cent fois que sans n'en dis, Elle est toute insensée à force d'espérance, Et ce petit soupir pèche par ignorance, Sa contenance morte et cet œil langoureux, Me font ressouvenir d'un Gueilloume amoureux:
Encore qu'il eſt vray, ſi ie ſuis iamais fille, Que ie n’eſprouueray rien de ſi dificile, Ie diray franchement, comme vn autrs Venus.	Encore qu'il est vrai, si je suis jamais fille, Que tu n'éprouverai rien de si diicile, Je dirai franchement, comme un autrs Venus.
Que mon bel Adonys m'embraſſe à membres nuds;	Que mon bel Adonis m'embrasse à membres nus;
De l’air que ie vous vois, voſtre reſiouyſſance, St ie n'estois icy, verroit la iouyſſance:	De l'air que je vous vois, votre réjouissance, St -elle n'étais ici, verrait la jouissance:
Allez, faictes hommage à voſtre paſsion, Ie vous donne à tous deux ma benediction.	Allez, faites hommage à votre passion, Je vous donne à tous deux ma bénédiction.
Ainſi paſſe le monde, & le bien veritable Chez de petits plaiſirs, paſſe pour vne fable Mais parmy les trauaux qui nous donnent dufiel, On ne peut empeſcher ce qu'ordonne le Ciel, La grace de nos iours eſt touſiours enchaiſnee Au pouuoir eternel de nostre deſtinee.	Ainsi passe le monde, et le bien véritable Chez de petits plaisirs, passe pour une fable Mais parmi les travaux qui nous donnent dufiel, On ne peut empêcher ce qu'ordonne le Ciel, La grâce de nos jours est toujours enchaînée Au pouvoir éternel de notre destinée.
FIN.	FIN.
SONNET.	SONNET.
T Rand Prince createur de la gloire des ans, Qui portés ſous vos pas les tremblemẽs de terre, Vos auguſtes bontez ont le meſme tonnerre Par où l’ire du Ciel afflige les meſchans.	 Tand Prince créateur de la gloire des ans, Qui portez sous vos pas les tremblements de terre, Vos augustes bontés ont le même tonnerre Par où l'ire du Ciel afflige les méchants.
Luy-meſme auprez de vous voit ſes vœux abattus, Ignorant les ſecrets que voſtre ame reſſerre, Et voſtre naturel a bien plus de vertus Que Dieu n’en a iamais eſtably ſur la terre.	Lui-même auprez de vous voit ses vœux abattus, Ignorant les secrets que votre âme resserre, Et votre naturel a bien plus de vertus Que Dieu n'en a jamais établi sur la terre.
Si l’Vniuers auoit des hommes eternels, Les deſtins alliez auecque vos autels Vous rendroient au lieu d’eux Prince de tout le mõde.	Si l'Univers avait des hommes éternels, Les destins alliés avec vos autels Vous rendraient au lieu d'eux Prince de tout le monde.
La France ſe promet de vous voir enfin tel di no peur pus jeuun quen muupmnmeuuijecondes On bien qu’vn ſi bon Roy luy demeure immortel.	La France se promet de vous voir enfin tel di nô peur pus jeuun quen muupmnmeuuijecondes On bien qu'un si bon Roi Roi demeure immortel.
ODE.	ODE.
A LA GLOIRE DE IESVS & de ſes Eſclaues de Fontevraut.	À LA GLOIRE DE JÉSUS et de ses Esclaves de Fontevraut.
V Fous pour qui la grace des Cieux Eſt amoureuſe d’vne terre	V Vous pour qui la grâce des Cieux Est amoureuse d'une terre
Comme l’on fait en Paradis.	Comme l'on fait en Paradis.
Dans ces lieux mon ame bleſſee, D'vne angelique paßion, N’auroit point de deuotion Que pour vous dire ma penſee:	Dans ces lieux mon âme blessée, D'une angélique passion, N'aurait point de dévotion Que pour vous dire ma pensée:
Mais vos vertus qui font trembler M’oſtant l’vſage de parler, Enſeigneront à mes ruines Que les vœux les plus innocens Adorent les choſes diuin es Sans auoir l’vſage des ſens.	Mais vos vertus qui font trembler M'ôtant l'usage de parler, Enseigneront à mes ruines Que les vœux les plus innocents Adorent les choses divin ès Sans avoir l'usage des sens.
Ie vois mon courage ſaiſt D'vne allegreſſe ſi profonde, Que i’abandonnerois le monde Pour l’honneur de mourir ainſi;	Je vois mon courage saist D'une allégresse si profonde, Que j'abandonnerais le monde Pour l'honneur de mourir ainsi;
Et quand mon ame vous contemple Comme le plus parfait exemple De ce qu'on a iamais eſcript, Ie dis ſans deſſein de vous plaire, Vous viuez comme Ieſus Chriſt, Et vons mourez comme ſamere.	Et quand mon âme vous contemple Comme le plus parfait exemple De ce qu'on a jamais écript, Je dis sans dessein de vous plaire, Vous vivez comme Jésus Christ, Et vons mourez comme samère.
Où l’ame, auſsi bien que le corps, Nous deſcouure tous les treſors Qui compoſent les renommees, Si la beauté de nos courages Se captiuent en vos ſeruages, Nous ne ſongeons plus aux mortels, Et vous voyant dans vne Eglife, Nous croyons que tous les autels Seront ce qui vous eterniſe.	Où l'âme, aussi bien que le corps, Nous découvre tous les trésors Qui composent les renommées, Si la beauté de nos courages Se aptivent en vos servages, Nous ne songeons plus aux mortels, Et vous voyant dans une Églife, Nous croyons que tous les autels Seront ce qui vous éternise.
Les mondains craignent de beaux yeux Comme des ſources de tonnerre, Et l’on voit ſouuent que la terre Adore plus bas que les Cieux;	Les mondains craignent de beaux yeux Comme des sources de tonnerre, Et l'on voit souvent que la terre Adore plus bas que les Cieux;
Vnregard eſt vne priſon, L’on peut bien perdre la raiſon En l’honneur de quelque viſage En qui l’amour & la beauté, Chez le plus ſage perſonnage, Paſſent pour vne Deité.	Unregard est une prison, L'on peut bien perdre la raison En l'honneur de quelque visage En qui l'amour et la beauté, Chez le plus sage personnage, Passent pour une Déité.
Vn monde de lys & de roſes Eft dequoy faire n paſſe-temps, Qu'on appelleroit le Printemps De toutes les plus belles choſes, Les fidelles contentemens, Des Amantes e desAmans, Ont des amorces & des charmes.	Un monde de lys et de roses Ét dequoy faire n passe-temps, Qu'on appelerait le Printemps De toutes les plus belles choses, Les fidèles contentements, Des Amantes des desAmans, Ont des amorces et des charmes.
Qui ne ſe voyant point banmir, ---.	Qui ne se voyant point banmir, -mi-,
C---	Ç-ce
Raſſent hien ſouuent pour des armes Contre qui rien ne peut tenir.	Rassent hien souvent pour des armes Contre qui rien ne peut tenir.
Heleine a pris de la memoire Par vn rayon de ſes cheueux, 7.	Hèleine a pris de la mémoire Par un rayon de ses cheveux, 7.
Plus d’hommages & plus de vœux Que quelque veritable gloire,  Vn doux regard qui nous apprend Les traits d’vn viſage mourant, Nous enchante de telle ſorte, Que tous nos ſens d’aiſe perclus, Sous Yne aontenance morte, Confeſſent qu’ils n'en peuuent plus.	Plus d'hommages et plus de vœux Que quelque véritable gloire, Un doux regard qui nous apprend Les traits d'un visage mourant, Nous enchante de telle sorte, Que tous nos sens d'aise perclus, Sous Yne aontenance morte, Confessent qu'ils n'en peuvent plus.
Ie vous confeſſe, braues ſœurs, Que ce plaiſir a des amorces Qui preuient les plus belles forces Auecque des grandes douceurs, Mais ie vois d’vn autre costé Le vice & l’infidelite, Dont vne ame deſeſperee Seroit contrainte d’adueüer Que vos plaiſirs ont la duree Que l’on doit ſeulement loüer.	Je vous confesse, braves sœurs, Que ce plaisir a des amorces Qui prévient les plus belles forces Avec des grandes douceurs, Mais ils vois d'un autre côté Le vice et l'infidélité, Dont une âme désespère Serait contrainte d'adueüer Que vos plaisirs ont la dure Que l'on doit seulement louer.
Heureuſe l’ame qui traficque Auec vn ſi fidel Espoux.	Heureuse l'âme qui traficque Avec un si fidel Époux.
Et qui l’adore comme vous D’vne ame toute Seraphique:	Et qui l'adore comme vous D'une âme toute Seraphique:
Qu'on doit honorer cette grille, Où dans la face d’vne fille La vertu marque ſes couleurs, Et que vos yeux gagnent de monde 7 Quand Dieu regarde dans vos pleurs L’heur où nostre ſalut ſe fonde.	Qu'on doit honorer cette grille, Où dans la face d'une fille La vertu marque ses couleurs, Et que vos yeux gagnent de monde 7 Quand Dieu regarde dans vos pleurs L'heur où notre salut se fonde.
Mon Dieu, qu’il fau bon s’aſliez Aux charmes de ce bois ſauuage, Que ie trouue doux le ſeruage Dont on est ſoy-meſme geollier;	Mon Dieu, qu'il fau bon s'aspliez Aux charmes de ce bois sauvage, Que Que trouve doux le servage Dont on est soi-même guollier;
Et que la blancheur de ce cierge êtrdemoinues Dans la main d’vne ieune Vierges Tire hien i’ame par les yeux, Auecque ce Conuent enſerre, Adi Qu’il fait bon eſtre dans les Cieux Sans bouger pourtant de la terre.	Et que la blancheur de ce cierge ôtrdemoinues Dans la main d'une jeune Vierges Tire hien j'âme par les yeux, Avec ce Convent enserre, Adi Qu'il fait bon être dans les Cieux Sans bouger pourtant de la terre.
Benis ſoient les rauiſſemens Où mon doux Ieſus vous careſſe Mieux qu'au monde quelque Maiſtreſſe O 2 Qu'idolatre Vn mortel Amant, Comme luy, voſtre paſsion N’aura poiut d’autre ambition Que de la hayr à l’extreſme, Vostre ame a de ſecrets reſſorts Ou Dieu cherche dedans luy-meſme Les actions de vostre corps.	Bénis soient les ravissements Où mon doux Jésus vous caresse Mieux qu'au monde quelque Maîtresse Ô 2 Qu'idolâtre Vn mortel Amant, Comme lui, votre passion N'aura poiut d'autre ambition Que de la haïr à l'extrême, Votre âme a de secrets ressorts Ou Dieu cherche dedans lui-même Les actions de votre corps.
SONNET.	SONNET.
STRES des plus beaux iours qu’anime le Soleil.	STRÊ des plus beaux jours qu'anime le Soleil.
TX Pour qui toute la terre adore cet Empire, Mars redoute les traits que décoche voſtre œil, Et l’amour, qui peut tout, ne peut qu’il n'en ſouspire.	TX Pour qui toute la terre adore cet Empire, Mars redoute les traits que décoche vôtre œil, Et l'amour, qui peut tout, ne peut qu'il n'en soupire.
Quand le Ciel a beny quelque choſe d’auguſte, On parle en meſme temps de mon Prince & de voug, Et parmy vos grandeurs la loüange est ſiiuste Qu’il aime vos autels au lieu d’eſtre jalous.	Quand le Ciel a béni quelque chose d'auguste, On parle en même temps de mon Prince et de voug, Et parmi vos grandeurs la louange est sijuste Qu'il aime vos autels au lieu d'être jalous.
Vous eſtes le ſujet de tout ce que l’on penſe, Noſtre adoration eſt vne recompenſe;	Vous êtes le sujet de tout ce que l'on pense, Notre adoration est une récompense;
Les Nymphes de ces lieux respirent vos esbars.	Les Nymphes de ces lieux respirent vos ébars.
Mais quoy que voſtre nom apprenne à la memoire, Vous vous rendrez touſiours ennemy de la gloire Si mon Roy ne s'allie auecque vos combats.	Mais quoi que votre nom apprenne à la mémoire, Vous vous rendrez toujours ennemi de la gloire Si mon Roi ne s'allie apprendre vos combats.
A MONSEIGNEVR LE CARdinal de Richelieu.	À MONSEIGNEUR LE CARdinal de Richelieu.
SONNET.	SONNET.
ICHELIEV qui rendez le Cielam bitieux NAu point de vous dõner le ſoin de ſon tonnerre, I'attends que vous ayez conquis toute la terre Pour vous donner des Vers dignes d’aller aux Cieux, Tout le monde vous nomme Azile de l’Egliſe, Où vous tenez le rang de tous les immortels, Et ſi l’on ne veut pas adorer vos autels, Ie ne ſçay point par où la gloire s’eterniſe.	ICHÉLIEU qui rendez le Cielam bitieux NAu point de vous donner le soin de son tonnerre, J'attends que vous ayez conquis toute la terre Pour vous donner des Vers dignes d'aller aux Cieux, Tout le monde vous nomme Azile de l'Église, Où vous tenez le rang de tous les immortels, Et si l'on ne veut pas adorer vos autels, Je ne sais point par où la gloire s'éternise.
Vos geſtes ſont autant de miſteres ſecrets.	Vos gestes sont autant de misères secrets.
Vos parolles autant d’infaillibles decrets;	Vos paroles autant d'infaillibles décrets;
Et pour vos actions, ce ſont ces grands miracles, Par où nos emnemis apprendront de mes Vers, Que ſi le Roy conſulte encore vos oracles, Il faudra que ſon bras face deux Vniuers.	Et pour vos actions, ce sont ces grands miracles, Par où nos emnemis apprendront de mes Vers, Que si le Roi consulte encore vos oracles, Il faudra que son bras face deux Univers.
