A v	À v
Son Eſprit par tout ſe mouuant, Fait tout viure & mourir au monde, Il arreſte & pouſſe le veut, Et le flux & reflux de l’onde, Il oſte & donne le ſommeil, Il montre & cache le Soleil, Noſtre force & noſtre induſtrie Sont de l’ouurage de ſes mains.	Son Esprit par tout se mouvant, Fait tout vivre et mourir au monde, Il arrête et pousse le veut, Et le flux et reflux de l'onde, Il ôte et donne le sommeil, Il montre et cache le Soleil, Notre force et notre industrie Sont de l'ouvrage de ses mains.
Et c’eſt de luy que les humains Tiennent race, biens & patrie.	Et c'est de Seigneur que les humains Tiennent race, biens et patrie.
Il a fait le Tout du neant, Tous les Anges luy font hommage, Et le Nain comme le Geant Porte ſa glorieuſe Image, Il fait au corps de l’Vniuers Et le ſexe & lâge diuers, Deuant luy c’eſt vne peinture Que le Ciel & chaque Element, Il peut d’vn traict d’œil ſeulement Effacer toute la Nature.	Il a fait le Tout du néant, Tous les Anges lui font hommage, Et le Nain comme le Geant Porte sa glorieuse Image, Il fait au corps de l'Univers Et le sexe et lâge divers, Deuant lui c'est une peinture Que le Ciel et chaque Élément, Il peut d'un trait d'œil seulement Effacer toute la Nature.
Tous les ſiecles luy ſont preſens, Et ſa grandeur non meſurée ?	Tous les siècles se sont présents, Et sa grandeur non mesurée ?
Fait des minutes & des ans, Meſme trace & meſme durée, Son Eſprit par tout épandu, Iuſqu’en nos ames deſcendu, Voit naiſtre touies nos pensées, Neſme en dormant nos viſions M'ont iamais eu d’illuſions Qu’il n’ait auparauant tracées, Icy Muſes à deux genoux, Implorens ſa diuins grace,	Fait des minutes et des ans, Même trace et même durée, Son Esprit par tout épandu, Jusqu'en nos âmes descendu, Voit naître touiez nos pensées, Nême en dormant nos visions M'ont jamais eu d'illusions Qu'il n'ait auparavant tracées, Ici Muses à deux genoux, Implorents sa divins grâce,
D’imprimer touſiours deuant nout Les marques d’vne heureuſe trace:	D'imprimer toujours devant nout Les marques d'une heureuse trace:
C’eſt elle qui nous doit guider, Depuis celuy qui nous vint fonder La premiere Croix dans la France, Iuſqu’à ſa race qui promet De la planter chez Mahomet, Auec la pointe de ſa lance.	C'est elle qui nous doit guider, Depuis celui qui nous vint fonder La première Croix dans la France, Jusqu'à sa race qui promet De la planter chez Mahomet, Avec la pointe de sa lance.
C’eſt où mon eſprit eſchaiſné Gouſtera par vn long eſtude L’aiſe que prend mon cœur bien né Quand il combat l’ingratitude, Et ſi i’ay bien loüé les eaux Les ombres, les fleurs, les oyſeaux:	C'est où mon esprit eschaisné Goûtera par un long étude L'aise que prend mon cœur bien né Quand il combat l'ingratitude, Et si j'ai bien loué les eaux Les ombres, les fleurs, les oiseaux:
Qui ne ſongent point à me plaire:	Qui ne songent point à me plaire:
Liſis qui ſonge à mon ennuy.	Lis qui songe à mon ennui.
Verra ſur ſa race & ſur luy Ma recognoiſſance exemplaire.	Verra sur sa race et sur leurs Ma reconnaissance exemplaire.
Il faudroit que ce deuancier Le plus vieux que ie veux produire, Euſt bien enroüillé ſon acier Si ie ne faiſois reluire, Mais les liures & les diſcours Ont ſi bien conſerué le cours Le ceite vertravie gione, Que ie feray de mauuais vers, Si vos tiltres les plus couuerts, Ne font éclat en la memoire.	Il faudrait que ce devancier Le plus vieux que je veux produire, Eut bien enrouillé son acier Si grande ne faisais reluire, Mais les livres et les discours Ont si bien conservé le cours Le ceite vertravie gione, Que quelque ferai de mauvais vers, Si vos titres les plus couverts, Ne font éclat en la mémoire.
LETTRE DE THEOPHILE ERE.	LETTRE DE -THÉOPHILE ÈRE.
Et qui ſeul trouues auiourd’huy Mon aduerſité longue & dure, Amy ferme, ardent, genereux, que mon ſort le plus mal-heureux, Picque d’auantage à le ſuiure:	Et qui seul trouves aujourd'hui Mon aduersité longue et dure, Ami ferme, ardent, généreux, que mon sort le plus malheureux, Picque d'avantage à le suivre:
Acheue de me ſecourir, Il faudra qu’on me laiſſe viure Aprés m’auoir fait tant mourir.	Achève de me secourir, Il faudra qu'on me laisse vivre Après m'avoir fait tant mourir.
Quand les dangers où Dieu m’a mis Uerront mon eſperance morte, Quand mes iuges & mes amis I’auront tous refusé la porte, Quand tu ſeras las de prier, Quand tu ſeras las de crier, Ayant bien balancé ma teſte Entre mon ſalut & ma mort, Il faut en fin que la tempeſte M’ouure le ſepulchre, ou le port.	Quand les dangers où Dieu m'a mis Uerront mon espérance morte, Quand mes juges et mes amis J'auront tous refusé la porte, Quand tu seras las de prier, Quand tu seras las de crier, Ayant bien balancé ma tête Entre mon salut et ma mort, Il faut en fin que la tempête M'ouvre le sépulcre, ou le port.
Mais l’heure qui la peut ſçauoir!	Mais l'heure qui la peut savoir!
Nos mal-heurs ont certaines courſes, Et des flots dont on ne peut voir Ny les limites, ny les ſources, Dieu ſeul cognoiſt ce changement:	Nos malheurs ont certaines courses, Et des flots dont on ne peut voir Ni les limites, ni les sources, Dieu seul connaît ce changement:
Car l’eſprit ny le iugement, Dont nous a pourueus la Nature, Quoy que l’on vuelle preſumer N’entend non plus noſtre aduanture, Que le ſecret fiux de la Mer.	Car l'esprit nom le jugement, Dont nous a pourvus la Nature, Quoi que l'on vuelle présumer N'entend non plus nos aventure, Que le secret fiux de la Mer.
Ie ſçay bien que tous les viuans, Euſſent-ils iuré ma ruyne, N’ayderont point mes pourſuiuans, Malgré la volonté diuine, Tous les efforts ſans ſon adueu	Je sais bien que tous les vivants, Eussent-ils juré ma ruine, N'aideront point mes poursuivants, Malgré la volonté divine, Tous les efforts sans son aveu
Ne ſçauroient m’oſter vn cheueu, Si le Ciel ne les authoriſe:	Ne sauraient m'ôter un cheût, Si le Ciel ne les autorise:
Ils nous menaſſent ſeulement, Eux ny nous de leur entrepriſe Ne ſçauons pas l’euenement.	Ils nous menacent seulement, Eux ni nous de leur entreprise Ne savons pas l'événement.
Cependant ie ſuis abbatu, Mon courage ſe laiſſe mordre, Et d’heure en heure ma vertu Laiſſe tous mes ſens en deſordre, La raiſon auec ſes diſcours, Au lieu de me donner ſecours, Eſt importune à ma foibleſſe, Et les pointes de la douleur, Meſme alors que rien ne me bleſſe Me changent & voix & couleur.	Cependant esprit suis abattu, Mon courage se laisse mordre, Et d'heure en heure ma vertu Laisse tous mes sens en désordre, La raison était ses discours, Au lieu de me donner secours, Est importune à ma faiblesse, Et les pointes de la douleur, Même alors que rien ne me blesse Me changent et voix et couleur.
Mon ſens noircy d’vn long effroy Ne me plaiſt qu’en ce qui l’attriſte, Et le ſeul deſeſpoir cheZ moy Ne trouue rien qui luy reſiſte, La nuict mon ſomme interrompu, Tiré d’vn ſang tout corrompu, Me met tant de frayeurs dans l’ame, Que ie n’oſe bouger mes bras De peur de trouuer de la flame, Et des ſerpens parmy mes dras.	Mon sens noirci d'H long effroi Ne me plaît qu'en ce qui l'attriste, Et le seul désespoir chez moi Ne trouve rien qui lui résiste, La nuit mon somme interrompu, Tiré d'un sang tout corrompu, Me met tant de frayeurs dans l'âme, Que notre n'ose bouger mes bras De peur de trouver de la flamme, Et des serpens parmi mes dras.
Au matin mon premier obiect, C’eſt la colere inſatiable, Et le long & cruel project D’ont m’attaquent les fils du diable, Et pout eſtre ces noirs Lutins, Que la haine de mes deſtins A trouué ſi prompts à me nuire, Vaineus par des Demons meilleurs	Au matin mon premier objet, C'est la colère insatiable, Et le long et cruel project D'ont m'attaquent les fils du diable, Et pout être ces noirs Lutins, Que la haine de mes destins A trouvé si prompts à me nuire, Vainus par des Demons meilleurs
erdent le ſoin de me détruire, ſouflent leur tempeſte ailleurs:	erdent le soin de me détruire, soûlent leur tempête ailleurs:
Peut eſtre comme les voleurs nt quelquefois laſſeZ de crimes, s ministres de mes malheurs ont las de déchiffrer mes rimes, uelque reſte d’humanité oyant l’iniuſte impunité pont on flatte la calomnie, eut eſtre leur bat dans le ſein, t s’oppoſe à leur felomnie ans vn ſi barbare deſſein.	Peut été comme les voleurs n quelquefois lasseZ de crimes, s ministres de mes malheurs ont las de déchiffrer mes rimes, uelque reste d'humanité oyant l'injuste impunité pont on flatte la calomnie, eut être leur bat dans le sein, t 'oppose à leur felomnie ans un si barbare dessein.
Mais quand il faudroit que le Ciel Aeſtat ſa foudre à leur bruyne, Et qu’ils auroyent autant de fiel Qu’il leur en faut pour ma ruyne, Attendant ce fatal ſuccez, ourquoy tant de fieureux accez Me feront-ils pálir la face, Et ſi ſouuent hors de propos duecques des ſueurs de glace, Me troubleront-ils le repos?	Mais quand il faudrait que le Ciel Aétat sa foudre à leur bruine, Et qu'ils auraient autant de fiel Qu'il leur en faut pour ma ruine, Attendant ce fatal succès, ourquoi tant de fiévreux accès Me feront-ils plir la face, Et si souvent hors de propos duecques des sueurs de glace, Me troubleront-ils le repos?
Quoy que l’implacable courroux D’vne ſi puiſſante partie, aſſe gronder trente verroux Contre l’eſpoir de ma ſortie, Et que ton ardente amitié Par tous les ſoins de la pitié Que te peut fournir la nature, Te rende en vain ſi diligent, Et ne donne qu’a laduanture Tes pas, tes cris, & ton argent.	Quoi que l'implacable courroux D'une si puissante partie, asse gronder trente verroux Contre l'espoir de ma sortie, Et que ton ardente amitié Par tous les soins de la pitié Que te peut fournir la nature, Te rende en vain si diligent, Et ne donne qu'à laduanture Tes pas, tes cris, et ton argent.
I'eſpere toutesfois au Ciel	J'espère toutefois au Ciel
112	112
Tout preſt à deuorer Daniel, Ne trouua ny griffe ny bouche, C’eſt le meſme que fit iadis Deſcendre vn air de Paradis Dans l’air bruſtant de la fournaiſe, Où les Saincts parmy les chaleurs, Ne ſentirent non plus la braiſe, Que s’ils euſſent foulé des fleurs.	Tout prêt à dévorer Daniel, Ne trouva ni griffe ni bouche, C'est le même que fit jadis Descendre un air de Paradis Dans l'air brustant de la fournaise, Où les Saints parmi les chaleurs, Ne sentirent non plus la braise, Que s'ils eussent foulé des fleurs.
Mon Dieu, mon ſouuerain recours Peut s’oppoſer à mes miſeres, Car ſes bras ne ſont pas plus cours Qu’ils eſtoient au temps de nos peres, Pour eſtre ſi preſt à mourir, Dieu ne me peut pas moins guerir, C’eſt des afflictions extrémes Qu'il tire la proſperité Comme les fortunes ſuprémes, Souuent le trouuent irrité.	Mon Dieu, mon souverain ours Peut s'opposer à mes misères, Car ses bras ne sont pas plus cours Qu'ils étaient au temps de nos pères, Pour être si prêt à mourir, Dieu ne me peut pas moins guérir, C'est des afflictions extrêmes Qu'il tire la prospérité Comme les fortunes suprêmes, Souvent le trouvent irrité.
Tel de qui l’orgueilleux deſtin Braue la miſere & l’enuie N’a peut eſtre plus qu’vn matin, Ny de volupté, ny de vie, La fortune qui n’a point d’yeux Deuant tous les flambeaux des Cieux, Nous peut porter dans vne foſſe, Elle va haut, mais que ſçait-on, S’il fait plus ſeur dans ſa Caroſſe, Que dans celle de Phaëton.	Tel de qui l'orgueilleux destin Brave la misère et l'envie N'a peut -être plus qu'Han matin, Ni de volupté, ni de vie, La fortune qui n'a point d'yeux Deuant tous les flambeaux des Cieux, Nous peut porter dans une fosse, Elle va haut, mais que Sait-on, S'il fait plus sûr dans sa Carse, Que dans celle de Phaéton.
Le plus braue de tous les Roys Dreſſant vn appareil de guerre, Qui deuoit impoſer des loix A tous les peuples de la terra	Le plus brave de tous les Rois Dressant un appareil de guerre, Qui devait imposer des lois À tous les peuples de la terra
Entre	Entre
Entre les bras de ſes ſubiets Aſſeuré de tous les obiets Comme de ſes meilleures gardes, Se vit frappé mortellement, H en tonp a queteat mautourues Prenoient garde inutilement.	Entre les bras de ses sujets Assuré de tous les objets Comme de ses meilleures gardes, Se vit frappé mortellement, H en ton a queteat mautourues Prenaient garde inutilement.
Le ſort qui va touſiours de nuict Enyuré d’orgueil & de ioye, Quoy qu’il ſoit ſagement conduit Garde mal-aisément ſa voye, Ah, que les ſouuerains decrets Ont touſiours demeuré ſecrets Ala ſubtilité des hommes!	Le sort qui va toujours de nuit Enïuré d'orgueil et de joie, Quoi qu'il soit sagement conduit Garde malaisément sa voie, Ah, que les souverains décrets Ont toujours demeuré secrets Ala subtilité des hommes!
Dieu ſeul cognoiſt l’état humain, Il ſçait ce qu’auiourd’huy nous ſommes, Et ce que nous ſerons demain.	Dieu seul connaît l'état humain, Il sait ce qu'aujourd'hui nous sommes, Et ce que nous serons demain.
Or ſelon l’ordinaire cours Qu’il fait obſeruer à Nature, L’Aſtre qui preſide à mes iours S’en va changer mon aduanture, Mes yeux ſont épuiſez de pleurs, Mes eſprits vſez de malheurs,	Or selon l'ordinaire cours Qu'il fait observer à Nature, L'Astre qui préside à mes jours S'en va changer mon aventure, Mes yeux sont épuisez de pleurs, Mes esprits vsez de malheurs,
En quelle place des mortels Ne peut le vent creuer la Terre, En quel Palais & quels Autels Ne ſe peut gliſſer le tonnerre?	En quelle place des mortels Ne peut le vent crèver la Terre, En quel Palais et quels Autels Ne se peut glisser le tonnerre?
Quels vaiſſeaux & queis matelots Sont touſiours aſſeureZ des flots, Quelque fois des Villes entieres, Tar un horrible changement Ont rencontré leurs Cimetieres En la place du fondement.	Quels vaisseaux et que matelots Sont toujours assurés des flots, Quelque fois des Villes entières, Tar un horrible changement Ont rencontré leurs Cimetières En la place du fondement.
Viuent d’vn ſang gelé de craintes, La nuict trouue en fin la clarté, Et l'excez de tant de contraintes Me preſage ma liberté.	Vivent d'un sang gelé de craintes, La nuit trouve en fin la clarté, Et l'excès de tant de contraintes Me présage ma liberté.
Quelque lacs qui me ſoit tendu Par de ſi ſubtils aduerſaires, Encore n’ay-ie point perdu L’eſperance de voir Boufferes?	Quelque lacs qui me soit tendu Par de si subtils adversaires, Encore n'ai-je point perdu L'espérance de voir Bouffères?
Encor vn coup le Dieu du iour Tout deuant moy fera ſa Cour Ez riues de noſtre horitage Et le otrray jes enenend oions Du meſm’or qui luit ſur le Tage Dorer l’argent de nos ſablons.	Encor un coup le Dieu du jour Tout devant moi fera sa Cour Ez rives de notre horitage Et le otrai jes enenend oyons Du mém'or qui luit sur le Tage Dorer l'argent de nos sablons.
Ie verray ces bois verdiſſans Où nos Iſles & l’herbe fraiſche Seruent aux troupeaux nu giſſans Et de promenoir & de créche, L’Aurore y trouue à ſon retour L’herbe qu’ils ont mangé le iour, Ie courray l'eau qui tes avreuue, Et i’orray plaindre les grauiers Et repartir l’Echo du fleuue Aux iniures des mariniers.	Je verrai ces bois verdissants Où nos Îles et l'herbe fraîche Servent aux troupeaux nu gissants Et de promenoir et de crèche, L'Aurore y trouve à son retour L'herbe qu'ils ont mangé le jour, Je courrai l'eau qui tes avreuve, Et j'orrai plaindre les graviers Et repartir l'Écho du fleuve Aux injures des mariniers.
Le preſcheur en ſe morfondant Paſſe la nuict dans ce riuage, Qu’il croit eſtre plus abondant Que tes voras de la mer ſauuage, Il vend ſi peu ce qu’il a pris, Qu’un teſton eſt ſouuent le prix, Dont il laiſſe vuider ſa naſſe, Et la quantité du poiſſon	Le prêcheur en se morfondant Passe la nuit dans ce rivage, Qu'il croit être plus abondant Que tes voras de la mer sauvage, Il vend si peu ce qu'il a pris, Qu'un teston est souvent le prix, Dont il laisse vider sa nasse, Et la quantité du poisson
Dichire par fois la tiraſſe Et n’en paye pas la façon.	Dichire par fois la tirasse Et n'en paye pas la façon.
Encore vne fois à ma vie Ie paiſtray ma dent & mes yeux Du rouge éblat de la Pauie, Encore ce brignon muſcat Dont le pourpre eſt plus delicat Que le teint vny de Caliſte, Me fera d’un œil ménager Eſtudier deſſus la piſte Qui me l’eſt venu rauager.	Encore quelque fois à ma vie Je paîtrai ma dent et mes yeux Du rouge éblat de la Pavie, Encore ce brignon muscat Dont le pourpre est plus délicat Que le teint uni de Caliste, Me fera d'un œil ménager Estudier dessus la piste Qui me l'est venu ravager.
Ie cueilleray ces Abricos, Les Fraiſes couleur de flames, Où nos Bergers font des écots, Qui ſeroient icy bon aux Dames, Et ces Figues & ces Melons, Dont la bouche des Aquilons N d iamais ſçeu baiſer lecorce, Eo ces iaunes Muſcats ſi chers, Que iamais la greſle ne force Dans l’aſyle de nos Rochers.	Je cueillerai ces Abricos, Les Fraises couleur de flammes, Où nos Bergers font des écots, Qui seraient ici bon aux Dames, Et ces Figues et ces Melons, Dont la bouche des Aquilons Nou jamais su baiser lecorce, Éo ces jaunes Muscats si chers, Que jamais la grêle ne force Dans l'asile de nos Rochers.
Ie verrayſur nos Grenadiers Leurs rouges pommes entr’ouuertes, Où le Ciel comme à ſes lauriers Garde touſiours des fueilles vertes, Ie verray ce touffu laſmin Qui fait ombre à tout le chemin D’vne aſſez ſpacieuſe allée, Et la parfume d’vne fleur 4 Di conſerue dans la gelée Son odorat & ſa couleur.	Je verraisur nos Grenadiers Leurs rouges pommes entr'ouvertes, Où le Ciel comme à ses lauriers Garde toujours des fueilles vertes, Je verrai ce touffu lasmin Qui fait ombre à tout le chemin D'une assez spacieuse allée, Et la parfume d'une fleur 4 Di conserve dans la gelée Son odorat et sa couleur.
Ie reuerray fleurir nos prez, Ie leur verray couper les herbes, Ie verray quelque temps aprés Le payſan couché ſur les herbes, Et comme ce climat diuin Nous eſt tres-liberal de vin, Aprés auoir remply la grange, Ie verray du matin au ſoir, Comme les flots de la vendange Ecumeront dans le preſſoir.	Je reuerray fleurir nos prez, Je leur verrai couper les herbes, Je verrai quelque temps après Le paysan couché sur les herbes, Et comme ce climat divin Nous est très-libéral de vin, Après avoir rempli la grange, Je verrai du matin au soir, Comme les flots de la vendange Ecumeront dans le pressoir.
Là d’vn esprit laborieux L’infatigable Bellegarde De la voix, des mains & des yeux, A tout le reuenu prend garde, Il cognoiſt d’vn exacte ſoin Ce que les prais rendent de foin, Ce que nos troupeaux ont de laines, Et ſçay mieux que les vieux payſans;	Là d'un esprit laborieux L'infatigable Bellegarde De la voix, des mains et des yeux, À tout le revenu prend garde, Il connaît d'un exacte soin Ce que les prais rendent de foin, Ce que nos troupeaux ont de laines, Et sais mieux que les vieux paysans;
Ce que la montagne & la plaine Nous peuuent donner tous les ans.	Ce que la montagne et la plaine Nous peuvent donner tous les ans.
Nous eueillirons tous à moitié Comme nous auons faict encore, Ignorans de l’inimitié, Dont vne race ſe deuore, Et freres & ſœurs, & nepueux, De meſmes ſoins, de meſmes vœux, Nous y trouuerons trop de quoy, T deut l’orage dela guerre R’amener le Canon du Roy.	Nous éveillirons tous à moitié Comme nous avons fait encore, Ignorants de l'inimitié, Dont une race se dévore, Et frères et sœurs, et neveux, De mêmes soins, de mêmes vœux, Nous y trouverons trop de quoi, T ut l'orage déla guerre R'amener le Canon du Roy.
Si ie paſſois dans ce loiſir Encor autant que i’ay de vie,	Si deux passais dans ce loisir Encor autant que j'ai de vie,
Le comble d’vn ſi cher plaiſir, Borneroit toute mon enuie, Il faut qu’vn iour ma liberté Se lâche en ceſte volupté, Ie n’ay plus de regret au Louure, Ayant veſcu dans ces douceurs, Que la mejme terre me conhre Qui couure mes predeceſſeurs.	Le comble d'un si cher plaisir, Bornerait toute mon envie, Il faut qu'un jour ma liberté Se lâche en cette volupté, Je n'ai plus de regret au Louvre, Ayant vécu dans ces douceurs, Que la mejme terre me conhre Qui couvre mes prédécesseurs.
Ce ſont les droits que mon pays A meritez de ma naiſſance, Et mon ſort les auroit trahis Si la mort m’arriuoit en France.	Ce sont les droits que mon pays A mérités de ma naissance, Et mon sort les aurait trahis Si la mort m'arrivait en France.
Non, non, quelque cruel complot, Qui de la Garonne & du Lot, Vueille éloigner ma ſepulture Ie ne dois point en autre lieu Rendre mon cors à la nature, Ny reſigner mon ame à Diou.	Non, non, quelque cruel complot, Qui de la Garonne et du Lot, Veuille éloigner ma sépulture Je ne dois point en autre lieu Rendre mon cors à la nature, Ny résigner mon âme à Diou.
L’eſperance me confond point, Mes maux ont trop de vehemence, Mes trauaux ſont au dernier point, Il faut que mon propos commence, Quelle vaagence n'a point pris Le plus fier de tous ces eſprits Qui s’irritent de ma conſtance, Ils m’ont veu lâchement ſoubmis, Contrefaire vne repentance De ce que ie n’ay point commis.	L'espérance me confond point, Mes maux ont trop de véhémence, Mes travaux sont au dernier point, Il faut que mon propos commence, Quelle vaagence n'a point pris Le plus fier de tous ces esprits Qui s'irritent de ma constance, Ils m'ont vu lâchement soumis, Contrefaire une repentance De ce que ici n'ai point commis.
Ah!	Ah!
que les cris innocent, Quelques longs maux qui les exercent, Trouuent mal-aysément l’accent, Dont ces ames de fer ſe percent,	que les cris innocent, Quelques longs maux qui les exercent, Trouvent malaisément l'accent, Dont ces âmes de fer se percent,
Leur rage dure vn an ſur moy Sans trouuer ny raiſon ny loy, Qui l’appa ſe ou qui luy reſiſte, Le plus iuſte & le plus Chreſtien Croit que ſa charité m’aſſiſte Si ſa haine ne me fait rien.	Leur rage dure un an sur moi Sans trouver ici raison ni loi, Qui l'appa se ou qui était résiste, Le plus juste et le plus Chrétien Croit que sa charité m'assiste Si sa haine ne me fait rien.
L’énorme ſuitte de malheurs!	L'énorme suitte de malheurs!
Dois-ie donc aux races meurtrieres, Tant de fievres & tant de pleurs, Tant de respects, tant de prieres, Pour paſſer mes nuicts ſans ſommeil, Sans feu, ſans air, & ſans ſoleil, Et pour mordre icy les murailles, A ay-ie encor ſouffert qu'en vain, Me dois-ie arracher les entrailles Pour ſouler leur derniere faim?	Dois-je donc aux races meurtrières, Tant de fières et tant de pleurs, Tant de respects, tant de prières, Pour passer mes nuits sans sommeil, Sans feu, sans air, et sans soleil, Et pour mordre ici les murailles, A ai-je encor souffert qu'en vain, Me dois-je arracher les entrailles Pour soûler leur dernière faim?
De rechef mon dernier appuy, Toy ſeul dont le ſecour me dure, Et qui ſeul trouues auiourd’huy Mon aduerſité longue & dure, Rare frere, amy genereux, Que mon ſort le plus malheureux	De rêches mon dernier appui, Toi seul dont le secour me re, Et qui seul trouves aujourd'hui Mon aduersité longue et dure, Rare frère, ami généreux, Que mon sort le plus malheureux
Par iures infracteurs des loix, Corrupteurs des plus belles ames, Effroiables meurtriers des Roys, Ouuriers de couſteaux & de flames, Paſles Prophetes de tombeanx, Fantoſmes, Loup-garoux, Corbeaux, Horrible & venimeuſe engence Malgré vous race des enfers, A la fin i’auray la vangence De l’iniuſte affront de mes fers.	Par jures infrateurs des lois, Corrupteurs des plus belles âmes, Effroyables meurtriers des Rois, Ouvriers de couteaux et de flammes, Pâles Prophètes de tombeanx, Fantômes, Loup-garro, Corbeaux, Horrible et venimeuse engence Malgré vous race des enfers, A la fin j'aurai la vengence De l'injuste affront de mes fers.
Picque d’auantage à le ſuiure, Acheue de me ſecourir, Il faudra qu’on me laiſſe viure Aprés m’auoir fait tant mourir.	Pigque d'avantage à le suivre, Achève de me secourir, Il faudra qu'on me laisse vivre Après m'avoir fait tant mourir.
APOLOGIE EE TE C T.	APOLOGIE CE -TE Ç .
l 2 IRE, COMBIEN que mes infortune me faſſent recourir à voſtre pitié M mon innocence a quelque droict de ſoliciter voſtre Iuſtice, mes aduerſitez me laiſſent encore aſſez de iugement pour me faire taire, ſi ie n’eſtois contraint de parlet à V.	 2 IRE, COMBIEN que mes infortune me fassent recourir à votre pitié M mon innocence a quelque droit de soliciter votre Justice, mes adversité me laissent encore assez de jugement pour me faire taire, si tu n'étais contraint de parlet à V.
M.	M.
qui ne me refuſera point cette grace, puis qu’au fort de ma captiuité, ma voix a touſiours eu de l’accez enuers Dieu.	qui ne me refusera point cette grâce, puis qu'au fort de ma captivité, ma voix a toujours eu de l'accès envers Dieu.
C’eſt luy, SIRE, qui m’a viſiblement arraché des abiſmes où m’auoit precipité la calomnie, & ſans offenſer ſa Iuſtice, ie ne puis attribuer ma deliurance à la faueur des hommes, puis qu’il a daigné m’eſprouuer, il a montré qu’il auoit ſoin de moy, & ceſte épreuue eſt vne marque de ſon amour, qui laiſſe de la gloire à mon affliction.	C'est lui, SIRE, qui m'a visiblement arraché des abîmes où m'avait précipité la calomnie, et sans offenser sa Justice, Seigneur ne puis attribuer ma délivrance à la faveur des hommes, puis qu'il a daigné m'éprouver, il a montré qu'il avait soin de moi, et cette épreuve est été marque de son amour, qui laisse de la gloire à mon affliction.
Il a veu ma iuſtification dans ma conſcience, & s’eſtant ſatisfaict par luy meſme de mes mouuemens interieurs, il a voulu que les hommes, me iuſtifiaſſent deuant les hommes, & aprés vne exacte recherche de mes actions, il a fait conſentir mes luges à me laiſſer viure- S’il n’a pas oſté les taches à ma reputation, ce n’eſt que pour exercer la clemence de V.	Il a vu ma justification dans ma conscience, et s'étant satisfait par quelque même de mes mouvements intérieurs, il a voulu que les hommes, me justifiassent devant les hommes, et après une exacte recherche de mes actions, il a fait consentir mes luges à me laisser vivre- T-il n'a pas ôté les taches à ma réputation, ce n'est que pour exercer la clémence de V.
M.	M.
qui les effacera ſans doute, lors qu’elle ſçaura que ma diſgrace me vient pluſtoſt des malices de ma fortune, que des vices de ma vie Mais d’autant que ce diſcours eſt faſcheux, & pour la rudeſſe de mon ſtyle, & pour la durété de ujet, ie ne vous en diray que ce que ie ne puis taire.	qui les effacera sans doute, lors qu'elle saura que ma disgrâce me vient plutôt des malices de ma fortune, que des vices de ma vie Mais d'autant que ce discours est fâcheux, et pour la rudesse de mon style, et pour la durété de ujet, tu ne vous en dirai que ce que je ne puis taire.
Ce qui a long temps entretenu ces bruicts infames, dont on a deſguisé ma reputation, n’eſt autre choſe qu’vne grande facilitè que mes ennemis ont trouuée a me perſecuter.	Ce qui a long temps entretenu ces bruits infâmes, dont on a déguisé ma réputation, n'est autre chose qu'une grande facilitude que mes ennemis ont trouvée à me persécuter.
Le peu de nõ que les lettres m’ont acquis, & le peu de rang que ma condition me donne dans la fortune, ont exposé mon eſprit & mon honneur ſans deffence, au pouuoir inſolent de ceux qui l’ont attaqué.	Le peu de nomme que les lettres m'ont acquis, et le peu de rang que ma condition me donne dans la fortune, ont exposé mon esprit et mon honneur sans défense, a voir insolent de ceux qui l'ont attaqué.
Mon impuiſſance leur a continué ceſte impunité, & pouſsé leur hardieſſe ſi auant, que perdant le reſpect de l’Egliſe, & prophanant la chaire de verité, ils en ont fait vn theatre de diffamation.	Mon impuissance leur a continué cette impunité, et poussé leur hardiesse si avant, que perdant le respect de l'Église, et prophanant la chaire de vérité, ils en ont fait un théâtre de diffamation.
On a veu mes accuſateurrs en leurs ſermons faire des longues digreſſions, & uitter la predication de l’Euangile, pour preſcher au peuple leurs meditations frenetiques, & par des niures d’Athée, d’Impie, & d’Abominable, imprimer dans l’ame de leurs Auditeurs, l’aigreur & l’animoſité particuliere qu’ils auoient contre moy Ils parlent tout haut des Athées, & il ne faut pas preſumer qu’il y en ait, ce ſoupçon eſt dangereux & coulpable, l’ignorance à cela de mal-heureux qu’elle eſt preſque touſiours criminelle, & que meſme les occaſions de la vertu la portent ordinairement dans le vice?	On a vu mes accusateurs en leurs sermons faire des longues digressions, et uiter la prédication de l'Euangile, pour prêcher au peuple leurs méditation frénétiques, et par des niures d'Athée, d'Impie, et d'Abominable, imprimer dans l'âme de leurs Auditeurs, l'aigreur et l'animosité particulière qu'ils avaient contre moi Ils parlent tout haut des Athées, et il ne faut pas présumer qu'il y en ait, ce soupçon est dangereux et coulpable, l'ignorance à cela de malheureux qu'elle est main est criminelle,as que même les occasions de la vertu la portent ordinairement danselle es?
C’eſt des-honorer la grandeur de Dieu, & mal patler de ſa puiſſance, & de ſa bonté, que d’accuſer ſes creatures d’auoir perdu la cognoiſſance de leut Creatur, & ſoupçonner vn ſi excellent ouurier d’auoir gaſté ſon trauail & desfiguré ſon image.	C'est des-honorer la grandeur de Dieu, et mal patler de sa puissance, et de sa bonté, que d'accuser ses créatures d'avoir perdu la connaissance de lut Créatur, et soupçonner un si excellent ouvrier d'avoir gâté son travail et défiguré son image.
